8/r6p/2k3p1/1pp5/8/P4RP1/2K4P/8 b - -,a7e7
6k1/6p1/R7/1P3p2/2r5/P5BK/r6P/8 w - -,g3e5
r5k1/2p3p1/r1bp2qp/P1n2p2/2P5/R3PP2/3B1QPP/1R3BK1 w - -,a3a2
8/4Qpk1/8/8/8/6q1/7p/5K2 w - -,e7e4
r1b5/4ppbk/3p1np1/2pP3p/2P1P2P/qQB2PP1/PR1N4/5BK1 b - -,f6d7
2r4r/pp1k1p1p/1q1bpp2/3p4/3P4/P1N1P3/1PQ2PPP/R1R3K1 w - -,c3d5
r3kb1r/pp2pppp/1qp5/3PQb2/2P5/5P2/PP1B2PP/R3KB1R b KQkq -,e7e6
6k1/6p1/2p4p/5PP1/3r3P/B1p5/1p6/4R1K1 b - -,h6g5
4k3/2Q5/8/2p1B1p1/1p4P1/1P3P1K/r1q5/8 w - -,c7c6
r1bqk2r/2pnnpb1/pp1pp1pp/8/P1BPP3/2N1BN2/1PP1QPPP/3R1RK1 b kq -,e8g8
N4b1r/1p1Q3p/p2p2pk/2p5/P7/3P4/1PP2PqP/R1B1K2R b KQ -,h6h5
1r3rk1/1bpnq1pp/1p1pp3/pPP2p2/3Pn3/4QNP1/PB2PPBP/2RR2K1 b - -,b6c5
r4r2/p1p2q1k/1p1p1bpp/3Pp2n/2P1Pp1P/2P1BPP1/P3Q1K1/3RRN2 w - -,g3g4
r1q1r1k1/ppn2pp1/2nb4/7p/Q4PN1/2N1B3/PP4BP/R4RK1 b - -,c8g4
rnb1k1nr/pp2ppbp/6p1/2pq4/3P4/2P2N1P/PP3PP1/RNBQKB1R b KQkq -,b8c6
8/2pr1k1p/p7/1p1n4/1P1n2R1/P2P1pP1/5P1P/3RNK2 b - -,d4f5
r2q1r2/1p4k1/8/p1P3pp/P1PbQ3/R4n1P/1P3P2/2B2R1K b - -,d8f6
4r1k1/5pp1/3bq2p/8/1pp1p3/2P3PP/1P1BQP2/4R1K1 w - -,g1g2
1r3rk1/p2n1pp1/b6p/P1pp1N2/8/Q5P1/1q2PPBP/R1R3K1 w - -,f5e7
7k/8/7b/2Q5/1P6/P1P5/2q4P/KN6 w - -,c5e5
5k2/2R3pp/3Pr3/p3p3/2p1P3/P2b2P1/7P/6K1 w - -,c7c8
5rk1/3Q2p1/2p5/7p/P1P3q1/R5b1/1P4K1/3R4 b - -,f8f2
8/4k3/4p2p/pb2p1p1/4B3/1P2KPP1/P1r4P/8 w - -,e4c2
8/3R4/6p1/pp1kPp1p/5P1P/Pr4P1/5K2/8 b - -,d5e6
r4rk1/1bqn1ppp/5b2/p3P3/P1N5/1Pp2NP1/2Q2PBP/R4RK1 b - -,d7e5
2r2qrk/p2bb2p/1pn1p2p/3pp3/1P1P4/P2B1NNP/5PP1/2RQR1K1 w - -,b4b5
rnbqk1nr/ppppbppp/4p3/8/4P3/5N2/PPPPQPPP/RNB1KB1R b KQkq -,g8f6:d7d5
1k1r3r/p4pp1/1p1P1n1p/2p5/8/PnN2BP1/1P2RP1P/3R2K1 b - -,b3d4
r3k2r/ppq1bppp/2b1p3/2ppP3/5P2/2PBP1P1/PP1N2P1/R1Q2RK1 b kq f3,e8c8
8/2k5/P1b5/6p1/5p2/3N4/5K1P/8 w - -,h2h3
1brqr1k1/1p3ppp/p4n2/3pn3/3N4/1PN1P2P/PB2QPP1/2R2RK1 w - -,f1d1
r3rbk1/2qb1p1p/p2p2pB/nppPp2n/4P3/1PP1QN2/P1B2PPP/R2R1NK1 b - -,f8g7
r4rk1/1b3ppp/1n2pn2/pN6/1b6/1N2P3/1P1BBPPP/R2R2K1 b - -,b4d2
4r1k1/3qnp2/2pp4/1p3pPP/5P2/P5B1/1P3RK1/2Q5 b - -,e7d5
3r1b1k/5p1p/1pq2Pp1/p1p3P1/P1P1pPQ1/1P2B2P/6K1/3R4 b - -,d8d6
rn1q1rk1/pbppbppp/1p3n2/3P4/4P3/P1N2N2/1P3PPP/R1BQKB1R b KQ -,d7d6
3R4/1p3r1p/2p5/p7/4k3/8/PP4KP/8 b - -,a5a4
3q2k1/5r1p/1p2Q1p1/pPrP1p2/2bR1b2/2P3N1/1R5P/6K1 w - -,d4f4
1k1r4/pp1q1pbr/6b1/4P2p/2B2R1P/4NQP1/PP5K/3R4 b - -,d7c7
2k1r1r1/2pbb3/ppp2pp1/7p/2n1P2P/3N1P2/PPP1NBP1/2KRR3 b - -,e7f8
6k1/5qp1/7p/1r6/2Q5/3P3P/6P1/7K w - -,c4b5
r5k1/pp1qnrbp/n1p1bpp1/3pp3/4P3/P2P2P1/1PPBNPBP/R1Q2RNK b - -,a8d8
r3r1k1/p4ppp/2q2b2/4p3/2p5/1P1RP1P1/PB3P1P/R1Q3K1 b - -,e5e4
rn1qr1k1/pp3pp1/3b1np1/3p4/N7/4PPP1/PP1BB2P/R2Q1RK1 w - -,f1e1
bq2k2r/5ppp/5n2/1Nb1n3/2pNP3/8/1PB1QPPP/2B1R1K1 b k -,e5g4
3r4/5k2/p1pr4/1q6/2p1b2P/Q1B1P1P1/P4P2/R4KR1 b - -,d6d1
r1bqkbnr/pp1p1ppp/2n5/2p5/4Pp2/1P3N2/PBPP2PP/RN1QKB1R b KQkq -,g8f6
r1bq1rk1/4bppp/p1n1pn2/1p1P2B1/8/1BN2N2/PP1Q1PPP/R4RK1 b - -,e6d5
6k1/1pR3p1/7r/3pNpR1/pP3P2/P7/6K1/4q3 b - -,e1h1
rnbq1rk1/pp2bppp/4pn2/3p4/3PP3/P1NB1N2/1P1BQPPP/R3K2R w KQ -,e4e5
8/p5k1/8/4N3/PP1pP2p/4b2P/2r2pK1/5R2 b - -,g7f6
6k1/4r1bp/4p3/3n1p2/3P2P1/1P6/1B4PP/4R1NK b - -,f5g4
r3r1k1/pp3ppp/1Bn5/3p4/6b1/2n2NP1/PqN1PPBP/2RQR1K1 w - -,b6d4
5r1k/p5qp/3p2p1/2pP4/np3rB1/8/PPP5/1KQ3RR b - -,g6g5
2r1q3/r4pkp/2p3p1/2Np4/2nP4/2Q1P2P/2R2PP1/R6K b - -,a7a1
4k2r/pp2ppb1/3r2pp/3NN3/3P4/PP2P2P/4R1P1/5RK1 w k -,e5f7
rn1qkb1r/ppp3pp/4bp1n/3p4/4pN2/1P2P3/PBPP1PPP/RN1QKB1R b KQkq -,e6f7
r2q1k1r/pp2bppp/3p1n2/1B2pn2/5P2/2N1B3/PPP3PP/R2QK2R w KQ -,e3f2
2kr3r/1ppq2pp/p1nb1p2/4p3/8/1P2PQ2/PB1PNPPP/2KR3R w - -,d2d4
2k5/2pb3r/1p6/2p1N1B1/p4P1P/P6r/1PPR4/2K5 b - -,c7c6
8/4p3/4k3/5R2/2K1P3/1p6/8/1r6 w - -,f5h5
7r/3k1pp1/4b3/1p1nPB1P/p1pP2P1/P1P3K1/3B4/5R2 w - -,f1b1
3b4/1p4k1/p5p1/P1p4p/2Np1q2/1P1P2PP/2P5/4Q1K1 b - -,f4f3
3r1b2/2k2p1p/pp1pp3/4np2/N1PNb2q/P3P3/1PB1QPrP/1KR2R2 b - -,c7b7
2r1q1k1/1bpnb1p1/p3pr1p/Bp1n4/1P1PQ2P/P4NP1/3N1PB1/R4RK1 w - -,a1c1
8/1R2Q3/2kp1pP1/2q1pP2/8/K7/1PP5/8 w - -,b7b4
3r4/pp4k1/3r4/3p1p2/2p2P1n/P1P4P/1P2R3/1BKR4 b - -,g7f6
r2r2k1/5ppp/8/pp6/3P4/1P6/R4PPP/3R1K2 b - -,g8f8
r1b2rk1/pp1nb1pp/2p5/q2P1p2/3P1B2/2PBPN1P/P1Q2P2/R3K2R b KQ -,a5d5
2kr3r/1bpnq3/1p1pp3/p4pp1/P1PP3p/2P1P2P/4BPPB/R2Q1RK1 w - f6,e2f3
3rr3/ppp3k1/3p1p2/5Pp1/1P1PpnN1/7P/P2R1PP1/3R2K1 b - -,f4d5
rnbq1rk1/ppp1ppbp/1n4p1/8/3P1B2/2N2N2/PP2PPPP/R2QKB1R w KQ -,a1c1
r2q2kb/1bp2p1p/p2pr1pB/1p6/1P2PP2/2P3N1/1P1QR1PP/R5K1 b - -,d8e8
r4r1k/pp1bb1pp/1qn1pn2/3p4/3P4/2NBBN2/PP3PPP/R2QR1K1 w - -,f3g5
2rr2k1/pb1qppbp/1pnp2p1/1N6/2P1PN2/1P2BP2/P2Q2PP/3RR1K1 w - -,f4d5
8/3n2BR/3kp3/n1p2p2/2P5/1r6/5PPP/5BK1 w - -,g2g3
rn1qr1k1/1bpp1ppp/1p3n2/p1bP4/8/P1N3PN/1P2PPBP/R1BQ1RK1 b - -,b8a6
7Q/1ppk3p/6p1/3q1p2/2bPp2P/4P1P1/5PB1/6K1 b - -,d5g8
4k3/5p2/7p/4p3/4PbPP/r2RN3/4K3/8 b - -,a3a2
8/p1q1k1p1/1pP2p2/1P1Q3P/8/P5P1/5PK1/8 w - -,a3a4
3rrqk1/pppb1p1p/2np2p1/8/2P1PP2/1P3BP1/Pb1Q1N1P/3R1RK1 w - -,d2b2
1rbq1rk1/2p2p1p/p2p1npb/n2Pp3/2P1P3/2N3PP/P2N1PB1/R1BQ1RK1 w - -,d1a4
1r3rk1/1pqbbppp/p3p3/8/P3N3/3BP3/1P3PPP/2R2RK1 w - -,c1c7
rnb2rk1/ppq3bp/2p2np1/4pp2/2P1P3/1PN2NP1/PB3PBP/R2Q1RK1 b - e3,f5f4
1r1qk1nr/ppp2pbp/3p2p1/n2Pp3/2P3b1/2N1PNP1/PP3PBP/R1BQK2R w KQk -,d1a4
6k1/2p2p2/p6p/1pn1P1p1/8/8/PPB2PPP/6K1 w - g6,g2g3
r4rk1/4q1p1/pbp1p2p/1p2P3/PP2Q1PP/2P5/1BB1p1K1/R2R4 b - -,f8f2
8/6kp/B2Q2p1/5p2/8/1P6/P5Pb/7K b - -,h2d6
3r4/3rkpp1/p1p4p/1p1bPPn1/1P6/4B3/P1B3PP/R2R2K1 w - -,e3c5
4r3/4P1k1/1p1R3p/2n2p2/3N4/P6P/P7/1K6 b - -,f5f4
5rk1/1p4pp/pq2p1p1/4P1N1/1P4P1/Pn5P/R2B1bQK/8 b - -,b3d2
3r2k1/1qp4p/1p3np1/p3pp2/2P1n3/BP4P1/P3PPBP/2Q1R1K1 w - -,a3e7
8/5pkp/1R6/8/1P3P2/r5P1/1r3PKP/5R2 b - -,a3b3
5r1k/p2Q2b1/8/5pp1/1R5p/P2B2q1/1PP5/1K6 w - -,d3f5
2krn3/pp1q1pp1/4p2p/2p1P2P/2P2PP1/2B5/PP2Q3/2KR4 b - -,d7e7
rn3rk1/pp3pbp/3q2p1/2pP4/6b1/2B2N2/PP2BPPP/R2Q1RK1 w - -,d1b3
rnbqr1k1/ppp1bpp1/3p3p/7Q/3NPP2/2PB4/PP1N2PP/R4RK1 b - -,b8d7
3R4/p3kpp1/1p3np1/2p5/7P/2P2BP1/PP3PK1/8 b - -,e7d8
r2q1rk1/pb1nbppp/1pp1p3/3pP2Q/2P5/1P1BP3/PB1N1PPP/R4RK1 b - -,g7g6
rnb2rk1/ppp2pp1/4pq1p/3p4/1bPP4/2N1PN2/PP2BPPP/R2QK2R b KQ -,d5c4
1rb2r2/5pkn/pq1p2p1/2pPn3/4P2p/2N2P1P/RP1QB1P1/5RKN b - -,f7f5
4rbk1/Rpq1rpp1/n2p2b1/3P3p/4P2P/2N2QPB/5B2/1R4K1 b - -,a6c5
rnb1k2r/1pqpbppp/p3pn2/8/2P1P3/1N1B4/PP3PPP/RNBQ1RK1 w kq -,b1c3
r4rk1/1b2ppbp/1q3np1/p3N3/Q2P4/P4B2/1B3PPP/2R2RK1 w - -,b2c3
r3kb1r/p2qnppp/1p2p3/n2pP3/8/BP3N2/P1P1NPPP/R2Q1RK1 b kq -,a5b7
r1b2rk1/pp2ppbp/n4np1/1N1q4/3P4/5N2/PP2BPPP/R1BQ1RK1 b - -,c8f5
r4rk1/1b3ppp/pp3n2/n3N3/1NP5/6P1/PR3PBP/5RK1 b - -,b7g2
8/p3kp2/2pr3p/3p1P2/1P1P1K2/4P3/P6R/8 w - -,f4e5
4Q3/5pkp/1p3qp1/p1p5/Pn1N4/7P/1PP2PP1/6K1 w - -,d4f3
2rr2k1/p4pp1/q3p2p/2p5/8/2Q1PN2/2R2PPP/1R4K1 b - -,a6c6
8/1ppk4/2b1p1r1/4Bp1p/p2P3P/PrR2P2/1PR2KP1/8 b - -,b3b5
2r1k2r/2qb2pp/pb2p1pP/1p1pP3/5P2/1N1B4/PPP1Q3/1K1R3R b k -,e8f7
r1bq1rk1/1p3pbp/p2p1np1/n2P4/1Pp5/P1N3P1/2QNPPBP/R1B2RK1 b - b3,c4b3
r2r2k1/4qpp1/2p1p2p/1p2N3/p1nP4/P1P4P/1P2QPP1/3RR1K1 b - -,c4e5
1k1r4/pp6/4b3/7R/1P1pB3/P7/6P1/2K5 b - -,d8c8
r1bqkb1r/1p3ppp/p3p3/3n4/3Q4/2P5/PP2BPPP/RNB2RK1 b kq -,c8d7
6k1/3np2p/1n1p4/2pP4/5p1N/rPB4P/5PP1/3R2K1 w - -,h4f5
2b5/p3k3/6p1/8/5P2/P7/5KBP/8 b - -,e7f6
5rk1/2r5/1p1R2p1/2p2p2/2P5/2Kn4/PP6/4R3 w - -,c3d3
5b2/1b6/1B2k2p/4p2P/2P2p2/8/5K2/5N2 w - -,f1d2
4r1k1/p1q2p1p/2p3pB/4p2n/2Q1P3/1PP5/P5PP/3r1R1K w - -,f1d1
2r2rk1/3bbp1p/2p1nnp1/RpPp4/1N1Pp3/1N2P3/1P1B1PPP/4KB1R b K -,c8a8
5rk1/r1q3p1/2p4p/p1Pp1pb1/1P2n3/P2Q1NP1/1BP2P1P/R3R1K1 b - -,g5f6
5r2/1pp3kp/p4p2/5R2/1P3P1P/1P1r4/1B3PP1/6K1 w - -,f5c5
r3kb1r/pp2pppp/1qn5/3p1b1n/2pP1B2/2P1PN2/PP1N1PPP/R1Q1KB1R b KQkq -,f7f6
2kr3r/ppq2pp1/3bpn1p/2p5/2PP3P/3QBN2/PP3PP1/1K1R3R w - -,d3c2
8/6R1/p2rb2p/4k3/P6R/7P/8/6K1 w - -,h4h6
r2qk2r/4bppp/p1bppn2/1p4B1/3NP3/5P2/PPPQ2PP/2KR1B1R b kq -,c6b7
3rr1k1/5p1p/p1b3p1/3p1p2/3Q1P2/1P3B2/P1P3PP/R6K w - -,a1d1
8/7R/2n1kb2/p1P1p1p1/3pP3/5KPP/4n3/8 w - -,f3e2
8/2p5/KbPpB3/p1rP4/1k6/1P4R1/8/8 w - -,g3h3
2r2r1k/6pp/P4b2/1Q6/8/5NP1/q3BP1P/3R2K1 w - -,d1d2
r6r/p3k1p1/1np1NqP1/4b2P/Pp4Q1/1P1B1P2/2P5/1K1RR3 w - -,f3f4
5rk1/1p2qpb1/2ppn1p1/1Pn1p3/2P1P2p/1N1P1BPP/r3RP2/1RBQ2K1 b - -,a2a8
r1bb1rk1/2p2ppp/p7/2pnN3/8/2P5/PP3PPP/RNB2RK1 w - -,b1a3
q2rn1k1/5p2/1R1pp1p1/2n3Pp/R1PQPP2/4N1KP/5N2/8 b - -,c5a4
r3k2r/1b1qppbp/p1np2p1/1p1P4/5B2/3B1N2/PPPQ1PPP/R4RK1 b kq -,c6e5
6k1/6B1/1pB2K1P/p7/2P2bP1/3n4/8/8 b - -,f4e5
r4rk1/pbpnq1pp/1p6/3p1pN1/3Pn2P/2N1P3/PPQ2PP1/2KR1B1R w - -,f1d3
8/4K3/8/3r4/8/4pk2/5n2/5Q2 w - -,f1c4
r4k1r/2q1bp2/2n1p3/p1PpPp2/5P2/6QP/P3NB1K/1R4R1 b - -,f8e8
r1bqkbnr/pp3ppp/2n1p3/2p1P3/3p4/2P2NP1/PP1P1PBP/RNBQK2R b KQkq -,g8e7
3qkr2/1n1b2Qp/p5p1/3pPp2/Np1P4/8/1P3PPP/2R3K1 w - -,e5e6
r2r2k1/pb1n1ppp/3bp3/5q2/Pp1P3N/1P5P/1BR1BPP1/3QR1K1 b - -,f5f4
r4k2/6pp/1Rb2r2/p7/2B1pP2/6P1/P6P/3R2K1 w - -,g1f2
r1bq1rk1/ppp2pb1/2np1npp/3Pp3/2P5/2N2NP1/PP1BPPBP/R2QK2R b KQ -,c6e7
r3kb1r/1p3ppp/p1qpbn2/4p3/4P3/2N1N3/PPP2PPP/R1BQ1RK1 w kq -,d1f3
6k1/p1r3pp/1p2ppn1/8/2P5/1P4P1/PB1R1PKP/8 w - -,d2d8
4r1k1/1b2q2p/p3B1p1/1p1p4/1PnNn2N/P5b1/2P4P/3R1QBK b - -,g8h8
r2r3k/p6p/3p2p1/1pqbb3/8/2P1N2Q/PP4PP/3R1R1K w - -,d1d5
q2r2k1/3n1pp1/p3pn1p/1p6/3P1B2/PQ3P1P/P4P2/1BR3K1 w - -,g1g2
4bk2/4r1pp/1rn1p3/p1RpP2P/5P2/PP5B/1K2N3/3R4 w - -,h3g4
4r3/p2q2bk/1p4p1/2p2p2/2P2PPp/4p2P/PPR1Q3/5RK1 b - -,g7d4
rnbqr1k1/ppp2pbp/3p1np1/8/2PNP3/2N2B2/PP3PPP/R1BQ1RK1 b - -,b8d7
3rr1k1/1p3pb1/p1p3pp/2P5/1P1nN1n1/6B1/P4PPP/1Q3RK1 b - -,d4e2
3r2k1/6qp/p5p1/3b1P2/1pp3N1/2b4Q/P1B2RPP/7K w - -,f5f6
r5r1/1p1bkp2/p2ppq2/2P1b3/4P2p/P1PP4/B3RPPN/1R1Q2K1 w - -,c5d6
2br2k1/1p1qp1Pp/5ppB/r7/2Pp4/pP3B2/P4PPP/R2Q1RK1 w - -,b3b4
rnbqkb1r/pp2pp1p/2p2np1/3p4/Q1P5/5NP1/PP1PPPBP/RNB1K2R b KQkq -,d5c4
r2qk2r/p2nbppp/2pp4/2p1p2b/4P3/3P1NNP/PPP2PP1/R1BQR1K1 b kq -,h5g6
rnb1kbr1/p2p1p2/1q2pp1p/2pP4/2p1P3/2N2N2/PP3PPP/1R1QKB1R w Kq -,g2g3
rB2rbk1/1R3ppp/p2p4/3Pp3/2N1P3/5P2/PR4PP/6K1 b - -,e8d8
r4rk1/ppnbq1bp/2p2n2/2Pp1p2/PP1PpP2/4B1PP/2QNN1B1/R4RK1 b - -,h7h5
4r1k1/6b1/p7/1p3R2/8/1NP3pP/PP2r1P1/R4K2 b - -,e2b2
3r4/7p/pp2pkp1/8/2P1RP2/6P1/P1K4P/8 w - -,e4e5
r2Qk2r/5bpp/2p1pp2/p1n5/P3PP2/2N3P1/1P4BP/R4RK1 b kq -,a8d8
4R3/5p2/6b1/2p1k2p/8/4K1PP/8/8 b - -,e5d5
2rq1rk1/p2bppbp/5np1/1p2B3/8/1BN2P2/PPPQ2PP/2KR3R b - -,d7c6
r1bqk2r/pp1n2pp/2pbp2n/3p1p2/2PP4/2NBPN2/PPQ2PPP/R1B1K2R w KQkq -,c4d5
r1bq1rk1/1p3pp1/pnp2b1p/3p4/1P1P4/2NBPN2/P4PPP/2RQ1RK1 w - -,a2a4
4r2k/5b1p/pnp1q2b/2p1p3/2Pp3N/1P1P1Q1P/P4PP1/R3R1K1 w - -,f3f5
5k2/1p5p/4P1b1/2rN4/p2Rp3/P6P/6PK/8 w - -,h2g3
1r6/1p1n1b1p/2pk1np1/p7/2PN1P2/1P1N4/P4K1P/4RB2 w - -,d3e5
8/8/2B2p1p/p1B1k3/P6P/2b2P2/8/3b1K2 w - -,c5f8
3r1k2/pp3pp1/2p5/8/7r/2N4P/PP2RbBK/8 w - -,e2f2
2bq1rk1/r1pn1pp1/ppB2n1p/3p4/3P3B/P1Q1PP2/1P2N1PP/R3K2R b KQ -,g7g5
8/p1R3K1/4r2P/8/8/3k4/2p5/8 b - -,e6e7
r3k2r/1pqnbppp/p1bpp3/3nP3/1P1P4/P4N2/1B2BPPP/RN1QR1K1 w kq -,b1d2
4r1k1/3N1pp1/7p/8/R1P1b3/2b1B2P/2r2PP1/5RK1 w - -,f1d1
2r1r3/3b2k1/p3pq2/Qp2R1pp/3P1p2/1B3P1P/P5PK/4R3 w - -,a5a6
r2q1rk1/pp2bpp1/2p1p2p/7P/3P2n1/3Q1N2/PPPB1P2/2KR2R1 b - -,g4f2:f7f5
r1bqr1k1/pp3pbp/2p2np1/2Np4/2nPp3/1PP2NP1/P3PPBP/R1BQR1K1 w - -,b3c4
1r2r1k1/5ppp/p2Rp3/2Qb2B1/5PP1/2P1K3/2q2R1P/8 b - -,c2e4
8/7p/2R3p1/1P2kp2/2Ppp3/3n2P1/4K2P/8 w - -,b5b6
3r3k/1p1rn2p/pqb1p1p1/2b1Pp2/P2p1P2/1P1B2N1/1BP2QPP/3RR2K w - -,d3c4
r3r1k1/pp2qp1p/2p3p1/3pNb2/1P1Pn3/1R1BP3/P1Q2PPP/2R3K1 b - -,a7a6
R7/1pk5/3bK3/2pP4/2B5/1P2r3/1P6/8 w - -,e6f7
r5k1/5ppn/p2qp1p1/2pp2P1/3P1P2/1P1BP3/P2N3P/2Q3K1 w - -,d4c5
k7/p6p/1p3p2/1P1N4/7P/r1R3K1/5P2/8 b - -,a3c3
r1bqr1k1/2p1bppp/p2p1n2/1p6/PPnNP3/2P5/2B2PPP/RNBQR1K1 b - a3,c8d7
6r1/5kp1/2r1pn2/1qPp1p1p/pP1P1P2/P3PQ1P/6P1/2RR2K1 w - -,c1b1
r1bqk2r/1ppp1ppp/2n5/p1b1P3/2P3n1/P1N1PN2/1P3PPP/R1BQKB1R b KQkq -,e8g8:g4e5
2R5/8/6k1/1p1r1pp1/1P6/P3K3/5P2/8 b - -,d5e5
r3rbk1/1q1n1p1p/pp1p1np1/2p1p3/2P1PPPN/1PNP4/PB2Q2P/R4RK1 w - -,f4e5
8/7n/3p1k2/p2Pp2p/B3P1p1/6K1/P4N2/8 w - -,g3h4
3r1bk1/5pp1/1p3nbp/pq2R3/2Np4/PP1P1B1P/1B3PP1/3Q2K1 b - -,f8c5
r3k2r/p3p2p/3p2p1/qppP4/b3n3/2P3P1/PQ2N2P/1R2KB1R b Kkq -,h8f8
8/2R2k2/1p6/p2r1Pp1/8/2PB3r/b2K2R1/8 b - -,f7e8
3rr1kq/5p1b/4p1p1/3pQ2P/P2P1PR1/1B6/1PP5/K5R1 w - -,h5g6
r6r/ppqBkb1p/5p2/nPNp2b1/3P2P1/P3PQ1P/8/2R2RK1 w - -,d7e6
4B3/1b4k1/p7/2p5/1pP4N/1P4KP/1r4P1/8 w - -,e8a4
r3kb1r/1p3ppp/p1bppn2/q5B1/3RPP2/2N5/PPP3PP/2KQ1B1R w kq -,g5f6
8/2Q2p2/5kp1/2p1N2p/4P3/5PPb/5q1P/6RK w - -,c7d6
5k2/8/1P1p1b2/p2P3Q/8/q4r1P/5BK1/8 b - -,f3f2
rnbq1rk1/pp1p1ppp/4pn2/8/2Pp4/P1N1P3/1P3PPP/R1BQKB1R w KQ -,e3d4
6k1/1p1rnq2/2p1Npp1/1p1n3p/P7/5P1P/6P1/2QRR1K1 w - -,a4b5
r1bq3k/1pp1b1pn/p2p3p/P2Pnr2/2B1p3/2P1B3/1P1N1PPP/RN1QR1K1 w - -,c4e2
1r1q4/4ppk1/pn1pb1p1/6Qp/N6P/1P4P1/P3PPB1/2R3K1 w - -,a4b6
4r3/5b2/3k2p1/2pq3p/2R5/1P5P/P4PP1/5QK1 b - -,d5d2
7k/pp5p/8/2q2p2/3p4/3Q1PP1/5K1P/4N3 b - -,h8g8
r4k2/pp3p2/2pb3p/3p1P2/3P3P/2N1Pq2/PPQ2Pr1/2K2R1R w - -,c1b1
r3k1nr/pp2bpp1/nq2p2p/3pP2P/3N2P1/2P5/PP3PN1/R1BQK2R w KQkq -,d1a4
4rr1k/p2n2pp/1p3p2/2pQ1P2/q1N5/P1P4P/1P2p1P1/2R1R1K1 b - -,a4b3
3r2k1/pb1r1pp1/1pp1pq1p/2P5/3P3P/4Q1P1/PP1R1PB1/3R2K1 w - -,g2e4
r3k2r/1bqnbp1p/pp1pp3/6p1/2PQP3/1PN1BP2/P3N1PP/2RR2K1 b kq -,h8g8
r3rb1k/pp2q3/4bNQ1/2np4/8/P1P1P3/4NPPP/3RK2R w K -,g6h5
8/8/4k3/1p3p2/p2K2p1/B5Pp/7P/5b2 b - -,f5f4
3k1n2/1bp1b1qp/pp1r1n2/5Q1P/P1B3P1/2BP1P2/1PP5/2K1R2R b - g3,b7c8
1r6/p7/4p1k1/2pp3b/2P5/3P3N/PP5R/5K2 b - -,b8f8
8/6p1/4kn2/pB1p4/NbnPpP2/1p2P3/8/2BN2K1 w - -,g1f2
2r1k2r/1b2bpp1/pq1ppn1p/1p2n3/4P2B/P1NB4/1PPQNPPP/4RR1K b k -,e5c4
2r3k1/3R3p/rB4p1/P3Pq2/8/1Qp3P1/5P1P/6K1 b - -,g8h8
r3kb1r/pp1n1pp1/1qp1pnp1/3p4/2PP4/1QN1P3/PP2BPPP/R1B1K2R w KQkq -,g2g3:b3a4:c1d2
