8/p7/1p6/4k3/5PP1/r1N1K3/8/8 b - -,e5f6
4rr1k/pppbq3/3p3p/1P2b1nn/P1N1P1p1/1NPB4/2Q2PPB/2R2RK1 w - -,c4e5
r2rq1k1/p3bppp/1p2pn2/1Bp1N3/3PbB2/4P3/PP2QPPP/2RR2K1 b - -,e8f8
5rk1/6b1/1R1Nr1pp/2p1p1B1/3nQ3/5PP1/3RP1KP/4q3 w - -,b6b1
5r2/3b2kp/3Pp1p1/p1p1Q1qn/1pP1P1N1/1P3R1P/P5PK/1B6 b - -,g5e5
8/6r1/5p2/2p1k3/2p1P2p/2P4R/1P2RP2/2b4K b - -,c1g5
3r2k1/4b1pp/p3p3/Pp1qPp2/1PpP1P2/5N2/1RQ2KPP/8 b - -,d5e4
r1b5/1p2bpkp/p3p3/8/P4RN1/6P1/1PP3BP/7K w - -,g4e5
1nbqr1k1/1r3pp1/1p1p3p/p1pPpN2/P1P1PNP1/1P1B3P/5P2/3QRRK1 b - -,e5f4
2r3k1/pp3rb1/2n3R1/2p5/2P2q2/3P4/PP1QP2P/6RK w - -,g6g7
2qrk1r1/pp2pp1p/8/2pn2P1/2PP4/N5Q1/PP3P2/R1B1R1K1 b - -,d5b4
2r4k/1q5p/4r1b1/pN1pPpR1/Pn1P1P2/1P6/7Q/5BRK b - -,c8c2
4r1k1/5ppp/3q4/2pP4/2n2P2/2B3PP/4N1QK/8 b - -,c4e3
r4rk1/1bqnbppp/pp1ppn2/8/2PQ4/1PN2NPP/PB2PPB1/R2R2K1 w - -,a1c1
8/3k4/Pb1P1p2/5p1p/8/2pKB2P/6P1/8 b - -,c3c2
r1b1kbnr/ppp1qp2/3p2p1/3N3p/4PB2/5Q1P/PPP2PP1/R3KB1R b KQkq -,e7d8
2r2r1k/1p1q2nb/p2p2pQ/3P3n/1PP1P1p1/3B4/2RN2K1/6BR b - -,h5f4
r3k2r/1pp3pp/p1nqp3/3p1p2/3Pn2P/P1N1Q1P1/1PP1PPB1/R3K2R b KQkq -,e4f6
r3k2r/1pBN1ppp/4pn2/n2p4/PbpP4/4P3/1P1NBPPP/R4RK1 b kq -,e8d7
rnb1qrk1/1pp1b1pp/3p1n2/p2PpP2/2P5/P1N2NP1/1PQ2PBP/R1B2RK1 b - -,f6g4
r1bqr1k1/ppp3bp/2n1Pp2/1B1p4/8/5N2/PPP1QPPP/R1B1K2R w KQ -,e1g1
2bqk2r/r3npbp/1pn3p1/p1pp4/P7/1NPP1NP1/1P3PBP/R1BQR1K1 b k -,d5d4
2q2rk1/2p3pp/1rp1b3/p1RpPp2/5PPP/BP6/P1PQ4/2K1R3 w - -,c5a5
r1bqk2r/1p1nppb1/p2p1npp/2pP4/4PP1B/2N2N2/PPPQ2PP/R3KB1R b KQkq -,b7b5
1r4k1/3b1qbn/3p1pp1/P1p1pP1p/1rP1P2P/3PB1PN/3Q2B1/R4RK1 b - -,b4b2
3rkb1r/p1q1npp1/b3p2p/2PnP3/P1p1B3/2N2N2/3BQPPP/1R3RK1 b k -,d5c3
2r3k1/1p1r1pb1/p5pp/1NP5/PPn1p3/3nB3/4NPPP/1R3RK1 w - -,b5c3
3r1rk1/p1p1ppbp/n3bnp1/1p6/N2P4/1P3NP1/P3PPBP/R1B2RK1 w - b6,a4c3
8/R7/P4pk1/8/8/5K2/r5P1/8 w - -,a7a8
2kr3r/pb6/1pp4p/3pNpp1/3P4/1P4P1/PBP2PP1/4R1K1 b - -,d8e8
r1bqk2r/1p2b1pp/p1np1B2/4pp2/2B1P3/N1N5/PPP2PPP/R2QK2R b KQkq -,e7f6
r2qk2r/pppn1pp1/3pb2p/4p3/2P1P3/P1NQBP2/1PP3PP/R3K2R w KQkq -,e1c1
r5k1/4bppp/r1n1p3/pp1p4/3P1B2/P1PN1P1P/1P2RKP1/R7 b - -,b5b4
r3k2r/pp1nbppp/1qp1p3/5b2/2PPN3/1Q4P1/PP3PBP/R1B2RK1 b kq -,e8g8
5rk1/ppp2pp1/1r1b3p/3p4/1P4P1/2PP1P1P/P2B1K2/R3R3 b - -,d5d4
3r3r/2q1kp2/p1bpp3/1p2b1p1/4P1P1/PB1Q1P2/1PP1N3/1K1R3R b - -,c7b6
8/8/1p1p1n1p/p2P2k1/P5P1/1P4K1/4B3/8 b - -,f6d5
7r/8/1p1k3r/p2p3p/P4P1R/1P1KP3/8/7R w - -,d3d4
5nk1/1p3pp1/2p5/8/8/P1N1PP1Q/1q3P1P/5K2 w - -,c3e4
rnbq1rk1/1pp1bppp/4pn2/p2p4/2PP4/PP2PN2/2QN1PPP/R1B1KB1R w KQ -,c1b2
4r3/pppnrpk1/2bp1p1p/8/4P3/1PB2PP1/P1P2KBP/3RR3 b - -,d7e5
5R2/1p1k2p1/5bP1/7r/3p1B2/3K4/1P3P2/8 b - -,d7e6
r1qr2k1/pp3pbp/5np1/1Np1p3/1BP1P3/1PQ2B2/P4PPP/R3R1K1 b - -,c5b4
8/6k1/4r1p1/3nPpPp/1B1p3P/3b2q1/3Q2B1/4R1K1 w - -,b4c5
r2r3k/1p4pp/1q1p2b1/1Nn1p3/2P5/NP1n1PP1/P2QB2P/R2R3K w - -,d2e3
rn1q1rk1/pbppppbp/5np1/1p6/8/1P3NP1/PBPPPPBP/RN1Q1RK1 w - -,a2a4
r6r/p2n2p1/2Rbp2p/kp4q1/3PB3/4Q3/PP3PPP/5RK1 w - -,e3g5
3r1r2/5p1k/p2q1nPp/1ppp4/4PR2/2P4P/PPB3P1/R1Q3K1 b - -,f7g6
2k5/2p5/p7/1p3R1R/6p1/P5P1/2rr3P/6K1 w - -,h5h4
5rk1/p2br2p/Bp1n4/3Pbpp1/8/2N2R1P/PP3BP1/4R1K1 w - -,f3e3
6k1/1r4pp/5P2/1P6/N4p2/1R4K1/7P/6b1 w - -,g3f4
5rk1/p3ppbp/1r1p2p1/q1pP4/p1P1P3/1P2RNPb/P1QN1P1P/4R1K1 b - -,g7h6
r5k1/7p/p1p1bp2/2R1p3/4P3/1P1r1P2/P3N1PP/5R1K b - -,d3d2
r1bq1rk1/5ppp/p1pb4/1p6/5n2/1BP3P1/PP1P1P1P/RNBQR1K1 w - -,d2d4
r4r2/p4pk1/1pb1p2p/2P2p2/2P2Q2/3R4/qPB2PPP/2K4R w - -,d3g3
r1bqk2r/1p2p1bp/2p2ppn/p1p5/P3P3/3P1N2/1PPN1PPP/R1BQR1K1 b kq -,e7e5
4r1k1/p4pp1/2p4p/B7/2P3Pb/1P5P/P1bRN3/5K2 b - -,c2b1
2br3r/1p2k1pp/p1nRp3/5p2/2N1p3/P7/1PP1BPPP/2KR4 w - -,f2f3
6k1/3R3p/p1p1r1p1/5p2/2b4P/2N5/PP3PP1/6K1 w - -,g1h2
2k4r/ppn1qpn1/2p3p1/P2p4/3P2b1/1QNBP1N1/1P3P2/2K1R3 w - -,a5a6
8/1pr3kp/p2R4/5B2/5P2/8/n5PP/5K2 w - -,h2h4
b2q1r1k/p2rb1pp/8/2p2N2/1pQ1P3/1P4P1/1B3P1P/R4RK1 b - -,e7f6
r1b1r1k1/ppp2ppp/5n2/q4P2/6P1/2P1P3/P3B2P/R1BQ1RK1 w - -,c3c4
r4rk1/1pq2ppp/p1b1pB2/4p3/P7/3Q1N2/1PP2PPP/R3R1K1 b - -,g7f6
8/6k1/8/pB6/P3KR2/3p4/8/3r4 b - -,d3d2
1r2q1nk/3R1pbp/6p1/6N1/p1n1P3/2P3NP/1P3QP1/3R2K1 b - -,g8h6
r1b2rk1/5ppp/1p2p3/n1b1P3/pB6/P4N2/BP3PPP/R2R2K1 b - -,c8b7
2Q1n1k1/5q1p/p5p1/1pp2p2/7P/1P2PNP1/P4PK1/8 w - -,f3g5
r1bq1rk1/3nppbp/pp1n2p1/2pP4/P5P1/2N2N2/1PP2PBP/R1BQR1K1 w - -,c1g5
2r1r1k1/pp3qp1/1b2pnQp/3p4/5BnN/6PP/PP3PB1/R4RK1 b - -,f7g6
3r2k1/1p4pp/p1q1p1r1/2np4/3Q1P2/2N4P/PPP2RP1/4R1K1 b - -,g6f6
1r1q1rk1/p4p1p/3pbnp1/1pp1p3/3nP2N/2NP2P1/PPPQ1PBP/4RRK1 b - -,c5c4
r6k/1p4np/p5p1/2pBp3/2P3q1/1P6/P4Q1P/5R1K w - -,f2f8
8/5k2/1p1K4/1P2P2p/8/8/8/8 w - -,d6d7
6k1/1p3pp1/p7/3pn3/5pP1/PP2K2P/2P1N3/8 w - -,e2f4
r1bqk2r/1p1n1ppp/p3p3/2Ppn1P1/8/2N3Q1/PPP2PP1/2KR1BNR b kq -,d8a5
8/3B2p1/8/p4P1p/Pr1b3k/3R3P/8/5K2 w - -,d7b5
2rr2k1/p4pp1/4p2p/8/B1PP4/P4b2/3R1P1P/2R3K1 b - -,e6e5
1r6/3rq3/p2p1kp1/Pp1Bb3/1Ppn1P1p/2B4P/2Q3P1/3RR1K1 w - -,d1d4
2r1R3/pk3Q2/1p6/n1r5/P1p5/K1P5/2P5/8 b - -,c8c7
4q1k1/5ppp/p2P2b1/1pr5/5R2/P2P2QP/B1P3P1/6K1 w - -,g3f2
r4rk1/1b1qbppp/pp1ppn2/8/PP1NPP2/2NP4/3BQ1PP/R1R4K w - -,b4b5
8/3Q1p2/6pk/p3P1b1/1p3qPp/1P2R3/P4P2/6K1 b - -,h6g7
2rqr1k1/pbp2ppp/1p1n1n2/3p4/1P1P4/P2BPP2/2QN2PP/R1B2RK1 w - -,d2b3
8/6k1/4p2p/5pp1/R7/P4PKP/2r3P1/8 w - f6,h3h4
r3kb1r/p6p/2p1b1p1/q3pp2/Np2n3/1P2B3/P1P2PBP/1K1RQ1R1 w kq f6,f2f3
r2q1kr1/p2b1pp1/2n1p2p/3pP3/1ppP1Q1P/2P2NR1/P1PKBPP1/R7 w - -,c3b4
r2q1rk1/pb2bppp/1pnppn2/8/3PP3/P1NB1N2/1P3PPP/R1BQ1RK1 w - -,d1e2
k2b4/2q2p2/p4n2/4n1pr/P6p/1QN1BP2/6PP/3R1NK1 w - -,c3d5
r2q2k1/1r1n2p1/4b3/p2pP1pB/1ppP4/Q1P3B1/PP1N1RPP/5RK1 w - -,c3b4
8/3qrpk1/R2b2p1/3P3p/7P/3N1QP1/5PK1/8 w - -,a6c6
4r3/1p2Pk1p/p1rn1R2/2P5/1P6/7P/5R2/5K2 b - -,f7e7
3q1rk1/rp1nppbp/1np3p1/8/p2P4/2N1PBBP/PP3PP1/2RQ1RK1 w - -,d4d5
8/1Rn2p1p/P2k2p1/8/8/3N1K2/2r2PPP/8 w - -,b7b6
2r2rk1/p2nqpb1/1p2p1pp/3pP3/3P4/4NN2/PP2QPPP/R3R1K1 b - -,c8c7
2r3k1/7p/3b2p1/1R1P4/N3p3/1P6/5P1P/6K1 w - -,b5b6
r4rk1/1p1b1pp1/pbn4p/4p3/4B3/4PN2/PPRBKPPP/7R b - -,f8e8
r1b1r3/1ppq1k2/p2p1pnB/3NnN2/4P3/6Q1/PP4PP/R4RK1 w - -,a1c1
2rr4/pp2kp1p/4p3/5p2/8/2P1P1P1/PP2K2P/R2R4 w - -,d1d8
8/1b1p2k1/6p1/8/6PP/P2pKP2/1P1B4/8 b - -,g7f6
2r2rk1/3q1p1p/4bBp1/1p1p1n2/1P3P1P/3P1Q1B/5P2/1R2R1K1 b - -,f5h4
6Rr/5p1P/pp2kP2/3pP2R/2r2p2/2PK2p1/P7/8 b - -,f4f3
2rq1rk1/pb2bppp/1p6/3P4/3N4/PP1Q4/5PPP/1RB1R1K1 b - -,d8d5
7k/pp6/3p4/2pP3q/4B1Rb/7Q/PP3rK1/8 w - -,g2g1
8/5p2/p3bp2/4k3/1PPb3R/P4PPp/4K2P/8 w - -,h4e4
rn1qk1nr/1b2bppp/p1p1p3/1p2N3/P2P4/1QN1P3/3BBPPP/R3K2R b KQkq -,g8f6
8/3k4/p4p1p/1pK2P2/2p3P1/P1N5/8/8 b - -,d7c7
8/8/5kp1/p2r2N1/1p3PKP/1Pb5/P3R3/8 b - -,a5a4
1rbqn2k/3n1pbp/p2p2p1/2pP2P1/2P2P2/2N1Q2P/P1NB4/3BR1K1 b - -,e8c7
r4r2/1p1n1ppk/p2p3p/q3p2Q/4P3/1PPBB2P/5PP1/3R2K1 w - -,h5f5
8/5k2/8/5P2/5BKP/2b5/8/8 b - -,f7g7
r2q2k1/pbp2pbp/1p2rnp1/3p4/5B2/2PP2PP/PP2PQB1/RN3RK1 w - -,b1a3
6k1/p3bp1p/1p4p1/3B4/2b5/P6P/1P3PP1/3R2K1 b - -,c4b5
r1N2rk1/p2nq2p/1pp1pb2/8/3P1p2/1Q3N2/PP2BPPP/R4RK1 b - -,a8c8
3rrb2/ppq3pk/6p1/1PPp1p2/3n4/P1QN1P2/6PP/2R1R1K1 w - -,c3d4
6k1/p1b2pp1/1p2p2p/2q5/8/5N2/PPP1QPPP/6K1 b - -,b6b5
3rrbk1/3q2pp/p1p2p2/PpPn4/1P1NN1b1/6PP/1Q3PB1/2R1R1K1 b - -,g4h5
r2qk2r/1p2bppp/p1n1pn2/3p1b2/3P1B2/2N1PN2/PP2BPPP/2RQK2R w Kkq -,e1g1
8/p5r1/1p3Rbk/4p2p/P6K/3B3P/2P5/8 b - -,g7g8
4R3/p6p/1p4p1/1B3k2/P4p2/7P/2r1KPP1/8 w - -,e2e1
8/8/7k/4NKp1/6P1/5P1n/8/8 b - -,h6g7
rnbq1rk1/pp3ppp/5n2/2p5/1bBP4/2N5/PP2NPPP/R1BQ1RK1 b - -,b8c6
1k6/3pr2p/P1p3p1/1r1p1p2/8/R2N1BP1/P4P1P/5K2 w - -,f3e2
2r3r1/pb2kp2/1p3p1p/2npp3/2P3NR/P3PP2/1PB3PP/2KR4 b - -,d5c4
4rrnk/ppp4p/3b2pP/2pPq1P1/4p2R/2P1B3/PP2BPQ1/2KR4 w - -,c3c4
r1b2rk1/pp3ppp/q3pn2/2b5/8/PPNp2P1/1B1P1PBP/R2Q1RK1 w - -,c3e4
r1bq1rk1/ppb3pp/2p2n2/2Pp1p2/8/1P1nPNP1/PB1N1PBP/R2Q1RK1 w - -,b2d4
3N2k1/2p3pp/4pp2/1n6/3P4/4P1P1/5PKP/8 b - -,e6e5
4k3/pR3pp1/3b3r/3p4/3P4/P4NPP/1P4P1/6K1 w - -,g1f2
1rbq1rk1/p1p1n1bp/3p1pp1/2p5/2P5/2N1B1P1/PP1QPPBP/3R1RK1 b - -,c8e6
r1bq1rk1/1ppnppbp/p2p1np1/8/2PP4/1P2PN2/PB2BPPP/RN1Q1RK1 b - -,a8b8
1r2r1k1/p4p1p/1n2bp2/1p1p4/2pP4/q1P1PBN1/P4PPP/RQ2R1K1 w - -,g3h5
r2n1r2/pp1q2bk/3p2pp/1P2pp1n/1N6/P2PPNPb/1B3P1P/2RQR1KB b - -,d7b5
2rqkb1r/p4ppp/1pnpp3/3bP1N1/3P4/P7/1P3PPP/RBBQ1RK1 w k -,f2f4
r1r5/4kp1p/b1P1p1p1/p7/1bBN4/4B3/1PKN2PP/2R5 w - -,c2b1
R7/6p1/5pkp/3p4/p3PP2/4K1P1/1r1N3P/3b4 w - -,e4d5
8/6kp/p3p3/1p2P3/1P1N4/P3pKP1/3r4/2R5 b - -,d2d4
r2n2k1/pp1b2r1/3bp1p1/3p1pNp/3P1P2/3BP2P/PPR3P1/2R1B2K b - -,g7e7
5k2/5p2/2Q1p2b/4P3/2p5/5P1P/r3KP2/8 w - -,e2f1
4k2r/pp2p2p/2r1bpp1/8/8/2P1B1P1/P2RPP1P/2K4R w - -,e3a7
2r3k1/1p1r3p/p3p1pR/P3qp2/8/3PP3/1PPQ1RPP/7K w - -,d3d4
r1br2k1/pp2p1bp/2n1p1p1/q1n5/8/P1N1BNP1/1PQ2PBP/R4RK1 b - -,c5d3
8/1p1R2rk/1p5p/1P2p3/p7/P1r4P/5P2/1R3K2 w - -,d7d6
1r6/2rnq1pk/2p2p1p/2P1p3/PPRpP1B1/3Q2P1/5P1P/2R3K1 b - -,h7h8
5k2/1p3p2/1R4p1/7p/5P1P/1P1r4/6K1/8 b - -,f8e7
1r1r2k1/5p2/1b2pq1p/1B2n1p1/4P3/B1P3PP/4QPK1/1R3R2 w - -,b5a6
2r2rk1/1p1n1ppp/2b1p3/p3P3/2B2B2/PR3P2/2PK2PP/7R b - -,c6a4
1r3r1k/4N1bp/pq1PQ1p1/1pp2p2/2n1bB2/1N4PP/PP6/3RR1K1 w - -,e1e4
8/5p2/ppkb3p/2p4P/2Pp4/3P4/PP2KPr1/4N2R b - -,g2g5
1rbqr1k1/1p1n1pbp/p2p2p1/2pN4/P1PNPP2/3B4/1PQB2PP/4RRK1 b - -,g7d4
2r2r2/3q2k1/p1npbp2/2p1pn1p/1pP1B1pP/1P1PP1P1/P1Q1NP2/2RR1KN1 w - -,c2b2
1r1r2k1/1q3pbp/5np1/1p1pp3/P3P3/1PNQB2P/5PP1/2R1R1K1 w - -,e3g5
1rr5/6b1/1p3kpp/pP1P4/NpP1PpPP/5P2/R2R2K1/8 w - -,a2c2
3n1k2/3b3p/1q2r1p1/1p4P1/1P6/2Q5/P5BP/3RR2K b - -,e6e1
4r1k1/1b2bp2/p2p2p1/2r3Pp/3NPQ1P/1qB1R3/1P6/3RK3 b - -,b3a4
2rr2k1/qpp1npp1/p2bp2p/3b4/2NPN3/P3P1P1/1PQ1BP1P/2R1R1K1 w - -,b2b4
rn2k3/pp2b2Q/2p3N1/2q1Pp2/P7/2N5/1PP2PPP/3b1RK1 w - -,f1d1
1r1r2k1/p1pq1pbp/2p1p1p1/P7/1P1P1P2/2P1N1P1/2Q4P/3R1RK1 w - -,f1f2
8/5k2/6p1/5pP1/1R3P2/5r1p/7K/8 w - -,b4b7
8/5rpp/8/p7/4P3/k1p5/PbK3RP/3R4 b - -,f7b7
4k3/6R1/2r1p1p1/p3P3/8/B1p5/P1K5/8 b - -,c6c4
3r4/5p1k/3q2p1/7p/3p3P/3R1P1K/4Q1P1/8 w - -,e2e4
5k2/1R6/4Bp2/4nK2/7r/1P6/P7/8 b - -,e5c6
3r1rk1/p2nb1pp/1qp1p1b1/1p6/3P1BP1/4N3/PPP1Q1NP/R4RK1 b - -,c6c5
2r2rk1/1p1b1pbp/p2Pp1p1/1q2P3/2N1NP2/8/PP1Q2PP/2RR3K w - -,b2b3
5r2/1r2qpk1/6p1/3p4/1p1R3P/2P5/1P3QP1/R5K1 w - -,d4d5
r4r2/p2bbkpp/1ppBpp2/8/2NPP3/1PP5/5PPP/1R3RK1 b - -,c6c5
2rr1bk1/pb2pp1p/Bp4p1/n1p5/3PN1P1/B1P1PP2/P6P/1RR3K1 w - -,a6b7
8/4b1k1/ppb1q1p1/2pp4/3PpPp1/P3P1P1/1P1Q4/2BN3K b - -,e6f5
8/5p1p/pp3p2/2k2PP1/2r1B2P/1R1K1P2/2r5/8 b - -,c2h2
5r2/6p1/2pk4/1p2p3/1RP2bP1/1P3P2/4KB2/8 b - c3,b5c4
8/5p1p/3p1kp1/4p3/2PpPPK1/rP1R2P1/7P/8 w - -,h2h3
7r/1p2kppp/pbr1n3/4p3/4P3/2PB2P1/PP1B3P/3RK2R b K -,h8d8
r1bq1rk1/1p2bp1p/p1n1p3/5p2/2B1N3/1P2PN2/P1Q2PPP/R4RK1 w - -,f1d1
3r2k1/1p3pp1/p3p1p1/4Q3/1nP5/1P3qNP/P4P1P/2R3K1 w - -,c1a1
r3kb1r/pp3ppp/n1p1pn2/5b2/1q1P1B2/1BN5/PPPQNPPP/R3K2R w KQkq -,a2a3
5k2/5p2/6p1/p1R1Pb1p/P2KrN1P/1P4P1/8/8 w - -,d4d5
r1b3k1/1p1n1ppp/2p5/p5B1/1P6/8/1PPR2PP/qNK4R w - a6,h1e1
r1bq1rk1/ppp1bppn/2n4p/3pP3/3P4/1Q1B1N2/P2N1PPP/R1B1R1K1 w - d6,d2f1
4r1k1/5p1p/pp1R1Bp1/1bn3P1/2p5/2P2P2/P1P2K1P/5B2 w - -,d6b6
r3k2r/1pq1p2p/p4bp1/P2p1n2/3p1P2/2P5/1P1PN1PP/R1BQ1RK1 w kq -,g2g4
r3r3/3n1pk1/b1nq2p1/2pNp2p/4P2P/1PQN1P2/P4KP1/R4B1R w - -,d3b2
2r3r1/1b1kq3/p1n1p3/PpRpPp2/3P3p/Q4B2/1P1B1PPK/2R5 w - -,c1c2
r1b2k2/pp2pp1p/2B3p1/2P5/8/2n1PN2/P4PPP/3RK2R b K -,c3d1
3k4/2R5/1n2p1p1/4P3/p3N2P/P5P1/2K2P2/4r3 w - -,c7c6
5r1k/qp1R1pp1/4pP1p/p6P/P4BQ1/2n3P1/2b2P2/5BK1 b - -,g7f6
r1b2nk1/pp6/2pb1r1p/3p2pq/3P1p1P/4PNP1/PP2NPB1/2RQ1RK1 w - -,f3e5
2r1r1k1/1q3ppp/2b5/8/4PQ2/3R1PP1/B5KP/3R4 w - -,d1d2
3r2k1/p3bpp1/1p5p/1n2P3/1P4P1/P1B5/4RPP1/1B4K1 w - -,c3e1
r1bqkb1r/4ppp1/p6p/1p1PNn1n/7B/2N5/PP3PPP/R2Q1RK1 w kq -,d1h5
r3k1r1/pp1n1p1p/2bqp1pB/3nN3/3P2Q1/1B6/PP3PPP/2RR2K1 w q -,e5c6
2R5/p4ppk/Bp3rbp/3p4/3P4/P1N2P1P/1P3KP1/8 b - -,b6b5
r2q1rk1/3nbppp/b1p1p3/p2P4/N7/P3B1P1/1P2PPBP/2RQ1RK1 b - -,c6d5
r4rk1/p1qnbppp/bpn1p3/2ppP3/8/3P1NP1/PPP1QPBP/R1B1RNK1 w - -,c2c3:c1f4
3rqrk1/p5pp/5b2/2p2p2/2P1pP1P/2B1P1P1/P3QK2/2R4R b - -,d8d3
8/1p2kp2/2pnn1pp/p2p4/P2P2P1/1PPNK2P/4NP2/8 w - -,f2f3
8/4k3/p7/2PPrpp1/b1p5/5RP1/P6K/8 w - -,f3c3
q3r1k1/pbrnbppp/1pp2n2/3p4/3P4/1P1N1NP1/PB2PPBP/2RQ1RK1 w - -,f3e5
2r3k1/2n2pp1/1pP1p2p/p4b2/1R6/5PB1/P5PP/2R2BK1 b - -,a5b4
8/8/2p1p1r1/prPpP1k1/3P3p/RP3RpP/4K1P1/8 b - -,g6g8
1r1q1bk1/R1nn1p2/1p1p2pp/3Pp3/1P2P3/NQ3P2/5BPP/5BK1 b - -,c7e8
