n7/8/3p4/2pP2k1/2P1K3/8/8/3B4 b - -,a8b6
r1b1kb1r/pp3ppp/1qn1p3/3pP3/3P4/2N2N2/PP2BPPP/R2QK2R w KQkq -,e1g1
5k2/1nbn1p2/1p4p1/3BN3/P1PB1PP1/4K3/8/8 b - -,d7e5
2r2r1k/3nqppp/1pn1p3/pBbpP3/P2N1P2/2P1B3/1P3QPP/R3R1K1 b - -,d7b8
8/1Q5r/2pk4/6R1/4p3/PbB4q/1KP5/8 w - -,b7b3
r4rk1/1b3ppp/pp1ppq2/8/2P2P2/2N2N2/PP2Q1PP/4BRK1 w - -,f3g5
rn1qkbnr/1p1b1pp1/p1p1p3/3pP2p/3P1PP1/2N2N2/PPP4P/R1BQKB1R w KQkq h6,g4g5
r1b1k2r/ppp1q2p/2np1p2/2b3p1/2B1P3/6B1/PPPQ1PPP/RN3RK1 b kq -,h7h5
2qr2k1/1p3pp1/pbr2nn1/1P2p1Bp/4P3/P1N3PP/2Q2P1K/R1R2B2 b - -,a6b5
r4rk1/pb3pp1/1p2pn1p/3q4/8/2RBPNP1/PP2QPP1/3R2K1 b - -,d5a5
r1b2rk1/1pq1bppp/p2ppn2/4n3/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 w - -,a1c1
8/p5p1/1p2pk1p/3r4/4R3/5P2/PP2K1PP/8 w - -,a2a3
8/pp2knb1/2p4p/8/5PP1/2PK2B1/P3B3/8 w - -,e2f3
3q1rk1/1prb1p1p/p1n1pnp1/3pN3/3P1PP1/1PN1P2P/P2Q2B1/2R2RK1 b - -,d8e7
r1b2rk1/1p1n1pp1/1b6/p3p1qp/P3P3/1N1B2B1/1P2QPPP/2RR3K w - -,b3d2
2rr1k2/1b3ppp/pq3b2/1p1ppP2/4P2Q/PNNP3R/1P4PP/5R1K w - -,h4h7
r1bq1rk1/pp2npbp/4p1p1/nP6/Q1p5/B1N2NP1/3PPPBP/1R2K2R b K -,e7d5
3rkb1r/1bq1pp1p/2p3p1/1pPnN3/p2P4/P5P1/1P2QPBP/R1B1K2R w KQk -,h2h4
5k2/7p/1p2bp2/4p3/1PP5/1N2K1P1/1n2B2P/8 w - -,b3d2
r1r3k1/5p1p/pp2q1p1/PnpR4/4P3/2B2PP1/1P1Q3P/R5K1 b - -,b6a5
2rr2k1/5ppp/pq2pn2/1pb1N3/4bB2/6P1/PP2PPBP/2R1QRK1 b - -,c5d4
r1bqkb1r/pp3ppp/2n2n2/3pp3/8/5NP1/PPP1PPBP/RNBQK2R w KQkq e6,e1g1
r1q1r1k1/1pp1np2/1P1pbbpp/4p3/2P5/3P2P1/3NPPBP/1RBQ1RK1 b - -,d6d5
r4rk1/pQpb1pp1/3p4/P2P4/n1P1q2p/2P1P3/R3N1PP/2B1K2R w K -,b7c7
rn2k2r/ppp2pp1/4pnp1/q7/2BP4/P1b5/1PPB1PPP/R2QK2R w KQkq -,d2c3
r1r3k1/1p2ppbp/6p1/p1n1P3/Pn1pNPP1/1q1P4/1P4BP/R1BQN1K1 w - -,d1f3
r1bqkb1r/1p2pppp/p1n2n2/3p4/3P1B2/2N2N2/PP2PPPP/R2QKB1R w Kkq -,a1c1
5k2/1p1b1p2/p2q2p1/P2p3p/1P3P1P/2P1Q1P1/6B1/6K1 b - -,d7e6
2r2rk1/5p1p/p1b1p1p1/q1P5/5P2/2R1Q3/4B1PP/2R3K1 b - -,f8d8
r3r1k1/2p2ppp/2qpbn2/1pn1pN2/4P1P1/2P1BP2/PP3QBP/R4RK1 b - -,e6f5
6k1/p1q2ppp/bpp5/2b1nNB1/2P1P1P1/1P5P/P5B1/3Q3K w - -,g5f4
2rq1rk1/1b3pb1/pp2p1pp/3nNn2/P1NP4/3BB3/1P2QPPP/2RR2K1 b - -,b6b5
3k4/pR6/2p5/2N3p1/1P1p2q1/P6p/4R3/6K1 w - -,g1f1
r4rk1/1pq2p1p/6p1/p2R4/1pPnP3/1P3P2/6PP/1Q1R2K1 w - -,d1d4
1n5r/p3n1k1/q4pr1/1p2p3/2p1P3/2P2QPB/PP3N2/3RR2K w - -,a2a3
1r4k1/1rq1ppbp/b2p2p1/2pPn3/P7/1PN3PP/2QBPP2/1R2RBK1 b - -,c7c8
2br4/5pkp/p3qNp1/8/3r2P1/4Q3/PP2B1PP/5R1K w - -,e3f3
r1b1k1nr/pp1n3p/2p1p2q/3pPp2/3P4/2NN1P1B/PPPQ3P/2K1R2R w kq -,d2h6
7k/1p1rq1p1/p1rp3p/4pb2/P1P1N3/1P1R1P2/6PP/3RQ1K1 b - -,e7d8:e7e6
br2rbk1/p2n1pp1/2qp1n1p/2p2N2/4P3/P1Q5/1BBN1PPP/1R1R2K1 w - -,c3g3
8/1p6/8/p3k3/P1B1p1b1/1PP4r/3K4/4R3 w - -,e1g1
6k1/p1r2ppp/1br2n2/3p4/n7/4P1P1/P2B1PBP/1Q3RK1 w - -,h2h3
6k1/8/5Rp1/5b1P/p4K2/2B5/8/5r2 w - -,f4g5
8/p6p/4pp2/2R5/2P5/4k1P1/P6r/3B1K2 b - -,h2h1
rn1qkbnr/pbpp2pp/1p2p3/8/3PBP2/8/PPP1Q1PP/RNB1K1NR b KQkq -,b7e4
4b3/8/8/1p1p2k1/2p1rpp1/1PP3P1/3KB3/5R2 w - -,g3f4
b2r2k1/2p3p1/Q1n2p1p/1pqnp3/8/1BBP4/1PPN1PPP/4R1K1 b - -,b5b4
2r3k1/1p3p1p/4b1p1/8/2B1P3/pP2BP2/Pb1r1KPP/3R4 w - -,d1d2
8/8/2Np4/1k1Pp3/4P3/4K3/P5n1/8 w - -,e3f3:e3d3
6k1/R4pp1/2BNbn1p/2P5/8/1r2r1P1/7P/R5K1 b - -,b3c3
8/R7/3Pkpp1/1r5p/3KP2P/6P1/8/8 w - -,d6d7
r2qkbnr/ppp2ppp/2Bp4/8/3pP1b1/2N2N2/PPP2PPP/R1BQK2R b KQkq -,b7c6
4bbk1/5p1p/p2p1Bp1/q1pP4/PpP2Q1P/1P6/2B2PP1/6K1 b - -,a5c7
r1b2rk1/pp3pp1/2nq3p/7Q/3p4/P2B4/1PP2PPP/R1B2RK1 w - -,f2f4
2b1r1k1/2q2pbp/p2p2p1/2pP2Bn/n3P3/3N2PP/1P3PB1/3Q1RK1 w - -,d1a4
2q2rk1/pp2pp1p/2n3p1/b1p4n/2P2B2/P2P1NPb/4PPB1/1RQ2RK1 w - -,g1h2
8/5pk1/5n1p/pBR3p1/2P5/PP3P2/1r4PP/5K2 w - -,b5a4
2rq1rk1/pp3ppp/2n1pn2/3p4/1b1P4/P1NBPQ2/1P1B1PPP/2R2RK1 b - -,b4a5
6k1/1R4p1/2p4p/b3rP2/6P1/4BR2/r6P/5K2 b - -,e5d5
3rb3/pk2q3/1pn1pb1r/1N1p2pp/B2P4/3NP3/PPQ2RPP/5RK1 w - -,a2a3
r4rk1/1q2bppp/p1b2n2/1p2Bp2/8/1BN3Q1/PPP3PP/4RR1K w - -,f1f5
r3k3/1q1pnpp1/p1b1p1r1/Q3P2p/2PN3P/1R4B1/2P2PP1/4R1K1 b q -,b7a7
5r2/1pr2kp1/1Rn1bp1p/3pp3/8/3P2P1/3NPPBP/R5K1 b - -,c6d4
r4rk1/1pp1qpn1/n2p4/3PpPp1/1PP4p/2N2P2/5RPP/1R1Q1BK1 w - -,f1d3
r1b2rk1/ppqnb1pp/4p3/2ppP3/2BP3P/P1P1BN2/1P1Q2P1/R1N1K2R b KQ -,d5c4
2r5/pkp2R2/3pNp2/3P4/4P1P1/3K1P2/Pb6/8 b - g3,b7b6
r2q1rk1/p2nbppp/bp2pn2/2pp4/2PP1B2/3BPN1P/PP2NPP1/R2Q1RK1 w - -,c4d5
2R5/8/1k2BK2/1pp5/8/4r3/8/8 w - -,e6d7
4rrk1/1b2n3/3p4/1N3pq1/1P1P4/5P2/2Bn2P1/R2QR1K1 w - -,a1a3
2rr1nk1/pp3p1p/4p1p1/3P1n2/1P5P/P1q2NPB/1Q3P2/3RR1K1 w - -,b2e2
3r2k1/pp3ppp/5n2/3p4/1P1RpP2/P1r5/4B1PP/3R2K1 w - -,a3a4
r1bqk1nr/pp2b1pp/2n1pp2/3pP3/3P4/3BBP2/PP1NN1PP/R2QK2R w KQkq -,f3f4
r1r1n1k1/1p2ppbp/p5p1/2qPn3/8/PQN1P1BP/1P2BPP1/2RR2K1 w - -,c3a2
5rk1/6b1/3p2p1/2pPp1Pp/1p2P2P/pP2B1RK/P4P2/8 w - -,h3g2
rnbq1rk1/ppp1p1bp/3p2pn/5p2/2P1P3/2NP2P1/PP3PBP/R1BQK1NR w KQ f6,g1e2
r2qkb1r/pp1npppp/2pp4/8/3Pb1P1/4BN1P/PPP2PB1/R2QK2R w KQkq -,d1e2
r1bqk2r/pppp1ppp/3b1n2/n3p3/8/NP2P3/PBPPBPPP/R2QK1NR b KQkq -,a7a6
8/6k1/p7/b3P3/5P2/1P2nK1B/P3r3/8 b - -,e2h2
2r3k1/pp3ppp/2b1p3/3nP3/8/8/PPPB2PP/2KR1B2 w - -,b2b3
4rk2/1R4bp/2Np1pp1/3P4/5Pb1/2PBn3/r4BPP/2R3K1 w - -,c1e1
8/K1k5/8/P6P/2b5/5B2/8/8 b - -,c4d3
5r1k/1bq3p1/p2n3p/3p4/3R1P2/5QPP/1PP1R2K/8 w - -,f3d3
8/p2r2kp/5pp1/1q6/6P1/8/P2Q1PPK/4R3 w - -,d2f4
5R2/1p2r1pp/p2k4/3p4/8/3KP3/PP4PP/8 w - -,f8d8
4r1k1/1p1q1p2/r4bp1/p3p3/1nppP1B1/N1PP2Q1/1P4PP/R4RK1 b - -,d7c7
2q1r1k1/R5pp/1P2p3/3pPp2/1Q2nP2/1r6/6PP/R5K1 w - -,b4d4
r1bqk2r/3pppbp/p1p3p1/2pnP3/8/2P2N1P/PP1P1PP1/RNBQ1RK1 w kq -,c3c4
R7/3R4/8/2k5/2np4/6P1/3r1PKP/8 b - -,c4b6
3r1n2/4bk2/1p4p1/p1pP1P2/P1P1p3/1P2B3/1KB2P2/3R4 b - -,g6f5
r1bq1rk1/ppp2pp1/1bnp2np/3N4/1PB1P3/P4N1P/1B3PP1/R2Q1RK1 b - -,c8e6
7r/p2kb1p1/4p2p/3pBp1P/2bP1N1q/P4R2/1r3PPQ/2R1K3 w - -,h2h4
r1bq1rk1/pp2nppp/3p1n2/2pPp3/2P5/2PBPP2/P1QN2PP/R1B1K2R b KQ -,e7g6
5bk1/5q2/1p4p1/p2pP2p/P2P2PP/5Q2/1P1B2K1/8 b - -,f8e7
4Nk2/8/1p4p1/p7/P6n/5r1P/7K/5R2 w - -,f1e1
8/8/6Bp/p5p1/P1p3P1/4k3/1K6/8 w - -,b2c3
r3k2r/pp1qn1p1/2nb1p2/2p1pP1p/2PpP2N/3P2P1/PP5P/RNBQ1RK1 w kq -,c1d2
3rk2r/p2q4/2p2Q2/4p1p1/6N1/2P1b1PP/PPB3K1/R7 w - -,f6h8
3br1kr/2qn1pp1/2p2np1/ppPpp3/3P2P1/2NBPP2/PPQ4P/1K1RB2R b - -,b5b4
r2r4/2k2pbp/b1p1p1p1/p1Bnp3/N1P5/1B3P2/PP4PP/2KRR3 b - c3,a8b8
2rr2k1/p4ppp/Bp1qpn2/n7/3P4/P3Nb2/1P2QPPP/R2R2K1 w - -,e2f3
8/p7/1pn2k2/3p1bp1/3P1p2/PPKN1P2/4N1P1/8 b - -,f6e6
1r4k1/6p1/q1pp1bPp/4n3/3BPN2/1P2Q2R/r1P5/2K3R1 w - -,f4h5
1r2nrk1/1p1bppbp/p2p2p1/q1pP4/P1P1PP2/2NQ3P/1P1BN1P1/R4RK1 b - -,a5c7
6R1/4P3/8/7k/7p/r7/2K5/8 b - -,a3a2
r2q1rk1/1bpn1pbp/p1np2p1/1p2p3/3PPPP1/2P3NP/PP2N1B1/R1BQ1RK1 b - f3,e5d4
r1b1k3/ppppqp2/5nr1/4p3/2B1P3/2NP4/PPPQ1bPP/R1B2K1R b q -,f2b6
2r5/p5kp/1pP1pn2/5p2/5P2/5B2/P5PP/2R3K1 b - -,g7f7
r1r3k1/5pbp/1qb2np1/1p1p4/1Qp2B2/1PP1PN1P/5PP1/R2R1BK1 w - -,f3d4
8/6R1/5p1k/2bP3p/4P3/6B1/5PPK/3r4 w - -,g7f7
8/2b3k1/P1N3pp/5p2/2B5/1P5r/4K3/8 b - -,c7b6
2rqkb1r/pp3ppp/2n1bn2/1Bpp4/Q2P1B2/2N1PN2/PP3PPP/R3K2R b KQk -,d8b6
2r1brk1/1p1qpp1p/pB1p2p1/P2P3n/2Pb1P1P/1P4P1/R5BK/3QR3 w - -,g2h3
r3k2r/p2pnppp/1pn1pq2/8/1bP5/2N2PP1/PP1Q1PBP/R1B2RK1 w kq -,c3e4
R7/3q3k/1p1b2r1/2pPp3/2P1Pppp/1Q3P2/3B2PP/7K w - -,b3b6
r1b1r1k1/ppq2pbp/2n3p1/4p3/3PB3/BQPN2P1/P4P1P/R2R2K1 w - -,d4d5
1r3rk1/3nppbp/q2p1np1/p1pP4/4PP2/N1N1B2P/PPQ3P1/2R2RK1 w - -,f1d1
4r2k/6p1/1p2p3/p1bp3q/7p/2PR1rP1/PP2QPKP/3NR3 b - -,h4h3
3n4/1p2r1k1/p2p2pp/P1pPqp2/2P4P/1RP2B2/5PK1/2Q5 b - -,e5f6
r2qr1k1/1b1nb1pn/2p5/p3pPp1/1p1pP3/3P1N1N/PPPB2B1/R3QR1K w - -,e1g3
1r4k1/3nppbp/1r1p2p1/q1pP2B1/2n1P2P/2N2P2/PP2N1P1/1RQ2RK1 w - -,b2b3
4n1k1/1q4pp/5b1r/2pN4/ppP1PQ2/3P4/P6P/B4R1K w - -,e4e5
8/R7/6pk/5p2/P7/r2Bn3/2K5/8 w - -,c2d2
2r2nk1/7p/4p1p1/p2q1p2/1p1P4/6RP/3Q1PP1/3R2K1 w - -,g3e3
7k/p2r1p2/2p4p/n3P2N/7q/3r4/P2P2PP/1Q2R2K w - -,h5f6
r1bq1rk1/ppbn1ppp/2p1pn2/8/2PPp3/2N3P1/PP1N1PBP/R1BQ1RK1 w - -,d2e4
k3n2r/ppq1rppp/2pbp3/8/1PPP2P1/2B2Q1P/P3RPB1/1K2R3 w - -,e2b2
r1b1k2r/pp1n1ppp/2p1pq2/3n4/1bBPQ3/2N5/PPP1NPPP/R1B2RK1 b kq -,e8g8
r1bq1rk1/ppp3pp/8/3pR3/Pb1N4/2N5/1PP2PPP/R2Q2K1 b - -,d8f6
r5k1/pp2qppp/1bn3b1/4p3/2B5/1P2P1N1/PB3PPP/R2Q2K1 b - -,a8d8
r2qkb1r/p2p1ppp/1p2p3/3bP1N1/3P4/P7/1P3PPP/R1BQR1K1 b kq -,g7g6
4r2k/1b1q1pp1/4n2p/1P2pN1Q/1b1p4/1B4PP/1P4P1/2B2RK1 b - -,b4f8
3r2k1/3r4/pp2p3/4b2p/2P2Pp1/1P1P4/P1NRKP1P/2R5 b - -,e5f4
3r2rk/1b2qp2/1R3b1p/4n2P/5B2/4P1R1/P1Q3P1/5NK1 b - -,g8g3
r1bq1rk1/1p3ppp/p2p4/2nPp3/1P2P3/6P1/P2QNPBP/R3K2R b KQ b3,c5a4
8/7p/1p1k4/5pp1/P4p2/4K1P1/PN5P/5b2 w - -,g3f4
r7/2kp4/2bq4/p1r2p1B/Pp3Q2/1P4P1/2P4P/2R2RK1 b - -,c6e4
R3bk2/7R/8/8/p3r3/7P/6P1/6K1 w - -,h7h8
8/8/p1bk1p1p/3p1p2/1P1K3P/1B2PPP1/8/8 b - -,c6b7
rnbqk2r/pp2ppbp/2p3p1/8/3PB3/5N1P/PPP2PP1/R1BQK2R b KQkq -,b8d7:e8g8:c8f5
8/kp6/p3p3/P7/6P1/7R/1r4P1/6K1 w - -,g4g5
r1bq1rk1/ppp1npbp/3p2p1/3N4/2PpP3/1P6/PB1PBPPP/R2QK2R w KQ -,d2d3
rn1qkb1r/pp2pppp/2p5/3np3/3P4/5B1P/PPP2PP1/RNBQK2R w KQkq -,d4e5
3q1rk1/p3p1bp/3p2p1/3Pn3/NB2p3/1P5P/P3QPP1/2R3K1 w - -,e2e4
r1r3k1/1b3p2/1qn1p1Bn/p1bpP2p/1p1N1P2/2P1BN2/PPQ3PP/R3K2R b KQ -,h6g4
2b2rk1/1q2p1b1/p2p1p1p/2nP2p1/PpB1PP2/1P4R1/1B2Q1PP/5R1K b - -,e7e5
2R2Q2/6p1/8/3p4/3P4/1r4kP/6r1/4R1K1 w - -,g1f1
8/6k1/p4p2/1p2pPpb/2NpP3/3P4/1P6/4K3 w - -,c4d6
2r5/1r2p1k1/1p1p2p1/1P1N1p2/2P1nP2/4P3/4K1P1/RR6 w - -,b1c1
r1q2rk1/p2n1pbp/1p2pnp1/2ppN3/3P1P2/BP4P1/P1P2PBP/R2QR1K1 b - -,f8d8
6k1/p4pb1/1q4p1/1pprP2p/5Pn1/1PR5/P1Q1N3/1KB5 w - -,c2e4
r1bqk1r1/5p1p/p2p1B2/np6/2p1P3/1BQ5/PPP2PPP/R4RK1 b q -,d8b6
5rk1/2qnb1np/p2p2pB/2pPp3/2P1Pp2/1RN2N2/PQ3PPP/6K1 b - -,f8b8
r1bqk2r/ppp1ppbp/1nn3p1/8/N2PP3/4B3/PP3PPP/R2QKBNR w KQkq -,g1f3
r4rk1/pp1b2bp/nq1n1p2/2pPpp2/4P3/P1N2NP1/1P4BP/R1BQ1R1K w - -,f3h4
8/p7/kp6/3Qb1PK/6N1/5P2/P7/4q3 b - -,e5a1
1rq2r1k/p1p4p/3p1p2/2p5/8/PP4Q1/1P4PP/4RRK1 w - -,e1e7
5k2/1q3p2/4pr1p/p1R5/P3QP2/1P4P1/3r3K/4R3 w - -,h2h3
rnbqkb1r/pp2pppp/2p2n2/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq -,f3e5:b1c3:h2h3
2q3k1/1p3r2/r2p2nb/P1pPp1np/2P1Ppp1/1R3PP1/2NB2BP/3Q1RK1 w - -,c2e1
2r3k1/4b2p/2r3p1/1pp5/p2pPP2/P4KPP/1P1B4/2RR4 b - -,c5c4
8/2Q2pk1/5npp/8/3qP2P/5BP1/5PK1/8 w - -,c7e7
rn1r2k1/pp2ppbp/2p1bnp1/q7/3PPB2/2NQ1N2/PP3PPP/3RKB1R w K -,f1e2
1q3k2/5p2/Q2p2p1/2pPp3/1rN5/3B2P1/5PK1/8 w - -,d3e2
2r1r1k1/5p2/p1qp2p1/R7/4n3/3QB1Pp/1b3P1P/3R2KB w - -,a5a6
1r1qnrk1/pp1b1pb1/3pp1p1/2p5/P2nPNP1/2NPB2P/1PP3B1/1R1Q1RK1 b - -,b7b5
r2q1rk1/pb2bppp/npp1pn2/4P3/2NP4/2N3P1/PP3PBP/R1BQ1RK1 b - -,f6d5
6k1/5pp1/2pq4/1p2p1p1/1P2PnP1/3P3P/1Q3P2/5BK1 w - -,b2c3
8/5pkp/6p1/1p4r1/P5P1/1P5P/3R1PK1/8 b - -,b5a4
rn2kb1r/ppq2ppp/2p1pn2/8/3P4/2N2QPP/PPP2PB1/R1B2RK1 b kq -,b8d7
8/p4k1p/3b1pp1/8/1p6/1P1N1PP1/P4K1P/8 b - -,f7e6
6k1/p4ppp/P1N1p3/1pq1Pn2/8/1P4P1/2r2P1P/R3Q1K1 w - -,a1d1
2r5/pk2rpp1/1pp3n1/2P1pbPp/3P3P/1B3P2/PP1R4/2KRB3 w - -,c5b6
r7/5pk1/3R1n1p/B3p1p1/n1NpP3/3P2PP/B4P1K/8 w - -,a2b1
r2q1rk1/4ppbp/p1ppbnp1/2P5/4P3/PPN3P1/1B3PBP/R2Q1RK1 w - -,c5d6
1r2r1k1/5pbp/3p2p1/1PnN4/p1R1PP2/6P1/P5BP/5RK1 w - -,e4e5
2k5/1R3ppp/4p3/3r4/3r4/6P1/P4P1P/1R4K1 b - -,d4d1
r1bq1rk1/1p1n2p1/p1p1p2p/1PPp1p2/P2PnP2/3B1N2/2Q1NPPP/R4RK1 b - -,g7g5
3r2k1/5pp1/8/1p1p2P1/pN1P4/2P1rB2/5K2/2R5 b - -,d8e8
r3k2r/ppqbnp2/2n1p2p/2ppP1p1/P2P4/2PB1N2/2P2PPP/R1BQR1K1 w kq g6,c1a3
b4qk1/p3p1b1/1p2P2p/n4rp1/6R1/Q3Bp1B/PP3P1P/R5K1 b - -,f5b5
r1bqk2r/ppp2ppp/2n2n2/4p3/1PPp4/3P1NP1/P2NPPBP/R2QK2R b KQkq b3,d8e7
r1bqkb1r/pp2nppp/2n5/3p4/2Pp4/5N2/PP2BPPP/RNBQ1RK1 w kq -,f3d4
r2q2k1/p4pb1/B5p1/3p3p/P2p4/3QPP1P/6P1/1R4K1 w - -,e3d4
2rqk2r/1p1n1p2/p1n1p1p1/2bpP1Np/5P2/2PQ4/PP2N1PP/R1B2R1K b k -,c6e7
5rk1/pp3nr1/2p1p3/3pN2P/3P2PK/1P2P3/P7/R4R2 w - -,f1f6
6k1/3b1p2/3B2p1/1p5p/p7/2R3PP/5K2/1r6 w - -,h3h4
6k1/4r2p/6pb/N4p2/3p1P2/1r1P4/1P1R2KP/5R2 b - -,b3b6
r3kb1r/1p1b1pp1/p1npp2p/q7/4PPP1/2N2N2/PPPQ3P/1K1R1B1R b kq -,e8c8
r3r1k1/p2n1pp1/1pb2n1p/2pp4/P2P1B2/2P1P3/3NBPPP/R4RK1 w - -,f1b1
8/5p2/1k2p3/p5Pp/P1K2P1P/8/8/8 w - -,c4d4
1rbqr3/p5bk/1p4pp/2PN4/4PB2/5QP1/P6P/1R3R1K b - -,b8b7
8/R4kp1/8/1p3p1P/2p2P2/pnr1B3/4K3/8 b - -,f7g8
4k3/p3Pn2/1p5p/8/8/2P2bPP/P2B1qB1/4R2K w - -,e1g1
r1b1k2r/pp3ppp/4p3/8/4N3/4K3/PPP2PPP/R6R b kq -,e8e7
6k1/p3qrpp/1n2r3/1Q1pp3/6b1/1P2PN2/P3BPPP/4RRK1 w - -,f3d2
8/6pk/8/3R1KpP/5P2/8/r7/8 w - -,f4g5
2r2nk1/1p1q2p1/p4p1p/P2p4/1Q1P4/R3B2P/1Pb2PP1/5BK1 w - -,f1e2
r1bqk2r/1p2ppbp/2p1n1p1/p1p1P3/P7/2NP1N1P/1PP2PP1/R1BQR1K1 b kq -,d8c7
8/5pk1/pR1Q1b1p/5qpP/4p3/8/4K3/8 w - -,b6b8
5rk1/4q3/2Np1r2/1P2pP1p/P5pP/5nP1/2BQ3K/3R4 w - -,h2h1
r1br2k1/pp3p1p/3Pp1p1/1N1p4/1q6/4PN1P/P3BPP1/b2Q1RK1 w - -,d1a1
1r3rk1/pp2qb1p/6p1/2P3n1/3PN3/4RB2/P1Q4P/1R5K w - -,f3g2
2k1N3/1pq2r1p/p1p3n1/2Q5/1P2P3/8/2P3PP/3R2K1 b - -,b7b6
