8/8/8/2K5/8/2n4k/1p6/6R1 b - -,h3h2
3q1rk1/p3nppp/1p2p3/8/3P4/4N3/PP1QnPPP/5RK1 w - -,d2e2
8/2k1p3/6pp/p1r5/6PP/1Qp2PK1/P1Nr4/8 b - -,c5c6
r2q1rk1/1b1nbppp/p2p4/n2Pp3/B1p1P3/N1P2N1P/1P3PP1/R1BQR1K1 b - -,d7c5
2q4r/5pk1/pn1bp1p1/1p1p4/3P3P/4P1P1/PN3PK1/1B1Q1R2 b - -,b6c4
r5k1/ppq1b1p1/4b1rp/5p2/2Pn4/2BBQ3/P1P2PPP/1R2R1K1 b - -,c7c6
r1bq3k/1pp3b1/2np3p/1N1Bpn2/2P3pP/P2P2P1/3BP1K1/1RQ1N3 b - -,c6e7
8/6kp/p7/1p4p1/1P4P1/P1R3K1/r4P1P/8 b - -,g7g8
r1b3k1/1p2bp2/p3p1pp/4q3/4NP2/P3P2P/1PQ3P1/1B1R2K1 b - f3,e5a5
r2q1rk1/3nbppp/pp1p2b1/3Pp3/P2P2P1/2P2N1P/3B1P2/RB1QR1K1 b - -,f7f5
4k3/8/4Pp2/5P1K/8/B1b5/8/8 w - -,h5g6
rnb2rk1/p4pp1/1p2pq1p/8/1PB5/1QP1PN2/5PPP/R4RK1 b - -,c8b7
rr1b2k1/1p1nq1pp/3p4/1BnPp3/p1N1P3/4B3/PP1Q2PP/2R2R1K w - -,d2c2
rn3rk1/1p1qppbp/2p1b1p1/3p4/p1PP4/BP3NP1/P2QPPBP/R1R3K1 b - -,f8e8
r3kb1r/pp2pppp/2n2nq1/2p5/Q1BP4/2P1BN2/PP3PPP/R3K2R b KQkq -,g6g2
r2qkb1r/pp2pppp/5n2/n2p1b2/2PP4/1QN2N2/PP3PPP/R1B1KB1R w KQkq -,b3d1
1r1q1rk1/p2bbp1p/2n1p1p1/1p1pP2N/3P4/3BP3/PP1B1RPP/3Q1RK1 b - -,f7f5
1n4k1/6b1/bpn1pq1p/p2pN1p1/P2P4/2P1B1PP/5PB1/1Q3NK1 b - -,f6d8
r1bq1rk1/pp4bp/n2p1pp1/2pPp3/2P1P1nB/2N5/PP2BPPP/R2QNRK1 b - -,g4h6:h7h5
3r2k1/pb1q1pb1/1p4pp/2p1p3/7r/2PPB3/PPBQRPP1/R5K1 b - -,b7g2
3q1k1r/1p3p2/p1r1bPpb/3p4/3BP2P/P7/1PP1BQ2/1K1RR3 b - -,d8c8
1k1rn3/1pp4p/p2q1rp1/Q1RBR3/3P4/P3P3/1P5P/1K6 w - -,a5a4
1rb1qrk1/1np3bp/p2p2p1/P2Ppp2/1P2PnPP/Q3BPN1/2P5/3RKBNR w K -,g4g5
rnq2rk1/4ppbp/3p1np1/1NpP4/5Bb1/6P1/PPN1PPBP/R2QR1K1 b - -,c8b7
r3r1k1/2p1qpp1/1p1p1n2/6p1/pPP1b1P1/P1Q1P2P/5P2/B1R1RBK1 b - -,e7f8
1r3rk1/2qnbppp/b1p2n2/p1Ppp3/3P4/2B1PNP1/P1QN1PBP/R2R2K1 w - -,d1b1
r1bqr1k1/ppp2pp1/3p1bnp/4n3/3NP3/2N4P/PPPBBPP1/R2QR1K1 b - -,e5d3
1k1r4/pp6/2pbqp2/8/P2pPp2/7r/NP1B1RQP/R5K1 w - -,e4e5
r2q1rk1/1p1b1pbp/2p2np1/p2pP3/Pn1B1P2/2N3PP/1PPQN1B1/R4RK1 b - -,f6e4
2k1r3/ppp3p1/2nb3p/8/3p4/P4N2/1PPB1PPP/R5K1 b - -,d6e7
7k/p7/1p4rp/4q3/2Pbp3/P6R/2Q5/2K2R2 w - -,c1b1
4r1k1/2p2p1p/p1r1p1p1/1p6/8/1PPR3P/P3KPP1/3R4 b - -,g8g7
8/1R3ppk/1p1r2n1/pP6/4BP1p/6PP/8/6K1 b - -,h4g3
2b5/5kp1/pP5p/4N2P/8/4P3/2p3PK/2n5 b - -,f7e6
r1bq1rk1/p3ppb1/2p2np1/1p1pB2p/3P3P/2N1PP2/PPPQB1P1/R3K2R b KQ -,f6e8
r4rk1/p1p2ppp/3pqb2/1p6/7P/2PQB3/PPP2PP1/1K1R3R w - -,d1e1
1r3rk1/n2q2pp/pb1p4/3Pp3/1PR1Pp1P/2N2NP1/2Q2PK1/4R3 w - -,c2e2
rnbq1r2/ppp1ppkp/5np1/3p4/3P4/2N5/PPPQPPPP/R3KBNR w KQ -,e1c1
rnbqk2r/pp2p1bp/5ppn/1B1p4/3P1B2/2N2N1P/PPP2PP1/R2QK2R b KQkq -,b8c6
8/5rk1/2bp2p1/2ppp2p/pr6/1P1P1P1P/P1P3PN/3R1R1K b - -,d5d4
6k1/P4pp1/2p4p/3p4/N7/1b5P/4QPPK/2q5 b - -,c1f4
rnbqkb1r/pp1p1ppp/2p2n2/4p3/2B1P3/3P4/PPPN1PPP/R1BQK1NR b KQkq -,d7d5
rn1qk2r/p2p1pbp/bp3np1/2pP4/8/5NP1/PPQ1PPBP/RNB2RK1 b kq -,e8g8
8/5R2/8/8/4p3/p2rk3/2K5/8 b - -,d3d2
r4rk1/1ppqnpb1/2n1b1pp/p3p3/4p3/PPPP1NP1/1BQN1PBP/R4RK1 w - -,d3e4
r7/ppB5/3r3k/2nB2p1/2P2p1n/5P2/PP5P/2K3R1 w - -,c7d6
3r1rk1/1pp1qppp/p1p3b1/2n1P3/5Q2/2N2N2/PPP2PPP/2R2RK1 w - -,f3h4
3r2nk/1QB4p/1P3ppb/p7/2pN4/7P/P1R2PPK/4q3 b - -,d8d4
6k1/3n1pp1/p2ppn1p/2p5/N1P5/3P1NP1/P3PP1P/5K2 w - -,e2e3
r1b2rk1/ppn1qnbp/2p3p1/4p3/P1P1N3/1B3N2/1P3PPP/R1BQ1RK1 b - -,c8f5
2r3k1/p4ppp/5n1q/2pr4/5P2/2R1P1PP/P2B2Q1/2R3K1 b - -,h6g6
r1bq1rk1/1p3pbp/pn1p2p1/2p5/2PpPP2/1B1P3P/PP2N1PN/R2Q1RK1 w - -,h2f3
r2qk1nr/ppp3bp/2np2p1/4pb2/2PP4/2N1B3/PP2NPPP/R2QKB1R w KQkq -,d4d5
5k2/1p3p1p/2p3p1/8/1b2P3/4NBP1/b4P1P/5K2 w - -,f1e2
8/5B2/p2K4/1p3p2/1P3k2/8/8/8 w - -,d6c5
2rRr1k1/3R1pp1/1p2p2p/p1q4P/P1P5/1P3QP1/5PK1/8 b - -,c5f8
3r2k1/1p3p1p/4p1p1/2N5/3n4/6P1/R3PP1P/6K1 w - -,c5b7
2b2rk1/6bp/2pp2p1/4ppqn/1P2P3/2N3P1/4BP1P/B2Q1RK1 w - -,d1d6
r2r1nk1/1p3pbp/2n1p1p1/6B1/3P3P/qB3N2/2R2PP1/1R1Q2K1 b - -,c6d4
r1bqkb1r/ppp1nppp/3p1n2/3Pp3/4P3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,d1c2
8/6p1/8/4K2P/kp6/8/8/8 b - -,b4b3
r1b1k2r/pp2qpbp/2pp2p1/2nPp3/2P3nP/2NBPN2/PPQ2PP1/R1B2K1R w kq -,b2b4
rn3rk1/pp3pbp/4p1p1/q1pP2B1/2P1P1b1/5N2/P2Q1PPP/2R1KB1R b K -,a5a3
r1bq1rk1/pp1pppbp/2n2np1/2p5/8/2PP1NP1/PP2PPBP/RNBQ1RK1 w - -,d1c2:b1d2
5bk1/rr1q4/p2p1n2/2pPp1pp/Q1P1Pp1n/5P1P/P3BNP1/1RR1B1K1 w - -,a4d7
b3r3/5pk1/2p3p1/QpN1q2p/1P2P3/5B1P/5PP1/6K1 w - -,a5a7
8/7p/5k1P/2p4K/1pP3P1/8/8/8 b - -,b4b3
6k1/p1n1bppp/1pB3n1/4P3/5P2/2N1B1PP/PP6/6K1 b - -,e7d8
8/p4pk1/B4n2/4Nnpp/8/7P/PP3RPK/2r5 b - -,f5d6
r1b2rk1/1p2qppp/p1nbpn2/3p4/1PP5/P1N1PN2/2Q1BPPP/R1B2RK1 w - -,c1b2
r2q1rk1/pp4bp/2n1bppn/2pp4/5P2/2PP1NP1/PP4BP/RNBQ1RK1 w - -,b1a3
5r1k/7p/5q2/4R3/P7/1BQ5/1P3pr1/1K6 w - -,e5f5
r1b2rk1/1p1nqpb1/p2p1npp/2pP4/P4B2/2N2NP1/1P2PPBP/1R1Q1RK1 w - -,b2b4
r3k1r1/p1qbbp2/1np1p2B/3pP1p1/2P3Q1/1PN2N2/P4PPP/R4RK1 w q -,c4c5
4R3/pq3r1k/2p2ppp/5Q2/8/3P3P/PPP2PP1/6K1 w - -,f5c8
r2q1rk1/1p1bbppp/p1nppn2/8/2PNP3/2N1B3/PP2BPPP/2RQ1RK1 w - -,a2a3
rnb1k2r/ppq1ppbp/6pn/8/8/N1P1BN2/PP2BPPP/R2QK2R b KQkq -,a7a6
4r1k1/4bpp1/p1Q1pn1p/1p1q4/3P4/P1B2N2/1P3PPP/2R3K1 w - -,c3a5
4r1k1/p4Rpp/np6/3r4/4p3/6P1/PP4BP/5R1K w - -,g2e4
r2qnrk1/pp3pbp/2n1p1p1/3p4/3P1B2/2PQ1N1P/PP1N1PP1/R3R1K1 w - -,f3e5
r2q1rk1/pbn1bppp/1p6/2ppP3/8/BPN1PB2/P2Q1PPP/R4RK1 b - -,d8d7
2r3k1/3Q1ppp/1p2p3/8/2q2P2/4P1P1/P2R1KBP/4n3 b - -,g7g5
3r4/5pk1/2p3pp/4p3/p2nP1P1/PrNR1P1P/1P3K2/1R6 w - -,d3d2
8/6k1/1p5p/4P3/3P1P2/4K1P1/8/1b6 b - -,b1a2
8/2Q5/7K/8/8/1p3q2/8/2k5 b - -,c1d2
r2qr1k1/1p1n1p1p/2p1b1p1/p7/4P3/P1Q3P1/1P1N1PBP/2R1R1K1 b - -,f7f6
1qrr2k1/3nbpp1/pp1p1n1p/4p3/NPP4P/P1R1QBP1/4PP2/B1R3K1 w - -,c3c2
3bk3/1P3ppp/4p3/4P3/R4P2/1p2BKP1/1Pr4P/8 b - -,d8c7
8/8/8/3R4/K7/2b5/2k5/1r6 w - -,d5c5
8/1p4pk/5p2/3rn1p1/8/1P2B2P/5PP1/5RK1 w - -,f1b1
8/p4k1p/1p6/2p2pp1/8/2P1K2P/PP4P1/8 w - -,b2b4
1q4k1/5p1p/2P3p1/1p1P4/2pb4/4r2n/1PQ3P1/3R1R1K b - -,d4c5
r1b2rk1/1p1pbppn/p1n4p/q1pQP3/8/2NBBN2/PPP2PPP/2KR3R b - -,c6b4
r4rk1/1p1nqppp/2p5/p7/3Pp3/4PN2/PPQ2PPP/1R3RK1 w - -,f3d2
r2qk2r/pp1nbpp1/2pp2p1/4p2n/2PP4/1PN3PP/P3PPB1/R1BQ1RK1 w kq -,d4e5
r4rk1/pb1qbppp/1p2p3/3nP3/8/1P4P1/PB1N1PBP/R2Q1RK1 w - -,d2e4
8/3R4/4p3/P2p4/3k4/1P4r1/2PK4/8 b - -,g3g2
2rr2k1/1bpnqpbp/1p3np1/pP1p4/P7/3P1NP1/1B1NPPBP/2RQ1RK1 w - -,f3d4
5Q2/2r1R3/2rk4/3p1P2/8/2p3P1/1p3P2/6K1 w - -,e7e6
r1b2rk1/2n1qpbp/pp1p2p1/2pPn3/P1N2B2/2N1P2P/1P2BPP1/R2QR1K1 w - -,c4b6
8/8/6k1/4K3/3PP3/2N5/8/5n2 w - -,e5e6
4b3/p7/1p6/2p1k1pp/4B2P/P3K1P1/1PP5/8 b - h3,g5h4
1r4rk/2q1np1p/p2p1b2/3P1p2/2P1pP2/1P2Q3/P1N1B1PP/1R1R3K b - -,g8c8
8/4kp2/2p4p/1pNbPP2/1Pp3KP/8/1P3R2/7r b - -,h1e1
2k5/pb3R2/p2p4/3Pp2p/1KP1P2p/1P4r1/3NP3/8 w - -,f7h7
r3k2r/pp1q1pp1/2pbpn1p/8/3P1B1P/3Q2N1/PPP2PP1/2KR3R w kq -,f4e5
2kr3r/ppp2pb1/2n4p/3qpPp1/8/2NPB1P1/PPPQ3P/R4RK1 b - -,d5a5
6k1/1pp3pp/R3n3/5r2/8/2N5/1P3PPP/3R2K1 b - -,b7a6
r3kb1r/pp1b1p1p/1qn1p2p/3pP3/1P1P4/P4N2/4BPPP/RN1QK2R b KQkq -,h8g8:a8c8
r4rk1/pp3pp1/3q1nbp/3P4/3Q4/2NpB2P/PP3PP1/R4RK1 b - -,f8d8
8/6k1/3p4/P2Pp3/4PpQp/5Pq1/8/5K2 b - -,g3g4
5k2/4qp2/p3b2r/1pQ4p/6p1/2N5/PP3PP1/4R1K1 w - -,c5e3
r1bqr1k1/pp1n1ppp/2p5/2b1p1Bn/4P3/2NB1N1P/PPP1QPP1/R4RK1 b - -,d8c7
1Q4k1/6pp/4pn2/8/8/1p2BP2/1Pr1q1PP/3R2KR b - -,g8f7
r2q1rk1/4bppp/p1np1n2/1p1Pp3/2B5/4BN2/PPP2PPP/R2QR1K1 w - b6,c4f1
8/8/5P1k/p6P/1p1p1P2/1P1B1K2/P2b4/8 w - -,f3e4
r4rk1/1p2bpp1/1pn1pnp1/1N1p4/8/3P2P1/PP1BPPBP/R4RK1 b - -,f8d8
1rbq1rk1/5p1p/2np2p1/3Qn3/1p2P3/4B1PP/1PP2PB1/R2R2K1 b - -,c6e7
8/6k1/8/3Bp1p1/1p2P1P1/5R2/6K1/3q4 b - -,d1e2
r3r1k1/1pp2pp1/p3q2p/PPbnP3/2N2p2/2PQ1N1P/1R3PP1/4R1K1 b - -,a6b5
r7/1p3k2/8/p1pPpPqp/P3Pbr1/1P5K/3BRQ2/6R1 w - -,d2f4
3k4/7R/r4KP1/8/8/8/8/8 w - -,f6f7
1r6/5k2/2K2p2/6pp/1R5P/8/8/8 w - -,b4b8
r3r1k1/1p3pb1/1p4p1/4Nb1p/2Pp1P2/1P3RP1/P3P3/R1B3K1 b - -,f7f6
