8/5ppk/7p/B3R3/2pn3P/3r2P1/5PK1/8 w - -,e5e4
8/5k1p/4p1p1/4Pp2/Bb1B1P2/1p4P1/1Nb2K1P/8 b - -,h7h6
8/4q1k1/8/6pp/2QP1p2/2P4P/5PP1/5K2 b - -,e7e4
4rk2/1p3p2/8/p2P4/1b2B1R1/6p1/PP4K1/8 w - -,g2g3
3r2k1/p1q2p1p/2p2bp1/2Prpn2/NP6/P2R1P1P/2Q2BPK/3R4 w - -,h2h1
8/R3kpb1/1p4pp/2p5/5B2/2P2P2/PP3PKP/1r6 b - -,e7e6
rn1qk1nr/ppp2ppp/3b4/3p4/3P2b1/4BN2/PPP2PPP/RN1QKB1R w KQkq -,h2h3
8/1p5Q/p3pk1p/3q1p2/P2Pp3/1P2P1KP/5P2/8 b - -,d5b3
r2qr1k1/4bppp/pn1p1n2/1pp4b/3PP3/1P3N1P/P1BN1PP1/R1BQR1K1 w - -,a2a4
2r1k2r/4bppp/pp6/3p4/2N5/1P3KP1/P3PP2/R1B2R2 b k -,d5c4
4r1k1/pp2rpp1/8/2qpn2n/3Q3p/1PP1PP1P/P1N1B1P1/R5KR b - -,c5c7
8/5kpp/2n2p2/pp6/4PPP1/1PB5/5K1P/8 w - b6,f2e3
1qr4k/6pp/4Q3/5pP1/3b3P/1P3P2/1NP5/1K1R4 b - -,d4c3
rnb1k2r/ppq1bppp/2p1pn2/4N3/2BP4/2N5/PPP3PP/R1B1QRK1 b kq -,b8d7
3r1rk1/1p1q2pp/p1npb3/1P1Npp2/2P3n1/N5P1/P2QPPBP/R2R2K1 b - -,c6e7
r1r3k1/2q1bp2/pp1p3p/4p1p1/2P1n3/1P1QPNB1/P4PPP/2RR2K1 b - -,e4c5
3r2k1/1p3ppp/p1n5/3pP3/Pqp1nPP1/4B3/1P4QP/R4R1K w - -,f1d1
r2q1rk1/1p1bbppp/p1n1p3/3pP3/1P1P4/P3BN2/5PPP/RN1Q1RK1 b - b3,a8c8
3rr1k1/1bq1bp1p/pn1p2p1/np2p1B1/2pPP3/2P2NNP/PPBQ1PP1/3RR1K1 w - -,g5h6
5k2/p2R2pp/1p2p3/4P3/r4Pp1/4K1P1/P6P/8 w - -,d7d2
5q2/5rpk/1Q5p/2p1B1b1/3r4/6P1/PP2RP1P/4R1K1 b - -,d4d2
4r1k1/5rp1/8/2p4p/2P5/4PqP1/R4P1P/3Q1RK1 b - -,f3f5
7r/2k1bp2/1pn1p1p1/2ppP2p/r4P2/2PPBBPP/1PK5/3R3R w - -,d1a1
r3r1k1/1b3pb1/p1nqp1p1/1p5p/4BP1Q/1NP4R/PP1B2PP/4R1K1 b - -,c6a5
r2q1rk1/1p2bppp/2npbn2/p3p3/4P3/1NN1BB2/PPP2PPP/R2Q1RK1 w - a6,c3d5
5k2/7p/bp4p1/4B3/4n3/P7/5bPP/2R4K b - -,f2e3
rnb1k2r/pp2ppbp/2p3p1/q4n2/3P1B2/2N2N2/PPP1BPPP/R2Q1RK1 w kq -,c3e4
8/R7/5k2/6p1/P5P1/5PK1/r7/8 w - -,a7a8
2bq1k1r/4r1n1/pp1p2pp/2pPnp2/P3P3/1QN1B2P/1P2BPP1/R4RK1 w - f6,f2f3
8/1K6/8/kB2N3/P7/2r5/8/6b1 b - -,a5b4
r3r3/p2R1k1p/np4p1/6p1/6P1/P1B5/1P2R2P/2K5 b - -,f7f8
6k1/1R3p2/6p1/7p/P6P/r5P1/5PK1/8 w - -,b7b4
2rq2k1/3n1p1p/4p1pP/3pPb2/RPr3N1/5BP1/3Q1P2/4R1K1 w - -,g4e3
1r3nk1/p2b2pp/Bpn1p3/3pP3/3P4/PN6/1P2NKPP/2R5 b - -,g8f7
5k2/1p3p2/8/p2P1p2/3Bn3/PP2P3/2r4K/R7 w - -,h2h3
r1bqnrnk/1pp3b1/p2p4/2PPp1pp/P3Pp2/N4P2/1P2BBPP/2RQNRK1 b - -,g8h6
3b4/3P1k2/4R1p1/8/4p1Bp/2p5/2r4P/6K1 w - -,e6e4
r1r2bk1/2q2pp1/p2pbn1p/8/BpPpPB2/3P2NP/PP4P1/R2QR1K1 b - -,g7g5
6k1/2R5/r7/6PK/8/8/8/8 b - -,a6b6
1k1r2nr/p1q4p/1p1pn1p1/4p3/b1P1P3/1NP1B2P/P1B1Q1P1/3R1RK1 w - -,d1b1
r2r2k1/pp2Qppp/2n1pnb1/8/P1N1P3/2B2P2/1P3KPP/R4B1R b - -,c6e7
1r1qr1k1/pp1b1pbp/n2p1np1/2pP4/4P3/2N5/PP1N1PPP/R1BQRBK1 b - -,f6g4
rn1qkb1r/ppp2ppp/4pn2/3p4/2PP2b1/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,c7c6
r1bq1rk1/4npp1/pp2p2p/3nN3/3P4/2N5/PP2BPPP/R2Q1RK1 w - -,e2f3
4r1k1/5pbp/R2p4/3q2p1/Q4P2/2P2R1P/4rBPK/8 b - -,d5d2
5rkq/5r2/1bbPp3/p1p1Pp2/P1P1p1pp/B1Q1P1P1/2B3RP/4R1K1 b - -,h4g3
rnbqkbnr/ppp2ppp/3p4/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq -,f8e7
4nNk1/3q2p1/p3b2p/1pp1Pp1B/8/P5Q1/1PP3PP/5R1K b - -,g8f8
8/p4p1k/2Np2p1/2bP1q1p/2r5/4PQ1P/5PP1/R5K1 b - -,f5f3
R3r1k1/5ppp/4b3/1p6/3P4/1B3Q1P/2P2PPK/4q3 b - -,e6b3
r3kbnr/pp1npppp/2pq2b1/4N3/3P2P1/2N4P/PPP2P2/R1BQKB1R w KQkq -,e5c4
1rbqk1nr/3nppbp/p2p2p1/1p1p4/2P1P3/P1N1BN2/1P1Q1PPP/R3KB1R w KQk -,c4d5
1r6/7p/3k4/4p1p1/1P1p4/2K1P2P/R5P1/8 w - -,e3d4
r2q1rk1/pbnnppbp/1p4p1/2p5/2PP4/2N1BN2/PP1QBPPP/3RR1K1 b - -,c5d4
3rn1k1/1p2q1p1/p1p2p1p/2P2R2/2NP4/3Q3P/PP3KP1/8 b - -,e7e6
r1bq1r1k/pp2b1pp/1np5/4Pp2/P2P4/1QN2N2/1P4PP/RB3RK1 b - a3,b6d5
r2r1bk1/2q2ppp/pp1pp1n1/2n5/2P4P/BPN1QNP1/P3PPK1/2RR4 w - -,h4h5
8/5p2/6p1/pk1R3p/1p3P1P/6P1/P5r1/1K6 b - -,b5b6
2r2k2/p2n1ppp/1p2p3/4n3/1P2P3/P3NP2/1B2K1PP/3R4 b - -,f8e8
8/6k1/R1Br4/2p1pp2/2Pbn3/1P4P1/P6P/2B2K2 w - -,a6a7
r1b3k1/pp2q2p/n1p1pbp1/8/2PP1Q2/1B3N1P/PP3PP1/R3R1K1 b - -,c8d7
4R1k1/p1qr3p/2p2bp1/1pB2b2/5p2/1N1P3P/1PP2QP1/7K b - -,g8g7
2r1r1k1/p1q2pbp/1pp2np1/8/P1QpP3/B1P2P2/3N2PP/R2R2K1 w - -,c3d4
8/4r1pk/p7/2R1B1K1/1P4PP/2P5/4b3/8 w - -,g5f4
8/5kp1/7p/3P4/5Q2/7P/6PK/4q3 b - -,f7e8
r1b2rk1/4qppp/p3p3/1p2P3/4pP2/1B6/PPP3PP/R2Q1R1K b - -,f8d8
rn1qk2r/pbpp1ppp/1p3n2/4p3/1bP5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -,d1c2
8/3kb3/1r2p3/7R/p3NP2/1P1K4/P7/8 w - -,b3a4
2brr1k1/2q3bp/pn1p1pp1/np6/2pBP3/2P3NP/PPB2PPN/2QR1RK1 b - -,a5c6
2r3n1/p7/1p2b2k/4p1rP/4P3/P1PPN1R1/P3B1K1/2R5 w - -,g3g5
r1n3k1/1q2ppb1/1p4p1/1P2p2p/2N1P3/1Q1PB2P/5PP1/2R3K1 w - -,c4d2
6k1/p4ppp/3Bp3/3p4/3P4/1P1bP3/P1r2PPP/R5K1 w - -,h2h3
8/2b1k3/5p2/1R3Bpp/2Np4/3P1KP1/r4P1P/5b2 w - -,b5b1
2k2r1r/pp1bn3/2n1p2p/3pPppP/q1pP4/P1P5/2PBBPPN/R2Q1RK1 w - f6,e5f6
1r2r3/2nq2k1/pn1p1pp1/N1pP3p/Pp2PP2/5B1P/1PQ3P1/3RR1K1 w - -,a5c6
6Q1/5R2/p3p3/7k/1p2r1P1/7K/8/8 b - -,e4g4
1rbq1rk1/pp3ppp/4p3/2b1P3/5B2/6P1/P1Q1PPBP/R4RK1 b - -,b7b6
4bk2/6pp/1Np1p3/3p1p2/3P1P2/1R2P3/rP4PP/6K1 w - -,b6c8
5r1k/1b2p3/r4q1p/2p2pN1/1p1p1Q1R/1P1P3P/1P4P1/4R1K1 w - -,e1e6
4n3/6kp/2p1p1p1/1pPpP3/pP1P1KPP/P2B4/8/8 w - -,d3c2
2r5/p5k1/5p2/2p1nP2/q2p2PQ/3P4/6K1/4BB2 b - -,a4c6
r4rk1/pbp3pp/np1pPq1n/5pN1/2P2P2/B1PBP3/P1Q3PP/R4RK1 b - -,h6g4
rnb1kb1r/3ppp1p/3n2p1/q1pP4/8/2NBP3/PP2NPPP/R1BQ1RK1 b kq -,b8a6
r1bq1rk1/pp2bppp/4pn2/3p4/1PP1NB2/P3PN2/5PPP/R2QKB1R b KQ -,f6e4
3b4/8/8/5k2/P1P4p/4BP1K/8/8 w - -,e3d2
3N2k1/p4p1p/4p1n1/6q1/3QP3/5PP1/PP4KP/8 b - -,g6f4
r4rk1/5pp1/1n2p1p1/pp1n2N1/2pPNq2/2P2P2/PP3QPP/R2R2K1 w - -,d1e1
rq3rk1/1p1n1pp1/2pbpnp1/p2p4/2PP4/1QN1P1P1/PP2BP1P/R1BR2K1 w - a6,b3c2
2r1r1k1/1q2bppp/3p1N2/pp2pP2/1NP5/PP2P3/6PP/2RQ1RK1 b - -,e7f6
b7/7p/pp6/2p1p1kP/P5P1/2N2PK1/1PP5/8 b - -,a8c6
r4rk1/pp1nqppp/2p1p1b1/3n4/2BP4/5NN1/PPP1QPPP/R3R1K1 w - -,c4b3
2q5/3r2kp/p3Rpp1/1bPp4/3P4/6QP/5PP1/1R4K1 w - -,g3f4
8/2pr4/p4k2/B3p1pp/PK2Pp2/1P3P1P/2P3RN/3r4 w - -,b4c5
r2q1rk1/pbpp2pp/np2pb2/3P1p2/2P1n3/2N3P1/PP1BPPBP/2RQNRK1 b - -,a6c5
r1bq1rk1/pppn1ppp/4pn2/3p4/1bPP4/5NP1/PP1NPPBP/R1BQK2R w KQ -,a2a3
5nk1/p5p1/1p1q3p/8/2PrRp2/1P6/P4P1P/1Q3NK1 w - -,e4d4
8/4R3/5p2/2B2k2/p1P5/P1r2P2/2r1PK2/8 b - -,c3c4
2B5/8/pp1k1p1p/3pp3/1P3P1P/P1K1P1P1/8/5b2 b - -,d6c7
4B3/8/1n1k1p1p/8/pP1K1P2/P7/5P1P/8 w - -,e8b5
8/6p1/3k3p/5P2/4P1Pb/3K4/8/8 w - -,d3e3
5nk1/1p3pbp/p2p2p1/2pPN3/2P5/2N1B2P/PP3PP1/6K1 b - -,g7e5
r1bqkb1r/pp2pp1p/2np1np1/8/3PPP2/N1PB4/6PP/R1BQK1NR b KQkq f3,d6d5
3rrnk1/pp2qpbp/3p2p1/2p1p2n/2P1P1N1/1P1P2PP/PB2RPB1/Q4RK1 w - -,g4e3
2r2bk1/2r2p1p/1qb1p1p1/3p4/2pP1NQP/4P1P1/1PR2PB1/2R3K1 b - -,f8g7
4Q3/1p3r2/p4k1P/8/2r5/8/P5PK/8 w - -,e8d8
8/2p2rp1/3k3p/7P/4K1P1/2R2P2/8/8 w - -,c3d3
r1b1rbk1/p1qn1ppp/1pp2n2/4p3/2P5/1PN2NP1/PBQRPPBP/R5K1 b - -,h7h6
r1bk2nr/ppq2p2/3p2pp/3B4/5P1N/7P/PPP1Q1P1/2KRR3 b - -,g8e7
r2r1nk1/1ppb1pp1/2n4p/pB2P3/4P3/P4N1P/1PQ2KP1/2R5 w - -,c1d1
r1bqk2r/1p1pbpp1/p3pn2/2p1n2p/2P1PN2/2NP2PP/PP3PB1/R1BQK2R b KQkq -,b7b5
r2qk1nr/pp4pp/2n2p2/3p4/1bpP2b1/2N1PN2/PP1BBPPP/R2QK2R b KQkq -,g8e7
8/7k/3p1b2/3P1P1p/1p3P2/3R3P/1P4K1/3N1rB1 b - -,f1f4
2rqk2r/1p1n1ppp/p3p1b1/P1PpPn2/8/2P2N2/1P2BPPP/R1BQ1RK1 b k -,c8c5
1n1q1rk1/3r2pp/pp1ppb2/5p2/2P2P2/2NQ2P1/PP2P1BP/3R1RK1 w - -,e2e4
r2q1rk1/p3ppbp/b2p2p1/1pp1n1B1/4P3/N1PP3P/PPB2PP1/R2QR1K1 w - -,f2f4
7Q/2qb1k2/p2p4/n1pPp1rp/2P1B2N/6PP/P7/1R5K w - e6,b1f1
r3rk2/p1qbbpp1/2p2B1p/4p3/1pP4P/1P2PNN1/P1Q2PP1/3RK2R b K -,e7f6
2r5/1r6/1p1k1pp1/p1pPP2p/2PbP3/1P1K2P1/3B3P/1RR5 b - -,d4e5
5N2/1b2Pk1p/8/1p6/1P1p1n2/8/5P2/4RK2 b - -,b7g2
4b3/2R2p1p/1p3kp1/2bB4/p4P2/P5PP/1P4K1/8 b - -,c5d6
rnbqkb1r/pp3pp1/2p1pn1p/3p4/3P1B2/3BPN2/PPP2PPP/RN1QK2R w KQkq -,c2c3
2r2r2/4pk2/1R2bpp1/p1n4p/p1PBp2P/4P3/5PP1/R2B2K1 b - -,c5d7
r2q1rk1/pb1nbppp/1p1ppn2/2p5/3PP3/1P3NP1/PBPN1PBP/R2QR1K1 b - e3,c5d4
2r2rk1/pnq1pp1p/5bp1/1PPp1b2/6P1/1N2QN1P/P3BP2/2R1R1K1 b - g3,f5e6
2r2rk1/pp2qpp1/4bn1p/3p4/8/2NQPN1P/PP1R1PP1/R5K1 b - -,e7b4
r1br2k1/1p3pbp/pP2p1p1/4n3/2B1P3/2P1B3/P3NPPP/1R1R2K1 b - -,c8d7
3r3k/p4p2/bp2p3/8/2r5/1P3R2/5PPP/4R1K1 b - -,c4d4
r1r2nk1/2b1npp1/1pp1bq1p/3pN3/3P4/3B1N1P/PP1Q1PP1/R1B1R1K1 b - -,f8g6
2r3k1/1p3ppp/pq2p3/3pP3/2rP2Q1/P6P/1P3PP1/1R2R1K1 w - -,e1d1
2b5/4k3/1p1p1p2/1PpPp2P/2P1P2n/4K3/7P/BN6 w - -,b1c3
8/8/R4p2/4pk1p/3r3P/5P2/6K1/8 w - -,g2g3
6k1/5p2/4pP1p/5np1/8/1p6/P2B2PP/7K w - -,a2b3
2b2qk1/r4r1p/pR1p2p1/2pPp1b1/2P1Pn2/P2B2N1/2Q2BPP/5RK1 b - -,h7h5
2r3k1/pqr1ppbp/1p1p1np1/n1p3B1/3P1N2/2P1P3/PP1NQPPP/R2R2K1 w - -,e2f3
r2r2k1/1p4bp/3p2p1/3Np3/2P1Ppbq/1P1QBP2/1P4PP/R4RK1 w - -,e3f2
r2q2k1/pp4pp/2pbbr2/3pNp2/3PnP2/P1N1P1P1/1PQ3BP/R4RK1 w - -,b2b4
1rr3k1/3qpp1p/p2p2p1/1p1Pn3/8/1P2N1P1/PR1QPPKP/3R4 w - -,d1c1
5r2/1pp3kp/p2pQ1p1/3P4/2P1R1P1/Pb5q/1P6/KN6 b - -,h3d3
br4k1/p2q2p1/P2p3p/3P1p2/3R4/1pQ1PP1P/1B4P1/6K1 w - -,d4c4
r3k2r/4q1p1/p3pp2/7p/3BbP2/3B4/2P1Q1PP/5RK1 w kq -,d3e4
r4rk1/1p1n1pnp/2pp2p1/qp4P1/4PP1P/P2B1Q2/1PP1N3/R4R1K w - -,c2c3
8/5pk1/PK6/8/r3P2p/5p2/8/5B2 w - -,a6a7
8/8/8/5p2/5r1P/5k2/6RK/8 w - -,g2g3
rr2n1k1/4ppbp/3p2p1/2pPn3/Pq2P3/1PN1B1PP/2Q1NPK1/1R5R b - a3,e8c7
4r3/8/8/8/p3p3/2P5/1P1K1kN1/4R3 b - -,e8d8
1r1b1k2/1rqn1p2/b2p1P1p/p1pPp2Q/P1P1N3/1P4P1/2B4P/1R3RK1 w - -,e4g5
1r2r1k1/1bqn1pb1/3p2pp/1p1P4/2p1PPP1/4B2P/1P4B1/1R1QRNK1 b - -,d7c5
2b3k1/p1q2pp1/5n2/2p4p/1PPp4/P2B2NP/3Q1PP1/4r1K1 w - -,d2e1
4rr1k/6bp/p7/2Pb3p/3p1q2/P2B1P2/2Q2BP1/1R1R2K1 w - -,c2c1
2r5/5kp1/1p3n2/p4PK1/P1B3P1/1P1R3P/8/8 b - -,f7f8
8/4kp1p/1R6/1p2P2P/2bB2K1/2P2r2/8/8 b - -,c4e2
2bk4/6R1/1p2p2p/8/1pP1N3/K4P2/P6r/8 w - -,a3b4
r3r1k1/p1q1bpp1/2n2nbp/1p2pN2/2p1P3/2P1NQ1P/PPB2PP1/R1B1R1K1 b - -,f6h7
r4rk1/1p2p2p/pn3p2/2p2Pq1/3nP1b1/2N5/PP4PQ/2KR1BNR w - -,c1b1
rnbqk2r/pp3ppp/2pbpn2/3p4/2P5/2N1PN2/PPQP1PPP/R1B1KB1R w KQkq -,d2d4:b2b3:g2g4
r5k1/qp3pp1/2p1n2p/1p2n3/rP2P3/P3R1PP/3B1PK1/R1Q2B2 b - -,a8d8
3b4/8/1p1p4/1P1Pp3/4Ppk1/3B4/8/3b1KB1 b - -,g4g3
r2q1r1k/ppp3pp/4Qn2/2b5/N1Pp4/7P/PP3PP1/R1B2RK1 b - -,f8e8
2r3k1/6p1/6Pp/1pB1p2P/1P2p1Q1/2q5/8/1K6 b - -,c8a8
r1b1k1nr/pp5p/2n1p1p1/2PpPp2/4q3/P1P2NQ1/3BBPPP/R3K2R w KQkq -,h2h4
2rq1rk1/p3ppbp/2p3pn/4PP2/1p2B1P1/4QN1P/PPP5/R4RK1 b - -,d8b6
2rrn1k1/1p5p/6p1/pP1P1p2/8/q1N1Q3/5PPP/2RR2K1 b - -,e8d6
8/p1p1b3/2p1k1p1/4p3/rrP1P1P1/4B3/P1R2PK1/2R5 w - -,e3d2
k1r3b1/3r2P1/1Q6/7p/2N2P2/1P5K/P7/8 w - -,h3h4
2nrr1k1/ppp2p1p/6p1/2Nq4/8/1P2P2P/P1Q2PP1/2RR2K1 b - -,d5c6
r1q2rk1/4bpp1/4pnp1/pp1pB3/3P3P/2P1R3/PP1N1PP1/3Q1RK1 b - h3,f8e8
5k2/5pb1/2p4p/pp1rP3/P1p1NK2/2P5/1P3P1P/1B4R1 w - -,e4f6
r1b1kn1r/ppp2ppp/n3p3/1N1pP1q1/3P4/2Q5/PPP2PP1/R3KBNR b KQkq -,g5e7
3r1r2/p5b1/6R1/Pp2PB1k/1Pp2Pp1/2B3P1/5K2/8 w - -,g6g5
7k/1p3r1p/p1n1b3/2b1p3/P3R3/2P2P1P/6PK/3R4 b - -,h8g7
5k2/1p1rpr1p/2p1R1p1/8/Pq1b3P/1p3BP1/1P2QPK1/4R3 w - -,e1d1
1r3rk1/p3q1pp/bb2pp2/p1p5/2P5/2NPP1P1/3Q1PBP/R1R3K1 w - -,c3e2
rnbqk1nr/pp2ppbp/2pp2p1/8/2BPP3/2N5/PPP2PPP/R1BQK1NR w KQkq -,c4b3:g1f3:d1f3
8/6p1/2k3b1/p1pp4/Pp2r3/1P2N1P1/2PK4/4R3 b - -,c6d6
8/5r1k/3R2p1/2n5/6Pp/4KN1P/8/8 b - -,f7e7
6k1/5pp1/8/1p5p/3r3P/5pK1/P1P2P2/7R b - -,d4c4
1r1r2k1/1bq2pb1/pp4p1/4p3/P3P3/1NN4P/1PP1Q1P1/4RRK1 w - -,f1f2
r1q1r1k1/p4ppp/np3n2/2pp4/3P4/2PQPPN1/PB4PP/R4RK1 b - -,c5c4
r1b2Bkr/5p1p/2pbp3/1p2P3/7q/5Q2/PP3PPP/3RR1K1 b - -,d6f8
r2q1rk1/1pp1ppb1/1nn3p1/p5B1/P2P4/1B6/1P2NPPP/2RQK2R b K a3,a8c8
2k3r1/p1p1nN2/1pn1p3/3pP2R/q2P4/P1PQ4/2PB1Pr1/R4K2 w - -,f7g5
3r2k1/pq3ppp/4pb2/8/3P1n2/5N2/PB1Q1PPK/2R5 w - -,b2c3
3r2k1/pp2rppp/5n2/q2p4/P2Q4/1P4PP/2P2PB1/2RR2K1 w - -,c2c4
r1bqr1k1/1p3pbp/p2p2p1/2pPn2n/P3P3/2N2N1P/1P3PP1/R1BQRBK1 w - -,g2g4
r3nrk1/2nq2pp/3p1b2/2pPpN1P/1p2P3/2N1BP1R/1PP2KQ1/3R4 w - -,c3e2
8/8/P7/2bb4/7k/5B2/3N3K/5q2 w - -,d2f1
rr5k/p3BBp1/3N3p/1p2p3/3bP3/1P6/1P3PPP/2R4K w - b6,f7d5
3qr1k1/1rpb1pbp/p4np1/2RP4/3N1B2/5N1P/2Q2PP1/3R2K1 b - -,g7f8
