7r/8/3k4/5PK1/7P/8/8/4R3 b - -,h8g8
4q1k1/P5bn/1rbp1p2/2p1pp1p/2P1P2P/3PB1PN/1r3RB1/R2Q2K1 w - -,e4f5
r1b1k2r/pp2qpnp/1np3p1/3p4/3P2P1/2NBP1N1/PPQ2P1P/R3K2R w KQkq -,h2h3
1r1qk2r/p2bppbp/2pp1np1/8/4P3/2N3PP/PPP2PB1/R1BQ1RK1 w k -,a1b1
8/1p6/2b5/p1P2kpp/P1R1p3/1P4KP/3r1P2/5B2 b - a3,h5h4
2k5/R6p/3N2p1/p1p1R3/q5PP/8/P4P1K/8 b - -,c8b8
rn2kb1r/pb1pp1pp/8/qp1P1pN1/2p1n2B/2PQ4/PP2PPPP/RN2KB1R w KQkq -,d3d4
r7/1p5p/p2p2k1/3P1p2/2P1p3/4K3/PP3P2/7R b - -,a8c8
8/8/3q1kp1/1P1B4/4Q1P1/4PK2/7b/8 w - -,d5b3
r2q1rk1/pp1n2bp/2pppnp1/1P2p3/2P5/2N3P1/P2PPPBP/1RBQ1RK1 b - -,d6d5
4n1k1/p1q2p2/2p3p1/Pp1R4/1P6/2Q3NP/2P3P1/6K1 b - -,c6d5
r1b1k3/ppnn4/2pR1p1r/4pPp1/4P1Pp/2N2N1P/PPP3B1/2K4R b q -,e8e7
1nbq1rk1/1p3pp1/3p1n1p/4p3/2P5/1p1P1NP1/N2QPPBP/R5K1 w - -,a2c1
rnbq1rk1/ppppbppp/5n2/8/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQ -,d7d5
8/2k5/3p4/8/2qb1p1Q/5B1P/5PK1/8 w - -,h4g4
r1bq1rk1/1p1n1pbp/2p2np1/p3p3/2P1P3/2N2NPP/PP3PB1/R1BQ1RK1 w - -,c1e3
8/8/2k1p1p1/bn1pPnPp/pNpP3P/P1P5/1K3B2/1N6 b - -,c6b7
r1bq1rk1/1pp3bp/3p4/p1nPpp1n/2P5/2N1BP2/PP1QN1PP/1K1R1B1R w - -,e2g3
rn1q1rk1/p1p2ppp/1p3n2/3p4/3P4/P1PQPP2/4N1PP/R1B2RK1 b - -,f8e8
1rbq1rk1/4n1bp/1n1p2p1/1p1Ppp2/1P2P3/4BPP1/3QN1BP/1R1N1RK1 w - -,d1b2
3r3k/6p1/1R3p2/p2P1N1p/4PKn1/P7/1P6/8 b - -,g4e5
r3k2r/p1qn1pp1/p1pbp2p/3n4/4N3/2PB1Q1P/1P1B1PP1/R4RK1 w kq -,e4d6
8/3bkp1p/6p1/8/p2KPPP1/N6P/8/8 w - -,a3c4
3r2k1/4Rp1p/p5p1/7n/P4q2/2P5/4QPPP/R5K1 b - -,h5f6
r4rk1/p2bqppp/1pp2n2/8/2BN4/4P3/PP1Q1PPP/2R1R1K1 w - -,b2b4
rnbqkbnr/ppp2ppp/4p3/3p4/4P3/2NP4/PPP2PPP/R1BQKBNR b KQkq -,g8f6:c7c5:d5e4
1r2r1k1/1p3pb1/p2p3p/P1pPn1p1/4P3/2Bq1PP1/1PQ3BP/R4RK1 w - -,c2c1
r3k3/1pBn1ppp/2p5/8/p1b1PP2/2P3P1/P2R2BP/6K1 w - -,e4e5
r1bqr1k1/ppn3bp/3p2p1/2pPnp2/P3P3/N1N2P2/1P2B1PP/R1BQ1R1K b - -,a7a6
5r1k/2pq1rbn/1p1p1np1/1P2p3/2P1P2p/3Q1PPN/2NB2KP/2R2R2 w - -,c2b4
3q4/2b2k2/1pQ1p1p1/1P2P2p/P2p1P1P/3B1KP1/8/8 w - -,c6e4
r1br1qk1/1p1n1pp1/p1pN1n1p/4p3/3P4/PBN1P3/1PQB1PPP/R4RK1 b - -,f8d6
r2qk2r/pp1bbppp/2n1p3/3p3n/3P4/P1NBP1B1/1PQ2PPP/R3K1NR w KQkq -,g1f3
1n1q1rk1/r3bppp/5n2/4p3/1P6/P1N1P1P1/3BNPbP/R2QK1R1 w Q -,g1g2
5rk1/5pp1/p4n1p/PqpR4/2N2Q2/1rP4P/1P3PP1/R5K1 w - -,d5d6
3r4/6R1/p2P3p/3bk3/P2R4/7P/8/6K1 w - -,d4g4
r1bq1rk1/5ppp/p1pppb2/8/4PP2/2N5/PPPQ2PP/2KR1B1R w - -,d2d6
6k1/3bpp1p/3p2p1/3P4/1pBPPP2/2p3PP/5RK1/r7 b - -,d7a4
rn1q1rk1/pp2bppp/8/2pbP3/8/3B1N2/P1P1QPPP/R1B2RK1 b - -,d8c7
r7/1p1bbN2/pkn1p1Qp/3p4/1P1q4/P1N3PP/2R2P2/4K2R w K -,e1g1
1r6/1p2k1r1/p3pppR/8/P7/1R6/2P2PPP/5K2 b - -,b7b5
8/6P1/8/1p3p1p/p1bk1P1P/P7/1P3K2/8 b - -,d4e4
r1r5/5k2/2nbp1p1/pp1p1p2/2nP1P1p/P1PN3P/1P2BRP1/2B1R1K1 b - -,b5b4
r1bqr1k1/pp1n1ppp/2pb4/3np3/2Q5/1P1P1NP1/P2NPPBP/R1B2RK1 w - -,c1b2
4r1k1/pp1b1pnp/2p1rqpQ/3pR3/3P4/2PBR1N1/PP3PPP/6K1 w - -,e5e6
8/8/Q6k/3pp1p1/4q3/7P/6P1/2r1N2K b - -,h6h5
8/R7/1n6/8/1k6/3p2P1/R1r2PKP/8 w - -,a2a1
3rn1k1/1b1q1pbp/p2p2p1/1p1N4/5P2/4Q2P/PPP1B1P1/3R1RK1 w - -,c2c3
2r1r3/5ppk/p2b3p/PppPqP2/1n4Q1/1PN1B2P/5P2/2RR1K2 w - -,f5f6
8/8/p1p1k3/4N2p/4q1b1/1P4Q1/P5PK/8 w - -,e5c4
r2r2k1/ppp1qp2/5n1p/3P2p1/3np3/4P1P1/PP2N1PP/2RQ1RK1 w - -,e2d4
rnbqkb1r/1pp3pp/5p1n/2P5/1pBPp3/4QN2/P2P1PPP/RNB1K2R b KQkq -,d8e7
r7/1qn1b1pk/2p1p2p/2Pp1p1b/1PpP1P2/2N3PP/4P1BK/R1Q1B3 b - -,a8a1
1r4k1/5pbp/4p1p1/p1q1n3/1p6/4P1P1/P3BP1P/1QBR2K1 b - -,a5a4
8/5p1k/6r1/7Q/1P6/q3BP1P/5P1K/8 b - -,h7g7
1r6/2p1n2k/3p3p/3Pp1p1/prP2qP1/2Q1RP1P/PPb5/2K2N2 w - -,c3c2
rr2k3/5p2/2R1p3/p2n4/P5pp/BP6/5PPP/4RK2 w - -,c6d6
r5k1/2qr1pp1/7p/p1p1pP2/PpP1P2P/1Pb1B1P1/2Q5/2RR2K1 b - -,c3d4
3r2k1/5pp1/prqpb2p/4p1b1/2P1P3/RP1QNB2/5PPP/4R1K1 b - -,d8b8
r3kb1r/ppQn1p1p/4p3/2q3p1/8/2B5/PP3PPP/R3R1K1 w kq -,c7c5
1r1qr1k1/1ppb1pbp/p2p1np1/5p2/1PPP4/2NQP1P1/P3NPBP/R2R2K1 w - -,a2a4
rnb1kb1r/pppqp2p/3p4/8/2PPQ3/2N5/PP2BPP1/R1B1K1N1 b Q -,d7f5
2r3k1/pb1q2b1/1p1Q1nNp/n4p2/2p2P2/N1P3P1/PP4BP/3RB1K1 b - -,d7d6
8/3kb3/p5p1/1P2p2p/1r2N2P/1PRK1PP1/8/8 b - -,b4b5
8/2k5/3R2p1/4Kb2/8/8/8/8 b - -,f5b1
8/5P2/1kB5/1P1K4/1b6/8/6P1/8 w - -,d5e6
rn1q1rk1/1b3pbp/p4np1/1p2p3/8/1PN1P3/PBN1BPPP/R2Q1RK1 b - -,d8b6
4rbk1/6pp/5p2/p2PpQ2/Pp1N4/1Pq3PP/5P1K/4R3 w - -,e1e4
8/2k5/p3r3/1p2P3/2p1RQ2/8/6KP/1q6 b - -,b1c2
8/8/ppbnk3/3p1p1p/PP1PnPp1/3N2P1/2BBK2P/8 w - -,d3e5
8/p2kP1p1/1p4p1/1P3p2/1BPKn3/6P1/7P/8 w - -,d4e5
8/p4pk1/1bp2qp1/3pr3/2P3Q1/1P1B4/P4PPP/5RK1 w - -,g4f3
1rb2r1k/p5pp/8/1pqBp3/7Q/2b2N2/P4PPP/2RR2K1 w - -,d5e4
8/7p/p3k3/8/3BKP2/1Pb4P/8/8 b - -,c3e1
4k3/7p/r3PP2/3B4/1pP3p1/1P4P1/5K2/8 w - -,f2e3
r2q1rk1/1p2ppbp/2bp2p1/2n5/p1P1P3/2N1BP2/PP1QB1PP/2RR2K1 w - -,e3c5
8/1k5p/2p5/P1P1Kp2/P4Pp1/6P1/7P/8 b - -,b7a6
r1r3k1/5ppp/p7/2b1qN2/1p2Pn1P/1P3P2/1PPQB3/2KR3R w - -,e2c4
1r1n1r2/ppp3pk/3q3p/3P4/4R2p/3QRN2/P1P2PP1/6K1 b - -,h7g8
r5k1/1pp1p1bp/1q2p1p1/pQ1nPr2/P7/5N1P/1PP2PP1/R1B1R1K1 w - -,c1d2
5b2/6kp/R1Pn1pp1/3Bp3/8/5P2/5PKP/B1r5 b - -,c1d1
6k1/1p3p2/2p5/4q1P1/8/1PnK1P2/r2Q2P1/4R3 b - -,e5d5
r2r2k1/4b1p1/1p2p2p/4P3/p1Nn2K1/P1N3P1/1P4P1/3R1R2 b - -,b6b5
r3rb2/7k/5p1p/p1n1p1p1/p3P3/B3N1PP/1PPR2PK/5R2 w - -,a3c5
1qb2rk1/3nppbp/3p2p1/R3P3/1rNp1P2/3P1NPP/2PQ2B1/5RK1 b - -,d6e5
rnbq1rk1/pp3ppp/2pb4/4p1N1/4n3/1B1P4/PPP2PPP/R1BQK2R w KQ -,g5e4
8/2p5/3p2p1/3P1p1k/p1P2P1P/P6K/1N1n4/8 w - -,h3g3
2b3rr/k1p2p2/1p1pn3/p3pNq1/2PPPp2/P1P2QP1/5PBP/1R1R2K1 b - -,g5f6
r2q1rk1/pbpn1ppp/1p1pp3/8/1PPPn3/P3PN2/2Q1BPPP/R1B2RK1 b - b3,f7f5
1r6/3nkp2/R5p1/p1p1P1Pp/P3R3/4K1P1/8/8 b - -,b8b3
3q2rk/1p3bbp/p1pBp3/2Pp1p2/1P1P3r/4P3/P3NQPP/4RRK1 w - -,e2f4
4r1k1/6p1/1p6/p3rp2/6p1/1PB2nPP/P5K1/R4R2 b - -,e5c5
r2qr1k1/pp3p2/1bpp3p/4p1pn/B2PP1b1/2PQ2B1/PP1N1PPP/3RR1K1 w - -,f2f3
3r2k1/1q4p1/4p3/2P1p3/1p2P3/5QPP/1p6/5R1K b - -,d8c8
3qnrk1/p4ppp/b3p3/2rpP3/2n5/3Q1NP1/P2N1PBP/R2R2K1 w - -,d2e4
r1b1kbnr/pp3ppp/2n1p3/2qpP3/8/2P1BN2/PP3PPP/RN1QKB1R b KQkq -,c5a5
1rr3k1/1b1qbp2/4n1p1/2p1P2p/1p6/5NQP/1P1N1PP1/RBB1R1K1 w - -,d2e4
8/5k2/1R6/2p2p2/8/3P1K2/r5P1/8 w - -,f3f4
2r1q2k/3rnpb1/2p1p1p1/1pPpP2p/pP1PP3/5P2/P1B1Q2P/1KBR2R1 w - -,c1g5
4kb1r/p2r1ppp/1pn1p3/8/3B4/2P2N2/PP3PPP/R3R1K1 b k -,c6d4
4rrk1/pp1n1ppp/2pbp3/7q/2PPQ3/2B2N2/PP3PPP/R2R2K1 b - -,f7f5
r2q2k1/1p3p2/2pp2p1/P2b3p/3P3P/2QB1P2/6P1/4K2R w - -,a5a6
8/8/5k2/6p1/4K1P1/3N1P2/6n1/8 b - -,g2h4
3b4/B7/p1k5/1p3ppp/2P5/1P1K4/P4PPP/8 w - -,a7d4
8/8/1rk1Nbpp/1R6/2B2P2/8/6PP/6K1 b - -,b6b5
rnbqkbnr/pp2pppp/2p5/8/4p3/1BN5/PPPP1PPP/R1BQK1NR b KQkq -,g8f6
8/8/7k/4N1pb/1p6/1B3p2/1P2pK2/8 w - -,b3e6
6k1/pb2q2p/1p1p2p1/2p2P2/P1P5/1P3PP1/2Q3BP/4K3 w - -,e1f2
8/8/4kp2/3p3p/1B1PnK1P/8/8/8 b - -,e4f2
r4rk1/pp2bppp/8/3bp3/1n4P1/4BP2/PPPN3P/R3KB1R w KQ -,f1d3
r7/5p1k/Q6p/n2p1p2/8/P3PNP1/4KP2/1R6 b - -,a8a6
4N3/1p1kB1p1/7p/4Pp2/P2P3P/1b1K2P1/8/8 w - -,e8g7
5k2/6p1/1p5p/p3nQ2/2Pq1p2/1P6/P4P1P/5NK1 b - -,f8e7
8/8/8/2pPBQbk/2q1Pp1p/7P/6P1/6K1 w - -,f5h7
2r2k2/ppN2ppp/2B2n2/4p3/2P5/4P1P1/P4P1P/1R4K1 b - -,c8c7
2r5/1b3Q2/p1kp4/1p2p1B1/2nqP2P/1P6/P1r3B1/R2N3K w - -,f7d5
4r1k1/1pp2qp1/3pr3/2P3Rp/pP5P/P1Q2P2/6P1/3R2K1 b - -,d6c5
r2q1rk1/pb2bppp/2nppn2/1pp5/4P3/1BPP1N2/PP3PPP/R1BQRNK1 b - -,c6e5
r1b1k2r/ppq2ppp/2nb1n2/2ppP3/8/2PBPNB1/PP1N1PPP/R2QK2R b KQkq -,c6e5
r3kb1r/pp1n1ppp/2p1pn2/2Pp1b2/3P1B2/1qN1PN2/PP3PPP/R3KB1R w KQkq -,a2b3
b5r1/3n1p1p/3k1n2/P2p3p/R3p3/3N1P2/1P3BPP/4R1K1 w - -,f3e4
1R4k1/p3bppp/n3p3/4P3/P2N4/2B3P1/5PKP/8 b - -,a6b8
5r2/1q2bp1k/r3p1pp/4P3/5BQP/6R1/1p3PP1/1R4K1 w - -,g1h2
3r1rk1/ppq2pb1/1np1p1pp/4P3/2P2B1P/5BP1/PP2QP2/R3R1K1 w - -,b2b3
8/6q1/8/Q5K1/7P/4k3/P7/8 w - -,g5f5
r4r2/pp1Rb2k/2n1p2p/8/2N1p2P/4B3/PP2PP2/R5K1 w - -,c4a5
7B/2p5/2p5/p1Pk3P/4b1K1/8/PP6/8 w - a6,g4g5
4rr1k/1ppb3p/p2q1p2/5n2/3pRQ2/1BP5/PP1N1PPP/R5K1 b - -,e8e4
8/8/1p1k1pp1/3p3p/1P1N1P1P/4P1P1/3K4/1b6 w - -,d2c3:d4b5
r2qk2r/pp2bppp/4p1bn/2npP3/3P2P1/8/PPPBBP1P/R2QNRK1 w kq -,d4c5
2rqrn2/1p3kb1/p5pp/3Pp3/P2pNP2/3Q4/1P4PP/4RRK1 w - -,f4e5
8/5k2/2R5/4p1B1/3bK3/2p5/5r2/8 w - -,g5d8
2kr3r/1p3pp1/2p5/p1Npn3/7p/2P1P2P/PP1R1PP1/2KR4 w - -,d2d4
r2q1rk1/1b1nbppp/1pp1pn2/p3N3/2PPN3/1P4P1/PB3PBP/R2Q1RK1 b - -,d8c7
5Q2/8/8/2pq2p1/1p1p2k1/1P1P2P1/5K2/8 b - -,d5b7
8/8/5k2/pB2b1p1/P3Rp2/4nP1K/3r4/2R5 w - -,c1c5
5nk1/r2b1p2/B5pp/1PNp4/3P4/p3P2P/5KP1/R7 b - -,a7a8
6k1/5p1p/p2qp1p1/1p2b3/8/1NP2P1P/PP3QP1/6K1 w - -,f2d2
r1b1k2r/p2pqppp/2p3n1/1pn1P3/2B5/5N2/PPP1QPPP/RN3RK1 w kq -,c4d3
1r4k1/5p1p/3R2pb/2PP4/4r3/3p2P1/R4P1P/5NK1 b - -,b8b1
2r3k1/1brq1p1p/1p2pbp1/p7/3p1P2/PB1P4/1PP2RPP/1R1QB1K1 b - -,a5a4
2r5/1p4k1/p4n1p/4p3/1b1p3B/1P1P3P/1P2RPP1/6K1 b - -,c8c1
3rrnk1/1p2p1bp/pB1p2p1/n3p3/2P4P/5NPB/PP2PP2/2RR2K1 b - -,a5c6
r2qk1nr/pp1bppbp/2np2p1/2p5/2P5/P1N2NP1/1P1PPPBP/1RBQK2R b Kkq -,d8c8
6k1/1p4b1/p7/P1P2p2/4q3/8/1P1B2PP/2R4K w - -,b2b4
8/8/8/1p1R4/2r2p2/3K1Pk1/8/8 b - -,g3f3
8/R4p1p/1p1rnkp1/8/2B5/4K1PP/P4P2/8 b - -,d6c6
2r4k/1R3Qp1/2nB1pq1/p1P1p3/3p1P1p/P2P2P1/4P1KP/8 b - -,g6g4
3r2k1/1bqnrppp/pp4n1/2p1p3/P1N1P3/1QPB1NP1/1P3P1P/3RR1K1 b - -,b7c6
1r3rk1/p3q1p1/1p1p3p/2pPpPn1/b1P1P3/P1PB2R1/4Q2K/2B3R1 w - -,c1g5
6k1/2Q5/1p3qp1/p6p/P7/1P3PP1/6PK/8 w - -,c7d7:c7c4
1r2r1k1/qp1bppbp/p2p1np1/2n5/2PNP3/1P4PP/PB1Q1PBK/2RNR3 w - -,b3b4
6k1/1p3pp1/2p1r2p/3r4/1p1Pp3/P3P2P/5PP1/1RR3K1 w - -,a3b4
rnbqk2r/p3bppp/1pp1pn2/3p4/2PP4/5NP1/PP1BPPBP/RN1Q1RK1 w kq d6,d1c2:f3e5:d2f4:b2b3
rnbqkb1r/1p3ppp/p2p2n1/2pP4/P7/2N2N2/1P2PPPP/R1BQKB1R w KQkq -,h2h4:e2e4
4R3/p4rbk/1p4pp/2p2p2/P2n1P2/5qPK/1B1Q3P/8 w - -,e8e1
r4rk1/pb4p1/1p2p1qp/2bpP2P/8/1P3BP1/PB2P1K1/R2R4 w - -,h5g6
2rq1rk1/pb1nb2p/1p4p1/2Pp1p2/8/1Pn1PN1B/PB3PPP/2RQ1RK1 w - -,c1c3
6k1/2qbppbp/p2p2p1/n1pP4/nrP1PB2/QN4P1/P4P1P/1R1N1BK1 w - -,a3c1
r4rk1/pp2bpp1/2p2n1p/4qb2/8/1B2P1N1/PPQ2PPP/2R2RK1 w - -,g3f5
1r2q3/4b3/pB2b1pk/Pn3r2/1pp5/6Q1/1PB2PPP/R2R2K1 w - -,c2f5
6k1/pp1Rrp1p/5bp1/5p2/2B5/2P2P2/PP4PP/1K6 w - -,d7e7
r5k1/1p2q2p/p2p2b1/3P4/2P3Q1/6NP/6PK/5R2 b - -,a8f8
r4r1k/p2qnbpp/1pp2p2/2bPpP2/4P1P1/2NnBQ2/P3N1BP/1R3RK1 w - -,f1d1
1rbqnrk1/4ppb1/pn1p2pp/2pP4/4P3/2N1BN1P/PPQ1BPP1/R4RK1 b - -,g8h7
3r3r/1p4k1/2q1p1p1/2P2p2/p2PpP1p/4Q1PP/PP1R4/1K1R4 b - -,h4g3
5r2/R6p/2B2npk/1P3p2/3Q4/6P1/7P/4q2K w - -,h1g2
rn1q1rk1/p3ppbp/3p1np1/2pP4/2b1P3/2N5/PPQN1PPP/R1B2RK1 w - -,d2c4
7r/7p/p1bpk1p1/5p2/3R3P/4N3/PPP5/2K5 w - -,c1d2
8/5kpp/5p2/1p1p4/pB3P2/PbP1K1P1/1P5P/8 b - -,f7e6
2r1k2r/pp1bppbn/q2p2p1/6Pp/2n1P3/1NNQ3P/PPP2PB1/2BR1RK1 b k -,b7b5
8/2P5/8/1P4k1/1P5p/2K5/7R/5r2 b - -,h4h3
r6r/1pp1k1pp/p1nbpn2/4p3/4P3/2N1BP2/PPP2NPP/2KR3R b - -,h7h6
2r2rk1/1bq1npp1/pp3b1p/2pppP2/P3P3/N1PP2P1/1PQN2BP/2R1R1K1 b - -,f6g5
4r1k1/2b2pp1/5n1p/1Q1r1P2/1p2p3/1P4P1/P2R2BP/2BR3K b - -,d5b5
r5k1/1ppb1qbp/3p4/p2N1P2/2PB2p1/1P4P1/P2Q3P/4R1K1 b - -,a8e8
8/4k3/2pN4/1pPpK3/p2P2b1/P1P5/8/8 w - -,e5f4
r5k1/5p1p/2p3p1/3p4/3P4/p2qPP1P/Q4KP1/R7 w - -,a2e2
rnbk1b1r/pppn1ppp/8/4p3/2P1P3/2N5/PP3PPP/R1B1KBNR w KQ -,g1f3
1k1r4/pp2npp1/3b4/1qpp2P1/7N/P1P1B2b/1PQ1PP2/2K4R w - -,h1h3
2r1kb2/2q2p2/p2pp3/1b6/3Q1P1p/1NpPBB2/P1K3PP/7R b - -,d6d5
4kb1r/pp3p2/1qn1p1p1/2prPn1p/3P1P2/1PN2N2/P4BPP/R2Q1RK1 b k -,d5d8
r4rk1/1qn1ppbp/b2p1np1/2pP4/8/2N3P1/PPQNPPBP/R1B2RK1 w - -,f1d1
5k2/1p6/2p1P1P1/2P5/pKB5/8/8/3b4 b - -,d1h5
2rr2k1/bpq2ppp/p3p3/3pPn2/5P2/PN1R1QP1/1PP1N1KP/2R5 b - -,c7c4
r2qkb1r/1p1b1ppp/p2ppn2/8/3nPP2/2N1B3/PPPQB1PP/R3K2R w KQkq -,d2d4
1k3r2/1bp4r/2Bpq3/1P2p1b1/Q1P5/2R1P2p/P3KP2/5R2 b - -,e6g4
r1bqkb1r/pp1p1n1p/4p3/5p2/4Q3/2N5/PPP2PPP/2KR1BNR w kq -,e4d4
2r4k/p3q1pp/1pbp4/1n2np2/1Q1P4/P2BP1B1/5PPP/4R1K1 w - -,d4e5
6b1/2r5/3R4/p4pkn/3Np3/P3N3/2P2P1K/8 b - -,f5f4
3r1bk1/5ppp/1q6/2r1p3/4P3/1P4PB/4QP1P/1R3RK1 b - -,b6b4
r5k1/1p1b1p1p/3p2p1/1PpPp2n/2P1P3/1N6/r1B2PPP/R1R2K2 b - -,h5f4
2rr2k1/1p1nb1pp/1p2p1b1/1N1p1p2/1P3P2/P2PB1PP/3KP1B1/2R4R b - -,h7h5
r1r3k1/5pp1/1q1bpn1p/p2bN3/3P1B2/3BQ2P/1P3PP1/R1R3K1 w - -,e3d2
1r1q1r1k/3n1pbp/2n1b1p1/2p1p3/2NpP3/1P1P2PP/2N2PBK/R1BQ1R2 w - -,a1a3
2n5/1p2rp1k/p1p3pp/N2bPP2/1P2B1P1/P6P/7K/3R4 w - -,e4d5
8/8/8/1R3p2/4b3/2K5/k7/8 b - -,a2a1
r4bk1/3q1pp1/p6p/4B3/2pp4/P6P/1PPQ1PP1/4R1K1 b - -,a8e8
r2r2k1/pR3p1p/5bp1/N4b2/8/4P3/4BPPP/2R3K1 b - -,a8c8
2rqk2r/1p3pp1/pn6/n2pPP2/3P3b/P1N2Q2/1PbNB3/R1B2RK1 b k -,d8g5
r2qk2r/p2b1ppp/5n2/1B1pp3/1b6/2N5/PPPB1PPP/R2QK2R w KQkq -,b5d7
r1bqrnk1/1p3ppp/p1pb4/2p1pN2/4P1P1/3PBN1P/PPPQ1P2/R3K2R b KQ -,f8e6
r6k/1Qp3p1/3p3p/P3n3/P1P1Nrbb/B1NP1p2/3K1P1q/RR5B b - -,a8e8
r1bq1rk1/pp1n1pbp/4n1p1/3pp3/4P3/2N1BN2/PP2BPPP/2RQ1RK1 w - -,c3d5
r2k3r/1pp2p2/3p2pp/pN1Pbn2/2P2n1P/5P2/PPKB1P2/4RB1R b - -,c7c6
r3kb1r/pp3pp1/1qn1n1bp/1B1pP3/3N4/4BN2/PP3PPP/R2QR1K1 b kq -,f8c5
2rq1rk1/3bppbp/p1np1np1/1pp2P2/4P1P1/2NP2NP/PPP3B1/R1BQ1RK1 b - -,c6d4
4rr2/1p1q2k1/2p2n1p/3p1p2/8/1BP2QP1/PP3P1P/3RR1K1 w - -,f3f4
2rq1r2/4p1bk/6pp/Pp1p1p2/n6P/B2PP1P1/P4PB1/1R1QR1K1 b - -,a4c3
8/5pk1/3p2r1/p1rPb3/1pP1R1BP/1P6/1PR5/1K6 w - -,c2f2
8/2p4k/1bp1P3/p2p3p/6bP/PN1N1r2/1PP3R1/1K6 w - -,b3c5
r5k1/7p/8/3N1pp1/3R4/PP4Pb/1K6/8 w - f6,d5c7
N5k1/1b2bpp1/1B1p1n1p/1p2q3/2n1P3/2P4P/1PB2PP1/3QR1K1 w - -,b6d4
8/8/4p3/1p2r3/8/3K2p1/7k/1R6 w - -,b1b2
2q2k1r/pp2npbp/6p1/1Qn1P3/8/5N2/PPP2PPP/R2R2K1 b - -,b7b6
8/p4kNp/3R1p1P/1p2q1p1/2b5/6Q1/P4PPK/4r3 w - -,d6d7
3r2k1/1p3p1p/p1b1p1p1/2q5/8/PNR5/1P3PPP/4nBK1 w - -,b3c5
3qr2k/1p3p1p/2pp1n2/p2P1Q2/P2P3p/3B3P/1P4P1/5RK1 w - -,f5f6
2k4r/2p2ppp/1p2b3/pP1r4/P4Q2/6P1/7P/2R2RK1 b - -,d5d7
8/4k3/1pbp1pp1/p3p1n1/P1P1P1P1/1PN1P1K1/2B5/8 w - -,c2b1
r1r3k1/3qbpp1/1pp4p/3pB3/p2P4/P2QPP1P/1P4P1/2R2RK1 w - -,f1d1
8/1r3pk1/3p2pb/1qpPp2p/4P2P/Q5P1/P4PK1/N2R4 b - -,b5e2
