8/8/3k1R2/3NpP2/3bP2P/p2K4/7r/8 b - -,d6c5
8/1Q3qkp/pB4p1/Pn1n4/1p6/2bp4/4p1PP/6RK w - -,b7a6
1k1b2r1/pp3q1p/3r1p2/2p1pP1N/P2p1pP1/3P1Q1P/1PP1RP2/4R2K b - -,c5c4
6k1/4b1p1/4n2p/3r1p2/4p3/1P2B3/3N1PPP/R4K2 w - -,g2g3
3r2k1/1pq1bppp/8/2Ppn3/3P4/1P4P1/5P1P/B2QR1K1 w - -,e1e5
1r6/1n3pkp/1R2p1p1/8/4b3/5N2/PP3PPP/R5K1 w - -,a2a4
Q2k1r2/4bp2/4p1pp/2p1P3/2P5/1P4BP/2q2PPK/8 b - -,d8d7
2r3k1/2rbq1pp/p1n1p3/1pnpPp2/3N1Q1P/P2B1N2/1PP2PPK/2R3R1 w - -,d3e2
2r1r1k1/3nqpbp/1pb1p1p1/2Pp4/1p1P4/P3NN2/1B2QPPP/2RR2K1 w - -,a3b4
r7/2R2p2/8/4pk2/5p1p/5P1P/2P2KP1/8 b - -,f5e6
1rnqk2r/pp2bppp/1np1p3/4Pb2/2NP1B2/1Q3N2/PP2BPPP/R4RK1 w k -,c4e3
r1r3k1/3bbppp/3p1n2/3Pp3/pq2PP2/1n2B1NP/1PB3PN/1R1QR1K1 b - f3,e5f4
r2q1rk1/1p1bbppp/p1nppn2/8/2PNP3/2N1BP2/PP2B1PP/2RQ1RK1 b - -,c6d4:a8b8
r1bqn1k1/3n2bp/p2p1pp1/2pP4/5B2/N2B1N1P/PP3PP1/R2Q2K1 w - -,a3c4
r1b2rk1/1p2qpbp/2pp2p1/p1n1n3/2PNPB2/1PN3PP/P1Q2PB1/3R1RK1 w - a6,f4e3
r2r2k1/ppq2pb1/2p4p/2P1p1p1/1PNnPn2/2N3B1/P1Q2PPP/3R1RK1 w - -,c2b2
8/pp1k4/5rp1/2p5/2KpP3/P4PR1/1P3P2/8 b - -,d7c6
1rbqk1nr/p4pbp/3p2p1/2p1p3/3nP3/2PPB1P1/P2Q1PBP/R1NN1RK1 b k -,d4b5
r5k1/1pR2p2/4p2p/r2bP1p1/1p1P4/3BK1P1/PP4P1/R7 b - -,a5a2
8/1B6/4b3/5pp1/8/4kPKP/8/8 w - f6,b7c6
rnbqkb1r/pp3p1p/2p2pp1/8/2P5/2P3P1/P2P1P1P/R1BQKBNR w KQkq -,d2d4
2r2rk1/pp2bpp1/6p1/3p2P1/n2P3P/2PB4/3B1P2/1R2K2R w K -,b1b7
r1bqk2r/pppnbppp/4pN2/6B1/3P4/5N2/PPP2PPP/R2QKB1R b KQkq -,e7f6:d7f6
7k/ppr3bp/1q2p3/3b1p2/3p1P1P/QP4P1/P1PR4/1K2R3 b - -,b6c6
1Rn5/2rb4/3p1kpp/2pPp3/1pP5/1P1BKP2/3N2P1/8 w - -,d2e4
r1b1r1k1/p1p1pp1p/1np3pB/8/2q5/2P3P1/P3PPBP/R2Q1RK1 w - -,d1d4
5r1k/p3Rrbp/1p4p1/2pq1p2/3n1P2/3Q2PK/PB5P/4R3 w - -,a2a4
8/1p1rr1k1/3N1pp1/PRP1P2p/5PnP/3p2P1/3R4/6K1 w - -,d2d3
r1bqrbk1/pppn1p1p/3pp1p1/8/2PP4/P1NBP3/1P2QPPP/R1B1K2R b KQ -,e6e5
7Q/8/8/8/2K5/6p1/8/6k1 w - -,h8d4
1rr5/4pbkp/3p1pp1/pq6/1PpQP3/P1P2P2/5NPP/1R1R2K1 w - -,b1a1
rn3rk1/pbpp2pp/1p1bp3/8/2PPPp1q/P1N1B3/1P3PPP/RB1QK2R w KQ -,e3c1
8/1p1r3p/p1n5/8/1PkP1R1P/P5K1/5B2/8 b - -,c4b3
r2r2k1/7p/2pPR1p1/8/8/7P/2n2PP1/N1R3K1 b - -,a8a1
8/8/6p1/1ppk1p1p/5P1P/1P1r2P1/4K3/8 w - -,e2d3
2r5/4kp1p/1p2p1p1/8/2P1p3/4P1P1/P2R1PKP/8 w - -,d2d4
6k1/4rpp1/7p/p1r5/1n1pP3/1PqP1QPP/4B3/R4RK1 w - -,a1b1
4b3/4q3/3k1p2/1p1B2p1/1PP4p/7P/5PP1/Q4K2 w - -,a1d4
rn1q1rk1/pp2bppb/2p1pn1p/3p4/2P5/1P1P1NP1/PB1NPPBP/R2Q1RK1 w - -,a2a3:d1c2
1r2k3/2R4p/1p1pBqpQ/pP2p3/4P2P/1P3PP1/P5K1/8 b - -,f6e6
k1qN4/p7/Pp3p2/1Qbp2n1/6P1/2N5/1P6/K7 w - -,c3d5
r4rk1/3b4/p1p4p/1pPpnpp1/3N1P2/3BP3/PP4PP/2RR2K1 b - f3,e5g4
r5k1/2R3p1/8/4N1pp/1P3P2/1KB1P3/2R5/5q2 w - -,e5g6
r3r1k1/pp1n1ppp/2p1p3/1PP2b2/3P4/2R2N1P/P3BPP1/R5K1 b - -,f5e4
r4n1k/3r2b1/p1b1p2p/1pBpPp1B/3P1P2/3N2R1/PP5P/6RK w - -,c5d6
4r2r/pp1bqpk1/3pn1p1/2p5/2P1PQPp/2NP3P/PP3RB1/2R3K1 w - -,f4d2
r4k2/ppp1p1bp/2np2p1/1q1P1b2/8/1P2BNP1/P4PBP/R2Q2K1 b - -,c6b4
r4rk1/1bqnbp1p/1p3np1/p1p1p3/2PpP3/PP1P1NP1/R2N1PBP/2BQ1RK1 b - -,f6h5
r1nqnrk1/3b1pbp/1p1p2p1/2pPp3/P1P1P3/RQN2N2/5PPP/1RB2BK1 w - -,g2g3
1r1q1r2/1b2npbk/1pn3pp/p1p1p3/N1P5/P2PPNP1/1PQB2BP/1R1R2K1 w - -,a4c3
8/8/8/3pBp1P/2k1pP2/7P/2Nn1K2/8 b - -,c4d3
2r3k1/1b2qrpp/1p2p3/pP2pp2/PbP1P3/1N2QPPP/2R3BK/3R4 b - -,e7c7
R4k1r/2q1bppp/2B1p2n/3pP3/1P6/2P2N2/4QPPP/6K1 b - -,e7d8
r2qkb1r/pp1N1pp1/2p1pnp1/3p4/2PP4/2N1P3/PP3PPP/R1BQK2R b KQkq -,d8d7
rnbqk2r/p2p1ppp/1p2pn2/2b5/2P5/2N2N2/PPQ1PPPP/R1B1KB1R w KQkq -,g2g3:c1g5
2kr2r1/pp1n1p1p/2p2p2/3p3b/3P1P1P/2N1P2B/PP1K1P2/R6R b - -,h5g4
r2qr1k1/pb3ppp/n2b1n2/2pp4/8/P2N1NP1/1PQ1PPBP/R1BR2K1 b - -,d8e7
3qr1k1/3b1ppn/3B2np/p2p4/P2P2PP/4NP2/3Q4/4RBK1 w - -,d6g3
2r3k1/p4pp1/2p2np1/1p2q3/8/PBP2Q1P/1P3PP1/3R2K1 w - -,f3d3
8/4ppk1/6pp/3p4/1Rb2PPP/r1R5/5B2/6K1 b - -,g6g5
2rq1rk1/1p2ppbp/p1bpn1p1/3N4/1PPNP3/1P2BP2/3Q2PP/2RR2K1 w - -,d2f2
rnbqkb1r/pp2pppp/2p2n2/3p4/8/3P1NP1/PPP1PPBP/RNBQK2R b KQkq -,b8d7:c8g4:e7e6:c8f5
8/8/pR2k3/5p2/5P2/1P4K1/P7/5r2 b - -,e6d5
2b1r1k1/1pp3pp/p1pbnp2/8/2PPN2q/1P4N1/PB3PPP/R2Q2K1 b - -,d6g3
r2qr3/1p2ppkp/pn1p2p1/3P4/3R4/1PP2N1P/1P2QPP1/R5K1 w - -,a1e1
3q1rk1/2rbnppp/1bp5/3p3Q/1P1NP3/6P1/1B3PBP/3RR1K1 b - -,h7h6
r1b2rk1/ppq1ppb1/3p1np1/1P2n2p/2P5/2NP2PP/4PPB1/1RBQK1NR w K -,c1d2
8/4R3/7p/4kpp1/8/5P1P/6PK/3r4 b - -,e5f6
8/8/6K1/7p/4kP2/P5n1/4N3/8 w - -,e2g3
5k2/6Rp/1n2ppb1/N7/B2P4/5PP1/5K1P/8 b - -,f8g7
r1bq1rk1/ppp1p2p/7b/3pP1PP/3P4/3PQ3/PP2N1P1/R3K2R b KQ -,h6g7
5r2/pp5p/7k/r4Pp1/4P3/3RN1Pb/P2R1K1P/8 b - -,h6h5
8/6k1/R5p1/8/5P1P/p1rpK3/P1rR3P/8 b - -,c2d2
5rk1/7p/1p1Qp1q1/1p4b1/3pp3/5PN1/P5K1/7R w - -,d6d4
2b4q/p4k2/1p1p4/2pP1pp1/P1P1p1n1/1P2P1P1/2KQN1Br/6R1 b - -,g4e5
r1b2rk1/pp2qpbp/6p1/n1p1p3/3PP3/2PBBP2/P3N1PP/R2Q1RK1 w - c6,d4d5
2r3k1/Pn3ppp/4p3/1r1p4/1N6/5PPP/7K/R7 w - -,a7a8q
r1b1rnk1/pp2qpb1/2p3pp/4n3/3NPB2/2N3PP/PPQ2PB1/2RR2K1 w - -,c3e2
r1bq1rk1/p3bppp/1np1p3/2pp4/4PP2/1PNP1NQ1/PBP3PP/R4RK1 b - -,f7f6
3r2k1/3P1pp1/8/8/3Q3p/7P/1P1R2PK/4q3 w - -,d4d6
rnbqk2r/pp2ppbp/5np1/2pp4/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq -,c1f4:b1c3
r2qkb1r/pb1n1ppp/1p2pn2/1N1p4/Q2P1B2/6P1/PP1NPP1P/R3KB1R b KQkq -,b7c6
1r3r1k/1pqb2bp/p5p1/P1pPpp2/4P3/1BN4P/1P2QPP1/R4RK1 b - -,f8f6
r1nq1r2/pp4bk/3p2pp/3Pp3/1PN1P1B1/1QN1B3/P5PP/1K1R4 w - -,c4a5
rnbq2k1/1p3p1p/p2p2p1/2pP4/P4B2/6P1/1r1NPPBP/3Q1RK1 w - -,d1a1
3r1rk1/1p1nbppp/p1p1pn2/2Pp4/1P1P2b1/2N2NP1/1P2PPBP/R1B1R1K1 w - -,c1f4
8/5k2/2bb2p1/7p/3B4/4PP1P/4NKP1/8 b - -,c6b5
8/6kp/n7/P5p1/2N5/1P4KP/8/8 b - -,h7h5
4rrk1/1p1qb2p/1n2b1p1/3pB3/p2P2P1/PPN3R1/2Q2PB1/4R1K1 b - -,e7h4
2krn2r/ppp1qppp/1n2p3/4N3/3P1P2/P2BP3/1P1Q1P1P/1KR4R b - -,f7f6
2r1b1nk/2q2rn1/p2b2R1/P1pPp2p/1pP1Pp1B/3N1P1P/2BNK1Q1/6R1 b - -,c8a8
4r2k/3nrpbp/p2p2p1/1pp5/B1PpPPP1/3P1Q1P/PPR5/4qNRK w - b6,c4b5
rr1q2k1/3b1p1p/3p2p1/ppnPp1b1/2p1P1P1/P1P3N1/1PBB1PPK/R2Q3R w - -,h2g1
3k4/R7/Qpnqp3/8/3Pp1P1/4P3/4K3/8 w - -,a6b6
1rq2r1k/p3pnbp/6p1/2P5/5pP1/5N2/PPQ2PP1/R1B1R1K1 w - -,e1e7
r1bq2k1/pp3rbp/3p1nn1/3Pp1p1/4Pp2/2N2P2/PP1BBNPP/2RQ1RK1 w - -,d1b3
1r2r1k1/p4pp1/4b2p/q1P5/4Q3/2pB3P/P4PP1/3RR1K1 b - -,g7g6
r1r5/p2b1k2/1p1n1q1b/1PpPp1pp/P3Pp2/5P2/3NBBPP/1R1Q1R1K w - -,d1e1
r2qnrk1/1p1n1pbp/2p3p1/1PPpp3/3P4/1N2PB2/1B3PPP/R2Q1RK1 w - e6,b5b6
1R6/8/7p/2Pk4/5p1b/1N4rP/6P1/5K2 w - -,b3d2
6k1/NpBn3p/4p1p1/3pP1P1/p1bP1P2/8/8/4K3 w - -,e1d2
r3r1k1/5ppp/pp6/2b1nPP1/P1p2B2/6N1/1PP3KP/R4R2 b - -,e5g4
1r3rk1/pq1n1ppp/1pp1pn2/2Pp4/1P1P2b1/P3PNPP/3NB1P1/R2Q1RK1 b - -,g4h5
