8/5k2/8/R5P1/4K3/p1P5/6r1/8 w - -,a5a3
r5k1/pp4b1/3q1n1r/3Pp1p1/4PpPn/3N1B2/PP3B2/2RQ1RK1 w - -,f2c5
r2q1rk1/1b3ppp/ppp1nb2/4p3/PPB1P3/2N2N2/2PQ1PPP/3RR1K1 w - -,c4e6
r1bbk3/ppn3p1/4pp1p/4B3/2N5/2P2B2/PP3PPP/3R2K1 w - -,f3h5
rn1qk2r/1bp2ppp/p3pn2/1p6/P1p5/B4NP1/P2PPPBP/1R1QK2R b Kkq -,b8d7
r5k1/pp3ppp/2p5/3P2q1/2P1Q3/1P3nPb/PB3P1P/R3R1K1 w - -,e4f3
1r1qr1k1/1b3pb1/ppnp1p1p/3Np3/2P1B3/5QP1/PPN1PP1P/R4RK1 w - -,a1d1
r5k1/pp3pp1/1qnb2np/3pr3/6QB/1NP4N/PP3PPP/R4RK1 b - -,e5e4
8/1pBk1p2/p1p1p3/P3P1b1/2K5/6r1/1P6/7R w - -,c7d6
r4bk1/5p2/p3pBpp/R1p1P3/1pP3PP/8/1P3P2/6K1 w - -,g1f1
3rk2r/pp1b1ppp/3qp3/3PNn2/4Q3/2N3P1/PP5P/2KR1R2 b k -,d6e7
8/4krrR/2P5/3p2pQ/2B1ppP1/pP6/nq1B4/3K3R w - -,h7g7
2bq1bk1/Q1R1n2p/3p1pp1/3Pp3/4P2P/2N3P1/1r4B1/6K1 b - -,b2c2
8/p1pk1p2/1p3K2/3PR2P/6P1/8/8/7r b - -,h1h4
6k1/3Rr1p1/1p5p/p1b1B3/5PP1/7P/P7/7K w - -,d7e7
q3kb1r/3b3p/3ppBp1/1Pp5/8/5N2/1P3PPP/3QR1K1 b k -,h8g8
3k4/8/4p2p/6pP/6P1/4KP2/8/8 w - -,e3d4
r1b2qk1/N6p/4p1p1/2r5/8/7P/Q1R2PP1/5RK1 w - -,f1c1
2r1rb2/6p1/pB2kp1p/7R/2P1N3/1P5P/P5B1/6K1 b - -,f6f5
r1b1r1k1/pp1pnpbp/1q2p1p1/6B1/2BpP3/3P4/PPPQNPPP/R4RK1 w - -,c4b3
7r/3P2k1/1p1R2p1/pq2p1Q1/2Nnp3/2P5/2K3P1/8 w - -,d6d4
r3kb1q/p2p1p2/1pn1p2p/8/2P2P2/P7/1PQ4P/1K1R2R1 b q -,h8f6
r1bqk2r/1p1nbppp/4p3/p2pP3/Pn1P4/3B1N2/1P3PPP/RNBQ1RK1 b kq -,d7b8
r2q1r1k/ppn1b2p/3n4/3p3P/3P1p1p/P1NQ1P1B/1P6/R1B1R1K1 w - -,b2b3
r2r2k1/1p2qppp/p2pb3/6P1/2pPPB1P/2Pn2Q1/PP4B1/R4RK1 w - -,h4h5
5R2/8/6p1/6k1/8/6p1/r6P/6K1 w - -,h2g3
8/8/2b5/7p/5N2/pK4P1/5P2/3k4 b - -,d1e1
1r3rk1/1ppqnpp1/p1npb2p/4p3/2P1P3/1PP3PP/PB2QPB1/R3KN1R b KQ -,b7b5
r5k1/6p1/1Q5p/3p1r1q/4n1b1/4B3/PP3PPP/R3R1K1 w - -,e1c1
8/6p1/2R2p1p/r5k1/8/5PK1/6PP/8 w - -,h2h3
8/5k2/1N5p/8/2R4K/5P1P/6r1/8 b - -,g2e2
3rr1k1/ppp2pb1/b6p/3P2p1/q3P3/4QNP1/P4PBP/3RR1K1 w - -,h2h4
2kr1b1r/Bppb2p1/5p2/4n1Np/6nP/2P3N1/PP2BPP1/R3K2R w KQ -,g5e4
3rkb1r/4ppp1/1q2b2p/pp1n4/1n6/N4NP1/1P1PPPBP/R1BQ1RK1 w k -,e2e4
3R4/p7/6p1/8/2k2p2/8/6r1/4K3 w - -,e1f1
r1b2rk1/p4pN1/7p/q1P4p/3p1Q1B/2R5/P4PPP/2R3K1 b - -,d4c3
5k2/5N2/5K2/5B2/8/8/8/8 w - -,f5h7
n1r1nrk1/3b1pb1/p2p2p1/q2PP3/Ppp1NP1p/4BB1P/1P1QN1P1/R1R3K1 w - -,e3d4
1r2nrk1/p3ppbp/2Bp2p1/3NP3/2P2P2/4Q2P/qP4P1/1Rn2RK1 w - -,e3c1
r1bq1rk1/pp2npb1/2np2pp/2p1p3/4P2P/3P1NP1/PPP2PB1/R1BQRNK1 w - -,c1e3
r5k1/2qnbp2/r1p1pnp1/ppPp3p/1P1P1P2/P1N1PQ2/1B2N1PP/4RRK1 b - -,f6e8
r4rk1/2p3p1/1bp2q1p/p2p4/PP1N4/2P1B3/3Q1PPP/5RK1 w - a6,f1a1
r5k1/pp1b1rpp/4p3/3pBn2/5P1q/PP3R1P/3Q2P1/RB5K b - -,d7c6
r3nrk1/pp1n2pp/1q6/2bPp3/6b1/2N1P1R1/PP1N1P1P/R1BQK3 w Q -,d1g4
r1b2rk1/2q1npp1/p2p3p/2pPp3/2P1Pn1P/R1P1NPP1/2Q5/1R2BBK1 b - -,f4h5
8/8/8/6p1/3b1kP1/5p2/8/3NK3 b - -,f4g4
r2q1rk1/1pp2pb1/p2p1nnp/4p1pb/B2PP3/2P2NBP/PP1N1PP1/R2QR1K1 w - -,d4e5
r7/4npkp/8/p1Rn4/3N4/PP6/3R1P2/6K1 w - -,c5d5
r4rk1/1p1nppbp/p5p1/3Pqb2/2B5/2NP1P2/PP3QPP/R1B2RK1 b - -,b7b5
r3r3/pbq2p1k/2p1nnpp/1p2p3/4P2N/P3Q1N1/1PP2PPP/3RRBK1 b - -,a7a6
r1bqk2r/p2pbp1p/np2p1p1/4P3/1P1B4/2P2N2/P4PPP/R2QKB1R w KQkq -,f1d3
2rq1rk1/1b2bppp/p3pn2/np1pN3/3P1B2/2NBP2P/PP3PP1/2RQ1RK1 b - -,a5c4
2k5/p7/P1K5/P7/4B3/8/8/8 w - -,e4d3
1rbq1rk1/3nbpp1/pp1ppn1p/8/2P1PPP1/N1N1BB2/PP5P/R2Q1RK1 w - -,d1e1
7k/1bq1b1pp/p7/4pp2/2p5/P1P2P2/1PN2BPP/3Q2K1 w - -,c2e3
5K2/8/8/4P2p/8/pk6/5R2/8 w - -,e5e6
6k1/p4pn1/6p1/1Qp4p/6bP/1P2N1P1/P4PBK/q7 b - -,g4e6
r2q1rk1/2pn1pp1/1p3n1p/p2p4/3P4/2B3P1/PPQ1PPNP/2R2RK1 w - -,c3d2
r4rk1/1bqnbppp/pp1ppn2/2pP4/2P5/1PN1PNP1/PB3PBP/2RQ1RK1 b - -,e6e5
2r1k2r/2qpbppp/B1b1p3/8/1p4P1/4B3/PP1Q3P/K1R4R w k -,a6c8
r1b2qk1/ppp1n1bp/3p4/3P2NN/2P5/6P1/PP5P/R2Q1B1K b - -,g7b2
r2q1r2/pp1n1pkp/2p2np1/3p1b2/3P4/2N2N1P/PP2PPP1/R1Q1KB1R w KQ -,g2g4
r2b1rk1/1p1b1pp1/3p3p/p2P4/3N1B2/P6P/1P3PP1/2R2RK1 b - -,a8a6
8/4k3/8/4N1P1/2B2PK1/6P1/6r1/8 w - -,e5g6
2R5/p4k1p/5p2/3p1n2/2p2B2/P1P3P1/5PKP/1r6 w - -,c8c7
r2q1rk1/3nppbp/p1np2p1/2P5/4P3/4BN1P/PP3PP1/R2QRBK1 b - -,d7c5
3rr1k1/1bp1qpp1/pp1b1n1p/n2p4/3P4/1PN1PNPB/PBQ2P1P/2RR2K1 b - -,f6e4
r2q1rk1/pb2ppbp/1p1p1np1/6B1/3NP3/1PN4P/1PP2PP1/R2QR1K1 b - -,a7a6
8/8/5k2/p2b2Pp/2pN4/P3K1P1/1P6/8 b - -,f6g5
r1r3k1/1b1n2qp/1p1bp1p1/2pPNp1n/p2P4/1P2PP2/PB1N1QPP/1BR1R2K b - -,e6d5
r4k2/4n1pp/p2p4/P1bPp3/RpB5/6P1/1PPB2KP/8 b - -,a8b8
1r2b3/1q4kp/2p2pp1/p2p4/1P1P4/P1Q5/5PPP/2R1R1K1 b - -,a5b4
2r2rk1/p7/2ppqp1n/1p4pP/2nRP3/5PN1/PPP1Q2N/1K5R b - -,e6e5
r1br4/p3bp1k/1q2n1pp/1pp1P3/3pP3/5N1P/PP1QNPP1/1B1R1R1K w - -,b2b4
6k1/2r2n2/2P3pp/pBR2p2/1p3P2/7P/P5PK/8 b - -,f7d6
8/1p6/2p5/2P2kpp/PPR5/1r5P/6P1/6K1 w - -,b4b5
r2qkb1r/pb1ppppp/1pn2n2/8/3PP3/3B4/PP2QPPP/RNB1K1NR w KQkq -,g1f3
8/1p6/p1p1k3/2P1Bp1p/3P3P/P1K3P1/1P6/5b2 b - -,e6d7
r3b1k1/4n2p/3q1pp1/1p1p1n2/1PpP2B1/r1P3P1/1R1N1PPN/2RQ2K1 b - -,e8d7
2r3k1/p1q2ppp/Q1p2b2/2Pp4/PP1Pr3/2R1B3/5PPP/5RK1 w - -,f1d1
8/8/1n1k3p/1P3p2/3KpP2/1B6/5P1P/8 b - -,b6c8
2r5/p6r/1b2ppk1/3p2p1/1P1P2Pp/2PRBP2/3K2P1/R7 b - -,h4h3
8/4kpp1/4p2p/3p3P/8/8/2N1KPP1/b7 b - -,a1b2
8/5p2/5k2/5P2/1b3BP1/5K2/8/8 b - -,b4c3
r2qk2r/ppp1nppp/2n1b3/1B6/1P1NP3/8/P4PPP/RN1Q1RK1 b kq -,d8d6
r2qk2r/4bpp1/p2p1nnp/P2Pp3/1p3PP1/4B2P/1PP1N1B1/R2Q1RK1 b kq f3,g6h4
r1bq1rk1/1p1n1ppp/3bp3/p1p3N1/P1PP4/8/1PB2PPP/R1BQ1RK1 b - -,g7g6
2rqrbk1/pb3ppp/1p2pn2/n2p4/2PP4/PP1B1N2/1B2QPPP/2R1RNK1 w - -,f3d2
5r2/4q1k1/3pP1p1/Rp2n2p/1PpQPp2/5B2/5PP1/6K1 b - -,e7e6
8/8/4p3/5kpp/b2P4/2R2KP1/8/8 w - -,c3c5
3qk2r/rBp1npb1/pp2p1pp/8/P2P4/4BN2/1PPQ1PPP/3R2K1 w k -,b7e4
r2q1rk1/1p3pp1/4bb1p/p1Q5/3p4/PP4P1/1B2PPBP/R4RK1 w - -,c5b5
b7/p1q1b1kp/1n3pp1/Np1np3/1P1pN2P/PQ1P2P1/1B2PPB1/6K1 w - -,g2f3
1r1r2k1/p1q1npp1/2p1p2p/1PR4P/3P4/1PP2BP1/2Q2PK1/4R3 b - -,b8b5
r2q1rk1/p5bp/2ppb1p1/4pp2/1PP1n3/1N4P1/PB2PPBP/1R1Q1RK1 w - -,d1c2
4rb1r/3k2pp/p2p4/5R2/1p1B4/4R3/PPP3PP/6K1 w - -,f5f7
6rk/pp3R1p/3pP2Q/2p3P1/2P1q3/8/PP5K/8 w - -,h6f6
7k/2p2pb1/4p2q/p2bPpR1/P1nB3P/2P2NQ1/4R1PK/3r4 b - -,h6h7
4k3/1bp3p1/p1p3r1/PpB1Pp1p/5P1b/2PR3P/1PN3PK/8 b - -,b7c8
r2qk2r/4bppp/p1pp1n2/4p1B1/4P3/5Q2/PPPN1PPP/R3R1K1 b kq -,f6d7
r3kb1r/pp1n1ppp/1qp1pn2/2Pp4/3P4/1QNNP3/PP3PPP/R1B1K2R b KQkq -,b6b3
8/R4p2/8/6P1/5P2/6K1/pr6/1k6 b - -,b2b4
2r1k3/1bq1bp2/p3p1pr/4P3/1p1BpP2/1P5P/P1P1Q1BK/2R2R2 b - -,g6g5
1r2nrk1/2n1P1bp/ppqp2p1/2p3B1/P1B2P2/2N5/1P2Q1PP/R4RK1 b - -,f8f7
r6k/p3brpp/8/2pb4/6q1/2Q2N2/PPNB1PP1/R4RK1 b - -,f7f3
2kr1b1r/pp2pppp/2n2n2/2P2b2/8/2P1BN2/PP1N1PPP/R2K1B1R b - -,f6d5
r5kb/1q1b1p1p/3p1npP/1p1Pp3/pN1nP3/P2BBPP1/1P2N1K1/2Q2R2 b - -,d4b3
r2qkb1r/ppp3pp/2n2n2/3pP3/8/5B2/PPP2PPP/RNBQK2R b KQkq -,c6e5
rnbqkb1r/pp3ppp/4pn2/3pN3/3P4/1Q1BP3/PP3PPP/RNB1K2R b KQkq -,f8e7
r1r3k1/4bppp/4p3/p2p4/6PP/PP4B1/K1b1BP2/2R4R b - -,e7f6
r2qk1nr/ppp3pp/2nb1p2/1B1bp3/8/1PN1PN2/PB1P1PPP/R2QK2R b KQkq -,d5f7
1q6/b5kp/6p1/8/P1B2Q2/1P4P1/6KP/8 w - -,f4b8
r2qrk2/pppb2bQ/2n2pBB/3n4/3P4/2P4P/PP4P1/RN3RK1 b - -,f8e7
r1r2bk1/1p1n1p1p/4p1p1/p2p4/3P4/qR2P1B1/PP3PPP/1N3RK1 w - -,b1a3
8/r4k2/1R6/4KP2/8/8/8/8 w - -,e5f4
1r3rk1/3R1pp1/p2Qq2p/P2B4/1p6/6P1/7P/5R1K b - -,e6d6
R7/8/8/4p3/4k3/5r1p/5P2/5K2 w - -,f1e2
3r4/pkpq1p1p/1pn3p1/3p4/3P4/P1PBRQ2/2P2PPP/6K1 w - -,g2g3
8/8/5k2/7p/8/6PP/5K2/8 w - -,f2g2
2b5/4r2p/p2k2p1/3p2P1/1P3P2/2PBK3/7R/8 w - -,e3d4
rnb2rk1/2q1bppp/pp1ppn2/8/2P1P3/1NNBBP2/PP4PP/2RQ1RK1 b - -,c8b7
r3r1k1/1p3pb1/2p3p1/p2p3p/3P3P/BP2P1P1/P1R2PK1/4R3 b - -,g7d4
5K1k/4R3/5P2/8/8/8/8/r7 w - -,f6f7
r1b2rk1/ppn3p1/2pb1q1p/3p1p2/1P1P4/P1N2NP1/4PPBP/R2Q1RK1 w - -,a1b1
2r3k1/1p1bbpp1/p4n1p/8/3N4/4P1B1/3N1PPP/1R4K1 w - -,b1b7
r4rk1/1bp2pp1/pbnp1q1p/1p1Bp3/P2PP3/N1P2N2/1P3PPP/R2Q1RK1 b - -,f8b8:e5d4
1r6/kp6/p3q3/3B4/b7/2pQ2P1/P3nP1P/3R3K b - -,e6d5
1r3rk1/p2qppbp/1pbp2p1/2n5/2P1P3/1PN3P1/P2BQPBP/3R1RK1 w - -,f1e1
r1bq1rk1/pp1nbppp/2p1pn2/6B1/2pP4/P1N1PN2/1P2BPPP/R2QK2R w KQ -,e2c4
r3n1k1/2p3bp/2nrp1p1/1p2p1B1/4P3/5N1P/1PP2PP1/1N1RK2R w K -,c2c3
r1bqr1k1/pp1n2pp/3b1p2/3p4/3P4/1QPB1N2/P2B1PPP/R4RK1 b - -,d8a5
r1bqk2r/pppp1pp1/2n2n1p/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b kq -,e8g8:d7d6
4rr1k/pp3q1p/3pRbp1/3p4/1PB2P2/8/P2Q2PP/4R1K1 w - -,d2d5
3r2k1/6b1/pp1q3p/3P4/5p1p/3Q2nK/PPB3P1/4r1B1 b - -,e1g1
1rbk4/ppN2Rb1/2n5/4p1qp/2QP4/6pP/PP4B1/6K1 b - -,c8d7
3r1rk1/1p2bpp1/1p3q2/p2Bp2b/P3P2p/1N5P/1PP2PP1/R3RQK1 w - -,d5b7
2Q3k1/r3qpp1/4p2p/2pb4/2N5/6P1/PP2PP1P/2R3K1 b - -,g8h7
1nrq1rk1/pb1pbpp1/1p2p2p/4P3/2PBN1nP/P4N2/1PQ1BPP1/3RK2R b K -,b8c6
6k1/5p2/pp4p1/3p4/7P/5P2/Pq1K2P1/2R4R w - -,c1c2
r3q1k1/1p2b2p/4b3/1p1pBp1n/3P2p1/3NP1P1/P4PQP/5RKB b - -,a8a2
1r1q1rk1/1b2bppp/p3p3/2n1P3/1pP3P1/5N2/P1B1QPP1/1RBR2K1 b - -,d8c7
5k2/4pp1p/3p2p1/2pP4/1rBb1P2/rP4P1/2R1R1KP/8 b - -,b4b3
5B2/8/2n5/1p1k4/b7/2K5/8/8 b - -,a4d1
6r1/8/p2k4/4pb2/1P1p4/3Bb3/P1RNP3/7K b - -,f5d3
r2q1rk1/1pp2pp1/p1b1pb1p/8/3PP3/2P2NP1/P1Q2PBP/R3R1K1 b - -,b7b6
rn2kb1r/pp2pppp/5n2/2pq4/6b1/N1P2N2/PP1PBPPP/R1BQK2R b KQkq -,b8c6
5k2/2R5/6p1/7p/2p4P/6PK/2r5/8 b - -,f8g8
3R4/pp2rk2/8/3p4/8/1P4P1/1r6/3R3K w - -,d8d5
1r4k1/5pp1/1r5p/p2PP3/2pP4/2Q3Pq/PPR4P/5RK1 w - -,e5e6
r1b2rk1/1pp2ppp/2n1p1q1/3n4/pbQP2P1/2N2N1P/PP1BPPB1/R3K2R w KQ -,c3d5
rnb1r1k1/1p3p2/p2pPq1p/2pP4/P4P2/2NQ2Bp/1P4P1/R4RK1 w - -,c3e4
5k2/2R5/3p2B1/2pb2P1/7P/1r2K3/8/8 w - -,e3f4
7R/p5k1/r4p2/3p1PpR/3Pp3/2r3P1/2P4P/6K1 b - -,a6a1
5rk1/3RRpp1/1pr4p/p1n5/6PP/P1B2PK1/1P6/8 w - -,d7c7
r3kb1r/pp3pp1/1np1pnbp/2q5/2p1PBP1/2N2N1P/PP3PB1/R1Q2RK1 w kq -,f1d1
8/4k3/2K1P1B1/3P4/1b6/p7/P7/8 w - -,g6d3
rnbq1rk1/pp2np1p/2p3p1/8/1b1P4/2NB1N2/PPQ2PPP/R1B1K2R w KQ -,c1g5
3q3k/p4prn/1p1n1NpQ/4r1P1/3P4/2P4R/P4P2/6K1 b - -,e5g5
rnbq1rk1/ppp2pbp/3p1np1/4p3/3PP3/3BB3/PPP1NPPP/RN1Q1RK1 w - e6,c2c3
rb1N2k1/3Qnq2/p1p2p2/4p1p1/4P3/6B1/PP3PP1/3R2K1 b - -,a8a7
6k1/6p1/4p2p/p4r2/4R3/4QP2/1q3KPP/8 w - -,e3e2
r1b2rk1/ppqn1pb1/3p2pp/2pPp2n/2P1P3/P2BBN1P/1PQ1NPP1/2R2RK1 w - -,b2b4
r3q1k1/6bp/n3Bpp1/pp6/3P4/P4Q1P/1PP2PP1/R1B3K1 b - -,g8h8
r2r2k1/pp3ppp/2q1pb2/2n4b/4N3/2P2N1P/PPB1QPP1/R2R2K1 b - -,c5e4
8/1p1R1pk1/p7/P1r5/2P1r1P1/1nB4P/R6K/8 b - -,g7g6
r4rk1/1p4pp/p1p1p3/2Pp1p1n/PP1P1P2/2BBPPbq/R3R3/2Q3K1 b - -,f8f6
3R4/ppr1kp1p/2b3p1/8/2P5/1P3P2/PB4PP/6K1 w - -,d8a8
1rbr2k1/1nbqn1pp/1p3p2/1Pp1p3/2N1P3/2BP2P1/5PBP/RR2NQK1 b - -,b7d6
4R3/p4pk1/6p1/2QP2Pp/2P4P/2qr1PK1/P4R2/1r6 b - -,g7h7
r1bqk2r/pppp1ppp/2n2n2/2b1p1B1/2B1P3/3P1N2/PPP2PPP/RN1QK2R b KQkq -,h7h6
r1r5/PR4pk/4p3/3pP2p/3P2q1/1R3p2/2bB3Q/4K3 w - -,b3a3
5k2/p4p2/1pB1p2p/2n1Pp2/2P2Q1P/bPB3P1/5PK1/3q4 b - -,a3c1
rnbqkb1r/p4ppp/3ppn2/2pP2B1/2p5/2N2N2/PP2PPPP/R2QKB1R w KQkq -,e2e4
r2qk2r/1b2p1bp/p1npPp2/1p1p2Np/3P4/3BB3/PPP1QPP1/R3K2R b KQkq -,d8a5
2r2rk1/pp2ppbp/1q1pbnp1/8/2n1PP2/1NNQ4/PPP1B1PP/R1B2R1K w - -,d3g3
rnbk3r/ppp2ppp/3b4/5q2/3P1p2/2N2N2/PPP1Q1PP/R1B1K2R w KQ -,e1g1
8/5r1p/1p3Bp1/2nk4/5P2/P1R2K2/4P2P/8 w - -,f6d8
5r2/1p3r2/p3k1pp/2p1pp2/4P1PP/1P1P1RK1/1PP5/5R2 w - -,g4f5
r2qk2r/pp1nnpb1/2p1p1p1/3p3p/3PP2P/2N1BP2/PPPQ1P2/2KR1B1R w kq -,c1b1
2Q5/1pq2kp1/p2b1p1p/8/4p1P1/2B1P2P/PP3PK1/8 w - -,c8f5
3q1rk1/1p3ppp/p1p1r3/3pP1b1/8/P1NBP2P/1P3QP1/2R2RK1 w - -,c1d1
5rk1/4bp2/6pp/8/4QPn1/1P6/1PP1b2P/1K6 b - -,e7d6
r2q1rk1/nbpn1ppp/p2p1b2/1p1Pp3/P3P3/NBP2N1P/1P3PP1/R1BQR1K1 b - -,d7c5
1r4k1/2q1bp1p/4pn2/p3N1p1/P7/1n2P3/QP3PPP/3RBBK1 w - -,e5c4
r1bq1rk1/1p2bpp1/p1p2nnp/3p4/1P2P3/1BPP1N1P/P2N2PB/R2Q1RK1 w - -,g1h1
r1b2rk1/pp1p1ppp/2n1pn2/2q5/8/4PN2/PPPB1PPP/R2QKB1R w KQ -,a2a3
R5R1/4pp1p/1b4pk/4P3/2b4P/2r3P1/8/3BK3 b - -,c3g3
3r1rk1/p3bppp/4B3/q1p5/3nN3/1PN5/P4PPP/R2Q1RK1 b - -,d4e6
8/3kp3/3p2B1/6B1/r7/5KpP/5P2/8 w - -,f3g3
3r2k1/1R3ppp/6n1/p2Pp3/2n1P3/2bN1PPB/6KP/2B5 b - -,c4d6
3N1n2/2r2pR1/3n1kpP/3pp3/6P1/8/5PK1/8 w - -,g4g5
r3nrkn/3b2pp/p2p1p1q/2pPpP2/Pp2P1P1/3N2R1/1PP1N1BP/R3Q2K w - -,g3h3
5r1b/1p2n2k/p2qp1pP/3p3r/3P1P2/1P2BR1B/P5Q1/3R2K1 w - -,h3g4
1r4k1/2p2pp1/p2q3p/2r1nP2/3pP3/1B1P2QP/P1R2PK1/2R5 b - -,b8b5
r5k1/2rp1ppp/p7/3RPp2/2n2P2/2P5/2P2BPP/R5K1 w - -,a1a4
5rk1/2p2q1p/p7/1p6/3r1p2/5R1P/PPQ2PP1/R5K1 w - -,f3c3
r4rk1/1p2qpp1/1np2b1p/2Nb4/p2P4/P2B1N1P/1PQ2PP1/3RR1K1 b - -,e7c7
2r2rk1/p2qbppp/2n2B2/2ppP3/8/5N2/PPQ2PPP/R3R1K1 w - -,f3g5
r1bqkb1r/pp3ppp/2n1pn2/3p4/3NP3/2N3P1/PPP2P1P/R1BQKB1R w KQkq d6,f1g2
8/5p2/4k2p/1R4p1/1pP3P1/5P2/6PK/1r6 w - -,h2g3
8/4b3/3p1nk1/1rp1p1p1/2N5/5PB1/1P4PP/R5K1 w - -,a1a6
8/p2n1kp1/7p/3n1b2/3P1P2/1P2P3/1P1K4/4B3 w - -,d2e2
3R4/p1r3kp/6p1/3B4/5P2/6P1/3n3P/7K w - -,h1g2
3q4/2p1r1k1/2p3pp/P1R1pr2/1PRnN2P/6P1/5PK1/3Q4 b - -,e7d7
