8/8/6Bp/2KNk2P/p7/P7/2P5/1r6 w - -,d5c3
2r3k1/p4p2/4p2p/1bPr1p2/1P1p1P2/P5P1/3N3P/2R1R1K1 b - f3,a7a5
5rk1/5qbp/1pb3p1/p1p1pp2/P2rP3/1PNP1BP1/2QR1PKP/R7 w - -,g2g1
r1bq1rk1/pppnb2p/4p3/2Pp1pp1/3Pn3/3BPNB1/PP2NPPP/R2QK2R b KQ -,c7c6
5RR1/5rk1/1p5p/p5pP/Prp5/2K5/8/8 b - -,g7f6
2r2r1k/4p2p/p1p5/4R3/Nn3P2/3p3P/1PP2RP1/6K1 w - -,c2c3
3qr1k1/rbpp1pp1/1pn2b1p/4P3/1P1P4/1B1Q4/5PPP/2BRR1K1 w - -,e5f6
8/1p1r1kp1/p6p/P1pn4/4pB2/1R4P1/1P3K1P/8 b - -,f7e6
4r1k1/2qr1pbp/6p1/p7/P1pNb3/2P1B1Q1/1P1R2PP/4R1K1 b - -,e4d3
8/8/7p/R4p1k/P4P1P/r5PK/8/8 b - -,h5g6
2rr4/1p2bk1p/p2nbpp1/P1p1p3/4P3/N1P1BPP1/1P2BK1P/R2R4 b - -,d8d7
r2qkb1r/1Q3ppb/2p1p2p/p3P3/Pn1P4/5N2/1P1BBPPP/R4RK1 b kq -,a8b8
r4rk1/3qn1bp/p2p1p2/1p1Pp1p1/PPp1P3/2P1N1BP/2Q2PP1/R3R1K1 w - -,a1a3
rnbqr1k1/1p2bppp/2pp1n2/p7/3NP3/2N3PP/PPP2PB1/R1BQ1RK1 w - a6,g3g4
2r1rbk1/2qn1ppb/2p2n1p/pp2pN2/4P1P1/PP3Q1P/1BPN1PB1/R3R2K b - -,h7f5
r1bq1rk1/pp2p1bp/2pp1np1/5p2/1nPP4/1PN2NP1/P1Q1PPBP/R1B2RK1 w - -,c2d2:c2b1
8/5b2/p2k4/1p2p2p/3p2PP/P4B2/1PPK4/8 b - -,h5g4
2k5/1p3p2/p5n1/7r/4P2P/1P2Nb2/P1P5/2K2R2 b - -,g6h4
8/r3n1k1/2RN3p/6p1/p7/P4P1P/6PK/8 w - -,c6c4
4rrk1/1pb2pp1/1Nn1b1qp/p1P1p3/3p4/P2P2P1/1P1NQPBP/2R1R1K1 b - -,f7f5
1k2q3/pp6/P1pp1R2/1n2N2p/3p2pP/1Q1P2P1/3K2B1/8 b - -,e8e5
2n5/2P1k2p/8/3p1pN1/8/6P1/7P/6K1 w - -,g5h7
6k1/7p/3p1pp1/P3p3/P1r1PP2/1rp3P1/2R4P/2R3K1 b - -,e5f4
1r2r3/pp3pk1/1np2bp1/N2B3p/3p4/P2P2P1/1PRNPP1P/4R1K1 b - -,b6d5
rn1qk2r/pb1pbppp/1p2pn2/8/2P5/P4NP1/1P2PPBP/RNBQ1RK1 b kq -,e8g8
7R/3r3p/3P1p1P/1b2pPp1/3kP3/1P3PK1/8/8 w - -,h8f8
r1b1k2r/pp4pp/2p1p2q/3pP3/2P1p1n1/1P2P1PP/PB3P2/R2NKQ1R b KQkq -,g4f2
r1bnr1k1/ppp1qp1p/5bp1/8/2B1PQP1/2P2N1P/PP3P2/RN1R2K1 b - -,d8e6
r4r2/1p2q2k/1Q2n1pp/1Pp2p2/4b3/P4NP1/1B2PPBP/2R3K1 b - -,f8d8
5k2/p1p2rpp/2p2q2/8/2Q1p3/2P5/PP3bPP/5R1K w - -,c4e4
rnb2r2/ppp1qpbk/6pp/1B1Pp3/8/4BN1P/PPPQ1PP1/3R1RK1 b - -,f8d8
r7/6P1/3k1BK1/8/5P2/8/8/8 b - -,d6e6
r4rk1/pp2bppp/4pn2/3p4/3P1B2/3B3P/PPP2PP1/3R1RK1 b - -,a8c8
3r4/5pk1/1prpn1p1/p2Rp3/2P1P2p/1P3P1P/P3BKP1/3R4 b - -,g7f6
2r2rk1/p2n1ppp/1p1p1n2/4p3/Q1q4B/P1N1P3/1P1R1PPP/4K2R w K -,a4c4
4r1k1/1p6/1P1p3b/p1pPnP2/P1P4p/B3Pp1P/8/2RR2K1 w - -,g1f2
rn1q1rk1/4bppp/p2pbn2/1p2p1P1/4P3/1NN1BQ1P/PPP2P2/R3KB1R b KQ -,f6e8
2kr2nr/1pp5/p2p1pq1/3Pp1P1/bP2P3/4Q2N/P1P1B3/2K3RR w - -,e3a7
r2qr1k1/ppp3bp/5pp1/7n/3P2b1/2N2N2/PPPQB1PP/2KR3R b - -,d8d6
1r3r1k/1p3qpp/pbp1b1n1/5p2/2P2P2/1PNQ2P1/PB4BP/3R1R1K b - -,f8d8
3rq3/1k6/pp2p2r/3p2pp/3b4/P1NN4/1PQ2RPP/5RK1 w - -,g1h1
R1r5/3k1ppp/3bp3/8/3P4/3KB1P1/5P1P/8 w - -,a8a4
1nR5/r4pbk/1p1qp1pp/p7/3P4/4BQ2/PP3PPP/2R3K1 w - -,e3f4
4k3/4P3/7p/p2K2bP/P7/B7/8/8 w - -,a3d6
4R3/7k/8/8/p7/5K2/r7/8 w - -,e8a8
1r4k1/5pp1/3p3p/p1p1p1q1/PrPnP3/1P2QPP1/1R5P/1R1B2K1 w - -,g1f2
r2q1rk1/pp4pn/2p5/1P2ppPp/2PnP2P/P2p1B2/1R1P1P2/2Q2RK1 w - -,f3h5
r1bq1rk1/ppp1p1bp/2npp1p1/3n2N1/2BP1P2/2P5/PP1BN1PP/R2Q1RK1 b - -,h7h6
2b3k1/2r1qpp1/p4n1p/1n1p1P1P/1p1N4/1P1PPBQ1/6P1/4R1K1 w - -,d4b5
1r6/1b1n1p2/4pk2/1N2n2p/P3P3/BP3P2/2P4P/2KR4 b - -,f6g5
3rr1k1/R4ppp/5b2/8/8/4p1P1/P3PPBP/1R4K1 w - -,f2f4
1R6/3k4/1K6/p2r4/P7/8/8/8 b - -,d5g5
5r2/5k2/pq1p4/1b1Pp3/4P3/2R2P2/3NKB2/7R w - -,e2e1
r2q1rk1/1p1bbppp/p2pp1n1/2pP4/4P3/2P2N2/PP3PPP/R1BQRNK1 b - -,e6e5
1r2b3/4kp1p/4p3/2r2p2/p2b4/2PR1BP1/PP5P/1K1R4 w - -,c3d4
5k2/R7/r1p2Np1/2nb4/4p2P/4P3/6PK/5N2 w - -,f6h7
r2qkb1r/p2n1ppp/2B1bn2/8/2pQ4/2N3P1/PP2PP1P/R1B2RK1 w kq -,c6a8
1r1q1rk1/1b1nbppp/pp1ppn2/2p5/2PP4/1PN1PNP1/PBQ2PBP/R4RK1 w - -,a2a4
rnb1kb1r/ppq1pppp/3p1n2/2p5/3PP3/2P1BP2/PP4PP/RN1QKBNR b KQkq -,g7g6
r1b3k1/ppR1ppq1/6p1/3p2N1/7Q/3P2P1/PP2PP2/4K3 b - -,f7f6
r1bqr1k1/1p1nbppp/2pp1n2/p3p3/P1PPP3/2N1BNPP/1P3PB1/R2Q1RK1 b - -,e7f8:e5d4
r3k2r/p2bnpp1/1p6/3pPpBp/P1pP4/2P2B2/2P2PPP/R4RK1 w kq -,g5e7
2r1rbk1/1bqn1pp1/pp1ppn2/8/2P1PB2/1PN2P1B/P3NQ1P/2RR3K b - -,d7e5
r4rk1/3n1pp1/p2b1qp1/1p6/2p1P3/1B2BP2/PP2Q1PP/3R1RK1 w - -,b3c2
2r5/8/p3N1k1/4Pp2/P4PnP/4P3/6P1/5RK1 b - -,c8c4
r4rk1/pbpnqppp/1p1ppn2/2P5/1P1P1B2/P2BPN2/5PPP/R2Q1RK1 w - -,c5d6
r5k1/1p4pp/p1q1p1r1/2np4/3Q1P2/2N4P/PPP3P1/4RRK1 b - -,a8d8
r2qk2r/1b1nbppp/4p3/1p1p4/8/3P1NP1/1PQ1PPBP/R1B2RK1 w kq -,a1a8
4Nk2/R7/2p1Qp2/2P1p3/pP4p1/P5q1/1B6/7K b - -,g3e1
rnbqk2r/pp3ppp/4p3/3nN3/1b1P4/3B4/PP1N1PPP/R1BQK2R b KQkq -,b8d7
1k1r3r/pp2qppp/2p1bn2/3p4/Q2P4/3BPN1P/PP3PP1/1KR4R b - -,f6e4
3r1rk1/1b3p1p/4p3/4P3/pPR5/5P2/3qBQP1/5RK1 b - -,g8h8
3r2n1/p2Prpk1/1p4P1/2p3p1/q1P5/2PR1B1P/3Q4/3R2K1 b - -,f7f6
r1bq1rk1/3n2pp/p2b1n2/Np1Ppp2/1P6/P1N1P1P1/4BP1P/R1BQK2R b KQ -,d7b6
8/5pk1/2R4p/8/4B2p/5r2/3r2PK/8 b - -,f3e3
r4rk1/pp1qnppp/4p3/n1p5/2PP4/P1PQBB1P/5PP1/R2R2K1 b - -,a8d8
3q1r2/p4rkp/1p1p2pb/2pP4/P1PnRPB1/7Q/1P1B3P/5RK1 w - -,g4e6
8/3q4/2k3p1/4Qp1p/p1p1p2P/P5P1/1P3P1K/8 w - -,e5a5
5rk1/2qb1ppp/3p4/p2Qp1b1/2P1P3/PR6/4BPPP/5RK1 w - -,b3b7
8/8/6p1/1N1pk3/6K1/8/2n5/8 w - -,g4g5
2q2rk1/pp2npp1/1Pprbn2/P1Np4/3P3p/3BPP2/2Q2NPP/1R2R1K1 b - -,c8a8
6k1/7p/p3R2P/1bB1p3/8/2P3P1/6PK/5r2 b - -,g8f7
4r1k1/3nqp1p/p1Q3p1/3pr3/PP1N4/5P2/5KPP/1R1R4 w - -,h2h3
rnbq1rk1/pp2bppp/4p3/2pn4/8/1PN1PN2/PB1P1PPP/R2QKB1R w KQ -,f1e2
8/p1QP3p/1p3kp1/2b2p2/8/6PP/PP2r1K1/8 w - -,g2f1
2rq1rk1/1p2ppbp/3p1np1/p4PB1/PnB1P3/1NN5/1PP3PP/R2Q1R1K b - -,c8c4
r3kb1r/p4pp1/1np1p1p1/3p4/1n1P2P1/1PN1PP1P/1P6/R1BK1B1R w kq -,c1d2
2R5/4k1p1/1pBp1p2/r2P4/p3N1Pp/P6P/bP4K1/8 w - -,e4c3
2r3k1/6b1/p1np1r1p/3p4/7p/1PpBB2R/P5P1/1K1R4 w - -,a2a3
rq1b2k1/3pn1rp/p1b1p3/1p2Pp2/5PpP/P3B1Q1/1PP1N1P1/R3RBK1 w - -,e3f2
2r2qk1/1b6/6pp/P1np1p2/2p1nP2/8/P1Q2PPP/BBR2RK1 w - -,f1e1
8/R7/5kp1/7p/2pK4/4R1P1/P7/3r1b2 w - -,d4c3
r2qrnk1/pbp1bppp/1p1p1n2/3Pp3/2P1P3/1P1B1N2/PB2NPPP/R2Q1RK1 b - -,f8g6
4r1k1/1b2q2p/p2p2pB/3Pp3/4P3/7P/P4QPK/5R2 b - -,b7c8
r2qkb1r/pp1npppp/1np5/5b2/P2P4/2N2N2/1P2PPPP/R1BQKB1R b KQkq -,a7a5
q4rk1/1br2P1p/p4bpP/1p2np2/1Q6/2N1B3/PPP4R/2KR1B2 b - -,c7f7
5k2/4bp2/6p1/3Np2p/8/5P2/6KP/8 w - -,d5b6
8/2b1r3/1p2kpp1/p1p1p3/3r2PP/1P1P2BK/1PP1R3/R7 w - -,a1e1
2kr3r/pbq2ppp/4p3/2bnP1N1/1p6/3B4/PPQ2PPP/R1B2RK1 b - -,c8b8
r1qn1rk1/p2pbppp/1pbB4/2p5/2P1N3/6P1/PPQRPPBP/3R2K1 b - -,e7d6
r1b1k2r/ppqp1ppp/4pn2/2n5/2P5/2b2NP1/PPQBPP1P/R3KB1R w KQkq -,d2c3
6rk/p1Q2p1p/1pn2q2/3p3P/3P4/P1PB4/2P2PP1/4RK2 w - -,e1e3
5N1r/4p1k1/2nq2p1/8/2R3Q1/6P1/P4P2/5RK1 b - -,h8f8
1k6/6p1/7n/5p2/1P3P1p/4RP1P/8/7K b - -,g7g6
rnbq1rk1/1p4bp/p1np1pp1/3N2B1/4P3/5N2/PP2BPPP/R2Q1RK1 w - -,g5e3
1k1rr3/1bpqbpp1/1p1p1n1p/p2N4/P2NP1P1/1P1Q3P/1BP2P2/2KRR3 w - -,d4f5
r1bqkbnr/pppn1p1p/3p2p1/4p3/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq e3,f8g7
2rqr1k1/1b3pbp/pnp3p1/2B5/3N4/1P1p1N1P/P4PP1/2RQ1RK1 b - -,b6d5
3r2k1/q1r2pp1/6p1/pQ2P1P1/4P1B1/bPP3P1/1R4K1/5R2 w - -,b2a2
3qr3/1b1r1pkp/p1p2np1/8/P1pPp3/1P4QP/2B1NPP1/R3R1K1 w - -,b3c4
8/p3k3/1p5R/2p1P1p1/2r5/4PK2/P4P2/8 b - -,c4a4
4k2r/2qbbppp/p3p3/3pPP2/3B2P1/1r6/1PP2Q1P/2KR1B1R b k -,b3b4
8/2n1b3/4ppk1/6p1/6P1/1B1KP3/1B3P2/8 b - -,e7d6
r2q1rk1/3nppbp/2p1b1p1/pPPp4/p2PPB2/3BP2P/P5P1/2RQK1NR b K -,d5e4
2rq1rk1/pp1bppbp/3p1np1/1B6/2PBP3/1PN2P2/P5PP/R2Q1RK1 b - -,d7b5
r1b1kbnr/1pqp1p1p/p5p1/4p3/2PpP3/1P4P1/P2PNPBP/R1BQK2R w KQkq -,e1g1
1r1qr1k1/p4ppp/3b1n2/1p2pP2/3p3N/1PnP2P1/P1R1QPBP/2B2RK1 w - -,e2f3
4r1k1/1p3pp1/p4r2/4q2P/3R4/P1P5/1P3PQ1/1K4R1 b - -,g7g6
1rbqk1nr/1p1pppbp/p1n3p1/2p5/1PP5/P1N3P1/3PPPBP/1RBQK1NR b Kk b3,c5b4
r4rk1/pp2bpp1/1qp2n1p/3p1b2/7B/2NPPN1P/PP1Q1PP1/2R2RK1 b - -,a8d8
6k1/5p2/3p4/b3p1pp/2q1P3/5PPK/P4Q1P/B7 b - -,a5b6
rnbqk2r/pp3ppp/2nbp3/2p5/2PP4/P4N2/1P3PPP/RNBQKB1R w KQkq -,d4d5
r7/7k/4pB2/4P2p/P1p1b1p1/2P1P3/6pP/R5K1 b - -,a8a5
r2qkb1r/pp1n2p1/2p1p1pn/3pP3/5BP1/2N5/PPP2P1P/R2QKB1R w KQkq -,f1d3
8/2K5/4P3/6R1/b7/2k5/8/3r4 w - -,g5g4
8/5p1k/4b1pp/8/3RN2P/2r5/5PP1/6K1 b - -,c3c4
r1b1k2r/ppp1qppp/3p1n2/4n3/2B1P3/B1Q2N2/P4PPP/4RRK1 w kq -,f3e5
8/5rkp/8/p1Q1n1p1/P5P1/6K1/1PP5/8 b - -,e5f3
r1b2rk1/p1p2pbp/5qp1/8/3Q4/4B3/PPP2PPP/2KR1B1R b - -,f6f5
2rr2k1/1bqnbppp/p2pp3/n7/2P1PP2/P1N1B3/N2QB1PP/1R1R2K1 b - -,d7c5
8/1Qp3pk/1p1q1r2/p1p4p/2P2P1P/1P3NP1/P5K1/8 b - -,g7g6
6k1/1b3p2/p2rpqp1/1p2N2p/3n4/P2B2QP/1P3PP1/4R1K1 b - -,d4f5
6r1/5k2/p2qpbr1/3p1p2/Pp1P1P2/1P1QNKPR/1BP5/8 w - -,c2c4
5k2/3P4/2r2b2/5K2/6B1/7P/8/8 b - -,f6d8
2r5/Qp1k1ppp/4p3/1q6/1b1PK3/4BPPB/PP3P2/2R5 b - -,f7f5
4B3/p7/6p1/2N1b1kp/P7/5K2/8/8 w - -,f3e4:c5e4
1rn5/8/R1pkp1pp/1p2p3/1PP1P3/4NP1P/2K3P1/8 w - -,c4c5
8/8/1R6/pb6/2p5/2K5/5pk1/8 w - -,b6g6
4R3/6r1/3k2pp/1P3p2/5P2/4P1K1/5P1P/8 w - -,e8h8
8/5ppk/p3p3/7p/2Q5/6R1/5P2/q5K1 w - -,g1g2
r1r3k1/3nqpp1/5nb1/pp2p2p/4P1P1/PP5P/1BP1QPB1/R1R2NK1 b - -,h5g4
r1b1kb1r/2qp1ppp/p1n1pn2/1p6/3NP3/2N1BP2/PPPQ2PP/2KR1B1R b kq -,b5b4:f8b4:c6e5
4rrk1/1p3pbp/p1bp2p1/P7/2PpPB2/1q4P1/3Q1PBP/R4RK1 w - -,f4d6
3r2k1/2q3p1/5nNp/5P2/2p1p3/2PnB1PP/P5RK/5Q2 b - -,f6d5
6k1/6p1/7p/3p4/3R4/1P6/1r3PPP/5K2 w - -,d4d5
2r3k1/pp3p2/4p2p/3pP2P/5R2/1Pr5/P1P1bNP1/1KR5 w - -,g2g4
6k1/1p3p1p/1p3r2/6p1/8/1P1P1K2/P5PP/2R5 w - -,f3e3
5r2/1B1q1pkp/3p2p1/P1p1r3/8/R4Q2/6PP/5R1K b - -,e5f5
r3nrk1/pp3npp/2bppp2/b7/2P5/2N1P1B1/P1RNBPPP/1R4K1 w - -,d2b3
1rbqnrk1/1p3p1p/p2p4/2pPb3/P3PBP1/2NB2QP/1P6/R3R1K1 b - -,f7f6
rn1qkb1r/pp3pp1/2p1p1p1/8/2PPn1P1/7P/PP3PB1/R1BQK2R w KQkq -,g2e4
8/5n2/N7/1pk5/p7/P1KB4/1P6/8 b - -,c5b6
r1q2rk1/1bpp2pp/1p6/2bPpp2/1pPn4/P2P2P1/4NPBP/1RBQ1RK1 w - -,a3b4
3q3r/p1p1bk1p/1r1pb1pP/5p2/3N2n1/6P1/PPP1PPB1/R1BQK2R w KQ -,d4e6
3r1rk1/ppp2ppp/6q1/6b1/8/1NPnQPP1/PP2nB1P/R3RK2 w - -,e3e2
8/1b3p2/5Pk1/1p1N2p1/2pBK1Pp/5PbP/1PP5/8 w - -,d4e5
3r2k1/p2r1p1p/2b1q1p1/4P3/2pRpPP1/4Q2P/PP4N1/3R2K1 b - -,c6a8
6k1/5pp1/2BNbn1p/R1P5/8/2r3P1/4r2P/R5K1 w - -,a1d1
3r1b1r/1k3p2/2n1pp2/1p1p1b2/3P1B1p/1BP5/1P2NPPP/R3R1K1 w - -,b3a2
r5k1/2p1nppp/3p4/pP1P1q2/Pp3P2/3Q2B1/1P4PP/4R1K1 w - -,d3f5
r4rk1/pb1qnpbp/1p1p2p1/nN2p3/4PP2/2PQB1P1/PP2N1BP/R4RK1 b - -,b7a6
2r5/1p2k1p1/r3pb1p/1p6/1P2P1PP/PR1p1B2/K7/7R b - -,d3d2
r4rk1/1p1n1ppp/pq2p3/8/1bPNQB2/P6P/1P3PP1/R2R2K1 b - -,d7f6
r2k3r/1ppq2p1/p1n1p3/6bB/3P4/P1P3B1/1P3P2/R2Q1RK1 b - -,h8h6
2r5/3k2pp/p2Bpp2/PnP5/3P2P1/5P2/5K1P/3R4 w - -,d4d5
6k1/5p1p/6p1/p4r2/1pBb4/1Pn2PB1/5PKP/4R3 w - -,e1e8
r3qr1k/2pbp1b1/p1P2n1p/B3ppp1/N7/1Q4P1/PP2PPBP/R2R2K1 b - -,d7c6
5bk1/5p2/4p1p1/2p1P1P1/P1npB3/6BK/5P2/8 b - a3,c4a5
7k/2R4p/4p1pB/3bP3/P5PP/3p1PK1/1r4B1/8 b - -,b2c2
r3k2r/pp2ppb1/1n1pq1pp/8/2PP4/PPNQPN1P/4R1P1/5RK1 b kq -,d6d5
2r4k/5p2/4P1pp/3p4/3n4/1Bp5/P5PP/2K1R3 b - -,f7e6
3r1r2/pp2qk2/6pQ/2p1Pn2/6N1/8/P4PPP/1R2R1K1 w - -,h6h7
8/3bk3/p2pp1p1/1p6/1P1PP2p/PK5P/6P1/5B2 b - -,e7f6
3r4/1nkR2pp/1p3p2/p3p3/2p1P3/2P2P2/PPB1K1PP/R7 b - -,d8d7
q4rk1/pbrnbppp/1p2pn2/2p5/2PP3N/P3P1P1/1B1N1PBP/2RQ1RK1 b - -,f8d8
r1br2k1/1pq2pp1/p2ppb1p/8/4PPP1/1NN5/PPPQ3P/2KRR3 w - -,g4g5
5r1k/p5p1/1pn4p/4n3/P2b1R2/1P5Q/3P2PP/4R2K b - -,f8f4
8/8/8/8/5Q1K/8/2k5/1q1r4 w - -,f4c4
r7/3bbpk1/1p1p2pp/rNqPp3/PQP5/R6P/2B2PP1/1R4K1 w - -,b4c5
8/1p6/8/pB3k2/P7/4R3/1r3K1P/8 w - -,f2g3
rn2r1k1/2q2pb1/1pp1bnpp/4p3/3PP2B/P1N5/3NBPPP/R2Q1RK1 w - -,d1c2
r4r1k/7P/4pp2/2p5/3P2P1/1PQ1q3/PK4RR/4B3 b - -,e3e4
1r3r2/p1n1p1k1/3p2pb/1Pp2pNn/P7/4B1PB/4PP1K/3R1R2 w - -,f2f4
8/1n6/pp6/3P3p/PP2K1k1/8/8/4N3 w - -,e1g2
1r2n2k/3B3p/3p1b2/2pP2p1/1p6/6P1/3B1P1P/1R3K2 w - -,f2f4
3r1r1k/pp4p1/3b2Q1/5p2/3q1n2/1B6/PP4PP/R4RNK w - -,g6g5
8/p6p/1p3k2/n2p1p2/P2P1p2/8/1P2K2P/3B2B1 w - -,e2f3
3r2k1/p3qppp/1r1p1n2/Q3p3/1P2n3/Pb1RPN1P/1B2BPP1/2R3K1 b - -,b3e6
rnbqk2r/ppp1p1bp/3p1np1/3P1p2/8/6PN/PPP1PPBP/RNBQK2R w KQkq -,h3f4
rnbq1rk1/ppp2pbp/3ppnp1/8/3PPP2/4B1PP/PPP3B1/RN1QK1NR b KQ -,d6d5
8/r1p1kb1p/2p3p1/2N2p2/1PP2P2/p2R4/P3PK1P/8 w - -,d3e3
rn1q1rk1/p3bppp/1p2p3/2p5/2QPP3/P4N2/1P3PPP/R1B2RK1 w - c6,d4d5
8/1b4pk/5n1p/Q3N3/6P1/2P2P2/3B3P/1q4K1 w - -,g1g2
2rqr1k1/p2b1ppp/1p2p3/n3R3/3P3P/B1PB4/P4PP1/1R1Q2K1 w - -,d1c2
2r5/1p4k1/3p2p1/PPrNbpq1/2P1p2p/1B2Q1P1/3R1PKP/8 b - -,g5e3
r4r1k/1p2b1pp/2p1N3/p4p2/PnR5/3P2P1/1B2PPKP/5R2 b - -,f8f7
2brrbk1/5ppp/p1qp1n2/4p3/PPp1P3/B1P2N1P/2BRQPP1/4R1K1 w - -,e2d1
8/p7/3Bp1k1/3p3p/3P2P1/3bP3/P4KP1/8 b - -,h5g4
3r1rk1/pp2ppbp/4bnp1/1Pp1B3/8/2N2BP1/PP2PP1P/R2R2K1 b - -,b7b6
1b3rk1/5ppp/2q1b3/P3n3/2ppP3/P5P1/1NQ2P1P/1RN2BK1 w - -,g1g2
6b1/8/p2k1p1p/3p1p2/BP3P1P/2K1P1P1/8/8 b - -,g8e6
r1b1kb1r/ppq1pppp/1nn5/1B6/3P4/2N2N2/PP3PPP/R1BQK2R b KQkq -,c8d7
r3k2r/pp1qpp2/3p2pb/2p5/2Pn2n1/3P1NP1/PP2PPB1/1RBQR1K1 b kq -,h6c1
8/4p3/2r1kb2/3Rp3/p4r1p/P1B4P/1P1R1P2/1K6 w - -,d5a5
rnbqkb1r/p3pppp/3p1n2/2pP4/1pP1P3/3B1P2/PP4PP/RNBQK1NR b KQkq -,g7g6
r2q1rk1/pp2bppp/1np1pnN1/8/2PP4/2N1B2P/PP2BPP1/R2Q1RK1 b - -,h7g6
6rk/p1p3qp/1p1pp3/2Pn1p2/1P1P2r1/P3PNP1/4K2P/Q2R2R1 w - -,c5b6
rnbq1rk1/pp4pp/2p2b2/2P2p2/3P4/2NBQN2/PP4PP/4RK1R b - -,b7b6
r1b1kb1r/1p1p1ppp/p3p3/8/P1qpP3/8/1PP1NPPP/R1BQK2R w KQkq -,d1d4
2r5/R4pk1/7p/2p1nPp1/2P5/8/P3BK1P/8 b - -,g7f6
r3kb1r/pp2pp1p/1np2p2/3q4/3P2b1/1PP1BN2/P4PPP/R2QKB1R w KQkq -,f1e2
r1bq1rk1/4npb1/p3p2p/1pnpP1pP/3N4/2P5/PP3PPN/R1BQRBK1 b - -,f7f5
1r6/4k3/p4p2/2R5/P2PN1b1/1p4P1/5KP1/8 w - -,c5c7
rnbqkb1r/pp2pp1p/2p2np1/8/3P4/6N1/PPP2PPP/R1BQKBNR w KQkq -,g1f3
