R7/2k2p2/p7/1p1b4/6Pp/2P4P/P7/6K1 w - -,a8a6
8/2k1Q3/2r1bN2/5r1p/5P1K/1P6/P7/8 b - -,c7c8
4r3/2r3kp/p4pp1/q2p4/pRpPnPN1/2P1P3/2Q3PP/R5K1 b - -,a4a3
r1b1rnkb/2q2p2/p2R2p1/1p2p3/8/P1N1BN2/1PP1QPP1/2K4R w - -,e2d2
6k1/1p3pp1/p5p1/3pn3/3N2P1/PP3P1P/2P1K3/8 b - -,g6g5
4q2k/1p3ppp/1r6/p4N2/P1p3Q1/2P5/2P5/1K1R4 w - -,b1c1
2r2rk1/1p1bppbp/p2p1np1/q7/2PNP3/1P6/PB2BPPP/1Q1R1R1K b - -,f8d8
r4qk1/1pp1Rp1p/3p1Pp1/p1PB1P2/6P1/PP1b3P/5Q2/6K1 b - -,f8h6
6r1/8/2k1p3/1Rp2p2/P6p/1P2K1P1/5P2/8 w - -,g3h4
3k4/8/4PK2/7p/5N1P/5bP1/8/8 w - -,e6e7
3r2k1/5pb1/1p2p1pp/p1P5/4R3/1r2BNPP/4KP2/8 b - -,b6c5
8/2p4p/3k4/6K1/8/5r1P/8/7R b - -,c7c5
r1b1kb1r/1pqn1pp1/p2ppn1p/8/4PP1B/1NN5/PPP1Q1PP/2KR1B1R b kq f3,f8e7
3r1bk1/5ppp/3p4/3PnNP1/1r2P3/p6P/5RB1/R6K b - -,b4b2
2rr2k1/p2q1ppp/1p2pb2/n1P5/3P4/5NP1/PB2QP1P/2R2RK1 b - -,d7d5
8/3r1pkp/2Rn2p1/8/5PP1/1B6/5PKP/8 w - -,b3c2
6R1/3p2P1/p1rBp3/2p1pk2/5b2/P4R2/8/1r5K w - -,h1g2
rn1q1rk1/ppp2ppb/5n1p/3p4/3P1NP1/P1P1PP2/7P/R1BQKB1R w KQ -,h2h4
r2qk2r/p1p2p2/2ppbn1p/6p1/1b2P3/2NB1QB1/PPP2PPP/R3K2R b KQkq -,g5g4
r4rk1/1bqnbp1p/pp1ppnp1/8/P2NPP2/2NB4/1PPBQ1PP/4RR1K b - -,d7c5
8/1p6/p1B2kp1/1PP4p/b2K3P/6P1/8/8 b - -,a4b5
1r3r2/3P4/3Q1bpk/3Bp3/4P3/8/8/6K1 w - -,d5b7
8/8/1p6/p2pk3/P1P1p1B1/NPnbP1K1/8/8 w - -,c4d5
8/2r1kp1p/R5p1/2P3P1/1p5P/3KB3/Pb6/8 b - -,b2e5
rnbq1r1k/pp4bp/2p2p2/3P1np1/2BP4/2N3B1/PPQ1NPPP/R3K2R b KQ -,c6d5
R7/3rnkpp/p3pb2/2p1B3/2N5/P5P1/1P3P1P/6K1 b - -,d7d1
2r2rk1/pp1nppbp/1qp3p1/8/2PPQ2N/6P1/PB3PBP/R4RK1 b - -,b6b2
3r2k1/1p3ppp/p3b3/3pq3/8/P1r1PB1P/1P3PP1/4QRK1 w - -,e1c3
q2r2k1/1b3pb1/4pnp1/7p/Pp3P2/1P4QP/N2BR1P1/1Br4K w - -,a2c1
r2q1rk1/pp2npbp/2n3p1/5b2/4p3/2N3P1/PP2NPBP/1RBQ1RK1 w - -,g2e4
rnb1kb1r/ppp2p2/3ppq1p/6p1/2BPP3/2N5/PPPQ1PPP/R3K1NR b KQkq -,f8g7
5k2/1p3p2/2p4p/4p2P/4P1Q1/2P5/Pr1q2P1/5R1K w - -,f1f3
rnbq1rk1/pp1nb1p1/4p2p/3pPp2/2Pp3P/P4N2/1PQN1PP1/RBB1K2R w KQ f6,c4d5
r3r1k1/5pbp/p1b3p1/3p1p2/1p1B1P2/1PN2B2/P1PQ2PP/R6K b - -,b4c3
rnbqr1k1/1p3pb1/p2p1npp/2pP4/P3P3/2NBBN1P/1P3PP1/R2QK2R b KQ -,b8d7
rnbqkb1r/pp4pp/5p2/3n4/3N4/2N5/PP3PPP/R1BQKB1R w KQkq -,d1h5
5k2/pp3pp1/2p1pq1p/2b5/7P/2P3P1/PPB1QP2/6K1 w - -,g1g2
8/5k2/8/5P1R/1b2P1p1/1P2KbPp/7P/8 w - -,h5h3
2brn3/pp3k1p/2pp2p1/8/2NP1PP1/P2N2KP/1P6/4R3 w - -,d3f2
1rq2rk1/1p1b1pb1/pn4p1/3p4/1P1B4/P2QP1P1/B1P2R1P/3R2K1 b - -,d7b5
8/5k2/3p4/2nPp2N/4P2P/5K2/8/8 w - -,h5g3
4r1k1/pp1bppb1/3p4/4nPBQ/3NP1p1/1Bq5/P1P5/1K1R4 w - -,d1h1
r2qr1k1/bp3ppp/4bn2/N1p1p3/P2pP3/2PP4/1P2BPPP/R1BQ1RK1 w - c6,a5c4
r6k/5qbp/2pN2p1/p3p3/3n4/1P1R1P2/P2Q1BPP/6K1 b - -,f7d5
r3r1k1/pp2ppbp/1nb3p1/8/2q1PB2/2N3P1/PP2QPBP/R4RK1 w - -,e2e3
3r1b1k/p4qp1/1pp3Bp/2PnR3/1P1P4/2B4P/P1Q4P/6K1 b - -,f7f3
rB1qkb1r/pp2pp2/2p1b2p/6p1/2PPp2N/1P6/P3PPPP/R2QKB1R b KQkq -,d8a5
5r2/5pbk/3q2pp/2p5/2Q1P1P1/5P1P/6B1/4R2K b - -,d6g3
r1b1k1nr/pp1pppbp/2n3p1/q1P5/4P3/2N2N2/PPPB1PPP/R2QKB1R b KQkq -,a5c5
8/8/p4Q2/1k2P3/5P2/q1p5/R4NP1/1K6 b - -,a3b3
r1bqk1nr/pp1pppbp/2n3p1/8/3NP3/4B3/PPP1BPPP/RN1QK2R b KQkq -,g8f6
8/N7/5k1p/2pb4/3p4/5P2/6PP/2K5 b - -,f6e5
r1r3k1/6pp/pB1p4/2nP1b2/1p2q2P/Q1P1P1R1/PP1K4/3R1B2 w - -,c3b4
5b2/3r4/1pN4k/1Bp1p3/2P1Pp2/7b/R4P2/6K1 w - -,g1h2
3r1r1k/pb4q1/4Q3/1B2p2p/6nP/P7/1PP2PP1/R3K2R w KQ -,h1f1
r1bq1rk1/pp4pp/4p3/3pn3/1b6/4BN2/PP2NKPP/R2Q1B1R w - -,e3d4
4b3/2q3kp/3p1n2/2pPp3/p1P1Pp1B/2P2B1P/1Q2K1P1/8 b - -,c7a7
r2r1bk1/1p1n1ppb/1qp1pn1p/p2p4/2P5/PPQPPNPP/1B1N1PB1/R3R1K1 w - -,a1d1
1r1q1rk1/2p2ppp/1bnp4/1N6/3PPp2/2P5/1PB2P1P/R2Q1RK1 w - -,d1g4:d1f3
2k1r3/pp5R/6p1/3p4/3Q4/1KP1n3/1P6/3q2N1 w - -,d4d1
r1br2k1/1pq1npb1/p5pp/n1p1p3/P3P3/N1PPBNP1/2Q2PBP/1R3RK1 w - -,f3d2
r4k1r/2q2p2/n1p1p1p1/1pPpN2p/p2P2PP/P3PP2/1PQ5/2K3RR w - -,g4h5
8/p7/R7/7p/1k1NKP1b/8/8/5r2 w - -,a6a7
1r1r4/2n1kpb1/1p4p1/pPp1p2p/P1B1P2P/1PB3P1/5P2/3RRK2 w - -,f1e2
rnbqk2r/p4ppp/4pn2/1p2N3/2pP4/4P3/PP1NBPPP/R2QK2R b KQkq -,c8b7
1r1q1rk1/pp2np1p/3p4/2p2n2/3b1pP1/2NP3P/PPPQ2B1/R4R1K w - -,g4f5
8/4b2p/8/k1p3p1/P1P1N1P1/1K3P2/8/8 b - -,a5b6
1kr5/1p2n2B/p1b1pN2/4P3/3p3p/P6P/2R2PPK/2q5 w - -,c2c1
2r2rk1/pb4pp/4p1q1/1Ppn1p2/8/P3PP2/2QB1RPP/3R1BK1 w - -,c2a4
5k2/6r1/5P2/1p2K3/8/3B4/8/8 w - -,e5e4
4k2r/2r2pp1/ppn1p2p/3pP3/2nP3B/P1PN4/1P3RPP/4R1K1 w k -,g1f1
8/2r5/1pB1kp1p/pP1pp1pP/6P1/2r2P2/3K4/8 b - -,c3c6
r2qkb1r/pp3ppp/2n1pn2/1B1p4/8/2N2Q1P/PPPP1PP1/R1B2RK1 w kq -,f1e1
Bn4rk/p1p2p2/1p2p2p/5q2/3P4/2P3P1/P4P1P/R2Q2K1 b - -,b8d7
r5k1/2qbB1pp/1n6/2pp1p2/5P2/1P1P1NQ1/2P3PP/5R1K b - -,d5d4
1r3rk1/2pn1ppp/p2p2q1/n1b1p3/Pp2P3/2PP1NQP/1PB2PP1/R1BR2K1 w - -,g3h4
5rk1/5pbp/2r1pRp1/p3q3/P2p4/1P1Q4/2P3PP/4NR1K w - -,f6f4
8/3k4/1P1bp1pp/1rp5/N3R1P1/1PK2P1P/8/8 w - -,c3c2:e4e2
7k/pp6/1n2p2p/3pP3/3P1q2/1N5P/PPB3R1/7K w - -,b3c5
r2qkb1r/pp1n1p2/2p1p2p/3pPb2/3P1np1/2P5/PP1NBPPP/R1BQRNK1 w kq -,f1g3
3r2k1/QR3p1p/2p3p1/q3b3/4P3/p2r2PP/P3RPB1/6K1 b - -,d3d1
r2qkbnr/pppn1ppp/4p3/3p1b2/8/1P2PN2/PBPPBPPP/RN1QK2R b KQkq -,g8f6:h7h6
q5k1/P4p2/Q5p1/7p/7P/6P1/5P2/6K1 w - -,a6b6
rq2k3/3p1p1p/2b1pp2/p3P1rQ/Pp6/1P1B2P1/2P2P1P/R3R1K1 w q -,h5h6
r2r1n2/5kpp/ppp2b2/5p2/2P5/2B1P3/PP1NKPP1/2RR4 b - -,c6c5
8/8/6p1/6P1/p3kP1P/6K1/pr6/4R3 b - -,e4d3
r3kb1r/1b1n1ppp/pqn1p3/1pp1P3/3p1P2/3P1NP1/PPP3BP/R1BQ1RNK b kq -,f8e7
8/P7/7p/q4p1k/5P2/4QPK1/8/8 b - -,a5d8
6k1/pr2np1p/2n1p1p1/2pbb3/R7/P3B1P1/3N1PBP/5NK1 w - -,e3c5
4r1k1/1p3p1p/pR4p1/B7/2r1p1b1/N2nP1P1/Pn3PBP/5RK1 w - -,b6b7
3q4/pk3p1r/1pn1pPr1/3p2Pp/b1pP3P/P1P2BB1/1P2Q3/2R2RK1 b - -,d8h8
r1bqk2r/ppn1ppb1/2pp1npp/8/3PPP1B/2N2N2/PPPQ2PP/2KR1B1R b kq -,d6d5
rn1qkbnr/1bpp1ppp/p3p3/1p6/3PP3/6Q1/PPPN1PPP/R1B1KBNR b KQkq -,d7d6
2kr3r/ppp2p2/1b1pq2p/6p1/1P2Pn2/2P1N2P/P2Q1PPB/R4RK1 b - -,e6e4
3b4/2p4R/pk1p4/1p2n3/8/2P5/PPK5/8 w - -,b2b3
rnbqkb1r/pp3ppp/3p4/2pNP3/4n3/8/PPP1QPPP/R1B1KBNR b KQkq -,c8f5
rnb1k2r/pp3pbp/1q1p1np1/2pP4/8/2N2N2/PPP1BPPP/R1BQ1RK1 w kq -,e2b5
4b1k1/q6p/p4ppB/8/3b1P2/7P/P2Q2P1/1B5K w - -,b1c2
r2q1rk1/p3bppp/1np1pn2/8/3P4/1BN2Q2/PP3PPP/R1B1R1K1 w - -,f3c6
5q1k/2p4n/3p4/3P4/1P3r2/2Q3N1/7P/4R1K1 b - -,h8g8
r1b1k2r/2q2pp1/p1pb1n2/1p2p2p/4P3/P1N1BBP1/1PP2P1P/R2QK2R b KQkq -,c8e6
8/8/8/6R1/2pk4/8/2p1r3/2K5 w - -,g5g4
1r4k1/5rp1/p7/4QP2/4P1qp/1NPP2Pb/R6P/4R1K1 b - -,b8b5
8/6pk/7p/P2Q4/5K2/7P/4q1P1/8 b - -,e2f2
1r6/5k2/3Pnp2/p5p1/P1R3P1/2K3BP/5P2/8 b - -,b8b1
r1bq1rk1/pp3ppp/2p5/2bnp3/8/P3P1P1/1P1PNPBP/R1BQ1RK1 w - -,d2d4
r5k1/1p6/p3r1np/1q1pp2Q/3n3N/BB1PP3/P3KPP1/7R w - -,e2d2
r1bqr1k1/pp1nbppp/2p2n2/3p2B1/3P4/2NBPN2/PPQ2PPP/2KR3R b - -,d7f8
8/8/7b/p1n2K1P/2Pk4/8/8/4R3 w - -,f5g6
r1b2rk1/p2n1ppp/q2Qp3/2p5/4P3/P1P1BP2/4NKPP/1R5R w - -,e3c5
6k1/1rn2pp1/4b3/8/1Bp5/2N2PP1/P2R3P/4K3 w - -,b4a5
3rr1k1/pp1q1pbp/5np1/3pn3/N2N4/1P4P1/PB2PPKP/2RQ1R2 w - -,a4c5
8/5pkp/p1R3p1/8/P5P1/1r3P1P/6K1/8 w - -,c6a6
3r1r1k/1p3ppn/pb5p/3p4/2qN2NP/2PQ1PP1/PP2R1K1/4R3 w - -,g4e5
r1b1r1k1/pp1q1pp1/1bn4p/3p4/8/3Q1NP1/PP1BPPBP/3R1RK1 w - -,d2c3
8/1p1k2p1/p2qpp1p/8/1P2P2P/P3Q1P1/5PK1/8 w - -,e3c3
8/kp6/p1b2N1P/3p4/3P4/P1p5/5rK1/8 w - -,g2f2
r1bq1rk1/pp2ppbp/2np1np1/2p5/2PP1B2/2N1PN1P/PP3PP1/R2QKB1R w KQ -,d4d5
4rb2/2kn1ppp/p1N2n2/2pP4/r1P2P2/B5P1/P6P/R3RBK1 w - -,a3b2
8/1p1k1p2/5B2/2Pp2np/1P6/r4P2/3N1KPP/8 b - -,g5e6
8/4N1pk/r2K3p/7P/8/8/7R/8 w - -,d6c5
r1bq1rk1/pp1nbppp/2pp1n2/4p3/2P5/P1NPPNP1/1P3P1P/R1BQKB1R w KQ -,f1g2
8/8/5p2/1N2p1k1/8/3p2KP/5P2/8 w - -,b5d6
3n3k/pp2p2p/4qpp1/2P5/5P2/4P3/PBQ2KPP/8 w - -,e3e4
8/p6p/2Q2k2/8/8/PP1pq2P/6P1/5K2 b - -,f6g5
1r1r2k1/2p1bpp1/2n2n1p/pp2p3/4P3/1PP1B3/1PNN1PPP/R2R2K1 w - -,g1f1
rnb1k2r/ppppqppp/4pn2/8/2PP4/5N2/PPQbPPPP/RN2KB1R w KQkq -,b1d2
8/1p6/6p1/2p1k2p/2P4P/p7/2Kp4/2b5 b - -,a3a2
rn1q1rk1/pp3pbp/3p1np1/2pP4/4P3/2N2b1P/PP2BPP1/R1BQ1RK1 w - -,e2f3
r1bqk2r/p2nbppp/1pn1p3/2ppP3/8/3P1NP1/PPP1QPBP/RNB2RK1 w kq -,c2c4
q5k1/r2n1pb1/1pp1p1pp/2PpP3/1P1P3P/r4NP1/4NPK1/1RRQ4 w - -,d1c2
8/8/4k2p/7p/4PK2/6P1/8/8 w - -,e4e5
2rq1rk1/ppp1ppb1/1nn1b1pp/8/3PN3/2P2N1P/PP3PP1/R1BQRBK1 b - -,e6c4
2kq3r/3r4/pp1P1b1p/2p1p1p1/1P1nB3/P3Q1B1/5PPP/3R1RK1 w - -,e3d3
r1bq1rk1/p4ppp/n1p1p3/3p4/2P1n3/P1Q1PN2/1P3PPP/R1B1KB1R w KQ -,c3c2
r1bq1rk1/1pp2ppp/1pnp1n2/8/1P2PP2/2PBBN2/P5PP/R2Q1RK1 b - -,f6g4
r7/ppkn1pp1/2p1r2p/2b1p3/P1N1PP2/2N3P1/1PP3P1/1K1R3R b - -,e5f4
2rR2k1/pb2qpp1/1pp1p2p/4P3/2P1B3/1P4P1/P1Q2P1P/R5K1 b - -,c8d8
8/4k3/p3r2p/5B2/1P4P1/P1K5/8/8 w - -,f5e6
rnbqk2r/ppp2pp1/3p4/2b1p2p/2P1P3/2NP1PPN/PP2Q1nP/R1B1K2R w KQkq -,e2g2
rnbq1rk1/pp2npbp/2p3p1/3pp3/4P3/3P1NP1/PPPN1PBP/R1BQR1K1 b - -,b8d7:d8c7
r1q2rk1/pp2pp1p/2np2p1/8/4PPn1/1NP5/P1P3PP/R2Q1RBK b - -,f7f5
rr6/4ppkp/2p3p1/p2n4/P2N4/RP1N2P1/2R1PP1P/1n4K1 w - -,a3a1
8/1p3bk1/3q2p1/pP1p3p/2r4P/P4QP1/4R1BK/8 w - -,e2f2
r2q2k1/1pp3r1/p2p3p/2PPp3/1P2Pp1b/5P1b/PNRB1RP1/3Q2K1 w - -,f2e2
r2q1rk1/ppn2pbp/1np1p1p1/8/2PP2b1/1BN1BN2/PP2QPPP/R2R2K1 w - -,h2h3
5rk1/4rppp/p3p3/4P3/q7/1RB2Q2/1P2BPPP/6K1 w - -,b3a3
rn1q1rk1/1bp1bppp/p3pn2/P3N3/1pBP4/1N2P3/1P3PPP/R1BQ1RK1 b - -,b8d7
rnbq1rk1/pp3pbp/4p1p1/3pn3/3P1B2/2N3P1/PP2PPBP/R2Q1RK1 w - -,f4e5
r1bk2nr/pppn2b1/6pp/4p3/2B1P3/2N2N1P/PPP3P1/R1B1K2R w KQ -,c1e3
r1bqrbk1/1pp3pp/2n2p2/p2np3/2N4N/P2P2P1/1PP2PBP/R1BQR1K1 b - -,c8e6
r1bq1rk1/1pp2pbp/1n1p2p1/p1nPp3/2P1P3/2N2NPP/PPQ2PB1/R1B2RK1 w - -,b2b3
2r5/1p2r1k1/pR2p3/P2p1np1/3P4/1PPB2P1/6K1/5R2 w - -,d3f5
r2r4/1b2k1p1/ppn1p2p/5P2/3pN3/6P1/PPP3BP/2KRR3 b - -,e6e5
3R4/4r1pk/p6p/1p2B2P/8/PPP3K1/1n6/8 w - -,g3f4
r2qr1k1/p2b1pbp/2p3p1/3n4/3NP3/1Q2BP2/PP4PP/R4RK1 w - -,e4d5
rnb1k2r/1p3ppp/p3Pn2/8/3N2P1/2q1B3/P1P1BP1P/R2Q1K1R b kq -,c8e6
5rk1/1q2bppp/p3p3/Qp6/6n1/1P4P1/NBr1PP1P/R2R2K1 w - -,d1d2
2b3k1/p4pp1/1p5p/1Q6/3qP3/3P2PP/5PB1/6K1 b - -,c8d7
8/3r1pk1/B5p1/7p/8/2R1K1PP/8/8 b - -,d7d6
8/3k1b1p/2pp1pp1/8/p1PPKPPP/P7/3N4/8 b - -,d6d5
8/7p/B3k1p1/4p3/2P1K2P/bP6/5P2/8 w - -,a6b7
8/1p6/8/2pk4/P4bp1/8/1PKp1P1P/3R4 w - -,d1g1
4kb1r/1pB1pppp/p4n2/8/3P4/Pn2PN2/1P3PPP/1K3B1R b k -,a6a5
r1bqk2r/ppp3b1/2np1npp/4pp2/1PP5/2NP1NP1/P3PPBP/1RBQ1RK1 b kq b3,g6g5
5k2/p1r5/1p4p1/4PbKp/P1B2P2/1P5P/2rp4/3R3R w - -,h1h2
8/1p6/2p3kp/2P5/4K3/P3p3/1P2P3/8 b - -,g6g5
2r1k2r/pp2ppbp/1q1p1np1/2p5/4PP1Q/2PP1B2/PP4PP/R1B2RK1 b k -,c5c4
8/2R2pbk/5n2/2B5/2n2P2/2P2B1P/1P6/6K1 b - -,c4b2
8/2p5/2Rb1k2/pr3pp1/8/1P2P3/2K2P2/7R w - -,h1h6
5rk1/5pp1/2p2n1p/2Q5/8/pP1R4/P5P1/q4BK1 w - -,c5a3
r1b2b1r/pp2k2p/2p1pnpP/4np2/4PN2/2N3P1/PPP2PB1/R1B1K2R b KQ e3,e5f7
6k1/5pp1/p3pb1p/8/1Pq2P2/P3B3/5KPP/3Q4 w - -,d1c1
8/3b1p2/5k1R/4n3/2r4p/7P/3K2P1/8 b - -,e5g6
2r2r1k/p1q1b1p1/7p/1p2Pp1P/1Pb2P2/PN1B4/1Q2PP2/2R1K1R1 b - -,c7d8
5r2/pkp2p2/1p5R/3pPp1P/3PnP2/P1P5/2P3QK/1q2B3 w - -,e1h4
8/q5bk/3p2pp/3Pp3/P1r1P3/4B1P1/1R4KP/8 w - -,e3a7
2bk4/4R2P/p7/1pB2pK1/1P2pP2/7r/8/8 b - -,c8d7
r3kb1r/pp3ppp/2p1pnb1/3qN3/3P2P1/2PB3P/PP3P2/R1BQ1RK1 b kq -,g6d3
8/1p2R1pp/p1k5/8/r7/5P2/6PP/6K1 w - -,e7g7
r7/5pk1/2bq1npp/1Bp1p3/3pP3/rP4NP/PRP1QPP1/R5K1 b - -,c6b7
3rk1r1/1p2p1bp/pnp1p1p1/4N3/1P1BPP2/6PB/7P/R1R3K1 b - -,d8d4
8/8/2p2p1p/3k1Np1/3P2P1/7P/1n2K3/8 w - -,e2e3
8/4kp2/p6p/4p1PP/2p5/2P2K2/P7/8 w - -,g5h6
8/1p3p2/p2Rb3/6k1/P4pPN/1PP1r3/5K2/8 w - -,h4f3
r1bq1rk1/p3bppp/1pn1pn2/2pp4/3PP3/P1N1BPN1/1PP1B1PP/R2Q1RK1 w - -,d4c5
8/8/1pn5/p1p2k1p/P1Pp4/1P1P1KP1/8/2N5 w - -,f3e2
2rq1rk1/1b3ppp/pp3b2/2np4/P2Nn3/1P2QNPB/4PP1P/1R1RB1K1 b - -,c8c7
1q1rr1k1/pp1nbpp1/5np1/1Ppp4/8/2BPP1P1/P1QN1PBP/2R2RK1 w - -,a2a4
4rbk1/3b1p1p/5Pp1/3P4/1p6/1P1n3P/R3NBP1/3N3K w - -,f2g3
rn1q1k1r/4p1b1/p1pp2Q1/1p5p/3n3P/2N5/PPP2PP1/R1B1KB1R w KQ -,c1e3
4qrk1/1B1bbppp/1B6/2pQp3/4P3/r4P2/P5PP/1R1R2K1 b - -,d7e6
r5k1/1p1b3p/p1nqp1p1/3p2Qn/3P4/3B1P2/PP2NP1P/R3R2K b - -,a8f8
6k1/4pp2/PR4p1/1K6/4P2p/8/8/r7 b - -,h4h3
r4rk1/p5pp/1pp2q2/n2p4/3P4/2PQ1PB1/P5PP/4RRK1 w - -,g3e5
r4rk1/2p3pp/1p1p1n2/3P2N1/p1q2n2/P1N4P/1PQ1RPP1/3R2K1 w - -,e2e7
r2r2k1/pp1n1ppp/2p5/7n/P2Pq1Q1/2P1N3/1B3PPP/R4RK1 b - -,e4g4
8/5p2/p2rkp2/8/2P1K1p1/R6P/P7/8 w - -,h3g4
3r1r2/1p1n1p1k/p1q1p1pp/2P5/1P1BPP2/3b3P/1Q1N2P1/R3R1K1 b - -,f7f6
3rk2r/p1n1qpbp/1pppbnp1/8/2PQPN2/2N1BPP1/PP2B2P/3R1RK1 w k -,d4d2
8/8/4pk2/P7/2r5/4B1P1/5PK1/8 w - -,a5a6
r1q3r1/1p3pbk/p2B2np/3P1N1Q/8/8/PP3PP1/R3R1K1 b - -,g8h8
5k2/4q3/2Q5/5P2/2b3rp/2P5/5RPP/5NK1 w - -,h2h3
r2q1rk1/pp2ppbp/2np1np1/2p5/4PPb1/2NP2P1/PPP1N1BP/R1BQ1RK1 w - -,h2h3
4B3/5pk1/3K2b1/3P4/6p1/7R/5r1p/8 w - -,h3h4
8/8/7k/R7/7P/p6K/r5P1/8 w - -,a5a6
5rrk/4R1pp/p2P4/P3B3/3Qp1q1/3b4/1P3PpP/4R1K1 b - -,h7h5
