8/1K6/p1n5/5pPk/2P4p/1PN4P/P7/8 b - -,c6b4
8/Q3bk2/6p1/8/1P6/2P1p3/5qBK/8 b - -,f2h4:f7e6
r1b2rk1/2p1npbp/4p1p1/4P3/1p6/3N1NPP/PP3PB1/2RR2K1 b - -,a8a2
r1bq1rk1/p2p1ppp/1pn1pn2/2p5/2PPP3/P1PB4/4NPPP/R1BQK2R b KQ -,d7d6:f6e8
8/5pkp/4p1p1/3p4/1R1P4/1P1r2P1/5PKP/8 w - -,g2f1
6k1/2n5/1p1r2PP/p2p1K2/4pp2/8/B5P1/2R5 b - -,c7e6
r1bqr1k1/pp1n1pbp/2pp1np1/8/4PP2/1NN3P1/PPP3BP/R1BQR1K1 b - -,a7a5
1q6/6k1/p3p1p1/4P1Bp/1b1r3n/1Q4P1/PP2RP2/1B4K1 b - -,h4f5
5r2/pppn2k1/3pp3/PP4p1/2P1Pb2/3B1PB1/6KP/5R2 b - -,d7c5
4qrk1/1r1bp2p/p5pQ/3Pp3/p1p4P/2P1N3/1P4P1/R3R1K1 w - -,e3c4
r2qk2r/p1pn1pp1/1pb1pb1p/8/3PN3/2PB1N2/PPQ2PPP/2KR3R w kq -,h2h4
rnb2rk1/pppp2np/4p1p1/4P1B1/2PP2P1/P1P4N/4B2P/R3K2R w KQ -,h3f2
r3rk2/2q1b1pp/2p1Qn2/p1p2p2/P1Pp4/BN1P4/P5PP/4RRK1 w - -,b3c5
8/8/2k1p3/3pP3/8/Bn6/5P2/3K4 w - -,d1c2
1rb3k1/3nP1pp/1p1qp3/pP6/N1P5/P3Q3/4B1PP/2R3K1 b - -,d6e7
r2q1rk1/p1pnbppp/bp3n2/3p4/3P1B2/1PN2NP1/P3PPBP/R2Q1RK1 b - -,f8e8
2rr3k/pp5n/3R3Q/4p3/4P2P/2P2q2/PP6/2KR4 b - -,d8d6
r2q1rk1/pp1b2bp/n7/2pP1p2/2P1p3/2N1Q3/PPN1B1PP/1R3R1K b - -,d8e7
r4r1k/4bp1p/2b1p1pQ/1q6/p1N1P3/5P2/BPP2RPP/3R2K1 b - -,e7c5
2rr2k1/q1p1bppn/pp2p2p/3b4/PPNP4/4P1P1/2QN1P1P/1R2RBK1 b - -,h7f6
4k3/8/3PP2p/4KP2/8/6P1/bp6/8 w - -,d6d7
2kr3r/pp2qppp/2p2n2/3p4/1bP5/1P1BPP2/PBQ1KP1P/R6R w - -,h1d1
rnbq1rk1/pp2ppbp/3p1np1/2p3B1/2PP4/2NBPN2/PP3PPP/R2QK2R b KQ -,b8a6
2RR4/3n4/3k2p1/P1p3P1/2b5/4K3/3r4/8 b - -,d2a2
8/8/R4pk1/1p4r1/4P2p/2P2K2/5P2/8 b - -,h4h3
8/8/R7/p1p1r1k1/6P1/1P3K2/P7/8 b - -,c5c4
8/3k4/1R1P1p1p/6rp/3N1p1K/8/8/8 w - -,d4f3
2krr3/ppp1Bp1p/1q4pn/4P3/2P1b3/P1Q2N1P/1P2BPP1/R4RK1 b - -,e8e7
1k6/2r3pp/3N1p2/Pp6/2b1PP2/P2pK1P1/3R3P/8 b - -,b8a7
2r5/3nk2p/1pr1pbp1/1RP2p2/2P2P2/2PBB2P/4KP2/3R4 b - -,b6c5
1rr3k1/4np2/4pqp1/1p1p3p/pP1P4/P1PQ3P/2N1RPP1/4R1K1 w - -,e1c1
7k/8/p5RP/1p4N1/r5P1/P2p1P2/1n3K2/8 w - -,g5f7
1r2q1k1/p1pbrpp1/3p3p/2p5/2P1P3/1PbBNP2/P3Q1PP/2R2R1K b - -,c3d4
rnbq1rk1/pp2bpp1/2p1pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R w KQ -,d1c2
4r1k1/1ppb1qpp/pnnb4/8/8/PP1P1NP1/1BQN2BP/R5K1 w - -,d2e4
1rb1r1k1/7p/p2p3n/p1pP1p2/P1B2P2/1PN1P2P/5K2/1R4R1 b - -,g8h8
8/1Rrq4/Q1p1pk1p/2Pp2p1/3P4/4P2P/6P1/6K1 w - -,b7b8
r1b2rk1/pp3ppp/2n2n1q/4P3/8/P1NB4/1PQ1NPPP/R4RK1 b - -,c6e5
4r3/1p3k2/p2q1n2/3p1P1p/3P2p1/1P2P3/P1R2PB1/2Q3K1 b - -,h5h4
8/5pk1/1P4pp/2R5/8/5P2/5KPP/r7 b - -,a1a2
r1rq2k1/1p1nppbp/3p2p1/p7/PnP1P3/1PN1BP2/3QN1PP/1R3RK1 w - -,f1d1
8/8/pn3k2/Np2p3/1P2bp2/P2P4/4K1P1/8 w - -,d3e4
r3k2r/1bq1bpp1/p2ppn1p/1pn5/3NPP2/P1NB1Q2/1PP2BPP/1K1RR3 b kq -,d6d5
r1Q1r1k1/p1p2ppp/5b2/2p5/8/1P2B3/1PP2PPP/R2R2K1 b - -,e8c8
r1bqkb1r/p2ppp1p/6p1/3QP3/8/8/PPP2PPP/R1B1KB1R b KQkq -,a8b8
1r1q1r1k/pp4np/3p4/2p2p2/3b1N2/3P1Q1P/PPP3B1/4RR1K b - -,d4b2
r1bq2k1/pp4p1/2n1prnp/3p3Q/2pP4/P1P2N2/2P1BPPP/R1B2RK1 w - -,f1e1
8/8/pp6/3p4/8/1k4P1/3pK2P/5R2 b - -,a6a5
1rbq1rk1/2p1nppp/3p1n2/1p6/4PP2/1BQ5/1PPN2PP/R1B2RK1 w - -,e4e5
8/8/5n2/pp6/4k3/1P2N1p1/P3K3/8 w - -,a2a4
8/6p1/6kp/2pPp3/2R5/5K2/3r4/8 w - -,c4c5
8/8/8/p4Bp1/3K3k/8/1P6/8 b - -,g5g4
8/8/2R5/2P3k1/8/1r3PK1/8/8 b - -,b3c3
5r1k/6p1/3q2rp/2p5/2PpB3/3PnP2/4N2P/R5RK w - -,g1g6
2kr1b1r/pppb1qpp/2n1ppn1/3pP3/1P1P4/P1N2N2/2P2PPP/R1BQRBK1 b - -,f6e5
3r4/5Rpp/1k5b/1P2p3/4n1PP/8/4B1K1/4B3 b - -,h6d2
b5r1/7k/3n3p/5pq1/2P1p3/2N5/1P3QP1/1B3RK1 w - -,c3d5
3r4/8/3p3R/2pPbk2/2P1N2p/1P1K3P/P4P2/8 b - -,d8a8
r1b2rk1/pp1nqpbp/2p1pnp1/8/2PPN3/5N2/PPQ1BPPP/R1BR2K1 b - -,e6e5
2b2r1k/1p5p/2p2q1r/1nQ1R3/4Np1p/PB1P4/1P2PP2/4K2R b K -,b7b6
r4rk1/pp1qbpp1/5n1p/1Np1n3/4p1bB/1B2P3/PPPN1PPP/R3QRK1 w - -,a2a4
r4rk1/1b4pp/p4p2/npqPpN2/1b2R3/7P/PPB2PP1/R1BQ2K1 w - -,c1e3
r1bq1rk1/ppp2pb1/n2p1npp/4p1B1/2PPP3/2N2N2/PP2BPPP/R2Q1RK1 w - -,g5h4:g5e3
rnbqkb1r/pp2pp1p/2p2np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,e2e3:g2g3:c4d5:d1b3:d1a4:c1f4:c1g5
8/2R5/5pk1/2Bb1npp/8/1p3P2/1P3KPP/8 w - -,c5f8
8/3b1pk1/2p3p1/1pP1p3/p2r1q2/P4B1P/4QPP1/4R1K1 b - -,d4d2
4rrk1/p4p2/2p2np1/2N4p/2PRP3/1P4P1/P1P3KP/3R4 w - -,g2f3
1k1r1b1r/1p1n1bpp/p1p2p2/2Pp4/1P1PP3/5PPB/7P/RNB1K2R b KQ -,b8a7
q3rbk1/1b3ppp/3p4/1p2PN2/3NnB2/1P2Q2P/6PK/5R2 w - -,e5d6
r1bq1rk1/pp2npbp/2np2p1/2p1p3/2N1P3/2NP2P1/PPP2PBP/R1BQ1RK1 b - -,c6d4
qr1b1nk1/5r1n/1p1pN1p1/pPpPp1Pp/N3P2P/P1Q2P1B/1B2K3/R5R1 b - -,b8b7
8/5p2/pp1p1k2/3P1P2/6P1/P1Npb3/1P6/2rR3K w - -,h1g2
r3k2r/q3bpp1/pn2p1p1/1p1nP3/2pPB3/5P2/PPQBN1PP/1K1R3R w kq -,d2a5
rn2kb1r/1p1b1ppp/p3pn2/8/2PN1B2/2N5/PP3PPP/2KR1B1R b kq -,b8c6
8/pb4kp/1pnq2p1/3Bp1Q1/3PP3/P4P2/4NKP1/8 b - -,h7h6
4rrk1/1q2bpp1/pBp1b2p/2P5/p2Q4/4P3/1P2BPPP/2RR2K1 b - -,e6b3
8/p5p1/4p3/3nP1k1/6Q1/8/P1R2P2/2K3Br b - -,g5g4
r2qk2r/ppp1p1bp/4p1p1/6N1/3n2Q1/8/PP3PPP/RNB2K1R b kq -,d8d5
3rr1k1/3q3p/2p1pp2/pp3p2/PnnP4/1R2PBP1/5P1P/2B1RQK1 w - -,f3e2
3r1rk1/2q1b2p/p2p1ppQ/1p1P1R2/3p4/P2B4/1PP3PP/R6K w - -,f5h5
6k1/p2r1p2/1p2p2p/2rP1p2/4P3/1P1R4/5PPP/3R2K1 w - -,f2f3
r2n1rk1/2pn1ppp/pb6/1p1NP3/1P3Bb1/5N1P/P4PP1/2RB1RK1 b - -,g4h5
2r3k1/4n1p1/3Rpp1p/1B2P1n1/p1PP4/2B3P1/P4PKP/8 w - -,c3a5
4r2k/3r2pp/2p2p2/1Q2n3/1P2p1P1/4B3/P4K1P/8 w - -,b5a6
r2qnb2/pp3rkp/3p2p1/1NP1p1p1/1PQ1P1P1/P3B2P/5P2/3RK1R1 w - -,c4d5
6k1/5p2/p3pb1p/1q5P/2N3P1/1P1Q1P2/6K1/8 w - -,g2f1
6k1/p1r3pp/8/Qp6/8/2q4P/5PP1/4R1K1 w - -,a5a2
5rk1/8/p5p1/5nBp/7P/P4K2/1P6/3N4 b - -,f5h4
4r1k1/p3Rpp1/Pq1n2p1/1ppP4/8/6PP/1P1Q1PB1/R5K1 b - -,e8e7
r4r1k/1pp3pp/1b1p1p2/n2q4/p3PPPB/P2N4/1PP4P/1K1R3R w - -,e4d5
6r1/1p6/p3k3/4p3/4ppPn/2P5/PP2KP1N/2R5 b - -,h4g2
r1bq1rk1/p3bpp1/2p4p/n2np3/8/3B1QN1/PPPP1PPP/RNB2RK1 b - -,d5f4
1r4k1/p4ppp/2p1p3/4P3/6P1/b1P4P/qBQ2PB1/R5K1 b - -,a2b2
2nr1r2/1pk3p1/p1pNp2p/4P1nP/2P3P1/1P6/1PK3B1/3R1R2 w - -,c4c5
6k1/1p4bp/p1n1r1p1/3p2P1/3P1p1P/3P1N2/PP1K1B2/6R1 b - -,g8f7
r4rk1/1p1qn1b1/p1n3p1/2pp2Bp/7Q/P1N2R2/BPP3PP/5RK1 b - -,f8f3
3nqr2/p1p1r1b1/3p3k/3P1p1p/3p1N1P/5QPB/PP3P2/2R2RK1 b - -,g7e5
r2qk2r/ppp2ppp/4pn2/7b/2QP4/B1P1PN1P/P4PP1/R4RK1 b kq -,h5f3
r6k/2r3p1/3N3p/p1npPR2/1p6/4R3/PP4PP/1K6 w - -,e5e6
r4r1k/5qbp/p1pp4/1p1np3/5pP1/P1PP1B1P/1P1B1P2/R2Q1RK1 b - -,d5e7
1r3rk1/4pp1p/3p2p1/8/Qn2P3/4qP2/PPN3PP/R2R3K b - -,b4c2
6k1/p3np2/3N1p2/4p2p/4K3/3PP1P1/Pr5P/2R5 w - -,c1c7
r4rk1/1bp3pp/ppNb2N1/3p1q1B/3Pp2Q/1P2P2P/PB4P1/2R3K1 w - -,c6e7
r1bq1rk1/ppp3bp/n2p1n2/3PppB1/2P5/2N2NPP/PPQ1BP2/R3K2R b KQ -,a6b4
rn1q1rk1/pp2ppbp/2pp1np1/8/3PP3/2N1BB2/PPP2PPP/R2QR1K1 b - -,b8d7
2rr2k1/1p1bbppp/p1nppn2/q1p5/2P1PP2/2NPB1PP/PP1QN1B1/2R2RK1 w - -,g3g4
1r6/p5p1/3kpp2/1P1p3p/P1n4P/4PKP1/R7/6R1 w - -,f3e2
8/8/Pk6/B4p2/4n3/6p1/8/2K2B2 b - -,b6a7
r1bq1rk1/p1pp1ppp/1bp5/8/3Pn3/2PB4/PP3PPP/RNBQ1RK1 b - -,d7d5
r1b2rk1/ppq4p/2nbp1p1/3p4/3P3B/5N2/PPB1QPPP/R4RK1 b - -,f8f3
rb1q2k1/1p4pp/p1n1b2r/3n1p2/4p3/PPN1PNP1/1B2BP1P/2RQ1RK1 w - -,f3d4
8/8/5pk1/1r4pp/8/R5KP/8/8 b - -,b5b4
r4rk1/ppq2p1p/5bp1/2p1p3/4P3/2P5/PP2QPPP/RN2R1K1 w - -,c3c4
4k3/3b1N2/p3pRp1/4ppP1/1P2P3/P1r2P2/8/1K6 b - -,c3f3
4rqk1/r5bp/2npb1p1/p1p1pp2/PpP1P3/1P1PBP1P/B2Q2PN/R3R1K1 w - -,e1f1
8/3b1k2/4p2p/1p1pPp2/1P3p1P/2P5/4N1K1/8 w - -,e2f4
8/4n3/6kp/p1p1P3/4K3/1P4PB/P7/8 w - -,h3g4
5k2/p3r2p/6p1/3R4/2B1Pp2/1P2bK2/1P5P/8 w - -,h2h4
2kr3r/pp3ppp/2n1pnb1/2b5/Q1NN4/P1P1qP2/1P2B1PP/R3K2R b KQ -,d8d4
5R2/r7/8/7p/8/6pk/8/6K1 w - -,f8f1
8/4qrk1/2pRbnpp/p1P1p3/1p2P3/1P2NP2/P3n1PP/3R2QK w - -,g1e1
rnbqkb1r/pppp1ppp/5n2/8/2P1p3/2N2N2/PP1PPPPP/R1BQKB1R w KQkq -,f3g5
7r/p2RP3/1p4p1/3Nkp2/2P1p3/1P1b4/P4PPr/2KR4 w - -,d7d8
4B1k1/5p2/pp2n1p1/2b3Pp/3p1P1P/5K2/P7/2R5 w - -,f3e4
r2r2k1/1pq2ppp/4b3/4p3/2PpP3/1P1R2P1/3Q1PBP/3R2K1 b - -,a8a3
r1bq1rk1/p3bppp/1pn1pn2/2pp4/2P5/1P2PNP1/PB1P1PBP/RN1Q1RK1 w - -,d1e2:d2d4:b1c3
3rk2r/1p1nbpp1/p1p1p1p1/q4nP1/2PPNP1P/P4Q2/1P2BB2/1K1R3R b k -,a5a4
8/p4pk1/5qp1/3p3p/1p1b4/1P3N2/P2Q1nP1/3B3K w - -,h1h2
rnbq1rk1/ppp1bppp/1n1p4/8/2PP4/5N1P/PP3PP1/RNBQKB1R w KQ -,f1d3
r2q1rk1/pp1nppbp/2p2np1/3p1b2/2PP1B2/5NP1/PP2PPBP/RNQR2K1 b - -,a8c8
r2qkb1r/p1pp1ppp/bp2pn2/n7/2PP4/1Q3NP1/PP1NPP1P/R1B1KB1R w KQkq -,b3a4:b3c3
r5k1/p1R4p/4p1pB/8/1n2r3/3b4/6PP/6K1 b - -,b4d5
r3rq2/1p1b1k1p/4p1p1/p1Pp1p1P/P2P4/1P2RBP1/3Q3K/4R3 w - -,e3e5
1rb4r/p2pk1bp/4p3/2p5/1n2N3/N1P5/PP3PPP/R3KB1R b KQ -,d7d6
8/6p1/5k2/p3p3/Pp1b1pR1/1P2pPp1/8/5K2 w - -,f1e2
3k4/1Q2b3/6p1/P3P3/6PP/5B1K/5q2/8 w - -,b7a8
r1b3k1/p5pp/2p1pr2/q2n4/2BP2P1/2p1P3/P1Q2P2/2R1KNR1 w - -,g4g5
1r5k/1pNbq1b1/3pp2p/pP1p2p1/P2Pnp2/Q3P1P1/2R2PBP/2R3K1 w - -,b5b6
8/3bk3/4P3/p1R2Pp1/6P1/P5K1/8/7r b - -,d7e8
3k2rr/2qp2pp/1pbNpp2/p3n3/8/Q4B2/PPP3PP/2KR1R2 b - -,g8f8
4kbnr/1p1b1ppp/1q2p3/pP1pP3/3N4/P7/4BPPP/RNQ1K2R b KQk -,b6d4
8/6k1/6p1/5p1p/1r5P/4P2R/5PP1/6K1 w - -,g2g3
r2q1rk1/1b1nbppp/1pp1pn2/p2p4/2PP1B2/P4NP1/1PQNPPBP/R2R2K1 b - -,f6h5
rn2kb1r/1bqp1ppp/p3pn2/8/1p2PP2/1N1B4/PPP1Q1PP/RNB2RK1 b kq -,a6a5
8/p4pk1/8/3Q4/2P4p/3KP1b1/1P1N1qP1/8 b - -,a7a5
2rq2k1/5pbp/6p1/3p1p2/3PrP2/1BpR4/2P2QPP/3R2K1 b - -,d8d6
8/5pk1/5bp1/p1pQ4/P2q4/1P4P1/5P1P/5BK1 w - -,d5b7:d5a8
1k1r1b1r/pb1p1pp1/1pn1p2p/4P3/3PBPq1/2N3P1/PP2N2P/R2Q1RK1 w - -,d1a4
2rk3r/pbnqbp2/1p2p2p/3pP1p1/3P4/PQRB1N2/1P1B1PPP/2R3K1 w - -,h2h3
r1bqk2r/2p1npb1/p5pp/3n1p2/1p1PB1P1/5N2/PPP1NBQP/2KR3R w kq -,g4f5
r1q2rk1/pp1nppbp/2p2np1/3p4/2P4P/1PNP1NP1/PB1QPPK1/R4R2 b - -,d5c4
8/2r1kppp/b2p4/p1rPp3/R1P1P3/5PP1/5K1P/2R2B2 b - -,c7b7
3nk3/Bq1b1pp1/3Qp3/p5P1/1p2PP2/8/PP5r/1K3B1R w k -,h1h2
1r3rk1/p1p2qbp/2pppnp1/6B1/4P3/2N4Q/PPP2PPP/1R3RK1 b - -,f6d7
1n2r1k1/2p1b1p1/1pP1p1p1/1n1p1pP1/p2P1P2/P1B1P3/3N3P/R4RK1 w - -,c3b4
r2qr1k1/ppp1bppp/2n1pn2/3p3b/2PP4/1PN1PN1P/P2BBPP1/2RQ1RK1 b - -,e7a3
2r1k2r/1p2pp2/p2pb1pp/8/4PQ1B/qnP2N2/P1P1K1PP/3R3R w k -,a2b3
r1bq1rk1/pp2pp1p/5npQ/3P4/1n1N4/2N5/PPP1BPPP/R4RK1 b - -,d8b6
r1br2k1/4ppbp/pn4p1/2p1P3/2P2P2/2N1B1N1/P5PP/R3K2R w KQ -,e3c5
2r1bk2/1p3p1p/p6P/6p1/1P3qN1/P3Q3/5PP1/3R2K1 w - -,e3e2
3r2k1/1p6/6pp/1N1n1p2/4n3/5N1P/2R3P1/6K1 b - -,d8a8
rn1q1rk1/1ppbbp1p/p2p2p1/3Pp2n/4P3/2P1BN2/PPB2PPP/RN1Q1RK1 w - -,c3c4
4r3/pk6/bp5p/3N1pp1/8/1P1pK1P1/1P1R1P1P/8 w - -,e3d4
rnbq1rk1/pp1pppbp/2p2np1/8/2PP1B2/2N2N1P/PP2PPP1/R2QKB1R b KQ -,d7d6
3r2k1/p2r1pp1/b1p1pn1p/q7/PbpPP3/2N1B1PP/2Q2P2/1R1R1BK1 w - -,c3a2
2rr2k1/p4pb1/3pp1pp/1p1n4/3PQ3/PqP2N1P/1P3PP1/2BRR1K1 b - -,d5f6
4r1k1/2rq1p2/R3nPpQ/7p/8/1p5P/1B3PP1/1B2R1K1 w - -,b1g6
1rb2rk1/1pqnbppp/p2ppn2/8/2PNP3/1PN3P1/PB3PBP/R2Q1RK1 w - -,f2f4
1r6/2k2p2/1p1p1Pp1/2pPn2p/2P5/2P3qP/1Q2B3/R6K w - -,a1a7
2kr3r/pppqnp1p/5b2/3p1pp1/3P1P2/P1NQP1N1/1PP3PP/R4RK1 w - -,f4g5
2r5/4ppk1/3p2p1/R6p/2P1P3/KP3P2/6Pr/6R1 w - h6,e4e5
r5k1/2b2p1p/2p1q1p1/2P5/1P3P2/2QRPPN1/6KP/8 w - -,g3e2
r2qr1k1/pp3p1p/2p2np1/3n1p2/Pb1P4/1QN1PP2/BP4PP/R1B2RK1 w - -,e3e4
2b1kn2/4b1rn/1p2p3/pP1pPp2/P2P1N2/8/4BP2/2BKN2R w - -,h1h3
rnb1kb1r/pp2qppp/2pp1n2/6B1/2B1P3/1QN5/PP3PPP/R3K1NR w KQkq -,e1c1
1q3rk1/5pp1/pBp4p/2P1r1b1/p2Q4/1b2P3/1P1R1PPP/2RB2K1 b - -,b3d5
8/6pk/3P1p2/8/3N2b1/P2R4/r6P/6K1 w - -,d4c6
r5k1/4n1p1/3q2p1/3p4/2pPp1Q1/2P1N2P/5PP1/5RK1 b - -,a8a3
4r1k1/1pb2p2/2p5/P6p/2NPp1b1/P1K1P3/2Q2Pq1/1RR5 b - -,e8b8
5rk1/2r2p1p/p3pnpb/1p1BN3/1P1P1P2/P5Pq/1B2QR1P/5RK1 b - -,e6d5
r2qr1k1/3n1pbp/p2p2p1/1ppP4/4P1b1/4RN2/PPB2PPP/R1BQ2K1 w - -,h2h3
r1bqnrk1/1pp1n1bp/p2p2p1/3Ppp2/2P1P1P1/2N1BPN1/PP1Q3P/R3KB1R w KQ f6,g4f5
8/B7/pp6/5pKp/6b1/P4kP1/5P2/8 b - -,b6b5
r1b2rk1/1p3ppp/p1nqpn2/3p4/3P4/2NBPNP1/PP3PP1/R2Q1RK1 w - -,a1c1
r1bq1rk1/ppp1ppbp/1nn3p1/8/3PP3/6P1/PP2NPBP/RNBQ1RK1 w - -,d4d5
2rq1rk1/1b1n1pbp/pp2pnp1/2ppN3/P2P1B2/2N1PB2/1PPQ1PPP/R3R1K1 w - -,h2h3
r4rk1/p2qbppp/2p1p3/3n4/4NB2/1Q1P2P1/PP3P1P/2R2RK1 w - -,f4e5
rnbr2k1/ppp2pbp/1n4p1/4p3/8/3P1NP1/PP2PPBP/RNB2RK1 w - -,b1c3
2r3k1/5p1p/4p3/1N1p2p1/2nPB3/P3B1P1/1P3P1P/6K1 b - -,d5e4
4r1k1/1p1r1qp1/p1np3p/3N1p1b/1PP1pP2/P3Q1PP/3R1KB1/4R3 w - -,g2f1
8/R5bk/3p4/3P1pPp/4pp1P/1q3P2/5N2/2R2K2 b - -,h7g6
2r1r1k1/1p2ppbp/2qp2p1/3N4/pPPnP3/8/P2BQPPP/1RR3K1 w - -,e2d3
rnb1k2r/pp3pp1/4pB1p/q1pp4/2PP4/2b1PN2/PP3PPP/R2QKB1R w KQkq -,b2c3
6n1/2k2N2/p2br3/1p6/2p1P1P1/4BP2/8/2R3K1 b - -,d6a3
2r5/1b2p1kp/pnr2pp1/8/2N5/1P1B1P2/P1R2KPP/2R5 b - -,b6d5
4r2k/p7/3p4/1PpPr3/P7/2R1N1Pb/6B1/6K1 w - -,e3c4
4r1k1/pp3pp1/2p4p/b2prNq1/3N2P1/8/PPP3Q1/1K1R3R b - -,a5b6
r1bqk2r/pppp1ppp/3b1n2/1B2n3/3PP3/2N5/PPP2PPP/R1BQK2R w KQkq -,f2f4:d4e5
r3k2r/pb4p1/1p2p3/4P2p/2p4Q/P1P1B3/2P2PqP/2KR3R b kq -,g2g4
4nk2/1rpR4/N4p2/1PP5/1K2P1p1/6P1/7P/8 b - -,b7a7
8/3k4/8/3K4/4P3/8/8/8 w - -,e4e5
r1bqkb1r/1p3ppp/p1Nppn2/8/4P1P1/2N2Q2/PPP2P1P/R1B1KB1R b KQkq -,b7c6
8/5pkp/6p1/3N4/2B1r3/7P/1n3PP1/R5K1 b - -,b2c4
5bk1/1b1r1n2/r1p1p1p1/3qPpPp/p1pP1P1P/2P1BNK1/1P1RNQ2/5R2 b - -,b7a8
r3r1k1/pbp1bp2/1p2pnpB/3q3p/3P3P/P4PN1/1PPQ2P1/1K1R1B1R w - -,c2c4
r1bqk2r/pp4p1/2pbpn2/3pP1p1/2PP4/1P4P1/P2BP1BP/R2Q1RK1 b kq -,d6e7
5r1k/1p2R2p/p7/1b6/1P1pBn2/5P2/6P1/5N1K w - -,f1d2
r4rk1/ppq1pp1p/2n3pQ/2p4b/4PP2/1PP5/P3B1P1/R3K2R b KQ f3,f7f5
r2q1rk1/1p2npbp/2np2p1/p1p1p3/2P3b1/P1NPP1P1/1P2NPBP/1RBQ1RK1 w - -,h2h3
