8/p5pk/7p/4Q2P/2p3P1/P7/1Pq2PK1/8 b - -,c2c1
r1b2rk1/1pp1qpp1/2n2n1p/p1b1p3/P3P3/2P2N2/1PQNBPPP/R1B2RK1 w - -,d2c4
8/4k2p/4p3/4Np2/4n1P1/bBK1P1P1/P6P/8 w - -,c3c2
2r1k3/4bp1p/b2ppp2/p6N/q1n1P3/6PP/2P1R1B1/2BQ2K1 w - -,e2f2
8/4kp2/1b4p1/4Pr1p/2R2B1P/8/6K1/8 b - -,e7d7
4Rr2/pp1R1Pkp/b1p3p1/3n4/8/1P5P/P4P2/5BK1 b - -,f8f7
r3k2r/pbq1bppp/2p1pn2/1p2n3/2pPPPP1/2N1B3/PP4BP/R2Q1RK1 w kq -,f4e5
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/2P5/1P4P1/PB1PPPBP/RN1QK1NR b KQkq -,f8e7
8/3r1pk1/ppp1r3/4P3/1P1P1RP1/P6P/8/5RK1 w - -,f1c1
8/pkp4p/1b6/6p1/pP5P/2P5/4r1P1/R3B2K b - -,a4a3
5k2/p5pp/1p2p3/4P3/r4Pp1/4K1P1/P2R3P/8 b - -,h7h6
3q1rk1/1ppnn1bp/r2p2p1/p2Ppp2/2P2P2/1PN1B1PP/P4PB1/2RQ1RK1 w - -,d1d2
r1b1r1k1/ppqnbppp/2pp1n2/4p3/2PPP3/2N1BNPP/PP3PB1/R2Q1RK1 b - -,a7a5
2r1k2r/ppq2pp1/2n1pn2/3p4/2PP2bp/PP1B4/1BQN1PPP/R3R1K1 w k -,c4d5
r2qkb1r/1b1n1ppp/p1p1pn2/1p6/3P4/1BN1PN2/PP3PPP/R1BQ1RK1 w kq -,d1e2:f1e1
8/5k2/R3npp1/3Np2p/4P2P/5PP1/1r6/4K3 b - -,b2b7
rnbqk1nr/ppp2pbp/3p4/6p1/3PPp2/2N2N2/PPP3PP/R1BQKB1R w KQkq -,g2g3
1r1q1rk1/1ppb1pbp/p1np1pp1/8/2PP4/1PN1P1P1/P3NPBP/R2Q1RK1 b - -,b7b5
1rb2rk1/pp2p1bp/1n4p1/1B6/3pNP2/8/PPPB2PP/R3K2R w KQ -,e1c1
r2q1rk1/1b2ppbp/n5p1/p2P4/1p1PB3/PQ6/1P2NPPP/R1B1K2R w KQ -,e4f3
6k1/p2bq3/3p2r1/2pP1p2/2N2Q2/1P5P/P5PK/3R4 w - -,d1d3
3r4/p3k1pp/1r2p3/2n1N3/4P3/PB2K1P1/4R2P/2R5 b - -,b6b3
8/6b1/4pp2/7k/5K1p/8/8/5R2 w - -,f1e1
rnbqr1k1/pp2bppp/3p1n2/2pP2B1/8/2N2N2/PPPQ1PPP/R3KB1R w KQ -,f1e2
8/3k4/p2bpp2/5p1p/1P1N1P1P/2P1K1P1/8/8 w - -,e3d3
3kn3/R4R1p/8/1p1PP1b1/8/5K2/P1r4P/8 b - -,c2c7
rn3rk1/pp2nppp/2pq4/3p1b2/3P4/2PB1N2/PP3PPP/RN1Q1RK1 w - -,f1e1
8/5p2/2B3p1/3Rk3/pp2P2p/1q3P1P/1P4P1/5K2 b - -,e5f4
4n1k1/5pp1/1pp2q1p/p1np1P2/P4NP1/2P1QP1P/BP4K1/8 b - -,g8f8
r5k1/5pp1/p2p4/P1rP4/1p1N3p/3B3P/1PP3P1/6K1 b - -,c5d5
b3nrk1/3qbp1p/3p2pB/1pp1p3/4P3/1BPP2N1/1P3PPP/3QR1K1 b - -,e8g7
2r2r1k/qp4pp/p2p3n/8/5p2/1QN3P1/PPP2R1P/5R1K b - -,g7g5
rr2n1k1/4ppbp/qn1p2p1/1NpP4/P3P3/R5P1/1P1NQPKP/2B4R w - -,e2f3
r4rk1/pR1b3p/6p1/3pPp1Q/q2bnP2/4B3/P6P/6RK w - -,g1g6
r3kb1r/1pqb1ppp/p2ppn2/8/N3P3/1N2BPQ1/PPP3PP/2KR1B1R b kq -,d7a4
2r1k1r1/pp1b1ppp/q1n1p3/3pP3/3N1P1P/P1P1B1Q1/1P3KP1/R3R3 w - -,d4c2
4r1k1/1p3p2/3R2p1/4P1n1/p1PN2np/4R1P1/PP3B1q/4QK2 b - -,h4h3
4r1k1/1p2qpp1/2pp3p/8/1PP5/2NQ1PPb/5P1P/R5K1 w - -,d3e4
2b2k2/2p2q2/1pPrpp1p/3p2p1/Q2P4/P3P3/1P3PPP/3RR1K1 w - -,b2b4
1kq3r1/pp6/4Q3/4P3/PP1PpRp1/2P4r/4N1KP/8 b - -,g8h8
3q3k/1r3rRp/Q2p4/3P4/4p3/2P1BP2/1P4R1/1K6 b - -,f7g7
5bk1/5r1p/1R3pp1/4p3/3pP3/1q1P1NPP/2r2PB1/1R4K1 w - -,b6b3
3qkb1r/1b3ppp/p2pp3/1p4PP/2rBPP2/P1N5/1PPQ4/2KR3R b k -,h7h6
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/3P1B2/5NP1/PPP1PPBP/RN1Q1RK1 b kq -,d7d6
8/p4k1p/1pp2pp1/2n1b3/2PnP1PP/1PN1BB2/P1K5/8 w - -,e3d4
8/7p/1p1k2p1/p2p1p2/P2P4/1P1K1B1P/1b3PP1/8 b - -,d6e6
1rr3k1/p1np1ppp/1q2p3/1P2P3/3n4/2NB2Q1/1PP2PPP/1R3RK1 b - -,d4b5
8/5pk1/8/pp2R1p1/1brP1nP1/8/6P1/3K3R b - -,c4d4
8/p2n1k2/1p4p1/2p5/P1P3PP/2P2B1K/8/8 w - -,h3g3
2q2nk1/1b2r1p1/1Q3p1p/P2p4/2p1n3/4PN1P/2B2PP1/BR4K1 b - -,f8e6
r1bq1rk1/1p2npb1/2pp2pp/1P2p3/2P5/2NPP1P1/3N1PBP/R2Q1RK1 b - -,a8a1
6k1/1p1Rbn2/2p1p1bp/2P1Pp2/1P2nP2/r3BB1P/4N2N/6K1 b - -,g8f8
8/4kb2/1p3p2/p2r2p1/3N3p/1P1RKP2/6P1/8 w - -,d3c3
2r1k2r/pp1bppb1/3p4/q6n/3QP3/2N5/PPPBB1PP/R3K2R w KQk -,d4d3
2r3k1/4p2p/R1np2p1/1p2p3/4P3/1PB2P2/3K2PP/8 b - -,b5b4
r1bqk2r/ppp2pp1/4pb1p/8/3P4/3Q4/PPP2PPP/R3KBNR w KQkq -,g1f3
r1bq1rk1/3n1pbp/2pp1np1/p3p3/2P1P3/2N2N2/PPQ1BPPP/R1B2RK1 w - -,f1d1
2R2b2/4p1kp/4Ppp1/1P6/4bB2/1p6/q5PP/6RK w - -,c8f8
r1bq1rk1/pp4b1/B2p3p/3Ppp1n/8/2N1BNPP/PP3P2/R2QK2R b KQ -,b7a6
1r4k1/p4r1p/3q2p1/3pnp2/8/2QP3P/P3B1P1/2R2R1K w - -,d3d4
2r4r/pp3k1p/1qnbpp2/1B1p4/6Q1/2N1P3/PP3PPP/R4RK1 w - -,e3e4
r1b2rk1/pp1nbppp/1qn1p3/3pP3/3P4/3B1N2/PP1N1PPP/R1BQR1K1 w - -,d2f1:d2b3
6k1/2p2pp1/p2p1b1p/3P4/2P2PPP/P4QK1/2q1r3/2B2R2 b - h3,c2c4
r1q3k1/5pbp/2b3p1/2pNp3/p1P1P2P/P5P1/2QR1PB1/6K1 b - -,c8b7
8/2k1K3/7p/5Rp1/6P1/7P/3r1P2/8 b - -,d2d3
8/7p/6pk/4q3/P3p2P/3rp1RK/4Q1P1/8 b - -,e5f4
r3k2r/pp2q1pp/2pp4/2n1pb2/2P5/PPN3NP/2PQ1PP1/R3K2R b KQkq -,f5g6
r3k2r/p1q1nppp/1pn1p3/2ppP3/b2P4/P1P2N2/R1P1BPPP/2BQ1RK1 b kq -,e8g8
r3r1k1/2pq2bp/pn3p2/N2p4/3P4/8/PB2QPPP/2R2RK1 w - -,e2c2
r3k2r/1b2bppp/p2ppn2/1p6/3BPP2/P1N3N1/1PP3PP/2KR3R b kq -,a8d8
5rk1/2n3p1/p1p1p2p/4P3/r1NP4/R5P1/1PR4P/4K3 b - -,a4b4
4r1k1/1b1n1ppp/1qpp1n2/4p3/1PP5/2BBP3/2QN1PPP/1R4K1 b - -,e8a8
1r3k2/2R2p2/2Bp1npp/1P6/P2K2P1/5P2/7P/8 w - -,a4a5
1r2r1k1/3b2q1/4pn2/1ppp4/8/2N3PP/PPQ2PB1/3RR1K1 b - -,b8c8
3rk2r/1pp2pp1/p1p5/4P2p/1bP1bPP1/1P2BN1P/P4K2/3R1R2 b - -,d8d1
6k1/4K3/1Q6/p1p5/2P5/1P6/P4q2/8 b - -,f2a2
2kr3r/ppqbn2p/3b4/3p4/1P1P4/1NPB1Q2/P4PP1/R1B1R1K1 w - -,c1h6
r7/1p2q1kp/2p3p1/4b3/P3P1P1/1Q4N1/P6P/3R3K w - -,b3c4
1rb2rk1/p1qn1ppp/1p1b4/3Bp3/4P3/5N2/PPQ2PPP/R1BR2K1 w - -,c2c6
rnb1kb1r/5ppp/p2ppn2/qp6/4PB2/2N2N2/PPPQ1PPP/R3KB1R w KQkq b6,f1d3
rk3b1r/1pp1n2p/pq1pN1p1/5n2/2B1p3/6PQ/PPPB1P1P/R4RK1 w - -,d2c3
4qr1k/r2n1p1p/p1pp2p1/1p3PPQ/3pPR2/P2P3P/BPPB4/6K1 w - -,h5h6
6k1/4b2p/3pp1r1/p1q1p3/1pP1P3/1P3NP1/P3QPK1/7R w - -,e2d2
r1b2k1r/3nqp2/p1n1pNpp/3pP3/1p1P1P1P/4Q3/PP2B1P1/KN1R3R w - -,d1c1
8/5p1R/8/4pk1P/6p1/2P1K1P1/r7/8 b - -,f7f6
1r4k1/3nrpq1/bp1p1npp/p1pPp3/P1P1PP2/2R3NP/1PBQ2PN/5RK1 w - -,f1f2
r1bqk2r/1p3ppp/p1n2n2/2bp4/8/1PNBPN2/PB3PPP/R2QK2R b KQkq -,e8g8
r2qnbk1/p4r2/PpRp2n1/1N1Pp2p/1P2Ppp1/B5P1/3NQP1P/2R3K1 w - -,c1c3
r1b2rk1/1p2bppp/p2Np3/4P3/Pn4Q1/1P1q1N2/1B3PPP/R4RK1 b - -,b4d5
r7/5p1k/3p2p1/2pP2Pp/2q1PN1P/prP1RPK1/1nQ5/R7 b - -,b2a4
2r1nrk1/5pp1/p2p3p/1p1PpBq1/6P1/P3R3/1PPQ1P1P/5R1K b - -,c8c4
r1bqk2r/bpp2ppp/p1np1n2/4p3/2PP4/2N1P1PP/PP2NPB1/R1BQK2R b KQkq -,e8g8
8/5p2/1p1k4/pb1p1pPr/3P1N2/PP3P2/3K4/8 w - -,f4h5
7r/1b3pk1/r1nP1Rp1/2R3Pp/p6P/1p6/PPP3B1/2KN4 w - -,d1c3
1r1q1rk1/1p1n2b1/p1npb2p/3N1p2/1PP1p3/P3BN1P/2Q1BPP1/4RRK1 w - -,f3h2
2rqrbk1/pb3p1p/1p2pnp1/4N2n/2PP1P2/2N5/PB2BQPP/3R1R1K b - -,f8b4
5k2/5ppp/pB3b2/1bP2N2/1P2p3/7P/3K1PP1/8 b - -,f6e5
5bk1/p1B2p1p/2N1P1p1/2pr4/r4P2/3b4/6PP/2R1R1K1 b - -,f7e6
8/p7/8/3p3p/1B1P1Kn1/1P2r2k/P3p3/4R3 w - -,e1h1
r1b2rk1/p2p1ppp/1p2p1n1/2b5/P1P5/2P2NPP/4PPB1/R1B2RK1 w - -,f1d1
6k1/5p2/5R1p/p2pP1p1/P2B4/2Pb4/6KP/r7 b - -,h6h5
r4rk1/1Q2ppb1/3p3p/6p1/q2P4/3B3P/PP3PP1/4RK1R b - -,a4d4
r2q1r2/p4pbk/1pn3pp/2pp1n2/3P2b1/2P1BNP1/PP1QNPBP/R2R2K1 b - -,c5d4
r1b1kb1r/pp3ppp/1qn5/3pPp2/3P4/P4N2/1P3PPP/RNBQK2R w KQkq -,e1g1:b1c3
8/p1k2r2/2p1q3/p2p1pp1/P2P2b1/2PBP1Pp/2P2Q1P/1r3RK1 w - -,f1b1
5r2/1p3bk1/2p4p/p4pP1/P1Pp4/1P1PrBP1/1K2P2R/2R5 b - -,h6g5
rnbqkbnr/ppp2ppp/3p4/8/2Pp4/5N2/PP2PPPP/RNBQKB1R w KQkq -,f3d4
8/1p6/p1p3k1/P1Pr4/1P1BKPpP/8/7P/8 w - -,d4e5
1r4k1/5p1p/1r1p1np1/RppPp3/4P3/1PN4P/2P2PP1/5RK1 w - -,f2f3
r1bq1r1k/1p2bppp/p3p3/2p1P3/PnBnN3/3P1NQ1/1P1B1RPP/2R3K1 b - -,d4f5
5k2/2r1bppp/p3p3/8/8/1NP3P1/P4P1P/2R2K2 w - -,f1e2
r3k2r/ppq1p1bp/n1b2pp1/2p5/2Q5/1PN2N2/PBPP1PPP/2KR3R w kq -,h1e1
3r2k1/p1q2bpp/2p1p3/1pPrNp2/1P1P1Q1P/P4PP1/8/3RR1K1 b - h3,d8f8
Nkb5/1p2nQ2/p2p1p2/4q1p1/8/4B1P1/P1P2PKP/8 w - -,a8b6
r4q1k/pp1bbrp1/3p3p/3Ppn2/PP2Q1P1/5N1P/3B1P2/1BR2RK1 b - -,e7d8
r3k2r/pp1qbppp/4p3/3nN3/3P4/8/PP2bPPP/R1BQ1RK1 w kq -,d1e2
r1bq1rk1/pppnppbp/3p1np1/P7/3P4/5NP1/1PP1PPBP/RNBQ1RK1 b - -,c7c5
3rr1k1/1ppq1pp1/1bn4p/p3pb2/4Nn2/1BPPBN1P/PP2QPPK/3R1R2 w - -,e3f4
8/8/5pk1/4b2p/P3P1p1/q7/4QPK1/7R w - -,e2d1
8/5rk1/6p1/4pp1p/PQ4qP/1PP5/2KR4/8 w - -,a4a5
7k/1R6/6B1/6K1/8/8/8/6r1 w - -,g5f6
5r2/4k3/1p1pnppr/p3p3/P1P1P2P/1P1B2P1/1K5R/5R2 w - -,b2c3
8/5rkp/1pR5/pP1p3p/3Pp3/6K1/1P3P2/8 b - -,f7f6:f7f3
1r6/p1rbppkp/3p2p1/1p1P3P/1P1R2P1/P2B1P2/2PK4/7R w - -,d4e4
6k1/5pBp/ppn1pPp1/3p4/P2P2N1/6P1/2r2P1P/4R1K1 b - -,h7h5
8/q5kp/3p2b1/2pPp3/p1P1Pp1P/2P5/KQ2B1P1/8 w - -,e2f3
1rb1k2r/2qp1ppp/p1p2n2/4pP2/1b2P3/2N1B3/PPP1B1PP/1R1Q1RK1 w k -,e2d3
5bk1/q4pp1/3np1p1/3p4/rP1P3P/3Q1PP1/2R1N1K1/4B3 w - -,c2b2
8/Q4bk1/5pp1/p3r3/1p3KpP/1P3P2/P7/8 w - -,f3g4
5k2/1p2Np2/r4b2/7p/4p3/2P5/1K1B1P2/6R1 w - -,e7d5
r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/2N5/PPP2PPP/RN1QKB1R w KQkq -,b1d2
3r4/2pk2r1/1p2p1pp/p3Pp2/P1pP1P1P/2P3R1/2P1KP2/1R6 b - -,d8g8
r1b1k2r/pp3ppp/2nRp3/8/2P5/5NP1/PP2BP1P/R5K1 b kq -,f7f6
r1bqr1k1/pp3pbp/2pp1np1/2n5/2PNP3/2N3PP/PP3PB1/R1BQR1K1 b - -,a7a5
r1bqkb1r/pp2pppp/2n2n2/2pp4/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,e7e6
6k1/1br2ppp/p2pr3/1p4P1/2q1PQ2/P1N4R/1PP2R1P/2K5 w - -,f4h4
8/2p2p2/2brk1pp/3p4/1P1R1NPP/r1P2PK1/3R4/8 b - -,e6d7
k2r3r/pp6/2n2Q1p/3p3P/2pP4/q5P1/2PB1P2/3RR1K1 b - -,h8f8
2krrb2/ppp2ppp/2n5/4N3/5P2/P2PN1Pq/1P2Q3/2R2RK1 b - -,c6e5
1b2r1k1/5ppp/p1q1p3/1p1pP3/1Pr2PP1/P1PQR1BP/7K/4R3 b - -,e8c8
rn3rk1/1b2qpb1/pp2p1pp/1P1pPn2/P2P4/2NB1N2/3B1PPP/R2Q1RK1 b - -,a6a5
r2q1rk1/5pbp/p2p4/3Pp2Q/4p3/2P5/P1N2PPP/R4RK1 b - -,f7f5
2b1rk2/3n4/2R2pqp/1p6/nP1QP3/1B4rP/2P3P1/5RK1 w - -,f1f6
r3kb1r/p2q1ppp/1p2pn2/2p5/3P4/5NP1/PPP2P1P/R1BQ1RK1 w kq c6,d1e2
2q2rk1/3n1ppp/pr1ppb2/2p5/2P1PP2/2BQ2P1/PP2B2P/R4RK1 w - -,e4e5
1rb2rk1/p1q1ppbp/2Bp2p1/8/1NP5/4P1P1/PP1Q1P1P/R4RK1 w - -,b4d5
1r3r1k/5p1p/5Pp1/8/P3P3/1p4N1/1B1R3P/K7 b - -,b8b4
8/5p2/1P1KbP2/8/4k1P1/3p4/3B4/8 b - -,e6c8
2rqk2r/3nb1pp/3p1pP1/p3p2P/1pn1P3/1N2BP2/PPP1Q3/1K1N2RR b k -,h7h6
1r2rkn1/pb3p2/2qP3p/b1p2B2/2p2NQP/p3N1P1/1P3P2/3RR1K1 w - -,g1h2
r1q2rk1/3n1pp1/pn2p2p/2Pb4/5B2/PQ3NP1/5PBP/1R3RK1 w - -,b3b4
1rb2r1k/pp4pp/3p1bqn/PPpBpp2/2P2P2/3PP2P/RB1N2P1/3Q1RK1 b - -,e5f4
2r4r/2q1kp2/pn1p2p1/1p2p1Pn/4P3/PNN5/1PPQ1P2/1K1R3R b - -,h5f4
b7/6b1/P1pBk3/3pP1pp/3P4/3B1P2/5KP1/8 b - -,g7h6
8/8/4k3/2K3p1/1P3rP1/1R6/8/8 b - -,f4g4
rnbqkb1r/pp3ppp/2p2p2/8/3P4/8/PPP2PPP/R1BQKBNR w KQkq -,c2c3:c1f4:f1c4:g1f3
5r1k/8/4p2p/2KpP3/2pP1p2/1b3Q2/3q1N2/7R b - -,d2a5
3r4/1p3R1p/p2P2pk/4n3/PPBbN3/7P/6P1/7K w - -,f7c7
r1bqk2r/ppp1npb1/2np2pp/4p1B1/4P3/3P1NP1/PPP2PBP/RN1Q1RK1 w kq -,g5e3
3r2k1/p3b1pp/2p2p2/8/1PP1p3/P2q1NP1/4QP1P/R4K2 w - -,e2d3
2q2r1k/pp4bp/8/5bp1/3n1p2/3B1PB1/PP1Q2PP/1K1R3R b - -,f4g3
r7/8/5B2/7p/6kP/p7/K7/8 b - -,g4g3
b1r1r1k1/1q2bpp1/1p1pp2p/p7/Q1P1P3/P2n1P2/1P3BPP/2RR1BK1 w - -,f1d3
rn1q1rk1/2pbbppp/p3p3/3nN3/Pp1P4/8/1PPNBPPP/R1BQ1RK1 b - -,b8c6
8/5k1p/2p4Q/2p2p2/2P4P/6q1/6P1/6K1 b - -,g3g6
r3r1k1/3b1pbp/pq1p1np1/2pP4/2B1PPn1/2N2N2/1PQ3PP/R1B2RK1 b - -,d7b5
r3r1k1/pbRn1ppp/8/1P1pp3/1P1B3P/P2N1PP1/6K1/7R b - -,e5d4
1n1q1r1k/5p1p/n4Pp1/p2Np3/P3P1PP/1Q6/1Pr5/1K1R3R b - -,c2c6
4r1k1/3R1p2/5bp1/P2p3p/3P1B2/2P3QP/1r2qPP1/R5K1 b - -,h5h4
2r3k1/p2q1ppp/2p3n1/3p4/1P1B4/2P3P1/P3QP1P/R5K1 b - -,c8e8
r3k2r/1bq1bppp/p1npp3/1pn5/4PPP1/PNN4P/1PP2QB1/R1B2RK1 w kq -,b3c5
r7/1B1b1pk1/p2P1qpp/8/P1p3P1/7P/1P1QRP2/6K1 b - -,a8b8
r4rk1/1pqn1pp1/2p3p1/p3p3/PbBPP3/1Q2BP2/1P4PP/R4RK1 w - -,d4d5
7k/8/5Q2/2pP3P/p1P3K1/q7/8/8 b - -,h8h7
r2r3k/ppq2p1p/2n2NpB/5b2/3p3Q/2P5/P3BPPb/R3R1K1 w - -,g1h1
r1b2k2/pppnq1p1/5n1r/5pp1/2BQ4/4PN2/PPP2PPP/R3K2R b KQ -,f6e4
r2q1rk1/pb3pbp/1p1p2p1/2pnpN2/2P1P3/1P1P2P1/PB3PBP/R2Q1RK1 b - -,d5f4
3rr1k1/pp3pp1/2p1b2p/4n3/4PR2/2P5/PPBN2PP/4R1K1 w - -,d2f3
3r4/ppp2kbp/4p3/3n4/2B1R3/P4P2/1P3P1P/1K4R1 b - -,b7b5
1r2k2r/2qb1p2/1p1p1n1p/p1p1p1p1/P1PPPn2/2P1NP2/3R1BPP/3QRBK1 b k -,e8f8
r2qk2r/4np1p/p2p2p1/1p2bb2/8/1N1PNQ2/PP4PP/R1B2RK1 w kq -,d3d4
4rrk1/pp5p/2p3p1/1PPnBq2/8/PQ4P1/4RPK1/4R3 b - -,e8e5
rnb1rbk1/pp3p1p/2p3p1/q7/3NB3/3Q4/PPPB1PPP/3RR1K1 b - -,a5c7
rn1qk2r/pp2ppbp/4b1p1/2P3B1/N7/2n1P3/P2N1PPP/R2QKB1R w KQkq -,a4c3
4r1k1/pbp1n1p1/1p1p3p/8/2P2P2/2Bn1P2/P6P/R2K1R2 w - -,f1g1
8/8/8/4Kp2/6k1/3p2r1/8/3R4 w - -,e5d4
r3nrk1/pq1pbppp/np2p3/4P3/Q2P4/P4N2/1P1N1PPP/R1B2RK1 w - -,f1e1
rn1qkb1r/1p3p1p/p2pbnp1/4p3/4P3/2N1N1P1/PPP1QP1P/R1B1KB1R b KQkq -,b8d7
2r5/1pqb3k/1p6/1P1Pp1p1/4Pn1p/4B2P/1Q3RP1/5BK1 b - -,c7d6
r4rk1/pp1q2pp/1np2b2/2R2p2/1P1p4/PQ1P1NP1/1B2PPKP/5R2 b - -,g8h8
2rqr1k1/1p3pp1/p2p1b2/3P1P1p/2P1pR2/1P2B3/1PQ3PP/4R1K1 b - -,d8a5
2r1k1r1/1pqb1p2/p1n1p3/3pPn2/5P2/P2Q3P/2P1N1P1/R1B1KB1R w KQ -,g2g4
1k1r3r/pp3p1p/3NB1p1/2P5/1n2p3/8/PK3PPP/R6R b - -,f7e6
1nb2rk1/r4ppp/1p1q1n2/p2pN3/1p1P4/1Q4P1/PP1NPPBP/R4RK1 w - -,a2a3
5rk1/1pn3b1/p2p4/3P1nP1/4QPK1/3BB2R/7P/3q4 w - -,h3f3
r1bq1rk1/pp1nppbp/3n2p1/2p5/2PP4/2N2N2/PP2BPPP/R1BQ1RK1 w - -,d4d5
1r1bnrk1/1q1n3p/1p1pb3/1B1NppPP/NPP2P2/P3B3/1K2Q3/3R3R w - -,a4c3
1kb3r1/1p3p2/p2ppp2/2b4q/P3PP1p/5NNP/1PPQ1nP1/3R1B1K w - -,d2f2
r1bqk2r/pp1nbppp/2p2n2/3p4/3P1B2/2N1P2P/PPQ2PP1/R3KBNR b KQkq -,d7f8
r5k1/ppq4p/1b2p1p1/3nP3/b2pN2P/P2B1PB1/1PP1N3/1K1R3R b - -,a8c8
8/5p2/3n2k1/6p1/8/3KP1P1/5R2/8 w - -,e3e4
r2r2k1/1bqn1pbp/p3n1p1/Ppp1p3/4P3/3BBNPP/1PP1QP2/RN3RK1 w - -,c2c4
2r3k1/2q2pp1/R3p2p/1pP1n3/3QP3/1N3PP1/6KP/8 b - -,c8d8
r2r2k1/4ppbp/1pn1n1p1/2P1P3/P7/1N1qQN2/1B3PPP/2R1K2R w K -,e3d3
rnb1k2r/ppq3pp/4p1p1/2bpP1B1/8/5N2/PPP2PPP/RN1Q1RK1 w kq -,c2c4
2r3k1/3q1bpp/1Q3p2/2bp1N2/3p2P1/1P4NP/P1P2P2/4R1K1 w - -,b6a6
