8/7R/2k5/1pn5/2p1p3/2P1P3/2K5/8 b - -,c5a4
r7/1Np1br1p/p3knp1/1p2p1B1/4P3/2R2PP1/PPP4P/2KR4 b - -,f6e4
r2q2k1/3bb2p/4p3/pp1pP1p1/2pP1rn1/2P3N1/PPB3PP/R2Q1R1K w - -,f1f4
2rq1r1k/1p2b1pp/1p2bp2/pP2p3/2Nn4/P1NP2P1/4PPBP/RQ3RK1 w - -,e2e3
1k6/8/2K5/1P6/2N5/8/1P6/8 b - -,b8a7
4B3/8/8/4k3/4N1Kp/5P2/8/4n3 b - -,e1g2
rnbqkbnr/pp3ppp/3pp3/2pP4/8/2N5/PPP1PPPP/R1BQKBNR w KQkq -,e2e4
2r1r2k/pp4p1/7p/5p2/7R/3n2P1/PPN3PR/1K6 w - -,a2a3
r2r2k1/pb3pbp/1p2pnp1/3qN3/2B5/2B4P/2PP1PP1/R3RQK1 b - -,d5d6
r3r1k1/ppp2pbp/4n1p1/4p1P1/4P3/4BN2/PPPR1P1P/2K3R1 b - -,a8d8
r3r1k1/2q2pp1/p2b1n1p/1ppP4/2P1p3/QP2B1PB/P3RP1P/5RK1 b - -,b5c4
5r1k/p1q1p1bp/1pPp2n1/5p2/5P2/P3B2P/BP2Q1P1/2R3K1 w - -,e2a6
1r6/1r3pk1/3np1p1/1PRp3p/1Q5P/3B1qP1/5P2/2R3K1 w - -,b4c3
8/1p3pk1/p1p2np1/P6p/2PQ4/1P1B1PqP/6P1/5K2 w - -,h3h4
r4rk1/1p1nbppp/p1p1pnq1/8/1P1PP3/5N2/P1Q1BPPP/1RB2RK1 w - -,e2d3
r1bq1rk1/ppp3bp/3p4/3Pp1n1/1PP2p2/5NPP/P1Q2PB1/1RB1R1K1 w - -,f3g5
r4rk1/2qnppnp/2bp2p1/2p5/P1N1PP2/3P1NP1/2PQ2BP/R4RK1 b - -,a8a4
2r3r1/p2q1p1k/4pb1p/1p3p2/3p1B1P/PP1P4/1PR1R1P1/2Q3K1 b - -,f6h4
8/5p1k/2qP2p1/p3n2p/1p1QP3/1P3P2/6P1/5B1K b - -,f7f6
r3qr1k/ppp3pp/2npbn2/2b1pp2/2P2P2/1PNPP1P1/P2BN1BP/R2Q1RK1 w - -,g1h1
6k1/p1rq1pbp/1p2pBp1/2p1P2P/2Pn2Q1/P5P1/1P3PK1/1B1R4 w - -,b1e4
7R/8/pp2kr2/4p1K1/P1P3P1/1P6/8/8 b - -,e6f7
r1b1k2r/pp3pp1/2n2q1p/2Pp4/1b6/1QN2N2/PP2PPPP/R3KB1R w KQkq -,e2e3
rn3rk1/1bq1bppp/pp1ppn2/8/2PNP3/1PNQ4/PBB2PPP/R4RK1 b - -,b8d7
1r3rk1/4ppbp/5np1/2pq4/2NP4/2B1PP2/P2Q1P1P/R3R1K1 w - -,d2e2
r2q1rk1/pp1nppbp/2p3p1/3p1B2/2PP1B2/2n1PN2/PPQ2PPP/R4RK1 b - -,g6f5
1k1r4/ppqr1p1p/1np1pp2/8/2PP4/2Q2BP1/PP1R1P1P/1K5R w - -,h1d1
r1bqr1k1/pp1n1pbp/3p1np1/2pP4/Q3PB2/2N2N2/PP2BPPP/R3K2R w KQ -,f3d2
r1bqkbnr/pp1npppp/2p5/8/3PN3/5N2/PPP2PPP/R1BQKB1R b KQkq d3,g8f6
5rk1/p3ppbp/q2p1np1/1p1P4/bn2PP2/PNr1B1PP/1P1Q4/R2R1BK1 w - -,b2c3
8/8/2k1K3/4B2p/8/5P1P/8/1q6 b - -,b1g6
r3k2r/p5p1/2p2p2/1p3P2/2B2BP1/2n5/6K1/1R1R4 w kq -,d1e1
1bk5/1p6/1Pp1bpp1/K1Pp1p1p/B2P1P1P/4P1P1/N7/8 w - -,a4c6
8/8/8/pp2kp2/4p3/1PPr2P1/P1R2K2/8 b - -,d3f3:e5d5
rn1q1rk1/pp2bppp/2p1pn2/7b/2PP4/2N1BN1P/PP2BPP1/R2Q1RK1 w - -,f3e5
1r3b2/5p1p/1P1p2k1/3Np3/8/8/5PPP/1R4K1 b - -,b8b7
r2q1rk1/pp1bppbp/2np1np1/2p5/4P3/2PP1NPP/PP1NQPB1/R1B2RK1 b - -,d8c8
8/1b6/p2k1p2/6p1/4P1P1/nP1K4/P3N2P/8 b - -,d6e5
6k1/pb3p1p/1p1q2p1/3Pp3/4P3/2QB1P2/P5PP/6K1 w - -,g2g3
5k2/P4p2/6pp/Q7/5qP1/2K5/2N5/8 b - -,f4f3
3rb2k/3q4/2n1p2p/p3Pp2/1p1p1P2/3Q2P1/PPR2B1P/2R3K1 b - -,d7d5
r2q1rk1/pp1b1pb1/1n2p1pp/3P4/8/1PN1BN1P/1P3PP1/R2Q1RK1 w - -,e3c5
8/8/8/3k4/p7/P1p5/8/3K4 b - -,d5e5
8/R7/8/2PpBp2/3P3r/3k4/5PPK/3b4 w - -,h2g3
8/8/8/8/4Q3/2qp4/2k5/5K2 b - -,c2c1
r2q1rk1/1ppbbppp/p2p1n2/8/P2PP3/2P2N2/2B2PPP/R1BQR1K1 b - -,b7b5
r2qr1k1/1ppb1pbp/3p2p1/p7/2P1P1n1/1PN3PP/PBQ2PB1/3R1RK1 b - -,g4e5
2kr4/1pp3pp/p4p2/2p1b3/4P3/P1P4P/1P2bPP1/4RNK1 w - -,e1e2
3r1k1r/1p3ppp/pnq1p3/8/P2P2Q1/2N5/1P3PPP/2R2RK1 b - -,h7h5
2r3k1/1p1r1pp1/1R5p/8/2pP4/4P1P1/P4P1P/2R2K2 b - -,d7c7
3RrkR1/p4n1p/5r2/5p2/8/PB2p3/KP6/8 b - -,f8g8
r1b2rk1/p3bppp/2p1pn2/q5B1/8/3B1N2/PPP1QPPP/R4RK1 b - -,c8b7
6k1/p3npp1/4p2p/3pP3/3P2PP/P1R2N2/5P2/1r4K1 w - -,g1g2
3n2k1/5p1p/1p3p2/1P6/2N5/2b1P1PP/5PB1/5K2 b - -,d8e6
r1bq1rk1/ppn1ppbp/1np3p1/2N3B1/3P4/1B3N2/PPP2PPP/R2QR1K1 b - -,b6d5
r1bqkb1r/1pppnppp/p1n5/4p3/4P3/1B3N2/PPPP1PPP/RNBQK2R b KQkq -,h7h6:d7d5:e7g6
2rq3r/pp1b1kpp/1b2pn2/1P1pQ3/P7/2PB4/5PPP/RNB2RK1 w - -,c1g5
r2qkb1r/1b2nppp/p1n1p3/1pp1P3/3pB3/2P2N2/PP1PQPPP/RNB2RK1 b kq -,e7g6
r2qr1k1/1b1p1ppp/1p1P1nn1/1pp1pN2/4P1P1/2P2P2/PP2N1BP/R2Q1RK1 b - -,e8e6
r2r2k1/pp2np1p/6p1/3p4/1Pn5/2Q1P1PP/q4PB1/R1B2RK1 b - -,a2e2
5bk1/5pp1/1pn1p2p/4P3/r6P/2P2N2/3B1PP1/3R2K1 b - -,f8c5
r1bq1rk1/pp1nppbp/3p1np1/2pP4/2P1PP2/2N1B2P/PP2B1P1/R2QK1NR w KQ -,d1d2
8/8/3pk1p1/4pq2/4n3/1p1bQ3/1P1B2PP/4R2K b - -,d3c2
r1qr2k1/pb2bppp/1pp1p3/2Pn2B1/3P4/5NP1/PPQ2PBP/R2R2K1 b - -,f7f6
8/8/4k1p1/6K1/4b1P1/3r4/1B2RP2/8 b - -,e6d5
rnbq1k1r/pp3pp1/4p2p/2ppP3/3P2Q1/2nBB3/P1P2PPP/R3K1NR w KQ -,d4c5
8/6kp/p7/1p6/2p3KP/P1P3P1/1P3R2/6r1 w - -,f2d2
r3k2r/ppqn1pp1/2pbpnbp/8/3PN3/P1N1BB1P/1PPQ1PP1/R4RK1 b kq -,f6e4
r1q3k1/p3p1Pp/2p2r1n/3p1b2/3P1p2/1N3N1P/PP3PP1/2RQ1RK1 w - -,c1c3
4r3/pp1q1p1k/6pp/3p4/8/1Q2b1P1/PP3PP1/3R2K1 w - -,f2e3
r4rk1/pp1n1pp1/1Qpb1np1/3p2B1/3P4/2N3P1/PP2PPBP/R4RK1 b - -,a7b6
1r6/2p2p1N/2k1bN1P/4Pp2/pPn2K1P/8/1P2R3/8 b - -,b8b4
4k3/ppp1r2p/1q1n4/5pQp/8/6P1/PP1R1PBK/8 b - -,b6b4
3q1rk1/3rbpp1/2R1p1p1/p2n4/Pp1PB3/1Q2B1P1/1P3P1P/4R1K1 b - -,e7g5
3Q2k1/5pb1/6p1/p1p1P1np/P1N5/1q5P/6P1/5R1K b - -,g8h7
r1bqrbk1/ppn3pp/1np2p2/4p3/3PN3/PP3NP1/1BQ1PPBP/R4RK1 b - -,e5d4
3r4/p3p3/1p3kpp/r4p2/P7/5N2/3NRPPK/8 b - -,a5a4
R7/P4p2/4p1k1/4P1p1/5n1p/7P/r5P1/4R2K b - -,g6f5
r3nrk1/ppq2pbp/6p1/2pPp3/2P1P3/5B1P/P1QB1PP1/R4RK1 w - -,a2a4
r2r4/pp2kppp/4p3/n3Pn2/2N5/5B2/PP3PPP/R1R1K3 b - -,a5c4
rnbqk2r/pp3pp1/2pb1n1p/3pp3/4P3/1BPP1N2/PP1N1PPP/R1BQK2R b KQkq -,e8g8
rnbqk2r/ppp1b1pp/3ppn2/5p2/2PP4/2N3P1/PP2PPBP/R1BQK1NR w KQkq -,g1f3
4r2k/p4rp1/1p3q1p/n1p1R1NP/4QP2/2P3P1/P5K1/3R4 b - -,h6g5
2k1rb1r/ppp3pp/2npqp2/P3p3/1PQ2B2/2P2N2/2P2PPP/R3R1K1 w - -,c4b5
2rqkb1r/1p1b1pp1/p2ppn1p/4n3/3NP1P1/2N1B2P/PPP1QPB1/1K1R3R b k -,e5c4
r1b2rk1/pp3p1p/2p2bp1/4q2Q/2B1N3/8/PPP3PP/3R1R1K w - -,e4f6
1Q6/4kpp1/4b2p/8/p6P/P2q2P1/1P3R2/6K1 w - -,b8b4
8/pp2k3/6p1/6P1/2n2K2/5N2/PP6/8 w - -,b2b3
2r1n1rk/1pqnbp1p/p2p4/P3pPP1/2b5/1NN1B2P/1PP2RB1/R2Q2K1 w - -,d1h5
1Q6/5p1k/6pp/pp3q2/7P/PP3B2/5PK1/8 w - -,b8d8
r1b1rbk1/2qn1p1p/1ppp2p1/2n5/p1PBPP2/2N2QPP/PPN4K/3RRB2 w - -,d1d2
r3r1k1/1p3pp1/p2q1nnp/2pPNb2/P1P2P2/2N1R2P/4QPB1/4R1K1 w - -,e5g6
r3r1k1/pp2b1pp/2p5/4B3/4n3/6P1/PPP2P1P/R3R1K1 w - -,e1e4
r1bqk2r/ppp1bppp/nn2p3/3P4/2P5/P1N2N2/1P2BPPP/R1BQ1RK1 b kq -,e7f6
r3k2r/1p3ppp/pbqPbn2/5n2/1P3N2/P1N2P2/2PQ2PP/2K1RB1R w kq -,f4e6
8/5rk1/4N2p/R4p2/3q3P/2p3P1/4Pn1K/8 b - -,g7g6
5k2/2pb3p/r1p3p1/N1K2p2/PPP2P1P/4R3/4P3/8 w - -,e3a3
1k1r3r/1p1bbp1p/p1n1pp2/3p4/6P1/4P1N1/PPP1NPBP/2KR3R w - -,h2h3
r3kb1r/pp2pp1p/1qn3p1/3p1b2/3P1P2/1pP2N2/P2N1PPP/R1Q1KB1R w KQkq -,a2b3
5k2/7p/1n1Np3/4P3/4KP2/1p5P/1P6/8 b - -,b6a4
r1b2bk1/p6p/1p1p4/3Pp3/1BP1P3/P7/6B1/3R2K1 w - -,d1f1
8/5k1p/p5p1/1p5r/7P/P3P3/1P6/K4R2 b - -,h5f5:f7e6
8/2p1rn1k/p2p2q1/3P4/1p3PPB/1PQ2B2/P5K1/8 w - -,c3c1
r1bqr1k1/1p1n1pbp/2pp2p1/p1n5/2PNP3/2N1BP2/PP1Q2PP/R3RBK1 w - -,a1d1
6rk/5qbp/8/5pR1/N4p2/1pB2P2/3Q3K/8 b - -,h7h6
r2q1rk1/pp2ppbp/2n3p1/2p5/1P1nP1b1/P1N2NP1/3P1PBP/1RBQR1K1 w - -,h2h3
r3k2r/pp1bbppp/1qn1p3/1B1pP3/P2P4/5N1P/1P1B1PP1/R2QR1K1 b kq a3,e8g8
2R4R/pp1r1pk1/8/2p1r1p1/4P1P1/P1PPK3/5P2/8 w - -,d3d4
rn2k2r/pp2p1bp/2pp2p1/q4bP1/3PpB2/2N5/PPPQ1PP1/2KR1B1R w kq -,h1h4
5rk1/p3b1pp/2p1p3/3qP3/3Pb3/2n2NP1/1P2Q1BP/5RK1 w - -,b2c3
rnb2rk1/p4ppp/2p1pq2/1p6/P1pP4/2b1PN2/1P2BPPP/R2Q1RK1 w - -,b2c3
r1b2rk1/pp3pbp/1qpp1np1/2n5/2P1P3/2N3PP/PP2NPB1/1RBQ1RK1 b - -,f8e8
1q4k1/3br2p/Q2p1pp1/1rpP4/4PP2/4R1P1/6BP/4R2K w - -,a6a1
5qk1/8/3p2p1/2p1p1P1/p2nP3/P1rP2PQ/8/4R1K1 w - -,e1f1
r1b2rk1/2pp1p1p/2pb2p1/p7/3P4/1PN2QPq/1PP2P1P/R1B1R1K1 b - -,d6b4
5rk1/1b4pp/2nbpn2/1q3p2/1ppP1P2/4B1P1/1P4BP/R2QNR1K b - -,f6d5
8/5k1p/1p2r1p1/p1bR1p2/N1P5/1P4P1/P4P1P/5K2 b - -,e6e5
4k2r/pp3ppp/8/3pp3/1P1b4/P7/K1b1PNPP/1r1N1B1R w k -,e2e3
rnb1k2r/1pp1qppp/pn2p3/3pP3/3P1P2/2NB1N2/PPP3PP/R2QK2R b KQkq -,c8d7
r4rk1/2p2ppp/1pNp1n2/p7/1nPP4/1Q4P1/PPb2PBP/1N1Rq1K1 w - -,d1e1
r4r2/pb1nq2k/1p3p1p/4p3/1PP1P2p/2PB2Q1/6PN/3R1RK1 w - -,g3h4
r6k/1pp2prp/3p3p/pPn5/4P2P/P4BP1/3R1P2/5KR1 w - -,f1g2
8/5r2/8/1P1p4/3k2Pp/p1R2P2/P2K3P/8 b - -,f7b7
r1b4r/5pk1/2p1pnp1/p2p3p/1q1P1P2/3BN2P/PPP2QP1/4RRK1 b - -,h5h4
1k1r3r/ppb1qp2/1np1b3/3pPBp1/3P2Pp/2N2P2/PPQ2NP1/1K1R3R w - -,h1e1
3r2k1/1q2bppp/p3p3/3nQ3/2pN4/P3P1BP/1PR2PP1/6K1 b - -,e7d6
8/5pkp/4nnp1/8/2QbP3/3P2P1/1q3P1P/3B1RK1 b - -,f6d7
1k2rb2/ppq2p2/2p2n2/8/P5nP/2N5/1PQ1PPB1/1R1R2K1 w - -,c2f5
rnb2rk1/pp3pp1/4pb1p/q1Pp4/2P5/2N2N2/PPQ1PPPP/2KR1B1R w - -,c4d5
2kr1b1r/pp3ppp/n1p1b3/4P3/P3P3/2N5/1P2KPPP/R1B2B1R b - -,a6b4
r4rk1/1pp1bppp/3qb3/p7/3QP3/P1B3P1/1P3PBP/R4RK1 b - -,d6d4
1r4k1/p7/8/1nR1bPp1/6B1/8/P4PP1/6K1 w - -,c5e5
r5k1/5ppp/5n2/2qN4/R3p3/pQ1nP2P/4NPP1/6K1 b - -,a8c8
8/7N/3k4/2p2P2/2P1P2P/1n4K1/6P1/8 w - -,g3f4
r1bqr1k1/pp3pbp/2n3p1/2Pp3n/3N4/2N2P2/PP1QBBPP/R4RK1 b - -,g7e5
5r2/4kp2/p3p2p/3Nr3/2p2R2/P7/1PP4P/1K3R2 b - -,e6d5
r4rk1/pbq2ppp/1p1bpnn1/3pN3/3P4/1PPB2P1/PB1NQP1P/R3R1K1 w - -,h2h4
2r5/1p2k2p/3pp1pb/p3rp2/P1P1P3/1P1R1PP1/4R2P/3KN3 w - -,e4f5
3q2k1/1p3p2/p2p2p1/3Pr1P1/3p2Q1/3Br3/PPP4P/1K1RbR2 w - -,h2h4
r5k1/4rpBp/1p4p1/2Pp4/8/p3qP1P/PPQ4P/R2R3K b - -,e3f3
3rr1k1/ppq2ppb/1np2n1p/2b1pN2/P1N1P3/1P4P1/1BP1QPBP/R3R1K1 w - -,c4e3
r2b4/3k1p1p/4p3/5p2/P1R5/4NKP1/5P1P/8 b - -,d8f6
r2q1rk1/p2nbppp/4pn2/2P1N3/PpN5/6P1/1P2PPbP/R1BQ1RK1 w - -,g1g2
2k1b3/2p3b1/pp4pp/2p5/4N2P/5P2/PPPB2P1/2K5 b - -,e8f7
r2rbnk1/pp2bppp/4p3/4N2q/1PP5/2B1Q2P/P1B2PP1/R2R2K1 b - -,f7f6
2r1r1k1/pp2ppbp/n1p1q1p1/3p4/2PPn3/BP1NPNP1/P3QPKP/2R2R2 b - -,e4d6
r1r3k1/2q2p1p/4p1p1/3nP3/Pp6/1N6/1P2QPPP/R2R2K1 b - -,c7c2
1b1r4/5Bkp/2R3P1/r2Pp3/6R1/2P5/5PK1/8 b - -,a5a7
r2q1rk1/pb1nb1p1/1pp1pp1p/3p4/2PP4/P1NBPNP1/1PQ2PP1/3R1RK1 b - -,f6f5
r1b2r2/1p3p1k/p2p1q1p/2pP3Q/P3PP2/2N3PP/1P5K/R3R3 b - -,f8g8
5k2/pppbr3/3p3p/3P2p1/2B5/6P1/PP3PK1/4R3 w - -,e1h1
r1r3k1/1p3p1p/2n1b3/p1n1p1pq/P1P1P3/2N2PP1/1P3NBP/2RQ1RK1 b - -,c6d4
8/1p3r1k/5qpp/4p3/P1R1Q3/4P2P/6P1/6K1 b - a3,h6h5
5rk1/p4qp1/b4n2/2p2p2/4pP2/2B3QP/2PPN2K/6R1 w - -,e2c1
2r1r1k1/5pp1/pq1p1b1p/1p6/2n1P3/1B2B2P/PP2RPP1/1R1Q2K1 b - -,b6b7
1r1r4/2p5/pppbkpn1/4p1pp/1PN1P3/2PPBP1P/PR2KP2/3R4 b - -,d8d7
1q5r/6r1/1p2pkp1/pPPp1p1p/1n1P1P2/1PR3PP/4Q1K1/2R2B2 b - -,g7b7
2r2r1k/pp3npp/1q2P3/3p1P2/7p/3B4/PPPbQ1K1/4RR2 w - -,e2d2
r4Bk1/p4pp1/4b2p/3p4/2pP4/4P3/P1Bn1PPP/1R3RK1 b - -,g8f8
3rb1k1/5p1p/2p1p1p1/ppPnP3/8/qB2PQ1P/P4PP1/2R1R1K1 w - -,e3e4
r1b1k2r/5p1p/p1pp2p1/3n4/4N3/1P6/PNP2PPP/R3K2R b KQkq -,e8e7
3b1rk1/r1q2pnp/p2p2p1/P1pPp2n/2P1P3/2BB2Pb/Q2N1PNP/1R2R1K1 b - -,f7f5
2r3k1/1qrn1pn1/1p2p1p1/pP1P4/2P5/3QB2P/P2N2P1/2RR2K1 b - -,e6d5
8/2q3pp/1k6/p7/P6P/1Q4P1/2p2P1K/8 b - -,b6a7:b6a6
rq3rk1/1p1b2pp/1bn1p1n1/p2pPp1P/3N4/2PB1NB1/PP3PP1/R2QR1K1 b - -,c6d4
8/5p1p/2p1b1pk/3R4/4NP2/4r3/P1rN1K1P/R7 b - -,e3e4
3r2k1/pp3rpn/2p1p2q/3pP1p1/3P1nP1/1P4NP/P1PQ2BK/3R1R2 b - -,h7f8
2r1r1k1/1b3pp1/4p3/qp4RQ/8/P2P4/5BPP/5RK1 b - -,a5c3
8/4B2p/6kR/r1p3P1/2P3r1/1P1K4/8/8 b - -,g6g7
r2qr3/1p2n1bk/2p1Qpp1/7p/P1pP1B2/P5PP/5PB1/3RR1K1 w - -,e6c4
r4rk1/pp1b1pbp/1q1p1np1/2nPp1B1/2P5/1PN4P/P1B1NPP1/R2Q1RK1 b - -,g8h8
7k/8/7p/1p2P1p1/1P6/P1p1N2P/1n3P1K/8 w - -,e3c2
2b1rrk1/2p3bp/1p1p2p1/p1q1pp2/2P2P2/PP1PP1P1/1B3Q1P/1N2RRK1 w - -,d3d4
4nk2/7p/p1bp1bp1/8/P7/5P2/4N1PP/2B4K w - -,a4a5
8/8/p4pR1/rp6/2r1Pk2/1K3P2/1B6/5R2 w - -,g6f6
rnbqkb1r/5ppp/p1p1pn2/1p1p4/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 b kq -,b8d7
r4rk1/1bq1bppp/pp1ppn2/8/P3P3/1PNQ2P1/1BP2PBP/R2R2K1 b - -,b7c6
6k1/pb3p2/r6p/1pn3p1/2pNn3/P1P3B1/1P3PPP/3BR1K1 w - -,d4b5
3r3r/1kp3pp/1pp2q2/3p4/P2Pn3/4B3/1P2QPPP/R4RK1 b - a3,d8a8
r7/8/1R6/2K5/8/2k5/2b5/8 b - -,c2d3
3rr1k1/2b2pp1/p1q2n1p/1p2pP2/1P1p4/2P1QPN1/1P3BPP/R2R2K1 w - -,e3d3
r1bbrnk1/4q1np/3p1pp1/p1pPp3/PpP1P1P1/1P1B2NP/2Q2P2/2BRRNK1 w - -,f1e3
7r/7P/6P1/1p6/6K1/8/3k4/8 b - -,b5b4
rn2k2r/ppp1bppp/3p1n2/3Ppq2/2P3b1/1P2PN2/PB2BPPP/RN1Q1RK1 w kq -,f3d2
1k6/1pp3qr/p1p1p3/P1N1r1p1/2P5/2Q3Pp/1P3PnP/R4R1K w - -,c3b4
4r3/p2R3p/r3kpp1/2pRp1B1/2PbP3/6P1/P4PKP/8 w - -,g5h6
4kb1r/1p3pp1/p2np1p1/1q1p2P1/3P3P/1PrQ2N1/P3KP2/R1B4R w k -,d3b5
r1bq1rk1/ppp1bppp/2n2n2/3pp3/2B1P3/2PPBN2/PP3PPP/RN1QK2R w KQ d6,e4d5
5rk1/5pp1/2pq3p/3b4/2pP3P/2R2NP1/3K1P2/QR6 w - -,a1a3
8/1p3k2/1n2npp1/p1pr3p/8/P3BP1P/1PR3PN/5K2 b - -,b6d7
2r2rk1/p4np1/p4p1p/1b2pP2/1nNpP1PP/1P1Pb3/4N1B1/3Q1R1K w - -,e2g3
2r1r1k1/1b2npb1/p3p1p1/1qp1N2p/4PP1Q/2p1BR2/PPB3PP/3R3K w - -,b2c3
8/1p1Rp2p/4P1pk/1P3p2/3b1P2/6KP/Q5P1/6q1 b - -,g1e1
8/p5k1/7p/1p4p1/3P4/2P1n1P1/B6P/6K1 w - b6,a2b3
1rb2r2/1p1nq1k1/p1pbp1pp/3p1p2/1PPP4/P1NBPN2/2Q2PPP/1R2R1K1 w - -,f3d2
3b4/qr3pk1/p2p2pp/2pNp3/2P4P/3R2P1/PPQ1PPK1/8 b - -,b7d7
r2q1rk1/1bp1npb1/p2p2pp/np6/3PP3/2N2N1P/PPB2PPB/R2Q1RK1 b - -,a5c4
1n1r4/R3b1pp/4kpb1/1p1pPp2/1P1P1P2/8/3B2PP/2R3K1 w - -,c1c7
r3r1k1/2R3p1/p7/1p2P1n1/4P3/1P6/1B3PK1/R7 b - -,g5e4
8/1p4k1/p1pq2p1/4np1p/PPP1p2P/3rP1P1/2Q2PB1/2R3K1 w - -,b4b5
rnbqk1nr/ppp1ppbp/6p1/3p4/5P2/3P1NP1/PPP1P2P/RNBQKB1R b KQkq -,c7c6
r1bq1rk1/1p1p1pbp/p1n1p1p1/2p5/P1BnPP2/3PBN2/1PP1N1PP/R2Q1RK1 b - -,b7b6
8/4k2p/1R4p1/8/4pKp1/4P3/r6P/8 w - -,b6b7
rnbq1rk1/pp1pppbp/5np1/2p5/8/1P2PN2/PBPPBPPP/RN1QK2R w KQ -,e1g1
3rr1k1/R4b1p/2p5/5pp1/P7/2N2P2/5KPP/2R5 b - -,d8d2
4r3/1p3pk1/2p3p1/p2n4/3P2q1/PQ4P1/1P3PB1/3R2K1 w - -,g2f3
rr4k1/p1nn1pbp/2p3p1/2Pp4/1P1p4/4P3/3BBPPP/RR2N1K1 w - -,a1a4
1r1q1rk1/1pp1n1p1/p3n3/2PpP2b/3P2p1/1Q6/P4PBN/2BRR1K1 w - -,h2f1
2b2rk1/b5pp/2q2n2/ppPp1p2/2p5/4BPPP/PP2PQB1/R2R2K1 b - -,c8e6
8/8/4k1p1/2bp3p/2p5/4NN1P/4K1P1/8 w - h6,e2d2
1q1r4/p4p1k/4pb1p/2pp1p2/b4P2/2P1PNQ1/1P1R2RK/8 w - -,h2g1
1k5r/pbq2p1p/1pnb1nr1/2ppNQp1/P2P4/2P4P/1P1N1PP1/R1B1RBK1 b - -,b7c8
r5r1/2qbkp1p/3p4/p3p3/4PP2/1PBQ4/1KP4P/3R2R1 w - -,g1g8
1r6/p6k/2p1p3/2PpP1p1/5p1p/3q1P1P/PP4P1/3R3K w - -,d1d3
1rbq1rk1/5ppp/p1np4/3Np1b1/1pP1P3/8/PPN1BPPP/R2Q1RK1 w - -,e2g4:d1d3
8/pk3pp1/2p5/1p1nPR2/5r2/PB1K4/1PP5/8 w - -,f5h5
3rrnk1/p4p2/6pp/2pN3b/2Q2P2/P2BP1R1/1P1K3q/6R1 w - -,g1g2
r1b1rbk1/2qn1pp1/p2p1n1p/1p2pN2/2pPP2N/2P2Q1P/PPB2PP1/R1B1R1K1 b - -,g8h7
r2qk2r/pp3ppp/3pbn2/2n1p3/2P5/P1Q2P2/1P2PNPP/R1B1KB1R w KQkq -,e2e4
r3b1k1/p4pp1/2p2b2/2B1p3/5Pq1/1Q6/PP1R2BP/6K1 b - -,g4f4
rnbq1rk1/p1p1bppp/1p3n2/3p4/3P1B2/2N1PN2/PP3PPP/2RQKB1R b K -,c8b7
r4b2/p7/2k4p/2Pqp2Q/PR6/6P1/1P3P2/3R2K1 b - -,d5e6
1r3rk1/p3npp1/4p2p/3qN3/2pP1Q2/2P4P/P3RPP1/4R1K1 b - -,b8b7
1rbq1r1k/4n1pp/1pp2n2/p3bp2/2P1pN1P/PQN1P1P1/1P1BBP2/1K1R3R w - -,c3a2
r4rk1/1p1bq1pp/2pnp3/p2pNp2/2PP4/6P1/PPQ1PPBP/R4RK1 w - -,a1b1
2rr2k1/p1q1bppp/1p2p3/2n5/2P5/4PNP1/P3RPBP/1QR3K1 b - -,c5d3
