8/7r/3kP3/4Rp2/2p2P2/2P4P/3K4/8 b - -,d6e7
r1bqk2r/2p2p1p/p1pp2p1/4b3/4P3/2P5/PP3PPP/RNBQR1K1 w kq -,b1d2
8/8/8/8/6p1/5k2/1PK3pP/4R3 w - -,b2b4
8/5k2/4R2p/6pP/4KpP1/4rP2/2n5/8 w - -,e4f5
2rr2k1/4b1pp/pnn1qp2/1pp1p3/5P1N/PP1PP1P1/1B1NQ2P/2R1R1K1 b - f3,f6f5
r2r4/p3k1pp/1q2p3/2ppPp2/2P2P2/3Q2P1/PPK4P/1R3R2 w - d6,e5d6
rn1qk2r/pb3ppp/1pp2b2/3p4/3P4/2N1PN2/PPQ2PPP/R3KB1R w KQkq -,f1d3
4r3/5pk1/1p4pp/p1bRP3/Pp5P/1P1R2P1/5PK1/8 b - -,g6g5
1k1r4/pppq4/5R2/2Q3p1/1P1p4/P2P2P1/4n2P/5NK1 w - -,g1f2
r1b1r1k1/p2nqpbp/1ppp1np1/8/1PPPp3/2N1P3/P1QNBPPP/1RB2RK1 w - -,d2b3
5bk1/1p6/6b1/1P1p1N1p/3B4/r3P3/6PP/5RK1 w - h6,f5h4
rn1q1rk1/3nppbp/1pp1b1p1/p1Pp4/1P1P1B2/P1NBP2P/5PP1/2RQK1NR b K -,f7f6
rnb2rk1/2q1ppbp/p2p2p1/1p1pP3/3P1PP1/4BQ1P/PPP5/2KR1BNR w - -,h3h4
6k1/4R3/6K1/5Pp1/r7/8/8/8 b - -,g8f8
2R5/4k3/8/1K6/1P4r1/P4p2/8/8 w - -,c8c1
1r2n1k1/p3qpp1/1p2p2p/1Q2P3/3P4/5B2/P1r2PPP/1R1R2K1 w - -,b1b2
8/5r2/3pkp1r/1PpNp1Rn/p1P1P3/P2P1RpP/6P1/6K1 w - -,g5g4
8/p2B4/1bPk2R1/8/3p3r/8/3KPP2/8 b - -,d6c7
4r3/r5k1/p2R2p1/1p2Pp2/2p2Pn1/5KP1/PPB5/7R w - -,c2d1
2qr2r1/3b1kb1/1pn3p1/3p1pP1/1B1P1P1N/P3P2R/4BK2/1Q5R w - -,h4g6
rn1qk2r/pp4p1/2pbppp1/3p4/3P1BPP/P2QPP2/1PP5/R3KB1R b KQkq -,f6f5
r1b1nr1k/2q1b1pp/p1pppp2/8/4PP1B/1BN3Q1/PPP3PP/R4RK1 b - -,d6d5
r2r2k1/1q3pp1/p3pn1p/8/2B1b3/R3B2P/1P2Q1P1/5R1K b - -,e4d5
6k1/R4p1p/4nb2/p6p/2r5/4P3/P4PP1/1R4K1 b - -,c4a4
1rr3k1/p3qp1p/b1n1p1p1/2p5/N3n3/4PN2/P1Q1BPPP/3R1RK1 b - -,c6b4
r4rk1/ppqn2p1/4pnp1/1Pp5/3pP1p1/P2P3P/2P2PB1/RN1QR1K1 w - -,h3g4
4k2r/5pp1/3p4/q1nBpPPp/3rP3/pP5P/P1Q5/1K1RR3 w k -,e1e2
r3k2r/pp1n1pp1/6p1/3pp1Pn/8/3Pq2P/PP1N2B1/R1BQ1RK1 w kq -,f1f2
8/4k3/7K/p7/P1B1PP2/8/3n4/8 w - -,c4d5
1k1r3r/pbpq2p1/1pnbp2p/3n1p2/Q2P3P/2P2BN1/PP1BNPP1/1K1R3R w - -,h1e1
r1bq1rk1/ppp2ppp/2nb1n2/3pp3/4P3/P2P1N2/1PPNBPPP/R1BQK2R w KQ -,c2c3
r2q2k1/p2r1pp1/4pn1p/2p5/2P5/P1N2Q2/1P3PPP/R3R1K1 w - -,c3a4
r1bqkb1r/1p2nppp/p2pp3/8/3pP3/2NP2P1/PPP2PBP/R1BQ1RK1 w kq -,c3e2
r3kq2/pp3n1Q/2p4p/3pP2P/5P2/2PB4/PP3P2/1R2K3 b - -,f8h8
4r1k1/1p4rp/2p5/7Q/1P1Pq3/P5p1/4PP1P/1R2R1K1 w - -,h2g3
r2q1rk1/pbp1bppp/1p2pn2/n7/2pPP3/P1N2NP1/1P2QPBP/R1BR2K1 w - -,c1f4
r5k1/5pp1/r3p2p/3nN3/1PR5/pR4P1/P4PKP/8 w - -,b4b5
8/4k2p/1r1pbpp1/pPr1p3/P1p1P3/2P1NP2/3R2PP/3R2K1 w - -,e3d5
8/p1q5/2p1p3/2Pp1kn1/P2PpNp1/4P1P1/5PK1/5Q2 b - -,c7h7
r5k1/3r1p1p/p1pqp1p1/Pn2Q2P/2BP4/3R4/1P3PP1/3R2K1 b - -,a8d8
rnbq1rk1/pp2ppbp/3p1np1/2pP4/4PP2/2PB4/PP2N1PP/RNBQ1RK1 w - -,b1d2
r1b2rk1/ppq2pb1/6pp/n3p3/1QB5/2P2N2/PP1N1PPP/R3R1K1 b - -,a5c6
r2q1rk1/pbpn1ppp/1p1bpn2/3p4/5P2/2NP1NP1/PPP1P1BP/R1B1QR1K b - -,f8e8
6k1/R6p/6p1/p3N1Pn/1b2P3/4BP2/PPK5/4r3 w - -,e3d4
8/p2b4/1p1k2pp/3pn3/3N3P/1P2P1P1/P2K2B1/8 w - -,d2c3:g2f3
8/p5r1/1p4k1/2p2p2/4Q1p1/1P4P1/P2B1RK1/8 b - -,f5e4
r2q1rk1/ppp1bpp1/6b1/6P1/2nPp1Q1/2P1B3/PP1N1P2/R3K2R w KQ -,d2c4
2r2rk1/p4p1p/np1q2p1/3p4/2n2NQ1/P7/5PPP/B1RR2K1 b - -,c8c5
r1q3k1/2P3p1/n3p2p/Q2pNp2/3P4/7P/P4PP1/2R3K1 w - -,a5b6
4k1r1/1r3p2/2nB4/pp1pPpPR/2pP4/2P5/5P2/1R2K3 b - -,b5b4
3r1kr1/p1p2pqp/1p1p4/7R/2PnPP2/6P1/PP1Q1K2/3B2R1 b - -,c7c5
r4k2/p4p2/2p1bn1p/2N3p1/3p4/P2B1PP1/1P4P1/4R1K1 b - -,e6d5
3r2k1/p4pp1/1qn1p1bp/2RrP3/3P2P1/bp2BNNP/P3QP1K/3R4 w - -,c5d5
5bk1/p6p/q3p1p1/3r4/P3QP2/4P2P/6BK/2R5 w - -,c1c7
6k1/Qp3pp1/2p1p3/4N2p/1P6/2P3P1/3q1PKP/3r1B2 b - -,d2d5
8/4kp2/8/p1r1P1R1/1P1r2N1/3B2K1/1PP3P1/8 b - -,d4b4
r5k1/5ppp/8/2R5/pP6/6P1/5K1P/8 b - -,g8f8
6k1/5pp1/2Nb3p/p7/2R5/6PP/5P1K/r7 w - -,h2g2
1r1qk2r/4npbp/3pp1p1/1n6/1p1pPP2/4B1PP/1P2N1B1/R2Q1R1K w k -,e2d4
2k1q2r/7p/8/p3Q3/P3P3/8/1PP5/2KR4 w - -,e5e8
rq2kbnr/2p2ppp/p1ppp1b1/8/3PP1P1/2N2N1P/PPP1QP2/R1B1K2R w KQkq -,c1d2
4rk2/1p6/2p3p1/4n2p/3N4/2P3P1/PP1R2K1/8 b - -,e5c4
r2qb1k1/pp2rppp/4p3/4N3/1nBPNnQ1/P7/1P3PPP/2RR2K1 b - -,b4d5
r5k1/ppq3p1/4p2p/5r2/2PQp2P/4Pb2/PP2NPR1/3RK3 w - -,g2g3
1q1r2k1/1br1bppp/pp1Np3/3nP3/3N4/3Q3P/PP3PPB/R2R2K1 b - -,d5b4
r2r4/p1RRpk1p/1p2pb2/2p3p1/8/2P3B1/PP2KPPP/8 b - -,d8d7
3r1rk1/ppp1bppp/2q1p3/2P1Pb2/1P1P4/P3QN2/4B1PP/3R1RK1 w - -,d4d5
8/8/8/4R1nP/1K6/8/4pk2/8 b - -,e2e1q
6nk/2B4p/1P3ppb/p7/2Q5/7P/P3RPPK/1r2q3 b - -,e1b4
8/1p3p1k/7p/3q4/8/P5BP/r5PK/5Q2 w - -,g3f4
4k3/1p3pp1/p1q1p1p1/3pP2r/1PbB4/P1R3P1/5P1P/3Q2K1 w - -,d1c2
8/8/4pk2/6R1/1r6/6PK/5P2/8 w - -,g5g4
8/8/8/7B/1k1Kp2P/1P6/5n2/8 w - -,h5f7
4r1k1/5pn1/p1NR4/1pp1P1p1/2q5/5QP1/5P2/6K1 b - -,b5b4
r2qr1k1/1b1nbppp/pp1ppn2/8/P1PNP3/2N1BP2/1P1QB1PP/R4RK1 w - -,a4a5
4r1k1/pp2r1bp/q5p1/2pP1p2/2PB4/1B6/PP3QPP/4RR1K b - -,g7d4
r1b1k1nr/1p1n3p/2p2pp1/p1q1p3/P1B1P3/5N2/1PPBNKPP/R2Q3R w kq -,d2e3
4r1k1/5p1p/3Q2p1/P2P1b2/8/6P1/5PBP/6K1 b - -,e8e1
3r2k1/5ppp/4p3/p1b1P2N/2r5/P3R2P/5PP1/R5K1 w - -,e3g3
5k2/4pp1p/4b1pb/1pB1p3/1P2P3/3P2PP/4KPB1/8 b - -,f8e8
r1bq1rk1/pp3pp1/2n2b1p/3p4/2pP4/1PN2NP1/P3PPBP/2RQ1RK1 b - -,c4b3
r6r/4kp2/1n1bp1p1/3p2P1/1n3P1P/1N6/1P2B3/R2KB2R b - -,a8a1
8/N2bk3/7p/1P6/2B2P2/2n1K3/8/8 b - -,e7d6
4q3/rp1bk3/2p1p3/b1PpNp1p/P2P1Pp1/4P1P1/1Q4KP/1R1B4 w - -,b2c1
r1bq1rk1/ppn2ppp/2n2b2/2pP4/2NP4/1P3N2/PB2BPPP/R2Q1RK1 b - -,c7d5
r2qkb1r/1b1n1p1p/pn1pp1p1/1p4P1/3NP1QP/2N5/PPP2PB1/R1B2RK1 w kq -,f2f4
1rbq1rk1/1p3pbn/p2p2p1/2pPp2p/2P1P1P1/1PN1BP1P/1P1Q4/R3KB1R w KQ -,e1c1
8/pk1p1r2/1q2p1p1/2p1Rr2/2P2P1p/QP5P/P3R1P1/6K1 w - -,e2e1
r1q2rk1/4bppp/pn2p3/N2n4/3p1B2/5BP1/1PQ1PP1P/2RR2K1 w - -,a5c6
rn2qrk1/pp1bb1pp/2p1pn2/3p1p2/2PP4/1PN1PNP1/PB3PBP/R2Q1RK1 b - -,b8a6
r1b2rk1/pp2qpbp/1nn3p1/4p3/5B2/2N2NP1/PP2PPBP/R1QR2K1 w - -,f4h6
8/1R1N4/p1p1p1kp/3b4/P5PK/2r5/5P2/8 b - -,d5g2
r6k/1b2p3/p2r2pp/n1p5/1p6/4KP2/BPP1N2P/6RR b - -,a8f8
3r1rk1/ppq2pbp/2n3p1/3p4/6b1/1BP2NNP/PP3PP1/R2QR1K1 b - -,g4f3
r4bk1/pR3p1p/n5p1/3N4/r4P2/8/P1R1NKPP/8 w - -,b7b5
2r2rk1/R5pp/8/1p3q2/2nP4/1Q3NBP/5PPK/8 b - -,g8h8
r1bq1rk1/ppp2pp1/2n2n1p/2b5/2p1p3/2N1N1P1/PP1PPPBP/R1BQ1RK1 w - -,e3c4
3r1rk1/p2qn1b1/1pnp2p1/2pNp1Np/2P2pbP/P2PP1P1/1PQ2PBK/R1B2R2 b - -,f4f3
5k2/5p2/1p1p1bpp/p2B4/P2p1P2/1P6/2P3PP/6K1 w - -,g1f2
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4PP2/3P4/PPP1B1PP/RNBQK1NR b KQkq f3,d7d5
r1b2rk1/p1pqb1pp/2p1p3/3pP1BQ/8/1P1B4/1PP2PPP/R4RK1 b - -,g7g6
r2qr1k1/pb1nbpp1/1pp1p2p/4P3/2BP4/2NQ1N2/PP3PPP/2RR2K1 b - -,a7a6
r2q1rk1/5ppp/2ppBn2/pp2p3/4P3/3PPQ2/PPP1N1PP/R4RK1 b - -,f7e6
2kr2r1/pp5p/3bPp2/2p5/2B2B2/6K1/PP4PP/2R5 w - -,g3f3
1r6/p5k1/4p1p1/2p1P1p1/P2q1nP1/1P3QKP/2R3B1/8 w - -,g3h2
5k2/3K1p1p/6p1/3B4/8/3R3P/6P1/5r2 b - -,f1f5
3rn1k1/1p2bpp1/p1r3p1/3p4/3P3P/3BPPP1/1P1BK3/RR6 w - -,a1a5
r1b1kb1r/pp3p1p/1qn3p1/1Np1P3/5n2/4PP2/PPPQ2PP/2KR1BNR w kq -,e3f4
rnbqkb1r/ppp1p2p/3p1np1/3P1p2/8/6PN/PPP1PPBP/RNBQK2R b KQkq -,f8g7
1k1Rr3/pp4pp/2p1p3/4n3/8/2P3PB/PP5P/2K4R b - -,e8d8
k6r/p1r2p2/4p2p/R1p1P3/2P3p1/4NbP1/5P1P/R4K2 w - -,a5b5
5rk1/1pq1n2p/2b3p1/p2pNp2/3P1PP1/P2BP2P/1Q6/2R3K1 w - -,b2c3
8/5kpp/8/4p3/R5P1/P3rP2/6PK/8 w - -,h2g3
8/1b1k1pb1/p6p/1p6/1Nn1P3/P4P2/2B4P/2B1K3 b - -,d7d6
5r2/pr2npbk/2n1p1pp/q2pP3/1pPp1B1P/1P3NP1/P3QPB1/2RR2K1 w - -,c4d5
2n3k1/1pr3pp/p2p4/N2Pp3/P3P3/2P3P1/6KP/1R6 b - -,c7c3
rn1q1rk1/pb2ppbp/1p3np1/3p4/2PP1B2/1PN2N1P/P3BPP1/R2Q1RK1 b - -,b8c6
r1q1brk1/4n1pB/pp2P3/3p4/2nN4/2P2N2/PP5P/1K1RQ2R b - -,g8h7
4r2r/p1n1qk1p/bp1p1np1/2pP1p2/8/2N2BP1/PP1QPPNP/4RRK1 b - -,f6d7
8/8/8/4p1k1/3rB3/4NKP1/8/8 b - -,d4d8
8/3R4/2P3k1/p5b1/2N1p1P1/7P/PP6/3K1r2 w - -,d1e2
2R5/2B1bkp1/p6p/2P2p2/N7/1P3b1r/P3K3/8 w - -,e2f1
r1b1r1k1/ppq2ppp/2p2n2/3Pb3/8/2PB1N1P/PP1N1PP1/R2Q1RK1 b - -,c6d5
6k1/1p6/3p4/3Pp1P1/4nBq1/5R2/PP2Q3/5K2 b - -,g4f4
1n2rqk1/3bbpp1/2p4p/1pPp1P2/1P1P2N1/1r1BR1PP/4Q3/1N2R1K1 w - -,b1d2
8/5r2/6p1/4k1Bp/5p1P/3K1P2/6P1/8 b - -,e5d5
1r4k1/5p2/6pp/8/2P1b3/R6P/6P1/5RK1 b - -,b8b2
r4r2/pp2k1pp/2n1p3/2n1P3/8/1B2N3/PPP4P/1K1R2R1 b - -,g7g6
1rbq1rk1/p3np1p/2np2pQ/2p1p3/1p2P3/3P1PP1/PPP1N1BP/R2N1RK1 b - -,c6d4
8/8/2k5/7n/6K1/3B4/5p2/8 b - -,h5f6
6k1/2p1b1rq/1p1p4/3Pp3/pPP1r2p/P4R1P/1RQ3P1/5N1K b - -,e4d4
8/7R/6rP/5k2/8/5PK1/8/8 w - -,g3f2
2qr2k1/1p3rpn/p2Rp1Np/2p4P/2P5/1P1Q2P1/P2R1P2/6K1 b - -,f7f8
5r2/p2nk3/Pp1nb3/1Pp3pp/2P1p3/NN2PpP1/5P1P/2R2BK1 w - -,b3d2
8/pp1r3k/2b1p3/4B3/5P1P/3p1r2/PP1K3R/6R1 b - -,c6e4
3r1r1k/p4p1p/2b1pPp1/1p3q2/2pB1P1Q/2P5/PP2R1PP/5RK1 b - -,f8g8
r4rk1/pp1nqpbp/2p2np1/8/3Pp3/2N1PQ1P/PP3PP1/R2RBBK1 w - -,f3e2
4rn1k/6b1/1Bn3p1/p3p1q1/4P1B1/2P2Q2/PP4PP/R4R1K w - -,a1d1
r1bqrbk1/1pp2p1p/p1p3p1/2n1P1Q1/3N4/2N1B3/PPP2PPP/R3R1K1 b - -,d8g5
8/8/2p1b1k1/pp1P2pp/4P3/P1P1NK2/1P6/8 b - -,c6d5
r2r2k1/p2n1pp1/1p2pq1p/2p5/3Pb3/1Q2PNP1/PP2BPP1/2RR2K1 w - -,b3a3
5r2/p1r2p1k/3R4/6P1/1p6/3P4/7P/5R1K b - -,f8b8
8/p3rk2/2p1bnp1/R6p/R2P2P1/1P3P1P/P7/5K2 b - -,h5g4
rn1q1rk1/pbp1bpp1/1p3n1p/3p4/3P3B/1QNBPN2/PP3PPP/R4RK1 b - -,b8d7
8/1N1k2p1/p7/P1RPb2p/7P/3KP1P1/r5r1/2R5 w - -,d5d6
2r1kb1r/pp2p3/1qn2pb1/3p3p/1P1N2pP/2PnP1B1/P2NBPP1/R1Q2RK1 w k -,c1a3
2r1r1k1/4qpp1/3b1n1p/P1p2P2/4p3/4B2P/2B2PP1/R2QR1K1 w - -,g2g3
8/5pk1/1R4p1/1p2R2p/2b4P/5PP1/3r4/6K1 w - -,f3f4
3rr1k1/pb3p2/1p5b/7p/3pPQP1/3B1N1P/PP4K1/2R1R3 b - -,h6f4
8/1p2kp2/p2pb3/1q2p3/4Pn2/5P2/2PQ3R/1NK5 b - -,b5f1
8/pr3kq1/6p1/5b2/7Q/P7/1P6/K1R5 w - -,h4c4
1k6/1p5R/p2p4/P3b3/4Rp2/3p1P2/1P1B1K2/1q6 b - -,b1b2
8/5p2/4p3/1p2P1k1/p1p1K1P1/P1P5/1P4R1/3r4 w - -,g2f2
2k4r/pp3pp1/3rpn1p/2q1N2P/8/6P1/PPP1QP2/2KR3R b - -,d6d1
r2q1rk1/ppp2ppp/2pbbn2/4p3/2N1P3/1P1P1N2/P1P2PPP/R1BQ1RK1 b - -,e6c4
r2q1rk1/5ppp/2npb3/p2Np1b1/1pP1P3/3Q2P1/PPN2PBP/R4RK1 b - -,e6d5
6r1/p4k2/2b1pppp/p2p2P1/P2P1P1P/1P3N2/2PK4/6R1 b - -,c6b7
r2q1rk1/pbp3pp/1p6/3n1p2/2P1pP2/3P2Q1/P1PBN1PP/R4RK1 b - -,d5f6
r3k2r/p2qb3/1pb1p3/2Pp3p/5Bp1/2PQ4/PP3PPP/R3R1K1 w kq -,d3g6
5r2/rqn1bpk1/2p1pnp1/1pPpN2p/1P1P1P2/2N1P2P/1BQ3P1/4RRK1 b - -,c7a6
3r4/6k1/3PR2p/1p6/2r2p2/7P/4R1PK/8 b - -,c4d4
r4rk1/1p2ppb1/p2p1npp/q7/3NPP2/2N2QP1/PPP4P/2KRR3 b - -,f6d7
8/8/1p4R1/p3P3/Pn2P3/7p/2pK1k2/8 w - -,g6b6
rn1qkb1r/ppp1pppp/5n2/3P4/3P2b1/5N2/PPP2PPP/RNBQKB1R b KQkq -,d8d5:f6d5
r3kbnr/ppq3pp/2n1pp2/8/2pP4/1P3B2/PB3PPP/RN1Q1RK1 w kq -,b3c4
7r/7p/p2pk1p1/5p2/3R2NP/8/PPP3b1/2K5 w - f6,g4e3
r7/4k1b1/p4p2/1p4p1/3pP2r/1B1N4/PP3RKP/R7 w - -,a1c1
6k1/1bp1r1b1/np1p4/1NnPp1P1/2P5/1P2BP1B/P2K3R/6N1 w - -,g1e2
r1bq1rk1/ppp2pbp/1n4p1/3Pp3/1n2P3/2N2NP1/PP3PBP/R1BQ1RK1 b - -,c7c6
2rqk2r/pb1nppbp/1p1p1np1/3N4/2PQ4/5NP1/PP2PPBP/R1BR2K1 w k -,g2h3
2r3k1/p4p2/q1pR4/Np3P1p/1P1br1p1/7P/P3PP1N/2R1Q1K1 w - -,d6c6
8/p4pk1/1p6/2p1r1pp/q1PP4/P2P1BPP/1R2P3/R4K2 b - -,c5d4
r1b1kb1r/pp2pppp/1n6/8/3P4/8/PP2BPPP/RNB1K2R b KQkq -,c8d7
2n2rk1/pr1b3p/4pPp1/Rp1p4/1P3N2/2PB2P1/1P2KPP1/R7 w - -,a5a6
b1r3k1/4q1pp/P2npr2/4N3/2BP1p2/1R2PP2/P3Q2P/4K1R1 w - -,c4d3
r3r1k1/2n1ppbp/q2p2p1/2nP4/p1PNPP2/1p2B1N1/1P2Q1PP/1R2R2K b - -,e7e6
r1b2r2/pp1n1pk1/4n1p1/3NP1qp/6N1/5BP1/PP5P/R2QR1K1 w - h6,h2h4
r2q1rk1/1pp3np/1pnpb1p1/3N1p2/2P1P3/4NP2/PP1QB1PP/R3K2R w KQ f6,e4f5
r1br2k1/1pq1bppp/p3pn2/n1P5/3P4/2N2NP1/PB2QPBP/R4RK1 b - -,c8d7
2rq1rk1/1b2ppb1/p5pp/1p1nN3/3PB3/7P/PP1BQPP1/R2R2K1 b - -,d8d6
4b3/p4pk1/2p2npp/1p1pQ3/3P3q/P2B2NP/1PP2PP1/6K1 w - b6,c2c3
8/1p2r2p/p1p2kp1/4p3/4K2P/1P1B1NP1/1P1R4/7r w - -,d2f2
8/1R5p/6k1/4p1p1/1P3b2/7R/1r1r3P/4BK2 b - -,d2d1
8/8/1Pk1pK2/P3P3/1Pb5/8/8/8 b - -,c6d7
1r5r/p2kbpp1/2p1p3/2PpP1Pp/3P1P2/B2b3P/PR4B1/R5K1 b - -,h5h4
r2q1rk1/1p1nppbp/p2p2p1/2p5/2PnPP2/2NPB3/PP1QB1PP/R4RK1 w - -,g1h1
q5k1/3Q1pp1/2p4p/1p4n1/1Pp1P2P/r1B1R1P1/5PK1/8 b - -,g5e6
3r1rk1/pp2p1bp/2p1b1p1/q4p2/2PP2P1/1PN1PB2/P2Q3P/3R1RK1 w - f6,g4f5
2kr3r/ppp1bppp/5n2/8/6b1/4BB2/PPPN1PPP/2KRR3 b - -,a7a6
8/2p2kp1/3pp2p/2bnP2P/3p1P1N/3P2B1/2PK2P1/8 b - -,c5b4
2rr2k1/2qnbppp/pp1ppn2/8/NPPB4/P3QbP1/4PPBP/2RR2K1 w - -,g2f3
R4bk1/3R1p2/4nP2/1p2P2p/p5p1/8/PP3K1P/8 b - -,h5h4
1qr1r1k1/1bBn1ppp/pp2pn2/3p4/1PP1P3/PNN2P2/3QB1PP/2RR3K b - -,c8c7
r1bqkbnr/pp1p1p1p/2n1p1p1/2p5/4P3/2P2N2/PP1PQPPP/RNB1KB1R w KQkq -,g2g3
r1bqkb1r/pp1npppp/2p2n2/3p2B1/3PP3/2N2P2/PPP3PP/R2QKBNR b KQkq e3,d5e4
2rq1rk1/1b4pp/pp1p1nn1/1NpP1p2/1P6/P5P1/4PPBP/R1BQ1RK1 w - -,b5a7
rnbqnrk1/pp2b1pp/3p4/2pPpp2/2P1P3/4BP2/PP1QN1PP/RN2KB1R w KQ f6,e4f5
3B1R2/7r/p7/P2K4/4p1kP/3bP3/8/8 b - h3,h7b7
r6r/p2nk3/1pb1pb2/2p2p1p/2P2Np1/P1N1P1P1/1P2BP1R/2KR4 b - -,f6c3
5r1k/6b1/p5Qp/Pp4q1/2p5/2P4P/2P3B1/R6K w - -,g6a6
r2q1nk1/5pbp/r1p1p1P1/1p2P1N1/2pP1PB1/1n2B3/1P4P1/1R2QRK1 b - -,h7g6
r1q2rk1/pp2ppbp/n1p2np1/N7/Q2Pb3/5NP1/PP2PPBP/R1B2RK1 w - -,a4a3
r2q1rk1/ppp3pp/1bnppn2/4p3/1P2P3/2PP1N2/P2N1PPP/R1BQ1RK1 w - -,d2c4
rnbqkb1r/ppp1pppp/8/4P3/3pn3/8/PPPPNPPP/R1BQKBNR w KQkq -,c2c3
1r3rk1/2qbppbp/ppnn2p1/8/P2N4/N1P1B1PP/1P3PB1/R2QR1K1 w - -,e3f4
r1b3k1/ppq3bp/2n1prp1/3p4/3P4/2P1BNPP/P4PB1/R2QR1K1 w - -,d1d2
8/2k4K/8/6P1/1r5P/2n1p3/1R6/8 b - -,b4b2
r1bqkb1r/pppn1ppp/4pn2/3p4/3P4/1P2PN2/PBP2PPP/RN1QKB1R b KQkq -,f6e4
r2q1rk1/p4pbp/2n3p1/1Np5/Q1NnP3/4B1PP/PP2bPB1/R4RK1 b - -,d4b5
2rq1rk1/3bNppp/p2ppn2/1p4B1/4P2P/5P2/PPPQB1P1/1K1R3R b - -,d8e7
3r2k1/5pb1/2n1p1pp/rpq1P3/3p1PP1/3P1Q2/P3RBP1/R4BK1 w - -,a1b1
