8/4kp2/2R3p1/r7/4p3/4N1KP/5P2/8 b - -,a5g5
6k1/7p/1Q1p1bn1/3Pp3/1P2Pp2/5P2/r4B2/3K4 w - -,b6d6
r2q1rk1/3bbppp/p1np4/1p1N4/4PP2/1PQ5/PBB3P1/R3R1K1 b - -,f7f6
1r6/1PR4B/7k/p3p1p1/5p2/b7/5PPP/6K1 w - -,h7f5
r5k1/3r1pb1/6p1/pp4B1/5R2/6P1/5P1P/4R1K1 b - -,a5a4
rn1qk2r/pbpp1ppp/1p2p3/8/2PP1P2/2PB4/P1Q2PPP/R1B1K2R b KQkq -,b7g2
r1b2rk1/pp3ppp/2nppb2/q7/4P1P1/1PN1B2P/P1PQ1PB1/3RK2R w K -,c3a4
r1bq1rk1/pp1nbppp/2p1pn2/3p2B1/2PP4/1QN1PN2/PP3PPP/R3KB1R w KQ -,f1d3:f1e2
4r1k1/2qrbppp/ppn1n3/2p2RP1/2PpNN1P/1P1PP3/PB2Q3/R5K1 w - -,f5f7
2rq1rk1/1p2bppp/p4n2/2np1P2/P4B2/2NB4/1PP2QPP/R4R1K w - -,a1d1
3Q4/8/4pP2/p2p4/4k3/P1KR4/q7/8 b - -,a2c4
r1b1kb1r/pp3ppp/1qn1p3/3n4/2P5/1N1B4/PP3PPP/RNBQ1RK1 b kq c3,d5f6
r2q1rk1/1ppnbppp/2n5/p1Nb4/3P4/1P2BNP1/4PPBP/R2Q1RK1 w - -,c5a4
2r3k1/3N1p1p/r3p1p1/8/5Pn1/P7/1KPB3P/5R1R b - -,a6d6
rnbqk2r/ppp1ppbp/3p1np1/8/4P3/1P4P1/PBPP1PBP/RN1QK1NR b KQkq -,c7c5:e8g8
2kr3r/pp1b1p2/2n1p1pp/5q2/2Bp4/P5Q1/1PP2PPP/R1BKR3 w - -,b2b4
r1bqkb1r/ppp2pp1/3p1n1p/4p3/2PnP3/2NP1N1P/PP3PP1/R1BQKB1R w KQkq -,f3d4
1rbq1rk1/2p1bppp/p1np1n2/4p3/PpN1P3/1B1P1N1P/1PP2PP1/R1BQ1RK1 b - -,f8e8
6k1/3nbp2/1ppQ2p1/p3p2p/P3P2P/1PB2NP1/2P2PK1/8 b - -,e7d6
r1bq1rk1/pppn1ppp/3bpn2/3P4/3P4/P1N1P1N1/1P3PPP/R1BQKB1R b KQ -,f6d5
2r2rk1/5ppp/p1P2n2/2n1q3/8/P1p1PK1P/1PB2PQ1/R1BR4 w - -,g2g3
r4rk1/p4pPp/2p1pq2/2bp4/4P1P1/2PQ4/PP6/R1B1K2R b KQ -,f8d8
1n1r4/p4kpp/1p2p3/5p2/N7/3b2P1/PP3P1P/R2R2K1 b - -,f7e7
r3k2r/pp1n1pp1/2p1p2p/3n3P/2BPQ3/6q1/PPPB2P1/2K2R1R w kq -,h1h3
r2qk2r/p2n1ppp/np6/2ppP3/3P1P2/2b2N2/PP4PP/R1BQ1RK1 w kq -,b2c3
8/1Q6/p1p2pk1/5p2/3P4/P7/1P2K3/2q5 b - -,c1c4:c1c2
3rkr2/1p1b1p1p/p1n1pQ2/3Nq1p1/1P6/P4B2/3R1PPP/5K1R b - -,e5f6
8/1n4r1/8/pN1kp3/P2pR3/1P5r/2R5/2K5 w - -,e4e1
1rbr2k1/5p1p/ppp3p1/2p1p3/P3P3/2PP1PP1/1P3KP1/RN2R3 b - -,f7f6
5rk1/1b3qpn/pp1p1r2/2pPp1p1/P1P1R1P1/2P1NP1P/5RK1/2BQ4 b - -,f6g6
8/p7/1p6/1P2kpp1/P1P5/4K3/8/8 b - -,e5d6
8/8/8/3k4/4R3/1r3P2/4K3/8 b - -,b3a3
4rk1r/ppp2pp1/8/6P1/4P1q1/P5P1/NPQ5/R5KR b - -,g4g3
8/5p2/1pk1p1p1/3pP1Pp/1Pb2P1P/4P3/3K4/1N6 w - -,d2c3
r1b3k1/1p3ppp/p3p3/3r2P1/1b1N1P1P/3RBQ2/P1PK4/q4B1R w - -,c2c3
5k1r/2n2p2/pq3b2/1p1pp3/5r2/P1PBN3/1P3PQP/2R1K1R1 w - -,c1c2
r1b1kb1r/1pq2ppp/p1nppn2/8/3NP3/P1N1B3/BPP2PPP/R2QK2R b KQkq -,c6e5
r1bqk1nr/1p3pbp/p2pp1p1/8/3NPP2/2N5/PPP3PP/R1BQ1RK1 w kq -,g1h1
6k1/pp4pp/2n5/2P1p3/4R3/1P2PPP1/P5KP/r4R2 b - -,a1a2
r2qk2r/1b1nbppp/p1p1pn2/1p6/3P1B2/P1NBPN2/1P3PPP/R2QK2R w KQkq -,h2h3
3b4/1p4k1/P2p4/1PrPp3/4Pp1p/1B3PpP/4N1P1/7K b - -,b7a6
5k2/5p2/7p/2N1b1pP/1pBp2P1/1P3K2/5P2/2r5 b - -,d4d3
8/4rpn1/1ppk3p/1p3p2/1P1P3P/2P1RKP1/P1B5/8 w - -,e3e7
2b1r1k1/1pq1rpp1/2pp1n2/p1n4p/1PP1PP2/P1Q1R1PP/2NN2B1/4R1K1 b - -,a5b4
6k1/8/r2p2pp/2n1P3/1p3P2/1P6/2P1RK2/4N3 w - -,e1d3
8/p7/1p4pp/1P1k1b2/P3pP2/2K1P1P1/3N4/8 w - -,d2c4
1rb1rqk1/5p1p/pp3npb/2pPp2n/2P1P3/PRN1BBPP/3N1PK1/3Q1R2 w - -,c3a4
8/3k2p1/n2p1p1p/1p6/3KPP2/3N4/1P4PP/8 b - -,d7c6
4r2k/3r2pp/Q1p2p2/4n3/1P2pB2/8/P3K2P/8 b - -,e5d3
1r6/8/8/1N2k3/2K5/8/8/8 b - -,b8h8
rn2kb1r/pp2pppp/8/2p1P3/6n1/5N2/PPP2PPP/RNBK3R w kq -,d1e2
rn1qkb1r/pp2pppp/1n1p4/5b2/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,e7e6
8/5kpQ/r1p5/1p1pp1q1/1P1P1P2/P5B1/8/2K2R2 b - -,g5g3
r5k1/1p3p1p/3b2pB/p7/8/7P/PP3PP1/R5K1 w - -,a1d1
rn1q1rk1/pb1nbppp/1p1p4/2pP4/4P3/2N2NP1/PP3PBP/R1BQ1RK1 w - -,c1f4
2kr3r/pp1nqpp1/2p1p2p/4N2P/2PP4/3R2P1/PP2QP2/2K4R w - -,d3a3
r2q1rk1/1p1bbppp/p2pp3/4n3/P3P3/1BN4P/1PP2PP1/R1BQR1K1 w - -,c1e3
4b3/pp2npkp/4p1p1/2q1n3/4P2P/P1N5/BP1Q1PP1/4N1K1 b - -,e7c6
6R1/5P1k/4K3/7r/3B4/b7/8/8 w - -,d4f6
7k/2p1q3/1b2n2Q/8/3P4/1P2B2P/R4PPK/3r4 b - -,h8g8
1r2r1k1/1p1b1pbp/p4np1/2q2p2/P1P5/2NQP1P1/4NPBP/1R1R2K1 w - -,b1b7
1r1n4/r2bq2k/2p1p1p1/ppPpPp1p/3N1P1P/PP2P1P1/2Q3R1/2RB2K1 w - -,g1h2
2R5/8/8/1p1k4/7r/1K6/8/8 w - -,c8d8
3b4/1r2rpk1/p1b3p1/2p3P1/2PpPRN1/3B2P1/P5P1/5RK1 b - -,d8c7
8/3b4/1pnp1k2/5p2/1PPNpP2/6KB/4P3/8 w - -,d4c2
2r1k2r/pb1pppbp/1p4p1/3N4/2PnP3/1P2BP2/P2K2PP/2R2B1R w k -,f1d3
5Q2/2q1r1p1/p4k2/5b2/Pp3R1P/1P3NP1/5P1K/8 b - -,e7f7
3Bq3/1p3rkp/p1nRpbp1/2N1p3/2P1P3/1P3P1P/PQ4K1/8 w - -,d8f6
2r2k2/1b3p2/p5pp/3pP3/8/4P3/P3BPPP/1R4K1 b - -,c8c2
3r2k1/rqpnbppp/3ppn2/p7/N1P5/pP1PP1P1/1B2QP1P/R1R1N1K1 w - -,b2a3
r2q2k1/bp1b1rp1/p1nBp1Bp/3p4/1P1p3P/PN6/2PQ1PP1/R3R1K1 b - -,f7f6
4b3/1p1q2kp/p4pp1/3p4/3B4/P1P1Q2P/1P3PP1/6K1 b - -,h7h5
8/p4ppk/1p4rp/4p3/1Pq5/P3PP2/3R2PP/1Q4K1 b - -,f7f5
b5r1/6Rp/3k4/P2p2np/R2Bn3/3N4/1P4PP/6K1 b - -,g8c8
8/1R4pp/6k1/5p2/4p2P/1p2P1P1/4KP2/1r6 w - -,b7b6
4B3/4bp2/1k2p3/1P4p1/Rn6/4P2P/2b2P2/6K1 w - -,a4a8
r4b1k/pp4Qp/6p1/1bp5/8/P7/1PP2PPP/3RR1K1 b - -,h8g7
8/1r6/3K3k/5Ppp/7P/5P2/3R4/8 w - -,d6c6
4r3/p6k/2b2qp1/2p1p1bp/2Pp4/3P1PP1/P1N2Q1P/4RRK1 b - -,e8f8
1r3bk1/R5pp/5p2/P4N2/1n2N3/8/4PPKP/8 b - -,b4c6
2r1k2r/2qbbpp1/p2p3p/3Pp3/2p1N1P1/4BQ1P/PPP2P2/2KR2R1 w k -,e3d2
r1b1k2r/1pq1ppbp/p5p1/2pn4/4NP2/3P1N2/PPP3PP/1RBQ1RK1 b kq -,e8g8
8/8/8/2p2Rp1/2r4p/3r2PK/2k3R1/8 b - -,c2b3
r1bk1r2/1pqnbQpp/p4n2/6B1/2B5/5N2/PPP2PPP/2KR3R w - -,f3d4
2rqr1k1/ppn2bpp/3p1n2/3P4/P2bpP2/BPN3P1/1Q1NB2P/2R2R1K b - -,c7d5
8/5bpk/p5qp/P7/2pB3P/2P2PQ1/6PK/8 w - -,g3e5
1R6/6k1/1P6/8/6p1/6P1/1r2K2P/8 w - -,e2e3
r4rk1/3q1pp1/3p3p/8/1P2PQ1P/p2R4/P1P2PP1/1K5R b - -,f8c8
rnbq1rk1/ppp3pp/3ppn2/5p2/2PP4/2b3PN/PP2PPBP/R1BQ1RK1 w - -,b2c3
3r1n1k/4bpp1/ppq1p2p/2p1P2P/2P1NP2/1P1r2P1/P5Q1/2R2RBK w - -,h1h2
3r2k1/pb2bppp/1n2p3/P3P3/1pq5/1N4N1/1P2QPPP/R1B3K1 w - -,c1e3
5rk1/pp3p1p/2pnbp2/8/3P4/1B2PK1P/PP1N2P1/2R5 b - -,f8e8
6k1/8/1p4R1/5p2/1r4p1/8/5PP1/5K2 b - -,g8f7
r1bqk2r/ppnnppbp/3p2p1/2p1P3/2PP1P2/2NBBN2/PP4PP/R2QK2R w KQkq -,d4c5
r3k3/1b5p/pp1pp2b/2p2pr1/3PPn2/2PB1QPq/PP3P1N/3RNRK1 w q f6,d4d5
r3r1k1/1pp2pbp/pn3np1/4p3/4P3/2P1B1PP/qPBNQPK1/3R1R2 w - -,d1b1
r7/pp1q1pk1/3p1br1/4n1pP/1P1pP3/3P1P1Q/P1BB2P1/R1R2K2 b - -,d7h3
r1bqk2r/1p2bpp1/p2ppn1p/8/3nP1P1/2N1B3/PPP1QP1P/2KR1BR1 w kq -,e3d4
r1bq1rk1/ppp2ppp/5n2/4b3/Q1p5/P1N3P1/1P2PPBP/R1BR2K1 b - -,d8e7
r3r1k1/1pqn1p1p/p1p1pbp1/8/2PPQ3/1P1R1N2/PB3PPP/3R2K1 w - -,e4e2
8/6pp/2k2p2/3R4/r2pP3/6P1/3KPP1P/8 b - -,h7h5
6k1/Q1p1q2p/nr4p1/3Ppp2/pp2P2N/6PP/PP5K/2R5 w - -,e4f5
bn3rk1/2qnb1pp/5p2/2P1p3/1P6/2NB1N2/Q4PPP/2BR2K1 b - -,g8h8
r1bq1rk1/pp2bppp/5n2/3p4/3Q4/2N1P1P1/PP3PBP/R1B2RK1 b - -,c8e6
rnb1kb1r/p5pp/4pn2/qPpp4/5B2/5N2/PP1QPPPP/RN2KB1R b KQkq -,a5b6
8/2Q5/5qk1/6p1/4b3/6Pp/5P1K/8 w - -,c7c5
2r1r1k1/1bqn1pbp/pp1p1np1/2p1p3/3P4/2P1PNBP/PP1N1PP1/2RQRBK1 w - e6,d4e5
r3r1k1/1pp2pbp/pn1n2p1/2BPp1q1/PP2P3/2N2B2/5PPP/R2Q1R1K b - a3,b6c4
r1bqkb1r/pp2pppp/2n5/3p2Bn/3P4/4PN2/PP3PPP/RN1QKB1R b KQkq -,h7h6
r1r3k1/p3R1bp/4p1p1/n3Pp2/3P4/4BN2/P3KPPP/7R b - -,c8c2
2rq1rk1/pp1b2bp/3P1np1/4p3/n3N3/4BP2/PP1Q2P1/1K1R1BNR b - -,f6e4
5rk1/1p2qppp/6r1/p2p4/P1nN4/2P4Q/1P3PPP/R3R1K1 b - -,e7g5
2kr3r/2p1bppp/p3b3/1p2P1B1/8/1B1n1N2/PP3PPP/R2R2K1 b - -,e6b3
1r3rk1/6pp/pp1R4/8/P3p3/8/1P3PPP/R5K1 b - -,f8f6
8/k7/8/pB1N4/3Kp3/P7/8/4n3 w - -,d4e4
3R1bk1/5p1p/6p1/1p3r2/1P1q4/6P1/5P1P/3R2K1 w - -,d1d4
r6r/1p2k1p1/1pnp2p1/p2Bp3/P3Ppn1/BPPP3P/5PP1/R3K2R b KQ -,g4f6
r1b1n1k1/p1q1pp2/2p2bp1/3p4/N4P1p/3B2P1/PPPQ3P/1R3RK1 b - -,c6c5
rnbqk1nr/1p1pppbp/p5p1/2p5/4P3/2N3P1/PPPP1PBP/R1BQK1NR w KQkq -,d2d3
3r4/3N1pkp/p3q1p1/8/3r2P1/5Q2/PP2B1PP/5R1K b - -,d8d7
2r3k1/1q1b1pp1/1p2p3/4Pn1p/1B5P/3Q1N2/2P2PP1/3R2K1 b - -,d7c6
6b1/6k1/7p/5Q2/1br1N3/6P1/7P/6K1 w - -,f5e5
r1r1k3/p1q2pQp/2p2P2/3Pp3/8/2N5/PPP4P/2K3R1 b - -,c7d6
r4rk1/p4p1p/1qn1p3/2p1N3/8/P7/1PQ2PPP/R4K1R w - -,e5c6
rnbqk2r/ppp2ppp/3bpn2/3p4/2PP4/2N3P1/PP2PP1P/R1BQKBNR w KQkq -,f1g2
2rq1rk1/p2n1ppp/b3pn2/1pbp4/1PP5/5NP1/PNQBPPBP/R3R1K1 b - -,c5d6
r4r1k/p6p/1p1p1qp1/3P4/4R3/1P3p1P/1P1Q1PP1/R5K1 w - -,e4e6
r1rqn1k1/p2nbp1p/bp1p2p1/2pPp3/1PP1P3/P2BBPN1/1NR3PP/1RQ3K1 b - -,c8b8
5rk1/pp1b1p2/2n2R1p/3B2p1/2PN4/2P3r1/P5P1/2R3K1 w - -,f6h6
2br1rk1/p1q1n2p/1pn2bp1/2p1p3/3p1PP1/2PPBN1P/PP1Q2B1/R3RNK1 w - -,c3d4
1k2r2r/1p6/p7/4pPqp/3pQ2R/1P6/P1P5/1K5R b - -,b8a8
8/3k4/8/2p1RP2/2Kp4/7b/8/8 b - -,d7d6
2r4k/5R1q/7p/4Q3/8/7P/1Pr3PK/8 b - -,h8g8
4r1qk/pnr3pp/bp3p2/3P1R2/PB2P2R/2Pp3Q/3N2PP/6K1 w - -,c3c4
1nr2q2/1b2k3/1p1bP3/pP1P1p1p/P1P3pP/1Q4P1/2B2B2/1K1R4 b - -,b8d7
r1b2rk1/pp1nq1pp/2p5/3p1p2/3Pn3/2N1P3/PP1NBPPP/R2Q1RK1 w - f6,d1c2
rnbq1rk1/ppp2pbp/3p2p1/4p3/3P4/2P1PNP1/PP1N1PP1/R2QKB1R w KQ e6,d1b3
8/1r1qn1kp/5rp1/4Qb2/3P4/8/P2N1PPP/R3R1K1 w - -,d2b3
r1r3k1/1b3ppp/p3p3/1pn1B3/2P5/P3P2P/B4PP1/2RR2K1 b - -,b7e4
5rbk/r1pq3p/1p1p4/nP1P1p2/5P2/2b3P1/1Q1N2BP/4RRK1 w - -,b2c3
r1b2rk1/ppqp1ppp/3np3/n1P5/Q2N4/2P1B1P1/P3PPBP/R4RK1 b - -,d6c4
8/p7/2b3p1/2p5/2Np1k1p/PP1P3P/2P2KP1/8 b - -,c6d5
r4rkb/3q1p1n/2p1pP1p/np1pP1p1/3P2PP/1PNQ1N2/P2R4/1K2B1R1 b - h3,b5b4
3rr3/p1q1ppkp/2p1b1p1/3nb2P/B7/B1P3Q1/PP2RPP1/4R1K1 w - -,e2e5
8/pr6/2pB2p1/2P3R1/3k2P1/1p6/2bK1P2/8 w - -,d6e5
5Q2/1p1k4/4p2p/3pP1pP/2r2pP1/2q2P2/2P1R3/3K4 w - -,f8d6
rn1q1rk1/p1pbppb1/1p4pp/8/3PP3/Q1P1BN2/P4PPP/R3KB1R w KQ -,f1e2
8/1r3p2/4pP2/2K1P2p/4k3/1P5R/7P/8 b - -,e4e5
3r1rk1/pp3pp1/4q2p/4b3/1n1p4/P5P1/1PPQ1PBP/R4RK1 w - -,a3b4
8/1p3p2/P2p1k2/1P1P4/1b6/7B/5P2/6K1 b - -,b7a6
5R2/8/4K3/6k1/8/4n3/8/8 b - -,e3g4
1r1r2k1/2p2pp1/2n4p/pp2p3/4P3/1PP1b3/1P1NKPPP/R2R4 w - -,f2e3
8/2K1k2p/6p1/6B1/1P6/6P1/4b2P/8 b - -,e7e6
r1bq3r/ppp1nkpp/6n1/8/1b2PP2/1QN5/PP4PP/R1B1K1NR b KQ -,f7e8
1k1r1r2/p1pb2pp/1p6/1Pn1P2q/7Q/2N2N2/P1P3PP/3R1RK1 b - -,h5g6
8/6k1/pb1p2p1/3P4/1q2Pp2/3N1P2/4Q1K1/8 b - -,b4d4
3r2k1/bb6/p5p1/4N1qp/2N1pp2/1P5P/P3QPP1/3R2K1 b - -,a7f2
1r4k1/bpR2ppp/p7/8/Nn6/1P1rPN2/P4PPP/R5K1 b - -,b4a2
2kr3r/ppp1n3/2nq1p2/3p2p1/1P1P2bp/2PB1N2/P1QN1PPP/R4RK1 w - -,a2a4
r1r3k1/5pbp/1qp3p1/1p1b2N1/3P1Q2/4PB2/P1RR1PPP/6K1 b - -,f7f6
r1r3k1/1p2qp1p/3pb1p1/4p2n/N1P1P3/1P1nbP2/4N1PP/1R1QBR1K w - -,d1d3
8/2k5/2p4p/2p1p1pP/1PP1PbP1/2K5/4N3/8 b - -,c7b6
8/8/r3K3/4P1k1/8/8/8/3R4 w - -,d1d6
r1bq1rk1/pp2bppp/2n2n2/2pp4/3P4/2NBPN2/PP3PPP/R1BQ1RK1 w - -,h2h3
1r3rk1/2p3p1/2b1p2p/p2pPPq1/2p3P1/2P2B2/PPQ4P/4RR1K w - -,c2g2
r4rk1/pp3ppp/3q1n2/3pnb2/8/2N1PN2/PP2BPPP/2RQ1RK1 b - -,a8d8
1r1qr2k/7p/p2p2pB/1ppQ4/n5B1/3P4/PbP3PP/4RR1K w - -,e1e8
2r1k2r/bbqp2p1/p3ppp1/1p2n3/1P2PB1P/2N3P1/P1PQ1PB1/3R1RK1 w k -,f4e5
r1q1k2r/pp2ppb1/2np2pn/2pN3p/2P4P/P2P1NP1/1P2PPK1/R1BQ1R2 w kq -,e2e4
r1b1k2r/ppp1qppp/1bnp1n2/4p3/1PB1PP2/2P2N2/P2PQ1PP/RNB1K2R w KQkq -,d2d3
r1b2rk1/1pq1n1pp/p3pb2/5p2/1PPp1P2/P2B3Q/NB1P2PP/R4RK1 b - f3,e7g6
1qbr2k1/r2n1p1p/pppp1npb/4p3/1PPPP3/P1N2NPP/1BR2PB1/3QR1K1 w - -,g1h2
r5k1/p3Rp1p/8/P2r1bp1/3p4/3N3P/1P3PP1/3R2K1 w - -,g2g4
7k/3RN3/4N1pp/5p2/5P1P/6P1/1b1n2K1/2r5 b - -,d2e4
2r2rk1/1q1nbppp/2b1pn2/1pp5/4P3/1PNPBNPP/2Q2PB1/R4RK1 w - -,a1b1
4rrk1/2pbq1p1/p6p/1pBPpp2/8/1P3N1P/1P2QPP1/3RR1K1 b - -,e7c5
r2qr1k1/3b1ppp/p4n2/1p2p3/P2pP3/1Pb3N1/2P1RPPP/1RBQ1BK1 w - b6,c1d2
4r1k1/p1Rb3p/6p1/3qn3/8/7P/P4PP1/3QR2K b - -,e5d3
r2q2k1/1bp3b1/pp1ppr2/3P1nB1/P1B3Q1/2N5/1PP2P1P/4R1K1 w - -,d5e6
1r1q1r2/1b1n1pkp/ppnpp1p1/3N4/2P1P3/1P2Q2P/P3BPPN/1R1R2K1 w - -,d5c3
r4rkn/pp4bp/1q2p3/1P1p1p1P/1Q1P4/P2BPN2/6P1/R4RK1 w - -,g2g4
8/8/8/3kP2p/3P2p1/3R4/2K1r2P/8 w - -,d3d2
r1bqk1nr/pp2npb1/2p3pp/3P4/3N4/2N1B3/PPP2PPP/R2QKB1R b KQkq -,e7d5
8/2kr1p2/4b1p1/1prpPpPp/pR1R1P1P/P1P1N1K1/1P6/8 w - -,g3f2
1rb2rk1/2qnbppp/p2pp3/1p2n3/4PB2/PNN3PP/1PP1QPB1/3RR1K1 w - -,f4c1
8/5p2/2BR2p1/4k3/pp2P2p/1q3P1P/1P4P1/5K2 w - -,d6d5
8/2k5/p2p2p1/b2Pp1P1/P3P3/K3B3/8/8 b - -,a5e1
8/p7/1p6/2p1p1rk/2P2p2/1P1P1K2/P4R2/8 b - -,g5g3
3R4/4k3/1p2np2/pB2p1p1/4P2p/4KPP1/PP5P/8 b - -,e7d8
r2q1rk1/pp2bppp/3p1n2/5P2/5B2/1PN5/1PP1Q1PP/R3K2R b KQ -,d6d5
r1b1k2r/1pq2ppp/p2ppn2/2b1n3/3NPP2/2NBB2P/PPP3P1/R2Q1R1K b kq f3,e5g6
1k1r3r/pp1n2Q1/4qp1p/4p3/1P6/6PP/PB1R2PK/2R5 b - -,h8g8
8/6pp/1npk1p2/r3p3/P3P3/2PK2P1/5P1P/R1B5 w - -,a1b1
rn1q1rk1/ppp1bppp/5n2/3p2B1/3P2b1/3B1N2/PPPN1PPP/R2QK2R w KQ -,e1g1
r7/3q1ppk/p1Np3p/1p1P3n/bp6/4R2P/1B3PP1/1Q4K1 b - -,g7g6
6k1/4p1bp/3p2p1/8/1qb3P1/1N2QP2/2P2K2/3n3R w - -,h1d1
4r1k1/p2q1p2/2p3p1/2pp3p/2Pb4/BP1P1Q2/P3R1PP/7K w - h6,g2g3
r2r4/pp1bq1kp/5pp1/Q2pp3/2P5/1P4P1/P2NPP1P/3R1RK1 b - -,d7c6
1nr5/2q2pk1/p1r1pbpp/8/Pp6/1N1BP1P1/1P1Q1P1P/2RR2K1 w - -,c1c6
rnbq1rk1/pp2p1b1/2p5/3n1pNQ/2BP4/2P5/PP1N1PPP/R3K2R b KQ -,f8f6
8/8/8/3B2k1/3n1pp1/6K1/8/8 w - -,g3f2
5r2/8/Q7/8/1p6/1kq4P/4R1PK/8 b - -,c3c7
r2q1rk1/1p2Nppp/p1np1nb1/4p3/3PP1P1/5N1P/PP3P2/R1BQRBK1 b - -,d8e7
7k/6b1/R1p4p/Pp2n3/8/2P4P/1P4PN/6K1 b - -,e5c4
2k1Nb1r/2q2p2/pr6/2pP3p/Q7/2P2P2/P4P1P/1R5K w - -,e8c7
r1br2k1/p1qnbppp/1p2pn2/2p5/3P4/BP1BPN2/P1QN1PPP/2R2RK1 b - -,c7b8
r3k1nr/p4ppp/2p5/8/P2pQ3/8/1P1q1PPP/R4RK1 b kq -,g8e7
8/p2r3p/7K/6P1/8/2k5/R7/8 w - -,a2a1
r1bqk1nr/ppp2ppp/3p4/8/3b4/1PN1P3/P1P2PPP/R2QKB1R w KQkq -,d1d4
5k2/6RR/8/8/b2r1p1p/r4P1P/6P1/5NK1 w - -,g7f7:g7a7
r4b1r/1pq1pkpp/p4p2/1BPPnb2/3Qp3/8/PP1BNPPP/2R1K2R w K -,b5c4
R7/5r2/1k1b2pB/2p5/2Pp2P1/1P1K4/2P5/8 b - -,f7e7
r1bq1rk1/4bppp/p2p1n2/n1p1p3/Pp2P3/3P1N1P/BPPN1PP1/R1BQR1K1 b - -,c8d7
