8/8/k3p3/P1r5/4K3/5P2/8/R7 w - -,f3f4
r1bq1rk1/1p2bppp/p2ppn2/8/2BQPP2/P1N5/1PP3PP/R1B2R1K b - -,b7b5
r7/pN1rb1k1/2p1pp2/7p/R2P3P/1P2B3/1P3P2/2R3K1 b - -,d7b7
r1bq1rk1/pp2ppbp/2n2np1/3p4/2Pp4/1PN1PN2/PB2BPPP/R2Q1RK1 w - -,f3d4
r3nrk1/1p2qppp/p2p3b/3N4/4P1Q1/P5B1/1PP3PP/3R1R1K b - -,e7g5
8/1r6/4rkp1/pR2p1p1/8/6P1/P4P1P/6K1 w - -,b5b7
6R1/1k4P1/1P4K1/8/8/8/8/5r2 b - -,f1g1
2kr3r/p1ppqppp/b1p1n3/2b1P3/2P5/1PN1Q1PB/PB3P1P/R2K3R w - -,e3e2
r7/p7/3k1p2/4pb2/6rR/3R4/P4BP1/6K1 b - -,d6e6
3r2k1/pb2qp2/1p2p2p/4Pp2/1PQ1nP2/P4N2/5PBP/2R3K1 b - -,d8c8
8/8/N1k5/1n1ppp2/NP6/3n1KP1/8/8 w - f6,f3e3
8/p6p/2p5/4k1P1/1P3nKP/8/P7/8 b - b3,e5e4
3r1rk1/1bnq2pp/5p2/pp1p4/2pP1PP1/PnN1PB2/1P3NQP/3RR1K1 b - -,b5b4
3r2k1/8/pp3pBp/3n3n/2pP1p2/P1P2P2/3BR1PP/6K1 b - -,h5g7
3r2k1/1q2bpp1/p3p2p/P2r4/1p6/1Q2P3/1P3PPP/R2RB1K1 w - -,g2g3
1r1qr1k1/3b1p2/p5p1/2pPpP2/Np1b2p1/4N3/1P4K1/R1BQ1R2 b - -,d7f5
1q4k1/1r2bppp/p1bpp3/P1n5/2P1PB2/5P2/R2QB1PP/3N3K b - -,h7h6
3r1b2/6pp/4k3/p1prP2P/1p3PR1/1P2P3/PBR1K3/8 b - -,a5a4
3r2k1/pp3p2/2n1p2p/2b1P3/2p2q2/1PP2N1P/P3Q1B1/5N1K b - -,b7b5
2r2rk1/1Q2bppp/R4n2/3p1P2/3Np3/7B/1Pq3PP/R5K1 b - -,e7c5
r3rbk1/ppp2ppp/2n1b3/3q4/3P4/1P2PPP1/P5BP/R1BQNRK1 b - d3,a8d8
r7/p4rnk/3p3q/1PpPp1pn/P1N1PpQ1/3B1P2/1R5P/6RK w - -,b2g2
r7/1p2ppk1/1pbp1bp1/2p5/3P2P1/P1P1PPB1/1P2B1K1/3R4 b - -,b6b5
r2q1rk1/1bpnnpb1/1p1p2pp/p3p3/3PP3/2P2NP1/PP2QPBP/R1B1RNK1 w - -,d4e5
5k2/5p2/4n3/3BPp2/p7/3n3P/PP6/5NK1 w - -,f1e3
r1q1r1k1/1pp2pb1/3p3p/p1nPp1p1/2P1P3/2Nn2B1/PP2RPPP/R2Q1NK1 b - -,f7f5
r3k1nr/3q1b1p/ppn1pp2/3p2P1/B2P3p/4PN2/PP1N1P2/R2QK2R b KQkq -,b6b5
2b1nrk1/1pp1bppp/r7/p3p3/Q5Pq/P1NP1B1P/1P1BPP2/2R1K2R b K -,e7g5
1r4k1/5pp1/p1q5/3p3p/1Bp5/1P4P1/PNP2P1P/4Q1K1 w - h6,h2h4
r1b1r1k1/pp1n1ppp/2p1pn2/3p4/2PP4/1PN1PN1P/P3BPP1/R1R3K1 b - -,h7h6
r4rk1/pp2pp1p/2nnb1p1/q7/2P5/3NP1P1/PQ1N1PBP/R1R3K1 b - -,a8b8
3R4/2B3kp/4b3/pp3p2/2n5/2P3K1/P7/8 w - -,d8b8
3r1rk1/1p4p1/p1n1b2p/3Np3/P1P1Pp2/1P2Q2P/1q1N1PP1/4RBK1 w - -,e3e2
2r1r2k/2P3p1/p2Qb1qp/3N4/4P3/2R2PP1/2B5/6K1 b - -,g6g5
8/1n1rkp2/4p1p1/R6p/1P2P3/1K3PPP/3N4/8 w - -,a5a2
2b2r2/r5bk/pp1p1qnp/3B1p2/P3PPn1/R4NN1/1P4P1/2BQR1K1 w - -,e4f5
6k1/7p/3N4/p1P1R3/1p1nB3/1b6/6KP/2r5 w - -,e5e7
8/5pkp/6p1/2PQ4/4p3/p3P1P1/P3qPKP/8 w - -,c5c6
8/1R2bpk1/6p1/7p/7P/3pB1P1/4rPK1/8 b - -,d3d2
4br2/1p2r1kp/p1p5/3pPp2/1P2n3/P1P1RNP1/6BP/5RK1 b - -,e8h5
rnbq1rk1/pp1pppbp/5np1/2p5/3P4/4PN2/PPPNBPPP/R1BQ1RK1 b - -,b7b6:d7d6
8/p2p3p/4k3/1pP2b2/3BnR1P/1P6/r7/5K2 w - -,f1e1
r4k2/pp3p1p/4b1p1/1B3n2/8/2N2P2/PP1R1KPP/8 b - -,f8e7
r5k1/4p2p/q2n1pp1/2QP2B1/P1p1P3/3r1P2/5RPP/2R3K1 w - -,g5f4
r1bqn1k1/pppp1ppp/5b2/8/3P1B2/2P5/PP3PPP/RN2QBK1 b - -,d7d5
6R1/8/8/8/6p1/3k1p2/5P1K/2r5 w - -,g8g4
1q1r1rk1/p3bpp1/1pn1p2p/1Np5/P1P1PQ2/5NP1/1P3PP1/3R1RK1 b - -,a7a6
r2q1rk1/1p1n1pp1/p3p2p/P2pP3/3P2Pb/1N1Q4/1P1B1P1P/R4RK1 b - -,f7f5
r1bqk2r/pp2ppbp/2np1np1/2p5/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 b kq -,e8g8
r4rk1/p4ppp/R2ppn2/8/1qPQ4/6P1/2b1PPBP/R3N1K1 b - -,c2b1
4r3/p3r1k1/1p4pp/1Pp1P3/2Pb4/5qBP/P3R1K1/4R3 w - -,g2f3
2kr2nr/pp1bb1pp/1q2p3/2ppP3/8/P1P5/1P2BPPP/R1BQK1NR w KQ -,b2b4
2R5/3r1p2/3P4/5p2/8/P2k4/8/2K5 w - -,c8c6
8/pp4R1/5n2/3bk3/3p2p1/1P1B2P1/P3K3/8 w - -,g7g5
3rkb1r/pp1n2pp/4p3/3p4/N5n1/8/PP1PPPBP/R1B1K2R w KQk -,g2h3
r2q1rk1/p4pp1/1b3n1p/2pp4/6b1/2P1B3/PPB1NPPP/R2Q1RK1 w - -,f2f3
r2q1rk1/1ppb1nbp/p1np1pp1/4p3/B2PPP2/2P1B2P/PP4PN/RN1Q1RK1 b - f3,f6f5
8/2p5/6q1/1k1p4/3P3p/7P/8/2Q3K1 w - -,g1h1
r4rk1/pp1nbppp/2pp1n2/q7/3BPP2/2NB1Q1P/PPP3P1/4RRK1 b - -,f8e8
2rq1rk1/1b3pp1/pp1bpn1p/8/3P4/2N3BP/PPQ1BPP1/3R1RK1 w - -,g3e5
r3kb1r/pp1n1ppp/2p1pn2/5b2/3P4/N4NB1/PP2BPPP/3RR1K1 b kq -,f8b4
3rr3/3q1kb1/ppb1n1p1/3pPp2/3P1P2/1BN1BRQ1/PP4PP/5RK1 b - -,b6b5
5rk1/pp2r1p1/4b2p/1Bp2pq1/4p3/1PP1P3/P1Q2PPP/R2R2K1 w - -,c2d2
8/r2n3k/3q2p1/PRp1p3/2PbB2p/6PP/3BQ2K/8 b - -,h4g3
r3k2r/pb2q1pp/1pnbPp2/2p2R2/3pB3/3P2P1/PPP1Q2P/RNB3K1 w kq -,b1a3
r1b2rk1/2q2pbp/2p3p1/pp2p3/4Pn2/PBN1B2P/1PPQ1PP1/3R1RK1 b - -,c8a6
r3k2r/1p3ppp/p1nqpn2/3p4/3P4/2NNPP2/PP4PP/2RQ1RK1 b kq -,e8g8
r1b1r1k1/pp1n1ppp/2n1p3/3pP3/2p2P2/2P1P1B1/PqBN2PP/R2Q1RK1 w - -,d2f3
r7/1p3pkp/2pR1np1/p1q1r3/8/2Q1P1P1/PP3PBP/3R2K1 w - -,c3b3
2r1r3/1pqnp1k1/p2p1p1p/3P1Pn1/5NP1/8/PPPQ2B1/2KR3R b - -,e8h8
r2q1rk1/pbpnbppp/1p2pn2/3p4/2PP4/P4NP1/1P1NPPBP/R1BQ1RK1 w - -,b2b4
3rr1k1/2nn1pb1/1q4pp/1p2p3/p2PN3/P1P2NBP/Q4PPK/3RR3 b - -,e5d4
8/3K1k2/5p2/6p1/4P1P1/2bN1P2/8/8 b - -,c3d4
3r2r1/1p1n1pkp/1qp3p1/p1b1p3/4P3/1PP3PP/P3QPB1/1RB2RK1 w - -,a2a3
r1b2rk1/1p4pp/p3p3/4Q3/4p3/P7/1P1qN1PP/R3R1K1 b - -,d2d5
r1k3r1/p1p1b2p/1p1q1p1B/3pnP1N/7Q/2P5/PP4PP/4RR1K w - -,h6g7
r4rk1/ppp1qppp/2n1b3/4P3/2P2B2/1PN5/5PPP/R2Q1RK1 b - -,c6b4
7Q/p3kq2/6pB/2p5/4p2P/P3P3/7K/3q4 w - -,h6g5
r3r1k1/1p3pbp/p2p2p1/2nP4/P2qBP2/2N2Q1P/1P1B1RP1/R5K1 b - -,c5e4
r4rk1/4bppp/pq2pn2/1p1pN3/3P4/1P6/PBP1QPPP/R2R2K1 w - -,d1d3
r1b2rk1/p1qn1ppp/1p1ppn2/2p5/2PPP3/2PQ1N2/P3BPPP/R1B2RK1 w - -,d4d5
r1b1rbk1/1p3pp1/1qpp2np/p1n5/P2NPP2/2N3BP/BPP3PK/R2QR3 b - -,b6b2
r1bq1rk1/1ppn1pb1/p2p1npp/4p3/3PP3/1BP2N2/PP3PPP/R1BQRNK1 w - -,f1g3
4r1k1/1p3p2/2q3p1/3R3p/2P3pP/1p4P1/P2Q1P2/6K1 w - -,a2b3
r1b1k2r/1p3pbp/p1n3p1/4p1B1/3P3P/4PN2/P3BPP1/1R2K2R w Kkq e6,d4d5
7r/5P2/b3p1Bp/2kp4/1pp2P2/4P3/1K6/8 w - -,e3e4
r7/2r2ppp/3k4/1R6/8/5P2/2p1N1PP/2R3K1 w - -,b5b2
r2q1rk1/1bpp2pp/1p6/pNRP1p2/5B2/6P1/Pb2PPBP/3Q1RK1 b - -,b6c5
r2r2k1/1p1nqpp1/2pb1n2/p3pQB1/P1B1P3/7P/NP3P2/R2R2K1 b - -,d7c5
r3k2r/pbqnbp1p/1pp1p3/5p2/3P4/P1N3P1/1PPQNPBP/2KR3R w kq -,h1e1
r2qr1k1/pb1nbppp/1p1p1n2/2pp4/2P5/2N2NP1/PPQ1PPBP/1RBR2K1 w - -,f3h4
r3k2r/1p1n1ppp/pqnbp3/3p1bB1/3P4/1Q2PN2/PP1NBPPP/2R2RK1 b kq -,h7h6
2krb2r/p2n1pRp/2p5/qp2pP2/4P3/2PBB3/P1P4P/1K1RQ3 w - -,c3c4
1k1r2r1/ppR5/1n6/3p3B/3PbPP1/1P6/P4K2/2R5 b - -,e4g6
8/Pq6/7k/8/8/6QK/8/8 w - -,g3e3
r4rk1/1b2bppp/pqn1p1n1/1p2P3/3pB2P/1N1P1N2/PP2QPP1/R1B2RK1 b - h3,f8d8
r2qr1k1/pp4bp/2pp2p1/4pn1n/1PP5/2NPB1PP/P4PB1/1R1Q1RK1 w - -,g3g4
N4rk1/p4ppp/2n5/3p4/1pq5/2p1BPP1/2R1QK1P/7R b - -,f8a8
1r3k1r/Rb2bp2/1q2p1p1/1p1pPnBp/1PpP3P/2P2NPB/3Q1P1K/R7 b - -,f8e8
8/8/7p/6p1/4pk2/1r5P/R4KP1/8 w - g6,a2a6
r3r1k1/1pqnbppp/2p1pn2/p2pN2b/2P5/PP1P1NP1/1B2PPBP/R2Q1RK1 w - -,h2h3
8/1p6/1R6/p1P3k1/1PN1p3/1K1n4/P7/2r5 w - -,c4a5
8/6rk/6p1/p2Q3p/1p1P1P2/3q3P/P5P1/4R2K w - -,d5a5
8/8/3k4/1P3p1R/6p1/2K3P1/5r1P/8 w - -,c3b4
r1b2rk1/2p1bppp/p1n2n2/1p1qP3/8/2P2N2/PPB1QPPP/RNB1K2R b KQ -,f6d7
r1b1k2r/1pq1bppp/p1nppn2/8/4PPP1/1NNB4/PPPBQ2P/R3K2R b KQkq -,b7b5
8/6p1/8/pB3P1p/P4b1k/3R3P/7r/5K2 w - -,b5d7
2k5/1p1r1p2/p3p1p1/2P4p/1Pr4P/6PK/P1P1R3/5R2 b - -,c4b4
r1bq1rk1/4bppp/2p2n2/p1n1p3/Pp2P3/1B2B2P/1PPNNPP1/R2QK2R w KQ -,e3c5
8/p3k3/bp2ppp1/3p4/Pb1P1P2/1Pr3P1/2P2K1P/2R1N1N1 b - -,c3c8
r4rk1/pp1Pnppp/3Q4/qBn5/1b6/2N5/PPP2PPP/R1B1K2R w KQ -,e1g1
8/6p1/7p/8/8/2n2B2/pK3kPP/8 w - -,b2a1
3r4/7p/2N2pp1/4p3/1bk5/3rB3/1K3PPP/2R5 b - -,d3c3
8/p3rkpp/2B5/2n5/2P2P2/6PP/P4K2/1R6 w - -,f2f3
r1b2rk1/pp4pp/8/5q2/4Q3/1P1B4/P4PPP/R4RK1 w - -,a1c1
r3k1r1/p2qbp2/2ppn2Q/1p5p/2NP2pP/2P3B1/PP3PP1/2K1R2R w - -,c4e3
6k1/5pp1/p2p2np/Pq1Pb3/8/8/1P4PP/3RQ2K w - -,b2b4
rnbqkb1r/4pp1p/3p1np1/p2P4/1pP1P3/5N2/1PQ2PPP/RNB1KB1R w KQkq -,h2h3
2rq1rk1/pb2bpp1/1p2pn1p/4N3/1n1P3B/2N5/PP1Q1PPP/2RR1BK1 b - -,b4d5
8/R3bpk1/4rnp1/1p5p/1P3P2/2P2BP1/6NP/1K6 w - -,h2h3
1r4k1/5p2/4p1pp/4P3/p2N4/b1R5/5PPP/5K2 b - -,a3b2
r1bqr1k1/ppp1ppbp/1nn3p1/8/3P4/2N1PNP1/PP3PBP/R1BQR1K1 b - -,a7a5
r1bq1r2/1pn2pbk/p2p1npp/2pPp3/P1P1P1P1/2NBBN1P/1P1Q1P2/R3K2R b KQ g3,f8h8
1rr3k1/1p1nqpnp/p2p2p1/3Pp3/1P2P3/3Q2NP/P2N1PP1/2R2RK1 w - -,c1c2
r1br2k1/p3bp1p/2p2np1/q3p3/1PP5/P1N1B3/2Q1BPPP/R4RK1 b - b3,a5c7
2rqrn2/1p3kb1/p2p2pp/3PP3/P2p1P2/2NQ4/1P4PP/4RRK1 w - -,c3e4
5rk1/7p/p2qn3/1p3p2/3b2p1/3N1QP1/PPrBPP1P/1R1R2K1 w - -,f3g2
1r3rk1/2pn1pp1/p3b2p/P6R/1pN5/1B4PP/1PP3P1/4R1K1 b - -,f8e8
5rk1/2p2ppp/2bp4/6Q1/5P2/2N4q/1PP2K1P/4R3 w - -,e1e3
r1bq1rk1/1p2ppbp/1n1p2p1/p7/PnPP1P2/1PN1B3/6PP/2RQKBNR w K -,f1e2
2kr3r/pp1bq2p/2n1pp2/2p5/2P1N3/6PP/PP3PB1/R2Q1RK1 w - -,d1d6
2n5/2k1r3/2b4p/1pp4B/8/2N5/5K1P/R7 w - -,a1c1
r1b2rk1/4ppbp/p5p1/3Q4/1q4P1/4B2P/PPP2PB1/R3K2R w KQ -,c2c3
2q4k/p3r1pp/8/2p1rP2/5QP1/2N5/PP2p1KP/3R4 w - -,d1e1
r4rk1/1bq1bpp1/p1n1pn1p/1p6/2p1P3/2P1N1PN/PPQ2PBP/R1B2RK1 w - -,c2e2
1rb3kr/p1b1qpp1/2p5/2Pp2Pp/1p1B1P2/1P1BP1P1/PQ3K2/R6R b - -,e7f8
5b2/4k3/1p1r1p1p/p4R1K/P1B5/1P2P1P1/5P1P/8 b - -,d6d2
6k1/3b1ppp/1p2p3/4P3/nPPN4/6P1/5KBP/8 b - -,g8f8
6k1/p2b1qb1/1p2p1p1/2p1P1PP/P3P1Q1/1PB1K3/4B3/8 b - -,g6h5
3rkb1r/p2q2p1/1pn1b2p/2pp4/Q2Pp3/4BNPP/PP2PPBK/R2R4 w k -,f3h4
r1b1kbnr/pp4p1/2n1pq1p/3p4/3P4/3B1N2/PP2NPPP/R1BQ1RK1 b kq -,f8d6
8/8/2B2k1p/8/6K1/Pr4Pp/1P5P/8 w - -,g4h3
r5k1/1b3qpp/1pN2p2/3np3/8/PQ2P3/5PPP/2B1R1K1 w - -,b3d5
r3k2r/pp3ppp/3q1n2/3pn3/6P1/2PQ1N1P/PP1N1P2/R3K2R w KQkq -,d3b5
8/1p2rp1k/p1pq2pp/P2b4/1P6/2Q5/5RP1/6K1 b - -,d6e5
rnQ1kb1r/pp3pp1/5q1p/3p4/3P4/8/PP2PPPP/R3KBNR b KQkq -,f6d8
8/6p1/8/7P/1NB5/p1P1p3/5k2/3K3r w - -,d1c2
r4rk1/4bpp1/1q1pb1P1/2n1p3/pp2P3/3B4/PPPQN2P/1KN3RR b - -,e7f6
r1bqrbk1/1p1n1ppp/2pp4/p7/2P1P3/1PN1B1PP/1PQ2PB1/R2R2K1 b - -,d8c7
2k5/1p1r1p2/p2Bp1n1/4P1Q1/b1p2PP1/P6q/4NK2/2R5 b - -,a4b5
6k1/5R1p/3N1np1/3Pp3/4P3/4Q2P/r1q2PP1/6K1 w - -,f7f6
6k1/4ppb1/3p2p1/2pP3p/2P1P3/3nB1PP/2R2PBK/1r6 w - -,c2d2
1r3rk1/1q1nbppp/4pn2/1ppp1P2/8/1P1PPNP1/1BPQ2BP/R4RK1 b - -,e6f5
8/2p5/1p2k3/1P2n1pp/2P2p1P/3P4/4KBP1/8 b - h3,g5g4
7k/1ppq1bpp/1p1n4/3Pp3/3N1Q2/2N4P/PP4P1/6K1 w - -,f4e5
3r2k1/1p2qp1p/2rNp1p1/p1n1P3/P7/4Q3/1P3PPP/2R1R1K1 b - -,b7b6
2r1k1nr/1p1bbp2/p2p3p/4p1p1/P3P3/1PqB4/2P1QPPP/1RB1NRK1 b k -,g8f6
5rk1/6r1/p2p1nq1/2pPp1bp/2P1P1b1/P2N1BN1/2R1Q1PP/R6K b - -,g5h4
rnb1k2r/1pqp1ppp/p3pn2/2b5/2P5/2NBPN2/PPQ2PPP/R1B1K2R w KQkq -,a2a3
8/1p6/4ppk1/8/6P1/5PR1/1r2r1P1/4R1K1 w - -,e1f1
2r1kbnr/6pp/pq2bp2/1p1p4/3Pp3/1PN1P3/1BP2PPP/R2QNRK1 b k -,f8d6
2rq3r/5k2/3p2p1/p1nPp1b1/PpN1BpP1/1P3R2/2P1Q1RP/7K b - -,f7g7
r2q1rk1/pb1nbppp/1p1ppn2/2p5/2PP4/1PN1PNP1/PB3PBP/R2Q1RK1 b - d3,c5d4:f6e4:a8b8:a7a6
r1bqkb1r/p2p1ppp/2p1pn2/8/2P1P3/3B4/PP3PPP/RNBQK2R b KQkq -,e6e5:f8c5:d7d5
3r4/p5kp/1p3rp1/3B4/3qP3/PQ3RP1/4K2P/8 b - -,f6f3
6k1/pp1rrp2/n5pp/6q1/PP1N2P1/4PR2/5QP1/5RK1 w - -,f2g3
r3rnk1/ppq2p2/2p3p1/P1B1b1Pp/5NbP/1P6/2P2QB1/4RRK1 w - -,e1e5
4k2r/2R2pb1/p3p1p1/1p1r2Pp/3P4/4B2P/PP3P2/3R2K1 w k -,d1c1
r4rk1/bppq1pp1/p1np1n1p/4pb2/1PP5/P1NPPNP1/1B3PBP/2RQ1RK1 b - -,f5h3
r1q1r1k1/p2b1pbp/1pn3p1/2pnp3/2P1P3/1P3NPP/PB1Q1PBK/3RR3 w - -,c4d5
rnbk1bnr/pp4pp/2p2p2/4p3/2B1P3/2N1B3/PPP2PPP/R3K1NR b KQ -,d8c7
r1b1k1nr/pp3pbp/4p1p1/2pq4/3P4/2P2N2/PP3PPP/RNBQR1K1 w kq -,d4c5
4k3/4ppbp/3p2p1/1K6/Np2P3/1P3P2/P5PP/8 w - -,b5b4
r1bqr1k1/ppp2pbp/3p1np1/3Pp3/2PnP3/2N3P1/PP2NPBP/R1BQ1RK1 w - -,c1e3
r4k2/1p1n1ppp/2p5/p1Pp4/4r3/PP2P3/1N3PPP/2RR2K1 w - -,b2a4
1r2r3/4p1k1/3p1pP1/p5Bq/2pQP1bP/2P5/PP6/1K4RR b - -,g4e2
3q2k1/6p1/p3pnnp/Pp2p3/1Pp1P3/2P2NNP/2Q2PP1/6K1 w - -,c2d2
r1b2rk1/pppn2pp/2nb1q2/3pp3/3P4/1NPB1N2/PP3PPP/R1BQ1RK1 w - -,d4e5
1r3rk1/p4p2/2p1bNp1/2PpR2p/P7/3R2QP/5PPK/1q6 b - -,g8h8
3R4/pb5p/1p3k2/P1n5/8/4r3/2B3PP/1R4K1 b - -,e3e2
r2q4/ppp3k1/2n3p1/4p1b1/2P1P1B1/4N3/PP1Q1P2/1K5R w - -,d2d8
r1r4k/ppp3b1/3p1nqp/3Pp1p1/1PP1N3/4QPBP/P5P1/R4RK1 w - -,a1c1
2rr2k1/pp3ppp/1n6/3p4/3P4/5B2/PP3PPP/R1R3K1 w - -,b2b3
r2rkn2/p4p2/1p2p1p1/P1p1P2p/q2P1PP1/2PQN2R/7P/3R2K1 b - -,c5d4
8/8/8/3K1p2/8/7k/4r3/6R1 w - -,g1f1
3qr1k1/p2npp1p/1p4p1/1B1b4/P2P1b2/BP3N1P/2r2PP1/3QR1K1 w - -,d1c2
r7/4k3/2p2p1p/4p3/Pr2P3/2p1N2P/5PP1/R3K3 b - -,b4a4
4k3/1b1n4/p5p1/8/r3B3/3NN3/5KPP/2R5 b - -,b7e4
r1bq1rk1/ppp3bp/2n3p1/3Qpp2/2P5/1PB2NP1/P3PPBP/2R1K2R b K -,g8h8
6k1/1p5p/p1p1p3/2PpP3/PP1P4/6N1/2b5/4K3 w - -,a4a5
2r1kr2/p6p/3Q4/5P2/4p3/P2bP3/1B5P/7K w - -,f5f6
r1bq1rk1/3nbppp/2p1pn2/pp6/2BPPB2/2N2N2/PPQ2PPP/2KR3R w - b6,c4d3
5k2/5ppp/2p5/pp6/3K1P1P/1R4P1/1Pr5/8 b - h3,a5a4
8/1p6/P7/1P5p/3Nkp1P/2n3p1/4K1P1/8 w - -,e2e1
r2q1rk1/3pb2p/1p2pP2/2n5/p1PNbp2/P1Q5/1P2BPPP/3R1RK1 w - -,f6e7
r1bq1r2/ppp2pk1/3p1pnp/1B2p2Q/4P2N/2PP4/P1P2PPP/R4RK1 w - -,h4f5
rnb2rk1/pp2ppbp/6p1/q1PpB3/2P5/2P1PN2/P4PPP/2RQKB1R b K -,g7e5
r1bqk2r/p2pbppp/1pn1pn2/8/2PN4/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,c8b7
8/1r3p1k/1p1Rp3/p1p1P1PK/P1P5/1P6/8/8 b - -,h7g7
r3k2r/5ppp/2pb4/q2p4/P1nP4/2N5/2Q1BPPP/R3K2R b KQkq -,d6b4
2r1q1k1/2P3p1/7p/p4Q2/Pb1P1N2/6P1/6KP/2R5 w - -,f4e6
4R3/2R3pk/p2p4/3b1rq1/7p/1P1P3Q/P5PP/6K1 w - -,g2g3
