8/8/8/4k1p1/3p4/3B1PPP/r7/5K2 b - -,a2d2
4r1k1/6pp/p3b1q1/3NQ1b1/4P3/2P1Np2/PP3PPP/R5K1 b - -,e6d5
rnbqkbnr/pp2pppp/2p5/8/Q1p5/5N2/PP1PPPPP/RNB1KB1R w KQkq -,a4c4
8/3k2pp/1p6/p1p1P2r/5K2/P6P/1PR3P1/8 w - -,c2d2
r4rk1/3b2pp/4p3/p2p3P/2pP2P1/2P1RP2/P1B3R1/2K5 b - -,a8b8
3q1rk1/1p1nb2p/r2pbpp1/p1p5/P1P1PB2/1P1Q1N2/2B2PPP/3R1RK1 w - -,d3e3
r3kb1r/1pqb1ppp/p2pp3/4n3/P2QP2B/2N2N2/1PP2PPP/R2R2K1 b kq -,a8c8
8/1k6/4p1p1/1PBp2Pp/2pP1P1b/5K2/8/8 w - -,c5b4
r3k2r/pp1qp1bp/3p2pn/5p2/3pPP2/3P3P/PPP1N1P1/R1B1QRK1 b kq -,a8c8
6k1/5pp1/p4r2/6R1/2P2P2/R5P1/1r4KP/8 w - -,g2g1
2r1brk1/1n6/p2pR2p/PppP1p2/1P4q1/1BP2Q2/3B1PP1/R5K1 b - -,g4f3
r1b1k2r/ppp4p/4ppp1/n7/3P2N1/6P1/PP2PPBP/R4RK1 b kq -,h8f8
2r3k1/8/7p/3p3P/3B4/1P4q1/P4P2/6K1 w - -,f2g3
1nbqr1k1/r2p1ppp/2p2n2/p1b1p3/Pp2P3/3P2PP/1PPNNPB1/R1BQ1RK1 w - -,g1h2
8/1p3kpp/p1p2p2/7P/1P1N1PP1/P4K2/1n6/8 b - -,b2c4
5k2/p4ppp/1p2pn2/4B3/P3PPP1/5BKP/2rn4/3R4 w - -,e5d6
8/2p5/1k4p1/2p4p/1P1n3R/3b3P/P4KP1/8 w - -,h4f4
2qr3k/p2r2pn/1p1P1p1p/2b1pP2/2N4P/PP1R4/1BP1Q1P1/3R3K w - -,a3a4
r1b2rk1/1p3pp1/2p2np1/p6q/P2Bp3/1BPP4/2P3PP/R3QRK1 w - -,d3e4
r4bk1/1p1q1r1p/1n1ppnp1/p4p2/P1PP4/1PNQBB2/5PPP/2R1R1K1 w - -,d4d5
6k1/3p2p1/1p1R4/4p1q1/1P3r2/8/4QPPP/6K1 b - -,f4b4
8/8/2k5/5RKP/2Pr4/8/8/8 b - -,d4c4
r1bq1rk1/pp2pp1p/2n3p1/3pN2n/3P4/1QNBP3/PP3PPP/R3K2R b KQ -,c6e5
r1bq1rk1/4ppbp/n2p2p1/2pP4/4P1n1/2N1B3/PP1N1PPP/R2QKB1R w KQ -,e3f4
R7/2p3k1/p1n3b1/1pb3p1/6P1/1BP2NP1/PP2r3/2K4R b - -,e2f2
r2q1r2/1p2pp1k/p2pb3/4b1Qp/7P/2N2P2/PPP5/1K1R1B1R b - -,e5g7
r1bqkb1r/1p2pppp/p1np1n2/8/3PP3/2N2N1P/PP3PP1/R1BQKB1R b KQkq -,g7g6
8/8/pp2p3/1nBpP3/2pP1k2/P1P5/2PK4/8 w - -,c5b6
8/1b3p2/8/1pB1K3/1P4pk/2PR4/8/5r2 b - -,g4g3
r1bqkbnr/pp3ppp/2n1p3/2pp4/5P2/5NP1/PPPPP1BP/RNBQK2R w KQkq -,d2d3
r1q2rk1/1p3pb1/3pp1p1/p1p4p/2PnPNnP/PP1P2P1/1B3PKN/1R1Q1R2 b - -,g4e5
3r4/1p2qpbk/n1p3p1/2P1p2p/1Pb1P3/4P1P1/2Q3BP/1RNN2K1 w - -,d1b2
k4rr1/pp6/3qb2p/3p1ppP/3P1P2/1P1QN1P1/P5K1/2R4R w - g6,h5g6
1rb5/8/2pk2p1/P1Rp1p1p/3Pp2P/4P1P1/1K2BP2/8 w - -,b2a2
2R5/p2n1ppk/1p3np1/b2p4/3R4/4P3/PP3PPP/6K1 b - -,g6g5
8/1p2Rk2/p2q1n2/3p1P2/3P2pp/1P2P3/P4PB1/2Q3K1 b - -,d6e7
8/2pbr1pp/2kb1p2/ppp5/4PN2/P4PB1/1PP3PP/2KR4 w - -,f4e2
7r/3k4/2n1p3/1b3p2/3b2p1/P3p1P1/B1R3P1/4NNK1 w - -,f1h2
r4rk1/ppqn1pp1/2pbpn1p/3p1b2/2PP4/1P2PN2/PB1NBPPP/R1Q2RK1 w - -,c4c5
8/R4pkp/6p1/1p4P1/pr3P2/6KP/8/8 b - -,b4b3
2b5/1nq1k3/p2p1p2/2pPp1p1/2P1P1p1/1Q4P1/P2BBPKP/8 w - -,f2f3
8/8/5pp1/7p/R6P/5KP1/p4P1k/r7 w - -,f3e2
r3r1k1/1bqnppbp/p2p2p1/P2P4/2P5/1N1B1N1P/3n1PP1/1R1Q1RK1 w - -,d1d2
3rr1k1/1b2qpb1/npp1p1p1/4P2N/1PP1B3/4R3/1B2QPP1/4R1K1 b - -,e7b4
8/8/5nk1/4Rp2/5Kpp/8/8/8 b - -,f6h5
r7/8/pRp1krR1/P7/5BK1/4P3/6b1/8 w - -,g6g5
r4rk1/p1p1b1pp/2p3q1/4pb2/8/1N6/PPP1QPPP/R1B2RK1 w - -,f1e1
8/3K1p1p/1p1P2pk/8/1p2q3/2Q1P2P/8/8 w - -,c3f6
3r4/p1r2kpp/1p2pp2/3n4/3P1PP1/2PN3P/PP2R3/5RK1 b - -,a7a5
r5k1/6p1/5p1p/P1pnBP2/Rb6/7P/P4PPK/8 w - -,e5b2
r1bqk2r/pp3ppp/2n1pn2/4P1B1/Qbpp4/2N2N2/PP3PPP/2KR1B1R b kq -,c8d7
8/8/5R2/5p1p/3Pk3/3r2P1/5P2/5K2 w - -,f6e6
r2qk2r/pp1nbppp/4p3/3p2P1/3P3P/4BQ2/PPP2P2/2KR1B1R b kq -,d7b8
r5k1/2p2pp1/1p1b2b1/p1pP2qp/P7/1QB3PP/1P3P2/4RNK1 b - a3,a8d8
1br3k1/5qpp/p7/3p4/bPpBp3/P3P1P1/2R2P1P/1Q1R2K1 w - -,d4c3
3N4/2n1ppkp/6p1/8/p3P2P/1p2R3/5PPK/8 b - -,b3b2
8/6k1/6pp/p7/P4p2/1R5P/2BK2P1/6q1 b - -,g1g2
3k4/p2n1pp1/1p2p2p/8/1PP1b1P1/P1b1N3/4BPP1/2B3K1 w - -,e3d1
4r1k1/1Q3pp1/4r3/8/P6P/2P5/1P3P1P/6K1 b - -,e6e1
8/2n2Bp1/1p4P1/4k3/P1K4P/8/8/8 b - -,e5f4
r4rk1/p3bppp/2bppn2/4n2q/2PQP3/2N2NPP/P2B1PB1/1R2R1K1 w - -,f3h2
r1bq1rk1/2p1npbp/p2p2p1/1p1P4/4P3/1nN2N2/PP3PPP/R1BQR1K1 w - -,a2b3
2r1r1k1/pp2pp2/3p2pB/4P3/1n4q1/1NN5/PPP4Q/1K5R w - -,h6d2
r1bq1rk1/p2pbpp1/1pn1p2p/7n/2P4B/2N1PN2/PPQ1BPPP/R4RK1 w - -,h4e7
2rr2k1/1pp1q1pp/p1nbpn2/5p2/3P4/1P2PN1P/PB1NQPP1/2R1R1K1 b - -,d6b4
r1b2rk1/ppq1bppp/3ppn2/8/3BPP2/2N5/PPP1B1PP/R2Q1R1K b - -,e6e5
r2q1rk1/1p2b2p/2ppp1p1/P3p2n/1P2P3/2BP3P/4QPP1/R3RNK1 w - -,g2g3
6k1/5p2/6p1/4p3/2r1P2P/5P2/2bB2P1/1rRNK3 w - -,d1e3
rn1qk2r/1p2bpp1/p2pbn1p/4p3/P3P3/2NB1N2/1PP2PPP/R1BQ1RK1 w kq -,c1e3
3b4/4k2p/p5p1/3KP3/5P2/1n4P1/7P/3R4 w - -,d1b1
3rkb1r/1p2pp1p/p3b1p1/q3N3/4Q3/2N5/PPP2PPP/1R3RK1 w k -,f1e1
8/4nk2/6p1/4P2p/PR3P2/r5PK/7P/8 b - -,f7e6
r4rk1/1p2pp1p/p1qp1bp1/3N4/4PPP1/1P6/1PP1Q2P/2KRR3 b - g3,f8e8
8/5pk1/rrpbpnp1/p2q3p/P1RP1P1P/1P3QP1/2B3K1/2R3B1 b - -,g7f8
2kr3r/1p2bp1p/pq1p3B/3P3p/3pP3/8/PP3PPP/R2Q1RK1 w - -,h6g7
8/1p2b3/1nk1p3/3pPp2/pP1P1Pp1/P1N3P1/2K5/2B5 b - -,e7d8
3r4/1p1r1kp1/p1p2b2/7p/2PPR3/1P1KB3/1P4PP/5R2 b - -,f7g6
8/5k2/3p1pp1/p1b1p2p/1q2P2P/1P4P1/2Q2PK1/4N3 w - -,e1f3
2r1kb1r/4nppp/p1p1pq2/3p4/3P4/2N2PB1/PPP2P1P/R2QR1K1 w k -,d1d3
2r3k1/1b4p1/3b3p/p2pNp2/Pp1B1P2/1P1P1PK1/2r4R/7R b - -,c2h2
r2q1rk1/pp1nbbpp/2p5/3p2P1/3P2B1/1N6/PPPBQ2P/R4RK1 w - -,f1f7
r3b1k1/5pp1/2p4p/3pb3/P2q4/1Q4P1/R4P1P/1R3BK1 b - -,a8a7
rn2kb1r/1pq2ppp/p1p1pn2/3pN2b/2PP2P1/1Q2P2P/PP1N1P2/R1B1KB1R b KQkq g3,h5g6
r1bqkbnr/pppnpp1p/3p2p1/6B1/3P4/2P2N2/PP2PPPP/RN1QKB1R b KQkq -,f7f6
5rk1/pPp1P1b1/2Pp2p1/6pq/4pP2/B3Q3/P5K1/3R4 b - -,h5g4
3r1rk1/1ppb1pp1/pn5q/8/PP2P3/1QN3P1/5PBP/3R1RK1 w - -,a4a5
r3r3/1pkn2pp/2p1np2/p3p3/2P2P2/1PN1P1P1/P5BP/3R1RK1 w - -,g2e4
2Q3k1/5p1p/p5p1/qb1Pp3/4P1B1/7P/5PPK/8 b - -,g8g7
5b2/2q3k1/pp1pQ1p1/2pP2p1/b1P5/2P2P2/5K2/7R w - -,e6h3
8/8/1kp1p3/3pPq2/1b1P2pr/pP1R1P2/P4QBr/3R1K2 b - -,g4f3
8/2Q2pp1/2p2k1p/2Pq4/8/4PPKP/6P1/8 w - -,c7f4
6k1/8/2P5/p7/2r5/4bN2/P5p1/1K2R3 b - -,e3b6
8/6R1/4k2K/8/2P3Pp/7r/8/8 b - -,h3c3
2r3k1/5pp1/pq2p3/1pBpP1p1/6R1/2P2P1P/PP2Q1P1/6K1 b - -,b6c5
3bk3/5p2/ppp4r/2p1P1p1/2P3P1/3R1PB1/PP4K1/8 w - -,f3f4
4bnk1/3q1pp1/2p1r2p/4pN2/1P2P1PP/2B2P2/3Q3K/R7 w - -,d2e2
8/7p/pN2kp2/n1P5/4p1PP/1pK5/5P2/8 w - -,c3b2
2r3k1/1bPq1pp1/1p2pn1p/3p3P/pP1P1BP1/P1Q5/4BP2/2R3K1 b - -,f6e4
r4rk1/1p1n1pp1/p1pqp1p1/8/3P1PP1/4Q2P/PPP3B1/R4RK1 b - -,a8d8
2r2b2/1p1kp2p/p5p1/P3P3/4RP2/1PB1P3/3K1P1P/8 b - -,d7e6
6k1/2r2p2/p2Np1p1/2Pnq2p/1PR4P/5QP1/5P2/6K1 w - h6,f3d1
2n3k1/1b2qppp/8/pBn1p3/PpN1P3/1P1r1PP1/1B2Q2P/2R3K1 b - -,d3b3
3r1r1k/2N3b1/1p1p3p/p1p1pqp1/2P4n/PP1PP1QP/1B3P2/2RR2K1 b - -,f5g6
r3r1k1/2pb1ppp/p1p5/4P3/1b1NN2q/1P3QP1/PBP2P1P/R5K1 b - -,h4h6
5rk1/5p1p/5rp1/1P1R4/5p2/2P2P2/6PP/R6K w - -,c3c4
r3r2k/3Bp2p/p5p1/1pPPb1B1/2n4P/8/R4PP1/1R4K1 b - -,e8d8
r1bq2k1/pp2prbp/2p1n1p1/3pP3/P2P2P1/1BN3BP/1PP3Q1/2KR3R w - -,h1f1
r1b2n1r/5k1p/2p3p1/1p2qp2/p1p5/P1N1PBPR/1PQ2PP1/2K4R b - -,c8d7
2r1k2r/p2nbppp/bp2P3/n2pP3/2qP4/P3BN2/1P2N1PP/RB1Q1RK1 b k -,f7e6
r3k2r/pp1bq1pp/2nb1p2/1B2p3/Q3P3/4BN2/PP3PPP/R2R2K1 w kq -,d1d2
1r6/6k1/5p2/2N4Q/2KP4/1P2qPp1/8/1R6 b - -,e3e2
r1b1q1k1/ppp5/3p1bpp/3P4/2Pp4/3N2P1/PP1Q1PBP/4R1K1 b - -,e8f7
6k1/1p3pp1/p1b5/8/5N2/4r3/PPP4P/2K2R2 b - -,e3e5
1rb1nrk1/1q1nppbp/p2p2p1/P1pP4/4P3/2N5/1P1NBPPP/R1BQ1RK1 w - -,d2c4
8/pp6/4Pk2/4n3/6B1/4bP2/PP4P1/1K5R b - -,b7b6
8/5p1p/5kp1/8/3KR3/5B2/5rPP/8 b - -,f2d2
2r3k1/1p3ppp/p1b5/3p4/P4B2/2P2P2/1P3KPP/R7 b - -,c6d7
r1bq1rk1/pp1nppbp/2p2np1/8/1PpP4/2N1PN2/P3BPPP/R1BQ1RK1 w - -,e2c4
1brqr1k1/p4pp1/1p2bn1p/n2pN3/3P2P1/PPN4P/1B3P2/2RQRBK1 b - -,c8c7
rn2kb1r/pp2qpp1/2pp1n1p/4p3/3PP1b1/1BN2N2/PPP1QPPP/R1B1K2R w KQkq -,d4e5
r4rk1/2q1bppp/bnn1p3/p1ppP3/5P2/2PP1NN1/1P2B1PP/R1BQR1K1 b - -,g7g6
8/2p1n3/1p4p1/2k5/P4PPP/3B4/5K2/8 b - -,c5d4
3k1r2/Q3p2p/1p1p2p1/4p3/8/3B4/3K3P/1R4q1 b - -,g1g2
6r1/4R3/P7/8/3kp1K1/8/8/8 w - -,g4f4
r5k1/pp3pp1/4p2p/3n4/3P4/P3BP1P/1P3P2/2R3K1 w - -,b2b4
2r1n2k/p1rbq1pp/Q2p4/3P1p2/P3pB2/2N3P1/1P2PPBP/R5K1 w - -,f4e3
4r1k1/pp1nP1pp/8/2p2B2/2P5/q7/P5P1/2RQ2K1 b - -,a3e3
8/PR6/6p1/6kp/3n3P/r7/8/5K2 b - -,g5h6
k6r/p1nqpBb1/Prp3p1/4P2p/1N1P4/4P2P/3Q2P1/R4RK1 b - -,g7e5
8/8/8/1Q6/8/4q1K1/6p1/6k1 w - -,g3g4
r4rk1/pp3ppp/2n3q1/8/3p2b1/P7/1PPBBP1P/2RQ1RK1 w - -,e2g4
8/5R2/3p4/2p2k2/2P2r2/1K6/8/8 b - -,f5e5
2br2k1/1pp2qpp/3b1p2/1P6/2PP4/1Q6/5PPP/BN3RK1 w - -,b1d2
r4rk1/pb1pbpp1/nq5p/1p1pP3/3N4/1N4P1/PP3PBP/R2Q1RK1 b - -,f8e8
r1q2rk1/1pn1bpp1/2pp1n1p/p3pb2/N1P5/PP1PPN2/1BQ1BPPP/R2R2K1 b - -,f6d7
2nr3r/1p2kpp1/1bp1n2p/4P2P/p3PB1R/P1P1N1P1/BP6/2K2R2 b - -,b6e3
r1bqk2r/5p2/p1n1p1pp/1pnpP3/5Q1P/2N2N2/PPP2PP1/2KR1B1R w kq b6,f3d4
8/5R2/1k1p3p/2pP3B/3bK3/4p1PP/r7/8 w - -,f7e7
8/2br4/p3k3/1p1p1p2/1PrB1P2/P3P2K/8/2R3R1 b - -,d7h7
8/p3r2k/3r1bp1/1P3p1p/PPQpq2P/3R2PN/5P2/3R2K1 w - -,a4a5
r1b1r1k1/1pq1bppp/p1n1pn2/3p4/2PP4/PP1B1N2/1B1N1PPP/R2Q1RK1 w - -,f1e1
1r6/5p2/3bpk2/pp4rp/2pP2P1/P1P2K1P/NP4R1/2R5 b - -,b8h8
8/1p6/p6k/R6p/7P/1P4K1/P2r2P1/8 b - -,d2d4
8/8/2pk3K/1pR3pP/1P4P1/2P3r1/8/8 b - -,g3g4
r3k2r/pp2ppb1/nq1p3p/2pP1bpn/2P5/2N1PNB1/PP1QBPPP/R3K2R w KQkq -,e1g1
rnbqkbnr/pp2pppp/8/2p5/2pPP3/5N2/PP3PPP/RNBQKB1R b KQkq -,c5d4
r5Rk/3bb2p/2p1p3/p1PpPp2/1P1N1P2/P2B3q/3Q3P/2R4K b - -,a8g8
2r2rk1/p4ppp/1p2p3/8/1R1P4/3bP1B1/P4PPP/R5K1 w - -,b4a4
2rr2k1/1p1qbppp/p1nppn2/8/2P1PP2/1PN1BN2/P5PP/2RQ1RK1 b - -,d7c7
r1r1n1k1/pn2qpp1/3pp2p/2p5/2P5/2B2NP1/PPQRPPKP/R7 b - -,b7d8
8/2r1K3/5P2/1k6/2bQ4/8/8/8 w - -,e7d8
8/1p3Qpk/7p/p1r2p2/8/P1P1qP1P/6P1/5R1K b - -,b7b5
4b1k1/pp3pp1/2p2n1p/3p4/3P3q/P2B3P/1PPQ1PP1/5NK1 w - -,f1g3
r4rk1/pp3pb1/4b1pp/nBq5/3P3B/5N2/PP3PPP/3R1RK1 w - -,d4c5
3rr1k1/2b2ppp/p7/1p1p4/3P2b1/2P1R1P1/PP1B1PKP/R4N2 w - -,a1e1
8/p5kp/8/8/8/4P3/Pb2KPPP/8 w - -,e2d3
r2q1rk1/1p1bppb1/3p2pp/p1nP3n/4P3/5NB1/PPQNBPPP/R4RK1 w - -,d2b3
rn1r2k1/pppn1pbp/6p1/4P3/2P1P3/2N2B2/PP4PP/R1B1K2R w KQ -,c1g5
r4k2/pp3p2/2p5/4p2p/2PnBq2/3PN1Qb/PP5P/6RK b - -,f4g3
1r6/6bp/3p1kp1/RPrB4/P4P2/6P1/7P/5RK1 w - -,a5a8
6R1/8/5k2/r4p2/2BK4/8/8/8 b - -,a5a1
r2qk2r/pp1bbppp/2nppn2/8/P2NP3/2N3P1/1PP2PBP/R1BQ1RK1 b kq a3,e8g8
2rqk2r/4pp2/p2p3p/3Pb1p1/2p5/2P5/PPQN1PPP/2KR3R w k -,d2f3
2rq1rk1/2ppb1pp/1pn1p3/p7/2PPQB2/P4N2/1P3PPP/R3K2R w KQ -,f4g3
3B4/1r3p2/3Rp1p1/2k1P2p/2p2P1P/1b2K3/r7/2R5 w - -,d8g5
8/2n1k3/2P3p1/4K2p/2B4P/5P2/8/8 b - -,c7e8
8/4k2n/3p4/3Pp3/1B6/4K3/8/8 w - -,e3d3
8/6p1/2k5/p7/2n1pP2/1B1pPn2/5K2/2BN4 w - -,b3c4
2r1k2r/pp1b1p2/1q2p2b/n2pPn1p/1P1P2p1/P2Q4/1BN1BPPP/RN1R2K1 w k -,b1c3
r2r4/1pk2p1p/2p2p2/2b1p3/p1P1P3/P3N3/1PRn1P1P/1B3R1K w - -,f1d1
3r1k2/5p2/2Q5/5Pb1/4P2p/2P2K2/1r4PP/8 b - -,f8g7
2R5/8/2r5/2kpp3/8/1p2KP2/1P6/8 w - -,c8e8
8/4kpp1/4p3/p3b3/PpB4p/1P1RP2P/2r1KPP1/8 w - -,d3d2
8/r6p/4k3/7R/6P1/4PK2/8/8 w - -,f3f4
8/1P2R3/6k1/1r6/3pNp1p/3K1P2/8/8 w - -,d3c4
3r1r1k/p2qppbp/5n2/Pp1p1P2/1PpP3B/2P2Q1P/3NR1P1/5RK1 b - -,d8e8
2n2rk1/1p1qb1p1/3p3p/3Ppp2/5P2/1QP1B3/PP4PP/R4RK1 b - f3,e5e4
5Kb1/1Pk5/8/8/4B3/8/8/8 w - -,f8g8
4r1k1/pp1b1ppp/6q1/3p4/3Q1P2/PP2P1nP/1B2B2K/3RR3 b - -,g3f5
r3kb1r/pp1qppp1/1nn5/2p1P3/2Pp1Pbp/3P1NPP/PPN3B1/R1BQK2R b KQkq -,g4f3
3r2k1/1p3p2/6b1/4Q2p/3P1P1P/8/8/7K b - -,b7b5
6k1/pp3pb1/4p2p/8/5Q2/2P1N1P1/PP3PKP/1q6 b - -,b1b2
6k1/4Qn1p/8/1pPK4/p3B3/q6P/8/8 b - -,a3h3
4r1k1/2Q3pp/2p3b1/2p3p1/2P5/P5PP/2q3BK/5R2 w - -,c7c6
rnb2rk1/ppppq1pp/8/5p2/2PPN1n1/6PP/PP2P1B1/R1BQ2KR b - -,g4f6
2R5/1p3k2/p3p3/8/PP1P4/3r4/5PP1/5K2 w - -,c8c7
2kr3r/pbq1bp2/1p1pp1n1/2pP4/2P1PBn1/5NPP/PPQN4/R3KB1R w KQ -,c2d3
8/1k6/7R/8/4NK2/8/8/6r1 b - -,b7c7
2kb2rr/2q5/1nn1p3/1p1pPp1p/p1pP4/P1P2N2/1PN1Q1PP/2B2RRK w - -,c2b4
8/4kp2/2R2p2/p2p1K2/r2P4/4P1P1/5P2/8 b - -,a4a2
4rrk1/1bq2p1p/pn4p1/2bp1BPP/5P2/3Q4/NPP5/1KBR3R w - -,h5g6
5rk1/pppq1rb1/3p3p/2PPpnp1/PP2N3/2NQ1PPP/R5K1/5R2 b - -,a7a6
8/1k2r3/8/K2R4/P2N4/8/8/8 w - -,a5b5
2r3k1/1nr1qpb1/4p2p/1Q4p1/2NPP3/6P1/PP3PP1/2KR3R w - -,b2b3
8/4r1k1/5q2/p7/PpB3Qp/1P5P/6PK/8 b - -,g7h6
8/8/8/5k2/3P4/5pR1/6rK/8 w - -,g3g2
r1b2rk1/p1q2pbp/1p2pnp1/2p5/3P1B2/2PB1N2/PP1Q1PPP/R4RK1 b - -,c7e7
2r2qk1/p3p2p/1p3b2/1PPp2N1/3Pp1b1/8/P4PPP/R1QR2K1 w - -,f2f3
8/r6p/5kp1/2P5/N2b4/6PP/5PK1/3B4 w - -,f2f4
2r3kb/1b1n3p/1pNprpp1/pP1P2Q1/N3P3/7P/P4PP1/2R1R1K1 b - -,f6g5
2q5/3b1pk1/3p2p1/1pnPp3/1Np1PbP1/2P2P2/1PB1KB2/6Q1 w - -,e2d1
3K4/3P4/8/7p/5k1P/R7/8/2r5 b - -,c1c4
2r3k1/5p1p/p5p1/3p4/4q3/P3PPPn/Q6N/4R1K1 w - -,g1h1
8/q4r1k/3pN1pp/1b2p3/1P6/6P1/P1Q1PP1P/2R3K1 w - -,e2e3
7k/p1p1r1b1/1p4R1/2p4P/2Pn1p2/3B1P2/PP6/2K2R2 b - -,e7e3
rnbqkb1r/pp2pppp/5n2/2pp4/5P2/4PN2/PPPP2PP/RNBQKB1R w KQkq d6,b2b3
2r4k/1p1b1rbp/2Pp1n2/2n1q3/p1P1pN2/P1N1B1RP/KPQ1BP2/3R4 b - -,b7c6
r2qk2r/bpp1nppp/p1np4/4pb2/2PP4/1PN1P1P1/P3NPBP/R1BQK2R w KQkq -,d4e5
6k1/1q4rp/6p1/2bp1pP1/1p3P1R/4P3/1PPK2Q1/N7 w - -,h4h3
r2q1rk1/1p1nppbp/2p2np1/p2p4/8/PP1PPN1P/1BP1BPP1/R2Q1RK1 b - -,f6e8
1r3r2/1p1b1p2/p1nN1kp1/P1pBp3/4P2R/2PP4/1P3PK1/R7 w - -,a1f1
r3r3/2p3kp/p1p2pp1/2Pp4/1P6/R3P1P1/P4P1P/3R2K1 w - -,a3a4
4r3/1R2ppk1/6p1/7p/3P1P1r/4PK2/8/2R5 w - -,f3g3
2r5/7p/1p1B2k1/4Pbb1/3N4/P1K2R2/7P/8 w - -,c3b4
