8/8/4n1p1/4k3/5ppP/8/3N1K2/8 b - -,e6c5
1kr2b2/p1q2p2/Pp2pn2/1Q6/3PR1P1/4N3/NP5r/1KR5 b - -,h2h1
8/8/p5kp/2B3P1/2n5/7P/7r/5K2 b - -,h6h5
8/8/8/1R1r4/2K1b3/4k3/8/8 b - -,d5d6
b1r2rk1/4Rp2/pnp1n1p1/1p6/3B2PQ/PPN4P/2P5/4R1K1 b - -,e6d4
8/1r6/p3k1p1/2P2p1p/4p2P/6P1/R4K2/8 b - -,b7a7
r2nr2k/pp3p1p/3pp3/3B1PB1/2P4P/1P2RP2/Pb6/3R3K w - -,g5d8
R7/8/8/6p1/p4rk1/4K3/8/8 w - -,a8a5
1r1qr1k1/3bppbp/2np1np1/1p6/1P6/2NP1NP1/3BPPBP/1RQ2RK1 w - -,d2h6
1r2r1k1/3qnpbp/b2pp1p1/1p6/1P1PP3/1Q2B1PP/4NPB1/1RR3K1 w - -,b1a1
rn2k2r/1p1n1ppp/p2bp3/1q1pN1B1/3P1P2/1QP5/PP1N2PP/1R2K2R w Kkq -,g5h4
r3b3/1p2k3/2pNp3/2P2p2/Pp1P4/1P2P3/6KP/R7 b - -,b7b6
8/5pk1/bp1n3p/3PbPP1/4p1BP/pP6/P4R2/1K6 b - -,e4e3
r3nrk1/pb2qppp/1pp1pn2/8/2PP4/3B1NN1/PPQ2PPP/R3R1K1 b - -,a8d8
2k4r/1bp3p1/1pn1p3/4P3/2q1R3/2Pr2N1/P1Q4P/5RKB b - -,d3g3
r1b2b1r/ppq2kp1/2n4p/2pp2B1/8/2PB1N2/PP3PPP/R2QR1K1 b - -,h6g5
4r1k1/p3q1np/2prp1p1/1p2R1P1/1P1PR3/PQ1BPP2/5KP1/8 b - -,g7f5
2b1k2r/4bp1p/p1p1p1pB/3pP3/8/6P1/P4PBP/5RK1 w k -,h6d2
r1bq1rk1/ppp1npbp/3p2p1/1P2p2n/2P5/2NP1NP1/P3PPBP/1RBQK2R w K -,e1g1
r2qkn1r/1p3pp1/p1np4/2p1pPb1/6P1/2PP4/PP3PB1/R1BQRNK1 b kq -,g5c1
1n6/2p2kp1/p1n1p2p/1p2p3/4P3/1P1N1P2/PBPK2PP/8 b - -,b8d7
rnbq1rk1/1p3pbp/p2p1np1/3Pp3/4P2P/2N3N1/PP2BPP1/R1BQK2R b KQ -,b7b5
r1bqk2r/1p2ppbp/p1np1np1/8/3NP3/2N1BP2/PPP1B1PP/R2QK2R w KQkq -,d1d2
r2q1rk1/5ppp/1p2pn2/pN6/1nPPN3/5PP1/1P4KP/R2Q1R2 w - -,d1e2
b1r2rk1/pq4pp/4p3/3nBp2/4n3/P4NP1/Q3PPBP/2R2RK1 w - -,f3d4
q1b1k2r/r4pb1/pp1pp1pp/4P3/P2p2P1/2PB1NP1/1P2QPK1/4R2R w k -,c3d4
1r1qr1k1/5pp1/2bp3p/2p5/2PbPP2/1PNB4/2Q3PP/4RR1K b - -,d8a5
r2qk1nr/1p1nbppp/p2p4/2pPp3/P3P1b1/1PN2N2/2P2PPP/R1BQKB1R w KQkq -,h2h3
6k1/Bp3pp1/r3p2p/P1Pn4/8/1B1b2PP/5P2/2R3K1 w - -,a7b6
r1bqk1nr/pp2b1pp/2pp4/3Pnp2/2P1p3/1QN3PN/PP2PP1P/R1B1KB1R b KQkq -,d8a5
r3r1k1/pp3ppp/8/n1b5/2bN4/P1P3P1/4PPBP/R1B2RK1 w - -,c1e3
2r5/8/1r1pk3/1P1Rp1pp/4Pp2/7P/5KP1/3R4 w - -,d1a1
2r2r1k/1pp2n2/p5Qp/1P6/P7/7P/5PP1/2R3K1 w - -,b5a6
2r1k3/6p1/4P2p/5n2/8/1N6/4KB1P/8 b - -,e8e7
r2q1rk1/ppn1ppbp/3p1np1/2pP4/P3PPb1/2NB1N2/1PP3PP/R1BQ1RK1 w - -,h2h3
8/8/4k3/2p1p2p/5P2/1Pr5/4R1KP/8 b - -,e6f5
r1b4n/pp2k1pp/2p1p3/3nP3/1bB1NPP1/P7/1P5P/R1B2RK1 b - -,b4a5
8/1p1R1b1p/p1p1rkp1/2P2p2/5P2/1P3BP1/P4K1P/8 b - -,e6e7
2r3k1/p4np1/5p2/4pPb1/r3P3/3Q2N1/8/1R5K b - -,a4c4
2r1r3/p2q1pkp/1p3np1/1p6/1P1Pp3/PQ2P2P/1N1R1PP1/2R3K1 w - -,d2c2
rnbqkb1r/pp1p1ppp/2p2n2/8/2P1p3/5NP1/PP1PPPBP/RNBQK2R w KQkq -,f3d4
r1bqk2r/pp1p1pb1/2n2np1/2p1p2p/2P5/2N3P1/PP1PPPBP/R1BQNRK1 w kq h6,d2d3
r4k1r/pbq1pp1p/1p3np1/4N3/8/2P1QP2/PP4PP/2R1KB1R b K -,f6d5
8/8/1p6/p2k1rpp/P7/1PR4P/5P2/5K2 b - -,d5d4
2r2rk1/pq2bppp/1pn1pn2/1N6/1P1P4/P3BN2/4QPPP/2RR2K1 w - -,f3e5
8/3k2p1/p4b1p/1p1P1R1P/1P3B2/2PK2P1/8/4r3 w - -,f4h6
8/1pp1qpk1/p5p1/1n2p3/1P2P1Qp/2P4P/1P3PP1/5NK1 b - -,e7d8
8/2k5/1P6/P2Br1pp/2P5/7P/1K2bp2/1R6 b - -,c7b8
8/p7/k5K1/1pp3P1/2P4R/5r1p/8/8 w - -,h4e4
8/2n1k1p1/5p1p/1p2pP2/pP2P1PK/P2N4/7P/8 w - -,h4h5
5r2/1pp3k1/3p2pp/3R4/p1r1Pn1P/PBP2PK1/8/1R2B3 b - -,a4b3
7k/8/p4p2/1p3q1p/P2R4/6R1/5PK1/8 b - -,h8h7
3r2k1/2qnbppp/1pp1p1b1/2P1P1B1/1P4P1/2N1QB1P/5P2/3R2K1 b - -,e7g5
r1b3k1/ppq3pp/2n1p3/3p4/3P1Pn1/3B1N2/PP3P1P/2RQ1RK1 b - -,c7f4
7r/3nb1p1/R3kp2/3p2p1/Np1P4/3K2P1/1P1B1P1P/8 b - -,e6f7
6k1/R5pp/2P5/1p3p2/1r5P/6PK/5r2/7R b - -,f2c2
r2r2k1/1pqn1pb1/6p1/p1pp2P1/2P1Q3/2B2N2/PP3PK1/3RR3 w - -,c4d5
r1bq1rk1/ppppb1pp/5p2/4n3/P2N3B/8/1PP2PPP/RN1QR1K1 w - -,b1c3
8/6rk/4pQ2/2KbP3/8/5p2/5P2/8 w - -,f6h4
8/8/2r1k1pp/1pB5/1Pn2PP1/3R3P/6K1/8 w - -,g2f3
r2qk2r/1p1n1pp1/p3p1n1/P1PpP3/8/3N3p/1PP2PPP/R1BQ1RK1 w kq -,g2g3
8/6pk/rN5p/5p2/3p4/3R1KP1/2r4P/1R6 b - -,c2h2
2k2rnr/ppqbb1pp/2n1p3/2ppP3/5B2/2PB1N2/PP3PPP/RN1QR1K1 w - -,d1d2
3k4/1R6/p2p3r/n7/2B1P3/2P5/P1P5/2K5 w - -,b7b4
r7/5p2/3kp1p1/7p/pK1P2PP/R4P2/8/8 w - -,b4c4
8/6kp/2rNp3/3nPpp1/3Pp1P1/1p2P2P/1P1K4/R7 b - -,c6c2
4r1k1/6b1/pp2r1p1/7p/3RR3/6BP/PP3PP1/6K1 w - -,e4e6
n7/1R5p/2Bp1kp1/p2P1p2/P3p2P/6P1/3b1P2/6K1 b - -,d2b4
3r4/2Rpk3/4pp2/2p5/7r/P1KR1P2/1PP5/8 b - -,h4h5
1R6/8/4p1k1/4P1Pp/8/4K1P1/1pr5/8 w - -,e3f4
r2qkb1r/1bp1pp1p/pn4p1/1p2P2n/3P4/PPN1B2P/2P1N1P1/R2QKB1R b KQkq -,f7f6
2r2rk1/2q1ppbp/2B2np1/p2P4/1p2n3/4BN2/PPQ2PPP/3R1RK1 w - -,d1c1
r3r1k1/p4pp1/2Q2nbp/4q3/1p4P1/2N4P/PP2P1B1/R4RK1 w - -,c3d5
r2qr1k1/pppbbp1p/3p1np1/6B1/4PP2/P1N5/1PPQ2PP/R3RBK1 b - f3,d7c6
8/q2b1pkp/3P2p1/1pP5/2nN1P2/7P/2P1N1P1/4Q1K1 b - -,a7c5
2R5/rp1nkpp1/1r2p3/1p1p3p/1P1P4/P3P1P1/2R1KPP1/1N6 w - -,e2d2
1r3rk1/p1q1pp1p/3pb1p1/4b3/8/4P1P1/PP2QPBP/R1B2RK1 w - -,f1d1
rn1q1rk1/pbp1bppp/1p2pn2/3p4/2PP4/1P2PN2/PB1N1PPP/R2QKB1R w KQ -,f1d3
8/8/3k3p/2p5/1pP1K2R/pPb3P1/P4rP1/7R w - -,h4h6
r1bq1rk1/2pn1pbp/1p1p1np1/p3p3/P2PP3/2N2NP1/1PP2PBP/R1BQR1K1 w - -,h2h3
rnbqk2r/pp2p1bp/2p2ppn/3p4/3PP3/2NB1N1P/PPP2PP1/R1BQ1RK1 b kq -,e8g8:h6f7
3rnn2/rpq1b1kp/1Np1b1p1/2P1p3/1Q2P3/2N1B3/P3BRPP/R5K1 b - -,e7f6
5k2/1B6/8/1P6/5b1P/4pK1P/8/8 w - -,b5b6
r2qk2r/1p1nbp1p/p2pbnp1/4p3/4P1P1/1NN1BQ1P/PPP2P2/R3KB1R w KQkq -,e1c1
8/2nR1p1p/6p1/2k5/8/8/5PPP/5K2 b - -,c7e6
2kr3r/ppqn1pp1/3b2p1/3p2P1/3Pp3/2P4P/PPQB1P2/2KR2NR w - -,g1e2
8/p2r1k1p/1p1P2p1/4r3/2R1p2P/4K3/P2R1PP1/8 w - -,g2g4
r2q1r1k/ppn2n1p/7b/3p1R1P/3P1p1p/PPNQ1P1B/R7/2B3K1 b - -,f7d6
r2qr1k1/1p1n2bp/p2p4/2pP1p2/Pn2PP2/2N1BB1P/1P2Q2K/R4R2 b - -,d8h4
5rk1/p7/1p4Pp/2pPB2b/2P5/1P5P/P4K2/6R1 w - -,f2e3
3q1rk1/1ppbbpp1/3p2n1/3Pp1Np/1PP1P1nP/2N3P1/3B1PB1/Q4RK1 b - -,d8a8
3r2k1/pp3pp1/1b3n1p/8/Q2P1q2/2N2N1P/PP3PP1/2R3K1 w - -,c1d1
r4rk1/p1nq1pb1/bp1p1npp/2pP4/P1N4B/1PN1P3/4BPPP/R2Q1RK1 b - -,f6h7
rnbqk2r/ppp2ppp/8/3n4/2NPp3/2P5/P1P1BPPP/R1B1QRK1 b kq -,e8g8
8/3k4/8/7p/8/6PP/2K5/8 b - -,d7c6
4r1k1/1p3p2/pp1p3p/3P2p1/8/4PNP1/Pb1r1PBP/1R3K2 b - -,d2c2
r1bq1rk1/pp1n1pp1/2pQ3p/5n2/2B5/5N2/PPP2PPP/R1B1R1K1 w - -,d6d1
2kr3r/1bp3bp/pp4p1/2pnPpq1/8/1PNN1P2/PBPP2PP/R3QRK1 w - -,c3d5
8/3n4/1p1p3p/pP2ppk1/P1PP4/6KP/4N3/8 b - -,f5f4
rnbq1rk1/ppp2ppp/5n2/4p3/1bBP4/2N1P3/PP2NPPP/R1BQK2R w KQ -,e1g1
r4rk1/p3ppbp/3p2pB/2qP1P2/4P2Q/PPpb1N1P/5RP1/R5K1 b - -,c3c2
8/5p2/7k/8/1R4K1/8/r6P/8 b - -,a2h2
r5k1/4bppp/p3p3/npp1P3/2PrRP2/1PN3P1/P6P/R1B3K1 w - b6,c4b5
3rr3/p2k2pp/3B1p2/2Pb1p2/2p5/P3PP2/3K2PP/1RR5 w - -,b1b5
R5k1/1p2bpp1/1np3p1/3p4/1n1P1PP1/1PN1P2P/8/2B2BK1 b - -,b6a8
8/1p2kpp1/2p1p1p1/b1Pn2P1/3P1P2/PQ2P1PK/5q2/R1B5 b - -,f2f1
7k/4R1b1/7p/8/1N2p3/1bP1N1KP/1r3PP1/8 b - -,g7c3
r1bq1rk1/1pp2pb1/p2p1np1/4n1Np/P3P2P/2N1BP2/1PP1B1P1/R2QK2R b KQ -,c8d7
5rk1/p1R2p2/6p1/7p/7P/r5P1/P2R1PK1/8 w - -,d2d7:c7b7
r2qkb1r/pp2pppp/3p1n2/2pP4/2Pn4/3Q1P2/PP1NPP1P/R1B1KB1R b KQkq -,g7g6
6k1/3b1nbp/p2pr1p1/2pQ1p2/P1N2P2/1qN3BP/1P4P1/5RK1 b - -,g7c3
r1bq1rk1/p2nppbp/2pp2p1/8/2P1P3/2N5/PP1BBPPP/R2Q1RK1 w - -,d2e3
4r2r/2Bb1ppk/p2P4/2P2nP1/5N1P/5P2/PP6/2KR4 b - -,h7g8
rnbq1rk1/pp3pbp/3ppnp1/2pP2B1/2P1P3/2N5/PP2BPPP/R2QK1NR w KQ -,d5e6:g1f3:d1d2
r1bqk2r/pp3pp1/2pbpn1p/3p4/2PP2P1/2NBPN2/PPQ2P1P/R3K2R w KQkq -,c4c5
6k1/1p3p2/p5p1/2P4p/PP5P/6P1/1Q3P1K/3q4 b - -,d1a4
r1bqk2r/p2nbp1p/1pp2np1/3p2B1/3P4/2NBP3/PPQ1NPPP/R3K2R w KQkq -,e1g1
5rk1/p4ppp/8/3Np3/8/P3PP2/1Rrp1KPP/8 w - -,d5e7
6k1/1B3p1p/5np1/8/8/1P2R1PP/r4P2/6K1 b - -,a2b2
r2qnrk1/pbn2pbp/1p4p1/2p1pP2/3pP1P1/P2P1N1P/1PP1NRB1/R1B1Q1K1 w - e6,e2g3
4brk1/1pb3n1/p1p1pq1p/2B1N1p1/1PP2pP1/8/PQ2PPBP/3R2K1 w - -,c5f8
r7/8/4p3/5k2/2R3p1/1P6/1P1K1P2/8 w - -,b3b4
1r4k1/p2b1ppp/4p3/8/4N3/6P1/PPR1PP1P/6K1 b - -,b8b7
3r2k1/1b2r1pp/p2q1p2/1pRp3N/1P1P4/P4Q1P/5PP1/2R3K1 w - -,h5g3
r1bq1rk1/ppp1ppb1/1n4pp/3P4/1n2PB2/2N2NP1/PP3PBP/R2QK2R b KQ -,e7e6
1r1k4/5p2/3p1N2/3qpP2/p1R5/7P/K1Q5/8 b - -,d5b5
3r2k1/4Rp1p/p4np1/8/P4q2/2P5/4QPPP/R5K1 w - -,e2e5
r1bqk2r/pp1p1ppp/2P2n2/n5N1/Q1P1p3/2P5/P3PPPP/R1B1KB1R b KQkq -,d7c6
r2k1b1r/pppnn1pp/4bp2/4p3/5P2/2N2NP1/PPPBP2P/R3KB1R w KQ -,f4e5
8/2r1k3/1R2p1Bp/7P/PK2P3/2r5/8/8 b - -,c3c4
r1b2rk1/p4ppp/np2pn2/1Nbq4/3Q4/2P1BN2/PP2BPPP/R4RK1 w - -,d4d5
8/5pk1/7p/6p1/8/5K1P/PR3PP1/4r3 w - -,g2g3
R1Rb2rk/6r1/1p1p2q1/1N1Pp2p/4Ppp1/1N3PnP/6PK/4Q3 b - -,g6f6
r4rk1/1b1q1pb1/p2pp1p1/1p5p/3NPPn1/3P2NQ/PPR3PP/5RBK w - -,f4f5
4r1k1/7p/2p1q3/ppB3b1/4p3/P1P3PP/1P3QK1/3R4 w - -,d1d6
1K6/8/8/5p2/5k2/2R5/8/8 w - -,b8c7
8/6k1/2R2p2/2p3p1/2r4p/4K2P/5PP1/8 w - -,e3f3
2R5/1r2rk2/1R2p1p1/3pPp1p/p4P1P/P3P3/1P2K1P1/8 w - -,c8c6
4n3/1p2R3/2b3k1/p5p1/3B2P1/P1P5/5K2/8 w - -,c3c4
7k/1b3n1p/p5p1/Pp6/3RN3/2P4P/1r6/5BK1 w - -,e4d2
4r1k1/1p3pbp/p2r2p1/2p3B1/P2nPP2/1PN5/1n4PP/2RB1RK1 b - f3,b2d1
8/1R6/4p1k1/2P5/3Pp1K1/4P3/8/5r2 b - -,f1f3
5rk1/7p/pq1p1np1/rp1P1p2/2PPp3/1P5B/1R1Q2PP/5R1K b - -,b5b4
8/2p2pk1/pp3n2/4rbpP/PP5r/2N4P/1R4BK/5R2 b - -,f5h3
8/6k1/1pNp1npp/2nP1p2/2P2P2/4K1PP/8/3B4 w - -,d1c2
1b6/1p1rkppp/p1n1pn2/8/1P1N4/P3P1P1/1B2KPBP/2R5 b - -,c6d8
r1b1k2r/ppqn1pp1/4pn1p/2b1N3/8/3B1N2/PPP1QPPP/R1B2RK1 b kq -,e8g8:c5d6
5rk1/pQR2pp1/1n5p/3p4/3Pp3/4P1PB/1P3PKP/4q3 w - -,h3e6
2r3k1/p4p2/1p4p1/3B1pq1/1P1Q3p/P6P/6P1/3R2K1 w - -,d5f7
r2qk2r/5ppp/p1pbp3/2pn3b/8/2NP1N1P/PPP2PP1/R1BQR1K1 w kq -,c3e4
8/p3r3/7k/1p2p1NP/1PnnN1P1/8/5K2/4R3 w - -,f2g3
3qb1k1/1p3pp1/p1n1pn1p/8/Pb6/1NN2QBP/1PP2PP1/5BK1 b - -,b4c3
3r1bk1/2R1pp1p/2p3p1/p7/2P1N3/P5P1/2P2P1P/6K1 w - -,c7c6
3q1rk1/pbrn1p1p/1p3b1B/1Npp2p1/3P2Q1/6PB/PP2PP1P/2R2RK1 b - -,b7c8
R7/7r/8/5p2/5k2/8/6K1/8 w - -,a8a1
8/p7/1p2k1p1/8/3K1PPp/P6P/8/8 b - -,a7a6
r3kb1r/p2b1ppp/5B2/1q1p4/8/2P1P3/PP3PPP/R2QK2R w KQkq -,f6d4
2r1r1k1/1b2bp1p/pq1pn1p1/1p2p3/1P2P3/1BPQ1N1P/P4PP1/R3RNK1 b - -,e6f4
8/8/4R1p1/2p3Pk/3rp2P/1PK5/8/8 w - -,e6e5
r1q3k1/pp5p/2ppprpB/3P1pN1/2P5/2P3P1/P3P1KP/R2Q4 b - -,e6d5
5bk1/1p3p2/p4Qp1/1b1p4/3B2P1/1PP4q/P4KN1/4r3 w - -,g2e1
2R5/5k1K/5b1P/8/8/8/8/7r w - -,c8c7
r2q1rk1/1bp1bppp/p1np1n2/1p1Pp3/4P3/P1NBB2P/1PPN1PP1/R2Q1RK1 b - -,c6b8
rn1q1rk1/pbpp1ppp/1p2pn2/8/2PP4/2b2NP1/PP2PPBP/R1BQ1RK1 w - -,b2c3
2kr1b1r/p4p2/q2p1Pn1/2pP1b1p/1PP2Pp1/P1QN4/3BB2P/2K1R2R w - -,b4c5
r1b1k1nr/p1pp1ppp/2p5/2b5/4P2q/3B4/PPP1QPPP/RNB1K2R b KQkq -,g8f6
r4bk1/p4p1p/1n4p1/1R1Pp3/4P3/4B2P/1PrN1PP1/R5K1 b - -,b6c8
r4rk1/pp3ppp/2n5/4B3/8/2PB3P/b4PP1/3RR1K1 w - -,e5f4
3r1b1k/3r1ppq/4bn2/p1p2N2/4B3/PP6/2Q2PPP/2BRR1K1 w - -,d1d7
6k1/p2q2rp/1p4r1/2p2pPR/2P1pB2/1P1nP1R1/P3QPK1/8 w - -,g3h3
r3k2r/pp1nqpp1/1n2p1p1/4b3/3BP1P1/P1N2Q1P/BP3P2/2KR3R b kq -,a8c8
r4rk1/4ppbp/bq1p2p1/p2P4/Ppn1P3/1P4P1/2P2P1P/1RBQRBK1 w - -,f1c4
r3rbk1/2qn1p1n/2pp2pp/1b2p3/2BPP3/1PB3N1/1Q1N1PPP/R3R1K1 w - -,c4f1
r2qkb1r/pb3ppp/1pn1pn2/3p4/3P4/1P1B1N2/P1PN1PPP/R1BQ1RK1 w kq d6,a2a3
r1b1k1r1/ppq1np1Q/2n1p3/3pP3/3p4/P1P5/2P1NPPP/R1B1KB1R w KQq -,f2f4:h2h4
r3kb1r/pp1b1ppp/1qn1p3/3p4/3p1B2/P1P1PN2/1P1QBPPP/R3K2R w KQkq -,e3d4
r4r1k/ppqb2p1/2nbp2p/3p3B/3P4/6B1/PPQ1NPPP/2R2RK1 b - -,f8f6:a8c8
r7/5p2/pR1Pbkp1/r7/P6P/5NK1/1P1R4/8 w - -,b2b3
8/3r1k2/p4p2/6p1/4qpP1/P1P5/1P5R/K5Q1 b - -,f4f3
3r2k1/pq2r1pp/1pn2p2/2pbp3/Q7/3P1PP1/PP2PBBP/R1R2K2 w - -,a2a3
r5k1/p3rq2/1p2pppQ/3p3p/3P4/2P3RP/PP3PP1/4R1K1 b - -,g6g5
1R6/1p6/6k1/r1pp4/3P1K2/6P1/8/8 w - -,d4c5
r4rk1/1pp1q1p1/p1n1p2p/2p1p3/2N1Pn2/P2P3P/1PP1NPPK/1R1Q1R2 b - -,a8d8
r2qr1k1/pp3ppp/2n5/3p1b2/N3n3/1P2P1P1/PB3PBP/R2Q1RK1 b - -,d8d7
r3r3/2nq2k1/pnNp1pp1/P1pP3p/1p2PP2/5B1P/1PQ3P1/3RR1K1 b - -,b6c8
rn1q1rk1/4bppp/p1b1pn2/8/PppP1B2/5NP1/1P2PPBP/RNQR2K1 b - -,c6d5
r2b2k1/p4ppp/2p1bn2/4p3/4P3/P1N1B3/1PP1B1PP/5RK1 b - -,g8f8
1r1q1rk1/1b1nn1bp/3p2p1/2p2pPP/1p3P1N/3P4/1PP1N1B1/R1BQ1RK1 w - -,g2b7
2k2r2/pbp4p/6p1/1BP1r3/5p1P/1P6/P2R1KP1/3R4 w - -,a2a4
r4rk1/pb3ppp/1p1pp3/8/1PPP1n2/P1NB1P2/3K2PP/RR6 w - -,d3f1
1rq2rk1/1p2bpp1/2np1n1p/p1p1p3/2P5/P1NP2Pb/1PN1PP1P/1RBQR1KB w - -,c2e3
7k/1p6/p2R3p/2P5/1P1P1n2/P7/7P/4rB1K w - -,h1g1
8/3Rpp1p/5kp1/8/8/1r4P1/3n1PKP/8 w - -,d7d2
8/r4P1k/5K2/8/8/8/4R3/8 b - -,a7a6
8/r5p1/p1R2p1p/3p3P/1PbP1B2/6P1/3K1k2/8 b - -,a7e7
rnb1qrk1/ppp1p1bp/3p2p1/6N1/2PPp3/6P1/PP3PBP/R1BQ1RK1 b - -,b8c6
