8/8/5p2/2R3pk/3r4/5PK1/8/8 w - -,c5a5
5k2/5p2/4p3/4P3/P4R2/4P1Kp/2r2P2/8 b - -,c2c5
1r3rk1/ppp2ppp/3pb3/8/8/2P1bB2/PPP2PPP/R3R1K1 w - -,e1e3
r1bq2k1/5ppp/2p2n2/ppPp4/5P2/1Q1B1NP1/PP3P1P/4R1K1 b - -,c8d7
7k/1p5p/p1b2p2/P3pP2/2P1P2b/1r1qB2P/4Q1B1/R5K1 w - -,e2d3
8/4K1k1/8/p4P2/1P2n3/6P1/4B2P/8 b - -,a5b4
rn1q1rk1/pb2ppbp/1p4p1/2ppN3/3PnP2/2PBP3/PP1NQ1PP/R1B2RK1 b - -,b8d7
2R5/8/3k1n2/p2b3p/1r6/1P3P2/P2R1K1P/8 b - -,b4f4
8/8/6k1/5p2/p1Nn3P/P4K2/6P1/8 w - -,f3f4
6k1/8/4p2P/4P3/8/2pKBr2/2B5/8 w - -,d3e2
r1r3k1/4pp1p/pp3bp1/1B1P4/4P3/1NB5/2R2PPP/1R3K2 b - -,a6b5
b1r1r1k1/b4pp1/pq3n1p/2pp4/8/P3PBBP/1PQ1NPP1/2RR2K1 b - -,a8b7
5r1k/1pq4p/2p3p1/p1b1p3/P1b1P3/2P2NNP/1P1Q1PK1/3R4 w - -,d2d7
r1bq1rk1/pp1nnpp1/1b5p/8/1P1p4/P2P2P1/2QBNPBP/RN3RK1 w - -,a3a4
8/5p2/5k1p/R6P/5KP1/5P2/8/5r2 w - -,a5a6
8/6p1/5nk1/8/p2R1R2/P5P1/5B2/2q3K1 w - -,g1h2
8/2B2p2/8/5k1p/5Pb1/6K1/8/8 b - -,f5e4
3k4/5B2/2r3p1/1p3p2/5P2/6P1/P5K1/8 b - -,d8e7
5b2/3b4/8/1p1p1P1P/2p1p2k/N1P1P2B/1P3K2/8 w - -,h3f1
8/8/8/8/8/r6p/3R1K1k/8 w - -,d2e2
r3r1k1/4qp2/pnp3p1/2ppP2p/2P2N1P/1P3QP1/P3RP2/4R1K1 w - -,c4d5
1qn1Qbk1/pp3pp1/4p2p/P2pP3/3P4/6P1/1P3P1P/2B2BK1 w - -,c1d2
rnbqk2r/p2pppbp/1p3np1/2p5/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,f1d3:f1e2:h2h3
r1r3k1/1p3pbp/p1n1pnp1/2q5/Q7/2N1B2P/PPP1BPP1/3RR1K1 b - -,c5e7
r3qbk1/pp4p1/2p2p2/4pN2/1Pb1P1P1/P3BP2/1QP2K2/R7 b - -,g7g6
4Q3/6pk/8/8/3p1P2/6P1/6K1/3q4 w - -,e8e4
7r/5pk1/1rpqpnp1/p2p4/3P1PNp/2P4P/PP2Q1P1/4RRK1 w - -,g4f6
rnbq1rk1/ppp1ppbp/3p2p1/4P2n/3P1B2/2N2N2/PPP2PPP/R2QKB1R w KQ -,f4g5
r1b1nrk1/ppp4p/3p1qn1/3Pp3/2P1Pp2/2N2P2/PP1QN2P/1K1R1BR1 b - -,g8f7
r1b3k1/1p2qppp/pQ1rpn2/8/2P5/1N3BP1/PP3PP1/2R1R1K1 w - -,b6e3
r1bq1rk1/5pbp/n2p1np1/2pp4/4P3/2N2NP1/PP2BP1P/R1BQ1RK1 w - -,e4d5
2r5/1b4k1/6Bp/1pn4P/p2RPP2/6P1/1P6/6K1 w - -,e4e5
r1b2k1r/ppp3Qp/n2p1n2/3Ppp2/2P5/2N2N2/PP3PPP/2KR1B1R b - -,f8g7
1k2r2r/pb3p2/1p1p4/4q3/2P5/3B3P/P3RQp1/3R2K1 b - -,h8h3
6k1/8/p1R2K2/P1Pp3p/3P3P/3r4/8/8 w - -,f6e5
1rb2rk1/5pbp/pp1Np3/5p2/P7/4QB2/1qP2PPP/R2R2K1 w - -,c2c4
8/2k4p/4p3/4np2/1pP3pP/1P2P1P1/r1bNB3/2R1K3 w - -,c4c5
3r4/P4kpp/2R1p3/5p2/p7/P7/4KPPP/8 b - -,d8a8
8/4p1k1/2p3rp/8/1P1q2P1/P2p1p1K/3Q1P1P/2R5 w - -,c1g1
1r1b1r1k/1p3pp1/p4n2/3p1N1p/7P/2PN1PP1/PP2R1K1/4R3 w - -,d3f4
r1bqk1nr/ppp1ppbp/2np2p1/8/2P1P3/6P1/PP1P1PBP/RNBQK1NR w KQkq -,g1e2
3r2k1/p2r1pp1/b2bpn1p/q3p3/2pPP3/2P1QNPP/P4P2/B1R1RBK1 b - -,d6c7:d7c7
8/3k4/PP4p1/P7/4bp2/4p3/4B1P1/6K1 w - -,a6a7
5nk1/1p3ppp/2Pbr2q/3p4/3Pb3/4P1P1/4BP1P/R1QR2K1 b - -,h6h2
8/8/8/3kP3/5K2/1N6/p7/8 b - -,d5c4
8/6k1/1p5p/1Pp1p3/4P1r1/N6b/1N5P/6BK w - -,g1f2
2r2k1r/1b1qbp2/p3p1p1/3pP2p/1p1NnB2/4PQ1P/PPB2PP1/3R1RK1 w - -,c2e4
4rnk1/1p3ppp/p1pq4/3pN3/3Pr3/4P2P/PPQ2PP1/R4RK1 w - -,c2b3
r2q1rk1/2p1bppp/p5b1/1p1pP3/2nP2P1/2P1BN1P/P1B2P2/R2QR1K1 w - -,c2f5
r5k1/1pp2r2/1b2bq1p/pP1pR1p1/P2P4/3Q3P/4RPP1/1BB3K1 b - -,e6d7
rnbq1rk1/ppp3bp/3pp1p1/5p2/3P4/5NP1/PPPBQPBP/R4RK1 w - -,f3g5
r4rk1/pb1nqppp/1p2p3/2ppP3/8/2PBPN2/PP2QPPP/R3K2R b KQ -,a8d8
r3k1r1/1b2bppp/ppn1p3/6N1/2q1P3/2P3Q1/PP4PP/RNB2R1K w q -,b1d2
8/5pk1/np1rp1pp/p7/P1P5/1P2P1P1/4K2P/1B3R2 w - -,b1c2
2n5/8/1p1pP3/1NpPkp1p/P1P3rP/4K3/4R1P1/8 w - -,e3f3
3r1k1r/3b1pq1/p7/1p1Pp1p1/4P2p/1P3Q2/P4PP1/R3RBK1 b - -,g5g4
r4rk1/5q1p/1Q1p2pb/3Pp3/p2nP3/P7/NP1R1NPP/1K5R w - -,d2d4
r1br2k1/1pq1bppp/p2ppn2/8/3BP1P1/2N2P2/PPPQ3P/1K1R1B1R b - -,b7b5
4r1k1/2p2pp1/6b1/3p3p/1p2P3/5N1P/1PP1q3/4R2K w - -,e1e2
8/8/8/4k3/4P3/4K3/5R2/2r5 w - -,f2f5
rnbq1rk1/pp3p1p/2pb2p1/3p4/3P4/3BPNB1/PP3PPP/R2Q1K1R w - -,f3e5
r3k2r/1bqn1ppp/p2ppn2/1pb5/3NPP2/2PB1N2/PP4PP/R1BQ1R1K w kq -,d1e2
4r1k1/2Bb1p1p/3P2p1/8/ppB1r2P/2b3P1/P4P2/3R1RK1 w - -,c4d5
r5k1/1bqnnpb1/6pp/Npp1p3/1P2P3/2B2N1P/Q4PP1/R3R1K1 w - -,a2b2
3rr1k1/1P1R1p1p/4p1p1/1B2b3/4P3/5P2/6PP/1R5K b - -,e5b8
r2r2k1/ppq2pp1/4b2p/2pnn2Q/4NB2/3P2PP/PPP3BK/R4R2 b - -,d5f4
r2q1rk1/p2nppbp/2p1bnp1/1p4N1/3P1B2/2N1P3/PPQ1BPPP/R3K2R b KQ -,e6c4
rnbqk1nr/ppp3pp/3p4/4pp2/2P5/2P3P1/P2PPPBP/R1BQK1NR w KQkq f6,d2d4
1r3rk1/1p3p1p/6p1/3p4/3Pp3/4P3/PP3PPP/R1R3K1 b - -,f8c8
3r2k1/pp3pb1/1n1P2p1/3q3p/3N1P2/3Q2PP/PP6/1K1RN3 b - -,d8d6
r1bqk2r/4ppbp/pp3np1/2pP4/4P3/1NB5/PP3PPP/R2QKB1R w KQkq -,f1e2
8/5k2/2N5/8/5PK1/2br2P1/7R/8 w - -,h2h5
2r2rk1/pq3ppp/1p1Ppn2/4N3/2P2B2/5bP1/PPQ4P/3RR1K1 w - -,e5f3
r2qk2r/pp1nppbp/2p1bnp1/3pN3/2P5/1P4P1/PBQPPPBP/RN2K2R w KQkq -,d2d3
r1bq1rk1/1p1n2b1/p3p1pp/2p1P1N1/2Pn4/2NB4/PP4PP/R1BQ1R1K w - -,f1f8
1R6/p1r1r3/2k3p1/2ppPpPp/P4P2/2PK4/7P/1R6 w - -,b8g8
rnb1k2r/pp2ppbp/3p2p1/qBpP4/P3P3/2P5/2PB1PPP/R2QK1NR b KQkq -,c8d7
1r3rn1/4qp1k/p2p2pp/2pPp1PP/2pnP3/2N1NP1R/PP5Q/2K3R1 b - -,b8b4
r2r2k1/p1qb1p1p/6p1/1ppPb3/8/2P1BB1P/PQ3PP1/2R2RK1 b - -,a8c8
6k1/4q1p1/2p1p1b1/2NpP2p/1Pn3PQ/2P2N1P/r7/5R1K b - -,e7h4
3k4/8/3p4/pBp1p3/2P1Pp2/P2P1P1b/5K2/8 b - -,d8c7
3r2rk/pbn2q2/1p1p4/3Pb1P1/P1B1p1Rp/4B2P/1P3P2/2RQ2K1 b - -,g8g7
r1bq1rk1/pp2ppbp/1np3p1/n2P4/4PB2/2N2NP1/PP3PBP/R2Q1RK1 b - -,c6d5:a5c4
2r5/3n4/p2pkp1r/1ppN4/4P2P/P2P2PK/1P3R2/5R2 w - -,f2f5
1r6/2b1k3/1pB5/p2P1p1p/P2B2pP/3KP1P1/1P3P2/8 b - -,c7d6
1rr5/5pk1/4p3/3pP1pQ/4R3/P7/1Pp4P/2KR4 b - -,c2d1q
8/p5pk/1p5n/3Q1p2/3P1P2/q3P1P1/5N2/2R3K1 b - -,a3c1
r2q1rk1/1p1n1ppb/2pbpn1p/p2p4/2P5/PPBP1NP1/2QNPPBP/R4RK1 w - -,c2b2
8/6kp/p4rr1/7p/8/3P1RN1/5PP1/6K1 w - -,g3h5
2rr2k1/pp1b1pbp/q1n1pnp1/3p4/2PN4/1PN1P1PP/P2BQPB1/2R1R1K1 w - -,c4d5
r1b2rk1/1pn1qpbp/p2p2p1/P1pPn3/8/2N1P1BP/1P1NBPP1/R2Q1RK1 b - -,f7f5
r2r4/pb3kbp/1p3np1/8/8/2B4P/2PPQPP1/4R1K1 b - -,d8e8
r2qkb1r/pp1npppp/2p2n2/8/2QPP3/2N2P2/PP3P1P/R1B1KB1R b KQkq e3,e7e5
8/8/3k3K/8/7P/6P1/8/8 w - -,h6g6
r2q1rk1/pp1bppbp/1n4p1/5n2/3P4/1BN1BN2/PP2QPPP/3RR1K1 b - -,a7a5
r4nk1/3b1pp1/1p5p/pP1pQ3/P7/q1RBPN1P/5PP1/6K1 b - -,a3a4
5rk1/3n2b1/1n1p4/RN1Pp3/4p2P/4B3/r7/1R1N1QK1 b - -,f8f1
r4k1r/pppqn2p/3p1p2/3Pp2B/5b1N/3P1Q2/PPP1KP1P/R5R1 b - -,d7a4
8/3n3p/p1pk2p1/1P2bp2/3Np2P/1PB1P1P1/P4P2/4K3 b - -,c6b5
r3k2r/pp2ppbp/2n3p1/q1p5/3PP1b1/2P1BN2/P2Q1PPP/2R1KB1R w Kkq -,d4d5
r1bqr1k1/pp3pp1/2pbp2p/8/2PPQ3/5NP1/PP3PBP/R4RK1 b - -,c6c5
6k1/2pn4/p3p1q1/P2r2pp/1p1pNr2/1P1Q3P/R1P1RPP1/6K1 w - -,g2g3
8/1p1r2pk/3b3p/1b6/R2B1P1P/2P3P1/3K4/R7 w - -,a4a5
rnbq1rk1/ppp1ppb1/3p3p/6pn/2PP4/2N1PNB1/PP3PPP/R2QKB1R w KQ -,d1c2:f3d2:f1e2
r4r1k/2p3q1/p1n4p/1p1p2p1/1Pb1Np2/P4N1P/3Q1PPB/R3R2K w - -,e4c5
2r2bk1/2q2ppp/3p1n2/1p2rP2/1P2PQ2/8/P2NB1PP/3R1RK1 w - -,e2d3
4k3/1p6/3nPK2/P4p2/5P2/8/7B/8 w - -,h2g1
rnb2rk1/2q1bppp/pp1ppn2/8/2PNP3/2N1B3/PP2BPPP/2RQ1RK1 w - -,f2f4:f2f3:d1d2
2k4r/ppqb1prP/2n1p3/4Pn2/3p1P2/P1pQ2P1/2P1N1B1/1RB1K2R b K -,h8h7
8/7k/2q1K3/5P2/3Q4/1p6/1P6/8 w - -,e6e7
6k1/6b1/p2p1pP1/1pqnr3/6BQ/2P4P/PP4P1/4RR1K b - -,c5c4
4b3/ppN3k1/3b2p1/5p2/2Bp4/5P2/PP4PP/5NK1 b - -,d6c7
1r1q1rk1/p2bppb1/3p1npB/1p5p/2nNP1PP/1BN2P2/PPPQ4/2KR3R w - -,b3c4
3rk2r/4bpp1/1qp1pnp1/1p1n4/3PN3/p1PBBQ1P/PP3PP1/2KR3R w k -,f3e2
r2q1rk1/1p2ppbp/n1p2np1/3p1b2/2P5/1PBP1NP1/3NPPBP/R1Q2RK1 b - -,d5c4
r3nrk1/1b1n1p2/1pqppPp1/p3P2p/3B1P1Q/2P2N2/PP2B2P/4RRK1 w - a6,f1f2
r1bqr1k1/pp1n1pbp/3p1np1/2pP4/P3P3/2N5/1P1NBPPP/R1BQ1RK1 b - a3,d7e5
rr4k1/5p1p/2p3pQ/p3p2P/2PpPqN1/1P1n2N1/P4PP1/3R2K1 b - -,f4h6
r1b2rk1/pp1nqppp/2p1pn2/3p4/2P3P1/1PN1PN2/P1QPBP1P/R3K1R1 w Q -,h2h4
r3r1k1/ppq1bpp1/2p1nn1p/4pN2/P3P3/2N2Q1P/RPP2PP1/2B1R1K1 w - -,c3e2
r4rk1/p2n3p/2pb2p1/qp1p1pB1/3PnN2/2NQP3/PPP2PP1/R4K1R w - -,c3e4
2r1n1k1/p3rpp1/Pq4p1/1ppP4/8/6PP/1P1Q1PB1/R2R2K1 b - -,e8d6
r1bqk2r/pp1nbppp/2p2n2/3pp3/P1BPP3/2N1BP2/1PP3PP/R2QK1NR w KQkq -,e4d5
q1r2rk1/pb1N2p1/1p1b1p1p/3p4/2P2P2/1P3pQ1/PB4PP/4RRK1 w - -,g2f3
1r4k1/4bp1p/pr4p1/2p1p3/2P1P3/RnNnBP2/6PP/RK1B4 w - -,a3b3
6k1/5pp1/3q2n1/6P1/1pB1Q3/1P3P2/P7/2K5 b - -,d6g3
rq2kb1r/1p3ppp/p1nppn2/8/2B1PBb1/2N2N2/PP2QPPP/R2R2K1 w kq -,a1c1
r1bqk2r/ppp1ppbp/2np1np1/4P3/2BP4/5N2/PPP1QPPP/RNB1K2R b KQkq -,d6e5
1B6/p5pk/1p3p2/2p2K2/P3RP2/2P5/3n1r2/8 w - -,e4e7
rnbq1rk1/p4ppp/1p2pn2/8/1bBP4/1QN2N2/PP3PPP/R1B2RK1 b - -,b4c3
8/8/p3k3/3p2p1/PK6/1P5P/8/8 b - -,e6e5
2r2rk1/ppp1ppbp/2n3p1/1q6/6b1/3PBNP1/PPQ1PPBP/2R2RK1 b - -,g4f3
r3k2r/1bqp1ppp/p1n1pn2/8/1b2PP2/1NN1BB2/1PP3PP/R2QK2R b KQkq -,c6a5
6k1/1R5p/3K2p1/5rP1/5P2/7P/8/8 w - -,b7b4
r2q1rk1/3n1pbp/3p2p1/p1pP4/P2nPP2/1pNQBB1P/1P4P1/4RRK1 b - -,d4c2
r1b1rnk1/ppp1qpp1/3p1n1p/4p3/2PP3B/P1Q1PN2/1P2BPPP/R4RK1 w - -,c3c2
r1b1r1k1/ppq1bppp/2p1pn2/8/2PP4/5NP1/PPQ2PBP/R1B2RK1 w - -,c1f4
r3r1k1/pp3ppp/1bn4q/3p4/4n3/1NPB1PB1/PPQ2P1P/R4RK1 b - -,e4g3
6k1/1q1n1pp1/4pn1p/1p1p4/1B1P4/2Q1PP2/1P1N2PP/6K1 w - -,d2b3
r2qr1k1/pp3pb1/4b2p/2p1n3/2P2Q2/2N2N2/PP2B1PP/R3K2R w KQ -,f3e5
r4bk1/1b1r1n1p/2p1p1p1/3qPpP1/p1pP1P2/2P1BNNP/1P1R1Q1K/5R2 w - -,h3h4
5b2/3r1bkp/1R4p1/3p1p2/4p3/3P2P1/4PPBP/R5K1 w - -,a1b1
2r3k1/pp4p1/4pq1p/8/1P1b4/P5P1/R4P1P/2B2QK1 b - -,f6f3
1k6/8/1p1q1p2/6p1/3r4/2Q3RP/6PK/8 w - -,h2g1
7r/1K6/6R1/1P4k1/P1B5/8/8/8 b - -,g5g6
8/1b2k2p/pB1n4/3p1p1B/5P2/P1P5/2P4P/2K5 w - -,b6c5
r1bqnrk1/1p3pb1/p2p1npp/2pP4/2P1NB2/5N1P/PP2BPP1/R2Q1RK1 w - -,e4c3
4rrk1/1bq3np/p5p1/2p1pp1n/R1PpP2N/3P1PP1/1P1BQ2P/3BR1K1 b - -,c7d8
5rk1/1q1nr1np/ppbpp1p1/2p2pP1/P1P1PP2/2NP3P/1P4B1/R1B1QRK1 w - -,b2b3
r2q1rk1/2pP2pp/np3b2/pN3p2/2P5/PPN3P1/3QPPKP/R4R2 b - -,c7c6
3k4/8/n2p4/1b2p1q1/4P3/5QN1/4B3/4K3 b - -,b5e2
rn3rk1/5p1p/2p1pqp1/1p6/3P4/1Q3N2/PP3PPP/R3R1K1 w - -,a1c1
r1b2rk1/1pq2ppp/2pb1n2/p3p3/P1B1P3/2N1B2P/1PP2PP1/R2Q1RK1 w - -,d1e2
r4k2/p3pr1p/np1p2pB/8/2P1R3/1P4P1/P2R1PKP/8 b - -,f8g8
r1b1k2r/3nbppp/1q2p3/1p1pP3/p1nP1N2/3BBN2/PP2QPPP/2R2K1R w kq -,h2h4
1r4k1/4ppBp/1q2b1p1/3n4/7N/6P1/Q4PBP/R5K1 b - -,d5f6
4r3/p2r2pn/1pR1p1k1/3pP1p1/1P1B2P1/2N2N2/5P2/5K2 w - -,c3b5
8/8/8/1p5R/k1r4p/3K4/6P1/8 b - -,c4g4
rn1qr1k1/pp3pp1/2pb1nbp/8/3NP3/2N1BPP1/PP4BP/R2Q1RK1 b - -,b8a6
5k2/2R3n1/3p4/3P2P1/1P3p2/1rpB4/5PK1/8 w - -,c7c4
r2q1r2/pp3pk1/2npb1pp/2p1p2n/4P3/P1NP1N1P/1PPQBPP1/R4RK1 w - -,c3d5
2kr3r/pp4p1/4pp2/3n4/3b2P1/P5P1/1P1BB1KP/1R3R2 w - -,e2f3
8/p3qpk1/2n3p1/2p3p1/2B3P1/1P2P2P/5P2/1Q3K2 w - -,b1b2
4rnk1/6p1/2R1p3/6B1/8/5PPB/r6P/5K2 w - -,c6c1
6k1/2r2p2/2nN2b1/2PB2pp/5p2/P6P/1R2RPPK/4r3 b - -,e1e2
2rk4/r2bb2Q/p3q3/1p2p3/6B1/2P4P/P5P1/3R1R1K b - -,e6c6
r4rk1/pb3ppp/1p1p2q1/n1pBp3/2PPP3/2P5/P4PPP/1RBQ1RK1 w - -,d1d3
8/6R1/5pp1/5k1p/4p2P/4K3/5PP1/5b2 w - -,g2g3
8/8/p7/1pN4n/1Pk5/P7/6K1/8 b - -,a6a5
8/5kp1/3R1p1p/1p3P1P/1P3K2/2PbBP2/r7/8 b - -,d3c4
6k1/2p5/2p3pb/p2pP2p/6bP/P2N1rP1/1PP3R1/1K1N4 w - -,d1f2
3q1rk1/p4ppp/1r3n2/3pb3/8/1PN1PBPb/P4P1P/R1BQR1K1 w - -,c1b2
2r3k1/q7/1RBp2p1/r2Pp3/1QP1PnP1/7p/2R4P/6K1 w - -,c4c5
r1bqk2r/ppp2pbp/2np1np1/8/2P5/2N3P1/PP1QPPBP/R1B1K1NR w KQkq -,b2b3
8/5bk1/1p3rpp/p1pB2n1/P1Pb1BP1/6K1/1P1NR3/8 w - -,d2b3
r2q2rk/p2bb2p/1pp1p3/2Pp1p2/1P1P1P2/P1N1P3/2QKB2P/R6R b - -,d8f8
r1bqk2r/p4ppp/2pb4/n3p3/5n2/2NB1N2/PPPP1PPP/R1BQK2R w KQkq -,d3f1
1R6/8/8/5p2/3bk1p1/6P1/5P2/4nK2 b - -,e1d3
5rk1/1b3p2/p1n3Rp/qp5n/7Q/1Bb2N1P/PP3PP1/2B3K1 b - -,g8h7
r6r/ppp1k1p1/3bpp2/4n2p/8/3PB2P/PPP2PP1/2KR2NR w - h6,g1e2
r2q1rk1/p3b1pp/2p1bpn1/2p1p2Q/2N5/1P6/PBPPNPPP/R4RK1 w - -,d2d3
3n4/1pk3p1/5p2/3R1b1P/3P2N1/2r4P/6BK/8 b - -,f5g4
r1r3k1/2q2ppp/3p4/4pP2/6P1/pPn1B3/P1P4P/K1R1Q2R b - -,a8a4
r1b2rk1/2q1bppp/1p2p3/n3P3/8/2N5/P3BPPP/R1BQ1RK1 w - -,d1d4
r2q1rk1/pbpnbppp/1p1pp3/8/2PP4/1PQ2NP1/P3PPBP/R1BR2K1 b - -,e7f6
3r1rk1/1q2b2p/p1bp2p1/1p2P2n/4p3/P1BBQ1P1/1PP2N1P/4RR1K w - -,d3e2
r1b3k1/pp2rpb1/1q1P2p1/2p1p3/8/2NP3P/PP1Q2P1/R4RK1 w - -,d6e7
r1r5/1p3p1k/4pqp1/p2Pp2p/2Pn4/1P3P2/P4RPP/3RQB1K w - -,e1d2
3K4/3P4/8/7p/2r3kP/3R4/8/8 w - -,d8e8
4B3/8/3p4/2k5/2b2K2/8/8/8 w - -,f4e3
rnb1k2r/pp2ppb1/6pp/8/3PP3/4B3/P2K1PPP/2R2BNR b kq -,e8g8
r5k1/r3bppp/1q2pn2/p7/Qp1P4/3BP3/1P1B1PPP/R4RK1 b - -,b6d8
r1b1r1k1/1pqpbppp/p4n2/8/2PQ4/1PN3P1/P4PBP/R1B1R1K1 b - -,d7d6
8/3b3p/1R1Ppkp1/2r2p2/2B2P2/4K1P1/P6P/8 w - -,e3d4
8/8/K7/5kp1/8/6p1/8/7R b - -,f5g4
r6r/1pp2k2/p1pb1pn1/4p1pp/PP2P3/3PBP1P/2PN1P2/RR3K2 w - -,d2c4
5k2/pp6/4Q3/6P1/4p3/3b2K1/4r2P/8 w - -,e6h6
2rr1nk1/3qbpnp/pp1pp1p1/6P1/2PN1P1P/1PN1PQ2/PB6/2R2RK1 w - -,c3e4
7B/5k2/p5p1/1p1P4/5r2/n7/6PP/R6K b - -,a3c2
5k2/5p1p/1npr1pp1/p7/p2P4/2PBPP1P/1PK5/4R3 w - -,e3e4
6r1/8/1R1P4/2P3p1/1P1k2K1/7P/8/8 b - -,g8g7
