8/5Q1k/q4bp1/p6p/4B2P/6P1/5PK1/8 b - -,f6g7
r2qr1k1/1pp2pp1/p1n1bn1p/2bpp3/4P3/1BPP1NNP/PP2QPP1/R1B2RK1 b - -,c5f8:d8d7
3k4/pR6/2p5/2N2qp1/1P1p4/P6p/4R3/5K2 w - -,f1g1
8/8/2k5/1p6/1Kn3b1/p7/8/7R w - -,h1h6
rnbqkb1r/pppp1pp1/4pn1p/6B1/3PP3/8/PPP2PPP/RN1QKBNR w KQkq -,g5f6:g5h4
r7/ppqb2bk/1np3pp/5p2/8/1NPB4/P1PB1PPP/3RQ1K1 w - -,b3c5
1R5k/p2nq1pp/2p1p3/2pp1p1b/3P1P2/2PNPP2/P4QBP/7K b - -,d7b8
b7/4r2k/P1n3pp/2R5/4P3/3r1NNP/5PP1/2R3K1 b - -,e7e6
2kr3r/ppb2pp1/4p2p/2p5/1nPPB3/P7/1P3PPP/R1BR2K1 b - -,b4a6
r1b1kb1r/2q2p2/2p1n1pP/ppn1p3/4P2P/P1N1BN1B/1PPQ1P2/2KR2R1 w kq -,h4h5
rnb1k2r/pp2bppp/2pqpn2/4N3/2BPN3/8/P1PBQPPP/1R3RK1 b kq -,d6d4
3q1rk1/2n2pbp/p2p4/2p2P2/P1Pn4/2NPB2P/1r2N1B1/3Q1RK1 w - -,e2d4
8/5k2/8/4K1p1/6P1/6P1/8/8 b - -,f7g6
r2q1rk1/1b1nppbp/p4np1/Pp1p2B1/2pP4/2P1P3/QPNNBPPP/4RRK1 b - -,f6e4
6k1/4Bp1p/p3p1p1/P3P3/2b1PP2/1r2K1P1/8/8 w - -,e3d4
r1bq1rk1/1ppnppbp/p4np1/4N3/P1BP1B2/2N2Q2/1PP2PPP/R4RK1 b - -,d7b6
2r2rk1/1p1b1ppp/p2n4/NP1p4/P2Nn3/6P1/1R2PPBP/5RK1 b - -,d6c4
r1bqrnk1/pp2bppp/2p1pn2/3p4/2PP4/1PN1PN2/PBQ1BPPP/R4RK1 b - -,c8d7
2r3k1/ppr2pbp/2p1p1p1/6PP/1P1PBP1R/2P5/P1K5/1R6 w - -,h4h1
5rk1/pqr1bppp/3p1n2/4p3/1p2P3/1B1N3P/PPP1QPP1/1K1R3R w - -,h1e1
r4rk1/pb2ppbp/np2q1p1/1B6/3PP3/5N2/3B1PPP/1RQ1R1K1 w - -,d2f4
3r4/p1n3kp/6p1/4p3/1Pp3p1/PbN1P1P1/4NP1P/2K4R b - -,d8d3
r4rk1/1p1qppbp/1nn3p1/p3p3/P2P4/1BN2Q1P/1P3PP1/R1BR2K1 w - -,d4e5
8/8/4k2p/4pp2/5b2/5PNP/6K1/8 w - -,g3e2
r5k1/pp5p/6pb/2p1n1N1/3pPBn1/1P4PB/P1P4P/5RK1 b - -,a8e8
2b3k1/1pq5/3bprpp/3pNn2/P4R2/2PQ3P/1PB1RPP1/6K1 w - -,e5g4
2r3k1/1p1N2b1/r3n1pp/2p1p3/6N1/P2P1P2/1PP3P1/2K1R2R w - -,g4h6
3r3r/1p3kp1/p1b2B1p/5R1P/8/6N1/PP3PP1/2R3K1 b - -,g7f6
b3rbk1/p2n1p2/2q2npp/2pp1N2/4P3/P1B3Q1/2BN1PPP/1R4K1 w - -,e4d5
2r4k/8/1p6/pP1qPp1p/P1pP2pP/2R1PbP1/5K2/R4Q2 w - -,a1c1
4r3/pp5k/5qpp/2p5/2Pbr1p1/1P1p4/P2QPBRP/4RK2 b - -,d4c3
2kr1q1r/pppb2p1/2nppb1p/8/3P4/2PB1NN1/PPQ2PPP/1K1RR3 b - -,e6e5
8/pp2pk1p/3p1p2/4nN1P/1Pb1PKP1/P5R1/5r2/6R1 w - -,f4e3
r1r5/p3kppp/2n1p3/1p1pP3/1Pb2P2/P3KB2/1B4PP/2R4R w - -,g2g4
r1b1k2r/pp1nppb1/3p4/q1pPn2p/2P1P2B/2N2PN1/PP1Q2P1/R3KB1R b KQkq -,d7b6
8/5k2/1p4p1/5p2/1P2PK2/1r3P2/8/3N4 b - -,f7f6
rn1q1rk1/pp2npbp/2ppp1p1/8/3PNP2/6P1/PPP2PBP/R1BQ1RK1 w - -,a1b1
2rq1r2/pp1bbpk1/4p1pp/2npP2P/5QP1/2NB1N2/PPP2P2/1K1R3R b - -,g6g5
r7/p3pk2/1n1p4/2pP3p/5BpP/8/PPK2PP1/3R4 b - -,a7a5
r1b1rbk1/1p2qpp1/p3p2p/2n1P3/2PN3P/5Q2/P5PB/1B1R1R1K w - -,f3f2
rnbqk2r/pp3ppp/4pn2/2p5/2PP4/P1P5/5PPP/R1BQKBNR w KQkq -,g1f3
r3k2r/2pq4/ppp1bp1n/4p1p1/PP2P3/1N1PN1Pp/2P1QP1P/1R3RK1 w kq -,a4a5
3rn1k1/r2nbppp/1p2p3/pPp5/2P5/P4B1P/1BK2PP1/1N1RR3 w - -,b1c3
8/8/8/4Pp2/1Qbk1P2/P6P/2p3PK/3q4 w - -,b4d6
r3kb1r/ppp3pp/2p1qn2/8/4p3/3P4/PPP1QPPP/RNB1K2R w KQkq -,b1d2
r1bq1rk1/pp2ppbp/6p1/n7/2pNP3/2P4P/PB1PBPP1/R2Q1RK1 b - -,e7e5
3r1rk1/ppq2pp1/2p2np1/2b1n3/8/1PN1P1P1/PB2QPBP/R2R2K1 b - -,f8e8
1r3r1k/6bp/1q1p2p1/5P2/1NQp4/2P5/1P3PPP/R4RK1 b - -,f8f5
r1bq1rk1/1p2ppbp/p1p2np1/8/3PP3/5N2/PP2QPPP/RNB2RK1 w - -,b1c3
3R4/8/1K6/4k3/1P6/8/2r5/8 w - -,b4b5
6k1/5q2/p5b1/1p5p/3Bp2P/2P1Q3/PP4P1/6K1 b - -,g8h7
2n5/8/5p2/p2B3k/4PK2/7P/8/8 b - -,c8d6
r1n2rk1/1p3ppp/3pb3/bNq5/2P1P3/1P3P2/3QB1PP/1N1RK2R w K -,b5c3
7r/p7/2p5/1pPbkp2/1P1Rp3/P3P1P1/4B3/6K1 b - -,h8g8
4nb1k/r4r1p/pp2qp1B/2p1pN1R/P1PnN3/1P1Q4/6PP/5R1K w - -,f5h4
2r3k1/2r3b1/1n2p2p/pp1qP1p1/3PN3/1Q4B1/P3RPP1/3R2K1 w - -,b3e3
1r2r1k1/2p2ppp/p2b4/8/5qPN/2B4Q/P1n1RPKP/3R4 w - -,d1d2
3r1k2/pp3pb1/2p2np1/2Pq3p/1P1p4/3B1N1P/P1Q2PP1/4R1K1 b - -,d8e8
r1bq1rk1/1pp1npbp/2np2p1/p3p3/2P5/P1NPP1P1/1P2NPBP/1RBQK2R b K -,c8g4
2b2rk1/4qpb1/2p3p1/4p3/4P2p/P4PN1/6P1/R1QR2K1 w - -,g3f1
1kb5/pp5R/2p1n3/4Npr1/2P5/8/PP2P1B1/2K5 w - -,g2c6
3r1rk1/1b3q1p/ppn3nb/2p1pp2/2Pp4/1P1P2P1/PBNNQPBP/1R3RK1 w - -,g2d5
r1r3k1/1p1bpp1p/3p1bp1/3N1P2/1qP1P3/1P6/3QB1PP/3R1RK1 b - -,b4d2
2r3k1/1p3p1p/6p1/3q4/8/6P1/PP2QP1P/4R1K1 w - -,b2b3
r1b1kb1r/pp1n1pp1/1qp1p2p/3p4/3P2n1/2NQ1NBP/PPP1PPP1/2KR1B1R b kq -,g4f6
6r1/5p2/2pk1n1p/p2N1P2/1p3KPP/5B2/PP6/3R4 b - -,f6d5
r5k1/2p2ppp/pp4q1/2p1Pb2/2Q2P2/2P1R2P/PP1r1BP1/5RK1 w - -,g2g4
r2qr1k1/1ppb1pbp/n2p2p1/3PP3/1P3P2/NQ4PP/P4BB1/3RR1K1 b - -,d6e5
1rb1r1k1/1q3pbp/1n1P2p1/1p2pP2/2p1N3/4BQ1P/1PB3P1/R4RK1 w - -,f5g6
8/8/1pk1p3/4P3/5N2/P5r1/1P1K4/8 b - -,c6d7
r7/1q2bpk1/4p1p1/3PP2r/1p1R1P1p/1P5P/4Q1PB/3R3K b - -,e6d5
3r4/4k3/pb4p1/1p2PpNp/1P1p1P1P/P2R2P1/1K6/8 w - -,g5f3
r3k2r/ppqbp3/n2p3p/2pP1pp1/2P2BnP/2P5/P3PPPN/R1Q1KB1R w KQkq -,f4d2
1rb2rk1/p4pbp/6p1/8/8/4BB2/PP3PPP/R2R2K1 b - -,b8b2
5rk1/pb2r1pp/1q3b2/3pp3/2p3Q1/2PBB2P/PP3PP1/3RR1K1 b - -,b6b2
r1b1nrk1/p3q2p/3p2p1/1ppPpp1P/8/3P1BP1/PPPQNP2/2K1R2R b - -,g6g5
r1b5/2P2pkp/8/3N2Pp/r6P/2R3P1/P1R2K2/8 b - -,a8a5
1rqr2k1/5p1p/3NpPpb/1pP1p3/1P6/Pb3N1P/4QPBK/4R3 b - -,h6f4
r1k1b2R/p1p2pp1/1pp5/2b1PnN1/8/2N2Kr1/PPP5/R1B5 w - -,f3e4
3q4/2p2pkn/2Bp2p1/3Pp1Pn/4r3/4PQ1N/5R2/7K b - -,d8e7
2r1r1k1/p1q2pbp/1p1p1np1/n1p1p1B1/3PP3/1PP2NNP/P2Q1PP1/R3R1K1 w - -,d4d5
r1bqk1nr/1pp1nppp/3p4/p2Pp3/1bP1P3/3B1N2/PP1B1PPP/RN1QK2R w KQkq -,b1c3
r5k1/1p3p1p/2pRb1p1/1P2b3/2P1P3/5rP1/5B1P/1R3BK1 w - -,d6d2
3Q2k1/7p/3p4/1P2p1P1/1q6/5PK1/8/8 b - -,g8g7
rn1qkb1r/1b3ppp/pp1ppn2/6B1/2PNP3/2N2P2/PP2B1PP/R2QK2R b KQkq -,b8d7
r4rk1/ppq1ppbp/2n2np1/2p3B1/2B1P1b1/2P2N2/PPQN1PPP/R4RK1 w - -,a1e1
rnbqkbnr/1pp2ppp/4p3/p2p4/2P5/1P3N2/P2PPPPP/RNBQKB1R w KQkq a6,e2e3:b1c3
8/5kp1/1rp5/p2n2BP/1p1P4/PP6/1KP5/5R2 b - -,f7e8
r1b1k2r/pp1nbppp/2pp1n2/q3p3/2BPPP2/2N2N2/PPP3PP/R1BQ1R1K b kq -,e8g8
4r1k1/2qn1ppp/1pp1rn2/p1b1pN1b/P1N1P3/6PP/1PPB1PB1/R3QR1K w - -,g3g4
4k3/1p1r2pp/pB1PK3/P5P1/8/7P/1P6/8 w - -,h3h4
1r2k2r/2p1npb1/2ppp1pp/1q6/p2PP2P/2BR4/PPP1QPP1/1K1N3R w k -,e2d2
5rk1/6pp/4p3/2Pp4/8/6PP/2R2PK1/8 w - -,f2f4
8/Q3b3/4k1p1/8/1P6/2P1p3/5qBK/8 w - -,a7a6
r4r2/pp3pkp/1q4p1/2pPp2n/2P5/7P/PP1Q1PP1/2KR1B1R b - -,f7f5
r5k1/2p2rpp/1p1p2b1/2p2q2/1PP2P2/P5Q1/1B3RPP/4R1K1 b - -,a8f8
3r1r2/2q2pkn/1b4pp/1p2p3/2p1P1Q1/2P4P/1PBB1PP1/R2R2K1 w - -,g4h4
8/3kp3/6P1/5K2/3PB3/8/8/6r1 w - -,f5e5
8/3R2pk/5b2/5R1p/5P2/1r3K2/8/8 w - -,f3e2
4k2r/ppBq2pp/2n5/2bp1p2/Q7/5R2/PP3P1P/R3K3 b Qk -,d7c7
6k1/5pbp/6p1/1p1Np3/3p4/1P6/rB3PPP/1R4K1 b - -,f7f5
r5r1/3nqp1k/2pp1b1p/pp2pPp1/2P1Pn2/PP1P3P/1BQ2P2/1K2NBRR w - b6,e1g2
r2q1rk1/pppb1pb1/2np1npp/1B2p3/4P3/2PP1NN1/PP3PPP/R1BQR1K1 b - -,g8h7
6k1/5pp1/2n1p2p/1q1p4/8/2QN1PP1/4PK1P/8 b - -,b5a4
r2q1rk1/4bp1p/p1ppb1p1/4p3/4P3/1PN5/PBP1QPPP/3RR1K1 b - -,d8c7
2kr4/pp3pp1/3Np2p/7P/3P1P2/2P3P1/1P6/1K1R4 b - -,d8d6
8/2B5/8/8/2K3k1/1P6/6P1/4b3 w - -,b3b4
8/6p1/4kp2/7p/2pKPP1P/6P1/R7/2r5 b - h3,c4c3
r2q1rk1/pp1n1ppp/2p1p1b1/P3P3/1b1P4/1BB2N2/1P2QPPP/R4RK1 b - -,b4e7
1k2nrb1/1pp1P1p1/p2r1p1p/P2p1B1P/3P3B/5P2/1PPK4/4R2R b - -,f8f7
r2r2k1/4qpb1/2p1n1p1/p1n1p2p/P1N1P2P/2P1BPP1/2QN4/R2R2K1 b - -,d8d3
r1b2rk1/ppq2ppp/2n1pn2/6B1/2B2b1P/1N3N2/PPP1QPP1/1K1R3R b - h3,g8h8
r2qr1k1/pp1bppbp/6p1/3N1n2/8/4B1PP/PP2PPB1/R2Q1RK1 w - -,e3c5
7r/8/5k2/6R1/6P1/4K3/7p/7B w - -,g5f5
2r5/2rk4/p1p5/Pp1pPp2/1P1K2p1/4P1P1/2R2P2/2R5 w - -,c1h1
4Q3/3r1pbk/6pp/3q4/1B4b1/PP3N2/5PP1/4R1K1 w - -,e8e4
8/pp3k1p/5pp1/n2r4/PR1N4/4B3/3p1PPP/2rR3K w - -,b4b1
r2qkb1r/p5p1/2pp1n1p/1p3b2/3Q3B/1BN5/PPP2PPP/R3K2R b KQkq -,d8e7
5r2/4pkbp/p1q1npp1/1p1p1P2/8/2P1B1P1/PP1R1Q1P/4R1K1 b - -,g6f5
1R6/8/1p6/pP3pp1/P4k2/3r3P/6K1/8 w - -,b8b6
8/p4pbk/1pq3p1/3pBb1p/3P3P/1P4P1/P2Q1PBK/8 b - -,g7e5
3rbk2/1p2rp2/6pp/1PPR4/5p2/4PB2/1R3PPP/6K1 b - -,d8d5
1r1q1rk1/p2b1p1p/3p1npQ/np2p3/4P3/1BN2P2/PPP1N1PP/2KR3R w - b6,d1d6:e2g3
3rr1k1/pbnq1ppp/1p3b2/3p2N1/2pP3P/P1N1P1P1/1PQ2PBK/3RR3 b - -,f6g5
r2q1rk1/pp3nb1/3p1np1/2pP1p1p/2P2P2/2N1B1P1/PPQ1B2P/R3R1K1 w - -,e3d2
8/6kp/6pb/3NN3/3n4/q1rpP3/3Q2PP/4R1K1 b - -,c3c2
r1r2bk1/5p1p/2p1b1p1/1p2P3/4B3/1PN5/P1R2PPP/5RK1 b - -,a8a5
rr4k1/q2n1pb1/3Nb1p1/pR2p2p/P6P/2Q1P1B1/4BPP1/1R4K1 b - -,b8b5
r3k2r/ppp2ppp/2n2qb1/2b1p3/4p1P1/2P3NP/PPBP1P2/R1BQ1RK1 b kq -,f6h4
8/8/3k3p/5p2/1p6/3Rn1qP/6B1/6RK b - -,d6e5:d6c5
8/5pkp/5p2/4b3/1R6/4N1P1/4PPKP/2r5 b - -,h7h5
q5k1/5p1p/2p1p1p1/3n4/1PP5/6P1/5P1P/4QBK1 b - -,d5e7
2r1r1k1/5pp1/8/R1p1p1p1/1p2P3/1RP3P1/5P1P/6K1 b - -,b4c3
8/2r2p1k/2p1p1p1/1n5p/1P1qP2P/5BP1/2R2PK1/Q7 w - -,a1e1
rnb3k1/pp5p/3N1p2/1pPp4/3Pp3/2P3P1/P3P1BP/R5K1 b - -,b8c6
r2q1rk1/pb2npbp/1pp1p1p1/3pN3/2PPnB2/2N5/PPQ1BPPP/2RR2K1 w - -,c3e4
8/3R4/1r2nkpp/8/4B3/7P/5PP1/6K1 w - -,e4d5
4nk2/4rpp1/8/4RP1p/5B1P/2P5/6PK/8 w - -,e5e7
8/1pk2p2/p7/3RN2p/PP1p1r1P/8/4K3/8 b - -,f4h4
1rb1qr1k/1p3pbp/p2p2p1/4p2n/P1BpP3/1P1P3P/2P2PPN/R1BQ1RK1 b - -,f7f5
r1r3k1/pp1n1pp1/4p2p/1PPnP3/3R4/B4N2/6PP/2R3K1 w - -,g1f2
rnbqkb1r/pp3ppp/5n2/3Pp3/8/2N3P1/PP1P1P1P/R1BQKBNR b KQkq -,f6d5
1r4k1/1pN2pb1/p5pp/8/3p2b1/6P1/PP2PPBP/3R1K2 w - -,h2h3
r1b1r1k1/pp4p1/2p2p1p/2q1p1n1/2P1P3/1PB3PP/P3QPBK/3R1R2 b - -,c8e6
r1bqk2r/1pp2ppp/p2p4/2b4n/4PB2/1PNP1N2/1PPQ2PP/R3K2R w KQkq -,f4g5
4k1N1/8/2P1p2p/1P2P1p1/5pP1/7P/5K2/7b b - -,e8f8
r1bq2k1/ppp2rbp/3p1nn1/2PPp1p1/4Pp2/2NN1P2/PPR1BBPP/3Q1RK1 b - -,g7f8
2r3k1/4R3/3B1p2/2P2P2/3K4/8/6b1/8 w - -,d6g3
5b2/1b1B3p/pp1P4/2p1pNk1/P3P3/1P1K1P2/7P/8 w - -,h2h4
rnbqr1k1/pp3ppp/2p2n2/3p4/3P1b2/P1NBPP2/1P4PP/R1BQ1RK1 w - -,e3f4
8/2p3k1/2p1p3/r2n3R/1N4P1/P7/1K2R2P/3r4 w - -,e2e6
5rk1/pp2n1pp/1q1p4/3B4/3P1r2/4R3/PP1QP2P/4NRK1 b - -,e7d5
B4rk1/4bp1p/p3p1p1/1p2q3/8/1N4P1/PPP3QP/1K1R4 w - -,a8f3
6k1/7p/b1p1p3/6r1/8/P1B2P2/4P2P/5R1K w - -,f1f2
8/7p/4k3/2b3BP/p3K3/8/8/8 w - -,g5c1
8/pp3pk1/1nq1p1p1/7r/3PN3/P1P3P1/Q4PK1/R7 w - -,f2f3
r3k2r/p2pppbp/1p4p1/4P3/2P3q1/3B1b1P/PP3PP1/R2QR1K1 w kq -,h3g4
8/8/3k1Pb1/P5R1/2pp4/8/8/2KB3r b - -,g6f7
r2r2k1/4qp2/p2pb1nQ/2p2P1p/P1P1P3/1p2R2P/1P4P1/R4BK1 w - -,e3g3
r4rk1/1bp1nppp/1p1n4/p2P4/6q1/P1NB1N2/1P1Q1PPP/2RR2K1 w - -,h2h3
2r2bk1/5p2/2q1b1p1/rp1pPpPp/p2B1P1P/P1PQ2K1/1P6/RR3N2 b - -,c6c4
3r3r/1kbqn1p1/p3npP1/1pp1p3/P2pP1QN/1P1P4/1NPB1P2/2KR3R b - -,e6f8
r2q1rk1/1p1nppbp/p1np2p1/2p5/4P3/2P1N1QP/PP1P1PP1/R1B1RBK1 b - -,b7b5
r2q1rn1/1ppb1pbk/3p2pp/p1nPp3/2P1P1P1/2N1BN1P/PPBQ1P2/R3K2R w KQ -,e1c1
2r3k1/rp1bppb1/n2p3p/1pp3p1/3PB3/P1P1P1P1/1P1N1PP1/R2RN1K1 w - -,e1d3
2B4k/2R5/P7/4p2p/4P2P/4b3/5r2/5K2 w - -,f1e1
r3r3/2p1Npk1/p4nBp/2B5/5bb1/P6P/5P2/1R2R1K1 w - -,g6f7
5r2/8/4Q3/8/kp2R3/2q4P/6PK/8 w - -,e6a6
1r4k1/1r1b1p1p/q1p1pbp1/ppB5/P2P1P2/1RPB2P1/2P1Q2P/1R4K1 b - -,a6a8
1r1q1r1k/pp1bn1b1/3p1ppp/2pPp3/7P/1QPPBPP1/PP2N1B1/R3K2R w KQ -,g2h3
rn1q1rk1/pb1pppbp/1p3np1/2p5/2P5/1PN2NP1/PB1PPPBP/R2Q1RK1 b - -,b8c6:b8a6:d7d6
2n5/2n2K2/4P3/2k5/1p6/1B2B3/8/8 b - -,c5b5
r4rk1/1b1nq3/p2p1pp1/1pp4p/4PP2/P1NP2PP/1P1Q2B1/R4RK1 w - -,a1e1
2R5/8/3k1n2/p2b3p/5r2/1P3P2/P2R1K1P/8 w - -,d2d3
r4rk1/p1p1bppp/1p3n2/3p4/3P4/6P1/PP2PPNP/R1BR2K1 w - -,c1g5
4k3/3n1pb1/2b3pp/4P3/2p2P1P/P3NN2/6rB/3RK3 b - -,c6f3
