8/p1P4p/7k/Pp6/2npB3/3K4/8/8 b - -,c4d6
r1bqrbk1/pp1n1pp1/2p2n1p/3p4/1P1P4/P1NBPP2/4N1PP/R1BQ1RK1 w - -,a1b1
3b4/7p/1p1Pk3/p6R/6P1/P1B1r1p1/1P6/6K1 w - -,h5h6
r6k/ppr1q1b1/3R3p/2P1pb2/Q3N1p1/6P1/P3BPP1/3R2K1 b - -,a8c8
8/p4p2/1kp1rp1p/3R3P/1PPK2P1/P7/8/8 w - -,d5d7
2r3k1/1q3pp1/pB2p1np/8/5r2/2P2N1P/1P3QP1/3N1R1K w - -,b6e3
4r3/ppkb3Q/2n5/1n2p1p1/1P1pP1q1/3P2N1/2PB2BP/5R1K w - -,f1f7
8/4p2p/p3rkp1/2r2p2/1p1p1P1P/3P1K2/PPP1R3/2R5 w - -,e2e6
Q6k/1pp3b1/4br2/1PP1npq1/3R2p1/P5P1/5PBN/3R2K1 b - -,h8h7
1r2r3/2p2k2/1pNpn3/3B4/2PQ2p1/6q1/PP6/2R1RK2 b - -,f7g6
8/3R2pk/8/5pK1/4b2p/7N/8/7r w - -,h3f2
3r1rk1/ppq2p2/2np1bpp/3Bp3/4P3/2P2N2/PP2QPPP/R2R2K1 w - -,d1d2
r3r1k1/pp3ppn/2p1b3/q2n2Pp/2pPN2P/P1N1PP2/1P2Q1B1/2KRR3 b - -,b7b5
r1r2bk1/1bqn1p1p/p2p1np1/P1pPp3/1p2P3/1PP2NNP/2B2PP1/R1BQR1K1 w - -,c3c4
4b1k1/p3p1b1/1r1pP2p/2pP1P2/1qP3p1/1Pp3P1/P1B1R1P1/2QK3R b - -,b6a6
3r1r1k/1p4pp/p1np1pqb/P1p1p3/2B1PPP1/1PPPN1PQ/R7/5RK1 w - -,e3f5
rn1q1rk1/pp2ppbp/3p1np1/2pP4/4PBb1/2N2N2/PPP1BPPP/R2Q1RK1 b - -,g4f3:b8a6
r7/1pr2pbk/2qpb1pp/PQn5/2P3P1/R3BPNP/4B1K1/1R6 b - -,c6e8
r1b2rk1/pp4pp/4p3/3p4/1b1B3q/5nN1/PP3KPP/R2Q1B1R w - -,g2f3
2rq1rk1/pb1nbppp/1p2p3/2pp4/2PP4/1P1BP3/PB1NQPPP/2R2RK1 w - c6,d2f3
6k1/1pp2pb1/2n4p/p4P2/2P4q/P2QP2P/1P2r1B1/1R3RK1 b - -,e2e3
1q3k2/p4pp1/1p6/8/1PP1r3/P4QP1/5PKP/8 w - -,f3e4
2rr4/1p3p2/2pp1k1p/1NnPpPb1/p1P1P3/P4B2/1P2R1P1/1K1R4 w - -,b5c3
1rbq1rk1/p4pbp/2p1p1p1/3p3n/3P4/2N1B1P1/PP2PPBP/R2Q1RK1 w - -,c3a4
r2q1r2/ppp1ppbk/2n1bnpp/8/3P4/2N2NPP/PP1BPPB1/R1Q2RK1 w - -,e2e3
2r3k1/5pp1/p1PQ4/1p2P3/5q2/6RP/P5PK/8 b - -,f4f5
r4rk1/8/2N3pp/1p1P4/5P2/PR2P1P1/6BP/4b1K1 b - f3,g6g5
r1bqk2r/pp1pbppp/2n5/2p3B1/4P3/2P2N2/1P1Q1PPP/1K1R1B1R b kq e3,e8g8
r1bqrnk1/pp3pb1/2n3p1/2p1pP1p/3pP1PP/3P1N1B/PPP1QN2/R1B2RK1 b - -,h5g4
r1bq1rk1/pp3p1p/4p3/3p4/3P2P1/1QNBPN2/PP3K2/R7 b - -,h7h6
2r3k1/4pp1p/1Q4p1/3PR3/2r5/q5P1/5P1P/1R4K1 w - -,e5e1
8/5r1k/2p3pp/2Pbb3/1Q2pP1P/4B1q1/4R1B1/6K1 b - -,e5f4
8/7k/8/2pN4/2Nb1P2/7P/6K1/2r5 w - -,d5b6
1r2r1k1/p2bpp1p/3p2p1/3q4/2pNR3/2Q2P2/PPP3PP/2KR4 w - -,d4e6
r2q1rk1/1p1npp1p/p3b1p1/4P3/3Q1P2/1P1BP3/PB5P/R2R2K1 b - f3,d8b6
8/8/2n5/2kn4/4R3/PP6/1K6/8 w - -,e4h4
1rr4k/2N3p1/p6p/6b1/1BR5/1P6/P5P1/1K6 w - -,a2a3
1k2r3/8/3n2p1/p2P1p2/2p4p/4pP1P/PPB3P1/1K2R3 w - -,f3f4
3r4/3P4/4Qbk1/8/8/6K1/8/8 w - -,g3g4
6k1/3q1pp1/4b2p/8/pp1PnQ2/7P/PP3PP1/2N3K1 w - -,f4e4
8/p7/8/2r1pk1p/2P1p3/4K1P1/P1R2P2/8 w - -,e3d2
1qr1b1k1/4npbp/pB2p1p1/1p2P3/4NP2/1N6/PPP2QPP/3R3K b - -,e7d5
5r2/6k1/6R1/7P/6B1/6K1/8/8 b - -,g7h7
8/3k1pp1/2p2n1p/5P2/2PBp1P1/1B5P/PP2K2b/8 w - -,b3c2
2r3k1/r4pp1/4p2p/p2pN2b/3Pn3/bB2B2P/P4PP1/1R2R2K b - -,e4c3
r7/4P2R/8/8/8/4K3/6p1/6k1 w - -,h7g7
2rq1rk1/1b2bppp/np2pn2/p1pP4/8/PP1P1NP1/1BQNPPBP/R3R1K1 b - -,f6d5
r7/ppp2k2/3p1bpp/1P1P4/5q2/3P2P1/P2N1PKP/1R6 w - -,g3f4
5rk1/p4ppp/Bn6/4n3/PR4P1/5KP1/5P2/2R5 w - -,f3g2
3N4/2pR4/1b3k2/8/1PK5/8/8/4r3 b - -,b6e3
2r1r1k1/1b3pbp/p2p1np1/1pnP4/2pNP1P1/P1N1B2P/1PB2P2/3RRK2 w - -,e3f4
r1b1k2r/p2pb1p1/2p2pn1/q3p2p/4P2P/1QN1BN2/PPP2PP1/2KR3R w kq -,f3d2
6k1/r4r1p/p4p1n/2p1p1p1/3bP3/1PN3BP/1PR2PP1/R5K1 w - c6,c3a4
2bq1rk1/p3Bpp1/2p1r2p/3p4/4n3/1PPB3P/P2N1PP1/R2QR1K1 b - -,d8e7
2R5/6p1/2p2k2/7p/2r4P/5KP1/8/8 w - -,c8c7
rq2r1k1/5p1p/p5p1/P2p4/3Q4/1b1B1P2/1P4PP/R1R3K1 b - -,b8a7
2k5/p5Rp/1p6/8/4r1n1/8/5PP1/4B1K1 w - -,e1c3
rn1qkb1r/pp2pppp/2p2n2/3p4/2PP1B2/4PP2/PP3P1P/RN1QKB1R b KQkq -,e7e6
6k1/1pr2ppp/pn2p3/n1P1P3/6b1/P3BN2/4BPPP/3R2K1 b - -,b6d5
1rr3k1/p4ppp/b7/2Pp2b1/8/1P2B3/P3NPPP/3RK2R b - -,g5e3
8/1R6/5pk1/4p1p1/6r1/2P5/PK3P2/8 w - -,b7d7
1R6/4k1pp/8/1B6/1P1PpK2/4Pb2/5P2/6r1 w - -,d4d5
3rr1k1/ppp1qp2/2np3p/2b1pB2/4Pn2/2PP1N1P/PP1N1PPp/R2Q1RK1 w - -,f3h2
rn2kb1r/q1B2ppp/p3pn2/P7/1p1P4/2N2bP1/1PP2PBP/R2Q1RK1 w kq -,d1f3
R7/5rp1/2p5/3k1P1P/2nP3P/p1P5/2P1K3/2B5 b - -,f7f5
r3k1nr/1pqb1ppp/p1nBp3/3p4/3P4/2PB1P2/PPN1N1PP/R2QK2R b KQkq -,c7d6
7k/2R3pp/1P3n2/PQ2p3/3pq3/8/5PKP/8 w - -,f2f3
r3kb1Q/5p2/4pp2/8/2p1P3/5P1P/5P2/6K1 w - -,h8f6
3r3r/8/8/5P2/3kp1NP/1p1b2K1/1P1R4/3R4 b - -,d8g8
5b2/1p1k1p2/p1p1r3/3r1p2/2RP1K1P/P3P1P1/1PR2P2/8 b - -,a6a5
r1bqk2r/ppp2ppp/1nnb4/4p3/8/P1N1PN2/1PQP1PPP/R1B1KB1R w KQkq -,b2b4
r2qk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1b1P/PP3PP1/RNBQ1RK1 w kq -,d1f3
7r/3r2n1/p2p1pk1/P1pP1N1P/1pP1P1P1/5R2/2K3R1/8 b - -,g6h7
rnbqkb1r/ppp1pp1p/5np1/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq d6,e4e5
r2q1rk1/1b2bppp/p2p4/2pN4/2P1PpP1/5P2/PP2B2P/2RQ1R1K b - -,e7h4
r4rk1/2qn1pb1/p1bp1npp/1pp1p3/P3P2B/1BPPNQ2/1P1N1PPP/R3R1K1 w - -,a4b5
8/3k1p1p/2p5/4Pp2/2KB2P1/1P4bP/8/8 w - -,g4f5
8/4k3/3rp2p/p1r2pp1/1p2P3/1Bp2PPP/P1R2N2/4K3 w - -,e1e2
8/8/5kpp/8/3p3P/6P1/2b1K1B1/8 w - -,e2d2
8/5pk1/6pp/1R6/3r1NPP/8/5PK1/8 w - -,g2g3
8/8/3k4/6p1/6P1/4R2P/6K1/2r5 w - -,g2f2
8/6b1/6p1/3k1p2/2n5/3NpPP1/4K3/8 b - -,g6g5
r1bq1rk1/ppp2ppp/2np1n2/1Bb1p3/4P3/2PP1N2/PP3PPP/RNBQ1RK1 w - -,f1e1:c1g5:b5c6:b1d2:h2h3
r3r2k/p1q1b1pp/1pp2p1n/2P5/PP1P3P/2N1PR1Q/1B4P1/3R2K1 w - -,b2a3
3r2k1/pp2npp1/q3p2p/2prP3/3P2P1/PR2QN2/1P3P1P/2R3K1 w - -,c1c5
r1bqkb1r/ppp2p1p/2n1pp2/8/3P4/5N2/PPP2PPP/R1BQKB1R w KQkq -,c2c3
3r4/6bk/2p1b1pp/P3p3/4Pp2/B4P1P/6P1/2r1RBK1 w - -,e1c1
8/1bk2p2/2p3p1/1p2p1n1/1P2P3/5P2/1KP1B3/3N4 b - -,b7c8
5rk1/8/pn5p/6p1/1pp2p2/1PbR1N1P/P4PPB/6K1 w - -,b3c4
8/5p1p/8/p3r1k1/bpR1P3/P5P1/3r2BP/4R1K1 b - -,a4b3
r4rk1/ppqbnpp1/2n1p2p/2ppP3/P2P4/B1P2N2/2P1BPPP/R2Q1RK1 b - -,c5c4
1rb2r2/6kp/p3P1p1/1pqB1p2/2p2P2/2Q5/P5PP/1R1R3K b - -,f8f6
2r1r2k/p1qb1P1n/1pn3p1/3p4/P1pP2NQ/B1P1P3/2B3PP/1R3R1K b - -,d7g4
8/6pp/3k4/1p2p3/1P1nP1PP/3NK3/8/8 b - -,d4c2
rn1q1rk1/5ppp/3p3b/p2Pp3/1p2P2P/3Q2P1/PPN2PB1/R4RK1 w - -,a2a3
2b2rk1/r1q2ppp/pQ6/2N1pn2/2P5/5B2/P4PPP/1R1R2K1 w - -,f3d5
5k2/5p2/8/p2BPp2/5K2/6P1/2r5/8 b - -,a5a4
2krr3/pppqbpp1/2npb2p/8/4QB2/2PB1N2/PPP2PPP/2KRR3 b - -,e7f6
8/2r1bkpp/p1pp1pn1/5N2/5P2/1PB3P1/P1P4P/4RK2 b - -,d6d5
r1b2r2/1pq2pbk/1npp1npp/p3p3/P2PP3/1PN1B1PP/2PQNPBK/3R1R2 b - -,c8e6
r2qkbnr/pp1n1pp1/2p1p1bp/8/2BP3P/5NN1/PPP2PP1/R1BQK2R w KQkq -,d1e2
r4rk1/2q2ppp/p2p1n2/1pb2P2/3N3Q/2NBBb1P/PPP5/6RK w - -,d4f3:h1h2
8/R5pk/1p5p/8/5P2/P4r1P/8/5K2 w - -,f1g2
8/1R6/1p1r2p1/4kp1p/1P2p2P/1KP3P1/5P2/8 w - -,b4b5
5br1/p4k1p/1p2n1p1/2nB1p2/2P5/2B5/P3NPPP/3R2K1 w - -,e2f4
r2qk1nr/3nppbp/pp1p2p1/2pP4/P3PP2/2N2Q1P/1PP1B1P1/R1B1K2R b KQkq -,h7h5
rnb1nr1k/1q3pp1/p2pp2p/1p6/3NP2Q/1BN5/PPP2PPP/3R1RK1 b - -,b8c6
8/8/8/4Bk2/1K6/8/4R3/2r5 w - -,e5c3
r3r1k1/1p1bn3/2pBpp1p/p2q4/5PPP/2PBP3/P1Q2K2/3R3R b - -,g8h8
b7/p4pkp/4p1p1/4P3/n2B4/2P2P1P/6P1/5BK1 b - -,a8c6
2r1nrk1/1b3ppp/2npp3/qp2P3/8/BPR1QNP1/P4PBP/3R2K1 w - -,a3d6
1rb2k2/1p4pp/pN1R1r2/3Bn3/P7/6P1/1P5P/R5K1 w - -,d6d8
r1br2k1/pp3pbp/q1n1pnp1/2p5/4P3/1BP2N2/PP2QPPP/R1B1RNK1 b - -,a6e2
2k5/Rp6/8/1P6/2P5/5p1P/3r2r1/R4K2 b - -,g2h2
r1bq1rk1/ppp2ppp/2pb1n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQK2R w KQ -,e1g1
1qr1r1k1/1p1nbppp/p1b5/P2p4/3B4/1NN2P2/1PPR1QPP/R5K1 b - -,e7g5
2r2rk1/1p1bppbp/p2p4/3P2q1/1P2P3/5PP1/P2B2BP/2R2RK1 w - -,d2g5
2rr4/pp2k1p1/4pp2/P1n1Pb2/3B1P1p/2P1K3/B5PP/R1R5 w - -,c1g1
5rk1/ppqr1pbp/2n1p1p1/7P/3PN1b1/1QPB4/P4PP1/1RB1K2R w K -,h5g6
rr4k1/2p2pp1/p1bbnn1p/P3p3/4P3/1NP2P2/3N2PP/R1B1RBK1 w - -,c1a3
2r3k1/3q1p2/pn4pp/1p1p4/1PnN4/P3P2P/Q4PP1/1BR3K1 w - -,b1d3
4r1k1/R5b1/8/2p5/7P/1P1p4/P2B1PP1/6K1 w - -,a7d7
8/7p/8/3k4/4pp1p/2P4P/rP3PP1/1R3K2 b - -,d5c4
r1b1k2r/pp1nnppp/1qp1p3/8/2B1P3/P1B2N2/1P2QPPP/R4RK1 b kq -,e8g8
8/P7/8/8/1K6/6p1/4Qp2/6k1 b - -,f2f1q
3r1rk1/pp2ppbp/1qp2np1/3P1n2/2P2B2/2N2NP1/PP2QP1P/2RR2K1 b - -,b6a5
r2q1rk1/pp2ppb1/2n2np1/3p1b1p/2pP1B2/2P1PN1P/PP1NBPP1/R1Q2RK1 w - -,b2b3
8/4k3/7p/p3b1p1/6P1/1P3R1K/8/8 w - -,f3d3
2k5/8/4p3/1P1b1p1p/P4B2/3P4/2K4P/8 w - -,c2c3
r1b2rk1/2q1n1bp/1pp2ppB/p1p1p3/4P3/P1NP3P/1PPQ1PPN/R4RK1 b - -,g6g5
2kr3r/pp1bnp1p/3pp1p1/q1p5/3nP2P/3P2P1/PPPQNPB1/2R1K1NR b K -,a5d2
r4k2/6bp/q1rn1pp1/B1p1p3/2P1P3/7P/2QN1PP1/R2R2K1 b - -,g7h6
2r2rk1/1pqbnpp1/p2p1n1p/4p3/NPPbP3/P2Q2PP/1B1N1PB1/3R1RK1 w - -,b2d4
8/1k6/6R1/1p4p1/1P6/5K2/8/1r6 w - -,g6g5
r2q1r2/pp1bb1kp/3pNnp1/3P4/4N1P1/2Q5/PP2B2P/R4RK1 b - -,d7e6
8/4k3/8/1K6/1P4r1/P7/5p2/2R5 w - -,c1f1
R4nk1/1R2bpp1/2p5/2Pp3p/3Pp1B1/2B1P1Pq/5P1P/2N3K1 b - -,h3g4
5r2/p6p/3k2p1/1p1nP3/P1p2P2/2P1P2q/1P2Q2P/R6K b - -,d6e6
1r6/8/5k2/3bp3/7p/1PR1N3/5KP1/8 b - -,d5b3
r1bq1rk1/bpp2ppp/p2p1nn1/4p3/B3P3/2PP1N2/PP3PPP/R1BQRNK1 w - -,h2h3
8/k4p2/6pp/4p3/1P6/3K2PP/5P2/8 b - -,f7f5
r3k2r/pp1nqp2/2p2n1p/3p1Bp1/3P4/2N1P1P1/PP2QPP1/R3K2R b KQkq -,f6e4
r2n1rk1/pp1R1pbp/6p1/2P1p3/2b5/2N1BN1P/PP3PP1/2K4R b - -,c4e6
2r3k1/1p2qrpp/p1b1p3/3pBp2/3P1P1b/PQRBP2P/1P4P1/2R2K2 b - -,e7d7
r1b1kb1r/1pqn1ppp/p2pp3/2p3B1/3PP3/2N2N2/PPP2PPP/R2QR1K1 b kq -,c5d4
r2r4/1Q1q1p1k/3b2pP/p2Pp3/1pB1Pn2/1P6/P1P2B2/1K1R3R w - -,b7d7
r1q1k2r/3nbpp1/1p2pn2/1Npp4/3P1P2/P2BBQP1/1P5P/R4RK1 w kq -,f1e1
3q4/4bpk1/4p1p1/1Np1P1Pp/p1Pn1P2/P1NQ3P/3K4/8 b - -,d8a8
r4rk1/1p4p1/1p1p3p/5p2/2PbPP2/3P3P/PP4BK/RR6 w - f6,h2g3
4r3/8/8/1pk1Pp2/2p2P2/2P1R2P/2K5/8 w - -,e5e6
6k1/5p1p/p5p1/2p1r3/P7/4P2P/2R2PP1/5K2 b - -,g8f8
4br1r/1pQ1n3/pk2Pb1n/q2p2N1/3P4/1P2N3/PB4PP/2R2RK1 b - -,b6a7
1r4kb/1r2qp1p/2bp1np1/B1p1p3/2P1P1P1/Pn1Q1P1P/4N1BK/1R1RN3 w - -,a5c3
8/p4p1p/3nbkp1/8/1r2P3/1N3PP1/P2N3P/R5K1 w - -,b3c5
8/5p2/1p1kb1p1/3pN1Pp/1P1K1P2/2P3P1/8/8 w - -,b4b5
rn1q1rk1/7p/2p2bp1/ppPp4/3Pp3/P3P2P/1PBBQ1P1/R4RK1 b - -,h7h5
r3kb1r/3qnp1p/p3p1p1/3p4/3P1B2/P1N2Q2/1P3PPP/R4RK1 w kq -,f4e5
5r2/5pk1/1p3q1p/3Q2p1/8/R5PP/6PK/8 b - -,f8d8
r2q1rk1/3bbppp/p2ppn2/1p3P2/3NP3/1PN1BQ2/1PP3PP/R4RK1 w - b6,f1d1
5b1k/7p/pp4p1/5p2/5Q2/r1q3P1/6BP/3R3K b - -,a3a1
r1b1r1k1/p2n1pp1/1qp2n1p/1p1p4/3P3B/2PBP3/P2N1PPP/2RQ1RK1 w - -,d1c2
8/4p1kp/6p1/8/4R1Pb/4Q2P/2q3K1/8 w - -,e3e2
3r4/pp2kpp1/2n4p/3p4/3N4/2P3P1/PP3PKP/3R4 b - -,c6d4
r4rk1/pppnqpp1/4pnp1/2bp4/2P2P2/1P2P1P1/PB1P2BP/RN1Q1RK1 b - c3,c7c6
3r1rk1/2pqbppp/p1n1b3/1p1nN3/8/1BPP2N1/PP3PPP/R1BQR1K1 b - -,c6e5
1rb2rk1/p1q1ppbp/2pp1npB/8/4P3/1BN2P2/PPPQ2PP/R4RK1 b - -,g7h6
r3b1k1/4rp2/1Qp3pq/pp1p1P2/6R1/1PN4P/P1PP4/1K1R4 w - -,b6f2
r1b1k2r/pp1pbppp/4pn2/q1n5/2P5/2N1BNP1/PP2PPBP/R2QK2R b KQkq -,c5e4
5q1k/2r2p1n/p2p1Pp1/Pp1Pp1P1/1P1b4/3B2PQ/R2B2K1/8 b - -,f8c8
4r1k1/2r1qpp1/1bp2n1p/p3p3/P1Pp4/3P2P1/3QPPBP/1R2N1K1 w - -,b1b6
r1r3k1/1q1bbppp/3p1n2/2nPp3/pp2P3/P3B1NP/1PB2PPN/2RQR1K1 w - -,a3b4
8/8/8/5kp1/1R5p/r6P/5P1K/8 w - -,b4c4
2rr2k1/p2qppb1/1P3npp/3PBb2/2nP4/1QN2BNP/1P3PP1/R2R2K1 b - -,a7b6
r3r1k1/1ppq1ppp/p2p1b2/3P1b2/5B2/2PB3P/PPQ2PP1/R3R1K1 b - -,e8e1
r1b1qrk1/pp4p1/1np4p/5p2/1P1Pp3/2N1P1B1/P4PPP/2RQ1RK1 w - -,a2a4
r1b1r1k1/pp2qppp/2p5/3p4/3Pn3/2NBP3/PPQ2PPP/4RRK1 b - -,c8f5
N7/pp4k1/7p/2PBp1b1/3qP3/P4R2/1PK5/5R2 b - -,g5f4
4r3/4P3/1R6/8/5Kpk/8/8/8 b - -,h4h3
1r1k1b1r/5p1p/p1Bp1q2/Q3p3/8/2P5/P4PPP/3RK2R b K -,d8c8
7r/7p/2k3p1/4Rb2/8/R6P/2P3P1/7K b - -,h7h5
8/4B2r/R3n3/1p2k1p1/1Pb1p1B1/6K1/8/8 w - -,a6a7
2r3k1/5p2/2p3p1/2Q1PbPp/r4q2/4p2P/1P4B1/R3R1K1 w - -,a1a4
3r1rk1/pp2n1pp/2n1p3/4P1R1/Q2q1P2/P7/3B2PP/3R2K1 w - -,a4d4
6k1/5pp1/4p3/p3P2p/1p1K1P2/PPp3Pr/8/R7 b - -,h3g3
3rr1k1/p1q2pp1/1p3np1/2p1n3/P1Q5/B1P2N1P/5PP1/3RR1K1 w - -,f3e5
3q1rk1/rB2bppp/1p2pn2/2p1n3/1pPp4/P2P2P1/1B1NPP1P/1R1Q1RK1 w - -,b7g2
3r1rk1/p3bp1p/2p2n2/6pq/2pPP3/P1N2bP1/3R1PBP/R1B1Q1K1 w - -,e1f1
r3k2r/1p1bnppp/p1qpp3/2b5/4PP2/P1NQ4/1PP1B1PP/R1B2R1K w kq -,f4f5
3R4/8/p3k1p1/1p3p1p/1P2p2P/P5P1/4KP2/r7 w - -,d8b8
r3k2r/pp6/1ppqnp2/4p1p1/1P2P2p/2PP4/1P2NPPP/R2Q1R1K b kq -,a7a6
r4rk1/ppqbbppp/4pn2/2n5/3N4/2P3N1/PPB1QPPP/R1BR2K1 w - -,c1g5
