8/8/4B2b/4p3/2p1P3/1k6/3K4/8 w - -,d2e2
r2qk2r/3nppbp/p1P3p1/1p2pn2/4NP2/5N2/PPP2BPP/R2QK2R b KQkq -,d7f6
4r1k1/5p1p/8/1p1R1np1/1P6/2P2P2/3p2PP/R5K1 w - -,d5d2
rn1q2k1/1ppbn1b1/p2p1r1p/2PPp1p1/B3Pp2/2N2P2/PP1N1BPP/R2Q1RK1 w - -,d2c4
r4rk1/1bqnbppp/pp1ppn2/8/2P1PB2/2NB4/PPN1QPPP/2R2RK1 w - -,h2h3
r3r1k1/p6p/b3pppR/q1Bp4/3P3P/4Q1P1/5P1K/4R3 b - -,e6e5
r4rk1/pbpn3p/1p2p1q1/5p2/1PPPpPp1/P3P1P1/1BQ3BP/R4RK1 w - -,f1d1
3r4/p5r1/4pk2/2p1p2q/2P1Pp2/2P2RP1/P4RKP/1Q6 b - -,g7h7
r1b2rk1/p2n1pp1/1pp2n2/3p1q1p/1N3B2/2P2P2/PPPQ2PP/R3RBK1 b - -,d7c5
8/p7/5pkp/3N4/3r4/P1R3P1/1P6/6K1 b - -,d4d5
3r4/4kp2/4pn2/2p5/r1P5/P5RR/3N3P/2K5 w - -,g3d3
8/2Q5/5ppk/4p1qp/8/4R3/5P2/5K2 w - -,c7d8
8/1r3p1p/1pR2Pp1/pP2K3/PkP5/7P/8/8 w - -,e5d4
r5r1/1pq1bp1k/p1p1p1p1/2Ppn2P/8/1P2P2P/PBQN1P2/R5RK w - -,g1g2
r4nk1/ppqr1nbp/2p1bpp1/4p2P/P3P3/1P2NNP1/1BP1QPB1/R4RK1 w - -,a1d1
3r1r1k/1p2q2p/p3Pp2/P1p1bP2/2p1N2Q/3B4/1P5P/3R2BK b - -,d8d3
r2r1k2/1pp3p1/1p3nBp/1P2R3/4P3/P2p4/2PBb1P1/R5K1 b - -,f8g8
8/p1k1rB2/1pp1P2p/5Kb1/P7/8/1PP5/3R4 b - -,g5e3
r2qk2r/pp1n1ppp/2n1p3/2b1Pb2/2p2B2/2N2N2/PP2BPPP/R2Q1RK1 w kq -,e2c4
rn1qkb1r/pp2pppp/2p2n2/5b2/2PP4/1QN4P/PP3PP1/R1B1KBNR b KQkq -,d8c7
8/2r1pp1k/3p1bp1/3P3p/b1B1P3/5rP1/7P/2RRBK2 w - -,f1e2
4r3/P5p1/7p/1p2k3/1B2n2P/P2R1pP1/5P2/5K2 b - -,e8a8
bn1qk2r/5ppp/2pbp3/1p1nN3/3P4/BQ4P1/4PPBP/1N3RK1 w k -,g2d5
7r/2p4r/p2b4/4kP2/PpP1p1P1/4R2Q/1P4P1/7K w - -,f5f6
r1bqk2r/ppp2p1p/2np4/6p1/2P5/2N2P2/PP2PP1P/R2QKBR1 w Qkq -,d1d2
6k1/pp4pp/1npr1p2/P7/3p4/3P1NP1/1P2PPKP/2R5 b - -,b6d7
r1bqnrk1/2p1bppp/1p1p4/p1nPp3/2P1P3/P1N1BN2/1PQ1BPPP/R4RK1 b - -,f7f5
r4rk1/p3qp2/1p2n1p1/4Q3/1P6/P3P3/5PPP/2R2RK1 b - -,a8c8
r1bq1rk1/pp2npbp/3p2p1/2p5/3nPB1N/2NP2P1/PPPQ2BP/R4RK1 b - -,c8e6
r2q1rk1/5pp1/p2pb2p/3Np3/2PnPP2/3B4/PP1Q2PP/R4RK1 b - -,e6d5
r1b2rk1/1ppp1pp1/1bn4p/3NP3/4N2q/8/PpP1QPPP/1K1R1B1R b - -,d7d6
1n2bk2/1p6/6p1/p1Pp1pPp/P1PK1P2/3N4/6B1/8 w - -,c4d5
5r1k/6p1/3p3p/2p1p3/P1P5/q5P1/2Q2P1P/1R4K1 w - -,b1b7
r3rbk1/2q3p1/ppbppn2/4n3/2P1P3/2N1B3/PP1NQ1BP/2R2R1K b - -,c7b7
4B3/5p2/1p2b1p1/p3K1P1/8/1k6/8/8 w - -,e5f6
r2q2k1/ppp2pb1/6pp/3P1b2/4r1P1/1Q5P/PPP5/RNB2RK1 b - -,g7d4
3q2k1/1pn2r1p/3p1Pp1/2pP4/2P5/P4Q1P/5P2/4RBK1 w - -,f1e2
7r/1p2r3/p1pk4/P2p1ppp/1P1Pn3/3NP1P1/4KPP1/2R4R b - -,e4f6
r2qk2r/1ppbppb1/p1np1np1/7p/P2PP3/2N1BP2/1PPQ2PP/R1N1KB1R b KQkq -,e7e5
r2qk2r/pp1b1ppp/2n1pb2/1BPp4/3Pn3/P1N2N2/1PQ2PPP/R1B1K2R w KQkq -,b5c6
2b1rb1r/pkp2pp1/1p6/P1p1PN2/5P1p/1P5P/1BPRN1P1/5RK1 b - -,c8f5
2r5/2P3bk/3B2pp/p1Q5/P3pN2/1q1p2Pb/4PP1P/2R3K1 w - -,e2d3
8/1bp1kr2/pp2nbp1/2p3P1/4N3/2P1B3/PP5P/5RK1 w - -,e4f6
4r1k1/1p3p1p/pq1p1Pp1/8/bPrNP3/8/P2Q2PP/3RR2K b - -,d6d5
rnbq1rk1/pp2ppbp/2p2np1/3p4/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,b7b6:a7a5:d5c4:b8d7:f6e4:c8f5
r4q1k/1p1np1br/3pP1Q1/p1pP1N2/P1P1nP1p/1P2BK1P/4N1R1/6R1 b - -,e4g3
r4r1k/ppp1b1p1/2b1p2p/3qPp2/2P5/3B2Q1/PP1B1PPP/R3R1K1 b - c3,d5d4
6k1/5pPp/4p1p1/4B3/2pP4/4q3/7P/1Q4K1 w - -,g1f1:g1g2
rnbqk2r/pp3ppp/1n1bp3/2p5/8/1BP2N2/PP1P1PPP/RNBQK2R w KQkq -,d2d4
rnbqkb1r/pp3ppp/4pn2/2p1N3/8/1P6/PBPP1PPP/RN1QKB1R b KQkq -,b8d7:f8e7:a7a6
8/8/1p1r4/pK2k3/8/8/8/3R4 w - -,d1c1
r4rk1/2q1bppp/p1bpp3/1p6/4P3/P1N2NB1/1PP1BPPP/R2R2K1 w - -,d1d3
r2q1rk1/1b2bppp/p2p1n2/1pp1p1B1/4P3/2PP1N1P/PP3PP1/RN1QR1K1 b - -,h7h6
rn1qk2r/2p2ppp/bp2pn2/p2P4/1b1P4/1PN2NP1/P2BPP1P/R2QKB1R b KQkq -,e6d5
8/5kp1/4np2/7p/R4K2/4N1P1/R2r1P2/7r w - -,f4f3
r6k/2p3rp/1p1pP3/1P1P4/p3B3/P3qP2/1P1R1Q2/7K b - -,e3g5:e3f4
2r2rk1/1pq2ppp/p3p3/8/1QPR1P2/P7/6PP/3R2K1 w - -,g2g3
4r3/p2b4/2p2k1p/4pp1n/2p3rP/P1NP2P1/2P2P1N/R3R1K1 b - -,g4g7
r2q1rk1/p1nb1pbp/1p1p1np1/2pPp1B1/1PP1P3/P1NB1N1P/3Q1PP1/R3K2R b KQ -,d8c8
r1b1kb1r/2qn1ppp/p1ppp3/8/2P1PP2/2NB4/PP2Q1PP/R1B2RK1 b kq -,f8e7
5rk1/2p2pb1/3p3p/2pP2pn/1rN1q3/6B1/2B1NPPP/2RQ1K2 b - -,h5g3
3n4/1p2k3/3p4/1PpPp3/4Ppq1/5N2/PP1KRQP1/7r b - -,g4d7
r2r2k1/ppqb1pbp/2p2np1/2n1p3/1PP1P3/2N2N2/PBQ1BPPP/R2R2K1 b - -,c5e6
1rr3k1/nq2bppp/1p2b3/p2pPp2/NP1P4/P2Q1N2/3B1PPP/R1R3K1 b - -,b7d7
r2qkb1r/1p3ppp/p1n1pn2/1N1P1b2/8/1N2B1P1/PP2PPBP/R2Q1RK1 b kq -,f6d5
8/ppp1r3/2b2k1p/5pP1/4P3/4KPP1/PPPN4/4R3 b - -,h6g5
2r2rk1/3n1p2/2p1p1p1/pq1p2Pn/N2P1P2/bP1Q1R1P/P2B2B1/5RK1 w - -,f1f2
5r1k/p5bp/1p4pn/4ppB1/6P1/7P/PP3PB1/R2r2K1 w - -,a1d1
8/8/1pk2P2/8/P1K3B1/1P6/5bP1/8 b - -,f2c5
3r1rk1/pbqpbppp/1pn1pn2/6B1/2P1P3/P1N2N2/1P2BPPP/R2Q1RK1 w - -,g5h4:f1e1
6k1/2p2r1n/2Np4/1bpP2p1/4R3/P5P1/1P4BP/6K1 w - -,a3a4
8/pR6/4ppkp/r4n2/8/6B1/P4PPP/5K2 w - -,b7b2
r2qk2r/ppp1ppbp/1nn3pP/8/3P2b1/2N1PN2/PP3PP1/R1BQKB1R b KQkq -,g7f6
5r1b/2pk4/p2p1p1p/P3ppN1/2P1P1b1/P2P4/6PP/R4RK1 w - -,g5f3
8/7k/1b4pp/B3R3/8/3B2P1/1r1n3P/5K2 w - -,a5d2
r2q1rk1/pbpnbppp/1p3n2/3p4/3P4/1PN1PN2/P1Q1BPPP/R1B2RK1 b - -,f6e4
R7/5rkp/3p2p1/1rPP1pb1/4p3/8/5nPP/R4NK1 w - -,c5c6
3r4/p3kppp/4p3/1p6/8/1Pn5/P2R1PPP/2N1K3 b - -,d8d2
4n3/3b3r/3p2k1/2pP1pPq/2P1pR2/2Q1P1PB/1B4K1/8 w - -,f4h4
r3kbnr/1pp1q1pp/p4p2/2p5/3BP1b1/2P2N2/PP3PPP/RN1Q1RK1 w kq -,d4e3
1r3rk1/4ppbp/5np1/1pq5/7Q/2P1B2P/1P2BPP1/3RR1K1 b - -,c5c7
4q1n1/1pp2pk1/p2p2pp/3P1b2/5Q1P/1PN2B2/1PP2PP1/5K2 w - -,f3e4
r4r2/pp2Pp1k/2q4p/2p2Pp1/P2pQ3/3Pn1NP/1PP5/R5RK b - -,f8e8
4r1k1/5pp1/2Rp4/2nP4/1q3P1p/p5PP/Qb4B1/1R5K w - -,b1f1
r4rk1/pb2bppp/1pq1pn2/4B3/P7/1P1B4/2PNQPPP/R4RK1 w - -,d2f3
r1b2rk1/pp1n1ppp/2pq4/3n4/3p4/5NP1/PPQ1PPBP/R1BR2K1 w - -,f3d4
r2q1rk1/p4ppp/bp3n2/2bpN3/4n3/1P4P1/PB1NPPBP/2RQ1RK1 w - -,b3b4
8/8/6R1/7p/4K2k/8/5r2/8 b - -,h4h3
1r6/pp3kn1/4pp1p/5bp1/3P4/2b1PN2/PN2BPPP/R4RK1 b - -,c3b2
r2r2k1/pp2bp1p/2n2p2/4p3/8/1PNPB1Pb/1P2PPBP/R4RK1 b - -,h3e6
8/1p3p2/6p1/1pbk3p/6P1/P2K1P2/7P/2B5 b - -,b5b4
6k1/2nbb2p/1p1p2p1/p1pP1pNn/P1P5/2N4P/1P1B1PP1/3B2K1 b - -,h5g7
8/8/8/1p1k3p/1b1P1p2/1P2pK1P/8/B7 w - -,a1b2
4b1k1/p7/1pn1p1qB/8/4p1PQ/2P5/5P2/6K1 w - -,h6f4
5R2/8/4k3/4p1p1/3n1r2/4K3/8/8 w - -,f8e8
3R2k1/4qpp1/p6p/1p2P3/4Q3/1B2B3/1b3PPP/6K1 b - -,e7d8
r1bq1rk1/ppp1n1pp/3p1n2/5p2/2PPpN1P/2P1P3/P4PP1/R1BQKB1R w KQ -,c1a3
5k2/2R3p1/5p2/1pP2P2/1P2K1P1/r7/8/8 w - -,c7b7
3r2k1/1p4pp/1R3b2/p1p5/3P4/P1N2NP1/1n4KP/8 b - -,c5d4
2r1r1k1/p4p1p/1p1np1p1/3pR3/q2P2P1/P1PQ3P/1P1N1P2/2R3K1 b - -,a4c6
2b2rk1/r4ppp/1pp1p3/p7/2pPB3/2R1P1P1/PP3P1P/2R3K1 b - -,b6b5
rn1qkb1r/1p1b3p/p2p1np1/2pPp3/P1B1P1P1/2N2N1P/1PPB4/R2QK2R b KQkq -,f8g7
4k2r/4bppp/3ppn2/3b4/1PN5/4BP2/6PP/R1R3K1 b k -,e8g8
5k1r/1p5p/p3Rnp1/5P2/2Br4/3P3P/PP4K1/2R5 b - -,f8g7
q1br2k1/5pbp/p2n2p1/3P4/2P1nB2/5N1P/P4PP1/2RQR1K1 b - -,e4c3
2rr2k1/1p3pbp/3ppnp1/p7/b2PP1P1/1qNQ1N1P/1PR2P1B/3R2K1 w - -,d1c1
8/7p/2nkp1p1/p2p2P1/P2P4/3NPP2/5K2/8 w - -,f3f4
r1bq1rk1/p3pp2/6pB/1p1P4/2n5/5NP1/Pb3PBP/R2Q1RK1 b - -,b2g7
1k4br/ppn2pp1/1B2p3/4P3/5N2/1B3P2/PP4PP/2Rr2K1 w - -,c1d1
1r1q2k1/1rb2pp1/p2p1nnp/P1pPp3/2P1P3/RpP1B1PP/1R1N1P1K/Q2B4 b - -,d8e7
3r2k1/4bppp/3pp3/1q6/4PP2/7P/1PpQ2PN/5R1K w - -,d2c2
4k3/1R6/6p1/p2P4/p3P3/3K4/1P4r1/8 b - -,g2g3
8/6p1/1bk4p/1p1p4/1P3p2/2K2P1P/2N3P1/8 b - -,g7g5
2r5/5pkp/4p1p1/p3b3/K1PnN3/1P3P1P/8/2R2B2 w - -,c4c5
8/1P1N1k2/2B1p2p/2K3p1/5br1/8/8/8 b - -,g4g1
1r4k1/5p1p/3p2p1/2pPq3/2Q1P3/1rN4P/R4PP1/3R2K1 b - -,b3c3
r1bqkb1r/pp1p1ppp/2n1p3/3nP3/3Q4/2P2N2/PP3PPP/RNB1KB1R w KQkq -,d4g4:d4e4
1rb1nr2/1p1nq1kp/p2p1pp1/P1pPp3/2B1PP2/2NN2P1/1PPQ3P/R4R1K b - -,e8c7
3r1k1r/pp3p2/1qb1pp2/2N4p/3n1Q2/1P1B4/PB3PPP/R4RK1 b - -,h8g8
r1b2rk1/ppq3bp/n1pp1np1/2P1pp2/3PP3/2N2NP1/PPQB1PBP/R4RK1 b - -,e5d4
r5nk/p4r1p/1p1p4/n1pPp3/2P1P2p/2P2PB1/P2N2K1/4RR2 w - -,g3h4
3Q4/5q1k/p5pP/1p1p2r1/1P6/P7/4p2K/4B3 b - -,f7f4
8/R4pk1/6p1/8/2r3K1/8/8/8 w - -,g4g5
r1q1kb1r/p4ppp/npn1p3/2p1P3/Q1pP4/4BN2/PP3PPP/RN3RK1 w kq -,b1c3
r4qk1/5p1p/p1b1p1pQ/3pP3/3P1PBP/1R6/1Pr3P1/3R3K w - -,h6g5
6k1/1p2p1bp/4p1p1/1NB5/4P3/Pr3P2/1n4PP/5RK1 w - -,b5d4
2r3k1/pp1R1pp1/4p1bp/8/P3P2B/3B1P2/2n1K1PP/8 b - -,c2b4
2r3k1/1pr2p1p/p3p1p1/3RR3/2P2P2/1P4PP/P5K1/8 w - -,d5d2
3r1k2/5p1p/8/2P2pR1/3N2b1/2K5/2P4P/8 w - -,d4f5
8/p6p/2k3p1/1ppn1p2/5P2/1P1BPP2/P2K3P/8 b - -,a7a6
r1b3k1/4b1rp/3p2p1/3Rp3/p3P3/1p2BP1N/PPP5/1K5R w - -,c2b3
2r3k1/1prbn1pp/p3pq2/3p4/3P4/P1R5/1P1QNPPP/1B3RK1 w - -,d2c2
4r1k1/2p1rbb1/p1p3p1/3p2qP/1P1P1p2/P6P/1B1QPPB1/2R1R1K1 b - -,e7e6
rq3rk1/3b1p1p/3p1npb/p1nPp3/1p2P1P1/6NP/PPBQNP2/R3K2R w KQ -,d2h6
2kr1b1r/ppp2ppp/5n2/5b2/8/2N1Pn2/PP2BPPP/R1B1K2R w - -,e2f3
r4rk1/1b3pqp/p2b2p1/1p1pn3/1P1N4/P1PBN3/5PPP/R2QR1K1 b - -,a8c8
r2q1rk1/1p1n1pp1/2p2np1/p7/PbBBP3/2N2P2/1P2Q1PP/R4RK1 b - -,d8e7
3r2k1/2R2ppp/bp2r1n1/5R2/P2p4/1P1N1P2/5KPP/5B2 b - -,e6e3
r1r5/Rb1nk1pp/1P2p3/3p1p2/3N1P2/1P6/4PPBP/5RK1 b - -,a8b8
4r1k1/4B1bp/1p1n2p1/p2q4/3P2P1/2P3NP/P3Q1P1/4R1K1 w - -,e2f2
3nr3/2p1r1k1/8/1pN1p1p1/6Pp/PBPP1b1K/1P3R2/4R3 b - -,e5e4
8/8/7p/8/3q3p/1k4PK/1p6/4Q3 b - -,h4g3
1rbq1rk1/npp1ppbp/p2p1np1/3P4/P1P5/2NQ1NP1/1P2PPBP/R1B2RK1 b - a3,c7c5
r3r3/pp4bk/2n4p/7q/6n1/1QN1PN2/PP4PB/3R1RK1 w - -,b3b7
8/1p1nk2p/p2pp1p1/6P1/PP2PP2/8/2KBBb1P/8 b - a3,d7b6
5k2/5p2/1p2n3/1b1pP2N/3P4/4KN1p/1P5P/8 w - -,h5f4
r4rk1/pp1qppbp/2np1Np1/2p2b2/2P5/3P1NP1/PP2PPBP/1RBQ1RK1 b - -,g7f6
r4rk1/pp1qb1pp/2n1p3/3pN3/3P4/2R5/PP1BQPPP/4R1K1 b - -,c6e5
8/R4p2/4p3/6p1/4PkPp/P1r4P/6K1/8 b - -,c3c2
3qr1k1/1p1b1pbn/p2p2p1/R5Pp/3NPN1P/2P5/1P2Q1B1/3R2K1 b - -,d8a5
rq4k1/2R1br2/pB5Q/P3p3/8/8/1P3PPP/6K1 w - -,h6g6
2rqr1k1/p4ppp/3p1n2/P2P2N1/Qp6/n5P1/4bPBP/R2N1RK1 w - -,f1e1
4r1k1/p4bp1/1p3q1p/3p4/3P4/2PB2QP/P5P1/4R1K1 w - -,e1e8
2r2rk1/4q1pp/3bp3/2pp4/4n3/1P1Q2P1/PB2RPKP/RN6 b - -,c5c4
r1r5/pp1k2pp/4pp2/3p4/1n1PnP2/1N3N1P/PP3PP1/R2R2K1 w - -,f3e1
3rkr2/pp2p1q1/n1p1R1pp/8/2Q1N3/2P5/PPP1K1PP/R7 w - -,a1d1
6k1/5p2/3R2p1/3P3p/1r6/5P2/K5PP/8 b - -,g8f8
r1b1kb1r/5p1p/p2ppP2/q1nN4/1p1NP3/5Q2/PPP4P/1K1R1BR1 b kq -,c8b7
rnb2rk1/pp2qppp/2p2n2/3p4/3P4/2NBPN2/PP1Q1PPP/R3K2R w KQ -,d2c2
4Q3/5pkp/b2p2p1/3P4/5P2/2p4P/1q3bP1/5R1K w - -,f1f2
k1n2r1r/p2q4/2b1p1pb/2QpP3/3P1BP1/2P3N1/5P2/RR4K1 w - -,f4h6
8/1p6/2pBppk1/3b3p/p4P1P/8/PK6/8 b - -,g6f5
r2q1rk1/pp2nppp/2nbp3/3p4/Q2P2b1/2PB1N2/PP1N1PPP/R1B1R1K1 b - -,d8c7
3R1r1k/pp6/5Np1/4pbP1/n1p2p1P/q1P2B2/P3QP2/3K3R b - -,f8d8
r4r1k/p4p2/1p1q1b1P/2pp1Q2/5P2/P2PP3/3BKP2/1R5R b - -,d6e6
4rrk1/pbq1pp1p/1p1p1np1/1P6/P1P1PP2/2N2B2/Q5PP/R2R2K1 b - -,c7c5
8/p5Rk/2n3r1/1p6/2n4P/P2Qr1N1/6P1/6K1 b - -,h7g7
r1bqr3/5pbk/p2p1npp/1PpP4/5N2/2NnB2P/PP1Q1PP1/R4RK1 w - -,d2d3
6k1/5pp1/3R1b2/1P5R/q4PP1/7P/3N4/2K5 w - -,d6c6
r3k2r/pp3pp1/2b2n1p/3pq3/1Q6/3BP3/PP1B1PPP/R4RK1 b kq -,f6e4
r4rk1/ppqbbppp/2nppn2/8/3P4/2N2NP1/PPP2PBP/R1BQ1RK1 w - -,f1e1
r1b2rk1/1pp2ppp/2n5/8/1p6/1N2P3/PP2BPPP/3RK2R w K -,b3c1
1r4k1/p5bp/bpnrp1p1/n1p1Np2/5P2/P2PN1P1/1PP2BBP/1R2R1K1 b - -,c5c4
5r2/1pp2p1k/p4q1p/2P3p1/1PQpP3/P6P/5PP1/2R3K1 w - -,c1d1
4r1k1/2R3p1/3B2P1/1pp1p2p/3b4/8/P4P2/6K1 w - -,g1g2
rn2k2r/pb1p1pb1/1pp1pq1p/6p1/2PPB3/2N1PN2/PP3PPP/R2QK2R w KQkq -,c4c5
8/4k3/7p/3r2p1/pP2Pp2/P7/4K1RP/8 b - -,d5d4
r1bq1rk1/1p1n1ppp/pb2pn2/2p1P3/3P4/P1N1BN2/1PB2PPP/R2QK2R b KQ -,c5d4
6k1/6b1/2p3p1/2B4p/N1P1r1bP/1P4P1/P4RK1/8 b - -,e4e1
n1rqnrk1/3b1pb1/p2p2p1/2pPP3/Pp3P1p/4BB1P/1P1QNNP1/R4RK1 w - -,f1c1
3r1rk1/pp2bppp/1n2pn2/8/2QB4/5N1P/PP3PP1/R2BR1K1 b - -,b6c4
2b2r2/r1q2p1k/p3nQp1/1p2PN1p/7P/7B/PPP5/1K1R2R1 b - -,f8g8
r2q1rk1/pp2ppbp/6p1/n1p5/3PP1b1/2PBBP2/P3N1PP/R2Q1RK1 b - -,c5d4
8/5k1p/p3p2P/2p3Q1/5Pp1/8/4q1BK/8 b - -,e2b2
r3k2r/pppq1pp1/2n1n1bp/2p1p3/4P1PP/3PB1N1/PPPQ1PB1/R3K2R w KQkq -,g3f5
r1b1k2r/pp1n1pp1/2p1p2p/q2n2B1/3P4/P1P1PN2/5PPP/2RQKB1R w Kkq -,g5h4
5rk1/2q2rbp/1p1p2p1/1PnPpp2/1pP5/1P3PP1/2B1R1QP/1N3RK1 b - -,f8a8
r4rk1/p2bb1pp/1ppBpp2/1q6/2NP4/1QP1P3/P4PPP/1R3RK1 b - -,b5b3
5r1k/p6p/4B1b1/8/1P3r2/P6P/1q2R1P1/4R2K w - -,e2b2
r1bq1rk1/3nbpp1/1pp1p2p/p2p4/P1PP4/4PNB1/QP2BPPP/R4RK1 w - -,c4d5
8/8/1p1p1k1p/p4P1P/2PpK1P1/1P1B4/P7/2b5 w - -,e4d4
1b1qrrk1/5pp1/p6p/1p3Nn1/2p1B3/2PP2B1/PP1Q1PPP/3RR1K1 w - -,g3b8
r3r1k1/p4p1p/2p1bp2/B7/2p5/6P1/PP2PP1P/R2R2K1 w - -,f2f3
r1bq1rk1/pp1nppbp/3p1np1/2p5/3P4/1P3NP1/PBP1PPBP/RN1Q1RK1 w - c6,c2c4
1r3rk1/1pp1b2p/p3qpp1/P7/Q1NpPR2/3P3P/1PP3P1/5R1K b - -,g8g7
8/8/nBp1k1pp/p1Pp1p2/P4P2/2PK4/6PP/8 b - -,e6d7
8/1Q4nk/p2p4/5q2/3P4/5N2/1P1K1RP1/4r3 b - -,e1b1
r2qk1nr/1b2p1bp/p2p1pp1/1pn1P1B1/5P2/2N2N2/PPPQ2PP/2KR1B1R w kq -,g5h4
r1bqk2r/pppp1p1p/2nb1np1/1N1N4/4PP2/8/PPP3PP/R1BQKB1R w KQkq -,e4e5
3rk2r/2q2pp1/pn2bb1p/1p2pN2/4P3/2PB4/PP1NQ1PP/4RR1K w k -,f1f3
8/1p2kp2/p1bbp1p1/5r2/PP4R1/1KN4P/4R1P1/8 b - -,g6g5
rnb4r/1p2kp2/p2ppq2/4n1p1/4P3/2N3B1/PPPQ2PP/R3KB1R b KQ -,b8c6
8/3B4/1p6/2n5/P2k4/4p3/8/4K3 w - -,d7e8
1r1r3k/2q1bp1P/5npB/4p3/p3Bn2/1p1N1P2/PPPQ4/R3K2R w KQ -,a2b3
8/4bp2/6p1/4k2p/7P/5K2/5B2/8 b - -,e5f5
6qr/2pb4/1p1p1k2/1P1PpP2/2P1R1P1/5N2/5P2/2Q3K1 w - -,g4g5
3rr1k1/1p3pp1/p1n1qb1p/5B2/2R5/P3PN2/1P2QNPP/2R3K1 b - -,e6f5
8/8/6p1/2k2p1p/2p2P1P/1bN1K1P1/8/8 w - -,c3e2
2rr4/2k1p1Np/p3p1p1/8/1p2Q2P/2R5/PPq2PP1/6K1 b - -,c2c3
r3qrk1/p5pp/Q1p5/3Pbp2/4n3/4B1P1/P3PPBP/1RR3K1 b - -,c6d5
r7/pp1b1k1p/2p1p2r/4Pp2/1BPPpRq1/P3P3/1PQ3P1/R5K1 b - -,g4g3
r1b1rnk1/p3qppp/1pp5/3p3n/1P1P4/2NBPN2/P1Q2PPP/1R3RK1 w - -,b4b5
8/p5pk/7p/R3Np2/2P1bP1P/P1P1P3/7r/5K2 b - -,h2h4
4rrk1/5qp1/p2p4/1ppPn3/2P1R1p1/PPB3P1/2B1QPKP/8 w - -,e4f4
4r3/5pk1/7p/3p2pP/p7/4qP2/PPP3P1/1K1R1Q2 w - -,a2a3
rr4k1/pppq1pb1/3pnnpp/1P1Np3/2P4N/3PPPPb/P6P/1RBQR1KB b - -,c7c6
r3kb1r/pp2pppp/2n2n2/3q1b2/3P4/4BN2/PP2BPPP/RN1QK2R b KQkq -,f5b1
2r1r1k1/pp3ppp/2N1b3/3p3q/3P4/P2BR3/1P3PP1/1Q1R2K1 b - -,b7c6
r3kb1r/1pp2ppp/p1nqbn2/4p1N1/8/2NP3P/PPP1BPP1/R1BQ1RK1 b kq -,e8c8
8/R5p1/5pk1/8/7r/4PK2/5P2/8 b - -,f6f5
1r5k/2p3b1/2PpB2q/pp1P4/4R3/P4Q2/1P5P/K7 w - -,f3h3
1n3r1k/2qr4/pp1p1pQp/3Bp3/2P5/6P1/PP5P/3R1RK1 b - -,c7d8
r1bqk2r/pp1p2pp/2nQpn2/5p2/2P5/P1B2P2/1P2P1PP/R3KBNR b KQkq -,d8e7
2r3k1/5p1p/p2bp1pP/1p6/r2PQ3/P1P2R2/3BKPP1/R6q b - -,h1a1
1r1q1rk1/p3ppbp/1nppb1p1/8/Q1P1P3/6PP/PP2NPBK/R1B2R2 w - -,a4c2
2r2b1k/2r5/2P1q3/NQ1Rp1N1/1p6/5P2/P5PK/8 b - -,e6h6
r1bq1rk1/6bp/p2p2p1/nppPn3/4Pp2/PPN1BP2/2Q1B1PP/1RN2RK1 w - -,e3f2
r1bqr1k1/ppp2pb1/6pp/3p4/8/1QPBPN1P/PP3PP1/R4RK1 b - -,c7c6
4r1k1/1R4pp/8/3p4/P7/1P1n1N1P/6P1/6K1 b - -,e8e2
