8/P1K5/8/1kp1N2p/6p1/6P1/6bP/8 w - -,e5f7
3r4/pb3pbk/1p1Ppqpp/4N3/1P3P2/P3Q2P/B5P1/3R2K1 b - -,g7f8
4rR2/p3P1pp/2b1k3/2pN4/2P5/4K3/P1P3PP/8 b - -,e6d7
4kb1r/1r2p1pp/p7/4B2b/4p3/5P2/PPP1N1PP/3RK2R b Kk -,e4f3
3r2k1/3r1qbp/p7/P2p1pp1/3Nn1n1/4P1P1/2Q2PBP/2RRB1K1 b - -,g4e5
rq3rk1/1p1bbppp/p1nppn2/8/P1PNP3/2N1B3/1P1QBPPP/R2R2K1 b - a3,b7b6
6k1/2rn1pbp/q2np1p1/2p5/p1P5/B2PPQP1/P2N2BP/1R4K1 b - -,g7c3
r3k2r/pp2ppb1/1qpn2p1/3pNb1p/3PnP2/2P1Q1PP/PP1NP1BK/R1B1R3 w kq -,g2e4
r4rk1/1p3p1p/2bR2p1/q1n1p1b1/2P1P1P1/pPN1N2P/P1Q1BP2/2K4R b - -,c5e6
q2r2k1/3n1ppp/3bp3/1Q6/5P2/1P1PB3/6PP/2R4K b - -,a8b8
q5k1/r3rppp/2bp2n1/PB6/2P5/2B4P/3Q1PP1/R4RK1 w - -,f2f3
1rb2rk1/5ppp/p7/n1q1P3/P2p4/1B2R2P/3N1PP1/R2Q2K1 w - -,e3e1
r1b1q1k1/pp1n2pp/2pb1r2/3p1p2/3P4/2N1PNP1/PP3PBP/2RQ1RK1 b - -,d7f8
3r3k/1p1r2p1/3pR2p/1P1Rp3/1q5P/3Q1PP1/4P1K1/8 b - -,b4b2
2r1k2r/1pq1bp2/p2p1n1p/P3pPp1/5nP1/2N1B2P/1PPQ1PB1/R2R2K1 b k -,f4g2
3r2k1/3q1p1p/4p1p1/6P1/1pQ2P2/1PpB2P1/r1P3K1/1R6 b - -,d7d3
7r/1p1k1bNp/p4p2/2b1p3/2q1pPPQ/2N5/PPP5/1K1R4 b - -,d7c7
8/2B5/8/5k1p/4p1nP/6K1/8/8 b - -,g4e5:g4f6
3Rr3/4P2k/2Q2npp/p1B1p3/P7/1P6/4q3/K7 b - -,e2c2
1n3rk1/p1qb1pbp/3p1np1/2p1p3/Q1P5/B1NP2P1/P2NPPBP/1R4K1 w - -,c3b5
2b2bk1/1p1n4/rqpp1p2/2n1pPp1/p1P1P1P1/P1NPBN2/1PQ2K2/5B1R b - -,b6b3
r5k1/B2R1p2/3r2p1/1P3n1p/7P/5KP1/5P2/1R6 w - -,d7d6
r1bqr1k1/pp1n1pb1/3p1np1/2pP3p/4PP2/2N3N1/PP2B1PP/R1BQ1RK1 w - h6,e4e5
2b2r1k/p3B2p/1p6/3PpN1P/2P5/4K3/r4PR1/7R b - -,f8f5
6k1/8/4r1p1/pp3p1p/4rP2/2P5/PPR5/1K3R2 w - -,c2c1
rn1r2k1/p2q2bp/b2N1pp1/2pP4/2N2B2/7P/PP3PP1/R2Q1RK1 b - -,a6c4
1k4r1/1br1bp1p/pq1ppp2/2n5/4PPP1/1N2RBN1/PP1Q3P/1K1R4 b - -,g8c8
r1br1bk1/1pp2p2/p1n2qpp/3p4/3P4/P1N1PN2/1PQ1BPPP/R4RK1 w - -,a1d1
r1b2rk1/ppqn1pb1/2p3pp/4p3/1P2Pn1B/2P2N2/P1QNBPPP/R2R2K1 w - -,e2f1
8/8/2kp2p1/2p2nPp/2P4P/3K4/6N1/8 b - -,c6b6
r3r1k1/p1p2ppp/2b1q3/2Q1p3/8/2N5/PPP2PPP/R3R1K1 b - -,a8b8
2B5/3Pk1pp/5p2/p7/1p5P/1P1qpNP1/P5K1/2R5 w - -,g3g4
4r1k1/p2b1pp1/1p5p/8/4pB2/2P4P/PP3PP1/4R1K1 w - -,e1d1
1R6/4bpkb/4r2p/pp2P1p1/3Q4/P4qPP/1B3P2/2R3K1 w - -,c1c3
r4rk1/1p1qbppp/2pp4/p1n1nP2/P2Q1B2/2N5/BPP2PPP/3RR1K1 b - -,a8d8
6k1/1p6/3p4/3Pp1P1/4nR2/8/PP2Q3/5K2 b - -,e4g3
6k1/pp4p1/n1p1Q2p/7q/Pn6/1PB3PB/5P1K/8 b - -,h5f7
r3rb1k/p4bpp/1p1P1p2/2q5/2p2Q2/2N1PNP1/PP2P2P/R2R2K1 w - -,d6d7
6r1/ppk5/4p2R/5p2/5P2/8/PPPK3P/8 b - -,g8g2
8/4k1p1/7p/5R1P/6PK/5P2/8/1r6 w - -,g4g5
r3k3/1p2ppbp/3p2p1/r1nP4/p3P3/4BPP1/PPR1B1KP/1R6 w - -,e3d2
r2qnrk1/1bp1bpp1/1p5p/p2pP3/5P2/PP1BP3/1BQN2PP/R4RK1 b - f3,b7a6
8/5pk1/4p1r1/4P2p/q2PQ3/1R4PP/5P2/6K1 w - -,b3b7
8/4kp1p/6p1/3K4/6P1/7P/8/8 b - -,e7f6
8/1pp4b/1p5P/5kp1/2P5/4KP2/5N2/8 w - -,f2e4
8/8/3k4/B5R1/r7/4K3/8/8 b - -,a4a1
r4rk1/ppq3bp/2p1p1p1/4n2n/1P1BP3/P1N4P/2P1N1PQ/R3K2R w KQ -,e1c1
2r2k2/p1r2p2/3R2p1/7p/R4P1P/1B4P1/Pb3P2/6K1 b - -,c8e8
2k4r/2p3p1/2p5/2b1p3/p1p1P1pP/P1P3P1/1PNK4/3R1r2 w - -,d1f1
rnb1k2r/pppn2bp/5pp1/8/1q3P1B/2N5/PPP1B1PP/R2QK1NR w KQkq -,d1d2
6k1/1pp3pp/1p1nP3/1q1NQ3/8/7P/PP4P1/6K1 w - -,e5g5
r1nq1rk1/pb3nbp/1p2R1p1/1B1p1pP1/3P1B2/1QN2N1P/PP3P2/R5K1 w - -,a1e1
8/pR1rNpkp/5pp1/4n3/P7/8/1P3P1P/1K6 w - -,b7d7
rn1qnrk1/1pp3b1/3p4/p2Ppbp1/2P5/2N2NB1/PP2BPP1/R2QK2R w KQ -,d1d2
3rbqk1/1p3p2/p1nr3p/3B2pP/4Q3/P4N2/1P3PP1/3RR1K1 b - -,g8g7
rnb1kb1r/pp3ppp/4pn2/2pq4/3P4/2P2N1P/PP3PP1/RNBQKB1R b KQkq -,b8c6
2r1k2r/ppqnbppp/1n1p2b1/3Pp1P1/6QN/2N1B2P/PPP2P2/2KR1BR1 w k -,h4f5
2rqrnk1/4bppp/1pn1p3/pb1pP1B1/3P2NP/P4NP1/1PB2P2/R2QR1K1 b - -,a5a4
8/7R/nk6/1p2b1P1/2p5/P7/1PB2r2/2KR4 b - -,a6c5
r1bq1rk1/pp1nppbp/3p1np1/2p3B1/2PPP3/2NB4/PP1Q1PPP/R3K1NR w KQ c6,d4d5
bq3r2/3nkp2/p1p1pr2/N1Pp1PQp/BP1P2p1/8/P5PP/4RRK1 w - -,a2a3
3rqrk1/2n1ppbp/pp1p1np1/2pPP3/P1P2B2/2N4P/1P1QBPP1/3R1R1K b - -,d6e5
5rnk/p2q1rbp/2bp1p2/2p1pPp1/2P1P1P1/4B3/PP1QNRBP/5R1K w - -,g2f3
8/3k4/7R/2P5/8/3p3p/7P/4Kb2 b - -,f1e2
r2qkb1r/pb1p1ppp/1pn1pn2/2p5/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 b kq -,c5d4:d7d5
3r2k1/5pb1/p1q3pp/4P2n/2p5/2B2N1P/PP3PP1/3RR1K1 w - -,d1d8
r1b2rk1/1p3ppp/8/1p1N4/5b2/P7/R4PPP/1R4K1 w - -,d5f4
r1r3k1/pb2pp2/q1np1bpp/1p6/1P1P4/2NQ1NPP/P3PPB1/RR4K1 w - -,c3b5
r1b1k2r/pp2ppb1/2np3p/q1p3p1/2PP3B/P1R1PN2/1P2BPPP/3Q1RK1 w kq -,h4g3
1r1qr1k1/ppp2pbp/6p1/3b4/3nP3/B5P1/P2N1PBP/R2QR1K1 w - -,a3b2
r5k1/5pp1/2pR4/7p/P1n5/8/P3NPPP/5K2 w - -,d6c6
2r5/b4k2/b2p1p2/P1pNp2p/2P1P1P1/6KP/3N4/1R6 b - -,c8g8
rnbqkbnr/pp3ppp/8/3p4/3N4/8/PPPN1PPP/R1BQKB1R b KQkq -,g8f6
r2r2k1/1p1b1p1p/p1pbpnp1/Q5qP/2PP4/5N2/PP2NPP1/1B1R2K1 w - -,a5g5
r4rk1/p3p1bp/1p1q2p1/2pPnb2/2P2B2/1R3N2/P3BPPP/3Q1RK1 b - -,e5f3
8/2r5/8/4k3/3p4/8/1K6/R7 w - -,a1c1
3n4/1p3k1p/4rpp1/PR6/6P1/2BK3P/5P2/8 b - -,e6d6
r1b2rk1/2q2ppp/p1p1pn2/3p4/Nb2P3/3QB3/PPP1BPPP/R4RK1 w - d6,e4d5
8/8/b2p1pp1/p1p1k1p1/2P5/PPK2PPP/6B1/8 w - -,g2h1
2r2rk1/pq1nb1p1/1p1p3p/3Ppp2/1P2P3/2N2PP1/PQRN2KP/4R3 b - -,b6b5
6r1/1p6/2p1k2p/p2rB3/P3KP2/4P2P/1P6/R7 b - -,e6f7
1r1r3k/4bp1P/5np1/8/4BN2/1p3P2/1PP5/R3K2R b KQ -,f6e4
r1b1k1nr/ppqn1pb1/2ppp1p1/3P2Pp/4P2P/2N1BP2/PPPQ4/2KR1BNR b kq -,e6d5
rnb1kb1r/p2p1pp1/4pq1p/1ppP4/2P5/2N2N2/PP2PPPP/R2QKB1R b KQkq -,b5b4
1B4k1/1n3p1p/2p3p1/8/P1Bb4/7P/2P3P1/7K b - -,g8f8
rn2brk1/pp2q1pp/2pBpn2/3p1p2/2PP4/1P1BPN2/P4PPP/RNQ2RK1 b - -,e7d6
8/5p1p/1p4p1/pPknN3/5PK1/r7/3R2PP/8 b - -,f7f6
r1r2bk1/5p1p/4pPp1/p1npP3/2qN4/2P1B3/1PQ3PP/R2R2K1 w - -,h2h4
6k1/8/5R1p/3r2p1/6PP/5KP1/8/8 b - -,g5h4
5rk1/1p4bp/1p2b1p1/1N2p1Nn/2P1P3/1P6/P4PBK/5R2 b - -,h5f4
4n3/6p1/3kNpP1/1p2pP2/1P2P3/8/5K2/8 b - -,d6d7
2r3k1/pp1b1ppp/8/1q6/1P6/P1b1PP2/4Q2P/2R2K1R b - -,b5h5
r1b2r2/1p4kp/3bp1p1/1B1p4/P2P1P2/2R1PN2/1P2K2P/2R5 b - -,g7f6
r1bq1rk1/p3npbp/1pnpp1p1/2p5/1PP5/P1N2NP1/3PPPBP/1RBQ1RK1 w - -,c1b2:d1c2:c3b5
1rr2k2/5pp1/3R1n1p/2q1p3/1p2P3/6Q1/PP4PP/KB1R4 w - -,g3b3
r1k4r/1p4pp/p2n4/3Ppp2/PR4B1/8/5PPP/3R2K1 w - f6,g4e2
rnb1qrk1/ppp3bp/6p1/3Qp3/2P1p3/5NP1/PP3PBP/R1B1R1K1 b - -,g8h8
2R1Q3/4K1P1/p7/1p1bP1B1/1P6/Pk6/5q2/8 b - -,f2f5
2q2r2/4n1k1/p2r1ppp/1p2p3/1P2Q2N/2P4P/1P3PP1/R3R1K1 w - -,f2f4
8/6k1/1R6/5R2/3q4/5P1P/6PK/8 w - -,b6f6
r3k2r/ppp3pp/3pqn2/4p3/4P3/2P1QP2/PP1N2PP/R4RK1 w kq -,b2b3
3r4/5pk1/1p3q1p/3Q2p1/8/R5PP/6PK/8 w - -,d5a2
1r1q1r1k/1ppbn1bp/p2p1np1/2PPpp2/1P2P3/2N1BP2/P2QB1PP/2RNK2R w K -,d1b2
1rR5/1P6/2P3p1/8/7P/2k2p2/KR2rN2/8 w - -,f2d1
r2qrnk1/pb1nbppp/2pp4/1p2pP2/4P1P1/2NP1N2/PPP3BP/R1BQ1R1K b - -,h7h6
6k1/5p1p/8/3B2p1/1r6/4P1PP/5PK1/8 b - -,g8f8
6k1/8/8/3p4/3Pb1p1/r6p/5P1B/2R1K3 w - -,e1f1
8/5pk1/1r2p3/5p2/5P1p/4K1P1/1P2R2P/8 w - -,e3d4
r4rk1/p4q2/1p1p1n2/2pPp1pp/2P1PpP1/P1PQ1P1P/3N2K1/4RR2 w - -,f1h1
rnbqkbnr/pp2pp1p/2pp2p1/8/3PP3/2N1B3/PPP2PPP/R2QKBNR b KQkq -,f8g7:g8f6:e7e5
r1bq1rk1/pp1n1pbp/3p2p1/2pPn3/2P2B2/2NB4/PP1QNPPP/R4RK1 w - -,b2b3
6k1/p3r3/2n1N1pp/4bp2/N3p3/4P1P1/5P1P/3R1BK1 b - -,g8h7
1r2q3/p1r2pk1/Q1pRp2p/P3P1p1/2R4P/6P1/1P3P2/6K1 w - -,h4g5
6k1/2p2pb1/1Q1p1npp/3P4/4P3/4R1PP/rB3PB1/6K1 b - -,c7b6
8/1R4p1/1p5p/p3kp2/1P6/P1r4n/8/3R1K2 w - -,b7b6
r1b1k2r/pp2bppp/2nqp3/3n4/2BP4/5N2/PP3PPP/RNBQ1RK1 w kq -,f1e1:b1c3
8/8/8/8/4bk2/r7/3R1K2/8 b - -,a3g3
8/2P5/1N6/p7/5p2/5kp1/2r5/6K1 w - -,c7c8q
8/p6r/2pkpp2/2R3p1/bPNP4/5P2/5KP1/8 b - -,d6c7
rnbq3r/ppppbkpp/8/8/4np2/2N2N2/PPPP2PP/R1BQK2R w KQ -,c3e4
r1b1r1k1/p2p1ppp/2nP1q2/1p6/2pNnB2/2PQ2P1/P3PPBP/2R2RK1 w - -,d3c2
r1b2rk1/p2p1ppp/2p1p3/q3P3/1bP2P2/2NB4/PP1Q2PP/R3K2R b KQ -,c8a6
8/2p2k2/2R2p2/1N4pp/4K3/5PP1/r6P/8 w - -,e4f5
B2kb3/4Q3/pp6/8/2p5/4P3/PP4P1/6K1 b - -,d8e7
2k2r2/2qp1r1p/p1b1P1p1/1pQ5/3R1P1P/P1P5/1PB5/2K1R3 b - -,d7e6
rn1qkb1r/1b3ppp/p2ppn2/1p6/3NPP2/1BN1B3/PPP3PP/R2QK2R b KQkq f3,f6e4
2kr3r/1pp1qp2/p2p1n2/3Pp3/2P1P2Q/8/PP2RPPN/2R3K1 w - -,h4g5
6k1/pp3b2/n1p3p1/7p/2P1r3/BPR4P/P1N3P1/7K w - -,c3d3
1rb2rk1/p1p1q1bp/2P2np1/Q2Pp3/4Pp2/P1N2N1P/3B1PP1/2R1K2R b K -,b8b3
8/8/3p2p1/1NpPk2p/2P4P/4PK2/4B3/r7 w - -,e2d3
1k1r3r/pb2q3/1p1ppn1p/2pPn1p1/Q1P1P2P/2P3P1/P2NBB2/2K2R1R b - -,f6g4
8/3bk3/1p6/2p2PPp/P1P1B2P/1P5K/8/4b3 b - -,e7d6
3n4/3P3K/6P1/4k2P/8/2p5/2N5/8 b - -,e5f6
r2r1nk1/1p1nqppp/2p5/p1b1pP2/2P5/PP3N1P/1BQ2PP1/R3RBK1 b - -,f7f6
5k2/5p2/p2p1p2/P7/1P3P2/2P3R1/7r/3K4 w - -,g3e3
8/8/1p1p1k1p/p6P/1bPp1PP1/1P6/P1BK4/8 w - -,d2d3
r1bqkb1r/1p2nppp/p1n1p3/2p5/4N3/5N2/PPPP1PPP/R1BQRBK1 b kq -,e7f5
8/8/R3p2p/1pq1p1p1/4Pn2/2rk1P1P/Q5PK/8 w - -,a2b1
rn3rk1/pb3ppp/1q2p3/1pb1N3/P3P3/6P1/1P2QPBP/R1B2RK1 b - a3,b5a4
r4r1k/5p1P/4p3/P3P3/3P2R1/3B4/1P6/K5R1 w - -,g4g8
2r5/1Rrnb1k1/p3pn2/2p4p/2P1pP2/5BPP/P1NN2K1/1R6 w - -,d2e4
1r4k1/2pnqrp1/4p2p/3pP2P/2bP1N2/1p2Q1P1/1R3P2/1B1R2K1 b - -,d7f8
2qr2k1/p3bppp/1p4n1/3pP3/3B4/P6P/1P1nNPP1/1Q1R2K1 w - -,d1d2
r1bq1rk1/pp3ppp/4pb2/2p5/3n2P1/1P1Q4/PBPP1P1P/2KR1BNR w - -,h2h4
3rq1k1/R4ppp/1p6/2p1Q3/3p4/3P1PPP/5PK1/8 w - -,e5c7
3r1k2/p1r2pp1/7p/R6P/4PKP1/5P2/8/1R6 b - -,f8e7
8/6bp/8/8/1k2p3/3K3P/1p6/1N6 w - -,d3e4
r1b1r1k1/1pqnbppp/p1pp1n2/4p1B1/2PPP3/2N2N2/PPQ1BPPP/R2R2K1 w - -,a1c1
r7/1qb2pk1/p1n1p1p1/2P1p2p/RPQ1P2P/5PP1/2N2K2/2N5 b - -,c7d8
8/6k1/5p2/5Bp1/1p6/n1bKBP1P/P5P1/8 b - -,g7f7
4r1k1/2pq2np/2p2pp1/2Pp4/3P3P/1P1Q2P1/4RPK1/4N3 b - -,e8e2
r2q1rk1/pp1nbppp/3pbn2/1Pp5/P1P1p3/1N2P3/1B1PBPPP/RN1QK2R b KQ a3,d7b6
r1bq1r2/p3n1bk/1pnp3p/2p1pp2/8/2PPBNP1/PPNQ1PBP/R4RK1 w - -,f3e1
r2q1rk1/2p2ppp/3b4/p1nQ4/8/P1N1Pp2/1P1P2PP/R1B2RK1 w - -,f1f3
1r3rk1/3bppbp/3p2p1/1ppPn2n/2P1P3/1P2BP1P/3NBNP1/R4RK1 w - -,a1a7
6k1/1p3pp1/2bB3p/3B4/2P1PP2/3P2P1/7P/n5K1 b - f3,a1c2
6k1/pp3p2/2pp1p1p/5b2/P1B5/5R1P/1PP2PPK/4r3 b - -,f5c2
4r1k1/1p4p1/8/1PP1pQ1p/7P/q7/4B3/5RK1 b - -,a3g3
1k1r3r/pppqb1p1/3p4/3Qn1Pb/4PR2/1B5P/PPPN2P1/5RK1 w - -,h3h4
1rq1r1k1/ppp3bp/3p2p1/2PPpb2/4n3/1P4P1/PB1Q1PBP/2R1R1K1 w - -,g2e4
2r3k1/R1P2p1p/6p1/8/Pr6/2b2N1P/5PP1/1R4K1 w - -,b1b4
8/8/2k2Bp1/R5K1/4b1P1/5r2/5P2/8 w - -,a5a2
3r3k/1p1R1r1p/p1p3p1/2P2p1n/1P6/1Q5P/P4PP1/4R1K1 b - -,d8d7
5rk1/p3ppbp/1n4p1/N4r2/1Bp1q1n1/5NP1/PP3PKP/1R1QR3 b - -,e4a8
r7/1p6/3p1k2/p1nB2P1/2P2p2/1P1b1N2/P5K1/4R2R b - -,f6g6
8/7r/pp1P2p1/4k2p/6nP/2P2K1B/PP6/8 w - -,c3c4
r1bq1rk1/4ppbp/Pn1p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,f1e1:f3d2:f3e1
r1bqk2r/ppp1nppp/3p4/4b3/4P3/2NB4/PPPB1PPP/R2QK2R w KQkq -,f2f4
1b6/3k4/1P6/p7/P2Bp3/2P3p1/6Kp/8 w - -,d4e3
8/8/8/1PPKp3/n6p/5P2/6k1/3N4 w - -,b5b6
8/p3rpk1/2R2npp/3p4/5P2/1P4P1/P2KB1P1/8 w - -,e2f3
rnb2rk1/ppp1qppp/3p1n2/3Pp3/2P1P3/P1B2N2/1PQ1BPPP/R3K2R b KQ -,f6h5
1r3rk1/1p1bqp2/p2p1b1p/4pP2/P1PpN3/3P2PP/1P4B1/R2Q1RK1 w - -,d1h5
8/1p6/p1p3k1/P1Pr1p1p/1PKBnPp1/6P1/4R2P/8 w - -,c4d3
rnbqk2r/ppp2ppp/4p3/3p4/2PPn3/P7/1PQ1PPPP/R1B1KBNR b KQkq -,c7c5:e8g8
2n2r2/r1p1q1kp/2Bp2p1/p1P1p3/1P3P2/6PP/5Q2/3RR1K1 w - -,e1e5
6k1/1p3p1p/p4p2/3R4/8/1P2P2P/P1r2PPK/8 w - -,h2g3
r1q1r1k1/pppbn1bp/2np2p1/5p2/3NPP2/2N1B1P1/PPPQ1RBP/4R1K1 b - -,f5e4
1k1r3r/pp1qbpp1/4p3/3pPn1p/1n1P1P2/1N3NPP/PP3BK1/R3QR2 w - -,e1e2
8/8/3R1k2/6pP/4K1P1/6r1/8/8 b - -,f6e7
8/5p2/5k1p/p1r1p2p/q3P3/8/6P1/3RQ1K1 b - -,f6e6
r1q2rk1/p2nbppp/2p1pn2/1p6/2BP4/1QN1P3/PP1B1PPP/R2R2K1 w - b6,c4f1
1r3rk1/1bq1ppbp/pp1p2p1/2n5/2PN4/1P2BPPB/P3P2P/2RRQ1K1 w - -,b3b4
rnbqk1nr/pp1pppbp/2p3p1/8/2BPP3/2N5/PPP2PPP/R1BQK1NR b KQkq -,b7b5:b8a6:d7d6:e7e6
r3kb1r/p1p2p2/2p3p1/3bP2p/5R2/2P1B1P1/P1P1N2P/R3K3 w Qkq -,f4a4
rn1qr1k1/pp3ppp/2p2p2/3p1b2/2PP4/2Q1P3/PP2NPPP/R3KB1R w KQ -,e2f4
1r3r2/1q3pbk/b2pp1pp/p1p1n3/PpPnP2N/1B1PN1B1/1PQ2PPP/R3R1K1 w - -,c2d1
1qnrr1k1/pp1bbppp/3p1n2/3Pp3/PP2P3/2N1B2P/3N1PP1/2RQRBK1 w - -,b4b5
5b2/1pBn3k/2p1b3/5p2/1p6/1N6/P3BPPP/6K1 w - -,e2d3
r3r1k1/pp3p2/1bppbq1p/4p1pn/3PP3/1BPQ1PB1/PP1N2PP/3RR1K1 w - -,g3f2
rn2kbnr/pp3pp1/1qp1p2p/3p1b2/3P3B/2N1P3/PPP2PPP/1R1QKBNR w Kkq -,f1d3
r6r/pp1n4/2p1pkp1/5p2/2PP3P/P3PB2/1P1K4/6RR w - -,b2b4
rn2r1k1/ppp2pp1/3b2qp/3P4/3P4/2N2N1b/PP2BPPP/R2Q1RK1 w - -,f3e1
r1bqk2r/pp1n1ppp/3p1n2/2pPp1B1/2P5/2PBP3/P4PPP/R2QK1NR w KQkq -,g1e2
8/7R/4kb2/5p1p/5Bp1/r2K2P1/7P/8 w - -,d3e2
8/2pk2b1/pp4np/5rp1/1PPp4/P2N3P/3BRPP1/6K1 b - b3,f5f6
r1bq1rk1/1pp2pbp/p1np1np1/3Pp3/2P1P2P/2N1BP2/PP1Q2P1/R3KBNR b KQ -,c6d4
8/8/R3k2p/2p1pp2/2r5/6P1/4K2P/8 b - -,e6d5
N2q1b1r/ppNk1ppp/2n2n2/4p1B1/2bp4/8/PP2PPPP/R2QKB1R w KQ -,g2g3
1n1rr1k1/1p2qpp1/5n1p/p2p4/PPb1P3/2PN1PP1/4Q1BP/R1BR2K1 w - -,e4e5
2r1rbk1/1bq2ppp/pp1ppn2/4n3/P1PNP3/1PN2P2/3Q1BPP/2RR1BK1 b - -,e8d8
r3r1k1/ppp2ppp/2nq1n2/1N1p4/1b1P2b1/5N2/PPPBBPPP/R2Q1RK1 b - -,d6e7
3rr1k1/ppq1bpp1/2n1bn1p/2p1p3/4P2N/P1P4P/1PB1QPP1/R1B1RNK1 b - -,e7f8
8/pr5k/5p2/2n1p1r1/2P1P2N/2P1R1P1/Pn1R3K/5B2 b - -,g5g4
3q1rk1/1b2bppp/p2pp3/1pr2P2/4P1P1/PBN5/1PP1Q2P/1K1R3R b - -,c5e5
1r2r2k/3Rb1pp/3p4/1p2p3/8/2P1B2P/1P3PP1/R5K1 b - -,b5b4
r1bq1rk1/ppp1npp1/1b1p1n1p/4p3/N1B1P3/3P3P/PPP2PPN/R1BQ1RK1 w - -,a4b6
2rqr1k1/p3n1bp/1p4p1/2ppnp2/4PP2/2PPB1PP/PP2Q1B1/3R1RK1 w - -,f4e5
q4rk1/p4pb1/1p2pnp1/2p2b1p/2P5/2N1BPP1/PPQ1PR1P/3R2K1 w - -,c2d2
8/8/6p1/1K5p/p6P/P1R3Pk/8/3b4 w - -,b5c5
2brr1k1/ppq2p2/2n5/3p2p1/3P2np/PQ1BP2P/3B1PP1/1RR2NK1 b - -,g4f6
r1r3k1/3bbppp/pB1p4/P1PPp3/8/6P1/5P1P/2R1RBK1 b - -,d6c5
r1b4r/pp2kppp/n3p3/1Nb5/1P6/P3P3/5PPP/R1B1KB1R b KQ b3,c5b6
rn1qk2r/pbppb1pp/1p2pn2/5p2/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 b kq c3,e8g8
4r3/pp3kb1/4r1pp/3B4/5P1B/1P5P/P5P1/4RK2 b - -,g6g5
3rr1k1/ppp2bp1/2n2p1p/4p2P/6P1/1PB1PP2/P1P2R2/2KB2R1 b - -,c6e7
