8/2R5/1kn5/3p4/8/1K6/2P5/8 w - -,c7d7
r2qkb1r/pp1nnpp1/4p2p/2ppPb2/P2P4/5N2/1PPNBPPP/R1BQ1RK1 w kq -,c2c4
2r3k1/6p1/p6p/2np4/1P6/8/P1P2PPP/1R4K1 w - -,b4c5
1n2r2k/rp4pp/1N2Pb2/pP3P2/P2p1B2/6P1/6BP/2R3K1 b - -,g7g5
r1bqkbnr/pp1ppppp/2n5/8/2P1P3/3p1N2/PP3PPP/RNBQKB1R b KQkq -,g8f6:d7d6
2rq1rk1/pb2bppp/1p2pn2/n1pp4/3P4/PP1BPN2/1BPNQPPP/R3R1K1 w - -,d4c5
3r1k2/5pp1/p1pr3p/1p2p3/4P3/1P2KP2/PPR2P1P/R7 w - -,a1c1
2q1kb1r/1r3ppp/p1p1p3/1p2n3/2p1N1Q1/6P1/PP2PP1P/R1BR2K1 w k -,e4d6
2r3k1/5p1p/8/4Rp2/2P5/pP6/P5PP/2K5 b - -,g8g7
1b2q1r1/4r2k/p1p1p2n/P2R1p2/1P1P3P/4R1P1/4QPB1/6K1 w - -,d5c5
8/1B5R/3n4/2p4p/4p3/4k1K1/1r6/8 b - -,b2b7
r1bqkb1r/pp3ppp/1nN1p3/8/3P4/1B6/PP3PPP/RNBQK2R b KQkq -,b7c6
r7/P6p/8/1k6/2pp1PP1/8/3K4/1R6 b - -,b5a5
2bq1rk1/3nbppp/2p2n2/2Ppp1B1/3P4/2NBP3/4NPPP/Q3K2R b K -,h7h6
8/3q2pk/4p2p/1p1r1p2/1R1PnP2/P2QB2P/6PK/8 b - -,d5c5
6k1/7p/1p4pb/2p2p2/3q1P2/2N1n2P/PP6/4Q1RK w - -,e1h4
2k5/pp6/2p3r1/2P5/5K1p/P6P/1P2R1P1/8 b - -,c8d7
r1bqkb1r/pp2pppp/2n2n2/2pp4/4P3/2PP1N2/PP1N1PPP/R1BQKB1R b KQkq -,g7g6:e7e6:d8c7
8/5p2/4p1p1/1k2Pn1p/1p1BKP1P/1P4P1/P7/8 w - -,d4f2
rnb1k1nr/1pqp1ppp/p3p3/2b1P3/2P1NP2/8/PP4PP/R1BQKBNR b KQkq -,b7b5
5n2/5kpp/p7/8/r2B4/3K1P2/P3R1PP/8 b - -,f8e6
6k1/5pp1/4p3/3nP1N1/5nQP/3q4/1P3P2/r1B2RK1 b - -,d3c4
1r3bk1/1p3p1p/6p1/4p3/1B6/1R1P2P1/2r1PP1P/4R1K1 w - -,g1f1
1n1kr3/1b1p3p/1N3p2/2p3p1/2p5/5P2/PP3KPP/R6R b - -,b8c6
1rb4r/pp2kp1p/2n1p2b/5p2/5P2/1NNR2P1/PPP4P/2K2B1R w - -,f1g2
2rq3k/R1n4p/3B2pb/1p2Pp2/1P1N1n1P/2pP4/2P2QB1/7K w - -,g2b7
3r4/pQ1P1ppk/7p/8/5P2/8/P1q3PP/3R3K w - -,b7d5
r2qkb1r/3n1ppp/p2pbn2/1p2p3/4P3/1NN1BP2/PPP1B1PP/R2Q1RK1 b kq -,d7b6
1rb1r1k1/1pq1bppp/p1nppn2/6P1/4PP2/1NN1B3/PPP3BP/R2Q1RK1 b - -,f6d7
6k1/2p5/1p5p/p1pP1r2/4RPrn/1P6/2P2RB1/6K1 w - -,g1h2
8/pp3k2/5bR1/2pP4/2P4p/1P6/P1BBq3/7K w - -,g6g2
3R4/6p1/4r1kp/1p6/2pPP3/2K5/7P/8 w - -,e4e5
q2rr1k1/4n1b1/2b4p/pp1p1pp1/1P1P2P1/P2NB2P/5PB1/1QR1R1K1 w - f6,g4f5
r2q1rk1/5ppp/4p3/pPn5/PbNp1B2/3P2P1/4QP1P/R2R2K1 b - -,c5d7
1r4k1/5p1p/3Np1p1/3p2P1/3n1P1P/R1p5/5PK1/8 b - -,d4b3
4R3/pp3kp1/8/3p4/8/B1Pq4/1K1b4/6R1 w - -,e8c8
8/8/1p6/2p3R1/2K1k3/2P5/8/7r b - -,h1b1
8/8/R4p1k/7p/5Pr1/5K2/8/8 b - -,h6g7
3rr1k1/4qp1p/p4p2/4pR2/2p1P3/2Q4P/PPP3P1/2K2R2 b - -,d8d4
r1bq1rk1/pp2ppbp/2nP2pn/1B6/8/2N2N1P/PPP2PP1/R1BQ1RK1 b - -,d8d6
8/5p2/2R4P/1p1p2k1/p6r/P1P5/1PPK4/8 w - -,c6c5
3k4/8/1b1N4/4Pp1p/5Pp1/B5P1/b5K1/8 b - -,a2d5
rn1q1rk1/pbpp2pp/1p2pn2/5p2/1bPP4/2N1PN2/PP2BPPP/R1BQ1RK1 w - -,f3e5
rnbqk1nr/1pp1ppbp/p2p2p1/8/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,f1e2
8/3R2kp/1p4p1/p1b2p2/P3p3/4P2P/5PP1/6K1 b - -,g7h6
r4rk1/pp1qb1pp/4pn2/2pp4/5B2/2P1QB2/PPP2PPP/R3R1K1 b - -,g8f7
b2r1r1k/5p1p/pR6/1p1pq3/8/P7/1PP1B1PP/R2Q3K w - -,e2f3
8/2p3p1/5p1p/pP1Pk3/2B3P1/5P1P/3K1b2/8 w - -,d2e2
6k1/5p1p/pB3b2/6p1/P7/8/3r1PPP/1R4K1 b - -,d2a2
1b1r1rk1/1p3pp1/pq4p1/3p4/3N4/1PPQ1P1P/P5P1/R2R2K1 w - -,d1e1
1R2q3/r2r3k/p1p1p1np/P1P1Pp2/4pP1B/8/4Q1PP/1R4K1 b - -,e8f7
r1bqkb1r/ppp2ppp/1nnp4/8/2PP4/2N5/PP2BPPP/R1BQK1NR b KQkq -,f8e7
2r3k1/3b1p1p/5np1/q2p4/Pb1N4/1Pp1PP2/4Q1PP/1B1RB2K w - -,b1d3
r2q1rk1/p1p2ppp/np3n2/3p4/1b1P4/P1N1PN2/1P1B1PPP/R2Q1RK1 b - -,b4c3
4r3/pp3kp1/2p1r2p/3pR3/3P1PPP/1PP2K2/P7/4R3 w - -,f4f5
3r2k1/5p2/2nr3p/8/2RB4/6P1/1P3PKP/3R4 w - -,d4e3
6k1/p4p1p/6p1/4p1q1/nP6/P2Q2PP/5P1K/5R2 w - -,d3d7
3r2k1/5p1p/1p2p1p1/p1qPP3/1b1R1P2/1Q4P1/1Pr3BP/3R3K b - -,e6d5
7r/p1r1p1kp/4Bpp1/n2p1n2/3P4/2P2N2/PP3PPP/1R2R1K1 w - -,e6d5
rb2k2r/pq4p1/1p5p/1N3pB1/1nQPn2P/5NP1/PP3PK1/R6R b kq -,b4d5
r5k1/pppq2pp/3n2b1/1P6/2PP2P1/1P2BQ2/3N1P2/R5K1 w - -,f3g3
5rk1/pp2pp1p/2rp4/2n3P1/4q3/2PbBR2/P3BQ1P/R5K1 w - -,g5g6
8/p4p1p/8/5k2/1r6/3pPP1P/8/2K3R1 w - -,g1g7
r1b2rk1/1p3ppp/p1nq1n2/3Np3/4PP2/P3B1P1/1P4BP/R2Q1RK1 w - -,a1c1
r2r2k1/2q2bpp/2p5/pp2pPQ1/4P3/1Pn1B2P/2P3B1/R4R1K w - -,g2f3
8/p2k4/1p1ppb2/7p/3P3P/Pr3NP1/1P1RK3/8 b - -,d7c6
r2qr1k1/pp3ppp/2nbpn2/3p4/3P4/2PB1QNP/PP3PP1/R1B1R1K1 b - -,f6d7
1b6/8/2P4p/1KN2pp1/8/1k4P1/5P1P/8 b - -,b3c3
r1b3k1/pp5p/3p2p1/1Np5/2P1Pr2/3Q2P1/PP3q2/R3R2K b - -,c8g4
r1br4/1p3pkp/p1np1np1/q1pP4/2P5/P1N2P2/1P1QN1PP/3RKB1R b K -,c6e5
r3n1k1/1qn1bppp/2bpp3/1p4P1/p2BPP2/PBN5/1PP1Q2P/2KRR3 w - -,b3a2
2r3k1/1b1nnpb1/2qp2pp/1pP1p3/1P2P3/2B2N1P/Q2N1PP1/R3R1K1 b - -,d6c5
2r3k1/5p1p/p3b1p1/4p3/n3PP2/4B1P1/1b5P/2R2BK1 w - -,c1d1
2r1k2r/4ppb1/p1npb2p/qp2n1p1/3NP3/2N2P1P/PPPQ1BP1/1K1R1B1R w k -,d4b3
r1bq1rk1/2pn2pp/1p1p2n1/p2Pp1N1/2P5/3N2P1/PP1Q1PBP/4RRK1 b - -,d7c5
1r2kb1r/p1qb1ppp/4p3/8/4B3/8/1BPPQPPP/RR4K1 w k -,h2h3
2r1k3/pp1n2pp/1q2p3/3P2P1/3b4/3B4/PP2Q2P/1KB2R2 b - -,d7f8
3r4/1p4kp/p1p3p1/P1Pnpq2/3b3Q/1B3P2/1P1BR1PP/7K b - -,d8d7
r4rk1/p4ppp/bp2pq2/3Pn3/5P2/1P4P1/P2Q2BP/RN1R2K1 b - f3,e5d3
r1b2rk1/pp3ppp/2p3q1/3p1n2/8/1QP5/PP4PP/RNB2RK1 w - -,c1f4
5k2/5p1p/6pb/P7/4R3/7P/4pqB1/1R5K b - -,h6e3
r2q1rk1/5pbp/1p2pnp1/p2pB3/1Q2P3/5P2/PPP1N1PP/2KR3R w - a6,b4a3
r1bq1rk1/p3p2p/2p1nbp1/3p4/N2B1P2/8/PPP1B1PP/R2Q1RK1 w - -,d4f6
r3r1k1/pp3p2/4bb2/n2B3p/2pP4/2N1P3/PP3PPP/R3K2R w KQ -,e1c1
1br2rk1/pb2qp1p/1p2n1p1/3p4/3N4/1P2P1PB/P3NP1P/1Q1RR1K1 b - -,e7f6
r1bq1rk1/ppp1bppp/2n1pn2/3p2B1/2PP4/P1N1PN2/1P3PPP/R2QKB1R b KQ -,f8e8
1n1r3r/1k2bb2/p1p2p1p/1pPp1BP1/1P1PP3/2N1BPP1/6K1/R6R b - -,h6g5
3r2k1/p6p/1p3rp1/2qp1p2/3N4/4Q2P/PP4P1/6K1 w - -,b2b4
2kr3r/1bq2pbp/ppn1pnp1/3pN2P/2pP1PP1/2P1PQ2/PPBN4/R1B1K2R w KQ -,h5h6
1rbq1rk1/2p1ppB1/p1np1np1/1p5p/2PPP2P/2N2P2/PP1QN1P1/R3KB1R b KQ -,g8g7
6k1/2R3p1/5p1p/1p2p3/1P2n3/4P3/r1N1KPPP/8 b - -,e4d6
8/p3Rk1p/1p4pn/2pRp3/2P1p3/7P/PP4P1/6K1 b - -,f7e7
1N6/r1qr1k2/3p1pp1/P1pPp1bp/4P3/1R5Q/2P2PP1/1R4K1 w - -,b8d7
1k5r/1p3ppp/pq2p3/3pPn2/PP1Q4/2r4P/B5PK/R1R5 w - -,c1f1
rnb1kb1r/pp3p1p/4pp2/q1P4Q/4p3/2N5/PPP2PPP/R3KBNR w KQkq -,e1c1
2rr2k1/2q2p2/6pb/p3p3/2p1Rn1p/1PP2P1P/P2B2PK/R1QB4 b - -,f4d3
1k4rr/1p3p2/p3p2P/1b2P1P1/3pNP2/B2Pn2R/8/2R1K3 w - -,a3d6
2q5/6kp/r4p2/3Q4/2pBP3/3n1P2/6PP/R5K1 w - -,a1b1
5rk1/3bq1pp/p1p2p2/1pb1pP2/4P3/2N1B3/PPP1Q1PP/3R3K b - -,d7e8
r2r3k/ppnqp1bp/2ppbnp1/5p2/2PP4/1P1BPN2/PBQ1NPPP/2RR2K1 w - -,e2f4
8/8/8/8/1k1n4/8/K2b4/8 w - -,a2b2
r3r1k1/ppq1bpp1/2n1bn1p/2p1p3/4P2N/P1P4P/1PB1QPP1/RNB1R1K1 w - -,b1d2
r2qr1k1/2pb1pbp/2n2np1/1p1pp3/p3P3/2PPBNNP/PPB2PP1/R2QR1K1 w - -,d1c1
3r1rk1/1pq2pp1/2p2n1p/p3pP2/2Pb4/1P4PP/PBQ2PB1/3R1RK1 w - a6,f1e1
8/5p2/1p6/p4kp1/Pr5p/4K2P/RP3PP1/8 w - -,e3d3
6k1/2BQ4/6p1/2N5/7p/7P/4p1P1/6K1 w - -,d7e6
rnbq1rk1/ppp2ppp/3b1n2/3pp3/4P3/3P1NP1/PPPN1PBP/R1BQK2R b KQ e3,d5e4
3q2k1/1b2b1pp/3pp3/4rP2/1p2P3/1BN5/1PP1Q2P/1K1R4 w - -,c3a2
r6k/ppp3pp/1n3r2/5p1q/1B1P4/1Q2P3/PP3PPN/R4RK1 w - -,b3d1
1r2r3/1P3p1k/p5pp/8/3R4/3B2qb/P2Q2P1/1R4K1 w - -,d2f2
4rr1k/pp3qbp/2ppRBp1/3P4/1PB2P2/8/P2Q2PP/5RK1 b - -,g7f6
r2r2k1/pb4b1/1p1ppqp1/n1p3N1/2P1N3/PP4P1/2Q2PBP/2RR2K1 b - -,f6e7
r1bqk2r/ppp2ppp/2nb1n2/4p3/2BpP3/2P3N1/PP1P1PPP/R1BQK1NR w KQkq -,g1f3
r3kb1r/pp1n1ppp/2p5/q2bP2P/6P1/2N2P2/PPPB4/R2QKB1R b KQkq -,d7e5
1r6/3b1k1p/2p3p1/2B1p3/R5P1/4KP1P/PR6/8 b - -,b8b2
1r4k1/2p1q1pp/1p1p4/pP4b1/2PPr3/4P1PQ/P3R3/2B1R1K1 b - -,b8e8
r1br2k1/pp3pbp/n1p3p1/3np3/8/3P1NP1/PP2PPBP/RNB2RK1 w - -,c1g5
2b3k1/2n1p2p/3p2p1/1p1P4/2pNP3/4r3/P1K3PP/R4B2 w - -,a1b1
2rq1rk1/1p1nbppp/p2pbn2/4p3/P3P3/2N2B2/1PPN1PPP/R1BQR1K1 b - -,f8e8
b7/P7/2Pk4/1P6/2K5/8/7n/8 b - -,h2g4
6k1/pbb2p2/1p4q1/4p1p1/8/1PB1P1P1/P3BP2/3RN1K1 w - -,d1c1
5r1k/ppp3pp/4Q3/8/3q4/PP1P3P/2P2rp1/1KR3R1 b - -,f2c2
r3r1k1/pp3ppp/1qnb4/3p3b/3P4/1P3N1P/PB2BPP1/R2Q1RK1 w - -,a2a3
3r4/1kp5/1p3pn1/p5pp/Pb2P3/1P2BP1P/1NR1KP2/8 w - -,b2d3
r1bq1rk1/pp2n1bp/3p2p1/3Npp2/2PpPP2/3P2PP/PP4B1/R1BQ1RK1 b - -,f5e4
r1bq1rk1/p5bp/3p1n2/1pp1pPN1/2Pn4/2NB4/PP4PP/R1BQ1RK1 w - b6,g5e4
3rr1k1/1b3pbp/p5p1/1p1ppP1n/1P2P2q/P2BBQ2/2P2NPP/4RRK1 b - -,h5f4
2rq1rk1/p4ppp/2pb1n2/3p4/6b1/1P2PN2/PB2NPPP/2RQ1RK1 b - -,g4f3
5r2/6p1/p1N1R3/1p6/4p2k/P4p1P/1PPB2r1/5K2 w - -,d2b4
k4nr1/1qb5/ppN2p2/4pQ1p/8/8/PP3PPP/2RR2K1 w - -,f5f6
r1r1n1k1/1b2qppp/p2pp3/1p4PN/3NP3/5P2/PPPQ3P/1K1R2R1 b - -,c8c4
8/8/p3k1p1/4P2p/1P1Q3P/6P1/5PK1/4q3 w - -,d4d6
r7/1bknbp2/1q2p3/1p2P1p1/2pPB1P1/P3QN2/5P2/1RB4K w - -,f3d2
rn1q1r2/pp4bk/3p2pp/2pPpp1n/2P1P3/2NN2Pb/PP2BP1P/R1BQR1K1 w - f6,e4f5
r2q1rk1/pppb1pb1/2np2pp/1B2p2n/2P1P3/2NPBN1P/PP3PP1/2RQ1RK1 w - -,c4c5
2b2rk1/q3bppp/p2p1n2/B3p3/4P3/2P2B2/1R2QPPP/R5K1 b - -,a7c5
rnbqnrk1/p4ppp/4p3/bP1p2P1/4N3/PQ3N2/3PPP1P/R1B1KB1R w KQ d6,e4g3
8/1p6/2p5/2P5/1k1p4/5PR1/3K2b1/8 b - -,g2f1
r1bqk2r/pp2bppp/2nppn2/2p5/2B1PP2/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,e8g8
3r4/1Q5p/3q1p1b/Pk1p1n2/3Pp3/4P3/6PP/2R2NK1 b - -,b5a4
R4rk1/2qbppbp/2np1np1/1pp5/2N1P3/2PP1NPP/1P2QPBK/2B2R2 b - -,f8a8
8/p5pp/3k4/8/1p2K3/2P5/P6P/8 w - -,c3b4
8/6pp/8/2k1pp2/p1P5/2PK1PP1/7P/8 w - -,h2h3
1r3rk1/5ppp/p3p3/1p6/nP6/R3P1P1/3N1P1P/2R3K1 w - -,c1c6
3rr1k1/1p1qbnp1/p2pbn1p/5p2/2P2P2/1PNQB1P1/P4NBP/3RR1K1 w - -,e3b6
r2q1rk1/ppp1bppp/2npbn2/4p3/2B1P3/P1NP1N1P/1PP2PP1/R1BQK2R w KQ -,c4e6
rn1q1rk1/p3ppbp/b2p1np1/2pP4/P1B1PP2/2N2N2/1P4PP/R1BQK2R w KQ -,c4b5
rN6/4k3/1P6/p3BP2/8/3K3p/8/8 b - -,e7f7
r1bqkb1r/p4p2/1nn1p1p1/1p1pP2p/2pP1P2/4NN2/PPP1B1PP/R1BQK2R w KQkq -,e1g1
r2q1rk1/3n2bp/1pbpp1p1/p4P2/1PP5/P1N2P2/2QBB1PP/1R1R2K1 b - -,f8f5
8/1pprr1kp/3p2p1/p2P4/3KP3/1P6/P1R3PP/2R5 b - -,e7f7
6k1/1p3p1p/1P4p1/8/Pp2R3/1Pb3P1/5P1P/3rN1K1 w - -,e4e8
r4rk1/pp2ppbp/2n1b1p1/1P1n3q/2NP4/P2BBN1P/5PP1/R2Q1RK1 b - -,d5e3
r1bq1rk1/1pnnppbp/2pp2p1/p7/P1PP1B2/2N1PN1P/1PQ1BPP1/3R1RK1 b - -,c7a6
r1b2rk1/1p1n1ppp/p3p3/8/1b1NBB2/6P1/PP2PP1P/R2R2K1 b - -,e6e5
8/pk3q2/1b5p/8/1Q3p2/3N3P/PPP5/1K6 b - -,f4f3
8/p4kpB/1n3p2/2p4P/5P2/n5P1/8/B5K1 w - -,g1f2
3bbk2/8/3P1p2/1ppNpNn1/2p1P1B1/2P2PK1/1P6/8 b - -,g5f7
r3k2q/pp2p3/n3b1pB/N3P2n/3Q4/8/PPP1NPPP/2K4R b - -,h8h6
3rrb2/5p1p/p1bp1pk1/1Pn1p3/4P3/1BP1N1NP/1P3PP1/R3R1K1 b - -,a6b5
2r1kb1r/1p1npppp/p1p2n2/2Pp1b2/1P1P1B2/4PN2/1P3PPP/RN2KB1R w KQk -,h2h3
8/1p4k1/p1p5/P1P2PKP/1P6/6B1/7P/5r2 w - -,f5f6
r7/1p3pkp/2p3p1/p1n5/2P5/PP4P1/5PBP/2R3K1 w - -,b3b4
r1b2rk1/pp1nqppp/2pbpn2/8/2BP4/1PN1PN2/P4PPP/R1BQ1RK1 w - -,c1b2
1r3k2/3R3p/p1r5/2P5/3Bpp2/4P1P1/P5KP/R7 w - -,g3f4
r2q1rk1/pbpn1p1p/1p3np1/3p4/1b1P4/2NBP1N1/PP3PPP/R1BQ1RK1 b - -,a7a6
r3r3/1p2kpbp/1q1p1np1/p1pP4/Q1PpP3/5P1B/PP3P1P/1RB2R1K w - -,f1g1
3rr3/1p4bk/3p1p1p/p1pPn1p1/1q2P3/1PN1R1PP/P1PQ1RBK/8 w - -,d2d1
2r2rk1/1q2bpp1/6P1/p3p3/1p2P2p/8/PPP3QP/1KN1R1R1 w - -,c1d3
5k2/5pp1/1b5p/rPNp4/2nP4/2NR2P1/2K5/8 w - -,c5a4
8/5pk1/1R4p1/1p5p/2br3P/6P1/5P1K/4R3 b - -,d4d2
8/8/2p3pK/8/2k5/6r1/2R3P1/8 b - -,c4b5
4rrk1/p7/1p3qpb/2pPpb1p/2P5/3B2B1/P3RPPP/3QR1K1 b - -,f5d3
rn1qkb1r/4pppp/p1p2n2/1p1p1b2/2PP3N/1P2P3/P2N1PPP/R1BQKB1R b KQkq -,f5d7
r4rk1/1ppqbppp/p1npbn2/P3p3/2B1P3/2NP1N2/1PP2PPP/R1BQR1K1 w - -,h2h3
r1bqk2r/1p2npb1/p1npp1pp/2p5/P3PP2/2NPB1P1/1PPQ2BP/R3K1NR w KQkq -,g1f3
