8/6p1/2R4b/4p3/N5k1/r7/4K3/8 w - -,a4c3
2rq1rk1/pp2bppp/5n2/3p4/4nB2/1N1Q1N2/PPP2PPP/R4RK1 w - -,a1d1
4r3/pr3k1Q/1p2pqp1/2p3R1/2P2P2/1P4PP/P7/3R2K1 b - -,f6g7
r4rk1/1bq1bppp/ppnppn2/2p5/2P1PBP1/2NP3P/PP2NPB1/R2Q1RK1 w - -,a1b1
r2q1rk1/pp2ppbp/3pbnp1/8/2P1P3/2N1B3/PP1QBPPP/R4RK1 b - -,f6d7:d8a5
1k1q3r/1pr1pp2/p2p1npP/3P2Q1/2P4P/3B1P2/PP6/1K2R2R w - -,f3f4
1r4k1/2r1bpp1/7p/1bpB4/4N3/4P2P/1P3PP1/R2R2K1 w - -,d1d2
1rbq1rk1/2p1ppbp/3p1np1/np1P4/8/PPN2NP1/1B2PPBP/R2Q1RK1 b - -,c7c5
8/p4pk1/1p4p1/1n6/4BpPP/P1rR4/5P2/6K1 w - -,d3c3
6k1/4bp1p/4p1p1/8/1r6/3q3P/Q3NP2/1R3BK1 w - -,b1b4
6k1/1p2RpPp/2pp4/8/2Pn4/1P3B2/6PP/r5K1 w - -,g1f2
r7/1p3pk1/1P1p2p1/3P2P1/2R2P1p/p1bB3P/1rP3K1/R7 b - -,b2c2
r1bq4/3n1p1k/3p1bp1/1p1P3p/2p1Pp2/2P1B2P/1PBQN1P1/5RK1 w - -,e3f4
8/7p/8/1N2k1p1/2p1b3/2P3PP/1P3K2/8 b - -,h7h5
2qr2k1/p1n2pb1/1pn3pp/2p1p2P/4P3/1PP3N1/P1Q2PPN/2BR2K1 w - -,d1d8
8/8/1P4p1/B1P1PpP1/3p1P2/1k1K4/R6r/8 b - -,b3a2
6k1/p4r2/1p2Qnpp/2p5/P3p1PP/1P4K1/8/8 b - -,g8g7
2kn2r1/3q1r2/PR5p/1Np1bPp1/2PnP3/3PB3/6QP/1R5K b - -,d8c6
r4rk1/3nppbp/2pp1np1/pq3P2/1p1PP3/3PBNNP/PP3QP1/3R1RK1 b - -,b4b3
4R3/8/8/4k3/8/p7/K6p/7r b - -,e5f4
N4b1r/pp1knppp/2n1p3/4P3/7P/3p3R/PPbB1PP1/2R1KB2 w - -,f1d3
r1bqk2r/pp2bp2/4p3/nP1pPnpp/N2P4/P2B1N2/1B3PPP/R2Q1RK1 w kq -,b2c3
8/p1p2k1p/2Qb2p1/8/3PN3/2P3P1/q4PKP/8 b - -,a2a5
3r1rk1/pp4b1/1q2b2p/6p1/1np1p1P1/1N5N/PP2BPP1/1Q1R1RK1 w - -,b3d2
2br1q1k/5r2/4p1Rp/1B1pPp1P/1p1P1K2/4P1Q1/P7/6R1 w - -,g1g2
3r4/4R3/1pB5/2pP1k2/2P3pP/2r5/6K1/8 b - -,c3c2:c3c4
4rrk1/1pnb1p1p/3p2p1/p1q5/PnPbPNPP/1P2NR2/6B1/2BQ1R1K w - -,f3g3
2k5/5pp1/2b1p3/ppNnP2p/3PB3/8/P2K1PPP/8 b - -,c8c7
q7/3nbk2/2b1p1p1/1pp1pp1p/4P3/2PPBP2/QPBNK1PP/8 w - -,a2b1
3r1nk1/p4ppp/1p2p3/q3P3/2PN2PP/4R3/P3QPB1/6K1 b - -,d8d4
8/2n5/k7/P7/1K6/3N4/8/8 b - -,c7d5
8/1R3k2/6p1/7p/7P/8/1p3PK1/1r6 b - -,f7e6
r3k2r/1bqn1p1p/p2p4/1p3pP1/3B4/P1N4Q/1PP4P/R4RK1 b kq -,d7e5
8/R3n1p1/2r1k1p1/4p3/6PP/P3PK2/5P2/8 b - -,e6d6
5rk1/1p1bq2p/p4p2/2Pp2pN/1P1B3n/2P2P2/P1Q3PP/3R2K1 w - -,c2d2
r1b1kb1r/3n1ppp/1pp1pq2/p1PpN3/1P1P1P2/P1NB4/5PPP/R2QK2R b KQkq -,f6f4
3r2k1/p6p/1p6/3pP1p1/3P1rP1/P1Q2P2/4K2P/8 b - -,f4f7
6rk/6rp/1p3p2/p1p2q2/PnP3P1/3PPK2/6Q1/R6R w - -,g4f5
8/p5r1/1p3k1Q/1b1qnp2/8/BP4P1/P3RP1P/6K1 b - -,f6f7
3r1rk1/pbqnbppp/1pp1p3/8/Q2PP3/P1N2N2/1P2BPPP/2RR2K1 b - -,c7b8
5k2/3n2pp/1p1N1p2/8/2P5/2B1KP2/2b3PP/8 b - -,f8e7
2r3k1/1R4p1/4p2p/3pPp1P/2qNbP2/2P3PK/8/Q7 w - -,h3h4
2R5/6pp/p2kp3/rp6/3PP3/8/4K1PP/8 w - -,e2f3
r5k1/pp1r1qbp/2n1p1p1/P2P4/6P1/1P2BP1N/R2Q2KP/3R4 b - -,e6d5
3r3r/pp1kppb1/5nq1/1N1P4/2P5/1P3Pp1/P4QP1/2RR2K1 w - -,f2a7
2krr3/pp3p1p/5p2/5P2/2P1p3/P2P4/3KBPPP/7R b - -,e4d3
2r2rk1/p4ppp/3Npn2/3pQ3/3P4/2q2P2/P5PP/1R2R2K b - -,c8c6
8/1p1k2p1/7p/3p1P1P/p2n4/P2QN3/6K1/q7 w - -,e3c2
1r1r2k1/3q1pp1/p2p1n1p/4p3/bP2P3/RNB2P2/1P1Q2PP/3R2K1 w - -,d1a1
4q1k1/p5rn/1r1p1npp/2pP1p2/b1P1pP1P/Q1B1P1PN/P3B3/4K1RR w - -,e1d2
2r5/1r1k2p1/6Pp/4Rp1P/1B2nP2/1P6/PK2R3/8 w - -,e5e7
5b2/p4k2/3p1np1/P1pN1p2/5P2/N6P/7P/2B3K1 b - -,f6d5
3r4/2R2p2/p2rq1pk/1p5p/1P2p2P/P3P1P1/4QP2/2R3K1 w - -,c7c2
r3r1k1/1bqn1ppp/1p1p4/p2Pp3/1nP1P3/1P3NPP/3NQPB1/R4RK1 w - -,f1c1
4n3/5pk1/P1R1p1pp/8/r2P4/3BP1P1/4KP1P/8 w - -,c6c8
r2qr1k1/pp1n1ppp/2p2n2/2bp3b/4P3/2NP1NPP/PPQ2PB1/R1B2RK1 w - -,f3h4
7k/4R2P/1r6/8/n1P5/1KP5/P7/8 w - -,b3a4
5rk1/6p1/4p1n1/p2p4/Pb1Pq2p/5N1P/2Q2PPB/2R2K2 b - -,b4a3
7k/p2r1p2/2p4p/n3P3/2q5/3r2N1/P2P2PP/1Q2R2K w - -,g3h5
r3k2r/p2n2pp/1p2pp2/8/3P3B/P7/1P1n1PPP/R3KR2 w Qkq -,e1d2
r3k2r/ppp2ppp/1b1p1n2/q7/2BPP3/2P1Q3/P4PPP/R1B2RK1 b kq -,e8g8
8/6k1/8/3p1R2/3N1P2/4P3/5K2/7q w - -,d4f3
1r2kb1r/3b1p1p/pqpppp2/7Q/2B1P3/1PN5/P1P2PPP/2KR1R2 b k -,h8g8
5rk1/1p3pbp/4p1p1/1N1q1n2/P1rP4/5N2/1P2QPPP/R2R2K1 b - -,f8c8
7r/b7/P7/2p1kp1p/2Pp3P/1R3BP1/5K2/8 b - -,h8h6
8/6B1/2k5/2pp2K1/4bP2/r7/4R3/8 w - -,g7e5
rnbq1rk1/pp3pbp/2p2np1/3p4/3P1B2/2N2NP1/PP2PPBP/R2Q1RK1 b - -,f8e8
5qk1/p1p2bpp/8/2Pp3r/2P2p2/2Q2P2/PB4PP/R6K w - -,a1d1
3qr1k1/r3ppbp/1p1p2p1/p1nP4/2P4B/PP2QP2/6PP/1R1R1B1K b - -,g7f6
r1bq1rk1/pp2pp1p/2n3p1/8/2BbP3/1Q2B3/P4PPP/2R1K1NR w K -,c1d1
4r3/2p2pkp/p1r1p1p1/1p6/8/1PPR3P/P3KPP1/3R4 w - -,d1d2
r1bqk2r/pp2bppp/2n1pn2/2pp4/3P1B2/2PBPN2/PP3PPP/RN1QK2R w KQkq -,h2h3:b1d2
2k1r3/1p3pp1/p4b2/2PK1P2/P4P1p/8/5B2/7R w - -,h1h3
r2q1rk1/p4ppp/1p2p3/3n4/8/1N1Q2P1/PPPR1P1P/2K4R w - -,c1b1
5k2/p4pb1/8/7R/3pP3/1P3r2/P1PK4/8 b - -,f3e3
2rq4/6kp/4nbp1/5p2/PP3P2/1Q4PP/3rRB2/4R1K1 w - -,b3e6
4r3/2Q3pk/5pb1/R7/1P2P3/P2PKP2/6q1/8 b - -,f6f5
1rrn4/1n1kqp2/3p1b1p/1ppBpPpN/1P2P3/1QPPB3/6PP/1R3RK1 w - -,b1a1
6k1/5p2/ppn1p1p1/2N4p/PP3P2/2P3P1/1K1Q3P/5q2 w - -,c5d7
r4rk1/pBpnqppp/1p2p3/8/2Pp4/2Q3P1/PP2PP1P/R3R1K1 w - -,c3d4
r3k2r/3b1p2/3ppp2/5P1p/1p2P3/pPbB1NP1/P1P4P/3RK2R w kq -,e1f2
3r1rk1/p3qp2/4p1p1/7p/3bP3/1B3Q1P/P4PP1/1R1R2K1 w - -,d1d2
2rq1rk1/1b1n2pp/pp2p3/3p1p2/Pb1P1Pn1/1P1B1R2/1BPNN1PP/R2Q2K1 w - f6,d2f1
r3kb1r/1ppb1pp1/p3pq1p/3Pp3/4P3/2N5/PPPQ1PPP/2KR1B1R w kq -,d5e6
1R6/4B3/2r1bp2/5k1p/5p2/5P1P/6P1/6K1 b - -,f5g6
5rk1/pp2bppp/8/3qp3/3P4/Pn3N2/1P3PPP/1QB1R1K1 w - -,e1e5
8/1b1k1p2/2n1p1p1/1pBpP2p/5P1P/1PK2NP1/P7/8 b - -,b7a6
1k6/p2bp3/1p1p1b2/2pP1pq1/8/P1PPNB2/1P3PQ1/1K6 b - -,g5h4
4R3/6k1/7r/1r2p2P/4Pp2/5B1K/6P1/8 b - -,g7f7
8/5p1p/3Pk1p1/r3Pp2/2pK4/pbN3P1/7P/4R3 b - -,a5a8
r4rk1/1bqnbppp/p2pp3/6P1/1p2PP2/1N1PB2Q/PP2N2P/1K1R2R1 b - -,f8c8
3R2kn/4rrp1/2p1Np1p/4PP2/6R1/6QP/1q4PK/8 b - -,g8h7
1r1qkb1r/3b1p2/3ppp1p/8/NP1QP3/5N2/5PPP/R4RK1 b k b3,f8e7
4rrk1/2pbpqb1/pp1p3p/2nP1p1B/2PN3B/P1N1P1pP/1PQ2PP1/2KR3R b - -,f7h5
r6r/2kb4/1nn1pbqp/3pP3/p1pP4/2P5/P2BB2N/1R1Q1R1K w - -,e5f6
6k1/qp1bpp2/3p1bp1/p1rPn3/P2R2PP/NBP5/KP2Q3/7R b - -,a7b8
4k3/8/8/8/Rp1K4/p7/8/2r5 w - -,d4d3
5r2/1p1nr1k1/p1pn3p/P2p1pp1/3P4/1PN1PP2/5KPP/1BR1R3 b - -,f8e8
4r1k1/3R1p1p/2p1pbp1/2q5/Pp6/1B4PP/1P1Q1PK1/8 b - -,e8e7
r3kb1r/pp3ppp/2n1b3/3P4/3P4/1PN3P1/1P2P1BP/R3K1NR b KQkq -,c6b4
r3rbk1/1p1n1ppp/p2q1n2/3p4/3P2b1/1PNN1BP1/PBQ1P2P/2RR2K1 w - -,c3a4
8/6R1/1r3Pk1/3pP3/1p1K4/8/8/8 b - -,g6h6
n1bq1rk1/1p2b2p/p3p3/3p1pp1/3PnB2/1Q1BPN1P/PP3PP1/2R2RK1 w - g6,f4e5
8/6k1/pb1p2p1/3P4/3qPp2/3N1P2/4Q1K1/8 w - -,d3f4
8/p1pk1p1r/1pb1nR2/2p1P3/2N3P1/1PB5/P1P5/2K5 b - -,c6e4
r2q2rk/pp1n1pbp/4p3/2p1p1R1/5P1Q/2N2B2/PPP4P/3R3K b - -,f7f5
8/1p2R1p1/pNk4p/P6r/1PPK1pb1/8/8/8 b - -,f4f3
3q2k1/1p3p1p/p2bp3/n2P1p2/8/2QNPNP1/P4P1P/6K1 b - -,d8c7
8/8/3kp2p/6p1/2K1P1B1/1P3P2/5b1P/8 b - -,e6e5
3r1rk1/1ppb1p1p/p2b1Q2/8/5P2/2NB2P1/PPP3P1/5RK1 w - -,c3e4
r1b1k2r/1p4pp/p1n2p2/2b1p3/2P5/4PN2/P2NBPPP/R4RK1 w kq -,d2e4
r2q2k1/4b1pp/p1np4/p2bPQ2/5P2/4B3/1PP3PP/3R1RK1 b - -,d5f7
1r6/5pkp/2b2np1/r1n1p3/1qp1P1P1/2N1QP2/PP1R3P/KBNR4 w - -,h2h4
2r1r1k1/5pp1/2p2b2/5q1p/1P6/P2QBP1P/5PK1/2RR4 b - -,f5e6
1Q3k2/3b4/p1p5/Pp1p3p/1q1Pp3/4P2P/3N2PK/8 b - -,d7e8
r7/pp3k1p/2n1b1pB/3r1p2/2Bp4/P7/1PP2PPP/R3R1K1 w - -,c4d5
r4rk1/pp1nq1p1/4p1pp/1Q1pP3/P2P4/8/1P1N1PPP/R4RK1 b - -,d7b8
4k3/5p2/1B4pp/1p1PP3/pnr1B3/4K1P1/1P5P/8 w - -,h2h4
r1b1rbk1/3n1p2/p6q/2pP1B1p/PpN1NPp1/8/1PQ1R1PP/5RK1 w - -,c4e5
r1r3k1/3b1ppp/p2q1nn1/3p4/3Pp3/2P1P2P/1PB2RP1/R2QNNK1 w - -,c2a4
r3qrk1/1p1n2pp/3p1n2/p2PpB2/2P2p2/1N3P2/PPQ3PP/R5RK w - -,g2g3
r1b2rk1/2p2ppp/1bpp4/p6n/3NP3/2PBB1PP/PP3P2/R3K2R b KQ -,f8e8
r1b2rk1/p3bpp1/1p2p2p/n2q3Q/3PN3/2PB4/P4PPP/R1B2RK1 w - -,h5e2
r4rk1/pp1b1pp1/1q2p2p/8/3PN3/3QR3/PP3PPP/2R3K1 b - -,b6d8
r6k/p2bp1r1/2pp3p/4qP2/1PP3Q1/P3B3/6PP/4RRK1 w - -,g4h4
r2q1rk1/p3bppp/1pb1pn2/2p5/2pP4/1PB2NP1/P1Q1PPBP/R4RK1 w - -,b3c4
8/1p5r/p5k1/2Br1p2/6p1/1P1R2P1/P3KR2/8 b - -,d5c5
2br1rk1/p5pp/1nB5/3p4/2PR4/PP3NP1/5P2/5RK1 w - -,c4c5
8/5k2/4p3/4R1P1/8/5PK1/8/r7 w - -,f3f4
rn1r3k/pp3ppB/1q2n3/3bP3/P7/5P1Q/6PP/R1B2R1K b - -,e6f8
3r4/1b1n1pk1/3P2p1/p3p3/8/1P4P1/P1N4P/3R1BK1 b - -,d7f6
8/3Q1bk1/5p2/p3q3/8/6P1/1r3P2/1BR3K1 b - -,e5d5
r1bq1rk1/pp3pp1/2n1pn1p/2bpP3/8/3B1N2/PPPNQPPP/R1B2RK1 b - -,f6d7
2rqnrk1/p2nb1pp/2p1p3/1bPpPp2/1P1P4/1P4P1/1B1NNPBP/R2Q1RK1 b - -,a7a6
2kr3r/p4ppp/2n1p1n1/1pp5/2N2b2/2PPB3/PP2BP1P/2KR3R w - b6,c4d2
rnbqr1k1/1pb2ppp/2p2n2/p1P1p3/1P1p4/P4NP1/1B1PPPBP/RN1Q1RK1 w - -,d2d3
r1bqrbk1/1p1n1ppp/2p2n2/p3p3/P1P5/1PN2NP1/1B2PPBP/R2Q1RK1 w - -,d1c2
r1b2rk1/p1qnppbp/1ppp1np1/8/P3P3/2PPBNPP/1P3PB1/RN1QK2R w KQ -,d1d2
5rk1/Rb2q1p1/3p1p2/2p1n3/2P4p/2Q1P2P/4BPPB/6K1 b - -,f8a8
2r4k/1p3Qp1/p6p/8/5R2/P5PK/1P2q2P/8 w - -,f4f2
2r1r3/p6R/2n3p1/2Pk1P2/6P1/4p3/P1R5/2K1B3 b - -,g6f5
8/p7/2b1B3/8/3b1k2/1P4p1/P7/3N1K2 w - -,e6h3
3r2k1/4qpp1/p7/1p5R/1Pp1p3/P1Q1P2P/6P1/6K1 w - -,h5c5
1rbqkb1r/pp1n1ppp/2n1p3/2ppP3/3P1P2/2P2N2/PP4PP/R1BQKBNR w KQk -,f1d3
8/8/K7/5p1P/5k2/P1n5/5Np1/8 b - -,c3e4
8/2b4p/2P1K1k1/p6p/8/1p6/8/4R3 w - -,e1g1
2r3k1/p3bpp1/b3pn1p/8/qp1P3B/8/PPB2PPP/R3R1K1 w - -,c2a4
r4rk1/p2bq2p/2pbpn2/Pp1p1p2/2PP1Pp1/1P1BP1P1/RBNQ3P/5R1K w - -,b2a3
3r2k1/5p1p/p2Qp1p1/8/2P1BP2/1P5P/1P4P1/1K6 b - -,d8d6
r3kb1r/pp3ppp/4p3/q2nP3/8/7P/PP2NPP1/R1BQ1RK1 w kq -,e2f4
8/8/5k2/1P5r/2P2p2/1P3Kp1/R7/8 w - -,f3f4
r4k1r/pp2bpp1/5np1/2qp4/Q7/4PP2/PP1B2PP/1K1R1B1R w - -,f1d3
r2q1rk1/ppb2ppp/2n3n1/3p4/3N4/1NP5/PP2QPPP/R1B1R1K1 w - -,c1e3
5bk1/6p1/3p4/8/2p1n3/8/1P4rP/R6K w - -,h1g2
rn1q1rk1/pp2ppbp/6p1/2pbP3/5P2/6PB/PP1NP2P/R1BQ1RK1 b - f3,f7f6
8/1k3pp1/pP6/2P5/2N1nP2/6r1/3p3K/R7 b - -,g3c3
4k3/1p4p1/1p5p/1PpK4/P7/2P4P/6P1/8 b - -,e8d7
2rq1rk1/1p1bppb1/p1n3pp/3p3n/1P1P3B/P1NBPN2/2Q2PPP/R4RK1 b - -,g6g5
4q1k1/3b2pp/3Q1p2/4pP2/4P2P/B2P4/1PPK4/8 b - -,h7h6
2r1r1k1/1p1nqpb1/p4n1p/P4b2/1P2pPp1/Q1N1B1P1/4PNBP/2RR2K1 w - -,c3d5
8/5k2/p4b2/2B4p/r5p1/6PP/P1R2PK1/8 b - -,h5h4
8/5kQ1/1p4p1/p1p5/P5B1/3r1p1K/5R1P/8 b - -,f7g7
2r3k1/pp1r1pbp/1q1n2p1/3P4/R6Q/P1N1B3/1P3PPP/1R4K1 b - -,b6c7
r4rk1/pp3p2/1q3Pp1/3B2Qp/2PN4/6Pb/PP2P2P/3R3K b - -,g8h7
r1b2rk1/1p3ppp/pqn2b2/4p3/2Pp4/PNN1P3/1PQ1BPPP/3RK2R w K -,c3d5
4rbk1/7p/p4pp1/1pp2n2/5PP1/P1PP1R2/2NBr2P/3R3K b - g3,f5d6
r1bqkb1r/pp1ppp1p/2n2np1/8/2Pp4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,e3d4
r1b4k/ppp2n1p/1n5P/3Pr1p1/3N4/2N5/PP2B3/2K2R1R b - -,e5e7
5rk1/8/p2q3p/3P1pp1/1PB1r3/P2Q4/6Pb/4NR1K w - -,e1f3
8/8/1R6/5PK1/6r1/5k2/8/8 w - -,g5h6
r2r2k1/1pqnbpp1/p3p2p/P1p1P3/2NN2Q1/8/1P3PPP/R1BR2K1 b - -,c5d4
r3k2r/1pp1qp1p/p1np1p2/8/P1B1P1b1/2P2N2/1P1N1RPP/R2Q2K1 w kq -,c4e2
r4r1k/pp2q2p/4bn2/PP1p1n2/N2Pp1p1/1Q2P3/3N1PpP/R3RBK1 w - -,f1g2
r4rk1/pq1n1pp1/b1p1p2p/P2n4/8/Q1N2NP1/1P2PPBP/R4RK1 w - -,f1c1
r1b1nrk1/1p4pp/p2pp1n1/4Pp2/3N4/2N5/PPP2PPP/2K1RB1R w - -,e5d6
r1bqk2r/2pnnpbp/p2pp1p1/1p4B1/3PP3/P1N2N2/1PP1BPPP/R2Q1RK1 w kq -,d1d2
5Rk1/p6p/3p2p1/3Pq3/5pP1/5B1P/P2n1P1Q/6K1 b - -,g8f8
1r2n1k1/3r1pb1/p5p1/q2bp1P1/2p2B2/P1N2P2/NPPQ3R/KR6 w - -,f4e3
r2q1rk1/2pp2pp/1pn1p3/p7/1bP1Q3/8/PP1PNPPP/R1B2RK1 w - -,d2d4
br1q1rk1/p1n1ppbp/Pn4p1/1p1pP3/1PpP4/2P1BN2/2QNBPPP/R4RK1 w - -,f3g5
1r6/p2pk2p/b2b2p1/3P1p2/3Nn2P/P3NBP1/2r2PK1/3R4 w - -,d4c2
8/4k3/1p3p2/2p2P1p/b1n2K2/5BPP/PB6/8 w - -,b2a1
r2r2k1/ppq1p1bp/2p1bnp1/3p1p2/1P1P1P2/2NNPB2/P1PQ2PP/R4RK1 w - -,d3c5
6r1/7R/8/3kp3/8/1P6/1KP5/8 b - -,g8e8
4k3/8/p2b4/2p5/8/2K5/PPP5/8 b - -,e8d7
8/2B5/8/1p1b1pp1/8/P5Pk/5K2/8 w - -,f2g1
8/8/1R6/1P1P1pk1/5p2/5K2/r5P1/8 b - -,a2a3
2r3k1/5nbp/p5b1/q1pPp3/P1Q1Ppp1/1R1N1P2/6PP/5RK1 w - -,d5d6
2r3kr/p5p1/1pb1pq1p/5n1P/2p2P2/2P4Q/P1PN2P1/2BR1RK1 b - -,g8h7
r5k1/5ppp/p3p1n1/1q1r2B1/1p4QP/8/PPP3P1/4RR1K b - -,a8c8
2r3k1/5b1p/1pBq1pp1/3P4/PN2p1Pb/2B4P/1Q4K1/8 w - -,c3d4
1rb1k2r/p4ppp/2p1p3/q7/1b6/P1n1P3/1P1B1PPP/R1Q1KB1R b KQk -,a5b6
rn1q1rk1/pb5p/1ppn1b2/3pNpp1/3P4/4BPPN/PPQ1P1BP/2R2RK1 b - -,h7h6
r2q1rk1/1pp2pbp/p2p2p1/3Pp2n/2P1P3/2N2BPb/PP1NQP1P/2R2RK1 w - -,f1d1
r2q1rk1/pp1nbppb/2p1p2p/3p4/4P3/1N1P2P1/PPP1QPBP/R1B2RK1 b - -,a7a5
5r2/3b1pk1/1q4pp/R1p1p3/n1PpN3/7P/P2Q1PP1/2R3K1 w - -,f2f3
1r3r1k/6bp/1q6/p3p3/2P2pN1/1P1R1Q1P/4RPP1/6K1 b - -,a5a4
rnbqkbnr/pp2pppp/2p5/8/2BP4/5p1N/PPP2PPP/RNB1K2R b KQkq d3,f3g2
q7/pp1n1kbp/3Br1p1/8/3pPP2/1Q4P1/PP5P/R5K1 b - -,f7f6
2rr2k1/p4ppp/q7/2p1Q3/8/1P2P1P1/P4P1P/R3R1K1 b - -,c5c4
5rk1/pprb1pp1/1q2pn1p/3pNB2/P2P4/QPP2N2/5PPP/2R1R1K1 b - -,e6f5
1k1r1b1r/ppp5/7p/3Nn1p1/B1P5/P1B2pP1/1P2nP1P/R4R1K b - -,e2c3
8/2n3k1/3N1qp1/2p1N1n1/3pQ3/3P3P/2P2PP1/6K1 w - -,e4c6
r2q1rk1/4nppp/p3p3/1pp1p3/4P1Pb/P1PPB2P/1P3PQ1/R3RBK1 b - -,a8c8
b2k3r/3nq3/p5pb/1p1Ppn1p/5P1P/2N1B3/PPPQ2P1/1K1RR3 b - -,d8e8
r5k1/2q1p2p/2p1P1p1/2Np1p2/p1nP1P2/R5P1/7P/3Q2K1 w - -,a3a4
2r2rk1/1pq1b1pp/p2ppn2/8/2Q1PBP1/2N4P/PPP5/1K1R1B1R b - -,c7c4
r2qk2r/1p2ppbp/2p1b1p1/p7/PB6/3P1NP1/1PQ1PPBP/R4RK1 b kq -,a5b4
r1bq1rk1/ppbn1ppp/1np1p3/8/3PP3/2N2NP1/PPQ2PBP/R1B2RK1 w - -,e4e5
2k5/1p1b3p/p4p2/5P1p/2p1PN1P/b1N2RP1/K1P5/6r1 b - -,a3d6
3r4/2q1b1kp/pN3np1/1bP1p3/1p2P3/1P6/PB2Q1BP/2R4K w - -,e2e1
