2Q5/8/3Q4/8/1K4q1/4P2k/1P6/6q1 w - -,c8g4
4r3/5k1p/5p2/p7/3Q2R1/1P4P1/q4P1P/6K1 w - -,d4d5
r4k2/3n1p1p/1pbp2p1/4p3/1PP1P3/4BPP1/rR5P/1R3BK1 b - -,f7f5
1r1qr1k1/p4pp1/3bbn1p/2pp4/5B2/1PPB1Q1P/P3NPP1/R3R1K1 b - -,e6c8
5r1k/7p/4pNq1/3pP3/QppP3P/P4RP1/1P1b2K1/8 b - -,b4b3
rq3rk1/p1p2pbp/p2pbnp1/8/4PP2/P1N2N2/1PP3PP/R1BQ1RK1 w - -,d1d3
2rqkb1r/1p2pppp/p2p1n2/3N4/3QP1b1/4BN2/PPP2PPP/R3K2R w KQk -,d5b6
r2q3r/3bbpk1/p2p2p1/1p1Pp1p1/1P2P3/P2QB1NP/5PP1/R1R3K1 w - -,f2f3
2kr3r/ppq1bppp/2n1pn2/2ppP2b/8/1BPP1N1P/PP1NQPP1/R1B1R1K1 b - -,f6d7
r1b1k2r/1pp1qnbp/p4n2/P2ppp2/7N/1QPP1NP1/1P3PBP/R1B2RK1 b kq -,e8g8
4R3/3B1pk1/8/p2p4/2bK3P/6P1/5r2/8 b - h3,f2f3
r2q1rk1/pb2ppbp/1pnp2p1/2n5/2P1P3/Q1NBBN1P/PP3PP1/2RR2K1 b - -,c5d3
2r4k/pb3p1p/1p2pqr1/5p2/3P1Q2/2PB1P2/P1R3PP/5RK1 w - -,g1h1
2q3k1/p1rb2pp/6n1/1BBp1n2/1P6/P1RN4/4Q1PP/6K1 w - -,a3a4
r1b1r1kb/pp1q1p1p/2npp1p1/2p3B1/2P1P2P/2NP1BP1/PP1Q1P2/R4RK1 w - -,a1b1
1r1r2k1/1b2qpp1/3ppn1p/p7/P1P1PQ2/2N2P2/3RB1PP/3R2K1 b - -,e6e5
5rk1/pp4b1/b1p2ppn/7p/4PP2/4N1PP/PP1B2B1/R5K1 w - -,d2c3
1r2knr1/4bp1p/2n1p3/3pPP2/p1pP4/Pq6/1P1N1BBP/1RQ1R2K b - -,b3b6
q4bk1/4rpp1/ppr1p2p/8/Q1PP4/P5P1/1B3P1P/2RR2K1 w - -,d4d5
4rbk1/Q4bpp/4np2/1q2pN2/1Pp1P3/3rBNPP/5P2/1R2R1K1 b - -,g7g6
r2q1rk1/pbnpppbp/n5p1/1pp1P2P/8/N2P1NP1/PPP2PB1/R1BQR1K1 w - -,h5g6
8/p3Qpk1/5np1/8/3q4/1Pr2B1P/P4PK1/4R3 w - -,e7e5
3rq1k1/1p1b2pp/1np1pb2/4Np2/1P1P4/4Q1P1/4PPBP/B1R3K1 w - -,e3b3
4r1k1/3bppbp/3p1np1/1p1P4/8/P1r2P2/P3RBPP/N2R1B1K w - -,a1b3
6k1/3rB2p/1p1P1pp1/p7/2r1n1PP/4R3/5PK1/1R6 b - -,e4d6
1rbq1rk1/2p2ppp/1bnp1n2/1p2p3/4P3/1BPPBN2/1P3PPP/RN1Q1RK1 w - -,b1d2
5r1k/p2q2p1/1pRP3p/1p6/1P3p1P/5P2/P1Q3P1/6K1 b - b3,d7e6
3q1nk1/1b2bpp1/4p2p/pB2P3/PpQ1PP2/1P2N3/1B4PP/6K1 b - -,d8d2
8/2k5/2p2R2/pp3P1r/2p5/P7/1PK5/8 w - -,f6f8
rnb2rk1/pp3pbp/6p1/2pB2B1/8/2P2N2/P3KPPP/2RR4 b - -,b8c6
8/1R6/8/3bp3/6P1/1pk1K3/8/8 w - -,b7c7
2R5/5pkp/p3rbp1/P7/1P6/2PK1N1P/5PP1/8 b - -,e6d6
4rbk1/3R1r2/2P3p1/4p1B1/3p4/6PP/5P2/1R4K1 b - -,e8c8
r7/5pk1/p5p1/nppPN2p/4P2P/1Pn4P/P1B2P2/R4K2 b - -,a8e8
r1bqk1nr/pp2bppp/2npp3/2p5/4PP2/2N3P1/PPPPQ1BP/R1B1K1NR b KQkq f3,a7a6
7r/2rb1kp1/p2p1p1p/1p1P1N1n/4Pp2/1P6/PB4PP/2R3K1 w - -,c1c7
8/5R2/1p2p1n1/8/P3Np2/5k1p/1Pr5/4K3 w - -,e4g5
R7/6kp/8/6PP/PP1r4/6R1/r5P1/6K1 b - -,d4b4
6k1/3R4/p7/2p1pP1K/2P1P3/4r2P/8/8 w - -,h5g6
r2q1rk1/1p2bppp/p1Bp1n2/5P2/2N5/8/1BP2PPP/R2Q1RK1 b - -,b7c6
3r3r/1b3Q1p/pqk1B3/7P/4pP2/2N1b3/PP6/2K4R w - -,c1b1
5N2/p2R4/r1p3pp/4p3/2k5/5P1P/P5P1/6K1 w - -,f8g6
rnbqkb1r/1p2pppp/p4n2/2pP4/2P5/2N5/PP3PPP/R1BQKBNR b KQkq -,g7g6
2r2r2/1pp3pp/1p1pkn2/1N2p3/P3P3/1P5P/2P2PP1/2KR3R w - -,f2f3
8/p2Q2p1/1p1p3k/2pP2p1/2P5/5pqP/P7/7K w - -,d7e6
5rk1/1pp3bp/p2p2p1/3Pp3/2P5/4B1P1/PP2K2P/3R3n w - -,d1h1
7k/3bn1bp/4p1p1/1p1pP3/2pP1NP1/q1P5/P1QB2BP/6K1 b - -,a3a7
rnbqk2r/1p2bppp/p2ppn2/8/P2NP3/2N1B3/1PP2PPP/R2QKB1R w KQkq -,a4a5
4k2r/5p1P/4pn2/pp1pP1B1/b1pP2P1/q1P5/2P4Q/3B2K1 w - -,e5f6
2r5/2Pk3p/R3p3/BP2pp2/r2b4/6P1/6KP/3R4 b - -,a4a5
r7/p2q2kp/1p1r1pp1/P1p1n3/2P1P1bP/R2PQ1P1/5RBK/4N3 b - -,b6b5
2q5/8/6pk/7p/4p1nP/4P1P1/QR3P2/2r2BK1 b - -,g4e5
r1b2rk1/p1b1q1pp/1Pp5/3p1p2/1P1Bn3/4PNP1/PQ3PBP/R4RK1 b - -,a7b6
r2qnrk1/1p1nbppp/p2p4/P1pPp3/4P3/2N5/1PPN1PPP/R1BQK2R w KQ -,h2h4
1r1qr1k1/1npb1p1p/p4np1/1pbPp3/4P3/P1N1BPP1/1P1QBN1P/3R1RK1 b - -,c5e3
2r3k1/R4p1p/5np1/2pPb3/1pK1P3/5P1P/6P1/7R b - -,f6e8
8/6pp/p1kb1p2/2p2P2/2P5/1P3K2/PN5P/8 w - -,h2h3
r4bk1/2R2pp1/1B1pq3/1p1Q4/1P2P3/5P2/r5PP/3R2K1 w - -,b6a5
4r3/pq1bk1p1/3b1p2/4p2p/1PQp4/P2P2P1/2R1PP1P/2R3K1 w - h6,f2f3
8/6r1/8/p1pkP2B/P4Pp1/2P1K1P1/7P/8 w - -,e3d3
r1b2rk1/ppp4p/3p2p1/4p1q1/2P1P1n1/1P3PP1/PN2Q1BP/R4RK1 b - -,g4f6
2r5/5k2/4p3/ppPp4/1P6/2P5/P4PK1/7R b - b3,a5b4
7k/8/1P3R1P/8/1r3p2/5K2/8/8 w - -,f3g4
2k2rr1/pp4qp/2p1pn2/2PpNb2/3P4/8/PP1QBPPP/R3R1K1 w - -,g2g3
4k3/7p/p2b1pp1/1P6/8/1P5P/PB4P1/7K b - -,a6b5
8/Bp4rp/8/3n4/2R1kP2/7P/P7/5n1K b - -,e4f3
8/p2r4/K2k4/8/2Q5/8/8/8 w - -,c4e4
6k1/p3b1pp/qp2p3/2ppPr2/3P4/2P1P2Q/PP1B3P/R5K1 w - -,e3e4
4r3/5pk1/2Np2b1/3Pp1bp/6q1/R6R/3n2P1/1B3Q1K w - -,f1e1
r2q4/1R3pkp/2pPp1p1/2Pp4/pQ6/4P3/P4PPP/6K1 w - -,g2g3
8/8/p2r2k1/R7/7P/3p1p2/3K4/8 w - -,a5g5
r3k2r/pp1qp1b1/2p1nPpn/3p1b1p/3P4/P1N1BNPP/1PPQ1PB1/R3K2R b KQkq -,e7f6
2k1rr2/2p2p2/p1Pp4/5N2/P1p1P1PP/5p2/1PP2K2/5R2 w - -,f2f3
8/4kp2/pR1b2p1/r2P3p/8/5PPP/3R2K1/8 w - -,h3h4
2rqr1k1/pp1bppbp/n2p1np1/3P4/4P3/P4N1P/1P1N1PP1/RBBQR1K1 w - -,d1e2
rnb1kb1r/1p2qp1p/p2p1np1/2pP4/P4B2/2N2N1P/1P2PPP1/R2QKB1R b KQkq -,f8g7
r1b2rk1/6pp/p3pn2/1pqpN1N1/4nP2/PP1B3Q/2P3PP/R4RK1 w - -,g1h1
rnbq1rk1/ppp1ppbp/3p1np1/8/4P3/1P4P1/PBPPNPBP/RN1QK2R b KQ -,e7e5
r1r3k1/pq2ppbp/3p1np1/8/R2BP3/1PN2P2/2PQ2PP/5RK1 w - -,f1a1
r2k2r1/2q1bppp/2Pp1n2/p1n2B2/1p3P1B/6Q1/PPP3PP/1K1RR3 b - -,a8a7
8/5k2/p6p/2p1Q1p1/8/1P4P1/P4PK1/2q5 w - -,e5f5
2r3k1/r6p/5np1/3P1b2/8/1B3P2/1P2N2R/K2R4 w - -,b3a2
r2qr1k1/pp1b2bp/n1ppPnp1/5p2/2P5/1PN2NP1/PB2PPBP/2RQ1RK1 b - -,d7e6
4n1k1/2prq1pn/p4p1Q/1p3P2/4P2P/1PP5/PBB5/2K3R1 b - -,e7c5
8/p6p/Bp3kp1/2p2p2/P7/1Pn3P1/3KPP1P/8 b - -,c3e4
5R2/1p5r/p1pPk2p/2P3p1/PP4P1/4K2P/8/8 w - -,f8f5
r7/8/5k2/8/1K6/8/P3R3/8 w - -,a2a4
3rk3/2Q1bpp1/p1p1r2q/8/8/2N3P1/PPP2P2/R4RK1 w - -,a1d1
6k1/1pq1r1bp/n2p1pp1/P1pP4/2P5/P1Q2bPP/1B3P2/R4BK1 w - -,c3f3
3r1r2/pp2q1k1/6pN/2p5/4P3/2n4Q/P4PPP/R3R1K1 w - -,h6g4
r1bq1rk1/1p1pppbp/p4np1/8/2PnP3/N1N5/PP1BBPPP/R2Q1RK1 w - -,e4e5
r1bq1rk1/pp3ppp/1b3n2/3N4/8/PN3B2/1P3PPP/R1BQK2R b KQ -,f6d5
8/6kp/2NP2pn/1N1B4/2p3P1/7P/8/5r1K w - -,h1g2
8/7p/4k3/6p1/PP1P1p2/2Nbp3/5PPP/6K1 w - -,f2e3
r4r1k/3nq1pp/bp1p4/1N1Pp3/PR6/3QB2P/5PP1/3R2K1 b - -,d7c5
r2r1bk1/1p3p2/p1p1b1pp/3np3/1P6/PN1P2P1/3BPPBP/1RR3K1 w - -,b3a5
2r3k1/6pp/5b2/1pB1pp2/1P1Pp2P/1b2P1P1/5PB1/R5K1 w - -,a1a3
8/3n1k2/1r3p2/p4N1p/2p3pP/6Pn/1PR1PbK1/3R4 w - -,d1d7
2bq1r1k/1r5p/3p3b/1p1Nnp2/3N4/2P2p2/1P2B1PP/R2Q1RK1 w - -,d4f3
rn1qk2r/pp3pp1/2p1pnp1/3pb3/3P2P1/7P/PPP1PPB1/RN1Q1RK1 w kq -,d4e5
rnbq1rk1/3pbppp/1p2pn2/p1P5/1PP5/P3PN2/3N1PPP/R1BQKB1R w KQ a6,c1b2
rnbqk2r/pp1p1ppp/4p3/8/1bPNn3/2N3P1/PP2PP1P/R1BQKB1R w KQkq -,c1d2:d1c2:d1d3
r2r4/3nkp2/p1p4p/1pb1p1p1/4P3/1BP2PB1/PP4PP/R2R1K2 w - -,f1e2
4r1k1/ppq1rppp/2pb1n2/4p3/6b1/1P1P1NP1/PBPQRPBP/4R1K1 w - -,h2h3
r1q1k2r/p2nbppp/1pp5/2Pp4/3PP1p1/1QN5/PP3P1P/2KR1B1R b kq e3,d5e4
2r4r/p3k1bp/2p3p1/1pn1pp2/2B5/4PNP1/PP3PP1/2KR3R w - -,c4e2
8/p5pk/1p1R1p2/7r/7P/1P3PP1/3K4/8 b - -,h5f5
rn1qk2r/p1p2ppp/1p1ppn2/8/2PPb3/P1Q2N2/1P2PPPP/R1B1KB1R w KQkq -,c1g5
2r1r3/p4pk1/2n1bp1p/1p6/6P1/1PB2N2/PKP2P1P/3R2R1 b - -,g7h7
r1r3k1/p3qppp/1np1p3/3p1b2/Q2P4/2N1P1B1/PP3PPP/R1R3K1 w - -,a4a6
rnbqk2r/ppp1p1b1/5npp/3p1p2/3P1B1P/2N1P3/PPP2PP1/R2QKBNR w KQkq -,g1f3
8/p3R1pk/n6p/7P/1B4P1/3rN1K1/r7/8 w - -,b4e1
r1b1k2r/1p2bppp/p1nppn2/8/2P1P3/1PN2N2/1P1BBPPP/R3K2R w KQkq -,h2h3
r1bqk2r/pp3ppp/2nbpn2/2pp2B1/3P4/2P2NP1/PP2PPBP/RN1Q1RK1 b kq -,h7h6
r1bqk2r/pp2ppbp/2n2np1/2p5/P2p1P2/3P1NP1/1PP1P1BP/RNBQ1RK1 w kq -,b1a3
r2q1rk1/pbp1bppp/1p1p4/2n5/2PBP3/PP3P2/4B1PP/RN1Q1RK1 w - -,b1c3
r1bqkb1r/3nppp1/p2p1n1p/1p6/3NP2B/2N5/PPP1QPPP/R3KB1R w KQkq b6,f2f4:e1c1
rn1q1rk1/pb2bppp/1p1ppn2/8/1P2P3/P2B1N2/1BPN1PPP/R2QK2R w KQ -,d1e2
r2q1rk1/1b1nbppp/pp3n2/3pN1B1/2pP4/P1N1P3/1P3PPP/1BRQ1RK1 b - -,b6b5
1n2r1k1/1p3pbp/1p3np1/1bp1N3/3P4/2P3P1/PP2PPBP/R3R1K1 b - -,f6d7
r2r2k1/p1pn1pp1/1p5p/3Pp2q/2B5/4PP2/PP3P1P/R2Q1R1K b - -,d7f6
2r4k/p2qnrp1/bb2p1pp/3pP3/1p1P1PPP/4BN1B/PP1Q1R1K/R7 w - -,d2b4
3b2k1/8/p7/Pn1Prn1p/1p3N2/1R6/1P3B1K/8 b - -,d8a5
r1bqkb1r/ppp1nppp/2n1p3/3pP3/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,e7f5:c8d7
r3r1k1/pbqn1pp1/1p5p/2b5/2PN2n1/1PN3P1/PBQRP1BP/3R2K1 w - -,c3b5
6k1/1p3p2/b7/P4rp1/P2R4/2KNP3/8/8 w - -,c3b4
1r1q1rk1/1p2npp1/3p2bp/1PbPp3/8/1QN1PPP1/6BP/1RB2R1K w - -,b1a1
8/p7/3k2pp/1bpp1p2/4pP1P/P1K1P1P1/1N6/3B4 b - -,d6c6
rnbqk2r/pp2bppp/3ppn2/8/8/6P1/PPPP1PBP/RNBQK1NR w KQkq -,d2d4
r2q1rk1/2p2pbp/1p2p1p1/3b4/p2P1P2/PnP1BN2/1PQ1B1PP/3R1RK1 b - -,d8e8
r2qk2r/2p1n1pp/1p3p2/pPb2b2/1nBp4/BQ1P1N2/P4PPP/RNR3K1 b kq -,d8d6
2kr3r/ppp3pp/2p5/5nP1/3P1P1R/2B1p1P1/PPP5/3RK3 w - -,h4h3
7k/4b1p1/8/1Kn1p2P/P6P/1PP5/8/3Rr3 w - -,d1e1
r1br2k1/1pq1bppp/p3p3/2p1P3/6Q1/2B3P1/PPP2PBP/R3R1K1 w - -,g2e4
r2r2k1/5pp1/pbqp1n1p/4p3/1R2P3/1NB5/1PP1QPPP/3R2K1 w - -,b4b6
5k2/pr2bp2/4n1p1/2p5/R6P/P3P3/4KPP1/2R5 b - -,e6c7
rnbq1rk1/pp1pppbp/5np1/2p5/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b - c3,c5d4:d7d6
2rr4/5kpp/1R2b3/1B1pPp2/3P1P2/4P3/7P/1R4K1 w - -,b5e2
8/4k3/2p1P3/8/pbP1K3/4B3/P7/8 w - -,e4f5
r1bq1rk1/ppp1npbp/3p2p1/3Pp3/PPP1P3/B1N2N2/4nPPP/R2Q1RK1 w - -,d1e2
7r/2p2k2/1p1p4/p5R1/P1P2PK1/2R1r1P1/1P6/8 b - -,e3e2
1r3k1q/pr6/3p1nBb/1ppPp1BP/2P5/P5R1/4QP2/1R3K2 w - -,e2d2
r3k2r/1b1p1ppp/p1n2q2/1p2p3/P3P3/4B3/1PP2PPP/R2QKB1R b KQkq a3,b5b4
3R1q2/2P3pk/pp5p/8/P1P1p3/4P2P/5PP1/6K1 b - -,f8f6
rnbqk2r/pp3pbp/2p2np1/3pp3/5P2/3PP1PP/PPP1N1B1/RNBQK2R b KQkq -,b8d7
8/6k1/6p1/5pK1/8/7P/6P1/8 b - -,g7f7
2k5/p3b3/2p1b3/2P1pp1p/PP4pP/r5P1/1R2KP1N/3N4 w - -,a4a5
1R4Q1/5pbk/p7/2p5/2P3n1/P3PqPK/5P2/8 b - -,h7g6
2r3k1/1pn2rbp/1B1qb1p1/3pp3/1P6/P2Q2P1/4NPBP/2R2RK1 w - -,b6c5
2krb2r/pp3p2/2n1p3/1Nppn1qp/R7/1P1B3P/P1PP1QP1/R3N1K1 b - -,a7a6
4k3/1p1b2bp/2p3p1/4p3/2P1P1n1/1P3NP1/rB3PB1/1R4K1 w - -,f3e1
8/7p/6p1/p1p5/3k3P/PP6/2K2PP1/8 b - -,c5c4
6k1/1p3r1p/p1n5/3pr3/1P3P1p/P2B2P1/5K1P/2RR4 b - -,h4g3
1n1q1rk1/1b3ppp/r3pn2/2p5/1bpP4/5NP1/1P1BPPBP/RNQ2RK1 w - -,a1a6
8/1p6/1p1p4/3k2K1/3R2P1/P1P2r2/8/8 b - -,d5c5
rn1q1rk1/pbppb1pp/1p2p3/3P1p2/2P1n3/6P1/PP1NPPBP/RNBQR1K1 b - -,e7b4
4r1k1/6qp/p4p2/2N1n1r1/1P2R3/7P/P4QP1/3R2K1 w - -,d1d2
r1b1kr2/ppp2Npp/8/3pp3/2B1n2P/3P1n2/PPP4P/RNB2K1R w q d6,c4d5
3q1rk1/ppr1ppbp/6p1/3bP3/2N1n3/B3P1P1/P3QPBP/2RR2K1 b - -,c7c4
r2q1rk1/pp2p1bp/2nppnp1/8/4P1PP/2N1BP2/PPPQ4/R3KB1R b KQ h3,c6e5:d6d5
1rb2rk1/4ppbp/p2p1np1/2pPP1B1/3Q1P2/2N3N1/PP4PP/1R3RK1 b - -,c5d4
r5k1/p2q2b1/bp2ppnp/2p1PP2/2N5/1Q1PB3/PP5P/R4RK1 b - -,g6h4
r2qkb1r/pp3ppp/1np1pn2/5b2/3P4/1BN1PN2/PP1BQPPP/R4RK1 b kq -,f8e7
8/4kp2/r1p1p1p1/1r5p/p1RPP3/5KP1/PP3P2/1R6 w - -,e4e5
r1bq1rk1/1pp2ppp/2np1n2/p1b1p3/2P5/P1NPPN2/1P1BBPPP/R2QK2R w KQ -,e1g1
r7/p3kn2/2R3p1/4pp1p/8/2N3P1/PP2PP1P/2K5 b - -,f7d6
rnbqkb1r/5ppp/p3p3/1p1nN3/2pP4/2N3P1/1P2PPBP/R1BQK2R w KQkq -,c3b5
r2qr1k1/1b3ppp/1ppb4/8/PPBBP3/8/4QPPP/3R1RK1 b - -,d8c7
2rq1rk1/pb1nb1pp/1pn1pp2/2ppN2Q/3P1P2/PP1BP3/1BPN2PP/2R2RK1 b - -,f6f5
r1bqk2r/2pnbppp/p3p3/1p1pP3/3P4/1PP2N2/1P1N1PPP/R1BQ1RK1 b kq -,b5b4
r2qk2r/1p1n1pbp/2P1p1p1/1p6/5P2/4BNP1/PP3P1P/R2Q1RK1 b kq -,b7c6
r2q1rk1/pb1nbpp1/1pp4p/3p4/Q2Pn2B/2NBPN2/PP3PPP/R3R1K1 w - -,h4e7
2r2k2/1b4q1/4Q1Bp/p2p4/1p4Pb/8/P6P/2RN3K b - -,c8d8
rn1q1rk1/pbnpbppp/4p3/2p1P3/2P1N3/P2B1N2/1P2QPPP/R1B2RK1 b - -,f7f5
4r1k1/5p1p/2R3p1/4Pb2/3p1P2/5N1P/1b4PK/4B3 b - -,e8d8
r2qkb1r/pp1n1ppp/2p2n2/3p4/8/2P1NB2/PP1P1PPP/R1BQK2R b KQkq -,d7e5
r1bq1rk1/p3bpp1/2p2n1p/3p4/5B2/2NB1Q2/PPP2PPP/4RRK1 b - -,e7d6
2rr2k1/1p2bppp/p1p1pnn1/8/2PP4/1PN1RBBP/1P3PP1/3R2K1 b - -,e7d6
r5k1/1p3p1p/6p1/nR6/8/1B3P2/P1N1rb1P/5K2 w - -,f1e2
8/4k3/8/1K6/2pB4/8/P7/8 b - -,e7d6
8/4R3/6k1/2Qb1pp1/1p6/1P4P1/5P1K/3q4 w - -,c5b6
2r1r1k1/p2q2b1/b1n3pp/2Pp1pB1/3p1P2/P2P2P1/Q5BP/1RN2RK1 w - -,g5h4
8/4pk1p/R5p1/6P1/8/6K1/p5P1/r7 b - -,e7e5
r2qrbk1/1pp3pp/2n1bp2/p2np3/8/PP1PPN2/1B1NBPPP/2RQ1RK1 w - -,d2e4
6k1/pp1n2pp/4pq2/3p4/3P4/1P1NQ3/P4PPP/6K1 b - -,b7b6
r1b1kb1r/pp3ppp/1q2pn2/2pP4/3nP3/5NP1/PP3PBP/RNBQ1RK1 w kq -,f1e1:b1c3
r1r3k1/1p3pq1/4p1p1/p1PpR3/3P2Q1/7R/5PPK/8 w - -,e5e6
r4rk1/1p2Bpb1/p5pp/q2nn3/6P1/1NN4P/PPP2Q2/2K2B1R b - -,a5b6
5r2/pb5k/5pp1/3p4/2pB2qP/2P1Q1P1/P5B1/4R1K1 w - -,e3e7
6k1/1p2n3/1p5p/6p1/1P2p3/P1r1N1P1/4PP1P/3R2K1 w - -,d1d7
4r3/7k/p3P2p/1p3pp1/8/1B6/P3qNPP/5RK1 w - -,f1d1
5r1k/1rR1p3/5PQ1/p2P2p1/8/6P1/1n2BPP1/4q1K1 w - -,g1h2
8/4pk2/1n1p3p/1ppP1Pp1/4P1P1/1RP3K1/2r5/1N6 b - -,b6a4
8/2R5/1pR5/1P1Pp1p1/4Pk2/5q2/8/6K1 b - -,f3g3
3rr3/5pQ1/p2kp3/1p4p1/3P1q2/1BP4P/PP3P2/4R1K1 w - -,c3c4
r2q1rk1/ppp1p1bp/2np2p1/5b2/2PPQ3/2B2N2/PP3PPP/R3KB1R w KQ -,e4e3
6k1/5p2/4n3/1p1R1N2/1p2P2p/7P/2P2PPK/2r5 w - -,f5e3
3rr1k1/2pq1p1p/p2p1bp1/1p2n3/3NP3/P1P3BP/1PQ2PP1/3RR1K1 b - -,e5c4
