8/8/1R6/3p3P/3kp3/8/r3K3/8 w - -,e2d1
3rr1k1/ppq3bp/2p2n2/3b2p1/NB1Pp3/1P2PpP1/P2Q1PBP/2RR2K1 w - -,g2f1
2b1k2r/2pp1ppp/1np1q3/r3P3/1bP1QP2/1PN5/6PP/1RB1KB1R w Kk -,c1d2
7k/8/p6P/1p6/3P4/2r5/4K3/8 w - -,e2d2
4r2k/r2bqpp1/3p1n1p/2pP4/2P2P2/2BB3P/1PQ3PK/3NR3 b - -,e7d8
1r3r2/1P4pp/B2pk3/3Np3/7b/4P3/1P4P1/2R3K1 w - -,e3e4
r4rk1/ppqn1pp1/2p1p2p/3n4/3P4/P1B2N2/1PPQ1PPP/R3R1K1 b - -,f8d8
r1bqk2r/pp2ppbp/2np1np1/2p5/2P5/1PN1P1P1/P2PNPBP/R1BQK2R b KQkq -,c8f5
1r1q2k1/1r3ppp/2R1p3/3p4/P1nP4/3Q4/N4PPP/2R3K1 w - -,a2c3
r1b1r1k1/pp1n2pp/3b1p2/3p4/2PP4/qQ1B1N2/P2B1PPP/R4RK1 w - -,b3c2
r3k3/ppp1np1p/4b3/4N1B1/5PP1/8/PPP4P/4R1K1 b - g3,e8f8
1r3k2/5ppp/p3b3/3B4/8/1P4P1/q4P1P/3RQ1K1 b - -,e6d5
rnb2rk1/p1p1qppp/1p6/3p4/3P4/4PN2/PP3PPP/R2QKB1R w KQ -,d1c2:a1c1
r1bq1rk1/2p2pbp/p2p2p1/np2p3/3PPn2/1BP2N2/PP3PPP/R1BQRNK1 w - -,b3c2
r4rk1/3nppbp/3p2p1/3P4/Pqp1PP2/2N3PP/RP1B2K1/3QR3 w - -,e1e3
r1b3k1/1p2pp1p/p1ppn1p1/2q5/4P2P/2Q2BP1/PPP2P2/1K1R3R w - -,c3d2
1r1q1rk1/2p2pp1/2np1n1p/1pb1p3/4P3/1NPP1N1P/1P3PP1/R1BQR1K1 b - -,c5b6
1r2k3/1p3p2/p2P1p1b/4p3/4P1Bp/1R5P/PPK3P1/8 w - -,b3c3
7Q/p7/2pk4/3n3p/5q2/P5NP/1P4PK/8 w - -,h8h5
r2qr1k1/pp1bn1pp/3p4/2pP4/2P1NP2/1PKQB3/P6P/4R2R b - -,d7f5
2r2rk1/5ppp/1q2p3/pP6/P2p4/3P2P1/3Q1P1P/1RR3K1 w - -,c1c8
2r1r1k1/bp4p1/p2p2np/4pp2/PPN5/3PP1PP/1B3PK1/2RR4 b - -,c8d8
r2qr3/2p2pbk/bn1p2pp/ppnPp3/4P2P/2P1BNN1/PPB2PP1/R2QR1K1 b - -,a6c8
8/3R4/1r6/5p2/3PpBk1/bP2P1P1/P7/3K4 w - -,d1e2
2rr4/pb2bppk/1p5p/2n1p3/3N4/P1B1P3/1P2QPPP/4K2R w K -,e1g1
8/8/6p1/7p/4kP1P/6P1/8/1n2K1N1 b - -,e4e3
8/6kp/4bpp1/6P1/5K1P/5B2/8/8 b - -,e6f7
b4r1k/2p3pp/3p1n2/bp1Pp1N1/4P3/3Q3P/qPB1RPPK/2B5 b - -,a5b6
1r5k/p5bp/3q2p1/3BpP2/2Pp4/8/P2Q1P1P/R5K1 w - -,d2d3
r3r1k1/1pq1bppp/p1bppn2/8/P1BpPB2/2NP3P/1PP2PP1/R2QR1K1 w - -,c3e2
6k1/br2qp1p/p1Q1p3/3rp3/P3N3/4P1P1/1P3P1P/1R1R2K1 b - -,b7b2
4kb1r/1r1b1ppp/p3pn2/B1p5/3pPP2/5B2/PPPR2PP/2KN3R b k -,d7c6
8/p5kp/8/5Q2/1p1q4/8/2P3P1/7K b - -,d4d1
r4r1k/6pp/b1Q4n/p3P2q/3pNP2/6B1/PPP2RPP/4R1K1 b - -,h6g4
rn1qkbnr/1b1p1ppp/p3p3/2p5/1p2P3/3P1NP1/PPP2PBP/RNBQK2R b KQkq -,d7d5
8/6p1/6k1/1p6/5R2/1PPK4/7r/8 b - -,h2h5
3b4/1P4p1/8/4pk1p/5p2/2P2P1P/1R2KNr1/8 b - -,d8h4
7r/1p4p1/2bkp1B1/p7/8/P3KP1P/1P4P1/3R4 b - -,c6d5
2kr3r/1pq1bpp1/p1bppn1p/8/4PP1B/2N2N2/PPP2QPP/2KRR3 w - -,c1b1
r1bq1rk1/p4p1p/1p4pB/2pnb3/8/N1PP2P1/PP1Q2BP/R4RK1 b - -,f8e8
2rr2k1/pp2p1bp/2np1p1n/5Pp1/2PNP1b1/1P2KBP1/P3NB2/2RR4 b - -,c6e5
3r1rk1/2q1bp1p/p1bppnp1/1p3P2/3BP3/P1N2BQ1/1PP3PP/4RR1K b - -,e6e5
r7/5ppp/1n1B4/3p2b1/2k5/P1P5/1P4PP/2N1R2K w - -,d6b4
r4rk1/3q1pb1/1pn1b1np/p1p1P1p1/P1Pp2P1/N2P1NBP/1P1Q2B1/R4RK1 w - -,a1e1
6k1/2p2rqp/1p1pb3/p1n5/2PQ3N/1P2PBP1/P5K1/3R4 w - -,d1d2
r1b1qr1k/1pp1bppp/p1np1n2/P3p3/2B1P3/1QPP1N2/1P3PPP/RNB2RK1 w - -,f1e1
r4rk1/pp4pp/2pppq2/6N1/4PnnP/2NP4/PPPQ4/2K2R1R w - -,c1b1
2r3k1/6pp/8/4R3/8/5PP1/5r2/4R2K b - -,f2f3
rB4k1/p2b1ppp/2p5/3p4/8/1P1B3P/P1P1rPP1/R5K1 w - -,d3e2
8/8/1b2p1p1/3pNkp1/1p1P1P1P/pPq2QK1/P7/8 w - -,f4g5
2R5/8/3rn2p/PK4p1/2Pk4/4pBP1/7P/8 b - -,d4c3
r5r1/1Q5p/p2pkqp1/4pp2/1p6/2P3P1/PP3PKP/3R1R2 b - -,f6e7
rr4k1/3nq1p1/b1p1p2p/1pPp1p2/pP1P1P2/P1N1P3/1Q2B1PP/2R1R1K1 w - -,e2d3
r2qnrk1/p5b1/1pp1b2p/1PPp1p2/2n2Pp1/1QN3P1/P3PNBP/2BR1RK1 b - -,d8f6
3r2k1/pp3p1p/4p1p1/2bnQ3/3r1PP1/3B1R1P/2P3K1/8 b - -,d4f4
2r3k1/8/7p/3p3P/3B4/1P4P1/P7/6K1 b - -,c8c2
8/5p1k/2p3pp/p7/5Q1P/6P1/5P2/1q4K1 w - -,g1g2
r3kb1r/1bqp1ppp/p3p3/1ppnP3/4NP2/1P1P4/1PP1N1PP/R1BQ1RK1 b kq f3,c5c4
2R3k1/3n1pp1/4pb1p/8/1p1B4/5NP1/rP2PP1P/6K1 b - -,g8h7
8/6p1/pr3pk1/R7/6p1/p1N4P/2n2P1K/8 w - -,h3g4
8/5p1p/r1k1p1pP/pr1pB1P1/R3bP2/P1P5/2P5/1RK5 w - -,b1b5
1k5r/2qb1ppp/4p3/1p1P2P1/1r3P1P/R7/1PP1Q3/1K1R1B2 b - -,c7f4
r3k2r/pp2pp1p/2npbnpB/q7/4P3/2P2PP1/P1P1N1BP/R2Q1RK1 b kq -,h8g8
3rr1k1/ppq1bppp/2pp1nn1/5b2/2P5/PPNNPP2/1B2B1PP/R2Q1R1K b - -,f5d3
6k1/1p3p2/pbp3pp/4rN2/1P4P1/2P2K1P/1P3P2/R7 w - -,f5d6
R1n2b2/B2k3p/2r2pp1/p3p3/2P1N1P1/1P3P2/6P1/5K2 w - -,a7f2
r1bqk2r/3pppbp/p1p2np1/8/3PP3/5N2/PP2QPPP/RNB2RK1 b kq -,d7d5
3r1r2/pkp5/1p1q3p/n2p1ppQ/P2P4/2PP4/5PPP/1R2RNK1 w - -,f1e3
rnb2rk1/pp2ppbp/1qp3p1/4P3/3Pp3/4B2P/PPPN1PP1/1R1QKB1R b K -,c6c5
8/3R1p2/8/P7/1B2rp2/1K1p1k2/6r1/8 b - -,f3e2
r3r1k1/1p2ppb1/p4n2/q2p1PNp/6pP/1P4B1/1PP1QPP1/R4RK1 b - -,a5b5
rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/5N2/PPPN1PPP/R1BQKB1R b KQkq -,c7c5:d7d6
2rR4/5kpp/1Qb2p2/1p5q/4p3/1P2P1P1/P4P1P/3R2K1 w - -,b6d4
3R4/5pkp/2pNb1p1/2r5/5P2/r1n1PK2/P2N3P/R7 w - -,d6e8
8/1p5p/p2kppp1/8/3K1PPP/1P6/8/8 b - -,e6e5
r7/1R4pp/8/1k3p2/2p5/p1B2P2/5P1P/6K1 b - -,b5c5
rn3rk1/pp3ppp/2pn2q1/3p3N/4b3/2PB2Q1/PPP2PPP/R1B2RK1 w - -,c1f4
8/5r2/8/1p4pp/2bk1P2/R5P1/3R1K2/8 b - -,d4c5
8/8/5P2/1p6/7p/1kp4P/5rP1/2K1R3 b - -,f2f6
4r2k/6b1/p2p3p/1pp3p1/2q1b1p1/P3P3/1P1QNPPR/3K3R b - -,e8e6
6k1/5p1p/1R2pn2/6p1/4P3/5PP1/3r1NKP/8 w - -,h2h3
8/1p3b2/2p3pp/2P1kp2/PN1Np2P/6P1/P4K2/8 w - -,f2e3
r2r1k2/pp1b2nQ/4p3/2P3PP/1n6/2bB1N2/PpP2P2/1K5R b - -,d7c6
1r2r1k1/p2bppbp/3p2p1/1p1P4/5P2/2P1N1PP/PP4B1/R4RK1 b - -,b5b4
7r/brp3k1/p2p1p2/2p1p3/1PP5/P1BPP1P1/5PKP/R3R3 w - -,a1b1
r3k2r/2q1bppp/Bpnp4/p3p3/4PP2/1NP1QN2/PP4PP/R4R1K b kq -,a8a6
1r4k1/1q3pp1/pr1pb2p/4p3/2P1P3/RP1Qb3/5PPP/R2B2K1 w - -,d3e3
5bk1/8/5p2/1B5p/N1R2PbP/P7/3r4/6K1 w - -,a4c3
r2q1rk1/1pp1ppbp/2n3p1/p2n4/2NPb3/PP3NP1/1B2PPBP/R2Q1RK1 b - -,d8c8
r1r3k1/ppq1pp1p/3p1np1/3Pn3/1R2P3/2P2P2/PB1Q2PP/4KB1R b K -,a7a6
1br2rk1/pb1nqp1p/6p1/1pPppQN1/1P2n3/6P1/PN1BPPBP/R2R2K1 w - -,f5h3
1r1q1rk1/1b1n1ppp/pp1b1n2/2pp4/3P4/1PNBPN1P/PB3PP1/2RQ1RK1 w - -,d1e2
r1bqk2r/ppppbppp/2n2n2/4p3/4P3/2N3P1/PPPP1PBP/R1BQK1NR w KQkq -,g1e2:d2d3
3R4/1r3pkp/p5p1/1pBp4/3P4/4P3/5PPP/5K2 w - -,d8a8
r4rk1/1bqn1ppp/2pbpn2/pp6/1P1P4/P1N1PN2/2Q1BPPP/1RB2RK1 b - -,a5b4
4r1k1/1bqrbppp/p3pn2/1p2P3/3B4/P1N2BQ1/1PP3PP/3R1R1K b - -,f6d5
r5k1/2r3pp/pp6/8/1P2N3/P2R2P1/1b3P1P/3R2K1 b - -,c7c1
6k1/5p2/1pR1p1p1/4P2p/5P2/1P3KP1/Pr5P/8 w - -,c6b6
3nq2k/1ppb2p1/p2p1r1p/P3p3/1PB1P2P/2P1QPP1/5RNK/8 b - -,d7c8
5k2/1p1rpr1p/2p1R3/7p/2qbQ3/1p3BP1/1P3PK1/3R4 w - -,d1d2
r3k2r/pbpnqppp/1p1ppn2/3P4/2P5/2N2NP1/PP1QPPBP/R4RK1 b kq -,e6e5
6k1/5pp1/8/5P2/2B3p1/2B1b1P1/7P/2n1K3 b - -,g8h7
3rn3/b1pq1ppk/p3r2p/1p2pN2/2n1P2Q/2P2N1P/PP3PP1/R1B1R1K1 b - -,h7g8
6k1/Q4nb1/1Bp3r1/4p2q/1P2Ppb1/3P1N2/2PN1KP1/5R2 w - -,f2e1
rnb2rk1/ppq2ppp/4pn2/2p5/3P4/P1P1P3/B3NPPP/R1BQK2R b KQ -,b7b6
8/8/1n4p1/7p/1K3k1P/P4N2/6P1/8 w - -,b4c5
3r1rk1/1p1b1pp1/pq1nn2p/P1p1p3/4P3/2PNN3/1P3PPP/R3RBK1 w - -,a5b6
1r5k/2p1q1bp/2brP1p1/6p1/1P3pP1/1B3N1P/1P2QP2/R3R1K1 b - -,c6f3
4r1k1/1p3p2/2p3p1/p5Q1/2P4P/1P2rqB1/PR4R1/6K1 w - -,b2d2
8/6p1/4p3/2B1P2p/1P3k2/1r6/3K3P/8 w - -,d2c2
2r2r2/pb2ppkp/1p4p1/P2p4/1qpPn3/4PN1P/2P2PP1/RR3BK1 w - -,b1b4
r3r3/4qnkp/pR2p1p1/2P2p2/Np3P2/1P6/P1Q3PP/5RK1 w - -,b6b4
6k1/5pp1/2n1p1p1/3pP3/p2B1P2/4K1P1/PP5P/8 b - -,g8f8
2r3k1/5p1p/Q2p2p1/8/8/8/2q3PP/5R1K w - -,a6d6
r3r1k1/pp3pb1/2p3pp/1P6/P1NpP3/3P2Pq/2Q2P1P/R3R1K1 b - -,h3e6
r2qkb1r/1p1n1p1p/p2p1np1/2pP4/P3P3/2N5/1P1NbPPP/R1BQK2R w KQkq -,d1e2
2r2rk1/4nppp/4p3/pB1p4/1b1P1B2/1P2P2P/5PP1/R1R3K1 w - -,g1f1
7k/p4pp1/6rp/8/8/P1R1PP2/1rR3PP/6K1 b - -,b2b1
2r2rk1/1p3ppp/3b1q2/p1pPp3/P3Q1PP/2P5/1P3P2/2KR1B1R w - -,f2f3
r1b1rqk1/1p1n1pbp/2p3p1/p3p1Bn/P3P3/1BNRQN2/1PP2PPP/3R2K1 b - -,d7c5
1r2rbk1/2qb1ppp/p2p1n2/1ppP4/2P1PRP1/1PN1Q2P/P3B3/R3N1K1 b - g3,h7h6
r2r2k1/pb2bppp/1p6/1N4P1/P1Pp4/1P1R2P1/4BP2/3R2K1 b - -,e7g5
1n6/5kp1/2p2p1p/N1Ppp3/3Pn3/4P2P/2N2PP1/6K1 b - -,f7e7
8/2RR2p1/5pk1/2p3p1/8/7r/2r5/5K2 w - -,d7g7
1nr1r3/k2q1p2/p5p1/1PppPp1p/P6P/5N2/R1PQ1PP1/1R4K1 b - -,e8e6
8/1p2bk1Q/4qp1p/p1p1p1p1/P1P1P3/1P1R1P2/4K1PP/8 b - -,f7e8
6k1/p2b4/2p4p/1rPpPp2/1p3p2/P4P2/1P5K/R4R2 b - -,b4a3
3r1k2/pprq1ppp/3p1b2/P1pQ4/2N5/2P1P1P1/1P5P/R4RK1 b - -,d7e6
6k1/1p6/1p1P1np1/8/1P4B1/8/8/6K1 b - -,g8f7
r1bqrbk1/1p3ppp/2pp1n2/p1nPp1B1/2P1P3/1PN3N1/P1B2PPP/R2Q1RK1 b - -,h7h6
8/5pkp/bq4p1/3p4/1Nn1r3/1Q5P/BP3PP1/3R2K1 w - -,b4d5
7k/p6p/7Q/1p3B2/3b2pP/8/PPP1K1q1/R7 w - -,e2d3
8/8/3P4/3r1p2/4k3/2R5/8/4K3 b - -,d5d6
3r2k1/1p2bq2/p5pp/4r2P/2PpNpP1/P2Q1P2/1P4K1/R6R w - -,h5g6
2r2rk1/pbq1bpp1/1pp1p2p/2npP3/2P2P2/1PN1P3/PB2Q1PP/1B1R1RK1 b - -,d5c4
q4r2/p2Qp1kp/2P3p1/1R3p2/5Pn1/P2P1KP1/4P3/2R5 w - -,b5b7
r2q1rk1/1b1nbppp/pp1pp3/8/NP2P3/1N1PBP2/P3Q1PP/R1R4K b - -,e7f6
r4rk1/1Rp2p1p/p1Pp2pB/3Qb3/2P5/6P1/q4PKP/4R3 b - -,f8e8
2R5/8/5b1p/p5k1/K7/2P4P/8/8 w - -,c3c4
2k5/ppp5/3p2p1/3P1p2/2Pb1Bn1/2NP2P1/PP5r/1R3K2 b - -,d4c3
5b2/8/1P2k2N/p4p1p/6p1/6P1/5KP1/8 b - -,f8c5
6rk/1bp5/pp1pp1n1/7r/P2PPp1q/1PP2P2/2QRR1B1/2N3K1 w - -,c1d3
1N2k3/5b1p/3p1p2/3P1P2/ppP5/3K3P/P5P1/8 w - -,b8c6
r1bqk2r/pp2npbp/2np2p1/2p1p3/4PP2/2NP2PN/PPP3BP/R1BQ1RK1 b kq f3,c6d4
7k/1p4r1/p2pRn2/8/8/2P4K/PP6/8 b - -,f6d5
rn1q1rk1/ppp1n1pp/3b1p2/3p1b2/3P4/3B1NB1/PPP2PPP/RN1Q1RK1 b - -,d6g3
2rq1rk1/1p1bppbp/p2p1np1/8/4P3/1nN1B2P/PPPQBPP1/3R1RK1 w - -,a2b3
8/6pp/8/p1k1p3/1pP1P3/P2K4/1P4PP/8 w - -,a3a4
8/2p2p2/4kp2/4p3/1p1bP3/3r2P1/PP3P2/2B1RK2 b - -,f6f5
1rbq1rk1/pp1nppbp/3p1np1/2p5/3P4/2PBPN1P/PP1N1PP1/R1BQ1RK1 w - -,a2a4
8/p1R3pp/5pk1/2Np4/3P4/3b1PK1/PP2r1PP/8 b - -,d3f5
8/pp2p1k1/2pr1bpp/6q1/3PQ3/1PB2P1P/P2R2P1/7K w - -,f3f4
2r2rk1/1q2bpp1/p1b2n1p/2ppB3/8/P1N1P1Q1/1P2BPPP/2R2RK1 b - -,f6e8
8/8/1p6/p1k2Rp1/P3Kpr1/1P6/8/8 b - -,c5c6
4k3/ppp4p/2bp1q2/5p2/2P2Bn1/3Q1PPB/PP5P/6K1 b - -,g4e5
2r1k2r/1b1npp1p/pq1p1np1/8/3NP3/2N2PP1/PP1Q2BP/R3K2R b KQk -,e8g8
rn3rk1/pp4bp/2p2np1/4p3/1PP1P1b1/2N2NP1/PB3PB1/R3R1K1 b - -,b8d7
6r1/pp1q2pk/4R1Rp/5p1P/3r4/PQ6/1P3PP1/6K1 w - -,b3e3
2r1r1k1/1p1bppb1/p4npp/3PB3/Pq6/2N2P2/1P2Q1PP/2NR1R1K w - -,d1d4
1r6/8/2p1pk2/r2pN2p/P1pP1P2/2Pb4/R4R1K/3n4 w - -,e5d7
5B2/7p/8/1p3k2/1Pr5/5PK1/7P/8 w - -,h2h4
1rbqk1nr/p2nppbp/2pp2p1/8/1p1PP3/3BBN2/PPPN1PPP/R2Q1RK1 b k -,g8f6
r2q1rk1/pppbnpb1/3p2pp/3P4/3N4/1P4P1/PB2PPBP/R2Q1RK1 w - -,d1d2
r4rk1/6p1/p4n1p/b2P4/4P3/1b3N1P/6PB/1R2R2K w - -,b1b3
3r1rk1/ppq1bppp/1np1pnb1/8/P4P2/1BNPBQN1/1PP3PP/4RR1K b - -,b6d5
2kr3r/1pbqn3/p7/2P2p2/3N1Ppp/8/PPN1QBPP/R6K b - -,e7c6
2rr2k1/5ppp/2n1p3/Pp1q4/3Pb3/b3B2P/3QBPP1/2RRN1K1 w - -,c1a1
r1bqr1k1/ppbn1ppp/2p2n2/8/1PBp4/PQN1P1N1/1B3PPP/2R1K2R w K -,c4f7
r3r1k1/pp6/2p1qPp1/3n3p/3PN2P/5QP1/1P6/5R1K w - -,f6f7
r1b1r1k1/2p2p2/p2p1npq/1p1Pp1np/2P1P3/P4N1P/1PB1QPP1/2R1RNK1 b - -,g8g7
rnb1k2r/1p2ppbp/3p1np1/8/1qB1P3/PpN1BP2/1PP1Q1PP/R3K2R w KQkq -,a3b4
4r1k1/1p3pb1/p2p3p/P2P2p1/q1p1r3/4P1P1/1P1B1PKP/R4R2 w - -,a1a4
8/pp1k4/n1p1p3/3pP3/3PnPPr/2Pr4/PP4RP/R1B2K2 b - -,d3d1
5k2/4b1pp/p7/2pBn3/4Pp2/5P1P/Pr3BP1/3R1K2 b - -,g7g5
r3k3/2qb1p2/p5p1/2b1n3/P1N1P2r/2P3N1/2B1Q2P/1R2KR2 w q -,c4e5
8/5p2/5r1k/R5pp/8/3B2P1/6KP/8 w - -,h2h3
8/pp2b1pk/4p2p/3n1p2/1PqPpPP1/P6P/4NQ2/4B1K1 w - -,g1h2
1b2k3/p3r3/qr2p2Q/3p1p2/3N1P2/4R1P1/PPP4P/2KR4 w - -,d4b3
r1r3k1/3nq2p/b1p1p3/p2pN1p1/2PPp3/P3P1P1/1Q3PBP/R1R3K1 b - -,d7e5
8/p7/3nkp2/1P5p/P7/3K1P2/1B4P1/8 w - h6,b2d4
2r5/pp3pkp/1b6/1P1p4/P7/1N4P1/1q3P1P/R2B1R1K b - -,c8c3
2kr4/ppprqp1p/4bnp1/2p5/4PP2/2N1Q2P/PPPN2P1/2KR3R w - -,h1e1
8/4Br1k/4R2P/4Kp2/5P2/6n1/8/8 b - -,g3e2
1R6/2P5/3K1Pk1/8/7p/1p6/8/2r5 w - -,b8b3
2r4r/pp1k2bp/1q2pnp1/nP1p4/3P4/P2B4/3BNPPP/R2Q1RK1 b - -,f6g4
4r1k1/p7/2R1b2p/5pp1/2p5/P4PN1/1P4PP/6K1 w - -,g1f2
1r3bk1/3b2r1/1P1p4/3Pp1q1/p1N1Pn1p/4QPn1/1P3RPB/2N1RBK1 w - -,c1d3
r4rk1/pp1bppbp/6p1/2p5/1nP2B2/1N2P2P/PP2BPP1/R4RK1 b - -,b7b6
r1bqk1nr/pp2bppp/2np4/2p1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,c1e3:e1g1:f3d2:h2h3
6kr/3q1pb1/1p3N2/3p1P1p/3P1Bp1/1P2Q2P/6P1/2R3K1 b - -,g7f6
r3r1k1/1p2qpp1/p1pb3p/3p4/PPnP4/1QBbP1PP/3N1PB1/R4RK1 w - -,f1e1
1k5r/3r4/1p3p2/2pp1n1p/1P5P/2P3P1/4NP2/R4K1R w - -,b4c5
6R1/8/r6p/5kp1/8/7P/5PK1/8 w - -,g8g7
8/8/1pkp1R1p/8/4P3/rp5P/3NKPP1/8 b - -,c6c5
R7/4bk1p/2n3p1/1K6/8/P1B2N1P/4rPP1/8 b - -,e2c2
r1q2rk1/1ppb1pbp/p2p2p1/3P4/2P1P1nP/2N3P1/PP3PB1/R1BQ1RK1 b - -,b7b5
2rq1rk1/pp1bppbp/5np1/3pP3/3P1P2/4BN1P/PPB3P1/R2Q1RK1 b - -,f6e4
r2q1rk1/pp1n1pp1/4pn1p/2b4P/4N3/5N2/PPPBQPP1/1K1R3R b - -,d8c7
5rk1/6pp/5p2/1q3n2/ppRPp3/1N2P3/PP2QK1P/8 w - -,b3d2
r2qrnk1/2p1bNpp/8/p2nBp1P/2BP4/6Q1/1PP3P1/2KR3R b - -,g8f7
3rr3/1p1q1pk1/2p1p2p/p1P2bp1/PnBP4/1Q6/1P2NPPP/2RR2K1 w - -,e2g3
8/r3bk2/2b3pp/2p5/P2pNP2/1P1P4/2P4P/4R1K1 w - -,g1g2
R7/3r2kp/6p1/N1p5/2P2bP1/3n1N2/1r3P1P/3R2K1 b - -,d7d6
r2qkb1r/1b1n1ppp/p3pn2/1pp3B1/P7/3P1NP1/1PQ1PPBP/RN3RK1 b kq -,f8e7
r1b3k1/3r1p1p/p1p1pp2/3p4/8/5P2/PPPK2PP/4RB1R w - -,h2h4
5k2/6p1/1p3p2/PP2p3/8/1bp2PP1/7P/3B3K b - -,b3d1
2r5/1pb3k1/p1pBP3/P1Pp1R2/1P2p1p1/4P1P1/6K1/8 b - -,c8e8
r1bqr1k1/1p2ppbp/n1pp1np1/p7/P1PPP3/2N1BN1P/1P1QBPP1/R3K2R w KQ -,g2g4
6k1/R7/1p3p2/6pp/8/2Bnr3/6PK/8 b - -,d3e5
r1b1k2r/ppn1b1p1/2pq1n1p/4pp2/3PP3/2N2NP1/PP3PBP/R1BQ1RK1 b kq -,f6e4
r2q1rk1/1p1nbppp/2p1pn2/p2pN2b/8/PP1P1NP1/1BP1PPBP/R2Q1RK1 b - -,d8c7
4r1k1/5pb1/1p1q2p1/p6p/2Rp4/1P1P1BPP/P2Q1P2/6K1 w - -,h3h4
8/p4pk1/6p1/8/1q1NBnn1/8/3R2PP/3R2K1 w - -,e4f3
r1q1n1k1/1ppb2b1/6r1/1p1Pp3/4PpPB/P1R5/1P2B1PN/3Q1RK1 b - -,g7f8
7r/1p1bnkpp/3Bnp2/1P6/2P5/8/1KB2P1P/R5R1 w - -,a1a7
3rn1k1/4bqpp/p4p2/8/6Q1/2B5/1PP3PP/4R2K w - -,g4a4
2Q2bk1/4qpp1/4p3/3p2P1/3P4/4PKB1/5P2/8 w - -,g3f4:f3g4
5r2/1q5k/pN2p1pp/P1n1b3/3pP3/8/3B1PPP/1Q3RK1 w - -,d2h6
8/p2P1k2/1p2p1p1/6P1/6BK/Pr2n1B1/8/8 b - -,b3d3
8/p2r2kp/4bb2/4pp2/2P5/1P1BQP2/PK5P/8 w - -,b2c2
r1bqk2r/pp3ppp/3p1n2/2n1p3/2P5/P1Q2P2/1P2PNPP/R1B1KB1R b KQkq -,c8e6
1r5r/p2k1p2/4p3/P1p1n3/4P3/3P2P1/6B1/1R3RK1 w - -,a5a6
r1b2rk1/pp1nq3/3p2n1/1PpPp1bQ/P1N1Pp1p/2P3P1/2NB1RBP/5RK1 b - -,g8g7
8/p6k/1b5p/3b1N2/8/1PB4P/P3R1P1/3r3K w - -,c3e1
2k1n3/1pq2pp1/p3p2p/7P/2P3P1/1PB2P2/P3Q3/2K5 b - -,c7c6
8/1p2k3/p2p1bKn/2pP2N1/2P3qp/1P1Q2P1/P7/1B6 w - -,d3e3
r1bq1rk1/pp1nbppp/2pp1n2/4p3/P1BPP3/2N2N2/1PP2PPP/R1BQ1RK1 w - -,d1e2:c4b3:f1e1:c4a2:h2h3:a4a5
