8/p4B1p/5p2/8/3k1P2/4bKP1/P3P2P/8 w - -,f7b3
r5kr/p5pp/2pb1q2/8/8/2N2b2/PPPP3P/R1B1KQ1R b KQ -,a8e8
2rr4/p3bk2/4p1p1/4Rp1p/3P1B1P/6Q1/q4PP1/3R2K1 w - -,d4d5
r6k/r2b2b1/1p1p2p1/3Pp2p/4Pp1q/1NNB1PnP/2Q3PK/2RR4 w - -,c2f2
r5k1/p5Rp/4p1pB/3n4/4r3/3b4/6PP/6K1 b - -,g8h8
2r2r1k/pb5q/1p3p2/2p2P1P/3p1Q2/P6R/1PP3P1/2KR4 b - -,f8g8
4r3/2pq1kpQ/1p3p2/1n1r4/pB1P1R1P/1p6/5PP1/5RK1 b - -,b5d4
8/5pk1/N3n1pp/8/2pr2P1/7P/2R3K1/8 w - -,a6b4
8/p2R4/1p4pk/5r1p/3Q4/2P3KP/1P3RP1/2q4r b - -,c1g5
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1P2/4PN2/PPPN2PP/R1BQKB1R w KQkq -,c2c3
q7/2kn1p2/2p1p3/1pPpP2p/1P1N1P2/1R2Q2P/r4PK1/8 w - -,e3g3
r1bq1rk1/1pp2pp1/p2p3p/2bPp3/3n4/2BPPNP1/PP3PBP/R2Q1RK1 b - -,d4f3
2kr3r/pppb1q1p/2n1pb2/1N1pn3/5B1P/6Q1/PPP1BPP1/2KR2NR w - -,b5a7
7k/1Q4p1/7p/5P2/p3P3/P3PbPK/4q2P/8 w - -,b7b8
r3kb1r/1b1n1pp1/p3p2p/8/3NP1P1/3BB3/PPP4P/2KR3R b kq -,d7f6
2r3k1/pp1q3p/4pbp1/3p4/3PnP2/1P3NPP/PQ3BK1/2R5 b - -,c8c7
4rk2/2r2pp1/1p5p/p3R3/3R2PP/P3P3/1P3P2/6K1 w - -,e5b5
4r3/bppb1pk1/p5pp/3P4/2N2N2/7P/PP3QP1/1B4K1 b - -,e8e1
1rbq1rk1/2n2pbp/6p1/1pN1p3/1P1p4/P5P1/1B1QPPBP/RR4K1 w - -,e2e3
r3r1k1/3nqpp1/p1p2n2/2Pp4/P2Pp2p/2N1P1PP/2Q2PB1/R4RK1 w - -,a1b1
6k1/p1r1n1bp/5p2/R2Pp1p1/1P5N/2nP1BP1/3B1P1P/6K1 b - -,c3d5
r1b2rk1/pp2qppn/2p1pb1p/2P5/3P4/4BNP1/PP1QRPBP/3R2K1 b - -,e7d8
8/1Rk5/8/4K2p/b3B3/2P2P2/8/7r b - -,c7c8
2r5/1b2kpp1/pbn1pn1p/1p6/1P6/P1N1PN2/1B2KPPP/1BRr4 w - -,c1d1
3r2k1/4pp1p/6p1/p1q5/P3P3/1Pp2P1P/2B2rP1/2R1Q2K w - -,e4e5
2k1r2b/8/pp6/2pb1p2/5Bp1/P1PNP1P1/1P2K3/R7 b - -,h8f6
5rk1/1p4p1/2pqr2p/p2n4/Pb1P1NQ1/1B4P1/1P3P1P/R4RK1 b - -,f8f4
r1b1qrk1/ppp1p1b1/n2p1n1p/3P1pp1/2PB4/2N2NP1/PP2PPBP/R2QR1K1 b - -,c7c5
r2r4/2knb1pp/1ppnbp2/4p3/NPP1P3/4BN1P/4BPP1/RR4K1 w - -,c4c5
r2q1rk1/1b1nbppp/pppp1n2/4p3/P2PP3/1PNB1N2/1BP2PPP/R2QR1K1 b - -,g7g6:f8e8
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2PP4/1P1BPN2/PB1NQPPP/R4RK1 b - -,a8c8:c6c5:f8e8
5q2/p2b1r1k/1p2p1p1/3p1r1p/3P3P/P1PQ1P1R/6P1/2B1R1K1 w - -,e1e3:h3g3
8/3kb3/p2Pp1p1/4B1P1/P1K2P2/8/8/8 b - -,e7d6
r1r5/nq2kppp/R3b3/1Pp1N3/Q3n3/2P1B3/1P3PPP/R4BK1 b - -,f7f6
1k1r4/1p3ppp/pqnrb3/3p4/8/1NP3P1/PP2QPBP/3R1RK1 b - -,d5d4
5k2/7B/5K2/4N3/8/8/8/8 w - -,e5d7
8/q5kp/6p1/1pRp4/3Rp3/P3P1P1/5P1P/6K1 w - -,c5b5
r1r3k1/4pp1p/qn1p2p1/2nP4/P1pRPP2/R5P1/NPQB2KP/8 w - -,a4a5
2r2rk1/1Q3q1p/1p6/3p2p1/8/2nB4/6PP/3RR2K w - -,e1e7
2r2rk1/pp1n1ppp/4p3/q2p1b2/2PP1B2/bP3N2/P1Q1BPPP/1R3RK1 w - -,e2d3
7k/p7/2p1q2p/6p1/3p1p2/1P1B2Q1/P1P3KP/8 w - -,g3f3
5R2/7k/4n3/8/r6P/3K1N2/8/8 w - -,f8f7
rnb2rk1/p1q1p1bp/6p1/2PQ1pN1/8/6P1/PP2PP1P/R1B2RK1 b - -,e7e6
rn1q1rk1/p1ppbppp/1p2p3/8/2PP3N/6P1/PP2PPbP/R1BQ1RK1 w - -,h4g2
8/3B2R1/8/1prb4/p7/1k6/8/3K4 b - -,a4a3
r4rk1/pb1nqppp/1p1bp3/3P4/3B1P2/1P1BP3/P2N2PP/R2Q1RK1 b - -,e6d5
1q3r2/pbr1npbk/1pnNp1pp/8/1PP5/5NP1/3BPPBP/1RQR2K1 w - -,d6b7
r2q1rk1/pp3ppp/2n1pn2/2bp3b/8/1P2PN1P/PBPNBPP1/R2Q1RK1 b - -,a8c8
r4rk1/p3bp2/2bpp2p/1pq3p1/3NP1n1/2N3B1/PPPQ1P1P/1K1RR3 w - b6,f2f4
2r5/1R3p2/3p1k2/p1r1p1p1/5nKP/7P/5P2/R7 w - -,h4g5
8/1p4p1/8/P2k4/4p3/4K1P1/5P1P/8 w - -,h2h4
2r1r3/1b1n1kp1/p2b1p2/1p1p3p/3N3P/5P2/PPPN1BP1/1K1R3R w - -,d2b3
r3k1r1/1pq4p/p3R3/2Pp1p2/1P6/2P2P2/P1Q3Pb/R4K2 b q -,e8d8
r1b1q1k1/ppp1p1bp/3p2p1/3P4/2P5/5rP1/PP2QPBP/R1B3K1 w - -,g2f3
1r4k1/p4p2/2P1p2p/4p3/8/8/5PPP/2R3K1 w - -,c1a1
2rq1rk1/pp3pbp/2n3p1/1Q1n4/6b1/N1P2pP1/PP1P2BP/R1BRN1K1 w - -,g2f3
5r1k/1p3ppp/1qpb4/1P6/3p4/1Q1P1PPP/3B1PK1/R7 b - -,h8g8
6k1/5p2/P3n3/8/1P1q4/4Q1P1/3p1K2/3B4 b - -,d4b4
8/pp2qkpp/2p1p3/3rPp2/PPQP1P2/8/6PP/2R3K1 b - a3,a7a6
r1bqk2r/pp3ppp/1bn1p3/8/1n2P3/1N4P1/PP3PBP/RNBQ1RK1 w kq -,c1d2
rnbq1rk1/pp2p1bp/2p2ppn/3pP3/3P1PP1/2N5/PPP1B2P/R1BQK1NR w KQ -,e2f3
8/4r2k/4r2p/p2p1pp1/Pp1P1b1q/1Pp1PP1P/4R3/2B1RQ1K b - -,f4g3
2bq1rk1/1pp1bppp/r7/p7/1n2P3/P1Q3P1/1P3PBP/RNB2RK1 w - -,e4e5
r3kb1r/pp3ppp/1qn1p3/3pPn2/3P4/2N1BN2/PP2QPPP/R2R2K1 b kq -,f8e7
2r2rk1/p3qppp/bp2p3/3pn3/2P3Q1/1P2P1P1/P2N1PBP/3R1RK1 w - -,g4f4
8/p1r2kpp/B1P2p2/p2pp3/P7/8/6PP/1KR5 b - -,f7e6
8/1p4p1/1k2n1Kp/7P/Pn6/8/8/2R5 w - -,g6f7
rn1q1b1r/pp3kp1/1np1p1p1/4P2p/3P2PP/2N1B3/PPQ2P2/R3KB1R w KQ -,g4h5
4rbk1/5q2/p2p3p/2n1n1p1/3Q4/P1B2P1P/6P1/1R2R2K b - -,e8c8
3kb3/5p2/5Rp1/1pr3Pp/4P2P/P1KB4/8/8 w - -,c3b4
r1bqk1nr/ppp2p1p/2np2p1/1N6/2B1PQ2/4P3/PPP3PP/RN2K2R b KQkq -,c6e5
2r1rbk1/1q3ppp/pp2pn2/2np4/2PNP2Q/1PN2PP1/PBR4P/3R2K1 w - -,c4d5
r1bq1rk1/pp1nppbp/2np2p1/8/3NP1P1/2N1B2P/PPP2PB1/R2Q1RK1 b - -,d7c5
8/p6p/r3b1p1/1B6/3k1p2/1P3P2/2R2KPP/8 b - -,a6a3
2r1r2k/ppq3pp/1n1bpn2/6B1/4p3/PBN2P2/1P2Q1PP/R4R1K w - -,c3b5
8/8/8/3pqkp1/R7/7P/6P1/6BK w - -,a4d4
1qrr1nk1/1bn1bpp1/1p2p2p/p1PpP3/2P4P/1P2N1PN/PB3PB1/1QRR2K1 b - -,e7c5
8/3r4/3k2p1/1b1p1p1p/pPpR1P1P/P1K1P1P1/6B1/8 b - -,d6c6
8/8/3p1k1p/2pb1p2/2rP2pP/pNK1P1P1/2P2P2/3R4 w - -,c3d3
2rqnrk1/p2nbppp/1p2p3/3bP3/3Q4/1P3NP1/P2N1PBP/R1BR2K1 b - -,d8c7
r3kb1r/pp2q1pp/2pp1n2/P3p3/2n1P1b1/BP3N2/2PN1PPP/R2Q1RK1 w kq -,d2c4
r4k2/pr2pp2/R2p2p1/1P1Pn3/2p1P3/2N5/1P4PP/R6K b - -,e5d7
8/2p1k3/1p6/pP4K1/3P1p2/N1P2P1p/1P6/3n1N2 b - -,d1e3
5rk1/pp1b2bp/2n1pqp1/3p4/3P4/2N1P1P1/PP1BQ1BP/5RK1 b - -,f6d8
8/6k1/3p4/3Pqp1p/7P/2r2BN1/5Q1K/8 b - -,e5f4
R4bk1/5p1p/4p1p1/4P3/1N6/1b2KPP1/1P2B2r/8 w - -,a8a3
2r2rk1/4qppp/Q7/1p6/1n6/4P2P/P1R2PP1/R5K1 w - -,a6c8
1r5k/3q1pp1/b1p5/p1Pp2b1/3P4/5N2/P4PPP/2Q1R1K1 w - -,c1g5
r1bqkb1r/3n1pp1/p3pn1p/3p4/1p1NP1PP/4BP2/PPPQN3/R3KB1R w KQkq -,h1g1
4r1k1/p2q1p1p/1p1pp1p1/3Pb3/1P6/P3B2P/1PRQ1PP1/6K1 w - -,b2b3
1k1nb1rr/pp2b3/3qP2p/n2N1p2/2pP4/P1P3P1/1P1NQP2/R1B1R1K1 w - -,d5e7
r2r2k1/pp1b1pb1/1n2p1pp/2q1P3/4NQ2/1B3N2/PP3PPP/R3R1K1 b - -,c5e7
8/ppk1n3/2bpBbp1/2p2p2/2N5/2P2N2/PP3PP1/2K5 w - -,f3e1
r3r1k1/pp3ppp/2p2n2/5bN1/4nB2/1BP4P/PPP3P1/3RR1K1 b - -,e4g5
r1bqk1nr/2pnppb1/p2p2p1/1p5p/3PP2P/2N1B2N/PPPQ1PP1/R3KB1R w KQkq b6,h3g5
r3kb1r/pq1n1p2/1p2pp1p/8/Q2NP3/2N3P1/PP3PKP/R2R4 w kq -,d4b5
r1bq1rk1/bp1pnppp/p3p3/7Q/P1BpP3/3P2N1/1PP2PPP/R1B2RK1 w - -,e4e5
8/rBn2pk1/P5p1/7p/3K4/6P1/7P/R7 w - -,d4c5
5k2/8/2R3p1/6K1/4rP2/8/8/8 b - -,e4e1
r5k1/pp1b1rpp/4p1n1/q2p3N/P1p1pP2/2P3Q1/2P1B1PP/R1B2RK1 w - -,e2g4
r4b1r/1b2pk1p/5p1n/Q1pP2pP/8/3P1N2/PP3PBR/R3K3 b Q -,a8a5
r3r1k1/2qnbppp/p4n2/1p1P1P2/4B3/PN2BQ2/1PPR2PP/5RK1 b - -,f6e4
4qbk1/1p3p2/p2nrnp1/3p3p/P2P3P/1P1Q1BN1/5PP1/2BR2K1 w - -,g3e2
2q3k1/p1P2p2/Pp1r2p1/3N4/2Q4P/4P3/Pb3P1P/2R3K1 b - -,d6e6
1r3rk1/p1qp1p1p/5pp1/2p5/P5n1/1PP1Pb1P/4BPP1/R2Q1RK1 w - -,h3g4
5k2/1p1rp3/p5q1/Pn5p/3p2P1/3P2B1/1P2Q1KP/4R3 w - -,g4h5
rn2n1k1/p7/1p2p2p/6pP/2PPN1P1/P1P2rB1/7R/R3K3 w Q -,e1e2
2b2qk1/r4r2/pR1p2p1/2pPp3/2P1P2p/P2Bb1NP/2Q3KP/5R2 w - -,g3h1
5R2/7p/3r1p1P/1b2pPp1/3kP3/1P3PK1/8/8 w - -,f8f7
r4rk1/ppq1ppb1/2p3bp/2n1P3/2PN1B2/1PN4P/1P2Q1P1/R2R2K1 w - -,e2e3
3q4/bb2rpkp/p4npN/1pn1p1N1/4P2Q/PP5P/2B1RPP1/2B3K1 w - -,h6g4
r1bqk2r/pp1pppbp/2n2np1/8/4P3/1NN1B3/PPP2PPP/R2QKB1R b KQkq -,e8g8:d7d6
5k2/5p1p/6p1/bP6/P3p3/1N2P1P1/2p1KP1P/8 w - -,b5b6
3k4/pp3p1p/2p1np2/8/4P3/4KPP1/Pr2N2P/7R w - -,h2h4
r1b1qrk1/p1p3pp/np4n1/3pp1BQ/3PPp2/P1PB4/2P2PPP/R3K1NR w KQ -,h5e2
3r4/4k2p/P4Rp1/P3p1P1/4Pp1P/8/4K3/8 w - -,f6b6
r3kb1r/1bqn1pp1/p2p1n1p/8/3BP3/1B1Q1N2/PPP2P1P/2KR2R1 b kq -,e8c8
