8/8/5kp1/3R4/8/2r1b1P1/R5KP/8 b - -,c3c6
5rk1/5p1p/r3p1p1/p1p5/1pP5/1P2PP1P/5P2/R2R2K1 b - -,f8a8
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,f8b4:f8d6
3r1bk1/1q3pp1/p3p2p/1p2p3/4P3/P4P1P/NPP1RQP1/7K w - -,e2d2
8/8/1p6/2p1kpp1/7R/2P4p/PP3P2/5K2 b - -,g5h4
r2r2k1/ppq2ppp/4b1n1/4p3/1Q2P3/P1N5/1PP1B1PP/3R1RK1 w - -,d1d8
2rqnrk1/1p3pbp/p3p1p1/3pP3/2nP3P/P1N2N2/1P2QPP1/2BR1RK1 w - -,h4h5
rnbq1rk1/4ppbp/p1pp1np1/1p2P3/3P1P2/2N1BQ1P/PPP3P1/2KR1BNR b - -,f6d5
6r1/pkpr1p2/4n3/2p1P3/2R3pR/1PB3P1/P4PK1/8 b - -,d7d3
2r4r/1q1nk1pp/pp1P1p2/2b1p3/P3N3/3QB3/1P3PPP/R1R3K1 b - -,e7e6
r7/pkp2p2/1p2b1pp/2p1P3/2P1NPPb/1P1R3P/PB4K1/8 w - -,e4c3
r6k/3q4/pb1p2Q1/2nPpP1P/1p6/1P4R1/P7/1K1R4 b - -,c5e4
4r2k/2p2rpp/1p1p1N2/p3pP2/2P5/6P1/PP2P2P/R4RK1 b - -,g7f6
4r1qk/p3b1pp/1p1p1r2/2p5/1n2RB2/1Q4P1/PP3PBP/4R1K1 b - -,g8f8
3r4/1pk1ppbp/pR2b1p1/2P5/R4P2/4BN2/P1P2KPP/3r4 b - -,e6d5
8/k7/R7/8/8/1K6/8/8 b - -,a7a6
1k5r/7p/8/N7/P7/1R1B1n1P/8/4b2K b - -,b8c7
r4rk1/1ppqb1p1/p2p1nnp/3Pp3/1PP5/4BNN1/P1Q2PPP/2R2RK1 b - -,d7e8
r3r1k1/ppqb1ppp/5n2/3pn3/8/1NP1B1PP/PP3PB1/R2Q1RK1 w - -,e3d4
3rk2r/pp3pb1/2n1p1pp/3p4/P2P4/2PBB2P/1P3PP1/R4RK1 w k -,b2b4
8/p3kpp1/1p1pnb1r/2p3pP/2PP2P1/2PKPB2/P2B4/7R b - -,e6f8
3r1rk1/p1N2ppp/Bpbbpn2/7q/1P6/P4P2/4Q1PP/R1BR3K w - -,d1d6
r4rk1/pp3ppp/2n5/3pPp2/1q3BP1/7Q/PP5P/4RRK1 w - -,g4f5
q1r2bk1/1b3ppp/p3rnn1/5N2/2BBP3/1QN2P2/P5PP/2RR3K b - -,e6c6
8/6pp/1k2n3/3p4/P1p2P2/6P1/3N1K1P/8 b - -,b6a5
8/4k3/2P5/3KB3/R7/8/p5r1/8 b - -,g2d2
1r1qnrk1/3bppbp/p1np2p1/1pp5/2P1P3/2NPB1PP/PP1QNPB1/4RRK1 w - -,b2b3
r5k1/2p3p1/r1bp2qp/P1n2p2/2PB4/R3PP2/6PP/1R1BQ1K1 b - -,a8e8
4N3/6p1/5k1p/p1n2P1K/1r6/8/7P/1q2R3 b - -,f6f5
r3qr1k/ppp1n1pp/2np4/1BbN1pB1/4P3/6QP/PP3PP1/R4R1K b - -,e8f7
r1bq1rk1/1pp3bp/2np1np1/4pp2/1pP5/P1NPP1P1/4NPBP/1RBQK2R w K -,a3b4
rn1qkb1r/ppp1pppp/3p1n2/8/2PP2b1/4BN2/PP2PPPP/RN1QKB1R b KQkq -,b8d7
7k/1ppr2b1/p1n3pp/P2qpp2/8/1N2P2P/1PP1QPPB/R4K2 b - -,h8h7
3rb2k/1pn3bp/p2qBn2/P2p1PB1/2pN3Q/2N5/1PP3PP/R5K1 b - -,d6f8
r2qkb1r/1pp2ppp/p1n1pn2/8/3P1Bb1/2NB4/PPPQNPPP/R4RK1 w kq -,f1e1
2kr3r/pppq1ppp/2nn4/3p4/3P1B2/3Q4/PPP1NPPP/R4RK1 w - -,e2g3
2kr3r/1pq1bpp1/3p4/pN1P1N1p/Pnn5/4B1PP/1PPQ2B1/3RK2R b K -,c7d7
1r1qk2r/1b2npbp/p2p2p1/1p1P4/P1pB4/2P2BP1/1P1Q1P1P/R2NK2R b KQk -,e8g8
4rrk1/bp6/p4pq1/2p2N1p/2PnP3/2Q3PB/P4PK1/R3R3 b - -,a7b8
1rr3k1/p3pp1p/n5p1/q7/4b3/2P1PN2/P3BPPP/R1Q1K2R w KQ -,e1g1
1r2r1k1/1p3pbp/pq1p1np1/2pPn1B1/P7/1N4PP/1P2PPB1/R1Q2RK1 w - -,a1a3
rnbqk2r/pp2ppbp/3p1np1/2pP4/4P3/2N2N1P/PPP2PP1/R1BQKB1R b KQkq -,e8g8
r1bq1rk1/3nppbp/2pp1np1/1p6/3PP3/2NBBP2/PP1QN1PP/R3K2R w KQ -,e1g1
r5k1/1pq3bp/2pp4/p2PpbQ1/2P5/7P/PP3P2/2R2RK1 b - -,f5h3
6k1/5p1p/p2p1b2/Pp1r2p1/1P1p1PP1/3R4/K1P4P/4R3 b - -,g8f8
2rq1rk1/1p1bbppp/p1nppn2/8/2P1PP2/2NBBN2/PP4PP/R2Q1R1K b - -,d8c7
5rk1/1r3p2/2Nn2pp/1p4n1/4P1PN/1pP1P2P/1P5R/5RK1 b - -,d6c4
3r1r1k/1bq1bp1p/p3p1p1/4P3/1p1NnB2/4R2Q/PPP1N1PP/5R1K w - -,h3h6
5k2/pp1B1p1p/3b1P2/3p4/4q3/5R2/PP3P2/5R1K w - -,h1g2
8/8/6k1/7p/8/4R2P/1r3KP1/8 w - -,f2f3
8/2p5/3k1p2/p1p2B1p/1p2PP1P/PbPK4/1P6/8 w - -,f5h3
3r1bk1/5p2/p2n3p/1P1Np1pP/4P3/2P2BP1/5P2/2R3K1 b - -,d6b5
rn1qr1k1/1p3pb1/2ppbnpp/p3p3/1PP1P3/P1NP1NP1/2Q2PBP/1RB2RK1 b - b3,a5b4
1k1r3r/p1pnqp2/1p5p/3Bp1p1/Q3Pn2/P1P1pP2/4N1PP/R4RK1 w - -,e2f4
8/8/6pN/6Pp/5r1P/5k2/7K/8 w - -,h2h3
rnbqk2r/pppp1ppp/3b1n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,d2d4
rn1q1rk1/pbppbppp/1p2pn2/6B1/2PP4/2NBPN2/PP3PPP/R2Q1RK1 b - -,h7h6
r3r1k1/bpp1qpp1/p1n2n1p/3bp3/7N/2PP1QNP/PPB2PP1/R1B1R1K1 w - -,g3e4
n1r1qrkb/1b1n3p/p3p1pP/1pppPp2/3P1B2/2P1NNP1/PP1Q1P2/1BR1R1K1 b - -,a8b6
r1b1r2k/ppqn2bp/2pp1np1/4ppB1/PPPP4/1QNBPP2/4N1PP/4RRK1 b - -,h7h6
4n1k1/5p2/p3n1pp/1p2P3/1P6/PN2R1PP/4KP2/5B1r w - -,e3d3
3R4/p5pk/1p1Nqp1p/5P2/8/4B2P/5K2/8 b - -,e6e7
8/6p1/8/5Pp1/8/4K1k1/6r1/7R w - -,h1h5
5k2/8/2qp4/p4P2/1p4P1/1PnQ1K2/P4B2/8 w - -,f3e3
8/6p1/3Kp3/7P/5Pk1/2R3r1/8/8 w - -,c3g3
3r4/p4pkp/2n1q1p1/1p2p3/8/P2B4/1PP1QPPP/1K2R3 b - -,b5b4
8/p3rpkp/1p4r1/2p4R/8/P1P4P/1P3RP1/7K w - -,h5d5
3R1rk1/1b2qpp1/pn5p/1pp1P3/2n1N3/5N1P/PPB1QPP1/4R1K1 b - -,f8d8
r4rk1/1pq1ppbp/p5pn/2n5/3N4/Q1PbBP2/PPN1B1PP/3R1RK1 b - -,d3e2
8/pb3ppk/2n4p/3r4/1bN1N3/1P6/4RBPP/6K1 w - -,h2h3
2rb2k1/1b1q1p2/p3p1pn/1p2P2p/1P1B1P2/P3NN1P/4B1PK/5Q2 b - -,b7f3
R7/3B1pk1/8/p2p4/2bK3P/5rP1/8/8 b - -,f3g3
8/5k2/p1b5/2b4N/5P1P/4p3/4N3/3K4 b - -,c6f3
rnbqk2r/pp3ppp/2pb4/2n5/2B5/5N2/PPPN1PPP/R1BQ1RK1 b kq -,e8g8
rnbq1rk1/p1p1ppbp/1p4p1/3nP3/3PBP2/5N2/PP4PP/RNBQK2R w KQ -,d1b3
5k2/5p2/p2r1np1/1p1p2p1/8/1PP1NPPP/P2R1K2/8 b - -,d6c6
r4rk1/2qn1pbp/4p1p1/1Q1pPb2/p7/4NN1P/PPP2PP1/R1B1R1K1 w - -,e3f5
8/pp1b4/2pb1k2/3p1pn1/3P4/P2BPP2/1P1BN1K1/8 w - -,d2e1
3r2k1/1b2rp2/1p4p1/p1np3p/3Nn3/1PN3P1/P1R1PPBP/2R3K1 w - -,a2a3
r6r/pbk2p1p/1pp1p1p1/2n1P3/2P2B1P/2P2R2/P4PP1/2KR1B2 b - -,h7h6
rnbqkbnr/pp4pp/5p2/2P1p3/2Pp4/P4N2/1B1PPPPP/RN1QKB1R b KQkq -,f8c5
r3kb1r/3bpppp/p1pp1n2/q5B1/2B1P3/2N5/PPP2PPP/R2QK2R w KQkq -,d1d2
r5k1/5n1p/2p1b1p1/2B1pp2/4P3/P1P2PPB/7P/3R2K1 b - -,g8g7
rn2r1k1/1bq1np1p/p2p2p1/1p2p3/P1p1P2N/2P3NP/1PB2PP1/R2QR1K1 w - -,d1d2
8/8/4kpp1/7p/1R5P/4N1P1/4KP2/7q b - -,h1c6
2r3k1/pbr2p1p/1p2pqpQ/3nN3/3PB3/P7/1P3PPP/3RR1K1 w - -,d1d3
r7/1p3kpp/2p2p2/2P1p3/1P1nP3/2N2PP1/5K1P/2R5 w - -,b4b5
br1r2k1/5ppp/3q4/p1pp4/4n3/1P2PN1P/P1Q1BPP1/2R1R1K1 w - -,e1d1
8/8/5k1p/1pp2P2/4K2p/7P/1P6/8 w - -,e4d5
8/1b2p3/4Pk2/p4qpp/1p1p1r2/1P1B1P1P/P3Q1P1/4R1K1 b - -,f5c5
2k1q3/1p3p2/2pQ2pp/1p6/5PP1/PP5P/KP6/8 b - f3,e8h8
r1bqk2r/4npbp/p1ppp1p1/8/4P3/2N1B1P1/PPPQ1PBP/R4RK1 b kq -,e8g8
1r4k1/5p2/1Q2p3/4q2p/5R1P/4P1p1/P1r2PP1/3R2K1 w - -,b6d4
2rr2k1/1b3p1p/p2ppqp1/1p6/3NP3/1P5P/1PPQ1PP1/3RR2K w - -,d2e2
1r1q1rk1/1b3pb1/4p1pp/1ppnn3/8/2PP1NP1/1P1BQPBP/R3R1K1 w - -,f3e5
3r3k/1p1rpb1p/2n2q1b/2R5/p4P2/2N1B3/PP3QBP/4R2K w - -,c3a4
2r2rk1/np1bbpp1/pq2p2p/3pP2P/3P4/P2B1N2/1P1QNPP1/2R2RK1 w - -,e2c3
r2qk1nr/p4ppp/2p1p3/2bpP3/6Q1/2P5/PP3PPP/1RB1KB1R b Kkq -,g7g6
8/p4pp1/2n5/4n1r1/4k3/1R2P2K/1P1R4/8 b - -,f7f6
1B6/3k3p/6p1/p2p1pP1/5P1P/P3P3/6K1/8 b - -,d7c6
8/3n1pk1/p2bp3/1p1p2p1/1P1P2P1/P2KP2r/4B3/2RN4 b - -,d7b6
r2q1rk1/1ppb1pb1/n2p1np1/p2Pp1B1/2P1P3/2N2PPp/PP1NB2P/R2Q1RK1 b - -,d8e8
6rk/R5pp/5p2/1R6/p7/6KP/3r1PP1/8 b - -,g8c8
8/8/1p6/1Pb3p1/7p/1r2k2P/R5K1/5B2 w - -,f1e2
r3kbnr/1ppq2pp/8/1N6/2P1p3/8/PP1P1PPP/R1BQK2R b KQkq -,g8f6
6rk/1p5b/3p2n1/PB1Pq3/4p3/4Np2/5Q1P/5R1K w - -,b5d7
q4bk1/1b4p1/3r2Q1/p2np3/8/P2BP3/1B3PPP/2R3K1 w - -,g6h7
8/7p/pp2P1bk/2p1q3/2Pp1p1Q/P4P2/1P3K2/8 b - -,g6h5
5R2/1pp5/p2p1b2/3P1k2/2P2P2/1P2B2r/P3K3/8 b - -,f5e4
3R1bk1/p4p1p/1p4p1/1N3b2/2PQ4/2K3Pn/PP3q2/8 b - -,f2c2
rnbqk2r/pp1pppbp/5np1/2p5/2P5/1P3NP1/PB1PPP1P/RN1QKB1R b KQkq c3,b7b6:e8g8:d7d6
1r2r1k1/p1p1qpp1/4b2p/3pP2Q/8/1P1B4/P1P3PP/R4RK1 w - -,f1f3
5k2/1R3p2/2pr4/1p6/1P1PP3/3K4/8/8 w - -,e4e5
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N3P1/PP2PPBP/R1BQK1NR b KQkq d3,b8d7:e8g8
8/5P2/p2pk1K1/1p5b/1P6/6B1/8/8 w - -,g6h5
r3k2r/pbp3pp/1pn1P3/4Qn2/2P5/5P2/PP4PP/RN2KBNR b KQkq -,c6e5
r3rnk1/pp3ppp/2p2b2/2Qq4/3P4/4BN1P/PP3PP1/R1R3K1 b - -,d5c5
r2q1rk1/p1p3pp/1p2n3/3pPp2/4n3/PP2PNP1/1BQ2P1P/R4RK1 b - -,c7c5
r2br1k1/1p2qpp1/2p1n1np/p3p3/P1B1P1P1/2P1BNP1/1P2QPK1/R6R b - -,e7d7
r4rk1/pb1nppbp/1q1p1np1/1P1p4/1P6/2N2NP1/PBQ1PPBP/3R1RK1 b - -,f8c8
r1bqkb1r/pp1npp1p/2p2np1/8/3P4/5N2/PPPN1PPP/R1BQKB1R w KQkq -,g2g3
2b3k1/1p4b1/1r6/p2Np1r1/1Pq1P2p/P3nBP1/8/2RQ1RK1 w - -,c1c4
r3r1k1/p2q1pbp/2p2np1/3pn3/Pp3B2/4P2P/NPPQBPP1/R2R2K1 b - -,a7a5
3k2r1/p2n1p2/Pp1p1pn1/2pP4/2P2P1r/2PBB2p/5R1P/6RK b - -,h4h8
5Q2/7b/8/4P1bk/2pP4/2P3K1/4q3/8 w - -,f8f7
2r3k1/3bp2p/p2p4/1p1P1pP1/7P/1Pb1BP2/P2KB3/7R w - -,d2d1
4r3/8/5k2/5pp1/3K4/8/8/R7 b - -,g5g4
n7/4p1bp/2k2pp1/1pp5/4PB2/2P1N3/1PK2PPP/8 w - -,b2b3
2r1qrk1/pp1n2p1/2ppbp1p/4p3/1PPP4/P1Q3P1/1B2PPBP/2R1R1K1 w - -,c3d2
1r3rk1/p4p2/3p1Bpp/3q1P2/3N4/2Pp3P/P2Q3K/6R1 b - -,g8h7
5r1k/1bqp2pp/3bp3/p3RP2/Pp1p2Q1/1B1P2N1/1PPB3P/5RK1 b - -,d6e5
r4rk1/2pq1pbp/2Pp1np1/3P4/PRp5/2N1BP2/3Q2PP/5RK1 b - -,d7f5
rnb2rk1/ppppqpbp/6p1/3P4/8/2PBBQ2/PP3PPP/RN3RK1 w - -,b1d2
1r1qk1nr/2pn1p1p/pbQp2p1/4p3/2PN4/4BP2/PP2PP1P/R3KB1R w KQk e6,d4c2
4b3/r5kp/2p5/4Kp2/p1B5/P5P1/1R5P/8 w - -,e5f5
r1bbk3/pp3pp1/3Bp2p/3n4/2N5/2P2B2/PP3PPP/3R2K1 b - -,d5c7
6k1/1p4b1/2pnP1N1/p1p1p1P1/P1P1Pp2/1PN5/2K2P2/8 b - -,d6e8
1rbq1rkb/1p2Pp1p/p1n1p1p1/2p5/P7/1BNP1R2/1PP3PP/R1BQ3K b - -,d8e7
3r4/pb3pk1/1pnQ2pp/3B4/P2P2q1/2N1P3/5PPP/2R3K1 w - -,d6g3
8/pp3k2/8/4Rp2/5P1P/1P2K3/P7/3r4 b - -,f7f6
r1bq1rk1/pp2ppbp/2n2np1/2pp4/5P2/P2P1NP1/1PP1P1BP/RNBQ1RK1 w - -,b1c3
q2r2k1/4r1p1/pp2p2p/3b1p2/P2P4/3QRP2/1P4PP/1B1R2K1 b - -,e7c7
r1bq1rk1/pp3p1p/1n1bp1p1/3n4/3P4/2NQ1N2/PPB2PPP/R1B1R1K1 w - -,a2a3
3r2r1/p4ppq/kpn1p2p/3pPn1P/b1pP1P2/P1P4B/2PQR1PB/3N1R1K b - -,g7g6
r1br2k1/p4ppp/1p6/3PP3/2PbP3/2B4P/P7/R4B1K w - -,c3d4
R3n3/5k2/5P2/1P2K2p/4B3/8/P3r3/8 w - -,b5b6
6k1/5q2/3p1r1p/1R1PpPpQ/3pP3/8/2PP2P1/6K1 w - -,h5h3
7k/8/2p1p1p1/4b1Pp/5q1P/p4P2/2r2QK1/3R3R w - -,f2c2
2b1rbk1/2q2pp1/1p3n1p/2p5/2Ppp3/1N1P2P1/Q3PP1P/BR3BK1 b - -,c8b7
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,f1d3:d4d5
3r2k1/1p4pp/p1bq4/3p4/4BP2/6P1/PP3P2/2RQ2K1 w - -,d1b3
3r3k/3q1ppP/p4b1P/1p1rp3/8/1PpBBPQ1/P1P5/1K4R1 b - -,g7g6
8/5pkb/1p5p/4p2P/P1PbP1Q1/5BP1/1r6/4K3 b - -,g7f6
1r3r2/p4pk1/2p1bNp1/2PpR1Qp/P7/3R3P/5PPK/1q6 w - -,f6h5
2r5/pp2p1kp/3p2p1/4p3/4Pr1P/1P1R1P2/P1P3P1/1K5R b - -,h7h6
5rk1/5pp1/q6p/3pPQ2/2pP4/1pP3P1/1P2R2P/7K b - -,a6c8
3r2k1/pp3ppp/4b3/n1B5/B7/P7/1P3PPP/3R2K1 b - -,d8d1
8/1R6/pP1k4/r5P1/3pp2P/3P4/8/6K1 w - -,d3e4
r2q1rk1/pb1n1ppp/1p2pb2/nP1p4/2P5/3BPN2/PB1NQPPP/R2R2K1 w - -,b2f6
8/7p/6pk/p7/Pp1Q1P1q/1PrBnR1P/6PK/8 b - -,e3g4
r1bq1rk1/ppp2p1p/2n1p3/3p2p1/Q1PPnB2/P4N1P/1P2PPP1/R3KB1R w KQ g6,f4h2
2rrb1k1/Rpq1bppp/4pn2/1P1p4/4PP2/2N2B2/2PBQ1PP/5R1K w - -,e4e5
r4rk1/pbp1bppp/1pq1p3/4P3/2PRp3/6P1/PPQ1PPBP/R1B3K1 b - -,c6c5
8/p4p2/1p3P2/6pp/2P1k3/1Pr1P2P/P3RK2/8 b - -,c3d3
4q1k1/pppbr2p/3pp1r1/5p2/2PP1P2/P1BB1PP1/1P5Q/2K4R b - -,d7c8
8/5k2/7p/1p2BPp1/1b1K2P1/6P1/8/8 b - -,b4e1
rnb1kb1r/1pp1pppp/p2q1n2/8/3P4/2NB1N2/PPP2PPP/R1BQK2R b KQkq -,b8c6:c8g4
k1rb3r/1b2qp2/p2ppNnp/1p2n3/4P1P1/1P4NP/PBPR1QB1/1K3R2 w - -,g3h5
r5k1/pp3p2/2q1b1p1/8/6QP/8/5PP1/1B2R1K1 w - -,g4g3
4kb1r/p4p1p/2bp1p2/1p2p3/q3PP2/2PQ4/P1P3PP/1K1R1B1R w k -,d1e1
r1bqr1k1/5ppp/pn1b1n2/1p1p4/3Pp3/1PN1N1P1/PB1QPPBP/2R2RK1 b - -,b5b4
rnbqkb1r/pp3ppp/3pp3/3nP3/3P4/5N2/PP1B1PPP/RN1QKB1R b KQkq -,b8c6
r3k2r/1p2bppp/p1n1p3/P2pP3/b2P2P1/P1BB1N2/3K1P1P/RR6 b kq -,e8c8
5rk1/3bb1p1/q3pn1p/n2p4/2pP1P2/2P2N2/2QBBNPP/1R4K1 b - -,a5c6
2n2k2/5p1p/2Pp2p1/4p1Pn/p1N1P3/Pp2NP1P/1P6/5K2 w - -,e3d5
3r1rk1/5p2/p5pp/1pNnb1q1/5P2/4P2P/PP4Q1/3RRBK1 b - -,g5h4
r4rk1/p4pp1/2nqpn1p/1p1p1b2/2pP4/2P1PN1P/PPBN1PP1/R1Q1R1K1 b - -,f6e4
r4rk1/pb2bpp1/1q2p2p/2p5/2P1BB2/6P1/PPQ2P1P/R3R1K1 b - -,b7e4
r1bqk2r/5pbp/3p1p2/p1Pnp3/1p2P3/3BN3/PP3PPP/R2Q1RK1 w kq -,d3b5
r1b1r1k1/6pp/pBNp1b2/1p1P1p2/6q1/2PB1pP1/PP1Q3P/R5K1 w - -,a1f1
r1b2rk1/1p3pbp/p2p2p1/n1nP4/Pqp1PP2/2N1B1N1/RPQ1B1PP/4K2R w K -,e1g1
4r2k/p4pp1/7p/3p1b1q/3P1B2/5PP1/PRP4P/3Q2K1 b - -,h5g6
R5k1/6p1/1r3p1p/1b1p1P2/2p3PP/4KP2/2B5/8 b - -,g8f7
r5k1/3b1ppp/1p6/p2pPP2/1N6/1P6/1r4PP/R2R2K1 w - -,b4d5
4q1k1/1p3p2/2pQ4/5bp1/5r1P/1B3P2/1PP1n1P1/1K1R4 w - -,h4g5
8/p1r2kp1/8/2p3p1/2b2p2/2P2K1P/1P1R2P1/6B1 w - -,f3e4
r5k1/1p1q2p1/p1p2pn1/3p4/3P2N1/2P4Q/P1P2PP1/4R1K1 b - -,a8d8
r4rk1/2n2ppp/2N1p3/pp1pP1b1/6P1/PNP1P3/1P3R1P/5RK1 w - -,f2f3
1r4k1/R5pp/2B2n2/5P2/8/6P1/pr3P1P/4R1K1 w - -,g1f1
8/1p3R2/2k5/P7/1P3p2/5r2/8/4K3 w - -,b4b5
8/k1p2p2/4n2p/PR2P1p1/PN4P1/7r/5K2/8 w - -,a5a6
5rk1/1p2b1pp/pn2pp2/3pP3/bP1P1P2/P1n1B1N1/3NB1PP/5RK1 w - -,f1c1
r1bq1rk1/pp1nppb1/3p1npp/2p5/2PPP3/2N1B3/PP1QBPPP/R3K1NR w KQ c6,d4c5:d4d5
8/p5p1/1p1nk2p/1P2p3/2P1K1PP/4B3/8/8 w - -,e4d3
6r1/1p1r3k/5p2/p2PpN1p/4P1nP/B7/PP2K3/2R3R1 b - -,b7b5
r5kr/1pp3p1/5PBp/p2pq3/1n5P/P3PQ2/1PPN1P2/2KR3R w - a6,f6g7
2r2rk1/1p1n1p2/p2pb1p1/4p1qn/4P2p/2NB1Q1P/PPPRNPPK/3R4 b - -,c8c6
3rr2k/6b1/6pp/p2n4/1p1Pp3/4B1N1/PP2K1PP/2R4R w - -,h1d1
3r4/p3r1kp/PpRpB1p1/1K1P2P1/1P3p2/2P1bP2/7R/8 w - -,h2h4
2rq1rk1/pp1bppbp/3p2p1/n2P4/4n3/2N3P1/PP2PPBP/1RBQ1RK1 w - -,c3e4
8/7p/p2pk3/3p4/PP1R4/7r/1K6/8 w - -,b4b5
8/8/6rr/R4k1p/8/6R1/5PKP/8 b - -,f5f4
5rk1/8/n3p1B1/3pP1P1/PbnP3P/1R3PK1/4r3/2B4R w - -,g6d3
8/5pk1/6p1/1r1B3p/1r5P/6P1/3R1PK1/8 w - -,d5f3
8/1p3kpp/2n5/1p1rpp2/8/P2PBPP1/1P2K2P/R7 w - -,a1c1
8/7k/7p/2p5/2P3KP/1P1R4/1r6/8 b - -,b2g2
r3k3/1p3p1p/1npB2p1/4P3/2b1BP2/p1P3P1/P2R3P/6K1 w - -,d2c2
1R6/5ppk/8/8/p5p1/1p4P1/3B3r/3K4 w - -,b8b4
r2q1rk1/1b1nbppp/p3pn2/8/Pp1B4/1P1BPN2/3NQPPP/R2R2K1 b - -,f6d5
6k1/1p1q1bpp/3r1p2/8/3QP3/1NP5/1K2R1PP/8 w - -,d4c5
8/3k1p2/6p1/3PK3/4RP2/8/8/5r2 b - -,f1d1
8/3n3p/p3kpp1/4p3/1P6/1P5P/1prNKPP1/1R6 b - -,d7b6
8/3r4/8/6p1/6k1/8/2K3R1/8 b - -,g4f4
8/2B5/5n2/5k1p/4p2P/6K1/8/8 w - -,c7b8
2r1n3/2rnbk2/pp1p3p/3NpP2/1BP2p2/1P6/P3NPKP/2RR4 b - -,c7c6
rnbq1rk1/pp2ppbp/2pp1npB/8/2BPP3/2N5/PPPQ1PPP/R3K1NR b KQ -,f6e4
r2qr2b/p4b1k/1p4pB/n6N/3P1Qp1/3B4/P4P1P/2R2RK1 b - -,h7g8
1nrr2k1/4bb2/4qpp1/4p1p1/2p1N3/2P1BQ1P/1PB2PP1/R3R1K1 b - -,g8g7
4r1k1/1R2b3/4pp1p/3r2p1/8/6BP/5PP1/1R4K1 b - -,e6e5
3rr1k1/1bq1bppp/p5n1/1ppPp3/2P2P2/4B1P1/P2N2BP/1Q2RRK1 w - -,f4f5
6Q1/r2r4/5pp1/3p1k1p/p1pPpPbP/P3P3/1PR3P1/4K3 b - -,a7b7
4r1k1/1b3ppp/p1p2n2/1p2n3/4P3/1PN1BPP1/P3B3/3R2K1 w - -,f3f4
r2r4/1p3pk1/p1pRbp1p/8/8/P5P1/1P2PPBP/R5K1 w - -,a1d1
1r1rb1k1/1pq1bppp/p1nppn2/2p5/P1P1P3/2NPB2P/1P1QBPPN/3R1RK1 w - -,f2f4
r1bq1rk1/pp1nbppp/5n2/3p4/3Pp3/P1N2PP1/1P2P1BP/R1BQNRK1 b - -,e4f3
8/2p1b3/7p/2pk4/6P1/1PPK1N2/8/8 w - -,c3c4
8/5p1p/1p4p1/6k1/6P1/4P3/1r3P1P/2R3K1 w - -,h2h3
4brk1/5p1p/p3p3/5pb1/P7/1Pp2BP1/4PP1P/3RNK2 w - -,e2e3
