8/1R3B2/5kp1/8/r4bP1/8/8/3K4 w - -,f7e8
2b1r1k1/r3q1bp/pp1pN1p1/2pPnp1n/PP6/2N3P1/3BPPBP/1RQ2RK1 w - -,b4c5
q1rrb1k1/2R2ppp/1p2pnn1/1P6/P3P3/1N3P2/1N2B1PP/4QRBK b - -,c8c7
5R2/7p/1p2n1pP/3pk1P1/P7/1PP1K3/2B5/8 b - -,e6f8
7R/1p2r3/2pb1p2/p7/P2P1kp1/1PP1p3/4K3/6R1 b - -,f6f5
4r3/1p1b2pk/2p3qp/2P1B3/1P1Q3P/6Pn/6B1/5RK1 w - -,g1h2
2r3k1/5ppp/2r5/1p6/P7/1P4B1/2b2PPP/R3R1K1 b - -,c2b3
7r/8/4p3/2kb1p2/1rp2Pp1/2K3Pp/1PP1B2P/1R1R4 b - -,b4a4
r4rk1/pp2b1pp/1np1bp2/8/3BN3/P5P1/1P2PPBP/2R2RK1 b - -,e6d5
2qr1rk1/pb3pbp/1p2p1p1/5nB1/3P2N1/2PB3P/P3QPP1/2R1R1K1 b - -,f7f6
r1b1kb1r/p2n1p1p/2n1p1p1/1p1pP3/1PpP1P2/2P2NPB/qN1B3P/1RQ1K2R b Kkq -,a2a6
1rb2nk1/2q1b1pp/pp1p4/3Np3/P2QPB2/8/1PP1B1PP/3R3K b - -,c7c2
r3r1k1/5pp1/ppq4p/2p1P3/Pb6/4QNR1/1P3PPP/2R3K1 b - -,a8d8
8/Q3pk2/3p1n2/2PP3p/2Pq4/7P/2bNP3/4KB2 w - -,f1g2
5r2/p6p/1p4pk/2pPQ3/1Pq1P2P/P1N5/1K6/8 b - h3,f8f2
1rb1k2r/3n4/p1p1pp2/3pP3/1P3Qpq/3B2N1/P1P2PP1/RR4K1 w k -,e5f6
rnb1k2r/1p3ppp/p2ppn2/8/2P5/2P1BB2/P1N2PPP/R3K2R w KQkq -,a1d1
r1bqr1k1/p4pb1/2p3p1/4pn1p/P1Pp4/3P2PP/1B1NPPB1/R2Q1RK1 w - -,g2c6
3rr3/1p3pk1/4b1p1/p1n1p3/3q4/2NPpQPP/PP4BK/R4R2 w - -,a1e1
8/4k2p/2r2pp1/p3p3/2b1PbNP/5P2/PP4P1/1K1RR3 w - -,g4e3
3r4/ppbr2k1/2p1pp1p/6p1/3P1P2/2PR1KPP/PP2N3/3R4 b - -,g7g6
r1bq1rk1/1p2bppp/p1n1pn2/8/2BP4/P1N2N2/1P3PPP/R1BQR1K1 w - -,b2b4:c4a2
1r6/p4k1p/4p3/1pRbRp2/7P/P4P2/5K2/8 w - -,e5e1
8/4Bpbk/4p2p/1KP1P3/p4r2/2N5/8/8 b - -,g7e5
1nr5/pb3k1p/1p3q2/3PpN2/2P1pb2/1PQ5/PB4BP/3R2K1 w - -,f5g3
r3kb1r/1p3pp1/p3p2p/q2pP3/6b1/2N3P1/PP2PPBP/2RQ1RK1 w kq -,a2a3
3R4/8/4K3/2rp4/2k5/8/2r5/4R3 w - -,e6e5
r2q3r/3b1kpp/p3np2/1p3P2/8/1B1PpQ2/P1P1N1PP/R6K b - -,d8c7
8/6pp/4p1k1/5p2/P4P2/4P3/1pr3PP/3R1K2 b - -,c2c1
r1b1k2r/pp1pb1pp/4p3/4B3/8/2P4n/PPBNKP1P/R6R b kq -,e8g8
2rq1rk1/1b1nppbp/p2p1np1/1p6/3PP3/P1N2N2/1PB1QPPP/R1BR2K1 b - -,d7b6
r5k1/1p4p1/2p4p/p3Np2/n2QpN2/Pb2P1P1/1P4BP/3n2K1 w - -,e5c4
r5k1/1bp2rb1/1p2p3/1p1pP1p1/1P1P1p1N/P2B3P/1P3PP1/R3R1K1 w - -,h4f3
r4r1k/1p4bp/p2PQ1p1/6q1/8/2N1RbB1/PP3P1P/R5K1 b - -,a8d8
r3k2r/1pqbbpp1/p1nppn1p/8/4PP2/1NN5/PPP1QBPP/1K1R1B1R b kq -,b7b5
1r1r2k1/1b2npp1/p3p2p/2R5/5PP1/1P1B4/PBP5/2K2R2 b - -,e7d5
2Rrk3/1p5p/p3PK2/5P2/2P5/1P6/8/8 w - -,c8d8
1r2r1k1/p1p1q1bp/3p1np1/2pP4/2P5/5Q1P/PP1N2P1/1RB2RK1 b - -,f6h5
2k2Q2/1p6/4p2p/3pP1pP/2r2pP1/2q2P2/2P1R3/3K4 b - -,c8c7:c8d7
rnbqkb1r/pp1ppp1p/5np1/2p5/4P3/1P6/PBPP1PPP/RN1QKBNR w KQkq -,e4e5
4rbk1/pp4np/2pn1ppB/3p1b2/3P1N2/1PPB1N1P/1P3PP1/4R1K1 w - -,g1f1
r2qkb1r/pp2pppp/2np4/1BpnP2b/8/1P3N1P/PBPP1PP1/RN1QK2R w KQkq -,b5c6
5bk1/5p2/p2p1Bpp/3Pp3/1p1nP3/1P2Q1P1/3N1PK1/3q4 w - -,f2f4
1r2n1k1/ppR2p1p/1r4p1/2Np4/8/4PP2/PP1R1P1P/6K1 w - -,c7e7
r1b2rk1/1p2qppp/2p2n2/p7/P1BN4/1Q2P3/1P3PPP/2R2RK1 b - -,f8d8
1r2r3/p1n2pkp/2Pq1np1/3p4/Np5Q/1B6/PP3PPP/3R1RK1 w - -,d1c1
6k1/pb5p/4p1p1/3p4/1q3n1Q/1P2RN2/3r3P/5BK1 w - -,h4d8
r1r1q1kb/p2npp1p/1pnp2pB/8/2P1P3/1PN2P2/P1NQ2PP/3RR1K1 w - -,h6e3
r1r2k2/1p3p1p/1nn1p1p1/3pP3/p2P4/5NPP/PP3P2/1RR2BK1 b - -,c6a5
8/2N2p2/4n3/5p2/4n3/3kN1P1/6K1/8 w - -,c7d5
2r1r1k1/1pq2pp1/p4n1p/2Pp2n1/1P1P4/4NBP1/5PK1/2RQR3 w - -,e3d5
5rk1/1p2bpp1/p3p2p/4P2Q/1q1NR2P/1r6/5PP1/3R2K1 b - h3,b3b1
r2q1rk1/pp1nbp2/4p3/2p4p/3P2nP/5N2/PPPBQP2/2KR2R1 w - -,f3h2
r4r1k/1p4pp/p1np3b/3Npb2/P1B4q/2P5/1P1NQPPP/R4RK1 w - -,g2g3
r2bk2r/1p3ppp/p1n5/3N4/1P4b1/5N2/1P2BPPP/R2R2K1 b kq -,a8c8
r5k1/1bpn2pp/1p1ppr2/5p1q/p1PP4/P3PP2/1P1QB1PP/R3BRK1 w - -,e1g3
r1b1k2r/pp1nq2p/2p1p3/3p1p2/1PPPn1p1/NQ1BPN2/P4PPP/R1R3K1 w kq -,f3e1
8/8/3p2k1/4n1p1/1B2P2p/4K3/6P1/8 b - -,g6f6
3r2k1/p1q2pp1/2P1pn2/7p/2Q5/4P1P1/P4PBP/2R3K1 w - -,c4b4
r1b2rk1/ppp2p1p/2n3p1/6B1/2PbNP2/8/PP2B1PP/2KR3R w - -,e4f6
8/7p/2p1P1rk/3Q1rp1/3P1p2/3R1P1P/6PK/3R4 b - -,f5d5
2r1Nknr/1q2pp1p/pp1p1bp1/3N1P2/2P5/5Q2/PP4PP/R4RK1 w - -,f5g6
8/5bk1/7p/3n3P/4R1PK/8/8/r7 w - -,e4e5
6k1/6p1/p5p1/1p1N2Pp/2bPK2P/P1P5/1P6/8 b - -,g8f7
br4k1/3p2bp/6p1/2RPn3/1B3p2/3P1N2/1P3PPP/5BK1 w - -,b4c3
6r1/3q1k2/p3n3/3BPp2/1p1P1P2/3bBQbP/PP5K/6R1 w - -,g1g3
3r1rk1/p3q3/1p4nP/2p2bN1/5B2/1P1pp1PP/P3P2K/3RQR2 w - -,f1f3
1r1qr1k1/3n1pbp/3p2p1/p1pP4/2b1PP2/2N3PP/1PQB2BK/R3R3 w - -,d2c1
r2r2k1/1pq2ppp/2p2n2/p3p3/P2nP3/BP2Q1P1/2P2P1P/R2B1RK1 b - -,b7b5
1n1qk2r/rb2bp1p/p1p1p1p1/1p2P1N1/P2P3P/2PQ1B2/5PP1/R1B2RK1 b k a3,e8g8
rn1qk2r/pp2bppp/1np1p1b1/8/2PP1NP1/2N1BQ2/PP3P1P/R3KB1R b KQkq -,b8d7
3r2k1/1R3pp1/4pbnp/8/2P5/rN1P4/5PPP/4RBK1 w - -,c4c5
r2q1rk1/pp1bbppp/4p3/2pnP3/2B5/2P5/PP1PQ1PP/RNB1R1K1 w - -,d2d3
4q1k1/r2r2pp/P2P1pn1/8/1B1Q4/5P1P/6P1/R1R3K1 b - -,g8f8
4k3/NN1bbp2/4r3/2P4r/P1P3pp/2B5/1P3PPP/4R1K1 b - -,e6e1
8/4k2p/1p2rnp1/4B3/2r2P2/P4K2/4P2P/3R2R1 w - -,d1c1
1r2b1k1/rq2bppp/p1p1pn2/Bp6/1P1PP2P/3N2P1/2RQ1PB1/2R3K1 b - -,a7a8
r4b1r/1pkn2pp/2p1bp1n/p3p3/2P1P3/PPN1BN1P/5PP1/R3KB1R w KQ -,f1e2
rnbq1rk1/pp4bp/2p2ppn/3p4/3P1B1P/2N5/PPPQ1PP1/R3KBNR b KQ -,h6f7
6k1/R3pp2/3b2p1/8/2r1B1P1/5P2/P5K1/8 b - -,g8g7
8/4r2k/4r2p/p2p1pp1/Pp1P3q/1Pp1PPbP/4R3/2BR1Q1K b - -,h7g7
2r5/4q2k/1Q1b2pp/2rPp3/P3Pp2/3B1P1P/6P1/RR5K w - -,a4a5
r1bqrbk1/pp1n1p1p/2pp1np1/4p3/2PP2P1/2N1P1NP/PP3PB1/R1BQ1RK1 b - -,d7b6
2r2bk1/1b1nqp1p/5np1/1BP5/4r3/1N3N1P/1B3PP1/R2QR1K1 w - -,e1e4
rnbqr1k1/pp3nbp/2p3p1/3pp3/P3P3/BPNB1N1P/2P2PP1/R2Q1RK1 w - -,a1b1
rn1q1rk1/1b2bppp/4pn2/P2p4/8/NNB3P1/4PPBP/RQ3RK1 b - -,b8d7
7k/1b3rb1/pq1P3p/2p1pN2/1p2B3/P7/1PQ3PP/3R3K b - -,b7c8
r1n2rk1/2pqn1b1/p2pp1pp/Pp2Pp2/3PbP2/1PP2N1N/3QBBPP/R4RK1 b - -,c8a7
8/1R3k2/3Bp2p/2P1n3/2r5/5p1P/3K4/8 b - -,f7f6
8/pp5p/2p4r/3p1k2/3Pp3/1P2Pn2/P1R1KP1p/7R w - -,c2c1
2r1rn2/p2q1pkp/1pp1b1p1/5p2/PP1P4/2PBR3/2QN1PPP/R5K1 w - -,d2f3
5q2/1Q3rpk/1p5p/2p1B1b1/3r4/6P1/PP2RP1P/4R1K1 w - -,b7b6
8/1Q3bk1/5p1p/6pP/3r2P1/8/5K2/8 w - -,f2g3
8/p3k3/8/4p3/1PRbN3/7r/2K5/8 b - -,e7d7
8/p2k1p2/3P4/2R5/2p1r3/2P5/P4K1P/8 w - -,c5c7
r3r1k1/1p1n1ppp/2bpp3/p1n3B1/2P5/PPR1PP2/3N2PP/1K3B1R b - -,e8b8
r4rk1/1bq1bppp/pp2pn2/2pn1P2/P1N1N3/3P2P1/1PPB2BP/R2Q1RK1 b - -,e6f5
8/5k2/4p1r1/1p1p1p1r/p2P3p/P1P2R1P/1P2R1P1/5K2 w - -,f1f2
8/6k1/p2R4/P2Pp3/5p2/3b4/6P1/6K1 b - -,g7f7
r1b1k2r/6pp/p1pb1p2/3pq3/1P2n3/2P1P3/P2N1BPP/R2QKB1R w KQkq -,d2e4
4r1k1/1p3pp1/1qp1rn1p/p3b3/P7/1P1RP2P/1BQ1NPP1/3R2K1 b - -,f6d5
r1b1k2r/ppp1qppp/5n2/2p1p3/2BnP3/2PP1N2/PP3PPP/R1BQK2R b KQkq -,d4c6
rnb2rk1/p1p2ppp/1p1qp3/8/2BP4/4PN2/PP1Q1PPP/2R1K2R b K -,c8b7
5k2/3br2p/5Rp1/1B6/2p2p2/4b3/P5PP/4R2K b - -,f8g7
2r2rk1/pp1n1pbp/3q2p1/2pPp3/4P3/5BPP/PP2QP2/R1B2RK1 w - -,c1g5
r1bqr1k1/pp1n1ppp/3b1n2/3pp3/1P1P4/P4NP1/1B1NPPBP/R2Q1RK1 w - -,d4e5
5r2/8/2p1p3/2PpP2k/3P2Rp/1PK3pP/5rP1/3R4 b - -,f2g2
4r1k1/2qbrpp1/1ppp1n2/7p/1PPNPP2/3QR1PP/6B1/4R1K1 b - -,c6c5
8/6k1/ppN2bp1/7p/2P1P1n1/1R6/P7/6K1 b - -,f6g5
rnb1k2r/pp2qppp/2pbpn2/3p4/2P5/1PN1PN2/PB1PBPPP/R2QK2R b KQkq -,b8d7
r1qn1rnk/pppb2b1/3p2pp/1P1Npp2/2P4P/1Q1PPNP1/P2B1PB1/1R3RK1 b - -,d8e6
2r1k2r/1p1bbp2/1q1p1n1p/pB2p1p1/P3P3/BP2N3/4QPPP/1R3RK1 b k -,d7b5
r2qr1k1/pb3ppp/1p1p1n2/2nP4/2p1PP2/P1N5/1PB3PP/R1BQ1RK1 w - -,d1f3
3r2k1/1b1r1pp1/p4qQ1/np5R/3pP3/1B1P4/PPPN2P1/R6K w - -,g6h7
r5k1/pp2ppbp/4b1p1/2q5/4B3/5P2/PPP3PP/1KBQ3R b - -,c5c4
8/8/p5k1/r7/5Rp1/8/6PK/8 b - -,g6g5
8/6k1/1r6/n5P1/1pb1N2P/4P3/1R4BK/8 b - -,b4b3
r4rk1/1p1n1ppp/p1b1p3/P1bpP3/1q3P2/2N1B3/1PPQB1PP/R4R1K w - -,c3a4
rnbqkb1r/p4ppp/2p2n2/3Pp3/1p2P3/1BN5/PP3PPP/R1BQK1NR w KQkq -,c3a4
r2q1rk1/pb1n1pp1/1p1p1b1p/P1pPp3/2B1P3/2N2N2/RPP2PPP/3QR1K1 b - -,f6e7
rnbqr1k1/1p3pbp/p2p1np1/2pp4/P1P5/2N3P1/1P1NPPBP/R1BQ1RK1 w - -,c4d5
rn1q1rk1/pp2ppb1/4b2p/3pP1p1/3P4/2PBBN1P/P4PP1/R2Q1RK1 b - -,f7f5
5r1k/1b4pp/1p2n2r/3p1p1q/3N4/4PPB1/5QPP/3RR2K b - -,e6c5
r1bq1rk1/5ppp/p2b1n2/1pnPp3/4P3/1P3N2/2B1NPPP/R1BQ1RK1 w - -,e2g3
1r2n3/8/p2P2k1/1p1Pp2p/4Pp1K/2N2P1B/P7/8 w - -,h3f5
2r3k1/1b3qpp/p3R3/3p4/3N1r2/R1PQ4/P5PP/6K1 w - -,e6e1
rnbqk2r/ppp2p2/8/3p2pp/1b1Pn3/2N1PPB1/PPQ3PP/R3KBNR b KQkq -,e4g3
3r4/p4pkp/2nq2p1/4p3/1pB5/P7/1PP1QPPP/1K2R3 w - -,a3b4
r4rk1/1pp2pp1/2nqb2p/1Bb1p3/p3P3/2P2NP1/PP1NQPP1/R3K2R b KQ -,c6e7
8/7p/4pbp1/1k3p1P/p4PP1/6K1/8/2N5 b - -,b5c4
8/8/3b4/8/4k3/8/1pK5/8 w - -,c2b2
r1b1k2r/1pq1bppp/p1n2B2/3p4/2pP4/2P2N2/PPB2PPP/RN1QR1K1 b kq -,g7f6
r2rn1k1/2n2pbp/3p2p1/2pP4/1QN2B2/2N2BPb/PP3P1P/R3R1K1 b - -,c5b4
8/5k2/7K/4B1P1/5P1P/8/4r3/8 w - -,h4h5
4r3/2p2kpp/3p1p2/2p5/prP1PP2/1P1K1P2/P6P/1R1R4 b - -,e8a8
2r1b1k1/p4p2/1pn1p1pp/2q5/5Q2/2P2NP1/PPBR1PP1/6K1 b - -,g8g7
4r1k1/p1p2rb1/1pbp3p/4n1p1/2P5/1P3PB1/P1NQ3P/2RR1BK1 b - -,e5f3
2rqk2r/p1pnbppp/1p1p1n2/4p3/2PP1P2/2N3P1/PP3PBP/R1BQ1RK1 b k -,e5d4
8/8/R7/P1p2pk1/2r5/8/5K2/8 w - -,a6c6
4r1k1/pb3p1p/1p4p1/2q5/1P1RP3/4QN1P/P5P1/6K1 b - -,c5c2
4r2k/7p/2R1B1p1/3pbpB1/1Pn5/6P1/4PP1P/6K1 w - -,e6d5
r1bqk2r/pp2bpp1/2np1n1p/2p1p3/2B1P3/1P1P1N1P/P1P2PP1/RNBQ1RK1 w kq -,b1c3
r5k1/pp3pbp/2pQ2p1/5b2/P1B1r2q/4B2P/1PP2PP1/3R1RK1 w - -,b2b3
r2R2k1/5p2/1pb1q1p1/2b5/p3p2p/P1B1P1P1/1PQ2PBP/2R3K1 b - -,a8d8
4rbk1/p2n1b2/2p2npp/1p2p3/4P1P1/PP3B2/2P1N1KP/2BR1N2 b - -,f7e6
2rr1k2/pp3ppp/4pn2/3bN3/2B5/2R2P2/PP4PP/3RK3 b - -,f6d7
r2r2k1/pb1qbppp/1p2p3/2p5/3PP3/2P1B1P1/P4PBP/R2QR1K1 b - -,c5d4
8/8/6K1/2k3NP/8/6P1/8/8 b - -,c5d6
8/8/8/3Q4/p7/1p4K1/k7/8 w - -,g3f3
2r1r1k1/5p1p/ppqp1npb/4p3/1PP1P3/P4N2/1BR1RPPP/4Q1K1 b - -,f6h5
rn3rk1/pp3ppp/2p1p3/8/Pb1Pq3/4PN2/1P2QPPP/R1BR2K1 b - -,b8d7
2r5/p2q2k1/4p1p1/2p1P1p1/P3QnP1/1P4KP/2R3B1/8 b - -,c8b8
8/8/4kbp1/1bp2p1p/5P1P/5KP1/2NN4/8 b - -,b5d3:f6c3
8/6p1/1k1p4/4pP1p/1PP4P/4K3/8/8 b - -,b6c7
rnbqkbnr/1p1p1ppp/p3p3/8/3N4/2N5/PPP1PPPP/R1BQKB1R w KQkq -,g2g3
r1bqkb1r/3n1ppp/p2ppn2/8/NpBNP3/4BP2/PPPQ2PP/R3K2R b KQkq -,d7e5
1r4k1/p4p1p/B5pP/n1q1p3/6P1/bPPQ1P2/1BP5/2KR4 b - -,c5f8
rnbqk2r/pp1nppbp/6p1/2P5/5P2/2N1P3/PP1B2PP/R2QKBNR w KQkq -,c3e4
5bk1/1n3p1p/N3p1p1/8/8/3P2PP/4PP2/2R3K1 w - -,c1c7
2R5/p1p2rk1/1pn1p3/2p1P1P1/7P/P7/1P4PK/8 w - -,h2g3
8/1r3k2/2qP2p1/2P1Qbnp/5R2/7P/5PP1/4R1K1 b - -,f7g8
rr3k2/5p2/3p1Pp1/p1pPP2p/6N1/8/5B1P/R6K w - h6,g4e3
7k/1pp5/p4p2/4pPp1/2PpP1b1/1N1P4/1P6/4K3 b - -,b7b6
r2qk3/4pp1Q/1n1p1B2/2pb2P1/8/1P4P1/P7/R3R1K1 b - -,d5e6
r3kbr1/3b4/p1q3pp/3n1p2/p1pNpPP1/2P1B3/PP3NP1/R2QR1K1 b q -,c6d6
r1bqkb1r/pp3ppp/2n1pn2/3p4/3P1B2/2P2N2/PP1N1PPP/R2QKB1R b KQkq -,f8e7:f8d6
6k1/r1r1qp2/p1P3p1/7p/1PpN3P/4P1P1/R4P2/5QK1 w - -,f1c4
rkbq1r2/pp4Np/1n6/1NQ5/3pPP2/4n3/PPP3PP/2KR3R b - -,c8g4
8/pp2rrk1/2pnn1p1/2p1P3/2P2PBp/1P5P/P3N3/3R2K1 w - -,e5d6
5rk1/q5bp/3pRp2/1p1P2p1/1Pn1NP1B/7P/4Q1PK/8 w - -,h4g3
2kr1b1r/1ppq2pp/p3pnb1/n7/3PpBP1/2N4P/PPP4Q/2KR1BNR w - -,g1e2
8/3B4/1p6/8/P2n4/1k2p3/8/4K3 w - -,d7e8
2r5/1pr1qpk1/p1bp1b1p/P2BpP1Q/2PpN3/3P2PP/1P3R1K/R7 w - -,h3h4
5rk1/2q1bppp/3rpn2/p1p5/Pn6/1PQ1PN2/1B1N1PPP/R2R2K1 w - -,d2c4
3r4/5P2/8/p1k1P3/P3BK2/2p3P1/7P/8 w - -,f4f5
r2q1rk1/1bp1bppp/p2p1n2/8/2PN1P2/1PN5/PB4PP/R2Q1RK1 b - -,d8d7
2rqrnk1/1p2bppp/p2pbn2/4p3/P3P3/2N1NB2/1PP2PPP/R1BQR1K1 b - -,f8g6
8/p4p1k/6qp/6N1/2b1Q3/8/r5P1/5RK1 b - -,h6g5
b2q1rk1/n2nbppp/p2p4/3p2P1/Q3P2P/1N3P2/1PP1B3/1K1R3R w - -,e4d5
3rk2r/pp1qb1pp/2n1bp2/2pn4/Q7/2NPN1P1/PP1BP1BP/R4RK1 b k -,d5c3
7R/5p2/2b1k2P/2P5/5B2/7r/3K4/8 w - -,h8c8
3r2k1/5pb1/pp2p1p1/2p1PnP1/P3qPQ1/3p4/1PPB1K2/2R2R2 w - -,g4f3
br4k1/2qnb1pp/3p4/1Q1Ppp2/1p1N4/6P1/1PP2PBP/2B1R1K1 w - -,b5e2
2r2rk1/p1q4p/1ppbbppn/8/2P1PPP1/2B4P/P3NQB1/R4R1K b - -,e6c4
1r1r2k1/2b3p1/1p3PQp/p1pP4/P1P1p3/8/1q1N2BP/5RK1 b - -,d8d7
5rk1/1r2ppbp/3p2p1/2p5/b7/P2R1NNP/1P3PP1/2B3K1 w - -,g1h2
r3kb1r/pb1p1ppp/1q2pn2/2p5/2P5/1PN3P1/P3PPBP/R1BQ1RK1 b kq -,b7g2
r1bq1rk1/1p1n1pbp/1Pp2np1/p1Pp4/3Pp2P/2N1P3/PBQNBPP1/2KR3R b - h3,h7h5
r5k1/pp4p1/2n1Nq1p/2P2p2/4p3/6P1/PQ2PPBP/1R1r2K1 w - -,g2f1
4r3/1pp3k1/6pp/p1pP1q2/P1PbN3/1PQ5/6PP/4R2K w - -,c3d3
3rkr2/5p2/N3bQpp/Pp1qP3/1Pp2PP1/7P/4R3/5RK1 b - -,d5d4
1n1r3k/3b2pp/5p2/2RB1Q2/1qpP4/4N1P1/4PP1P/6K1 w - -,f5h5
8/8/p5k1/P4p2/2r2K2/8/7R/8 w - -,f4f3
4r3/1Bp3kp/6p1/1Pp2b2/p1P2P2/3r1R2/P3q2P/5RQK b - -,d3f3
r3r1k1/p7/b4ppQ/q1Bpp3/3P3P/6P1/5P1K/4R3 b - -,a5c7
r4rk1/pp1b2q1/3p3b/3P4/4pP2/4Q3/PP1NN1P1/R3R1K1 b - -,a8e8
r1b4k/1p2q1p1/2p2p1p/2N1rP2/1P2P3/8/2Q3PP/4RRK1 w - -,g2g4
1r4k1/3n1ppp/2p1P3/p2pP3/3q4/P5P1/4Q1BP/4R2K b - -,f7e6
r2qr1k1/1p2ppb1/p4npp/3P1b2/P4B2/2N2N2/1P2QPPP/3R1RK1 w - -,f4e5
R7/8/4k3/1p1r1pp1/3Pp1p1/1P1nK1P1/P2B3P/8 b - -,d5d7
4b3/p1p4p/1p3k2/6p1/3KB3/8/PPP3PP/8 b - -,h7h5
8/8/1p4Rp/k1p1N1p1/7r/P4K2/1P6/8 w - -,f3e3
r1b2rk1/1pq3bp/p1p3p1/4pp2/PnPPP3/N1B2B1P/6P1/R2Q1RK1 b - d3,a6a5
8/8/R4pk1/5p1P/5K2/2r5/8/8 b - -,g6h5
5r1k/2p3bp/1p1p2p1/rP1Ppq2/P3Bn2/R7/5PPP/2BQR1K1 b - -,f5f7
5k2/8/3K4/2P1pP2/1b5p/pB5P/P7/8 w - -,f5f6
3rn3/1p4pk/p1p1QpNp/2P5/3q4/P5RP/1P3PP1/6K1 w - -,g6e7
2kr4/p2nqp2/4p1pr/2ppP1NP/1pnP1PQ1/6NR/PPP5/2K4R w - -,g4e2
r3k3/1pq1pp2/p2p1nr1/3Nn3/PPb1P1P1/7P/2PQ2B1/R3K1BR b KQq -,f6d5
