8/2R2p1p/4p1k1/Nn2P3/4nP2/4K3/7P/8 w - -,c7b7
6k1/5p2/3bq1p1/1p6/2p1B1P1/2P2Q1P/1P3P2/7K b - -,e6e5
r1bq1rk1/pp3pbp/n1pp1np1/3Pp3/2P1P3/P1N1BN1P/1P3PP1/R2QKB1R b KQ -,f6h5
4qrn1/1p2pp1k/p1b3p1/4P2p/3R4/1PN1Q1NP/1PP3P1/6K1 b - -,e8c8
8/1pr5/pR6/4k3/P1K5/2N5/8/8 w - -,c4b4
3k3R/p1p3p1/1p1r1p2/3p1n2/3P4/P1P1NP2/1P2NKP1/1b6 b - -,d8e7
r1bqkbnr/pp1p1ppp/2n1p3/2p5/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,a2a3:f2f4
r2q1rk1/pp3pbp/2np2n1/2p2b2/4PB2/2NP4/PPP3BP/R2Q1RK1 w - -,e4f5
r3r3/2qk1pp1/2p1pn1p/p6P/1p1Pb1P1/P1B4R/BPP1QP2/1K1R4 w - -,a3b4
rn1qkb1r/pbpp1ppp/1p2pn2/1P6/8/4PN2/PBPP1PPP/RN1QKB1R b KQkq -,f8e7
5r2/3kb3/R2p4/4p3/2P1P2p/P1BK4/7P/8 w - -,c4c5
r4k2/5Bpp/8/p1p1Nb2/q4P1Q/P3p3/2P1NnP1/1R4K1 w - -,b1b7
r2qbrk1/pp2b1pp/2p1p3/3p4/2PP1B2/5BP1/PPQ1P2P/R4RK1 b - -,e8g6
r2q1rk1/pp2ppbp/2n2np1/3p4/3P1B2/2NB1Q1P/PPP2PP1/R4RK1 w - -,c3e2
r1b1k2r/pp2qp2/1bp1pn1p/4N1p1/2B5/3R2B1/P1P2PPP/3Q1RK1 b kq -,f6e4
3r1rk1/pp5p/3p1qpQ/2n1p3/2P5/3bNP2/PP2N1PP/3RR1K1 w - -,e3g4
R7/2r1kp2/6p1/1B5p/Pb2PP2/7P/4K3/8 w - -,a4a5
4r1k1/8/3p4/3P3p/R1P1P2P/1P4p1/1r4P1/5RK1 w - -,a4a1
4rn2/1p3k1p/2p3p1/8/2nrP3/5P1B/5K2/2B3RR b - -,e8a8
1r2r3/4ppk1/3p2B1/2qb3P/6Q1/2P5/6P1/2R1R2K b - -,g7h8
1r6/8/4k3/2B2ppp/3PP3/1R6/1K4PP/8 b - -,b8b3
5rk1/2n2p1p/6p1/3Pp1b1/4P1P1/Q6P/2P5/7K w - -,a3d6
8/5p2/4k1p1/1R5p/1p4rP/1P5K/2P5/8 b - -,f7f5
6k1/pp1b1ppp/1npn4/3p4/3P1N2/PPNB1P2/2P2KPP/8 w - -,g2g4
3Nr1k1/pp4rb/3p1Qp1/2p1p3/4P3/2PP4/1PB2PP1/2K5 b - -,e8f8
2r2rk1/1bq1bppp/p3p3/1p1pP3/1P1BnP2/P1PBQ3/3N2PP/R4RK1 b - -,c7c6
6k1/4np1p/4p1p1/N3n3/1p1RP3/rP3P2/5P1P/5BK1 w - -,d4d8
8/1kp1R3/8/PP6/3P1Kp1/2P2bP1/5r2/4R3 b - -,f3c6
1r1q2k1/3br2p/pp3Qp1/2p1p3/P1P1P3/2NB4/1P4PP/R4RK1 w - -,c3d5
r2nk2r/ppp1q3/3p4/3Bp1b1/1P1PP1b1/1NP2pPp/P1QN1K2/R6R b kq -,c7c6
r1Nr2k1/1p4bp/p4pp1/5b2/P7/2PpB2P/1P3PP1/R2R2K1 w - -,c8e7
r2q1rk1/4npbp/4p1p1/1b2p3/pP1p4/P2P2P1/4NPBP/1RBQ1RK1 w - -,g2a8
4r1k1/bR3p1p/2b3p1/4B3/P7/1P6/6PP/R6K w - -,b7a7
4r1k1/7p/3q1BpP/1p1r4/1Pp2PP1/P2n1Q2/6K1/R4R2 b - -,d6e6
5n2/6bk/p1n1p1pp/1q1pP2r/1p1P1P2/1P1QBN1P/P4N1K/6R1 b - -,b5b7
1r6/6kp/p2pn1p1/P1pN4/1P6/8/5PPP/1R4K1 w - -,d5b6
5brr/2nn1k1p/1pq1p1p1/p2pPp1P/P1pP1PP1/2P1B3/1PB1QK2/R4N1R w - -,f1g3
r2q1bk1/5ppp/pn1p4/2pPr1P1/1p3Q2/6R1/PPP2P1P/1KBR1B2 b - -,b6d5
r2q1r2/1p1nppkp/2bp2p1/p7/2P1P3/1PNB4/P2Q1PPP/4RRK1 b - -,d7c5
r3kbnr/pp2pppp/2n5/3q4/3P4/5N2/PP2BPPP/RbBQK2R w KQkq -,a1b1
r2qk2r/pbpnnpbp/1p2p1p1/3pP3/3P4/3B4/PPPNNPPP/R1BQR1K1 w kq -,d2f3
r6k/pppb2bp/3n1q2/2pP4/2P1B3/5N1P/PPQ2P2/2KR2R1 w - -,g1g7
8/6p1/7p/p1K2P1P/k7/4P3/5P2/8 w - -,e3e4
4rbk1/1b2qp1p/pn3np1/2Np4/8/1PN1P1P1/P1Q2PBP/2RR2K1 b - -,e7c5
4r3/1pr2pbk/p7/3B4/P1PP2Pp/1Q2P1q1/1P3nP1/4RRK1 b - -,f2g4
4k3/nr4p1/3Bpb2/1p3P1p/5P1P/1P6/P1K1N1P1/3R4 b - -,e6f5
rnbq1rk1/ppp1bppp/4pn2/3p4/3P4/3BPN2/PPPN1PPP/R1BQK2R w KQ -,e1g1
3rr3/4n1bk/1p1nq1pp/pPpppp2/P6P/2BPPNPB/1P2QP2/1R2R1K1 b - -,e5e4
r4rk1/p4p1p/1qpb1np1/1n1p4/Q1pP2P1/2N1P1BP/PP1K1PB1/3R3R w - -,g3d6
r1b2rk1/1p1nppbp/1p4p1/n1p1N3/3P4/N1P1P1P1/PB3PBP/R4RK1 w - -,e5d3
8/6R1/8/2rp4/3kp3/6P1/4bPBK/8 b - -,d4d3
r1bqr1k1/1p1n2bp/2p3p1/p3pp2/1nP5/BPN2NP1/P3PPBP/R1QR2K1 b - -,e5e4
8/1n5p/4pk2/5pp1/3K2P1/3N1P1P/B7/8 b - -,b7d6
r3k2r/p1qnbpp1/2ppbn1p/4p3/3PP3/P1NNBB2/2P2PPP/R2Q1RK1 b kq -,e8g8
7q/7P/8/pP1k1p2/7R/5KP1/5P2/8 b - -,d5c5
1r1q1rk1/3bppbp/ppnn2p1/8/P2p4/N1P1BNPP/1P3PB1/R2QR1K1 w - -,f3d4
3r1r2/1pp1k1pp/p1n1pn2/4p3/1b2P1PP/P1N1BP2/1PP1N3/2KR3R b - -,d8d1
r2r3k/ppn1qn1p/3p1p1P/2pPpP2/2P4Q/2PB1P2/P2B2P1/4RRK1 w - -,f3f4
r2r2k1/pp2np1p/4b1p1/2qP4/8/2N2B2/PP1Q1PPP/3R1RK1 b - -,g8g7
r3r1k1/pb3p1N/1pnb4/4p3/3P3P/2PB4/P4PP1/R3R1K1 w - -,h7f6
r1bqk2r/1p2bppp/p1n1pn2/3p4/2PP4/1PN2N2/PB2BPPP/R2Q1RK1 b kq -,e8g8
6k1/7p/2b1p3/2qpB3/8/R5PP/1nr2P2/Q4BK1 w - -,a3e3
6k1/6b1/p7/2p2Q2/5PP1/4NK2/7P/2q5 w - -,f5d5:f5e6
6k1/2p3p1/3p4/p3p1p1/P1P5/1P2KPP1/7r/3R4 w - -,e3e4
r5k1/1qp3p1/5pp1/3p4/P3p3/4P2P/4QPP1/3RK3 w - -,e2b5
2r3k1/p4ppp/1pn1p3/3n4/2b5/PN3P2/1BPR2PP/3R2K1 b - -,a7a5
r3k2r/1p1b1pp1/n1pq4/p2p1P2/3P1BPb/5B1P/PPQ1N1K1/3R3R b kq -,d6e7
r3r1k1/p1q4p/1p2pbp1/2p1N3/2P1Q3/1P6/PBB2PPP/4R1K1 b - -,a8d8
8/p4pk1/1p4p1/1n6/4BpPP/P1R5/5P2/6K1 b - -,b5c3
5r1k/6b1/4Q1pp/2P1p3/1P1pB2P/6PK/5q2/3R4 b - -,f2f6
rn1qk2r/ppp1bppp/4pn2/3p1b2/3P1B2/4PN2/PPP1BPPP/RN1QK2R w KQkq -,e1g1:h2h3
3b4/8/1p4k1/p2NKp2/P1P5/7P/8/8 w - f6,d5f4
6k1/1pq1ppb1/3pb1p1/1P5p/2P1PP2/3Q4/4BBPP/6K1 b - -,e6g4
1r2n1k1/3bqrbp/3p1pp1/1pnPp1P1/p3P2P/P3BP2/NP1NB1K1/2R3QR w - -,g2f2
r3qkn1/p1pb1p2/2p1pPp1/3pP3/3P1N2/5Q2/PPP2P2/1K4RR w - -,h1h8
1rbqr3/2p2pbk/B2p2pp/3Pp3/np2P2P/4BNN1/PP1Q1PP1/R1R3K1 b - -,c8a6
6k1/5pbp/r5p1/N2nP3/2N5/2P3PP/5P2/2R3K1 b - -,f7f6
3r3k/1p2b1p1/p1n4p/6q1/4BR2/3R2PQ/PP5K/8 b - -,d8d3
r1b1kn1r/ppq1bppp/2pp1n2/4p3/1PPP4/2N2NP1/P3PPBP/R1BQ1RK1 w kq -,c1b2
4rr1k/1p1R1Nb1/2p4p/1p2P2p/8/4B2P/PP3P2/5KR1 b - -,h8h7
5nk1/p4pp1/1pr4p/5R2/1PP4P/P3r3/1B4P1/5RK1 w - -,f5f7
4r3/4P1pk/7p/2B1p3/2pp4/P2b3P/3R2P1/6K1 b - -,c4c3
2rq1rk1/p4pbp/bpn2pp1/2pp4/3P4/1PP1PNP1/P4PBP/RN1QR1K1 w - -,b1a3
2r1rbk1/1p1qnppp/p2p1n2/4p3/P3P3/1PNQN1Pb/2P2PBP/R1B1R1K1 w - -,g2h1
rnbq1rk1/pp2nppp/4p3/2ppP3/3P4/6P1/PPP1NPBP/RN1Q1RK1 b - -,b8c6
r4rk1/pp1nppb1/3p2bp/2p3p1/1nPPN3/NP2PP1P/1P2B1P1/R3K1BR w KQ -,g1f2
8/ppk3p1/5rn1/4p3/2P1N3/1P4R1/P7/1K6 b - -,f6f4
r2r2k1/1p3ppp/2p1q3/p2n4/2NPp3/P3P3/1PQ2PPP/2R2RK1 w - -,h2h3
2r1r3/pbbq1pk1/Ppp2np1/3p2p1/1P1P2P1/3BPP1P/3BN1K1/1R1Q3R b - -,b7a8
2q2r2/2p2pk1/p1pp2pp/4r3/4P1P1/2P3P1/PP1Q1P2/3RR1K1 w - -,f2f3
8/6kp/4b1p1/8/1KP1BP2/5P2/7P/8 b - -,g7h6
Q7/5ppk/p4b2/4p2p/1P6/P1q2N1P/5PP1/6K1 w - -,a8a6
Q7/pp3k2/3pN3/2pP1P1p/6K1/4q2R/PP4P1/8 w - h6,g4h5
6k1/5pb1/7p/1pP1P3/5p2/q1P2N1P/2Q2PPK/8 b - -,a3c5
8/2k2p2/ppnbp1p1/7p/PPK2P2/2P1B1P1/6BP/8 b - -,d6e7
r4rk1/1p4p1/pq1pbb2/7p/2PNPPn1/2N3B1/PP2B2P/R2Q1R1K b - -,f6d4
6k1/5p2/7p/1pqp4/5n2/3PQ2b/P5NP/6KB b - -,c5e3
rnbqk2r/pp2ppbp/3p1np1/2pP4/4P3/2BB4/PPP2PPP/RN1QK1NR b KQkq -,e8g8
1rbq1rk1/6pp/4pn2/p2pNP2/Pn6/3P2P1/3N1PBP/2RQ1RK1 b - -,e6f5
7R/2p2kp1/2P5/1P3pP1/5P2/p1r5/4K3/8 w - -,h8c8
8/8/1p1kp1p1/p1p2p1p/P2r1P1P/1PK3P1/4R3/8 b - -,d6e7
r4rk1/2p2pbp/n2p1np1/1q1Pp3/1P2P3/4BP2/2B1N1PP/R2Q1RK1 w - -,c2a4
1rb2rk1/p1N1p1bp/1pn3p1/4Pn2/2B5/5N1P/PPP2BP1/3RK2R b K -,g8h8
r6r/3kbppp/p1n5/1pn5/3p1P2/N5P1/PP1P2BP/1RB2RK1 b - -,a8d8
r4rk1/p4ppp/5n2/3ppq2/1b6/2N5/PPPBQPPP/R4RK1 w - -,a2a3
3r1rk1/ppp1qppp/5b2/n2P1b2/2P5/P3B3/3NBPPP/2RQ1RK1 w - -,d1a4
1rq4k/p1p1R1pp/n2p1r2/5p2/3P1B1P/P2Q4/5PP1/4R1K1 b - h3,c8b7
2r2rk1/1p4bp/pqnp2p1/P3p3/3pPP2/1N4B1/1PPQ2PP/R3R1K1 b - -,b6b5
8/8/7K/R2bk3/8/8/1r6/8 b - -,b2g2
r2q1rk1/pp3pbp/4b1pB/3p4/8/1N3P2/PPPQ2PP/2KR3R w - -,h2h4
r4q1r/pp3pp1/2pk2p1/5b2/2B5/2P1BQ2/PP3PPP/2KR4 b - -,d6c7
6k1/7p/p2p2p1/3P4/5PP1/2R2K2/1r6/8 b - -,b2b5
r1bqk1nr/pppn1pbp/3p2p1/3Pp3/2P1P3/2N5/PP2NPPP/R1BQKB1R b KQkq -,a7a5
r1bqk2r/3nppbp/p1p2np1/1p1p4/2PP4/1PN1PN2/P1Q1BPPP/R1B1K2R w KQkq -,e1g1
rnbq1rk1/pp3pp1/4pn1p/2b5/2p2B2/P1N1PN2/1PQ2PPP/R3KB1R w KQ -,f1c4
2k3r1/1p3R2/p1n5/2B1pn2/4Np2/2Pr2P1/PP5P/5RK1 b - -,f5e3
r3k2r/2pq1p2/1p2p1p1/p2pPnNp/P2P4/1PPQ4/5PPP/3RR1K1 b kq -,c7c6
6r1/1pr1pq2/p2pRbkp/P2P2Pn/2Bp4/1P1P1Q2/2PB4/5RK1 b - -,h6g5
4r2k/pp1q4/1np2p1P/5p1R/3P2p1/1Q4P1/PP2rPBK/3R4 w - -,d1f1
4b2r/2n1q1k1/np1p1p1R/p1pPpPp1/P1P1P1N1/1P3BP1/3QNK2/8 w - -,h6f6
r1bq1rk1/pp1nbppp/4pn2/3pN3/8/2N1B1P1/PPP1PPBP/R2Q1RK1 w - -,e3d4
5rk1/p3q1pp/3p4/2p1nP1Q/1p6/3P3P/PPP3B1/5R1K b - -,f8f6
2r1q2r/pkn1b1p1/4p2p/3pP3/1ppP2PN/5RQ1/PPP1N2P/1K3R2 b - -,g7g5
5rk1/1ppq1rb1/p2p2pp/3Pp1n1/1P2P1PN/P4P1P/1BQ3K1/3R1R2 b - -,g8h7
2r3k1/4bpp1/p3p2p/4Q3/2P3P1/1N1KNb1P/P2R1P2/1q6 w - -,e3c2
8/ppk5/5p1p/P3r3/3R1n2/1pP2B1P/1P3KP1/8 b - -,f4e6
5k2/2p1bb2/p3pp1p/NqP5/1PQ2P2/2B4P/P5PK/8 w - -,c4e4
r4rk1/1p2ppbp/3p1np1/3b2B1/1qP1P3/1P6/2Q1BPPP/1R3RK1 w - -,e4d5
r1b1kb1r/1p1n1p2/1qn1p1pp/p1ppP3/Q2P3P/P1PB1N2/1P1N1PP1/R1B1K2R b KQkq -,f8g7
rnbq1rk1/1p2ppbp/p1pp1np1/8/2PPP3/2NB3P/PP2NPP1/R1BQ1RK1 b - -,b7b5
r2r4/5pkp/2Bpbqp1/1p6/1PPR4/1Q2P1P1/5P1P/3R2K1 b - -,e6c4
r2q1rk1/pp2ppbp/2pp2p1/3N1b2/1PN5/6P1/P3PPBP/R1BQ1RK1 b - -,g7a1
2r2rk1/pb1nqpp1/1p1ppn1p/2p5/2PP3B/P1QBPP2/1P2N1PP/R4RK1 w - -,a1c1
1rnr4/1b1q1pbk/1pn1p1pp/pNp1P3/2Pp3P/PQ1P1NP1/1P1B1PB1/3RR1K1 w - -,d2f4
r1bqk2r/pp2ppbp/2np2p1/3NPn2/1PBP2P1/5N2/P4P1P/R1BQ1RK1 b kq g3,c6d4
rnbqk2r/ppp1bppp/5n2/4p3/4P3/6P1/PPPN1PBP/R1BQK1NR b KQkq -,e8g8
8/1p4pk/1p6/1R6/3P4/r6P/5PP1/5K2 b - -,a3a5
r4k1r/1b1n4/1p1p1q1p/p3ppp1/2Pp4/P3P1P1/1P1Q1PP1/N1KR1B1R w - -,e3d4
2rr3k/pp1bppbp/2np4/P4P2/5q2/1NP1N2R/1P2B1PP/R2Q2K1 w - -,e2d3
8/8/7R/5k1p/p3p2P/r4PK1/8/8 w - -,h6h5
2r1r1k1/p2n1pp1/b3pn1p/q1P5/1P1P4/5BB1/3N1PPP/2RQR1K1 b - -,a5b4
6k1/2p3p1/3p1p1p/8/3P2QP/6K1/5RP1/4q2r b - -,e1e3
6R1/1B1K1p2/p4k2/8/6p1/7p/P7/8 b - -,f6f5
8/2q3k1/4npp1/1p2p3/pP1pP2P/3P4/1P1Q1PNK/8 b - -,c7c8
2k3r1/R7/2PK4/8/8/8/8/8 b - -,g8g6
rr4k1/1nqbbppp/3p1n2/pp1Pp3/1Pp1P3/2P2N1P/P1B2PP1/1RBQRNK1 w - -,a2a3
r2qk2r/p1p1bpp1/bp1Pp3/n6p/2PP4/2PB1PN1/P3Q1PP/R1B1K2R b KQkq -,c7d6
1r6/1b1nkp2/4p3/1N2n2p/P3P3/BP3p2/2P3PP/2KR4 b - -,e7f6
2r2rk1/p3ppbp/2B3p1/5b2/8/4B3/PPP2PPP/3R1R1K w - -,c6d7
8/8/6Np/p3k3/1p1p4/2rBn1PP/PKP5/8 b - -,e5f6
8/pk4p1/1bp1p1p1/3pPpP1/3P1P2/3KB2P/PP6/8 b - -,b7a6
4rr2/2qn2bk/2ppbppn/p3p2p/P1PP1P1N/R3P1PP/1BN3BK/3Q1R2 w - -,d1d3
4rrk1/2q2pbp/1p1p1np1/pPn5/2Q1PP2/2N1B1P1/P5BP/2R2RK1 b - -,f6g4
r1b2rk1/p1qnppbp/1p4p1/2p5/3PP3/1QP1BN2/P3BPPP/3R1RK1 w - -,d4d5
r2r2k1/1b2qp1p/pp2p3/2bnB1P1/P3N3/1Q2P3/1P2B1P1/2RR3K b - -,f7f5
4k2r/3bbppp/3p4/rp1P4/3p4/N2B4/PP3PPP/R3K2R w KQk -,a3c2
8/3P1k2/4p1p1/6Pp/4K2P/8/p4r2/R7 b - -,f7e7
r1b1k1nr/pppp1ppp/2n2q2/1Nb5/4P3/8/PPP2PPP/RNBQKB1R w KQkq -,d1e2:d1f3
2rq1rk1/pp2bppp/2n1bn2/2p3B1/3p4/3P1NP1/PP1NPPBP/R2Q1RK1 w - -,a2a3
6k1/pp3p1p/2n3p1/q3P3/2Q2P2/P3P3/3rBKPP/R7 b - -,a5b6
4K1N1/8/4k2r/8/8/8/8/8 b - -,h6h7
2rq1rk1/pp3ppp/3bbn2/3p4/8/1P1Q1NP1/P3PPBP/R1BR2K1 b - -,d8b6
1rr2k2/2nbppbp/3p2pB/3P4/1Pp1P3/2N2PP1/3q2BP/1R3R1K w - -,h6d2
2r1r1k1/1R3p1n/p2p4/P3npPq/3N1B2/6Q1/2P3K1/4R3 b - -,e5g6
r2qkb1r/p1p1nppp/np2p3/3pP3/3P4/5N2/PPP2PPP/RNBQK2R w KQkq -,e1g1
7r/p4rp1/3b1p2/1N1pk1Pp/1P6/2P1P3/P4K1P/R2R4 w - -,b5d6
r1b1rbk1/7p/2p3pn/p1N1pp2/N1P1P3/P7/1P2BPPP/2RR2K1 b - -,a8b8
2rq3k/pb4bp/1pnp1r2/1Nn1pp2/2P2P2/1P2BB2/P1NQ2PP/2R2RK1 w - -,c1d1
2r1n1k1/1p3pp1/2q1p3/p5P1/P1PQ3P/1KNR4/1P6/8 b - -,e6e5
8/8/2k5/p4r2/2K5/2P2p2/5R2/8 w - -,c4d4
2r4k/R3PBp1/1p3bPp/pb1p3K/6P1/B7/P7/8 w - -,f7e6
r2q1rk1/1p1bp1bp/p2p1np1/n1pP1p2/2P5/P1N3P1/1P1NPPBP/1RBQ1RK1 w - -,b2b3
rn1q1rk1/pp2bppp/3p1n2/3Pp3/2N1P1b1/B2B1N2/2P2PPP/R2Q1RK1 w - -,c4e3
8/5p1p/3kpp2/1N1n4/2B5/8/1r4PP/3R2K1 b - -,d6e5
2b1r1k1/7p/p5p1/B1pPp1Q1/2P1P3/3B3q/8/1R4K1 b - -,h3d3
8/5R2/6pk/1PpB4/8/2N5/1q3pK1/8 w - -,f7f3
r2qkb1r/1p1n1ppp/p3pn2/3p4/3P2b1/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,c1d2
3r3r/pp2pk1p/2n1b1p1/5p2/8/2N3P1/PP2PPBP/R2R2K1 b - -,d8d1
r1bq1rk1/ppp2pp1/7p/1N6/3pP1n1/1P4Q1/1PP2PPP/2KR1B1R b - -,c7c5
rn2kb1r/pp2nppp/1q1Pp3/2p1P3/2p5/5N2/PP3PPP/RNBQK2R b KQkq -,e7g6
4R3/1p3r1p/p5pP/3k1p2/4p3/P5P1/1P3P2/6K1 w - -,e8g8
rn1qk2r/p1p1ppbp/1p3np1/3bN3/Q2P4/6P1/PP2PPBP/RNB1K2R b KQkq -,c7c6
r2qk3/pp3p1p/2p5/3nQN2/3Pp3/2NbP2P/PP3Pr1/2KR3R b q -,e8f8
r2qnrk1/4b2p/bp2p1p1/p1pp2PQ/5B1P/2P1P3/PPBN1P2/R3K2R w KQ -,c2g6
rn2kb1r/pp4p1/2n1p3/1q2PpN1/3p3P/8/PP4B1/R1BQK2R w KQq -,g5e6
8/4kp1p/1R6/3ppP2/8/1P3KPP/1r6/8 w - -,f3g4
3rr1k1/pp3ppp/2n5/2pq4/5P2/2PP2P1/P1Q1N2P/4RRK1 w - -,e2c1
1rbqr1k1/2n2nbp/3p2p1/1ppP4/4NP2/1QN4P/1P2B1PB/R3R1K1 w - -,e2f3
8/2b1kp1R/p1p1b1p1/PpP1p3/1P1rP1P1/2KB1P2/6P1/4N3 b - -,d4d8
6k1/1bBr2b1/5p2/2p3p1/Pp2n2p/4P2P/1P1r1PP1/1BRNR1K1 w - -,c7b6
5k2/8/3R4/6pP/2P3P1/1br2B2/3p1PK1/8 b - -,c3f3
4r1k1/6p1/2nq3p/3p3b/Q1p5/p1P3P1/P3NPBP/4R1K1 w - -,a4b5
4q1k1/1Q3pp1/6p1/p1p5/PbP5/4P1P1/1B1r1P1P/R5K1 w - -,b2a3
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq -,a7a6:d5c4:f7f6:c8g4:c8f5:g8f6:e7e6
rn1qk2r/1p3ppp/p1p1pn2/3p4/1bPP4/P1NQPN2/1P3PPP/R1B2RK1 b kq -,b4a5
r7/5pk1/3p2p1/2pPq3/Pp2PpQ1/1P2bP2/4B2P/3R3K b - -,a8h8
1k4r1/1p1b1r2/p1n1p3/4PP1p/4B3/P1B3P1/1P1q1R1K/6R1 w - -,f2d2
