8/5B2/3k3p/6p1/3nP1P1/Kp5P/8/8 w - -,a3b2
r2r2qk/p2n2b1/1p1P1p1p/1Pp1pRpP/P1Q1P3/2B3P1/3R1P2/3B2K1 w - -,d1b3
r6b/1b1pkp2/p3pn2/1p2n3/8/P1NBP3/1PPR2PP/2K4R b - -,a8g8
1r4k1/1rq2pp1/1p1p1n1p/pR1Pp3/2P1P3/4BPP1/3Q3P/1R3BK1 w - -,d2b2
8/5pk1/6pp/3pp3/3rP3/4KP2/8/7R w - -,e4d5
5rk1/p5pp/1p3b2/1P1qpp2/3p4/PNnP1PP1/1Q1NP1KP/2R5 b - -,c3e2
3r3k/Q5bp/2p2qp1/3rpp2/3n4/1BB2P2/PPP3PP/KR1R4 b - -,d4b5
2r1k2r/pp3ppp/1nb1p3/3pP3/1R3B2/P1P5/2PK1PPP/5B1R w k -,f1d3
7R/1r4p1/5nk1/8/7p/7P/1r6/2R3K1 w - -,h8h4
5Q2/2r3k1/1N2pnn1/P7/1B1p3p/8/8/5RK1 b - -,g6f8
r1bq1rk1/1pp4p/3p2n1/p1nPpPp1/2P5/1PN3B1/P2QBPPP/1R3RK1 b - -,c8f5
4r3/5pk1/3R3p/5P1P/5KP1/8/8/8 w - -,g4g5
rr4k1/p1qbbppp/2nppn2/1p6/1P1PP3/2P2N2/3NBPPP/R1BQR1K1 w - -,e2d3
2r2bk1/2rq1p2/pp1p1np1/4p2p/2P5/1P1Q2PP/P1R1PP2/2BRN1K1 w - -,g1h2
1rbq1rk1/pp1pnpbp/4p1p1/2p5/1P1nP3/2NPB1P1/P1P1NPBP/1R1Q1RK1 b - b3,d7d6
8/3R1pk1/8/6P1/5P2/5K2/8/5r2 w - -,f3e4
r2q1rk1/p1pnppbp/1n1p2p1/8/2PP2b1/2N3P1/PP2PPBP/R1BQNRK1 b - -,e7e5
rnbqk2r/ppp1ppbp/5np1/8/8/2NP1NP1/PP2PPBP/R1BQK2R b KQkq -,e8g8
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -,b7b5:a7a6:g7g6:e7e6:d5e4:h7h6
r2q1rk1/pp4pp/3n1pb1/2p1n1P1/Pb2PP1N/6N1/1PB4P/R1BQ1RK1 b - -,f6g5
r1b1r3/pp4nk/4pQpp/8/5PP1/2R4P/PPP5/2K5 b - -,e8g8
R7/5K2/2pk4/3p1P2/8/1p6/8/6r1 w - -,a8b8
8/2p5/4p3/3k4/PP1rp3/2K5/8/R7 w - -,a4a5
r1br2k1/pp1n2bp/5pp1/q1pP4/8/2P1BN2/P2Q1PPP/2R1KB1R w K -,c3c4
2r4k/1p1R2p1/6Bp/4P3/1b6/6P1/7P/7K w - -,e5e6
4q2k/5r1p/p2N1n1Q/1p1p2p1/6P1/2P2B2/PP4KP/4r3 w - -,d6e8
r2qkb1r/pp3pp1/2p4p/2n1P3/2B1pB2/4P2P/PP3PP1/R1Q1K2R w KQkq -,e1g1
3qrbk1/1p3p1p/1np1n1p1/r2pB3/p2PP3/P1N2N1P/1PQ2PP1/3RR1K1 b - -,d5e4
r2qk2r/3nbppp/bpn1p3/p1ppP3/P2P4/2PB1N2/1P1N1PPP/R1BQR1K1 w kq -,d3b1
4r3/p7/1p4p1/2p2k2/2Pp1P2/1P1K2R1/P7/8 b - -,e8e6
r2k3r/ppp2p1p/3PBp2/8/5P2/8/PPP4P/1K1R3R b - -,f7e6
8/2R5/p4rp1/1p5p/6kP/5pP1/PP3P1K/8 w - -,c7d7
r4rk1/pp4pp/2p2n2/4pN2/1PP5/2N3P1/5PBP/R2n2K1 w - -,a1d1
2k5/pp3R2/3p2r1/2pP3p/2P5/3P1KP1/PP5P/8 b - -,a7a6
2q2rk1/1p1b1pp1/1bpp1nn1/4p2p/1PPP4/2N1P1PP/1B2NPBK/Q1R5 w - h6,b4b5
r1bqk2r/ppppbppp/2n2n2/4p3/2BPP3/5N2/PPP2PPP/RNBQ1RK1 b kq d3,d7d6:e5d4
r1b2rk1/1p1n2b1/p3Q1p1/q1p1P2p/5P1P/2N1B3/PPP3P1/2KR3R b - -,f8f7
8/p5k1/3bBp2/6p1/3R2P1/3KP3/Pr3P2/8 b - -,b2b6
1rb1kr2/3p4/p4Pp1/4Q3/3pP3/bP1qBPP1/K7/7R b - -,e8f7:e8d8
rnbqkb1r/ppp2ppp/5n2/4p3/2PpN3/6P1/PP1PPPBP/R1BQK1NR b KQkq -,b8d7
r1b2rk1/2p1nppp/ppn3q1/1BbpP3/3N1P2/2P1B3/PP1Q2PP/RN2K2R w KQ -,b5a4
8/6R1/3k1p2/bp1BpP2/2p1P3/1P6/1KP2P2/2B1q3 b - -,a5c3
8/8/R3p1pp/P4p1k/5P1P/4P3/r3KP2/8 w - -,e2d3
r1b3k1/pp2prb1/2qp2pp/3n4/3N4/2P1B2P/PP1NQPP1/R4RK1 b - -,c6d7
2k5/ppqn1pp1/2p2b2/2P2Pp1/3p3r/4P2P/PPQ5/1K1RBB2 b - -,d4d3
3r2k1/p3p2p/2p3p1/3p1b2/1P1P1P2/5BP1/P5KP/4R3 b - -,g8f7
8/8/8/1p6/4k1N1/2P4p/1P2K3/8 b - -,e4f4
8/1q3pkp/4p1p1/1p2Q3/1P1P1n2/5N1P/5PP1/6K1 b - -,f7f6
2r3k1/1bq1b2p/p2Rp2P/1pP1p1p1/1P2Pr2/P3Q3/1B3PP1/2R3K1 w - -,d6e6
3rk2r/3qbpp1/pp2p3/2p1Pn1p/1nPp1P2/N2P1QP1/PP2R2P/R1B1N1K1 w k h6,a3c2
r1bq1rk1/pp2p1b1/2np3p/2p3p1/2P1N1n1/P2P1NP1/1P2PPB1/1RBQK2R b K -,c8f5
8/1p4pk/p6p/6PP/5P2/R1RrN1K1/3rb3/8 b - -,h6g5
r1bq1rk1/1p1n2b1/p2p2pp/2pPpn2/P1P5/2NBB2P/1P3PPN/R2Q1RK1 w - -,c3e4
5Rk1/p3p1r1/2p5/2PpN3/3P3q/P6b/1P1QKP2/4R3 b - -,g8f8
rB6/P7/8/8/2K2p2/kR5p/8/8 b - -,a3a4
4r1k1/pb1n1pbp/2q1p1p1/2p3B1/2P5/4QN2/PP2BPPP/3R2K1 b - -,g7b2
rnq1kb1r/3b1ppp/p3pn2/3pN3/3P4/1QN1P3/1P3PPP/R1B1KB1R w Kkq -,f1d3
5bk1/3n3p/2pp1Pp1/5p2/1pP5/1P4B1/q5PP/3Q1BK1 w - -,g3d6
3rb1k1/1p2q1p1/pr2p2p/2b1P3/P2pBP2/3Qn3/1P1B1NPP/R1R4K w - -,d2a5
3r4/p3Qpk1/1p5p/4Nq2/5p2/2P1n3/PKP1B3/8 b - -,f5c2
5r1k/2r2pbp/4p1p1/RqNnP1P1/1P1p1PN1/3P3P/3B2Q1/6K1 b - -,b5b6
8/8/4b3/p3PN2/2k2Kp1/8/6P1/8 w - -,f4g4
4kb1r/1p2pppp/pqr2n2/8/1Q6/2P5/P2P1PPP/RNB2RK1 w k -,b4b6
1k4br/pp2n3/3b2p1/q7/2p1pPBN/2P1P1P1/PPQ5/1K5R w - -,c2e4
r1bq1rk1/p3ppbp/1pn2np1/1NppN3/3P1B2/4P3/PPP1BPPP/R2Q1RK1 b - -,c8b7
6k1/p2r2p1/1p2p1p1/nP2P2p/P2B3P/2R1PP2/4K1P1/8 b - -,a5b7
7r/ppp5/2b3R1/4Pk1P/3n1P1P/8/PP3R1K/8 b - -,f5e4
3rrbk1/1pnq3p/p1n1bp1B/2p1pN2/4P3/2P3PB/1P2Q2P/R4RK1 w - -,h6f8
3rr1k1/5pbp/R2Pp1p1/8/1p1P4/1P3P2/4NP1P/4R1K1 w - -,e1c1
r1bqk1nr/ppp3pp/2nbpp2/3p4/3P4/4PNB1/PPP2PPP/RN1QKB1R w KQkq -,c2c4
2rr4/p7/1p3kpp/2P1R3/1P1p1P2/8/P5PP/3R2K1 b - f3,b6c5
8/1p2q3/2p2p2/4p1k1/4P3/2P1N1P1/Pr2B1K1/R3R3 b - -,e7c5
r4rk1/p1qbbppp/2nppn2/1p6/1P2P3/2PP1N2/3NBPPP/R1BQR1K1 w - -,d3d4
4rrk1/pp1bR1pp/5n2/2pPNp2/2P5/q2B4/P5P1/2RQ2K1 w - -,d5d6
r1bq1rk1/5pbp/p1pppnp1/4n3/2PNP3/2N1BP2/PP1QB1PP/R3K2R b KQ -,d6d5
rnb1rnk1/pp3p1p/3Bp1p1/2pP2P1/1qP1P2Q/8/P4P2/2KR1BNR b - -,b4c3
2r5/1b1nk2p/pn3pp1/1pp1p3/1P2P3/PBP2PNP/6P1/3RN1K1 w - -,g3e2
r1b1k2r/pp3ppp/5n2/4p2Q/1PPb1B2/P1N5/5PPP/2R1KB1R b Kkq -,f6h5
R7/6pk/6rp/4Q3/p6K/2P2PP1/6qP/8 w - -,e5f5
r1bq1rk1/1p2ppbp/3p1np1/p7/P2pP3/1B1P2Q1/1PP1NPPP/R1B1K2R w KQ -,f2f4
5rk1/1r2qp1p/p1p1pp2/4n3/P2bNB2/6P1/1PQ1PP1P/1R3RK1 b - -,f8d8
r1bqk2r/pp2ppbp/2n3pn/1B1pP3/3P4/2N2N2/PP3PPP/R1BQK2R b KQkq -,e8g8
8/8/8/1B6/P1R5/4k3/4n2r/2K5 w - -,c1b2
5bk1/1pq2pp1/6p1/p7/PnBQ4/1P3PP1/6KP/8 b - -,b4c6
8/1Kp2p2/2pb4/2p1k3/2P4B/1P6/8/8 w - -,b7c6
8/5k1n/p1pB4/P2p1p1p/3P4/4KP1P/6P1/8 b - -,f7e6
r2q1rk1/pb1nppbp/1pnp2p1/8/2PNP3/2N1BP2/PP1QB1PP/R4RK1 w - -,d4c2
r1bqr1k1/5pbp/2p2np1/2Ppp3/2nP4/2N1P1P1/4NPBP/1RBQ1RK1 w - -,d4e5
8/2n4p/5kp1/3nNp2/8/3NPKPP/5P2/8 b - -,d5c3
3r2k1/pp3ppp/3P4/2pRn1P1/8/2P3Q1/P6N/1q4K1 w - -,h2f1
r6r/p2qpkb1/1n3pp1/1p1b4/2pPNBP1/2P2P2/PPQ1BK2/6RR w - -,c2b1
5R2/p5r1/1p1k4/2pP2p1/2Pp1bB1/3K4/PP3P2/8 b - -,g7e7
1r4k1/1r2ppbp/pq3np1/5PB1/2p3P1/2P3NP/PP1R2K1/3Q1R2 w - -,g5f4
6k1/4pp1p/2p3p1/2P5/3r4/6P1/5PKP/R7 w - -,a1a6
2q2r2/p4pk1/3b1n1p/2p1p1p1/2PpPnP1/P2P1BK1/5P1R/1NB2Q2 w - -,f3e2
6k1/4bpp1/pq2r2p/2pQ3P/8/1P3NP1/P1R2PK1/8 b - -,e7f8
r3r1k1/pb1n1ppp/1p1q1n2/3p4/2pP4/3BPN2/PPQB1PPP/2R2RK1 w - -,d3f5
3rr1k1/1b1q1pbp/ppn2pp1/2p5/P1P5/1P1P1N1P/1B1QBPP1/R3R1K1 w - -,a1d1
r1kr4/4np2/1R2p3/7p/n1P1qPp1/2pNN1P1/2Q4P/4R1K1 w - -,b6b4
r4rk1/1p1q1n1p/p2p4/2PPb1pQ/P3Np2/8/1P4PP/R4RBK w - -,c5d6
rnbq1rk1/pp1p1ppp/4pn2/2p5/1bPPP3/P1N5/1PQ2PPP/R1B1KBNR b KQ -,b4c3
r2q1rk1/1p1nppbp/p2p1np1/2p5/2P1P3/2NP1N1P/PP2QPP1/R1B2RK1 b - -,f6e8
8/8/R7/p3rk2/8/PP2p3/8/3K4 w - -,d1e2
1r1r2k1/p5pp/2q2p2/8/2P1p3/2Q1P1P1/PB3P1P/2R3K1 w - -,c4c5
r2qr1k1/1ppn1pbp/3pb1p1/p7/P1PBP1P1/2N2P2/1P1QB2P/R3K2R w KQ -,e1c1
r2r2k1/1pp2p1p/2n5/3q2PN/p3p3/P1B1P3/1PQ2PP1/R5K1 b - -,d5d3
r1b1r1k1/ppp1Q2p/2n3p1/5p2/3P4/3BN1P1/1P3P1P/R4RK1 b - -,c6e7
r2qk1nr/pp1nppbp/2pp2p1/8/2PPP1b1/2N1BN2/PP2BPPP/R2QK2R b KQkq -,g8f6
8/3bk3/2p2p2/7p/1pB1PP1P/4K3/1P6/8 w - -,e3d4
8/1b6/1p1k4/pP1p4/5P1p/P1R3rP/3KB3/8 b - -,g3c3
r4rk1/p1q2ppp/n7/2pQ4/2N5/2b3P1/PP2PP1P/R4RK1 w - -,b2c3
8/r3q1k1/6p1/4pp2/1p5p/P4P1P/1P1Q2P1/K1R5 w - -,c1c4
3r4/1Q1bkpr1/3p4/p3pR2/B5qp/2P5/PP6/K4R2 w - -,a4d1
1r2k2r/2qp1ppp/p2b4/3P2Pn/bp6/1P2BP2/P1PQ3P/1K1R1B1R w k -,b3a4
r4rk1/1bqnbppp/pp1ppn2/8/2PNP3/1PNB4/PB3PPP/2RQ1R1K w - -,d3b1
2rq1rk1/3b2bp/p2p1pp1/1p1Pp3/1P1P4/P3B1P1/5PBP/2RQ1RK1 w - -,c1c8
3r2k1/rpn2p1p/2p2bp1/1p1pN3/1P1P4/P1K1P3/5PPP/1NR4R b - -,f6e5
r3r1k1/pp1nqpbp/2ppb1p1/4n3/2P1PB2/2N5/PPQN1PPP/R3RBK1 w - -,a1d1
r1br2k1/p1qn1pbp/1pp3p1/2p1p3/4PB2/P1NP1N1P/1PPQ1PP1/R4RK1 w - e6,f4h6
8/5p2/8/1p2P3/1k1N1P2/1bpP2P1/1r5P/2KB4 b - -,b3d1
rnb1k1nr/pp3ppp/2p5/8/3p1b2/2PP4/PP2N1PP/R2NKB1R w KQkq -,e2f4
8/5p1p/5kp1/8/3KR3/5B2/3r2PP/8 w - -,d4e3
r2qr1k1/1p1b1pbp/p2p2p1/2pPn3/P3P3/4BP2/1PN3PP/R2QRBK1 w - -,b2b4
4r1k1/pbqn1ppp/4r3/2p4n/NpN1P3/3B1P1P/PPQ3Pb/R3RKB1 w - -,g1f2
r1r3k1/1q3ppp/p1b1p3/3pP3/pP3P2/P3Q3/2P1B1PP/1K1R3R b - -,c6b5
8/3R3p/p3r1k1/5qP1/1P6/6P1/5P2/2Q3K1 b - -,f5e4
r1r2bk1/5pn1/1pp3p1/q2pnbPp/P2P3N/1QN1PP1P/1P4B1/R3R1K1 w - -,d4e5
1q1r1bk1/2rn1ppp/B1b1p3/2p5/NP2P3/5P2/5BPP/1RR1Q1K1 w - -,b4b5
r2q1rk1/pppb2bp/4p1p1/n2p1pP1/3P1B2/1PPN2P1/P2QPPB1/R3K2R b KQ -,a8c8
8/8/3k2pp/5b2/3p3P/6P1/3K2B1/8 w - -,g2f3
r7/P7/4p3/5kpp/8/R3K2P/6P1/8 w - -,a3a5
r4k1r/ppqn1p2/6pb/3pp3/8/2P2N2/PP1N1PPP/R3QRK1 w - -,h2h3
2kr3r/1pp1n1bp/p1b2p2/2p3p1/4P3/4NPB1/PPP1NKPP/3R3R b - -,h8f8
r2r2k1/ppq1bp1p/6pQ/2P2b2/2npNN2/6PP/PP3PB1/R3R1K1 w - -,e4g5
7r/5R2/8/4Pk2/5P2/5K1P/7P/3n4 b - -,f5e6
4r2k/4p1b1/6pp/R2p4/1P1B2PP/1Qn2Nq1/2PK4/4R3 b - -,g3f4
q3rb1k/5R2/3pnN1p/1pp1pNpP/4P3/2PP4/QP3PP1/6K1 b - -,e6g7
r1bqk2r/4nppp/p2p1n2/1p2p1B1/4P3/N2B4/PPP2PPP/R2QK2R b KQkq -,d6d5
6R1/8/8/5pkn/7p/5P2/5K2/8 b - -,g5f4
8/3R2kp/8/6p1/4ppN1/4P2K/1r4P1/8 b - -,g7g6
rnbqk2r/pp3ppp/2p1p3/3n4/P1pPP3/2N2N2/1P3PPP/R2QKB1R b KQkq e3,d5c3
rn2kb1r/3p1ppp/1q2p3/1Bpb4/P7/2B1PN2/1P3PPP/R2QK2R b KQkq -,f8e7
8/6pk/7p/P2Qp3/q7/7P/6PK/8 w - -,d5e5
2bq1r1k/3nQp2/5Ppp/8/p2P4/2PB4/6PP/1R3RK1 b - -,d8c7
r3k2r/1b2q3/p3pbpp/1p1p1p2/2pP1PP1/2P1PN1Q/PPB4P/R4RK1 b kq -,b7c8
r1q1rnk1/1p3pb1/1Bp2npp/p2Ppb2/P1P5/1QN2B1P/1PN2PP1/2RR2K1 w - -,c2e3
r2qr3/pppb1pbk/6pp/1N6/4P3/4BP2/PP4PP/R1QR2K1 b - -,d7b5
1R6/4k1r1/1p1p1p2/3P1P2/P2p4/2bB2p1/6K1/8 b - -,c3a5
1r4k1/p4nbp/2Bp2p1/1Pp2q2/3p1P2/1P4P1/P2B3P/2RQr1K1 w - -,d1e1
1r4k1/p1R1bpp1/1r4p1/3pP3/1P1P4/P5P1/1B3P1P/4R1K1 b - -,b8b7
2r1r1k1/pp3pp1/2n3b1/3Q3p/3PnqP1/P1B2N1P/1P3PB1/2R1R1K1 b - -,h5g4
r3k2r/pppq2pp/2nnbp2/b2Q4/8/P1NBBN2/1PP2PPP/R3K2R w KQkq -,d5h5
r1bq1rk1/pppn1pb1/3p1npp/4p3/2PPP2B/2N2N2/PP2BPPP/R2Q1RK1 b - -,c7c6
8/p3k3/1p2p1pp/5p2/PpP5/1B1KP1P1/1b3P1P/8 b - -,g6g5
3rkb1r/1p2nppp/p1q1b3/3p4/N2B4/1P6/P1P2PPP/R2QRBK1 w k -,f1d3
6k1/6p1/3p1n1p/2qPp3/p1P1P3/3Q2P1/7P/5RK1 w - -,g1g2
2rr2k1/1b1n1ppp/1q6/p1Pp4/Pp6/1Q2P1PB/1PRN1P1P/3R2K1 b - -,d7c5
r2q1rk1/pp1nbppp/4pn2/3p4/5Bb1/2NP1NP1/PP2PPBP/R2Q1RK1 w - -,a2a3:a1c1
8/2r1k3/PR2pn1p/1B1p2pP/3P2P1/4K3/8/8 w - -,b5c6
4r1k1/p1p1qr1p/3p1bp1/2pP4/2P1P1R1/1P1R1P2/P2B2QP/7K b - -,f6g7
r2q2k1/1p1b4/p3prp1/4Q1pp/8/P7/1PP3PP/R4R1K b - -,f6f1
r1q3k1/4bpp1/2b4p/2pnP3/1p5P/1p3NP1/P2BQPBK/3R4 w - -,a2b3
4N1k1/8/6PR/p2pr3/8/7K/8/8 w - -,g6g7
2r5/8/8/B2kpb1p/1P1pn1pP/K5R1/P3R1P1/8 w - -,g3b3
r4rk1/p3ppbp/bpq2np1/2p5/P3PB2/2P1NP2/1PQ1N1PP/R4RK1 b - -,a8d8
6k1/q3P2p/8/5P1p/4Q3/6P1/p5K1/8 b - -,a2a1q
8/2Q5/5q2/5pkp/4p1p1/4P1P1/5PK1/8 w - -,c7f4
r3rnk1/ppb2ppp/2p2q2/2Pp3P/3P2P1/4BP2/PP3KB1/3QR2R b - -,f8e6
r1b1k2r/pp1pppbp/n4np1/q2N4/4P3/2P1B3/PP3PPP/R2QKBNR w KQkq -,b2b4
rr6/5p1b/5P2/2Q1R3/6PP/1p6/kqP2PK1/2B5 w - -,c1b2
8/6kp/2r1pbp1/1p3p2/nP1p1P2/3P1NP1/R1P3KP/4B3 w - -,e1f2
2r2k1r/p5bp/1pb2np1/2p3B1/8/4RN1P/PPP3P1/2KR4 w - -,f3e5
r7/2pbb1k1/pp2q1p1/3p4/3PpPp1/P1N1P1P1/1P3R1r/2BQ3K w - -,f2h2
1r3rk1/5ppp/B7/p1b3P1/8/6R1/1PP4P/2KR4 b - -,f8d8
r3r1k1/p1p2p2/2p5/3p1qp1/5n2/2N2Q2/PPP2PP1/R3R1K1 w - -,c3e2
5n2/1p1k1p1p/2p1rP2/1p3R1P/4PKB1/1P6/PP6/8 b - -,d7c7
r1bq1rk1/ppp2pbp/2n3p1/3Pp3/8/6P1/PPP1NPBP/R1BQ1RK1 b - -,c6e7
1kb2r1r/2q1bpp1/1nn1p2p/p2pPP1P/1ppP1BP1/5NQB/PPP5/3NRRK1 b - -,c7d8
r2r2k1/1bp2pp1/p1q1pn1p/1p6/1PpP4/P1N1PN1P/2PRQPP1/4R1K1 b - -,a6a5
8/2p3k1/5p2/5BpP/1p4P1/1P6/1KPNr3/8 w - -,d2e4
6k1/1R6/6p1/4K1P1/1P5P/8/8/7r b - -,h1f1
8/8/8/1P6/3k4/3b3R/3K1r2/8 w - -,d2e1
3r3k/p3nrp1/1b2p1pp/3pP3/2bP1PPP/2R1B2B/PP3R1K/2N5 w - -,b2b3
3r1rk1/5ppp/3b2b1/1p2p3/2BnP1P1/1P4N1/1B3PP1/2RR2K1 w - -,c4d5
8/1p2pk2/2rpR3/p1r4p/P1P1R1p1/1P4P1/6KP/8 b - -,c6c7
1r1r1bk1/5ppp/3p4/3PnNP1/pP2P3/7P/6B1/1R3R1K b - -,a4a3
8/8/4Bqpk/p5Q1/5p1P/1P2b2K/8/8 b - -,f6g5
4rr2/1p1N1pkp/p5p1/8/8/1Pb5/5PPP/3R1RK1 w - -,d7f8
rnb1kb1r/pp1p1ppp/1q6/3np3/2BP4/1P4B1/P1P2PPP/RN1QK1NR b KQkq -,e5d4
4rr2/2p3kp/p2b1np1/3p1b2/Pp1P4/1B2BN2/1P3PPP/R4RK1 w - -,h2h3
1r2r3/1bqn1pbk/p2p1npp/PppPp3/1P2P3/2PB1NNP/3BRPP1/1Q1R2K1 b - -,e8c8
r2r2k1/pp2qpp1/5n1p/2p5/2b1P2Q/P7/1PB2PPP/R1B1R1K1 b - -,c4d3
rnbqk2r/p1p1bppp/4pn2/1p1p4/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq -,c2c3:f3e5:b2b3:a2a4
r2qk2r/nb1nbppp/1p2p3/pNp1P3/P1Pp4/3P1NP1/1P2QPBP/R1B2RK1 b kq a3,h7h6
8/p2rbpk1/6p1/8/R7/1B2P3/P3KPP1/8 b - -,e7c5
3rr1k1/4qnbp/1p1p1pp1/pPpR4/P1Q1P3/1P4PP/1B3PBK/3R4 b - -,g8h8
r1r3k1/4pp1p/qn1p2p1/P1nP4/2pRPP2/R5P1/NPQB2KP/8 b - -,c5b3
1b2r1k1/1Q3b2/p4p2/3p1q1p/P2P3P/B1R1PBp1/5nP1/5NK1 b - -,f2h3
2k5/2p4p/pp6/2p5/b7/2b1B2P/P1PNrPP1/3R1K2 b - -,a4b5
r2qrbk1/2pn1p1p/p1pp2p1/4p3/3PP3/2P1BQNP/PP3PP1/R3R1K1 b - -,f8g7
5bk1/q2r1p1p/4p2P/6P1/4P3/pPQ2P2/P7/3R1b1K w - -,d1f1
1R4k1/6p1/8/2r5/8/2r2PK1/8/8 b - -,g8h7
