3n4/3k4/3P1p2/3K1B2/1P4P1/8/5b2/8 b - -,d7e8
r2qr1k1/1p1bbppp/1np2n2/8/p2PNN2/P5P1/1PQB1PBP/4RRK1 b - -,f6e4
7r/p3pp2/1p1p1k2/3P1p2/P2R1P1R/2P1K3/1P6/8 b - -,h8h4
2r3k1/Qb3ppp/3np3/2p1N3/2P5/6P1/P3PP1P/5K2 w - -,a7b6
1rb2r2/5pkn/pq1p2p1/2pPn2p/4P3/2N2PN1/RP1QB1PP/5RK1 w - -,h2h3
6k1/3n1p1p/2N1p3/6p1/1P4P1/2r2PKP/8/1R6 w - -,b4b5
3rk2r/pp2qpp1/2p2n1p/4b3/3pP1PP/3P1Q2/PPPBB1K1/R4R2 w k -,f1h1
8/p7/8/2k3p1/3R1p2/r7/6K1/8 w - -,d4d8
2r3nk/2p1q3/1p1p3p/pP1Pp1pP/2P2r2/P3N3/R2Q1PP1/4K2R b K -,c8f8
6k1/6pp/b1p1p3/3q4/3B1r2/P4P2/1Q2PK1P/5R2 w - -,d4g7
r3r1k1/1pp3bp/6p1/1Pp2b2/p1P2P2/3Pq3/PB4BP/1R1Q1R1K w - -,g2b7
3r3k/7p/1R1p2p1/1p1B4/r1b5/4P1P1/5P1P/3R2K1 b - -,c4e2
3k3r/pp2bpp1/2R2np1/3p2B1/3P3P/P4PPB/P7/1K5R b - -,b7c6
r3k2r/pp2qp1p/1npbpp1B/8/3P4/3Q1N2/PPP2PPP/R4RK1 w kq -,c2c4
q3r1k1/5p1n/1R1p4/4p3/2P1P3/3PBPP1/1Q4K1/8 b - -,a8d8
2r2rk1/3b2b1/3p1q1p/1p1Ppp1n/p7/P2NBP2/1PBQ2PP/2R2RK1 w - -,c2b1
5r2/p2n1p2/1p1p1k1p/2pP2p1/1PP5/P1KB1P2/6PP/4R3 b - -,a7a5
2r1r1kb/1b3p1p/pq4p1/nppnp1B1/8/2PP1NNP/PPBQ1PP1/3RR1K1 w - -,h3h4
rn1q1rk1/1b3ppp/pp1b1n2/2ppN3/3P1P2/2NBPQ2/PP1B2PP/R4RK1 b - -,b6b5
4r1k1/3r1pb1/6pp/3q4/1B4b1/PP3N2/4QPP1/4R1K1 w - -,e2e8
1r1qr1k1/8/p2p1npp/P1pP1p2/3bPPn1/1p3BP1/4Q1NP/1R2BR1K b - -,f6e4
7r/6pp/3b1pkn/3Q4/3Pp3/2BqP3/3KNPPP/7R w - -,d2c1
r4rk1/p5pp/8/1p1pN2b/2pPp3/2P1P2q/PPQ2P2/1K3R1R b - -,h3f5
4r1kb/1bq2nnp/p2p2p1/2pP1p2/PpP2P2/3BB2P/1P4PQ/2RN1RK1 w - -,c1c2
1q1r1rk1/1b1pnppp/p1n1p3/1pQ4P/4P3/PBNR1N2/1P3PP1/3R2K1 b - -,b7c8
r3k2r/p1pbqp2/1p1p1n1p/n3p1p1/4P3/P1PPBQ1P/B1P2PPN/1R2R1K1 b kq -,e8c8
8/2R2p2/p7/1p2P3/1k3P2/1P6/PKP4r/8 b - -,h2f2
1K6/P4rk1/4p1p1/3bP1P1/8/Q7/8/8 b - -,f7d7
8/5k2/3p3p/p1p3r1/1pP1R2P/1P3KP1/P7/8 b - -,g5g8
r3r1k1/1pqn1ppp/2p2n2/p3p3/1bP1P3/PPB2BPP/1Q3P2/RN1R2K1 b - -,b4c3
r1b2rk1/1pq2pbp/p1np1np1/2p1p3/1PB1P3/P1PP1N1P/5PP1/RNBQR1K1 b - -,b7b6
rn1qnrk1/pbppbppp/4p3/1B4B1/2PP4/2N2N2/PP3PPP/R2QR1K1 w - -,g5e7
4r1k1/1p3p2/p5p1/3R1P1p/8/1PR2KPP/7r/8 b - -,g8g7
2q1r1k1/1p3r1p/pb3Pp1/3RP3/1Qp2B2/8/P1P3P1/3R3K b - -,b6c7
8/1rbb2pp/4k3/1pR1pp2/p7/2P5/PP2BPPP/3R2K1 w - -,g2g4
2rqn2Q/5k1p/p2p4/n1pP1P2/2P1p3/4P3/P2N3P/6RK b - -,d8h4
r1b2k1r/pp2bpq1/1nnNp1pp/8/2P5/1B3N2/P4PPP/R1BQR1K1 b - -,f8g8
r1bk3r/ppb2ppp/2p2n2/8/P1B5/BPN1P3/5PPP/R3K2R b KQ -,c8e6
5b2/5pk1/4p1p1/p1r4p/P2QP2P/6P1/5PK1/8 b - -,g7g8
6K1/3k2P1/8/8/8/8/6r1/4R3 w - -,e1e4
r3k2r/pp3pb1/2p1b1p1/4p3/1q2PP1p/2NP2Q1/PPP1N1PP/1R3RK1 w kq -,g3f3
2q3k1/5pp1/1p2pn1p/1N1r4/1p6/1P2P2P/P3QPP1/3R2K1 w - -,a2a3
8/8/3k2p1/2R2b1p/2p2r2/3p4/8/3BK3 w - -,c5a5
r2r2k1/2p2ppp/pp6/2p1Pb2/2Q2Pq1/2P5/PP3BPP/4RRK1 w - -,e1e3
2Q3k1/1p2qp2/p2p2p1/3Pr1P1/3p3P/P2B2r1/1PP5/1K1RbR2 b - -,g8g7
2rqr1k1/pb1n1p1p/1p1b1np1/3p4/3p4/1PN1PNP1/PB3P1P/1QRR1BK1 w - -,f3d4
r7/1b3Nkp/p1pqp1p1/3p4/3P2r1/P2N4/1PR2P2/2Q1R1K1 w - -,g1f1
5rk1/p3qpp1/1b3n1p/8/2B5/4P1B1/2Q2PPP/R5K1 b - -,f6e4
6R1/3rk3/5b2/4p3/4P1NK/3P4/5P2/8 w - -,g4f6
7R/8/Pk6/1P6/8/r2pK2P/8/8 w - -,h8h7
1r2n1k1/1q2ppbp/r2P2p1/2pP4/P1N2B2/1P1Q2PP/4RPK1/4R3 b - -,b7b3
r1bqk2r/pp2bppp/2n2n2/2p3B1/2Pp4/3P1NP1/PP3PBP/RN1Q1RK1 b kq -,e8g8
r4rk1/pppbqpp1/2n1p2p/8/1bQP4/P1N1PN2/1P2BPPP/R3K2R b KQ -,b4d6
5bk1/8/6Q1/1p1P4/2p5/2P4P/3q2P1/7K b - -,f8g7
r2q1rk1/pbp1bppp/1p2pn2/6B1/3P4/3B1N2/PPP1QPPP/3R1RK1 b - -,h7h6
6k1/5p1p/3n2p1/1p1p4/3P4/3BPP2/2Q1K1PP/q7 w - -,c2c6
8/r1k2p2/P1b1p1pp/3p4/3P1PPP/3BK3/1R6/8 w - -,b2h2:e3d2
R7/1r1k1pp1/pP2p2p/P7/3P4/4P2P/4KPP1/8 b - -,d7d6
2kr3r/pppq1ppp/2nbp3/5b2/3N4/2PPB3/P1P1BPPP/1R1Q1RK1 b - -,c6d4
6k1/6pp/R3pq2/3b4/2rNn1Q1/4B3/6PP/7K w - -,g4d1
7r/8/5pk1/RR5p/1p1r3P/6PK/P7/8 w - -,b5b7:b5b6
8/5pkp/pr1pbqp1/2p5/2Pr4/1P2Q1PP/4PPBK/3RR3 w - -,h2g1
8/6R1/3K4/1pB2r2/1P4bk/2P5/6p1/8 b - -,f5c5
8/5k2/2p5/5p1p/3Bb1p1/2P3PP/2r2P1K/4R3 w - -,h3h4
1q4k1/p4pp1/p3p1p1/PP1pP1Q1/3P4/2r3P1/5P1P/1R4K1 w - -,g1g2
2r2rk1/1bB1b2p/pp3np1/1B1p1p2/3P3P/P4NP1/1P3P2/2R2RK1 w - -,b5d3
1r1r2k1/2p1bppp/2p1p3/p2n4/Pn1PN3/1P2P1P1/1B3P1P/3RRBK1 b - -,h7h6
8/1K6/8/8/6pp/6k1/3R2P1/8 b - -,h4h3
1kn5/7R/P7/2K5/8/8/8/8 b - -,c8a7
8/2q1bpk1/2pnpnp1/p2pN3/Pp1P1PP1/1P1BQP2/1BP5/7K b - -,f6g8
2r2rk1/1bqnbpp1/pp1ppn1p/2p5/P3P2P/2PP2P1/1P1NQPBN/R1B1R1K1 b - -,f8e8
r2q1rk1/p3ppbp/np1p1np1/1N1P4/1P1NP3/1Q2BP1P/P5P1/2R2RK1 b - -,a6b8
r7/1b3pk1/6p1/2p1p2n/3pP2p/rPqB1P1P/PRP3P1/R1Q2NK1 w - -,g1h2
r1bbq1kn/5rpp/p3p3/1p1pPp1P/1P1B1P2/PN1B4/2P3PQ/2R1R1K1 w - -,e1e3
2b1r1k1/1p5p/2pp2p1/2P1n3/1P2P2q/1QN1B2P/5PK1/7R b - -,c8e6
1r1q1rk1/3bppbp/p2p1np1/n1pP4/2p5/1PN3P1/PBQNPPBP/1R3RK1 w - -,b3c4
8/6k1/1p1p3R/pN1P2P1/P1r3K1/1b6/8/8 w - -,g4f5
6k1/p4pp1/1q5p/2b5/4Q2P/1P4P1/P1N5/7K b - -,b6d6
2r1r1k1/pp4pp/2b2q2/3p1p2/1P1Nn3/3QP1P1/P4PBP/2R2RK1 b - -,a7a6
5k2/2R3p1/8/6KP/8/3b4/8/8 w - -,h5h6
r1bq1rk1/1p1n1pp1/p3pn1p/4B3/3N4/2PQ4/PPB2PPP/R3R1K1 b - -,d7c5
r3n2k/p4r1p/5p2/2p2N2/1p4pP/1P6/PBP5/2KR3R w - -,h4h5
8/1p2rn2/p2pN1kp/3P1pp1/1P1P4/2R4P/P5P1/7K w - -,g2g3
r1b1kb1r/2q2ppp/pp1ppn2/4n3/2P1PB2/2N5/PP1NBPPP/R2Q1RK1 b kq -,c8b7
2rq1rk1/1b2ppb1/p2p2p1/1pnN2Pp/5P2/P3Bn2/BPP1N2P/1KQR3R w - -,e3f2
4rr1k/pb3q1p/1pnpR1pQ/8/3P2p1/2PB3P/PP3PP1/4R1K1 w - -,d3g6
1r4k1/5p1p/5qp1/2p2r2/2NbQ3/P5PP/1P2RPK1/2R5 w - -,f2f4
r1b1k2r/pp1n1ppp/2p5/3pP3/N4Pn1/4QN2/PPP3PP/R3KBR1 b Qkq -,g4e3
r2q1rk1/1b2bp1p/p1n1p1p1/2Nn2B1/1p1P4/P2Q1N2/BP3PPP/R3R1K1 b - -,b7c8
1rN1nrk1/3pppbp/p5p1/4P3/P1p5/8/1P2BPPP/R2Q1RK1 b - -,b8c8
r1b1r1k1/1p1nqpb1/2pp2p1/p1n4p/2PNPP2/2N1B1PP/PPQ3B1/3RR1K1 w - -,e3f2
5rk1/pp2b2p/n1ppb1p1/4p3/2P1PrPq/1PN3NP/P3QPBK/R4R2 w - -,f2f3
3q1rk1/p4pp1/1p1bpn1p/1B1bN3/3P4/P5B1/1P2QPPP/2R3K1 b - -,f6e4
2kr3r/1p1n1Q1p/p1pqpb2/8/3P3P/1P2P2B/PB3P2/2KR3R w - -,f7e6
r1bq1r1k/4n2p/pp1p1bp1/2pP1p2/P4P2/2PBN1B1/1P2Q1PP/3R1R1K b - -,c8b7
r3r1k1/ppq2ppp/2n5/3pnbB1/8/1NP2PQ1/PP2B1PP/3R1RK1 b - -,c7b6
rn2nr1k/p1p1N1bp/1p6/4p1pP/2BP4/5P2/PP3P2/R1B1K2R w KQ -,e7g6
1R6/8/3n4/p7/2k2K2/8/4N3/8 b - -,a5a4
8/pr4k1/2b5/7R/1p6/P1NP4/1PK5/8 w - -,a3b4
r5nr/p1pk2pp/1bppp3/7q/4PP2/1Q3N2/PPP3PP/R1B2R1K w - -,f1d1
6k1/5p2/3p2pp/2pNbPq1/8/5QP1/1r1NR1K1/8 w - -,d2e4
2r3k1/pp1rnpp1/4q2p/2P1P3/P5R1/B5Q1/6PP/5R1K b - -,e7g6
3R4/1p2r1k1/2p3p1/2q1np2/8/2N3P1/3Q1PK1/8 w - -,c3e2
r4rk1/pp1b2pp/1qnbpn2/3p4/3P4/1P1B1N1P/P3NPP1/R1BQ1RK1 w - -,c1e3
rnbqk2r/1p2bppp/p2ppn2/8/2BNP3/P1N5/1PP2PPP/R1BQ1RK1 b kq -,e8g8
4rr1k/1p1Qb1pp/1q3p2/pR6/2P5/1P2P3/PB3PPP/5RK1 b - -,b6d6
8/8/p1Pk4/3n3P/1P6/5K2/8/4B3 w - -,h5h6
1r6/5kpp/2n2p2/3p4/Np1P4/1PP5/P5PP/5RK1 w - -,g1f2
5rk1/pb2qpp1/np1np2p/3p4/Q2P4/N2NP1P1/PP3PBP/2R3K1 b - -,f8c8
3R4/5pk1/p4p2/1p2r2p/1P6/6P1/P1P2PKP/8 w - -,d8d6
r5k1/rp3ppp/5B2/5p2/2P5/5P1P/1K4P1/3RR3 b - -,a7a2
r2qk2r/1b2bpp1/p3pn1p/1p1pN3/3P1P2/2NBP3/PP4PP/R2Q1RK1 w kq -,a2a3
8/8/4N3/1p6/pnk5/P4K2/8/8 w - -,a3b4
2r2bk1/1bqr1p1p/ppnp2p1/3B2N1/5B2/3Q2PP/PP2PP2/2RR2K1 w - -,h3h4
rnbq1rk1/1p3pbp/2pp1npB/p3p3/P2PP3/2N2P2/1PPQ2PP/R3KBNR w KQ e6,h6g7
r4rk1/pp1bq1pp/2pp2nb/4pp2/2PP1Pn1/PPN1PBPN/1B1Q3P/R4RK1 b - -,g4f6
q1b2k1r/4ppbp/p1pn2p1/8/P2B4/8/1PP1BPPP/R2Q1RK1 w - -,e2f3
8/1p2q1k1/1rp5/p1n1pp2/P6P/2P2PK1/1P3R1N/3Q4 b - -,c5e6
r7/1b2kppp/4p3/p1N5/1pP5/4P3/3Q1PPP/q3KB1R w K -,d2d1
8/2r1b1k1/3p4/3Ppnp1/R5N1/7P/5BPK/8 w - -,a4a7
8/8/1R6/3k4/4n3/2P5/3K3P/8 w - -,d2c2
8/4KP2/8/7k/8/7p/8/5rR1 b - -,f1f2
B4rk1/5p1p/p3p1p1/1p6/1b3q2/1N5Q/PPP3PP/1K1R4 w - -,g2g3
8/4pkn1/3p2p1/p2P4/2R2PP1/rPBK4/1R6/3r4 w - -,d3e4
3r1rk1/pb1nqppp/1p1bp3/2p1n3/P1P5/3PPNN1/1B2BPPP/1R1QR1K1 b - -,f7f5
3n4/5kp1/p5p1/3r4/4N3/1PB3PP/5P2/2K5 b - -,g6g5
8/8/4p2p/4k1p1/6P1/1P1R2KP/r4r2/3R4 b - -,f2g2
2rn1rk1/pp2n1bp/1q4p1/4ppNb/1B1pP3/P2P2P1/1P3PBP/RQ2R1K1 b - -,g7f6
R1Q5/6p1/6k1/8/8/6P1/p5PK/3r4 b - -,a2a1q
r1r3k1/pb3ppp/8/3p4/1p1N4/1P6/P1P2PPP/R3R1K1 w - -,f2f3
2r2rk1/p5p1/q3pp1p/2bpQ3/2P1n2B/1P5P/P3NPP1/R3R1K1 w - -,e5b2
3r1rk1/1p3ppp/p3n3/n1p1N3/8/2P2N2/PP3PPP/R3R1K1 b - -,b7b5
8/5pk1/p2r4/7Q/1P1K4/8/8/8 w - -,d4e4
8/4r2p/6p1/p2Rp2P/6P1/PP3k2/2K5/8 b - -,e5e4
r3r1k1/pp1qn1p1/3p1n1p/2pPpP2/2P3P1/P1B1RN1Q/1P3P1P/R5K1 b - -,b7b5
r2q1rk1/p3ppbp/6p1/2Pp1b2/4N3/1P6/PBP1BPPP/R2Q1RK1 b - -,g7b2
8/5p2/6p1/1Q4Pk/2p5/2Pq4/1P1K4/8 w - -,d2c1
5R2/1p1r4/5bk1/5ppp/1B6/2P1K1P1/7P/8 w - -,f8g8
r2qr1k1/1b1n1pbp/p1pp2p1/1P2p3/3PPn2/1PP2N1P/1BQN1PP1/R3RBK1 b - -,a6b5
r2qk2r/1p3ppp/p2p1b2/3P4/3p4/3Q4/PPP1BPPP/2KR3R b kq -,e8g8
r1b2rk1/2q1bppp/p4n2/1pppNn2/5P2/2NP4/PPP2BPP/R2BQRK1 w - -,d1f3
1r4k1/6pp/4N3/3b4/3r4/1p4P1/5P1P/1R2R1K1 b - -,d4d2
8/4kpp1/2n1p1p1/2BpP3/p4P2/3K2P1/PP5P/8 b - -,e7e8
r2qr1k1/1pp2pp1/2nbb2p/p3p3/1P2Pn2/P1P1QN1P/1B1N1PP1/R2R1BK1 b - -,d8f6
r3kb1r/qp1b1p2/p2ppp2/P3n2p/N3P3/1N6/1PPQBPPP/R4RK1 b kq -,d7a4
1rb2rk1/1p1nppbp/p5p1/1Np5/2P2P2/1P2P1PP/P1N3B1/2RR2K1 w - -,b5a7
r2qr1k1/pp4pp/2p1bp2/2Qn4/8/PP4P1/1B2PPBP/R4RK1 w - -,e2e4
b1r2rk1/2q1bpp1/p2p1n1p/1p1Pp3/4P2N/2N4P/PP1B1PP1/2RQR1K1 b - -,c7d7
r1r3k1/4pp1p/1p3bp1/1p1P4/4P3/1NB5/2R2PPP/1R3K2 w - -,b1c1
2Nk3r/3n1p2/q4p1p/p3p3/4P2N/8/PPQ2PPP/1K5R b - -,a6c8
r1b1qr1k/4Np1p/p5pP/2Q5/3PpnP1/7B/PP6/2KR3R w - -,h1f1
3r4/p2bkr1P/1p4Q1/2qPp3/P1p3p1/2P5/2B1N1P1/1R5K w - -,g6g5
8/8/1K6/5k2/1P6/8/2n5/8 w - -,b4b5
8/1B6/5p2/3pk1p1/6P1/n2K4/5P2/8 w - -,b7c6
rnb1kb1r/1pq2ppp/p2ppn2/8/3NP3/2N1B3/PPPQBPPP/R3K2R b KQkq -,b7b5
2rk1b2/p6b/1p2Rp1p/3p2p1/N2P4/4P1B1/PP1K1PPP/8 w - -,a4c3
2r3k1/1q3pp1/5n1p/8/3Q4/1B2RPP1/5PKP/8 b - -,c8f8
8/4kp2/1np3pp/1p2p3/1Pp1P1P1/2P2PN1/P2K4/8 b - -,e7e6
2b2r2/p1p3kp/2p5/5pP1/2P2N2/1P4P1/7P/r2R2K1 w - -,d1a1
k7/pr1r1ppp/3p1n2/R3bN2/1Pp3P1/2P1B2P/1P3Q2/R1K4q w - -,c1c2
r1b2bk1/pp1q1p1p/2np4/2p3p1/8/1P1BP1QP/P1P2PP1/RN3RK1 w - -,g3g5
rnbqkb1r/ppp2p2/5n1p/4P1p1/3p3B/2N5/PPP3PP/R2QKBNR w KQkq g6,e5f6
r2q1rk1/2p1bppp/p1np1n2/1p2p3/3PP1b1/1BP2N2/PP2QPPP/RNB2RK1 w - -,f1d1
rn1qkb1r/1p2pppp/p1p2n2/3p1b2/2PP4/1PN1PN2/P4PPP/R1BQKB1R b KQkq -,e7e6
1rbq1rk1/pp1n1ppp/2p5/4p3/2PpBP2/3P2P1/PP1QP2P/2KR2NR w - -,h2h4
4rbk1/p4p1p/bq4p1/4PP2/2P1Q1P1/3r1N1P/P5BK/R3B3 b - -,d3e3
r4rk1/pp2ppb1/n3bnpp/2p5/2P1PP2/2N1BN1P/PP2B1P1/R2q1RK1 w - -,a1d1
5bk1/R2b4/3P3P/2nP2K1/2r5/2P5/2B5/8 b - -,c4c3
1r3r2/7k/2np1Ppb/p2Np1qR/R7/1PP2pP1/2B1QP2/4K3 w - -,h5g5
r3r1k1/1b1q1pp1/p1pPp2p/8/Pp6/3BP3/1PQ2PPP/2RR2K1 w - -,a4a5
r2r3k/pb2q1pp/1p1p1p2/4n3/1Q3B2/P3P3/1P2BPPP/2R2RK1 w - -,f1d1
r2qk1nr/pp1n1ppp/2pbp3/3p4/4P3/2NP1QPP/PPP2PB1/R1B1K2R b KQkq -,g8f6
2nrr1k1/1pq1ppbp/2p3p1/p3P3/2PP4/B3QB1P/P4PP1/2RR2K1 w - -,a3b2
5rk1/1p1rppb1/6p1/pP1P4/7B/8/P3BPP1/5RK1 w - -,e2f3
r2qk2r/1bp1npb1/pp1ppnpp/8/P2PPB1P/2N2N2/1PPQ1PP1/R3RBK1 b kq -,f6g4
b5k1/2R2r1p/1B4p1/P7/4N3/3r4/3N1P2/6K1 w - -,c7c2:c7c8
r2q1rk1/pb1nbppp/1pp1pn2/3P4/3P4/1PN2NP1/P1Q1PPBP/R1B2RK1 b - -,c6d5
2kr2br/1pq1b2p/5np1/p1p1p3/2P1N3/P1NP1n2/1P4PP/1RBQ1RK1 w - -,d1f3
rnbqk1nr/p1pp1ppp/1p2p3/8/1bPPP3/2N5/PP3PPP/R1BQKBNR b KQkq e3,c8b7
r3bN1k/1p4b1/p2p3p/2pn1p1n/P7/N3B3/1P2BPPP/2R2RK1 b - -,g7f8
6k1/5pp1/5b1p/3R4/8/4B1P1/r1r2PKP/2N5 w - -,c1a2
r1bqr1k1/1p1n1ppp/2pb4/p7/3Nn3/2P3P1/PP3PBP/R1BQR1K1 w - -,e1e4
4k2r/1qrnppbp/1N2b1p1/1Q2p3/4P3/4B3/P3BPPP/R2R2K1 w k -,a1b1
1r6/r3p1kp/P2p1pp1/2nP4/8/R4PK1/R2QB1PP/1q6 w - -,e2d3
r1b1kb1r/pp3ppp/1qn1pn2/3p4/8/1N4P1/PPP1PPBP/RNBQ1RK1 w kq -,c1e3
1r1qk2r/pb1nbppp/2p1p3/1p6/2pPPPN1/2P3P1/P5BP/1RBQ1RK1 b k -,e8g8
6r1/1p2k2p/1P2pbb1/1B1p1n1p/p2P4/Pr4PP/4KP2/2QR4 w - -,b5a4
6k1/R5p1/6p1/8/4PKP1/p7/5P2/r7 b - -,a3a2
8/8/5kp1/7p/7P/4KP2/5NP1/5b2 w - -,g2g3
2r1r1k1/6pp/Np6/pP3p2/5P2/P3P3/5n1P/R2R3K w - -,h1g2
r1b1kr2/p1pn1pQp/1pq1pp2/8/3P4/2PB1P2/P1P1N1PP/R2K3R b q -,f6f5
2r1nrk1/pp1b1ppp/3q4/2np4/3Np3/PP2PP2/1B1PB1PP/R2Q1RK1 w - -,f3e4
6k1/1p3p1p/2p1b1p1/6B1/r7/6P1/1b2PPBP/1R4K1 w - -,g2c6
r3q2k/1bp1P3/pp1p4/4b1Q1/P7/2NB4/1PP2P1P/4R1K1 w - -,g5h6
4r1k1/7p/1pNb2p1/p2Pp3/4P3/3b2P1/P2B2KP/2R5 w - -,g2f3
r2q1rk1/4bppp/np1p1n2/p2Pp3/2P5/4BP2/PP1QB1PP/R1N2RK1 b - -,f6h5
7r/8/p2k4/Pp1p1ppp/3P4/3KP1P1/5PP1/2R5 w - -,d3d2
rnb1kb1r/5pp1/p2p1q1p/1ppP4/4P3/5N2/PPQ2PPP/RN2KB1R w KQkq -,a2a4
r2r2k1/1p1b1ppp/p3p3/4Q3/q7/1NPB1PB1/P1P4P/1K5R w - -,h1g1
k1r1r3/q4pp1/p1P5/8/4p1P1/8/PP2Q3/1KRR4 b - -,c8c7
2k5/2p3pp/2P2p2/1P2n3/5rP1/7P/7K/2R5 b - -,f4b4
8/4R3/8/3B2P1/4p3/3b2k1/1r6/6K1 w - -,e7b7
r3nrn1/pb1q2b1/1p1p1pk1/2pPpNBp/4P1N1/P1PB1R1P/1P1Q2P1/R5K1 w - -,g5e3
3rr1k1/1pp1qpp1/2n2n1p/p3p3/2P1b1P1/PP2QN1P/1B2PPB1/2RR2K1 b - -,e7e6
rr2n1k1/p3qpb1/3p2p1/1bpP3p/4PB2/2N2P2/1P1Q2PP/R3RNK1 w - -,f1e3
8/8/8/p5k1/1p1p2pn/1P1P4/1P3K1P/4N3 w - -,e1c2
r1b4r/ppb3k1/5ppq/2PB1p2/3Q1N2/4P1P1/P4P2/1R1R2K1 w - -,b1b7
1r1r1bk1/1q2np1p/ppn3p1/2p1p3/P3P2P/N1P1BBP1/1P2QP2/R2R2K1 w - -,h4h5
