1k6/1p3R1p/p1b5/P3K3/1P6/8/8/8 w - -,f7h7
8/5r1k/p2B3p/5Pp1/2Pp2K1/2p1r1N1/P1P5/3R4 b - -,d4d3
5r2/pbq3k1/1p2p2p/2n1P1pP/3R2B1/8/P1Q2PP1/5RK1 b - -,c7f7
r1bqk2r/pppp1Bpp/8/8/1n1Pn3/5N2/PP3PPP/RN1QK2R b KQkq -,e8f7
rn1q1rk1/1p1bbpnp/p5pB/2pPp1P1/2P1P3/2N4P/PP1QBP2/R3K2R w KQ -,d5d6
8/3QR3/p2P2k1/4r3/4q3/1N6/PP6/1K6 w - -,b1c1
2n2kr1/bpp2n2/4pB1p/pP1pPp1b/P2P1P2/2PB1NNP/5K2/7R b - -,h5f3
r1b1k2r/1p2npp1/ppnp1q1p/4p3/PPB1P3/2PP1N2/4QPPP/RN3RK1 b kq -,c8g4
8/8/1bp3N1/p6p/3p1P1P/1P1K2k1/P7/8 b - -,g3g4
1r2r1k1/1bpn1ppp/p2p1n2/7q/1PP1p3/PQN1N1P1/4PPBP/R2R2K1 b - -,d7e5
2r3k1/1p3pbp/p3b1p1/6Q1/1n1rNPP1/2PB3P/PKP5/8 w - -,c3d4
4r1k1/1p1b3p/3p2pb/1q1Ppp2/rBN1Pn2/7P/1Q3PP1/1R2RBK1 b - -,b5a6
r2r1bk1/1q3ppp/4p3/1bnpP3/1p1B4/1P3PP1/P2RN1BP/1Q1R2K1 w - -,e2c1
r1bqr1k1/pp1p1p1p/2n3p1/2b2p2/8/2PBP3/PP1NNPPP/R2Q1RK1 b - -,b7b6
r2r2k1/1pb2ppp/pqnB4/3Q4/N1P5/8/PP1R1PPP/5RK1 b - -,b6a5
r6r/pp1nkpp1/n1p1p1p1/3pP3/3P2PP/5N2/PPPKNP2/3R3R w - -,h4h5
rkb1r3/p1p4p/1pP4N/3n3P/4p3/1P2P1P1/PB1K1nB1/3R3R w - -,d1f1
rnbq1rk1/pp3ppp/2pbpn2/3p4/2PP4/5NP1/PPQNPPBP/R1B1K2R b KQ -,b8d7
6k1/1p5p/pB1p4/PP1P2b1/2P3p1/4p3/2q3PP/5QK1 b - -,e3e2
r2r2k1/p1qn1p1p/1p2pnp1/2pp4/3P1P2/2PQ1NP1/PP1N1P1P/2R1R1K1 b - -,c5c4
r1r3k1/5p1p/bq3np1/R2p2Q1/Pp1P4/4P1P1/3N1PBP/R5K1 w - -,a5c5
r2qr1k1/1b1n2pp/1p2Rn2/p1b5/P1p2B2/2N2NP1/1P3PBP/R2Q2K1 w - -,d1e2
2rq2k1/1p4rp/pN1pb3/4bp2/1QP2B2/1P6/P5PP/3R1RK1 b - -,e5f4
r4rk1/1p3p1p/2b1p1p1/p7/P1B2P2/3P4/5KPP/R3R3 b - -,f8d8
1q1r1bk1/pb3ppp/1pn5/3p4/3P4/P2Q1N2/BP3PPP/2B1R1K1 b - -,g7g6
5nk1/6r1/1pnN2P1/2qpPp2/3Q4/2P5/1R6/rBK3R1 w - -,d4c5
3r2kb/pp2pp1p/1n4pB/8/4PP2/1P3B2/1P4PP/1K5R w - -,e4e5
r2qk2r/pppnbppp/4pn2/2Pp4/1P1P1P2/3BPP2/P6P/RNBQ1RK1 b kq b3,e8g8
8/8/2k4p/K7/1pPp2B1/1P4bP/2P5/8 w - -,a5b4
r1bqk2r/ppp3b1/5pp1/3p3p/3P2n1/1P2P3/P1P3PP/RNBQKB1R w KQkq -,f1d3
1rb2rk1/7p/p3p1q1/4p1QN/1p6/7P/PPP3B1/5RK1 w - -,f1f8
r2q3r/5pkp/B2pb1p1/4p1b1/QN2P3/2P5/1P3PPP/R3K2R w KQ -,e1g1
3rr1k1/ppp1qp2/2npb2p/2b1p1pn/4P3/1BPP1N1P/PP1NQPPB/R4RK1 b - -,g5g4
8/1r6/1b4p1/7p/RB3PP1/1P1k4/K7/8 w - h6,g4h5
r1r3k1/1b1n1p1p/p5p1/2n1p3/1p2Pq2/5PNQ/PP4PP/1B1RR2K b - -,c8d8
rn1qkbnr/pp2pppp/2p3b1/8/3PN3/3B1N1P/PPP2PP1/R1BQK2R b KQkq -,e7e6
4k1r1/2pr1p1p/ppN5/2p5/4Pn2/2P3P1/PP5P/3RR1K1 w - -,c6e5
r4rk1/5ppp/p1qp1b2/1pn1p2b/4P3/2P2N1P/PPBNQPP1/R2R2K1 w - -,d2f1
r2q1rk1/pp3pb1/2b1p1pn/2B1P2p/4NP2/6PP/PP4B1/R2Q1RK1 b - -,d8d1
r7/5p2/2k1p1n1/pN2Pp2/PbP2P2/3RB2P/2K5/8 b - -,a8h8
3r2k1/p4p1p/4p1p1/2p5/1qP3P1/4P3/P4P1P/Q1R3K1 b - -,b4d2
rn2rnk1/3qbppp/1p1B4/pP1pPb2/3P4/3B1N2/2Q2PPP/R1R3K1 w - -,d3f5
8/3r2k1/r1pP1pp1/2R3P1/p4P2/2P5/P5K1/3R4 w - -,g5f6
4k3/8/6N1/5PP1/2B3K1/6P1/2r5/8 w - -,c4e6
1r3rk1/pp3p1p/6p1/3Rp3/8/2P1P2P/PP4P1/2K4R b - -,f8e8
r4r2/pp4pk/1q5p/3pPp2/2p1nP1P/2P2QP1/PP6/R3RBK1 w - -,f3e3
2r2rk1/1p1npp1p/1pnpb1p1/6P1/3NPP1P/2N5/PPP1B3/2KR3R b - -,c6d4
r1bq3r/1p3k1p/p5p1/2Qp2N1/6n1/6P1/Pb1BPPBP/R3K2R b KQ -,f7e8
r1bqr1k1/ppp4p/4pbp1/3p1p1Q/5P2/2PBP3/PP1N2PP/2KR3R w - -,h5f3
r2qk2r/p4bbp/2p2np1/2Bp4/5P2/2N3PP/PP4B1/R2QK2R b KQkq -,f7e6
1r6/3bk1p1/p2q1p2/Q1pPp3/1nB1P1P1/1PN2P2/4R3/5K2 w - -,e2h2
5rk1/qbrnbpp1/4p2p/pP1pP3/2pP3P/2P2N2/2QNBPP1/RR4K1 w - -,d2f1
rnb1k2r/pp3pp1/1qpb3p/3p4/3P4/2NBPN2/PPQ2PPP/R3K2R b KQkq -,c8e6
8/7B/6pp/4k1p1/1p3n1P/1P4K1/5P2/8 w - -,h4g5
r1bqkb1r/pp3ppp/4p3/2P1n3/3P4/8/PP2NPPP/R1BQKB1R b KQkq d3,f8c5
r2qk2r/ppp2ppp/5n2/1QPp4/3Pp3/1P6/PBnP1PPP/RN3RK1 b kq -,c7c6
2r5/pp2kp2/4qp1Q/2n5/8/4P3/P1P2PrP/3R1R1K b - -,c8g8
rn1q1rk1/p1p1bppp/1p2pn2/8/2QP1B2/2N1PN2/PP3PPP/2R1K2R b K -,c7c5
8/2k4r/1p1p2q1/p3p3/2P1P3/1P2Q3/P2R2P1/6K1 w - -,d2f2
4k2r/1b3p2/p2pp3/1p4q1/3NP3/2nP1B2/P3Q2P/K6R w k -,e2c2
8/pp2k1p1/4p2p/4Rp2/1Prr4/P2R1KP1/5P1P/8 w - -,d3e3
1r4k1/1r3pp1/pB5p/4pQ2/1P2B1P1/q2p2P1/5P2/3R2K1 w - -,f5h7
3r4/r4pk1/Pp3qp1/2pB3p/4P1bP/R5P1/3Q1PK1/1R6 b - -,g7f8
r1br2k1/bp2qppp/2n2n2/1N1p4/8/P3PN2/2Q1BPPP/R1BR2K1 b - -,a7b8
4r1k1/5pp1/1N1r3p/P1p5/5n2/1PB2bP1/R4P1P/1R4K1 w - -,b6c4
br3rk1/2q1b1pp/P2pp3/N1n2p2/2P1P3/2N1BP1P/3Q2P1/R1R3K1 b - -,f5e4
r2qr1n1/2p3b1/p5kp/2BPpb2/2p1P1p1/2N2P2/PP1Q4/R3K2R w KQ -,e4f5
r2q1rk1/pp2bppp/2n1pn2/2ppNb2/3P4/2P1P3/PP1NBPPP/R1BQ1RK1 w - -,e2d3
rn1r2k1/1pqb1ppp/p3p3/8/1b2N1P1/7P/PPP1QPB1/R1B2RK1 w - -,c2c4
1R6/6pk/1P6/7p/q7/8/6PP/5Q1K w - -,b6b7
5rk1/2p2p1p/1p1npp2/8/1NP5/rP1RP1P1/5P1P/2R3K1 b - -,d6e4
2br1r1k/1pp1n1bp/p2p1qp1/4Pp2/P1BP1p2/1NP5/1P1N1PPP/R2QR1K1 b - -,d6e5
r2qk2r/pp3pbp/2n1b1p1/2pnp3/8/2NPN1P1/PP2PPBP/R1BQ1RK1 b kq -,d5e7
2r2r1k/p1nqb1pp/bp3n2/3p1p2/3Pp3/2N1BPPN/PPQ1P1BP/2RR2K1 w - -,c2d2
1r1q1k1r/ppp1nppp/6b1/4P3/1nPN2P1/3pPN1P/PP3PB1/R2Q1RK1 w - -,f3g5
8/p6p/1P6/P2k1pp1/8/3K1P1P/8/8 b - -,a7b6
2b2r1k/1p4bp/1p4p1/3B1p2/2P2B2/6P1/r3P2P/1R2R1K1 w - -,b1b6
6k1/7p/6p1/1R3p2/1P2p2P/4P3/5PPK/1r6 b - -,g8g7
1r6/3b1pkp/4p1pR/p2pP1P1/1p1N1P1P/3P4/PP1K4/8 w - -,h4h5
5rk1/2q2pb1/r3p1p1/pp2Pn1p/n3NP1P/2PP2P1/3BQ1B1/R4RK1 w - -,d3d4
rnbqk1nr/pp1pp1bp/6p1/8/2PNN3/8/PP3PPP/R1BQKB1R b KQkq -,d8a5
8/1p3p2/8/1P3k1p/7P/3r1bP1/3B1P2/1R2K3 w - -,b1b4
6k1/1p6/p4r1p/6R1/8/2P1P3/PP6/2KR4 b - -,h6g5
8/5k2/4N2p/4b3/2R3P1/8/6r1/4K3 w - -,e6c5
r2r2k1/1bq2ppp/p1npp3/1p4Q1/4P3/P1N5/1PP1BPPP/3R1RK1 w - -,d1d3
8/1p1b4/p2p1k2/P2n1p1n/5P1N/3B3N/1P4PP/6K1 w - -,g2g3
rnbqk2r/pp1pppbp/5p2/2p5/3P4/4P3/PPP2PPP/RN1QKBNR w KQkq -,c2c3
3n3k/1p2b2r/1Bppp3/4p3/1P2P1np/P1PP4/3Nr1P1/R3N1RK b - -,h4h3
r2r4/2p2p1p/2p1b1p1/1kN5/p3PP2/KP2B2P/2P3P1/4R3 w - -,c2c4
rn1qkb1r/pb1p2pp/1p2pn2/2p2p2/3P4/2P2NP1/PP1NPPBP/R1BQ1RK1 b kq -,f8e7
r3r1k1/1p1q1pbp/p2p2p1/n1p2bB1/2P1N3/1P4P1/P3PPBP/1R1Q1RK1 w - -,d1d6
6k1/5pp1/p5q1/2pr3p/4p2P/1PQ1P3/P3bPP1/2R2NK1 w - -,f1g3
1rbb1rk1/2qn1ppp/3p4/2p1pNP1/1p1nPP2/3P2NP/1PP3B1/R1BQ1RK1 w - -,b2b3
8/p3b3/1p2Bk1B/1Pp2P2/r7/3K4/8/6R1 b - -,c5c4
6k1/7p/2p3p1/3rbpB1/1P6/P2r2P1/3NRP1P/Q5K1 b - -,e5a1
2r1r1k1/1p5p/p2b4/3p1p2/6n1/2PQBN2/PP2NnP1/R3R2K w - -,e3f2
8/3k4/4pK1B/5p2/1p4r1/8/4R1P1/8 w - -,h6f8
2R5/8/K5pk/7p/8/4P1r1/2R5/8 w - -,c2e2
r1q2rk1/1Qp1n1bp/3p1n2/N1PPp3/4Pp2/2N2Pp1/5BPP/R4RK1 w - -,h2g3
r2q1rbk/pp2R1pp/1b1P1p2/2p5/Qn4P1/5NBP/PP3PB1/3R2K1 b - -,b4c6
r1b2rk1/pp3ppp/2n1pn2/3q4/1b1P4/2NBBN2/PP3PPP/R2Q1RK1 b - -,b4c3
4BR2/2k3r1/2n1p3/pp1pPp2/2pP4/P1P5/2P1KP2/8 b - -,c6a7
4r1k1/1b3nb1/1NqPp1p1/4p3/1p6/PP1R4/4QPP1/3R2K1 w - -,e2g4
r1b1k2r/3pqppp/2p5/1p2P2P/4PBQn/1P6/PP3P2/R4K1R b kq -,h4g6
rn2kb1r/pp2p1pp/1np1P3/4p3/2P3P1/2N5/PP2BP1P/R1BqK2R w KQkq -,e1d1
3r4/1k5p/pn1qQ1p1/3p2P1/2pR4/8/1PP5/1K3R2 w - -,f1f7
3k1r2/1p1rpp2/p1np4/3N1P2/6R1/2P3P1/PP4K1/7R w - -,g4h4
5r1k/7p/pPR3p1/4p1b1/2B1n3/N7/PP4PP/7K b - -,g5e3
2k5/R7/2b1r1p1/3pBp2/2pK3P/2P3P1/P7/8 w - -,a7g7
3r1rk1/2q1ppb1/2p1b2p/pp2P1p1/2p5/P2PQ1BP/1PPN1PP1/R3R1K1 w - -,d3c4
8/5bk1/Q4p2/4pq2/7p/4B2P/6PK/8 b - -,f5e4
6k1/5pp1/3p3p/1Q1PqN2/1n2P3/p5PP/7K/8 b - -,a3a2
7k/4R2p/3p2p1/4b3/2R5/r6K/4PrB1/8 w - -,g2f3
2rq1rk1/1p1n1ppp/p2p4/3Pn1B1/2P5/1N6/PP2BRPP/2RQ2K1 b - -,d8g5
4k3/2b2p2/pp2pn2/3p1p1p/PP1P3P/2KNPPP1/4N3/8 w - -,d3e5
r1bqkbnr/pp2pp1p/2np2p1/2p5/4PP2/6P1/PPPP2BP/RNBQK1NR w KQkq -,d2d3
rnbr4/ppp1qpbk/6pp/1B1Pp3/8/4BN1P/PPPQ1PP1/3R1RK1 w - -,f1e1
r1bq1rk1/pppnbppp/4pn2/8/3PN3/3B4/PPPBQPPP/R3K1NR w KQ -,e1c1
r2qk2r/3n1pb1/pp1p3p/2pQ2p1/P3P3/2P1NNP1/1P3PP1/R3K2R b KQkq -,e8g8
1r1q1r1k/5p1p/3p2p1/3Np1b1/1p2P3/2PQ4/R4PPP/5RK1 w - -,c3b4
r4rk1/ppp2p1p/6p1/4b3/2nBP3/3R4/PP2NPPP/2KR4 b - -,f8d8
1r4k1/5ppp/5b2/1p6/3N4/2KpP1P1/P4PBP/8 b - -,f6d4
1qrr1bk1/1b3ppp/pN6/3p4/1PPN2n1/P7/3Q2PP/2RR1BBK b - -,d8d6
r1b1r1k1/p3qp1p/2pR2pb/1p6/2B1P1P1/2P2NQP/PP3P2/R5K1 w - b6,c4b3
2r3k1/2q2pbp/4p1p1/p2n2P1/Np1r1P1P/1P4N1/P1P2RK1/2Q2R2 b - -,e6e5
r3kb2/1pq2pp1/p3p3/2p1N3/3p2P1/P2P1QB1/5P2/nN3K1B w kq -,e5c4
2rr2k1/4qppp/p2p4/1pnBp3/2n1P3/2PR1N1P/PP2QPP1/4R1K1 w - -,d3d1
5r2/4qr1k/1p1p2pb/p1pPp2p/Pn2P2P/1PN1BPP1/4Q1K1/R4R2 w - -,e3h6
1r3rk1/4ppb1/b2p2p1/p2P3p/2p1PN1P/2NnBP2/PPRK2P1/1R6 b - -,f8c8
8/5k2/2R4p/5p2/8/3q3P/1R5K/8 b - -,d3d7
r3q1k1/2p3bp/1pPpn1p1/3Pp3/p3P3/P7/1PQ1BBPP/1R4K1 b - -,e6d4
3r2k1/3r2pp/2q2p2/R2n4/3Q4/5N2/1P3PPP/3R2K1 w - -,a5c5
r2q1r2/1bppnpbk/p5pp/np2P3/5B2/1BN2N2/PP1Q1PPP/R3R1K1 w - -,c3e4
2r3k1/1qr1b1pp/2bpp3/1p6/1P1Qp3/3B2PP/P1R1NP2/2R3K1 w - -,d3e4
6k1/1p2rppp/3p1r2/N1pP2b1/PnP5/6K1/1P3P2/1R3B1R w - -,f1h3
2r3k1/p1rn2p1/1p1q1p1p/3Pp3/2P1Q3/7P/PB3PP1/2RR2K1 w - -,e4g4
1r4k1/1r1np1bp/3p2p1/2pP1p2/1n2PP2/2N4P/PP1B1KP1/R2RN3 w - f6,e4f5
r3r1k1/p6p/1p3np1/1nPp4/5P2/P1P3N1/1B4PP/R4RK1 b - -,b6c5
1k1r4/1p2qpp1/1ppbp2p/r3N2P/2PPQPP1/1P1R4/P7/1K3R2 w - -,f1d1
2r3k1/1p2R2p/3p2p1/1r2BqP1/8/p6P/b5B1/4R1QK b - -,b5e5
r4k2/p4p2/4p1pb/1N1p4/5P2/q1P1P3/PP4P1/2KR4 w - -,b5a3
8/8/2b5/1pkpp3/5p2/2P1bP2/BP2N1K1/8 b - -,c6d7
r1bqnrk1/pp2ppbp/2np2p1/2p5/2P5/P1NP1NP1/1P2PPBP/R1BQ1RK1 w - -,c1d2
2Rnr1r1/3N4/p5k1/3P1p1p/8/B2P1K2/4P2P/8 b - -,f5f4
r1bqkb1r/pp1p1ppp/2n1pn2/2P5/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,f8c5
4r3/p2k1ppp/3p4/2p2b2/8/1PR2N2/P1P2PPP/5K2 w - -,h2h3
8/6kp/3r4/1p2R1P1/p5PP/P3K3/1P6/8 b - -,d6b6
r5k1/pp2Pp1p/3p1qp1/2pPn3/Q3R1b1/8/P2b1PBP/1R4K1 w - -,e7e8q
2rr2k1/1p3ppp/5n2/1p4B1/2pb4/P1P2P2/1P4PP/3R1R1K w - -,c3d4
8/8/3R4/2P2ppk/7p/7K/3r2P1/8 b - -,d2c2
B4r1k/2q3pp/b7/p1p2pP1/P6P/1P3Q2/1bP5/R5RK w - -,a1d1
2k2r2/3n3R/p1p5/1PPp2p1/P2Pr3/2BN2P1/7P/6K1 b - -,a6b5
4kN2/8/5p1p/2pKpP2/1bP5/7P/8/8 w - -,f8e6
2r1r1k1/1R2bp2/B1pp1n1p/4p1p1/4P3/5PB1/PPP3PP/2K4R b - -,c8a8
1R6/8/3P2R1/k4r2/2P1p3/8/3r1PK1/8 w - -,d6d7
8/pr3NK1/8/P3R1n1/2k4b/4B3/8/8 w - -,e3g5
4r1k1/3n3r/1pNp1bq1/p2Pp3/P3PpN1/1P5P/4Q1P1/2R2RK1 w - -,b3b4
r1bqkbnr/1p3ppp/2P1p3/1pp5/3P4/5N2/PPPN1PPP/R1BQK2R b KQkq -,b7c6
6k1/8/7R/5P2/3N1P2/8/p3r2P/6K1 w - -,d4b3
r4r2/1p3kpp/p1p1b3/2Pp1p2/PP1R3P/R3P1P1/5PB1/6K1 w - -,g2f1
2r5/8/4p1pk/p1P1R2p/2K5/7P/2R3P1/1r6 b - -,c8c6
r1bqk2r/pppp1ppp/2n1pn2/8/1bPP4/2N2N2/PPQ1PPPP/R1B1KB1R b KQkq -,d8e7:e8g8:d7d6:d7d5:h7h6
rn2kbnr/1b1p1ppp/P7/2p1P3/3p1N2/5PP1/PP1Q3P/R3KB1R b KQkq -,b8a6
r2qr1k1/p4pbp/2p3p1/2B2P2/3p4/6PP/PP3P2/1R1Q1RK1 w - -,f5g6
r4r2/pp2k2p/3p1n1b/2pPqb2/2P1pN2/4P2P/PP1QNRB1/2K2R2 b - -,f5g6
r2q1rk1/p4pp1/bpn2b1p/2pp4/3P4/1P3NP1/P1Q1PPBP/RN1R2K1 w - -,e2e3
6k1/3r1pp1/pbrP2np/P1p2R2/2P1N3/2B5/1R5P/7K b - -,b6a7
r4rk1/1p1bbppp/8/pP1pP3/5P2/P2B4/1BK3PP/R6R b - -,e7c5
8/4p3/3p4/3Pb3/6pk/1r6/6B1/3R2K1 b - -,b3b2
Q1b1r1k1/p2pnpbp/1q3np1/1Np3B1/1pP5/4P3/PP1N1PPP/R3KB1R b KQ -,a7a6
2rqrnk1/pb2pp1p/1p3npb/4N3/2PP4/3B4/PB1NQPPP/3R1RK1 w - -,f1e1
q1r2nk1/1brnbpp1/pp1pp2p/7P/2PNPP2/1PNQBB2/P5P1/2RR2K1 b - -,f8h7
2r2rk1/pp1n1pbp/2p1p1p1/3p1n2/P2P1P2/2PP1NP1/1P1B2BP/R3R1K1 w - -,f3e5
4rr1k/1pqn2b1/3p3p/p1pP1P2/5PQB/PP1B4/6P1/1RR3K1 b - -,d7f6
1rbq1rk1/1p2npbp/p1npp1p1/2p5/1PP1P3/P1NP2P1/4NPBP/1RBQ1RK1 b - -,c6d4
r3qrk1/1bpn1ppp/pp3n2/4p1B1/PbB1P2N/2N4P/1PP1QPP1/R2R2K1 w - -,c3d5
2k1r3/ppp4p/1n1b2pB/3pN3/5P2/2Pb4/PP3P1P/2K1R3 w - -,e5d3
3r4/pQ5p/3p1qpk/1Pp1b3/2PnP1P1/P5BP/6BK/3R4 b - -,e5g3
rn1q1rk1/1ppnppbp/3p2p1/p2P4/2PNP3/2N1B3/PP2QPPP/R3K2R b KQ -,b8a6
r2qk2r/pp1nppbp/2p3p1/2p5/P3P3/2NPBb2/1PPQ1PPP/R3K2R w KQkq -,g2f3
r1bq1rk1/ppp1nppp/1b1p1n2/4p3/NPB1P3/2PP1N2/P4PPP/R1BQK2R w KQ -,e1g1
r4rk1/pp1b2pp/2p1p1q1/3pPp2/2P3nP/BPQ1P1P1/P3BP2/3R1RK1 b - -,f8f7
r2q1rk1/pb1nbppp/1p2pn2/2pp4/1PPP4/P4NP1/3NPPBP/R1BQ1RK1 w - c6,b4b5
r2qk2r/1b1n1p2/p2p3p/1pp1pPp1/P2nP1P1/1P1P3R/1BPQN1BP/R6K w kq -,e2d4
1rb3k1/2p1q1pp/p4b2/1p1Rp3/2p1PP2/6P1/PP2Q1BP/R6K w - -,a1d1
2b3r1/r1q2p1k/p4Qp1/1p2P2p/3N3P/7B/PPP5/1K3RR1 b - -,c8h3
2r5/2rb2pp/pnpk4/1p2R3/3N1P2/1P3B2/P4KPP/3R4 b - -,b6d5
r3r1k1/nb3ppp/1q3b2/p3p3/1pR1P3/1P3N1P/PB2QPP1/1BR3K1 w - -,c4c5
