8/3R2p1/1R3bkp/p7/P3KP2/4P2r/8/8 w - -,d7d5
1k6/1p1K3p/2P2Rp1/1P1r4/5p2/8/7P/8 w - -,d7e6
6r1/2p1k1b1/2bpp2p/p5pB/4P1N1/5PP1/P1P3P1/2KR4 w - -,d1d3
3r4/5pk1/1n4p1/4p1P1/6B1/8/1p3K2/1R6 w - -,b1b2
5r2/p1p1k1pp/1p1rp3/3pR3/3P1P2/2PP2P1/P5KP/1R6 w - -,g2f3
rnbqk2r/ppp1bppp/3p1n2/8/2BNP3/8/PPP1QPPP/RNB1K2R b KQkq -,e8g8
r2qkb1r/1p2pppp/p1n2n2/2pp1b2/3P4/1P2PN2/PBP1BPPP/RN1QK2R w KQkq -,e1g1
rn1q1rk1/pp2ppbp/2p2np1/3p4/2P3b1/1P2PN1P/PB1PBPP1/RN1Q1RK1 b - -,g4f3
1R6/1prr1pk1/pR6/2p2PK1/2P5/PP6/8/8 w - -,b6h6
4r2k/8/5b2/2RP4/pr6/2N5/P1KR4/8 w - -,c5c6
r1qr1bk1/p4pp1/1p2pn1p/2pP4/P1Q1P3/2P1N1P1/1R3P1P/2BR2K1 b - -,e6d5
4r1k1/5p1p/pp2q1p1/3Qb1Pn/2P4P/1N2P3/P5R1/5RK1 b - -,h5g3
r3r1k1/p2bqpb1/3p2p1/1ppP3p/Pn2PPn1/N4B1P/1P2N1P1/R1BQ1RK1 b - -,b5a4
4kb1r/1p2pppp/1p3n2/rN1pnb2/P1pP1B2/2P5/1P2PPPP/R3KB1R w KQk -,d4e5
8/5pk1/5p2/p3pPb1/P1r5/3K1RPp/7P/1R6 b - -,c4a4
r2k1b1r/1p1bnppp/p1n1p3/1N1pP3/3N1P2/1PP1B3/1P4PP/R3KB1R b KQ f3,e7c8
2r4k/p5bp/1p4p1/4p3/2P1P1q1/1PNR2P1/P3NBK1/8 b - -,g7f8
r7/3Bp3/8/3k4/1P1P1K2/P5Pp/7P/8 b - -,a8a3
r1b1r1k1/pp1q1ppp/2n5/2bp2B1/8/3Q1NP1/PP2PPBP/3R1RK1 b - -,c5b6
8/1p2rp2/1p1k2p1/4p2p/B1P1P2P/8/PPK2RP1/8 b - -,e7c7
2r2r2/p1n1n1kp/1p1p4/2p5/2P1pP1N/1P2N1P1/P6P/R4RK1 w - -,a1d1
r2qk1nr/1bpn1pbp/pp1pp1p1/8/2PPP2P/2N1BP2/PP1QN1P1/R3KB1R b KQkq h3,h7h5
1r6/1bN2Qbk/pp1q2p1/2p1r3/P5p1/8/1P4PP/R1B2RK1 w - -,c1f4
1rk2br1/ppn3p1/2p1pp1p/2P4P/2PPpBPN/1R6/4PP2/1R4K1 b - -,f8e7
5rk1/1Q3pp1/2p3np/B2n1b2/P7/2N3PP/2q1PPB1/3R2K1 w - -,g2d5
2rqkb1r/pb1p1ppp/1p2pn2/8/1n1P4/1P3N2/PBPNBPPP/R2QK2R w KQk -,c2c4
r2qr2k/4bpp1/4B2p/2np4/2n5/4PNB1/2Q1NPPP/1R3RK1 b - -,c5e6
1r6/2r1bpk1/R4p2/4p2p/2B4P/1PN5/P1b3P1/K2R4 w - -,d1c1
5k2/1p5p/r2p1r2/p1nBp3/2P2P2/1P2R1p1/P7/5RK1 w - -,e3g3
7r/pp1bn1p1/3k4/3p4/3P4/5PKP/PP1R2P1/2R5 w - -,g3f2
r3qr1k/1p1b1pbp/nN1pn1p1/p3p3/2P1P1P1/P3B2P/1PQNBP2/R3K1R1 b Q -,a8b8
r1bqk2r/ppp1bppp/2n5/3np3/8/2NP1NP1/PP2PP1P/R1BQKB1R w KQkq -,f1g2
2r2rk1/5ppp/p1bRp3/1p2n1P1/4P2P/P3BP2/1PP1B3/1K5R w - -,b2b3
2brr1k1/1p3p1p/1qpp2p1/2n5/1pPN4/P5P1/2QRPPBP/1R4K1 w - -,a3b4
r5n1/2p3k1/p2P1q1p/P2P1rp1/1N2Q3/3N2P1/7P/3R2K1 b - -,c7d6
rnbqk2r/pp2bppp/2p1pn2/3p4/2PP4/2N1PN2/PP1B1PPP/R2QKB1R b KQkq -,b8d7
rn3rk1/pp1b1ppp/5n2/1q6/N2p4/1P4P1/P2NPPBP/R2Q1RK1 b - -,b8c6
r1bqr1k1/bpp2pp1/p1np1n1p/4p3/4P3/1BPP1N1P/PP3PP1/R1BQRNK1 b - -,c8e6:f6h5
r4rk1/2q2pb1/p1Ppp1p1/1p2n1Bp/6PP/1B3P2/PPP1Q3/2KRR3 b - g3,h5g4
r1bq1rk1/pp2bppp/2n2n2/3pN3/3P4/1PN3P1/4PPBP/R1BQ1RK1 b - -,c8f5
3r1r2/3P1p1k/p4qp1/2p1pPRp/P1p5/2P4P/3Q2P1/4R2K w - -,e1e5
r4rk1/p1pbqppp/2p5/b2pPP2/3B4/2N5/PPP2QPP/R3R1K1 b - -,a5b6
2r3k1/p4pp1/1pn3bp/8/3B1PP1/1BP5/P2R1K1P/8 b - -,c6a5
r1b1k3/pp4pp/n1p1pp2/2P5/P1N1P3/1P4P1/5PBP/3R2K1 w - -,c4d6
r1b2rk1/2q2ppp/p2p1b2/1pnp4/3NP2P/2N2Q2/PPP2PP1/1K1R3R w - -,c3d5
8/7p/6pk/p2p4/8/P1r5/1R4K1/rB6 b - -,a1a3
r4rk1/pb2qppp/2p1p3/R7/3P4/2PR4/4QPPP/1B4K1 b - -,c6c5
r4r2/pp1nqpbk/2p1p1p1/3pPn1p/3P1P1P/3B1P2/PPPQNB2/2K3RR b - -,g7h6
3r1r2/pp2b1k1/2p2n1p/2N1pB2/8/4P1P1/PP3PP1/2R3KR b - -,e7c5
r4rk1/6b1/1p2P1Bp/p2P4/P1Pp2p1/1P5q/2Q1R2P/3R3K w - -,g6f7
3r2k1/4bppp/1pB1p3/3pP3/1P3Bb1/r1P5/P4PPP/R1R3K1 b - -,g4e2
1r6/3qnrk1/p2p1n2/2pPpPp1/1pP5/1P1Q1PP1/PN4N1/2R2RK1 b - -,e7f5
r1bqk1nr/ppp2pb1/3p2p1/4n2p/4P2P/2N1B2N/PPP1BPP1/R2QK2R b KQkq -,g8f6
8/1p1Qr3/p4p1k/4q2p/8/P3P1RP/1n3PPN/6K1 w - -,d7c8
rnbqk2r/4p1bp/P2p1np1/2pP1p2/8/5NP1/PP2PPBP/RNBQ1RK1 b kq -,e8g8
3RN3/5pkp/2p1b1p1/2r5/5P2/r1n1PK2/P2N3P/R7 b - -,g7h6
3r2k1/5p2/B1p4p/p1Nr2p1/Pp1n2n1/8/1P3PPP/2R1RK2 b - -,g4h2
r2q1rk1/1b1nppbp/pp1p1np1/2p5/2BP1B2/2P1PN1P/PP1N1PP1/R2QR1K1 w - -,a2a4
r1b2rk1/pp1N1pp1/2p2q1p/3p4/1b1P4/2N1P3/PPQ2PPP/R3KB1R b KQ -,c8d7
r3rnk1/1b3p2/1pp3p1/p2pP3/3P1qn1/1P1B1NN1/P1Q2PP1/2R1R1K1 w - -,g3e2
4b3/2p5/3k1p2/p1p2B1p/1p2PP1P/P1PK4/1P6/8 b - -,e8b5
r2r2k1/1p2qppp/p1n1b3/3p4/5R2/3B1N2/PP1Q1PPP/4R1K1 w - -,f4h4
r1b1k2r/p3bppp/2pq4/3pp3/4n3/2P1BN1P/PP3PP1/RN1QR1K1 b kq -,e8g8
8/2p2n2/1pk4p/6p1/5PP1/2P2K2/3N4/8 b - -,c6d5
2r3k1/5ppp/4pn2/4N3/3RP2P/5PP1/6K1/8 b - h3,f6e8
2q3rk/p3p2p/1p2Pp2/2pPb1pQ/2P1P3/7R/P5PP/2R4K b - -,g8g7
r1b1k2r/p1p2ppp/2p5/3pP3/8/3B2B1/PqP3PP/RN1Q1K2 w kq -,b1d2
r1q2rk1/pp2ppbp/1n2bnp1/3p2B1/3N1P2/2N1P3/PPP1B1PP/R3QRK1 b - -,b6c4
1r3rk1/2q2ppp/1n2p3/1Qp5/p7/1PP2B2/P2R1PPP/5RK1 w - -,b3a4
1rbqr1k1/3n1pbp/p2p2p1/1NpP4/4PP2/4B1P1/1PQ4P/3RRBKN b - -,a6b5
1r2rb2/2qn1p1k/4b1pp/p1p4N/P2p1P2/1P4Q1/2PN2PP/BR2R2K w - -,f4f5
3rr1k1/qp3pp1/1bp2nn1/3p3p/pP1N1P2/P2PPQPB/7P/B2R1RK1 w - -,f1e1
r7/1r3pkp/q3P1p1/4P3/1n1N1Q2/1PNn1R1P/6P1/1R5K b - -,f7e6
4r3/1p3k2/p1p2p1p/2Pr1N2/1P2pbPP/PR1p4/5PK1/4R1N1 b - -,h6h5
4rr1k/1QR3bp/6pq/pP3p2/P2Pp3/1B2P1P1/5P1P/3R2K1 w - -,c7f7
8/5kp1/4r2p/3R3P/4KPP1/8/8/8 w - -,d5e5
r1bqrbk1/1pp2ppp/1nn5/p3p3/N7/P2P1NP1/1P1BPPBP/2RQ1RK1 b - -,c6d4
r1bqr1k1/ppp1npbp/3n2p1/3Pp3/4P3/P1N2NP1/1P2QPBP/R1B2RK1 w - -,f1d1
5r1k/1p4pp/p3Qp2/P1p1p3/2P1q3/1nP5/1P4PP/3R1RK1 w - -,d1e1
8/6pk/p7/P1R2K1P/6P1/8/8/5r2 w - -,f5e6
1r6/pp2k1p1/4bp1p/2p5/3RPP2/P5P1/1P3KBP/8 w - -,d4d2
8/r6p/1k1p4/pp1R4/3p1N2/P5P1/1r2BPK1/8 b - -,b6c6
r1bq1rk1/pp3pb1/n2p2pp/3P4/4PQ2/2N2N1P/PP2BPP1/R3K2R b KQ -,a6c5
r1b3k1/ppnn1p1p/4pp2/8/1PP5/P1N2N2/4BPPP/R5K1 w - -,c3e4
8/5p2/8/p3kp1p/P3p3/1Pr3PP/2P3R1/5K2 w - -,f1e1
6k1/5p2/pr1P3p/2p3p1/1r6/1B6/4RPPP/1R4K1 b - -,b4b3
r1q3k1/1pb2p2/p1p4p/2Pp4/3P2p1/3Q3P/PP3P2/3RR1K1 w - -,e1e7
7k/8/1p3r1p/1PbR2p1/p5B1/8/5PPP/6K1 b - -,a4a3
r1b1r1k1/ppp3bp/1N6/3P1pB1/4p3/8/PP2BPPP/1R2K2R b K -,a7b6
r1bqk2r/pppp1pp1/2n2n1p/2b1p3/2P5/2NP2P1/PP2PPBP/R1BQK1NR w KQkq -,g1f3
r1bqkbnr/pp1ppppp/8/1Np5/4P3/5N2/PPPP1PPP/R1BQK2R b KQkq -,g7g6:a7a6:d7d6
b4bk1/8/5ppp/4p3/6PP/2P1B1N1/5K2/8 b - -,a8b7
r4rk1/p3ppbp/b1pq2p1/2p5/P2pPP2/1P1P1NP1/1BPNQ2P/5RK1 b - -,c5c4
6k1/pp1n2p1/3qpnbp/PPp5/2P1p1P1/2Q3NP/1B2PPB1/6K1 w - -,c3c2
r1bq1rk1/1p1pnpbp/p1n1p1p1/2p5/4P3/2NP2P1/PPP1NPBP/1RBQ1RK1 w - -,c1g5
3R4/p4pp1/2q3kp/1p6/3p4/1P4P1/P4P1P/3R2K1 b - -,c6c2
4r3/p1r1pk1p/1p2b1p1/n4p2/8/B1P1RB1P/P1P2PP1/4R1K1 b - -,a5c4
rnbqk1nr/pp3pb1/2pp2p1/4p2p/2P1P2P/2N3P1/PP1P1PB1/R1BQK1NR w KQkq -,g1e2
rn2kb1r/pp3ppp/2p1pn2/8/2P3b1/5NP1/PP2PPBP/RNBR2K1 b kq -,b8d7:h7h6
rn2k2r/pp2ppbp/1qp3pn/3pP3/3P1Pb1/2N1BN2/PPP3PP/1R1QKB1R b Kkq -,f7f6
8/8/3pN3/2pP1kP1/1pP2P1p/1Pb4K/8/8 b - -,c3e1
8/1k6/1P1N4/P5p1/2p2n2/2P5/6pK/8 b - -,b7b8
r3q1k1/3b1r2/pBNp2nb/3Pp2B/4P3/5p2/1P4PP/2RQ1RK1 b - -,f3g2
3b2k1/pp3pp1/2p2n2/4pb1p/2P4B/1PN2BP1/P3PP1P/6K1 b - -,g7g6
8/8/5RP1/8/4r2P/7K/5P2/6k1 b - -,g1h1
r2r2k1/1p3pp1/1qp2n2/2np2p1/1PP3P1/3BPN1P/1Q3P2/2RR2K1 w - -,c4d5
r4rk1/1p1b1pbp/p2p1np1/3Pp1B1/Pq1NP3/2N4P/1PB2PP1/1R1Q1RK1 b - -,e5d4
3rnrk1/4q1p1/b1pNp2p/p1P1Q3/Pp1P1PP1/8/2B3RP/4R2K w - -,e5e4
4r3/2k2p2/p1p4p/1r1b2p1/2p5/2P2PN1/PP1R2PP/2KR4 b - -,e8e5
r5k1/p2n3p/1p1p2p1/2pP4/4Pr2/1P1B4/P4P1P/R4R1K w - -,f2f3
8/5pk1/8/6p1/6qp/2N1R1P1/5P1K/8 b - -,f7f5
3rr1k1/1pq1bpp1/p2p1n1p/2p5/2P1PB2/1P3N1P/P1QR1PP1/R5K1 b - -,e7f8
4k2Q/5p2/4p3/4Pp2/2r5/6PK/8/8 b - -,e8e7
r1b1kb1r/1pqn1ppp/p2ppn2/8/3NP3/2NB4/PPPBQPPP/R4RK1 b kq -,f8e7
8/4rpk1/3p1p1p/2b5/1p3P1R/1B1KP1P1/P4P2/8 w - -,h4g4
8/1r3k1p/4p1p1/2B2p2/1P1P1P2/7P/5KP1/8 b - -,f7e8
rq2k2r/pp1b1ppp/4p3/3P4/2Nn4/2N3P1/PP2Q2P/R3K2R w KQkq -,e2e4
2rq2k1/3b1p2/4p1p1/1pBpP2p/1P5P/3PQ1P1/r1P2PB1/2R3K1 b - -,g8g7
r2qkbnr/ppp1pppp/8/3Pn3/2pQ4/2N2P2/PP2PP1P/R1B1KB1R b KQkq -,e5g6
8/8/2r5/P7/6p1/R5P1/2K2k2/8 w - -,c2d3
r2r2k1/ppq2bbp/n2p1n2/1PpPpp2/2P5/B1N3P1/P3NPBP/2RQ1RK1 b - -,a6b8
1k3r2/ppp3b1/3p4/3Pp3/2P1N1p1/5qP1/PP2QP1r/1K1RR3 w - -,e2f3
8/8/1K6/2Nqk3/1P6/8/8/8 b - -,e5d4
r7/P1R5/3p2k1/5p1p/8/3KP3/6PP/8 b - -,g6f6
1B6/p4ppp/2k5/2pp4/2n5/2PK3P/P4PP1/8 b - -,a7a6
r2qk2r/pb1pbppp/n3pn2/1pp5/P2P4/2P2NP1/1P1NPPBP/R1BQ1RK1 b kq a3,b5b4
6k1/Q1p1q2p/n1Rr2p1/1r1Ppp2/pp2P2N/6PP/PP5K/2R5 b - -,b5b6
r5k1/p3bpp1/2q1p2p/4B3/2p1P1P1/5P2/PP2Q1KP/3R4 b - -,c6b5
8/rr6/3k4/1B1p4/4p1Np/PRP1Kp1P/8/8 w - -,e3d4
r1bq1rk1/pp2bpnp/2p3p1/3pN3/3P4/2NBP3/PPQ2PPP/2KR3R w - -,c1b1
3B1bk1/5p2/ppr2npp/4p3/P5P1/1NP4P/1P3PK1/3R4 w - -,d8f6
6k1/pp4pp/2n1r3/P4r2/R3p3/1N4P1/4PPKP/2R5 b - -,b7b5
3r4/p1r1kppp/4p3/p1b5/6P1/2PN3P/PP1RKP2/3R4 w - -,f2f3
4rrk1/ppp3b1/3p2np/3Pp1p1/2Pn2q1/2N1B1P1/PP1Q1PKP/3R1RN1 w - -,h2h3
2nq2k1/1p3p1p/p3p1p1/2Qp4/PP1P4/3BP2P/5PP1/6K1 w - -,e3e4
r3r1k1/1b2qpbp/2n3p1/p7/R1B4P/4NN2/1P2QPP1/3R2K1 w - -,f3g5
7k/p2n1p1p/1p2p1pP/3pP3/1P1P4/b1rNB1P1/P4P2/1R4K1 w - -,b1b3
r5k1/pp3rq1/3b4/2R2bBQ/1P1pp3/P7/5PPP/2R2BK1 b - -,d6c5
8/4r1kp/2P3p1/1Pq1p3/P3Q3/4R2P/6PK/8 w - -,e3d3
r3kn1r/1bq2p2/1p1p1n1p/p1p1p1p1/P1PPP3/2PB1P2/5BPP/R2QRNK1 b kq -,f8e6
4k3/4r1pp/p1b1R3/1p6/8/PB4P1/1P3K1P/8 b - -,e7e6
r2q1rk1/p2pp2p/1p4pQ/4n3/2P1P3/1P6/P3N1PP/R2R2K1 b - -,d8c7
2r2r1k/1bq4p/p2p3n/np1PpN2/1P5b/4N2P/P1BQ1PP1/R1B1R1K1 b - -,a5c4
r1b2rk1/pp3ppp/n1p2b2/7q/2P2B2/1N1B4/PP1Q1PPP/2KRR3 w - -,h2h3
r4rk1/3bppbp/3p1np1/7P/ppN1P1P1/3PBP2/PPq1N1Q1/R3K2R b KQ -,c2d3
r4bk1/5pp1/7p/pq3P2/3pP3/2rP1N2/4Q1PP/R4RK1 w - -,f1d1
rn1qk2r/pp2bppp/5n2/3p3b/3P4/1PPB1N1P/5PP1/RNBQ1RK1 w kq -,b1d2
r2r2k1/pp3pp1/2n1bq1p/b2p4/2pP4/P1N1P1P1/1P1N1PBP/2RQ1RK1 b - -,f6e7
3r4/pp3kp1/2p2Pp1/3n2P1/8/1B3Q2/Pq3P1P/3R2K1 b - -,b2e5
2b5/5p2/2pn1p2/pp1p1PkP/P2P2P1/1P2NPK1/2B5/8 w - b6,f3f4
r3k2r/2qN1pbp/1pp1bBp1/p1p5/P3P3/1P1P1N1P/2P2PP1/3Q1RK1 b kq -,g7f6
1r3rk1/2pn1ppp/p3qn2/2b1p3/4P3/2BP1NP1/P1N2PKP/1R1Q1R2 b - -,c5d6
r1bqr1k1/1p1nbpp1/p1p4p/3p4/3Pn2B/2NBPN1P/PP3PP1/2RQ1RK1 w - -,h4e7
r3qrk1/p4pbp/1p1pbnp1/n1p5/Q1P5/2B2NP1/PP1NPPBP/R4RK1 w - -,a4c2
r2qrbk1/1pp2ppp/2np1n2/p3pb2/2P5/PPNPPN1P/1BQ2PP1/R3KB1R w KQ -,e3e4
5r1k/R7/6p1/p1p4p/PpBb1P1P/1P6/2P3K1/8 b - -,f8f4
r6r/pN1nkpp1/1qp1pn1p/7P/3P4/1Q3N2/PPPb1PP1/R3K2R w KQ -,e1d2
6k1/pn1qppbp/1p4p1/2p5/2N2B2/1PP3P1/P1Q2P1P/6K1 b - -,b7d8
r1b4k/p3q2n/p2p1N1p/3P4/3B1P2/3Q4/PP6/2K4R b - -,h7f6
8/2p5/3p4/p1pP1k2/2P2p2/PP3K2/8/8 w - a6,a3a4
8/1p1R1pk1/1r4pp/3B4/8/2b1P1PP/5P1K/8 w - -,d7f7
r2qk2r/1b1nppbp/pp1p1np1/8/P2BP3/2NB1N1P/1PP1QPP1/R4RK1 b kq -,e7e5
2br1k2/p1q2pp1/4nb2/2p2Q2/2B3RP/P3P3/5PP1/1R4K1 w - -,f5h7
8/6n1/5k2/4ppR1/7p/5P1N/6PK/4r3 b - -,f5f4
5bk1/8/2p1q2p/1p2pN2/p3PnP1/2Pr1PK1/1P5Q/R7 w - -,a1h1
rnbqkbnr/pp1ppp1p/6p1/2p5/3PP3/8/PPP1NPPP/RNBQKB1R b KQkq d3,c5d4
r5kr/1p6/p1bQ1pB1/8/qP2P3/7p/P1P3PP/3R1R1K w - -,d6e6
r4r2/pp2bkp1/1q2pnp1/2p5/Q1PPp2P/2B1P2B/PP3P2/2R1K2R w K -,d4d5
r2qr1k1/ppp2p1p/3pb1p1/8/2PQP3/5P2/PP2N1PP/R2R2K1 w - -,a1c1
8/pp5p/3k2p1/2pn4/5p2/1PPK1PP1/P1B4P/8 w - -,d3d2
