8/b5pk/Q5p1/8/1q4Pp/5B1P/P4PK1/8 b - -,b4d4
1R2bk2/p5pp/4p3/1p2Np2/3r4/7P/P4PP1/6K1 b - -,d4a4
1r2k2r/2q1npb1/p2pb2p/4p2Q/2B1Pp2/N5P1/PP3P1P/R4RK1 w k -,c4e6
r5k1/2q2pp1/2N2n1p/pQ1p4/P3r3/1P5P/5PP1/2R2RK1 w - -,f1e1
2rn2k1/qp2pp1p/6p1/2Pb4/p4P2/P1Q3P1/3R1K1P/2R5 w - -,d2d5
3r2k1/3b2pp/p3p1q1/Ppb1nN2/4P2R/1QN3PP/1P3P2/5RK1 w - -,c3e2
8/7p/1P6/2Q2pk1/8/6P1/7K/3q4 b - -,d1e2
q4rk1/3n1ppp/r2bpn2/3p4/8/1N2PN2/PB2QPPP/R4RK1 w - -,f3d4
4R2R/5k2/p2K3P/7r/3P4/2r5/P4P2/8 b - -,h5h6
2knr3/pp6/6p1/qb1Q1pB1/P1p5/2P4P/2P2PP1/5BK1 w - -,a4b5
1r1qk2r/pB1n1ppp/1p1b1n2/6B1/3P4/4PN2/PP1N1PPP/R2QK2R b KQk -,b8b7
3r4/6kp/1pb5/p1p3p1/P2rPp2/1PNP1R1P/6P1/3R3K w - -,g2g3
3r1r2/p5kp/Pp1q2p1/3BRp2/1PpP1P1b/2P4P/4R1Q1/7K b - -,g7h8
5r2/2k4p/p2bp3/1p2q3/8/6P1/PPP3QP/3R3K b - -,e5e3
4B3/2b2p1p/4pkp1/8/4P3/5P2/5P1P/6K1 b - -,f6e7
8/R4pk1/P3p2p/8/5P2/5K1R/6r1/6r1 b - -,g2a2
rnbq1rk1/1p2b1pp/p2p4/3Ppp2/5P2/1N1QB3/PPP1B1PP/R4RK1 b - f3,b8d7
r4Bk1/p4ppp/2p1pn2/8/8/2P1P1P1/P2q1PBP/R4QK1 b - -,a8f8
2n5/8/1B6/3kpp1p/7P/1P1K1P2/8/8 w - -,b6f2
5nk1/1b2qpp1/1p1p3p/1Pp1p3/2P1P1P1/r1BPQN1P/r4P2/R3R1K1 b - -,a2a1
r1r3k1/1pq1nppp/pQ1p4/N2Pp3/P3P3/1R6/1P3PPP/5RK1 b - -,a8b8
5k2/6b1/2p3p1/1pPp1Pp1/1P1n2P1/r6B/1pK1N3/1R6 w - -,e2d4
2b1k2r/2q1npbp/1p4p1/2p1p3/4P3/3PBN1P/1QPN1PP1/4K2R b Kkq -,c8e6
3k1b1r/5Bp1/3p1pPp/2r1pP2/1p2P2P/pPPR4/P7/1KR5 b - -,f8e7
8/7p/4N2k/5p2/1n6/1P5r/3K2RP/8 b - -,h3b3
2rr4/ppq1ppkp/2n2np1/3p4/3P1P2/2N4P/PPPQB1P1/3R1RK1 b - f3,e7e6
3R4/1p2rk2/p1p3p1/5pp1/8/3KPP1P/PP4P1/8 b - -,f7f6
6k1/2R5/6p1/r6p/4KP2/6P1/7P/8 w - -,c7d7
2rr2k1/pp3pp1/5n1p/5N2/1p1q4/8/P2P1PPP/1R1QR1K1 b - -,d4f4
3r3k/1p4rP/p7/P1pnQpp1/8/1P2P3/3b1PK1/7R b - -,f5f4
3r4/1pRr1kbp/2b2pp1/2R1p3/pP6/4B1P1/1P1N1PP1/6K1 w - -,c7d7
4r3/1r1n2bk/2Np1qp1/1PpP3p/p3PP2/P2Q2R1/7P/5RK1 b - -,g7h6
1kr5/1bq1bp1r/p2pp1np/1p2n2N/3NP1P1/1P5P/PBP2QB1/1K1R1R2 w - -,h5f6
r1bqkbnr/1p3ppp/p1np4/2p1p3/P3P3/2N3P1/1PPPNPBP/R1BQK2R b KQkq -,g8e7
r7/4k1pp/4pp2/pP6/4P3/P6P/2R1K1P1/8 w - -,a3a4
r1bqk1nr/pppn1pbp/3p2p1/4p3/2PPP3/2N1B3/PP2BPPP/R2QK1NR b KQkq -,g8f6
2r2rk1/p2qbpp1/1p2p3/3pP1pP/3P4/2P1R1P1/P4P1N/1R1Q2K1 w - -,h5h6
2q5/4K3/8/6Q1/7P/8/8/k7 b - -,c8c7
r1bqkb1r/pp1pnppp/2n5/1Bp1p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,a7a6
r2bk2r/1p1n1pp1/3p1n2/q2Pp2p/p1P5/N1R1BP2/PP1Q2PP/4KB1R b Kkq -,d8b6
r3kb1r/3n1p2/p1p1pn1p/1pPp1bp1/1P1P4/2N1PNBP/1P2BPP1/R3K2R b KQkq -,f8e7
8/1R6/r2ppk1p/1p4p1/pP1RP3/3PK1P1/1Pr4P/8 w - -,b7b5
r2qk2r/ppp1ppbp/1n4p1/3Pn3/4P1b1/2N1BN2/PP3PPP/R2QKB1R w KQkq -,f1e2
6k1/2n1q1p1/3p3p/pppPpQ2/2P4P/1P4P1/P4RK1/8 b - -,b5b4
2k5/pp3p1p/n5p1/2pr4/8/2bP4/P4PPP/1R1K1B1R b - -,a6b4
r4rk1/pp2ppbp/3pbnp1/q7/3BP1P1/2N2P2/PPPQB2P/R3K2R w KQ -,h2h4
r2q1rk1/ppp3b1/2npbnpp/3Npp2/2P1P3/3PB1PP/PP2NPB1/R2Q1RK1 b - -,d8d7
6k1/2r2p2/5p1p/R7/8/2nB1KP1/4PP1P/8 b - -,g8g7
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/3PP3/2PB1N2/PP1N1PPP/R1BQK2R b KQkq -,c5d4:f8e7
rn1q1rk1/pb2ppbp/1p1n2p1/3p4/3P1B2/2P2N2/PP1NBPPP/R2QR1K1 w - -,e2d3
r1b2rk1/p3p1bp/n3Ppp1/2N5/2pP1B2/5P1P/PPP2P2/R3R1K1 b - -,a6c5
r3k3/4p2p/3p1pp1/P1pP4/3bP3/P5P1/3BKP1P/1R6 b - -,e8d7
r1rq2k1/1p1nppbp/p1np2p1/6B1/P1P1P3/2N2P2/1P2N1PP/1R1Q1R1K b - -,a8b8
8/8/2k3p1/4B3/4Pp1P/3K1P2/5r2/8 w - -,e5f4
b1r1r1k1/2q2p1p/pp1p2p1/2n1b1P1/Pn1BPN2/1PN5/2PR1QBP/5R1K w - -,f4d5
3r4/pp2kpp1/2pnp3/6PR/3PK3/3R4/PP3P2/8 w - -,e4e5
3r1b1k/R5p1/3p3p/2pP3r/2N1Np2/8/1PP2PK1/4R3 w - -,e4c3
4q3/P7/1Q5p/K7/7k/4P1p1/1P6/8 w - -,b6h6
rn1qkb1r/pb1p1ppp/1p2pn2/8/2PP4/2NB1N2/PP3PPP/R1BQK2R b KQkq -,f8e7:d7d6:d7d5
3r4/pbp1q3/1p1P2k1/5rp1/4p1NP/2Q1PpP1/PP3K2/3R1R2 b - -,d8d6
8/6pk/p6p/1p1n1N2/2p5/2Pr1P1P/P5P1/4R1K1 w - -,e1e5
r5k1/3R1p1p/6p1/8/8/7P/P2R2PK/5r2 b - -,g8g7
r3kbnr/pp1n1ppp/1q2p3/3p4/6b1/5NP1/PPQPPPBP/RNB1K2R w KQkq -,e1g1
4kb2/8/2p4p/1p1p2p1/1PnP4/2P2KP1/2r2P2/R1BN4 b - -,f8d6
1rb1nrk1/3nq1bp/3p1pp1/2pP4/1p2P3/2N1BNPP/1P3PB1/R2QR1K1 w - -,c3e2
1r6/1b1qn1rk/pR4p1/P1pP1pQp/8/2N2B1P/5PP1/1R4K1 b - -,e7c8
6k1/3R3p/5Br1/2bp4/4p1P1/4P2P/5P2/6K1 w - -,g4g5
6nk/1q5r/r1bp1p1R/2p1pP2/2P1P1P1/1P3KN1/2B4R/2Q5 b - -,g8h6
3br1k1/3b1ppn/3p1q1p/p1pPpN2/1rR1P2P/1P1BB1P1/P4P2/2RQ3K w - -,a2a3
8/R4p2/5kp1/P6p/4P2P/1p3P2/r5PK/8 w - -,a7b7
2b5/8/1P1KNk2/5p2/8/8/8/8 b - -,c8b7
8/8/5pk1/3K3p/5p2/5P1B/6P1/8 w - -,d5e6
3rrk2/2q2ppp/pp1b1n2/3PpN2/2Pp2P1/1P1Q1P1B/P1R4P/4R1K1 b - -,g7g6
1b1r2k1/1p1q2p1/p3pn1p/3p4/8/PnNQB1PB/1P2PP1P/3R2K1 b - -,b7b5
r2qkb1r/pp2pppp/2np1n2/2p5/4P1b1/2PB1N2/PP1P1PPP/RNBQK2R b KQkq -,c6b8
8/7r/p1P5/3K4/1P3kp1/2N5/8/8 b - -,f4e3
1r3k2/5ppp/8/1PR5/8/p3K1P1/7P/8 w - -,c5c3
r5r1/p3k2p/bp2p3/2ppN2P/3Pp1P1/2P1Pp2/PP1K1P1R/R7 w - -,a1g1
8/pp6/8/3k4/P5r1/1PKN4/8/8 w - -,d3b4
r1b1q1k1/1p3pbp/5np1/p7/2P1n3/4BB1P/PPQ2PP1/3R1RK1 w - -,f1e1
1rb2rk1/p1q2p1p/1p1bpp2/8/2PPB3/1P3N2/P1Q2PPP/R4RK1 b - -,f6f5
rnbq1rk1/ppp1p1b1/6pp/3p1p2/3Pn3/1P3NP1/PBPNPPBP/R2Q1RK1 w - -,f3e5
r4r1k/bpp1nppp/p1np2q1/P3p3/1PBPP1P1/2P1RN2/5P2/RNBQ2K1 b - -,g6g4
4rrk1/1p1bppbp/p1np2p1/3N4/2P1P3/1P2BP2/PqN2RPP/2RQ3K w - -,f3f4
8/6k1/PR4p1/5p1p/5K1P/r5P1/8/8 b - -,g7h6
r1b2r1k/pp6/2p2p2/3P1P1p/3KP1p1/1PNB4/P1Q3Pq/R1B5 b - -,h2g1
rnbqkb1r/pp3ppp/4pn2/2PP4/8/8/PP2PPPP/RNBQKBNR w KQkq -,d1a4
2r3k1/Qp4pp/4q3/5p2/8/4n1PB/PP3P1P/6K1 w - -,a7e3
r1bqk2r/2p1bppp/1p1p1n2/p1BPp3/2P1P3/2N2N2/PPQ2PPP/R3KB1R b KQkq -,b6c5
2r3k1/1q1r1pbp/pp2p1p1/2p5/2PnPN2/1P2BP2/P4QPP/2RR2K1 w - -,f4e2
3qrr1k/1b1n1pbp/p2p1n2/1p1P1P2/2pBP3/P1N2N1P/1PBQ3K/4R1R1 b - -,f8g8
r1bqr1k1/p4p1p/1p2pbpB/3nN3/3PB3/3Q4/PP3PPP/R4RK1 w - -,f2f4
6b1/1k2r3/2R4p/1P4b1/1PB1P3/2K2R2/8/8 b - -,g8h7
r2q1rk1/3b2pp/n3pn2/1p1pNp2/pQ1P1P2/2N1P3/PP3PBP/R4RK1 w - -,b4d6
7k/p1b3p1/6p1/5pBB/3q4/7Q/5PP1/6K1 b - -,d4a1
rnb2rk1/1pqpbppp/p3pn2/2p5/2P5/1PN2NP1/P2PPPBP/R1BQ1RK1 w - -,c1b2:d2d4
6k1/pb4p1/4p1q1/2p1Br2/7p/1P1PQP1P/P5P1/5RK1 b - -,f5g5
2rr2k1/4ppbp/4qnp1/1p1p4/2pB4/1P1PPNP1/2P1QPKP/R3R3 b - -,f6d7
8/r4kp1/2RR3p/5p2/7P/7r/4K3/8 b - -,a7a2
6k1/4r2p/1bq3p1/5pP1/1p3P2/1N1Qp3/1PPK3R/8 w - -,d2c1
8/6k1/pp4pp/3Pp3/b1n1P2P/3B2P1/r4K2/1N1R4 w - -,f2e1
2r1nnk1/1br3p1/pq2p2p/1p2N3/2p1PP1N/1P4PP/P1QR2BK/3R4 w - -,b3c4
4r3/1R2ppk1/6p1/7p/3P1P1r/4P1K1/8/2R5 b - -,h4g4
rnbqkb1r/1p2pppp/2p2n2/3p4/pP6/3P2P1/P1PNPPBP/R1BQK1NR b KQkq -,e7e5
6k1/pp3p1p/5p2/3r4/8/P4P2/1Pb1P1PP/4KB1R w - -,g2g3
8/8/1pN1bk2/p2p4/1P1P4/2P1K3/P7/8 b - b3,e6d7
rnb3k1/pp3Npp/5R2/1pPp4/3Pp3/2P3P1/P3P1BP/R5K1 b - -,g7f6
1r1bkn1r/1q3pp1/2n1p1b1/1p1pP1Np/1PpP1B1P/2P3P1/2N1BP2/R2Q1RK1 w k -,c2e3
rn1q1rk1/pb3ppp/3bpn2/2Pp4/2P5/P2BPN2/3N1PPP/R1BQ1RK1 b - -,d6c5
r2b1rk1/6p1/1p5p/pP1N1p2/3PpP2/2P3BP/1P3K2/R7 w - -,h3h4
8/1p3k2/p1p3p1/2n1P3/2P3P1/4K3/P1B5/8 w - -,e3d4
2rq1rk1/2p2p2/1b2bn1Q/p2nR3/Pp1P4/1B3NNP/1P3PP1/R5K1 b - -,f6h7
5k2/6p1/2P1B1p1/6r1/8/4P3/7P/6K1 w - -,g1f2
r2qk1nr/pp1n1ppp/2p1p1b1/8/3P1N2/8/PPP2PPP/R1BQKB1R w KQkq -,h2h4
5r1k/1pN1p1bp/1n4p1/3Pnb2/rp1N4/4B2P/1P3PP1/R3KB1R w KQ -,a1c1
2r2r2/1p2p1qk/p1p1Pn1p/2Q3p1/1P6/PB1R1PP1/3R2KP/8 b - -,c8b8
r3r1k1/5pp1/1q3n1p/p1ppQ3/6b1/3BPN1P/PP1R1PP1/2R3K1 w - -,e5f4
rn1qk2r/pb1pbppp/1p2pn2/2p5/2N2P2/1P2PN2/PBPP2PP/R2QKB1R b KQkq -,d7d6
rnb1k2r/1pq1bppp/p2ppn2/8/3NPP2/2N1B3/PPP1B1PP/R2QK1R1 b Qkq -,e8g8
r5bk/1p3Qp1/2pq3p/5P2/1P1pP3/3P4/6BP/5RK1 w - -,f7b7
rn1q1rk1/pp1nbppp/2p1p3/8/4PP2/5BPP/PPP5/RNB1QR1K b - -,b8a6
2r3k1/p4p2/4rnP1/3p4/5BPQ/1q2P3/3RBPK1/8 b - -,f7g6
r3brk1/ppn3pp/2p1pp2/2Pp4/3P1P2/1PRBPN1P/6P1/R5K1 b - -,h7h6
8/p7/1p6/4kppp/1Pbr1P2/P3K1P1/5N2/1R6 b - -,g5f4
r1bqr1k1/1p1nbppp/2p2n2/p2p4/3P4/2N2NP1/PPQ1PPBP/1RB2RK1 w - a6,a2a3
2r3k1/p4r1p/3PN2n/3Pp3/4Q1p1/2R2qP1/P5KP/2R5 w - -,c3f3
8/K5k1/8/4Q2p/7q/8/8/8 b - -,g7g6
6k1/6pp/1Bb2p2/p2p4/3R2PP/2P2P2/PP2r3/6K1 b - -,e2b2
r3k2r/1pqb1ppp/3bpn2/pP1n4/3P4/P4N2/1B1N1PPP/R2QKB1R w KQkq -,a1c1
8/8/5k2/4Q1p1/P3B3/2b3P1/6KP/8 b - -,f6e5
8/6pp/5k2/8/3r3P/K5R1/5P2/8 w - -,g3h3
8/8/8/8/4p3/8/2r1k1K1/R7 w - -,g2g3
4k2r/pp3p2/4p1p1/3pP3/2nPqP1P/P7/1P3B1P/2Q2KR1 b k -,e8d7
8/6p1/5k2/1Kp1R2p/3r1P1P/6P1/8/8 b - -,d4d3
r2k3r/pp1b1pp1/2nQ3p/3N4/8/5NPB/Pq2PP1P/5RK1 b - -,c6b8
1k1r3r/1p1b1pn1/2R3p1/p2p4/Q2P4/1R1BP2p/PP3P2/1K6 b - -,h3h2
r7/1p3kp1/p1p1pp1r/1n5P/3P4/1P2PB2/1P2KPR1/R7 b - -,f6f5
2r1k2r/1b2bp2/p3p2p/1p1pN1pP/1P1R4/P1N4R/2P2PP1/1K3B2 b k -,e7f6
r1b2rk1/1pq2ppp/p2b1n2/4p3/3N4/1BP2Q1P/PP3PP1/R1B2RK1 w - -,d4c2
r1b2rk1/pp3q1p/5ppQ/4B3/3p3P/P2B4/1PP2PP1/R3R1K1 b - -,f6e5
rn1q1r2/6kp/bNp1p1p1/p1p1Pp2/Pp3Q2/1P1P1N1P/2P2PP1/4RRK1 w - -,b6a8
8/n4p1p/P7/3k4/2Np1KP1/1P5P/5P2/8 b - g3,a7b5
8/7p/ppk2r2/2p2P2/2P5/1P4K1/P6P/5R2 w - -,h2h4
8/5pkp/r5p1/3BK3/8/3R3P/6P1/8 w - -,d3f3
4q1k1/2p1rbpp/1pp2p2/p7/3P4/1PPN1PbP/P2Q1NP1/4RK2 w - -,e1e7
5rk1/5ppp/4p3/p2p4/3P4/2b3P1/2b1PPBP/R1R3K1 w - -,a1a5
1r2r3/2p3bk/1p1p2pp/3Ppn2/qPP1N3/3Q1P2/1R3BPP/2R3K1 b - -,f5d4
2k1n3/pp1r1pp1/2pb3p/3P1p1P/1PP5/P1B2BP1/2K2P2/3R4 b - -,c6c5
4qrk1/1p2ppbp/1p4p1/3Nn3/4P1b1/5NP1/PP2QPBP/2R3K1 b - -,e8d8
1r6/5pk1/1B1Pp1p1/Pp2P1Pp/8/6K1/5P2/8 w - -,d6d7
r1bqk2r/p1p2ppp/2p5/3pP3/1b4n1/2NB4/PPP2PPP/R1BQK2R w KQkq -,d1e2:e1g1
r2q1rk1/p2pp2p/1p4pQ/4n3/2P1b3/1P3P2/P3N1PP/R2R2K1 w - -,f3e4
1q2r3/6k1/p1RpR3/3Q4/Pp5P/1P4n1/6P1/7K w - -,h1h2
r1bq1rk1/pp2bppp/1np5/8/3P1B2/1B3N2/PP3PPP/R2Q1RK1 b - -,c8g4
8/4pk2/2r4p/p1P1KP2/1pR4P/1P4R1/3r4/8 w - -,h4h5
8/2k5/8/1PP5/1r2NK2/4P3/4B3/8 b - -,b4b2
rnbqkbnr/pp3ppp/3p4/4p3/3N4/6P1/PPP1PP1P/RNBQKB1R w KQkq e6,d4f3
6k1/4ppb1/3p2p1/2pPn2p/Q1P1P3/1r1qB1PP/5PB1/2R3K1 b - -,b3b8
r4rk1/4q1b1/1p4Bp/p2PP3/P1Pp2p1/1P6/2Q1R2P/3R3K b - -,e7h4
r1bq1rk1/pp2p1b1/5Ppp/n7/3PN3/3BB3/P4PPP/R2Q1RK1 b - -,e7f6
5rk1/1pp2ppp/1pnpqn2/1B6/3PPB2/2P2R2/1P4PP/Q5K1 w - -,d4d5
8/8/6b1/p1p1p2p/2P1p2P/1P2K1Pk/P7/3B4 b - -,h3g3
r1b1k2r/p3bpp1/2p1pn1p/4B2P/q2PN3/2P2Q2/1PK1NPP1/3R3R w kq -,c2d2
1nrr2k1/p1q2pbp/2bp2p1/1P2pP2/4P1N1/1P4P1/PB1R2BP/3RQ1K1 b - -,c6b5
1nbq1rk1/7p/3p4/1BbPp1p1/P3Pp2/3N1P2/4Q1PP/1R3R1K b - -,c5d4
2b2rk1/1p4bp/2n1p1p1/3p4/r2PpB2/P3P1PN/5PBP/R4RK1 b - -,h7h6
1k1r1r2/p5b1/2p4p/1p4pP/1PpP2q1/P2bB1N1/1Q1R1PP1/2K3R1 b - -,g7d4
r1b1k1nr/pp2bppp/3q4/2pP4/8/2P1N3/PP3PPP/RNBQK2R b KQkq -,b7b5
1r3k2/2r2pp1/1p1R3p/pR6/8/P3P2P/1P3PP1/6K1 b - -,c7b7
2r3kb/2Q2p2/b2p1Pp1/3P3p/qB2P3/P7/5RKP/1B6 w - -,c7d6
2r2rk1/1p3ppp/p4n2/b3p1B1/P3P3/2N4P/1PP3P1/R4RK1 w - -,g5f6
8/8/3kp2p/4Np2/5Pb1/1B2K3/8/8 b - -,h6h5
2kr1b1r/1pp1pppp/p1nq1n2/5b2/3P4/2N2NPP/PPP2PB1/R1BQ1RK1 w - -,d4d5
1k1rr3/1bp5/1pq1p3/p3P3/P2P2Rp/1QP1N1pP/1P4P1/4R1K1 b - -,e8f8
8/3b3R/3pk3/pp2P3/P7/4b3/1PP3r1/1K1R4 b - -,d6d5
R7/8/2p1r3/2p2k2/3b2p1/6P1/P3R2P/5K2 b - -,e6f6
r1bqk2r/p1n1b1pp/2p2p2/2p1p3/2N5/2NP2P1/PP2PP1P/R1BQK2R w KQkq -,d1a4
r5r1/p2kbn1p/n1p1b3/3p1p2/1p1P1B2/3BPP1P/qPP1Q3/1NKR2NR b - -,a6c7
8/p7/1p2k1p1/7p/4KPP1/P6P/8/8 b - -,h5h4
1k1q3r/pp1r2pp/1b3pP1/1Q3P2/3p1Pn1/8/PP4BP/1KRR2B1 b - -,h7g6
3R1b2/5pkp/p7/1r2p3/2q2p2/2P2P2/Pr1Q2PP/K2R2B1 w - -,d2b2
8/8/1pk1p3/p3Pp1p/2P1r2P/bP1N1K2/P1R5/8 w - -,c2h2
4r1k1/pp2q1p1/4P3/3p1Q1p/4n3/4B3/PP3PPP/5RK1 w - -,f5d5
r2qr1k1/1p2bpp1/pnp1bn1p/3pN3/3P1B2/2N1P2P/PP3PP1/1BRQ1RK1 b - -,b6c8
7r/pp3p2/3kbP2/2p4P/5p1R/2P2B2/P1P3P1/2K5 w - -,h4f4
4Bk2/8/8/3pBp2/3P3P/4PP2/2bn1K2/8 w - -,e8c6
2kr4/ppb2p2/2n1p1p1/3n3p/5P2/2P3P1/PP1BB1KP/N2R4 b - -,c7b6
3r1rk1/p6p/1p1P4/2p1q1p1/2Q1P3/1P4P1/P5BP/3R2K1 b - -,g8g7
1kr2b2/7r/Pp2p1Qp/3pqpp1/2pN4/2P1P1P1/4BPP1/R5K1 b - -,h7e7
1k4rr/pppqn3/2n1b3/3p4/P2P3p/B1PBN1pP/2PQ2P1/R4RK1 w - -,a1e1
5r1k/p3n1p1/2p1b2p/1pP1P2q/7P/Pr4P1/1PQB1P2/R3NRK1 w - -,d2c3
r1bqkbnr/1p3ppp/p1npp3/2p5/4PP2/1P3N2/PBPP2PP/RN1QKB1R w KQkq -,d1e2
5r1k/B5bp/3pn1p1/1q1Npp2/4P3/5P2/1P1Q2PP/5RK1 w - f6,f1e1
2rr2k1/5pbp/3P2p1/2P4q/5p2/2RQ1P2/5B1P/3R3K w - -,c3a3
8/8/3k3p/2p3p1/P4nP1/4pP1P/4B3/5K2 w - -,e2c4
2r1r1k1/p2npp1p/qpb3pb/1N6/2PP4/PBB5/4QPPP/3RR1K1 w - -,a3a4
r1b2qk1/p1P2rbp/5nn1/pN1Pp1p1/4Pp2/3N1P2/PP1QB1PP/2R2RK1 b - -,g5g4
2r3k1/1q3p1p/1p1b1np1/r2pN3/P2P4/2pRPP2/2BnQ1PP/BR4K1 w - -,b1b5
1r4k1/3Q1p1p/p2P2p1/8/Pp1b3q/4RB1P/1P4P1/R5K1 w - -,d7e7
1r1q1rk1/5ppp/2N1pn2/1Q1p4/Pn1P4/R3PBP1/5P1P/5RK1 b - -,b8b5
8/6pp/4k3/p7/4p1PP/P1r1P3/R4P2/6K1 w - -,g1g2
R7/8/6P1/5K2/8/1k6/8/q5r1 w - -,a8a1
brR2bk1/Q4ppp/p2p1n2/4pP2/4P3/PN3B1P/1q3BP1/4R2K b - -,b8c8
3k4/8/2B1Pp1p/K4P2/1p5P/8/n7/8 w - -,a5a4
8/1p1Qnkb1/p1p3p1/PrP2pP1/5P2/6P1/6K1/8 b - -,b5c5
r1bqr1k1/pp3pb1/2pp1npp/4pP2/2PnP1P1/3PN3/PP1BN1BP/R2Q1RK1 b - -,f6h7
q5k1/4r1pp/4p1n1/2p2p1N/1p1bPP2/8/1PB1QP1P/3R2K1 b - -,g6h4
4rbr1/5qpk/2b2p1p/2p2P2/1pP1p2Q/3P3R/P3BRP1/2B3K1 b - -,e4d3
r1b1kbnr/pppp2pp/5q2/5p2/2P5/2NQ4/PP2PPPP/R1B1KB1R b KQkq -,f8b4
8/3k2PP/1p4K1/4q3/p1p5/8/8/8 b - -,e5e4
2r2rk1/1q3pp1/p3pn1p/1p2Q3/3R4/P1N3P1/1PP2P1P/3R2K1 b - -,b7b6
r2q1rk1/p4pbp/2npb1p1/1pp1p2n/1P2P3/P1PPNN1P/2B2PP1/R1BQR1K1 b - -,h5f4
4r1k1/pr3pp1/2q4p/8/8/1PP5/P1QR2R1/K7 b - -,b7d7
2kr3r/1ppq4/3bp3/Bp1n2p1/3P1p2/PQ2P1P1/5PB1/1RR3K1 w - -,e3e4
8/5Qpk/8/4P2p/8/3P4/2P1K3/7q b - -,h1h2
3r1rk1/pb2qpp1/1p3B1p/2pp4/1n1P4/2N3P1/PP2PPBP/1Q1R1RK1 b - -,e7f6
4rrk1/p1p1nppn/1p3q1p/3PpP2/2P5/2PBB1P1/P2Q3P/4RR1K w - -,h2h4
4r3/5nkp/p2p1pp1/3R3P/1p2PNq1/1P1Q2P1/P4P2/6K1 w - -,h5g6
1k4r1/1pR3R1/p7/8/1r6/1n3B2/1P3P2/6K1 b - -,g8g7
