6k1/pp6/7Q/2PP1bp1/6P1/7K/P3q2P/8 b - -,e2f3
8/3b4/1p1n1kpp/p2p1p2/3P3P/1P1B1PP1/P1R4K/8 w - -,c2c7
4rrk1/pp4p1/1p1p4/3P1q1p/2R1p3/1P2P1P1/P4PKP/3Q1R2 b - -,e8e5
r1b1n1k1/1p2r1pp/pq2pp2/4Q1PP/3N1P2/2R2B2/PPP5/1K1R4 w - -,g5f6
2r1r1k1/1p4bp/p3p1pn/3p4/P1BpPP1q/R7/1PP1Q1PP/2B2RK1 w - -,e4d5
2rq1rk1/pp1bbppp/4p3/4N3/3P4/2NQ2P1/PP3PP1/R2R2K1 w - -,c3e4
2n1r2k/1pq2ppp/p3b3/4p3/P3P3/2PB4/2P2QPP/1R3R1K w - -,b1b4
5r2/1pp1q1k1/p2p3p/8/4P1Q1/PB1P2P1/1PP4K/8 b - -,e7g5
3R4/r5pk/6Np/7P/4K3/8/8/8 b - -,a7a4
r2qk2r/ppp2p2/2nbpn2/3p2pp/3P4/1P2PB1P/PBPN1PP1/R2Q1RK1 w kq h6,g2g3
4B3/8/6p1/5b2/6p1/4k1K1/8/8 w - -,e8g6
2r1r1k1/5qp1/p3p3/2p3Q1/8/P4P1P/5P2/3RR1K1 w - c6,d1c1
5rk1/p6p/3pq1p1/8/4n1P1/3Q4/P3B2P/5R1K w - -,f1f8
2R1r1k1/1p3p2/8/p7/2PP4/4PK2/r5PP/8 w - -,c8e8
4nk2/8/3p2p1/2pPp1K1/1pP1P1N1/pP4P1/P7/8 b - -,f8g7
1rb1r1k1/1q1pbppp/4p3/p4PPn/3QP3/1PN1B3/P3N2P/1K1R2R1 w - -,e2f4
8/5k1p/1p3pp1/p5P1/3r1P1P/1P3K2/P7/2R5 b - -,f6g5
rn1qr1k1/1p2bpp1/3p1n1p/p2Pp3/2P5/2N1B1PP/PP3PB1/R2Q1RK1 b - -,b8a6
3rrbk1/1bq2p1p/p5p1/1p2p3/1P2P3/2P5/1Q1N1PPP/R3RBK1 b - -,d8d7
r1b1r1k1/pp2qppp/2pb1n2/4N3/3QP3/1P4P1/PB1N1PBP/R3R1K1 b - -,d6e5
r7/1p3pk1/1P1p1bp1/p2P4/5PPp/1R1B3P/r1P3K1/1R6 b - f3,a5a4
1r3rk1/1bq2pbp/p2p2p1/P2Pp3/1p1pP3/1P1P4/2BB1PPP/R2QR1K1 b - -,b7c8
1k1rr3/pp6/5q2/1PQ1pn2/5ppp/B1P5/P4PPP/4RRK1 w - -,e1e2
6k1/1r1n2p1/3BR3/2p5/8/1PP5/5PP1/6K1 b - -,b7b3
3qr2k/6pp/npR2p2/3p4/1P1QnB1P/6P1/4PPB1/6K1 b - -,h7h6
2r5/3p4/3k4/p1pp1p2/R7/1P1N1B2/P2K1P1r/8 w - -,a4a5
r2q1rk1/pp2bppp/2p1pn2/8/2PP4/5N2/PP1BQPPP/3R1RK1 b - -,d8c7
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2P5/1P2PN2/PBQP1PPP/RN2KB1R b KQkq -,f8e7
r4rk1/pppq2bp/2nn2p1/8/3pNP2/3P1RP1/PPQ1N2K/R5B1 w - -,h2g2
5k2/1p5p/p4p2/7R/8/P3R3/2q2P2/4K3 b - -,b7b5
r1bqk1nr/1ppn1pbp/p2pp1p1/8/2BPP3/2N2N1P/PPP2PP1/R1BQK2R w KQkq -,a2a4
3r1rk1/3b1pqp/p3p3/1p1P4/8/1B6/P2Q1PPP/1R3RK1 w - -,b1c1
2kr1b1r/5p2/p2pb2p/2pP2pn/Bq2P3/5N1P/6PQ/RN2K1BR w KQ -,b1d2
r2q1rk1/pb3pp1/1p2p2p/3n2b1/3N4/P1NB4/1PQ2PPP/3R1RK1 w - -,d3h7
4r1k1/p2r1p1p/1p1q1B2/2p3P1/2Pn2R1/2Q1P2P/P3KP2/7R w - -,e2f1
4b3/5kpp/2p5/3p4/Pb1P4/6pP/6B1/2R4K w - -,g2f3
5bk1/3n3p/2pp1Pp1/1p3p2/8/1P4B1/q1P3PP/3Q1BK1 w - -,c2c4
1r6/5p2/1p1p1k2/p1pPnPp1/P1P2pP1/1P1B3P/4RP2/6K1 w - -,d3e4
8/6k1/5rp1/P1pq1n2/4p1BP/4P3/1P5Q/3R2K1 b - -,f5e3
2rqrbk1/5pp1/1pn1b2p/p1pn4/3pN3/PP1P2PP/1B2PPB1/2RQRNK1 w - -,e4d2
8/p1bnkpp1/Ppp2n2/4p1Bp/1PN1P3/2P2PP1/7P/R5K1 b - -,e7e6
8/6p1/5p1p/1b2pP2/4P2P/4K3/3N4/2k5 b - -,c1c2
8/pp6/8/2k2p2/1NP5/4K3/8/8 w - -,b4d5
r5k1/5ppp/BpN1pn2/1Pb5/2b1PB2/5P2/6PP/3R2K1 w - -,g1h1
r3r1k1/p1n2p2/2b2bpp/1p1p4/2pPP3/P1N2N2/1P3PPP/1BR1R1K1 w - -,e4d5
5rk1/Rb2q1pp/1P5r/2pPp3/4P1Q1/2PB1p1P/5PP1/5RK1 w - -,d3c4
8/2p3pk/p1n4p/2p5/4RP2/1PBr2P1/P5KP/8 w - -,e4c4
3r2k1/p1qr1pp1/1np3p1/2p5/P3PP2/1P2B3/3bQNPP/R1R3K1 w - -,c1c5
1n2r1k1/pr4bp/3R1pp1/1p2p3/4P3/4B3/PP1NKPPP/3R4 b - -,g8f7
8/5kp1/ppn3p1/2pNr3/2Pp3P/1P1Pb3/PB4K1/R7 b - -,e3h6
r1bq1rk1/3nbppp/2n1p3/ppppP3/7P/3P1NP1/PPPN1PB1/R1BQR1K1 w - -,d2f1
r1bq1rk1/pp2nppp/1bpp1n2/4p3/B3P3/2PP1N1P/PP1N1PP1/R1BQR1K1 b - -,e7g6
5R2/8/8/2p1B2K/2kpbP2/6r1/8/8 w - -,f4f5
1r6/pp2r1kp/3pB1p1/P2P2P1/5p2/2RKbP2/1PP5/7R b - -,b8d8
1n1q1rk1/2r1bp1p/4pnp1/p1NbN3/Pp1P4/3QBP2/1P4PP/1BR2RK1 w - -,f1d1
1rr3k1/3q1p2/4nPp1/7p/1pp5/5bQP/1P3PP1/RBB1R1K1 w - -,g3f3
1r6/1b6/2p1r3/3pkpp1/1P1Rp3/1B2P1P1/PK3P2/2R5 w - -,b3a4
8/2k5/8/3K4/2N5/4B3/8/8 w - -,c4d6
8/8/8/1K3Q1P/1P1q3k/8/8/8 w - -,h5h6
r2q1rk1/4b1pp/1n3p2/1Np1p3/p2P4/P2nPNP1/1P1B1PKP/RR1Q4 w - -,d4c5
r2qk1nr/pp1nbp2/2p1p1p1/4P2p/3P3P/2N3N1/PP2QPP1/R1B1K2R w KQkq -,g3e4
8/p7/3R4/2P2p2/2KP2k1/r7/8/8 b - -,f5f4
r4rk1/1bp1nppp/p3p3/6N1/2B2q2/8/PP2QPPP/3RR1K1 w - -,g5e4
r2q1rk1/pp3pp1/2n2np1/6B1/3p4/P2B1P2/1PP3PP/R2Q1RK1 b - -,d8d6
r2q1rk1/2pb1pbn/3p2p1/p1pPp2p/2P1P2P/2N1B1P1/PP1QBPK1/R4R2 b - -,g8h8
2b1r1k1/1p1pnqb1/1p1Bp1pp/4Nn2/4Q3/2P4P/PPB2PP1/3R1RK1 b - -,f7f6
r1b1r1k1/ppqn1pbp/2pp1np1/4p1B1/2PP4/2N1PN2/PPQ1BPPP/2R1R1K1 b - -,a7a6
rn1Nqnk1/1bp2rpp/1p1p4/p2Ppp2/2P5/PPN1PP2/2QBB1PP/R4RK1 b - -,e8d8
2r3k1/pq1n1ppp/1p3B2/3P4/P7/3QRN1P/2r2PP1/3R2K1 b - -,d7f6
3rr1k1/bppqnppn/p3b3/4p3/3pP2N/3P2NP/PPBBQPPK/R3R3 b - -,h7f8
rnbqk2r/pp3pp1/2p1pn1p/8/2QP1B2/P4N2/1P2PPPP/R3KB1R b KQkq -,e8g8
r2k3r/3bnBp1/pn2p2p/2bpP3/1p3B2/1P3N2/q1P1QP1P/1NKR2R1 w - -,f4e3
2r2rk1/pbp3pp/1p1bqn2/1N1pN3/3Pp3/1P2P3/PB2B1PP/2RQ1RK1 b - -,a7a6
r1q2rk1/1p2bpp1/p2p1n1p/P2P4/2PB4/5BP1/1P5P/R2Q1RK1 w - -,d1d3
8/8/p2Bk3/n2p2p1/P2K4/1P5P/8/8 w - -,d6b4
r3r1k1/p1qn1p1p/1pbp1bp1/2p1p3/PP2P3/1QPPNN2/4BPPP/R4RK1 b - -,f6g7
6k1/2p2pp1/pp2b2p/8/1P3R1P/2P5/1P1rNPP1/6K1 w - -,e2d4
r2q1rk1/1p1b1pb1/2pp1n1p/2nPp1pP/p1P1P1P1/2N1BP2/PPQNBK2/R6R b - -,d8a5
1R6/p3bpk1/4p1p1/3p3p/7P/P2rP1P1/5P2/2B3K1 w - -,c1b2
2r1r2k/1b2q1pp/p2b4/8/N1Bp4/1P4nP/P1R2KP1/Q2R1N2 w - -,a1d4
8/2r1k3/R3p1Bp/7P/PK2P3/2r5/8/8 w - -,a6b6
1k1r3r/pp1q1p1p/2pb4/5b2/P7/2N3P1/1P2PPBP/R1Q2RK1 b - -,h7h5
8/8/6n1/3k3p/4p2P/4B1K1/8/8 b - -,d5c4
2r3r1/1p1b1pkp/1P1p1np1/3Pp3/2q1P3/5P2/1Q1BN1PP/2R1R2K b - -,c4d3
r1bq1rk1/pp3ppp/3p1n2/2p1n1B1/2P1P3/P1Q2P2/1P4PP/R3KBNR w KQ -,h2h4
2r4k/R6p/4BKp1/7r/p4p2/8/5PP1/8 b - -,c8f8
1b6/7p/p7/3p2N1/1p6/1Pk3P1/2P2P1P/3K4 w - d6,f2f4
r1b1nr2/pp1n1pbk/2pR2pp/4p3/2P1P3/2N1BN1P/PP2BPP1/R5K1 w - -,d6d3
8/4P3/3K4/p2Q4/1k6/8/4q3/8 w - -,d5c5
5R2/6p1/6k1/2r5/2r3K1/5P2/8/8 w - -,f3f4
r4rk1/pp2n1bp/1q2pp2/1P1p4/1Q1P4/P2BPN2/6PP/R4RK1 b - -,e7g6
6k1/4r2p/p1p3p1/N1p2b2/P2pp3/1P1P2P1/2P4P/4R1K1 b - -,e4d3
8/4bk1p/6p1/2p1B3/2K5/5RPP/8/3r4 b - -,f7e6
4r3/1B6/p2r1k1p/1p2n1p1/5P2/1P1pb3/P1P3PP/3RR1K1 w - -,e1e3
4r1k1/7p/p5pP/6b1/1B6/P7/KPR5/8 w - -,b4d2
2k2r1r/pp2q1bp/3pb3/2p1p2R/2P1Pp2/2NP2P1/PP1Q1PB1/2KR4 b - -,e7d7
r3kb1r/ppp2ppp/1nn1p3/4P3/2PP4/2N2P2/PP2BB1P/2R1K2R b Kkq -,e8c8
5q1k/3np1b1/r2p3p/2pP2p1/4P3/1P2B1PP/P1RN2K1/5Q2 b - -,f8f1
r5k1/2q1prbp/1p3pp1/pP1p4/3PbP2/Q1P5/1R1N2PP/2N1R1K1 b - -,e4f5
1r1brqk1/1pp2pp1/p2p3p/3Nn3/2P1P2P/1P3PPQ/PB1R2K1/3R4 b - -,e8e6
r3k2r/ppp2ppp/2p1Bn2/2b5/4P3/8/PPP2PPP/RNB1K2R b KQkq -,f7e6
2r1r1k1/pbqn1ppp/1p2pb2/3p4/2PP4/1P1R1NPB/PB2QP1P/2R3K1 b - -,c7b8
r4rk1/ppbq1pp1/n1p3p1/2Pp4/3P4/P1P2N2/2Q2PPP/1RB1R1K1 b - -,a8e8
4r1k1/1pp2p2/3p2pp/1P3q2/2PQ4/5PPP/2b1P1BK/4R3 b - -,f5e5
r2q2k1/1p1r1ppb/2p1n2p/p2pP3/P4n2/1PN2P1P/BBP2QPK/3RR3 b - -,h7f5
5r1k/2NP1r1p/4p1p1/1Bp1R1n1/2P2P2/2P3nP/P5K1/3R4 w - -,g2g3
1R6/8/8/5p2/r5k1/8/5K2/8 w - -,b8b5
r4rk1/1p2qppp/p4n2/2bpn3/8/3BPN1P/PP2QPP1/R1B2RK1 w - -,c1d2
8/7p/3pk1p1/5p2/PR3P2/2r4P/4K1P1/8 b - -,c3a3
r2qk2r/1pp1npp1/p2pbn1p/4p3/4P3/P1NPPNP1/1PP3BP/R2Q1RK1 w kq -,f3h4
rn1qkb1r/1b3p1p/p2p1np1/1p2p3/4P3/P1NBN3/1PP2PPP/R1BQK2R w KQkq -,e1g1
r4rkn/ppqb2pp/2p1pn2/2Pp1p2/3P4/P2NPN2/1PQ1BPPP/R3K2R w KQ -,f3e5
r4rk1/ppbnqpp1/2p1pnp1/2Pp4/3P4/1P2P3/PB1NBPPP/R2Q1RK1 w - -,f2f4
8/1p3k2/r5P1/1p2K3/1PbB3r/4P3/1R6/6R1 b - -,f7g8
r1br2k1/3n1ppp/2p1p3/p7/N7/3N2P1/PP1KPP1P/R6R w - -,h1c1
r2r2k1/p4pb1/3N2p1/3np1Pp/2B1N3/1P3P2/P1P3P1/2K4R b - -,d8d6
4r1k1/1p3rpp/p1b2p2/3p1q2/3B4/1P2PPR1/P2Q1PKP/6R1 b - -,h7h5
6k1/R7/6p1/4N2p/P2n4/7P/r4PPK/8 w - h6,a4a5
rnbqkb1r/ppp1p2p/5np1/3p1pB1/3P4/2N1PN2/PPP2PPP/R2QKB1R b KQkq -,f8g7
r3r1k1/pp1qppbp/1n4p1/1Q4B1/3PP3/5N2/P4PPP/1R3RK1 b - -,d7e6
2r2rk1/3n1pbp/p2Pbqp1/8/4P3/QN5P/PPP1B1P1/1K1RR3 b - -,c8b8
2q1r1k1/1pb1npp1/p2Rbn1p/1P6/P1P1pPP1/2N1P2P/1BN1B1QK/8 w - -,d6d1
4brk1/1p1r1ppp/p3p3/2Pp4/PP5q/5B2/2P2PPP/R2QR1K1 w - -,d1d2
7k/3r2pn/p1qP1p1p/4pP2/Pb5P/3R4/1BP1Q1P1/3R3K w - -,e2g4
8/1p2r3/2p2k1p/8/3P1R2/5P2/3K4/8 b - -,f6g5
r2qk2r/4ppb1/2bp1npp/2p3P1/2P2P2/P3PN1P/2B5/B1R1QRK1 b k -,h6g5
5q2/1p5k/6p1/Pp5p/8/2P1Q1Pb/4BK2/8 w - -,e3f3
r1b1rbk1/1p3pn1/1qpp2p1/p3n3/2PNPN2/1P4P1/P1Q2PB1/2BR1RK1 w - -,d4e2
r4rk1/3bqppp/p3pn2/1p1p4/2nP4/P2BPN2/QP2NPPP/R4RK1 w - -,b2b3
1Q2k3/8/4qpp1/7p/7P/1p4P1/5P2/6K1 b - -,e8d7
r3k2r/ppqnbppp/2p1pnb1/3p4/2PP3N/1QN1PPP1/PP1B3P/2R1KB1R b Kkq -,d5c4:d7b6
8/4k3/p6r/2R1P1p1/6P1/1P3NK1/P7/5n2 w - -,g3f2
2r2rk1/1b2b1pp/p3p3/1p1q1p2/3P4/1PP2N1Q/3B1PPP/R3R1K1 w - -,a1b1
1r3nkr/1bq2pb1/p1P3pp/3Pp3/BQPnP1PP/P3BPN1/6K1/1R4R1 b - -,b7c6
r1b1kb1r/pp2pppp/2n2n2/3q4/3P4/4BN2/PP3PPP/RN1QKB1R b KQkq -,e7e6
8/2QP1pk1/p5p1/4p3/1Pp1P3/P4Pqp/8/4K3 w - -,e1e2
r4rk1/1pp1b1pp/2n1p1q1/p1npP3/3N1P2/P3B1N1/1PP1Q1PP/R3R1K1 w - -,d4b5
1r6/q4pk1/p3p2p/1p6/7R/P4P2/1PPQ2PP/n6K b - -,b8h8
3n1k2/p4p2/1p1b1Np1/1b5p/1P2B3/P1B3P1/5P1P/6K1 w - -,f2f4
r1b1qr1k/1pp3b1/p2P1n1p/4ppp1/8/1QN3P1/PP2PPBP/R2RB1K1 b - -,c7c6
1r1q1rk1/3bppbp/p1np2p1/1pp2n2/P1P5/1PNPP1P1/1BQ1NPBP/R4RK1 w - b6,a4b5
r2r2k1/pB2bppb/4p2p/Q3P3/2q2P2/1N1n4/P5PP/R4RBK b - -,e7b4
r1bq1rk1/pp1p1ppp/n3pn2/2P5/2P5/P1Q2N2/1P2PPPP/R1B1KB1R b KQ -,a6c5
1br2rk1/p2nqppp/b4n2/1pPppQ2/1P6/2B2NP1/PN2PPBP/R2R2K1 b - -,a6b7
r2b2r1/P1p4p/R1N5/2p5/4k3/4N1P1/4K2P/8 b - -,d8g5
3b4/5p2/8/RPNp1b2/3P2k1/2K2p2/3B1P2/7r w - -,a5a8
r1bqr1k1/pppn1pbp/6pn/4p3/4P3/1P3NPP/PBP2PB1/RN1QR1K1 w - -,b1d2
r2q1rk1/1p2ppbp/n1p2np1/p2p1b2/2P5/PP1P1NP1/1B1NPPBP/R2QK2R w KQ -,e1g1
8/1P3R2/8/8/8/4r3/2K1kp2/8 b - -,e3e8
r2q1rk1/1bppbppp/p1n2n2/1p2p3/4P3/1BPP1N2/PP3PPP/RNBQR1K1 b - -,d7d6:d7d5
1qrr2k1/3n1pp1/pp1ppn2/7p/2PNP3/1PN1QPPP/P2R2K1/3R4 b - -,d7f8
r2qk2r/5pb1/1p1p2p1/p2Pn1Pp/Pp2P2P/1B1N4/1PPQ4/2K2RR1 b kq -,e5g4
rn1qkbnr/ppp2ppp/4p3/8/3Pb3/3B1N2/PPP2PPP/R1BQK2R w KQkq -,d3e4
6k1/3n1p1p/p3p1p1/4P3/3B4/b1p4P/5PP1/4N1K1 w - -,d4c3
6R1/8/8/8/7p/P1P3k1/2r5/6K1 b - -,g3h3
8/1pp3pQ/q3kpBp/p1P1r3/P7/1P4P1/3r2PP/5RK1 w - -,g6f5
2r1k1nr/pp3pp1/1q2p2p/n2pP2P/3P4/P5N1/P3QPP1/R1BR2K1 b k -,a5c4
8/4b3/6p1/2p3N1/Pk6/1P6/2K5/8 w - -,g5e4
rn2k2r/ppp2ppp/3P1q2/8/1bP2B2/6Pb/PP1NPK1P/R2Q1B1R b kq -,b4c5
3r2k1/1q3pb1/p1b3pp/1pP1p2n/1P6/P1N1QN1P/4BPP1/2R3K1 w - -,c1d1
r3k2r/pppq1ppp/2n2b2/3p4/4P3/2P3Pb/PPN1PPBP/RN1Q1RK1 b kq -,h3g2
6k1/1p1bppbp/p2p2p1/3P4/4P3/1P2BP2/P3B1PP/2K5 b - -,g8f8
r4rk1/pb1nqppp/1p1b1n2/2ppN3/3P1P2/1P1BP3/PB1NQ1PP/R4RK1 b - -,f8c8
4n1k1/q3p1bp/1n1pP1p1/rPp5/5P2/1QN2N2/1P1B2PP/5RK1 w - -,b3c2
r1bq1rk1/2p5/3ppnpb/p2P3p/2BB2PP/5P2/PP1Q4/1K1R3R w - -,d2h6
rr4k1/3nqp1p/4p1p1/1pp3P1/p1PP3P/3Q1NR1/PP3P2/2K4R w - -,h4h5
r1bn1rk1/ppp1qp1p/1b1p1np1/4p1B1/2BPP2N/2P5/PP1N1PPP/R2QR1K1 b - -,d8e6
2r5/p4k2/1p2pp1p/5np1/3P4/3RPN2/P4PPP/2b2RK1 w - -,f1d1
2rq1rk1/pp1bppbp/3p1np1/3P4/4P3/2N3PP/PP3PB1/R1BQR1K1 w - -,c1e3
r2qr1k1/pp3pbp/2n2np1/2ppp3/8/1P1PPNPP/PBP1QPB1/R4RK1 w - -,f1d1
2rr2k1/3nqp1p/6p1/pBp5/1p1Pp3/1P2P1P1/PQ1R1P1P/4R1K1 w - -,e1d1
3r4/4kp2/nP1p2p1/p3p2p/4P3/4NPPP/R7/6K1 b - -,d8b8
r1bq1rk1/1p1n1pb1/p2p1np1/2pP2Bp/P3P3/2N2PN1/1P2B1PP/R2QK2R b KQ -,d8b6:f8e8:d8e8
3r1r2/p1pB1bk1/3p2p1/3Pq3/P3p1PR/1P6/3Q1P1P/2R3K1 b - -,d8d7
3r2k1/6p1/7p/1bB1p2P/1P2Bb2/8/8/R5K1 b - -,g8f7
2rq2k1/pp1n1rpp/3P4/n1p1p3/2P5/P1P3B1/3N2PP/R2Q1RK1 b - -,f7f1
8/3r2k1/2R5/4K2p/5P2/1R4P1/8/4b3 b - -,g7h7
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2P5/2N1PN2/PPQP1PPP/R1B1KB1R w KQkq -,b2b3
rnbq1rk1/1p3pbp/p2p2pn/2pP4/P3P3/3B1N1P/1P3PP1/RNBQK2R w KQ -,e1g1
5k2/8/5K2/5P2/8/5r2/6R1/8 w - -,f6g6
1r6/4kp2/2p5/ppPbp1q1/3bB1P1/5R1P/PPQ2P2/1K1R4 b - -,d5e6
8/8/8/5Rk1/4K3/8/1b6/8 b - -,g5g6
8/4r3/4P3/1pk1Rp2/2p2P2/2P4P/2K5/8 b - -,c5c6
2r5/pR3pkp/6p1/r7/8/N1n5/2P2PPP/R5K1 w - -,g1f1
3r1q2/7k/1pbp1rp1/p1n1p2p/P1P1P3/1P2QP1P/3RN1B1/1R4K1 b - -,f8g7
2rr2k1/4np1p/1p2pb2/pP4p1/1nPP4/1NB4P/3RBPP1/R5K1 b - -,b4d5
2k5/8/8/6R1/4pp2/7P/1r4P1/5K2 b - -,e4e3
1r6/5p1k/p2P1p1p/5N2/8/P3P3/2r2PPP/1R4K1 w - -,b1d1
5rk1/2p1q2p/1p1pR1p1/3P2P1/p1P4P/P4p2/1P3Q2/4K3 b - -,e7d7
r2r2k1/pp3ppp/2n2n2/qBbp1b2/8/1PN1PN1P/PB3PP1/R2Q1RK1 w - -,b5c6
rn1q1rk1/pb2ppbp/1p1p1np1/2pP4/2P5/2N1PN1P/PP2BPP1/R1BQ1RK1 b - -,e7e5
3r4/8/1p6/1P3B2/1R1b1kP1/5p2/2K5/8 w - -,b4b1
8/5p2/4p3/7k/3K2pP/5r2/6RP/8 w - -,d4e4
6k1/p4pp1/2b1r3/2p1p2p/3rP2P/2N1R3/PPP2RPK/8 b - -,e6d6
7k/6p1/8/5qP1/5p1K/5Q1P/8/8 b - -,h8g8
2rr4/1p2kppp/pq1pb3/4p3/4P1n1/1PNQ2P1/P1PR1PBP/R5K1 w - -,c3d1
rn1qk2r/pp2bp2/2p2np1/3p1b1p/3P1B2/2NBPP2/PP1Q2PP/R3K1NR b KQkq -,f5d3
8/5k2/2pQbb2/2B1p3/p1P1Pp2/1P3P2/P1K2N1q/8 w - -,d6c7
6r1/4kp2/1p1pp3/p3n3/P3P3/1PP2Br1/2KR2P1/7R w - -,d2f2
2r5/4kp2/p2p1p2/1pr1p1Pp/2b1P2P/P1N5/1PP2R2/2KR4 w - -,f2f6
5rk1/pr5p/5p1R/q1ppp3/5nbN/1P1PQP2/P1PN2P1/2K4R b - -,g4e6
r7/pp2bkpp/6n1/3ppPN1/8/7P/PPr3P1/R3RBK1 b - -,e7g5
r2r2k1/pp1q1pbp/3pp1p1/4n3/2P1PN2/1PB3P1/P3QPKP/2R2R2 b - -,d7c6
r2qk1nr/ppp2pbp/2npb1p1/4p3/2P5/2N1PNP1/PP1P1PBP/R1BQK2R w KQkq -,d2d3
2r3k1/1pq1p1np/3p2p1/1N2b1P1/P3P3/1P6/2PQ3P/1K1R3R b - -,c7d7
6k1/p2rnpp1/q1B1b2p/P1bp4/2p2N2/2P2Q1P/1P3PPB/R3R1K1 b - -,a6c6
r1b1k2r/1pqp1ppp/p1n1pn2/8/1b1NP3/2N1B3/PPP1BPPP/R2Q1RK1 w kq -,d4c6:c3a4:f2f3
4r1k1/1p2pp1p/2bpn1p1/3N4/1PP1P3/1r4PP/5PB1/RR4K1 b - -,b3b1
6k1/6p1/p5rp/1p1Qpp2/1Np1q3/P6r/1P3RPB/7K b - -,e4d5
8/8/p2p4/P1P3rp/1P1K4/4R1Pk/8/8 b - -,d6c5
2b2rk1/q4p1p/4p1p1/Pn1pP1N1/2nP4/P1Q5/4BPPP/1N3RK1 w - -,c3h3
8/5k2/6p1/2pRPp1p/2P2P1P/r1rP4/R1K5/8 w - -,c2d2
rnb2rk1/p2p2pp/4p3/qppP1P2/2P1nB2/2P5/P1Q1PP1P/2R1KBNR b K -,e6f5
r3q1k1/1p5p/p2pb3/2pn1p2/P3n3/2P2N1P/6P1/R1Q1BBK1 w - -,a1b1
r4rk1/pp3ppp/8/1BPb2q1/1P1p4/8/P3QPPP/2R2RK1 w - -,f2f4
3r4/7p/1pr2k2/p3pPp1/1p1b2BP/3P2P1/P3R1K1/3R4 b - h3,d8c8
8/5k2/p2p3r/2p1p2p/2P1PP2/P3P2R/5K1P/8 b - -,h6h8
6K1/6Q1/2k4P/8/8/8/4p3/4q3 w - -,h6h7
rnbq1rk1/pp2bppp/2p5/3p4/3PnB2/2NBP3/PP2NPPP/R2QK2R b KQ -,e4c3
r2q1rk1/pp1bbppp/4p3/n2pP3/3P4/2PB1N2/P1Q2PPP/R1B1R1K1 b - -,g7g6
8/8/6pB/2b5/1p4P1/1P1k4/P7/1K6 b - -,c5d6
r1br2k1/pp1nppbp/2n3p1/8/2P1P3/2N1BP2/PP2N1PP/R3KB1R b KQ -,d7e5
8/p1r1bpk1/6p1/1R5p/8/3BP1P1/P3KPP1/8 b - -,e7d6
2brrbk1/p1q2pp1/2p4p/n3pN2/4n3/2NP1QP1/PPP2P1P/R1B1R1K1 w - -,c3e4
rnbq1rk1/pppp2pp/4pn2/5p2/1bPP4/2N1P3/PPQ2PPP/R1B1KBNR w KQ -,f1d3
b2n1r2/1q4k1/6pp/1pPp1P2/1PpN2B1/2P1Q3/6PP/R5K1 b - -,g6g5
6k1/p7/2pp1rr1/8/2PRp3/4Pn1P/PNR1KP2/8 b - -,f3d4
