8/6Q1/q1K4P/8/8/k7/8/8 w - -,c6d7
8/8/P4R2/6p1/r7/3K2k1/8/8 b - -,g5g4
8/5p1p/5kp1/R3p3/3p4/2r2P2/3K2PP/8 w - -,a5a6
4rrk1/p4nbp/1ppqb1p1/2p2P2/7Q/1P1P1N1P/P1PB2P1/3NRR1K b - -,e6f5
4k3/6pp/8/2p2R2/1p1bK3/1P1B4/2Pr1PPP/8 b - -,d2f2
r1bq1rk1/1pp2pbp/3p2p1/p1nPp2n/2P1P3/PPN2N2/2Q1BPPP/R1B2RK1 b - -,f7f5
rn1q1rk1/ppp1bpp1/7p/3p3n/3P2bB/3B1N2/PPPN1PPP/R2Q1RK1 w - -,h4g3
5r1k/2B1bppp/3pbn2/N3p3/4P3/P4P2/1rPR2PP/5RK1 w - -,a5c6
rnbqkbnr/ppp4p/3p2p1/3Ppp2/2P5/6P1/PP2PP1P/RNBQKBNR w KQkq -,f1g2
2b4k/2P3p1/2B1p2p/4Pp2/p4P2/6P1/PP5P/6K1 w - -,c6a4
1rr4k/p4p1p/2q1p1pP/1p2Pn2/3pNQP1/3P4/PP2RPK1/R7 b - -,c8g8
r3kb1r/pp2pppp/1qn5/2pp1b2/3Pn2B/2P1PN2/PP2BPPP/RNQ1K2R b KQkq -,a8c8
2k5/1p1r4/p7/P2p4/2PRn2p/6p1/6PK/4R3 w - -,h2g1
5k2/1p3p2/p2p2p1/P2P3p/1PP2P1P/3K2P1/1q6/4Q3 b - -,b2b3
2k2n1r/8/pq2p3/1p1pP1Q1/2r3p1/3B2P1/PP3RP1/R5K1 w - -,g5g7
2r1kb1r/pp1bpp2/2np1p1p/q4N2/4PP2/2NB4/PPPQ2PP/R3K2R b KQk -,c6b4
q7/4b1kp/2b2np1/1p1pp3/1P2P3/1QP2P1P/1B4P1/4R1K1 w - -,e4d5
4n3/p4k1p/1pq2P1P/5RB1/P1p1r3/6Q1/1P5K/8 b - -,e4e2
8/4k3/2Pp4/6pp/2p1Pp2/2P2P2/1P1KB1n1/8 w - -,e2c4
r4rk1/p1Bq2pp/2p2p2/2b5/8/3P2QP/PPP2PP1/R3R1K1 w - -,g3f4
2r1kb1r/6p1/p3pqP1/1N1b4/4p3/P3BnQ1/1PP5/1K1R1BR1 b k -,a6b5
rn2k2r/pp1qb1pp/3p1n2/5p2/2PPp3/1P3N2/PB3PPP/RN1Q1RK1 w kq -,f3g5
r7/5k2/4p1p1/p3P1Kp/R4P1P/8/6P1/8 w - -,g5h6
8/8/5n2/1B2p1k1/7p/5P1K/8/8 b - -,f6d5
r3r3/pp4pk/3q2np/3pNp2/2pPnP2/2P3PP/PP3Q2/R3RBK1 w - -,f2f3
3r2k1/BR3pp1/6bp/3Bp1b1/2P1P3/2P3P1/5P1P/6K1 w - -,c4c5
8/pp3K2/5NP1/8/2p5/P1P3n1/1k6/8 w - -,g6g7
r4rk1/ppq2bpp/2n2p2/2bp1N2/5P2/P1B4Q/1PP3PP/1K1R1B1R w - -,f1d3
r1b1k2r/pp1n1ppp/5n2/q1Pp2B1/8/2P1PN2/P4PPP/2RQKB1R b Kkq -,e8g8
8/7k/R5p1/p4r2/r1PRKP2/7P/8/8 w - -,d4d7
1n3rk1/r3bq1p/1pp1b3/3pPpp1/1P6/3NP1PP/1BQ2PB1/2RR2K1 b - -,a7c7
8/4k3/1K1R4/p1p5/2P5/1P6/4q3/8 w - -,d6c6
r1b2rk1/p1Q2pp1/1p1p3p/3P1n2/4N3/q2B2PP/4PP2/2R2RK1 b - -,a3b2
2q1rrk1/pp1bb1pp/n1pp1n2/3P4/2P2R2/2N1B1N1/PP1QB1PP/5RK1 b - -,e7d8
3R4/4p3/8/4pkp1/5r2/7K/7P/8 w - -,d8f8
1n6/2qrbpkp/pp1pp1p1/4r3/PNP1Q2P/1P1R2P1/4PPB1/3R2K1 w - -,e4d4
rk5r/1b2pR1p/4Bbp1/pp1p4/1B1P4/8/PPP3PP/3R2K1 w - a6,b4e7
6k1/1b2nppp/pN2P3/1p3p2/3N1P2/P6P/1P4P1/6K1 b - f3,f7e6
5r1r/1p2qpk1/p4n2/4p1p1/4PnNp/1BP1Q2P/PP1R1PP1/4R1K1 w - -,g4f6
r1bq1rk1/p2nbppp/1p2pn2/3p4/3P4/2N2NP1/PPQBPPBP/R4RK1 w - -,f1c1
8/4p2p/2kp4/5r2/pR6/1P1PK2P/8/8 w - -,b3a4
8/4kp2/R7/2p4p/2P1bPP1/4N2r/3K4/8 w - -,a6a7
rnb2r1k/1pp1q1b1/p2p1n1p/4pp2/3P2pP/1QPBPPB1/PP1NN1P1/2K1R2R b - -,b7b5
r5k1/3q1nbp/r1p2pp1/p1B1p3/Rp2P3/1N1P3P/2P2PP1/Q4RK1 b - -,d7c8
8/5bk1/2n5/PpNNp1pp/4P3/P2K4/5PP1/8 b - -,c6a5
4R2Q/5p2/p5p1/1p1r2kp/5q2/2P5/P6P/4R1K1 w - -,e8e5
8/5p2/7p/3p1k1P/p1pP4/1r6/R3KP2/8 b - -,a4a3
1r1q1r1k/1p3p1p/p1ppb1p1/4b3/B1PpPB2/P2P3P/1P3PP1/2RQR1K1 w - -,d1d2
6k1/1p3rpp/p1pprp2/5q2/P1PB4/1K4R1/1P6/3N2Q1 w - -,d1e3
6k1/5p1p/p1rp1pp1/1p1R4/P3P3/1P3P2/1P4PP/1K6 b - -,c6b6
8/1p3nk1/p1b2p1p/P7/1P2BR1P/4K1P1/8/8 b - -,f7e5
8/6pk/6p1/6P1/1R4KP/5P2/8/6r1 w - -,g4f4
r1bqkbnr/pp1ppppp/n1p5/8/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq -,a6c7
5b1k/pp5p/3n4/3pN2P/3P1q1p/PP2pP1n/2Q3R1/7K b - -,h3f2
r3r3/2k1p2p/5pp1/2pPp3/P1Nb1P1P/1P3R1K/4R1P1/8 w - -,f4e5
r7/1k3p1p/1np3p1/p3B3/Pb2NP2/4PK2/6PP/1R6 w - -,e4d6
5r1k/p4rp1/3q3p/3P1n2/4R1Q1/6P1/5PK1/5R2 w - -,f1d1
8/p1pk1p2/1pn3b1/3NP3/2p3P1/1P6/PKP2R2/2B3r1 w - -,c1f4
6k1/7p/p1p3p1/3n4/R3N2P/1P2r3/P1P5/2K5 w - -,c1d2
q1r2rk1/4bppp/3p4/p2np3/1PB5/P7/3B1PPP/2RQ1RK1 w - -,c4d5
r1r2qkn/1b3pp1/1p3P1p/p2pP3/3p4/P2B2QN/1P4PP/4RRK1 w - a6,e5e6
8/8/5R2/1p1k4/3P4/6K1/8/8 w - -,f6b6
8/8/8/2k5/4K3/p7/8/2N1n3 w - -,e4e3
8/5p2/3Qp1n1/2K1P3/4q3/2B5/k7/8 b - -,g6f4
2r5/pp1Q1pk1/6p1/6Np/2q5/8/P4PPP/R5K1 w - -,h2h3
1nr2k2/p1r2pp1/1pp2bp1/8/PP3P2/4P1P1/2R4P/2R1BBK1 w - -,g1f2
6k1/pp2pp1p/6p1/8/2r1P3/4K3/P4PPP/7R w - -,h1b1
1r1q1rk1/1pp1bpp1/p1n1bn1p/2P1p3/3p4/BP1P2P1/PN1NPPBP/R1Q2RK1 b - -,e6d5
r1b4k/1p2p2p/3p1bp1/8/8/1P2B3/5PPP/1R1R2K1 b - -,c8f5
r2qkb1r/5ppp/p1b1pn2/P2p4/1p1P4/1Q2P3/1P2NPPP/R1B1KB1R w KQkq -,e2f4
4r3/1p4bk/6pp/4P3/3BKNPP/1P1R4/2r5/8 w - -,g4g5
2r1r3/1n1n2b1/p1q1p1pk/2p5/1P2N3/P4N1P/2Q2PP1/2RR2K1 w - -,c2d2
r2q1r1k/pp2b1pn/1np1p2p/4Pp2/3PNPQ1/8/PPB3PP/R1BR2K1 w - f6,e5f6
8/p4k2/1pq2b2/8/2P3Q1/P6p/K4R2/8 w - -,g4h5
r2qk2r/3n1ppp/p3pn2/6B1/1Q2P3/5N2/1P3PPP/R4RK1 b kq -,a8b8
r2qk2r/pb1nbp1p/1pp2np1/3p4/3P4/P1NBPPN1/1P4PP/R1BQK2R w KQkq -,e1g1
r1b1kn2/pp3p2/2pbp3/3p4/2PP4/2N1Pq2/PP1B1P2/R2QKB2 b Qq -,f3d1
r2qk2r/ppp1bppp/1nn5/3pPb2/2P5/2N1BN2/PP4PP/R2QKB1R w KQkq -,c4d5
1r4k1/p4ppp/2p1p3/3q2N1/Q2P4/P3P1P1/1r2R2P/4R1K1 b - -,b2e2
2bqkb1r/r2n1ppp/p3pn2/1pp5/3P4/5NP1/PPQ1PPBP/RNB2RK1 w k c6,c1f4
2r1r3/5pk1/4pqp1/pp1p3p/2nP1P2/P1PN1QP1/1P2R2P/2R3K1 b - -,e8e7
R7/6k1/6p1/6p1/1r6/6K1/6P1/8 b - -,g7h6
1r1r2k1/2q1npbp/b1n1p1p1/p2pP3/P2N1PP1/2P1BN2/B4R1P/R2Q2K1 w - -,d1d2
1rb1kbnr/3pp2p/pp3p2/8/2BNN3/2P2P2/PP4PP/2KR3R b k -,e7e6
7k/p6p/5p2/1B6/6R1/5K2/P1r5/8 w - -,a2a4
8/8/3Pbp1k/3N4/1P4r1/4Np2/3R1P1K/r7 b - -,g4h4
r3k1nr/1bqnppbp/p5p1/3p4/1pNPPP2/3B1N2/PP2Q1PP/R1B2RK1 w kq -,c4e5
r4rk1/pbq1bppp/1pn1pn2/2pp4/2P5/1PN1PNP1/PB1PQPBP/R2R2K1 b - -,d5c4:a8c8
8/ppr2pk1/2p5/2P1n1p1/1P1NPp2/PB2nP2/7R/2K5 b - -,c7d7
rnbq1rk1/ppppppbp/5np1/8/3PP3/2PB4/PP1N1PPP/R1BQK1NR b KQ -,d7d6
3R1bk1/3R4/5r1p/6p1/6P1/3N2KP/2r2P2/8 b - -,c2a2
r1bqr1k1/pp1nbp1p/2p2np1/3p2B1/3P1N2/2NBP3/PPQ2PPP/2KR3R b - -,b7b5
rnb2rk1/1p3pb1/p2p1np1/q1pN3p/P1P1P2P/5P2/1P1BN1P1/R2QKB1R b KQ -,a5d8
8/4k3/1B6/1K6/2pR2r1/8/P7/8 b - -,g4d4
8/3b4/2k3pB/p1p5/8/1KP1P3/8/8 b - -,c6b6
8/1p3p1k/p6B/5P2/PP5r/3p1R2/6K1/8 b - -,h7h6
3r3k/p5p1/4qr1p/2p5/Q2b1P2/1RB1nBP1/1P5P/1R5K w - -,b1e1
r2b1nr1/2p2k2/1pPpNB2/1R1P4/P3Pp2/2N5/4K3/7R b - -,d8f6
2r1n1k1/ppqnb1pp/2p5/4pQP1/P2P4/7P/1PP1N1B1/R1B3K1 b - -,e8d6
7r/p4p1p/2N2k2/2bb4/1p6/6R1/PPP2PBP/1K6 b - -,h8e8
2r1r1k1/pp3ppp/q3p1n1/4P1P1/3PQ3/P1P1B2R/1P5P/1R4K1 w - -,e4f3
7k/5p1p/1p3N2/P5P1/1P1b4/6P1/6KP/8 b - -,b6a5
r2q1k1r/1bp2p1p/p4b2/3p1N1Q/Pp2Pp2/1B1P4/1PP2PPP/R3K2R w KQ d6,e1c1
r1b1k2r/pp1pppbp/2n3p1/2P5/1q6/1Nn3P1/PP2PPBP/R1BQ1RK1 w kq -,b2c3
r5k1/p7/1r5p/3p2p1/3b4/P7/4BPKP/3R1R2 b - -,d4b2
r3r1k1/p2b2p1/1q2pn2/2Np4/3Q4/5NP1/PP3PP1/R3R1K1 w - -,a1c1
r1q2rk1/4pp1p/1n1p2p1/P2P4/2p1P3/2P2NP1/4QPKP/R1nR4 w - -,d1c1
r2r4/pp3pkp/2p3p1/2n5/2P1PPb1/2N5/PP3P2/R3RBK1 w - -,e1e3
r4rk1/2b3p1/1p5p/pP3p2/3PpP2/2P1N1BP/1P3K2/R7 w - -,e3d5
8/2N2k2/3p4/p1pPp3/2P1np2/8/PP5P/6K1 w - -,b2b3
8/8/2k1Nbpp/1r6/2B2P2/8/6PP/6K1 w - -,c4b5
2rq4/3n2k1/RpBp1n1b/3Pp2p/1P2P1p1/3Q1PP1/4NBK1/8 b - -,c8c7
7r/1pb1rkp1/p1p3p1/3pn1P1/1P3pBP/1PP2P2/3RPB2/1R3K2 b - -,c7d6
8/2q2pk1/p4b2/3P2p1/1P4Qp/5N1K/6P1/8 b - -,c7c1
1r1q1rk1/3bppbp/p1np2p1/1p6/2P1PP2/1PN3P1/P2BQ1BP/2R2R1K w - -,c4b5
r5k1/1q4bp/2rpb1p1/4p1B1/2p1P1P1/1nP1NP2/2B2RP1/3QR1K1 b - -,a8a1
r1bq1rk1/ppp1n1bp/3p1np1/2PPpp2/1P2P3/B1N5/P2NBPPP/R2Q1RK1 b - -,g6g5
r1bq1rk1/1p1nnpb1/p2pp1pp/2pP4/2P1P3/2NB1N1P/PP3PP1/R1BQR1K1 w - -,c1e3
r4rk1/ppq2pbp/2n3p1/1B2p3/4P3/Q3B3/PP3PPP/2R2RK1 b - -,f8c8
1kr5/5pp1/4p2p/1N6/1P6/P1n3P1/5P2/K2R4 w - -,b5c3
r1q2rk1/1p1bnpp1/7p/3pPp1P/3N2P1/2PBQ3/P7/1R3RK1 w - -,g4f5
r1b3k1/p3R2p/1p2pR2/3p2q1/3P1P2/6P1/PP4K1/8 w - -,f4g5
8/8/p6k/1pK4P/8/PP6/n7/3B4 b - -,a2c3
4q1k1/5pbp/8/3Q2Pp/4r2P/1pp5/P1R5/1K1R4 w - -,a2b3
r1b2rk1/1pq2p1p/p3n1p1/2p1R3/2P5/P4N1P/1PQ2PP1/3R1BK1 w - -,e5d5
1b6/8/8/3p4/1Pn1k3/1NP2p2/2K5/6B1 b - -,e4f4
8/1p1r2k1/3pQn1p/3P2p1/6P1/5P2/5K2/8 b - -,b7b5
2r1r1k1/p4p1p/6p1/1qpPb3/1p2P3/5Q2/PP2RPPP/3NK2R b K -,c5c4
r1r3k1/2q2pp1/3p2np/p2p4/1p1P3P/6P1/1PPQRP1N/4R1K1 w - -,f2f4
8/1b2p1k1/3p1npp/1ppP4/4P3/3K4/8/R7 b - -,g7f7
7R/1p3qk1/p6R/P3p2p/5p2/5Prb/7N/7K b - -,h3g2
r1b1kb1r/ppq1pppp/2n2n2/1BppN3/8/1P2P3/PBPP1PPP/RN1QK2R b KQkq -,c8d7
r1b1k2r/ppp1qp1p/5np1/2p5/3QP3/5N2/PPP2PPP/RN3RK1 w kq -,d4e3
2r2rk1/1b1qbp1p/pp1p1np1/4p3/PP1NPP2/2NPB3/4Q1PP/2R2R1K w - -,d4b3
8/1p6/6p1/p1p1k2p/2P4P/2P1K3/PP4P1/8 b - h3,e5f5
8/pp1k1p2/3p2p1/3K3p/3PP2P/1PbN2P1/P4P2/8 w - -,f2f3
r1bqr1k1/1pp2pb1/2np2pp/1P2p3/2P5/2NP1NP1/4PPBP/1R1Q1RK1 b - -,c6d4:c6e7
4r1k1/5p1p/6n1/1p4Q1/p1q5/P5P1/1PBR3P/1K6 w - -,d2d1
7k/1pp3p1/3p3p/4p3/1Pp1P3/r4P1P/2PK2P1/5R2 w - -,f1b1
2rq1r2/1p2ppkp/p2p2p1/3Pn3/3QNR2/8/PP2B1PP/5RK1 b - -,d8c7
2k5/8/P5pP/5pP1/3bbP2/2Bp4/PK6/8 w - -,c3d4
r4rk1/pp3pp1/3P1n1p/P3n3/2pp4/6P1/3B1PBP/R4RK1 w - -,d2f4
4r1k1/pp6/3p4/3P1nP1/1R6/5Nq1/P7/1b1KR2Q b - -,f5e3
8/kp4p1/1b6/P4Q2/1Pq5/8/5PK1/8 b - -,b6c7
rnbqk2r/1p3pbp/p2p1np1/2pP4/P7/2N2NP1/1P2PP1P/R1BQKB1R w KQkq -,f1g2
r2q1rk1/pppbbppp/2np1n2/8/3NP3/2N2PP1/PPP3BP/R1BQ1RK1 w - -,c1e3
5rk1/2R2p1p/3p2p1/3P3q/3Q2n1/8/3r1PPP/5NK1 w - -,d4d2
r1bqr1k1/1p1n1nbp/p1p1p1p1/5p2/2P1P3/1QN1B1PN/PP3PBP/3RR1K1 b - -,d8f6
2R3k1/p4pp1/3rp2p/3nN3/3P4/1P3P2/P5PP/6K1 b - -,g8h7
r1b1r1k1/ppq1bp1p/2p1p1pB/2PnN3/3P4/3Q4/PPB2PPP/R4RK1 w - -,d3c4
8/8/3p2k1/3Pr1P1/5K2/5B2/8/8 w - -,f3e4
8/1p2k1bp/p1r5/P1P1ppp1/1P6/1R3P1P/5BP1/6K1 b - -,e7d7
8/3r1pk1/6p1/7p/1R6/pB2PKPP/Pb3P2/8 w - -,g3g4
r1b1kb1r/p2n1pp1/2p4p/4n3/Np1NPB2/1B6/PPP3PP/R4RK1 w kq -,d4f3
5k2/2r2ppp/B3r3/3N4/8/1P4P1/P6P/5R1K b - -,c7c2
1b1r2k1/1p3p2/p3b3/2r4p/2Pp4/NP1B2P1/PK5P/3RR3 b - -,g8g7
8/pp3p1k/3n2rP/3p2P1/3P1Pb1/1P4R1/P7/7K w - -,g3g4
8/5k2/8/5PK1/2r3P1/8/8/8 w - -,g5h5
2R5/1r3k1p/4p1p1/2B1bp2/8/1P2P1P1/5P1P/6K1 w - -,b3b4
4r3/pbq2k1p/5np1/2p2p2/2P1p3/1P3P2/P1BQN1PP/3R2K1 w - -,f3e4
R7/8/5p2/p3pkp1/8/2r1K1PP/5P2/8 w - -,e3e2
Q4b1r/p1qk1p1p/p3p1p1/3pP3/3N4/2P3P1/5P1P/1R4K1 b - -,f8g7
8/p4k2/4p3/2PpQ3/1K1P4/P6q/1P3P2/8 w - -,e5f4
r1r1kb2/p4p2/p1p3p1/4PbN1/1R1P4/4B2P/P4PP1/2R3K1 w - -,b4b7
2kq2rr/pp2bp2/n1p1p1pn/3pPb1P/3P1BB1/1NP2P1P/PP2Q1N1/3R1RK1 w - -,h5g6
rnbqkb1r/ppp1pppp/5n2/3p4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq d6,g1f3:f2f4:d2d3:c2c4
r3k2r/pp3ppp/n1pBb3/3nP3/2p5/2N2P2/PP4PP/R3KB1R w KQkq -,f1c4
r1r3k1/4ppbp/p5p1/1p6/2nP1PP1/1N2P3/5B1P/RR4K1 b - -,a6a5
r1bqkb1r/1p2pppp/p1p2n2/3p4/P1PP4/1QN1P3/1P3PPP/R1B1KB1R b KQkq a3,e7e6
8/1p6/p2Nn3/P2p2k1/1P6/2P1K3/8/8 w - -,d6b7
4r1k1/1Bp2ppp/1p6/r7/3P1n2/2P4P/PP3PP1/R4RK1 w - -,f1e1
r1b2rk1/pp1nq1b1/2p3pp/4p3/2P1Pp2/2N2NP1/PP1Q1PBP/R2R2K1 b - -,d7b6
4k2r/q7/2b1p3/1pPp1p2/1B1P2p1/4P1P1/1R4KP/rB3Q2 b - -,a7c7
r4r1k/ppn1b1pp/2p2n2/4N2q/1P2P3/2P2NPb/PBQ3BP/R4RK1 b - -,h3g2
6k1/5ppp/1p2p3/1K6/8/3n1PP1/6NP/8 b - -,f7f5
r2qkb1r/ppp1nppp/2n1p3/3p4/3P2b1/4PN2/PPPNBPPP/R1BQK2R w KQkq -,h2h3
8/5pp1/p1kp1b1p/2p5/P1K2P2/2P1B3/1P4PP/8 w - -,b2b3
8/4r3/PP6/2N3k1/3R1pbp/8/1KP3P1/8 b - -,f4f3
1r1qr1k1/3b1pbp/p2p1np1/1p1Pn3/4P3/1pN4P/P1QNBPPB/4RRK1 w - -,c2b3
r2q1n1r/3n1kp1/p3pb2/3p2p1/R2P2P1/1P1B3P/2QBNP2/4K2R w K -,d2a5
8/4bp2/kpp3p1/3nPpPp/1PpP1P2/2P4P/3QNK2/q3B3 w - -,f2f3
rnbq1rk1/ppp2ppp/3bpn2/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b - c3,c7c6
8/3n1ppk/8/2bPp3/4P2p/1B3P1P/1p4P1/1N1K4 b - -,h7g6
3q2k1/2p1n1p1/4bp1p/1Pr1p3/2p1P3/2P1N3/3N1PPP/1Q2R1K1 w - -,b1b4
