8/8/8/1b3R2/1k1p1p2/7P/4rP2/3K4 b - -,e2f2
8/1p4k1/2n3pp/2P1pp2/1P5P/2B1KP2/8/8 w - -,b4b5
2q1r3/p4p2/2np2kp/2p1b1p1/Q3N1P1/2PPN3/P5P1/1R4K1 w - -,e3f5
8/8/4p3/1p2r3/8/3K2p1/6k1/5R2 w - -,f1b1
r4rk1/1p1bqpbp/p2p2n1/P1pP3B/4P3/2N3BP/1P1Q2P1/R4RK1 b - -,g7e5
3rr1k1/q4pbp/1pp3p1/p1n1n3/3BP3/6PP/PPQ1NPB1/3RR1K1 w - -,e1f1
3r1rk1/ppp1bppp/6q1/4n3/5n2/1bP2PP1/PP1NBB1P/R1Q1R1K1 w - -,d2b3
5rk1/5p2/p5pp/2r2q2/6R1/1P3BQ1/P4P2/3R2K1 w - -,f3e4
4Qrk1/6p1/4p2p/1p6/1P1q4/6P1/4RP1P/6K1 w - -,e8e6
3q1rk1/pp2ppbp/3p1np1/3P4/2r5/1NP1B3/PP3PPP/R2Q1R1K w - -,d1d3
2rq1rk1/1b1nnpb1/p2pp1p1/2p3Pp/3PPP1P/p3B3/1PPQN1B1/1N1R1RK1 w - -,b1a3
5rk1/p1p2ppp/4qb2/2P4P/3pP3/2pQ4/PrB2PP1/R3K2R b KQ -,f6e5
1r1q4/1bp2pkp/p2p2p1/2pP4/PP6/2P4P/3Q1PP1/1R2rBK1 w - -,b1e1
4nrk1/3q2pp/3p1b2/1npPpN1P/1p2P3/5PNR/rPP2KQ1/2BR4 b - -,g8h8
4r3/3k1p2/5Bp1/1pp1PPP1/p1q3P1/P1P1Q1K1/1P6/8 b - -,c4d5
r5kr/8/5qR1/p1p1p3/2P5/2B1QP2/1PP5/1K2R3 b - -,f6g6
2b3k1/5n2/p4p1p/P3p1pP/1pPpP3/3N1PP1/1PB4K/8 w - -,d3b4
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -,f3e5:f1g2:d2d3
8/6p1/2kb1p1p/3p1P1P/2pB4/4PP2/1P3K2/8 b - -,c6b5
1r4k1/4bp1p/1B1p2p1/1P2p1P1/4P3/8/1P5P/1K4R1 w - -,b6c7
3rkb1r/pp4pp/1n2pp2/8/8/2P2Q2/PP1NqPPP/R1B2RK1 b k -,e2f3
r1bqrnk1/pp2bpp1/5n1p/2pp4/3P1B2/2NBPP2/PPQ1N1PP/R4RK1 w - -,a1d1
2nb1k2/5p2/6p1/6P1/P1BB4/5K2/8/8 w - -,d4f6
3r3r/1b1p1k2/3P2p1/p1P2p1p/Pp1NpP2/1P2R3/6PP/R5K1 b - -,b7c6
8/6k1/3R2p1/r3p3/4P1P1/p3K3/6P1/8 w - -,d6d1
rn3r2/pR1n1p1k/2p1p1p1/q5Pp/2PP1P1P/3BB3/2Q5/5RK1 w - -,f4f5
1R4k1/p1b2pp1/2p1p1np/2P5/P2P4/3B4/5PPP/2B3K1 b - -,c7b8
8/5pb1/2p3p1/3Pp1Bp/1Pp4P/1kP3P1/3K1P2/8 b - -,c6d5
4r3/1p2rpk1/p1pR2p1/P1P4p/3KPPbP/1R4P1/6B1/8 w - -,b3e3
5k2/1p2pp2/p7/8/2Pb2Q1/1P6/P2qBPP1/5K2 b - -,e7e6
r5k1/3b2p1/pb2pr1p/1p1pR3/1P1N4/P2P1N1P/5PP1/2R3K1 b - -,a6a5
8/6pk/1P1B4/8/KQ6/3qP3/8/8 b - -,d3a6
r4rk1/ppp4p/3p2p1/3P4/2n1PpPq/5B1P/PP3PQ1/R1R3K1 b - -,c4b2
k2r1b1r/ppqbnpp1/4p2p/n2pP3/2pP3P/P1P2NP1/1P1N1PB1/1RBQR1K1 w - -,h4h5
6k1/1Q3pp1/1pp4p/4p3/4P3/1Pq3PP/5PK1/8 w - -,b7c8
r4rk1/1b1nb1pp/p3p3/1p3p2/8/P2BBPN1/1PP3PP/R4RK1 w - f6,e3f2
2r5/2k2q1p/p4P1p/3bpN2/p1n4B/2P4Q/P1P5/K2R2r1 w - -,d1g1
r2q1rk1/p4ppp/2p1pb2/8/2P1Q3/1P6/P4PPP/1RB2RK1 b - -,d8c7
r5k1/7p/2R1N1p1/1p6/2n5/P5P1/1P3P1P/6K1 w - -,e6d4
r1bq1rk1/1p2bppp/2n5/3p4/p2P4/3B1N1P/PPQB1PP1/R4RK1 b - -,g7g6
r2q1rk1/1p1bbppp/p3p3/3n2B1/3P4/1QN2B2/PP3PPP/R4RK1 w - -,g5e7
3rr3/p1p4p/1p2kbp1/3RB3/2P5/2P4P/P4PP1/3R1K2 b - -,c7c6
1k6/7R/3n4/PP3p2/1K6/4P3/4b3/8 w - -,b4c5
8/2p3k1/5p1p/2pR4/p1q3n1/5QP1/5PK1/8 w - -,d5d7
1r1rb1k1/1p2bppp/pqn1pn2/8/4NPP1/1PP2Q1P/P3N1B1/R1B2R1K w - -,c1e3
3r2k1/1ppq1rp1/p6p/3b1p2/4p3/P1B2P1P/1PP2QP1/2K1R1R1 w - -,f3f4
8/2b3kp/8/4nKP1/1p5P/1N6/8/1B6 b - -,e5f3
5q1k/5Bb1/8/6pp/8/5QPP/1P3P1K/8 b - -,g5g4
2r1r1k1/2qb1pbp/p2p2p1/1PpPn1B1/4P3/2NB3P/PP4P1/2RQ1RK1 b - -,c5c4
q2r2k1/1b2bppp/1p3n2/2pp4/rPP2P2/pR1PP3/P1N1Q1BP/2B2RK1 w - -,b4c5
rnb2rk1/ppp1q1pp/4p3/3p1p2/2PPn3/5NP1/PPQ1PPBP/RN3RK1 w - d6,b1d2
2k2rr1/pp4q1/2p1pn2/2PpNb2/P2P3p/5BP1/1P1Q1P1P/R3R1K1 b - a3,f5e4
r1bqk2r/p3npbp/1pn3p1/2pp4/5P2/2NP2P1/PPP1NBBP/R2QK2R b KQkq -,d5d4
6k1/6b1/8/1p1P1Q2/2p5/2P4P/3q2P1/7K w - -,f5c8
r3kb1r/ppp1ppp1/2n2n2/q4b1p/8/2NP1NPP/PPP2PB1/R1BQK2R b KQkq -,e7e6
rn1q1rk1/pb2bp1p/3p1np1/2p1p3/2P1P2N/1P4P1/PB1N1PBP/R2Q1RK1 w - -,f2f4
r1b2rk1/pp2ppbp/1qn3p1/4P3/3NpP2/2P5/PP2Q1PP/RNB2RK1 w - -,e2e4
6bk/R6p/8/7r/2pK4/2P5/8/8 b - -,h5d5
3B2k1/5pn1/6p1/4P3/b3N3/7P/1P4P1/6K1 w - -,d8e7
8/4k1p1/7p/5RPP/6K1/5P2/8/7r b - -,h6g5
rn2kb1r/1p1q1ppp/p3pn2/5b2/Q2P4/2N2N1P/PP2BPP1/R1B2RK1 w kq -,e2b5
5rk1/3q1p1p/1rppbBp1/Q7/3b4/P5P1/1P3PBP/1R3RK1 b - -,b6b5
r3r3/3n1pk1/pp1p2p1/3NnpPp/P3P2Q/7R/1Pq3BP/5R1K w - -,e4f5
5R2/3r4/1P1k4/1K2p2p/4P3/2B1b2P/5p2/8 w - -,f8f6
r2q1bk1/1b3ppp/ppp1rn2/5N2/3P4/P4QP1/1P3PBP/R1B2RK1 w - -,f3b3
2rr2k1/R1Nnppbp/2p3p1/8/3PnB2/5N2/P4PPP/5RK1 b - -,d7f8
r2r2k1/1p3p2/p1bppb1p/4q1p1/6PP/1NP5/PPBQ1P2/1K1RR3 b - -,e5f4
2b1Q3/pq4k1/4p1p1/3pN3/1p4P1/1P1P4/5PKP/8 b - -,d5d4
r3r1k1/1p4bp/4Ppp1/q2p4/1n1N1Pn1/pPN1B3/P2QR1B1/3R2K1 b - -,f6f5
8/r5p1/3p1k1p/5P2/p3K1P1/R2p4/5P1P/8 w - -,e4d3
1rb1r1k1/1pq2pbp/p2p1np1/P1pN4/4PP2/1R2B2P/1PQNB1P1/5RK1 b - -,f6d5
1rB1k3/1P6/5R2/1n2p3/4P1P1/3P3P/7K/8 w - -,f6e6
6k1/pp3p1p/1bN3p1/4P3/8/2r2B2/q4BPP/3Q3K b - -,a2f2
r1r3k1/1p3pp1/p3pn1p/2q1Q3/2P5/1P3N1P/P4PP1/R2R2K1 b - -,c5e5
5rk1/5p1p/p1b1r1p1/1p3R2/2p1P3/2PP2P1/PN2P2P/5RK1 w - -,f5f6
r4r1k/ppqb2pp/2nb1p2/2pn4/4N3/P2P1NP1/1P3PBP/R1BQR1K1 b - -,a8e8
rn3rk1/pp3ppb/2p1p2p/7P/2Bq1B1P/8/PPP1QP2/R3K2R w KQ -,f4e5
2r2rk1/1p3pbp/p1qpb1p1/P7/2P1PNn1/1P1B4/2Q3PP/R1B2R1K w - -,a1a2
r1b1k2r/1p1p1ppp/1qn1p3/p7/PbP5/1N2P3/1P1NBPPP/R2QK2R w KQkq -,a1b1
r5k1/p2b1ppp/1p2r3/2p1N1q1/8/2Q2P2/PP4PP/2RR2K1 w - -,f3f4
2r5/4qbbk/R1n1p1pp/3pP3/3P4/3B1NPQ/3B1PK1/8 w - -,d2g5
2k2r1r/pb6/1p6/P1p2p1N/4p3/2P1BP2/2P2P1P/R4R1K b - -,h8h5
1r2k2r/5p2/2n1b1p1/1p2b1B1/1PP1p2N/1K6/3RBP1P/6R1 w k -,g1d1
8/pkp3p1/7p/4P3/5K1P/P5P1/1P3R2/4r3 b - -,b7c6
r1bq1rk1/4bppp/p2p1n2/4p3/1Pp1P3/2N1BN2/P1P1QPPP/R4RK1 w - -,e2c4
1r1q1r2/1b2b1k1/p1np2p1/4p1B1/1pB1P2Q/1N6/PPP1N1PP/4R2K w - -,h4h6
2b2rk1/3q1pp1/p2Pn2p/1p2P3/2p1B1P1/P1P1Q3/1P5R/2R3K1 w - -,e4f5
r1bnqrk1/5ppp/p2p4/4pP2/p3P3/2PP2P1/4N1BP/1R1Q1RK1 w - -,f5f6
3r1r1k/p2nRpb1/1p5p/3P1q2/1P4n1/Q4NB1/P4PP1/2R2BK1 w - -,a3d3
3r1k2/5p1p/1p1Pb3/8/2R4P/6N1/P7/6K1 w - -,c4c6
r4rk1/3n2pp/bpp1p3/q2p1p2/1bPP1B2/4P2P/P1QNBPP1/R4RK1 w - -,d2f3
6k1/2p1rpp1/p6p/4r3/1P2p1P1/2P4P/4RKP1/3R4 b - -,e4e3
3R4/5k2/8/1P2K3/8/6P1/2P1R2P/3r1r2 b - -,d1d8
2n4r/5k2/r2p4/1NpP3P/P3K3/1P2N3/8/7R w - -,h1f1
r1bq1rk1/pp1nppbp/2p3p1/8/P2PP3/1BN1n3/1PPQ2PP/2KR2NR w - -,d2e3
1r1qr1k1/pb3pbn/2Q4p/3p1Pp1/3pP1P1/1P1P1RN1/P2B2BP/R6K w - -,c6a4
rnbq1rk1/ppp1bppp/3p1n2/4p3/2PPP3/PP3N2/1B1N1PPP/R2QKB1R b KQ -,e5d4
3rr1k1/5ppp/2q5/2p2P2/2b1p1PP/P1B1Q3/1PP5/2R1K2R b K -,d8d3
r2q1rk1/pp1bbppp/2nppn2/8/2PNP3/2N3P1/PP3PBP/R1BQ1RK1 w - -,h2h3
4R3/8/8/1p3rk1/3P3p/3K4/8/8 b - -,h4h3
1k1r3r/p7/1p1p4/3Qp1p1/P1P2q2/7P/P4PP1/3RR1K1 b - -,h8f8
r1q1nk2/1ppb2pp/p2b1p2/3N2B1/3N4/1Q5P/PPP2PP1/4R1K1 w - -,g5f4
6k1/3p1p1p/2b1p1p1/r7/2B1P3/3P3P/5PP1/5RK1 b - -,a5a3
r5k1/1q1rpp1p/p3n1p1/Bp1bPn2/5P2/1PN5/P4QPP/2R1RBK1 b - -,d5c6
r1bqk1nr/p4pbp/2p1p1p1/8/2B5/NQP1B3/PP3PPP/R3K2R b KQkq -,g8f6
2r3k1/pb1r1pp1/1p3n1p/1P6/2PNpP2/4P3/1q1BB1PP/2RQ2K1 w - -,d2c3
r3qr1k/1p1B3p/3p1np1/p2Pp3/2P2p2/1N3PP1/PPQ4P/4R1RK b - -,f6d7
rnbq1rk1/pp2ppb1/3p1npp/6B1/3PP3/3B1N2/PP1N1PPP/R2QK2R w KQ -,g5h4
3r1rk1/p4ppp/2P1bn2/4p3/2p1P3/PpN3PP/1P3PB1/R1K4R w - -,f2f4
2q2rn1/1p2ppk1/p1b3p1/4P2p/3R4/1P1Q2NP/1PP1N1P1/6K1 b - -,c8c7
6k1/5pp1/3p2p1/p2P4/2P5/5PPK/P1Q4P/6q1 w - -,c2e2
8/1p5k/p1p5/6R1/6PP/P2p2K1/1Pr2B2/3r4 b - -,d3d2
rr4k1/3nppbp/1q1p2p1/2nP4/2pBP3/2N2NP1/PP2RPKP/1R1Q4 b - -,b6a6
2r2r1k/1bq1bppp/2p1pn2/1p6/1P1PP3/2QB1NP1/3N1P1P/1R2R1K1 w - -,d2b3
5nk1/3bppb1/3p2pp/pp1P4/4P3/1P2P1PP/P1NN4/5BK1 w - -,c2a3
r2q1rk1/pb3pbp/1p2p1p1/2pp4/P2nPP2/3PB2P/BPPQ2P1/R2NR1K1 w - -,c2c3
r1bqkb1r/pp3ppp/2n1pn2/8/2p5/1N2B1P1/PP2PPBP/RN1Q1RK1 w kq -,g2c6
5r2/ppp1kp2/2B1n1p1/4p3/1P2P3/2P5/P1N3PP/4R1K1 b - -,b7c6
r2qkbnr/pp2pppp/2n5/2PpPb2/8/5N2/PPPN1PPP/R1BQKB1R b KQkq -,e7e6
r2k3r/1p3Bpp/p2p1p2/3P4/3np3/2NP2P1/PP3P1P/R4b1K w - -,a1f1
8/6p1/1r2npk1/2p3p1/1r3p2/1PR4P/R2N2P1/6K1 w - -,g1h2
1k1r4/p1p2p2/1qp1bN2/4Qp2/2pP2P1/2P5/PP6/2K4R w - -,g4f5
8/8/7P/2p5/6K1/1k6/8/8 w - -,h6h7
r1bqk1r1/ppp1np1p/2np1B2/7Q/4P2N/P2B4/1P3P1P/R3K2R w KQq -,d3c4
r1b1k2r/3n1ppp/2N1p3/1p6/2pPn3/2P1P3/5PPP/1R2KB1R w Kkq -,f2f3
6rk/1p3p1p/1q3rp1/4Q3/1p2P3/7P/PPP5/1K1R2R1 w - -,g1f1
8/p2kpp1p/r7/1pp5/5PP1/6K1/PPP1R2P/8 w - -,a2a3
r1b1nrk1/ppp4p/3p1qn1/3Pp3/2P1Pp2/2N2P2/PP1QN2P/2KR1BR1 w - -,c1b1
8/2k1r3/3p3p/3Pb3/1RP1N3/3K3P/8/8 b - -,e7f7
r2q2k1/3bb2p/4p3/pp1pP1p1/2pP1Rn1/2P3N1/PPB3PP/R2Q3K b - -,g5f4
2kq4/3n2b1/3B3r/1pPP1pp1/p2p4/3N4/PP4b1/2R1Q1K1 w - -,g1g2
8/p3k1pp/2r1pp2/8/PK6/2B5/5PPP/8 b - -,e6e5
2k5/8/pP6/3p4/3Pp1p1/6P1/P2K1P2/8 b - -,c8b7
1rbq1rk1/pp2ppbp/2np1np1/2p5/P3PP2/2N3PP/1PPPN1B1/R1BQ1RK1 b - a3,a7a6
3r2k1/2p2pbp/p1p3p1/8/P4P2/2N1r2P/1PP3P1/3R1RK1 b - -,d8d1
r2q1rk1/ppp1bppp/2npbn2/4p3/2P5/1PNPP3/PB2BPPP/R2QK1NR w KQ -,e2f3
2r1rbk1/q4ppp/p1npbn2/1p6/3pPB2/P4NNP/1P1Q1PP1/RB2R1K1 w - -,e1d1
r2q1rk1/1b1nbppp/p3pn2/1p4N1/P2P4/2NBB3/1P3PPP/2RQ1RK1 b - -,h7h6
