R7/8/3Bp3/1p1pPk2/3n2p1/Pr6/5K2/8 w - -,a8g8
5R1N/1pk3p1/2n5/3p2P1/1p1P4/8/rPn4P/1R4K1 b - -,c2d4
1nr3k1/1r3ppp/4pn2/p1P1N1B1/Rbp5/6P1/1P2PP1P/3N1RK1 w - -,g5f6
5r2/pp1k4/3p2Rp/2pn2p1/8/2P4P/P2BK3/8 b - -,f8f6
5rk1/p1q3bp/1pPrp1p1/4p3/Q7/3B2P1/PP3P1P/R1B1R1K1 b - -,d6d3
8/8/8/8/5K2/8/4kp1N/8 w - -,f4g3
rq1n1r1k/1p2b2p/p3bp2/1NPp2p1/3B1n2/1NP3PP/PP1Q1P2/R3RBK1 w - -,b5d6
5k2/R5p1/7p/8/7P/5P1K/P5r1/8 b - -,g2c2
2nq2r1/1r1k1b2/3p1b2/1p1Pp2p/1Pp1Pp2/P1N2P2/4KBRQ/1N5R b - -,g8g2
r7/5R2/2p5/2P4P/PK6/1P2kp2/8/8 b - -,f3f2
2b1k2r/1q3ppp/4p3/1pPp4/r7/nP2PN2/PQ3PPP/2RK1B1R b k -,a4a8
r2n1r2/pp1q2bk/1p1p2pp/3Ppp1n/7P/Q2P1NP1/P2BPPB1/1R2K2R w K -,g2h3
r1bqkb1r/pp2pppp/2np1n2/2p5/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,c8g4
1kr1r3/p1R5/Pp1pN3/3P1p2/1P3Pbp/4P2p/2P2K1P/6R1 w - -,c7b7
3k4/7R/4N1p1/5n1p/4N2P/5KP1/5P2/2q5 b - -,d8c8
rn3rk1/1q3pp1/p3p2p/1p2N3/2pP4/2P1P3/5PPP/RQ3RK1 w - -,e5c4
r2q1rk1/1p1bppbp/2np1np1/p7/2PNP3/2N1B3/PP2BPPP/1R1Q1RK1 w - a6,d1d2
5nk1/1p2qpp1/p7/P2P3p/1b5P/2BQ2P1/5PB1/5K2 b - -,b4c3
r1bqk1nr/pp1nbppp/8/2Pp4/8/1N1B4/PPP2PPP/R1BQK1NR b KQkq -,d7c5
r3b1k1/p1r1qpbp/R2n2p1/1pNPp3/1P2P3/6P1/1B3P1P/3QRBK1 w - -,d1a1
r4b1r/1ppk1bpp/p4pn1/2p5/2P1PP2/4B3/PP1NN1PP/R4RK1 b - f3,a8d8
2k4r/1p1qp1Qr/p2p4/4pP2/2P5/7P/P1P2PP1/R2R2K1 w - -,g7g6
rn1qk2r/5ppp/3p1b2/pB1Pp3/1p2P3/5Q2/PPN2PPP/3RK2R b Kkq -,b8d7
r3k2r/1bq1ppb1/pp1p1n1p/2pPn3/2P1P2N/3BB2P/PP1QNP2/2R2RK1 w kq -,f2f4
1r1k4/1r1b2p1/3p1p1p/1Pp4P/2PpP1P1/3B1P2/R4K2/R7 w - -,f2g3
4nrk1/2q2ppp/p2p4/4p3/1pr1P1P1/1N3P2/PPPQ3P/1K1R3R w - -,h1e1
2r1k2r/1p1b1pb1/pBnppnp1/7p/4PP2/P2BNN1P/1PP3P1/1R2R2K b k -,g7h6
1rr3k1/pq2b1pp/4bp2/QR2p3/2B1n2P/1P6/P1P2PP1/2K1B1NR b - -,b7d7
4r1k1/5pp1/1p6/1p1pP3/1P2bP2/7B/5K1P/4R3 w - -,h3d7
4r1k1/pp5p/3R2p1/4np2/5N1P/PP3P2/2K3P1/8 w - -,c2c3
r5k1/1p1n2bp/1pp2np1/8/2P1P3/2N3P1/PP2NP1P/3R1K2 w - -,f2f4
R7/3r1p2/4p2p/2p1P1p1/p5P1/1k2KP2/7P/8 w - -,a8b8
rnb2rk1/pp2bppp/4pn2/2q5/8/3B1N2/PPPN1PPP/R1BQ1RK1 w - -,d1e2:d2b3
7r/1q3pkp/pp1PrN2/4n3/7Q/8/PPP3PP/3R1R1K w - -,h4g5
4r1k1/p2B1ppp/1p1B1n2/6q1/8/1Q3b2/PP3PPP/2R3K1 w - -,d7b5
rnbr2k1/1p3pbp/p1p2np1/4p3/2P1P3/2N1BP2/PP2N1PP/R3KB1R w KQ -,c3a4
8/5pk1/8/3qp1PP/P4Q2/4P3/5P1K/8 w - -,f4f6
1q4k1/3n1p2/p2P2pp/5b2/2B5/P2p2N1/1P1Q1PPP/6K1 b - -,d7e5
6r1/1pp5/2b1k3/3p2Kp/p2B3P/P1R2PP1/1P6/8 w - -,g5h5
3k4/2p4b/5p1B/1B1Pn1P1/5p1N/1P1Pb3/2P1R2K/r7 b - -,e5g4
6k1/4q1p1/2p2pbp/p3pP2/4P3/PN3BPP/2pp4/1r3RQK b - -,b1b3
3rk3/1p2Npbp/p3b1p1/P6n/3P4/BP4P1/4PPBP/5RK1 w - -,d4d5
r3k1r1/1pqbb3/p3ppn1/4p1pp/2P1P3/1PB2NP1/P1BQ1P1P/3R1RK1 b q -,a8d8
r1b1kb1r/1pq2ppp/p3pn2/8/3N4/1BP5/PP3PPP/R1BQ1RK1 b kq -,f8d6
1rb3k1/2q1rppp/1p2pn2/pP2P3/N1P5/P3Q3/4B1PP/2RR2K1 b - -,f6d7
r3k2r/1b2ppbp/pq4p1/1p2P3/3P1PP1/4NN2/PP2Q2P/R4RK1 b kq -,a8d8
r4rk1/1pR1p1bp/3p1pp1/2nP4/p3P3/4BP2/PP2B1PP/5RK1 b - -,f8c8
6k1/p2qpp1p/1p6/5R2/1P2P3/3r2P1/QR4KP/2r5 b - -,e7e6
2r2bk1/3b1p2/1r1pp1p1/n4PPp/ppP1P2P/3BNN2/PP6/1K1R3R b - -,e6f5
2k2r1r/pppbq1b1/2npp3/8/2BPP1p1/P1N1B1Pn/1PPQN1R1/2KR4 b - -,f8f3
8/r2nkpp1/p1R1pb1p/B1p5/2P2P2/1P4P1/P5BP/6K1 b - -,f6d4
6k1/5pp1/2pb1p1p/5P2/QnqP2P1/2P4P/4RB2/6K1 b - -,c4e2
3r2k1/4pp1p/p1pq2PQ/4p3/8/1PN2P2/PKP5/5B1R b - -,d6g6
rnb2rk1/ppp1qppp/3p1n2/3Pp3/2P1P3/P1B2NP1/1PQ2P1P/R3KB1R b KQ -,c7c6
8/3B1k2/p2K3p/P2pP3/7P/2Pb4/8/8 w - -,e5e6
8/8/2n1k2p/p3p3/2P5/P3K1N1/7P/8 b - -,c6d4
r3nr1k/2q1b1pp/p1b1pp2/2p1P3/2Pp1P1B/1B4Q1/PP2N1PP/3R1RK1 w - -,g3h3
5R2/8/1r2ppk1/R6p/5P1P/1r1K2P1/8/8 w - -,d3c4
2k3nr/Qbq1ppbp/p2p2p1/1p4B1/5P2/1NP3R1/P1P4P/1K1R4 b - -,g8f6
6k1/1nq2pbp/2n1b1pB/3pPp2/pp1P2PQ/5N1P/PP1N2B1/6K1 w - -,f3g5
r2qr1k1/pb1nbpp1/1pp2n1p/3p4/3P1B2/P1NBPN1P/1PQ2PP1/3R1RK1 b - -,d7f8
r3r1k1/p4ppp/1pq1pn2/2p5/P2PP1n1/2P2Q2/BB2KPP1/2R1R3 w - -,a2b1
1r2r1k1/3b1pbp/p2p4/P2P4/2pqPP2/1p2R3/1P3RBP/3NQ2K b - -,e8e7
r4r1k/3R4/p1q1Bbp1/PpP4p/7P/4BP2/2P1QP2/4K3 w - -,d7d6
r2qkb1r/pp1npppp/2p2n2/3p1b2/3P1B2/4PN1P/PPPN1PP1/2RQKB1R b Kkq -,e7e6
4n3/2p3k1/b2p4/2pP2N1/P7/6P1/1P4BP/6K1 b - -,g7f6
8/5p2/5P1k/3r3p/3p2P1/7P/6K1/4R3 w - -,g2f3
2B5/8/6pp/5p2/K1k2P1P/4P3/8/1b6 w - -,c8e6
8/p3bB2/1kp4p/6p1/p1P5/7P/K5P1/8 b - -,e7b4
6k1/1b3p1p/p2p1np1/q2Pr3/2BQp3/8/5PPP/1R2R1K1 w - -,d4b6
r2q1rk1/pppbb1pp/2n1p3/3p1p2/2PPn3/1P4P1/PB1NPPBP/R2QNRK1 b - -,d7e8
r4rk1/ppp2pp1/4bn1p/4p3/2q5/2N3PP/PP2PPB1/R1QR2K1 w - -,g2b7
rnbq1k1r/pp3pp1/4p2p/2ppP3/3Pn1Q1/P1N5/1PP2PPP/R1B1KB1R b KQ -,e4c3
8/1P5p/R1N2bk1/2p2p2/2P5/p4P2/1r4PP/5K2 b - -,b2b7
r3r1k1/2q1bppp/1ppp1nn1/p7/P2PPBP1/2NQ3P/1PP1R1B1/R5K1 w - -,f4g3
r3r2k/4nppp/bq2p3/pp1pP1B1/3P2QP/P1P5/2B2PP1/R3R1K1 w - -,e1e3
3b4/6pp/8/8/2k1p2P/1p2K1P1/1N3P2/8 b - -,c4d5
r5k1/1q3ppp/p3p3/1p1rP3/8/4Q1P1/PP3P1P/3RR1K1 w - -,d1d2
8/2k5/8/pKP3B1/3n2P1/1P6/8/8 w - -,b5c4
r3k2r/ppp2pp1/4b2p/2p1Pn2/8/P4N1P/1PPbNPP1/R2R2K1 w - -,d1d2
rn3rk1/4Rpp1/p4n1p/1p1p4/2pP1B2/2N2NPb/PPP2P1P/4R1K1 b - -,h3e6
2r1k1nr/pp1qppbp/2npb1p1/8/2PNP3/2N1B3/PP2BPPP/R2QK2R b KQk -,g8f6
2rr2k1/5ppp/p2qbn2/3pn3/1p6/1PN1PB2/PB1Q1PPP/K2R3R w - -,c3e2
1r1k4/6p1/2p1Pp1p/3b1P1P/pBp3P1/2P1K3/P7/4R3 w - -,b4f8
6q1/1rk2b2/2pbpp1p/3p4/p1pP1P1N/P1P1N3/1P3QPP/R6K w - -,a1e1
3rr1k1/1pp2pp1/1q5p/p2nn3/P1P1B3/BP4P1/2Q3PP/3R1RK1 w - -,c4c5
r2q1rk1/bpp2pp1/p2p1nnp/4p3/4P2N/1PPP1QNP/1P3PP1/R1B1K2R w KQ -,h4f5
6k1/5pbp/p1n2np1/1pp1p1B1/4P3/1PPB3P/P4PP1/5NK1 b - -,c5c4
5bk1/5p2/6pp/p1p5/1p6/1P1R2P1/1r3PKP/2R5 w - -,c1a1
r3b1k1/1p1n1qr1/p1p1p2B/4P3/4B3/3R2R1/PP2QPP1/6K1 b - -,g7g3
8/4k3/p3ppp1/1prn3p/3N3P/2PK2P1/PP3P2/4R3 b - -,e6e5
r4rk1/1bqnbppp/p4n2/1p2p1B1/2pPP3/P1N2N2/1P2QPPP/1BRR2K1 w - -,g1h1
5n2/1bk5/p1p3pp/2N1p3/1P2P1BP/4K1P1/P1P5/8 w - -,c5d3
r4rk1/ppp2pp1/2n1b1n1/3p2q1/1P4P1/P6P/BBPP1R2/R2Q2K1 w - -,d1f3
r5rk/ppp2q1p/3pb3/2b1p3/4n2N/3BB2P/PPP1QPP1/R4RK1 b - -,e4g5
r3r1k1/pN3pbp/2p1b2q/4p3/1P3p2/P1NPP1PP/4PQBK/2R5 b - -,f4g3
r5k1/pp3pp1/2p1b2p/5P2/2P1q3/1P6/2P2P2/R2R2K1 w - -,f5e6
r4bk1/5p2/2p3pp/p1Pq3n/6NP/1PQ1B1P1/P4P2/4R1K1 b - -,d5f3
2N4k/6pp/4rp2/8/8/1R4P1/1p3P1P/6K1 b - -,e6e1
r1bq1rk1/pp1pppbp/6p1/8/4P3/1nN1B3/PPP2PPP/R2QK2R w KQ -,a2b3
8/8/1Nbpk3/5p1p/2P4P/4KPP1/8/8 w - -,e3f4
8/p4p2/1pB4p/4p1k1/1P3n2/P4PK1/8/8 w - -,c6e8
2r1r1k1/pbq1bppp/1p1ppnn1/6N1/2PN4/1P2P3/PBQ1BPPP/2RR2K1 b - -,c7b8
2r2k2/pbrn1pp1/1p1pp2p/6q1/1PPP4/QNR5/P4PPP/3R1BK1 b - -,c7c4
4qk2/4b1p1/1NB1Q2p/2p1P3/1n4PP/1P4B1/7K/8 b - -,e8c6
1r1k4/1pn1bp1p/p3p1p1/2NpP3/PP1B2P1/4P3/1R3PKP/8 w - -,c5d3
r2r4/pp2ppkp/6p1/2P1N3/1P6/P1n4P/5PP1/3RR1K1 w - -,d1d8
r5k1/3nbpp1/1p2p2p/3p4/3P4/1NP5/1P2NPPP/R5K1 b - -,a8a1
r1bq1rk1/1p3ppp/p1n1pb2/3p4/NP3B2/P2B1Q2/2P2PPP/R3R1K1 w - -,a1b1
1r3rk1/p3q1bp/1p1Np1p1/2pnPp2/3P2B1/1Q2PRP1/PP5P/5RK1 w - f6,e5f6
8/5p2/4pk1p/1p5r/5P2/3pP1P1/1P1R1K1P/8 w - -,f2f3
rnbq1rk1/pp2bppp/5n2/2Pp4/8/2NB1N1P/PPP2PP1/R1BQK2R b KQ -,e7c5
r1b1r1k1/1pq1bppp/4n3/pPp1p3/2P1P3/2N1B1P1/P3QPBP/3R1RK1 b - -,e6d4
8/2k5/p5p1/2r2p2/3R1P1p/1K2P2P/6P1/8 w - -,e3e4
r4rk1/2p1qppp/3b4/pP6/4p3/2P1Q3/P5PP/R1B2R1K b - -,f7f5
r3r3/p2b2k1/2p2p2/6p1/2NP1b2/1R6/PP2BKP1/R7 b - -,a8b8
r1b1k1nr/pp1pppbp/2n3p1/q1P5/2P1P3/2N5/PP3PPP/RNBQKB1R b KQkq -,g8f6
8/p7/1p6/3bk3/1P3p2/P7/3KN1r1/3R4 w - -,d2e1
1qrr3k/5pp1/p1b1pn1p/1p2b3/2P1P3/1P1B3Q/P3R1PP/3NR1BK b - -,d8d7
6k1/5ppp/pp2r3/2r5/8/2P4P/PR5P/1R4K1 w - -,b2b6
r2qk2r/1p1nppb1/n1pp2p1/p5Bp/P1PPP2P/2N4R/1P2BPP1/R2QK3 w Qkq -,d1d2
8/3k2b1/7p/3P1p2/2r5/B5P1/P1p4P/5RK1 w - -,a3c1
4r3/pk1p3p/2q3p1/5p2/3pr2P/PP5R/2PQ1P2/3R1K2 b - -,c6a6
r1b1qrk1/p4npp/1pn1p3/2p1Pp2/2P2B2/2PB1N1P/P3QPP1/3R1RK1 w - -,f3g5
7k/8/6R1/p1p4P/2Kb4/8/r7/8 w - a6,g6g4
8/p2Br1k1/1b4pp/4Pp2/P4P2/3R2P1/6KP/8 b - -,h6h5
5rk1/p1p3pp/4p3/2n1P3/P4PP1/2P1B3/1P5P/R4RK1 b - -,c5d3
8/8/8/2Q5/k3K3/8/8/3q2r1 w - -,c5c4
r2q1rk1/1bpnb1pp/pp2p3/3p1p2/2PPn3/2NBPN2/PP1BQPPP/2RR2K1 w - -,a2a3
rn2kb1r/1bq2ppp/p2ppn2/1p6/3NP1P1/2N1BP2/PPPQ3P/R3KB1R w KQkq -,g4g5:e1c1
7R/8/8/6k1/5p2/5K1p/r7/8 w - -,h8g8
8/8/6p1/7p/p4q2/7P/2k3P1/Q5K1 w - -,a1a2
1rn2rk1/pp1bqpnp/3p2p1/P1pP4/2N1PQPP/2N5/1PP1B3/2KR3R b - -,b7b5
5rk1/3nbppp/1q2p3/2n5/6P1/5N2/PP1PP1BP/R1B1K2R w KQ -,d2d4
3r1rk1/1p3ppp/8/p1p5/2PpPP1P/PP1Q2Pq/8/R2R2K1 w - -,d1e1
5r1r/2k3pp/1p3p2/p1bBp3/P3P1P1/7R/1PP1K2P/5R2 b - -,c7d6
3q1rk1/pp1bppbp/5np1/4p1B1/2rN4/2N2P2/PPPQ2PP/2KR3R w - -,d4e2
4q1r1/7k/4p1p1/1PpbNp1p/5Q1P/8/5PP1/2R3K1 w - -,c1c5
3r1rk1/pp4p1/1q3n1p/8/3Pp3/P3N1P1/1PQ4P/3RR1K1 w - -,c2c4
8/4pk2/4r3/p4p1p/1p6/1PbKBPPP/P7/3R4 w - -,g3g4
8/5kb1/2R1n2p/1p1pPp1p/1p1P1P2/1P2B3/P6K/8 w - -,c6d6
8/1p4k1/2p3P1/p1P1P3/4B3/K7/8/3b4 b - -,a5a4
1qr4k/3n1pp1/p1rbpn1p/1p1p4/3P2P1/P1P1BN1P/1P1NQP2/3RR2K b - -,d7b6
6k1/1p3pp1/pbp4p/3n4/1PQP4/P4PP1/3K1BBP/1q6 w - -,c4c1
2bq2kn/p3p1B1/2ppP1r1/2p2p2/8/1P1P1N2/P1P3rP/R1QNRK2 b - -,g6g7
5rk1/1bp3p1/p7/1pP4p/1P2R1Pq/8/2PQ1P2/4R1K1 w - h6,e1e3
b1rr1nk1/p3qppp/1p2p3/2b1P3/2N5/1P1B4/PB2QPPP/3R1RK1 w - -,c4d6
8/3b4/p4P2/Pp1p4/2kN2p1/2P1K1P1/8/8 b - -,d7e8
3rn1k1/1p2r1bp/3p1pp1/P1pP4/1p2PP2/1P4PB/1B5P/3RR1K1 w - -,d1a1
r6r/1b1nkppp/5q2/p2Pp3/QpP5/1N2P3/4BPPP/R3K2R b KQ -,h8c8
4r3/pp1b4/3k3p/3pp1b1/1P1p4/P2BnPP1/3NK2P/R6R w - -,h1g1
rnbqk2r/ppp1bpp1/5n1p/3p2B1/3P4/2NB4/PPP2PPP/R2QK1NR w KQkq -,g5f4
r1b1k2r/ppp1q2p/2n1pbp1/3p1p2/3PnN1P/1QP2NP1/PP2PPB1/R1B1K2R w KQkq -,f4d3
r3r1k1/3n1p1p/1p4p1/2pP2N1/b2Q3P/P5P1/5PB1/R3R1K1 b - -,c5d4
2q2rk1/2pb1p1n/1p3Pp1/p6p/2PB4/1P4PP/P4QBK/4R3 b - -,f8e8
3r4/5Rpk/p3p3/6Q1/2pq4/2P4P/P4PP1/6K1 b - -,d8d5
r2qr1k1/3b1ppp/p4n2/4p3/p2pP3/1P4N1/2PR1PPP/1R1Q1BK1 w - -,c2c3
4b3/4kpp1/7p/1p2p3/4P3/3BKPPP/8/8 b - -,e7d6
rnbqkb1r/ppp1pppp/3p1n2/8/8/3P2P1/PPP1PPBP/RNBQK1NR b KQkq -,e7e5
4rr1k/6pp/R4b2/3R4/2P5/2P2P2/4N1P1/5K2 w - -,e2d4
3q3k/6pp/1p6/1PbB1Q2/5P1P/6P1/5P2/6K1 b - -,d8f8
8/p1k5/1bP3R1/8/3p2B1/8/3KPP2/7r w - -,f2f4
r3kb1r/pp4pp/q1bp1p2/2n1p3/3NP2B/2N1Q3/PPP2PPP/R4RK1 w kq e6,d4f3
r1b2r1k/pp4pp/4p3/2qB4/3N4/8/PPP1QPPP/1K1R3R b - -,e6d5
6k1/3n1p1p/3p2p1/prqPp3/Q1p1P3/2P1NP2/P4KPP/4R3 w - -,a4c4
8/2b3k1/5p2/p4Kp1/P7/5PP1/2B4P/8 w - -,c2e4
3r1rk1/1p2qp1p/2bpp1p1/p1n1b3/2P1P3/2N1BP2/PPRQ2PP/3R1BK1 b - -,f7f5
r2q1rk1/pp3ppp/5b2/2p5/3pB1b1/1P1Q2P1/P1PPNP1P/2KR3R b - -,d8a5
8/1p6/2p2k2/1nP1Np2/1P1r1P1p/p7/P1K4P/4R3 w - -,e5d3
8/5p1k/5pbp/p4q2/5P2/2R1KQ2/2P5/8 w - -,e3d4
r2qr3/2p1bpkp/ppp3p1/4p3/4PP2/2PPQ2P/PP2N1P1/R4RK1 b - f3,f7f6
r1bq1rk1/pppn1pbp/2np2p1/4P3/8/1P3NP1/PBPNPPBP/R2QK2R w KQ -,e1g1
5r2/2n5/k1p1p2p/pp1r4/P1pP1P2/2P1K1P1/3N3P/1R1R4 w - -,b1b2
7k/5Kp1/4P3/3Q4/5q1P/8/8/8 w - -,f7e8
2r5/2rk1p2/1pp1n1p1/p6p/P1RPPP1P/1N2K1P1/8/2R5 w - -,c4c3
4r1k1/2p3p1/p4r2/P2pBPp1/1p1P2P1/4Q1K1/1P5R/3q4 w - -,h2d2
8/1Nn1k1p1/p4p1p/1p2pP2/4P3/PP2K1P1/7P/8 b - -,e7d7
rn1q1rk1/pb3ppp/1p1ppn2/2p5/2PP4/4PNP1/PP1NQPBP/R4RK1 b - -,d8c7
8/r2b2k1/2pn4/p6R/Pp6/5N2/1PB2PP1/6K1 b - -,d6f7
rq3rk1/pp1n1ppb/2pbpn1p/3p4/1PPP4/P3P2P/1B1NBPP1/R2QNRK1 b - -,e6e5
6R1/p2b1p1p/6pk/4Q3/2rN4/4P2P/q4PP1/6K1 b - -,c4c1
3rk3/R4p2/8/1PppP3/2p5/2PQ2P1/5P2/5K2 b - -,c4d3
