8/5p2/1K2p2p/3k2p1/PR4P1/8/5r2/8 w - -,a4a5
8/5b2/p1kp4/P7/3K1Bp1/8/8/8 b - -,d6d5
r1r5/p2kppbp/6p1/3p4/8/1P3P2/P1P1R1PP/1RB4K b - -,e7e6
1r4k1/5ppp/p2pp3/5bP1/1B1r1P2/P7/2P4P/1NK1R3 w - -,b1c3
5bk1/7p/2qPp1p1/3b1n2/1BN5/P2B4/6PP/5QK1 w - -,d3f5
1r3rk1/p2qbppp/n1p1pB2/1p6/2pP1P2/P1N1P3/1PQ2PBP/R2R2K1 b - -,e7f6
r1bq1rk1/pp2bppp/2p2n2/4n3/2BP4/1QN5/PP3PPP/R1B1R1K1 w - -,d4e5
3r2k1/p3Rrbp/1qp2pp1/2pp1b2/2P2B2/Q1P2N2/PP3PPP/4R1K1 b - -,f5e4
8/5n2/1kp5/8/1P2r3/8/3KB3/1R6 w - -,e2f3
1k1r4/1bq1bp2/pp2p1p1/3p4/2PNPPp1/1PN3P1/P2R2P1/2K4Q w - -,e4d5
2nr2k1/1p1npp2/2p1b1p1/r3P2p/Np1BPP2/1P6/P3B1PP/R1R3K1 w - h6,d4e3
r1bqk2r/pp2bpp1/3p1nn1/2pPp3/2P1P1Pp/2N1B2P/PP2NPB1/R2QK2R b KQkq -,f6h7
3B4/p4kpp/1p4b1/4Pp2/1P2p3/4P3/P5BP/7K b - -,f7e6
8/2B5/p7/5p2/kPp3p1/P1K3P1/8/5b2 b - -,a4a3
7r/1B3p2/p2kbP2/R1p4P/8/2P5/P1P3P1/2K5 b - -,d6c7
r3kb1r/pp2pppp/2n3b1/2P1q3/2B5/2Q3N1/PPPB2PP/R3K2R w KQkq -,c3e5
8/4kppp/1b2p3/pp2p3/4P3/P1P1QPP1/1P3N1P/5K2 b - -,b6e3
4r1k1/3b1ppp/3N1n2/q7/p4n2/P4P2/1PQ2BPP/R4BK1 b - -,e8e6
5r2/1p4k1/2pR2p1/p1P2b1p/2B5/PP5P/5PP1/5K2 b - -,f8e8
2b1rr1k/1pR3b1/pB1p1qp1/P2Pp2p/1P2B2n/5PN1/4Q1PP/2R3K1 w - -,c1c4
2rq1rk1/pp1nbppp/4p3/2p2b2/3Pn3/2N1P1P1/PP2QPBP/R1BRN1K1 b - -,e4c3
r4rk1/pb1q2b1/1pn1pppp/3pP3/1P1P2P1/P1N1Q2P/4NPB1/R4RK1 w - -,f2f4
2q2rk1/pb1nbppp/1p2pn2/8/3N4/1P2PN2/PB3PPP/1BQ2RK1 w - -,c1c8
2k4r/pb3ppp/1p1Ppn2/8/P2p1q2/3B3P/2P2PP1/R2QR1K1 b - -,a7a5
r1b2r2/1p2Q2k/p1p2n2/q1P3p1/Pb1P4/6P1/1P1NBPP1/3RK3 b - -,h7g8
r1b1r2k/ppp3bp/5ppn/n7/2B2PP1/2N2N1P/PPP5/R4KBR w - -,c4d3
rn1q1rk1/pb2bppp/1p2pn2/3pN3/2PB4/1P4P1/P2NPPBP/R2Q1RK1 w - -,c4d5
3qr1k1/1b3pb1/1p1p4/3Pp3/Q1N1nnpp/P6P/5PPB/RR3BK1 w - -,b1b6
2r2bk1/6pp/2q1pp2/8/1p3B2/1Pn3P1/1N2PP1P/3Q1RK1 w - -,d1c2
8/p3k2p/n1b1p3/5pN1/2P4P/P1RB2P1/1r3P2/6K1 b - -,h7h6
6k1/1p3B2/p1pq1r1Q/2n1p2p/PP5P/3P2P1/4RP2/6K1 b - -,g8f7
4r1k1/p1n4p/bp1r2p1/2pPp1q1/P1P1P3/1QBR2PB/7P/5RK1 b - -,g5h5
8/4n1kp/3p4/2pPp1p1/2P1Pp2/1b1B1PP1/3K1N1P/r2N4 w - -,d1c3
r4rk1/1p1bq1pp/pnn1pp2/3pP3/2pP1P2/2PB1N2/PPN3PP/R2Q1RK1 w - -,d3e2
2rk4/pp2p3/3pbb2/3q4/6P1/2PBQP2/1P1K4/3R3R w - -,h1h5
r2qrbk1/3b1pp1/pp3nNp/2p1R3/P1B5/2N4P/1PP1QPP1/R5K1 w - -,a1d1
3r1k2/3rqp2/p1Q3p1/p5Pn/Pb2N3/4BP2/1P5P/R4R1K w - -,c6a6
r3kb1r/1p3ppp/p1np4/q3nP2/8/2N5/PPPQ2PP/1K1R1BBR b kq -,e8c8
1r3rk1/pb1nqpbp/1p3np1/2p1p3/P1N1P3/2PB1N1P/1PQ2PP1/R1B1R1K1 b - -,a7a6
1k2rn1r/p1pq1p1p/Pp1b1p2/8/2Q5/1P3N2/1B3PPP/R2R2K1 w - -,c4d5
4r1k1/p4pp1/8/R3PP2/6r1/4P2p/3R1KBP/8 w - -,g2h3
3k4/p2P1p2/3K4/8/5p2/2P2P2/8/8 b - -,a7a5
r2q1rk1/1p2bppb/n1p1pn1p/3pN3/p1P5/PP1P2P1/1BQNPPBP/3R1RK1 b - -,a4b3
r2q1rk1/p3nppp/1p6/3P4/2bP4/B4NP1/P4PBP/R3Q1K1 b - -,f8e8
8/5kpp/4pp2/1QPn4/8/5N1P/5PP1/2q3K1 w - -,g1h2
2K5/5k2/2P3pp/8/6P1/4R2P/1r6/8 b - -,b2b1
r4r2/1pp1qppk/p1n1bn1p/b3p2N/4P2B/2PP1N1P/P1BQ1PP1/R3K2R w KQ -,e1g1
3r1rk1/ppq1bpp1/4pn1p/2p5/2PP3B/3R1N2/PP2QPPP/3R2K1 b - -,c5d4
r2q1r2/p3b1kp/2p3pN/2p3P1/2P5/PPB1P3/3P1P2/R3K2R b KQ -,f8f6
2r2rk1/1p6/3P1bn1/p2QpN2/1P2P1P1/P5B1/2q1B1K1/R7 b - -,g8h8
r1bq1r2/p2n2k1/2p1p2p/3pPppQ/7P/2PB2B1/P1P2PP1/2KR3R b - -,d7c5
1nr3k1/2qrb1pp/pp1pp3/5p2/2P2B2/1QNR2P1/PP2PPKP/R7 w - -,c3a4
rn3rk1/1q2bp2/1Qb1p1p1/p3P2p/4pP2/1NP5/PP2BBPP/R2R2K1 w - -,b3a5
8/3Q3p/6kP/1P3p2/8/6P1/2q2K2/8 w - -,f2g1:f2f1
1k6/8/1PnN4/P7/2K5/8/8/8 w - -,a5a6
4r1k1/2Q2p1p/p4qp1/P1p1R3/2Pp4/1P4P1/5P1P/R5K1 b - -,e8e5
2r1r1k1/2pq1p1p/1p4pb/p2nP3/3PQP2/P4N1P/1P1B2P1/2RR3K w - -,f3h2
2R5/3r1p1k/qpQ1p1p1/p6p/P2b4/8/5PPP/3R1K2 w - -,c6c4
6k1/7p/4R1p1/p3p3/8/r5P1/P6P/6K1 b - -,a3a2
r3r1k1/qp3ppp/4b3/pP2B2N/P7/5Q2/5bPP/R2R3K b - -,a7e3
3r2k1/3r1qb1/n1p2p2/p3pPBN/2pn2P1/8/PP3PK1/1BQRR3 w - -,g5h6
rn3rk1/1p1q1pbp/2p3p1/p2Pp3/Pnp1P1bP/2N1B1P1/1P1Q1PB1/R3NRK1 b - h3,g4h3
r3r1k1/1pq2pp1/p3bn1p/4b1B1/2P1p3/1B2N2P/PP2QPP1/R4RK1 w - -,g5f6
8/8/4n2B/2k4p/1p2Kp2/5P1P/8/8 w - -,e4e5
r1b1k1rb/p1qp1n2/2p1p1pp/2N1Pp2/2B2B1P/6Q1/PPP2PP1/3RR1K1 b q -,g6g5
3q2k1/1b3pb1/pp3npp/1N6/2P2Q2/5NP1/r4P1P/4RBK1 w - -,b5d6
5r2/2p2k1p/p1p1b3/5pP1/2P2N2/1P4P1/5K1P/4R3 b - -,e6c8
r1bq1rk1/1p1nbppp/2pp1n2/p3p3/P1BPP3/2N2N2/1PP2PPP/R1BQR1K1 w - a6,c4a2:b2b3:h2h3
1r2kb1r/2q2p1b/2n2p2/3pP1B1/1p3QPP/8/1PP2P2/2KRR3 w k -,e5f6
r1bqnrk1/pp2bppp/2n1p3/2pp2P1/2P5/1PNBPN2/PBQP1P1P/R3K2R b KQ -,g7g6
r1b2rk1/ppqpppbp/2n2np1/8/2P1P3/3BBN1P/PP3PP1/RN1Q1RK1 b - -,c6b4
rnbqkb1r/ppp1pppp/8/3p2P1/3Pn3/8/PPP1PP1P/RNBQKBNR w KQkq -,f2f3
6k1/p3n1p1/7p/2N2p2/2P1p3/1P4P1/P2rbP1P/R4BK1 b - -,e2f1
2r5/2P1k1p1/1P1R1p1p/8/2K3P1/4p1BP/1r2P3/8 w - -,c4d5
2r2rk1/p3q1p1/1pp4p/3n1Q2/2RP4/1N2PP2/P5PP/4R1K1 w - -,f5d3
8/5kp1/R6p/1r6/5PK1/6PP/8/8 w - -,a6d6:a6c6
8/8/5b2/1p6/1P3pk1/N1p5/6P1/5K2 w - -,f1e2
4r3/1bq1rpkp/2p3p1/1pP5/pPn2N2/P3P1PP/2Q2PB1/R4RK1 w - -,c2c3
5rk1/ppr2p2/5p1p/4p3/2BbPP2/1P6/P2R1P1P/1R4K1 b - -,g8h7
3R4/1p6/p3p1k1/P3Pn2/2r2p2/8/1P3B2/6K1 w - -,g1g2
3k4/R3b2p/1pr3p1/2n3P1/p3pB2/7R/5P2/6K1 b - -,c5e6
1r2nrk1/1p1b2bp/p2Ppq2/4n1p1/3NPp2/2N2P2/PP1QBBPP/2RR2K1 w - -,d4b3
1r6/p1p2k2/3p2p1/4pp2/5b2/1P1P1B2/P4PKP/R7 w - -,a1b1
r1r5/1p6/2pkp3/P1R2p1p/1P1P4/4P3/6PP/2R2K2 w - -,e3e4
3R1rk1/pp4p1/2p1p2p/8/4P3/1P6/P4PPP/6K1 w - -,d8d6
8/1p3p1p/p1p2p2/P4PB1/1PkP2P1/7r/2K2R2/8 b - -,f6g5
2r5/5kp1/4R2p/3P4/1P6/3K4/6PP/8 b - -,c8c1
4r3/p2b4/3k1b1p/1p1pp3/PPnp3P/3B1PP1/3NK3/R5R1 w - -,a4b5
6r1/p2bkpp1/1p2p3/3pP2r/1R1N1R2/2PP3P/P2K2P1/8 w - -,d4f3
3r2k1/2N4p/p5pb/1p3n2/3P4/1P3R2/P3K1PP/2R5 w - -,c1d1
8/p2p2bk/6pp/1p1q1p2/2rPnP2/Q1PR1R2/P6P/4BK2 b - -,c4a4:a7a5
3r1k2/p1p2pp1/3b1qnp/3Q4/8/1B2P3/P4PPP/2BR2K1 w - -,c1a3
2r2rk1/pp1nbppp/1q2p3/2ppB3/3P4/1PPQP2P/P2N1PP1/R4RK1 w - -,e5g3
r1b2rk1/1p2qpbp/2pp1np1/p1n5/P2BP1P1/2N3NP/1PP2PB1/R2Q1RK1 b - -,f6d7
r2q1rk1/1p1bppbp/p1np1np1/8/2P1P3/2N1QN1P/PP2BPP1/R1B2RK1 w - -,a1b1:f1d1
r2r1k2/pb3p1p/1pn1p1p1/8/3PN3/2P2B2/P4PPP/1R2R1K1 w - -,e4c5
6k1/2q2p1p/4pn2/2p3p1/8/1P3BP1/P1P1QPKP/8 b - -,e6e5
rnbqk2r/ppp1p1bp/3p2p1/5p1n/2PP1B2/2N1PN2/PP2BPPP/R2QK2R b KQkq -,h5f4
r3r1k1/5p2/p2R1np1/2pP4/b4P1p/5B2/6PP/2B2RK1 b - -,f6e4
r1b1r1k1/1p1nqpbp/p1pp1np1/8/2PNP3/2N2P2/PPQ1BBPP/3R1RK1 b - -,d7e5
q1r1rnk1/1b1nbpp1/pp1pp2p/7P/2P1PP2/2N1BB2/PPN1Q1P1/2RR2K1 w - -,c2d4
8/p3rkp1/Rn5p/3p4/P7/1P3PP1/2PK2P1/4N3 b - -,d5d4
r2r2k1/pp3ppp/2p1pn2/4N3/1q1P4/2P2Q1P/PP3PP1/3RR1K1 b - -,b4b6
8/8/3pbk2/2b4p/5p2/5N1P/3RB1K1/8 w - -,f3d4
4r3/1b3pk1/p3n3/1p1pPB1p/1Pp2P1P/4K3/1P2N3/6R1 b - -,g7h6
8/8/1R6/2p5/2P3p1/pP4k1/P6r/4K3 b - -,h2a2
rr4k1/4ppbp/3p2p1/q1pPn3/4P3/2N3P1/PPQN1P1P/1R3RK1 b - -,a5a6
2k4r/pp4p1/4Nq2/2pP4/nbP1p2p/2N1P2P/P1RK2P1/2R1Q3 b - -,h8h5
k7/1p2b3/p1b1P3/3p4/3P4/1P2BKP1/P1Q5/4R2r b - -,h1e1
r4k2/p3r3/1p6/8/5Q1P/4P3/P4P2/5K2 b - -,e7f7
r3b1k1/4ppbp/3p1np1/p3n3/3NP3/1BP1BP2/2PK2P1/3R3R w - -,d1a1
rn1qkbnr/pp2pppp/2p5/3pN3/2P3b1/1P6/P2PPPPP/RNBQKB1R b KQkq -,g4f5
2r5/4k2p/1p2pnp1/1Prp4/1Rp1PP2/2R1K1P1/P5BP/8 w - -,e3d4
8/3R1pkp/5b2/5p2/6n1/3p2P1/6KP/8 w - -,d7d3
2k5/pp3pp1/2p1p3/2b5/2P5/7P/PP1NKq1P/R6R w - -,e2d3
8/r3k1pp/2R1p3/2p1P3/Pp6/8/1PP3PP/6K1 b - -,a7a4
r4rk1/2pqn3/pb1p3p/3P1pp1/1P3P2/BQN3P1/2RP2KP/R7 w - g6,c3e2
8/7k/6p1/2pB1p1p/1p1b1P1P/1P1r2PK/8/5R2 b - -,d4c3
5rk1/4q1b1/pp5p/n1p1p3/b3PP2/N1P3N1/1P4B1/2Q2RK1 b - -,a4d7
8/7k/1p6/pR5P/r1p5/2K5/8/8 b - -,a4b4
8/8/2B5/4p3/1p6/4kPK1/8/3b4 w - -,c6d5
r2qkb1r/ppp2ppp/2n2n2/4p3/4P1b1/2N2N2/PPP1BPPP/R1BQK2R w KQkq -,e1g1
8/R3p2p/3p1kp1/3P4/4P3/6P1/P1r2P1P/6K1 b - e3,c2e2
8/1Pb5/6p1/3k4/2N2p1p/5P1K/5P1P/8 w - -,c4d2
1r3n2/5k2/4pb1p/p1N5/2NP1p2/1P2P2K/7P/5R2 b - -,f4e3
r1b1k2r/ppp2p2/7p/3P2p1/3P4/4q1P1/PPQ3P1/1K1R1B1R b kq -,c8d7
2r2rk1/p3ppbp/3p1n2/3P3b/1N6/1B3N1P/P4PP1/3RR1K1 b - -,c8c7
7k/1p1b4/2n1prpp/3p4/1r1P4/1P1R1BP1/4NPP1/2R3K1 b - -,f6f8
4k3/5p2/1n4pp/2b1P3/2p2P1P/P1K5/6b1/1R4B1 b - -,c5g1
r2qnrk1/pb1nbpp1/1p2p2p/1Npp4/2PP1B2/4PN1P/PP3PP1/1BRQ1RK1 b - -,a7a6
5bk1/3n1p1p/p3p3/1P1p1p2/P1rP1B2/4PN1P/4QPPK/2r5 b - -,c1c2
3rr1k1/p4p1p/1p2b1p1/2q1P3/2P3P1/R4QK1/1B5P/2R5 b - -,d8d2
r1r3k1/p2qbppn/4p2p/1p1pP3/4P3/PP2N3/1B3PPP/2RQ1RK1 b - -,c8c1
r2qr1k1/pb3ppp/2pNn3/1p1n4/8/3B1N2/PPQB1PPP/R4RK1 b - -,d8d6
r4rk1/1bpnqppp/1p1ppn2/pP6/P1PP4/B1Q1PN2/4BPPP/R3K2R w KQ -,e1g1
5rk1/5ppp/p1b1p3/npN5/6P1/P6P/1PP2PB1/2KR4 w - -,g2c6
3q1rk1/pp1bppbp/3p1np1/2r1n1B1/3NP3/1BN2P2/PPPQ2PP/2KR3R w - -,h1e1
bQ6/p3kp2/1np1p3/4p3/4q3/3N4/PPP1BP2/3K4 w - -,b8a7
1rb2r1k/p1p3bp/3q2p1/2ppNn2/5P2/1BP5/PP3QPP/R1B1R1K1 b - -,c8b7
r2r2k1/ppq1bppb/2p1pn1p/2n5/N1PNP3/1P4P1/PB2QPBP/2RR2K1 w - -,a4c5
2rq1rk1/p2nbppp/1p2p3/2pb4/1P6/PQBP1NP1/4PPBP/R4RK1 w - -,b3b2
6k1/6p1/5r1n/1p3B2/1Pp1PN2/5r2/PK5Q/8 w - -,f4d5
8/1pk5/p1pr1rp1/P1KpNp1p/1P3P1P/4P3/8/3B2R1 w - -,d1b3
r1b1r1k1/1pq4p/2pP2p1/3p4/P2b4/BQ4P1/P5BP/R3R1K1 w - -,g1h1
2k3rr/p4p2/Pp1p1p2/2pPnn1p/2P2B2/2P5/4BP1P/RR5K w - -,b1g1
5r1k/pQ3Rp1/1n2B2p/3p4/3Pp3/4P1P1/1P3PKP/4q3 b - -,f8g8
2bq2k1/p3b1r1/2pp2rn/2p1p3/4Pp2/1P1P1N2/P1PB1KPN/R4QR1 w - -,f2e2
r1bqk2r/ppp1ppbp/3p1np1/3P4/2P1P3/3B4/PP3PPP/RNBQ1RK1 w kq -,b1c3
6k1/5pp1/1n5p/4PP2/3NK1P1/r1N5/2R2b1P/8 b - -,f2g1
2rr2k1/1p3ppp/pqn1p3/3p4/1b1P1P2/1P2QBP1/P1R2PKP/1N1R4 b - -,h7h6
3r2k1/p2r1ppp/bq1bpn2/1p2p3/2pPP3/1PP1Q1PP/PB1N1P2/R2R1BK1 w - -,b3c4
8/7p/6k1/2b5/p1PRp3/6P1/P1RK1B2/1q6 w - -,f2e3
8/p4pbp/1pbk2p1/4p3/5P2/2NPB1P1/PP3K1P/8 w - -,f4e5
8/8/8/3K4/1p1P4/8/8/k7 b - -,b4b3
6k1/6pp/Q2p1r2/3Pn3/b1p5/P1P3KP/3R2P1/5r2 b - -,a4d7
8/8/8/6p1/2k1P1P1/2b5/p1N1K3/8 b - -,a2a1q
1r3rk1/p5pp/1b2b3/2q1Np2/5P2/Q1BB4/PnP1N1PP/R3K2n w Q -,c3b2
8/1b3pkp/4p1p1/p1p2q2/2P2P2/1P2Q3/P5PP/5BK1 w - -,h2h3
r1q2rk1/pb2bppp/1p2pn2/2p4P/3P1B2/2PB1N2/PP2QPP1/2KR3R b - -,c5d4
r3k2r/pp2qpp1/2pbpn1p/6nP/3P4/3NQ3/PPPB1PP1/2KR1B1R w kq -,c2c3
r5rk/P1n1n2p/3p4/2pP1p2/2Bb1P1q/2N4P/RP2RBP1/7K w - -,f2h4
r2qr1k1/1bp1bppp/1p1p1n2/p1nP1N2/8/1PN3P1/P3PPBP/R1BQ1RK1 w - -,c1b2
r1b1kb1r/1pq2p2/p2ppn1p/4n1p1/4P1P1/2N1BN1P/PPP1QPB1/2KR3R b kq -,f6d7
8/5p1k/1R3nbb/3Pp2p/1P2n1p1/3B3P/4K1P1/4B3 b - -,f6d5
r4rk1/2q1b1pp/p3p3/2pnPp2/P1B2P2/B7/P3Q1PP/2R2RK1 b - -,c7c6
5k2/1p3p1p/6p1/4P3/1b1N1P2/pP1B4/P1P3br/2K3R1 w - -,d3e2
q5k1/2p1np2/3p1npp/1p2p3/1P2P3/1QPPNNPP/5PK1/8 w - -,e3c2
r1r2bk1/1b1q1p1p/pp2pnp1/3p4/P1pP4/1PP1PP2/2NB2PP/1QRR1BK1 b - -,b7c6
8/5p2/r5k1/p6p/R4K2/4N3/8/8 w - -,e3c4
8/p1r2nk1/1p3b2/5pp1/2Q5/1P1pP1P1/P1q2PB1/2B2RK1 w - -,c4d5
r1bq1rk1/3nbppp/p1p1p3/3pP3/5B2/2NQ1N2/PPP2PPP/R4RK1 w - -,f1e1
rnb2rk1/1p2bppp/p3pn2/q1P5/8/5NP1/PPQ1PPBP/RNB1K2R w KQ -,c1d2:b1d2
2r1r3/1pq3k1/p2p1pp1/P2PP2p/2p2P2/1nQ5/1P3NPP/3RR1K1 b - -,f6e5
r1bqr1k1/pp3pbp/2n2np1/3Np1B1/3pP3/3P2P1/PP1N1PBP/1R1Q1RK1 b - -,h7h6
2kr3r/nppb3p/p2bpp2/3p4/1P1P1P2/P7/1BP3PP/RN1B1RK1 w - -,b1d2
5k2/4qb1p/2p2p1Q/1pn1pP2/4P2P/1P6/r1P3B1/3R1NK1 b - -,f8e8
3r1k2/p4ppp/b2r4/R7/Pn1N4/1NR2P2/6PP/3K4 w - -,d1e1
6k1/pb4pp/4rbn1/1p1qB3/3P2Q1/5N2/PP4PP/2R2R1K w - -,c1c5
r1bq1rk1/ppp1n1bp/3p1n2/3P1pp1/2P1p3/PP2P1P1/1B2NPBP/RN1Q1RK1 w - -,b1c3
r1bqk2r/pp3ppp/2nb1n2/3pp3/PP6/2P1PN2/5PPP/RNBQKB1R b KQkq a3,e8g8
4r2k/pp2r1p1/7p/P2Q2bq/1P1B4/2PR3P/5P2/R5K1 b - -,e7e1
8/1Q3ppk/4b2p/p3q3/2pP4/4NPPP/PP3K2/8 b - -,e5d4
rnbq1rk1/1p3ppp/p2b4/4p3/8/2PB1N2/P1PB1PPP/R2Q1RK1 w - -,f1e1
r1b1k2r/p2n1p2/1p1pq2p/2p3p1/2P1n3/2PQPNB1/P3BPPP/R3K2R w KQkq -,f3d2
8/pb4pp/3k1p2/4p3/1PB1P3/3K1P2/6PP/8 w - -,g2g4
8/pp6/2pnrk1p/6pB/P2P1P2/1P3K1P/2Pb1P2/3N1R2 b - -,d2f4
1rbq1rk1/1p3pbp/2n3p1/p1pnp3/8/P1NPP1P1/1P1N1PBP/1RBQ1RK1 b - -,d5c3
1r1b2k1/p2q1ppp/2p1p3/1rPnP2P/R3QPP1/1P1N4/PB6/1KR5 w - -,a4d4
rn2k2r/pp2bppp/1qp1p3/3p4/2PPn1P1/3BPN1P/PP3P2/R1BQK2R b KQkq -,b8d7
r3k1nr/ppq2p1p/3p2p1/2n1p3/b1P1PP2/1NPBB2P/P1Q3P1/R4RK1 b kq f3,b7b6
1r5k/p2b2b1/3p1np1/q1p4p/2PpPP1P/P4BP1/3NQK2/1NR5 w - -,f4f5
r2qkn1r/pp1nbpp1/2p1p1bp/3pP3/3P1P2/1N1B4/PPP3PP/R1BQNRK1 w kq -,d3g6
6k1/pp4bp/1q2p1p1/3p4/3P4/1P3r2/P2QN1PP/6K1 w - -,g2f3
2r3k1/2r1bppp/p3p3/1p1nN3/2PP4/qP1Q1P2/2RB2PP/2R3K1 b - -,d5b4
3r4/pk6/1pnr3p/6p1/3p1qP1/PR1Q1N2/2P2PP1/4R1K1 b - -,f4g4
k3r3/p2Nq3/1p5p/2PRP1p1/4QpP1/4bP2/P1P4P/1K6 b - -,a8b7
r2q1rk1/4bppp/ppbp1n2/4p3/P1B1P3/2N2N2/1PP2PPP/R2QR1K1 w - -,d1d3
r3kbnr/ppqnpppp/8/3pP3/1p1P3P/3Q4/P1P2PP1/RNB1K1NR w KQkq -,g1f3
3qnr2/1ppb2bk/3p2pp/2nPpP2/2P5/1PN1BP2/2BQN1PP/R5K1 b - -,d7f5
1rbq1rk1/4np1p/p2p2pb/1p1Pp3/8/2PB1P2/PPN2BPP/R2Q1RK1 w - -,f2a7
3nr1k1/1p2q1pp/5p2/1PR1p1P1/p7/P3QP2/1B2PK1P/8 w - -,g5f6
1r3b2/2R5/5pkp/3P4/1rB2P2/p4KP1/2R2P1P/8 b - -,f6f5
4r3/k3rp2/2q1p1p1/1pNp2Pp/pPnP1P1P/P1P2Q2/2K5/R3R3 w - -,c5d3
3r1rk1/4qppp/1pp1p3/3n4/P7/1B1P1Q2/1PP3PP/4RR1K w - -,f3f2
5rk1/ppqn1ppb/2p4p/3pr2n/1PPN4/1Q1P1RPP/P3P1BK/R4N2 b - -,d5c4
3r2k1/1pq3bp/2pprnp1/p1n2p2/2P2B2/1PN3P1/P2QPPBP/1R1R2K1 w - -,a2a3
r3k2r/pb1nppbp/1p3np1/2q5/2Q5/2N2NP1/PP2PPBP/R1B1R1K1 w kq -,c4h4
2k3r1/1p1B4/p2q4/3p3p/P1n1p1rP/5QP1/5P2/R1B1R2K b - -,d6d7
3r2k1/p4p1R/1p1p1Kn1/2pP2P1/2P5/1P6/P7/7R b - -,d8d7
rnbq1rk1/pp2bppp/2p5/3n4/3N1B2/2N5/PPPQ1PPP/2KR1B1R w - -,c3d5
r3r1k1/2Bpbppp/b1n1p3/1Bp5/Pq2P3/2N3Q1/1P3PPP/3R1RK1 w - -,d1d7
8/4bpkp/2p3p1/pp2p3/4P3/PnP1B2P/1P3PP1/3N3K w - -,h1g1
r7/3n1pbp/1ppk2p1/8/2pP4/P1P1P1P1/1P2KP1P/3RR3 w - -,e2d2
r3k3/p7/bp2pp2/2ppbn2/8/N1PPB1P1/PP1K1PB1/2R5 w q -,a3c2
r2qr1k1/1b1nppbp/1p4p1/p2p4/3P4/BPRNP3/P2QBPPP/5RK1 w - -,f1c1
5k2/q1p2p1p/3n2p1/8/8/1P6/2Q5/5B1K b - -,d6f5
5r1k/6pp/8/7R/P1B2N2/1pb3P1/3r1PKP/8 b - -,f8f6
6k1/pp1q1ppp/2pn4/3p4/3P4/2P5/PP1NQPPP/6K1 b - -,f7f6
r4k2/2R5/N1Pn1p2/1P6/1K2P1p1/6P1/7P/8 w - -,c7d7
r1b2rk1/ppq1bnpp/2p1np2/1P2p3/2P1P2P/2N2NP1/PB2QPB1/R4RK1 b - -,e6d4
8/8/p1b2kp1/1p3n2/6Rp/3K3P/6P1/8 w - b6,d3c3
4r1rk/1pp1Np2/p2pqn2/4p2p/1P1PP1p1/2P5/1PQ2PPP/3RRNK1 b - -,e6e7
