8/4b1p1/5k1p/3Q4/P7/2q3P1/5PKP/8 b - -,c3c5
4kb1r/pq2np2/2r1p1p1/1p2P2p/1PpP1P2/P4N2/1B1Q2PP/2R2RK1 b k -,e7d5
5n2/4n1k1/1p2q2p/p1p1p2Q/P7/2P3P1/1P5P/2B2RK1 w - -,c1h6
1r1r1k2/p3bppp/8/1B2p3/P2Pq1n1/BR4P1/Q4P1P/2R3K1 w - -,a3e7
1rr3k1/3nbppp/2b5/2PN4/1q6/R3BP2/1P1Q2PP/1R3BK1 b - -,c6d5
r2qkb1r/pp1n1ppp/2p1bn2/3p4/3P1P1N/6P1/PP2P1BP/RNBQ1RK1 b kq f3,d7b6
7k/6rp/4p2q/1pP1Rp1P/p2P1Pr1/P4Q2/1P2K2R/8 w - -,d4d5
3r3k/pp2qp2/7b/2P1p2n/2P1P2p/1NNB1RrP/P1Q3P1/7K w - -,c3d5
5bk1/p6p/4p1p1/3p1p2/2qB1P1Q/4PK2/P1r3PP/3R4 w - -,d1e1
r4rk1/1p3p1b/3p3Q/p2BqN1P/P1PRP1p1/1P6/5P1P/6K1 w - -,h6d6
r1bqk2r/p2nbppp/1pp1pn2/3p4/2PP4/5NP1/PPQNPPBP/R1B1K2R w KQkq -,e1g1
4r1k1/pp3r1p/3R2p1/5p2/5NnP/PP6/2KR1PP1/8 b - -,f7f6
7r/1k3p2/4pP1b/1q1r4/Npp5/4B1P1/1P3PBP/R4RK1 w - -,a4c5
rn3k1r/p1p2pp1/4pq1p/1Rb5/Q1P1b3/5N2/P3BPPP/2B2RK1 b - -,c5e7
r1b1r1k1/1p2qpbn/2pp2p1/2n4p/1PPNPP2/2N3PP/1B3QB1/3RR2K b - -,c5e6
2kr3r/ppqnn3/4p1pp/3pP3/b1pP3N/P1P1B3/2P1BPP1/R2Q1RK1 w - -,f2f4
1n1rr3/p2b1k1p/1p2q1pP/1P1pppP1/8/2P1PN2/PQ3P2/2NRK2R b K -,d7c8
8/p3kpbp/4p1p1/8/1P2bPP1/2P4P/3N2K1/8 w - -,d2e4
r4rk1/pbq1ppbp/1p1p1np1/2p5/P2Pn3/2P1PN1P/1P1NBPPB/R2QR1K1 w - -,d2e4
2b5/q5kp/3r2p1/2r2p2/p7/3n1PP1/P1N3BP/RQ3R1K b - -,c5c3
5k2/KB3p2/1p4p1/6P1/P7/1r6/8/8 w - -,b7c6
7k/4r1b1/1pP1PnQ1/1P1BB2p/4Pp2/5P2/2q3PP/1R5K w - -,b1g1
4r1k1/2p4p/3p2p1/3P1P2/1P1b4/1rp2RP1/2R3BP/5K2 w - -,c2c1
5k2/1p3ppp/p1b5/2r5/2P1P3/8/2B3PP/2R2K2 w - -,c2d3
2r3k1/p2N4/2Pr4/1P5p/5pp1/8/PB3PP1/2R3K1 w - -,d7f6
8/5pkp/3p2p1/r7/1p6/1Pn3PP/P2R1PB1/6K1 b - -,d6d5
1r1r2k1/4qp1p/2p3p1/4p3/1PNnn3/2Q3PP/5P2/1R1R1BK1 w - -,c3e3
r5k1/pp3ppp/2bp1n2/6N1/2PQ1P2/q1PB3P/r1PK2P1/4R2R w - -,e1e3
r1bqkbnr/1pp2ppp/p3p3/n7/P1p5/N4NP1/1P1PPPBP/R1BQK2R w KQkq -,d1c2
4r1k1/2Q2p2/2pRq1p1/4p3/2b1B1n1/5P2/5RKP/2r5 w - -,d6e6
r4rk1/ppqn1ppp/2pbpnN1/8/2BP4/6N1/PPP1QPPP/R1B1R1K1 b - -,h7g6
5rk1/3Q1ppp/p3p3/1p5q/P7/1P5r/2P2PR1/3R2K1 w - -,g1f1
8/6p1/1pk1rn1p/p3p2P/2P3P1/PP2B3/2K5/6R1 w - -,e3d2
r4rk1/pR3pp1/1pB1pq1p/2n5/2P2B2/6P1/PPQ2P1P/3R2K1 b - -,c5b7
6k1/2n3p1/p1qpp2p/1p6/1P1P4/P2Q2PP/2rN1P2/4R1K1 w - -,d2e4
r1b3k1/1pp1qp1p/pn4p1/n3b3/4P3/1P1BBP2/P3N1PP/3NQRK1 b - -,a5c6
4r1k1/pp3pp1/4b2p/4P3/P7/2r2NP1/4P1KP/2RR4 b - -,c3c1
r1b1k2r/pp1nbppp/4p3/2p1P3/2N5/6P1/PP2PPBP/R1BR2K1 b kq -,e8g8
r3r1k1/2qnbppp/2bppn2/1pp5/4PP2/1QPPN1BP/1P1NB1P1/R4RK1 b - f3,e7f8
6k1/P1n2p2/8/2p1q1p1/8/1P3P2/3Q2B1/6K1 w - -,d2d8
r3r1k1/pp1n1ppb/2pB3p/2Ppb3/1P4P1/1N5P/1P2PPB1/R4RK1 w - -,d6e5
2r1r1k1/1R3pp1/2p2n1p/p1Np4/3P4/4P3/P4PPP/2R3K1 w - -,c5d3
4k2r/1b1rnp2/p3pq2/1p5p/8/1B1pB1QP/PP3PP1/R4RK1 w k -,g3b8
4k3/1p3rpp/pB1PK3/6P1/P7/7P/1P6/8 w - -,a4a5
r4rk1/1p1nbppp/3pbn2/q2Np3/p1P1P3/3BBP2/PP1Q2PP/R1N1K2R b KQ -,e7d8
2r5/8/3K4/1P6/8/1R5p/6k1/8 b - -,c8f8
r1bq1bk1/1p2n1r1/3p1n2/pP1Pp2p/P3Pp2/2NN1Pp1/4B1PP/2RQR1BK w - -,h2h3
r2q1rk1/3bbpp1/3p1n1p/p1p1p3/PpBPP3/2P2N1P/1P3PP1/R1BQR1K1 b - -,c5d4
8/p2k2p1/1p3b2/2r4p/P1r5/R1P2R1P/2KB2P1/8 w - -,f3f4
1r3rk1/p1p1n1pp/2npb2q/2p2p1P/2P2P2/2BQP3/PPN1B1P1/R3K2R w KQ -,e2f3
5r2/1p2p1k1/p1b1p1pp/1nP1P3/8/4B3/PPB1K1PP/R7 w - -,g2g3
1r4k1/2p1q2p/p3b1p1/1p2P1b1/2pRP3/6P1/PP2Q1BP/3R3K w - -,h2h4
8/1p3kp1/1r6/5p2/8/5KP1/7P/7R w - -,h2h4
5b1r/1bknqp2/1p2p1pr/pP1pP1Np/P1pP1P2/2P2NP1/1KBQ3P/R4R2 b - -,f8g7
r1bq1rk1/ppp3bp/3p2p1/2nPpp1n/2P1P3/P1N1B2P/1P1N1PP1/2RQKB1R b K -,h5f6
r2q1rk1/pp2bppp/2p1pn2/2n2b2/2P5/1N1P1NP1/PB2PPBP/R2Q1RK1 b - -,f6d7
2q3k1/5p2/4nb1p/1p1p2p1/5P2/3PP2b/P2B2NP/3Q2KB b - -,g5f4
r4r2/3bb1k1/p1n1p2p/1p1pP2B/1Pn2P2/P4NP1/4NBKP/R2R4 w - b6,e2d4
8/2n1kppQ/3q3p/4p3/1p2P2P/1B4P1/P4P2/6K1 b - -,c7e6
6k1/5p1p/p1q2P2/1p6/1P1Q4/P5P1/6KP/8 w - -,g2h3
8/pppk2pp/2p2p2/8/3P2r1/1PK5/P2B3P/5R2 w - -,d2f4
1k1r3r/ppq3pp/2pb1n2/3p4/3P1N2/3BBnPP/PPQ2P2/1KR4R b - -,c7e7
r2r4/3n1kpp/4p3/pP2Pp2/P4P2/b2p4/2BB2PP/1R3RK1 w - -,c2d1
1rb2rk1/1p4bp/pNp2ppn/4p3/1PPn4/4P1PP/P2N1PB1/R1B2RK1 b - -,d4e2
r5k1/6pp/1R6/1p2P3/pP6/P1n3K1/6PP/8 w - -,b6c6
2k2r1r/p4p2/Pp2p3/2qpP3/b7/P1pB1QP1/2P2PP1/1R1R2K1 b - -,h8h6
2kr1b1r/2pq1ppp/1pb5/p2pP3/P2P4/2P2Q2/3N1PPP/R1B2RK1 w - -,c1a3
4rrk1/p1p1bnpp/3p3q/3P1b2/1P2Np2/P1NB1P2/3Q2PP/2R2R1K b - -,e7h4
2rq1rk1/pn1p1p1p/bpp3p1/2bPp2n/2P1P3/1PNBBPP1/PQ2N2P/R4R1K w - -,e3h6
8/2k3p1/1pp1p3/p1p1Pn1r/P4B1p/1PP2P1P/5KP1/3R4 w - -,d1d2
8/1r3b2/3k2p1/rPp5/P1Pp4/1K1B4/R5PP/4R3 w - -,a2f2
2rq1rk1/3bpp1p/p1np2p1/1ppN1n2/2P5/1PQPP1P1/P3NPBP/R4RK1 w - -,f1d1
3Bn3/2pb1k2/1p5p/3P2p1/p1P2p2/1P3K1P/P1B3P1/8 w - -,b3a4
2r2bk1/Q3qp2/6pp/1BnPp3/1p2P3/5N2/1P3PPP/R5K1 w - -,a7e7
3R4/p4r1k/5q1p/6p1/5n2/6p1/P5P1/1Q5K b - -,h7g7
1r6/5n2/2B2k2/5n2/p1p2P2/2P3P1/PP1R4/6K1 b - -,f5g3
8/5p2/4k3/2P3p1/4Kp2/p6p/P6B/8 b - -,f7f5
r1b1k2r/1pppqppp/2n5/p1b1P3/2P2Bn1/PQN1PN2/1P3PPP/R3KB1R b KQkq -,d7d6
r4rk1/1p2bpp1/n1p2np1/1p1p4/3P2P1/2N1PP1P/PP1B2B1/R4RK1 w - -,a2a4
3b1rk1/3r1p1p/3N2p1/p3P2P/1p3P2/3B1q2/PPP4Q/1K5R w - -,h5g6
1rr1bb1k/1q3ppp/4pB2/1p1pP2P/1n4Q1/1RNB4/2P2PP1/4R1K1 w - -,b3b4
1N2r2k/5R1p/3pB1p1/3bb3/2p1p3/1pP3QP/1P2nKP1/R7 b - -,e5g3
rn1q1r2/pb1n1pkp/1pp1p1p1/4N3/2PP4/2N3PP/PP1Q1PB1/3RR1K1 w - -,e5g4
2kr3r/p1bb1ppp/1p6/1Bp5/P7/2P1N2P/1P3PP1/R4RK1 b - -,c7f4
6k1/6p1/p4p1p/4pP2/b1r1P1PP/2pN1K2/3b4/2N2R2 w - -,c1e2
r1b1kb1r/pp1npp1p/2p3p1/8/2B1PB2/2P2N2/PP3PPP/R2K3R b kq -,f7f6
rn1qk2r/ppp2ppp/3bpnb1/3pN3/3P1B2/2NBP3/PPP2PPP/R2QK2R b KQkq -,b8d7
5k2/5p1p/3p2p1/3P4/3bP1P1/5P2/1p4PK/2N5 w - -,c1b3
rnbq1rk1/ppppppbp/6p1/8/3Pn2B/4PN1P/PPP2PP1/RN1QKB1R b KQ -,h7h6
2bBk3/p4pb1/1p4q1/4pN2/2p1P2Q/P1PnR3/1P3P2/5K2 b - -,g7f8
1r1q1rk1/Nb3pp1/pp2pnnp/1P6/3P4/5B2/P2B1PPP/2RQR1K1 b - -,b7f3
4r1k1/p1p1rpp1/2P3q1/7p/2Q1P2P/5PN1/P4PK1/R2R4 b - -,e7e6
2r3k1/5pbp/p2Q2p1/8/2P2P2/5P1q/P4B2/4R1K1 b - -,h3f3
3q1r1k/p2r2p1/1pR4p/3P1p2/3P4/1Q2PBP1/P6P/6K1 w - -,g1f2
rnbq1rk1/pp1nppbp/6p1/3p4/3P4/5NP1/PP2PPBP/RNBQ1RK1 b - -,b8c6
r3n1k1/pp3p2/n2pb2p/6p1/2P1P1P1/5P2/PP2BK1P/R2R4 b - -,g8f8
1r2r1k1/1p2ppbp/p2pb1p1/q1n1n3/P1P1P3/1PN1BP2/3QN1PP/1R1B1RK1 b - -,a5d8
r2qk2r/pp3pbp/1np1ppb1/8/3P1B1N/1B6/PPP2PPP/R2Q1RK1 w kq -,c2c3
r3kn2/1pq5/p5pr/3NP2p/4Q2P/7R/PPP3P1/2K5 b q -,c7c5
r1b2rk1/p4ppp/4p3/q1ppN3/2pP4/4P3/P3QPPP/R4RK1 w - -,f2f4
5r2/2R1Bn1k/2p3p1/3p3p/1p1P1P2/7P/P5P1/6K1 b - -,f8a8
6k1/8/3pP3/2p5/1pP2bP1/1P2q3/6Q1/1N3K2 b - -,e3d3
4k2r/1q1n1ppp/p3pn2/Q7/1p6/P1N2NP1/1P1rP1KP/2R2R2 b k -,b4c3
8/p1r5/R1p2k2/2P4P/5K2/8/8/8 b - -,f6e6
r5b1/q6k/2p5/p1b2NpB/Pn3p1p/R6P/1B3PP1/3Q2K1 w - -,d1b1
1r3rk1/p1q1p1bp/2ppn1p1/3bPp2/3PN3/1PQ2N1P/P2B1PP1/R3R1K1 w - f6,e4g5
1n2rbk1/3r1Bpp/2n5/4PP2/q3Q3/4B3/1P4PP/2R4K b - -,d7f7
r4r2/6k1/pp1q1npp/2pb1p2/P1B1p3/1P2P3/1Q1N1PPP/3R1RK1 b - -,g7h7
8/4N1k1/3Q2p1/4p2p/8/6P1/7K/1q6 b - -,b1c2
3qr1k1/5p1p/3b2p1/p2P4/3Q2B1/6P1/P6P/3R2K1 w - -,g1g2
r2qr3/1ppb1pbk/p2p2pp/2n5/2PNP3/2N1BP2/PP1Q2PP/3RR1K1 b - -,b7b6
2kr3r/pbq5/1p1p4/2pP1P2/5PnN/3Q3P/PP1N4/R3KB1R b KQ -,c7e7
2br1r2/6kp/p1np1pp1/1q5P/1p2P3/1P1pQNN1/P4PP1/2RR2K1 b - -,c8g4
2r2rk1/1pqn1pbp/p1bp2p1/4p3/P1P1PP2/1P2BBN1/R2Q1RPP/6K1 b - -,e5f4
2r2rk1/pbqnbppp/1p1ppn2/1B4B1/4P3/2N2N1P/PP3PP1/2RQR1K1 b - -,c7d8
r2q1rk1/pp2n1b1/2ppP1pp/4p3/1PP1R3/5B2/PB3PPP/R2Q2K1 b - -,d6d5
8/p3rp1k/6p1/2n3P1/2B4P/2n3P1/P2R2KN/8 b - -,h7g7
r4rk1/pp3pbp/1np3p1/4n3/4PP2/1B2B2P/PP2N1P1/R4RK1 b - -,e5c4
2r3k1/5ppp/2q1r3/1p1p4/3Pn3/2PQB2P/1P3PP1/2R2RK1 b - -,c8e8
2r3rk/p7/1p1n1q1p/1P1P4/2p1pPp1/4P2Q/P3B3/2R3RK w - -,e2g4
5qk1/1pQb1rp1/p1p5/3p4/3P3P/5PB1/P5PK/4R3 b - -,d7f5
rn1q1rk1/1b3ppp/p4n2/1pbpN3/5P2/2NBPQ2/PP1B2PP/3R1RK1 b - -,b8d7
r3k2r/1bqn1pbp/p1pp1np1/1p2p3/3PPPP1/P1N1B3/1PPQBN1P/R3K2R b KQkq g3,e5d4
r5k1/6pp/2p5/8/1ppP1P2/8/5BPP/r2RR1K1 b - -,a1d1
6r1/3R3p/1kp2B2/6P1/3P4/2PK2P1/8/4r3 b - -,e1g1
1rbq1rk1/p2pppbp/2p2np1/8/8/2B3P1/PPP1PPBP/RNQ2RK1 b - -,d8b6
3b1rk1/1bNq1ppp/p2Qp3/4P3/2R2PP1/4p3/6KP/5R2 w - -,g2g3
N7/1p1Q3p/p2p2p1/2p4k/P2b1K2/3P4/1PP2PqP/R5R1 b - -,g2f2
7r/p2R4/5pk1/2P2pp1/8/4P1P1/P4P2/5K1Q b - -,h8h1
rnbq1rk1/1pp2pbp/p2ppnp1/8/P2PP3/2N2N2/1PP1BPPP/R1BQ1RK1 w - -,c1e3:h2h3
8/8/3b4/3p1kp1/3P4/4K3/5Nb1/8 w - -,f2d3
3r3k/2p2r1p/1pn2q2/p1p1p1pb/P3Pn2/2P1Q1PP/1P1N1P1K/R3RBN1 w - -,f2f3
5r1r/3kp3/p2p1b2/1p3N1p/4P2p/P1Pn1P2/BP4R1/1K5R b - -,h4h3
rnb1kbnr/ppq2ppp/2pp4/4p3/2BPP3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,f8e7
3r1rk1/n4p1p/p2p1RpP/4n1P1/1Q2P3/1P4B1/P1q3B1/5R1K w - -,g3e5
8/7p/7k/4q3/6p1/8/P3b1BP/1Q5K w - -,b1c1
r1r2k2/1p2bpp1/2n1pn1p/1Bp5/P1Pp4/1N3PBP/1P3PP1/R3R1K1 w - -,a4a5
rn1q1rk1/pb2bppp/1p2pn2/3p4/2PN1B2/P1N1P3/1PQ2PPP/R3KB1R w KQ -,a1d1
4rr1k/1pqb1pp1/p4n1p/P1b1p3/8/1BP1B2P/1PN1QPP1/R2R2K1 w - -,e3c5
4r1k1/5bbp/2pn2p1/3p1p2/N1n2B2/5PP1/1P1NP1BP/4R2K b - -,c4d2
6k1/5p1p/2p1pnp1/2n5/p3P3/P4PN1/1KB1R2P/6r1 b - -,h7h5
2r2r2/1q1nNp1k/pp1RnQ1p/4p3/P3P3/7P/1PP2PP1/4R1K1 w - -,f6f5
1r6/1PR1b3/4pkp1/3p1n2/3P4/4P2B/5P1P/6K1 w - -,h3f1
r3kb1r/ppqn1ppp/2p1pn2/8/3P3B/2N2B2/PPP2PPP/R2Q1RK1 w kq -,f1e1
5r2/4Rpk1/Q5p1/1pN5/5rP1/PP3b1P/2P5/3K4 w - -,d1c1
8/4bpkp/1n4p1/2p1p3/2B1P3/2P1B1PP/1P2KP2/8 w - -,c4b5
2r2rk1/p4pbp/1q2p1p1/np2P3/3p1n1P/P2P2P1/1P2RP2/R2QNNK1 w - -,g3f4
4r1k1/p3qpbp/1nr3p1/2R3N1/3pNQ2/3P2P1/P3PP1P/4R1K1 b - -,c6c5
1r2k2r/1q1n1ppp/p3pn2/6B1/4P3/Q4N2/1P3PPP/R1R3K1 w k -,f3d4
2R5/6p1/5p2/2P2k1p/7P/2r3P1/5PK1/8 w - -,c8g8
r3k2r/ppp2p2/1q5p/3PpQ2/2B3nB/8/PPP3PP/RN3K2 w kq -,f5g4
8/4k1p1/7p/8/3RP1P1/3P3P/r4r2/3B1K2 w - -,f1e1
4r1k1/3n1pb1/b1Q2npp/p1pP4/4pqP1/2P1N3/P4NBP/1RB3K1 b - -,a6e2
8/4Pk1R/p7/8/K7/4r2p/8/8 b - -,f7e8
4r1k1/1b3ppp/p7/3p4/q1pB4/2P2P2/PP1Q2PP/3R2K1 b - -,f7f6
5rk1/p3b1p1/1q2p2p/5p2/1P6/P3QPN1/5P1P/3R2K1 b - -,b6e3
r4r1k/1p2bppB/p3p3/3pq2n/6b1/2P1BP2/PPQN2PP/R4RK1 w - -,e3d4
2rr1k2/p2q1pp1/Qp1p2np/3PpN2/4P3/P5P1/1P3P1P/2R2RK1 b - -,g6e7
2r2rk1/pqn1nppp/1pp1p3/3p4/QP1PPB2/P4P2/2P1N1PP/R4RK1 w - -,a4b3
rnbqk2r/pppp1ppp/5n2/2b1p3/2P1P3/2NP4/PP2BPPP/R1BQK1NR b KQkq -,e8g8
r1bq1rk1/pp2npbp/2npp1p1/2p5/2B1PP2/2NP1N2/PPP3PP/R1B1QRK1 w - -,a2a3:a2a4:e1h4:f4f5
