8/8/8/3r2p1/7p/R6P/4k1K1/8 w - -,a3a2
r4rk1/1pq1nbpp/1p1p1p2/pP1Pp2P/P1P1n1P1/4Q3/4BP2/R1B1KN1R w KQ -,e3e4
3qk2r/r4ppp/ppnpbn2/4p3/2P1P3/1NNBQ3/PP3PPP/R2R2K1 b k -,f6d7
2RR4/3n4/3k2p1/P1p3P1/2b5/4K3/r7/8 w - -,c8a8
3r4/2p2r1k/p3RP1p/1pqPNnpP/8/1PP2N2/P4P1Q/6K1 b - -,f7f8
8/8/4k3/1p6/p2K1P2/B5pp/7P/5b2 w - -,f4f5
8/8/p6p/4k1p1/P5P1/8/5K2/8 w - -,f2e3
8/8/7k/8/2K5/p7/Pb6/6R1 w - -,c4b3
r5k1/5ppp/2p1Rq2/ppP5/1P6/P7/2Q2PPP/5RK1 b - -,f6e6
3n1k2/ppq4p/6p1/3Bp3/2P1Q3/6P1/P5KP/8 b - -,b7b6
rnbqkbnr/pp1pp2p/6p1/2pP4/2P1p3/2N5/PP3PPP/R1BQKBNR b KQkq -,g8f6
4r1k1/pp3ppp/1bp1bn2/r6q/1P1NP3/P2Q1PP1/4NKBP/3R3R b - b3,a5a6
r1b2rk1/1pp1b1pp/2nppn2/p4p1q/2PP4/P1N2NP1/1PQBPPBP/R4RK1 w - -,d4d5
1r1q1rk1/p2bppb1/6pp/3nN3/3P4/3B4/P2B1PPP/R2QR1K1 w - -,a1b1
r4r2/pp1b2pQ/2nqp1k1/2pp1pN1/3P4/2P1P3/PP3PPP/R3K2R b KQ -,g6f6
r4b1r/pp1k2pp/2n1pp2/3p3b/3P1BP1/2PB1N1P/PP3P2/R3K2R b KQ g3,h5f7
8/3rnk2/1pp1pp2/5p1p/p2P3P/PP1R2P1/5PK1/3R4 w - -,b3a4
3r1rk1/pp2q1bp/n1pNb1p1/2p1Pp2/5P2/PP4P1/1BQRP1BP/3R3K b - -,h7h6
8/8/p4pk1/2K2R2/P5P1/1r3P2/8/8 b - -,b3b1
rr4k1/3b1p1p/3p2p1/2pPb3/p1Q5/1qB1P1P1/RP3P1P/4RBK1 b - -,e5g7
4kn2/pq4pp/1p1r4/3n1PB1/8/7Q/PP4PP/4RRK1 b - -,e8f7
8/p1p1k3/2p5/1n2NP1p/1P2K3/2P3P1/8/8 b - -,b5c3
rnbq1rk1/ppp2ppp/3b1n2/8/2NPp3/2N5/PPP2PPP/R1BQKB1R w KQ -,f1e2
b2rr1k1/p2n1ppp/Qp1q1n2/3p4/3P4/1PN1PN1P/P4PP1/3RR1K1 b - -,a8c6
rnbq1rk1/pppp2pp/4pn2/5p2/2PP4/2N3P1/PP1QPP1P/R3KBNR w KQ -,f1g2
8/6r1/8/2R5/4p3/4k2K/3n4/8 w - -,c5c8
2r3k1/r2nq1pp/4pn2/2p1Np2/2B5/2Q1PP2/5P1P/1R1R3K b - -,a7c7
2kr4/Rpp2ppp/5n2/5b2/1P6/2N1PB2/1P1r1PPP/4K2R b - -,d2b2
R2b4/3r2p1/1p5p/1Pk2p2/P4B2/5P2/5PKP/8 b - -,c5b4
r1bq1rk1/pp2bppp/2n2n2/4p3/2Pp4/1P1P1NP1/PB3PBP/RN1Q1RK1 w - -,f1e1:b1a3
r1q2br1/2k2p2/4bBnp/P2pPpp1/1ppP4/5Q1P/1PB1N1P1/R4R1K w - -,c2f5
7r/1k1q3p/5R2/pn1p2p1/1b1P4/P4PP1/5PKP/1R1Q4 w - -,a3b4
rn2kb1r/ppp1pppp/5n2/q3Nb2/3P4/2N5/PPP2PPP/R1BQKB1R b KQkq -,c7c6
r1bq1rk1/3nbppp/p1np4/1p6/3pP3/5N1P/PPB2PP1/R1BQRNK1 w - -,f3d4
r7/4r1k1/2pq2p1/3p1p2/1PpP3P/1Q2P1P1/4RK2/4R3 w - -,b3c3
r1n2k2/nprb1p1p/4p1p1/p2pP3/P2P1P2/1PNB1N2/2R2KPP/2R5 w - -,f2e3
1r1qk1nr/p2p1pbp/b3p1p1/2p5/3nP3/2NP2P1/P1P1NPBP/BR1QK2R b Kk -,g8e7
2r2rk1/p2pqppp/1p2pn2/2n1N3/2P5/PPB3P1/4PP1P/1R1Q1RK1 w - -,d1d4
rnb1kb1r/p2p1ppp/4pn2/qppP2B1/2P5/5N2/PP2PPPP/RN1QKB1R w KQkq -,d1d2
2r1rnk1/ppq2ppp/8/n2p4/Q2PP3/P4PN1/1R4PP/2B2RK1 w - -,b2b5
r3qrk1/1pp1nppn/p2p3p/2PPp1B1/1P2P1Q1/2NN3P/P4PP1/R4RK1 b - -,h6g5
1rr3k1/Q2R1pp1/1p2p3/5n1p/PbP1bP2/8/6PP/3R2K1 w - -,d7c7
6R1/p7/1p3b1p/1P5k/3n3P/3B2P1/6K1/8 w - -,g2h3
6r1/p7/1b3RN1/2k5/5pPP/P7/1P3P2/6K1 b - h3,b6d8
4r3/p3rk1p/1p4p1/1NpPbp2/P1P3P1/3KP2P/4R3/5R2 b - g3,a7a6
r1b1kb1r/pp2pp1p/4nn2/qB4p1/3pP3/2N3Q1/PPPB1PPP/R3K1NR b KQkq -,c8d7
5rk1/2pq1rb1/n1pp2p1/3Pp1np/1P2Pp2/1R3PP1/2QBNNKP/5R2 w - -,c2c6
r4rk1/pp2qpbp/1np1pnp1/8/3PP3/1BN2Q1P/PP3PP1/R1BR2K1 w - -,c1g5
6rr/2nkb3/bqn1p2p/2p2ppQ/1pP2P2/1N1P2PP/1P1N1BB1/R4RK1 w - g6,h5e2
8/4kr2/p2p3p/1p1Pr1p1/5p2/2PR4/PP3R1K/8 b - -,g5g4
6k1/1p2r1p1/p1pn1q2/3p1p1p/PP1P1Q2/4PP1P/1R4P1/2R4K w - -,h3h4
r1b2rk1/1p3pp1/2p2np1/p3p1B1/P3P3/1BP2P2/2P3PP/3R1RK1 b - -,c8e6
r1r3k1/p4ppp/4p3/1pn5/3b4/2P4P/PPB2PP1/2KR3R w - -,d1d4
r4b2/1b4k1/6pp/p1pP1p2/1pP1N3/P4B1P/1P4P1/R5K1 w - -,e4f2
r1b2rk1/pp6/8/3pnp1P/2p3pR/2P5/PP1NB1P1/2KR4 w - -,d2f1
3qr1k1/4rpp1/p2p3p/4P1b1/2p3Q1/P7/1PP1R1PP/3R2BK b - -,e7e5
rn1qkb1r/pp3ppp/2p1pn2/3p4/2PP4/2NQPN2/PP3PPP/R1B1K2R b KQkq -,b8d7:f8e7:f8b4
2r1rbk1/2nn1ppp/2q5/3pP3/1ppP1PQ1/6N1/1P4PP/RNBR2K1 w - -,b1d2
6Q1/8/p1p3k1/8/3PqpK1/P7/1P3p2/8 b - -,g6f6
r6r/1p2bpk1/2p1n1p1/3pPqp1/p2P1P2/P3Q1P1/7P/R1BR1NK1 w - -,e3f3
3r1rk1/p1pnq1pp/2B1p3/8/1pP2Pn1/6P1/PPQN2KP/4RR2 b - -,e7c5
8/7p/p7/7r/1k3P2/3KP2P/5R2/8 b - -,h5h3
r2q1rk1/pbpnbppp/1p2p3/8/2PPP3/P4N2/1BQ2PPP/R3KB1R b KQ -,g7g6
r2qr1k1/ppp1ppbp/1nn3p1/1B4Q1/3PP3/2N1BP2/PP3P1P/2KR3R b - -,a7a6
2rqk1nr/1b1n1pbp/p2p2p1/1ppP4/5P2/P1N2N2/1PP1B1PP/R1BQ1RK1 b k -,g8f6
1q4n1/6k1/p1n1b1pp/2p1p3/2PpP1N1/3P1NPP/P1R2QB1/1r4K1 w - -,g2f1
r4rk1/pp1qbppp/2n1pn2/3P4/5Bb1/1QNP1NP1/PP3PBP/2R2RK1 b - -,g4f3
8/1r4pk/5q1p/p3N2Q/P2P1P1N/8/2n2PKP/8 w - -,h5f3
r4rk1/2qnbppp/p2p4/1p1P4/5B2/3B4/PPPQ2PP/R4R1K w - -,c2c3
rnbqk2r/pp3pp1/4pn1p/2p5/2pP3B/P1P2N2/4PPPP/R2QKB1R w KQkq c6,h4f6
8/1R6/p2r1kp1/P2P4/5p2/7p/5KP1/8 w - -,g2h3
r1bq2nr/ppp1nkbp/3p4/2PPp1p1/2B1Pp2/2N5/PP1B1PPP/R2QK1NR w KQ -,h2h4
4r2k/2R3p1/7p/1P3b1q/3Q4/P4N1P/6PK/8 b - -,e8g8
br4k1/6pp/p2b2r1/P1Np1q2/3B4/8/1P2QPPP/2R2RK1 b - -,f5f4
5rk1/p4pp1/7p/q2N4/4Q3/n3R3/5PPP/6K1 w - -,h2h4
r1b2rk1/pp2qpp1/3p1n1p/2pP4/2P1NP2/2PB1Q2/P5PP/R4RK1 b - -,f6e4
6k1/5pPp/p1rpbBp1/8/1pp2P2/4N3/1PP5/4R1K1 w - -,e3d5
1r4k1/5pp1/p3n1b1/4P3/P1qN4/2P1Q1BP/1r3P1K/R3R3 w - -,d4e6
1r1q2k1/1p3r2/pb1pP2p/6p1/4P1p1/3P2B1/PPQ2PPP/2R2R1K b - -,f7e7
5rk1/pb3pPp/1pn1p3/8/4P3/1P4P1/P4P2/R1B2BK1 b - -,g8g7
1kr4r/2qbQppp/p3p3/1p1pP3/n4PPP/1N1B4/PPP5/2KR3R b - -,d7c6
1qrr1nk1/1bn1bppp/1pp1p3/p2pP1N1/2PP3P/1P2N1P1/PB3PB1/1QRR2K1 b - -,h7h6
r4rk1/pbp2ppp/1p2pn2/8/3P4/P3PN2/1P3PPP/R3KB1R w KQ -,a1c1
2n3k1/r3q1p1/3npp1p/p1Np1b2/Pp1P4/1P2PN1P/3QBPP1/2R3K1 w - -,f3h4
4rr2/p5kp/1p3n2/3pRp2/3P4/4P3/PP4BP/R5K1 w - -,e5f5
4rrk1/p1p3pp/4b3/2b1B3/8/4N3/1PP2PPP/R4RK1 b - -,c7c6
r1r5/5kp1/1p3p2/p2Rp2p/4Pn2/P1N1BK2/5PPP/3R4 b - -,f4d5
rnbqk2r/pp3pbp/2p2np1/3pp3/4P3/2NP1NP1/PPP2PBP/R1BQ1RK1 b kq e3,d5e4
r1bq1rk1/1p1n1pbp/p2p1np1/2pPp3/P1P1P3/2N3P1/1P2NPBP/R1BQ1RK1 b - -,f6h5:f6e8
4r3/p2b1kp1/1ppq3r/3p1p2/1P1P1P2/3RP1P1/P3Q1Bn/R5KN w - -,a2a3
4r1k1/p5pp/1qp5/1p1p4/8/1PP1bBPb/P4Q1P/2R3RK w - -,f2c2
r5k1/1N3pbp/1Pp5/p7/1r3p2/6P1/P4P1P/3R1RK1 w - -,d1b1
6k1/p5p1/1pb1Pp1p/5P2/4p3/P1qr4/5QPP/2B1R1K1 w - -,h2h3
2r1qrk1/p3p2p/1p1p1np1/2n5/2P2P2/1P3B2/PB1Q2PP/2R1R1K1 b - -,e8f7
2Q5/4nkp1/1p2pp2/p2p2p1/3P4/1P1NPPP1/P6P/6K1 b - -,e7c8
1r1r3k/1p3qpp/p2p1b2/8/5P2/1RP4B/1P3Q1P/5RK1 w - -,f2b6
3r1r1k/ppn1p1b1/3p1nBN/2pP4/2P5/7P/PP4P1/R1BR2K1 w - -,h6f7
3Qnk2/3b4/1p1qppp1/3p3p/3N3P/2P5/5PP1/6K1 b - -,d6c7
r1b1k2r/ppp1qp2/2nppn1p/6p1/1bPP3B/2N1PN2/PP2BPPP/R2QK2R w KQkq g6,h4g3
r1b1k2r/pp2np2/2pp1q1p/2b3pP/4PB2/2PB2Q1/PP3PP1/RN2K2R w KQkq g6,h5g6
r1bq1rk1/pp2npbp/2n3p1/2pp4/8/P1NP1NP1/1P2PPBP/1RBQ1RK1 b - -,b7b6
7r/4kpp1/R2p4/2q1pP2/4Bb2/3Q4/2P1R2P/7K b - -,h8h5
5q2/1k1rr1p1/pppp1pRp/4pP1P/4P1R1/1P1PP3/1PPK4/6Q1 b - -,b7c7
r4bk1/1p1r3p/4bpp1/p3p3/8/P2P2P1/1P1NPPBP/2R2RK1 b - -,f6f5
5rk1/1b1ppp1p/1r3bp1/2q5/p7/2P1PN2/PP1QBPPP/2R2RK1 w - -,b2b4
2r5/p3k1pp/1p2b3/4P3/PR6/1n1R3P/6P1/6K1 b - -,c8c1
8/5k2/1PR3p1/5p1p/4p2P/4K1P1/1r3P2/8 w - -,e3f4
3r4/2rpnpkp/2bR1p2/4p2B/pp2P3/1P2NP2/P1P3PP/2KR4 b - -,a4b3
8/7p/1p4p1/p1k2pP1/P2N1n2/1P1K1P2/7P/8 w - -,d3e3
r1qr2k1/ppp1bp1p/4b1pB/3PP3/4Q3/2PB4/P4PPP/3RR1K1 b - -,e6d5
r1bqkb1r/npp1pppp/p4n2/3P2B1/2p5/2N2N2/PP2PPPP/R2QKB1R w KQkq -,e2e4
r2q1rk1/pp1bppbp/2np1np1/8/2PN4/1PN1P3/P3BPPP/R1BQ1RK1 w - -,c1b2:f2f4
r2qk2r/pppbppbp/2n2np1/8/Q1Pp2P1/3P1N1P/PP1NPPB1/R1B1K2R b KQkq -,e8g8
r3k2r/4bpp1/p1p1pn1p/1pP1N2P/3P1B2/7R/qP3PP1/2KRQ3 b kq -,e7c5
5bk1/p1r3pp/2N1pp2/2P4q/2Q5/P2N2nP/5PP1/4RK2 w - -,f2g3
r4k1r/4nppp/pbn5/2pp4/P7/BP3N2/2P2PPP/R2R1BK1 w - -,g2g3
4r1k1/1bpnbp1p/1p1p1npB/3Pp3/1PP1P1P1/2N4P/3NBP2/R5K1 b - -,e8a8
1k6/2B5/2P1K1p1/3N2P1/8/1p5p/P7/8 b - -,b8c8
1n2r1k1/1N2qp1p/B1p2np1/3p4/3Q4/4P1PP/2R2P2/2R3K1 b - -,b8a6
rnbqk2r/pp1pb1pp/2p1pn2/5pB1/3P4/2NBPN2/PPP2PPP/R2QK2R b KQkq -,b7b6
8/r4k2/P1P5/1B3ppp/2K1p3/5P2/5bP1/3R4 w - -,f3e4
2r4k/1q6/6Q1/1b1P3p/1p2B3/6P1/1P5P/n6K w - -,g6h5
2k5/7R/1K6/p3r3/P7/8/8/8 w - -,h7c7
1r6/p2q1k1p/4rnp1/8/3N4/2P2P1Q/PP4P1/1K2R3 w - -,h3e6
2r1rb2/p4p1k/Npp2qpp/3p2nP/1P1P2P1/4PPN1/P3Q1K1/2R4R b - -,f8d6
r1r3k1/4qpbp/3p1np1/3b4/2p5/N5P1/1PQ1PPBP/R1B1R1K1 b - -,d5g2
8/8/3p4/2pP2k1/1n3pP1/2NP3P/p4K2/8 w - -,c3a2
3rk1r1/1b1p1pBp/1q2p3/1Bb1N3/pn2nP2/8/PP2Q1PP/R2N1R1K w - -,g7h6
r2qk2r/pb3p2/1pn1p1pp/3pP3/3P1PPb/PN1B4/1P1BQ2P/2R2RK1 b kq -,e8g8
r5k1/5pb1/4np2/4p3/pr2P1QN/3B2P1/1P3P1P/5K2 w - -,h4f5
rnbqkbnr/ppp1pp1p/3p2p1/8/3PP2P/8/PPP2PP1/RNBQKBNR b KQkq h3,h7h5
5R2/2p5/p1r1k3/4P3/6p1/P1BK4/bP3P2/8 w - -,f8f4
6k1/5p1p/6p1/8/qp1N3P/2rnP3/1Q3PP1/5RK1 w - -,b2d2
r1qb1rk1/ppp2pp1/3p1n1p/3N4/2PQ4/1P4P1/PB1RPPKP/5R2 b - -,c8f5
r5k1/1R3p1p/2N1p1b1/3n2p1/B2P2P1/B3P2P/4nP1K/2R5 b - -,e2c1
2kr3r/1b1n1pb1/1pq1p3/1pp1P2p/P1Pp2p1/N2P1N1P/5PPB/R2QR1K1 w - -,a3b5
4rrk1/5pb1/p2qp1pp/1p1n4/2pPQPPP/P1P3N1/1P6/R1B2RK1 b - -,f7f5
r1bqk2r/pp2ppbp/2n2np1/3p4/3P4/2PB1N2/PPQ2PPP/RNB1K2R w KQkq -,e1g1
r7/1p2q1kp/2p3p1/8/P2bP1P1/1Q4N1/P6P/3R3K b - -,d4e5
8/1np1rq2/2Rp3k/p2Pbp1p/3p2rP/1P1N1QPB/P4P2/2R2K2 b - -,g4g6
8/5k2/P5p1/5bP1/4qP2/7p/3Q3K/5B2 b - -,f5e6
2r1k2r/1p1bppbp/p2p4/2q1Pp2/5P2/2NQ2PB/PPP4P/1K1R3R b k -,e8g8
8/1p5p/p3kpP1/3p4/1Q5P/1P1b1PB1/q7/3K4 w - -,b4d6
5rk1/2rb1pp1/p3p2p/1p2P3/8/PB6/1P3PPP/2R3K1 w - -,c1c7
r5k1/p4p2/2B3p1/7p/3b4/1P4P1/P6P/5RK1 w - -,g1g2
4q3/7k/6p1/2pP2Bp/2P2Q1P/5PK1/1r6/8 w - -,f4c7
r3k2r/1b1p1ppp/p1n1pq2/1p5Q/1b1pP3/1B1P1N2/PPP2PPP/R1B1R1K1 w kq -,e1f1
r2qkb1r/pb1n1ppp/2p1pn2/1p6/8/2N2NP1/PPQPPPBP/R1B2RK1 b kq -,f8e7:a7a6
rnbqkbnr/ppp2ppp/4p3/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq -,g2g3:b2b3:e2e3
3r4/pp2kpq1/1b1rpp2/3Pn2p/1PQ1B3/P4NPP/5PK1/3RR3 w - -,f3e5
2rr2k1/1p3ppp/p1n1bn2/2q5/8/N1PR1N1P/P4PP1/R1Q2BK1 w - -,c1b2
8/8/p1p4p/1p2Bkp1/2pP3P/P1PbK1P1/8/8 w - g6,h4g5
r2q1rk1/pp1nppb1/2p1b1pp/3n4/3P4/1B1N1Q2/PPPBN1PP/R4RK1 b - -,d8b6:d7f6
7r/2k2p2/1pp2p2/p3pP2/2n4p/2RN1PbP/PP2B1P1/1K6 b - -,c4d6
r1bqkb1r/ppp2p1p/2n3p1/3np3/8/PP2P3/2QP1PPP/RNB1KBNR w KQkq -,d2d3
r2q1rk1/pp2ppbp/n1p3p1/5b2/3P3N/1P4P1/PB1nPPBP/R2Q1RK1 w - -,d1d2
rnb2rk1/1pq2pbp/p2ppnp1/8/1PPNP3/2NBB3/P4PPP/2RQ1RK1 b - b3,b7b6
8/8/5k2/3B1b2/1KP2P2/3r4/5R2/8 w - -,b4c5
8/1p1r1b2/1pp2k2/5pp1/3P4/P1P2pK1/1P6/4RB2 w - -,g3f3
r3r1k1/pp1q1pbp/n1b3p1/4p3/n1PpN3/1N1P2P1/P3PPBP/BR1Q1RK1 w - -,b3a5
6k1/1R4p1/8/8/6P1/5P1P/r5K1/8 w - -,g2g3
3r2k1/ppp3pp/2b5/8/2Pb4/8/PPN1r1PP/R1B2R1K w - -,c2e1
r2r4/5pkp/p2P1Rp1/1bq1p3/1p2Q3/3B3P/PPP3P1/4R2K w - -,e4b7
2b2k2/2N1qn2/pQ1n1pp1/3Pp2p/BP2P2P/6N1/6PK/8 b - -,f6f5
3n4/pb2kppp/1p2pn2/2b5/2N5/PP2PN2/1B2BPPP/6K1 b - -,e7f8
r2q1rk1/3n1ppp/p1p3b1/3pbN2/6P1/2NB1Q1P/PPP2P2/R3R1K1 w - -,a1d1
2b1rr2/1p2b2k/1BpR3p/5p2/2P2P2/6PP/P4RBK/8 w - -,d6d3
1rbq1rk1/p3pp1p/3p2p1/2p1b3/4P3/1BN3Q1/PPP2PPP/R4RK1 w - -,f2f4
r2qk2r/p2bbppp/3p1n2/1pnP4/3N4/6P1/P3PPBP/RNBQ1RK1 b kq -,e8g8
2b5/6p1/p1n2k2/3B4/2K3p1/1P6/P4PP1/8 w - -,d5c6
4rnk1/3b1ppp/3p1n2/1pqPp3/2P1P3/2B3P1/2QN1PBP/5RK1 b - -,b5c4
r3k2r/1p3ppp/1ppBb3/8/P7/8/1PP2PPP/R4RK1 b kq -,f7f6
8/6p1/5p2/5k1p/7P/3b1PK1/r5P1/3R4 b - -,d3e2
8/1kB5/pP2p1K1/2bbR3/2p3N1/7P/2P5/5r2 w - -,e5h5
6k1/R4p2/1pB1pB2/2p4p/5P2/6KP/P1br4/8 w - -,g3h4
rn3rk1/pp2ppbp/2p2np1/q2p1b2/2PP3N/1P4P1/P2NPPBP/R1BQ1RK1 b - -,f5e6
r3k2r/1pqb1pb1/p2p1n1p/2pPp1pn/P1P1P3/2N2PP1/1P1QBB1P/R3K1NR w KQkq -,d2d1
rnbqkb1r/1p3ppp/p7/2ppP3/3P4/2PB1N2/P4PPP/R1BQK2R b KQkq -,b8c6
8/p5kp/3r1p2/1PN3p1/5p2/3N4/P1K2PPP/8 b - -,f6f5
8/2p5/1p1p2k1/3Pp3/2P1NP2/1r4P1/4RK2/3r4 b - -,e5f4
1Q6/3bqr1k/3p3p/2pP2p1/2P1pn2/4P1B1/3N1PPP/4R1K1 b - -,f7f8
r2r2k1/pp3pbp/n1p1bnp1/q3p3/2P1P3/1PN2NP1/PBQ2PBP/R4RK1 w - -,f1d1
2r2rk1/pb1nq1pp/1p1b4/2Pp1p2/4n3/1P1BPNN1/PB3PPP/2RQ1RK1 b - -,b6c5
3rk1nr/2qn1pb1/p1bp2p1/P1p1p2p/2NPPB1P/2P2P2/3Q2P1/1R2KBNR w Kk -,f4g5
6k1/pp6/3p4/3P2P1/8/4rNq1/P7/1R1K3Q b - -,g3f2
rrn5/q5bk/1p1p2pp/3Ppp2/2R4P/1Q1PB1P1/4PPB1/2R3K1 b - -,a7a5
8/1p2b2R/1kn4p/1p5P/p6p/P2R3P/8/7K w - -,h7h6
