2r1k3/8/2nK4/n6R/P7/8/8/8 b - -,c8d8
8/2k3pp/1n3p2/2N2P2/8/r7/2B2PKP/8 b - -,b6d5
5r1k/p2B2p1/1p1p3p/2pP4/P3brP1/2P1R2P/6K1/R7 w - -,g2g1
8/8/6R1/7P/6P1/5k2/r7/4K3 b - -,f3e3
3r1k1r/6p1/p2P1p1p/qp2b3/2p5/5Q2/PPB3PP/2KR1R2 w - -,f1e1
r3k2r/1bqpbpp1/ppn1p2p/2p1P3/2PP1B2/2N2NP1/PP2QP1P/3RK1R1 b kq -,c5d4
3rkb1r/5ppp/p3b3/1pp1P3/3nB3/2N1B2P/PP3PP1/2KR3R b k -,f8e7
8/p6p/P1nn1pp1/3k4/2N2BPP/5P2/5K2/5B2 b - -,d6c4
2rqr1k1/pp2ppbp/1nb3p1/8/8/1PN1P1P1/PB3PBP/2RQ1RK1 b - -,b6d7
b1r1N1k1/3n2p1/pp2q2p/1P1pP3/P7/2P2P2/3Q2PP/3RR1K1 b - -,c8e8
3rR3/3P4/p4b2/P6p/1p3k2/2p4B/1PK3P1/8 w - -,b2b3
r1br2k1/pp1nqn1p/2pp1p2/6p1/1PPPPp2/P1N5/3QBPPP/R2RN1K1 w - -,g2g3
2k1r3/pp2P3/2p1Qn1q/3p2b1/3P1p2/6B1/PPP1B3/1K3R2 b - -,c8c7
r5k1/5p2/3np2p/5p2/1p1q4/1PRp1N1P/6P1/2QN3K b - -,d4e4
2r5/3R1pkp/p1p2n2/8/2P5/1PK3P1/P3R2P/8 w - -,d7a7
r1b1r1k1/2p2pb1/p1n3pp/1p1qp3/8/1BPP1N2/PP3PPP/R1BQR1K1 b - -,d5d6
4r1k1/6pp/1Nb2p2/4p3/3p4/2nP1PPB/4P2P/2R2K2 w - -,h3d7
r4rk1/1n2qppp/2R1p1b1/p7/8/4PPB1/3QB1PP/5RK1 b - -,f8d8
8/5p1k/8/7p/4n1p1/3qB2P/5PP1/1R1R2K1 b - -,d3c2
5r1k/bp4pp/p4n2/P2Bq3/1P6/3QP1PP/5PK1/2RR4 w - -,d5b7
2r1r1k1/4P1bp/p1p1R1p1/2Bp4/7P/1PP2R2/P4PP1/6K1 w - -,g2g4
2rr2k1/1p3pp1/p2p1n1p/2q1p1P1/2P1P3/1PN3Q1/P4PP1/2R2R1K b - -,h6g5
2k1r2r/pppqnpp1/3pbn2/1P2p1Bp/N1PbP3/3P2PP/P3NPB1/1R1QK2R w K -,d1d2
4R3/5P2/3p1rn1/4p3/4k3/8/8/7K w - -,e8g8
r1b1k1nr/ppp1qppp/2nb4/1B1pp3/2P5/1P2PN2/PB1P1PPP/RN1QK2R b KQkq c3,g8f6
3rrbk1/pp1q1pp1/2p4p/3n1N2/3Pp3/1P4P1/PB2PPBP/2QR1RK1 b - -,d7f5
r3k2r/pp3pp1/2n1p3/6Pp/8/2P1B2P/P1P2PK1/R4R2 w kq -,f1d1
6k1/3r2p1/1P3p2/3PpP2/4P2q/4Q3/6R1/4R1K1 w - -,e1c1
r4rk1/pb2q1pp/1pn1pb2/2p2p2/2P1n3/P1N2NP1/1PQ1PPBP/2RRB1K1 b - -,a8d8
r1r3k1/P7/R1bR1p2/4p1p1/8/4P1Q1/1q4P1/5BK1 b - -,b2c2
2k5/4n3/1KP5/P7/8/8/8/8 w - -,a5a6
2k4r/pppQ1p2/3p4/3Np3/2P4b/1P4n1/PB1P4/R5K1 b - -,c8d7
1k1r1r2/ppq1p3/3p4/1P3Pp1/P1PQP1p1/3P2Np/7K/R4R2 b - -,c7a5
1rbr2k1/ppNp1p2/2n2bpp/4p1q1/2P1P3/1N3P2/PP3QPP/2R1KB1R w K -,h2h4
8/p3qpk1/1p5p/1Q1B2p1/1p1bPP2/1P4P1/P5KP/8 w - -,b5c4
8/1p2kppp/p4n2/8/8/P4P2/1P4PP/3N2K1 w - -,g1f2
r2r4/2b3pp/p1Ppkp2/1p1Rp3/1P6/4B3/1P3PPP/3R2K1 w - -,g2g3
2b1r1k1/1p3p1p/2pp2p1/8/rqPQP1P1/1P3P1P/2R3B1/1R4K1 w - -,b1b2
4r1k1/p2rp1np/2N2np1/Nq6/1P6/7P/P1Q3P1/3RR1K1 w - -,d1d7
6k1/1p3pp1/p1n4p/8/1q2pP2/3rP3/PP2QRPP/3R2K1 b - -,b4c4
8/8/8/8/4K3/2R5/4kp2/8 w - -,c3c2
8/2b3kp/4ppp1/3q4/3P3P/Q4NP1/5P2/6K1 b - -,d5d6
2r2rk1/1p1qppbp/p1npbnp1/8/2P1P3/2N1BP2/PPNQB1PP/R4RK1 w - -,a1c1
8/4k1n1/3p2pp/2pP1p2/2P2PP1/2b2K1P/2B2B2/8 w - -,f2h4
3r1rk1/5pb1/1Q4p1/1P5p/3pPNqP/P2N2P1/6BK/2R5 b - -,g7h6
r2bk2r/1pp3pp/pnB2p2/2B1p3/4P1b1/2N2N2/PPPR1PPP/2K4R b kq -,b7c6
5rk1/R3Rpp1/1p4P1/p7/6K1/P1B2r2/1P1n4/8 b - -,f3f2
r2q1rk1/p3ppbp/1np1b1p1/1p4N1/3PP3/B1P5/P1Q1BPPP/R4RK1 b - -,e6c4
r4rk1/1bq1bppp/ppnpp3/3nP3/2BPQ3/N4N2/PP1B1PPP/2R1R1K1 b - -,f8d8
r4rk1/pp4p1/4b2p/5p2/4p3/2PnB1P1/PP3PBP/R2R2K1 b - -,d3b2
r3k3/5pp1/P7/R2p1K1p/3P1P2/8/5P2/8 w - h6,f5g5
2r2rk1/pq1nbppp/1p1p1n2/3Pp3/1P2P3/2N2NP1/PQ1B1P1P/2R1RbK1 w - -,g1f1
3rrnk1/1bq2pbp/pp1p1np1/2pPp1B1/P3P1P1/2N2N1P/1PPQ1PB1/3RR1K1 b - a3,d8b8
rnbq1rk1/pp2b1pp/2p1p3/3pNp2/2PPnB2/2NBP2P/PP3PP1/R2QK2R b KQ -,b7b6
2r1r1kb/3n3p/1nb1p1pP/3pPpB1/pqpP1N2/1P2QNP1/P3BPK1/2R1R3 w - -,e3c3
r5k1/1q3p1n/3p4/R3p3/2P1P3/3PBPP1/3Q2K1/8 b - -,a8b8
rn3rk1/p3ppbp/2p3pB/q7/1p2P3/1B6/PPPQ2PP/2KR3R w - -,h2h4
5rk1/5pp1/2B2n2/1P5p/3R1Q2/6PP/5PK1/1q6 w - -,g3g4
8/7p/1p1n2b1/p1pPk1p1/P1P5/1P5P/3N1K2/3B4 w - -,f2g3
r4rk1/ppq1bpp1/2p2n2/4n1p1/PP6/1B2P2P/N2BQPP1/R2R2K1 b - -,a8e8
4r3/p4bk1/1pp3p1/2pq1p1p/6r1/2PP3Q/PP1NRP2/R4K2 b - -,g6g5
2rr1k2/1p3P2/p1b1P1p1/6q1/1P4P1/P2Bn1K1/1b2Q3/3R1R2 w - -,e6e7
r4rk1/p3qpb1/2pn2p1/5b1p/3PN3/1P1Q2P1/PB4BP/4RRK1 b - -,f8e8
2r2r1k/1b1nqpp1/p2R3p/1pp2B2/1P6/P3PN2/1BQ2PPP/R5K1 b - -,e7d6
bRr5/P3r1pp/R3pk2/8/1Np1p3/2P1K3/1P4PP/8 b - -,e7e8
r4k1r/pp1n1p2/1bp2q2/4pN1p/4P1b1/1BPP4/PP3PKB/R3QR2 b - -,h8g8
2r3k1/3bbp1p/r2p2p1/1p2p3/4P1P1/pPPR1P2/P3N2P/1KBR4 w - -,e2g3
3rr3/npq3bk/p5pp/P1pnpp2/2N5/1QPP2PP/1P3P2/R1B1RBK1 b - -,a7c6
8/8/8/4pp2/8/5k2/5P2/4K3 w - -,e1f1
5n2/ppq2kp1/2pb1p1p/3p1B2/3P1NP1/2P3P1/PP1Q1PK1/8 w - -,f4e2
8/2k2p1p/3Np3/p1P1n3/P5Pp/8/5PK1/8 w - -,g4g5
rr4k1/4ppbp/3p2p1/p1pN4/PqP1P3/1p1P3P/1P1Q1PP1/1R1R2K1 b - -,b4a4
2k1r1n1/2p1bp1r/1p4p1/1bp5/p3P2p/2BN1P2/PPP3PP/1K1RRN2 w - -,f1e3
2k4r/1p2Rpp1/pB4b1/8/P1P2b2/1B3P2/8/6K1 b - -,f4d6
r1bR1bk1/1p2rp1p/pB2p1p1/4p3/2P1P1P1/5P2/PP2B2P/3R2K1 b - -,f7f5
r2r2k1/ppq1ppb1/6bP/4P3/2B1p1PB/2Q4P/PPP5/2KR3R b - -,g7e5
2rr2k1/R4p1p/3P2p1/7q/5p2/3Q1P2/5B1P/3R3K b - -,d8d6
r2qk2r/1p3ppp/p1n1bn2/2bp4/8/P1N1PN2/1PQ1BPPP/R1B2RK1 b kq -,a8c8
6k1/1p3p1p/p5p1/2P5/PP6/6P1/1r1p1PBP/3K4 w - -,g2b7
2r2r2/pp1b2kp/2n1p1p1/3p4/3P1q1P/2PQ1N2/P1B2PP1/2R1R1K1 w - -,h4h5
r1bq1rk1/1pp2pbp/p1np1np1/4P3/P3P3/2NBBN1P/1PP2PP1/R2QK2R b KQ -,d6e5
5b2/5pkp/4p1p1/4P3/2R2P2/1qQ4P/5P2/6K1 b - -,b3b1
r4k1r/pp3ppp/2n2n2/8/2qp1Bb1/5N2/PPP2PP1/R2K1B1R w - -,f1c4
r2q1rk1/1p2bppp/2ppbn2/p1n1P3/P2N1B2/2N5/BPP2PPP/R2QR1K1 b - -,d6e5
3r1rk1/pb1qbppp/1pn1p3/2p1n3/4P3/P1P1R1PP/1PQN1P1N/R1B2BK1 b - -,c5c4
r1bqkb1r/pp2pp1p/2np1np1/8/4P3/2N3P1/PPP1NP1P/R1BQKB1R b KQkq -,f8g7:c8d7
1r4k1/4r2p/p2ppbp1/2p5/q1P2PQ1/P7/1P4PP/2BRR1K1 w - -,d1d6
8/3k3p/p1p2pp1/P7/1P2R1P1/4PK2/1r3P2/8 w - -,e4f4
3r1bk1/4qp2/p3p2p/1p2P1pP/3r4/3BRQ1R/P1P2PP1/5K2 w - -,h3g3
r2qkb1r/1b3pp1/p3P3/1p1p1n1p/5P1P/2N2NP1/PP1B2B1/n1Q2RK1 b kq -,f7e6
r2qnrk1/pp1bbppp/3p2n1/2pPp3/2P1P2P/2NBB1P1/PPQ2P1N/R3K2R b KQ -,a7a6
2r1r1k1/1p3pp1/p2q1n1p/P1pPR3/N1P2P2/4Q2P/2b2PB1/R5K1 b - -,c2a4
r4rk1/p2n2p1/4pb1p/8/3pN3/3B4/PP1K1PPP/2R4R w - -,c1c6
2r3kb/2r4p/pn2p1pP/1pp1PpB1/3PQ3/2P4N/P4PPK/1RR5 b - -,f5e4
1r3rk1/4bppp/4bn2/q7/2p5/P1N1BQ1P/1P1RBPP1/2R3K1 b - -,b8b3
1r5k/2q1bppp/pr2p3/2p1P2P/1nPp1B2/3P1BP1/P2Q1P2/R3R1K1 b - -,b4c6
r2q1rk1/1p1bppbp/2np1np1/p7/2PNP3/2N1B3/PP2BPPP/2RQ1RK1 w - a6,b2b3:d4b5
4b3/7k/8/4BN2/P3Kb2/1p6/1P6/8 b - -,f4e5
8/6bk/1q1n3p/2N4Q/1P1p3P/3P2P1/5P2/2B3K1 b - -,b6b4
3rr3/1bq1n1kp/p1p1npp1/1p2p3/P3P3/2QB1NNP/1PP2PP1/R2R2K1 b - -,e7c8
6k1/5p2/1p6/5N1P/2n2p2/5P1P/5K2/8 w - -,f5e7
r3k2r/1pqbbppp/p1np1n2/3P4/3NPP2/3Q4/PP1B2PP/2R1KB1R w Kkq -,d5c6
8/p5k1/1b6/3bP2Q/3p4/6BP/1q4PK/8 w - -,h5g4
r4r2/pp2qpbk/3pb1pp/n1pN3n/2P1P3/4BN2/PP2BPPP/R1QR2K1 b - -,e6d5
r1bqk2r/pppn1ppp/4pn2/3p2B1/2PP4/P1Q2P2/1P2P1PP/R3KBNR b KQkq -,h7h6
1n2r1k1/1r3pp1/3Rp2p/1bB5/1P3PQP/8/6P1/6K1 b - -,b8c6
rn1q1rk1/1p1n1pbp/p5p1/2ppp3/3P2b1/1PP1PN2/PB1NBPPP/2RQ1RK1 w - e6,d4e5
2b2rk1/3n1pbp/p2Q2p1/q2Np3/1rp1P3/4BP2/PP4PP/1KR2B1R b - -,b4b7
8/p5pk/Bp3p2/8/7p/2Bb3P/5PP1/2n2K2 w - -,a6d3
2b3k1/4bpp1/1p2p2p/1q1pP3/p2P1PP1/3NQ3/PP1N3P/6K1 w - -,d2f3
6k1/r4p1p/1q1p2p1/1p1Pn3/1P2P3/7R/2r1B1PP/4QR1K w - -,e2d1
3r3k/p4ppB/4p3/2p5/8/BPn1Pb2/P4PPP/2R3K1 w - -,c1e1
r2q1rk1/4n3/ppn1b2p/2p2pN1/Q7/P1PP1NP1/5PBP/1R2R1K1 b - -,e6d5
6k1/p5p1/r5bp/2p5/8/pP1P1N2/2P2KPP/R7 w - -,a1a2
r1bq1rk1/1p3pp1/p1n2b2/3pp2Q/NP3B2/P7/2P2PPP/1R2R1K1 w - -,f4e5
2n5/1p6/p2bk3/4pp1p/6p1/1P1PP1P1/1P1B2NP/5K2 w - -,e3e4
6K1/6Q1/4p1k1/4P3/8/3b4/8/5q2 b - -,g6h5
4r1k1/2r2pb1/p4q1p/1pPp2p1/8/1NnQP2P/P1R2PP1/1B3RK1 w - b6,f1c1
1rb1k2r/1pqppp1p/p4npb/8/3NP3/1NPB1P2/PP4PP/R2QK2R b KQk -,e8g8
8/2k2p2/2p1p1p1/p3P3/P2P1P2/2PK2P1/8/2bB4 w - -,f4f5
2r1kb1r/pp1bpppp/3p4/8/3RPP2/2N1n3/PPP2BPP/2K2B1R b k -,e3f1
8/1p2rp1p/5kp1/3R4/P7/1RP4r/5P2/5K2 b - a3,e7c7
8/2k5/p3p1pp/2p1Pp2/2P2P2/P4K1P/4B3/4b3 w - -,e2d1
5k2/pp3ppp/4b3/2p5/2P1p3/2P1P1P1/P3BP1P/2K5 w - -,c1b2
2q3k1/1pr2pp1/1b1r1nn1/1B2p1Bp/4P3/P1N3PP/2Q2P1K/1RR5 w - -,b1b3
2kr3r/ppqn1Bpp/2p1p3/3pP3/1P1P3b/2P4P/P5P1/R1BQ1RK1 b - -,d7f8
4r1k1/1p3pp1/pNqp2rp/P3p1b1/1PP1P3/3Q4/5PPP/R3R1K1 w - -,a1d1
8/p1kp4/1p2pQ1R/2p1P3/2P5/PP3RBK/8/2qr4 b - -,d1h1
2r1kb1r/1p1n1ppp/p3pnN1/2Pp4/3P4/2N5/1P2PPPP/R1B1KB1R b KQk -,h7g6
1r5r/p1qknpp1/b3p2p/3pP2P/2pP2B1/P1P1B3/2Q2PP1/RR4K1 b - -,b8b1
4R2r/3p4/1p4K1/1p1k4/8/P1p5/8/8 w - -,e8h8
rnb2rk1/pp2ppbp/q1pp1np1/8/2PP4/2N2NPP/PP2PPB1/R1BQ1RK1 w - -,d1a4:f3d2:b2b3
8/1P4k1/1r5p/8/3KBPP1/8/8/8 b - -,g7f6
r2qk2r/p3bppp/2p1p3/1p1nP3/3P4/1QN5/PP3PPP/R1B2RK1 w kq -,c3e4
r1bq1rk1/pp2ppbp/1nn3p1/8/4P3/2N2NP1/PP3PBP/R1BQ1RK1 w - -,d1e2
r3r1k1/1p3ppp/2pq4/p2p1b2/1P1P4/P3P3/3QBPPP/R3R1K1 b - -,a5b4
8/2k5/1pBbP3/1Kp5/P1P4p/1P5P/8/8 w - -,c6d5
rnbqkb1r/pppp1ppp/8/4N3/3Pn3/8/PPP2PPP/RNBQKB1R b KQkq d3,d7d5
rnbqkb1r/pp2pp1p/2p2np1/3p4/2PP4/2N2N2/PPQ1PPPP/R1B1KB1R b KQkq -,a7a6
1k5r/pp3p2/5n2/8/QP5p/P1q2PpP/4B1P1/3R3K w - -,b4b5
rnbq1rk1/1pp1bppp/3p1n2/pP6/2PpP3/P4N2/1B1N1PPP/R2QKB1R w KQ -,f3d4
4kb1r/Rb2qppp/2p5/1p1p4/2p5/2N1B1P1/1PQ1PP1P/6K1 w k -,c2f5
2r1r1k1/5p1p/p3q1pb/4p3/P5P1/4N2P/1PPQ3K/4RR2 b - -,h6f4
r2qk2r/pb1nbppp/1p2pn2/2pp4/3P4/1P1BPN2/PBPN1PPP/R2Q1RK1 w kq -,f3e5
8/6p1/2k2pp1/1N1p4/P7/4K1P1/1b3P2/8 b - -,c6c5
3rr1k1/5pp1/p3qnp1/1pbp4/6P1/1Q1BPP1P/PP1B4/1K1RR3 w - -,d3c2
r1bq1rk1/pp3pbp/2p1n1p1/8/2p1P3/2NP2BP/PPPQ2PN/R4RK1 w - -,h2f3
6k1/r5qp/2pr2n1/1p1p1R1Q/3N4/p1PP4/P1P2P2/2K3R1 w - -,f2f4
5rk1/p1r2ppp/1P2b3/3p4/3q4/P4B2/Q4PPP/R4RK1 b - -,a7b6
r4q2/1pp4k/3p4/p2Ppb2/2P1n2P/2Q2N2/1P2BP2/3K2R1 w - -,c3e3
8/3rkp2/2pqp3/6pp/Q7/8/PPR2P2/1KRr4 b - -,d1c1
2kr1b1r/pp2pppp/2n5/5b2/3P1P2/4NN2/PP3PPP/R3KB1R b KQ -,e7e6
3r2k1/7p/4p1p1/2nnP1b1/pq3PQ1/6P1/PP3BB1/2R3K1 w - -,c1c5
3r2k1/1rp1npp1/p2q3p/P7/1pQNP3/8/1P3PPP/R4RK1 w - -,d4b3
8/6pk/2Q5/2n2p1p/p6P/P5P1/1Pq3BK/8 b - -,c2c4
rnbqr1k1/ppbp1ppp/5n2/2pP4/8/2N2NP1/PP2PPBP/R1BQK2R w KQ -,e1g1
1r1q1rk1/2pnnp1p/p2p2p1/4p3/Q1P5/4NP2/PP2PP1P/R3KB1R w KQ -,f1h3
r1bq1rk1/pp2b1pp/2ppnn2/5p2/2PPpN1P/2N1P3/PP1BBPP1/R2QK2R w KQ -,g2g3
4rrk1/pbq1bppp/1p1pp3/8/2PQ4/1P4P1/PB2PPBP/R2R2K1 b - -,e7f6
3r4/pR6/4p3/1P2b3/P1k3b1/8/2B5/1KB5 b - a3,e5d4
1R6/6bk/5Pp1/7p/4BPnP/6PK/1p1r4/6B1 b - -,g4f6
r4rk1/p1qnBpbp/1p4p1/2p5/3PP1b1/Q1P2N2/P3BPPP/3R1RK1 b - -,f8e8
r2qk2r/pb1nbppp/1pn1p3/2p3B1/4P3/2N2NP1/PPP1QPBP/R4RK1 w kq -,g5e7
r2q1rk1/1pn1bpp1/2pp3p/p3p3/2P1PP2/P2PB1PP/1P2Q1B1/R4RK1 b - f3,e5f4
3r2k1/1q1r1pbp/p2p2p1/1pB5/5Q2/5P2/P5PP/1R1R2K1 w - -,d1d6
6k1/p4ppp/2p1b3/8/2PbNpP1/5P2/P3B2P/7K w - -,e2d3
4K3/2R3P1/4k3/2r5/8/8/8/8 b - -,c5c7
r5k1/1p3q2/8/p7/P1Bb4/1Pp5/5QK1/4R3 b - -,d4f2
rnb2rk1/2n3pp/2Pqp3/pBppNp2/Q2P4/2N1P2P/P4PP1/R4RK1 w - -,f1b1
6k1/2r1qpp1/1p3np1/3pn3/3N4/pP2PN1P/P4PP1/1Q1Rb1K1 w - -,d1e1
2R2N2/p4k2/2p3pp/r3p3/8/5P1P/P5P1/6K1 w - -,f8h7
r2qkb1r/pp1n1ppb/2p1pn1p/3p4/3P1BP1/P1N1PP2/1PPQ3P/R3KBNR b KQkq -,b7b5
1r5k/3bp1bp/3p2p1/8/3NP1P1/2r2P2/PP2Q3/1K1R4 w - -,d4b3
r4rk1/1qpnn1pp/p2b1p2/P2Pp3/8/1pPB1N2/1P2QPPP/R1B1R1K1 w - -,d3c4
r3k2r/1bqnppbp/p2p1np1/1p6/3NPP2/2N1BB2/PPP3PP/R3QRK1 w kq -,f4f5
r2q1rk1/1p1nbppp/p1npb3/8/4PB2/1NN4P/PPP1Q1P1/2KR1B1R w - -,f4d6
r1b2rk1/1p1n1pp1/pbn1p2p/3pP3/3N4/2PB1NB1/P4PPP/R4RK1 w - -,f1d1
2r3k1/p3br1p/b1q1p1pQ/4PP2/2Pp4/1R5R/P1PN1P1P/2B3K1 b - -,e6f5
r1bq1rk1/pp2npb1/2n1p1pp/2pp2B1/2P1P2P/2NP1NP1/PP3PB1/R2QK2R w KQ -,g5f4
5rk1/p2pn1pp/1ppbp3/8/2PPBP2/1PB1P3/P4K1P/3R4 b - -,g7g6
1r3rk1/pB3p1p/1p2p1p1/8/2Pb4/3N4/PP3PPP/R4RK1 b - -,b8b7
6k1/r3bp2/NR1p2pp/3Ppb2/2P5/r7/4BPPP/4R1K1 w - -,c4c5
8/4pN2/1pk1P3/p2b4/1P4P1/4R1K1/2r5/7r w - a6,b4a5
r1bq1bk1/pp4r1/3p4/1N1Pp3/4PnP1/1Q3B2/PPR5/4BRKN b - -,a7a6
r1b3k1/5ppp/pb1p4/2pPr2N/P1B1P2q/R6P/2Q2PP1/2B2RK1 b - -,e5h5
r2qkb1r/1p2npp1/p1n1p2p/3pP3/2P4B/3Q1N2/PP3PPP/RN3RK1 b kq -,d5c4
r4rk1/pb1n1p2/1q1Np1p1/3nP2p/1b1p2Q1/3B1N2/1P3PPP/R1B2RK1 w - -,g4g3
8/7p/5r1P/1k5R/8/PKP5/8/8 b - -,b5b6
r1bqk2r/1p2bppp/p1n1pn2/3p4/3P1B2/2NBP2P/PP3PP1/R2QK1NR w KQkq -,a1c1
r3r1k1/1b2qpp1/p2p3p/1p6/3QP1n1/5N2/PP3PPP/R3RBK1 w - -,f3d2
8/4rpk1/p4np1/Pr4N1/R1R1p2P/4P3/5PK1/8 w - -,c4c6
2R5/5pk1/6p1/1pB3p1/1P2rn2/7P/5PP1/6K1 b - -,f4d3
r5k1/5ppp/pp1bpn2/8/2r5/2N1P3/PP3PPP/R2R2K1 w - -,d1d6
2b5/r1q1p1k1/5np1/2p3p1/2Q1P3/1B5P/5PP1/1R4K1 w - -,c4f7
r2qr1k1/1b3ppp/1p6/p2pNP2/1b1PnNP1/1Pn1B3/P5BP/2RQ1RK1 w - -,d1f3
3r2k1/b4p2/p1Np3p/1p1R1P2/1P6/8/P3r2P/4BR1K b - -,d8e8
4r1k1/1N3ppp/2p1bb2/4B3/r1q1P3/6Q1/2P2PPP/3R1RK1 b - -,f6e5
3r1r2/p4pkp/1q2pp2/2p3P1/5Q1P/P2b1B2/1P3P2/R3R1K1 b - -,b6b2
r1b2rk1/pp4pp/2nqp3/8/3Pp3/8/PP1NNPPP/R2Q1RK1 b - -,d6d5
