8/4B3/6p1/3p1n1p/3P1P2/2PkP3/5K2/8 w - -,e7b4
r3r1k1/2p2p2/1pNppbp1/p2P3p/P1P1P3/5PPq/1P1Q3P/4RRK1 b - -,g8g7
r1bq1rk1/ppp2pbp/2np1np1/8/2P5/1PN3P1/PB1QPP1P/R3KBNR w KQ -,g1h3:f1g2
r7/P4pkp/8/5p2/8/4P1P1/1rp1PK1P/R1R5 b - -,b2b1
r1b1r1k1/1p1n1pp1/p3p2p/q1pn4/3P3B/1QP1PN2/P4PPP/1BRR2K1 b - -,b7b5
1r3r2/2qbppbk/3p2p1/5PBp/1p1NP1n1/1BP2R2/1P4PP/1R2Q2K b - -,d6d5
2b2qk1/5rpp/p1Qp4/2RN1p2/4p3/1P6/P4PPP/3R2K1 b - -,d6c5
r1b1k2r/1pqpbppp/p1n1pn2/8/3NP3/P1N1B3/1PP1BPPP/R2Q1RK1 b kq -,e8g8
2b5/N3b1k1/p2p1n1n/B1pPp2p/2P1Ppp1/PB3P1P/5NP1/6K1 b - -,c8d7
2r3k1/p3Bp1p/8/1B3p2/8/7P/Pbn2PP1/3R2K1 w - -,b5d7
5k2/1p3n1p/p1p1p3/2PpP1p1/1P1P2P1/3K1N2/P6P/8 w - -,d3c3
r3r1k1/2p2ppp/5n2/p2p1Q2/Pq6/1P3N2/2P2PPP/3R1RK1 w - -,d1d4
8/8/5K2/Bp2n3/8/8/2k5/8 b - -,e5c6
4B3/2n2p2/3p1k2/6p1/6P1/1K6/5P2/8 w - -,e8d7
8/4k3/1R6/8/r4NKP/8/8/8 b - -,e7f7
r5k1/pp1bq3/1n4p1/2pPb1Bp/4P2P/2NB1r2/PP1Q4/1K2R2R b - -,e7g7
r1bq1rk1/bpp2pp1/p1np1n1p/4p3/4P3/1BPP1N2/PP1N1PPP/R1BQR1K1 w - -,d2f1
r1r5/5kbp/pR4p1/n1pp4/4n3/2P1BN1P/P4PP1/2R2BK1 w - -,f1a6
r2q1rk1/5ppp/bnp1p3/p2p2P1/1b1QP2P/1P4N1/PBP2PB1/R2K3R b - -,d5e4
1n1n1r1k/p1q3pp/3p4/3B4/4Q3/b3B3/P4PPP/1R3RK1 w - -,b1b3
2r3k1/pp1n1pp1/1q2p2p/3pP3/1b1P4/1PrNQN1P/P4PPB/5RK1 w - -,f3e1
rn1q1rk1/4ppbp/b2p1np1/2pP4/2B1P3/5N2/PP1NQPPP/R1B1K2R b KQ -,e7e6
1r1q1rk1/1p2bppp/p1bppn2/8/PnPNP3/2N1BP2/1P1QB1PP/2RR2K1 b - -,f6d7
r4rk1/pbpn1ppp/1p1qp3/8/3P4/4PN2/PP1QBPPP/2R2RK1 b - -,a8c8
1q4k1/1b2bpp1/p3p2p/1p2P1n1/2pr2P1/P3R2P/1PQ2PBN/4R1K1 b - -,e7c5
8/p6p/2p5/2P5/4K3/P4Q2/1P1qp3/7k b - -,h1h2
6k1/p3qpp1/1p1np2p/6PR/3P1N1P/3QP3/P4PK1/2r5 b - -,d6f5
r4rk1/p5pp/1pp3q1/n2pB3/3P4/2P2P2/P3Q1PP/4RRK1 b - -,a5c4
6k1/1p1q4/4p3/1pPpp1pp/1P1bP3/1R1B1KPP/4RP2/8 w - -,f3g2
8/4b3/p1p1pkb1/PpPp4/1P1PpK2/6P1/4B2N/8 b - -,e7d8
r1bqk2r/pp3ppp/2n2n2/1N6/Qb1p4/6P1/PP1BPPBP/R3K1NR b KQkq -,b4d2
r4rk1/1p1nqppp/p3p3/8/1bP1N3/1P3N2/P3QPPP/3R1RK1 w - -,f3d4
r1bqk2r/pppnbppp/3p1n2/3Pp3/4P3/4BP2/PPPQ2PP/RN2KBNR b KQkq -,c7c5:e8g8
2r2rk1/p3qppp/b4n2/8/1bp5/4PNP1/P1QN1P1P/1R1R1BK1 w - -,c2a4
5r1k/pp4b1/3P2p1/3Q3p/2p5/2B4P/PPB1bqP1/R6K w - -,c2g6
8/8/8/3K4/p7/2r1p3/Pk6/4R3 b - -,b2c2
2k4q/p4p1r/1pn1pPr1/3p2Pp/b1pP3P/P1P2BB1/1P1Q3K/2R2R2 b - -,a7a5
1rbq1rk1/2p2pbp/2np4/1p1Pp1p1/4Pn2/2P1BN2/1PB2PPP/R2QRNK1 b - -,c6e7
rnb1k2r/1pqpbppp/p3pn2/8/4P3/1NN3P1/PPP2PBP/R1BQK2R w KQkq -,e1g1
4r3/3p2kp/2bPp3/8/4p3/P1R3PB/5K1P/8 w - -,f2e3
8/3r1pk1/3q2pp/3P4/3R4/4Q1PP/5PK1/8 b - -,d7d8
3r2k1/r4p1p/2npb1p1/2q1p3/ppP1P2P/1P1Q2P1/P1N2PBK/3R1R2 b - -,a4b3
1r6/3R2b1/2p3pk/7p/P1n1N2P/6P1/2B2P2/5K2 w - -,e4g5
5r1k/1p4p1/p6q/7P/4Q3/P7/1PB2rP1/K6R w - -,a1a2
4r1k1/2p2pqp/1p1rb1p1/1Pn5/1Q3P2/2N3PP/2P3B1/3RR1K1 w - -,d1d6
8/6k1/p3p1p1/8/1P6/4nPB1/4p2P/3rR2K b - -,e3c2
8/8/2bPk3/p7/8/4K3/6N1/8 b - -,a5a4
r1bqk2r/1p2bpp1/p3p2p/2n1P3/3p4/3B1N2/PP1NQPPP/2R2RK1 w kq -,d3b1
8/p7/1pk3p1/2p4p/P1P5/6P1/4K2P/8 b - a3,a7a6
2rq1rk1/1b3pbp/p2p1np1/1pn5/4Pp1B/PNNB3Q/1PP3PP/4RR1K b - -,d8d7
r1b1k2r/pp3pbp/1qn1p1p1/3pPn2/3P4/1B2BN2/PP3PPP/RN1QR1K1 b kq -,e8g8
r1bq1rk1/4bppp/p1np1n2/1p6/4PB2/2NB1N2/PPP3PP/R3QR1K b - -,f6h5
r2q1r1k/pp1b2p1/3p1nnp/2pP1p2/2P1pP1P/2P1P1P1/P1QBBN2/R4RK1 b - -,g6e7
1r1b1r1k/1q1n2np/p2p2p1/3bpp2/1N2P3/P3BP2/Q5PP/2RR1BK1 w - -,a2d5
3rkr2/pq2n1pp/1p2Q1n1/1N2P3/5P2/4B3/PP4PP/R4RK1 w - -,b5d6
3r4/p3Qpk1/1p5p/4N3/K4p2/2q1n3/P3B3/8 b - -,d8d4
8/Pk6/1B2n3/1b2Np1p/5Pp1/4K1P1/7P/8 b - -,b5a4
2r1n1k1/1q4pp/p1rpb3/Q3pp2/4P3/1P2BP1B/P1PR3P/1K4R1 b - -,b7f7
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2P1P3/2NP4/PP2NPPP/R1BQKB1R w KQkq c6,g2g3
6k1/p1q2pp1/1p3nnp/1Pr1p3/2B5/1Q2PP2/1P3BPP/5RK1 w - -,f1c1
2b5/1p3rk1/p2R1p2/3Pn2q/2PKPQp1/r2B2P1/4N3/3R4 b - -,e5g6
1b6/1N2k2p/6p1/P1Np4/1P1P2b1/4P3/5KP1/8 w - -,b4b5
8/1p1r1k2/p1b5/2P1Ppp1/3P4/P1B5/1R5K/8 b - -,f5f4
2k5/1p1n1pp1/p1p3np/2Np4/3P3P/2P3P1/PP2KP2/2B5 w - -,c5d7
2r5/7k/2NR3b/1p1Pp2p/p7/P2p2PB/1P5P/6K1 b - -,d3d2
r3k2r/p2n1pp1/p1pqp2p/3n4/8/2PB1Q1P/1P1B1PP1/R4RK1 w kq -,c3c4
2rq2k1/Np4bp/2rp1pn1/p1nNp1p1/P1PBP3/1P3P2/5QPP/1R1R2K1 w - e6,d4e3
2br4/5pkp/pp3b2/5n2/1Pp5/P5P1/3Q3P/4R1K1 w - -,d2c1
r2q1rk1/pp3pbp/1n2bnp1/3p2B1/3P1N2/1QN2B2/PP3PPP/R4RK1 b - -,h7h6
6r1/3P2pk/p5Np/4Q3/4p3/5q1P/6RK/8 w - -,g6e7
r3brk1/pp2bppp/2n1p3/2qpP2Q/5P1P/P1N5/1PPB2P1/2KR1B1R w - -,h5g4
r3k2r/pb1pqp2/1p2ppnp/2p5/2PP4/P1Q1P3/1P1N1PPP/2KR1B1R w kq -,d4d5
b1r2rk1/2q1bppp/pn1p1n2/Np2pP2/4P3/P1N2B2/1PP1QBPP/3RR1K1 b - -,f8d8
r1bqkbnr/pppp1p1p/2n3p1/1B2p3/4P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq -,g8e7:a7a6:d7d6
B5k1/2q3pn/5p2/4p2p/p1b3nP/Q5P1/PP1rPP2/2R2RK1 b - -,c7f7
r1bqkb1r/3n1ppp/p3pn2/1pp5/2NP4/3BPN2/PPQ2PPP/R1B2RK1 w kq b6,c4e5
r1bq1rk1/pp1nb1pp/2pp1n2/3P1p2/2P1p3/2N3PN/PP2PPBP/R1BQ1RK1 b - -,d7e5
1rbr2k1/p1pn1ppp/1pB1pq2/4N3/3P4/8/PPPQ1PPP/2KR3R b - -,f6e7
8/1p3r1k/p3brp1/2p3p1/4B3/1PP3P1/P2R3P/3R2K1 b - -,c5c4
N1br2k1/pp3p1p/3B2p1/2n1q3/2B5/1P6/P2Q1PPP/5RK1 w - -,d6e5
2kr1r2/1b1n4/7R/p1p3p1/P2pn3/3N4/1PP1B1PP/2KR3N b - -,f8f6
4r1k1/3nq1pp/p4p2/1bp5/P3P3/2Q2PP1/1B4BP/2R3K1 b - a3,b5c6
8/3q1k2/p4pp1/2pP3p/2P1Q2P/5K2/P5P1/8 w - -,g2g4
r2qk2r/5pp1/p1n1pn2/1p1p3p/1P1P1b1P/P1NQ1P2/2P1N1P1/R3K2R w KQkq -,e2f4
rn1qkb1r/pp3p2/2p1pp1p/3p1b2/2P5/1PN1PN2/P2PBPPP/R2QK2R b KQkq -,f8a3
r5k1/1q1npp2/pP1r1bpp/3p1b2/N2P4/1Q3N1P/PP2BPP1/2RR2K1 b - -,d7b6
rn1qkb1r/pp3ppp/4b3/2pn4/5p2/1BN2N2/PPPP2PP/R1BQ1RK1 b kq -,b8c6
r3k3/pp3r1p/2p1b1p1/q1bNp3/2P1P3/4B3/PP2QPPP/2RR2K1 b - -,c5e3
6k1/p3p1bp/1p6/1N2np1n/N1P5/B4bP1/PP5P/R4K2 b - -,e5g4
8/5k2/1p3r1p/3R1Nb1/4K1P1/8/8/8 w - -,d5d7
8/p3r2p/1p4pk/1P1BR3/1b2PPK1/7P/8/8 w - -,e5e7
r1q1k3/ppp1bpp1/1n4p1/2pPp1P1/2P4r/1P5P/P1Q1PPB1/R1B1K1R1 b Qq -,c8f5
r6r/1p2kp2/3bp1p1/np5p/2pPN3/P1P3P1/1PR1BPP1/4K2R b K -,f7f5
1k1r3r/pppbqppp/4pn2/4Q3/3R2P1/1PP5/PBP3BP/2K4R b - -,d7c8
1r1r2k1/4ppbp/2n1b1p1/p1B1P3/1p1P4/1P3N2/P3BPPP/3R1RK1 b - -,e6d5
rnbq1rk1/pp3pbp/2p1pnp1/3pN3/2PP1P2/1QN1P3/PP4PP/R1B1KB1R b KQ f3,b8d7
2kr3r/ppb5/1qp3p1/5b2/3PNN1p/2P2Q2/PP4PP/1R3R1K w - -,f4g6
r2n1rk1/p3ppb1/q5p1/1pp1P1Nn/4Q3/2P2N1P/PP3P1B/2KR2R1 w - -,c1b1
r1bq1rk1/pp1n3p/2pp2pn/5p2/2PPp3/1QN1PN2/PP2BPPP/R3K2R w KQ -,f3d2
7r/1Qq2k2/4p1pp/3pP3/1R1P1P2/8/6PP/6K1 b - -,h8c8
8/p1p5/1ppr2p1/5k1p/5PP1/P1KN1B1P/1PP5/8 b - -,h5g4
6k1/5p1p/B1pr4/1p4p1/8/PP4P1/3p3P/3R2K1 w - -,g1f2
2rk4/pp2p3/3pbb2/3q3R/6P1/2PBQP2/1P1K4/3R4 b - -,d5b3
4r1k1/1p5p/p2b4/3P1pp1/1P2r3/P5PP/1B1R1PK1/2R5 b - -,g8f7
8/1R3pkp/4P1p1/6P1/5r2/8/1p6/1K6 b - -,f4f2
Q1b2bk1/2N2p1p/1p2p1p1/p3n3/3p4/8/Pq3PPP/R3R1K1 w - -,a8c8
rn1qk1nr/4ppbp/p2p2p1/2pP4/Pp2P3/5B2/1PP1QPPP/RNB2RK1 w kq -,b1d2
2r1q1k1/pp3pbp/1n2p1p1/2NnN3/3P4/1Q4BP/PP3PP1/2R3K1 b - -,g7e5
r4rk1/1b2bppp/pp1qp3/2p1n2Q/P2pPN2/3P2PB/1PP4P/R1B2RK1 w - -,f4g2
1krr4/pp2qp2/3bp1p1/7p/3PQ3/3R1BP1/PP3P1P/4R1K1 b - -,c8c7
1k2r1r1/1p3Rpp/p1n1p3/3pP3/nqpP2BP/2N1B3/P1PQ2PK/8 w - -,c3a4
8/4r1k1/7p/3R1K2/5P2/8/7P/8 w - -,h2h4
r7/6k1/3pr1p1/2pR3p/P1P1pP1P/P3K1P1/3N4/8 w - -,f4f5
r4rk1/p1q1bpp1/1pn1p1p1/1Qp5/3PPPP1/2PB3P/P2BK3/1R4R1 w - -,d4d5
r2b1rk1/1p1q1pp1/p3p2p/2RpP2P/3P4/3QPN2/PP4P1/5RK1 b - -,a8c8
5k2/3b1B1p/2pr2p1/pp3pP1/P4N1P/1PK5/2P2P2/4R3 b - -,f8f7
3qr3/6kp/4r1p1/pQp1Pp2/1p6/1P6/P3R1PP/4R1K1 b - -,d8d4
rnbqk2r/p1p1npb1/1p1pp1pp/8/2PPP3/2NBBN2/PP1Q1PPP/R3K2R b KQkq -,c8b7
1r2k2r/3b1p2/5R2/3pP3/p2P3p/4B1P1/R1Q3KP/4q3 w k -,e5e6
r1bq1rk1/bp2npp1/p2p1n1p/4p3/1PP1P3/P1NB4/2N2PPP/1RBQ1RK1 w - -,c1e3
2r2r1k/1p3pp1/4b2p/p1qNp3/P2bP3/1B3P2/1P1Q2PP/3R1R1K b - a3,c5a7
8/8/r3KP1k/8/8/8/3R4/8 w - -,d2d6
2r2rk1/2q1np1p/p3pnp1/2NbN3/3P4/P2B4/3Q1PPP/3RR1K1 b - -,c7d6
r3r1k1/pQ3ppp/1q6/2b5/2Pp4/P2R2B1/5PPP/5RK1 w - -,b7d7
8/3b1k2/3P4/r7/3K4/p6p/7B/R7 b - -,a5g5
1r1q1r1k/2pb1Nbp/pp4p1/3Qp2n/1PP2p2/P1N3P1/3PPP1P/1RB2RK1 b - -,f8f7
r1bqkb1r/1p3ppp/1nn1p3/p2pP3/3P4/3B1N2/PP3PPP/RNBQ1RK1 b kq -,c8d7
r4rk1/pb2bppp/1qnBpn2/2p5/Q1P5/2N2NP1/PP1RPPBP/R5K1 b - -,e7d6
8/7R/3pk3/1r1p4/8/2K5/8/8 b - -,b5a5
8/1p2n3/2p1k3/1p5p/1P1K3P/2P5/5B2/8 b - -,e7d5
4k2r/2qn1ppp/p3b3/1p1pp1P1/n3P3/bNP1QP2/P1PB3P/1K1R1B1R w k -,e4d5
r1br2k1/1p2q1bp/4ppp1/8/1p1BP3/2Q3P1/PP3PBP/R4RK1 w - -,c3e3
r1bq2k1/5r1p/2nbp1p1/3p4/1ppP4/2P1B3/1P1QNPPP/1B1R1RK1 b - -,a8b8
3q1r1k/7p/3p4/p2N1bPQ/2n1p2R/2P5/8/1r1NK2R w - -,g5g6
8/B1p2kpp/2p5/5p2/r7/2P3P1/2P1bP1P/4R1K1 b - -,e2f3
4r1k1/1pp3pp/pnn5/2b5/4B2N/PP1P2P1/1B5P/5RK1 w - -,g1g2
8/8/4pq2/pQ1p4/8/P2k4/8/1K6 b - -,d3e4
2r1nrk1/1b3ppp/p2p4/1p3NP1/4Pp1P/3B4/PPP5/2KR3R b - -,c8c7
8/3R3p/1p4pk/p1b2p2/P3p3/4P2P/5PP1/6K1 w - -,d7f7
4r1k1/pp3ppp/2nq4/8/2Q5/1N4P1/PPP2P1P/5K1R b - -,d6d7
r2q1rk1/2pn1ppp/3pp3/1pPn4/pP1Pb3/P1B2NP1/1Q2PPBP/R3R1K1 b - -,f7f5
1q2r1k1/1rRQ1pb1/4p1pp/8/3P3P/4B3/5PP1/2R3K1 b - -,b7c7
r2qr1k1/pp2npbp/2n3p1/3p4/3N2b1/4BNP1/PP2PPBP/R2QR1K1 w - -,h2h3
1n1rk3/pB4rp/1p2P3/8/3P1Q2/2P3R1/P4P1q/R3K3 w Q -,f4f6
rn2r1k1/p3q1bp/2PRbnp1/4p1B1/4P3/2P1QPN1/2P3P1/2KR4 w - -,e3c5
3b4/7p/1Bn1kp2/3Np1pP/2K1P1P1/2P5/5P2/8 w - -,c4b5
8/pp2k3/2p5/7P/1P3R2/6K1/6P1/4r3 w - -,g3h4
r1b2rk1/p2n2p1/1p4qp/2pP1p2/P1P1p1P1/4Q3/1BP1B2P/1R3R1K b - -,f5g4
4r3/4P1k1/pp1B4/4N1p1/r3q1p1/1N1R2K1/P4P2/3R4 w - -,d3d4
1rbqr1k1/2p2pp1/pbn2n1p/1p2p3/PP2P3/2P2N1P/2BN1PP1/R1BQR1K1 b - -,f6h5
3k4/3q4/2p5/1p3pP1/1P1P1Q2/2P4P/8/6K1 w - -,f4e5
3n4/ppkbn3/4prr1/3p1pN1/1PpP1P2/P1P3PB/3BR1K1/4R3 w - -,g5f3
5bk1/1p3p2/4q1p1/p1p1p1P1/P1P1P3/1P2QN2/5P2/2K5 b - -,f8e7
b2rrbk1/6pp/8/N1p1np2/2Pnp2P/4B1P1/1P1N1PB1/R2R1K2 b - -,g7g6
8/2Q5/8/p7/1p6/8/2k2qPK/8 b - -,c2b1
8/5ppk/7p/3p1p2/3PbP2/4Q1P1/1q1r1B1P/4R1K1 b - -,d2c2
3qr2Q/2p1kp2/1p4p1/1P3n2/1p3R2/1B5P/P5P1/6K1 w - -,h8e5
6k1/5p2/br2q1p1/4Pn2/p2Q2NP/4N3/P4RPK/8 w - -,e3f5
r1b2r1k/5pp1/1nN2n1p/p3p3/Pp2P3/1BN5/1PP2PPP/R1BR2K1 b - -,b4c3
rn1qkb1r/1p3ppp/2p1pn2/p7/P1BP2b1/1QN1PN2/1P3PPP/R1B1K2R b KQkq -,f8b4
8/2r1k3/pp2bp1p/8/1P1R2PP/Pn1BP1K1/4N3/8 w - -,d4e4
2r3k1/p4p1p/qp2pQp1/4P3/4p3/1P4PP/P4P2/3R2K1 b - -,c8f8
r2qk2r/1b1nbppp/pp1ppn2/8/2PQ4/1PN2NP1/P3PPBP/R1BR2K1 w kq -,c1b2:e2e4
r1b1k2r/pp1pbppp/4pn2/q7/2P1n3/2N1BNP1/PP2PPBP/R2QK2R w KQkq -,e3d4
2brr1k1/4q2p/1p1p2p1/p1nPpP1n/2P5/2N1Q1PP/1P1N1PBK/2R1R3 b - -,g6f5
r3k1nr/pp2p1b1/2n5/4ppN1/3P4/6Pq/PP5P/R1BQRNK1 b kq -,h3g4
8/1R4pk/1p1r3p/p7/8/1P4P1/P4P1K/8 w - -,h2g2
r4r2/p2b1pbk/2p2ppp/qp1n1P2/1P6/P1NP2N1/B1PQ2PP/R4R1K b - b3,a5c7
r7/2Rk4/4p3/4B3/1PK5/8/8/8 b - -,d7d8
r2q1rk1/pp2ppbp/2n1b3/3n2B1/3PP3/6P1/PP2NPBP/R2Q1RK1 b - -,d8a5
r1bqk2r/ppppbppp/2n5/4P1B1/2P3n1/5N2/PP2PPPP/RN1QKB1R w KQkq -,g5e7
5k2/5p2/4b1p1/pr1Np2p/3pP2P/2bP2P1/R4PB1/5K2 w - -,g2f3
8/5k2/p2n4/P6P/5K2/2B5/8/8 b - -,f7g8
r4rk1/pp2b1pp/4p3/n2b1p2/3P1B2/2P2pN1/PP1N2PP/R3R1K1 w - -,d2f3
2n5/pb5p/5kp1/3p1p2/3N1P2/4K1P1/P3P1BP/8 b - -,f6e7
r4rk1/p2nbppp/1p2pn2/1Pp5/2P1Nq2/P4N1P/1BQ1BPP1/R3K2R b KQ -,f4e4
1rbq1rk1/2p1bppp/p1np1n2/P3p3/1p2P3/1BP2N2/1P1PQPPP/RNB2RK1 w - -,b3c4
8/PR6/7p/4k1p1/6P1/r6P/3K4/8 b - -,e5f4
r3rqk1/pp3pp1/2pb1n1p/8/2PR2b1/1N2B1P1/PPQ2PBP/R5K1 b - -,f8e7
8/1p4k1/2p2p2/4pPP1/1b2b2P/1P3B1K/1r6/5R2 w - -,f3e4
2bkN3/8/4p2R/2KpP3/2pP4/8/2P5/r7 w - -,h6h8
2r2rk1/pp1bb1pp/1qn1pn2/3p4/1P1P1B2/P2B1N2/4NPPP/2RQ1RK1 b - -,a7a6
r1b2rk1/p4p1p/2p2np1/2b1q3/4P3/2N2P2/PP2N1PP/R1BQK2R b KQ -,c8a6
r3rnk1/1ppbqppp/2np4/p7/2P1PP1P/P2B1NP1/1PQB1K2/4R2R b - -,d7g4
8/2k1r1p1/1p4Rp/p6P/5K2/8/1P5P/8 b - -,a5a4
1r3bk1/p4p1p/nq2p1p1/n2pP3/Pr1P4/2Q1BN1P/B4PP1/1RR3K1 w - -,e3d2
r3k2r/2pqbpp1/p1n1n1p1/1p1pP3/3B4/1NP1QN2/PP3PPP/R3R1K1 w kq -,a1d1
rn2kb1r/pp2pppp/2p2n2/q3Nb2/2BP4/2N5/PPP2PPP/R1BQK2R b KQkq -,e7e6
1r6/1p2k1b1/p5b1/3B1p2/2PppP2/1P3P1R/P2K4/8 b - -,e4e3
3r2k1/1pq2p1p/4p1p1/p4nR1/2P4P/PP4P1/2Q2PB1/5K2 b - h3,h7h5
1rr2bk1/7p/6p1/3b1p2/p3p2P/P5P1/1BPR1P2/2KR4 w - -,d2d5
r2r1bk1/pp3p2/2p2pp1/4n3/4R3/1B2B3/PPP2PPP/R5K1 w - -,a1e1
8/4Rp2/3n2p1/pp5p/1k5P/5P2/P1K5/8 w - -,e7d7
8/8/3P2k1/1K2p3/3n4/P1N1p3/1P6/8 w - -,b5c5
1r1q3k/4n1b1/pp1pbrpp/2p2p2/P3PP2/1QPP1N2/1P1B2BP/4RRK1 w - -,b3c2
r3r1k1/pp1q1p2/3p2p1/4n1b1/2p1P1P1/8/PPP1BP2/R1NQR1K1 w - -,b2b3
4rbk1/pp3qp1/1np1p1p1/6P1/3P1B2/2PB3Q/P1PK1P2/R7 w - -,f4g3
8/3r1p1p/2p1rb2/ppP2kp1/3P1p2/1P3P2/P2RRBPP/4K3 w - -,e1d1
1n6/1k3p2/p6p/1p1r1Pp1/2p5/6P1/PP5P/4RR1K w - -,e1e7
r1bq1rk1/ppp2ppp/1b3n2/8/2NP4/3n1N1P/PP3PP1/R1BQ1RK1 w - -,d1d3
r3r1k1/3b2pp/q7/3Pp3/1Bp2p2/P1Q5/1PP3PP/1K1RR3 b - -,e5e4
8/6k1/2B5/p4ppp/6n1/5K2/P1R5/8 w - -,c2c5
r3r1k1/p1p2p1p/1p1p2p1/8/2PRq3/1PQ1P1P1/P4P1P/5RK1 b - -,e4e5
8/6B1/2b5/2P4p/6pP/p2k2P1/5K2/8 b - -,a3a2
3r3k/p7/2p3PP/Pp6/8/1B6/1P3K2/8 b - -,c6c5
r3k3/pppn1p2/4bB2/4P2r/5p2/2P5/P1P3PP/2KR1B1R w - -,d1d7
r1bq1rk1/pp1n1ppp/3p4/P1pPp2n/4P1Pb/N3BP2/1PPQN2P/R2K1B1R b - -,h5f6
r1bq1rk1/1p2b1p1/p1pnpp1p/8/P2P4/2N1PNP1/BP3PP1/2RQ1RK1 w - -,d1d3
2kr3R/pp1b1p2/1qn1p3/3pP1p1/1P1P4/P2BB3/5PP1/R2Q1K2 b - -,d8h8
4r2k/pp2q1p1/7p/n2Q4/7P/2P3P1/P4PB1/5RK1 b - -,a5c6
7r/3bb1k1/p1p1p1p1/PpPp4/1P1PpP2/4K3/2BN2PR/8 w - -,h2h8
8/2k3p1/3p2B1/2pPb3/p5P1/1P1K4/2P5/8 w - -,b3a4
rn1qkb1r/pppb1ppp/5n2/1B1pP3/3Q4/8/PPP2PPP/RNB1K1NR b KQkq -,d7b5
8/8/4k3/8/5p2/5K2/8/8 b - -,e6f5
4r2k/6p1/2Rp4/p1b2P2/2R1p1P1/8/P4P2/6K1 w - -,g1g2
1rb1r1k1/1p3ppp/3R4/p3p3/2P5/1P3B2/P4PPP/2K1R3 b - -,f7f6
r1r2k2/5ppp/4p3/ppn5/3R4/2P4P/PPB2PP1/1K5R w - -,h1d1
