8/2k4p/8/1pK5/2p5/1r5P/R5P1/8 b - -,c7b7
2b1kb1r/3p1ppp/2p1p3/4P3/2P1NP2/1P1QB3/5KPP/r7 w kq -,e4d6
2kr1b1r/3n1p2/1q2p2p/1ppbP1p1/2pPN3/6B1/1P1QBPPP/R4RK1 w - -,e4c3
1r1q1rk1/3b1pbp/p2p1np1/nppPp2P/2P1P1P1/2N1BP2/PP1Q4/R1N1KB1R w KQ -,a1b1
8/1r6/pPk1p3/2Pp1p2/1K3P1p/N3P1pP/P3b1P1/1R6 w - -,b1c1
r1b2rk1/pp2qppp/n1pp1n2/8/2PN4/2N3P1/PP1QPPBP/R3R1K1 b - -,a6c5
r1b1kb1r/2qn1ppp/p2ppn2/1p6/3NPP2/2NB4/PPP1Q1PP/R1B2R1K b kq -,c8b7
r3k2r/1bqnbppp/p2pp3/n5P1/Pp2PP2/1N1BB3/1PP1NQ1P/R3K2R w KQkq -,b3a5
1r2r1k1/pp1R1ppp/4p3/4b3/8/2N5/PPP2PPP/2K4R w - -,g2g3
r3r1k1/1p3bpp/3b1p2/1q1p1P2/1PpP1N2/2Q1PBP1/7P/R4R1K w - -,a1a8
6k1/2p2ppp/2n5/3Pp3/1p1q1P2/3P2PP/2P3B1/rR2QK2 b - -,a1b1
rn3rk1/pBp1b1pp/1p2p3/4P1p1/3q4/6P1/PPQB1P1P/R4RK1 w - -,d2c3
1r6/6p1/3p3k/1B3P1p/1PPKP1n1/4R3/8/8 w - -,e3b3
rn2k2r/pb2qppp/1pp1p3/3N4/Q2P4/P4N2/1P2PPPP/R3KB1R b KQkq -,e6d5
8/rp3rk1/5n1p/q2P1p2/6p1/pR2QBP1/P3PP1P/3R2K1 w - -,f3g2
R7/3r2p1/2k4p/p7/8/7P/5PP1/6K1 b - -,c6b6
r1bq1rk1/pppn1pb1/5npp/3Np3/2P1P3/4BN1P/PP2BPP1/R2Q1RK1 w - -,d1c2
1k6/1p1bqp2/p3p1n1/3pPpNr/2rP4/2N4P/PPP3Q1/K2R2R1 b - -,g6h4
r3r1k1/5ppp/p1p1b3/1p3q2/1P3B2/1P4Q1/1P3PPP/R3R1K1 b - -,e6d5
r4rk1/p4ppp/b1p1p3/2qn4/8/1QP3P1/P2BPPBP/R2R2K1 w - -,g2f3
r4rk1/1bq1ppbp/p2n2p1/1p1Pp3/PRB1P3/2N1B2P/2P1QPP1/4R1K1 w - -,a4b5
r2qnrk1/pbpp2pp/np6/3PppB1/2P5/P1P3PN/2Q1PPBP/R4RK1 b - -,d8c8
8/2nr2bk/p5np/Bpp1p2q/4P1N1/1P2N1P1/P4PQ1/4R1K1 w - -,a5c7
1r5k/7p/4p3/R7/P2pr3/1P4R1/3K2P1/8 b - -,e6e5
4r1k1/ppR3pp/8/1r2p2n/4P3/2B1K3/1P5P/3R4 b - -,h5f6
r1b2r1k/5ppp/p2q1N2/1p2n3/5N2/P2BP2P/1P2QPP1/3RK2R b K -,d6f6
8/6p1/8/3B3P/1N6/p1P1p3/5k1r/3K4 w - -,d5c4
3r1rk1/pp3ppp/2p1b3/q1b1p3/2P3P1/4B3/PPP1QPBP/1K1R3R w - -,g2e4
r2qk2r/ppp1nppp/2nb4/3p1b2/3P4/2PB1N1P/PP3PP1/RNBQK2R w KQkq -,d3f5:d1c2
r5k1/1q1b1ppp/5n2/1Pbp4/1p6/1Q2P3/3N1PPP/R1B2NK1 w - -,a1a8
r2qknnr/1b3pb1/p3p1pp/3pPPN1/2pP2P1/4B2R/1PPNB2P/3QK2R w Kkq -,g5f3
2r3k1/1p2qpp1/p3p2p/P1rpPb1P/R2Q4/2P1R3/1P3PP1/5BK1 w - -,b2b4
k1r1r3/ppq2pp1/3bpn1p/2p1N2P/2PP1P2/2B3P1/PP2Q3/1K1R3R w - -,h1e1
3r1bk1/ppp3r1/7p/1P1b3q/PB1PpP2/4Q3/5PBP/1R3RK1 b - -,h5f3
6k1/5p1p/p1n1p1p1/1p1p4/3P4/bP2P1P1/P2BKP1P/1B6 b - -,g8f8
r1b1k2r/3nbppp/p3p3/2PpP3/1n3P2/4BN2/1PPKN1PP/R4B1R b kq -,d7c5
2rr2k1/1bq2pbp/pp1ppnp1/2n5/2PNP3/1PN2P2/PB3QPP/1B1R1R1K b - -,d6d5
8/1k6/p1p5/4b1p1/4pn2/PK6/1P2BB2/8 w - -,e2g4
rnbqkb1r/pp2pp1p/6p1/2pp2P1/3P4/2P1P3/PP1N1PP1/R2QKBNR b KQkq -,d8b6
r1bq1rk1/1pp1n1bp/6p1/2BPpp2/P3P3/2N5/4BPPP/R2Q1RK1 b - -,b7b6
r2n1r1k/3p1qpp/3p4/3N4/5P2/pPP5/P1Q4P/2KR1R2 w - -,f4f5
1r4k1/p4ppb/4pb1p/Q7/2pN2P1/2B2P1N/P1P4q/2KR4 w - -,d4f5
r2qk2r/pb1nbppp/1pp1pn2/3p4/2PP4/5NP1/PPQNPPBP/R1B2RK1 w kq -,e2e4
rnb2rk1/1pp1qpp1/3p1n2/p2Pp2p/2P1P3/5NP1/PPQN1PBP/R4RK1 b - -,b8a6
8/7p/1R3pp1/1pPpn1k1/rP6/6P1/2P3P1/5K2 w - -,b6b5
r1bq1rk1/pp1nbppp/4pn2/2ppN3/3P4/2P1P1P1/PP3PBP/RNBQ1RK1 b - -,a8b8
6k1/5p1p/pq1np1p1/2Np4/1p1P4/1PQ1PP2/P4KPP/8 w - -,c3c2
8/8/p1b1k3/PpPp1p1p/1Pn2Pp1/1B4P1/4K2P/4B3 w - -,e2d3
8/pp5k/8/2ppr3/R5P1/8/PPP2K1P/8 b - -,a7a6
3r1r2/pp3pkp/6b1/4bpP1/2B1p3/1P2P3/P4PP1/1RB2RK1 w - -,c1a3
2q5/5r2/R3p1k1/1p1rPppp/1PpP4/2P5/2Q3PP/R5K1 w - -,a6a8
2rn1r1k/p1q1b1p1/4b2p/Np2Pp1P/1P1p1P2/P2B4/1Q1NPP2/R3K1R1 w Q -,d2f3
8/7p/1p2p3/pP1p3k/1b1PpP2/1P2P1K1/5B1P/8 w - -,g3h3
rn1qr1k1/4bp1p/2p1p1pB/p3P3/P2PR2P/2pQ1N2/5PP1/R5K1 b - -,b8a6
2brr2k/5ppp/7q/p1b4N/2P1B1P1/3P3P/PPQ1R3/5R1K b - -,f7f5
4r1k1/1p5p/2p1b1p1/2P1n2n/1P2N3/2N4P/2r3B1/3R1RK1 w - -,e4d6
r1bq1rk1/1ppn1pp1/5n1p/p2p4/1b1P3B/2NBP3/PP3PPP/2RQK1NR w K -,g1e2
4r3/4bpkp/1r4p1/4p3/pNB1Pn2/P1P5/1P1R3P/K2R4 w - -,d2d7
r1b1rbk1/2q2pp1/p1p2n1p/1p2n3/8/PBN1P2P/1PQBNPP1/R2R2K1 b - -,c8b7
6k1/1N3pp1/p6p/3r1q2/1P1n1bQ1/P1R4P/5PR1/7K b - -,f5f6
5r2/b1r3k1/p3p3/8/bP2B3/P1p2NP1/5PK1/2R1R3 w - -,e1h1
6k1/p1p1rppp/1p4b1/3P1n1P/2PB2Q1/2P2N2/q4PP1/5RK1 w - -,h5g6
2rqr1k1/1p1n1pbp/p2p1np1/3P4/P1p1PP2/2N1BB1P/1PQ3P1/R4RK1 w - -,c2f2
r3k3/5qp1/pp2pn1r/2b1p3/2P5/1PN1P1P1/PB2Q3/3R1RK1 b q -,f7b7
8/6k1/2R5/6P1/r4PK1/8/8/8 w - -,c6d6
2kr4/pp4pp/2n2b2/4pp2/8/P1PbBPP1/1P1N3P/3BK2R w K -,d1e2:d2b3
6k1/3nbppp/p2p4/4pb2/8/P3BP2/1rN3PP/2R2RK1 w - -,c2b4
8/5pk1/1R6/7r/7P/8/5PK1/8 w - -,g2g3
r3k2r/pb2bp2/3p4/1Ppp1B2/8/4pN2/PP3PPn/1N1RK1R1 w kq -,f2e3
r7/1pk1rn1p/1np2pp1/p3p3/P3P1P1/1PN2P2/2PRN2P/2KR4 w - -,h2h4
r3r1k1/b1qb1pp1/p2p1nnp/1p1Pp3/P1p1P3/2P1BNNP/1PBQ1PP1/R3R1K1 w - -,e3h6
7r/5R1P/p1p5/6B1/3P3P/1Pk5/P3r3/3K4 b - -,e2e6
3r1r1k/pp1n1p1p/2p2n2/5N2/4PQ2/1Pq3P1/P2R1PBP/3R2K1 b - -,c3a5
r3rk2/p2p2p1/1pqP1p1p/4nP2/2p2B2/2P1P3/P5PP/R2Q1RK1 w - -,d1h5
r3r1k1/2p2pp1/p1n1bq1p/1pb1p3/4P3/1BP1BN2/PP2QPPP/R4RK1 b - -,c5e3
6k1/6p1/p1p1r2p/5p2/1P1BpPb1/P1P3K1/q5P1/2Q3R1 w - -,g1f1
r1b2rk1/ppp3pp/3b4/3pn3/7q/2P4P/PPBNQPP1/R1B2RK1 b - -,c8h3
1n1r1r2/p1n3k1/1p1Rp2p/2p1P1p1/2P1R1N1/1P4B1/P4P2/6K1 b - -,b6b5
6rk/7p/p2qp3/5p1n/1Q6/P5P1/3p2B1/3R3K b - -,h5g3
3rr1k1/ppp3p1/2n2p1p/3bp2P/6P1/1PB1PP2/P1P1B3/2K2RR1 w - -,f1f2
rnb1k2r/pp1pppbp/5np1/2q5/1P6/P3PN2/2PN1PPP/R1BQKB1R b KQkq b3,c5c7
r4rk1/pp2qpp1/1b5p/4p3/3nN1b1/3P2PP/PP2PPB1/R1BQR1K1 b - -,g4e6
Rn1q1rk1/1b2bppp/3p1n2/1p2p3/4P3/1NN3P1/1PP2PBP/2BQ1RK1 b - -,b7a8
8/2P1bk2/4b3/4Bp1Q/7p/5P1P/2r5/7K b - -,f7f8
3q4/3r1p1k/R1p3pP/4p1b1/1p2P1N1/7Q/5PP1/6K1 w - -,g2g3
rnq2rk1/pp2bppp/2p1pn2/3p1b2/2PP1B2/1QN1PN1P/PP2BPP1/R3K2R b KQ -,f6e4
6k1/pp2pp2/2r3pQ/4pb2/7P/1P3P2/P1P1q3/K1R4R b - -,c6c2
8/5kpp/5p2/1p6/7P/1K2RPP1/3r4/8 b - -,f6f5
3r1nk1/p3Rpp1/1p5p/5p2/2P4P/2B5/PP3PP1/6K1 b - -,f8d7
8/6p1/B2k4/6r1/7p/1P2P2P/5K2/8 b - -,g5f5
8/p3p2p/2p3p1/2k1Pp2/5P1P/PP2K1P1/8/1N3b2 b - h3,h7h5
r2qk2r/1b1n1p1p/p2p2pB/3Pp3/1p6/5QP1/PPP2PBP/R4RK1 b kq -,f7f5
r1b2rk1/1p3ppp/1p1P4/6q1/4p3/5B2/PP3PPP/R2QK2R w KQ -,f3e4
6r1/pp1kp3/2pp1n2/5bB1/1qPP1Q2/1P3P2/P2R1PB1/5K2 b - -,f5e6
3rr1k1/pb3ppp/1p1q4/2np4/3N4/4P1P1/PP2RPBP/2RQ2K1 b - -,b7a6
1r3rk1/1p1b2p1/1B1p2Pp/3Pp1b1/Ppq2P2/3N3P/2PRN1P1/5QK1 w - -,d3b2
4R3/4r3/5k2/5p2/4p1p1/6P1/5PK1/8 w - -,e8d8
8/8/8/8/4k1p1/2P5/3K4/8 w - -,d2e2
rnbqk2r/pp3ppp/5n2/2pp4/1b1P4/2N2N2/PPQ1PPPP/R1B1KB1R w KQkq c6,c1g5
r1b1k2r/1p2pp1p/pB1q2pb/3Pp3/2P5/1Q6/P3BPPP/R4RK1 w kq -,b3a4
1k1r4/p1p2p2/1qp1bN2/4QP2/2pP4/2P5/PP6/2K4R b - -,e6d5
r1bqk2r/pp1p1ppp/4p3/8/1bn5/P1N5/1P1BQPPP/R3K2R w KQkq -,e2c4
8/4k3/p2p4/PnNPbp2/8/4Rp2/5P2/5K2 b - -,b5c7
8/5k1p/p5p1/5p2/PP3R1P/1r6/5K2/8 w - -,f4c4
6k1/5pp1/p1q2np1/4P1B1/1p1b1P2/1B5P/1r4PK/1Q4R1 w - -,b1b2
6k1/5pp1/7p/2pr4/p2q4/1P1PpPP1/P3Q2P/2R2K2 b - -,a4b3
r2q1rk1/4ppbp/p1np1np1/1p6/3PPP2/2N1B3/PPB2P1P/R2Q1RK1 b - -,d8d7
2rq1r2/pp2n1bk/6pp/P1Q1pp2/2N5/2PP2P1/1P1B2KP/R3R3 w - -,c5f2
r1bqkb1r/ppp2ppp/3p1n2/4n3/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f3e5
7r/8/4n3/4kb2/PR1p2R1/5PKP/P5P1/8 w - -,b4b5
5rk1/pp2n1bp/3p2p1/3Pp3/Pq2r3/1P2B1PN/4R1KP/R2Q4 w - -,h3g5
4rr1k/pp1b1qp1/2pb2np/5p2/3N1P2/3BP1N1/PPQ3PP/4RRK1 b - -,g6h4
8/5pp1/8/R5Pb/4B2k/p3K3/r7/8 b - -,a2e2
r2q1rk1/2pb1pbn/1p1p2p1/p1nPp2p/2P1P3/1PN1B2P/P1QNBPP1/R4RK1 w - -,c2d1
r2qr1k1/pQb3pp/2p2p2/2Pb4/3P3B/2P2N2/P4PPP/R4RK1 b - -,e8e7
4r1k1/2p1q1pp/3p4/p2P1r2/PnP1NpR1/5Q1P/1P3PP1/R5K1 w - -,f3c3
r4rk1/1bq1b2p/p3B1p1/1p1p2Pn/4P3/4BP2/PPPQ3P/1K1R3R b - -,f8f7
r4rk1/1p1nbppp/1qp1pn2/p2p4/2P5/1PNP1bPP/P1Q1PPB1/R1B2RK1 w - -,g2f3
1r3k1r/3b1p2/2pq1npp/4p3/2BpP3/bP3QNP/P1PB1PP1/3RR1K1 w - -,d2c1
8/8/3k2N1/6K1/7P/5b2/8/8 w - -,g5f6
5r1k/2bP1B1p/6p1/2pQ4/8/2P1q3/6PP/R6K w - -,f7e8
2r5/8/p2R4/6P1/3p2Kp/1P2k2P/P1P5/8 w - -,d6a6
1q4k1/6p1/4p1Np/3r1p1P/3P4/4PQP1/5PK1/8 b - -,b8e8
8/5p1k/4p1p1/2p4p/2Qb3P/pP6/2R5/1K5q w - -,c2c1
8/8/5kp1/7p/5K2/5PP1/6P1/8 w - -,g3g4
1r2r1k1/3p1ppp/bp1p1q2/2nP4/p3PP2/P1R3P1/1P4BP/1N1QR1K1 b - f3,e8e7
B4k1r/3p2p1/5p2/7p/1pbN4/1P2R3/5PPP/6K1 b - -,c4f7
8/3r4/5k1p/Nb4p1/1P6/5P2/6P1/1R4K1 w - -,a5b3
rnb1k2r/ppp1qpb1/3p1n1p/4p1p1/2P5/1P1PPN2/PB1NBPPP/R2QK2R b KQkq c3,b8a6
2br4/6k1/1p5p/6p1/PpP1Qp2/7P/2R2bP1/1q2N2K w - -,e4e7
r2qrbk1/1b1n1ppp/pp1p1n2/2pP1N2/P7/2N3P1/1P2PPBP/R1BQR1K1 w - -,e2e4
5k2/8/1R6/8/6Kp/3N2P1/7r/8 b - -,h4g3
rn1qk1nr/pp2ppbp/2p3p1/3p4/2P3b1/5NP1/PP1PPPBP/RNBQ1RK1 w kq -,c4d5
q1r3k1/p4ppn/5b1p/1p6/4p1P1/1PBQPN1R/P4P1P/6K1 w - -,d3b5
8/1p3k2/1p1p2pp/2p5/1PP2PB1/P1BPn1RP/4Rq2/7K b - -,f2g3
bq1r2k1/3nbppp/pprpp3/1P2n3/N1P1P3/1N2BP2/P4QPP/2RR1B1K b - -,a6b5
rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4PN2/PP3PPP/RNBQ1RK1 b kq -,c5d4:b8c6:f8e7:a7a6
1r4k1/5pp1/4q1b1/1p2p3/pP4r1/P7/1BP3BQ/R1R3K1 w - -,c1e1
8/pp3rk1/3RR1p1/5pPp/3P4/5P2/Pr4P1/6K1 w - -,e6g6
r2qk2r/pp1nbppp/1npp4/5PP1/8/2N1B3/PPPQ1P1P/2KR1B1R w kq -,h1g1
1r1qbrk1/pp2bp1p/2n1p1p1/3pP3/3P1N2/1Q1BP3/PP1B1RPP/5RK1 b - -,b7b5
7k/1ppb2p1/8/p2p2N1/5PP1/Pr5P/1P2P3/1R2K3 b - -,c7c5
3r4/2k2pp1/B1n1p3/4P3/P7/3P4/1P1B2KP/R7 b - -,c7b6
7R/7P/1p6/1k1K4/2p5/7r/8/8 b - -,c4c3
r1b2rk1/1pqnppbp/p2p1np1/2pP4/P3P3/2N2N1P/1PP1BPP1/R1BQR1K1 b - -,b7b6
2kr3r/pppq1p2/5b2/3pP2p/5P2/2P1n1P1/PP4BP/RN1Q1RK1 w - -,d1d4
r1b1k2r/pp1n1ppp/1qn1p3/3pP3/1b1P1P2/5NP1/PP3K1P/R1BQ1BNR b kq -,f7f6:e8g8:g7g5
r1bqkb1r/pp2pp1p/2p2np1/3p4/NP1P1PPP/2PB1P2/P7/R2QK1NR b KQkq g3,d8d6
5k2/R7/6p1/7p/P6P/1r6/5PK1/8 w - -,f2f3
r4k2/p4p1p/1p1Rb1p1/2p1r3/4P3/1PP3P1/P4RBP/6K1 w - -,f2d2
r3kb1r/pp3ppp/n1p2nb1/q2p4/3P1B2/P1NBP3/1PQ2PPP/1R2K1NR b Kkq -,f6e4
r1b2rk1/2q1bppp/p4n2/1pppNn2/5P2/2NP1B2/PPP2BPP/R3QRK1 b - -,c8b7
2r2rk1/q4ppp/p2bpn2/1pNpN3/1PnP1B2/P2QP2P/5PP1/R1R3K1 w - -,c1c3
4R3/2p3pk/7p/1p2NP2/pP1r2Pn/P6P/5K2/8 b - -,d4d2
2r2rk1/ppq1ppbp/6p1/nQP5/8/2PR2P1/P3PPBP/R1B3K1 w - -,c1e3
8/5k2/7R/6P1/4p2N/5p2/5K2/7r w - -,h6f6
8/8/1p1R2p1/1Pr3P1/P3k1P1/3n2K1/3p1p2/3B4 w - -,g3g2
8/3k1p1p/2p5/4PP2/1b3BK1/1P5P/8/8 b - -,b4e7
4rrk1/p1q4p/1p1bP1p1/3Q1pR1/8/2P5/P2B1PP1/R6K w - -,a1e1
r1bq1rk1/1p1nbppp/p2p1n2/3pp3/2P1P1P1/2N1BP2/PP2N2P/R2QKB1R w KQ -,c4d5
2k5/2P2p1p/6p1/3N4/2n1NPP1/r2p3P/8/5BK1 w - -,e4c3
r1k2b1r/pp1nnppp/2p1p3/4P3/2P1B3/8/PP3PPP/RNBR2K1 w - -,f2f4
r2q1rk1/pbpp2pp/1pn2b2/4p3/1PP1N3/3P2P1/P3NPBP/R2Q1RK1 b - b3,g8h8
r1bqrbk1/1pp2ppp/2n2n2/p2pp3/P3P3/2PP1N2/1PQNBPPP/R1BR2K1 w - -,e4d5
r1bqk2r/4bppp/p1p2n2/2Ppp3/4P3/2NQ1N2/PP3PPP/R1B2RK1 b kq -,d5d4
2rr2k1/4pp1p/6p1/N7/n7/p2B3P/2P2Nn1/3R1K2 b - -,g2e3
3r1k2/p1R2ppp/1p6/8/3P2r1/P2R4/1P3KPP/8 w - -,d4d5
4rrk1/p4pp1/1p1p1qnp/2pP1PB1/2P1p3/2PB2P1/PR2QP1P/4R2K b - -,f6f5
r1bq1rk1/4nppp/3p4/p2Np1b1/1pP1P3/4N1P1/PP3PBP/R2Q1RK1 b - -,c8e6:g5e3
8/4k3/1p2r1pp/1R6/1p6/5KP1/P4P2/8 w - -,b5b4
r3kb1r/1p1n1pp1/2n1p2p/1p1p1b2/2pP1B2/P1P1PN1P/1P1NBPP1/2R2RK1 b kq -,d7b6
r1bq1rk1/4ppbp/1pnp2p1/p1n5/2P1P3/1PN1BP2/P1NQB1PP/3RK2R b K -,c8e6
r3k2r/ppp1nppp/4b3/3qP3/4p3/2B5/PPP1BPPP/R2Q1RK1 b kq -,e8c8
r4rk1/1bq2p2/p4bpp/npppp3/4P3/N1PP3P/PP1N1PP1/R2QRBK1 w - -,d1f3
7r/1p2kpp1/p4n2/P1r1p3/1P2PP2/5BP1/5K2/2R5 w - -,c1c5
r3r1k1/ppq3bp/n1p3p1/4pb2/2P5/1P2RNP1/PB3PBP/R2Q2K1 w - -,d1e2
8/6k1/2p2p2/3b4/3Pp3/2N1P1P1/6p1/6K1 w - -,g1g2
r2qkb1r/pb1p1ppp/1pn1pn2/2p5/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w kq -,d4d5
3qr1k1/1p6/p2p4/P1pPnb2/5p1p/R4P1P/1P1Q1BP1/5B1K b - -,e5g6
r3k2r/1ppqbpp1/p1n3np/8/4NN2/1P1P4/1PP3PP/R1BQ1RK1 b kq -,g6f4
4rr1k/1p3pp1/p3Bn1p/P1q1p3/8/2P4P/1PNRQPP1/R5K1 b - -,e8e6
2rrb1k1/1p3pbp/3pp1p1/p6n/P2PP1P1/1qNQ1N1P/1P3P1B/2RR2K1 b - g3,h5f6
2rr2k1/p2b1ppp/1qn1pb2/1p4N1/1P2Q2P/P1P3P1/1B3PB1/2R2RK1 b - -,h7h6
8/7p/4ppk1/3n4/p2PK1PP/N7/5P2/8 w - -,f2f4
3rr1k1/1pp2pp1/pbn4p/4p3/4P3/1BPN1P2/PP3P1P/R2R2K1 b - -,d8d6
8/8/R7/4Kpp1/6k1/8/8/8 w - g6,a6a3
q7/r3b1k1/1Qppb1pp/p3p3/P1N1P3/2P1N3/5PPP/1R4K1 w - -,b6b8
rn1qk2r/pp1bbppp/1n2p3/1Bp5/P4P2/3P1N2/1PP3PP/RNBQ1RK1 b kq -,e8g8
1k3r2/ppp3p1/4q2p/3r4/P1Rp4/6P1/1P1QPP1P/5RK1 b - -,e6e5
1r1q1rk1/4ppbp/p2p1np1/nppP4/2P1P1b1/P1N2PP1/1P1N2BP/R1BQ1RK1 b - -,g4d7
5rk1/5pbp/pqr1p1p1/n2p4/Pp1P1B2/1B1Q3P/1PP2PP1/1R1R2K1 w - -,h3h4
3R4/p5p1/2k2p2/7p/5P1P/4pnP1/Pr6/4BK2 w - -,d8e8
rn1qr1k1/pp3pb1/4bnpp/2B5/2P1P3/2N5/PP2BPPP/R2QK1NR b KQ -,b8c6
r2q1rk1/1b2bppp/p3p3/3p4/1p1Pn3/1P1BPN2/P1R1QPPP/1N3RK1 w - -,f1c1
3r2k1/1pqrbpp1/2p1pn1p/p7/P1PP4/1QB2BPP/1P3PK1/3RR3 w - -,e1e5
3q1rk1/1p3pbp/p2p2p1/P2Pp3/r7/1PN1PB2/2Q1N3/4K2R w K -,b3a4
5r2/5ppk/3p3p/bp1NpP2/p1r1P3/P1P3P1/1P2R1KP/R7 w - -,g2f3
rn1qkb1r/pb1p1ppp/4pn2/1pp5/8/3P1NP1/PPPNPPBP/R1BQ1RK1 b kq -,f8e7
8/8/2Pk4/6K1/8/p7/B5nP/8 w - -,g5g4
r6r/pb2kppp/1q2pn2/1Bb5/1p6/4PN2/PP2QPPP/R1B2RK1 w - -,b2b3
3r2k1/3b1pb1/p3pnp1/P7/1pr2B2/5NP1/1P3PB1/R3R1K1 w - -,g2f1
8/3n1k2/6p1/7p/5K1P/2B5/8/8 b - -,d7c5
8/7R/4k3/2pr4/8/8/4K2P/8 w - c6,h7h6
6k1/5p2/5Q2/6p1/8/B7/6PK/R2Rr1q1 w - -,h2g3
4r1k1/2p2pp1/pr5p/3b1q2/PbNP1P2/1P6/1BQ2RPP/3R2K1 b - -,f5c2
6k1/6r1/3B1pPQ/1pp2q2/3p4/1P4R1/2P2PPK/4r3 b - -,f5f2
3R1rk1/p4ppp/2p3q1/4Pb2/Q7/2B5/PP3KPP/R7 b - -,f8d8
8/1p4pk/4pn1p/8/4P3/P4KPP/1P3P2/8 b - -,f6d7
8/8/4N3/4RK2/1r6/8/3k4/8 b - -,d2c3
8/7k/6p1/1PQ2p2/2P5/6KP/8/4q3 w - -,g3f4
4K3/3Bb3/2PkP3/8/7p/7P/8/8 b - -,e7g5
2b5/1p2ppk1/3p2pp/3P4/B2bP1P1/5P2/P2B2KP/8 w - -,h2h4
8/p3k3/1p1np1p1/3p1p1p/3P1P2/1PNbPBPP/P4K2/8 w - -,f2e1
8/2r3k1/1qPp3p/3Ppb2/r3P1P1/1NQ5/1KR5/8 w - -,g4f5
r3k1r1/1pq1bppp/p1bppn2/8/3BPPP1/2N1Q3/PPP1B2P/2KRR3 b q -,b7b5
rn1qkbnr/pbpp2pp/1p2p3/5p2/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq f6,f1g2
r1b1k1nr/pppp1ppp/2n5/2bNp3/2B1P1Q1/8/PPPP1qPP/R1BK2NR b kq -,c5f8
r2qkb1r/pp2pppp/2n5/3b2B1/3Pn3/2N2N2/PP3PPP/R2QKB1R w KQkq -,c3e4:c3d5
1k3nrr/1b3p2/1q2p2b/1p1pPp2/pPpN1P2/B1P1NK1P/P2P3Q/1R3R2 w - -,f3e2
1r4k1/1p2rpb1/6pp/8/2Ppb3/6P1/4PPBP/1RB2RK1 w - -,c1a3
