6k1/8/3p2p1/8/4p2P/P1K1pn2/2P3N1/8 b - -,e3e2
8/R1k1pp1P/p2p4/r5p1/B2bP1P1/P1p2P2/8/3K4 b - -,c7d8
8/nk6/8/P6R/1K6/8/8/8 w - -,h5h7
3r2k1/1p2q1p1/4p2p/pPp1p3/2PrPP2/1P1R3P/3R2P1/3Q2K1 w - -,d3d4
2kr3r/ppp2Bpp/2n5/4PR2/8/2P5/P1P3PP/R6K b - -,h8f8
rnb1kbnr/pp2pppp/8/2p5/8/4P1P1/PPP2P1P/RNB1KBNR b KQkq -,c8d7
8/1RR1b1k1/7p/p5p1/P5P1/1P2N3/4K2q/8 w - -,e2d3
1kbr3r/1pq1bpp1/p1nppn1p/8/4PP1B/2NB1N1P/PPP3P1/1K1RQ2R b - -,b7b5
r2qkb1r/pp1npppp/2pp1n2/8/2PPP1b1/2N2N2/PP2BPPP/R1BQK2R b KQkq -,g4f3:e7e5
8/pp3pk1/6p1/3Pq1b1/8/2N2RPP/3r4/5Q1K b - -,f7f5
r2r1bk1/p4p2/1pp1bnpp/4p3/2P1P3/1PN1BP2/P3B1PP/3R1RK1 w - -,d1d8
rn1qk2r/pp2bp2/4p1pn/3pPbNp/2pP1P2/P1N1B1PP/1PP5/R2QKBR1 b Qkq -,d8b6
2r3k1/3RBp1p/1pp1q1p1/8/p3P3/P4P1P/1P4Pb/3Q1K2 w - -,d7d8
6k1/5p1p/3R2p1/4P3/5n2/5N1P/1P3PPK/5r2 b - -,f1f2
2rq1b2/1p1n1p1k/p3b1pp/2P1p3/N3P3/4B2P/1Q2BPP1/1R4K1 w - -,e2g4
3r3r/3q1kpp/p1n2n2/1p1p2Q1/4pP2/BBP5/P5PP/3RR1K1 w - -,a3c5
8/3k1p2/b1nppnp1/p2p3p/3P3P/1PN1PBP1/P2K1PN1/8 b - -,c6e7
8/3k3p/3r4/2pPQP2/p3P2P/Pn5K/1P6/8 w - -,e5g7
3r1rk1/1p3qp1/2n4p/pR2pp2/8/P3BP2/1PP1Q1PP/5RK1 b - -,f8e8
6k1/5qb1/Rr2p2p/2Qb1p2/1r2p3/6B1/3N1PPP/3R2K1 b - -,g7f8
2b2k2/1p3pp1/2p4p/1p1r4/8/1P1B1P2/1PP1K1PP/7R w - -,b3b4
rn1qkb1r/1p3ppp/2p1pn2/pP1p1b2/3P4/P3P3/1BP2PPP/RN1QKBNR w KQkq -,c2c4
3r2k1/3q2p1/1p3p2/1P1p2p1/1R1n4/6P1/3Q1PKP/8 w - -,d2d4
8/8/3p2p1/6Pp/2n5/1k1K4/1p5P/1R6 w - -,b1e1
1rbq1rk1/2n1ppbp/3p1nP1/1p1P4/2p1P2Q/2NB1N1P/1PP3P1/R1B2RK1 b - -,f7g6
r5k1/p5bp/2prb1p1/1p1p1p2/3P2P1/2NN1P2/PPP3P1/R3R1K1 w - -,d3e5
8/8/pp1k2pp/3P1p2/2P2K2/1P6/n5PP/3B4 w - -,h2h4
8/7p/1p6/1kpr1p2/1r1p1PP1/3R3P/4PK2/3R4 b - -,c5c4
8/6kp/6p1/3Q1p2/8/4P1PP/5PK1/1q6 w - -,g3g4
r1b1k1nr/pp1nqp2/2p3pp/3p2P1/3P3P/2NBP1N1/PP3P2/R2QK2R w KQkq -,g5h6
1r1q1rk1/p2bnpbp/2np2p1/1p1N4/3PPNP1/1P2B2P/P2Q2B1/2R2RK1 b - -,b8c8
1r1r2k1/p2R1ppp/2n5/8/8/4PP1P/P4P2/5RK1 w - -,d7c7
rnbqk1nr/pp3ppp/2pb4/3p4/3P4/3B4/PPP1NPPP/RNBQK2R w KQkq -,b1c3
r5k1/1pp2pbp/p1b3p1/4p3/n1PnN3/N3P1P1/PP1B1PBP/1R4K1 b - -,d4e6
1nk1r3/2pq2p1/1p1b2np/3p1p2/1P1Pr3/p1PQ1NPP/P2BRP2/1KN1R3 b - -,d7c6
8/8/2b2k1p/1B6/3r4/P2N2Pp/1P3K1P/8 w - -,f2e3
3r4/1pk2p2/p3pp2/1bP4p/1P5P/P5P1/3R1P2/R4BK1 b - -,d8d2
8/1B2kpp1/7p/p7/P3K3/4P3/5PPP/4b3 w - -,f2f4
r2qr1k1/1ppbbppp/p2p1n2/4n3/3NPB2/2N4P/PPP2PP1/R2QRBK1 w - -,f4g3
r3k2r/1bqn1pp1/p1n1p2p/1pbpP3/5B2/P1NB1N2/1PP1QPPP/4RRK1 w kq -,f4g3
r3k2r/1pp2pp1/p1p1q3/4p3/4PnN1/3PN3/PPP2RP1/R2Q2K1 w kq -,f2f1
r1bq1rk1/1pp3bp/n2p1p1n/p2Pp1p1/2P1P3/P1N3B1/1P1NBPPP/R2QK2R b KQ -,c8d7
8/1Pk5/n2p4/b2B4/4Pp2/5P2/3p4/3K4 w - -,d1c2
1r1qr1k1/5pp1/pb1pN2p/1p1P1b2/P1p5/2P2NnP/1PB1QPP1/R3R1K1 w - -,e6d8
r2r2k1/p1qn1p1p/1p2pnp1/3p4/2pP1P2/2PQ1NP1/PP1N1P1P/2R1R1K1 w - -,d3e2
r2q2k1/7p/3pN1p1/1Bp1b3/Pn3r2/5b1P/1P2QPP1/R4RK1 w - -,g2f3
1k6/4R3/8/PK6/8/8/5b2/8 w - -,b5c6
7k/1p4p1/4R1Pp/p1bp1r2/P4P2/4N1P1/1P4K1/8 b - -,c5e3
4kb1r/1r3pp1/1pqPp2p/2pnP1NQ/1p6/3R4/1P3PPP/2B2RK1 b k -,g7g6
3nrrk1/pbb3pp/1p2pp1n/2p4q/2PpPP2/PP1P1NP1/5QBN/2B1RRK1 b - -,h6g4
r3r1k1/1pq4p/p3n1p1/3bpp2/2Pp1bPn/PP1P1P1P/R3N3/1NBQ1RK1 w - -,c4d5
rq2k2r/n2n1pbp/p3p1p1/1p1pP1B1/PPpP4/2P4P/2B2PPN/R2Q1RK1 b kq -,b5a4
r3r3/1pk2ppp/p6q/5b1n/1PP2P2/4b1PP/PB2Q1B1/3R1K1R w - -,e2f3
5rk1/4qpb1/4p2p/P1np2p1/6P1/4PBN1/1rQ2PP1/R3K2R w KQ -,c2d1
r7/1n1b2kp/3p2p1/p1pP1pPP/1nP2P2/1PN2N2/3K4/3B3R w - -,f3e1
8/1p1R1pk1/p7/Pr6/4r1P1/1nP4P/R6K/4B3 w - -,c3c4
r2qr1k1/2pnbppp/2bp4/p2N4/1pP1PB2/1B3Q2/PP3PPP/3RR1K1 b - -,e7f6
r4r1k/p2p2bp/1pq3p1/3Qp3/8/N1P1n1P1/PP3PKP/3R1R2 w - -,f2e3
2B5/5k2/p1p2P2/P1P2PK1/8/3b4/8/8 w - -,c8e6
1r5k/6b1/pr4pp/q1pPp3/3n1P2/B7/P4QBP/2RR3K w - -,a3c5
3r2k1/p1Rr2np/1p3pp1/3ppb2/8/1P1P2P1/P2NPPBP/2R3K1 b - -,f5e6
2r3k1/1pq1rp2/p4p1p/3N4/PP1R4/3QP2P/6P1/6K1 b - -,c7e5
r4r1k/3q2bp/ppn1b3/2pp1nP1/6pP/P1NP4/BPPQN2B/R4RK1 w - -,h4h5
1r3rk1/p4p1p/3p2PQ/8/1p4P1/1P3P2/2PK4/q2R3R b - -,a1c3
r2qkb1r/pp1nnppb/2p1p2p/3pP3/P2P4/5N2/1PPNBPPP/R1BQ1RK1 w kq -,d2b3
r1bqk2r/p1ppnpbp/2p3p1/8/2P1P3/2NB4/PP3PPP/R1BQK2R b KQkq -,e8g8
r1bqr3/1pp2pbk/p2p2pp/2n1n3/2PNP3/2N1B3/PP1QBPPP/R3R1K1 b - -,e5g4
2R5/b2rkp2/p4p2/q7/3pP3/1P1R2P1/5P1P/2Q3K1 w - -,c1c4
1nrrb1k1/4bp1p/ppn1p3/6p1/P1PP4/1N3B1P/2N2PP1/R2RB1K1 b - -,e7f6
4B1k1/6r1/3p4/p1pPn2Q/3nP3/2N3P1/1r1B1RKP/q7 w - -,c3d1
2r3k1/7p/p1p3p1/1pPb4/P2N4/2PBr3/1P3KPP/3R4 b - -,c8e8
8/1r4p1/7p/2kn4/8/4P3/1pBK4/6R1 w - -,c2b1
r6k/p1P3p1/5n2/2B5/5p2/1P3Nb1/P3r3/R1R3K1 b - -,a8c8
r1bq1rk1/pp3pbp/3p1np1/2pPp1B1/1nP1P3/2N2N1P/PP3PP1/RB1QK2R b KQ -,c8d7
8/4q1k1/3p4/p1p1nQpP/2B1P1P1/1P5K/P7/8 b - -,e7d8
r1bqr1k1/pp5p/2pp1nnb/5p2/2PP1P2/2N1BBNP/PP1Q3K/3R2R1 b - -,g8h8
1n1n4/8/1kp2p2/4p1p1/2B1P2p/KP3PPP/4N3/8 b - -,b6c5
r3k2r/2q1Npp1/p2p1n2/1p2p3/7p/4nP1P/PPPQ2P1/1K1R1B1R w kq -,d2e3
r6r/1p1b1pk1/p3pqpn/3p2R1/3P1PNp/2PB4/PP1Q2PP/5RK1 b - -,h6g4
4r3/p5k1/2r2pp1/1p4P1/1Pp2R2/2P5/P5RP/7K b - -,e8e1
2kr4/pp3pp1/2p1pn2/8/2PP4/4PBQ1/qP4P1/2KR4 w - -,g3g7
r2q1r2/6kn/p1npb1p1/2p2p1p/1pP1PP2/3B3P/PPQNN1P1/R4RK1 w - f6,a1e1
6k1/2r2pb1/7p/3R4/3PpP2/2r3pP/3R2K1/6N1 b - -,c3d3
b1r1r1k1/p3qpp1/1pB4p/3np3/2Q5/2P1P1P1/PP1N3P/1K1RR3 w - -,c4d5
3r1b1k/R4Qp1/3p3B/1B1Pp2n/4P3/5P1K/6PP/4q3 w - -,f7h5
1nr3k1/p3qppp/b3pn2/8/1p1p1P2/1Q1NP3/PP1RNPBP/6K1 w - -,e2d4
r7/1pq1r1kp/3R1pp1/p2Qp3/P4nbP/1B3N2/1PP2P2/2KR4 w - -,d5e4
2r2bk1/6p1/2r1pp2/p1pq4/PnN1Q3/3P1PPp/4PB1P/R1R3K1 b - -,f6f5
k7/1p3p2/p7/3Pp3/1P5r/P1pB4/K1P5/8 w - -,a2b3
8/1p6/4k1p1/2p1P2p/p1Pp3P/3K4/8/2b5 b - -,e6e5
6k1/5p2/1R4p1/1p5p/8/1KP2P2/7r/8 w - -,b6b5
r4rk1/ppp1nppp/4b1q1/1P6/Q3P1B1/2N1B3/1P3PPP/2KR3R b - -,g6g4
rn1q1rk1/1p3pbp/p5p1/P2bp3/8/1N1BB3/1PP1QPPP/R2R2K1 b - -,d5b3
5n1r/2r2pkp/p1b1pNpR/1p1pP1P1/5P1P/P2B4/1PP4R/6K1 b - -,c7e7
8/3n1pbk/3p2pp/4p3/2r1P2N/4R2P/1P2NPP1/6K1 w - -,e2c3
2B4k/7p/2pp3p/4p3/8/2PP3q/PP2nR1N/5R1K b - -,e2g3
5k2/7p/6p1/2B5/6N1/2n2P2/P6P/6K1 b - -,f8f7
2Q5/p2r4/1r4kp/4pb2/2B3P1/7P/P2q1P2/R4RK1 b - g3,f5e4
2r5/1p3p2/p3k1b1/3r3p/3PpR1P/4P3/PP1KB3/6R1 w - -,e2d1
rqb2rk1/p4pbp/2pR1Np1/4n3/4N3/6P1/PPQ2PBP/4R1K1 b - -,g8h8
r2qk2r/1ppb1ppp/p1n1p3/4N3/QnpP4/2N3P1/PP2PPBP/R3K2R w KQkq -,e5c6
5r2/3b1krp/1q2p1nB/p3Pp1Q/2R5/1P6/5PP1/1B2R1K1 b - -,f7g8
r2qk2r/pp1bppbp/6p1/2pn4/Q7/2N1P3/PP1PBPPP/R1B2RK1 w kq -,a4b3
1bqr1r2/p5pk/1p2p2p/PPp1p2n/4P3/4BP2/Q1P1N1PP/3RR1K1 b - -,h5f4
r6r/pppk1ppp/2n2b2/8/4p3/2P3P1/PPN1PPKP/RN3R2 w - -,f1d1
2k4r/ppq2pp1/3rpn1p/2p1N2P/2QP4/6P1/PPP2P2/2KR3R b - -,d6d5
5rk1/1p1b3p/4p3/1P1pPp2/p2NnP2/P1rB3P/6PK/R4R2 w - -,d3e4
r7/1q2nkp1/3bp1p1/1p1p1nP1/1PpP1P1P/2P2N2/2NB1K2/R5Q1 b - -,a8a1
1Q3k2/1B3p2/4r3/4p1q1/1P4Pp/P6P/5PK1/4R3 b - -,f8g7
8/5p2/5k2/5P1p/1b3BP1/7P/5K2/8 w - h6,f2f3
8/p4pkn/1p2p3/2r1Ppp1/3Q4/5P2/P4P1P/3B2K1 b - -,h7f6
3b1rn1/pp1q3k/4p2p/2p1p1pP/2N1P1Q1/2P3PK/PP3r1N/R6R w - -,c4e5
4r3/3b1nk1/pq1p1pp1/1p1P4/3P2P1/1P1QN3/P4PB1/2R3K1 b - -,e8h8
r1bqr3/2p2pbk/1n1p2pp/2nPp3/1p2P2P/4BNN1/PPB1QPP1/R3R1K1 w - -,e2d2
r1bq1rk1/1ppn3p/3p4/p1nP1p2/2P2R2/2N5/PPQNB1PP/2R3K1 b - -,d7e5
6k1/n4p1p/6p1/p1R1P3/PrBp4/7P/5PP1/6K1 w - -,c5c7
4R3/p7/1p1b2k1/5rP1/2Qp1n2/8/PP4P1/6K1 w - -,c4c6
1Q6/1p3pk1/6p1/p1p3P1/P1P1P3/1q6/5P2/2K5 w - -,b8e5
r1b2rk1/1p2qp2/p7/2pNb2p/2P1P1p1/7P/PP1Q1PPN/3R1B1K b - -,e7d8
r1b2rk1/pp3pp1/2B1pq1p/8/1Q2P3/5N2/Pp3PPP/R4RK1 w - -,a1b1
r2qrnk1/1pp2pb1/3p1np1/pP3b1p/P1PPp3/B1N1P1NP/2B2PP1/1QRR2K1 b - -,d8e7
8/7p/3p4/3k2p1/1p6/1P1K2PP/P7/8 b - -,h7h5
8/5pk1/8/7R/6pP/r7/7P/6K1 b - -,f7f6
8/8/3p4/p1k1r3/2P3B1/1P1Kp3/P7/4R3 w - -,e1e3
r1bqkbnr/pppp1ppp/8/1P2p3/3n4/4P3/PBPP1PPP/RN1QKBNR b KQkq -,d4f5
8/4k1pp/3b4/8/5PB1/3Pp3/6KP/8 b - -,d6f4
1rq2k1r/R1n1ppbn/1pB5/6pp/2P2B2/2N3PP/1P1Q3K/5R2 b - -,g5f4
1r4k1/1n3pp1/pR5p/8/8/P3P1PP/5PB1/6K1 b - -,g8f8
r4k2/3b2pp/2pNp3/3p1p2/3P1P2/1R2P3/1P3KPP/8 w - -,d6b7
rn1q2k1/ppp1prb1/3p2pp/8/3PNP2/5R1P/PPP3P1/R1BQ2K1 b - -,b8d7
2r3k1/4npb1/3pq1p1/4p2p/1BP5/4P1P1/3Q1PBP/1R4K1 b - -,e6c4
r2qk2r/pp1nbpp1/2p1p2p/3pP3/3P2PN/1N1P4/PP1B1P1P/R2Q1RK1 b kq -,e7h4
rn1qk2r/ppp1ppb1/4b1pp/8/2pP3B/2P1PN2/P3BPPP/RQ2K2R b KQkq -,b7b6
5r2/8/Q7/8/1p6/1k4PP/4R2K/2q5 w - -,a6e6
8/p7/1p6/2p2pk1/4r2p/P1P3PP/1P1R2K1/8 w - -,d2f2
8/4kp2/3b2pp/p7/2N3P1/3K4/6P1/8 w - -,c4a5
3Bqrk1/1br3pp/ppNp2n1/2pP1p2/1P2n3/P5P1/4PPBP/R2Q1RK1 b - -,c7f7
8/8/5p2/3B2p1/3kP3/p1q5/P1R4P/1K6 b - -,c3b4
1r1q1rk1/3bb1p1/1p1p2np/3P1p2/p1PQ4/2N3B1/PP4PP/2RB1R1K b - -,e7f6
r3k2r/2q2ppp/p1pbpnb1/2ppN3/P5P1/1P1PP2P/1BP1NP2/R2QK2R w KQkq -,f2f4
4r1k1/p5b1/q2pp1P1/4PR2/2r3nP/2N1B3/PPPQ4/2K2R2 w - -,f5f7
r1br2k1/ppq2ppp/4pb2/2p5/3P4/2P2N2/PPB2PPP/1R1Q1RK1 b - -,b7b6
8/1pr1pbk1/pq3pp1/4n3/P1P1N1B1/1P4QP/6PK/3R4 w - -,g4e2
8/8/p5p1/8/P2k1PP1/7P/8/2BKb3 b - -,e1g3
r2qk2r/1p1nbppp/p1p1p3/Pn2Pb2/3P4/1N1B1N2/1P3PPP/R1BQ1RK1 b kq -,f5d3
7r/1pp1npk1/p2r4/4p3/1P2PPN1/2P1R3/P3BP2/R4KQq b - -,e5f4
r4bk1/4qp2/2p3p1/3p3P/2b2Q2/2N2R2/1P4P1/1B5K b - -,f8g7
3k4/3b4/4p3/2R1P3/1p2BK2/1r6/8/8 b - -,b3h3
3rn1k1/1b1q1pbp/p2p2p1/1p1N4/5P2/2P1Q2P/PP2B1P1/3R1RK1 b - -,b7d5
rnb2rk1/ppp1qppp/3p4/2PPp3/8/2Q2NP1/PP2PPBP/R4RK1 b - -,b7b6
2b2rk1/2R2pp1/4p3/pq6/1r5p/2Q1NPP1/PP1RP2P/6K1 b - -,c8b7
2kr1bnr/ppp1pppp/6q1/1B1p1N2/1n3P2/1P2P3/PBPP2PP/RN1QK2R b KQ -,g6f5
1r2r1k1/p1npqp1p/1p4p1/2p5/P1P3n1/2PQ1NP1/4PPBP/R4RK1 w - -,h2h3
6k1/p4p2/1p4pp/2r5/P3P3/1K6/5PPP/1R6 w - -,b1d1
5bk1/p7/2N5/2p5/2P1KB2/3P4/r3P2P/8 w - -,e2e3
4R1R1/4pp1p/1b2b1pk/4P3/7P/8/8/3BK1r1 w - -,e1d2
8/8/K7/P7/2q2k2/8/8/8 w - -,a6a7
1kr5/1pp3pp/2r2n2/8/1Q1p4/5P2/qP4PP/2KRR3 w - -,c1d2
6Q1/6b1/4B2k/q5p1/7p/2P5/KP6/8 w - -,a2b1
r1b1k2r/ppppnppp/1bn2q2/1N6/4P3/2N1B3/PPP1QPPP/R3KB1R b KQkq -,b6a5
r1b2rk1/1pq2pp1/p1p4p/4n3/3QP3/1BN2PP1/PP3PK1/3RR3 b - -,c8e6
1r3bk1/p1q5/6p1/1Ppp4/6Q1/4P3/3B1PP1/2R3K1 w - -,g4g6
5b2/1p1n1kp1/1pr2p1p/3Np3/PP2P1PP/3K1P2/3B4/4R3 w - -,h4h5
1r3rk1/pb1q2pp/n2p4/1p1Ppp2/1P2P3/Q5P1/P1RN1PBP/2R3K1 w - -,g2h3
5rk1/2b2p1p/p3p3/1rPR1p2/N7/1P4P1/P6P/2R3K1 w - -,d5d7
2kr1b1r/nbpn1q1p/1p2p3/p2pPp2/P2P2p1/3N2B1/1PP1BPPP/R2QNRK1 w - -,f2f3
3r1bk1/5q2/1pp4p/4pN2/p3PnP1/2P2PK1/PPQ1b3/R6R b - -,d8d3
rqb1k1nr/3p1ppp/p1nbp3/1p6/4P3/1NNBB3/PPP2PPP/R2Q1RK1 w kq -,f2f4
r1bq1rk1/ppp3pp/2n1p3/3pp3/1b1P4/2NB1N2/PPP1QPPP/R4RK1 w - -,d4e5
4r1k1/2n2nqp/p2p1bp1/NbpP1p2/4rP2/1P2P2P/N1Q2BPK/3RRB2 w - -,b3b4
r1bq1rk1/pp1n1ppp/2pb1n2/3p4/3P4/2PB1N2/PP1N1PPP/R1BQR1K1 b - -,f8e8
2r3k1/1p4pp/3r1n2/p2P4/3P4/PP1b2P1/1B1R2BP/R5K1 b - -,d3e4
2r2b2/2r1k1p1/R1pnp1p1/1p3pPP/1P1P1P2/4P3/6K1/2RBB3 b - -,g6h5
2r2rk1/4b1p1/n2p1p1p/p1pPn2P/Pp2PR2/1P2N1P1/2PBN3/5RK1 w - -,e3f5
b4k2/4qNbp/6p1/1p6/1P1p4/1BP3PP/4QK2/8 b - -,d4c3
1r3rk1/2q1bppp/8/p1n1p3/PpPpPP2/6P1/R2B2BP/1Q1R3K b - -,f7f6
r4rk1/pp2p1b1/3p3p/3P1pp1/1PPBn2q/PR3B1P/2Q2PP1/3R2K1 b - -,f8f7
r1bq1rk1/p4pbp/4p1p1/3p1n2/3P1B2/1RP2N2/1PQ1NPPP/R5K1 b - -,f7f6
1R6/p5pk/1p4rp/5p2/2Pr4/5PP1/7P/7K b - -,d4d2
r1bqk2r/ppp2ppp/5n2/3p4/8/1P1PP1N1/P2N1PPP/R2QK2R b KQkq -,h7h5
R7/2q3k1/6pp/5p1P/3p4/5N1K/8/8 b - -,g6g5
r4rk1/3bbppp/p1pp1n2/1p2pP2/P3P3/2NPB3/1P2N1PP/R4RK1 w - -,e3g5
3rr1k1/pp3pp1/2pp1b1p/7P/5Bn1/2P3N1/PPP2PP1/1K1R1R2 b - -,f6e5
8/R4p2/2P2kp1/3K3p/5P2/3r2P1/8/8 w - -,d5c4
1rbq1rk1/bpp1nppp/p2p4/4n3/2P5/1PN1P1PP/P3NPB1/R1BQ1RK1 b - -,b7b5
r3k2r/1p3ppp/p3b3/2np2B1/2PNn3/P3P3/5PPP/R3KB1R w KQkq -,d4e6
5rk1/4q1pp/2pbP1p1/1p1p4/6P1/2B1Q2P/1R3P2/6K1 b - -,b5b4
r3r1k1/1b3ppp/5n2/1NQ5/3Nq3/4P2P/P2B1PPb/2RR1K2 w - -,d4f3
r1b2rk1/1pq1bppp/p2p1n2/4p3/P3PP2/2NQBB2/1PP3PP/R4RK1 b - -,c8e6
k5r1/1R6/p1nN4/4p3/5p2/2P1r1P1/PP5P/5RK1 w - -,b7c7
3r2k1/5ppp/4p3/2qP4/2P4P/1Q4P1/5P2/5BK1 w - -,d5e6
2r1r1k1/1b1n2pp/pp1P1n2/6N1/8/2P1B2P/PP3PP1/R3R1K1 w - -,e3d4
r2qkb1r/pbpn1ppp/4pn2/3p4/P2P4/2P2NP1/3NPPBP/R1BQ1RK1 b kq -,a7a5
2n3k1/pr4b1/Rp4p1/1P2r2p/Q3N3/3qBP1P/6P1/1R4K1 w - -,a4b3
3qnkr1/p4p1p/7n/3PPp2/5N2/1P3R1P/5Qr1/5RK1 w - -,f4g2
6k1/6p1/1p5p/1Pbb1P1P/3p2P1/3B4/p1K5/B7 b - -,g8f7
2b1r1k1/p4p1p/5np1/1Bp1q3/8/1P3QNP/P4PP1/3R2K1 b - -,e8f8
8/1p4pk/1p2Rp2/5K1P/1P3P2/4P2r/8/8 w - -,f5g4
r3r1k1/p3qpp1/2p2n1p/1p6/2b1p3/3BBP2/PPPQ1KP1/R6R w - -,d3c4
4nr2/1p2q2k/p2p3b/3P1n2/4QPP1/1P1B3p/P2B1RKP/8 w - -,g2f1
8/5pkp/2R5/8/5PP1/8/r4PKP/8 b - -,a2a4
1r1r2k1/pp3p1p/1np1pbp1/8/1P1P4/PN2PKPP/1B3P2/2RR4 b - -,b6c8
r1bq1rk1/pppnbppp/3p1n2/4p1B1/2BPP3/2N2N2/PPP2PPP/R2QK2R w KQ -,e1g1
r2qkb1r/pp3ppp/2n1pn2/8/Q2P2b1/2N2N2/PP2BPPP/R1B1K2R w KQkq -,c1g5
8/4R1k1/8/5K2/8/p7/Pb6/8 b - -,g7f8
1r4k1/4pp1p/8/6Pp/4P3/QP3q2/2K4P/3R4 b - -,b8c8
8/5pr1/4pk1p/1R3P2/4P2P/5P1K/8/8 b - -,g7g1
6k1/5r2/p4b2/n1pQq3/2P5/P3p3/K5B1/1R6 w - -,d5e5
rnb1k2r/p1pq1pp1/1p2p3/3pPn1p/3P4/P1PB1Q2/2P2PPP/R1B1K1NR w KQkq -,g1e2
r4rk1/pb2ppbp/p2p2p1/q7/3NnP2/2NQ3P/PPP3P1/R1B2RK1 w - -,d4b3
1r2r1k1/4qppp/2bp2n1/ppp5/2P1P3/1P2BP2/P5PP/R2QRBK1 b - -,b5b4
4r1k1/pp3pp1/7p/3p4/bq1Pp2P/1PQ1P1PB/5P1K/2R5 b - -,b4b3
r1bq1rk1/pp2ppbp/2np1np1/8/3PP3/3B1N2/PP1NQPPP/R1B2RK1 b - -,c8g4
