8/8/2N1k1p1/3n2P1/P3p2P/6K1/8/8 b - -,e6d6
6k1/p3pq2/3p2p1/2pPb2r/1r6/4NnP1/PP2QPK1/R1B4R b - -,h5h1
rnb2rk1/ppq1ppbp/3p1np1/2p5/3P4/1PP1PN2/P2NBPPP/R1BQ1RK1 b - -,c8f5
r2r2k1/1bqn1pbp/pp1ppnp1/2p5/1PP1P3/P1NPBNPP/3Q1PB1/R4RK1 w - -,b4b5
r1b1r1k1/5ppp/1qp2n2/2n1p1N1/p1PpPP2/6PP/PPQB2B1/2KR3R b - f3,a8b8
1r1q1k2/pr2ppb1/1p1p1np1/3P3p/2P4P/1P4PB/P2BQPK1/2R1R3 w - -,f2f4
1br1r1k1/1b1q2pp/p3pp2/1pp5/3nNP2/1P1P2P1/PBP3BP/R2Q1RK1 b - -,f6f5
r2r4/2p1kp2/p5pp/Bp2b3/4Pp2/7R/PPP3PP/2K1R3 b - -,h6h5
2r3k1/4pp1p/1B4p1/2n5/6P1/5PK1/r6P/3B3R b - -,a2a6
2r3k1/1pr1ppbp/p5p1/6B1/2PPb3/4P3/P4PPP/2R1R1K1 w - -,c4c5
1k6/2b2R2/4p3/1KPb1p2/8/6P1/5r2/1R6 b - -,f2c2
8/8/3Q4/1P3k2/8/2K5/q7/8 b - -,a2a5
1k4r1/1n1PR3/p7/1p5p/5P1p/7B/PP4PP/2K5 b - -,g8d8
8/4k1p1/3p1b1p/5r2/1P3P2/P1P3P1/2K4P/7R b - -,g7g5
2q1rbk1/p2r1p2/n1p2p1p/2P3p1/Q2P3P/1R2BNP1/P4P2/1R4K1 b - h3,e8e4
8/p4k2/bp2ppp1/3p4/Pb1P1P2/1Pr2NP1/2P3KP/2R1N3 w - -,g2f2
3r4/p5pp/4kp2/4p3/8/4b1P1/PP2PP1P/R4K2 w - -,f2e3
2r3k1/p4ppp/4p3/2np4/3N4/2rNP1P1/5PBP/3R2K1 w - -,d3b4
r1bq1rk1/ppp3bp/2np1np1/4ppB1/1PP1P3/2NP1N2/P3BPPP/1R1QK2R b K -,h7h6
2rr2k1/pp3pp1/4pn1p/2n5/8/2N1PN1P/PP3PP1/2RR2K1 w - -,d1d8
5k2/3R4/6p1/3p4/6PP/8/5PK1/3r4 b - -,d5d4
1rbq1rk1/p2nppb1/2pp2pp/8/2B1PB2/2N4P/PPP2PP1/R2QR1K1 w - -,c4b3
rn1qk2r/pbp1bppp/1p1ppn2/8/2P1P3/2N2N2/PPBP1PPP/R1BQ1RK1 b kq -,c7c5
r5k1/r3np1p/2pq2p1/1pNp4/1PnP4/4P3/1RQN1PPP/2R3K1 w - -,d2c4
1B6/2Q4p/1p2qppk/2b5/2b5/7P/6P1/3R3K w - -,c7f4
6k1/6pp/1K2p3/5p2/5Pn1/6P1/6NP/8 w - -,h2h4
8/1R2bk2/1p6/2r2P2/3K4/8/8/8 b - -,c5f5
6k1/5p1p/R3p1p1/1n6/2r1PP2/2p1K3/6PP/2B5 w - -,e3d3
8/6p1/3pq1kp/2p5/1p1pP2P/1P1P2P1/2Q3K1/8 b - -,g6f6
8/6p1/8/4k1PP/r3B3/5PK1/8/8 w - -,g3f2:g3g4
5rk1/p4ppp/3r4/q2pb3/4n3/1PN1PBPb/PB2QP1P/2R1R1K1 w - -,f3e4
4k3/7p/1b3p2/1P1R1N2/2K1nB2/6PP/8/5r2 b - -,f1h1
2rrn1k1/5pp1/p1qBp2p/3bP3/PQp2P2/7P/1PP1R1P1/3R2K1 w - -,d6e7
5rk1/5pp1/Np1q1b2/3pn1p1/1P1N4/4P1P1/5P1P/Q1R3K1 w - -,a1a4
r2nr1k1/1p1qbp1p/p4np1/2pp1BQ1/5B2/N1P2P1P/PP3P1K/3R2R1 b - -,d8e6
2kr4/1p2qpbp/p1p1b3/2p4Q/8/2NP3P/PPP2P2/4RK1R b - -,c5c4
2Br3k/p2P2pp/1p3p2/3Q4/qpP5/4B1P1/P1n2P1P/4R1K1 w - -,e1e2
4r3/3n1k2/p2b4/P1pP1p2/1pP2p1P/1P2pP1P/4R3/1N3KB1 w - -,g1h2
8/5R1p/p2pn1pk/5P2/P1p4q/4P2P/1Q3PBK/3r4 b - -,c4c3
r5k1/p3rpbp/4p1p1/2R5/2N5/1P4P1/P3PP1P/3R2K1 b - -,h7h5
2r1rbk1/1b3p1p/p2ppPp1/q3n1P1/Pp2PB2/1P4NP/2PQ2B1/R4R1K b - -,a5c5
3qk2r/r2bb1p1/p1n5/2P2pNp/1p2pP2/6PP/PPP1NQ2/R1B2RK1 w k -,h3h4
6k1/1p4pp/2r1pp2/p2p4/P2P3P/2PbP1B1/R4PP1/4K3 b - -,c6c3
8/6pp/Nn2pp2/1P1k4/P2B4/1K4PP/5P2/8 b - -,d5d4
2rr2k1/pbq1bppp/1pn1p3/2pp4/2P3n1/PP1P1NP1/1QNBPPBP/1R3RK1 b - -,e7f6
7k/7p/6p1/P7/4pP2/2b5/2prB1PP/2R4K b - -,c3a5
8/4Bpbk/p1b1p2p/2P1P3/5P2/2R1N3/1r6/6K1 b - -,a6a5
7r/1p2bkpp/2q2p2/BR2p3/1pP5/1P6/4QPPP/6K1 b - -,h8a8
2n3k1/1p2bpp1/2q4p/B1p1pP2/2P1N2P/1Q3PP1/8/6K1 w - -,b3b2
6k1/4p1bp/3p2p1/r2P1r2/8/1PNn3P/3B1PP1/1R3RK1 w - -,b3b4
r3k2r/p1p1bp1p/1p2p1p1/q2PP3/1nP2P2/4BN2/P3Q1PP/3R1RK1 w kq -,d5d6
rn2kr2/pp2ppQp/4q1p1/1B6/1P6/P1R1P3/5PPP/4K2R b K -,b8c6
8/5p1k/4bQ2/5p2/1pr2P2/2P3K1/8/8 w - -,c3b4
8/p1k5/2p2p2/2q4P/2P1Q3/3P2N1/P2b2K1/8 b - -,c7b6
3rr1k1/1bqn1pbp/2p2np1/1pP1P3/1P6/1QN2NP1/1B3PBP/R3R1K1 b - -,d7e5
1r2r1k1/2q2pbp/3p1np1/2nP4/2pBPPP1/1p3QNP/1PB5/3R1RK1 w - -,c2b1
8/5r2/3kp3/8/R7/4N3/8/6K1 b - -,f7f8
3r2k1/pppqn1b1/7p/2Pp2p1/3Pp1P1/PP2BrNP/4QPK1/6RR b - -,d8f8
8/6pk/p4p2/P6p/2pn2P1/3q3P/3B1Q1K/8 w - -,d2e3
rnbq1rk1/pp3ppp/2p2b2/8/3N1B2/5B2/PPPQ1PPP/2KR3R w - -,h1e1
r2q1rk1/1p1nnp1p/2p1p1p1/p2p4/4P3/1P1P1NP1/PRP2PBP/4QRK1 b - -,d8b6
8/p3Rpr1/kp1p4/3PpP2/4P3/8/PP3K2/8 w - -,e7d7
1k1r4/1p3q2/pn1b1p2/2pPp1BP/2P1N2p/3P1Q2/PP3PP1/R3R1K1 b - -,d8f8
1r3rk1/4ppbp/3p2p1/2pPn3/2P1P3/Nq5P/1P1BQPP1/RR4K1 b - -,b3d3
rnq1k2r/pp2bpp1/2p1pnp1/3p4/2PPP3/1QN2PP1/PP4BP/R1B1K2R b KQkq e3,d5e4
8/2B5/1R1pk3/2p3P1/1p1r4/4KP2/8/1b6 b - -,e6d7
r4rk1/1b3ppp/pp1pp3/2n1n3/2P1P3/2q1BPP1/P4Q1P/R2RNBK1 b - -,f7f5
r2q1rk1/pp2ppbp/1n3np1/3P1b2/3P4/1QN2B2/PP2NPPP/R1B1K2R b KQ -,f5d3
r1bq1rk1/pp2ppbp/2n3p1/8/3Pp3/5NPP/PP2PPB1/R1BQ1RK1 w - -,f3g5
5rrk/2R1Q2p/pp1P1ppq/1b2p3/4P3/3R2N1/5PP1/6K1 w - -,d3c3
8/p7/2b3k1/5r2/P2R4/7P/4K3/4B3 b - -,f5e5
R7/2r3kp/2p2pp1/1pPp4/1P6/4n1P1/2P1B1P1/6K1 w - -,e2d3
2k3nr/ppp2ppp/4b3/4P3/1bP5/1P1r1N2/1B3PPP/RN3K1R b - -,d3d1
1q1r1k2/Rp1rnpp1/Q1p1p1p1/2P5/3P2P1/PR3N1P/1P3PK1/8 b - -,b7a6
r3rbk1/3n1p1p/2q3p1/3p4/2pP1B2/1pP4P/1P1N1PP1/1Q2RRK1 b - -,d7b6
3b4/8/3p4/1p1Pp3/pP2Ppk1/P6b/4KB2/1N6 b - -,f4f3
rnb2rk1/pp3pb1/5qpp/2ppN3/3P1P2/2NBP3/PP4PP/R2Q1RK1 b - f3,b8c6
5r1k/1pp3pp/1p1q2n1/r2P1p2/8/1Q3B2/PP3PPP/3R1RK1 w - -,f1e1
rn2kb1r/pp3ppp/5n2/2P4b/1P2p1P1/2P2N1P/P4P2/RNBK1B1R b kq g3,f6g4
r2qk2r/pb2bppp/1pnppn2/8/2P2Q2/1P3NP1/P3PPBP/RNBR2K1 b kq -,d8c7
rn2kb1r/1bqp1ppp/pp2pn2/8/2PNP3/2N1BP2/PP2B1PP/R2QK2R b KQkq -,f8e7:f8d6
3r2k1/r4ppp/2npb3/p1q1p3/1pP1P2P/1P1QN1P1/P4PB1/3R1RK1 b - -,a5a4
5bk1/2R4p/b5p1/3p1p2/5P2/1rB3PK/R3P2P/8 w - -,a2a6
r3r1k1/pp3pbp/3p2p1/1P2p3/2b1P3/2PnB1P1/1PN2PBP/R4RK1 b - -,c4b5
8/5kp1/p2Bp2p/1bN1P3/2r2P2/2p1n1P1/2P5/2R3K1 b - -,c4d4
8/5pb1/4p1k1/2R1P1pp/r7/4NKPP/5P2/8 b - -,a4a3
1r3rk1/p1pq4/3p2pb/PPpPpb1p/2Q4P/3P2P1/3N1PB1/1R3RK1 w - -,d2e4
3rnrk1/ppp1qp2/2n4p/6p1/2QPp3/P3P1P1/1P2NPBP/2R1R1K1 w - -,e2c3
r1r4k/pq3ppp/1p2p3/3pn1B1/3N4/2P3Q1/PP3PPP/2R3K1 w - -,g3e5
6k1/1b3ppp/3p1P2/npq2P2/2pN4/2P5/1P1NrRBP/6K1 w - -,f2e2
5rk1/5pb1/5qr1/p1pPp1pQ/2N1P3/2N5/PP3P2/2KR4 w - -,h5e2
r2q1rk1/4nppp/p4n2/2bpp1B1/8/3P2PP/PP2NPB1/R2Q1RK1 w - -,d3d4
r2q3k/pp1nbrpp/2p1Qnb1/6B1/8/P1NP2N1/1PP2PPP/4RRK1 w - -,b2b4
2kr4/1pq1b2p/4b1p1/p1p1p3/2P1N3/P2PQ3/1P1B2PP/5RK1 b - -,e6f5
3r2k1/3b1p1p/pNp3pb/2Pp1n2/3N4/5P2/PP3BPP/4R1K1 b - -,h6g7
2r2k2/5pp1/pr1pbn2/7p/1p1NP2P/5P2/PP1R1KP1/1B2R3 b - -,c8c5
8/8/5kn1/p5p1/P1pK2P1/6N1/8/8 w - -,g3e4
3r1k2/6RR/1p4p1/1P3p2/1P1p4/P2n4/6PP/6K1 w - -,g7g6
8/4R3/5r2/5n2/8/3k4/6K1/8 w - -,e7a7
2k5/3q2p1/3Q1p2/p1P1nP2/1p3KP1/7r/PP5r/2R2R2 b - -,e5d3
8/6pk/8/p2p3P/1rrN3P/2R1K3/P7/2R5 b - -,c4d4
r5k1/1bp1rqbp/p2p1pp1/1p3P2/1P2PB1P/2P3N1/1P1QR1P1/4R1K1 w - -,e2e3
R7/8/8/8/5p1p/5k1K/3r4/8 w - -,a8a1
rn1q1rk1/pb1pbppp/1p2pn2/2p5/3P4/1P2PN2/PBP1BPPP/RN1Q1RK1 w - -,b1d2:c2c4
1rr3k1/p4ppp/2b1p3/8/6nq/1PN5/P2Q1PPP/2RR1BK1 w - -,h2h3
5rk1/pb4pq/4p1P1/2b4p/5p1N/7P/P6K/3QR3 b - -,h7h6
6k1/pp3pp1/4q1np/2P1P3/P3R2P/B4PQ1/8/3r3K w - -,e4e1
3r1k2/1p3ppp/2p2n2/p7/8/2P1N1P1/PP3P1P/R5K1 w - -,a1d1
5q2/3r2pk/5p1p/1pr1PP1Q/4P1R1/PpP5/8/6RK b - -,c5e5
2r5/1b2kpp1/p3p2p/1pn1P3/2rB2P1/P1N4P/1PR1K3/3R4 b - -,c5b3
r2qr1k1/2pb1pbp/2np1np1/1p2p3/p3P3/2PP1NNP/PPB2PP1/R1BQR1K1 w - -,c1e3
r3k2r/1pq2p2/p3p3/P1bpPn1p/3BnPp1/2P5/1PN1B1PP/R2Q1RK1 b kq -,g4g3
1rn2r2/p4qb1/1p2bppk/PPpNp2p/2P1P2P/1Q1P2P1/4NRB1/5RK1 w - -,d5f6
r5k1/pbp3pp/1p1ppn1r/5pq1/2PP4/P1PBPP1P/1B2Q1PK/4RR2 b - -,a8f8
3rk2r/p3bpp1/1p5p/2p1P3/2PpRPP1/1P5P/PB6/3R2K1 b - f3,e8d7
r3r1k1/ppp2ppp/2np3q/3n4/2P1P2P/6P1/PPP1Q2B/3R1RK1 w - -,d1d5
1rbq1rk1/2p2pbp/3p2p1/1p2n3/8/1PN3P1/PB1QPPBP/2R2RK1 b - -,c7c6
4k3/4bp1p/p1n3p1/3p2P1/5P1P/3KPN2/P7/2B5 w - -,c1d2
2krr3/ppqb4/2n4p/4ppp1/2B5/2P2N2/PP1RQPPP/3R2K1 w - g6,h2h3
2r3rk/pq5p/1p2pb2/1Qn5/3N1P2/1P2B3/P4P1P/3RRK2 b - -,b7g2
8/8/8/8/2K5/3R2p1/5k2/8 w - -,c4d4:d3d2
8/2Qrk3/4N2p/p3K3/6PP/5P2/P1p3r1/8 w - -,c7c5
rn1qr1kb/4pp2/b1pp1npB/p7/1p1PPN2/5P2/PPPQ2P1/2KR1BNR w - -,f1a6
3r1r1k/p6n/1p2pb1p/1Pp1p3/2P1Pp1P/P1Nq1Q2/3B1P2/1R1R2K1 w - -,f3d3
r2qk2r/1p2b1pp/p2p1n2/P1pPpb2/8/8/1PP1NPPP/RNBQ1RK1 w kq -,f2f4
r4rk1/1pb3p1/p1p2nnp/2P2p2/1PR1p3/P3P1PP/1B1N1PBK/3R4 w - -,c4c1
r2q1rk1/1p2bppp/2ppbn2/p1n5/P2NP3/2N1BQ1P/BPP2PP1/R4RK1 b - -,f6d7
q1r3k1/1b5n/p2r2p1/2p1pp1p/2P1P3/2N3PP/PB2QPBK/4R3 w - -,c3d5
4r1k1/1p3p1p/3q2p1/p1p1r3/2Pp2R1/1P2P3/P2Q1PPP/3R2K1 w - -,h2h3
8/8/6k1/2b1r2p/2P5/8/4r1PP/R4R1K b - -,h5h4
3r2k1/3r2b1/4b1pp/1Nq1pp2/P2P4/4P1P1/5PBP/2RR2K1 w - -,c1c5
8/3b1k2/1p2p1p1/p2PP1P1/Prp5/4B3/5P2/1RK5 b - -,e6d5
r1bqk1r1/1p1n2p1/p1n1p1Pp/2ppPp2/3P4/2N2NQ1/PPP2PP1/2KR1B1R w q -,d4c5
8/8/6K1/5r2/8/4p1k1/4Qn2/8 b - -,f5e5
1R6/4p3/4Pkp1/2pP1p2/2P2P2/3B2bp/4K3/2r5 w - -,b8f8
3r2k1/1pq1rppB/p6p/2p1P1P1/7Q/2P2b1P/PP3R2/4R1K1 b - -,g8h7
r4rk1/pppq1ppp/2n1bn2/2p1p3/4PP2/6P1/PPPPN1BP/R1BQ1R1K b - f3,e6h3
4r1k1/5pp1/1Q6/7p/2N1p2P/5qP1/5PK1/8 w - -,g2g1
b5k1/2q1p1bp/1p2n1p1/1B1pP3/1P1B4/2PQ1N2/6PP/6K1 b - -,g7h6
8/p4qk1/4p3/P2p2p1/1P1P1r1p/2PQR3/1K6/8 b - -,g5g4
4r3/p1r5/1p2p1k1/3p2b1/P2B2P1/2P3P1/1P3RK1/4R3 b - a3,g5d8
5rk1/1p4pp/pn2q3/3p4/3P1P2/2P1P2n/P3Q1KB/2R2R2 b - -,f8f5
r3kbr1/pp2p1p1/2p2p1p/2Pn3P/3PpB1N/2P3P1/4PP2/1R3RK1 w q -,f4d2
1b1rr1k1/1p1bqppp/p4nn1/3p4/1P1B4/PQ2PN1P/3N1PP1/R3RBK1 b - -,f6e4
4b2k/1p6/pq1p3p/3Pp3/PP2P3/5PR1/1KQ1R1P1/7r w - -,c2c3
4rbk1/2qn1ppp/3p4/1r2p1P1/3BPP2/7P/1P3QB1/3R1RK1 w - -,f4e5
5rk1/pp1n1pbp/6p1/2P2PB1/1P1rp3/1BN4P/P1P5/R4RK1 w - -,f5f6
8/4kB2/2Pp1p1p/6p1/1p2P3/2b1P1PP/P7/6K1 w - -,g1f2
r2q1rk1/1pnb1pbp/2pp2p1/p1nPp1P1/2P1P2P/2N1B3/PP1NBP2/R2QK2R w KQ -,d1c2
5bk1/5qpp/1N1p4/1pp1rP2/1Pn1pQ2/6PP/1B2P2K/1R2R3 b - -,e5f5
5k2/2R5/6p1/7p/2p4P/1r3KP1/8/8 w - -,f3f4
7k/6R1/4N2p/P4p1P/8/3K1P2/r6b/8 w - -,g7g6
3qr1k1/3n1pbp/r2p1np1/2pP4/8/2NQBN1P/PP3PP1/R4RK1 b - -,d8a8
3rr1k1/1bq2pp1/p6p/1pP1P3/1n2Nn2/1B2RN1P/PP4P1/R2Q2K1 w - -,e4d6
8/1kr3R1/2p2Q2/1pPp1p2/rP1P4/4Pq1P/1B5K/8 b - -,f3f2
4r3/p2p3p/1rpk2p1/2Rp1p2/1P6/PN4P1/4BP1P/5K2 b - -,e8c8
6R1/8/1r1p4/p1pP1k2/8/3PK3/6P1/8 b - -,b6a6
8/7B/5b2/3k4/P1p3P1/3pB3/r6P/3K4 b - -,f6c3
r3kbnr/pp3ppp/2n1p3/2pq1b2/3P4/1QP1BN2/PP3PPP/RN2KB1R b KQkq -,g8e7
rqb2rk1/p3ppbp/6p1/2Q5/8/4BP2/PPP3PP/2KR1B1R w - -,b2b3
6k1/5pb1/pp4p1/6q1/P2r2Pp/7P/1P1NQP2/R5K1 w - -,d2f3
bn1q1rk1/5pbp/3p1np1/1p1P4/2p1P3/2N2N1P/1P3PP1/2BQRBK1 b - -,b5b4
1n3r2/p3n1k1/2q2p2/1p2p1r1/2p1P1B1/P1P2QP1/1P1R1NK1/4R3 w - -,f2h3
r4rk1/ppq2p1p/2bp1np1/8/P1B5/1P4NP/2P1QPP1/1R3RK1 b - -,d6d5
r6r/5pkp/p2p2p1/4p3/P2qP3/8/QP3PPP/2R2RK1 w - -,c1c4
r4rk1/1p2ppb1/1qp1bnpp/3n4/p2P4/2PN1Q2/PPBBN1PP/R4R1K w - -,e2f4
r1br2k1/pppqbppp/2n1p3/8/3P4/4P1P1/PP1NQPBP/R1B2RK1 w - -,d2c4
8/2pk4/p4r2/R3K3/4P3/8/8/8 b - -,f6b6
3k4/4bp1p/b1Bppp2/p3q2N/2n5/5QPP/2P2R1K/2r5 b - -,e5e1
r4rk1/6pp/2q2b2/2pp1p2/P3pP2/1NN1Q3/RP4PP/R5K1 b - -,d5d4
r4rk1/1bq1bppp/p2p4/1p2pPP1/3NP3/P1NnB2Q/1P2R2P/5RK1 w - -,g5g6
r2qr1k1/2p2ppp/b1pp4/p7/4PB1b/2N2Q1P/PPP2PP1/1R2R1K1 b - -,h4g5
3r1k2/q3r1pp/pp4n1/3B1n2/PP1R4/5P1P/5QPB/3R3K w - -,d4d3
r1b1k2r/1p2qppp/p2bpn2/8/NP6/P2QPN2/1B3PPP/2R2RK1 b kq -,c8d7
1r2qr1k/4b1p1/2n1n3/3p1P1p/Q7/R1B2NPP/1P3PK1/1B1R4 b - -,e7a3
3B4/8/3p4/2kPp2p/4Pp2/1bb2P2/4B1P1/1K6 b - -,b3a4
r4r2/1p1qp1kp/3p1pp1/PPnP4/3R4/4QP2/4B1PP/R5K1 b - -,g7f7
6k1/r1b1R3/2p1p3/2P3pp/1P3P2/4PP2/4NK1P/8 b - -,g5f4
8/5pkp/p2p2p1/3r1q2/4p3/1P2PP1P/P1R1QPK1/8 w - -,f3f4
r5k1/rR1n2pn/p1p5/2Pp2q1/P2Pp1Qp/2N1P2P/5PB1/1R4K1 b - -,g5g4
4r1k1/1p1bppb1/6p1/Q2p4/3Pq2N/4P1P1/PP1B3P/4R1K1 b - -,g6g5
