8/1p6/2p1p3/P1PpP2k/3P4/6K1/P7/8 w - -,g3h3
3r1nk1/pRRb3p/3p4/P1pPp3/2P1P3/3K1P1n/2BQ4/5q2 w - -,d3e3
6k1/8/p2p4/2pP2p1/2P3P1/6K1/R6P/6r1 w - -,g3f3
2rq2b1/1pp3rk/p3p1pp/P3Qp2/1PNPP3/2P1R3/6PP/5RK1 b - -,b7b5
8/5p2/4k1p1/4P2p/5P1P/R5P1/5K2/4r3 b - -,e1b1
2r4r/1p2qpk1/pnb1p1pp/3pP3/P2P3P/1P3N2/3Q1PP1/R1R2NK1 w - -,f1e3
1r1q1rk1/1pnn1pbp/p2p2p1/P1pP4/N3P3/1Q3B2/1P1B1PPP/1R3RK1 w - -,b3d1
2r1bnk1/5pbp/3qp1p1/p2pN3/1p1P1PP1/1P2P3/P3Q1BP/3RB1K1 w - -,e1g3
2rr2k1/p2nppb1/3p2p1/q1p4p/N1P1P2P/1P2Q1P1/P4P2/2RR1BK1 w - -,f1h3
8/p2k1p2/1p5p/n2pPbp1/3P1p2/PP1N1P2/3KN1PP/8 w - -,d3c1
r2qkb1r/1p2pppp/p1np1n2/2p5/2B1P1b1/2P2N2/PP1P1PPP/RNBQR1K1 w kq -,d2d4
r2q1rk1/1p2bppp/p2pb3/4p1PQ/4P3/1PN1B3/1PP2P1P/R3K1R1 w Q -,e1c1
3r2k1/2p2ppp/p3qn2/4P1B1/Pp1r4/4QP2/1P5P/R3R1K1 b - -,f6g4
4r2k/1p2r1p1/1P5p/4P3/4QK1P/p7/6P1/8 w - -,e4a4
3R4/1p2rpk1/4ppp1/1P1n4/8/7P/5PP1/R5K1 w - -,g2g4
8/bp1r1kp1/p1p2p1p/P4Nn1/2PP2P1/1PB1R2P/2K5/8 b - -,g7g6
8/p2q2rp/1p3kp1/4bpN1/2Q2P1P/1P4P1/P1R5/6K1 b - f3,d7d4
1n3rk1/r2qn1bp/p2p2p1/1bpPpp2/B1N1P3/1P6/2PBNPPP/R2Q1RK1 b - -,e7c8
1qr4k/3r1pp1/2b1pn1p/1p2b3/4P3/1P1B3Q/P3R1PP/3NR1BK w - -,d1f2
8/1b5p/3k2p1/pr1n4/7R/1P3P2/P1R2KPP/8 b - -,h7h5
8/8/7p/1PnKp3/8/2P2P2/6k1/3N4 b - -,c5a4
r2q2k1/2p3p1/2Pp1n1p/p1nPp3/Pp2Pr2/6NP/1P1NQ1P1/R4RK1 b - -,d8b8
8/5p2/3b4/1p1p1k1p/3P2p1/1P3KPP/5P2/B7 w - -,h3g4
r1bq1rk1/2p2ppp/p2b1n2/1p6/8/1BP5/PP1P1PPP/RNBQR1K1 w - -,g2g3
r1bb1r2/q3npkp/p4Np1/2p1P3/2BnNB2/4Q3/P4PPP/3R1RK1 b - -,e7f5
r1b1nrk1/pp4bp/1qp1p1p1/4P1N1/2p2P2/2Nn2PP/P1Q3BK/R1B2R2 w - -,a1b1
r3r1k1/pp3ppp/2p1b3/6B1/4n3/1BP4P/PPP3P1/3R1RK1 w - -,b3e6
8/p3r1k1/P4p2/3Kb1p1/6P1/1Q5P/8/8 w - -,b3b4
2r1bk2/2p5/3p1p1N/prpP2pp/2R1P1P1/1P2PK1P/P2R4/8 b - g3,h5h4
rn1qk2r/pbp2ppp/1p2p3/3pP3/3P4/2bB1N2/P1P1QPPP/1RB2RK1 b kq -,b8c6
2r3k1/3r1pb1/p2Bp3/q1Pp2p1/1R1P4/P2R2P1/5P2/3Q2K1 w - -,d3b3
8/8/1k4P1/2n1Np2/2P2K2/1p6/7R/6r1 w - -,f4f5
8/8/1kp3P1/5p1p/5P2/1p6/qP4P1/2K1Q3 b - -,a2a1
r2qkb1r/pp2pppp/3p1n2/2p5/4P1b1/2PP1nP1/PP1N1PBP/R1BQK2R w KQkq -,d2f3
r1bqk2r/p2pbppp/2p2n2/4p3/4P3/2NB4/PPP2PPP/R1BQ1RK1 b kq -,e8g8
r1bqk2r/1p2nppp/3p4/p2Pp3/8/1N4P1/PP1QPPBP/R4RK1 b kq -,b7b5
2rqr1k1/pp4bp/2pp1np1/1P2p3/2P3P1/2NPP2P/P5B1/1R1Q1RK1 w - -,d1a4
r3k2r/p1qnbpp1/2ppbn1p/4p3/3PP3/P1N1BB2/2P2PPP/R1NQ1RK1 w kq -,c1d3
8/3R2bk/r5pp/3N1p2/3p1PP1/5K1P/8/8 w - -,d5c7
r1b1kb1r/pp1pp2p/5pp1/4n3/5P2/2B5/PPP3PP/RN2KB1R b KQkq f3,e5c6
r1br2k1/ppp2pb1/2n3pp/4p3/4n3/BPN3P1/P1P1PPBP/R4RK1 w - -,g2e4
8/p1k5/2p2p1R/1p3P1P/2p5/P6r/1PK5/8 b - -,a7a5
rn1qkbnr/pbp2ppp/1p2p3/3p4/3PP3/2N3P1/PPP2PBP/R1BQK1NR b KQkq d3,f8e7
1r3rk1/ppn1ppbp/1q1p1np1/2pP1b2/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,f5d7
rnb2r2/1p4kp/p2P2p1/2pBB1b1/Pq6/7P/1P2Q1P1/3R1R1K b - -,g7h6
rn2kb1r/pppqp2p/4bpp1/3p1n2/3P4/2NBP1B1/PPP1NPPP/R2QK2R b KQkq -,b8c6
8/p1Q3pp/2p1pqk1/2Pp4/2nPp3/8/P3PPBP/6K1 w - -,c7c6
5k2/3p1ppp/p2Np3/2b5/P4P2/3P2P1/6KP/8 w - -,d6c4
r4r2/4Qbkp/p1q5/1p6/4nPP1/7R/PPP4P/2B2RK1 w - -,c1e3
1r2r1k1/2qb1pb1/R1p2np1/1p1p4/1Pn2PPB/2NQ1N1P/2P3BK/R7 b - -,e8e3
1b2q1k1/r2nBrp1/ppbP1nNp/2p1pB2/P1Q1p3/1P2P3/5PPP/2RR2K1 b - -,f6d5
r1b1k2r/pp2pp1p/1qnp1bp1/2p5/P3PP2/2P2N2/1P1P2PP/R1BQKB1R w KQkq -,f1e2
8/6pk/4pp2/7p/3p1PP1/6QP/1rr5/3R2K1 w - -,g3d3
r7/pp2p1kp/3p2p1/4qb2/2P3B1/1P1R4/P2N2PP/5R1K w - -,d3d5
8/2n5/1p3kp1/2p1Pp1p/2P4P/4PP2/2PK2B1/8 b - -,f6e5
3r1rk1/ppp1qpp1/5np1/n7/1bBP2P1/2N1BQ1P/PP3P2/R2R2K1 w - -,c4f1
r3k2r/ppp1qppp/3b1n2/3p4/2PNP1b1/1P1nP3/PB1NBPPP/R2QK2R w KQkq -,e2d3
r1r5/qp1np1kp/3p1pp1/3P4/2PQ4/1PR2P2/4B1PP/3R2K1 b - -,g7f7
8/5p2/8/1R5p/4k3/1pr5/4K1P1/8 b - -,f7f5
rnbqkb1r/1p2pppp/p4n2/2p5/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq c6,d4d5
r1b2r2/3nqpbk/pp1p1npp/2p1p2P/P2PP3/1BP3N1/1P3PPN/R1BQR1K1 b - -,c5d4
5r2/p4pkp/2p1b1p1/2p3r1/N2pP3/1P1P3P/P1P3PK/4RR2 w - -,e4e5
r5k1/p5bp/1pn1b1p1/4p3/1P1pNP2/P4P2/8/R1BR2K1 b - b3,a8f8
8/p1kp4/1p2pQ1R/2p1P3/2P5/PP3R1K/3q3B/7r w - -,h3g3
4r3/pp4kp/2p3p1/4rb2/2P5/1PN5/PK4PP/3R1R2 w - -,d1d2
r5k1/3r1p1p/1p2p1p1/n7/1RP5/5BP1/4PP1P/5RK1 b - -,a8c8
2r2rk1/1p2ppbp/2nq2p1/3b4/3P4/4BN1P/2QN1PP1/1R2R1K1 w - -,e1c1
r2r2k1/p2q1p1p/4pn2/1pP3p1/1p1P4/3Q1NP1/P3PPKP/R2R4 b - -,d7d5
6r1/p3q1k1/8/1Q1Pppr1/1b4PR/1P5P/P1B2P2/6RK b - -,g7f8
8/8/1nkr4/6R1/8/1B2K3/P7/8 w - -,e3f4
1rbq1r1k/6np/p2p4/2p1p3/2P1Bp1R/2N3PP/PP1Q4/1R5K b - -,g7f5
5r2/1pkP3p/8/pB2Kr2/P4P1R/1P6/7P/8 w - -,e5e4
6k1/6qp/1pp3p1/p3N3/2P5/1PN4r/P5K1/4Q3 b - -,h3h5
8/8/3kpr1p/7R/6p1/6P1/4KP2/8 w - -,e2e3
2kr3r/3qb1p1/6p1/np1p1p2/3Pp3/2P2PPP/BP5K/3QRRN1 b - -,d7b7
r1b2rk1/pp3ppp/8/3qp3/8/P2Q1N2/1PP2PPP/R3K2R b KQ -,d5d3
N7/pp3Bbk/7p/2P1p1r1/4Pp1q/4BR1b/PP3QP1/R5K1 b - -,g5g2
3r4/1p2r1k1/p1p2qp1/3P1p1p/2P1p2P/1P4P1/P1Q1RP1K/3R4 b - -,c6d5
4r1k1/1b3pp1/p1p2nn1/1p6/1P1BP2P/2N2P2/P3BK2/3R4 b - -,g6h4
2q2rk1/1p1nbpp1/p2p4/Q3pP1p/P7/1P2B1nP/1P2BRP1/R5K1 b - -,d7f6
8/8/1kp4n/8/1P2r3/8/3KB3/4R3 w - -,e1b1
7r/4b1k1/1q2pNp1/1b1pP1Q1/2pP4/p1P3P1/R1R1BPK1/1r6 b - -,b5a4
8/8/1r6/4pp2/P3k1p1/6P1/5P2/R4K2 w - -,a4a5
8/4k3/p5pp/1p1RK3/1P2P1PP/1r1p4/8/8 w - -,d5d4
3r2k1/1b3pp1/np3q1p/p1br4/2Q1p3/PP2B1PB/2N1PP1P/R2R2K1 w - -,d1d5
r2rn1k1/5qb1/2p3pp/p1Pb1p2/P2NpB2/4P1P1/2QR1PBP/5RK1 w - -,h2h4
2r3k1/5p1p/3Q2p1/8/2q5/8/6PP/3R3K b - -,c8e8
r3k1nr/pp1bppbp/6p1/1B6/1n1P4/4BN1P/PP1N1PP1/R3K2R w KQkq -,b5d7
2rr2k1/p4p1p/5qp1/1p6/1P2Q3/P7/5PPP/3R1RK1 w - b6,g2g3
8/ppk2pp1/2p3p1/2n5/8/5BP1/PPP2P1P/2KRr3 b - -,e1e6
4k2r/2q2pQ1/pn3P2/3pp3/1p6/7r/PPPN3P/1K3RR1 w k -,g7g4
2kr1b1r/pppq2pp/1n2b3/3n1p2/3Pp3/BP2P1P1/P1N1NPBP/R2Q1RK1 b - -,f8a3
3r2k1/7p/2p2pp1/8/PpN1P3/4K2P/5PP1/8 b - -,b4b3
r1b1r1k1/1p3p1p/p2p2p1/2nP4/P1pbPP2/2N2QqP/1PBN2P1/R4R1K b - -,g3f3
8/5pk1/2Q1p1p1/1P2P2p/5P2/1n6/4rqPP/1R3N1K b - -,b3d4
8/8/pK1k3p/P6P/8/8/8/8 w - -,b6a6
3N2k1/8/3p2PK/2p4p/8/1P3N2/2n5/R7 b - -,c2a1
r3k2r/pp2bpp1/2p1pn1p/3q3P/3P1Q2/5N2/PPPB1PP1/1K1R3R b kq -,e8c8
5rk1/ppbr2p1/2p1pp1p/4P2P/3P4/2P2N2/PP4P1/1K1R3R w - -,d1e1
5k2/p4p1R/3rn3/1PR5/8/4pK2/P1BpP3/4b3 w - -,c5c8
8/7B/p7/1p6/1P3pp1/k1K5/5P2/8 b - -,g4g3
3rr1k1/1p3ppp/2b2q2/1B6/pQ2p2P/R3P1P1/1P3P2/2R3K1 b - -,c6b5
5rk1/p1p4p/1p1p2p1/2nP3n/2P2p1P/P1B2P2/5N1P/4rK1R w - -,c3e1
rn1q1r2/p2bppbk/2pp1npp/3P4/p3P3/2N1BN1P/RPPQBPP1/R5K1 b - -,c6c5
4b3/8/1R6/1p4k1/8/2K5/8/8 b - -,g5f5
8/2k1r2p/p1p5/1p2Pp2/1P2K3/P2R3P/2P5/8 w - -,e4f5
r2q2k1/p1pn2pp/1p1p2b1/3P1r2/2P2R2/P1B1Q3/1P1N2PP/R5K1 b - -,f5f4
r3r1k1/5pbp/1q1pn1p1/p7/1pPpP3/1P4QP/P1B1NPP1/3RR1K1 w - -,g1h1
2krbn1r/pp2b1pp/1qn1p3/3pp3/2pP1P1P/P1P2NPB/1P2N3/1RBQ1RK1 b - -,e8g6
r1qr2k1/pb2b1pp/1pp1pp2/2Pn2B1/3P4/5NP1/PPQ2PBP/R2R2K1 w - -,g5d2
3R1bk1/7p/6p1/p2pK3/P2P1P2/3rp3/8/8 w - -,e5d5
8/5p1p/5R2/p3r3/4P1kP/1b4P1/p5B1/3r1RK1 w - -,g1h2
2kr3r/1pp2ppp/1qn1pnb1/p7/P1BP2P1/2B2N1P/1PP1QP2/R4RK1 w - a6,f1e1
7k/r4prp/2Q1p3/p2pN1q1/P2P4/2P3p1/1P3P1P/R3R1K1 w - -,h2g3
r1bqkb1r/pp2pp1p/3p1np1/8/3QP3/2N3P1/PPP2PBP/R1B1K2R b KQkq -,f8g7
r2q1rk1/p2n1pp1/bp1ppn1p/2p5/1PPP3B/P1QBP3/4NPPP/R3K2R b KQ -,c5d4
r3r1k1/1b4pp/1p1q1p2/5P2/1p1PpNP1/1P6/P2Q3P/2R2RK1 w - -,f4e6
r7/1ppk3p/5p2/1p4p1/8/1PP5/P1K2PPP/3R4 b - -,d7c6
8/p3qpk1/1p3np1/2p3p1/6P1/1P1QPB1P/P4PK1/8 b - -,f6e8
r2qr1k1/1b1nbp1p/p2p1npB/1p1Pp3/2p1P3/2P2N1P/PPB2PP1/R2QRNK1 w - -,g2g4
2rq1rk1/p2nnppp/4p3/1pp5/3PPNPP/8/PPPQB3/1K1R3R w - -,d4d5
7k/2B4p/2n1b1p1/p7/4B3/P1b1N3/7P/7K b - -,c3e5
r3k1nr/pp1npp1p/3p2p1/q1pP4/2P1P3/1QP2P2/P4P1P/R1B1KB1R b KQkq -,g8f6
rn1q1rk1/p4ppp/bpp1pn2/3pN3/2PP4/1PN3P1/P2QPPBP/R3K2R b KQ -,f6d7
rqr3k1/1b1nbpp1/2p1pn1p/1p6/1p1PN3/P1NBP2P/2Q2PP1/1RBR2K1 w - -,a3b4
8/4k2p/Bb3pp1/p1pp1b2/8/2P4P/PP1N1PP1/4K3 w - -,a6b7
2r3k1/b2p1pp1/bq2p3/4n2p/1p2PNnP/1P4P1/PB2NPB1/4QRK1 b - -,b6d6
r2r1b2/2q2pkp/1n3np1/p3p1B1/1pp1P3/1PP3PP/P1Q1NPB1/2R1R1K1 w - -,c3b4
r3q1k1/2p4p/2p3p1/p1npbr2/5p1Q/1P6/PBP1RPPP/4R1K1 w - -,e2e5
rn2k2r/ppp2ppp/3bp3/8/2BPb2q/4B3/PPP3PP/R2Q1KNR w kq -,g1f3
4rbk1/1pqn1ppb/p1p1rn1p/4pN2/1PP5/2BP2N1/PQ3PPP/R3RBK1 w - -,a2a3
r3r1k1/1pp1qpp1/p1n2n1p/3p1B2/3P3B/2Q1PP2/PP3P1P/R4R1K b - -,e7d6
r1b2rk1/pp1n2pp/2pqp3/3pp3/2PP1n2/2NB1N2/PPQ2PPP/R3R1K1 w - -,d3h7
2r3k1/1p2n2p/4p1p1/p2pP1P1/P2P1P2/1P1bB1N1/2Q2K2/2R5 b - -,c8c2
r1b1r1k1/pp3ppp/1q3n2/2pp4/8/2PBPN1P/PP3PP1/R2QR1K1 w - -,a1b1
8/8/p2p1p2/1p1k2p1/1P4P1/3K1P2/8/8 b - -,d5c6
2r1b1k1/3n1p2/p3p1p1/Pp1p2P1/3P2N1/8/5PK1/7R b - -,g8g7
2rqkb1r/1p1n1pp1/p2pbn2/3Np2p/4P3/1N2BP2/PPPQ2PP/2KR1B1R b k -,e6d5
2rr2k1/pp3ppp/1q2p1b1/8/3n4/2N1QP2/PP4PP/1BRR2K1 w - -,e3f2
8/p4k1p/8/1pp1p1PK/4n2P/2P5/P3N3/8 w - -,h5h6
r5k1/6b1/1q4pp/5p2/2p5/2P2N1P/2QR2P1/7K w - -,d2d1
r4rk1/2qnbppp/b2p4/pp1Pp3/8/4B1P1/PPPQNPBP/R1R3K1 w - -,f2f4
6r1/2R2r1k/pp5p/4P2n/1P3p1N/P2PP1p1/2R2K1P/8 w - -,h2g3
2kr3r/Qp2pp1p/2p5/4q2P/4N3/2K5/P5P1/7R w - -,c3b3
3q1rk1/pp2rppp/8/3p3n/1RpP4/2P1PP2/P1Q3PP/R4NK1 w - -,a2a4
r2qrnk1/pbp1bpp1/1p2pn2/3pB1N1/3P4/3BPQ2/PPPN1P1P/R3K2R w KQ -,h1g1
8/K6p/1pkp4/6p1/P2PP1P1/8/7P/8 w - -,e4e5
r1bq2rk/4bp1p/np1p1np1/p1pPp3/2P1P1P1/P1N1BN1P/1PB1QPR1/R6K w - -,a1g1
6k1/1p5p/6p1/3Pp3/1PN5/4P2b/1Q5q/4KR2 b - -,h2b2
8/p7/1b2p3/3p3k/3P4/1PBK4/8/8 b - -,h5g4
r1k2b1r/2pbnpp1/1p5p/p1p1P3/8/1P2N2P/PBPN1PP1/3R1RK1 b - -,e7f5
1k6/1p1r4/pq1p3P/6Q1/4P3/1BP2nP1/PP1R3r/1K2R3 w - -,g5g8
r4rk1/1b2qpp1/pQ2p2p/5P2/Pp6/3B2PP/1PP5/R4RK1 w - -,a1e1
rnb1k2r/1pq2pp1/p4n1p/3P4/3BN3/5P2/PPP1B1Pb/R2Q1R1K b kq -,f6e4
r6k/pppqprbp/1nn3p1/3p1b2/3P3B/1BP2N1P/PP2QPP1/RN3RK1 b - -,h7h6
q4r1k/1b1R2bp/ppr1B1p1/6P1/1PP4Q/4B3/P3PP1P/2R3K1 b - -,c6e6
1q6/4npbk/2b1p1pp/n1p1P3/2Pp1BPP/3P1NN1/4QPB1/6K1 w - -,g3e4
r5k1/qp3ppp/2p1rn2/p1R5/8/4P1P1/PPQ2PBP/2R3K1 w - -,c1d1
4q1k1/R4p1p/p7/1p4p1/6P1/P4B2/1P3P1P/6K1 b - -,e8e6
