6k1/5p2/1R4p1/2p4p/r1P5/7P/5PPK/8 w - -,h2g3
1n4k1/4pp1p/3p1np1/p1pP4/4PB2/2P2NPP/P4P2/5K2 w - -,f3d2
r1bqkb1r/pp3ppp/2n1pn2/3p4/3p4/1P1BPN2/PBP2PPP/RN1QK2R w KQkq -,e3d4
r1q1kb1r/1p3ppp/p1np1n2/3NpP2/2B5/3Q4/PPP2PPP/R1B1K2R b KQkq -,f6d5
8/5pkp/pp1R1rp1/8/8/1P2P1K1/P4P1P/8 w - -,d6d7
5k1r/1b3pp1/p7/2R2P2/2Br3p/P6P/1P4P1/R5K1 w - -,c5c7
r1b5/5nk1/pQpq2p1/2Npp2p/4P2P/1P1N2P1/P1P2R2/1K6 b - -,a6a5
7k/pp4p1/1q4rp/5bBQ/PP1p4/5P2/4r1PP/R4R1K w - -,g5h6
2r2rk1/p1q2p1p/1n2p1p1/3pP2P/1P1P2N1/1R6/5PP1/R2Q2K1 b - -,c7c2
r5k1/p6p/3q2p1/3br3/1p3p2/3B1P2/1P4PP/R1QR2K1 b - -,d6b6
b7/5p1k/6p1/P7/3r1qP1/5Pp1/2Q5/3R1BK1 w - -,d1d4
r3kb1r/pq1p1ppp/n3pn2/P5B1/1p1N4/2P2PP1/1P2P1KP/RN1Q1R2 b kq -,f8e7
8/pp6/3kr1pb/5p1p/2PP1N1P/1P3KP1/P7/3R4 b - -,h6f4
2r1r1k1/pp1n1ppp/2pqb1n1/3p2P1/3P4/2NBPN1P/PPQ2P2/2KR3R w - -,c1b1
8/4k1pp/4p3/Nb3p2/pp6/4PPP1/3K3P/8 w - -,e3e4
1k1r3r/1p3R1p/p1p2P2/3q3P/3pNPB1/8/PPPB4/2K4R w - -,f7e7
4rbnr/pp1k3p/2n1bpp1/2p5/P2p4/3P1NP1/1PPB1PBP/RN2RK2 b - -,f8d6
3r3k/1p5p/3b2p1/3B2P1/2P5/P1q2R2/7P/7K w - -,f3c3
r2qk2r/1bpp1pbp/pp1n2n1/6p1/2PN4/1PN1P3/P1QBBPPP/R4RK1 w kq -,a1d1
8/R7/6p1/p2r4/P2kp1P1/8/4K3/8 w - -,a7a6
rnbqk2r/ppp2ppp/5n2/3p4/2PP4/P1b5/1P3PPP/R1BQKBNR w KQkq -,b2c3
2r1r1k1/p5p1/2p1b2p/1pR2p2/3PpPP1/1P2P2P/qN3Q2/3R2K1 w - -,g4f5
5r2/5pk1/2B3p1/7p/2P5/3n4/PP6/1K4R1 b - -,h5h4
rn1q1rk1/1pp1bppp/p1b1pn2/8/3P1B2/5NP1/PPQ1PPBP/RN1R2K1 w - -,c2c4
2b2rk1/p4ppp/1r2p3/q3P3/1p2BP2/1P4P1/P2Q3P/R2R2K1 w - -,a1c1
rnb2r1k/4q1b1/p2p3p/1p3P1n/3PP1pP/2PQ4/PP1NNBP1/2K1R2R b - -,d6d5
5r1k/6pp/R1qp3b/1p1Np3/1P1pQ3/5P1P/6P1/R1r4K w - -,h1h2
3r2k1/p4rpn/1p1pp1q1/1P1b3p/P2Pp2P/B3P1P1/3RQPB1/5RK1 b - -,h7f6
r3r1k1/p5pp/1p2qp2/1bp1p3/4Q3/P1B2PP1/1P1R3P/4R1K1 w - -,e1d1
rnbq1rk1/p3bppp/1p2pn2/8/8/2NBPNB1/PP3PPP/R2QK2R b KQ -,f6d5
3q1rk1/4bppp/p3p3/1p1pn3/2r2PQ1/P3P3/1P2N1PP/R3BRK1 w - -,g4g3
r4rk1/ppn1pp1p/4b1p1/2P5/2B4P/4P3/PP1N1PP1/2R1K2R w K -,e1e2
2r1r1k1/1bq2ppp/pp3b2/4p3/P3Pn2/2N1BB2/1PP2QPP/R4R1K b - -,f6d8
1rb5/pp3k1p/8/r2N1p2/3Bp3/4P3/P5BP/R1R4K b - -,a5d5
r1bqk2r/ppp2ppp/2nb4/3np3/8/PP2P3/1BQP1PPP/RN2KBNR b KQkq -,e8g8
r1b1kb1r/pp1n1ppp/1qn1p3/2ppP3/B7/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,f8e7
r1bq1rk1/1ppn2bp/3p2p1/p1nPpp2/2P1P3/P1NNBP2/1P2B1PP/R2Q1RK1 w - -,b2b4
8/8/1N3pp1/4k3/4n3/3K4/P5P1/8 w - -,a2a4
rnbqk2r/pp3p1p/2pb2p1/3p1p2/3P4/2PBP3/PP1NNPPP/R2QK2R b KQkq -,b8d7
rnb1kb1r/2q2ppp/3p1n2/2pp4/1pN1PB2/5P1N/PP4PP/R2QKB1R w KQkq -,e4d5
7R/7P/8/8/8/8/3K1p1r/5k2 b - -,h2h3
r3r1k1/3qb1pp/5pn1/p1Np4/8/1P3Q1P/3B1PP1/2R1R1K1 b - -,e7c5
2r3k1/p3qp1p/1n2p1p1/1Qp5/8/PP1RP3/5PPP/2R3K1 b - -,c8c7
2r5/2r3pk/q3p2p/P2pPp2/3Pb3/1RB5/3Q3P/R5K1 b - -,c7c6
5r2/6kp/6p1/2bPR3/8/1BP5/1K5P/8 b - -,f8f2
2rr2k1/1p2ppb1/2nq2pp/8/2bP4/4BN1P/5PP1/1RRQ2K1 w - -,c1c4
1r4k1/4ppb1/qr1p1npp/2pPn3/4PB2/1PN5/P1Q1NPPP/1R1R2K1 b - -,f6d7
r2qr3/pp3pk1/3p1nPp/n1p4b/2PPp3/P1P1P1NP/R4QP1/1BB2RK1 b - -,h5g6
1k6/1Pb2p1r/4p1p1/p7/P1KP4/7P/5RB1/8 b - -,c7b6
rr5k/p3q1bb/3p4/1ppP2PP/2P1pQ2/5P2/PP3B2/2K3RR w - -,g5g6
3rr1k1/1p2b1p1/p1n4p/4p3/4P3/2P3BN/P5PP/3R1RK1 b - -,d8d1
8/8/7p/2K5/4k3/7P/8/8 b - -,h6h5
8/5kpp/8/P2p4/1B1bp2P/P7/2r5/3K4 w - -,d1c2
2b2r1k/5pbp/p1Q5/3Np2p/2B1P3/5P2/PP4q1/1K1R4 w - -,d5e7
rn1qk1nr/pbp2pb1/1p1pp1pp/8/3PP3/2N1B1P1/PPPQNPBP/R3K2R b KQkq -,b8d7
2kr3r/1p3ppp/p1nbb3/q2p4/Q1P5/N4N2/PP3PPP/R1B1R1K1 w - -,a4c2
r1b2rk1/1p1nqpbp/p2p1np1/2pP4/P7/2NBPN1P/1P3PP1/R1BQ1RK1 w - -,e3e4
8/5pk1/6pp/8/4P1Pb/1R3K1P/2r1NP2/8 b - -,c2a2
N1k5/p7/2p1q3/3pPp2/5P2/8/PPP3P1/3KR3 w - -,g2g4
5rk1/p2q1pbp/1p1np1p1/3p4/1B6/Q2PP1P1/PP3P1P/2R2BK1 b - -,f8c8
8/6kp/3q1pp1/6r1/4P3/1PR1NP1b/P4Q1P/7K w - -,c3c1
1rr3k1/p2nppbp/3pb1p1/q1p5/2P1P3/1P2B1PP/P1Q1NPB1/3R1RK1 w - -,e2f4
8/7p/6p1/3k4/1R6/1P3KB1/2r1n2P/8 w - -,g3f2
5r1k/5ppp/4qn2/1p6/1Q2p3/6P1/PP2PPBP/2R3K1 b - -,f8d8
2nr2k1/1bqn1R2/p2p2pp/1p1P2bP/1P1BP3/P7/4N1PN/1B1R3K w - -,f7g7
4q3/6p1/1p3k2/1PpQrp1p/2P5/3P3P/6P1/4R1K1 w - -,d5d6
r1b1r3/1p3pk1/1bpp1qp1/p3p2p/P2PP3/2P1NNPn/1PBRQPKP/R7 b - -,c8g4
r2qr1k1/pp1n1pbp/2pBp3/3pN3/2PPp3/1P2P3/P4PPP/2RQ1RK1 b - -,d7e5
2b1qrk1/1p2b1pp/r1p5/p3Pp2/N2n1P2/1P3BP1/PQ2P2P/2R2RK1 w - -,b2d4
2rq1rk1/pp2bpp1/4p1p1/n2pP3/P2P4/5N1Q/1P1B1PPP/3R1RK1 w - -,h3g4
3r1rk1/p2p1ppp/1pn2q2/2pQ4/2P5/P3PN2/1P3PPP/1R3RK1 w - -,f1d1
r6r/1p1k1pp1/p3p2p/2bn4/8/2P3P1/PP1B1P1P/R3KB1R b KQ -,a8d8
r4r2/1p2q1bk/6p1/p1p1pp2/PnN5/2BPPPPp/1P5P/1R2QRK1 w - -,e1e2
3r2k1/1r6/2p3pp/2Bb1pN1/7P/1Pn2P2/P1P3P1/2K2B1R w - -,g5h3
5q1k/r4B2/p3PnQp/2p3R1/1p5P/1Pnp2P1/P4P2/6K1 w - -,g6f6
3q4/6k1/pr3Rpp/8/1P1p1Q2/P5P1/1B3P2/6K1 b - -,b6f6
1qrr1bk1/5ppp/p1b1p1n1/3p2P1/2P1PP2/2N1BR2/P3Q1P1/1BR3K1 w - -,e4d5
4kBr1/1p4Pp/2n5/p4R2/5P2/1P6/P4KPP/8 b - -,b7b6
6k1/6p1/1p5p/r2p1p2/p2P1P2/1r4P1/R2K1P2/2B5 b - -,b6b5
r5k1/3nnpp1/p3p1p1/1r1pP3/1Pq3P1/2P1QN1P/5P1B/R3R1K1 w - -,f3g5
1r4k1/2q2ppp/8/p1pR4/2Pb4/PP6/2Q4P/1R5K w - -,c2e4
1r3nk1/2R3p1/2P2p2/1b1Pp3/r3P2P/p1B3P1/R5B1/6K1 b - -,b5c4
r3k1nr/1p1b1ppp/pq2p3/2bpP3/8/P1NB4/1P3PPP/R1BQR1K1 w kq -,e1e2
8/B4R2/5ppk/7p/3bp2P/5bP1/n7/5K2 b - -,d4a7
5k2/8/2p1P3/6B1/pbP5/3K4/P7/8 b - -,b4c5
2kr3r/pp1bqpnp/1np3p1/3p4/3P2P1/2NBPN1P/PPQ2P2/1K1R3R w - -,c3a4
2k1r3/p4R2/1p2P1p1/6p1/1P4P1/P3n2P/8/2R3K1 b - -,c8b8
5b2/1B3kpp/4pp2/P7/1n3P2/2B3PP/1P2K3/8 b - -,f8c5
r5kr/2qnbpp1/2p2np1/ppPpp3/3P4/2N1PPP1/PPQ1B2P/2KRB2R w - -,c1b1
8/pp1k4/8/2P1rpp1/PPR5/4K1P1/5P2/8 w - -,e3d3
r2qnrk1/p6p/3p2p1/1PpPpp1n/P1N1P3/2QB1PP1/7P/1R3RK1 w - -,c3d2
2r1r1k1/pp2pp2/3p2p1/4P3/1n4q1/1NN5/PPPB3Q/1K5R b - -,g4h5
1r2k2r/Rpp2p1p/4n3/2p1Nnp1/2P5/2K3B1/1P3PPP/4R3 w k -,e5d3
r1b2rk1/pp2bppp/1qnppn2/8/2PN4/P1N1P1P1/1P3PBP/R1BQ1RK1 b - -,c8d7
3r1r2/pp1nqp1k/2pR1bpp/2P1p3/1P2Pn1N/2N1BPP1/P1Q4P/5RK1 w - -,h4g2
2kr3r/Rb1n1p1p/3q2pB/2p1p3/1pP1B3/1P6/4QPPP/5RK1 b - -,b7e4
1q6/kn1r2pp/p2rN3/5P2/P3Q3/6P1/5P2/1RR3K1 w - -,e4e3
r5r1/P1pP3p/R1N2b2/2p2k2/2N5/4p1P1/7P/5K2 b - -,f5e4
8/5p2/r6p/3p1k2/6p1/PK3PP1/5P2/3R4 b - -,g4f3
r3r1k1/2b3p1/4pn1p/1p2Np1P/p2P4/2P2P2/1P3BP1/1K2R2R w - -,b1c2
8/4kp1r/3p4/8/5K2/8/4R3/8 b - -,e7d7
6k1/p3r1pp/b3qp2/3p4/3Bn2P/1P2P1PB/2R2P1K/3Q4 b - -,f6f5
8/p2r2k1/6R1/4PK2/2B4b/1P6/8/8 b - -,g7f8
6r1/ppk1n2p/2p1p3/2P1P3/8/1B4QP/PP3Pq1/1K2R3 w - -,g3g2
7r/4b3/1p1pBk2/pP2pPp1/P1P1P1K1/3R2P1/8/8 b - -,h8h1
r4rk1/2qnppbp/p5p1/1p6/P2p1PPB/2PQP3/3N3P/R3K2R w KQ -,c3d4
8/2k3p1/p3p2p/2PnN2P/3K2P1/P7/8/8 w - -,d4e4
r2qr1k1/pbpn1pb1/1p1p1npp/6B1/2PNPP2/2N5/PPBQ2PP/4RRK1 w - -,g5h4
2r3k1/pQ3ppp/4qn2/2b1p1B1/4P3/4N1P1/PP1r1PBP/R5K1 b - -,h7h6
1r3rk1/4qppp/p1bp1n2/P1p1p1B1/1p2P2N/3P4/1PP2PPP/R2Q1RK1 w - -,f2f4
r4rk1/pp2qp2/2p3pp/4Nb2/nP6/1Q2P3/P3BPPP/2R2RK1 b - -,e7e5
8/5k2/5p2/8/1p1n2PP/2nB3K/5P2/8 b - -,b4b3
8/1b5R/p3p1k1/1p3p2/8/7P/q1p3P1/2B3RK w - -,h7b7
1kr3r1/p7/4p1Np/1p1pP1pP/qb1P4/3QP3/1P6/1KR4R w - -,h1f1
r2q1r1k/p3bppp/2b1p3/1p1nP3/2p3Q1/1BPP4/PP1N2PP/R1B1R1K1 w - -,b3d1
r2qkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2NBPQ1P/PP3PP1/R1B1K2R b KQkq -,f8d6:f8e7:f8b4
6k1/R5B1/2r5/1p3p1B/2b1n3/8/P5PP/6K1 w - -,g7d4
5rr1/pQ2nppp/2n1k3/3pP3/q1pP1P1P/P1P3P1/2PB4/R4RK1 w - -,f4f5
4R3/6P1/p4P2/kp6/4N1r1/P3K3/8/3r4 b - -,d1e1
3q2k1/1p3pp1/p1p1n2p/P2rP3/1P6/2Q2N1P/5PP1/4R1K1 b - b3,d5d3
8/1b6/1b3k2/1p1n1p1p/p3p2N/P3P1P1/1P2K2P/3B1N2 b - -,b5b4
r1bqk2r/3nbppp/p2p1n2/1p2p3/4P1P1/1NN5/PPP2PBP/R1BQ1RK1 b kq -,b5b4
r4k2/2K2p2/2N2Rp1/4P3/8/8/1R6/2r5 w - -,b2b7
5k2/3r4/2P2p2/1p5p/1P6/2Qp3P/3R2PK/5q2 b - -,d7e7
rnbqkb1r/ppp1p1pp/5p2/3p1n2/3P3B/4P3/PPP2PPP/RN1QKBNR w KQkq -,h4g3
8/6kP/1R6/3pP3/3P4/1p2P1K1/2b5/8 b - -,g7h7
8/p7/1pp4p/3nnk2/3B4/2P5/PPKN1PPP/8 w - -,d4e5
1k2r3/2p3p1/1n4Q1/p7/8/1q3B1P/6P1/3R3K b - -,b3a4
3r4/8/2k1p2p/1Rp2p2/P7/1P2K1P1/5P2/8 w - -,e3f3
8/8/p3Q2k/1p2p2p/2p1Pq1P/P4P2/1P4K1/8 b - -,h6g7
4r3/pk1Nq3/1p1R3p/2P1P1p1/4QpP1/4bP2/P1P4P/1K6 b - -,b7a6
rnbq1rk1/p3ppbp/1p4p1/8/3PP3/5N2/P3BPPP/1RBQ1RK1 b - -,d8d7
r2q1rk1/pp3ppp/2n2n2/6B1/3p4/P2B4/1PP1QPPP/R4RK1 b - -,h7h6
1b4k1/p3r1pp/q3pn2/2p2p2/2N2P2/1PN1PQ2/P5PP/2R3K1 b - -,e7d7
1k1r1b1r/p2q1pp1/2p2n2/3p3p/3QpP2/1N2B1P1/PPP1P1KP/R4R2 w - -,h2h4
rn1q1rk1/3p1ppp/4pn2/p1b3N1/8/2P3P1/1PQNPPbP/R1B2RK1 w - -,g1g2
3b1rk1/1p3p2/1P4rp/1PpNBb2/2P3p1/6P1/5K1P/R3RB2 w - -,a1a7
1r4k1/p2nbp1p/4p1p1/3p4/q2Pn3/N2BPNP1/QP3P1P/2R3K1 b - -,d7f6
5rk1/bp5p/p2p2p1/P2PpP2/1P4R1/3Q3P/2P2P2/2q1BK2 b - -,g8h8
5r2/p3p2p/1p3k2/2p4p/3rp2R/P1R3P1/5P2/5K2 b - -,f6g6
4r3/pp4pp/3kP3/3p4/4n3/P5P1/1PB4P/4R1K1 w - -,c2e4
7k/3q2pp/1p3r2/1P6/2B3QR/1P4PK/7P/8 b - -,d7d8
r2q1rk1/pp4bp/n2p2p1/3Ppb2/1P2NP2/P6P/3B1P2/RQ2KBNR b KQ -,f5e4
r2r2k1/pp2bppp/3np3/8/3B4/2P2N1P/PP3PP1/R2R1K2 w - -,d4c5
rn1qkb1r/p2p1ppp/1pb2n2/2p5/8/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,f8e7
8/6k1/6p1/5p1p/3K1P1P/2R3P1/6r1/8 w - -,d4e5
r2k4/pR1b4/B1p1p3/2PpPp1p/1P3Pp1/1K2P1P1/6P1/8 w - -,b3a4
r1b1kb1r/2q2ppp/p1n1p3/3n4/Pp2B3/1N6/NPPBQPPP/R4RK1 b kq -,c7e5
5k2/6p1/5p2/P4n1r/2Q1pP1r/4P1RP/2P4K/8 w - -,c4f1
5r1k/6pp/3pr3/p7/1pPRBP2/1P2nR1P/P7/6K1 b - -,e3f5
2r3k1/pQ3p1p/6p1/8/8/5Nbq/PP5P/1R1n2K1 w - -,b1d1
7r/1pQnkp2/p2p2qr/3Pp3/PB2P3/5RP1/1P4P1/4R1K1 w - -,g1f2
r2r4/ppR1bk1p/4p1p1/4Bn2/1P6/P3P2P/4BPP1/3R2K1 w - -,d1d8
1r1qr1k1/1pn3pp/5p2/p3p2b/2P1N3/PPpP1PP1/6BP/3RRQK1 b - -,f6f5
r4rk1/1pq1b1p1/2pN1n1p/p1n5/P2QPB2/2N4P/bPP2PP1/R3R1K1 w - -,a1a2
8/8/2bn1kp1/B7/p7/P7/B4K1P/8 w - -,f2e3
1r2r1k1/2p1qb1p/1p1p2p1/3P4/P3P3/6P1/PbQ3BP/1R3RK1 w - -,b1b2
3r1b1r/4pkpp/2Q5/P1ppq3/4p3/2N5/1P3PPP/R3R1K1 w - -,a5a6
b1r3k1/4qppp/p3pn2/Pr1pN3/3P4/3Q2P1/1P2PPBP/R2R2K1 w - -,d1c1
r2q1rk1/1p3pbp/1np1pnp1/p7/PQ1PP3/2N2B2/1P1B1PPP/R2R2K1 w - a6,b4c5
r1b2rk1/pp2bpp1/n6p/q1pP4/4N3/1Q3N2/PP1RBPPP/4K2R b K -,c8f5
2r2rk1/p1B2ppp/1p2b3/n2p4/1P1Pq3/P4B2/Q4PPP/R4RK1 b - -,e4d4
5rk1/1p5p/5b2/1r3P2/6P1/1P3R2/7P/5RK1 w - -,g1g2
r1bq1rk1/1p2npbp/p2pp1p1/8/3pPP2/2NP4/PPPBB1PP/R3QRK1 w - -,c3d1
3q1nk1/5ppp/1pp2n2/p3p3/P3P3/1N2QBPP/1PP2P2/6K1 w - -,f3e2
2r3k1/1qr1ppbp/1n1p1np1/1p1P4/3N1P2/1PPQB1PP/6B1/2R2RK1 b - -,b5b4
2r5/5ppk/p7/1p2PNn1/6P1/2B2K1P/PP3P2/8 w - -,f3e3
2r2rk1/6pp/p4q2/2RP1p2/3Q4/5n2/P2N2PP/5RK1 w - -,d2f3
3r1r1k/b2B3p/2pR2p1/3bR3/N7/2P2pPP/5P2/6K1 b - -,a7b8
2r1r1k1/1p3pp1/p6p/2PPq3/PP2P1n1/7Q/6P1/4RR1K b - -,h6h5
5rk1/5p1p/4p3/R1p1P1p1/8/2P3P1/5PKP/8 b - -,f8d8
r4rk1/1p1n1pp1/1qp1p2p/p2nP3/PbBPN1b1/3Q1N2/1P1B1PPP/2R2RK1 b - -,g4f3
1r2kb1r/2q1ppp1/2Pp1n1p/8/Q2Nb3/6P1/PP2PPBP/R1B2RK1 w k -,g2e4
r1b2rk1/ppq2pbp/2pp1np1/2n5/2P1PB2/1PN3P1/P3NPBP/1R1Q1RK1 b - -,f8d8
1r4k1/6pp/2p5/p1Pp4/P3P3/8/1r3P1P/R4RK1 b - -,d5e4
8/R3k3/p1r1r1p1/1p6/6PP/3p4/6K1/R7 b - -,e7f6
1r4k1/3nppbp/r2p1np1/2pP4/4P3/2N1BPN1/PP4PP/2KR3R b - -,d7b6
r3r1k1/1b3p2/p4qp1/1pb1p2R/8/1BP1N1Q1/PP3PPP/4R1K1 b - -,g8g7
6r1/p2qrn2/kpb1pR1p/3pB2P/2pP2P1/P1P1QB2/2P4K/5R2 b - -,d7e8
1R6/8/r4p2/2k1p3/7P/1p2P1P1/5K2/8 b - -,a6b6
2rr2k1/3qbppn/p1n1b2p/1p6/2pPN3/P4PPP/1P2NBBK/2RQ1R2 b - -,h7f6
3q1rk1/1p3ppp/pN1bpn2/3p1b2/3P4/1Q2P3/PP1BBPPP/2R3K1 w - -,b6c8
r1bqk2r/1p1nppbp/1np3p1/p7/P2PP3/2N1B3/1P2BPPP/R2QK1NR w KQkq a6,d1b3
1rb1rbk1/1pq1pp1p/2pp1np1/p1nP4/P1P5/BPN1P1PP/4NPB1/2RQ1RK1 w - -,e2d4
rnbqk2r/ppp1bppp/8/3pP3/3P4/2P2N2/P1P1Q1PP/R1BK1B1R w kq -,e2f2
2r2rk1/pp1nppbp/3p2p1/3N4/1n2PP2/3BBK1P/PPP3P1/R2R4 b - -,b4d5
r3nrk1/3qn1b1/1pp1b2p/1N1p2p1/1P1P4/1QN1PB1P/P4PPB/1R3RK1 w - -,b5a3
8/8/4np1p/p1k1p1pP/1pp1P3/2P2PP1/PPN1K3/8 w - -,c2e3
3R1b2/1r4kp/2p1b3/p3pp2/2P5/PnN4P/1P3PP1/3R1BK1 w - -,d8a8
r4rk1/1pqbbppp/p3p3/8/P1PPQ3/3B4/5PPP/R1BR2K1 b - -,f7f5
2b2rk1/1p3pbn/nB1p2p1/3Pp2p/1pP1P1P1/Q4P1P/N2NB3/5RK1 b - -,b4a3
rnbqk2r/p1pp1ppp/1p2pn2/8/1bPP4/2NBP3/PP3PPP/R1BQK1NR b KQkq -,c8b7
8/1B4k1/p2p4/2p3p1/2p5/1P5P/P4bP1/7K w - -,b3c4
3n3Q/ppk1b3/2r1q1p1/2pnB2p/P1NpN3/1P1P4/2P3PP/5RK1 b - -,c7d7
r1b1kb1r/2q2ppp/p1nppn2/1p6/4PP2/1NNBBQ2/PPP3PP/R3K2R b KQkq -,c8b7:f8e7
r3kb1r/pp1bnppp/2q1p3/n2pP3/NP1P2P1/P4N2/1B3P1P/R2QKB1R w KQkq -,a4c5:b4a5:b4b5
3r1k2/1p3ppQ/4b2p/5B2/p7/1Pq4P/P4PP1/5RK1 b - -,e6f5
r7/pp1bprk1/n2p3q/2pP1P1p/2P1R2P/PP3BN1/2Q4K/5R2 b - -,g7g8
6k1/3q4/pp2prp1/2p2p2/2PB1Pp1/4Q3/PP4PP/3R2K1 b - -,c5d4
2bb1r1k/1r3qpp/Qp3n2/2pNBp2/2P2P2/4P3/PP2B1PP/2R2RK1 w - -,e2f3
2q2rk1/5p1p/6Nb/1p2p3/8/1P4PP/2PQ4/3R3K b - -,c8h3
6k1/2r2p1p/1Nn1rbp1/8/p2pP3/R1P4P/1P1N1PP1/4R1K1 w - -,b6a4
2k1r2r/1pp3q1/p2pR1pp/3n4/3P4/P4N1P/1PPQ1PP1/2KR4 w - -,e6e8
2kB2r1/p5bp/1ppqb1n1/2p1p3/N3Ppp1/1PNP1P2/P1P1Q1PP/2KR3R b - -,g8d8
r2q2k1/pp1r1pbp/n1p1bnp1/2P1p3/4P3/P1N1B2P/1PQNBPP1/R2R2K1 b - -,a6c7
8/8/8/1kp1p3/1r5p/4K2P/1R6/8 w - -,b2a2
2b2rk1/5r1p/3p1p2/1p1Pq2N/4PRPp/7P/1PQ5/5R1K w - -,c2b3
r3r1k1/1pp1q1pp/p1p5/4N3/4Pp2/1P1P2bb/PBPNQ1K1/R4R2 w - -,g2h3
6k1/5p1p/1nrp2p1/q3pP2/2PbP3/2Nb2P1/P2Q2BP/2R1R2K b - -,d3c4
5rk1/1p3ppp/q2r1n2/p1B2P2/P1N5/1PN2Q2/2n3PP/5RK1 b - -,d6d8
2r2rk1/1pb1n1p1/5q1p/pPPp4/4pP1P/P1NQ2P1/2P1N3/R4RK1 w - -,d3d4
8/1R6/p7/6n1/P6r/1P3kp1/8/5K2 w - -,b7f7
r1bqrnk1/2p2ppp/p2N4/1pp1p2Q/4P3/1P1P4/PBPN1PPP/R4RK1 b - -,c7d6
8/1k3p2/1prp2p1/r1n5/PRP1Pp1p/4K2P/6P1/2RB4 w - -,e3d4
1rb2q1b/5p1k/p4Prp/n2pPQ2/NppP4/4BB1P/PP5K/R4R2 w - -,f5b1
6k1/p2r1p1p/1p2pQp1/3rP3/P2n4/1P2q2P/1BP2RPK/3R4 w - -,d1d3
rn2r1k1/ppp2pbp/6p1/3Nn1B1/2P1P3/5B2/PP4PP/2KR3R b - -,b8a6
2r3k1/1p2ppb1/1q1p1npp/pNr5/Pn2P2B/N1P5/1P3PPP/R2QR1K1 b - -,b4c6
4B3/8/1p1R2pk/5p1p/2P1p3/6P1/P4RKP/4q3 b - -,e4e3
8/1kp5/1p1n4/p3Q3/4p3/1PBqP2P/P2P2PK/8 w - a6,a2a4
8/2p2kbp/pp3pp1/4p3/2P5/3nP2P/P2N1PPB/5K2 b - -,g7f8
1r1r1bk1/5p1p/pBq1b1p1/Pp2p2n/2p1P3/2P2P2/1PBN1QPP/R3R2K b - -,b8b6
4rk2/3b1p2/1rNp4/1ppP1P2/4P1P1/1P1B1R2/7P/7K b - -,c5c4
q1r3k1/3npp1p/3p2p1/3P4/1rNRP3/P1P1B1PP/2Q2nK1/8 w - -,a3b4
