8/2B4p/2b5/6b1/4k1KN/8/8/8 b - -,g5f6
1brr1nk1/pp2qpp1/2p2np1/P7/2B1P3/1QN1B2P/1P3PP1/R2R2K1 b - -,f6e8
7r/1P6/1K1N2p1/4npk1/7p/7P/3R2P1/8 w - -,d2e2
3b2k1/2r2ppp/p1p1p3/1p2P3/2P2P2/4B3/PP4PP/5RK1 b - -,c7d7
3r1rk1/p3b1p1/3p2q1/R3pp1p/2P5/BP3Q1P/P4PP1/3R2K1 b - -,f5f4
r1b1qrk1/1p2n1bp/3p1np1/PNpPp3/2P1Pp2/BN3P2/4B1PP/R2Q1RK1 b - -,e8d8
1k6/p4p2/1p1rp3/1q1r4/4QPP1/2R3R1/7P/4K3 w - -,c3c1
3rk2r/1p2bpp1/p6p/N2bp3/2P3P1/3Q1P1P/qP1B4/2KR3R w k -,d2c3
2r1n1k1/4ppbp/r2p2p1/PNnP4/4P3/RpN1B3/1P3PPP/1R4K1 b - -,e8f6
8/1rn4p/5kp1/5P2/RP1KP1P1/7P/8/8 b - -,c7b5
2r4r/1kp3p1/p3R3/bp2Pn1p/3pq3/3P1N2/1B3PPP/2R3K1 w - -,d3e4
2r2nk1/3b1pNp/1p1R2p1/8/Pn5B/4PB1P/2p2PP1/2R3K1 b - -,g8g7
6k1/1q3pp1/p3pb1p/2B5/1P3P2/P7/4QKPP/3r4 w - -,e2d1
rnb2rk1/1p2ppbp/p1pp1np1/q7/2PPP3/2N3P1/PP2NPBP/R1BQ1RK1 w - -,c1d2
r3r1k1/pb1qbppp/np1p1n2/2pP4/P1N5/2N3P1/1P2PPBP/R1BQ1RK1 b - -,a6b4
r4rk1/1bq1bppp/p1nppn2/8/1p2PP2/1NNB4/PPPBQ1PP/4RR1K w - -,c3d1
6k1/pp2pp1p/2nr2p1/2p5/5P2/P2rP1PP/1P4B1/1R2R1K1 w - -,e1e2
r5k1/2pq1ppn/1r1p3p/1p1P3P/1N2PPP1/P5R1/1P6/1KQ1R3 b - -,f7f6
2b5/k3r3/1R6/KP6/3B4/8/8/8 b - -,a7a8
4r1k1/pp3p1p/6p1/3p4/2P2Nq1/3P1R2/P2K2B1/2R5 w - -,f3f2
1r5r/2k1np2/4p1pq/pp1pP2p/b1pP1P2/P1P3PB/1NPQ3P/1R3RK1 w - -,b1c1
4r3/p5pk/2b4p/2p5/8/2P2N2/P2K1PPP/7R b - -,e8e4
2R5/p3r1k1/1p5p/8/3p2Pb/3B4/P4K1P/8 w - -,f2g2
r1bq2k1/p3rpbp/3p2p1/NBpPn3/1n2P3/2N4P/1P3PP1/R1BQR1K1 b - -,c5c4
r1b2rk1/1pqnbppp/p2p1n2/P3p1B1/2B1P3/2N5/1PPNQPPP/R3K2R w KQ -,e1g1
8/4Bp2/2p3k1/1p2P3/2b1PKP1/5P2/3R4/7r b - -,h1h3
r3k3/ppqbbp2/2n3pr/2p1pP2/3pP1P1/3P2N1/PPP3B1/RN1Q1RK1 w q -,d1d2
6nk/p1Q3p1/7p/P7/3Pp3/1qP3P1/3r1P1P/R5K1 b - -,e4e3
2rr4/5bkp/2p3p1/p7/2PbN3/1P4PP/P3R1BK/4R3 w - -,e4g5
r2r2k1/5ppp/2p3b1/p6n/PpB1Pq1P/1N3PBR/1PQ3P1/2R1K3 b - -,h5g3
1r2R3/pp1q2bk/2n2ppp/3p1b2/3P4/QB3N1P/PP1B1PP1/2R3K1 b - -,b8e8
r1bqk2r/pp1nppbp/2n3p1/3pP3/3P1P2/2N1B3/PP4PP/R2QKBNR b KQkq -,d7b6
3r2k1/p1qn1pp1/1p2p2p/8/2PN4/1P2Q2P/P4PP1/2R3K1 b - -,c7c5
r4rk1/1p5p/1qn2ppb/p2ppb2/3P1P2/QPP1NNP1/4BP1P/R3R1K1 b - -,f5e4
8/5pk1/5p1p/R7/p1PK2P1/6rP/2P3P1/8 b - -,g3g2
3rr1k1/5p2/1q4p1/pP1p3p/1b3B2/1Q2P3/1P2RPPP/2R3K1 b - -,b6b5
8/1q5k/6p1/8/6PP/6QK/8/8 w - -,g3e3
2r1r1k1/p5pp/1pp2p2/3q4/3P1P2/P1P1p2P/Q4PP1/R3R1K1 b - -,d5a2
4r3/1p1b2k1/p1pq1pp1/8/2PP2pP/1PQ2pP1/P4P2/3R1BK1 w - -,d1e1
r2q1rk1/1bp1bppp/pn2p3/1p6/3PP3/2N2NP1/PPQ2PBP/R2R2K1 w - -,a1c1
5Q2/8/2Np4/P2P4/1P2k3/4b3/6r1/3K4 b - -,g2d2
5rk1/bp1r1qpp/p7/3pBP2/5P2/1P1Q4/P5BP/2R4K w - -,g2h3
3rr1k1/ppp1qp1p/4b1p1/3Nn3/4P3/6P1/PP2QPBP/R2R2K1 b - -,e6d5
rn2k2r/2qpbppp/p3pn2/1p6/3N4/1P1Q2P1/PBPNPPKP/R4R2 b kq -,b8c6
r1b5/2p1k3/2Pp2n1/pp1P3r/PP1BPppP/8/2RN2K1/7R b - a3,a5b4
6k1/1p3pp1/3Q1bp1/8/4N3/rq6/r4PPP/3R1RK1 b - -,a3a6
4k3/8/4K2P/8/6P1/3nN3/8/8 w - -,h6h7
8/7p/1p1R4/pkp5/8/1KP5/3NrPPP/8 b - -,a5a4
2rq1rk1/p2p2p1/1p1Pp2p/n4p2/2PRb1nP/P1B2N2/1PQ1BPP1/4K2R w K -,d4e4
3b2k1/1p3p1p/3N2p1/1Pp5/4p3/P3P1P1/5P1P/6K1 b - -,d8e7
8/8/3p1k2/2pP2p1/1nB1P3/4K1P1/8/8 b - -,f6e5
rnbqk2r/ppp2ppp/4pn2/3p2B1/1bPP4/5N2/PP2PPPP/RN1QKB1R w KQkq -,b1d2:b1c3
8/8/r7/7R/4k3/2p3BP/6P1/7K b - -,a6a1
1r4k1/5ppp/5b2/1NBn1P2/rP2p3/7P/5PP1/3RR1K1 w - -,d1d5
5rk1/ppq2pp1/6B1/n2pR3/3P4/P1P2Q1P/3B1PP1/6K1 b - -,a5c4
r2q1rk1/1bp2pp1/p1np1n1p/1p2p3/1P1BP3/P1NP1N2/B1P2PPP/R2Q1RK1 b - -,c6d4
8/4q1pk/2p1pn1p/1pPp1p1b/1P1P1P1P/2N1PP2/4BK2/Q7 w - -,c3a2
6k1/1p3r1p/nq1p1Pp1/2pP4/2P5/P4Q1P/5P2/R4BK1 b - -,b6d8
6k1/5rpp/3p4/2rPp3/ppP1B2P/1P3bP1/P1R5/4R1K1 w - -,c2f2
3r1rk1/1p2qpp1/1Np1b2p/p1n1n3/2PNP3/PP2P1PP/2R2QB1/R5K1 w - -,c2c3
r1bqk2r/1p3ppp/p1nbpn2/3p4/P2P1B2/2PB4/1P1N1PPP/R2QK1NR w KQkq -,f4g5
2r2rk1/1b2bppp/p3pn2/1pq5/4P3/P1NB3P/1PQ2PP1/R1B2RK1 w - -,c2e2
8/1b1p4/p2P2p1/1p5p/2kp4/5P2/P1N3PP/4K3 b - -,c4c3
4rrk1/p5pp/1npp2q1/8/4p3/5N2/PPP2PPP/R1Q1R1K1 w - -,f3d4
1r4k1/1R3p1p/1p2p3/p7/5P2/8/P3PKBP/8 b - -,b8b7
4r2k/1b2n1b1/3p1Q1p/8/1pp1PP2/8/qP3NB1/2B1R1K1 w - -,f6d6
3rr1k1/1p5p/6p1/2R2pQ1/p1n5/P1q3P1/R1P2PBP/4qNK1 w - -,g5f4
r1b1k2r/1pqn1pp1/p2p1n1p/4p3/4P2B/3B1Q2/P1PN1PPP/1R3RK1 b kq -,b7b6
r1b2rk1/5ppp/p1p1pqn1/2b5/2P5/6P1/PPQ2P1P/RNB1RBK1 w - -,f1g2
5r2/p2q1rk1/3p3p/3p1bp1/4p2n/4B1NP/PP2QPPK/R3R3 w - -,a1d1
r1r3k1/1npb2p1/p2qN2p/1p1P1p2/5P2/1P4P1/P5BP/2RQ1RK1 w - -,g1h1
r2r2k1/N4pp1/pp2p3/6p1/3P1n2/P7/1P3PPP/2R1R1K1 w - -,a7c6
1r6/b4kp1/p1p1R2p/3n4/P6P/2pr2P1/R1B2PK1/4B3 w - -,e6c6
rnb1kbnr/pp4pp/2pp1q2/8/2BPp3/4N3/PPP2PPP/RNBQK2R b KQkq -,d6d5
3rk2r/4npp1/p3p1p1/1p2P3/2p2P2/2P4P/PPB2KP1/R3R3 b k -,e7d5
r2r2k1/p1q1pp1p/2p3P1/3n1b2/3Q4/2N2P2/PPP3P1/2KR1B1R b - -,f5g6
r1bq1rk1/ppppbp1p/2n4n/4P1p1/2BN4/6BP/PPP2PP1/RN1Q1RK1 b - -,c6a5
4rr1k/ppq1npp1/2n5/3p4/3P2b1/P1PB1N2/3B1PPP/R2Q1RK1 w - -,h2h3
8/8/P3ppp1/5b2/5P1K/r6P/4B2R/2k5 b - -,c1d2
1r6/4pk2/b2p1npb/p1pP4/2P2N2/q3N1PP/P1rQ2B1/R5K1 w - -,e3c2
r4rk1/pp2qpp1/2pb1n1p/5P2/5n2/2N2B2/PPQ2PPP/R1BR2K1 w - -,c1e3
3r3r/ppqb1pk1/2p1pp2/P7/1P1P1bNp/2P2Q2/2B2PPP/R3R1K1 w - -,g4f6
r1b2k2/1p2qpb1/p1p3p1/3p4/Q7/2PBPN2/PP3PP1/2K4R b - -,e7f6
3qb1k1/4bp2/Rrp1p1p1/3pP1P1/1P3P2/3B4/R2Q4/6K1 w - -,a6a8
6k1/8/5BP1/p1p1N1K1/P1P5/6n1/2b5/8 w - -,g5g4
4k3/pbq2pp1/2n4p/PQ2p3/2P1P3/2PB1P2/2K3PP/8 b - -,a7a6
8/3b1rk1/pp1p2pb/3Pp1np/q1P1P3/2R2BP1/5P1N/1Q2N2K b - -,a4a5
3b3r/pp3p2/2p1kp2/3p3p/3P3P/PP2RRP1/1KP2P2/3Nr3 b - -,e1e3
r2qk2r/pppb1pp1/3p2n1/3P2bB/2P1PP2/2N5/PP1QN3/R3K3 b Qkq -,g5f4
rnbqkbnr/3p1ppp/pp2p3/8/2PNP3/2N5/PP3PPP/R1BQKB1R b KQkq -,c8b7
r1bq1rk1/ppp2ppp/1bn5/1B1pP3/3Pn3/2N2N1P/PP3PP1/R1BQK2R b KQ -,c6e7
6k1/8/1p5p/1b2BP2/nPp3Pp/8/2B5/6K1 w - -,g1h2
r6b/ppp1k3/2nq2B1/5P2/3PppQ1/4P3/PPP2P2/R3K3 w Q -,e1c1
2q1rrk1/2p3bp/1pnpp1p1/p7/2PP1P2/5NP1/PP2QB1P/3RR1K1 w - -,f3g5
r4rk1/p6q/np1p3b/2pPpb1p/2P1N1pB/P4P2/1PN3PP/1R2QRK1 b - -,h7g6
r1b1k2r/1pq1npb1/p1npp1p1/2p4p/4P3/2NPB1PP/PPPQNPB1/R4RK1 w kq -,f2f4
3r4/1p3pkN/2pr4/5p2/p6P/1PR2P2/P2n2P1/4R1K1 w - -,h7g5
1R6/8/3rkpp1/3p4/8/5P2/4KP1P/8 w - -,b8g8
5N2/bb5p/6p1/5k2/p4P1P/B7/4K3/8 b - -,h7h6
3k3r/3rbpp1/2N1p2p/4P3/p1Q4P/6P1/5PKN/8 b - -,d8e8
8/pP1n2kp/1p1pp3/5p2/1P3P2/P2K1B1P/6P1/2B3b1 w - -,c1b2
2rqr1k1/1b1nbppp/ppp2n2/3pN3/3P1B2/PQN3P1/1P2PPBP/2R2RK1 w - -,e5d7
8/5pp1/4k2p/2K5/1p6/1P6/3R1PPP/r7 w - -,g2g3
rq3rk1/1b3p1p/4pp2/pBPp4/5b2/1P3N2/P4PPP/2RQ1RK1 w - -,c1c3
r1b1rnk1/p1q3bp/1p1p1ppn/2pPp3/1PP1P2B/P1N5/2Q1BPPP/2RRN1K1 b - -,g6g5
2r3k1/1p1q1pbp/pB1pr1p1/P7/2P5/1P3PP1/3Q2KP/2R1R3 w - -,e1e6
r1bqkb1r/1p1pnppp/p3p3/2p5/3nP3/2NB1N2/PPPP1PPP/R1BQ1RK1 w kq -,f3d4
2r3k1/1bqQ1pp1/2n1p2p/p1b1p3/PpP1P3/1P3NNP/2B2PP1/3R2K1 b - -,c5f2
r2qk2r/pp1nbpp1/2p1p2p/8/2PPQB2/P4N2/1P3PPP/R3R1K1 b kq -,e8g8
4r1k1/pb3pb1/1pq3p1/4p3/4Pn1p/1NP1B1NP/PPQ3P1/3R2K1 w - -,g3e2
2b2rk1/4n1b1/2Bp4/3Pp2p/1P1qPpp1/2QN1P2/P5PP/2R1R2K b - -,d4a7
rn1qk2r/ppp2ppp/3Bpn2/3p1b2/2PP4/2N1P3/PP3PPP/R2QKBNR b KQkq -,d8d6
rnbqkb1r/ppp2ppp/3p4/3n4/2PP4/8/PP3PPP/RNBQKBNR b KQkq c3,d5b6
r7/1b3pkp/6p1/1B1p4/1P1Pn3/5NP1/5PP1/4R1K1 w - -,f3e5
8/2q3k1/p3Q1p1/1p3p2/1P1b3p/P1nN3P/2B3P1/7K w - -,d3e1
rnb1kbnr/ppp1qppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,c8g4
r2qk2r/pp1nbppp/2p1p3/2p1P3/5P2/3P3P/PPP1QP2/RNB1K2R w KQkq -,h1g1
3r2k1/1p3p2/3P4/2R5/b2P1p1p/r4P1P/6P1/1R3NK1 w - -,c5g5
8/8/3PP3/3r1K2/2k5/8/8/8 w - -,f5f6
r1bqrbk1/pppp1ppp/2n2n2/4p3/2P5/P1N1P1P1/1P1PNPBP/R1BQ1RK1 b - -,d7d6
b7/3n2kp/p2r2p1/3Ppp2/2B5/PN3P1P/6P1/3R2K1 w - -,g1f2
1r6/2R5/p3pkp1/1p6/1P5P/5PK1/P4P2/8 w - b6,c7c6
2r3k1/6b1/2b3Q1/p1p5/P1Pp4/1P1P2P1/4q1NP/6RK b - -,c6a8
1r2r1k1/3n1ppp/p2q4/2pp1P2/Pp6/3P2P1/P1PQ2BP/R4RK1 w - -,a2a3
1nkr1b1r/1ppq1ppp/p3p3/5b2/Q1PPn3/P1N1BN1P/1P2BPP1/R2R2K1 w - -,a4b3
r2qr1k1/1p1b1pb1/2p2npp/p1np4/2PNPP2/1PN3PP/P5BK/1RBQR3 w - -,c4d5
2rq1rk1/pp3pbp/5n2/6p1/2p1p3/PnN1P1P1/1P2NP1P/1RBQR1K1 b - -,d8d3
r5k1/p1q1n1p1/2n1br1p/2Bpp2P/P7/2P5/2P1BPPN/R2Q1RK1 b - -,c7a5
3r2k1/1p1n1p1p/2ppb1p1/8/rPPRP2P/4N1P1/5PB1/3R2K1 w - -,f2f4
3q1rk1/pQ2ppb1/2r2n1p/2Pp4/3P4/3BPbB1/P4PP1/R1R3K1 b - -,f3e4
2r2rk1/pp1n1ppp/2nq4/2b2B2/2Pp4/P2P2P1/1BQN1P1P/R3R1K1 b - -,b7b6
2q2rk1/1pnr1pp1/2p1p1p1/1PP1Q3/3P4/1R3N1P/5PP1/4R1K1 w - -,b5c6
r2q1k1r/2n2pp1/3p3p/p2PpPb1/Q1P1B1P1/p2P3P/5B2/R4RK1 w - -,a1a3
6k1/r3pp1p/p2pbbp1/1p6/4PP2/2P2B1P/1P3KP1/R4R2 w - -,a1a5
r3kb1r/pp2nppp/n1p1p3/3pP3/3P4/2P2N2/PP3PPP/RNB2RK1 w kq -,c1e3:b1d2
4b3/6kp/6p1/5p2/1R1P3P/4PP2/3r2P1/6K1 w - -,b4b7
r4rk1/1pq2ppp/4pn2/3p4/p2P3P/P3R3/BPP1QPP1/1K1R4 b - -,f8c8
8/5kpp/pp3b2/4pB2/2r2n2/8/PP1R1PPP/4R1K1 b - -,g7g6
8/8/5k2/5p2/7r/R7/5K2/8 b - -,h4h2
5rk1/1q2bppp/R3p3/2pnN3/3P1B2/5QP1/4PPKP/5R2 b - -,b7a6
r2q1rk1/pb1nbppp/1p2pn2/2pp2B1/2PP4/2N1PN2/PP2BPPP/2RQ1RK1 w - c6,c4d5
r1b2rk1/pp1nqpp1/2pbpn1p/3p4/2PP4/2NBPN2/PPQ2PPP/R1BR2K1 w - -,e3e4
2k3r1/1ppr2P1/p7/5p1N/8/2P5/PP4P1/2K4R w - -,h1f1
r6r/1p1kbpp1/7p/p1Pp2n1/1P6/2P1BP2/P4KPP/RN5R b - -,a5b4
8/4nk2/2b4p/1p2R3/2pPNP1r/2P1P1K1/1P6/8 b - -,h4h1
rnbqk2r/ppp1bppp/4pn2/3p4/4P3/3P1NP1/PPP1QP1P/RNB1KB1R b KQkq -,b7b6:c7c5
r5k1/p5bp/1rpB1qp1/2Pp4/Q3bpB1/8/P2R2PP/5RK1 w - -,c5b6
r1b1r1k1/ppq2pbp/2pp1np1/4n3/N1PNPB2/6P1/PPQ2PBP/R2R2K1 w - -,h2h3
rnbq1rk1/pp2bppp/4p3/2p5/4B3/3P2P1/PPP1NP1P/R1BQ1RK1 b - -,d8c7
8/5p1k/1pb4p/5N2/p5P1/2B2P2/5K2/8 w - -,c3b4
r1bqkb1r/p1p3pp/1p1p1n2/2nPp3/2P1p3/2N1B1N1/PP3PPP/R2QKB1R w KQkq -,b2b4
7b/8/4B3/3K3P/p1p5/1k6/8/8 b - -,b3b4
3r2k1/pp3p1p/3Np1pP/1P1bPn2/3P4/8/P4KP1/R4B2 w - -,d6f5
4r1k1/1pq2p2/6p1/3RP2p/1n6/4Q1PP/5P2/3R2K1 w - -,d5d6
r2q1rk1/pp3ppp/2n2n2/1Bbp4/6b1/1PN1PN2/P4PPP/R1BQ1RK1 w - -,c1b2
8/8/3p2r1/p1p1p2R/1kP1P3/6P1/2K5/8 b - -,g6g3
3r2k1/p3R3/1npp2pb/8/2b4N/8/P4P1P/1R4K1 b - -,h6g5
3k4/2Rb1p2/1p2p1p1/p3P1Pr/P2P4/1p1BP1K1/1P6/8 w - -,c7a7
r2q1rk1/pp1bppbp/3p1np1/6P1/3NP3/1PN1BP2/1PP4P/R2QK2R b KQ -,f6e8
r1bqkb1r/pppnpppp/3p1n2/8/3PPB2/5P2/PPP3PP/RN1QKBNR w KQkq -,b1c3
r1b1k2r/pp2bppp/2n1pn2/8/2P5/2N1B1N1/PPB2PPP/R4RK1 b kq -,e8g8
rn1qk2r/1b3p2/pp1p1bp1/4p2p/3NPP1P/2PB4/PP1NQ1P1/R3K2R w KQkq e6,f4e5
2r2r2/p5k1/2Bp2pp/8/Q1Pb2q1/B4RP1/P5KP/8 w - -,a3d6
rnb2rk1/2q1bppp/pp1ppn2/8/2PNP3/2N1B3/PPQ1BPPP/R4RK1 w - -,f2f3
r1b2rk1/pp2qppp/4pn2/2b5/4N3/3B1N2/PPP1QPPP/2KR3R w - -,c1b1
2qb1r1k/6pp/3p4/p3pP2/8/2PQ2PP/PR3PK1/R7 b - -,c8c6
5r2/1p2k2p/2p3pb/4P3/2P1PPb1/1PB1K3/6B1/7R b - -,h6f4
r1r3k1/3Q1ppp/8/p1b1qN2/1pB1Pn1P/1P3P2/1PP5/2KR3R b - -,c8f8
1bb1k2r/3p1ppp/pqpBpn2/8/8/1N3B2/P2Q1PPP/5RK1 b k -,f6d5
rn1qk1nr/ppp1ppbp/3p2p1/8/2PP2b1/5NP1/PP2PPBP/RNBQK2R b KQkq -,b8c6:d8c8
r1b1k2r/1p2q1pp/p1np1b2/3Bp3/2N1Pp2/2N5/PPP2PPP/R2Q1RK1 b kq -,c6d4
r1b2rk1/1pq1ppb1/3p2pp/p2Pn3/P2N3B/1B5P/1PP1QPP1/2KR3R b - a3,g6g5
2Rr2k1/3r1pp1/1p2pq1p/pN1n4/P2PQ3/1P4P1/5P1P/2R3K1 b - -,d8c8
r3kbnr/ppqnpppp/8/3pP3/1p1P3P/3Q1N2/P1P2PP1/RNB1K2R b KQkq -,c7c4
2q1k2r/1b2bppp/3pp3/1Q4P1/R2NP3/4BP2/2P4P/6K1 b k -,c8d7
2rrn3/1b2qpkp/p3p1p1/Pp1p4/3pP3/2P2B1P/NP2QPP1/R2R2K1 w - -,d1d4
rnbqk2r/p1ppnpbp/1p2p1p1/8/4P3/5NP1/PPPPQPBP/RNB2RK1 b kq -,c8b7
6R1/8/p5p1/1p3k1p/1Pr2P1P/8/5PK1/8 w - -,g8f8
8/4k3/2b4p/2p2p2/2Bb1P2/1PN4P/6PK/8 w - -,c3d1
4r1k1/1ppr3p/2bp1qp1/p6P/PnP1PP2/1PN2B2/3Q4/1K1R3R w - -,h5g6
5r2/p1k3b1/1pp1p1pp/3nP3/P4PP1/3BB3/1PP1K3/7R w - -,f4f5
5B2/8/4k2p/6p1/3pr3/6P1/R4K1P/8 b - -,h6h5
2r2rk1/1b1qbpp1/p1n1p2n/P3P2p/Qp1p1PP1/3P1N1P/1P1BN1B1/R4RK1 w - -,f3h2
