5k2/5p2/2P2p1p/8/2R3P1/2K4P/8/3r4 b - -,d1d8
rn1r2k1/p3bppp/2qppn2/2p3N1/2P2B2/2N3P1/PPQ1PPKP/R2R4 w - -,f2f3
2r2rk1/pq2bpp1/2p2n1p/3p4/8/1PNQ2P1/PB2PPKP/2RR4 w - -,d3f3
r2q1rk1/pb2ppbp/1pnp1np1/2p5/3P4/2P1PN1P/PP1NBPPB/R2Q1RK1 b - -,d8d7:d8c7
r4rk1/pp1np1bp/2p1p1p1/4P3/2P2P2/2N1B3/PP4PP/R4RK1 w - -,a1d1
2k5/5R2/KP5r/2P5/8/8/8/8 w - -,a6a7
rnb2rk1/ppp1qppp/3p1n2/4p3/2PP4/3BPN2/PP1N1PPP/R2Q1RK1 w - -,d1c2
3rr3/ppp2pkp/2n2np1/2R1p3/4P3/5NPP/PP2PPB1/R5K1 w - -,c5c4
r1b1r1k1/pp1nqppp/2pbp3/8/2PPp3/5NP1/PPQ2PBP/R1BR2K1 w - -,c2e4
3r1rk1/ppq1bpp1/2ppb2p/4n3/3NP3/P1NQB2P/1PP2PP1/3RR1K1 w - -,d3e2
r1bqk1nr/p2pppbp/2p3p1/2p5/3PP3/5N2/PPP2PPP/RNBQ1RK1 b kq -,c5d4
8/8/3pkn2/8/8/5K2/2B5/B7 w - -,f3f4
6k1/5r1p/1q2p1p1/pb1pP3/3P1PQP/2P1B3/6RK/8 w - -,g2b2
4rrk1/2pb1qb1/p2ppnpp/1pP2n2/P2P3P/2NQ1NP1/1P2RPB1/2B1R1K1 w - -,a4b5
4r1k1/1pb5/p5b1/2B3pp/4pn2/2P1Q1N1/PP2N1PP/3r2K1 w - -,g3f1
8/p6p/5k2/1p4p1/1n1N4/3K4/5PPP/8 w - -,d3c3
3r2k1/3r2bp/1pqpp1p1/p1n2p2/2P5/1PN2PP1/PBR1P1KP/2QR4 w - -,c1f4
r2r2k1/1bq1bppp/p1n1p3/1pp1P1P1/5P2/2N1B3/PPP1Q1BP/1K1RR3 w - -,c3e4
5r2/p3r1kp/1p3np1/2p1p3/2PnB2P/2N2P2/PP1R1KP1/4R3 w - -,c3d5
1k2R1r1/1p3p1p/1p6/2bP4/2B2p2/7P/PP3Pr1/3R1K2 b - -,b8c7
r2qrnk1/1b1n1ppp/pp1b4/2ppN1PQ/3P1P2/1PN1P3/PB5P/1B1R1RK1 b - -,d8e7
3r1rk1/p1q3p1/1p1b2p1/nQ1P1p2/2p1BPP1/2P4P/P2B2K1/1R3R2 w - f6,g4f5
8/8/4k3/5pBp/p2K3P/P4PP1/8/5b2 b - -,f1e2
2k1r3/pppbBp1n/3p2p1/3Pp3/4P3/2PB1N2/P1P1KPP1/R7 w - -,a1h1
6k1/p3pp2/1p4pb/2p1P1Np/P1P2P1P/1b1N4/6P1/6K1 w - -,d3b2
r4rk1/1ppqppb1/5np1/p5Bp/3P3Q/3R3P/PPP1N1P1/5RK1 w - a6,g2g4
2kr3r/1p3pp1/2b1p2p/R2pP2P/2pQ1PPq/8/2P1B3/2B2RK1 b - -,h4g3
1r4k1/p2n1ppp/1p3n2/1N6/P7/4PB2/5PPP/R5K1 b - -,a7a6
1b2r1k1/3q1n2/pPn1r1pp/2R2p2/2Np4/BQ1P1N2/2P1PR1P/5K2 w - -,c2c3
R7/2b2p1r/2k2p2/2p1pN2/P2pP2P/1P3P2/2P1K3/8 b - a3,c6b7
rn3rk1/p3qp1p/1pp3p1/3N4/3p4/3QPN2/PP3PPP/2R2RK1 b - -,f8c8
r1b2rk1/pp3pp1/2p4p/2P3q1/2B5/8/PPQ2PPP/R3R1K1 w - -,e1e3
r1bqk2r/p2nbppp/3p1n2/1BpP2B1/Pp2P3/5N2/1P3PPP/RN1QK2R w KQkq -,b5c6
r7/2pnqkpp/p4p2/2pPb3/Np2P3/1P4P1/P3Q2P/3R1RK1 w - -,g1g2
1r1q1rk1/p2bb1pp/2pp1n2/2p1p3/8/3PNN2/PPPB1PPP/R2QR1K1 w - -,b2b3
8/4k3/4pr1p/7R/6p1/6P1/5P2/5K2 w - -,f1e2
6k1/8/2rb2pr/p1p1p3/NpP1Pp1P/1P1P1R2/P3K3/6B1 w - -,g1f2
8/8/8/7R/r7/k7/2KB4/8 b - -,a4g4
r2qkr2/1b1n1p2/p3p1p1/1pppP1Pp/3n1P2/1PNB4/PBPP1QP1/2KR3R w q -,d1e1
2kr3r/1ppq1pb1/p2pb1pp/4n3/3NP2P/1P2BP2/P1PQN1P1/1K1R3R w - -,h4h5
4rrk1/pp5p/2p5/3p4/5N2/P3b1P1/1PRB2KP/8 b - -,e3f4
8/pp1kb2R/4pp2/1r4p1/3P2P1/1P1K4/3N1P2/8 b - -,e6e5
3r1rk1/Np1qppbp/5np1/3pB3/8/1Q1P2Pb/PP2PPBP/R4RK1 w - -,d3d4
r4rk1/ppqb1ppp/1bn1p1n1/3pP3/8/1NBB1N2/PPP2PPP/R2QR1K1 w - -,a2a4
1rbqnrk1/p2nbppp/1p1p4/2pP4/1PP1Pp2/2NN2P1/P1QB2BP/R4RK1 w - -,g3f4
r2q1rk1/p2np1bp/2p1b1p1/3NPp2/1p1P1B2/1P1Q1N2/P3BPPP/R4RK1 b - -,e6d5
8/5pk1/1r3p2/1P5R/5P2/5KP1/1r5P/8 w - -,f3g4
1q3rk1/n1p1Rpbp/N5p1/8/1rpP4/1P3QP1/P2B1PKP/8 b - -,b8b6
r1b2rk1/1pqnbppp/2pp1n2/p3p3/P1BPP3/1PN2N1P/2P2PP1/R1BQR1K1 b - -,d7b6
r2q1rk1/pp4bp/6p1/3p1pn1/3Pp3/1P2P3/PB2BPPP/2RQR1K1 w - -,c1c5
1rbq1rk1/1p2ppbp/p1np2p1/4n3/P3P1P1/1PN1B2P/2PQNPB1/R3K2R b KQ -,b7b5
8/8/p7/6P1/P2bkp1P/8/5BK1/8 b - -,d4e5
3r2k1/4qR1p/p5p1/np1Qp3/4P3/2P1P2P/1PB3P1/6K1 b - -,d8d5
1rq1r1k1/R2n1pb1/5np1/N2Pp3/2p5/2P1B2P/2B3P1/3Q1RK1 b - -,b8b5
r2q1rk1/3n1pbn/p2p2p1/1p1Pp1Pp/4P2P/2N2Q1B/PP1B1P2/R3K2R w KQ -,a1c1
2r3k1/5pp1/4p2p/qp2p3/4P3/2P2P1P/1P1R1QP1/7K w - -,f2e1
1r1q1rk1/p2nppbp/b1np2p1/6P1/1p2PP2/3PBN1P/PP2N1B1/R2Q1RK1 w - -,d1d2
8/p2r2k1/2p3p1/2Pq1p2/3P3Q/4P1P1/5PK1/7R w - -,g2g1
3r2k1/4pp1p/6p1/p3P3/1b3P2/4B3/P1R1K1PP/8 b - -,d8d5
3r1rk1/1p1b2p1/pP2np1p/R1p1p3/2N1n3/2PN4/1P3PPP/4RBK1 b - -,d7c6
1r3rk1/p4ppp/1n2p3/2p3N1/2Pn4/1P1B3P/P4PP1/2RR2K1 b - -,h7h6
2rr1nk1/pbq1bpp1/4p2p/1Pp1P2P/1n1p1BN1/3P1NP1/PP2QPB1/R3R1K1 b - -,b4d5
2b3k1/pp4pn/3rp1Np/3p4/3P2PP/2PB4/PP2R3/5rK1 w - -,g1f1
5q1k/pBr1rnbp/5p2/2Q3p1/4P3/2N1B2P/1P2RPP1/R5K1 w - -,b7c6
8/3p1pbk/1p4pp/p2P4/3N2P1/B2b4/PP3PBP/6K1 b - -,g7d4
2r4k/3q2r1/1p2p2p/p2n4/P2PNb2/1Q2pP1P/4R1P1/1R5K b - -,d7c6
3nrrk1/bppqnppp/p2pb3/4p3/1PP5/P1NPP1PP/1B1QNPB1/2R1K2R w K -,c3e4
r2r2k1/1pp2pbp/p1n3p1/4pb2/PQ1Pn3/4BN1P/BPP1NPP1/R2R2K1 b - -,c6b4
4b1k1/5rpp/p1p2p2/1p2pP2/4P3/2N5/PPPR2PP/6K1 b - -,f7d7
8/2n1kpp1/1p1q3p/2p1pP2/4P3/QP1B1PP1/4K2P/8 b - -,b6b5
3qrnk1/1p1r1pp1/p1p2n1p/P3pN2/1PP1P3/5NP1/R4PKP/1Q2R3 b - -,e8e6
r1b1nrk1/3nqp1p/1p1p1P2/p1pPp1p1/P1P1P2N/2PB2P1/7P/R1BQ1RK1 b - -,e7d8
rn1qkb1r/pb1p1p1p/1p2pnp1/2p5/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 b kq -,f8g7
8/6p1/4p3/8/1P1RP3/r4nkN/2K5/8 b - -,f3d4
Q4bk1/p2n1pp1/1p1r3p/2p5/P7/3qN1P1/5P1P/2B1R1K1 w - -,c1b2
rn1qkb1r/p4ppp/b3pn2/4N3/P2P4/2p3N1/4BPPP/R1BQK2R w KQkq -,e1g1
8/4k1p1/3p1p2/3PpP2/3n4/4K3/8/4B3 w - -,e3e4
8/1kp1R1pp/1p6/p1p5/P1P3P1/1P3r1P/6K1/8 b - -,f3b3
r1b2rk1/5ppp/p3p3/2pnn3/N7/8/PP1B2PP/2R1KB1R w K -,a4c5
r2r2k1/5p1p/1qp1bbp1/p1Np4/3P4/1PQ1P1P1/5P1P/R2R1BK1 w - -,a1a4
2r3k1/1p3pp1/p3p1b1/4qn1p/2P5/1R5Q/P5P1/3R1B1K b - -,h5h4
rnb2rk1/pp2bppp/1qpp4/4p3/2B1PP2/2NP4/PPP1NRPP/R1BQ3K b - -,b6f2
r1b1nrk1/1p2qpbp/2pp2p1/p1nPp3/2P1P1P1/PPN1B2P/3NBP2/R2QK2R b KQ -,e8c7
1r6/p2kbp2/4b2p/3p2p1/P2B4/6P1/1P3P1P/2R2BK1 b - a3,a7a5
4B3/B5b1/pp3k2/2n2p2/2b1p3/6P1/5PK1/7R b - -,e4e3
r6k/B1P3bp/P3n3/n2R1p2/4p3/6P1/7P/5BK1 w - -,a7b8
r3q1k1/2p1ppb1/1n6/p3Pp2/P7/1bP2N2/5QPP/R1BR2K1 w - -,d1d4
8/3B4/5k1p/2p2p1P/5PP1/1P1K4/8/4b3 b - -,f5g4
r7/pp3Qpk/1np1p1r1/q3P1P1/P2P1R2/7P/1P3PK1/2R5 b - -,g6g5
3r4/7p/1p6/4k3/1R2bpp1/P2p4/1P1R1KPP/8 b - -,d8d6
8/1p2k3/p1p3p1/2P3Kp/PP5P/8/2b1BP2/8 b - -,e7e6
r5r1/1p4q1/p1k1B3/3p3p/2pP3Q/B7/2P4K/4R3 w - -,e6d5
r1b4r/ppp1kp2/2p2p1p/8/2B1P3/2P5/P1P2PPP/2KR3R b - -,c8e6
2brr3/p1k1b3/2p2p2/2p1p2p/2PpN2P/1P1P2P1/PK1N1P2/2R1R3 w - -,f2f4
r2qkb1r/pp3ppp/2b1pn2/n1p5/3P4/3Q1NP1/PP2PPBP/RNB2RK1 w kq -,c1e3
8/2R2pk1/1P1p1b2/p2P1Q1p/8/qr5P/8/6BK w - -,g1f2
2r5/8/p3kn1p/1p1p2pP/6P1/P4PN1/1P1R1K2/8 b - -,f6g8
4r3/r5kp/2bq1pp1/2PN4/1pP1PP2/1P3BP1/3Q3P/3R2K1 b - -,d6c5
r1b2rk1/1p2qp1p/p1p2np1/8/4P3/2NBb2P/PPQ2PP1/R3R1K1 w - -,e1e3
5k2/1p6/5p2/p4q2/3B1Pr1/P3P2p/1P5R/K5R1 w - -,g1h1
4kbR1/3n2p1/r4pP1/p1p1pP2/4P3/1PPKB3/1N6/8 b - -,a6b6
8/2k5/pp6/6p1/PPK2bP1/2P5/8/7B b - -,f4g3
1r1bq1k1/1pp2pp1/p2p2rp/3N4/2P1P2P/1P3PPQ/P3R1K1/3R4 b - -,e8e5
2rq1rk1/3b1ppp/p1n1pb2/1p6/1P6/PQ2PNP1/3NBPP1/2R2RK1 b - -,d8b6
2r1r1k1/2BR1p1p/5bp1/1PP1p3/4R1P1/2p5/8/1K6 b - -,e8e7
r1b1qrk1/1p1nbppp/p3pn2/8/1PB2B2/2N1PN2/P4PPP/1Q1RK2R b K -,b7b5
r2q1rk1/pp3ppp/n1p1pn2/7b/PbNP4/1QN1PP2/1P4PP/R1B1KB1R w KQ -,c1d2
5r2/p5k1/3PQ1pp/P3pp2/8/4P3/6PP/q4NK1 w - -,d6d7
8/3k4/3p1n2/3Pb2p/2K1Pp2/5P2/4N2P/4B3 w - -,c4d3
r7/pb2kpp1/1p1rpn1p/4N3/2P5/3B4/PP1R1P1q/2KQR3 w - -,d1c2
2R5/4r3/p4kp1/1p6/5PK1/P7/8/8 b - -,e7e3
1knr4/1b2bp2/p2pPp2/5N2/2Q1P3/7r/PPP5/2K1R3 w - -,f5e7
5k2/R7/8/5Kp1/6N1/5P2/3b1P1P/4r3 w - -,g4f6
2b2qk1/r4r2/pR1p2p1/2pPp1bp/2P1Pn2/P2BB1N1/2Q3PP/5RK1 b - -,f4h3
5r1k/1pr1n2p/p4qp1/4p3/3pB3/P2Q4/1PP2PPP/2RR2K1 w - -,d3f3
rn1qrbk1/1bp2pp1/p2p1n1p/1p1Pp3/4P3/PBP4P/1P1N1PPN/R1BQR1K1 b - -,b8d7
r1b1k2r/pp2npp1/4p2p/q2p4/2PPn3/P1N5/1PQ2PPP/2NRKB1R b Kkq -,e4c3
8/8/1N1n1kp1/pP1P4/P4K2/8/8/8 w - -,b6d7
4k3/8/8/2N1Bnp1/P1pp4/1p6/1K5P/8 b - -,d4d3
1r5k/1r1n2bp/3P4/5pp1/1PQBpP1q/7P/2R1N1PK/3R4 b - -,d7f8
8/8/1p1k4/p2bp1p1/4B2r/P2K1P1P/1P4P1/4R3 b - -,h4h8
r1br2k1/1pq2ppp/p1p2n2/3P4/Pb1QP1P1/2N1BB1P/1P3P2/R3K2R b KQ -,c7a5
1r1q1rk1/2pb1pbp/pp1p1nP1/3Pp3/2P1P1P1/2NQBP2/PP2N3/R3K2R b KQ -,f7g6
r3rb1k/p4qpp/B2p4/4pp2/3Pb3/2R1P2P/PP2Q1PB/2R3K1 w - -,d4e5
r2qk2r/pppnpbb1/6pp/5p2/3P1B2/2P1PN2/PP1N2PP/R3QRK1 w kq -,e1g3
1r2r1k1/3pbp2/q5p1/p1P1P2p/2R2PnP/B2Q1N2/P3K3/3R4 w - -,c4d4
2r1k2r/1pp1q1bp/p3b1p1/2npPp2/3N1B2/7Q/PPP1BPPP/3RR1K1 b k -,e8g8
6k1/1p1R1pb1/1q4p1/p3p1Pp/2p1P3/2N2P2/PP5P/1K5R w - -,h1d1
rnb2rk1/5p1p/p5p1/4b1P1/1PB1P3/3RBP2/P6P/5RK1 b - -,b8c6
3q1r1k/b2b4/5NQ1/4p3/2p1P2p/p1P4P/Pr4P1/K2R1R2 b - -,f8f6
3rr2k/1Q4pp/pB1b4/1q1N2P1/2p2P1K/3b4/4n1BP/R3R3 b - -,d8b8
2Rr2k1/1p1rqpp1/p6p/3p2n1/5QB1/P3P2P/1P3PP1/2R3K1 b - -,g5e6
rn1q1rk1/p1p2ppp/bp1b1n2/3p4/3P4/1P3NP1/P3PPBP/RNBQ1RK1 w - -,b1c3
8/8/8/4kBP1/P5K1/8/3b4/8 w - -,f5d7
2rq1rk1/pb1nbppp/1p3n2/2p5/2NP4/1P3NP1/PBQ2PBP/R4RK1 w - -,a2a4
8/8/2b3p1/2k2p1p/1p5P/1PP5/N4KP1/8 b - -,b4c3
r2qr1k1/pb1n1pbp/1p2pnp1/2ppN3/2PP4/3BPN1P/PP3PPB/2RQ1RK1 b - -,d7e5
8/4kp2/8/P5r1/R7/8/1PP5/1K6 b - -,g5g8
r1bqr1kb/pppnpp1p/1n4pB/7P/8/2NP2P1/PP1QPPB1/R3K1NR b KQ -,d7f6
2r2r2/p2qb1k1/1p3pp1/3B3p/3PP3/1QR5/P5PP/5R1K w - -,f1c1
3r2k1/2p2p2/p5pp/8/2P5/2n2BP1/Pr2PP1P/R4RK1 w - -,f1c1
r1b1rnk1/pp1nqpp1/2p1p2p/3pN3/2PP4/2NBP3/PP3PPP/2RQ1RK1 w - -,f2f4
7k/7p/p2p3Q/4pR2/2P1P1KP/p2P2P1/1q6/7r b - -,b2e2
r1rq1bk1/1b1n1p2/2n1p2p/1pppP2P/p5N1/2PP1NP1/PP1Q1PB1/R3R1K1 w - -,g4h6
1R6/3r1pk1/5p2/1pB1p2p/1P5P/2n1PP2/6P1/6K1 b - -,d7d2
R7/8/3r4/3p4/4p1P1/3kPpK1/5P2/8 b - -,d3e2
r2q1rk1/pR4pn/2p5/4p1PB/2Pnp2P/P2p4/3P1P2/2Q2RK1 b - -,d4e2
1r1q1rk1/3bn1bp/pp1p1n2/3Pp1p1/1P2Pp2/5P2/PNQ1BBPP/2R1NRK1 b - -,b8c8
r2q1rk1/pp2bppp/2nnp1b1/3p4/3P1B2/2P3N1/PP1NBPPP/R2QR1K1 b - -,a7a6
rnbqkbnr/pp3ppp/8/2pp4/3P4/2P5/PP2NPPP/RNBQKB1R b KQkq -,g8f6
r6r/pppkb1pp/5p2/3p4/3B1P2/2PP4/PP4PP/4RRK1 b - -,e7d6
r2q1rk1/1p2ppbp/6p1/p1p1P3/1nPP4/6P1/PB3PBP/R2Q1RK1 b - -,c5d4
r1bq1rk1/pppn2bp/3p1np1/3Ppp2/2P5/2N1PP2/PP3NPP/R1BQKB1R w KQ -,f1e2
2r3k1/4qpp1/r3pnp1/p7/2PP1B2/P4Q1P/5PP1/R4RK1 w - -,c4c5
5rk1/2Np2pp/2b1pb2/2P2p2/3P4/4P3/3N1PPP/1R4K1 w - -,h2h3
5rk1/p1ppq1pp/1pn1p3/5rb1/2PPQ3/1PB5/P3PPBP/R4RK1 w - -,e2e3
r1b1kbnr/ppp4p/2p3p1/4Np1Q/3qP3/8/PPPP1PPP/RNB1K2R w KQkq -,e5g6
2b2k2/p4pp1/1b3n2/2p3R1/5P2/2BR4/PP2q2r/2KQ4 w - -,d3d8
r2qk2r/1bpn1pb1/1p1p1np1/p3p2p/2PPP2P/1PN1BPP1/P2QN1B1/R3K2R w KQkq a6,e1g1
8/7p/3b1k2/3bNp2/3r2pP/4K3/1R1N4/8 b - -,f6e5
5rk1/pq2pp1p/1p4p1/2pr4/6n1/PP1P1NP1/1Q2PP1P/R4RK1 w - -,h2h3
r5k1/pp1r2p1/7p/5p2/2Rn4/6NP/PP3PP1/R5K1 w - -,f2f4
rnbqk2r/ppp1pp1p/5bp1/3p4/3PP3/2N2N2/PPP2PPP/R2QKB1R b KQkq e3,c7c6:d5e4
1k5r/1nnqb1p1/p4p2/2p4p/1pP1NP2/3P1QPP/P4BK1/1R1R4 w - -,d3d4
r4rk1/pp2n1bp/1q1p2p1/1npP1p2/4PP2/3P4/PPN3BP/R1BQ1R1K b - -,b5d4
8/8/p2r3p/2p1k3/8/R3K3/P5P1/8 w - -,a3a4
r6k/p5q1/b2p4/2pP4/2P1pPQ1/4P1P1/P5K1/1R6 w - -,b1h1
2r5/R7/4p1P1/p2k4/8/8/6K1/8 b - -,c8g8
8/4k3/2b5/p1p1pR2/PpP1P2p/1P4rP/3NK3/8 b - -,g3h3
8/r1r1kp1p/P7/7R/3n4/R4B1P/5PP1/6K1 b - -,d4f3
r5k1/pppq1r2/2n1b1n1/4N1pp/3pP3/1P1P1P2/PB2Q1Bp/2R1NRK1 w - -,g1h1
1nrq1rk1/p3bppp/1p2pn2/1Q1p4/3P4/6P1/PP1BPPBP/RN1R2K1 w - -,b1c3
r1bq2k1/5pp1/3P1r1p/p1P1p3/Bp2P3/4Q3/5PPP/R1R3K1 b - -,c8e6
r3k2r/1p1b1pp1/p1n5/q3PpB1/PbPP4/2p2B2/2P2P1P/R2Q1RK1 b kq -,b4e7
4rrk1/1pq1bpp1/p1p4n/7R/PP2N1n1/1B2P1P1/3B1P2/3R2KQ b - -,e8d8
5rk1/6p1/p1p1p2p/4P3/1rNP1n2/R4K2/1PR3PP/8 w - -,g2g3
r1b2rk1/p1q2pbp/1pp3pB/2p1p2n/4P3/2NP1N1P/PPPQ1PP1/R4RK1 w - -,c3e2
2kr2r1/1p1b2p1/p1nbppNp/3p4/Nq1P4/1Q2P1P1/PP2BPP1/2R2RK1 w - -,b3d1
rnbq1rk1/p2pppbp/1p3np1/8/3P4/N3PN2/1BP1BPPP/R2Q1RK1 b - -,d7d6
r1bqk1nr/ppp2pb1/2np3p/6p1/2BPPp1P/2P2N2/PP4P1/RNBQ1RK1 b kq -,d8e7
8/pp4p1/7p/5K2/3kp2P/PP6/5P2/8 b - h3,d4d3
r5k1/1p2qpp1/p1n4p/3r4/3p4/P5P1/PQ1NPP1P/2R1R1K1 w - -,a3a4
r2q1rk1/pb1nbpp1/1pp2n1p/3p4/3P2PB/2NBPN1P/PPQ2P2/R3K2R b KQ g3,f6e8
8/5qkp/pp1p1N2/2pPp1P1/2Pn1r2/P6Q/7P/4R2K b - -,d4f3
8/p3r2p/6p1/4ppP1/2k4P/1R2PK2/P7/8 b - -,a7a5
1r1q3k/p4B1p/2nbbP1Q/1p1pp3/3P4/4P3/PP1B1RPP/5RK1 b - -,d6f8
r4rk1/5pbp/p1n1pqp1/1pPb4/8/4BN2/PP1QBPPP/R2R2K1 w - -,f3d4
3rrbk1/1b1n1p1n/p1qp2p1/1p2p2p/4P3/2P1BQNP/PPB2PPN/R3R1K1 w - -,c2b3
3rk3/5ppp/4p3/1P1b2PP/8/Q4P2/1KP5/2Nq4 w - -,a3c3
5r1k/1pqQ3p/2p3p1/p1b1p3/P1b1P3/2P2NNP/1P3PK1/3R4 b - -,c5b6
2bq2rk/6rp/p2p1n2/1p1Pp3/5PP1/2NN3P/PP6/2R1QR1K b - -,f6g4
r4rk1/1pqbbppp/p3p3/3n2B1/3N4/6PP/PPPQ1PB1/R4RK1 b - -,d5f6
r1b3k1/ppprnpp1/7p/2N5/2B5/4P3/PP3PPP/R2R2K1 b - -,d7d6
2rq1rk1/pp1nbppp/4pn2/2p5/2QP2b1/1P3NP1/PB1NPPBP/R4RK1 w - -,a1c1
3n2k1/7p/2pBQb2/4p1p1/2p3P1/P1Pp4/1P3PP1/4R1K1 b - -,d8e6
6k1/5pPp/4p1p1/4B3/2pP4/8/4q2P/1Q4K1 b - -,e2e3
1r3r2/p2b1pk1/2p2p1p/4b3/2B5/1P1R4/P4PPP/4R1K1 w - -,d3d7
2r3k1/p1r1qppp/bp2pn2/n3N3/2PP1P2/P1BB3P/2R1Q1P1/3R2K1 b - -,a5c4
r4rk1/pb2qppp/2n2n2/2p1p3/N1Pp4/PP2PB2/1BQ2PPP/R4RK1 w - -,e3d4
6Q1/1pK5/p7/8/5k2/8/Pq3P2/8 w - -,g8g3
5r1k/5p1p/p5p1/3q2R1/3Pp2P/1P6/5P2/3Q1K2 b - -,f7f5
2q1r1k1/p4p1p/bp1r1np1/n1pp1P2/P2P4/2PBPQN1/3B2PP/2R2R1K w - -,f3f4
r1r3n1/3b3p/2Np1k2/1p1P1p2/1P3P2/7P/3N2P1/2R1R1K1 b - -,a8a4
8/8/4p2k/pr2P1p1/3R2P1/1P1p3P/3K1P2/8 b - -,b5e5
6r1/3bkp2/3q1n2/4pP2/6PQ/3P1BN1/6K1/R7 b - -,d6d3
5R2/5p1r/k3pK2/6P1/5P2/8/8/8 b - -,h7h4
6k1/1r4bp/ppbBp3/2p1P1pq/N2P2R1/1P1P4/1P3QPP/7K w - -,f2g3
8/1n1k4/R7/PN2ppp1/1P6/5PPr/4P3/1K6 b - -,h3g3
r2qr1k1/ppp2ppp/3p1b2/2nP4/5BPP/2P2P2/PP1Q4/1K1R1B1R b - -,a7a6
1rbq1rk1/pp2bppp/2nppn2/2p5/4P3/2NPBNPP/PPP2PB1/R2Q1RK1 b - -,b7b5
1r2r1k1/6pp/q1p5/2P1pp2/1P1b4/2NP4/2Q2PPP/1R2R1K1 w - -,c3e2
rn1q1rk1/1b2bppp/pp1p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1R1K w - -,f2f3
8/2k5/1p5R/2p1K1N1/3p4/2nP4/8/5r2 b - -,f1e1
2r5/6pp/p3k3/1p1nbp2/3N4/PP2P1P1/1B1RK2P/8 b - -,e5d4
1k1r3r/ppq2pp1/2pbp3/4Nb1p/3PBP2/6P1/PPP1Q2P/1K1R3R b - -,f5e4
r4rk1/pb1n1pp1/1pp2q1p/3p4/3P4/P1N5/1PPQBPPP/3R1RK1 w - -,e2g4
3r2k1/2R3p1/p7/1p3p2/3Pp1p1/1P1n2P1/P2BK2P/8 w - -,e2e3
2r1k2r/1pq2pp1/4p2p/p3P3/1nP1B1P1/1PQ2N2/7P/1KB4R b k -,b7b5
