8/6pk/p7/2pr4/P7/1PR5/5K1P/3bN3 b - -,d5d2
r3k2r/3bbp2/p2pp1pP/2B5/1pq1P2P/1N3Pn1/PPPQ4/1NKRR3 b kq -,d7b5
r1q2rk1/p3pp1p/1p4pb/1N2P3/2PR4/5P2/PP3P1B/3Q2K1 w - -,b5c3
5k2/8/4K3/2N2P2/5N2/8/8/5r2 w - -,e6e5
6k1/1p3r2/5p2/pP1Q4/P7/7P/5PPK/2r5 w - -,d5d8
8/4b2k/1p4p1/5p1p/2b1pP1P/2N1P1P1/2Q2K2/q2B4 w - -,c3e4
N7/8/8/8/5kP1/3K2n1/8/3B4 w - -,a8c7
1r2rbk1/1bq3pn/3p1p1p/1ppP4/3N2P1/1PQ4P/1BP2PB1/R3R1K1 b - -,c7d7
2kr1b1r/ppp1nppp/3p1q2/8/2Q1P3/2N1B3/PPP2PPP/R4RK1 b - -,a7a6
rnbq1rk1/p1p2ppp/1p1bp3/3p4/3PnB2/3BP3/PPP1NPPP/RN1Q1RK1 w - -,c2c4
r6k/1ppb2b1/3p2qp/p2P4/2P2Q2/6PP/PP3P2/2KR3R w - -,d1e1
8/6pp/p7/3p4/2r1k3/PRP5/3K2PP/8 b - -,c4c6
1r1k4/6R1/3P1K2/6p1/1p3p2/3R1P1r/8/8 b - -,h3h8
4b2k/1R4pp/p1n2p2/4pP2/2B1P3/2b1B1P1/7P/6K1 w - -,c4d5
3r2k1/p4ppp/5n2/3r4/3p4/P2B4/1P3PPP/2RR2K1 b - -,g7g6
r3r1k1/1nqbbppp/p2p1n2/1p1P4/2p1PB2/2P3NP/PPB3PN/R2QR2K w - -,h2f3
5rk1/p2p2p1/2b1p3/6Pp/4Pp1P/rP3P2/P2R1K2/2R2B2 w - -,c1c5
8/8/3kn1pp/5p2/2P2N1P/4K1P1/8/8 b - -,g6g5
r3kb1r/1p1n1ppp/q1n1p3/p1ppP3/3P4/P1P5/1P2NPPP/RNBQ1R1K b kq -,a5a4
8/p2nk2p/R4ppB/2p3N1/2P2R1P/5P1b/Pr2r3/3K4 w - -,g5h3
r4rk1/p2qppn1/1p1p1np1/2p5/2P2PPN/1P1PP3/P5R1/3QNRK1 w - -,d1f3
4r3/5k2/2p2p2/1p4p1/pBbP1b2/P6P/1P3PB1/R5K1 b - -,c4d5
4rrk1/2pnqppp/1p1ppn2/p7/2PP4/PP4P1/1B1QPPNP/3R1RK1 b - -,d6d5
r3r2k/pb1q1pbp/1ppPn1pN/8/4B1Q1/4B1P1/P4P1P/1R1R2K1 w - -,e4g2
6k1/p4pp1/5r1p/8/3p4/1P6/P4PPP/5R1K w - -,g2g3
r1bqk2r/pp1nbpp1/2p1pn1p/3p4/2PP3B/2N1PN2/PPQ2PPP/R3KB1R b KQkq -,e8g8:f6h5
3r1rk1/q2nbpp1/p5p1/1ppB4/5P2/4P1P1/PP1BQ2P/2RR2K1 b - -,d7f6
2rq1rk1/3b1pbp/p2p1np1/4n3/1p1NP1P1/7P/1PP1Q1B1/1NBR1R1K w - -,e2a6
2rq1rk1/pp1nbpp1/4bn1p/2pp4/3P3B/2NBP3/PP2NPPP/2RQ1RK1 w - c6,d3b1
8/p1pbB1k1/1b3pp1/2pB2Pp/P7/1P1K1P2/2P4P/8 b - -,f6g5
4r1k1/1p1r4/3p1N1p/1PpP2p1/2P2qP1/2Q2P2/6KP/R7 b - -,g8f7
1qr1r3/1p2pp1k/p2p1npb/3P3p/nPPB4/1N4PP/P2Q1PB1/2R1R1K1 w - -,f2f4
6k1/7R/8/4PK2/7P/8/8/r7 w - -,h7b7
1n1rr3/1k2b2p/1pp1bpp1/p1p5/4PP2/P3BNNP/1PPR2P1/2K1R3 w - -,e1d1
3q4/3P1k2/p2Qp3/1pp5/6P1/1P3K2/8/8 w - -,g4g5
r1q2rk1/1ppb2bp/n2p2p1/p2Pp3/2P1n3/P4P1P/1PQBB1PK/R3NR2 w - -,f3e4
8/5pk1/1R3p1p/r4b2/5N1P/5PK1/6P1/8 b - -,f5g6
1q1r2k1/3r1p1p/p5p1/Q3b3/2B5/1P2P3/P3KPPP/2R4R b - -,b8b7
8/p1P4p/3n3k/Pp6/3KB3/8/8/8 b - -,h6g7
r4rk1/p3qpp1/2p4P/4n3/1p2PPp1/3B4/bPQ5/2KR3R w - -,h6g7
r2qr1k1/pp1nbpp1/2p1pn1p/3p1b2/2PP4/1P3NP1/PB1NPPBP/R2QR1K1 w - -,f3e5
rn1qkbnr/pp2pppp/2pp4/6B1/3P2b1/2P2N2/PP2PPPP/RN1QKB1R b KQkq -,b8d7
r5k1/p1q1ppbp/b1r3p1/2p1P3/P1Pp1P2/BN1P1NP1/2P1Q2P/5RK1 w - -,f3g5
rnbqk2r/ppp1p1bp/6p1/5p2/3PpB2/4P3/PPPN1PPP/R2QK1NR w KQkq f6,c2c3
3r2k1/5p1p/2NB2pb/2nR1b2/2p2P2/8/NP4PP/2K5 b - -,d8d6
8/5p2/4p3/1p1pk3/pP6/8/K7/8 w - -,a2b2
r2qk1nr/3bbppp/p1npp3/1p6/3PP3/2NB1N2/PP3PPP/R1BQR1K1 w kq b6,d4d5
r1bq1r1k/ppp1n1bp/6p1/1B2Np2/8/1Q5P/PP1B1PP1/RN3RK1 b - -,g7e5
rnbq1rk1/ppp3pp/3ppn2/5p2/1bPP4/2NBP3/PPQ1NPPP/R1B1K2R b KQ -,c7c5
4r3/6p1/2p3Bp/R2p3P/P4P2/k1P3P1/3P1K2/3r4 b - -,d1d2
7k/1p6/p7/4R3/8/1B1rp2P/PP4P1/6K1 w - -,b3c4
r2qk2r/pb3ppp/2p5/2bnp3/8/1P4P1/P3PPBP/RNBQ1RK1 w kq -,c1b2
r6r/1p4p1/2p1bk2/p2npp2/P7/1PP3N1/2B1RPPP/5RK1 w - -,f1e1
2Rqrbk1/3b2np/p3p1p1/1p1p4/3B1N2/nP1B1N1P/P2Q1PP1/4R1K1 b - -,d7c8
r4rk1/1q1pn1bp/pP3pp1/4p3/4bP2/1P2B1P1/2PQN1BP/3R1RK1 w - -,d2d7
8/5Q2/7k/8/4K1r1/8/8/8 w - -,e4e5
r1b1k2r/pp1pbppp/2n1pn2/q5B1/4P2Q/2N5/PPP2PPP/1K1R1BNR b kq -,b7b5
3bR3/1p1r4/3P4/p1P2k2/2KB2p1/PP3p2/6P1/8 w - -,g2f3
r4rk1/n1p3pp/p1qbbp2/1pp1pN2/P3P1PP/2PPBP2/1P1N4/RQ2K2R w KQ b6,a4a5
2rr4/p2nnkp1/bp2p2p/2p2p2/2PP3B/PN1BPP2/6PP/2RR2K1 w - -,d3f1
3r3r/3b2pp/pk3p2/NpR5/4P3/1p3P2/P1P3PP/R4K2 w - -,a5b3
r1b2rk1/2qnbppp/2n1p3/1pppP3/p4B2/P2P1NP1/1PP1QPBP/R3RNK1 b - -,b5b4
r1b1qrk1/p1p5/1p1p1bnp/3Pp1p1/2P1PpP1/1N5P/PP1Q1PBN/R3R1K1 b - -,f4f3
2qrrbk1/2p2pp1/p6p/2Pbpn2/1P2Nn2/P4N1P/B1QB1PP1/R3R1K1 b - -,f4d3
2bqr1k1/4rp1p/p1pp2pb/1p1P4/3P1P2/1P1NN3/P2QB1PP/R4RK1 b - -,e7e3
4r3/1p5p/p1n5/5k2/4p1p1/2B1R3/PP3PPP/7K w - -,h2h3
r3kbnr/p4ppp/bqp1p3/3pP3/1P6/3B1N2/P1PB1PPP/R2Q1RK1 b kq -,g8e7
rn2kb1r/p1q2pp1/Ppp1p3/4P2p/2P5/2N2Q2/1P3PPP/R1B2RK1 w kq -,c3b5
4r1k1/5ppp/2p5/2B3q1/4p3/2n3P1/PPP1Q2P/1K1R4 w - -,b2c3
2rqk2r/1p1bbppp/1nn1p3/p2pP3/3P4/P1NB1N2/1P1B1PPP/R2Q1RK1 b k -,e8g8
2r2rk1/6pp/p7/2nR4/2p2B2/P3PP2/3K2PP/7R w - -,d2c2
q3k2r/rb3pb1/pp1pp1pp/2p5/P2PP1P1/2PB1NP1/1P2QPK1/R6R w k -,a1e1
2r1krn1/1p1bp3/3p2P1/4P1Q1/4P3/8/NPP1q3/1K4RR b - -,e2c2
3q1rk1/rb1nbppp/pp2pn2/2p1P3/3P1B2/2N2NP1/PPQ2PBP/R4RK1 b - -,f6d5
r7/4q1kp/pp1Nnpp1/2PQp3/1P1n4/P4N1P/5PP1/2R3K1 w - -,d5a8
1r2nrk1/pp1qppbp/3p2p1/2p5/2Pn4/P1NP2PP/1P1BPPB1/1R1Q1RK1 w - -,e2e3
2k1b2r/p4pRp/2p5/q1n1pP2/1pP1P3/P7/2PBBQ1P/1K6 w - -,d2b4
r7/1p1nbkp1/p1rpp2p/4p3/2P1P3/BP3N2/P3RPPP/3R2K1 w - -,f3e1
r4rk1/p2b4/3P2p1/2p5/3bNp2/5K1P/PPPB4/R6R b - -,a8e8
r3brk1/ppp3p1/1nnbpq1p/3p4/2PP4/1P2BNN1/P2QBPPP/R4RK1 b - c3,d6f4
5k2/5p1p/RP4p1/1P1N4/3bP3/1p3P1K/6PP/8 b - -,b3b2
1R6/2n1k3/4p3/5p2/5P2/R5PK/p7/2r5 b - -,c1h1
2kq4/pp1b1p2/3bnPp1/2p1p1P1/3pP3/N2P2N1/PPPQ1K2/7B w - -,a3c4
r3kb1r/pp4pp/2nPbp2/q1p1p1B1/4N3/2P1PN2/PP3PPP/R2QK2R w KQkq -,g5h4
2rr4/pp5p/4k3/4pp2/4p3/BPPb4/P2R2PP/K2R4 b - -,d8d7
3r2k1/3rqppp/1R1p1n2/1Q2p3/8/6PP/4PP2/3R2K1 b - -,h7h6
r2r2k1/pp3ppp/2p1pb2/4n3/2P1BB2/1P4PP/P3PP2/2RR2K1 b - -,g7g5
r2k3r/ppqn2p1/3b3n/3Qp2p/7P/2P3P1/PP1N1PB1/R1B1K2R b KQ -,d8c8
8/1p1nr1k1/p1q2pB1/3p2Pp/2pP3P/2P2Q2/1P3P2/5KR1 b - -,f6f5
8/4B2k/6p1/R4p2/1P3b1p/1r6/6K1/3R4 b - -,h4h3
1r3rk1/4b1pp/pp4b1/P1pPqp2/1PP5/1Q2B3/4B1PP/2R2RK1 w - -,e3f4
3r4/8/2pb1kp1/p1p5/1pP5/1P6/P3PP2/1R2NK2 w - -,b1d1
1k6/1pp1b3/p3b1q1/3pp2p/7P/5RP1/PPP5/1K1NQ3 b - -,e5e4
3r4/5pk1/3P2p1/2R1P2p/p3P2P/5KP1/1n6/5B2 b - -,d8a8
8/1p6/4k3/5p2/1Pnp4/1P3RP1/7r/2BK4 b - -,c4e5
r4rk1/p5pp/bp1Bp3/3n3q/3PB3/1Q4P1/PP3P1P/2R2RK1 b - -,f8f7
r1bqrnk1/p3b1pp/8/2ppN2Q/8/1P1B4/P4PPP/R1B2RK1 w - -,d3h7
1b3r1k/8/R4N2/4p3/4Q3/5P2/P3K3/6q1 b - -,g1g2
r1b2rk1/2qnbppp/ppnpp3/8/N1P1P3/P3QN1P/1P2BPP1/R1B2RK1 w - -,b2b4
8/8/8/3PK3/4P3/r1p2k2/2R5/8 b - -,f3e3
rn1qk2r/pp3ppp/2pb1pb1/3p4/3P1P2/2N1P1N1/PPP3PP/R2QKB1R b KQkq f3,d8e7
4q2r/4Pp1k/1pPp2p1/pP1Pp1Pp/P3P3/7R/5KP1/2Q5 b - -,e8e7
r1b1r1k1/3n1pbp/2p1pnp1/qp6/3P4/2NBPN2/P1Q2PPP/R1BR2K1 w - -,c1d2
r2qk2r/1p2ppbp/p1np1np1/8/2P1P3/N1N4P/PP2QPP1/R1B2RK1 b kq -,f6d7
3b3k/ppq3p1/2b1p2p/4Pp2/3N1P2/2n2BP1/PP2Q1KP/8 w - -,b2c3
rn3rk1/pppq1pbp/3p1np1/4p3/2P1P3/2NPBPP1/PP2N1bP/R2Q1RK1 w - -,g1g2
8/8/8/7p/5k2/7P/4K3/8 b - -,f4g3
3r4/p4pk1/1ppq2bp/4R3/3p1PP1/1B4Q1/PP6/6K1 w - -,f4f5
2r2rk1/1bq1bppp/p2ppn2/1p6/2P5/1P3NP1/PNQ1PPBP/2RR2K1 b - -,d6d5
r1b2rk1/pp1nqppp/2p1p3/8/2BP4/P1P1PN2/2Q2PPP/R4RK1 b - -,g8h8
5k2/3Q3p/5bp1/8/8/1q3P2/4K1P1/7R w - -,h1d1
r4rk1/2p3p1/1p3n1p/p1n1p1q1/2P2p2/1PB2PP1/P1Q2PBP/2RR2K1 w - -,d1e1
r5k1/5p2/2bBp1p1/1p1pP1qp/1P1Q2P1/2PP1BK1/5P2/R7 b - -,a8a1
r3kb1r/pp1npppp/2p2n2/2P2b2/3P1B2/1PN4P/1P3PP1/R3KBNR w KQkq -,b3b4
r1bqk1nr/1ppn1pbp/p2pp1p1/6B1/P1BPP3/2N2N2/1PP2PPP/R2QK2R b KQkq -,g8e7
2r2rk1/pp1n1ppp/2p1p3/1n2P1B1/6Q1/1PqP2PP/P4PB1/1R2R1K1 w - -,g5h6
8/8/1p6/p4pr1/P6K/1P2k3/8/5R2 b - -,g5g4
2r3k1/3qpp1p/6p1/3pP3/3NbN2/4B1PP/5PB1/4R1K1 w - -,g2e4
r4r1k/1p2b2p/p1nq2p1/4p3/5PQ1/3BBR2/1PP3PP/R6K b - -,a8d8
3r4/1r1np1kp/3pBpp1/pqpP4/4PP1P/1P2Q1P1/P3R3/2R3K1 w - -,e6d7
1r6/5pkp/3p2p1/2nPp3/p2rP3/R1N2P1P/1PR3PK/8 w - -,c3e2
r1bbk2r/1p3ppp/pn3n2/2N1p3/4P3/2N1B3/PPP1B1PP/3R1RK1 b kq -,b6d7
r4rk1/3Q2pp/p3p3/8/1pq1pP2/6P1/PPP1R2P/2KR4 w - -,e2e3
r1b1kb1r/1p3ppp/1qn1p3/p2pPB2/3p4/PPP2N2/5PPP/RNBQK2R b KQkq -,e6f5
r4k2/pB2pp2/n5pp/P1P5/8/N2NK1Pb/4P3/8 b - -,a6c7
r2r1bk1/1p3ppp/2p3b1/p1q1pN2/2N1P1n1/PPB3P1/2Q3KP/RR3B2 b - -,g6f5
1q2r1k1/1b1n1ppp/5n2/4pN2/1b2P3/1PN1Q1PP/Pr1B2BK/4RR2 b - -,b4c3
2r1k3/1q1nr1pp/pn1Q2P1/1p1P4/8/P1N5/1PP4P/3R1R1K b - -,h7g6
3r4/6p1/8/2P2P2/pPn2kPp/7P/P1Kp4/3N2R1 w - -,g1g2
6r1/ppp1q1rk/3p2pp/2nPpp2/2P1P2P/2P2BR1/P1K2PQ1/6R1 b - -,e7f6
r2qk2r/pp3ppp/2pbpn2/8/3PB1b1/2P2N2/PPQ2PPP/R1B1K2R w KQkq -,c1g5
8/6k1/4K3/PR5P/8/8/5r2/8 w - -,b5b7
r2q1bk1/1p4r1/p2p4/3Pp3/4PnB1/NQ6/PPR5/4BRKN b - -,g7g4
5r2/1p3k2/1p3P2/8/2n1p3/2P3B1/P6P/1R5K w - -,b1b4
3r3r/5pk1/Np2p1p1/6np/1P2P3/P4PK1/5P2/3R1R2 w - h6,a6c7
r2q2rk/p4pbp/1p2n3/3pPN2/4b3/6Q1/PP2N2P/R1B2RK1 w - -,f5d6
6k1/2R5/p5pp/3N4/1pr4P/2b5/P1P5/1K6 b - -,c4c7
5rk1/p1B1b1pp/2pN4/2P2p2/8/2P2P2/b6P/4R2K b - -,e7h4
2r1r1k1/pq4p1/1pn1n2p/2pp1p2/P2P1P2/2PPBN1P/3Q2P1/R4R1K b - -,b7a6
4k3/7R/1r4Kp/4P3/7P/8/8/8 w - -,g6f5
b7/8/PK1k2p1/3p2p1/1N1P1pP1/5P2/7P/8 w - -,b6a7
3r1rk1/pp2qpbp/1np2np1/8/4PB2/1Q3B1P/PP2NPP1/R2R2K1 w - -,e2c3
4rr1k/pp3bpp/1qnbpn2/3p4/1P1P4/P1N2N1P/2B2PP1/R1BQR1K1 w - -,c1b2
8/1p2kpp1/1p2r3/3p4/2P2n1p/1P3P1P/P4KP1/3R1B2 b - -,d5c4
rr2n1k1/3nppbp/3p2p1/2pP4/Pq2P3/2N2NPP/1P2QPK1/R1BR4 w - -,c1d2
1r1q2r1/3n1k2/2p2n1B/p7/4NQ1R/1P1P4/P1P3P1/R4K2 b - -,b8b4
rn1qk1nr/pbpp1ppp/1p2p3/3P4/2P1P3/8/PP1Q1PPP/RN2KBNR b KQkq -,d7d6
4nk2/3n1p2/1prP2pp/p7/P1pR1P2/2P4P/BP6/3R2K1 b - -,e8f6
r2q1rk1/1p2n1b1/3p2pp/1Pn1pp2/3PP3/1bN2NP1/1B3PBP/1R1Q1RK1 w - -,d1d2
1R1r2k1/5p2/pR2nbp1/2p3p1/2P1P3/6P1/P4PKP/8 b - -,a6a5
2kb4/6R1/6p1/1PNK4/8/5P2/8/2r5 b - -,c1f1
1n1r2k1/r1q1n1b1/p3b1pp/2p1pp2/8/P2PP1P1/1BQNNPBP/2RR2K1 b - -,c7d6
r5rk/7p/4N3/p6p/P1PP4/3K1P2/1P4R1/8 w - -,g2h2
2n2k2/2P2p1p/B2bp1p1/8/4P3/5P2/5P1P/6K1 w - -,a6c8
r2q1rk1/2pb1pb1/p1np1npp/1p2P3/4P2B/2P2N2/PPBN1PPP/R2Q1RK1 b - -,d6e5
r2q1rk1/pp1n2b1/4b1pp/2Pp1p2/3B1Pn1/1PN2N2/P3B1PP/2RQ1RK1 w - -,b3b4
r1bqk2r/pp2ppbp/2np2pn/2p5/2P5/2NPP1P1/PP2NPBP/R1BQK2R b KQkq -,h6f5
6r1/8/1p3k2/2p2b1R/P1P2p1P/1P3P2/5KP1/8 w - -,h5h6
8/6pk/7p/2pQ1p2/2P1nB2/P5P1/1PK1q3/8 w - -,c2b1
3r2k1/p2q4/2p2p1p/6p1/2R2P2/3P1Q1P/PP4P1/6K1 w - -,f3c6
3r3k/6p1/7p/pP2PQ1P/P4P2/q3P3/2R1KP2/8 w - -,c2c8
r3k2r/1p2n3/pqb1p2p/3pPp2/3P4/4R3/PPB2PPB/2RQ2K1 b kq -,e8d7
r1b1r1k1/ppp1qp1p/4nbp1/8/2B1PQP1/2P2N1P/PP3P2/RN1R2K1 w - -,f4g3
3r2k1/1p3p1p/pb2pp2/8/P7/1N6/1PP2PPP/2R3K1 w - -,g1f1
rn2r1k1/pp1q1ppp/2pbbp2/8/3P4/2NBPN2/PP3PPP/R2QR1K1 b - -,d7c7
r2b1rk1/6pp/4p3/3bP3/2N2P2/4B3/p1R4P/R2K4 b - -,g7g5
2q2rk1/4bppp/pr1ppn2/2p1B3/2P1P3/5P2/PP2B1PP/R2Q1RK1 w - -,e5c3
8/1p1knp2/p6p/3p3P/3N2P1/PP1KP3/8/8 b - -,f7f6
8/qB6/P7/7k/R5p1/6P1/5P2/6K1 w - -,b7c8
rnbqk2r/ppp1p2p/3p2pb/5p1P/3P4/4P3/PPP2PP1/RN1QKBNR b KQkq -,e7e5
8/8/3r4/2pp2R1/5K2/2k4P/8/8 w - -,f4e5
3k2r1/1R3ppp/Q3pn2/P7/3P4/2q3P1/5P1P/6K1 w - -,a6d6
8/pp2kb2/2pp2r1/5pPp/1PP1rP2/3NP1P1/P1R5/3R2K1 b - f3,e4e3
8/2b1rpkp/6p1/3Q4/2B5/1Pq1P2P/P2RKPP1/8 b - -,g7g8
r2qr1k1/3b1pbp/p2p1np1/nppPp3/2P5/1PN3PP/P1QNPPB1/1RB2RK1 w - b6,c1b2
1rb1r1k1/p3Bpbp/1p4p1/8/5P1P/4PB2/P2K2P1/1RR5 w - -,c1c7
r1q1nrk1/ppp1nppp/3pb3/4p3/2P1PPP1/2PP3P/P3N1B1/R1BQK2R b KQ f3,e5f4
r2q2k1/1b2rppp/pp2p3/3nN3/1nBP4/P1N5/1P3PPP/2RQR1K1 b - -,d5c3
3b1k2/r4P1p/p2N2p1/2n5/3p4/3P2BP/P5P1/5R1K w - -,d6c8
6k1/p5pp/bp1R1p2/3p4/3P4/1Pr1PN1P/5PPK/8 w - -,d6d5
1r3rk1/p4pp1/4n2p/2pR2q1/1PQ3N1/P6P/5PP1/3R3K b - -,g5h4
r2q1r2/pp2ppbk/4n1pp/2p5/4P3/2P1QN2/PP3PPP/RN2R1K1 w - -,b1d2
r2n1rk1/5qbp/b1p2pp1/3pp2P/1P1P3N/2P3N1/5PP1/1RBQR1K1 w - -,h5g6
1b6/8/4R2p/1r3pk1/1P6/2PR4/2K5/8 w - -,d3h3
3r1k2/pb3p1p/6p1/2pP1r2/2q2P2/2N1Q2P/P5P1/3RR1K1 b - -,f8g7
r4rk1/1bqn1p1p/pp1p2p1/2pP4/P3NP2/6P1/1PQ1P1BP/R3R1K1 w - -,a1d1
r1b1kb1r/1pq2ppn/3p4/p3p1Bp/2P3nP/1N1Q1NP1/PP2PPB1/R4RK1 b kq c3,c8e6
r2q2k1/2p2ppp/p2prn2/1p2n1B1/4P3/1PN1Q3/P1P2PPP/R4RK1 b - -,h7h6
3r4/2p1p1kp/6p1/p7/1p2BPPQ/4PN2/4q2P/3rR1K1 b - -,d1e1
r4rk1/pp2ppbp/3p1np1/2qP4/P7/2N3P1/1P2PPKP/R1BQ1R2 w - -,d1b3
3q1rk1/pp2ppbp/6p1/3P2P1/n1r1BB2/5P1P/P5Q1/1R3RK1 w - -,b1b7
8/8/5k2/3pp2p/2q5/1p2P2P/1P3QP1/4K3 b - -,f6e6
2r1r1k1/1b1q1ppp/1np1p3/1B6/3P2n1/BQ2P3/P4PPP/2RRN1K1 w - -,b5e2
7r/5pk1/3p4/p2PqR1p/P3P2P/4Q1PB/7K/1r6 b - -,e5b2
rnbqr1k1/pp3pbp/3p2p1/2pP4/4n3/2N2NP1/PP2PPBP/R1BQR1K1 w - -,c3e4
1r6/1P5p/8/5P2/2k1p1P1/4p3/8/1R3K2 b - -,c4d4
2r3k1/4qpb1/Q3p2p/6p1/3rP3/6P1/P2K1PP1/3R3R w - -,d2e3
2kr4/1b1r1p1R/pn2p1p1/n3P1P1/P1p2P2/B2P2R1/1N1PB3/2K5 b - -,a5b3
5rk1/4b1pp/p1pp4/4B3/4N3/5P2/PPP3PP/2KR4 b - -,d6e5
2r2rk1/p1q2p1p/1n2p1p1/3pP2P/1PbP2N1/1B2R3/5PP1/R2Q2K1 b - -,c4b3
r6r/pp1b2k1/3Pq1p1/2p2p2/5PnP/2P1N1Q1/P7/2R1KB1R w K -,e1d2
r3k2r/1ppbnppp/p1pq4/8/3NP3/2N5/PPP2PPP/R2Q1RK1 w kq -,d4e2:d4b3
1k1r4/1b3P2/p1n2p2/3p4/2Q1P3/7r/PPP5/2K3R1 w - -,c4f1
r5k1/pppqn1pp/3p4/P2P1r2/4pN2/P5P1/5P2/R1BQ1RK1 w - -,f1e1
8/3bk3/3p4/p4p2/5Pp1/PBb1K1P1/8/5N2 w - a6,a3a4
1r6/3B1R2/3kP1p1/3n1p1p/4p2P/6P1/4KP2/8 b - -,b8a8
r2q1rk1/pb1nppbp/1p1p2pB/2pP3P/2P1P3/2NB4/PP1Q1PP1/R3K2R b KQ -,d7f6
6k1/pb3rpp/1p6/2pNP3/2P1p3/8/P1P3PP/5RK1 w - -,f1e1
r5k1/2p2r2/4Npp1/p2p1q2/1pnP4/2P3QP/P3RPP1/R5K1 w - -,a1e1
r2r2k1/2q1bppp/pp1ppn2/8/2PQP3/1PN3P1/PB3PKP/R2R4 b - e3,c7b7
