6k1/8/6p1/5p2/1np2PP1/5K1P/1B6/8 w - -,b2e5
2Q3k1/5q2/pp1p2p1/2pPp3/2P2N2/P7/7P/4n2K b - -,g8h7
r1b2rk1/ppq1bp1p/2n1pp2/8/4N3/1P1B1N2/P1P1QPPP/R4RK1 b - -,f6f5
8/6R1/4k1p1/6P1/4P3/4K3/8/5r2 b - -,f1e1
r2qk2r/4bpp1/p1p1pn1p/1pP4P/3P1B2/5N2/PP3PP1/2KRQ2R b kq -,d8d5
8/8/2p2k2/5r1p/3RK2P/5P2/8/8 b - -,f5e5
r4rk1/p4pp1/1ppb1q1p/3p1b2/5P2/2PBB3/PPP2QPP/3R1RK1 w - -,a2a4
r4r1k/pp2q1bp/n2p2p1/4np2/8/1BN1P2P/PP3PPB/R2Q1RK1 b - -,a8d8
rn1qkb1r/pp3pp1/2p1pn2/7p/3P2bP/2P3N1/PP2BPP1/R1BQK1NR b KQkq -,g4e2
8/p3k1bp/4p3/1p2P1p1/3P3r/PB1K2RP/1P6/8 b - -,h7h5
8/8/P7/1B4p1/4n3/4p3/3k1p2/5K2 b - -,e4g3
5b2/8/4k3/8/2P1KP2/8/8/1B6 b - -,f8e7
2r2r1k/p5n1/2p4p/Pp1pPqP1/7R/4B1P1/1P3P2/3QR1K1 b - -,g7e6
4K3/3RN1pk/7p/r6P/8/8/8/8 w - -,e7d5
3b4/8/2pk4/p4p2/P1PBp2p/1P6/4KPP1/8 b - -,d6e6
r1bq1rk1/p4pb1/1p2p1p1/2p5/3pPPQP/3P1N2/PPP5/R1B2RK1 b - -,c8b7
rn1k1b1r/ppp2ppp/5n2/4pb2/2P5/2N2P2/PP2P1PP/R1B1KBNR w KQ -,e2e4
4n3/r1p3r1/4pk1p/5p2/3P3P/4PB2/2R2P2/2R2K2 b - -,e8d6
6k1/3qbppp/1p2p3/p1p1P3/P1P4P/1PB2QP1/5P2/6K1 w - -,g1g2
r3qr2/1pp3k1/p2p1pp1/3B3p/nn2PP1P/5Q2/PPP2NP1/2KR3R w - -,a2a3
5r2/1pp3kp/p2pQ1p1/3P4/2PR2P1/Pb5q/1P6/KN6 w - -,d4e4
2r2bk1/5q2/p2p3p/2n1n1p1/3Q4/P1B2P1P/6P1/1R1R3K b - -,f7c4
3r4/5pkp/PR1N2p1/4P3/6b1/6P1/7P/6K1 b - -,g4f3
q2r1rk1/pb1nbppp/1pn1p3/2p5/4P3/1PNPQNP1/PB3PBP/2RR2K1 w - -,c3e2
8/p3rpbk/2R3p1/3p3p/2N4P/1P2P1P1/P3KP2/8 w - -,c4d2
2r3k1/5p1p/4pq2/6p1/8/1P2Q2P/P4P2/3N1BK1 w - -,a2a4
3rr1k1/ppqnbppp/2p2n2/4pb2/4P3/2NP1NP1/PPQB1PBP/3R1RK1 b - e3,f5g4
r1r3k1/3qp2p/3p1pp1/pPnP4/5P2/1P3B1P/P2Q2P1/1R3R1K b - -,d7b5
r7/4k3/3pb3/2p1p2p/2P1Pp1P/1P3P2/3RN3/4K3 w - -,d2d1
2r2b1r/1pNRnk1p/p4pp1/8/4PB2/8/PP3PPP/1K5R b - -,g6g5
rnb2rk1/p4pbp/2p3p1/3Pp3/1p2P2q/1BN5/PP3PPP/R1BQ1RK1 w - -,c3a4
3k3N/2n1q2r/r4p2/p2ppP2/QppP4/2P2P2/PP3K2/6RR w - -,g1g8
4qnk1/1B3bp1/1p1B1p1p/p2p4/3P3P/P5Q1/1Pr2PP1/6K1 w - -,d6f4
r4rk1/pp1qppbp/2np1np1/8/Q1PP2b1/2N1B1P1/PP2NPBP/R3K2R w KQ -,e1g1
3rk2r/4ppbp/p5p1/1pP1nn2/4N3/5N2/PPP2BPP/R3K2R w KQk -,f3e5
r1bq1rk1/1p2b1pp/n1pppn2/p4p2/2PP4/1PN3PN/PB1QPPBP/R4RK1 b - -,a8b8
r1b1k2r/2qpbppp/p3pn2/1p2n3/4P3/1NN1BP2/PPP2QPP/1K1R1B1R b kq -,d7d6
r7/1r1bpkb1/2pp4/p4p1p/R2P1P2/1P2B2P/P1R1NKP1/8 w - a6,a4c4
rn1qkbnr/pbpp1ppp/1p2p3/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq e3,c7c5:f8b4:d7d6
rnbq1rk1/2p1npbp/pp1pp1p1/8/P1BPPB2/2N2N2/1PP2PPP/R2QR1K1 b - -,b8c6
4r1k1/4ppb1/1R1p1npp/Nb6/3P1B2/1P5P/3N1PP1/6K1 b - -,b5d3
r4rk1/3qbpp1/1pp1p1b1/p2nPn2/P2PN2p/1N3B1P/1P1BQPP1/2R2RK1 w - -,d2g5
5rk1/1B2ppb1/P5pp/r1B5/8/6PP/5P2/3R1K2 w - -,c5e3
2rqkb1r/pp3ppp/2p1p3/3nQ3/5B2/1BP4P/PP3PP1/R2R2K1 b k -,d8b6
1rbq1rk1/pp1nbppp/2n1p3/2ppP3/8/3P1NP1/PPPN1PBP/R1BQR1K1 w - -,d2f1
5r1k/p5p1/2Q4p/8/2P2q2/8/PP6/1K1R4 b - c3,f4f5
8/p2b4/3k4/p7/5p2/2P2Brp/PP3K1R/8 b - -,a5a4
1rbq1rk1/2p2ppp/2n1pb2/p7/1ppPP3/5NP1/PP1QNPBP/R2R2K1 b - -,c8a6
1n1qkb1r/r2p1ppp/2p1pn2/1p2N3/8/1Q4P1/PP1PPPKP/RNB2R2 w k -,b3f3
4R3/4n2p/7k/p3r2P/6P1/PP1K4/8/8 b - -,h6g5
r1bq1rk1/pp1nppbp/6p1/2p5/P1PPB3/5N2/1P3PPP/R1BQ1RK1 w - -,c1e3
r3k2r/pp1nqpp1/2pbpnp1/3p4/2PP4/1P4PP/PBQNPPB1/R3K2R b KQkq -,d6a3
r5k1/p1n5/1p1b1RN1/2p3PP/3n4/3p4/PP3PK1/R7 b - -,c7e8
rn1qk2r/pp3p1p/2pbpp2/8/3P1Bb1/2P2N2/PP3PPP/R2QKB1R w KQkq -,f4g3
8/8/p3k3/PpPpp3/4bpr1/2P5/1K1R2P1/4B3 b - -,g4g2
4r2r/1kp3pp/ppbb1p2/2pNn3/4P3/2N2PB1/PPPR2PP/3R2K1 w - -,d5e3
2r3k1/pp3p1p/1r2pqpb/3p4/3P1P2/2PN4/PP2Q1PP/R4RK1 b - f3,h6f8
r1b1r1k1/pp1n1pbp/2pp1np1/q7/2PNP3/2N1B1PP/PPQ2PB1/R4RK1 b - -,a7a6
5rk1/7p/4q1pb/BP1p4/P1pP4/4PpP1/3Q1K1P/5R2 b - -,f8e8:e6h3
rnb1k2r/pp2qppp/2pb1n2/4p3/1PPp4/P1N1PN2/1B1P1PPP/R2QKB1R w KQkq -,c3e2
r6r/p3kpp1/bpp1p2p/2n1P2P/2P4R/P1P1B3/5PP1/R3KB2 w Q -,h4g4
8/3P1pkp/4n1p1/8/3bQ3/5BP1/4K3/4B1q1 b - -,d4f6
1k5r/pp1rq1pp/5p2/4p3/1R2N1P1/P1PP1Q2/1P1b1PP1/R5K1 b - -,d2g5
8/p1q2pk1/1p1p1b1p/2p2QpP/2B1PP2/2P2KP1/PP6/8 b - -,c7e7
r2q1rk1/bpp2pp1/p2pbnnp/4p3/3PP3/1BP2NNP/PP3PP1/R1BQR1K1 b - -,f8e8
5rk1/4b1pp/1qnppr2/p3p3/1pP1P1QP/1P2N3/P1NR1PP1/R5K1 b - -,c6d8
r4r2/p1pn1pkp/2pqb1p1/3p3P/N5P1/1P2PP2/P1PQB3/2KR3R w - -,f3f4
8/7k/7P/P7/1p1p1N2/1P2p1PK/3q4/Q2b4 w - -,a5a6
2r2rk1/1b2qppp/n7/2Pp4/8/2Q1PNP1/5PBP/R2R2K1 b - -,a6c5
r3q1k1/pp2b1p1/2p1bp2/1n2p3/1P2P1P1/P3BPN1/1QP3B1/R5K1 b - -,b5d6
3rr1k1/1pp1qp1p/p1p1n1p1/4P3/2P1R2P/P4Q2/1P3PP1/R1B3K1 b - h3,d8d4
r4r2/ppp2pkp/1nn3p1/2q5/4P1b1/2N3PP/PPQ1NPB1/3RR1K1 b - -,g4e2
4r3/3B1kr1/1p1q1p2/3p2p1/N2P1n1p/pPQ4P/P4PP1/K1R5 w - -,d7e8
2r1r1k1/p3p2p/2p1q1p1/1pB2pP1/3P4/2P5/P5Q1/4RK2 b - -,e6c4
r1r3k1/pp3pp1/4b2p/8/3N4/1PnRB3/P4PPP/R5K1 b - -,c3d5
8/5pk1/3p2b1/3Pn1p1/3NP1P1/7P/R5BK/2r5 b - -,e5c4
2Q5/6nk/8/5p1p/4B2P/6PK/3q4/8 w - f6,e4f5
6k1/5r1p/2qp3B/p3b3/P1n5/1QN4P/6P1/3R3K b - -,f7b7
3rr1k1/1pq3pp/p4p1n/P2Rp3/4Q1P1/1N5P/1PP2P2/3R2K1 w - -,b3c5
2bq1rk1/p4rbp/1npp1pp1/2p1p3/2P1PP2/1P1P1NQ1/PN1B1RPP/5RK1 b - -,b6a8
r1bq1rk1/3p1pp1/p1n4p/1p1N4/1P1pn3/P4B1P/2P2PP1/R1BQ1RK1 b - -,e4g5
2Q1r2k/6p1/Q4p1p/p2N4/1P2r3/P4q2/5B2/2R3K1 b - -,e4g4
6k1/p1rq2pp/B3b1n1/2Bp1n2/1P6/P1R5/1N2Q1PP/6K1 w - -,a6b5
r2qk2r/3bbppp/2np1n2/p1p1p3/Pp2P3/2PP1N2/1PBN1PPP/R1BQR1K1 w kq -,d2c4
8/8/5kn1/3R1p2/r6p/5N1P/5PP1/6K1 w - -,f3d4
5rk1/5p1p/P5p1/3Rp3/4P3/6P1/Q4PKP/4q3 b - -,e1e4
3qrbk1/1b1n1p1p/ppR3p1/3P2P1/1P2NP2/P3BB2/3Q3P/6K1 w - -,e3b6
r1bq1rk1/pp1n1ppp/2pb1n2/4p3/2Q5/3P1NP1/PP2PPBP/RNB2RK1 w - -,b1d2
4k2r/pp2NpQ1/3n2p1/B5P1/P1np3P/8/1P2KP2/1q6 w k -,g7h8
3r1rk1/pbp2ppp/1p4n1/2qpP2Q/8/2P5/PP1N1PPP/2R1RBK1 b - -,c5e7
1rbqkb1r/5ppp/p2p2n1/3Pp3/2N5/3B4/PP1B1PPP/2RQ1RK1 b k -,f8e7
2r1k3/pq1pnp2/1p2p1rp/8/2P5/2Q3P1/PP1NPP1P/R4RK1 w - -,a1d1
r2r2k1/p2q1pbp/2p1pnp1/3p4/2P1P3/2N1BP2/PP1Q2PP/R2R2K1 w - -,e4e5
7r/4k2r/2n1p3/4P3/1ppP1P1p/2P1N2R/2P1K3/7R w - -,e3c4
8/pb5B/3p4/2p1k2p/2P2p2/1P3P2/P3K1P1/8 w - -,e2d3
r4rk1/1b1pnppp/2p2q2/p1b1p3/PpBPP3/1QP5/1P2NPPP/R1B2RK1 b - d3,e5d4
1r1q1rk1/3bpp1p/3p2p1/p2P4/B2b4/5P2/1PPQ2PP/R4RK1 w - -,d2d4
r1bq1rk1/1p2bp1p/2p3p1/p1n1P3/P1Pp4/4N1B1/1P2BPPP/RQ1R2K1 b - -,d8b6
3r1rk1/pp2bppp/1qp1pn2/4B3/3P2b1/P1N3P1/1PPQ1PBP/1R3RK1 w - -,d2f4
5r1k/pp1B2pp/2pb4/3p4/3P4/2P1n3/PP2N1P1/R6K b - -,f8f2
r1b2r2/pp1q2bk/2np2pp/2pNpp2/1PP3n1/P2P1NP1/3BPPBP/1R1Q1RK1 w - -,e2e3
3r2k1/p2n1ppp/2q5/8/1rppPBP1/7P/PP2QPK1/2R2R2 b - -,d7c5
5r1k/1r3ppp/pnppq1b1/8/2P1P3/PPN1R1PP/3Q2BK/3R4 b - -,b6c8
4rr2/1pqb1pk1/p2p1bp1/P1pP1P2/1nP3QN/R6P/1P4B1/2B2R1K w - -,h4g6
4R3/p4pkp/1p4p1/3p3r/2r5/2P1QP1P/PP3qP1/3R3K b - -,f2e3
5k2/pp3qp1/2n2b2/3p4/3Pr1QP/3RB3/P1P2PP1/R3K3 w Q -,g4c8:g4f5
5rk1/1r1q1p2/2n1pRp1/p3P1Pp/1ppPQ2P/2P5/1B4P1/R5K1 b - -,b4c3
r1bq1rk1/pp2n1pp/2nNp3/2p2p2/7N/3P2P1/PPP2PBP/R1BQ1RK1 b - -,d8d6
8/1R6/3b1n2/k6p/1p6/3N1BP1/2r1PPK1/8 b - -,c2c7
r1b2rk1/pp4pp/2n1Pq2/2p5/4Bb2/2PP1N2/P5PP/RN1Q1RK1 w - -,b1d2
2rq1r1k/1p2ppbp/p1np2p1/P2Q4/4P3/2P1BB1P/1P3PP1/R3R1K1 w - -,e3b6
3n4/2q2pp1/1p2k3/pB1p2Qp/3Pb3/P4N1P/1P3PP1/6K1 w - -,g5g7
r2k1r2/pbp1pP2/1pn2bpp/6Nq/2BP1B2/2P5/PP1NQ1PP/4RRK1 b - -,h5e2
6R1/8/2r3k1/2P2p2/6p1/3r4/5PK1/2R5 b - -,g6f7
8/5pkp/4pn2/8/4pP2/1RN2KPP/7r/8 w - -,c3e4
r1r3kb/p2n4/3pb2p/Pp2pppN/1n4P1/3PP3/PB1NBP1P/R1R3K1 w - -,g4f5
1nq2bk1/p1r1pp1p/bp4p1/3p4/3P1P2/BP1NP3/P2Q1KPP/1B1R4 b - -,b8d7
8/5k2/6r1/2P5/1K1Q4/8/8/8 b - -,g6e6
r1b1k2r/pp2qp1p/5Pp1/4n3/2PpB3/NN2b1P1/PP2P2P/RQ3R1K b kq -,e7c7
brr2bk1/2qnnppp/p2pp3/N7/1PP1PP2/2NBB3/R4QPP/1R4K1 b - -,e7g6
8/2b2rk1/8/p2p3p/Pp1P2p1/1Pp1P3/5RK1/2B5 w - -,f2e2
r1b2rk1/ppp3pp/2n5/2P2p2/2p1n3/2Nq1N2/PP2QPPP/R1B1R1K1 w - -,c3e4
3r2k1/pp1bbpp1/4pn1p/8/2r2B2/P1N1PN2/1P3PPP/2RR2K1 w - -,f3e5
6k1/3b2b1/2n1p1np/q2p1p2/3N1P2/2P3PP/4QBB1/3N2K1 b - -,c6d4
8/1p3pk1/p1p3bp/2Ppr1n1/1P1N1RP1/7P/1P2P1B1/4K3 w - -,e1d2
7r/5pk1/6p1/2P5/1P6/8/P7/1K3R1n w - -,c5c6
8/2q4k/4r2p/p1p2np1/PpNpNP1b/1P1P1R1P/2QBn1P1/7K w - -,c2d1
3r1rk1/p1pb1p2/2pp3p/N1b1p1q1/Q3P1pN/2PP2P1/PP3PP1/3R1RK1 b - -,d8e8
5r1k/4N2p/6p1/1B3P2/1P2p3/P6P/3r2P1/2R3K1 b - -,g6f5
1r1q1rk1/pp2ppbp/2n1b1pn/2p5/P1Np1P2/3P1NP1/1PPBP1BP/R2Q1RK1 w - -,f3g5
4kr2/8/p2bR1p1/1p1b3p/8/P2P3Q/1Prq1BPP/5R1K b - -,d5e6
6k1/1p3p1p/2p1n3/3p4/1q4P1/5N1P/6QK/8 w - -,f3h4
5r1k/6p1/3q3p/pp2p3/3bB3/6PP/P1Q2PK1/5R2 w - -,f2f4
r1bqk2r/ppp2ppp/2np4/3nP3/3P4/5N2/PP1Q1PPP/RN2KB1R w KQkq -,b1c3
4B3/4p3/5p1p/pRn1rkp1/P1PK4/7P/5PP1/8 b - -,c5a4
8/4p1k1/4Pppp/R3b3/6P1/3p4/7P/7K w - -,a5d5
6rk/p5p1/7p/1pp5/8/q7/6RP/5Q1K w - -,g2g3
6k1/6pp/5p2/8/5P1P/4P3/3K4/8 b - -,f6f5
8/1p3r1p/pB6/P3k3/4b2P/P1R3K1/8/8 w - -,c3c5
2r2bk1/1q1r1p1p/p3pPp1/Pp1bP3/1P1Bp1P1/2P1Q3/3R3P/R4BK1 b - -,b7a8
r1b2rk1/1pq1nppp/p7/3n4/8/2P2N2/P2BBPPP/R1Q2RK1 b - -,e7g6
8/4k1R1/8/3PK3/4P3/pr4P1/8/8 b - -,e7f8
8/5pk1/4pnp1/8/6Pp/2R4P/5P2/r4BK1 b - -,f6d5
2r2k1r/pp2qppp/4bn2/1Bp5/2P1p3/B3Q3/P4PPP/2R2RK1 w - -,a3b2
8/6k1/r3p3/3pP1R1/1b1P1N1P/7K/8/8 b - -,g7f7
8/p1k5/1pp1b2p/P3p1b1/4P3/1NNR2P1/KP6/5r2 w - -,a5b6
r2q1rk1/pp1n1ppp/2pbpn2/8/2PPN3/P2Q1N2/1P3PPP/R1B2RK1 b - -,f6e4
2r2rk1/pb2qppp/1p1Np3/4n3/2P5/P5P1/1PQ1BPP1/2RR3K b - -,c8c7
5r2/8/1p2k3/2p3pp/2PnP3/PN2R1P1/1K6/8 b - -,f8f2
1rbk1r2/6pp/3n4/p1N1np2/B2RpN2/6P1/1PP2P1P/2K4R b - -,d8e7
8/8/r5k1/7p/2P5/p7/K7/1R6 b - -,g6f5
1r2rqk1/2p3bp/p4pp1/N1p1P3/2Q2P2/1P4PP/P5K1/2R1R3 b - -,g8h8
1nr3k1/2r2ppp/p3p3/2b5/P3n3/BN2N1P1/5P1P/2RR2K1 b - -,c5a3
r3kn2/pppqn1r1/3p2p1/3PppNp/2P1PP1P/6P1/PP2Q1B1/R4RK1 w q -,g2h3
2b1rrk1/1pq3b1/2p1n1p1/p1p1p2p/P1P1P1N1/1P1Q2PP/4NPB1/1R1R2K1 w - h6,g4e3
2r5/8/1r1pk3/1P1Rp1pp/4Pp2/7P/5KP1/R7 b - -,c8c4
r1bqr1k1/pp3pp1/2pbpn1p/4N3/2PP4/6P1/PP2QPBP/R1BR2K1 b - -,d8e7
1R6/8/8/8/5pk1/6r1/5K2/8 b - -,g3f3
5rk1/pp2prbp/2n1Q1p1/3p4/3P2q1/1P3N2/PB3PPP/R3R1K1 b - -,g4e6
1r1q4/r1n2pk1/2p1pbp1/2Pp3p/PR1P1P1P/3BB1P1/4QPK1/1R6 b - -,b8a8
2rr2k1/pb1qppbp/1p4p1/3n4/3P4/1PNQ1B1P/PB1R1PP1/3R2K1 b - -,e7e6
8/5p2/2r5/2b5/1B2R1p1/P5P1/1k2KP2/8 w - -,e4g4
4B3/7k/p6p/P2pnp2/4bP2/2P1K2P/8/8 w - -,f4e5
4n3/8/5k2/2p4p/2B5/1P4P1/5K1P/8 w - -,f2f3
r5k1/3n1p1p/4q3/rpp1pn2/P2pP3/1R1P2P1/2Q2N1P/R5K1 w - -,e4f5
8/4n2p/1p2bkp1/p7/1PPPP3/P3K1P1/7P/5B2 b - -,a5b4
8/6p1/4k2p/2R2p2/2N3n1/2PK4/5r2/8 b - -,h6h5
8/8/8/2k5/2n2K2/8/8/3R4 w - -,f4e4
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/2P1P3/2N2NP1/PP1P1P1P/R1BQKB1R b KQkq -,d7d6
rn1q1rk1/pb1pbppp/1p2pn2/2p5/2P5/1PN1PN2/PBQP1PPP/R3KB1R w KQ c6,f1e2
1r6/r4pk1/3p2p1/nN1P3p/1P1b1B1P/3B2P1/5PK1/1R6 b - -,b8b5
8/p1k1nppp/2p5/4P3/3K4/6PB/PP5P/8 w - -,h3f1
1r6/3r2p1/1pRP3p/1P6/4k3/6P1/P2R1PK1/8 w - -,a2a4
1rb2rk1/2q2pbp/p2p1np1/2pn1P2/2P1P2B/3B1N1P/1PQ3P1/R3R1K1 w - -,e4d5
5r1k/2pnnpr1/bp1p2pp/p3p3/P1PPP1PN/1B2P2P/1P1N1R2/5RK1 w - -,d4d5
5rk1/p1q2p1p/1pnpr1p1/4n1Q1/2P1P1PP/1P3B2/P3KN2/3R3R b - -,f7f6
r1b2rk1/6pp/p2b2q1/1p1B4/5p2/2PPB1P1/PP1N1P1P/R2Q2K1 b - -,c8e6
8/6k1/p1qN2p1/2P1p3/1P2P2p/Pb5P/3Q2P1/6K1 b - -,c6a4
3r4/pk6/2p3Bp/8/PB3n2/2N2P2/1P1r1P1P/5R1K w - -,g6e4
r2k4/5pp1/3p4/3NpP2/4n2p/2P4P/1P4PK/3R4 w - -,d5b4
2rb4/5pk1/2r1b1p1/3pp2p/1PP1P2P/pR2B1P1/P2K1P2/2R2B2 w - -,e4d5
R7/1r3ppk/2p1p2p/P7/4q3/4B3/5PPP/5RK1 b - -,b7b1
8/p5bk/pQ4p1/4rp1p/8/1N4nP/PP4P1/2R2R1K w - -,h1g1
3r2k1/1p3p1p/6p1/4Pq2/rpPR4/5P2/6PP/4Q1K1 w - -,d4d8
r3rk2/2pbqp1p/3n1np1/1pQPp3/1P2P3/2NN1PP1/4B2P/R4RK1 w - -,f1c1
