3K2k1/R6p/5P2/6P1/8/8/4r3/8 b - -,e2d2
1r3rk1/1pq1ppbp/p2pbnp1/3N2B1/2P4Q/6PP/PP2PPB1/2RR2K1 b - -,e6d5
2q2rk1/3nbppp/pr1pp3/2p5/4P3/1P3B2/PBP2PPP/R2Q1RK1 w - -,f3e2
r1bq1rk1/p2nbppp/1pp1pn2/2Pp4/1P1P1B2/2NBPN2/P4PPP/R2QK2R b KQ b3,a7a5
r1b2r1k/1ppn1pbp/p2p2p1/P7/2BP4/2P1qP2/1P1N2PP/R2QNRK1 w - -,g1h1
2Q3k1/5p1p/pN4p1/2pP4/5b2/6PP/q3rPK1/1R1Rr3 b - -,g8g7
1Rn5/5rk1/3p2pp/2pPpb2/1pP1B3/1P6/3N1PP1/6K1 b - -,f7c7
6k1/2p1rp1p/2B3p1/8/P3P1bP/1PQ3P1/K4q2/2R5 w - -,c1c2
1r2k2r/5ppp/pB2pn2/n7/1bBP4/1pN1P3/1PbN1PPP/2R1K1R1 w k -,b6a5
r2q1k1r/pp1b1ppp/n2b1n2/2pPN3/8/P1N3P1/1P3PBP/R1BQR1K1 b - -,h7h6
4kn2/7p/6p1/p1BPpr2/1p6/8/2P1NN2/6K1 b - -,f8d7
r2q1rk1/p3pp1p/1p4p1/2p1b3/2QPp3/2P1P3/PP1B2PP/3R1RK1 b - -,c5d4
6k1/p2rpp1p/1r4pb/1p1P4/1N5P/P5P1/1P3P2/3R1RK1 b - -,h6g7
2r2rk1/ppqn1p1p/3bp1p1/2p3P1/2PP4/4BQPP/PPB5/1K1R3R w - -,h3h4
8/r3q1kp/5np1/p1PPp3/4P2P/8/6P1/Q1R3K1 w - -,d5d6
r7/6k1/2b4p/1p6/1p3RB1/P6P/6PK/8 w - -,a3b4
r2q1rk1/pp3pbp/4bnp1/8/2N2P2/2N5/PPP1B1PP/R2QK2R b KQ -,d8c8
3r3k/4p3/3q1bRr/5Q2/3P3P/2P3R1/5PP1/6K1 b - -,h6h7
8/ppb1rk2/2p5/2Pp1p2/PP1Pn1p1/1N4P1/3B1P2/4RK2 b - -,f7e6
r5k1/1pPr1ppp/1bn5/p4b2/2P1N1P1/P1B4P/1P1N4/R4K1R b - g3,f5g6
5rk1/pp4bp/1qn1b3/2ppp3/8/2PPN1PP/PP4B1/R1BQ2K1 b - -,c6e7
1r4k1/2q1brPp/p1bp2p1/4p3/NpQBP3/1P3P2/1PP5/1K1R3R b - -,e7f6
r7/pp5p/2p1bkp1/2P5/3pB3/1P3PP1/P4K1P/R7 w - -,f2e2
r3r1k1/1p3b1p/2pB1bp1/2n5/1q2NP2/p5PP/P1Q3BK/3RR3 b - -,e8e4
r1bq1rnk/2pn3p/pp1p2p1/3Pppb1/P3P3/2NB2P1/1PP2P1P/R1BQRNK1 w - f6,e4f5
2r1r1k1/p4pp1/1pn2n1p/3q4/3P4/1N2BP2/P2Q2PP/2R2RK1 w - -,f1e1
4r1k1/pp5p/1qpp2p1/4rN2/2P5/1P3R2/P2Q2PP/R6K b - -,e5f5
3r2k1/1q3ppp/2bBpn2/2Q5/p3P3/2R3P1/1PP2PBP/6K1 b - -,c6e4
1r1q1rk1/pb3p1p/1p1pp1p1/2p5/1PPbPP2/P2P2P1/3B2BP/1R1Q1R1K w - -,d1e1
3rk2r/pp2ppb1/n1p1b2p/6pq/P1pPP1nP/N4BP1/1P3PN1/R1BQ1RK1 w k -,a3c2
r2q1rk1/pp2npbp/3pb1p1/2p5/3nPB1N/2NP2P1/PPPQ1RBP/R5K1 b - -,f7f6
5k2/p1p5/1b4p1/1KpB2Bp/P7/1P3P2/2b4P/8 w - -,h2h4
7r/8/2kB3p/b1P3p1/8/4PQ2/PPK3PP/7q b - -,c6d7
1n3bk1/1q3pp1/pp2p2p/1p6/3PP3/3NNPPP/PPQ3K1/8 b - -,b8c6
r3bk1r/4bpp1/pq1Npn1p/2P1B3/Pp6/1B6/4QPPP/3RR1K1 b - -,b6c6
r1b2r1k/pppp1qpp/8/3QP3/2P2N1P/4PpP1/PP3P2/R4RK1 b - h3,f7d5
r1b2rn1/pp2qpkp/6p1/1NpPp3/2P1P3/3B3P/PP1Q1RP1/5RK1 w - -,d5d6
r3k2r/1bqpbpp1/4pn2/p6p/PpNBPP2/3B4/1PP1Q1PP/2KR1R2 w kq -,b2b3
rnb2rk1/ppp1qpp1/4p2p/3p4/2PPn3/2N1PN2/PPQ2PPP/R3KB1R b KQ -,e4c3
3rk2r/1ppq1pb1/p1n1p1pp/2Rb4/PP6/3PBNP1/3QPPBP/2R3K1 b k a3,d8c8
r4rk1/pPp1q1bp/3p2p1/3Pp3/2P1b3/B4PP1/P4QB1/R4RK1 b - -,a8b8
4r3/1pp1r1p1/1b1p1p1k/p2P3b/P2P3P/2P4N/1P3R1K/6RB w - -,h3f4
r3kb1r/1b2npp1/p7/1ppqN2p/3p4/1P4QP/1PP2PP1/RNB1R1K1 b kq -,e7f5
5rk1/p1qbppbp/3p2p1/1p1P4/3N4/2r1BP2/P1PQ2PP/1R1R2K1 w - -,d4b5
3r1rk1/pbq2pbp/1pn1pnp1/2pP4/8/2PPNN2/PPBB1PPP/R2QR1K1 b - -,f6d5
5k2/4bp2/6p1/2pBP3/r4P2/4K1P1/2R4P/8 b - -,f8g7
rk5r/pb2pRbp/4B1p1/Bp1p4/3P4/8/PPP3PP/3R2K1 b - -,g7f6
r2qr1k1/pp3pp1/2nb1n1p/4p2b/1Pp1P3/P2B1N1P/1B1N1PP1/R2QR1K1 w - -,d3c4
r1b2rk1/pp3pp1/4p2p/q1b1N3/3Q3B/2P1P3/P4PPP/2R2RK1 w - -,d4g4
rnbq1rk1/pp4bp/3p1pp1/2pPp1B1/2P1P1n1/2NB1N2/PP1Q1PPP/R3K2R w KQ -,g5h4
q3r1k1/1bRp2bp/p2B1pp1/1p1P3P/8/3Q1N2/PP3PP1/6K1 b - -,b7d5
r2qr1k1/3bbppp/p4n2/2p5/P1pNP3/2P5/2B2PPP/R1BQR1K1 w - -,d4f3
1rr3k1/2qb1pp1/3ppbpP/ppn5/3NP3/PBN2P2/1PP4Q/1K1R3R w - -,d4f5
r3r1k1/1p1q1pbp/6p1/8/p1Bn4/6N1/PP3PPP/2R1RQK1 w - -,g3e4
2b3k1/5pp1/p1q4p/2PpP3/1B1Q1P2/P6P/6PK/8 w - -,b4c3
3R1rk1/p3r3/7R/6PK/8/8/8/8 w - -,h6g6
6k1/1P4p1/4bn2/2p5/1bP1p2p/1q2N2P/4BP1Q/6K1 b - -,f6d7
8/6k1/3p4/P4R1P/5p2/5K2/r4P2/8 b - -,g7h6
1r6/rn3pk1/3p2p1/P2P3p/1PNb1B1P/3B2P1/5PK1/1R6 w - -,c4a3
2r2rk1/pp2bppp/2n1pn2/1NPq4/5Bb1/2P2N2/PP2BPPP/R2Q1RK1 b - -,e7c5
8/p6k/1pn1qbpp/2pQpp2/4P3/1PP2NP1/PB3P1P/6K1 b - -,c6d8
8/5p1k/p2Q4/2Bp1pb1/P2P4/7P/3q4/5K2 b - -,d2d3
r4rk1/1b2ppbp/pp4p1/2qn4/P7/1BP2N1P/1P1B1PP1/R2QR1K1 b - -,c5c7
2r2rk1/1bq1bppp/p2pp3/1p3P2/2nNP1P1/6QP/P1P1N1B1/2R1R1K1 b - -,e7g5
r4rk1/pb1nq1pp/1pp1p3/3p1p2/1PPPn3/4PN2/PQ2BPPP/RN3RK1 w - -,b1d2
8/5pkp/6p1/P7/5P2/4P3/r2p1PKP/3R4 w - -,a5a6
r1b1kb1r/pp1n1ppp/1qp2n2/3p2B1/3P4/3BPN2/P2N1PPP/R2Q1RK1 w kq -,e3e4
rn1qr1k1/pp1b1pbp/6p1/1B1n4/3NP3/1Q2BP2/PP4PP/R4RK1 b - -,b8c6
r2r2k1/pp1nb1pp/2p1p3/3p1p1b/N1PPn3/1P2PN1P/1P2BPP1/2RRB1K1 b - -,d7f6
3r1rk1/1pqbbppp/p1np1n2/8/P3Pp2/2NBBN2/1PP1Q1PP/R4R1K w - -,e3f4
3r4/1Qn3rp/2Bp3k/1p2p1bP/8/P4P2/1PP5/1K6 b - -,d6d5
1r2r1k1/1p3pp1/p1p1b3/2P3q1/3R4/2Q2B1p/PP3PP1/3R2K1 w - -,g2g3
r6r/pp1qbkpp/4pn2/5p2/8/P1N2Q2/1P1B1PPP/3RR1K1 w - -,f3e2
r2qk2r/ppp2pbp/3pb3/4n1p1/2P5/4P1B1/PP1NBPPP/R2QK2R w KQkq -,a1c1
5rk1/pb3p1p/np1p2p1/2pPqP2/Q7/2N1r1P1/PP2PRBP/5RK1 w - -,a4h4
8/2K5/8/1P4k1/5p2/6p1/r7/1R6 w - -,b5b6
r3r1k1/p4pbp/3q1np1/1p2n3/4B3/2P2PBP/PP3PQ1/3RR1K1 b - -,f6e4
r1r3k1/1pB2pbp/6p1/p1R2b2/8/1P2P3/P3BP1P/5RK1 b - -,g7f8
4n1k1/r4p1p/3np3/p1Np2p1/3P4/1r1BPP1P/P4P2/2R3K1 w - -,a2b3
8/6pk/2Q1p2p/pp1n1p1P/3P4/1P4P1/4qPK1/2B5 b - -,d5f6
3rr2k/pp6/2p2pp1/P4Np1/2QP1q2/1P2N3/5P1P/3R2K1 w - -,f5g3
r4rk1/1pq1b1p1/2p1Rn1p/p2p4/2P5/2B5/PPB1QPPP/5RK1 b - -,f6e4
5k2/1p1r4/1PRp1p2/3P1P1p/5K1P/5P2/8/8 w - -,c6c8
6nk/6pp/pB6/3r1p1N/b7/5P2/3r1KPP/1R2R3 w - -,f2g3
r3rbk1/pp2q2p/2p3p1/3p4/1P1P2n1/3BPR2/P1QB2PP/5RK1 w - -,h2h3
8/R1Qnk3/5pp1/1p2p3/1P2Pr2/2P3NP/1P3PPK/3q4 w - -,c7c5
1qr3rk/1bbn1ppp/pp6/3P4/1P6/1N2BP2/P3B1PP/2RRQ2K b - -,d7f6
r1b1r1k1/ppq2pp1/2pp1bnp/4p3/P2PPn2/2N2N1P/1PPQ1PPB/R3RBK1 w - -,c3e2
2rq1rk1/pp2ppbp/4nnp1/3bN3/PPN5/4B1PP/4PPB1/R2Q1RK1 w - -,a1c1
r1b1k2r/2qpbpp1/p1n1pn1p/8/1p1NPPP1/P1N1B3/1PPQB2P/R3K2R w KQkq -,a3b4
r1bq1rk1/pp3ppp/3p1n2/2p1n1B1/2P1P2P/P1Q2P2/1P4P1/R3KBNR b KQ h3,h7h6
r1b1k2r/1pq2ppp/p1N2n2/2bp4/P7/1PN5/1BP1BPPP/R2QK2R b KQkq -,b7c6
2R5/r4pbk/7p/4pNp1/2p1P1P1/2P5/5PPK/8 b - -,a7a4
4r1k1/1pp1r1p1/p3pn1p/2b5/2PN4/7P/PP1B1PP1/R3R1K1 w - -,d4b3
2rq1rk1/pp2ppbp/5np1/4B3/2pP4/1P4P1/P2NPPKP/2RQ1R2 b - -,c4b3
1r1q1rk1/3nppbp/6p1/3n4/P1RP4/4BP2/3QN1PP/R2N2K1 w - -,e3f2
rr4k1/1p3pp1/pQp1b2p/P3q3/1R5P/4P1P1/1P1R1PB1/6K1 b - -,g8f8
8/3k3p/3P1K1r/p7/3P4/1P2R3/P7/8 w - -,f6f7
r2qk2r/pp1n2pp/2pBp1n1/8/8/6P1/PP3PBP/R2Q1RK1 b kq -,d7f6
r2q1rk1/p3npb1/1p1pb1pp/nPp1p3/2P1P3/P1NP1NP1/1B3PBP/R2Q1RK1 b - -,d8d7
6k1/2b2p2/2P3p1/1P2p3/3p4/3B3P/5PQ1/2q3K1 w - -,g2f1
1r1q4/r2n1p1k/1p1p2pb/p2bpP1p/2P1P3/PP1BB3/5QPP/1RR4K w - -,e4d5
8/7P/3k2B1/p7/3K3R/8/4p3/8 b - -,e2e1q
8/Rp2bp2/6kp/1r2p3/4P3/5K2/4N3/8 b - -,b5b3
8/p1nk1p2/1p2p2p/2p1Pq1P/2P2P2/PK3Q2/1P1B4/8 b - -,d7c8
r2q1rk1/1bpB1pp1/1p3n1p/p2p4/1b1P3B/2N1P3/PP2NPPP/2RQK2R b K -,d8d7
1r1r2k1/1q1bbppp/p2p4/6P1/1n2Pp2/2N5/1PP4P/1KBRQB1R w - -,h2h4
4r3/1pk1bbpp/2p2p2/2n1n3/2P1P3/rPN1BB1P/3R2P1/1KNR4 w - -,d2a2
1r1q1rk1/1b1pppbp/5np1/1pP5/1n2P3/3P1NP1/3B1PBP/1R1Q1RK1 w - -,d2b4
r1b2rk1/ppq1bppp/3p1n2/4p1B1/2B1P3/3Q1N2/PPP2PPP/R4RK1 b - -,f8d8
r1bq1r2/1p3pkp/p1np1np1/2p5/2P1P3/2NQ1NP1/PP3PBP/R2R2K1 w - -,d3d6
8/8/8/8/r4RPk/4K3/8/8 b - -,a4a3
R4nk1/p2b1pp1/1p1q3p/4r2P/2BN3Q/8/P4PP1/6K1 w - -,d4f3
8/8/5r1p/6k1/3r1p2/5R1P/5RPK/8 w - -,g2g3
2rq1r1k/pp2bppp/2n1b3/3pPp2/3P4/2N5/PPN2PPP/R1BQ1R1K w - -,c3e2
r3k2r/p1q2pbp/bp1ppnp1/2p1n3/4PB1P/2PP1NP1/PP2QPB1/R3KN1R w KQkq -,a1d1
r1bq1rk1/pp1pppbp/5np1/4n3/2PN4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,b2b3
4rrk1/1p4pp/p1p5/5p2/nPRp4/P2P1BP1/4PP1P/2R3K1 b - -,e8d8
r2r2k1/pb5p/5qp1/2pPp3/1nN2p2/R2B1P2/1PP3PP/2Q1R1K1 w - -,d5d6
2r2rk1/3qb1pp/8/1ppbP3/3p1P2/1P3N2/1R1BQ1PP/2R3K1 b - -,c8c6
