8/8/6k1/2B2b2/p1pK1R2/P7/8/2r5 w - -,c5b4
r4rk1/1p2bppb/pq2p2p/2npPP2/3N2B1/1P2P3/PB4PP/R2Q1RK1 b - -,e7g5
3r2k1/ppp5/4pbpp/4p3/3nP3/P1N2N1P/1PP2PP1/5RK1 w - -,f1d1
2rq1rk1/1p3pbp/3p2p1/pP1Pp3/3nP3/3BB3/P2Q1PPP/2R2RK1 b - -,d8b6
8/P1n5/2p5/K1P5/5p2/3N1Pkp/8/8 b - -,h3h2
r4rk1/pp1q1pbp/n3bnp1/3pp3/1PP5/P1NP2P1/4NPBP/1RBQ1RK1 w - -,c4c5
1qrb2k1/1r1n1ppp/2p1p3/pnB1P3/Np1P4/3Q3P/PPRN1PP1/1K2R3 b - -,d7b6
1n3rk1/rp2ppbp/2p2np1/q7/2P3b1/pRNP1NP1/P3PPBP/B1Q2RK1 b - -,f6d7
r3qrnk/2pb2bp/n2p2p1/1p1Pp1B1/pPP3P1/2N2PN1/P1BQR2P/5RK1 w - -,c3b5
5r1k/1p5p/p2p2p1/3BbbP1/5B2/6KP/P1r5/5R1R w - -,f4e5
r4rk1/8/pp5p/3PpB2/2N5/8/PP5P/5R1K b - -,e5e4
4r1k1/5pb1/p1bq2p1/1ppN3p/2Pn4/P2P2PP/2Q2PB1/4RNK1 w - -,e1e8
4rrk1/p5p1/2p5/2p5/2N2pp1/1P2p3/P1P3PP/4R1KR b - -,e8e6
r3r1k1/1p1b1p1p/p2Q1n2/2pP1P1n/P1P4N/2N1p1P1/RP3qBP/5R1K b - -,f2c2
8/1R4pk/2p2p2/3n4/6qP/P5B1/P4P2/4R1K1 w - -,g1h2
rn1qkb1r/1b1n1ppp/p2pp3/6P1/1p1NP2P/2N5/PPP2PB1/R1BQK1R1 w Qkq -,c3e2
2r1r1k1/3nqpp1/p1p2n1p/Pp1p4/1P1P4/4PB2/2QN1PPP/1R3RK1 b - -,f6h7
r1bq1rk1/p3bpp1/3p1n1p/1Np1n3/4PB2/1B1P3N/PPP3PP/R2Q1RK1 b - -,c5c4
r3n1k1/1p2Nppp/p2p4/q2bp1P1/P3P3/2r2B2/1QP2P1P/R3R1K1 b - -,g8f8
r5rk/4qpbp/p2pbp2/1p2p2Q/4P3/2PB4/PPN2PPP/R4RK1 w - -,c2e3
5b2/1p1n1pk1/1p3n1p/3Pp1pb/rP2P3/1R1B3P/3K1BP1/1R6 b - -,a4a2
r1bqkbnr/pp3p1p/2np2p1/2p1p3/2P5/1P2PN2/PB1P1PPP/RN1QKB1R w KQkq -,f1e2:b1c3
6k1/5p1p/1p1p2p1/8/q7/2P4P/P4PP1/1R4K1 b - -,a4c6
r3kb1r/pp3ppp/5n2/3qp3/8/2P1B3/PP3PPP/RQ2KB1R w KQkq -,b1c2
kq6/1n1r2pp/p6r/5p2/P2NQ1P1/6P1/5P2/1RR3K1 w - -,g4f5
r2q1r1k/p2bn1pp/2pp1b2/nP3p2/3PpN2/1PN1B1PP/P2QPPB1/R3K1R1 b Q -,c6b5
8/8/8/Rp2k1N1/3n2P1/p1r5/5K2/8 w - -,g5f7
2r2rk1/1b3p2/p5pp/1ppP4/P3P3/6PK/2Q2P2/b2R4 w - -,d1a1
8/1p2k1p1/1ppnP2p/2q1N2Q/8/7P/PP4PK/8 w - -,h5e2
rnbqr1k1/ppp2ppp/5n2/3p4/1b1P1P2/1PN2B2/PBP1N1PP/R2QK2R w KQ -,e1g1
4n3/1k1p4/1p6/3Pp1p1/4P1P1/5K2/6Br/2R5 b - -,e8d6
5r2/p1r1pkb1/4b1q1/Pp2Pp2/1Pp2Pp1/2B1P1p1/3RQ1BP/2R3K1 w - -,h2g3
8/5pkp/6p1/2R1P3/P4P2/6P1/r6P/6K1 b - -,a2a4
1br2rk1/1b5p/pq2ppp1/1p3n2/4p3/PP2P2Q/1BPNBPPP/2RR2K1 w - -,g2g4
3rrqk1/pp4pp/2bb4/3N1p2/P7/1P2P1PP/1BQ2PB1/3R2K1 b - -,f8f7
5bk1/1p3Q2/1q1p2n1/1N1Pp2p/P5p1/BQ4p1/4PPBP/6K1 b - -,g8f7
rn2k2r/pp1bppbp/6p1/2p5/3PP3/1Nq5/P4PPP/R1BQKB1R w KQkq -,c1d2
r1b2rk1/pp2ppbp/1q3np1/2p1n3/8/1NN3P1/PP2PPBP/R1BQR1K1 w - -,c3a4
8/4kp1p/4p3/p1N3p1/1nP3P1/7P/P4PK1/8 w - -,a2a4
r3k2r/pp2pp1p/2B3p1/2P2b2/3b4/6P1/PP1NPP1P/R1BK3R b kq -,b7c6
rq2b1k1/5pp1/1rp1pb1p/p1Np4/3P4/1P2PN2/P1R1QPPP/2R3K1 w - -,h2h3
5n2/4p3/1p1p1k2/r6p/1rP2PB1/1PR3KP/1R6/8 w - -,g4d1
6k1/1p5p/2pp2p1/p4b2/2P1rQP1/3P4/qP5P/2K2R2 w - -,d3e4
r2q1rk1/1bp2pp1/p2p1nnp/Pp1Pp3/4P3/1BP1RN1P/1P3PP1/RN1Q2K1 w - -,b1d2
r1b2rk1/pp2qppp/1b2pn2/3pB3/2P5/1N4P1/PP2PPBP/R2Q1RK1 b - -,f6g4
3rqbk1/pb3p1p/1pnr1Pp1/8/B1p1P1PQ/2P1B1NP/P7/4RRK1 b - -,d6d3
3r2k1/4bpp1/p3b2p/1p2P3/2p2B2/3r1N1P/PP3PP1/R1R3K1 w - -,f3e1
8/6p1/R1p1p1kp/1rPp4/5r2/2R2P2/P1P3PP/6K1 b - -,d5d4
8/3R4/8/8/P5K1/2r4P/2p5/2k5 w - -,d7f7
r3kb1r/p4ppp/2pp1p2/1q6/4P3/2N5/PPPQ1PPP/R1B1K2R b KQkq -,b5e5
1rbq1rk1/1p4bp/2np2p1/p1pnpp2/2P5/P1N3P1/1P1PPPBP/1RBQ1RK1 w - -,c4d5
1r1qbr1k/1p2pnbp/pNnp4/3B1pP1/P4P1P/1NP5/1P6/R2Q1RBK w - -,d5e6
4rr2/pb4kp/1p4p1/1P1q4/P1RPp3/4QP2/4N1PP/2R3K1 w - -,c4c7
rnbqkb1r/5ppp/p1p1pn2/1p1p4/2PP4/1P3NP1/P1Q1PP1P/RNB1KB1R w KQkq -,b1d2
r2r4/1p2kp1p/pPp1b1p1/8/2B1Pp2/bP2B1PP/P5K1/R2R4 w - -,e3f4
k7/1b6/B6p/5p2/R7/2r2P2/3r1R1P/5K2 b - -,d2f2
r1b2rk1/p3bppp/2p5/8/3q4/P1B5/1P2BPPP/R3K2R w KQ -,c3d4
1r2k2r/2qb1pp1/p2p3p/3Pp1b1/2p1N1P1/2B2Q1P/PPP2P2/1K1R2R1 b k -,b8b5
4R3/rp4kp/2p2bp1/8/1Rp5/P4BKP/2r5/8 b - -,b7b5
8/1k1K4/2Rp4/3Pb3/8/2p5/8/8 b - -,b7b8
5rk1/7p/4q1p1/5p2/2bQ4/4PB1P/1R3PP1/6K1 w - -,b2b6
r1b2Rk1/pp4n1/3p2p1/2pP3q/2P1p1n1/1PN3PP/P3N1B1/R1Q4K b - -,g8f8
6k1/pp3pp1/3r3p/4r3/2Q5/8/PP3KPP/8 w - -,c4c8
6k1/1R4p1/p3r2p/8/8/5RPP/r4PK1/8 w - -,f3f7
4r1k1/pp2rp1p/1q4p1/3p1P2/2n4P/2P1PRN1/PP2R3/2Q3K1 w - -,g3f1
8/8/8/1p6/1PbK1k2/2P3r1/8/3RN3 b - -,g3g4
r2qk2r/pp2bpp1/1np2nbp/3p3P/3P1B2/2N1P1N1/PP2BPP1/2RQK2R b Kkq -,g6h7
r2k1b1r/ppp1p2p/2npb3/3N1q2/2PP2PQ/4B3/PP2BP2/R3K1N1 b Q g3,f5f7
2r3k1/p4pb1/4p2p/6p1/PPrP4/3R2P1/3n1P1P/R2B2K1 w - -,d3d2
8/1p3rbk/p1pR2R1/2Bp2p1/1P1Pr1p1/2P3K1/5P2/8 w - -,g6g5
r3k2r/1bqn1pp1/3p1b1p/p1pPpP2/P1P3Q1/6P1/1P3NBP/R1B2RK1 b kq -,b7a6
8/3k1p2/2q1p3/1NBpPp1p/3P1P2/1Q5P/6r1/3K4 b - -,c6a6
1r1qk2r/p1p1bppp/3p1n2/2p2P2/8/2N2Q2/PPP2PPP/R1B2RK1 w k -,f1e1
r1b1kBnr/pp3pp1/n1p3p1/4p3/2P5/8/PP2NPPP/R3KB1R w KQkq -,f8g7
rnb1k2r/p3bppp/1q2pn2/3p4/3P4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1e2
8/pb5k/6rp/8/1PpqpP1Q/P7/2B3PP/5R1K w - -,f4f5
5rk1/2qn1pbp/r1p1p1p1/np2P3/2pPNP2/4B2P/1P4P1/1R1BQRK1 w - -,d1g4
2rq1rk1/1p1bppbp/p2p1np1/4P3/2PB4/2N3PP/PP3PB1/R2Q1RK1 b - -,d6e5
8/4q3/4P3/8/1P6/1K1Q4/7k/8 w - -,d3d7
8/3R1ppk/p3p1bp/4P3/8/1N1p1P1P/r1rR1KP1/8 w - -,f2e3
8/1R5p/3B1kp1/2P2p2/5N2/r6P/2r2PP1/6K1 w - -,b7h7
r4rk1/pbpn2pp/1p1pp3/6n1/2PPPp1q/P2B1P2/1PQN2PP/R1B2RK1 w - -,d2b3
3r2k1/2q3bp/pp2pnp1/2n5/2P2P2/1PN1PQN1/PB1R2KP/8 w - -,f3d1
1r3rk1/2q2pb1/4b2p/p1P5/4p3/1P1p2P1/P3BPPN/2RRQ1K1 w - -,e2f1
1r2k1nr/4ppbp/6p1/2pN4/1p2P2P/1P4P1/2P2PB1/R4RK1 w k -,a1a7
1rbqr1k1/pp1n1ppp/4pn2/b3N3/8/1P3NP1/PBQ1PPBP/2RR2K1 w - -,f3g5
r2q1rk1/pp4pp/2n2b2/3b1p2/4p3/P1B4P/1PPQBPPN/R4RK1 b - -,f6c3
R3Bk2/1p2pP2/1q4p1/4r3/8/1pP4P/5PP1/1R4K1 w - -,e8a4
r1bq1rk1/1p1nbpp1/p1p2n1p/3p4/3P3B/2NBPN2/PP3PPP/1R1QK2R w K -,e1g1
1R6/4kp2/6pp/4P3/4n1P1/1p2K2P/2r5/8 w - -,e3e4
8/p6p/8/2P1kp2/2Prp3/8/P1R1K3/8 w - -,c2c1
4r1k1/1p3p2/2pp1np1/5q1p/2P2P2/1PN1bBP1/7Q/B2R3K w - -,h2h4
2r1r1k1/5pbp/2Pq4/5p2/Q7/P2p1P2/5BPP/2RR2K1 w - -,a4b5
6qk/5r1p/2p2Pb1/8/1P4QP/2B5/5PP1/R5K1 w - -,h4h5
8/1b6/p4p1p/4pkp1/1N3P2/1P1PK1P1/P6P/8 w - g6,f4e5
4b3/4n3/1R2pk1p/1p3p2/2pPpP1r/2P1P1N1/1P3NK1/8 w - -,g3e4
r1bq1rk1/pn3pp1/1bp4p/4p3/1P2N3/3B4/P1PP1PPP/R1BQ1RK1 w - -,c1b2
5r1k/1p4bb/p1pQp3/P3P1p1/1PP2pB1/5P2/1B1R2KP/1q6 b - -,h7f5
r1b1k2r/pp2ppb1/1qnp2pp/3N2B1/3PP1n1/3B4/PP1QNPPP/R3K2R b KQkq -,b6d8
r1bqk1nr/pp2ppbp/n2p2p1/2pP4/2P1PP2/2N5/PP4PP/R1BQKBNR b KQkq f3,a6c7
r3kr2/2qn1p2/b3p3/p2pPpQp/Pp1B1P2/1N5P/1PP2RP1/R5K1 w q -,g5h5
8/pB6/P6p/4k1p1/3b1pP1/6rP/R5K1/8 w - -,g2h2
4r1k1/5pbp/2R3p1/rR6/P3P3/1N4P1/2p2PKP/8 b - -,a5a4
2r1kb1r/1p4pp/p2ppn2/q3n3/4PB2/2N5/PPPQ2PP/1K1R1B1R b k -,f8e7
1k6/pbp5/1p6/8/P1rq2P1/2N4p/2Q3PK/2R5 b - -,h3g2
r5k1/pp2b1pp/1q2prbn/2ppn3/3P1P2/2P5/PPN1B1PP/R1BQ1R1K w - -,d4e5
r1bqr1k1/p2nppbp/1p1p1np1/8/2PNP3/2N1BP2/PP1QB1PP/R4RK1 b - -,c8b7
2r1r1k1/p1q1ppb1/1p4pp/n7/4Q3/1PP2N1P/P2B1PP1/3RR1K1 b - -,a5b7
2rq1rk1/1p1n1ppp/p2p2b1/P2Pp1B1/8/1NP5/1P3PPP/R2QRBK1 b - -,d8g5
rn1brnk1/pp1q1ppp/4b3/BP1pP3/3P4/1Q1BNN2/5PPP/R1R3K1 w - -,b3c2
8/4r1p1/4k1p1/5p2/1R6/3K2P1/5P1P/8 b - -,e6f6
4rk2/5p2/3p1r2/p2PbBR1/1pP3RP/1P6/1P6/1K6 b - -,f8e7
8/7p/pp1k2pP/4p3/P1P3P1/3K4/8/8 b - a3,d6c5
r7/7r/1Rb1k3/1pPp1p2/3B4/4P1P1/6K1/3B4 b - -,e6d7
r1bqk1nr/pp1p1pb1/2n1p2p/2p3p1/2P1P3/2NPBN1P/PP3PP1/R2QKB1R b KQkq -,c6d4
1r1qkb1r/ppnnpp1b/7p/2pP2p1/Q1P3B1/2N2N2/PP3PPP/R1B2RK1 b k -,f8g7
2rq1rk1/1b2bppp/p4n2/2pp4/2B2B2/2N1P2P/PPQ2PP1/3R1RK1 b - -,d8a5
8/6k1/pb1r4/7R/2B5/P7/7P/r5BK w - -,h5g5
2rqr1k1/1b1nppbp/pp3np1/3p4/P1pP4/1QP1PN1P/1P1NBPPB/R2R2K1 w - -,b3c2
6k1/p4p2/B3p2p/2b5/7B/5P2/1P2K1P1/8 b - -,f7f5
r3k3/1pqbbr1p/p1n1p1pB/2ppP3/8/2P2B2/PPN2PPP/R2QR1K1 w q -,d1e2
2r4k/2qbnrn1/p2b2p1/P1pPpp1p/1pP1P1P1/1N1BBP1P/3NK1R1/R1Q5 b - -,e7g8
6k1/5p2/3p2p1/7p/Pp3P2/1P1r4/1R1bNK1P/8 b - -,d2e3
3r2k1/4ppb1/q5pn/1p2P3/2bB2P1/P1N1QB2/8/1R4K1 w - -,c3e4
rn1q1rk1/p3ppbp/1p3np1/3p4/3P4/1QN1PB1P/PP3PP1/R1B2RK1 b - -,e7e6
3r2k1/p1n2pp1/1p4qr/3p4/2pP1Pb1/P1N1P1P1/1P1Q1KB1/2R4R b - -,h6h1
2b5/4rppk/1pp1pn1p/7q/1PPP4/Q4N1P/5RP1/5RK1 w - -,a3d3
8/8/1K1r4/8/3k4/8/4Q3/8 w - -,b6b5
2rn1rk1/p4qpp/3bp3/3p4/P1pPbP2/B1P1N1PB/3Q3P/R3R1K1 b - -,d8b7
4r1k1/3P3p/1p6/pPp1pp2/8/1P1P2P1/6K1/4R3 b - -,e8d8
r2qr1k1/1p2npp1/p2p1bnp/2pP4/2P1R3/1P3N1P/P2Q1PPB/2R2BK1 b - -,d8d7
4R3/1r6/5pkr/3p2p1/3P2P1/P3PP2/1P2KP2/2R5 w - -,b2b4
rq2r1k1/3bbppp/p2p1n2/R2Pp3/1P2P3/3BBN1P/5PP1/Q3R1K1 w - -,f3d2
7k/4b1p1/3p2p1/2r3P1/1p2PB1q/1P3Q2/P6P/5R1K w - -,f3g2
r3k2r/3np2p/pqp1p1pQ/3nP3/1p6/3B1N1P/1PP2PP1/R4RK1 w kq -,f3g5
r1b1k2r/1p4pp/1qn1p3/p1b2pN1/2P1p3/4P1P1/PP3PBP/1RBQ1RK1 b kq -,e8g8
8/2k1nB2/p1bp2pp/1p6/3Pp3/PP2P3/2K2BPP/8 w - -,f7e6
8/R2b1p2/3kpp2/P7/4P2p/5P2/5KPP/r4B2 b - -,a1a2
3R4/7p/6r1/2p1p3/2P3B1/1P2k2K/3n4/8 w - -,d8d5
rn3rk1/pbp1qppp/1p1p1n2/3Pp3/2P1P3/5NP1/PPQN1PBP/R4RK1 w - -,b2b4
r1b2rk1/6p1/2N1p2p/p1N5/1p1P2Pb/8/PP2RP1P/1K3R2 w - -,f2f4
r2q3k/3bb2p/4p3/pp1pP2N/2pP1pQ1/2P5/PPB3PP/R6K b - -,d8g8
5k2/4n3/p2r2p1/1p1P1bPp/5n1P/P1R2N2/1P1R1P2/6K1 w - -,c3c5
r1r5/1n1b3p/3p1k2/1p1P1p2/1P1N1P2/6N1/6PP/2R1R1K1 b - -,b7d8
rnbqk2r/1p1pp1bp/2p2np1/p4pB1/3P4/2N2N2/PPPQPPPP/2KR1B1R w kq a6,h2h3
4r1k1/1p2prbp/1qbp2p1/pNn5/2P5/1P2BP2/P2QB1PP/3RR1K1 w - -,a2a3
6k1/3q4/p4pp1/1p2n3/1P2Q2P/P5PK/5P2/4R3 w - -,h3g2
2rq3k/3bp1bp/1p1p2p1/4r3/pPP1B3/PnNQ1P2/2R2BPP/1R4K1 b - -,d8g8
2r2rk1/5p1p/1p2pnp1/p2p4/3N1PP1/2P1RP2/PP3K1P/3R4 b - -,c8c5
2r2rk1/p1q1npb1/b1n1p1pp/1pp1P3/2Pp1B1P/1P1P1NP1/P3QPB1/R3RNK1 b - -,b5c4
r2q1rk1/2nnbppb/4p2p/pppp4/2P5/PPBPPNPB/2QN1P1P/R3R1K1 w - b6,c4d5
r1bq2k1/1p2rpb1/pn3npp/2pP2B1/P1N5/2N1P3/1P1Q1PPP/R3KB1R w KQ -,g5h4
1r4k1/3n1p1p/R5p1/2pPr3/2P5/3KB2P/4RPP1/8 w - -,e2a2
r2q1rk1/4b1pp/p4p2/np3b2/2pPp3/2P1PB2/P4PPP/R1BQNRK1 w - -,f3g4
8/8/2k5/2pp4/P7/5r2/1KP5/4B3 w - -,e1d2
8/8/4p3/4k2p/6p1/4K1P1/3N1P2/8 b - -,e5d5
5rk1/6pp/2p5/p2p4/P4r2/1P2q3/2P1RPPP/5RK1 w - -,e2e3
2R5/4p1k1/6p1/3p2Pp/2p2P1P/br6/4KN2/8 b - -,a3d6
r3kb2/pp2qpp1/2p1p3/4Pn2/2Pp1Pb1/1QN3P1/PP2PB2/3RK2B w kq -,f2d4
R5k1/3r1pp1/2p1b2p/8/1P6/4B2P/5PP1/6K1 b - -,g8h7
8/4p3/p5k1/1p6/8/7P/r5P1/4R1K1 w - -,e1e7
3rr1k1/1b1nqp2/p1pp2pQ/1p5n/2P1P3/2N2P2/PPN1B1PP/3RR2K b - -,e7h4
rn1qkb1r/pp2nppp/4p3/2P1Pb2/2p5/5N2/PP2BPPP/RNBQ1RK1 b kq -,b8c6
6k1/1p1rr2p/2p3p1/p4p2/PbRp3P/1K1P1BP1/4PP2/1R6 b - -,e7e5
5bk1/pq1r1p1p/1p2pBp1/4P2P/Q7/6P1/P3PP2/2R3K1 b - -,b6b5
3r4/1p5p/p3k3/3r2p1/3p1p2/3R1Pn1/PPP2BP1/2KR4 b - -,g3f5
8/1R6/3r4/P2p1kpp/3K4/4PPP1/8/8 w - -,b7e7
8/4kp2/p1p5/bpp1PKP1/2P5/1P6/P7/6B1 b - -,a5b4
6k1/8/pP1rp1pp/8/R7/3p1P2/5KPP/1r2R3 b - -,b1b6
6k1/rq1Rpp1p/6pB/2p5/P5P1/2n3QP/1P2RP2/6K1 b - -,c3e2
8/5p2/4kP2/4P1K1/5P2/8/6R1/5r2 w - -,g2a2:g2g4
