8/6p1/5p1p/5P1P/5K2/3k4/8/8 w - -,f4f3
8/1r6/3Bp3/2K1P3/1N2k3/1b6/8/8 w - -,c5c6
5B2/8/5pk1/1R1b1npp/8/1p3P2/1P3KPP/8 b - -,d5c4
6k1/p5p1/Pp2bp2/1B2p3/2P2P2/1P2R2P/6PK/3r4 b - f3,g8f7
8/8/P4kp1/7p/4KP2/8/5b2/8 b - -,f2a7
r3r1k1/pp2bpp1/4p2p/2P4P/n5n1/4BN2/PPP2PP1/1K1R1N1R b - -,a4c5
rn1qkbnr/pp2pppp/2p5/3p4/6b1/3P1NP1/PPP1PP1P/RNBQKB1R w KQkq -,f1g2
r4rk1/1pq1p1b1/p2p3p/2pPnppn/P1P2P2/2N1P2P/1PQN2PB/R4RK1 b - f3,g5f4
3r4/1p3kpp/1np5/p4p2/Pn6/1PN3P1/2PN1P1P/2R1K3 w - -,d2f1
2b5/r3k3/P1p2pp1/2P5/3K3P/3B4/2P3P1/R7 w - -,d3g6
4rr1k/pp4pp/2p1bq2/2R5/3p1Q2/P2P2P1/1P2PPBP/5RK1 b - -,f6f4
8/1pk4b/p1n5/2PP2p1/2N1N1P1/P2K4/8/8 b - -,c6d8
3r2k1/pB3pp1/3r3p/8/2nb4/4P1P1/PPR2P1P/3R2K1 w - -,c2c4
rn1qkb1r/pb3ppp/2p1pn2/1p6/3P4/3BPN2/PP3PPP/RNBQK2R w KQkq -,e3e4
8/3B3p/b3Pkp1/3p4/3b4/3N2P1/4K2P/8 b - -,d4c3
8/8/8/3k4/p7/P1p5/8/2K5 w - -,c1d1
r1b1r1k1/1p3ppp/1p1P4/6q1/4B3/8/PP3PPP/R2Q1RK1 b - -,e8e4
r6N/ppqn1kp1/4pp1p/3p4/3P1bP1/7P/PPP1QP2/1K1R3R b - -,a8h8
b1r2rk1/1q2bppp/5n2/1p2nP2/8/PNN1B1QP/1P1RB3/3R2K1 w - -,c3d5
3b1k2/1R2n3/1p2Bp2/1Pp1p1p1/4P1K1/5PP1/8/8 b - -,f8e8
3n1k2/bppbn1r1/4p2p/pP1pPp2/P2P1P2/2NB1N1P/2P1KB2/7R w - -,f2h4
3q1rk1/ppQ1bppp/5n2/4Nb2/3Pp3/1N2B2P/PP3PP1/2R3K1 b - -,f6d5
r1b2rk1/p3ppbp/q2p2p1/1p1Pn3/2p1PP2/2P4P/PPBNQ1P1/R1B2RK1 b - f3,e5d7
r1bqk2r/pp2nppp/2n1p3/3pP3/3p2Q1/P1PB4/2P2PPP/R1B1K1NR w KQkq -,c3d4
2r1r1k1/1bq1bp1p/pp1p2p1/2n2pPn/2P1P3/2N1B2Q/PPBN3P/2R2RK1 w - -,e4f5
1Br4k/p3q1pp/P3pb2/3b1p2/3Pp3/2P3P1/5P1P/R1RQ1BK1 b - -,c8b8
r4rk1/pppqbppp/3pbn2/4p3/2B1P3/P1NPBPQ1/1PP3PP/R4RK1 w - -,a1d1
8/1b2ppk1/p2p1npp/1pqP4/3NP3/PPr3P1/3Q1PBP/1R4K1 b - -,a6a5
r1b4r/b3qpk1/p1n3p1/1p2p3/4P1p1/5NN1/PPB2PP1/R1BQ1RK1 w - -,f3g5
8/2b5/2r1pkp1/5p2/1R3P1P/1B2R3/2P3K1/3r4 b - -,c6d6:d1d2
2r2rk1/1pq1bppp/p2pbn2/P1n1p3/4P3/1NN3PP/1PP2PB1/R1BQR1K1 w - -,b3c5
rnbr2k1/pp3pbp/2p2np1/4p3/2P1P3/2N2N1P/PP2BPP1/R1B2RK1 b - -,b8d7
1Q6/3k1ppp/2p5/3qP3/8/5N1P/5PP1/6K1 b - -,g7g6
3r1k2/pp1r1pp1/4pb2/2q5/4B3/2P5/PP2QPPP/3R1RK1 b - -,b7b6
r3r3/ppqk1pp1/2p1pn1p/7P/2BPb1P1/P1B4R/1PP1QP2/2KR4 b - -,b7b5
r1bqk2r/b3nppp/p1npp3/1p6/4PP2/1NNB4/PPP3PP/R1BQ1R1K w kq b6,a2a4
r3r1k1/p1p1qppp/2p5/2NpPb2/3Bp1nP/PPQ1P3/2P2PP1/R3K2R w KQ -,e1c1
1r3rk1/4p1np/2nq1p2/p4p2/R1pP4/4NN1P/1P1Q1PP1/4R1K1 w - -,d4d5
8/p7/2bk2p1/3p1p1p/3K1P2/5BP1/P3P2P/8 w - h6,e2e3
2r2rk1/p3bppp/1p6/2pbP3/1n6/6P1/PP3PBP/R1BRN1K1 b - -,d5a2
2r1rbk1/1p1n1p1n/p1qpb1pp/P3p3/1P2P2P/R1N1NB2/2PB1PP1/3QR1K1 b - -,d7f6
1n2rr2/2q4k/3R1Pnp/2p5/2P1PP1P/p5B1/P1BQb2N/2K4R b - -,e2c4
2brr1k1/1pp1q1pp/p1pb1pn1/8/2P1P3/1P2NN2/PBQ2PPP/R4RK1 w - -,f3d2
5k2/pp6/7p/3p2p1/8/2Bn4/PP3PPP/5K2 b - -,d3f4
2r3k1/r2n1ppp/p2q4/1p1Pp3/2p1P3/2Pn2P1/R2N1PBP/1Q1R2K1 b - -,d6f6
rn1qk1nr/1p3ppp/2p1p3/p3Pb2/1bpP4/PQN5/1P3PPP/R1B1KBNR w KQkq -,f1c4
3r3k/pQnq2pp/1p1P1p2/2p3P1/5B2/1P3P2/P6P/4R1K1 b - -,d8e8
3rrbk1/2pbq1pp/pn6/N7/1P1Qn3/P3P2P/1BP2PB1/2KR2R1 w - -,g2e4
r4rk1/1bpnq2p/pp1b2p1/3p1p2/3PnP2/2NBP1N1/PPQ3PP/2B1RRK1 b - -,d7f6
8/6qk/1Qp5/P2p4/3P1P2/1P2Pb1q/1KP5/2R5 w - -,a5a6
8/7p/3r2p1/pp2k3/2rP4/P5P1/1P1RK2P/R7 b - -,d6d4
1b6/1n3k1B/3p2pB/3Pp3/3p3P/5PP1/8/5K2 w - -,g3g4
r4rk1/1pq2ppp/p1nb4/2pB4/P1Q2P2/4P3/1P1B2PP/R3R1K1 b - -,a8d8
8/3b1kr1/p1pp3R/P1p1b1P1/2P1B3/1P1K4/3B4/8 w - -,h6h1
5q1k/1Q3p1p/1p3P2/p1p2PP1/P1P5/KP6/8/8 b - -,h7h6
4k3/8/5P2/p1rBK3/1p6/1P1r4/P6R/8 w - -,e5e6
8/1pk3p1/3n1p2/2p1p2p/rPP1P2P/pR2P1P1/P2N4/4K3 w - -,b4c5
r1bqk2r/pp2bp2/2n1pn1p/3p2p1/3p1P2/2P1PNB1/PP1N2PP/R2QKB1R w KQkq -,f3d4
4k2r/pp1bppb1/1q1p3p/8/2r1P2B/QN1R1P2/P1P3P1/1K5R w k -,h1d1
rnbqr1k1/pp4b1/7p/2pP2p1/6n1/2N2NB1/PP2B1PP/R2Q1RK1 w - -,d1d3
2r3k1/pp3p2/1q1r2p1/3B2QP/2P2p2/nP6/P4PP1/2KR3R b - -,d6d5
8/8/6p1/4k2p/p3r2P/5RPK/P7/8 b - -,e5d5
1r4k1/p4pp1/1q2p2p/3n4/3P4/6P1/PP1B1P1P/2Q1R1K1 w - -,d2c3
3r4/8/7p/2p1kp2/P4R1P/4P3/2K2P2/8 w - -,a4a5
1r3rk1/7p/2b1p3/pp1pPp2/2pR2P1/P1P2P2/1PB4P/3R2K1 b - g3,f5f4
rnbqr1k1/ppp2pb1/3p1npp/4p3/2P1P3/2NP2P1/PP2NPBP/1RBQ1RK1 b - -,a7a5
rn2k2r/p2nbppp/qp2p3/2ppP3/3P4/2P2N2/PP2QPPP/R1B1RNK1 b kq -,a6e2
r4rk1/p4qp1/2p4B/1p6/2PP2QN/8/PP3P1b/K6R b - -,a8e8
8/1B2k3/8/3pP3/3P4/3K3P/5b2/8 w - -,b7d5
6k1/4pp1p/1p1p2p1/2pPn3/2P5/6P1/3NKP1P/8 b - -,g8f8
7r/1b2kp2/p1p2p1p/1pb1pPrN/P3P1PQ/3B3P/1qP5/R2R3K w - -,h4e1
6k1/pb2rp2/1p1Npp1p/2rP4/4P3/1P6/5PPP/3RR1K1 w - -,d6b7
r1bqk2r/5ppp/p1np4/1p1Np1b1/4P3/N1P5/PP3PPP/R2QKB1R w KQkq -,g2g3:f1e2:h2h4:a3c2
r2qk2r/ppp2ppp/2n2n2/3p4/2P3b1/B1P1PN2/P1QP2PP/R3KB1R b KQkq -,d8d7
3r3r/3nk1b1/1p5p/p1pb2p1/P1B2p1P/NR3P2/1PP2BP1/5RK1 b - -,d5c6
r1bqrb2/1p5k/p1n3pp/5p1n/2Np1p2/3P2P1/PP1BPNBP/R1Q2RK1 w - -,d2f4
r1bq1rk1/ppp3pp/2n1pn2/5p2/3P1B2/P1N2Q2/1PP3PP/2KR1B1R w - -,f1c4
r2qk2r/ppp1bp1p/1nn1b3/8/5Rp1/2NPB1P1/PP1NP1BP/R2Q2K1 b kq -,e7g5
8/p1r3k1/2b5/1p5R/8/P1NP4/1P6/1K6 b - -,c7b7
2R1n1k1/1p3r2/6p1/3p3p/3B4/5P2/PP4PP/6K1 b - -,f7e7
8/6kp/1pR3p1/5p2/2P4P/6P1/2r2PK1/8 b - -,c2c3
2r2r1k/pb5p/1p2p1pN/4R2n/2B5/2R4P/PP3PP1/6K1 b - -,h5f4
r1br2k1/2q2ppp/ppN1p3/8/8/1BP1P2P/PP2Q1P1/R5K1 w - -,c6d8
7r/P7/2p5/4p3/1KP5/8/6kp/7R w - -,h1e1
2kr1n1r/p4pp1/2p3p1/1p1P4/3P1qPP/2PB1P2/P4R1Q/1R4K1 b - -,f4h2
r2r2k1/3qbppp/4p3/p1p5/1n1PP3/1Q2B1P1/1P3PKP/R2RN3 b - -,d7b7
8/4r3/2pn1kp1/ppN1p3/P3P1B1/1P2PK2/8/8 b - -,d6b7
3r4/pp2kppp/1bn1p3/1N6/4P3/6B1/PP3PPP/3RK3 w - -,d1d8
r1b2r1k/pp4pp/3p4/q2Pp3/4Bn1b/1Q2BPN1/PPR3PP/5RK1 b - -,h4g3
rnbqkbnr/pp2pppp/2p5/6N1/3Pp3/8/PPP2PPP/RNBQKB1R b KQkq -,g8f6
2k5/3r4/4p2p/1p1bB1p1/1p1Pp3/7P/3K1PP1/R7 w - -,a1a5
r1b2rk1/2qnppbp/p2p2p1/2pP4/1pP1n3/1P2BN1P/P2QBPP1/R2N1RK1 w - -,d2c2
2kr3r/1p2b1pp/1pn2p2/4p3/2N5/1NP5/PP3PPP/3R1RK1 b - -,b6b5
6k1/1p2r2p/6r1/p1pP3R/4p3/PP2P3/4K2R/8 b - -,g6d6
4B3/5p2/4kp1p/2p5/1p1n1K1P/5P2/PP6/8 b - -,c5c4
2r1r1k1/ppp2pbp/6p1/1q1pB2P/3P4/2P3Q1/P1P2PP1/4RRK1 b - -,b5d7
2r1r1k1/1p4pp/pn2pp2/2Pp3b/PP1P4/4RN1P/5PP1/2R2NK1 w - -,c1e1
r2q1rk1/pp2ppbp/n2p1np1/2pP4/P3P1b1/2N2N2/1PP1BPPP/R1BQR1K1 b - -,a6b4
r7/pp1k1pp1/2p4p/3n4/8/1PP5/2PB1PPP/4R1K1 w - -,c3c4
r6r/ppk2ppp/2p1bn2/2b1p1B1/2P1P3/2N2P2/PPK3PP/3R1B1R w - -,f1e2
1r4k1/3b2p1/q3pn1p/3p1p2/3N1P2/3NP2P/rPQ3P1/2RR2K1 w - -,c2c7
5rk1/3q2b1/pR6/2pPp1p1/2P2RN1/5P2/P3Q1K1/8 b - -,f8f4
3r3r/4k3/pq1pp2p/1p5P/1P2pQ2/5pP1/5P2/4RBK1 w - -,f4e4
3qr1k1/3b1ppp/rp3n2/2pp4/p2P1P2/P1N2P2/1PQB2PP/R3R2K b - -,a6a8
2rq1r1k/3b1pbp/3p2p1/pp1N4/2nPN3/2Q3P1/P1P2PBP/1R2R1K1 w - b6,c3d3
2kn1r2/2p1p1b1/pp1r3p/3P3B/7p/1N3P2/PPP3PP/2KR3R b - -,c8b8
2k2r1r/1bpnq1p1/pp2p1n1/2p3Pp/Q3PP2/P1N1B3/1P2B2R/2KR4 w - -,e2a6
2k3r1/1ppbq3/p2p1nnr/3Pp3/1Q2Pp2/5N1P/PPP2NP1/2KR1B1R b - -,f6h5
rnbqkb1r/2p2ppp/p3pn2/1p6/2BP4/2N1PN2/PP3PPP/R1BQK2R w KQkq b6,c4b3:c4e2:c4d3
rn1qkb1r/ppp2ppp/4pnb1/3pN3/3P1BP1/4P3/PPP2P1P/RN1QKB1R w KQkq -,h2h4
r2q1rk1/ppp1bppp/2n5/8/3B4/1B3Q1P/PP3PP1/RN3RK1 b - -,d8d4
6k1/5p2/5K1p/8/2B5/4P3/5P2/6b1 w - -,c4f7
5rk1/p4pp1/2p5/Q7/2Pq4/1P4PP/P7/6NK w - -,a5a6
rn1q1rk1/1b2ppbp/p5p1/1pP5/4N3/1Q3N2/PP2BPPP/R1B2RK1 b - -,b7e4
1nR5/1q4kp/p3p3/1p1pbrpQ/3N1p2/PP5P/5PP1/2R3K1 b - -,b7e7
r3k2r/1p1bnppp/pq2p3/2bpP3/1P6/P1NB4/4RPPP/R1BQ2K1 b kq b3,c5d4
3r2k1/p3b2p/1ppqn1P1/8/4P3/1Q5P/P3R3/B4B1K b - -,h7g6
8/5pk1/6p1/p2Bn3/4R3/P3P1P1/4r3/K7 b - -,f7f6
8/2p4k/1bp2R2/p1Np3p/6bP/P2Nr3/1PP5/1K6 w - -,f6c6
6k1/1p3pp1/2p5/3p4/P2Bn2q/4PQ2/6K1/8 w - -,a4a5
8/p5k1/2p4p/1p3Bp1/1Pb2pP1/P3n2P/8/4R1K1 w - -,f5d7
1rb2rk1/1pqnppbp/p4np1/2p5/2P5/1QNP1NP1/PB2PPBP/R4RK1 w - -,f3d2
1r2r1k1/q4pp1/3pb2p/1ppNn3/8/PPR3P1/3QPPBP/3R2K1 w - -,d2c1
2kr1b1r/pp1npppp/2p3b1/q1P5/3P2P1/2N2P1B/PP5P/R1BQ1RK1 w - -,a2a3
rnbqk2r/ppp1ppbp/3p1np1/8/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -,a1b1:d2d4:f1g2
1r2qr1k/6bp/3p2Pn/RnpBp3/1p6/4B1PP/1PQN4/R5K1 w - -,g6h7
2q2rk1/pp3p1p/1npQ2pb/4p2n/N3P3/1B5P/PPPR1PP1/3R2K1 w - -,a4b6
rnbq1rk1/pp2bppp/2p1pn2/3p4/2P5/3P1NP1/PPQ1PPBP/RNB2RK1 b - -,b7b6
3q1rk1/4bpp1/r7/p1ppPQ1P/1pnP3P/2P1BN2/P4PK1/R6R b - -,c4e3
rnbqk2r/ppp1bppp/4pn2/8/3Pp3/2N2N2/PPP1QPPP/R1B1KB1R w KQkq -,c3e4
r1b4r/1p2pk2/p2p1p2/4n2n/3NP2P/2PBB3/PKP5/6RR b - -,c8d7
6k1/R7/3p4/p3r1p1/1p2K1P1/1P3P2/P7/8 w - -,e4d4
2r2r2/2p3bk/p4ppn/1p1q3p/3PnP1N/4B3/PPQ3PP/1N2RRK1 b - -,f6f5
4r3/P7/6R1/1K3p2/8/5k2/8/8 w - -,g6a6
2rq1k1r/4np2/b3p1p1/p1ppP3/5P1b/Q1PPB3/P3N1BP/1R1R2K1 b - -,d5d4
6k1/pp1r1ppp/1np5/1q6/1Pb1PBP1/P6P/5PB1/R1Q3K1 w - -,c1c2
r1q1r1k1/1bnnbpp1/p1p1p2p/Bp2P3/1P1P4/2N2N2/4QPPP/1BR2RK1 w - -,d4d5
4r1k1/2n2pp1/3qpn1p/pr1pN3/3P1P2/2P3N1/RP1Q2PP/4R1K1 b - -,e8b8
3qk3/pQr2pp1/4p3/2b1P3/3r4/2N5/PP3PPP/3RR1K1 w - -,b7b5
1r3rk1/4npbp/4b1p1/qp1pp3/1R6/P1NP2P1/4PPBP/2BQ1RK1 w - -,c1d2
2r4k/1ppn1rbp/p5p1/7n/3P4/2P5/PP3PPP/R2Q1RK1 w - -,d1b3
6r1/4kppp/p1rp1n1q/1p2pP2/4P2P/P1PRNQP1/1P4K1/3R4 w - -,d1f1
8/1p3pk1/2pb2p1/P2p4/3PnPP1/Pq2P1P1/4Q2K/4BN2 w - -,g4g5
1r1r2k1/p4pb1/2p1b1p1/2pp3p/4P3/2PP1RN1/PP4PP/R1B3K1 w - h6,c1g5
3r1rk1/pq1n1pbp/2n1p1p1/4P3/R4P2/1B2B1NP/1P2QP2/3R2K1 w - -,b3c2
2rqr1k1/pb3ppp/1p1bpn2/n3N3/2PP4/P1NBR3/1B3PPP/2RQ2K1 b - -,a5c6
8/p4k1p/6p1/2p2p2/PPRb1r2/8/5p1P/2R2K2 b - -,c5b4
1r1q1bk1/5p2/4r1pp/p1p5/PnR5/4nN1P/1P1B1PP1/1Q2R1K1 w - -,d2e3
r1bq1rk1/p3npbp/1pnpp1p1/2p5/2P1P3/2NP2P1/PP2NPBP/1RBQ1RK1 w - -,c1e3
rn1qk2r/pb2npbp/1pp1p1p1/3p4/3PPP2/2NBBN2/PPPQ2PP/R3K2R b KQkq -,d5e4
r2q1rk1/pp2bppp/2p5/8/3pRP2/P5P1/1P1P1P1P/R1BQ2K1 w - -,d2d3
6rk/1p2r1qb/3p2n1/PB1P3R/4p3/5p2/5QNP/5R1K w - -,g2e3
2rq1rk1/1b1nppb1/p2p2p1/1pn3Pp/4P3/P1N1BP2/BPPQN2P/1K1R3R b - -,d7e5
3qk2r/r4ppp/p2p1n2/4pP2/bpB1P3/1N6/PPP1Q1PP/2KR3R b k -,a4c6
6k1/5pp1/1b2r1qp/4p3/2p1b3/2P1N2P/1P2QPP1/2B1R1K1 w - -,e2g4
3r3r/pp2b1pp/2kpbp2/2p5/4P3/4NPB1/PPP2KPP/R3R3 w - -,a1d1
1r1b1rk1/pBqn1ppp/1p1Npn2/4N3/2P2B2/6P1/PP2PP1P/R2Q1RK1 w - -,b7g2
3q1rk1/1b2bppp/p2pp3/6P1/1prBPP1P/P1N1Q3/1PP5/1K1R3R w - -,a3b4
2r1kb1r/pp3ppp/q1b1p3/2N1Pn2/1PpP4/P4N2/1B3PPP/2RQ1RK1 b k -,f8c5
R1brqn1k/2p4p/1B1bnpp1/3BpN2/1P2P3/2P2NP1/Q4P1P/6K1 w - -,f5d6
8/8/1p1k3R/pBn5/1rP5/8/P7/6K1 b - -,d6e5
r1b1nr2/pp2q1kp/5pp1/2pPp3/2P1P3/2NB3P/PP1Q1RP1/5RK1 w - -,a2a3
rn2k2r/ppq2ppp/2pbpnb1/5P2/2BP4/6N1/PPP1N1PP/R1BQ1RK1 b kq -,e6f5
3r4/qp3QR1/8/p2kP3/Pnp2P2/8/3B3P/1R5K b - -,d5d4
5r2/1pp1n2Q/3pk1p1/1P5n/2P3q1/3P1NP1/1B2PPK1/R7 w - -,b2c1
1B6/4b3/1k4p1/Np1p1p1p/1P3P1P/4P1P1/b2K4/8 w - -,d2c3
r3r1k1/4qpbp/p1ppbnp1/1P2n3/4P3/1PN1BP2/P1NQB1PP/3R1RK1 b - -,a6b5
5b2/pp4k1/2p1Bn2/8/3P1PP1/4K3/PPP5/8 b - -,f8d6
8/4R3/5kpr/4p3/4K3/8/8/8 w - -,e7e5
r1b1k2r/4nppp/p4n2/1p1qp1B1/8/N2B4/PPP2PPP/R2QK2R w KQkq -,f2f3
r5k1/pq3rpp/1p2Q3/4p3/1PP4P/PNn1Pp2/3R1PP1/5RK1 w - -,g2g3
3r2k1/1b1nbppp/p2qpn2/1p2N3/8/1P2P3/PB2QPPP/1BRN2K1 w - -,f2f4
1r4k1/pb1n1r1p/np1Pq1p1/P1p1p3/4N3/1PN3P1/2R2PBP/2bQ1RK1 w - -,c2c1
rn1qk2r/pbpp2bp/1p2pnp1/5p2/2PPP3/2NB1N2/PPQ2PPP/R1B1K2R b KQkq -,f5e4
4r3/p2r2pn/1pR1p1k1/3pP1p1/1P1N2P1/4BN2/5P2/5K2 b - -,d7e7
r7/p3bk1p/4b1p1/2P2p2/BP3P2/P5P1/4P2P/3R2K1 b - -,a7a5
1r1r2k1/pp1bppbp/1qnp2p1/3B4/2PN4/PP2P3/1B3PPP/1R1Q1RK1 b - -,c6e5
r2q1rk1/pp2pp1p/1n1p2p1/3Pbb2/2P5/2N1B2P/PP3PP1/2RQKB1R w K -,f1e2
r3r1k1/2qn1pbp/pp1p1np1/2pP4/P1N1PP2/2N2Q2/1P4PP/R1B1R1K1 b - -,a8c8
8/8/2R3k1/1p1p1pp1/p2Prb2/P6P/1P1B1P2/3K4 b - -,g6h5
8/8/8/6Kp/7P/5k2/8/8 b - -,f3e4
7k/p3r1p1/6p1/3Q3p/7P/2R2K2/PP6/6q1 b - -,g1h1
2r2bk1/p4p2/4p1p1/1p1pP1B1/1P1P4/3n3Q/5P1P/q1r2BK1 w - -,h3d3
r1qr2k1/p1b1nppp/1pn1p3/2p5/4PP1N/2Pb1NP1/PPQ3BP/R1B1R1K1 w - -,c2f2
r1br2k1/pp3pBp/5Q2/bN6/P7/6P1/1P2qPBP/5RK1 b - -,e2g4
5rk1/1r3p1p/3p1npQ/pp2qP2/8/P2B3R/1PP3PP/5R1K w - -,h3g3
3r2k1/pbq1pp2/1pnr1bpp/8/4B3/2P1NN1P/PP2QPP1/R2R2K1 w - -,e3d5
r1b4r/pp2kppp/2n1p3/8/3bP3/6P1/PP2NPBP/1RBR2K1 b - -,e6e5
r2q1rk1/1p2bppp/p3pn2/8/2QB4/1PN1P3/P4PPP/R2R2K1 b - -,d8a5
5rk1/Rp3ppp/2b1pn2/6B1/1P6/6P1/1Pr1PPBP/2R3K1 b - -,c2e2
r1b2k2/pp2pp1p/2B3p1/2P5/8/4PN2/P4PPP/3nK2R w K -,e1d1
1r3r2/1p3qpk/p1p4p/PnPp1p2/3PpP2/2P1B1PP/2Q3K1/R5R1 w - -,g2h2
2k5/1pn3r1/5rp1/1PB1N2p/R2N4/3K2P1/7P/8 w - -,a4c4
rnb2rk1/pp2qp1p/3p1np1/2pP4/2P5/2NBbN1P/PP3PP1/R2Q1RK1 w - -,f2e3
rnbq1nk1/pp2rppp/4p3/2Pp4/3P4/2NB1N2/PPQ2PPP/R3R1K1 w - -,c3b5
r1b1k2r/pp1p1ppp/4p3/q7/2Pb4/6P1/P1Q1PPBP/R1B2RK1 w kq -,c1b2
3r2k1/p2rqpb1/1pnppnpp/1N6/2P1P3/1PN1BPPP/P2R1QK1/3R4 b - -,f6e8
r1bq1rk1/1p3ppp/2pp4/p1nP4/2PNPRn1/2N1Q3/PPB3PP/R5K1 w - -,e3d2
4q3/3k4/p2p4/2pPp3/2P1P2Q/8/4K3/8 w - -,h4h7
2r2r2/6k1/b2qp1P1/p2p1pQ1/P2P3N/6P1/1n2PPB1/RR4K1 b - -,b2c4
r1bq1rk1/1pp3bp/p1np2pn/8/3PNN2/5BP1/PPP2B1P/R2Q1RK1 b - -,g8h8
4r1k1/1b3pp1/1p4p1/p2p3N/8/1P2rP2/P1N3PP/R6K w - -,c2e3
