8/8/8/B1p1pk1p/8/1P1PbP1K/8/8 w - -,h3g3
2r1k2r/qp2np2/p3p1p1/Pb1pP2p/1P3P2/1NP3PB/3Q1R1P/4R1K1 b k -,e7f5
rnb1kb1r/pp2pp2/2pp1n1p/q5p1/3PP2B/2N5/PPPQ1PPP/R3KBNR w KQkq g6,h4g3
r1bqk1nr/1ppp1ppp/p1n5/2b1p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,c2c3:e1g1
r3rnk1/pp2ppb1/1q3n1p/3p1bp1/3P3B/1PP1PN2/3NBPPP/R1QR2K1 w - -,h4g3
r1b1r1k1/pp3pbp/2pp2p1/5PP1/P2NP1n1/2NPBQ2/1q5P/R4R1K w - -,a1a2
r2r2k1/1p3ppp/1qp1p1n1/1b6/1Q2P3/P3RNP1/1P3PBP/2R3K1 w - -,g2f1
r1bqk2r/1p2ppb1/p2p3p/4n1p1/3nP3/2N2P1P/PPP2BP1/R2QKB1R w KQkq -,f2d4
8/2Qr1k2/p3qp2/1p5p/8/P1B2P1P/1P4PK/8 w - -,c7f4
4r1k1/5p2/3p4/3P1p2/3Q1B2/2p2P1P/q2n2P1/5RK1 w - -,f4h6
2r5/6p1/3p1nk1/pB1Pp3/1p2P2P/5K2/PP4R1/8 b - -,g6f7
r3r1k1/p4ppp/1p6/5n2/2pP1PN1/4B3/PP2K1P1/R7 b - -,e8e3
2r2rk1/pp1qp2p/2n2ppb/3pP2n/3P1P2/1PN1BNP1/P2Q2KP/R1R5 b - -,c8d8
rn1qr1k1/1p3pbp/p2p1np1/2pP4/P3PB2/2N5/1P1NbPPP/R2Q1RK1 w - -,d1e2
8/4Q1kp/2r5/p1rp1p2/Pp2pNq1/4P1P1/1PP2P1P/3R2K1 b - -,g7g8
1k1r3r/pppqnppn/3p2p1/4p3/4P1P1/2PPB2P/PP3PB1/R2QK2R w KQ -,d3d4
3r1r1k/3B2bp/2pR2p1/3b4/Np6/5pPP/1PP2P2/4R1K1 b - -,g7d4
2r3k1/1p2q1pp/pP1p4/3Pp3/3pP3/P1R5/3Q1PPP/1R4K1 b - -,d4c3
r6r/pp3ppp/1kn1b3/3RB3/4p3/1N6/PPP2PPP/2K1R3 w - -,e5d4
r1b2rk1/pnq1bppp/1p1p1n2/3Pp3/2P1P3/1PN2N2/2B2PPP/R1BQ1RK1 b - -,a7a5
r1bqk1nr/1p3p2/p3p3/4p1pp/2BpP3/3P3P/PPPN1PP1/R2QR1K1 w kq -,g2g3
3k4/8/2KP1p2/1p6/4P1p1/2P3P1/4bN2/8 b - -,d8c8
6k1/1p3p1p/p2R2p1/8/1P6/P1r3NP/5PK1/8 b - -,c3a3
5R2/1p1r2pk/p3p1q1/2p5/8/1P5P/P7/5Q1K w - -,f1e1
7k/pp6/4qn1P/8/5Q2/P1P1p3/1P6/K7 w - -,f4b8
1r2n1k1/p3Qp2/2P1p1p1/5q2/7p/4PBP1/P4PKP/3R4 w - -,g3h4
r1bqk2r/p2p1ppp/2p2n2/4p3/1bP1P3/2NB4/PP3PPP/R1BQ1RK1 b kq -,e8g8:b4c5
3rk3/p2b1p1p/1P2pPp1/1P2p3/2P1P3/4n1PP/5K2/1R3B2 w - -,b6a7
rnbqk2r/pp2npbp/3p2p1/2pp4/4P3/2N3P1/PPP1NPBP/R1BQK2R w KQkq -,c3d5
3r1q2/pp2b3/2p3kp/5pp1/1P2n3/4QPPP/P1P3NK/3R1R2 b - -,e4f6
4r3/7k/pp5p/3bB3/3p1P2/P7/1P5P/4R1K1 b - -,d4d3
1rb1k2r/2qnbppp/p1npp3/1p4P1/4PP2/1NNBBQ2/PPP4P/1K1R3R b k -,d7c5
1K4k1/2Q3P1/1P6/q7/8/8/8/8 w - -,b6b7
r5k1/2pp1rpp/p7/1p4q1/PPnNp3/N1P5/6PP/R2QR1K1 b - -,c4d2
r2qkb1r/pppb1ppp/2npp3/1B2P3/8/2P2N2/PPP1QPPP/R1B1K2R w KQkq -,c1f4
8/3r1ppk/1pqPb2p/p1p1B2P/P4Q2/2P2PP1/1P1R3K/8 b - -,f7f6
2kr1b1r/pp1b1p2/2p2P2/2n1Pq1p/2PpNB2/P2P1B1P/1P1Q4/R4K1R w - -,e4c5
5k2/p4p2/4pp1p/2b5/3N4/6P1/PP3P1P/6K1 w - -,d4c2
4q1k1/7p/p4ppb/PpBQ1b2/1P3N2/7P/5PP1/6K1 b - -,g8g7
r5k1/5p2/6p1/1p5p/1P1N3P/P3P1PK/8/8 w - -,d4b5
5n2/5kpp/1p1rp3/8/2B2P2/4P1P1/7P/1R4K1 w - -,g1f2
1r2q1k1/1pp3bp/p2p2p1/3Pp3/2P1P3/4B1P1/PP2Q2P/5RK1 b - -,e8e7
r2q1rk1/pp1bppbp/2np1np1/2p5/2P5/P1NP1NPP/1P2PPB1/R1BQ1RK1 w - -,a1b1
2rnk2r/1pq1p1b1/p2pp2p/2n3pQ/4P3/PBN2P2/1PPB2PP/R3K2R b KQk -,e8f8
2r3k1/2pR1pp1/ppn1p1bp/4P3/2P3P1/1PB1KN2/6P1/8 w - -,f3d4
1r6/3nkppp/3b2b1/p2pp3/1p1P4/1P2PPB1/1P1N2PP/2R2BK1 b - -,e5d4
8/p2k4/1p1p2R1/8/P1PK4/1P5r/8/8 w - -,g6g7
r3r1k1/1p2ppbp/1qp3p1/3n4/p2P4/4P1P1/PP2QPNP/R2RB1K1 w - -,e2c4
1r6/1q6/p3p1k1/1pPrPpPR/1P1B1Pn1/2P3K1/6Q1/R7 w - -,a1h1
8/8/8/3R4/2k2r2/2P5/7P/6K1 w - -,d5a5
8/6k1/R7/5K1p/6p1/2N3b1/1r6/8 w - -,a6a7
1k6/7R/5r1P/KP6/8/8/8/8 w - -,b5b6
2rr2k1/p4pbp/bq4p1/8/2pp1B2/4PP1P/PP1R1QP1/1BR3K1 w - -,e3e4
7r/3bk1p1/p2b4/4pp2/3p4/P2P1PP1/2R1P1K1/R7 w - -,a3a4
5r1k/7p/pNqP1pp1/2R2n2/4p3/P7/4QPPP/3R2K1 b - -,c6c5
8/8/3bp3/3p3p/kPnP1K1P/4N3/8/4B3 w - -,f4f3
r2q1rk1/pp1nbppp/4pn2/2p1N3/2PP1P2/2N1B3/PP2Q1PP/R4RK1 w - -,a1d1
8/6p1/5k1p/R6P/6K1/5P2/5P2/2r5 w - -,a5a6
8/5ppk/8/3P2p1/1bB3P1/7P/5PK1/8 b - -,b4d6
r4rk1/pp1q1ppp/2pb1n2/4p3/3P4/2N1P3/PP1BQPPP/R4RK1 w - -,d4e5
1qr3k1/p4ppp/1p4n1/3r4/8/bP2BPP1/P4QBP/1R1R2K1 b - -,c8d8
2rr3k/1q3pp1/p6p/3p4/P2b2Q1/1P2B2P/5PP1/3R2K1 w - -,e3d4
8/5p2/1p1ppk1p/r1n2P2/P1PKP1P1/8/8/R2B4 w - -,a1b1
8/8/8/6k1/6n1/4KB2/8/8 w - -,f3g4
r3k2r/2q1bpp1/p1p5/3npP1p/8/2PQ1N1P/PP4P1/R1B2RK1 w kq -,d3e4
8/r2b1p2/2pkp1p1/rp4Pp/1R1P1P1P/P1R1PB2/1K6/8 b - -,a5a6
1r3rk1/pbqnppbp/2pp1np1/1p6/4PP2/2PP1NP1/PPN3BP/R1B1QR1K b - e3,e7e5
2b1r3/1r3kpp/2PR1p2/3Np3/1p2P3/8/2P2PPP/R5K1 b - -,b7b5
8/8/2r2p2/p1k1p1p1/P2p3p/1P1r1P1P/1KP3P1/3R4 w - -,d1d3
8/p7/8/k2p3P/1PpP4/2P5/qPK1Q3/8 b - -,a5b6
8/2r1kp2/1p1Nb3/1P2p2p/1KP3rP/6P1/3R4/R7 b - -,e6c4
7k/6p1/7p/2pQp3/2P5/1R4P1/q6P/6K1 b - -,a2b3
b4rk1/3q2pp/pr6/2bp2P1/3N4/2Pn2B1/1P2N1QP/R4R1K w - -,b2b4
r1b2rk1/pp3pp1/1bpp1qnp/1P6/3PPP2/2N1B3/P2QB1PP/R4RK1 w - -,f4f5
2r5/p5kp/Pp6/3Np1p1/4P3/R5PB/5PKP/2r5 b - -,c8c6
8/2qbk2p/3p1npb/2p1pp2/p1P5/P1BP2P1/1r2PPBP/1Q3NK1 w - -,b1b2
2r3k1/1p2rp2/3b1qnp/pP1p2p1/3P4/3NPN2/5PPP/1QR3K1 w - -,c1c8
r1b1k2r/1pqnppbp/p2p2p1/2p5/3PP3/2P1BQ1P/PP3PP1/RN2RBK1 w kq -,b1d2
5rk1/pp2R1p1/2q4p/6r1/2p4Q/P1P5/1PP5/1K1R4 b - -,g5d5
r4rk1/1bq1bppp/p1n1p3/1pp1P1P1/5P2/2N1B3/PPP1Q1BP/1K1RR3 b - -,f8d8
3k4/1p5R/p1n5/1N2p3/1P2N3/4prP1/1P2K3/8 b - -,f3f8
r1bq1rk1/1p1nbpp1/p2p4/2pP2p1/5P2/2N2N2/PPPQ3P/2K1RB1R w - -,h1g1
r2q1rk1/pb1nbppp/1pp2n2/3p4/3P1B2/2N2NP1/PP2PPBP/2RQ1RK1 w - -,d1b3:f1e1:f3e5
r7/6pk/2P4p/K7/P3p3/2R5/8/8 w - -,a5b5
r4k2/1pp2ppp/p2p1b2/3P4/4RB2/2P4P/PP3PP1/6K1 w - -,g1f1
5rk1/1R3ppp/4p3/3nN3/3r4/8/5PPP/5RK1 w - -,f1a1
r5k1/pp3p1p/2pq2p1/3p3r/2P5/1P1QPN1P/Pb3KP1/1R1R4 b - -,b2e5
1r1q1r1k/2pb2bp/pp4p1/3Qp1Nn/1PP2p2/P1N3P1/3PPP1P/1RB2RK1 w - -,g5f7
8/5k1p/1pR4P/8/Pr6/4K3/P7/8 b - -,b4a4
r5k1/1p3pbp/2p1b1p1/4n3/1B2P3/P3N1P1/4RPBP/6K1 b - -,e5d3
r1b2rk1/1p3ppp/p2bpn2/2q3B1/3N4/3B4/PPP1QPPP/R3R1K1 w - -,d4f3
r3r1k1/1pq3b1/2pp2pp/1P2pp1n/1BPn4/1NNP2Pb/3QPP1P/R3R1KB w - -,b3a5
2rr1k2/p4pp1/2p1b2p/8/2pP4/4P1P1/PR3PBP/3R2K1 b - -,c8c7
8/p5pp/1p1kpp2/8/2pPKPP1/P6P/1P3P2/8 b - -,f6f5
2k1b3/ppq2p2/2nbp3/1P1p4/3p4/P5P1/1BP1BQP1/R4K2 b - -,c6e7
2r1r1k1/1p3ppp/p3qb2/P2Rn3/N1P5/1P2B1P1/R3QP1P/6K1 w - -,a4c5
8/4rpkp/6n1/p1N1p2Q/6R1/3PP1PK/4q3/5r1R w - -,g4g6
r4bk1/5p2/p1r1p1pp/Bp1pP3/3P3P/qP4P1/P2Q1P2/3RR1K1 w - -,d1c1
r7/8/6R1/2nn3P/B2k4/K7/8/8 b - -,a8a4
r3k2r/ppqnbppp/2p1pn2/3p3b/2PP4/1P3NPP/PB1NPPB1/R2Q1RK1 b kq c3,e8g8
r2r1nk1/1pbn1p2/p1p3p1/2Ppp2p/1P5P/P2PP3/1BK1BPP1/RN5R w - -,b1d2
2q1k2r/3n1pp1/1p2p1p1/1P2P2P/r2p2P1/B1p2Q2/2P2P2/R4KR1 b k -,d7e5
3b4/1k3p2/3pn1p1/pP1Np3/P3P3/3KBP2/2P4r/1R6 b - -,d8g5
r2q1rk1/1p2b1pp/1n1ppnb1/p4pN1/P1PP4/1PN1B3/3QBPPP/2R2RK1 b - -,g6f7
8/1p3p2/p1k2Pb1/3p4/3K1B1P/P1P5/1P6/8 b - -,g6c2
2r3k1/3rRp1q/p2P1P2/1b2BRpp/2p5/4Q3/1P4P1/6K1 w - -,f5g5
6rk/8/7p/p2Qp2q/1pP1p3/4Nn2/P3KP2/3R4 b - -,g8f8
4b2r/2nn4/1p1p1k2/p1pPpPp1/P1P1P3/1P3BPN/3Q2K1/8 b - -,h8g8
r4rk1/1b1n1pbp/p2ppnp1/qp6/P2PP3/1B3N2/1P1NQPPP/R1B2RK1 w - -,a1a3
b7/4b1k1/4p3/1B1nP1p1/3P3p/2P4P/3BNKP1/8 b - -,d5c7
4r1k1/1p1q1pbp/nnp3p1/p2b2B1/3P4/PP3NPP/5PB1/R1QR2K1 w - -,c1c3
3r4/1pk2p2/5p1p/1Q1P1p2/P3r3/3RqN2/1PP3PP/1K6 b - -,e3a7
8/8/3k4/3pRp1p/1p1P2rP/1P4P1/2K5/8 b - -,f5f4
r3rnk1/pp1bbppp/1q2pn2/3pN1N1/3P4/1P1B4/PBP1QPPP/R4RK1 b - -,a7a6
8/6P1/3k1p1K/p2p1P2/1p6/8/PP4r1/3R4 b - -,d6e5
6k1/1pp2pp1/3r4/2p4r/2P1P2q/P3P3/1P2Q1BP/5RK1 w - -,g2f3
rn1q1rk1/1p2bppp/p2pbn2/4p3/4P3/1NN3P1/PPP2PBP/R1BQR1K1 b - -,b8d7
2rqr1k1/pp2bpp1/3pbn1p/n1pNp3/P3P3/2PP1N1P/BP2QPP1/R1B2RK1 w - -,f3h2
3k1n2/1b3pp1/p2p3p/Pp1Pp3/4P3/3B2P1/1PN2P1P/6K1 w - -,g1f1
4r1k1/1R3p2/p2p3p/P2Pr1p1/8/2p1P1P1/1b1B1PKP/5R2 w - -,d2c1
r1bq1rk1/pp1p1ppp/2n1pn2/8/1bPNP3/2N2P2/PP2B1PP/R1BQK2R b KQ -,d8a5
8/pk5r/bpp1r3/3pNp1p/3P1Pp1/BP4P1/P1PK2P1/7R w - -,a3f8
r1b3k1/p2pp1bp/2p3p1/8/Q1N2q2/2P5/PP2B1PP/5RK1 b - -,f4g5
r1q2rk1/5ppp/p4n2/4b3/2BnN3/P7/3B1PPP/R1Q1R1K1 w - -,a1b1
2k5/pp2r1p1/2p4p/8/2P2R2/P5PP/1P1r1PK1/5R2 w - -,b2b4
r3k2r/ppp1nppp/2nb4/3p4/3P4/2P2N1P/PP3PP1/RNB1R1K1 b kq -,f7f6
3R4/pp4kp/1q2p1p1/1b2P3/6N1/P5K1/1PQ3PP/8 b - -,b6d8
1kn1r2r/pppq4/2n2p2/3p1Bpp/1P1P4/2P1R1P1/P1Q2PPN/R5K1 b - -,d7d8
3r1rk1/pb1nqp2/1p1pp1p1/2pP3p/2PbPP1P/2N1N1P1/PP1Q2B1/3RR1K1 w - -,c3b5
rn1qkb1r/pbpp1ppp/1p2p3/4P3/2P1n3/2N5/PP1PNPPP/R1BQKB1R w KQkq -,c3e4
r4n2/1R5p/3q3k/5Q2/4B2P/2p5/P4P2/7K b - h3,c3c2
r2r2k1/ppq4p/5ppN/2pP4/2P1p3/P3PnPP/1B3PKn/R2QRB2 b - -,g8g7
2krb2r/1p2qp2/p1n1p3/2ppn2p/R7/NPPB3P/P2P1QP1/R3N1K1 b - -,h8g8
3k4/r2r4/P3p3/1p2PR2/1P4pp/2p5/6K1/5R2 w - -,f5f8
r3r1k1/pp2ppbp/nqpp2p1/8/2PPbB2/5NP1/PP1QPPBP/2RR2K1 w - -,b2b3
r2qkb1r/pp1b1ppp/2nppn2/8/3NP3/1BN5/PPP2PPP/R1BQ1RK1 b kq -,f8e7
r1q2r1k/pp2n1pp/1bn2p2/2Np4/1PpP2b1/P3BNP1/3QPPBP/2R2RK1 w - -,f1d1
2bq2k1/r4pbp/p2p2p1/2pPr3/1pP5/3PB1PP/PP1Q2B1/1R3RK1 w - -,e3f4
2rq1rk1/1p4bp/p1np2p1/4p3/P2ppP2/1N1P2B1/1PPQ2PP/R3R1K1 w - -,d3e4
5r1k/5r1p/q2P1pp1/4p3/2NbP1Q1/1P3R2/6P1/5R1K b - -,h8g7
3r2k1/1qr1bpp1/1p1p3p/1B2pP1n/1pP1P3/P1BQ2P1/4R2P/5R1K w - -,c3b4
rnbqk2r/p1ppbppp/1p2pn2/8/2PP4/5NP1/PP1BPP1P/RN1QKB1R w KQkq -,f1g2:b1c3
3Qnbk1/5p1p/4rn1p/8/1p6/5P1P/3B2P1/6K1 b - -,e6d6
r2r2k1/pp1bbppp/2n1p3/8/3P4/q1P1BNP1/P4PBP/R1Q2RK1 w - -,c1a3
r3r1k1/1pq2pb1/2n1b1pp/1R6/3pPp2/P2B1N1P/2PNQPP1/R5K1 w - -,e2d1
r1bq1rk1/ppp1npb1/3p2pp/8/2PnPN2/2NP2P1/PP4BP/R1BQ1RK1 w - -,c1e3
r1b1k2r/pp3pb1/1np2qpp/3Pp3/2B1P3/2N2N2/PP3PPP/R2Q1RK1 w kq -,c4b3
r1bq1rk1/pp1nppbp/2pp1np1/6B1/2PP4/2N1PN2/PPQ1BPPP/R3K2R b KQ -,h7h6:d8a5
6k1/1p2R3/2b2p1P/5P2/2P5/2KB3r/8/8 w - -,e7g7
6k1/1r6/p2p1npp/n1pP1p2/q1P1pP2/4P1PP/P1R5/1NQ2BK1 w - -,f1e2
4r1k1/1b3p2/pq2p1p1/1p1r3n/8/P1BBR2Q/1PP3PP/5R1K w - -,e3e2
8/p4k2/1p3r2/2p3R1/P1Pp2K1/1P1P4/8/8 w - -,g5e5
rr3bk1/2q2ppb/p1Pp1n1p/1p1Pp3/4P1P1/5N1P/P1BB1P2/R2QR1K1 w - -,a2a4
3rr1k1/p4bBp/1np3p1/2p2p2/2P2N1P/1P1B4/P4PP1/3RRK2 b - -,g8g7
r1bqk2r/1p2bppn/pn1p4/2pPp2p/2P1P2P/2NBBPP1/PP2N3/R2QK2R b KQkq -,c8d7
r5k1/1pp2p1p/pn4p1/8/4P3/1PN5/P4PPP/2KR4 b - -,g8f8
r2q1rk1/1p2p1bp/3p2p1/1PnPnp2/p1P5/N3BPP1/P1Q1B2P/1R3R1K b - -,d8b6
8/1p1b2k1/p1p1np2/2P1p2p/1P2P1pP/P2B2P1/4NPK1/8 w - -,g2f1
3r1k2/1b3pp1/2pp1nr1/p3q3/2B1P2p/2NR3P/PPP2QP1/4R1K1 w - -,f2a7:e1e2:f2b6
r4rk1/pp2qpnp/1np1b1p1/3p4/3P2P1/2NBP2P/PPQ1NP2/1K4RR b - -,b6c4
4rr2/1p3kpp/p1ppbp2/5N2/2P1P1P1/1P1P1RK1/2P4P/R7 b - -,e6f5
r2qr1k1/ppp2pp1/1nnp1b1p/8/2PP2b1/1PN1BN2/P2QBPPP/2R2RK1 b - -,d8d7
r1b2rk1/1pn1q1bp/3p2p1/p2Ppp2/1P2n1P1/P1N1B2P/3NBP2/1R1QK2R w K -,c3e4
7r/2k3p1/4pp2/R3n3/2P1N3/P4P2/6P1/6K1 w - -,a5a7
2kr4/2p4p/4pb2/N3npp1/2P5/P3BP2/1P2K1PP/1R6 b - -,f5f4
r5k1/2p1r1pp/p1Nb4/P7/1p2p2P/1b2B1P1/3RPP2/2R3K1 b - -,e7e8
8/8/1P3pp1/6k1/pKR5/6P1/r6P/8 w - -,b4a5
r3rbk1/p4ppp/bp1p1n2/2pPqN2/3n4/PPN3PB/1BR1PP1P/3Q1R1K w - -,f2f4
r5k1/1rq1bpp1/2bpp2p/p1p5/P1N1PP1P/1PP3P1/2Q3B1/1R1R2K1 w - -,c4d2
r4rk1/pp3pp1/2nqpn1p/3p1b2/3P4/1PP1PN1P/3NBPP1/R1Q2RK1 b - -,f6e4
8/2p5/1p1p1k1p/2bP1P2/p1P3B1/P3r2P/1P1K4/1R6 w - -,b1c1
4r3/p1r2p2/3Rpk1p/5p2/2P5/1P5P/P2R1PP1/6K1 b - -,f6g5
2rb1rk1/pp1R1ppp/8/8/8/4B2P/PPP2P2/2K1R3 b - -,d8c7
r2q1rk1/1p1nbppp/p1n1p3/3p4/N2P1B2/3BP3/PP2QPPP/2R2RK1 w - -,a2a3
3rnr1k/pbq2p1p/1pppnbpN/8/P3P2Q/2N4P/BPP2PP1/2BRR1K1 w - -,h4g3
8/kr5R/6R1/2p5/P2b4/K7/8/8 w - -,h7b7
3r4/4bk2/RP4pp/3Pnp2/8/6PP/5B2/5BK1 b - -,d8b8
5n2/p4kpp/2P1p3/3pPp1P/3N4/1P3P2/3Q1nPK/q7 w - -,c6c7
6k1/pp2r1pp/2b5/3p3P/3P2P1/P1PQPK2/3B3q/1R2R3 b - -,e7f7
8/8/4k2p/3pN1p1/1r6/8/1P1R2KP/8 w - -,e5d3
rnbq1rk1/pp1pppbp/5np1/2p5/3P1P2/2P1PN2/PP4PP/RNBQKB1R w KQ -,f1d3
rr4k1/2N2p2/P2p2p1/3Pp3/4P1n1/3QP3/5qP1/RR5K b - -,g8g7
r3k2r/p5p1/1p1Rp3/4P3/2p3p1/P1P1Bb2/2P2P1P/2K3R1 b kq -,e8e7
rn2kb1r/1q1p1ppp/p3p3/3bP3/Pp1N2Q1/3B4/1PPB1PPP/R4RK1 b kq -,b8c6
6k1/1R1b2pp/p4p2/2r5/7P/5PB1/6P1/7K w - -,b7d7
6k1/q4pp1/7p/3pP3/2pP2P1/1pP2Q1P/1P4K1/r4R2 b - -,a1f1
6r1/5b2/p4p1k/7p/2R5/5BQ1/5PPK/8 b - -,g8g3
r1bq1rk1/pp2ppbp/2np1np1/8/3P4/2N2NPP/PP2PPB1/R1BQ1RK1 b - -,c8d7
4r3/1p2r1p1/pbp2pkn/2Np1b1p/1P3P1P/R2PP1P1/1P1B1K1N/4R3 b - -,g6f7
3q1r2/1r3p1k/5Ppp/2n1P3/Pp3N2/3p2Q1/1P4PP/4RR1K w - -,e5e6
8/6k1/6pp/ppr2n2/4BP2/7P/PP3RK1/8 b - -,g7f6
8/8/6p1/2P1Kp1p/7R/6P1/r6P/6k1 w - -,c5c6
4rr1k/ppb3pp/2pn1q2/5p2/3p1P2/3P2P1/PPPBR1BP/R2Q2K1 w - -,a2a3
1r4k1/1rqp3p/1pn1p1p1/5p2/P1b1PP2/2P1B1N1/1R1Q2PP/1R4K1 b - -,d7d6
2Bn4/1p2k1K1/p1p5/2Pp1P2/1P1P4/8/1P6/8 b - -,d8f7
r1bqr1k1/1ppp1pp1/p1nb1n1p/4p3/B3P3/2NPBN2/PPP2PPP/R2Q1RK1 w - -,a2a3
6R1/2r5/1p2R1pk/pPbB3p/P1P2r2/8/6K1/8 b - -,c7g7
8/pp2rk2/1r6/3R4/8/3R2P1/6K1/8 b - -,b6g6
3q2k1/6p1/p4b2/1p1p1p2/3P1PQ1/1P2P3/P2NK3/8 w - -,g4f5
2kr3r/ppp1qp2/2nb2p1/5b2/3PP1p1/2PQ2P1/PP1N2BP/R1B1K2R b KQ -,f7f6
2r3k1/5pbp/p2B2p1/1p6/3nPP2/6PP/r5B1/1R2R1K1 w - -,e4e5
2kr4/1bqn1prR/2n1p3/p2pP3/1ppP2N1/2P3PP/PPQ1N1B1/R5K1 b - -,g7h7
rn3rk1/p5p1/4pb1p/q7/3pN3/3B4/PP1Q1PPP/2R1K2R b K -,a5d2
rnbq1rk1/ppp1bppp/3p1n2/1P6/3Np3/4P3/PBPPBPPP/RN1QK2R b KQ -,c7c5
rqb1k2r/pp3ppp/1nn5/1N2P3/1b6/1B3NP1/PP3P1P/R1BQ1K1R b kq -,e8g8
rn1qk2r/pbp2pp1/1p1bpn1p/3pN3/P2P1B2/4PQ2/1PPN1PPP/R3KB1R b KQkq -,e8g8
r1b2rk1/1pq2ppp/p2bpn2/8/3N4/1B5P/PPP2PP1/R1BQR1K1 w - -,c1g5
r3n1k1/3b1p1p/3P2q1/2p1p3/2p1P1P1/PrN1QP2/8/1NKR3R b - g3,a8b8
8/5ppk/5n1p/1Nq1pP2/4P3/5r1P/6PK/1Q6 w - -,b1d1
rq3rk1/2pb1pbp/1p1p1np1/2nPp3/p1P1P1P1/2N1BPN1/PPBQ3P/2KR3R w - -,d2e2
r5k1/ppb1rpp1/1np1qn1p/8/1P2P3/P1N3PP/2QBBP2/2R2RK1 w - -,g1g2
1rb2rk1/p4pbp/6p1/q3p3/1p6/2P1BB2/P4PPP/R1Q1R1K1 w - -,c3b4
r1b2rk1/4qpb1/p2p1npp/n3p3/Pp1PP3/5NN1/1PB2PPP/R1BQR1K1 b - -,c8g4
r2q1rk1/pppnbppp/5nb1/3p4/1P1P4/P1N1P1N1/4BPPP/R1BQ1RK1 b - -,c7c6
4b3/pp2q1kp/4p1p1/3p2b1/1P1P2P1/PB2P3/7P/1N2Q1K1 w - -,b1c3
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/2N1P3/PPQ2PPP/R1B1KBNR w KQkq -,f1d3
2r2rk1/1p2qpp1/p3pnp1/2n1b3/2B5/2N1P2P/PPQ2PP1/2RRB1K1 w - -,c2b1
5r1r/p2k1p2/bqp1p2P/1p1nP1BQ/P1pP4/2P5/4B1P1/2R2RK1 b - -,d7e8
r1bqk2r/pp2ppb1/2np1npp/6B1/4P3/2PB1N1P/PP3PP1/RN1QR1K1 w kq -,g5e3
4r1k1/1b5p/6p1/p1pP1pq1/PpPbpn2/1P2N2P/R4PP1/1BQ1R1K1 w - -,g1f1
