8/8/5k2/6Np/5K1b/8/8/8 w - -,g5e4
r2bnrk1/1p1Bqn2/3p4/P2P3p/1Q1BPp2/5PpP/1PR3P1/R5K1 w - -,d7c8
5k2/pp3p2/2p3p1/8/8/P1P2KP1/1P2RP2/r7 b - -,a1b1
r1bqk2r/p3ppbp/1npp1np1/8/1p1PP1P1/1PN1BP2/P1PQN2P/R3KB1R w KQkq -,c3d1
r3kb1r/pp1npp1p/2p2p2/5b2/3P4/2PqBNP1/PP2QPBP/R3K2R w KQkq -,e2d3
8/8/8/1P1p1k2/2nP2p1/5p2/5K2/8 b - -,f5f4
r1b2rk1/pp2ppbp/2np1np1/2q5/5B2/2P1PN1P/PP1NBPP1/R2Q1RK1 b - -,h7h6
2rr2k1/1p3q1p/n2p2p1/2PPpb2/1P2Np2/5P2/1R1NQ1PP/2R3K1 w - -,c5c6
2rrq1k1/pb3pb1/1n3npp/1P1Pp3/8/BQN5/P2NBPPP/2RR2K1 b - -,f6d5
r4rk1/pp2bpp1/2n1b2p/q2pN2n/Q1pP4/2N1B1P1/PP2PPBP/2R2RK1 b - -,a5a4
1r1bqr1k/Rpp2p1p/5p2/3PpN2/1Q2P3/6P1/5PKP/2R5 b - -,b7b5
4r1k1/3r3p/3Bnpp1/p3P3/3p4/6P1/PR4KP/3R4 w - -,b2b5
8/1p3p2/4p1p1/R3rk2/8/5K1P/6P1/8 w - -,g2g4
8/4R3/5ppk/3b4/7P/6K1/1r2B3/8 b - -,b2b3
8/1q2rkp1/p1R2n1p/1p1nBb2/3P4/P4P2/1P4PP/2RQ3K b - -,e7d7
2kr4/p1p4p/1p1q2p1/5p2/P1QP4/5P2/2P3PP/4R1K1 w - -,c2c3
8/4kppp/1r6/RP6/7P/8/5PP1/4K3 b - -,b6b7
r4rk1/p1q1ppbp/b1pp1np1/2p5/P3P3/N1PP1NPP/1P1Q1PB1/R3K2R w KQ -,d2c2
3r3k/p5pp/2p1p3/4p3/2R1P3/1PN2P2/Pb1r2PP/1R3K2 b - -,h8g8
2r3k1/pq2ppbp/1n1p2p1/3P4/pPR5/3QB1PP/P4P2/1R3BK1 b - -,b6c4
8/3K4/1k1B2R1/8/8/8/3r4/8 w - -,g6g4
3q1nk1/4ppb1/4b1pp/2Q1P3/2p3P1/5NBP/rP3PBK/2R5 b - -,a2b2
3rr1k1/pbp2p1p/1np2Pp1/3p4/2P5/1P6/PB1KBPPP/R3R3 w - -,e2f3
5b1k/1pr2r1p/p2n2Q1/4ppB1/8/2P1N2R/qP4PP/5R1K b - -,f7g7
5rn1/p2k1p1p/np2N2B/3pP3/3P4/qP3Q2/5PPP/5RK1 b - -,g8h6
r1rq1n2/3bbk2/1p1p1p1p/pBnPp1pP/2N1P1P1/2N1BPK1/PPR1Q3/R7 b - -,d7b5
r2qr1k1/p2n1ppp/2p2n2/Ppb1p2b/2P1P3/5NPP/1P1NQPB1/R1B2RK1 b - c3,a7a6
4r1k1/p1pR2p1/2p3rp/5q2/2P3n1/2B1pPP1/PP2Q2P/3R2K1 b - -,g4f2
rnbq1rk1/pp2ppbp/2p3p1/5n2/2BPNB2/5N2/PPPQ1PPP/2KR3R b - -,b8d7
3r3r/p2b1k1p/1pn1q1pP/3pppP1/1P6/1NP1PN2/PQ3P2/3RK2R b K -,h8e8
4kb1r/1b1p1pp1/p3p1np/1pN1P3/3PN3/PB3P2/1P4PP/4R1K1 b k -,b7e4
1rb1r1k1/1pp2pp1/p4n1p/8/P1p1Pp1P/2P3P1/2N2PB1/R3R1K1 w - -,g3f4
r2qkb1r/pppn1ppp/2b1pn2/8/3PN3/3B1N2/PPPB1PPP/R2QK2R w KQkq -,e4g5
5rk1/p4pp1/1p5p/3pP1n1/3P2Pr/1P3B2/P2N4/2R3K1 w - -,f3e2
5rk1/2rQ1p2/p5pB/qp2p3/4n3/2b2R1P/PPP1N3/1K1R4 w - -,d7d5
3q4/1b3k1p/pp1p1p2/3N4/PP2P3/4Q3/1P4PP/6K1 w - -,e3h6
6k1/6P1/4KP2/8/6Pn/8/8/8 w - -,e6e7
rr2n1k1/3b1p1p/3P2qQ/2p1p3/2p1P3/P1N2P2/6P1/1NKR3R w - -,h6e3
7r/2p1k1pp/1r1Bbp2/p1p5/4P3/P5P1/1PPRB2P/2KR4 b - -,c7d6
2qr1rk1/4ppbp/2p1n1p1/p1Pn4/PpBPR3/5N1P/1P1B1PP1/R3Q1K1 b - -,d5c7
8/7k/8/5P2/6Kp/8/8/8 b - -,h7g7
5br1/1r3p1k/1P2p2p/pR1pB1pP/8/3P1R2/5PP1/6K1 b - -,f8g7
3r1r2/pbq2pkp/1pn3p1/2pPp3/2B1P3/2P1Q3/P3NPPP/2R2RK1 b - -,c6a5
4rbk1/1p3ppp/6qr/3N4/5Q2/1P2PPPb/PB5P/R3R1K1 w - -,a1c1
6k1/p3rp2/1p2p3/1P2P1p1/1n6/8/5PP1/R4BK1 w - -,a1a4
r1bqr1k1/1p3pbp/2pp1np1/p1n1p3/2P1PP2/2NPB1PP/PP1QN1B1/R4RK1 b - f3,d8e7
r4rk1/p7/3pRb1p/1q1P2p1/1pbB1p2/5N2/PPPQ2PP/1K4R1 b - -,c4a2
8/4k1p1/3p4/2p1pK2/2P1Bn2/3P4/8/8 b - -,e7f7
3rk2r/pp1q1p1p/3p1bp1/3Qp3/2P5/1P4P1/PB2PPKP/3R1R2 b k -,g6g5
r2qk2r/pb1pbppp/1pn1pn2/2p5/3P4/PP1BPN2/2PN1PPP/R1BQ1RK1 b kq -,e8g8
7r/pp1Qbk2/2p2p2/3p3p/N4P2/8/PP4P1/1K1Rr3 b - -,e1d1
k1r5/pb6/1p1n1P1Q/2p3P1/q2p1N1P/2n2R2/PPP1B3/1K1R4 w - -,f3c3
r3r3/1pp2pk1/p2p1n1p/3Pn1p1/3R3P/6B1/PPP1BPP1/2K4R b - h3,e8e7
1r2r1k1/5p2/1p3Pp1/p1p5/P1qp3R/1P1P4/6R1/6K1 w - -,b3c4
rnb1k2r/ppq2ppp/2pbpn2/3p4/3P4/3BPNB1/PPPN1PPP/R2QK2R b KQkq -,b8d7
8/8/5bpk/1r6/4R3/6PK/4R2P/8 w - -,h3g4
r1b2rk1/pp2qpbp/2p2np1/3p4/3P4/P1N1PN2/1P2BPPP/2RQ1RK1 w - -,b2b4
rn1qkb1r/pp2pppp/2p2n2/3p3b/3P3N/6PP/PPP1PPB1/RNBQK2R w KQkq -,g3g4
r2qk2r/1p2bppp/p1npbB2/4p3/P3P3/N1N5/1PP2PPP/R2QKB1R b KQkq -,e7f6:g7f6
r1b1kb1r/2q2ppp/p1p2n2/1p2pP2/4P3/2NBB3/PPP3PP/R2QK2R w KQkq b6,a2a4
k1r4r/pp3Q1P/4pP2/3p4/3P1B2/P1Pq4/7P/2R3K1 b - -,d3e4
1rr4k/3bq2p/5np1/Pp2p3/4p2N/1P4P1/1B2QP1P/2RR2K1 w - -,e2e3
rn1q1rk1/pb2bppp/1p1ppn2/8/3P1B2/2PB1N2/PP1N1PPP/R2Q1RK1 w - -,a1c1
1r3rk1/p3pp1p/5npb/2pPR3/q1B5/1NQ2bP1/PB3P1P/R5K1 b - -,h6g7
1k4r1/p1r3b1/1p1p2pp/1P1P4/4R3/Q5P1/P2N1PP1/q1RK4 b - -,c7c1
1q2r1k1/p4pbp/5rp1/1P6/1BpP4/4PbP1/2Q2PBP/1RR3K1 w - -,c2c4
r1bq1rk1/p4pbp/2np1np1/1P2p3/1P2P3/2N5/P2NBPPP/R1BQ1RK1 b - -,c6d4
5r2/3Br1k1/b4qp1/3p4/3Pp1Q1/2p4P/P1R2PP1/3R2K1 b - -,a6d3
r6r/3R2bk/p3Qppp/1p4p1/5BP1/2N2q2/PPP2P1P/2K5 w - -,c3d5
5r1k/2R3b1/2p2qp1/p1N4p/3pQ3/1P3P1P/P5P1/6K1 b - -,f6f4
2rq1rk1/p2b1pp1/3b1n1p/2nPp3/1p6/1P4P1/PB1QNPBP/R2N1RK1 b - -,f6e4
3r2k1/1p3pp1/p2p2n1/P2PrNqp/1PP5/5RP1/5Q1K/3R4 w - -,f5d4
3r2k1/2p2p1p/5qp1/1PB2n2/2Qb1P2/P2B4/4RP1P/1K6 b - -,d4c5
8/8/8/5kp1/2Nnp3/6KP/8/8 b - -,d4f3
1rb1r3/p4qbk/2PR1npp/2B2p2/P3pP2/Q1N3P1/1P4BP/4R1K1 w - -,b2b4
r1b1k2r/2q1bpp1/p2ppn1p/1pn5/3NP1P1/1BN1BP2/PPPQ3P/2KR3R b kq -,f6d7
8/2k2pp1/1ppnb2p/4p3/NPP1P3/1B1K3P/5PP1/8 w - -,a4b6
3k4/p6p/1p3p2/2p3pr/2P1P2P/4P3/P3KP2/7R w - -,h1d1
8/rp3k2/4p2p/2Pp1p2/3P1P2/1R2P1KP/8/8 b - -,f7f6
8/8/8/3p1r1p/2k5/6K1/8/3R4 w - -,d1c1
8/6pk/1P1K2p1/2R3P1/8/5r2/8/8 b - -,f3f7
6k1/p4ppp/Bn2pn2/2brB3/1p6/1P2PP2/P2rNP1P/R1R3K1 w - -,e5g3
5k2/2q1Np1r/p3p2p/3b2p1/r6P/2P5/1PNQR3/2K2R2 b - -,c7e7
r3r1k1/pp3pp1/1qnbpnp1/3pN3/3P2P1/2P4P/PP1N1P2/R1BQR1K1 b - -,d6e5
rnbqk2r/pp2nppp/2pb4/3pp3/8/1P1PP1P1/PBP2PBP/RN1QK1NR b KQkq -,e8g8
8/5B2/3kp2p/8/5P1K/5b2/8/8 b - -,d6e7
r4r1k/1bpnq1bp/1p1p1np1/pP2pp2/N1PP4/P3P3/1BQNBPPP/4RRK1 b - -,c7c5
3q1rk1/r1pnbppp/p3pn2/Bp1b4/3P4/5NP1/PP1NPPBP/R1Q1R1K1 b - -,f6e4
qr2r1k1/4np1p/p1p3p1/2N3Q1/2p1P1b1/1P4P1/P4PBP/2R1R1K1 b - -,b8b5
2r1kb1r/1p3ppp/np2pnb1/1N1p4/8/2NPB1P1/PP2PPBP/R3K2R b KQk -,f6d7
r2r2k1/pp2q2p/2n1b1p1/3p1p1P/5Q2/3P2P1/1BN1PPB1/5RK1 w - -,c2d4
r2r4/pp2kp2/6pp/3RP3/P1p5/2P2N2/1P4K1/5R2 w - -,f1d1
r1br2k1/1p2qppp/p1nbpn2/3p4/1PP5/P1N1PN2/1BQ1BPPP/R4RK1 w - -,f1d1
r2qk2r/pppb1p2/3p1n1p/5np1/1PP1P3/2N3B1/1P3PPP/2RQKB1R b Kkq e3,f5g3
8/8/5q1k/7p/5p2/6P1/1pQ3K1/8 w - -,c2e4
8/4R3/B1p3pk/2r1np1p/p3p2P/4P1P1/5PK1/8 w - -,a6c8
r3n1k1/1pp3q1/p2pPpp1/3P4/4QPP1/1P6/P4K2/5B1R w - -,f1d3
2rr2k1/pbq1bppp/4pn2/1pp1P3/3P1P2/P1PB4/1B1NQ1PP/3R1RK1 b - -,f6d5
r2q1rk1/1bp1bppp/p1np1n2/1p2p3/P2PP3/1BP2N2/1P3PPP/RNBQR1K1 b - a3,f8e8
1rb2rk1/p2n1pb1/2p3qB/3p4/NpnP2P1/1B3P2/PPPQ4/2KR2NR w - -,d2f4
r1nq1b1r/2nk1p1p/p3p1p1/Pp1pP3/1PpP1N2/2P2N2/5PPP/R1BQR1K1 w - -,h2h4
8/6pp/P3k3/8/2pb4/3n3P/8/1R1K4 w - -,b1b7
r3n1k1/3nppbp/3p2p1/q1pP4/1r2P3/2N2N1P/PP2RPPK/1RBQ4 w - -,c1d2
r1q4r/p1p1kbb1/p1Q2npp/2Pp1p2/1P1Pp2P/4P2N/PB2NPP1/R3K2R w KQ -,c6a4
8/5p2/4k1p1/1pB4n/1P3P2/5K1P/8/8 w - -,f3e4
r3k2r/1bqpbpp1/p3pn1p/4n3/1p1NP1PP/2N1BP2/PPP2Q2/2KR1BR1 w kq -,c3a4
rnbq1rk1/pp3pbp/3p1np1/2pp4/2P1P3/2N2PN1/PP4PP/R1BQKB1R w KQ -,c4d5:e4d5
2nrnrk1/pp1q2bp/2p1ppp1/P7/2PPNB2/1B4QP/1P3PP1/R2R2K1 w - -,e4c5
2q1B1k1/4pp1p/3p2p1/BQ1Nn3/2PbP1b1/P5P1/5P1P/1R4K1 b - -,e5f3
6k1/ppr2pp1/1b2np1p/1P1r4/4R3/2B3PP/1PPNRPK1/8 b - -,d5b5
8/3N4/5R2/7K/4k3/8/2r5/8 b - -,c2g2
r7/4k1p1/1bp1p3/1pn1p2p/4P3/1B1N1P2/1PP1K1PP/3R4 b - -,c5d7
r3k2r/3bbppp/3p1n2/p1q1p3/1pP1PP2/1P4PP/PB1NQ1B1/R3K2R w KQkq -,e2f2
r2r3k/ppq2pp1/2n1p2p/2P1P3/7P/6Q1/PPPB2P1/2KR1R2 w - -,d1e1
8/8/2Pkp3/1P2p3/5p2/7Q/6PK/4q3 b - -,e5e4
8/7p/5p2/4p3/3nkPK1/4B3/7P/8 w - -,e3c1
4k3/6R1/3p1p2/2pP1r1p/8/4K1P1/1P5P/8 w - -,b2b4
r3kb1r/pppnpppp/8/3n4/3P4/5N2/PP2PPPP/1RB1KB1R w Kkq -,e2e4
6k1/1R4p1/2Rp1P2/p1b5/6P1/4r3/P5K1/8 b - -,e3e2
2r1k3/2r2pp1/Rn2p3/4P2p/5P1P/2pN2P1/2R1K3/8 b - -,b6d5
r1q2nr1/5p1k/2p1p1pn/1p1pP1RP/pP1P1Q2/P1PN3B/5P2/6RK w - -,f4f3
r1bq1rk1/1p1nb1pp/p2p4/3Ppp2/2P5/2N5/PP2BPPP/R1BQ1R1K w - f6,f2f4
2k2r1r/1bpp4/1p2p2p/p3R1p1/P2PBq2/2P5/1P2QPPP/5RK1 b - -,b7e4
3r1rk1/1p5p/p1q1p1bb/4p3/P3Np2/2P2P1P/BPQ3P1/R2R2K1 b - -,d8e8
r3r1k1/1pqnbpp1/p3pnp1/2p1P3/P1BP4/2N1B2P/1P2QPP1/R2R2K1 b - -,f6h7
2rqr1k1/pp1b1ppp/3n2n1/3Np3/PN2P3/1P4P1/1Q3PBP/2R1R1K1 w - -,c1c8
r1bq1rk1/1p1npp1p/3p2p1/p7/2PbP3/2N5/PP1BBPPP/R1Q2RK1 w - -,d2e3
6k1/p4p1p/1pbq2pB/2p5/4r1PP/P7/1P3P2/2KR4 w - -,d1d6
r2r4/pp2npk1/1b3q1p/3p2p1/NPpP4/P2bP1P1/5PBP/1NRQR1K1 w - -,b1c3
2kr4/ppp3pp/1b6/5p2/1P3P2/P7/R2Br2P/2K2R2 b - -,d8d2
8/2rb1ppp/1R6/3B1pk1/3P4/1N5P/3r1PP1/4R1K1 b - -,d2d3
r4rk1/ppb3p1/4pn1p/2pp4/7B/2P1PN2/PP3PPP/R3K2R w KQ -,h4g3
7r/1n2kppp/2Bp4/4p3/4Pq2/2P5/1P3PPP/Q3K2R b K -,b7c5
5rk1/p3bppp/5n2/qb2p3/8/1Q3BP1/P3PP1P/2R2RK1 w - -,c1b1
8/p4pkp/4pqp1/2Q5/8/8/Pb3PPP/3R3K b - -,f6f4
8/2k3pp/2n2p2/p1p1pb2/4P2B/1PPr4/P2N1PPP/2R1K3 b - -,f5e6
q2k1b1r/pb1ppp2/1pn2p2/7p/8/6P1/PPP1PPBP/R1BQ1RK1 w - h6,c1f4
4r1k1/1pq2pp1/2p2nbp/p3r3/PnP5/BP3QN1/3R1PPP/3R1BK1 b - -,e5e1
8/1b4rk/2q1pQpp/2p1P3/2Pn4/1PB2R2/2B3PK/8 w - -,c3d4
1rbq1rk1/p1bn2pp/2p1p3/1p1n1p2/3PP3/1PN3P1/PB1N1PBP/2RQ1RK1 b - e3,d5b4
2n5/pp3b1p/2pk4/4p1p1/1PB1Pp2/P1P2P1P/2KN2P1/8 b - -,f7g6
5r2/ppp1k2p/6p1/7n/4P2P/3B4/PPPK4/5R2 w - -,f1f8
2b2kr1/2q2p2/1r6/5N1Q/5b2/5N2/5PPP/R4RK1 b - -,b6b5
2rr2k1/p4ppp/1p6/8/2PNn3/4PP2/P1R3PP/R5K1 b - -,e4c5
3r2k1/pp3ppp/1q2p1b1/8/8/2P2P2/P3nQPP/1BRR2K1 w - -,g1f1
q2r1bk1/5p1p/2n1p1p1/1Np1P1P1/p1P1NP2/P7/4Q2P/3R2K1 w - -,d1d8
1rbq2k1/p1nr2pp/2BB1p2/Pp2PP2/1Q1p4/P1pP2PP/8/1R3RK1 b - -,f6e5
3r1r2/1pp2p1k/p1n2q1p/2P1p1p1/1PQ1P3/P4N1P/5PP1/2RR2K1 b - -,c6d4
4k2r/pp1bppb1/1q5p/3p2p1/P2P1B2/1Pr2P2/R1B2KPP/1N1QR3 b k -,g7d4
2r3k1/1p4p1/p6p/4r1b1/3NP3/3R3P/PP4P1/3R2K1 b - -,e5e4
r2q1rk1/1bpnbppp/3p4/p1nPp3/PpP1P3/4BN1P/1PB2PP1/RN1QR1K1 w - -,b1d2
4n3/6k1/1p1np3/p2p3p/3P1PPP/1P1B1P1K/1P5B/8 w - -,f4f5
3r4/1p4kp/2Pp1pp1/8/2P5/4P1P1/5P1P/R4bK1 w - -,c6b7
5rk1/5p2/PR2p1p1/3pPn1p/b1pP1P2/5NP1/5K1P/5B2 b - -,f8a8
8/8/1pk1K3/3p4/pP1Pb3/P3N3/8/8 w - -,e6e5
8/6pp/3k1p2/1p2p3/p7/Pb1KNPPP/8/8 b - -,d6c5
1r4k1/2n1p2p/1r1p1pp1/2pP4/Pn2P1q1/1PN2N1P/5PP1/1R1QR1K1 b - -,g4h5
3r4/1k5p/2p5/8/P4p2/1PP4P/2qpQPP1/3R1K2 b - a3,c2c3
r1br2k1/pp2ppbp/2n2np1/2pN4/2P1P3/5PP1/PP2N2P/R1B1KB1R b KQ -,f6d5
r1b2rk1/1p2qpbp/1Np2np1/p3p3/2P1P3/5NPP/PPQ2PB1/R4RK1 b - -,a8b8
6k1/5p2/6pp/1n1Np3/4PnN1/5P2/r5PP/3R1K2 w - -,d5f4
5k2/1b3p1Q/p5p1/1p4P1/3RPP2/2P1n3/PP1K4/5q2 b - -,e3c4
3r2k1/1p1rppb1/6pp/P7/1P1P4/3bBB2/5PPP/R1R3K1 b - b3,g6g5
rn1qr1k1/ppp2pb1/3pNn1p/1P1N2p1/2P1P3/P4PB1/3QB1PP/1R3RK1 b - -,f7e6
8/3R1k1p/p6p/5p2/4pP1n/2N1b3/Pr2N2P/7K b - -,f7e8
6r1/6P1/2R5/4Bp2/8/2K2k1p/5P2/8 b - -,f3g2
8/1b3q1k/p1p3pp/1pPpQp2/1P1P3P/P4NP1/5P2/6K1 b - -,b7c8
8/8/8/1kp5/1p1pK1p1/1P6/2P3P1/8 w - -,g2g3
2r2q1k/1ppb2b1/r2P2pp/p3PpN1/7P/PB6/1P3QP1/2R1R1K1 w - -,e5e6
r1br2k1/ppq1ppbp/2n3p1/3n4/P7/1B3NNP/1PPBQPP1/R4RK1 w - -,a1b1
3r2k1/p4p1p/2p3q1/8/4PPnp/1PQ2K2/P3N1P1/7R w - -,h1h4
4k3/8/3bBpp1/8/1p2KPP1/1P2P3/8/8 b - -,e8e7
r2q1rk1/pp3ppp/2pbpn2/8/2PP4/5B1P/PP3PP1/R1BQ1RK1 w - -,f1e1
r1b2rk1/pp1n1pbp/1qp2np1/2p1P3/4P3/2N2NPP/PP3PB1/R1BQ1RK1 b - -,f6e8
2brrnk1/pp1n1p1p/2p1q1p1/2P1p3/P1Q1N3/2NP2P1/4PPBP/1R3RK1 w - -,e4d6
2r1r1k1/p3ppbp/1p1p1qp1/nP1Q4/1NP1PP2/1P2B2P/6P1/1R3RK1 w - -,d5d3
r3qrk1/pp4b1/2n5/2pppBP1/Q4n2/2PPR3/PP3P1P/R1B2NK1 b - -,f8f5
r1bq1rk1/pp5p/2n2pp1/3pp3/8/5NP1/PPPQPP1P/R3KB1R w KQ e6,f1g2
