8/2k5/2p5/3p3P/4r1P1/3Q1K2/4B3/q7 b - -,a1f6
rnbq1rk1/1p2bppp/p4n2/2pp4/P2P4/1PN1PN2/4BPPP/R1BQ1RK1 b - -,b8c6
r3k2r/pp1nbppp/1qp1p3/3n3b/1P3B2/P1NP2PP/2P1NPB1/1R1Q1RK1 w kq -,f4d2
rn2k2r/ppp1qppp/3bbn2/3p4/3P3N/1N2B3/PPP1BPPP/R2QK2R b KQkq -,b8d7
2k2b1r/pp1rp1p1/2p3qp/5pB1/NPP2PP1/8/P3Q2P/2R2RK1 w - -,g5h4
rn1qr1k1/p2pbppp/1pb2n2/2p2N2/2p5/2N3P1/PP3PBP/R1BQR1K1 w - -,c1g5
8/8/4p1p1/1k1pPpPp/2pPbP2/r1P5/3K4/2R5 w - -,d2e3
rq3rk1/pp1npp1p/3n2p1/P2Pb3/1Q3B2/2N2B1P/1P3PP1/R3R1K1 b - -,e5f4
1kr4r/1b2Qp2/p2p4/1pq2PB1/4n3/P1N2pRP/1PP5/1K1R4 w - -,g5f4
r2q1rk1/ppp2ppp/2nbpn2/3pN3/Q2P2b1/2P3B1/PP1NPPPP/R3KB1R b KQ -,c6e7
6k1/4pp1p/3p2p1/qrrP4/1p1R3P/1Q3P2/PPP3P1/1K1R4 w - -,b3d3
r1b1qrk1/1p1nbpp1/p1p2n1p/3p4/3P3B/P1N1PN2/1PQ2PPP/3RKB1R w K -,f1d3
1r4k1/1rq3p1/p3p1b1/4P3/P2R4/2P1Q1BP/5P1K/R7 w - -,a1d1
r5k1/1p3ppp/1qp1rn2/p7/8/2R1P1P1/PPQ2PBP/3R2K1 b - -,g7g6
r2qr2k/pppb1pbp/1nnp2p1/8/4PPP1/P1NQ3P/1PP1N1B1/R1B2RK1 b - -,d8e7
8/3K2r1/p2R4/8/kP6/P1P5/8/8 w - -,d7c8
r5k1/6p1/8/4p3/1p1qP3/1P1NK2p/2P1Q2P/5R2 w - -,e3f3
4R3/3r3p/1P6/K7/P2r3P/4p3/3k4/R7 w - -,a1a2
1q1r2k1/nrp1npbp/4p1p1/3p4/NNRPP3/1P3QP1/P2B1PKP/5R2 w - -,e4d5
b1r2rk1/4bppp/p2ppn2/N1n5/1q2P3/2N1BP2/3QB1PP/RR4K1 b - -,c5e4
2r3k1/1p3pp1/4p2p/p7/1N2bP2/7P/PP4P1/3R2K1 w - -,d1d4
rr2q1k1/2p2n1p/2Pp1n2/3Pp1p1/4Pp2/5P2/1B2QNPP/R4RK1 w - g6,b2c3
8/b1r3pk/3q2bp/4N3/P2P1R2/2n1P2P/1Q4P1/6K1 w - -,a4a5
8/4b3/4P3/pk3np1/3p3p/1P1P3P/3N2B1/6K1 b - -,f5e3
4r1k1/3b2p1/1pp2np1/p2p4/3P1pP1/2P2P2/PP1N1K1P/3RN3 w - -,e1d3
r3r1k1/1pqn1pp1/2p1pn1p/pP1p4/2PP4/3bP3/PQ1NBPPP/R1R3K1 w - -,e2d3
4k1r1/2p4p/1q2pbpB/pPn5/2P1B1Q1/5P2/6PP/3R3K w - -,e4c6
2r2rk1/1b1qppbp/1p1p2p1/pNn1n3/P1PNP3/R3BP2/1P1QB1PP/5R1K b - -,f8d8
3b1rk1/1b3pp1/6q1/1Pp4p/3pPP2/1Q1B2P1/7P/4RNK1 b - -,b7c8
r3n1k1/r1q1b3/3p3p/p1pPp1p1/R1N5/2PQ3P/1P4P1/R5BK w - -,d3g6
6k1/7p/6p1/1r1p4/5r2/1PR5/2K3PP/3R4 w - -,g2g3
1rbq1rk1/3nppbp/p4np1/1p1P4/Q2P1B2/2N2B2/PP2NPPP/R3K2R w KQ b6,a4b3
r5k1/1p3pbp/p1p1rnp1/2P1p3/4P1P1/2N1BP1P/PP2K3/2RR4 b - -,e6e7
2n3k1/p4p2/2p5/q1P1p1bp/N3P3/1P3PPb/P1N4K/3Q4 w - -,h2h3
8/5p2/Pp3k2/6R1/5P2/r7/5KP1/8 b - -,a3a6
r2b2k1/1q3ppp/2p1p1b1/PrPpP3/3P4/P1QN3P/3N1PP1/R4RK1 b - -,d8a5
r4rk1/3qppb1/1Q1p3p/6p1/N2n4/2PB3P/PP3PP1/4RK1R w - -,c3d4
r2q4/4pkbp/1p3n2/p7/3ppPP1/2P1P3/PP2Q3/R3K2R w KQ -,e3d4
8/2k5/2n1rp2/8/8/1PK2R2/1P6/8 w - -,f3f5
4Q3/4Pk2/3p1npp/3pbp2/8/1N3P2/P1P2P1P/4R1K1 b - -,f6e8
r4rk1/p2q1p1p/1pN2b2/2np2p1/1P2nB2/6P1/P3PPBP/2RQR1K1 w - -,b4c5
4k3/3r4/2P5/1p2B1P1/pP1p3K/P6P/8/8 b - -,d7e7
2q3k1/5pbn/pn4p1/1pp1P1P1/2P1QP2/1PNrB3/P3NK2/4R3 b - -,b5c4
8/5k2/r7/8/8/4R3/4NK2/8 b - -,f7f6
4rr1k/2q3p1/B2bn2p/4p2Q/P2p4/2pP3P/5PP1/R1B1R1K1 b - -,c7e7
5bk1/5p1p/6p1/p1q5/8/5NPP/Q4P1K/8 w - -,h3h4
r4r1k/pp5p/1np2p2/3p4/3P2N1/1P2P2R/P3KP1P/1R6 w - -,b1g1
r2q1rk1/1p1nbppp/p2pbn2/4p1B1/4P3/1NN2P2/PPPQB1PP/R3K2R w KQ -,h2h4
r4rk1/pbpnqppp/1p1pp3/6N1/2PP4/2RQ2P1/PP2PPBP/2R3K1 b - -,e7g5
r3r1k1/pp2bpp1/1qp1pn1p/4N3/2PP1B2/P2R4/1P2QPPP/4R1K1 b - -,a8d8
r2q1rk1/pp1n1p1p/6p1/2pPbR2/4P3/2N4Q/PP2N1PP/3R2K1 w - -,f5f3
r2qk2r/1b2npb1/pp1ppnpp/2p5/2PPP3/N2BBP2/PP1QN1PP/4RRK1 b kq -,d8c7
8/4k1p1/4B1pp/1p2K3/p4PPP/P1n5/4R3/8 b - -,c3e2
r1br2k1/p3pnbp/1p2p1p1/2p5/P3N3/2P4P/1P2BPP1/R1B1R1K1 w - -,e4g5
rnb1k2r/pp2nppp/4p3/q1b1P3/3p4/B2B1N2/P1PP1PPP/RN1QK2R w KQkq -,a3c5
r2qk2r/pp1n1ppp/2pb1n2/3p4/4P1b1/2NP1NP1/PP3PBP/R1BQ1RK1 w kq -,e4d5
7k/p2n1p1p/1p2p1pP/3pP3/1P1P4/bRrNB1P1/P4P2/6K1 b - -,c3b3
1r3rk1/2qbppbp/p2p1np1/n1pP4/2P1P3/2N3P1/PBQN1PBP/1R3RK1 b - e3,b8b4
r2qkbnr/pp1n1ppp/2p1p3/3p1b2/2P5/1P2PN2/PB1PBPPP/RN1QK2R b KQkq -,h7h6
6k1/1q3rpp/4p1b1/4B3/2r2P2/2R4P/5QPK/2R5 w - -,f2a2
r4rk1/pppq1pbp/2nppnp1/8/2PPP3/1PN2NP1/PB3PKP/R2Q1R2 w - -,d1e2
3Q4/8/5p1q/3P1P2/6k1/8/6K1/8 b - -,h6d2
r1b1k2r/pp2ppb1/1qn4p/2p5/2P3pN/2N1P1P1/PPQ2PP1/2R1KB1R w Kkq -,f1e2
2r2rk1/pb3p2/1pnbp1pp/2P5/1P4Pq/7P/3BPPB1/1R1Q1RK1 w - -,c5d6
5rk1/p5bp/1p6/2p1rp2/2P5/4B1P1/P4P1P/2R1R1K1 b - -,f8d8
rn2k2r/ppp1qpbp/8/4Pbp1/3Qp3/4P1B1/PPP2PPP/R3KBNR w KQkq -,h2h4
2r1kbnr/pp1b1ppp/1q2p3/3pP3/1PnP4/P4N2/1B1N1PPP/R2QKB1R w KQk -,d2c4
8/5p2/8/3pk2P/p6r/P2B1K2/1N6/8 w - -,f3e3
r3q1k1/p3rp2/Q1p1pb1p/P3N1p1/3P4/6P1/1P3P1P/2RR2K1 b - -,f6e5
8/3n1p1k/8/6Pp/4PP2/P5B1/1P4K1/8 b - -,h7g6
1b1rr1k1/1p1b1ppp/p4n1q/3p4/1P1N1P2/P2QPB2/6PP/B3RRK1 b - -,f6e4
1rb3kr/p4pb1/6pp/q1P1p3/1p3B2/3P2P1/PP2Q1BP/1K1R3R w - -,f4e5
8/p7/1p3k2/2p1p1pp/2P1P3/PP1NbPPP/6K1/8 b - -,f6e6
2b2rk1/p4Bp1/7p/2p1Bq2/2P4P/1P2Q3/4R1P1/6K1 b - -,f8f7
8/5pk1/5R2/4PP1p/8/5PK1/8/7r b - -,h5h4
6k1/2p3p1/p4p1p/b1pP1b2/3r4/BP4NP/P4PP1/2R3K1 b - -,f5g6
4r1k1/pp3ppp/5qr1/2Pp4/1P2n3/P3PB2/2Q2PPP/2R2R1K w - -,b4b5
5k2/8/2B5/3pBp2/3P3P/1b2PP2/3n1K2/8 w - -,f2e2
3r1rk1/1b2nppp/pb2q3/1p2pN2/1Pp1P1P1/2P2QP1/P1B2P2/R1B1R1K1 w - -,a2a4
5rk1/2q2p1p/p2pp1p1/2n5/2PRPN2/1r5P/1P2QPP1/1R4K1 b - -,f8b8
r3r1k1/2q1ppbp/6p1/p1N5/8/2P1QP1P/PP3P2/3RR1K1 b - -,a8c8
5bk1/1p3pp1/p5b1/7p/1P6/PN2BPP1/6KP/8 b - -,g6f5
1r6/Qp5p/3p2pk/pP2nrq1/2P2R2/2NP2P1/7P/3R3K w - -,f4h4
3n4/n2b1p2/2p1k1p1/N1Pp3p/BN1Pp2P/4P3/4KPP1/8 b - -,e6e7
5k2/5p2/3p3p/3P2q1/2P2R2/3p4/5QPK/4r3 b - -,g5e5
3r1b2/pp1r1kp1/2pB4/2P1Rp2/3P2p1/6P1/1P3P1P/4R1K1 b - -,g7g6
2r2rk1/pp1qbppp/3np3/3p4/3PBB2/2N1P3/PP2QPPP/R1R3K1 b - -,d6e4
1r3r2/2qb1pbk/4pnp1/1N2p2p/2P1P2P/5PP1/3QN1BK/R1R5 b - -,c7c5
r3kbr1/1p2pp2/p1bp1p1p/q7/3QP3/2N2NP1/PPP2P1P/1K1R3R w q -,d4e3
r3k2r/pp3ppp/2nqpn2/3p3b/3P4/5N1P/PPP1BPP1/RN1Q1RK1 w kq -,c2c3
5r2/1qn3bk/3p3p/BPpPnp2/2B1p1P1/1Q5P/R4P1N/6K1 w - -,a5c7
7r/1kpb4/1p1n1qp1/p1pPppp1/P1P1P2r/1PN2P1P/2BQ2P1/1K2R2R w - -,h1f1
3r1r1k/pppq2p1/2n1b2p/2Pp1p2/1P1P1PPb/4BB1P/P3N1Q1/1R3RK1 w - -,g1h2
r3k2r/pp1nQppp/2p2n2/8/1bPB4/7P/P2P1PP1/RN2KB1R b KQkq -,b4e7
rnbqkbnr/p1pp1ppp/1p2p3/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq d3,c8b7
rn1qkb1r/pbp2ppp/3ppn2/8/1pPP4/1P3NP1/P3PPBP/RNBQ1RK1 b kq d3,b8d7
8/p2kB2p/1b1PpKp1/3r4/P1p5/2P5/6PP/1R6 w - -,b1b4
r3kb1r/p2n1ppp/3Pp1n1/qpp1P3/2p5/5N2/PP1NQPPP/R1B2RK1 w kq b6,a2a4
8/2p2pk1/3p4/2bq4/6p1/2R3PP/4RP1K/8 w - -,h3g4
r1brn1k1/1p1pnppp/4p3/2P5/1p6/1N4P1/PP2PPBP/RN3RK1 w - -,f1d1
r1b3k1/pp1r1pbp/2np1np1/qN1Np3/2P1PP2/P3B3/1P2B1PP/R2Q1RK1 b - -,f6d5
3n4/1p2p1k1/5p2/2RB1P2/2P5/r3NK1n/4P3/8 b - -,h3g5
3r2k1/1pqn1pp1/2pb3p/p3pP2/P1Q1N2P/4B1P1/1PP2P2/R5K1 b - -,d6e7
8/1p2k3/8/p7/Pr1N1R2/1b1B4/5K1P/8 w - -,f4e4
2r1r1k1/1p1n1Rpp/p7/4B3/4p2q/3P3P/PP4P1/5R1K w - -,f7g7
rnb1nrk1/4qppp/1p6/pPp5/P1P1N3/2Q1P3/1B2BPPP/R3K2R b KQ -,c8b7
5k2/5p1B/1p1r1P2/P2b4/1P1p4/8/1P1K4/7R w - -,h7e4
4r1k1/pb5p/1p4p1/2qN4/5PP1/2N4P/PPP4K/3R2R1 b - -,b7d5
3r1nk1/1pq2p2/pNp1bbp1/2P1p2p/PP2P3/4B1PP/2Q2P2/1R3BK1 b - -,h5h4
8/1k2bpr1/1p2b2r/p2p1p2/3P1P1p/1P1N2P1/1P1N1K1P/2R3R1 w - -,d2f3
2r3k1/3np2p/4p1pb/pp3r2/3P4/2P2PBP/PPN1KP2/3R3R b - -,b5b4
2r4r/1p3kp1/p6p/3b1P2/P2bp1PP/3B2B1/3K4/5R2 w - -,d3e2
r2qk2r/4bpp1/p1b2n1p/3Pp3/1p4PP/4BP2/PPPQN3/1K1R1B1R b kq -,d8d5
r7/1p6/2p3p1/2P2p2/PK2kP1P/1P6/8/6R1 b - -,e4f4
1K6/3R4/6p1/7p/7P/4k1P1/4p3/8 w - -,d7e7
8/8/7p/p7/8/K7/3q4/4k2Q b - -,e1e2
r1bqkn1r/pp2bppp/2p2n2/3p2B1/3P4/2NBP3/PPQ1NPPP/R3K2R b KQkq -,f8e6:c8g4:h7h6
1r1qr1k1/p4ppp/2pbbn2/3p4/5B2/PPNB1Q1P/2P2PP1/R3R1K1 w - -,c3e2
4rrk1/pp4pp/2pPq3/2P1bp2/1P2n3/P5P1/1B4BP/R2Q1RK1 w - -,b2e5
r1bq1rk1/p2nppbp/2pp1npB/1p6/3PP3/P1N2N2/1PPQ1PPP/R3KB1R w KQ -,h2h4
6kr/5p1p/2rp1PpP/4p3/p1b1P3/P1R2P2/2P1N3/2K4R w - -,h1d1
3r1rk1/ppp1qp2/2nn3p/3Q2p1/3Pp3/P1N1P1P1/1P3PBP/2R1R1K1 b - -,f8e8
r4R2/1bqn2k1/p2n2pp/2pPp3/2P1N3/3N2PP/P2Q2B1/5RK1 b - -,a8f8
r1b2rk1/pp2bppp/1qp1p3/8/8/P1NBP3/1PPQ1PPP/1R2K2R b K -,e6e5
2r3k1/1br2pp1/1p1bpq1p/pP1p4/P1nP4/2RBPNP1/N4P1P/2RQ2K1 b - -,c4b2
3r1bnr/5p1p/4k3/2p1P1p1/3p4/4P3/PB1P1PBP/1R3RK1 w - -,f1e1
r2q1rk1/1b1n1pbp/pp1p1np1/4p3/2P1PP2/1P1B4/PB1NN1PP/R2Q1RK1 w - -,f4e5
r1bq1rk1/p1p2ppp/2p2n2/2bpN3/3PP3/2P5/PP3PPP/RNBQK2R b KQ -,c5d6:f6e4
2r3k1/pp1n1pbp/6p1/P3p3/3PP3/5N2/3BKPPP/1R6 b - -,e5d4
4r1k1/1pq2rPp/p1p2Bn1/8/8/2R4P/PP3QP1/5RK1 b - -,c7d6
2r2rk1/3bq1pp/2Np1b2/1p1P1p2/1P2pP2/P3B3/3Q1RPP/2R3K1 b - -,e7f7
r2qkb1r/3bpppp/3p1n2/1p6/3QP3/2N2N2/PP3PPP/R1B1K2R w KQkq -,c1g5
5rk1/1q3p2/p1p1p1p1/4Pn1p/2R5/1P3R1P/3Q2P1/7K b - -,b7c7
2rq1rk1/p2nbppp/5n2/2p2BB1/3P4/2N2P2/PPQ2P1P/R2R2K1 b - -,g7g6
r3k1nr/p1p2ppp/1pn2q2/3p4/3P2b1/P1PB4/2P1NPPP/1RBQK2R w Kkq -,h2h3
4Qrk1/1p1n2pp/2p5/p1P2b2/3R1P2/PqN4P/1P2B1P1/7K w - -,e2c4
2rr2k1/ppqbppbp/2n1p1p1/2P5/1P6/2N1P1P1/P2BQPBP/1R3RK1 w - -,f1d1
8/6pp/8/k2nN2P/Pp1K4/1P3P2/6P1/8 b - -,d5f4
8/8/3p4/pppPk3/2Pn2B1/3K4/PP6/8 w - -,c4b5
2k3r1/pp1r1p1p/1np1pB2/5p2/P1PP4/1P4P1/5PKP/2RR4 b - a3,g8g6
7k/R6p/5p2/6P1/2B5/5bBK/5Pr1/4r3 w - -,a7a8
rnbq1rk1/p3ppbp/2p2np1/1p6/2BP1B2/2N2N2/PPP2PPP/R2QR1K1 w - b6,c4b3
r1b1k2r/1pp1bpp1/2p5/3nP1Np/p3N1P1/PP3P1P/1BP5/R3R1K1 b - -,c8e6
2r2rk1/pp3pbp/6p1/3p4/4q3/4P1PP/PB1R1P2/1R2Q1K1 w - -,b2g7
r2r2k1/1p3ppp/p1b1p3/q3n3/3RB3/2N1Q3/PPP2PPP/2KR4 b - -,c6e4
6k1/5p2/2p1q3/3b2p1/3Pp2p/4P2P/2Q2PP1/1N4K1 w - g6,b1c3
5k2/1p3p2/p2p2p1/P2P3p/1PP2P1P/2Q3P1/q7/3K4 w - -,d1c1:d1e1
2b1q1r1/1p2n1k1/p2r1nPp/3p1p1B/3PpN2/4P1PQ/PP2NP2/R1R3K1 b - -,d6c6
2rr2k1/1p2qp1p/p1bp1pp1/8/3QP3/1P3PP1/P1P3BP/3R1RK1 w - -,c2c4
3Brnk1/1p2p1bp/p1np2p1/4p3/2P4P/5NPB/PP2PP2/2RR2K1 b - -,e8d8
2r1r1k1/4qpp1/5n2/3p2p1/1p1R4/4PPP1/1P3QBP/3R2K1 w - -,e3e4
7k/5pR1/5P1p/2p5/2npbK2/1P5P/8/5B2 b - -,c4d2
b4r2/3qnknp/3b1pp1/3p4/rNpP1P2/P1P2NP1/4R1BP/1RB1Q1K1 w - -,b4c2
1rb1kn2/2qnbp1r/p3p1pp/1p2P3/3N3P/2NB1QB1/PPP3P1/2KR1R2 w - -,h4h5
1r1q1r2/2pb1pkp/p4np1/2p1p3/8/1PN3N1/P1PQ1PPP/4RRK1 w - -,e1e5
1rb1r1k1/1pqn1pbp/p2p1np1/2pP4/P3P3/2NBB1NP/1P3PP1/R2QR1K1 b - -,c5c4
r4rk1/ppq2ppp/2n2n2/2p1p2b/3P2P1/P1P1PN1P/BB3P2/R2Q1RK1 b - g3,f6g4
5R2/1Rn2pp1/1Bk2rp1/p2p4/P1rP4/5P2/6PP/6K1 w - -,b7c7
5r2/2p3kp/3p1pp1/r7/2P1PP2/8/2PR2PP/4R1K1 b - -,a5c5
1r3rk1/3p2bp/p1n1N1p1/2p5/2q1p3/P5P1/1P2PPBP/R1BQ1RK1 b - -,c4e6
r3k2r/1pq1bppp/p1bppn2/6B1/3RPP2/2N1Q3/PPP1B1PP/2K4R w kq -,e2f3
1r3k2/6p1/3b1pp1/p6P/2BB1PP1/3P1K2/8/8 b - -,g6h5
5r2/2p2kp1/1pRb3p/p3p3/P7/2BP1P2/1P2P1KP/8 b - a3,f7e6
8/4K1pk/1R6/5r1p/8/8/8/8 w - -,b6b4
2r1qrk1/pnn1bpp1/1p2p2p/4P2N/2p3NP/1P4P1/P1Q2P2/R1BR2K1 w - -,c2e2
4b3/1p4k1/p3qpp1/3p3p/3B1Q1P/P1P5/1P3PP1/6K1 b - -,e6e7
r2qkb1r/pb3ppp/1pnppn2/8/2PNP3/1P6/PB2BPPP/RN1QK2R w KQkq -,b1c3
r2qkb1r/pp1b1ppp/2n1p3/2pp1n2/5P2/1P2PN2/PBPPB1PP/RN1Q1RK1 w kq -,f3e5
rnbq1rk1/1pp1b1pp/p3p3/1PPp1p2/3Pn3/P2BPN2/2QN1PPP/R1B1K2R w KQ -,b5a6
1r3rk1/N1pqbbpp/2n5/5p2/QpPPp3/4P1P1/1P2B1NP/R4RK1 b - -,f7e8
2r3k1/1p3pb1/3pq2p/1P4p1/3P4/3Q2N1/1P3PPP/R5K1 w - -,g3f5
5k2/2pp1p1p/1p2pp2/1Pn5/2P5/2qPP3/2B1QPPP/6K1 b - -,e6e5
rn1qkb1r/ppp1pp1p/3p2p1/5b2/2PPN3/5NP1/PP2PP1P/R1BQKB1R b KQkq -,f5e4
r2q1rk1/2p3pp/p1pp4/8/4PNbb/8/PPPQN1PP/2K2R1R b - -,h4g5
2r3k1/5p2/3p1q2/6p1/pP2PnPp/2r1BPbP/P2Q4/2RR1B1K b - -,f4e6
5k2/5p2/p1r4p/2N1R3/1pK1P3/6n1/PP6/8 w - -,c4b4
rr6/4kp1p/n3bpp1/p2p4/1p1N4/1P1PP3/P3BPPP/2R1K2R b K -,b8c8
r2q1rk1/ppbn2pp/2p5/2P2p2/3Pp3/P2NQ2P/1P1B1PP1/R4RK1 w - -,d3e1
r5k1/p2q2pp/4b1r1/4B3/4p3/6Q1/PP3PPP/R4RK1 w - -,g3e3
r1bq1rk1/pp3ppp/2p2n2/3P4/1b6/1P1BPN2/P1Q2PPP/1RB1K2R w K -,c1d2
8/5pk1/7p/3r2P1/8/1R3KP1/8/8 b - -,h6g5
8/6pk/3B1p2/P4P2/4p2p/2QbPq2/4NK2/8 w - -,f2g1
r3k1r1/2bnqp1p/p1b1p3/1pp5/4N3/1P3NP1/PBPPQ2P/R3K2R w KQq -,e1c1
r2bk1nr/pp1q1p2/2b1p1p1/3pP1Pp/PP1P1P2/2N2N1P/3B4/R2Q1RK1 b kq -,b7b6
r2qbrk1/4bppp/p3pn2/1p1pN3/2nP1P2/2NBP3/PP2Q1PP/2RRB1K1 b - f3,c4e5
2b1r1k1/R6p/2N1p1p1/6P1/5P1P/4K3/8/8 w - -,c6e5
4r1k1/r2nqpp1/p1p2n2/2Pp4/P2Pp2p/2N1P1PP/2Q2PB1/1R3RK1 w - -,b1b3
1r2r1k1/3n1ppp/p2p1n2/1pqP4/2PR4/1P3NP1/P1Q2PBP/2R3K1 b - -,d7e5
8/5pk1/6p1/4Q2p/5P1q/8/6K1/8 b - -,h4f6
r3kb1r/5p1p/p1pq2b1/2ppp3/6N1/4P1N1/PPP3PP/R2Q1RK1 w kq -,f1f6
2r3k1/q4ppp/2pBp3/1PPn4/5P2/3Q2P1/6KP/1R6 b - -,a7a2
1r2r3/2p1qpkp/p1n1b1p1/2Pp1p2/1p1P4/4P1PP/PP1Q1PB1/2RRN1K1 w - -,e1d3
2rqk2r/1p1bppbp/n1pp1np1/p2P4/P1P1P3/2N1BP2/1P1QN1PP/R3KB1R w KQk -,g2g4
8/4kp2/4p3/p4p1p/P7/1Pr3PP/2PR2K1/8 w - -,g2h2
r1b1kbnr/pp1n1ppp/2p5/6B1/3qN3/2P2N2/PP3PPP/R3KB1R w KQkq -,f3d4
