8/1pR2pk1/1P5p/6r1/1R6/8/7K/5r2 b - -,f1f5
r1bq1rk1/ppp1bpp1/2np1n1p/P3p3/2B1P3/1QPP1N2/1P3PPP/RNB2RK1 w - -,f3h4
1k1r2r1/pp2qp1p/2p2np1/3pbP2/2P5/1P2PB1P/PBQ2P2/R2R1K2 w - -,c4d5
5k2/1p1R4/p4pp1/1r5p/5P2/1P2K1P1/P6P/8 b - -,b5b4
8/5p1k/p4Qp1/P2bP3/7P/2q3P1/5P2/5BK1 b - h3,c3a5
3rk2r/1bq2ppp/p3p3/1pbpP3/3B1P2/P1P5/1P2B1PP/R1Q1K2R b KQk -,d8c8
2rq1rk1/4bppp/p4n2/np1pP3/5Bb1/2N3P1/PPQ1NPBP/3R1RK1 b - -,f6d7
3r3r/pb3P2/2p4p/1pk3p1/2p2P2/8/PQ4PP/5RK1 b - f3,c5b6
1rbqr1k1/1p1n1pb1/p2p1npp/2pP4/P3PP2/2N5/1P1NB1PP/R1BQR1K1 w - -,a4a5
1k6/7p/1p1p2p1/4p3/2q4P/p1PR2P1/3R1P2/1K6 b - -,b8c7
2r1n1k1/5rpp/2ppb3/4p3/2P5/R3N1P1/4PPBP/1R4K1 b - -,f7c7
8/7k/1p3bp1/4p2p/1P2Pp2/P4QPK/3qB2P/8 b - -,h7g7
r1bqk1nr/pp1pppbp/2n3p1/4P3/Q7/2N2N2/PPP2PPP/R1B1KB1R w KQkq -,c1f4
r2r2k1/pp1nqppp/4p1b1/3nP3/2N3Q1/PP3N1P/4BPP1/2R1R1K1 w - -,f3d4
8/8/8/4pR2/2k5/7P/4KPP1/6r1 b - -,g1g2
2R5/8/8/4nP2/4r3/2bk2P1/5KP1/8 w - -,c8d8
8/8/8/5pk1/2R4p/5P2/2P2KP1/2r5 w - -,g2g4
6k1/1R6/p7/6B1/1P3pPn/3K4/7r/8 w - -,g5f4
r3k1nr/ppqn1pp1/2p1p2p/7P/3PNb2/3Q1N2/PPPB1PP1/2KR3R w kq -,c1b1
rnb1kbnr/ppp1pppp/8/8/1q6/2N5/P1PP1PPP/1RBQKBNR b Kkq -,b4d6
6k1/2R4p/8/5K2/1p3P2/2bN3P/r1P5/8 b - f3,a2c2
rnb1k2r/pp2bppp/1qp1p3/8/3PP1n1/2NQBN2/PPP3PP/2KR1B1R b kq -,g4e3
rnb2rk1/1pp1ppbp/p2q1np1/8/3P4/2NB1N1P/PPP2PP1/R1BQ1RK1 w - -,f1e1
r3r1k1/pb3ppp/1p2pn2/1q1nN3/3P4/3N2P1/1P2PPBP/R2Q1RK1 w - -,d1d2
r2q1rk1/pp2ppbp/3p2p1/2p1n3/2PnPP2/P1NP2PP/1P4K1/1RBQ1RN1 b - f3,e5c6
2q1r1k1/3n1pb1/p5p1/Pp1N3p/3P4/1Q6/1P3PPP/3RB1K1 b - -,g7d4
Rn1r4/1P2kpp1/8/7p/2K5/7P/6P1/8 w - -,c4c5
r2qr1k1/p2b1pp1/1p5p/3P4/8/2N5/PP1RBPnP/3Q1K1R w - -,h1g1
r2q1rk1/3n1pbp/p2np1p1/1p4P1/PP1Pp2P/1Q2P3/1B1NBP2/R3K2R w KQ b6,a4a5
2b1r1nk/2q1rp2/p5pp/1p1pP3/3N1Q2/1PP3N1/1P2R1PP/4R2K w - -,d4f3
rnbq1rk1/5pbp/p2p1np1/1ppP4/4P3/2NB1N1P/PP3PP1/R1BQ1RK1 w - -,c1f4:c1g5
r4rk1/pp1nppbp/2p2np1/3b3q/P1NP3P/1P3NP1/1B2PPB1/R2QR1K1 b - a3,a8d8
rn2k2r/pp2pp1p/5qpn/3P1b2/8/2Q1BN2/PP3PPP/R3KB1R w KQkq -,f1b5
r1bqkbnr/1p3ppp/p1p1p3/8/4P3/3B4/PPPN1PPP/R1BQK2R b KQkq -,e6e5:d8c7
5r2/8/4R3/8/4K3/5p2/5k2/8 b - -,f2f1
r1b2rk1/1pqnbp2/p2ppnp1/2P4p/N3PP2/1N2BB2/PP2Q1PP/2R2R1K b - -,d6d5
1R6/P1n5/4p1p1/3p1p1p/3P1k2/7P/6P1/6K1 w - -,b8c8
6k1/4b1rb/1p2P3/1qp2p2/3p1N2/5B1R/8/2B1Q2K b - -,c5c4
r1bq1rk1/1p2bp1p/p1p1pnp1/4N1B1/P1PP4/3B3Q/5PPP/1R3RK1 w - -,h3h4
7r/2k2p2/p1q1bP2/1p2p2N/1pPpP3/1P1PbB2/P3Q1RP/7K w - -,c4b5
r4rk1/1R2Rnbp/1p4p1/1n1p1pP1/2qP1B2/1Q3N1P/PP3P2/6K1 w - -,b3e3
2r5/4kp1p/1p2pn2/3p2p1/3P4/1Br1PP2/P4KPP/1R1R4 w - g6,d1d2
8/6k1/6p1/5p2/p2q3p/7P/KR1R2P1/8 b - -,d4f4
r4knQ/1pq3p1/2p2P2/p1p1rb2/4N3/P1P5/4P1BP/3R1RK1 b - -,f5e4
r4rk1/1bq1ppbp/ppn3p1/8/P1N5/2P1BN1P/1P2QPP1/R4RK1 b - -,b6b5
3k4/2R5/1P6/3K2Pp/8/8/6r1/8 w - -,c7g7
6k1/2N2ppp/8/4p3/3r4/b2p2P1/2qQ1P1P/4R1K1 w - -,d2a5
6k1/6p1/8/5R1p/1P3P2/5KP1/1r6/8 w - -,b4b5
br1r1bk1/p1q5/2n3pp/3n1p2/Q1N1p3/1NP5/PP3PPP/R1B1RBK1 w - -,g2g3
6k1/5qb1/1p6/p1pPr3/P1P3QP/1P6/6RK/8 w - -,d5d6
r3kb1r/5p1p/pqbppp2/1p3P2/4P3/2N5/PPPQ2PP/1K1R1B1R b kq -,b5b4:h7h5
8/3R1pk1/2Bp4/2bP2Pp/5B2/6P1/4r3/7K b - -,g7g6
6qk/6bp/2p3p1/2p1Q2n/2P5/4P1PN/4P2P/1R4K1 w - -,e5c7
r1nq1rk1/pp2ppbp/6p1/3P4/8/1BN2Q1P/PP3PP1/3R1RK1 w - -,d5d6
r1br2k1/1pq1bppp/p1nppn2/8/P2NPP2/2N1BB2/1PP3PP/R2Q1R1K b - -,c6e5
5r2/3k2np/1p1p2p1/p5R1/2P1KP1P/2N5/PP6/8 w - -,g5b5
r5k1/3nppbp/3p2p1/1qpP4/1B2P3/1P3N1P/4RPPK/2RQ4 b - -,b5b4
3rkb1r/1b3pp1/pqn1p3/1pp1Pn1p/P4P2/2PP1NP1/3BN1BP/R2Q1RK1 w k -,a4b5
4r1k1/p4pp1/1ppb3p/3p4/PP1B1P2/2PR2P1/2P1R1P1/6K1 b - -,e8e2
8/p5k1/1p4r1/2p1p2r/4RpP1/P1PP1P2/5K2/8 w - -,g4h5
1rr3k1/1Nq2pp1/p1P1bn1p/1pQp4/1P2p2P/P5P1/2R1PPBK/2R5 w - -,g2h3
1rb1r1k1/2q2pb1/pp1p1np1/2pPn2p/P3P3/2N1BP2/1P1QBNPP/R4RK1 w - -,f1c1
2q4r/1p2k2p/p4p2/4pP2/P7/1PP2QP1/6P1/3R3K b - -,e7f7
2b5/2b2k1p/1p4p1/2pP1p2/2P3P1/r6P/2R2K2/1R3B2 w - -,f1g2
r1b1k2r/p3p2P/1qp2b2/3pp2Q/8/2N5/PPP3PP/R3KB1R b KQkq -,e8d8
r6r/1p1k1ppp/p1nbp3/1B1p4/3P4/1PB1P3/1P3PPP/R4RK1 w - -,b5d3
1r1r4/1bn3kp/1q1p1Qp1/2p5/1p2N3/7P/1PP2PP1/R3R1K1 b - -,g7g8
8/5nk1/5n2/6p1/8/4K1P1/1BB5/8 w - -,e3f3
1rr3k1/1pQ1bp1p/p2p2p1/3B4/2n5/B1P2NPb/P2RP2P/1R4K1 b - -,c8c7
1r2nrk1/pp1bppbp/2np2p1/q1p2P2/P3P3/2NPB1PP/1PP1N1B1/R2Q1RK1 b - -,c6d4
r1r5/3k2p1/1pp1p1p1/p2n1p2/3P1P2/1P2P1PP/1PR1K1B1/R7 b - -,c8c7
2r1r1k1/1ppn1ppp/3p1qn1/3P4/1P2P3/1BR3N1/3Q1PPP/5RK1 b - -,g6h4
2rq1rk1/4bppp/1nB5/p7/PppP4/6P1/1PQB1P1P/R2R2K1 w - -,c2e4
8/8/6k1/pp1n1pp1/3B4/6PP/4K3/8 w - -,e2d3
1b1r2k1/5p1p/N1b3p1/1p6/2n2P2/1N5P/1P2R1PK/2B5 b - -,b8a7
1bR1Q3/3q2p1/6k1/1N2pp1p/P5rP/1P2P1P1/5P2/6K1 b - -,d7e8
8/7k/7P/6K1/8/8/8/8 w - -,g5h5
3rk3/R4p1p/1rPp2p1/1p1B1n2/2p5/2P3P1/1P1K1P1P/R7 b - -,f5e7
r1bq1rk1/pp2npbp/3pp1p1/n1pP4/2P5/2NQPNP1/PP3PBP/R1B2RK1 b - -,d8d7
3r2k1/1p1r2bp/p2ppnp1/2p1n1B1/1qP5/2N1P2P/PPQ1BPP1/R2R2K1 b - -,d8e8
3r2k1/1br1bppp/ppp1p3/4B3/2P2P2/1P1R4/P3PPBP/5RK1 b - -,c7d7
7r/p4pk1/1p2p3/2p2bp1/2Pq4/1P2R1P1/P2rPQ1P/5RKB w - -,h1e4
8/5R2/8/8/5p1K/5k2/8/6r1 b - -,g1g8
2r3k1/pq6/4n1p1/1p2Pp1p/3p1P1P/1P1N2P1/P2Q1K2/3R4 w - -,d1c1
2rq1rk1/1b2bpp1/p2p1n1p/1p2p3/4P3/P1NQ1N2/1PP2PPP/3RRBK1 w - -,f3d2
8/5k2/1p3p2/p7/2r5/4K3/PP4PP/4R3 w - -,e3d3
7R/6r1/8/1n6/2k5/K7/8/8 w - -,a3b2
1r2k2r/1b2bpp1/1q2pn1p/1p6/2pP4/2N2NP1/1PQ1PPBP/R2R2K1 w k -,e2e4
r5k1/ppqbrppp/4p3/3n4/3N4/2PB1Q2/PP3PPP/R3R1K1 w - -,a1d1
r3r1k1/1p1b1ppp/1bpp3q/p3n3/2P5/PPQ1PN1P/1B2BPP1/3R1RK1 b - -,b6c7
rnb1k2r/p1qpppbp/6p1/1p2P3/5Bn1/2P1NN2/PP3PPP/R2QKB1R b KQkq -,g4e5
r6r/pp1bkp1p/2n1pp2/2q5/1b5Q/2N1PN2/PP2BPPP/2R1K2R b K -,b4c3
