3R4/4r3/3k4/5B2/4PK2/r4P2/8/8 b - -,d6c5
1n3r2/p3n1k1/2q2pr1/1p2pB2/2p1P3/P1P2QPN/1P1R2K1/4R3 b - -,e7f5
r2q1rk1/pp2bppb/2n1pn1p/2pp4/5P1N/1P1PP1P1/PBPNB2P/R2Q1RK1 b - -,c5c4
r1bq1rk1/ppp1n1pp/4pn2/5pB1/2BP4/P1N2Q2/1PP3PP/2KR3R b - -,c7c6
5rk1/p3b1pp/6n1/1Pp1r3/3p4/2N2P2/PP1BP2P/2KR3R w - -,c3e4
5rk1/3R4/1p6/pP3r2/P4N1p/1P3Kn1/6R1/8 w - -,d7d4
7r/1p1q1pk1/p2b2p1/3PpnP1/P7/4BQ2/1PB2P2/3R2K1 w - -,c2f5
2q2rk1/bbr2ppp/8/1p1pQP2/8/1P1N2P1/PB4BP/R3RK2 b - -,d5d4
rnbqk2r/ppp2p2/4p1pp/3pP3/3Pn1Q1/2P5/P1PB1PPP/R3KBNR w KQkq -,f1d3
r2q1rk1/p1n2ppp/1p6/2bpP3/QP6/P4N2/3B1PPP/2R2RK1 b - b3,b6b5
r2q1r2/pppb2bk/2n2n1p/4pp2/2P5/2NPB1PP/PP1QN1B1/4RRK1 w - -,d3d4
1k1r3r/pp1b1pnp/5qp1/3pN1P1/2pP4/Q2BP2P/PP3P2/1KR4R b - -,f6e6
r7/p1p3pr/1pn2p2/3pPk1p/3P1P2/P1P1B3/2P1KPRP/R7 b - -,c6d8
2r1r1k1/1q3p1p/1n1b2p1/pp1n4/4P3/P1p4P/1BQNNPP1/2RR2K1 w - -,e4d5
rn2r1k1/1p2q2p/p2p2pb/2pP1b1n/P3N3/3QP2P/1P1NB1PB/R4RK1 w - -,e2h5
6k1/pp3rp1/2p1q1r1/1n1pPp2/1P1P4/P3PRN1/6Q1/R1B3K1 w - -,c1d2
r1bqkb1r/1p1n1pp1/p2ppn2/8/3NP2p/2N1BQ1P/PPP2PP1/R3KBR1 w Qkq -,e1c1
4rb1r/1k2n3/p1b2pp1/1pp4p/4PB1P/2N2PN1/1PPR2P1/3R2K1 b - -,c5c4
r1bq1rk1/pp3pbp/2n1p1p1/3p4/3PNB2/5NP1/PP2PPBP/2RQ1RK1 b - -,d5e4
r4rk1/ppp2ppp/4pn2/3n4/3P4/P2BPN2/1P1K1PPP/1R5R w - -,b1c1
3r3r/4bpp1/k1n1p2p/pq1pP3/1p1P3P/1P2BNP1/RPQ2P2/R5K1 b - -,d8c8
8/5k2/2PQ1p1p/1q6/1P6/5P1P/6P1/6K1 w - -,c6c7
6R1/1p2p3/4k1p1/Pp2q2p/1P1B4/2P4P/6P1/7K b - -,e5e1
3q1rk1/pp2bpp1/3ppn1B/8/3Nb3/2Q5/PPP2PPP/2KRR3 b - -,g7h6
r1r3k1/1q3p2/2p1p2p/2PpPbp1/3P4/2Q1P2P/4B1P1/R1R3K1 b - -,g8g7
r3k2r/1bqpbppp/p1n1pn2/1p4B1/4P3/PNPB4/1P3PPP/RN1Q1RK1 w kq -,d1e2
8/8/5k2/7p/r5pP/3NK3/1R6/8 b - -,g4g3
rnbq1rk1/pp3pp1/2p1pb1p/8/2BP4/2N1PN2/PP3PPP/2RQK2R b K -,b8d7
8/8/8/3R4/2P5/2r3k1/8/5K2 w - -,c4c5
r4rk1/2p2qpp/1bp5/p2p1p2/2nP4/2PNBP2/PPQ3PP/4RRK1 w - -,e3f2
4r1rk/p5np/1p6/3Ppp2/2P1n2P/1R4P1/PQ1qN1BK/5R2 b - -,d2b2
r4rk1/1p3p1p/1npq1np1/p4p2/Pb1P4/1BN1PP2/1PQB2PP/3R1RK1 b - -,f8e8
5b2/1pN5/5n2/2PPk1pp/5p2/3K1P1P/5BP1/8 b - -,f6d7
r2q1rk1/p2n1ppp/2p1p3/3p4/3P1B2/1QPbPN2/P4PPP/3RR1K1 b - -,d3c4
r1b1k2r/1p1qn1b1/pB1p3p/P2Pnp1P/4P3/2P1N3/2QNB1P1/R3K2R b KQkq -,e8g8
6k1/1pqb2p1/r2b1n1p/2p2p2/2Pp1P2/pP1P2P1/2NN2BP/R1Q3K1 w - -,a1a3
6k1/2n1rp1p/2p2p2/1p1p1P2/rq1P1Q2/5P2/6PP/2RN1RK1 w - -,d1f2
6k1/2q3p1/p1r1p2p/2P1p3/Q4P2/6PK/7P/3R4 w - -,f4e5
4r3/2q2pk1/p1p2bp1/N1Pp3p/1P5P/P2R1QP1/5PK1/8 w - -,d3e3
r5k1/1rqbbp1p/3p1np1/p2Pp3/R1p1P3/2P1BNNP/1P2QPP1/R5K1 w - -,a4a2
rn1qk2r/pbppbppp/1p2pn2/3P4/2P5/P1N3P1/1P2PP1P/R1BQKBNR b KQkq -,d7d6
8/5k2/p7/1p3p2/PKp1bP2/6Bp/3r4/2R5 w - -,a4b5
2r5/5pbk/2Bp2pp/p1nP4/Pp1pP3/6NP/1PR2PP1/6K1 w - -,c6b5
rnb2rk1/1p3pbp/2pp1np1/q3p3/4P3/3P1NP1/P1PN1PBP/R1BQ1RK1 w - -,a2a4
B3k1r1/p4p1p/1n2p1b1/4q3/ppp3P1/4PQ2/1P3P1P/R4RK1 w - -,f1d1
5rk1/1pp2p1p/r2q1p2/3PpQ2/4P3/P7/5PPP/R4RK1 b - -,f8a8
r4rk1/p4p2/B1p4p/2Nb1np1/1P6/P5PP/2p3P1/2R1R1K1 w - -,c1c2
rn2k2r/pbpp1pp1/1p2pq1p/8/2PP4/2Q5/PP1NPPPP/R3KB1R b KQkq -,c7c5
r2q1rk1/1ppbpp1p/p5p1/n2P4/P1BQ3N/1P2P3/5PPP/R4RK1 w - -,h4f3
2k5/1p3p2/p1p1p1p1/P7/1PP2P2/R5P1/2Br1n1r/1KR5 b - b3,d2d4
r2q1rk1/pp1nbbpp/2p5/3pP3/5PP1/2N1P3/PP4B1/R1BQ1RK1 w - -,c3e2
r4rk1/bbp2p1p/2np1p2/1p2p2q/3PP3/NBP2N1P/5PP1/R2QR1K1 b - -,b5b4
r1bqk2r/pp3ppp/2n1pn2/2b5/2Pp4/5NP1/PP2PPBP/RNBQ1RK1 w kq -,b1d2
1rr3k1/2qnbppp/pp1ppn2/8/2PN4/1PN1PQ2/PB3PPP/2RR2K1 w - -,b2a3
5r2/3q1pbk/1Q1p2p1/3Bn1Pp/p4R1P/2P5/KP6/5R2 b - -,d7h3
r4rk1/1bq1bppp/p3p3/4P3/4pPP1/1NN1B1Q1/1Pn4P/R4RK1 w - -,a1c1
2b2r1k/5pb1/p2p3p/4r1q1/Q7/2N3P1/PP1R1PBK/2R5 w - -,f2f4
2k1r3/ppq2p2/3b1Bp1/2pPpp1r/2P2P2/6P1/PP2Q1KP/R2R4 w - -,f4e5
8/6n1/4k3/5p2/5P2/4K1P1/4B3/8 w - -,e3d4
r4nk1/1p3pb1/2pR3p/p1P2B2/1P3p2/P4N2/5PP1/6K1 w - a6,b4b5
8/6pk/p3p2p/1r6/r5P1/7P/PR2R1K1/8 b - -,b5b2
7r/2pb2k1/1p1n1pq1/p1pPp3/P1P1P1Pr/1P2K2P/3NQ1B1/R4R2 w - -,e3d3
r1b1kb1r/pp4pp/4p3/1P1pp3/8/P3qN2/3QB1PP/RN2K2R b KQkq -,e3d2
6k1/6p1/7r/4p3/1p1qP3/1P1N2Kp/2P1Q2P/5R2 w - -,d3f2
3qrnk1/1p5p/1r2p1pQ/p7/P2PN3/4P1P1/1pR2P1P/1R4K1 b - -,f8d7
3q1rk1/4ppb1/r2p4/1N1Pn1p1/P3P2p/R1p5/1PQN1PPP/5RK1 w - -,a3c3
r1br2k1/p3bppp/4pn2/p1Pq4/1P6/P4N2/2PNQPPP/R1B2RK1 b - -,a5b4
rn1q1rk1/1p3pp1/p1bQ1b1p/4pP2/4P3/1NN5/PPP1B1PP/2KR3R b - -,d8b6
8/8/2r5/4k2N/R5P1/P5K1/3n4/8 w - -,a4a5
4q1k1/5rbp/1n1p4/p1p5/P7/1PN5/3B2PP/1Q3R1K b - -,c5c4
8/5ppk/4pq1p/R7/8/8/5PPP/R5K1 w - -,a5a6
8/8/6p1/6P1/1n1kPK2/8/B7/8 b - -,b4a2
r3k2r/4b1pp/p2p1p2/3PP1PP/1p1q4/1P1B2B1/1PPKQ3/R7 b kq -,f6e5
8/5ppp/pp1k4/3n4/8/P2KPP2/1P4PP/2N5 b - -,f7f5
r2qr1k1/pppn1pbp/3p1np1/8/4P3/2NBB2P/PPPQ1PP1/R4RK1 b - -,c7c6
8/8/4pk2/1p1pR3/p2P1p1p/P1P3rP/1P4P1/5K2 w - -,f1f2
r2q1rk1/pb1nppbp/3p1np1/1pp5/4P3/2PP1N2/PP1N1PPP/R1BQRBK1 w - -,d3d4
B7/8/8/1K2kpp1/8/8/8/8 w - -,b5c4
r3rbk1/1pq2pp1/2p2n1p/p1n1p2b/2P1P2N/PP4PP/1BQN1P2/R3RBK1 w - -,b2c3
3rr3/p4pkp/1q1n2p1/2pR4/8/2P1P2P/PPQ3P1/3R1BK1 b - -,e8e3
1R6/5pbk/B5p1/4P2p/5PnP/1p4PK/2r5/6B1 b - -,b3b2
8/8/k3n3/4P3/6K1/7N/8/8 w - -,g4f5
r1bqrbk1/pp3ppp/2pnpn2/3pN3/1PPP2P1/P2BP3/1BQN1P1P/R3K2R w KQ -,g4g5
8/3k3p/P1nP2p1/1NK2p2/5p2/8/6PP/8 b - -,g6g5
rnbqk2r/pp2ppbp/2p2np1/8/3P1B2/2NQ4/PPP1NPPP/2KR1B1R w kq -,f2f3
r4rk1/1bqnbppp/pp1ppn2/6B1/P2QP3/2N2N2/1PP2PPP/R3RBK1 w - -,d4d2
8/p2r1kp1/5p2/B1pnp2p/2Nb3P/Pr3KP1/1P2RP2/2R5 w - -,f3g2
3r2k1/bb3p2/p3p2p/1pq5/2n1PPP1/P1N5/1P4P1/R1B1NQ1K b - -,f7f5
1q3k1r/3Q1nbp/5p2/pP2pp2/4P3/3R3P/1PP2PP1/2K4R w - -,d3c3
1r4k1/2p2p1p/1r2p3/1Bn1Pp2/3P4/2P3P1/5P1P/R1R3K1 w - -,b5c4
r4rk1/1q1n1pbp/3p2p1/p2Pp3/1n2P3/2N1BN1P/1P2QPP1/R4RK1 w - -,f1c1
r3k2r/1p1b1pbp/p1nRp3/5pB1/P7/2P2N2/1P2BPPP/R5K1 b kq -,g7f8
5rk1/p1r2p1p/bp1Np3/5p2/1P6/P7/1KP2PPP/3R3R w - -,d1d4
r2qbrk1/1ppnn1b1/3p4/1N1Pp1pp/1PP1Pp2/3B3P/3B1PPN/1R1QR1K1 b - -,f8f6
6k1/5p2/p1B2n2/P3rPp1/7p/7P/6P1/R6K b - -,f6e4
rnbqk2r/ppp1ppbp/5np1/3p4/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq d6,c4d5
r7/5p2/1R2pk2/5p1p/5P2/6PK/7P/8 b - -,h5h4
rn1qk2r/1b2npp1/p2Bp2p/1p2P3/2pN4/2P5/P1BP1PPP/R2Q1RK1 w kq -,a2a4
rn1qk2r/p1b2ppp/1pp1p1N1/3n4/3P1B2/1QP3N1/PP3PPP/R3KB1R b KQkq -,h7g6
8/8/1pkb3R/8/1r6/8/5B2/5K2 w - -,f2g3
r1b1n3/ppkr3p/2n2P2/3B3p/2P1PP2/BP6/P7/2KR2R1 b - -,e8f6
r1b1r1k1/p1qn2p1/1ppbp2p/5p2/2PP4/1P3NP1/P1Q2PBP/R1B1R1K1 b - -,c8b7
5rk1/r2n1ppp/P1qpp3/Q1p5/2R1P3/3B2P1/2P2P1P/R5K1 w - -,c4a4
4r3/2r4k/6pp/5p2/3BpP2/1RN3P1/6BP/6K1 b - -,c7d7
rnbq1rk1/p3bppp/2p1pn2/1p6/2pPP3/4BNP1/PPQ2PBP/RN3RK1 w - b6,b1d2
r6r/2k2ppp/2p1bn2/ppb1p1B1/4P3/1PNR1P2/PP2N1PP/2K4R w - a6,g5e3
r4rnk/pp1q2p1/2p1bP2/3p2QP/3N4/P7/1PP1BP2/2KR2R1 b - -,g7f6
3r2k1/pp3pp1/5n2/3p3p/PP1RpP2/8/2r3PP/3R1BK1 w - h6,g2g3
r1b1rbk1/2qn1ppp/1pp2n2/4pN2/NBP5/P5P1/2Q1PPBP/R2R2K1 b - -,c8b7
4q1k1/2Q5/2p4p/1pPp2P1/r3b3/8/6PP/R3R2K b - -,h6g5
3r2k1/Bp2q1p1/p3b2p/P1Rnpp2/8/5P2/1P2B1PP/6QK w - -,e2c4
6k1/2q2pp1/p5Np/1p1Q2nP/8/P5P1/1P3PK1/8 b - -,g5e6
2r2rk1/p4ppp/1p2pbn1/3q4/3P4/P2Q1NB1/1P3PPP/3RR1K1 w - -,d3a6
r1b1kbnr/1pqp1ppp/p1n1p3/2p5/P3P3/2N2NP1/1PPP1PBP/R1BQK2R b KQkq -,g8f6
8/2b2pkp/6p1/p3P3/1pN1QP2/1P5P/P5K1/3q4 w - -,f4f5
r1b1k2r/pp3p2/2n1p2p/q1PpP1p1/8/P1P3B1/2PQ1PPP/R3KB1R b KQkq -,c8d7
6k1/p3rppp/1p2p3/1P1nP3/R7/1r6/5PPP/R4BK1 b - -,g7g5
r1bqkb1r/pp3ppp/2n2n2/2p1p3/2PP4/1P3NP1/P2P1PBP/RNBQ1RK1 b kq -,e5d4
3r2k1/p6r/1p1qpQ2/2p2p2/2P4N/PP2PBPP/7K/8 w - -,h4g6
R7/1p4kp/1p2p3/1b2P1p1/5rP1/1P2K2P/1P2B3/8 b - -,b5c6
r1bq1rk1/1p2bppp/p2ppn2/8/2BnP3/2N1B3/PPP1QPPP/2KR2R1 w - -,e3d4
r2r2k1/p1qnbppp/2p1p3/8/NPb1P3/P3BP2/2Q3PP/R4R1K w - -,c2c4
r2q1rk1/pbnnppbp/1p1p2p1/8/1pPPN3/3BPN2/PB2QPPP/R1R3K1 b - -,d6d5
3q1rk1/1p3p1p/1n4p1/2PNb3/1P1pP3/3Q2P1/r5BP/3R1RK1 b - -,b6d5
3q1rk1/2pb1pp1/1r1p1nnp/8/2pNP3/1B6/1P1N1PPP/R2Q1RK1 w - -,d2c4
r1b4r/1p2qpk1/1bp3p1/p3p3/PP2P1p1/1BP3P1/3Q1PPN/3RR1K1 b - -,h8h5
5r2/5r2/8/8/4pRNP/1p1k2K1/1P6/8 w - -,g4e5
8/4p3/3pk3/Rp2r3/1P6/2P5/P1K5/8 w - -,a2a4
r5k1/2pq1r1p/pp1p2pb/3Pp3/2P1N3/3Q1PP1/PPR3KP/5R2 w - -,b2b3
2kr3r/pp1b1pp1/2n4p/2B1p3/2qPB3/2P1P1Q1/P5PP/R4RK1 b - -,f7f5
2r5/5kp1/4p2p/1p1p2b1/6N1/1P3P2/P3R1PP/2R3K1 b - -,c8c1
8/4k3/R4pp1/3P3p/p1r1PK1P/6P1/8/8 w - -,a6a7
r1bqk2r/pp2bppp/2n1p3/3n4/2BP4/2N2N2/PP3PPP/R1BQ1RK1 b kq -,e8g8
8/2kn1b2/K7/1P2p2p/2B4P/4NP2/8/8 b - -,f7g6
5rk1/pp3pp1/2p1n2p/3qN3/3P2Q1/P7/1P3PP1/3R1K2 b - -,c6c5
8/8/7p/6rP/5p2/4pk2/8/2R4K w - -,c1f1
3r1rk1/1p2ppbp/p1n1b1p1/4p3/2P1P3/2N1B2P/PP2BPP1/2RR2K1 b - -,c6d4
r2r1qk1/1b1n1ppp/Pp2pn2/2pp4/P1P5/2QPPN2/1B2BPPP/R4RK1 b - -,a8a6
3rrb2/1q1n1p1k/p2p2pp/4p3/2P1P2N/1Q4NP/PP3PP1/3RR1K1 b - -,b7b3
8/5p2/p7/5p1p/2p2P1P/BkP1K1P1/8/8 b - -,b3a3
2R5/3n1pkp/4p1p1/8/1q6/4PBP1/2R2PKP/8 w - -,c8c7
r1r3k1/4bppp/p3pn2/Np1bB3/1P6/P3P3/4BPPP/2RR2K1 b - -,e7d8
rn3rk1/1p2ppbp/1q2bnp1/pP6/2pP4/4PN2/1B1N1PPP/R2QKB1R w KQ -,d1a4
r2qkbnr/pp1bpppp/2np4/8/3NP3/2N5/PPP1BPPP/R1BQK2R b KQkq -,a8c8
r3k1nr/1bq1bpp1/p2pp2p/1p2n1P1/3NP3/P1N5/1PP2PBP/R1BQR1K1 w kq -,f2f4
8/8/6B1/8/5k2/4r3/5K2/8 w - -,g6f7
8/2P5/1K3p1k/Q5p1/8/3q4/5P2/8 b - -,d3b3
1qk4r/2b2p2/2Rp1nbp/Q1p1p1p1/B1P1P1P1/3PB2P/3N1P2/6K1 w - -,a5b5
r4rk1/p2nb1pp/1q2p3/1p2p3/2p5/2P4P/PP1NQPPB/2R2RK1 w - -,h2e5
r2bk2r/1b3p1p/3p1P2/ppqNp3/4P3/1P3N2/1PP1Q2P/2KR2R1 b kq -,b5b4
r1b2rk1/ppb2ppp/4pn2/8/8/3NB1P1/PP2PPBP/R4RK1 b - -,f6d5
r3r1k1/ppp2pp1/3p1qnp/4p2n/2PPP3/P1PB1PPb/4NB1P/R2QR1K1 w - -,e2c1
7r/5pk1/3p2p1/2p1b1Q1/3q1P2/P7/5RR1/6K1 b - -,d4d1
8/4Kp2/4bPk1/4r3/8/8/8/7R w - -,e7d8
3r2rk/1p3p2/p1p5/4p2P/P4b1q/5R1B/1PP1QN2/7K b - -,f7f6
r7/3n3k/p2pp2p/5p2/1pP2P2/3qB1PP/Pb2nQ1K/1N2R3 b - -,e2d4
r1b2k1r/p4pp1/2qb1n2/4pP1p/2P1P2P/6N1/PP1BQ1P1/R4RK1 b - -,c8b7
3r2k1/2br1pp1/p3pn1p/qb2p3/2pPP3/2P3PP/P1QN1P2/BR2RBK1 b - -,e5d4
2r2rk1/4bppp/1qp1pn2/p2pNb2/1P1P1B2/P1N5/2P1QPPP/3RK2R w K a6,e1g1
2r1rnk1/pp3ppp/2pb4/3p1B2/PP1P2bq/2N1P3/2QN1PPP/RR4K1 w - -,g2g3
1r4k1/5pp1/4pb1p/p6P/6P1/p3RP2/1PP5/1KN5 w - -,b2b3
5rk1/prq2pp1/1n2p2p/3nP3/1N6/1Q4P1/PP3PBP/R2R2K1 b - -,c7e5
r3r1k1/pp1q1ppp/1n2bn2/8/2pP1N2/P1P5/2BB1PPP/RQ2R1K1 w - -,a3a4
2Q5/2p1r2k/1p1q2p1/p1p1N2p/2P2P1P/1P4P1/P5K1/8 w - -,c8f8
4rk1r/p1pp1p1p/1p3P1n/8/2P2P2/4n3/PB1KQ2P/R5N1 w - -,a1e1
r1b2rk1/ppq1b2p/2n1p1p1/3p4/8/PNP1B2P/4BPP1/R2Q1RK1 w - -,c3c4
8/5kp1/8/2R5/4bB1P/8/2p2KP1/1r6 w - -,c5e5
r3r1k1/1bqnbppp/pp1p1n2/4p3/P3PP1N/2NB4/1PP3PP/R1B1QR1K w - -,h4f5
8/7q/Q7/1p2p3/1P2k3/P5K1/8/8 b - -,h7g7
6k1/p3p2p/1p3b2/4p1P1/4Ppn1/1N6/PPPK2P1/3NB3 b - -,f6g5
r2qkb1r/ppp2p1p/2np1np1/4pb2/2PP4/2N1PN2/PP2BPPP/R1BQ1RK1 b kq -,f8g7
2r5/p4kpq/2pr2Np/3nRP1P/2Q5/8/PP4P1/2K1R3 b - -,c8c7
3rkb1r/1pp2ppp/p3b3/4P3/3n4/2N1B2P/PP3PP1/R3KB1R w KQk -,e1c1
2r2rk1/3nppbp/3pbnp1/qp6/1N1BP3/PPN2P2/1Q2B1PP/R4RK1 w - -,c3d5
r2qr1k1/pp1b2b1/n2p1p1p/2pPp1p1/2P1PnPP/P1NBBN2/1P1Q1P2/2K3RR w - -,e3f4
rk6/1pq4p/p2N2p1/4r3/8/1QnP2PP/5PB1/6K1 w - -,g2b7
8/p7/1p1knppp/8/P1B1KPPP/1P6/8/8 w - -,b3b4
r1q1r1kb/pp1bpp1p/1n4pB/3p4/4PP2/1QN5/PP2B1PP/1KR4R w - -,c3d5
1kr5/pp5p/3pqP2/8/1P3RP1/2Q5/1KP4P/8 w - -,c3d4
2R5/4r1k1/4p1p1/1B1pPpP1/P6p/r3P3/5PK1/8 w - -,c8c1
1r3rk1/Rp3p2/4pp1p/1qP2b2/1b6/1N4P1/5PBP/2Q2RK1 w - -,f1d1
8/6p1/6kp/pp1R4/5P2/3PP3/P4PKP/1r6 w - -,a2a4
r4Bk1/pp3p1p/2p1b1p1/8/2P5/5P1P/PP4P1/3R1BK1 b - -,g8f8
4r1k1/1p6/3p1rpq/p1b1pB2/4P3/1P1R4/PP4QP/5R1K w - -,d3h3
rnbq1rk1/1pp2pp1/p2b1n1p/3p4/8/2NP1NP1/PP2PPBP/R1BQ1RK1 w - -,e2e4
r1bqkbnr/3p1ppp/p3p3/1pp5/2BnP3/2NP4/PPP1NPPP/R1BQK2R w KQkq b6,c4b3
2kr3r/1bq4p/p2pp1p1/6P1/P3P3/2Qp1N2/1P5P/2KR1R2 w - -,c3c7
1r1q1rk1/Qp1bbppp/2p1pn2/4N3/1npP4/2N1P1P1/PP3PBP/R1B2RK1 w - -,a7a4
3qr1k1/5p1p/6r1/p2p1B1Q/1b1BnP2/4P2P/6P1/R4nK1 w - -,f5g6
8/n1N1k3/3p3p/1p1PpPp1/1P2P1P1/1P6/5K2/8 b - -,e7f7
r2qr1k1/ppp2pp1/1b1pbn1p/6B1/2B1P2P/1PN5/1PPQ1PP1/2KR3R w - -,c4e6
r2q1rk1/bpp2ppn/p1npb2p/4p3/1PP1P3/P1NP1NPP/5PB1/1RBQ1RK1 w - -,c1e3
8/1r6/pP2pk2/3pNp1b/n2P1P1p/N3P1pP/P2K2P1/1R6 w - -,e5d7
8/1k2b3/2p5/5p1p/P7/2BK1P1P/8/8 b - -,e7g5
2rq1rk1/pp2ppbp/2bp1np1/4n3/P3P3/2N3PP/1PP1NPBK/R1BQ1R2 w - -,a1a2
r7/5p2/1r1kp3/5p1p/3P4/1PRR2P1/2K4P/8 w - -,d3d2
r2bk2r/1b3p1p/p2p2p1/q3n1P1/Pp2PB1P/1P1B2N1/2P2Q2/R3K2R w KQkq -,g3f1
r2r2k1/pp1bqpp1/2n1p2p/2b1Pn2/5B2/P1NB1N2/1P2QPPP/R2R2K1 w - -,d3f5
r3k2r/1pp2p2/p2bp1qp/n2p1bp1/3P4/P1N1P1P1/1PPN1PBP/2RQR1K1 b kq -,h6h5
2r5/1p2kp2/p3p3/4P2P/1P3R2/4R3/5PPK/3r4 b - -,c8h8
rn2kb1r/pp4pb/1np1Pp1p/8/3qPNPP/2N1BQ2/PP3P2/R3KB1R b KQkq -,d4e5
1r3rk1/1pn2pp1/p4b1p/2P2q2/1P6/1Q3NP1/P4PBP/2RR2K1 w - -,f3d2
r2q1rk1/1pp2pbp/3pb1p1/2n5/1nPNP3/1P2B1P1/4NPBP/1R1Q1RK1 b - -,e6d7
1r3rk1/pp1q3p/3p2p1/2pP1pP1/2Pp1P2/3P2P1/PP1Q2K1/R3R3 b - -,f8e8
r1b1k2r/1pq2p1p/p1n2p2/8/4P3/P1QB1P2/1PP3PP/R3K2R b KQkq -,c7e5
r2qk2r/pp3ppp/1np1pn2/5b2/1bpP4/2N3P1/PP1NPPBP/R1BQR1K1 w kq -,e2e4
1rr3k1/4bppp/4q3/pB2p3/P4n2/2P2P2/2Q2BPP/R2R2K1 b - -,c8c7
r3k2r/p2n1p1p/2pPp1p1/3n4/1p3P2/6PP/PPb1NBB1/3RK2R w Kkq -,d1c1
2k5/1p1b4/p2P1K2/P4p2/1P2p3/3p3B/5P2/8 w - -,h3f1
1q1r1nk1/2r2pb1/ppbNp1p1/3n2Np/3P3P/P5Q1/1B3PP1/2R1RBK1 w - -,d6f7
3r4/1R1P3Q/4pk1p/1p1n4/1P6/5P1P/3q1B2/6K1 b - -,d2c1
8/8/2Q5/8/8/3k2K1/4r2p/8 w - -,c6b5
5rk1/pq4bp/1p1nN1p1/1Pn5/2P3P1/P6P/4Q2K/4R3 b - -,f8e8
5R2/8/1p2r1p1/4n1P1/P3k1P1/1P1p1p2/3K4/3B4 w - -,b3b4
8/1R3p2/1p1r1kpp/8/1P4P1/5K1P/8/8 w - -,h3h4
8/8/6k1/6p1/4ppP1/2N4K/5P2/8 b - -,e4e3
r3r1k1/p2q1pp1/2p4p/3p4/3Bn3/6P1/PP2PPKP/2RQ1R2 w - -,h2h4
2b1r1k1/3n1pbp/1q1p1np1/1p1P4/2p1PQ2/2N2N1P/1PB2PPB/R5K1 b - -,b5b4
6k1/5p1p/pB4p1/8/P3P3/1n1PK3/6PP/8 b - -,f7f6
r1bqk2r/pp2n1pp/2nbpp2/3p4/2PP4/1PNB1N2/PB3PPP/R2QK2R b KQkq -,a7a6
rnbq1rk1/pp2b1p1/7p/2Np1p2/3Pp3/4P1P1/PPQNBPP1/R4RK1 b - -,b7b6
7k/7p/4B1p1/1R2K3/p7/P6P/1p3r2/8 w - -,e6d5
8/7p/1n1k2p1/4p3/4N1P1/7P/1P2K3/8 b - -,d6d5
3R4/pp2Qpbk/4b1p1/2r1p2p/7P/2P3P1/PP2qPB1/3R2K1 b - -,b7b6
