8/7p/8/4k1P1/1rp4P/4K1P1/1PR5/8 b - -,e5d5
r2qk1nr/pp1bppbp/2np2p1/2p5/2P5/P1N2NP1/1P1PPPBP/R1BQ1RK1 b kq -,g8f6
5r1k/R5bn/3p2p1/1pqBp2p/2P5/3P2Pb/1BQ2P1K/4N3 w - -,a7f7
3r4/b6p/1k3p2/pBp1nP2/P2p4/1P4PP/4R1K1/2B5 w - -,c1g5
rn2kb1r/pp2pppp/1q3n2/2pp1b2/3P1B2/2P2N2/PPQ1PPPP/RN2KB1R w KQkq -,c2f5
2rr4/4bp1k/pp1p2p1/4p2p/2PnP3/1P3P1P/P2R2P1/3R1BBK b - -,e7f6
2r5/1p2r2k/p3P1pp/5p2/8/P1p2B1P/1P2QKPq/3R4 w - -,b2c3
r2q1rk1/pppnppbp/n2p2p1/3P4/2P1P3/2N1BB2/PP1Q1PPP/R4RK1 w - -,a1b1
r4rk1/pb1nqpp1/1p2p2p/2ppN3/3PNP2/2PBP3/PP4PP/R2Q1RK1 b - -,d5e4
6k1/1p3p2/2p3p1/1P1nr2p/3Nb2P/R3P1P1/7K/3B4 b - -,c6c5
3q4/5k1p/1p6/8/5RR1/1P4PK/b5B1/6b1 b - -,f7e7
4rb1r/pp3k2/1qn1pp2/3p3p/3P1B1P/P4QN1/1P3PP1/3RR1K1 w - -,f4e5
4q1k1/p2rP1bp/1p1p1p2/n1pN4/Q7/4p3/PP3P1P/R3K1R1 b Q -,g8h8
4r3/1ppb2k1/1q1p1bp1/p2P1p2/P1P2PpP/1P2R1P1/2KQ2B1/3N4 b - -,b6c5
2r3k1/5p2/1p2p1p1/pP1r4/3P1P2/2P3P1/1P6/R3R1K1 w - -,e1e5
2R5/8/5kp1/1pprp2p/8/1P2K2P/6P1/8 b - -,f6f5
r1bq1rk1/pp2bppp/2n1pn2/8/3P4/P1N2N2/1P2BPPP/R1BQ1RK1 w - -,c1e3
4q3/2r2kpp/R1p2p2/1p1p4/1P1P4/4P1PP/2Q2P2/6K1 b - -,e8e4
3k4/pR6/2pBB1p1/6P1/5P2/5K2/P7/b6r b - -,h1f1
2r2rk1/pp2ppbp/q2pbnp1/8/Nn2P3/1P2N1P1/PB3PBP/R2QR1K1 w - -,g2f1
1r3r2/2q2pbk/3p2pp/p1p1p3/1nP5/1P1PP1P1/1B1Q1PBP/1R3RK1 w - -,b2c3
r2q1R2/p3n2k/1p5b/2ppp3/8/2P3P1/PPN3BP/R2Q3K b - -,d8f8
5r2/p3q1k1/1pp5/2PpP3/3Pp2R/4PpP1/PP3Kb1/3Q2R1 w - -,g1h1
8/5p1p/6k1/R5P1/2r5/6K1/8/8 b - -,c4b4
rnbr2k1/pp2pp1p/6p1/2P5/5n1P/1R1B1N2/P1P2P2/6KR b - -,c8e6
8/2B4p/6p1/1Pkp4/2n5/8/4K2P/8 w - -,e2f3
1B3r1k/p6p/5p2/1P3P1q/3bpQ2/P7/6PP/4R1NK w - -,f4d6
2r2rk1/p3bppb/1qp1pn1p/3p4/5B2/2P1PN2/PP2BPPP/R1QR2K1 w - -,e2d3
3rr1k1/pp2qppp/5n2/3P2B1/8/2N2QP1/PP3P2/R4K2 w - -,a1d1
r2qk1nr/1b4b1/p3n2p/3pp1p1/2pP2P1/2P1BN1R/1PQNB2P/4K2R w Kkq -,d4e5
3r2k1/p1R2pb1/2q3p1/2Np3p/3P1Bb1/2P3Q1/Pr3PPP/R5K1 b - -,c6b5
8/6P1/8/1p6/p1b3kp/P4p2/1P3K2/8 w - -,b2b3
r1bq1rk1/pp2bppp/4pn2/2p1n3/2P5/6P1/PB1PPPBP/RN1Q1RK1 w - -,b2e5
r4rk1/1ppbqppp/n2p4/p2Pp3/1PP5/P1R2NP1/2Q1PPBP/1R4K1 b - b3,a5b4
1r1r2k1/1bqnbppp/pp6/2p1N3/P3nP2/2P1B3/1PQNB1PP/R4RK1 b - -,d7f6
rn2k2r/pbpp4/1p2pqpp/4Np1Q/2PPn3/2PBP3/P4PPP/R1B2RK1 w kq -,h5g6
8/R5R1/5r1p/6k1/P7/6P1/5PK1/r7 b - -,g5f5
3r3k/p2P3p/3rnp2/1pp2PR1/4QP1q/P7/1P5P/1K4R1 w - -,f5e6
3rr1k1/1q3ppp/2b2N2/1pp1p3/2B1P3/2P2Q2/1P3PPP/R3R1K1 b - -,g7f6
r2q1rk1/pp1bppb1/2np2p1/7p/3NP2P/2N1BP2/PPPQ2P1/2K3RR b - -,c6e5
r1bqr1k1/1p5p/4p1Bb/p2pP3/Pn6/R5N1/1P3PPP/3QR1K1 w - -,g6e8
1q3r1k/3b3p/Q4p1P/3Pp1p1/pPNbn1P1/3B1R2/N4P2/4K3 b - -,e4f2
r2qr1k1/1b1nppbp/n2p2p1/p2P4/1pPNN3/1P5P/P4PPB/1R1QRBK1 w - -,d4b5
3rb2r/4N1k1/4PR2/pP3pP1/P1pP4/8/3B2K1/8 b - -,h8h5
r4rk1/pp1q1pb1/4p1np/3pP2Q/5p2/3P1N2/PP1P2PP/R1B2RK1 b - -,d7b5
r7/p3kppp/1p2pb2/2p3r1/P1N5/1P2PP2/2RP1P1P/3R2K1 w - -,g1h1
2r5/1p4rk/p2RR1p1/5p1p/2q2P1P/6P1/7K/4Q3 b - -,c4c1
2kr3r/1b1q1pb1/p2p1n1p/1pnPp2P/P1p1PQp1/2P1N1B1/1PB1NPP1/R3K2R w KQ e6,f4f5
1rb1r1kb/p4p1p/2n1p1p1/qp1pP1B1/2pP1PP1/2P3NP/PP1Q2B1/1K1R3R b - -,b5b4
8/5p1k/6pp/1p1PQ3/7P/2Pq2P1/5PK1/8 b - -,h6h5
r4rk1/4ppbp/3p1np1/1P3PB1/4PQ2/2qB1R2/6PP/1R5K w - -,g5h4
5r1k/5n1p/p1p1RPpq/1pbp4/7P/2P2QP1/PPB2P2/4R1K1 b - -,g6g5
3R4/8/4r3/5p2/5P2/2pk2P1/8/5K2 b - -,d3c2
3R1r1k/1pP3b1/pNr2n2/P3n3/1P2P3/8/5R2/6K1 w - -,d8f8
k5r1/5p2/4p3/8/2pr4/2P3P1/5P1P/5K1R w - -,c3d4
4r1k1/3qnpb1/2r1p1p1/Bp2P2p/p2p1P2/P2P1QP1/1P2RN1P/3R2K1 w - -,f2e4
5r1k/p2b2p1/1qp1p1Bp/3pP3/8/6P1/PP2RPP1/1Q4K1 w - -,b1c1
1r3bk1/5qpp/5p2/p2p4/2p1p3/P1P4P/1P2Q1PK/1B3R2 b - -,f6f5
4k3/2Rnp2p/1n1p1b2/3P1N2/1P3P2/3KNP2/r2B3P/8 b - -,a2a3
8/8/5k2/7R/4pppP/r7/5PKP/8 w - -,h5g5
3qr1k1/1p5p/r2ppnp1/p1n2p2/2PQPP1P/1PN1N1P1/PR4K1/3R4 w - -,e4e5
1n6/2q3rk/pp5p/3Q2p1/P7/2P5/1P1N3R/5R1K w - -,d2e4
3r2k1/pp3pp1/6p1/8/1r1nN1PP/1P2R2K/5P2/3R4 b - -,d4e6
rnbqk1nr/ppp2p2/3b4/6pp/8/5NP1/PPPPP2P/RNBQKB1R w KQkq h6,d2d4
2rR2k1/1b2qpp1/p3p2p/1p2P3/4pP2/P3Q3/1PP1B1PP/4R1K1 b - -,c8d8
6b1/4k1P1/2p5/2P1K3/2P5/3B4/8/8 w - -,d3g6
r1bq1rk1/p3nppp/2pb4/1B1p4/2pP4/2P1B3/PP3PPP/RN1Q1RK1 w - -,b5a4
2b2rk1/4r2p/p5p1/1p1RPp2/2p2P2/P1P3PB/1P3K1P/3R4 b - -,f8e8
r1bqk2r/5ppp/p1p1pn2/3p4/1b2P3/2N1BP2/PPP1B1PP/R2QK2R w KQkq d6,e4e5
r3r1k1/1p1q1pb1/2p1p1pp/p1P2b2/PnBP1B2/1Q6/1P2NPPP/2RR2K1 b - -,g6g5
2N3k1/b2R4/p1n5/1pp5/4KPPp/1P5P/P7/8 b - -,a7b8
3r2k1/1p4pp/p3q3/6Q1/7P/PP1pr3/K1P3B1/3R4 b - -,d8d7
1kr4r/1p1bbp2/p2pp3/4n1Pp/3NPNnP/1q4B1/PPP5/3RRB1K w - -,a2b3
3q1rnk/r6p/p2p1pp1/2pPn3/1pP1PR1P/1P2Q3/P3B1P1/5RKN b - -,a7e7
r2kqr2/p4pR1/1p2pP2/1nppN3/3P4/2P5/PPQ4P/R6K w - -,d4c5
6k1/4rp2/R5p1/4p1b1/2BpP3/1p1P1Q2/6PP/2q2NK1 b - -,b3b2
r1bq1rk1/ppp1ppbp/2np1np1/8/2PPP3/2NB4/PP2NPPP/R1BQK2R w KQ -,c1g5:e1g1:d3c2:f2f3
2r1k2r/2q1bp2/p2pp1p1/7p/1P2nP2/4B1Q1/1PP1B1PP/4RRK1 w k -,g3f3
3r4/pp2pkb1/4p1pp/2prP3/5B1P/6P1/PPP1RPK1/R7 b - -,c5c4
1r2k2r/Q2n1p2/2pqp3/7b/2PP2pp/3BP2P/P3NPP1/R4RK1 w k -,c4c5
r4rk1/p2n1ppp/bp1q1n2/2pp4/P2P4/1P3NP1/3QPPBP/RNR3K1 w - -,b1c3
rn1q1rk1/1bp1bppp/pp2pn2/6B1/3P4/P1NB1N2/1PP2PPP/R2QK2R w KQ -,d1e2
8/3bpkbp/3p2p1/3P1pB1/2p1P3/1nP3P1/r4PBP/1N3RK1 w - -,g2h3
r2k1b1r/1bq2ppp/pn1p1n2/3P4/Q1PN4/6P1/1P3PBP/R1B1R1K1 w - -,a4b3
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P4/PPP1NPPP/RNBQK2R w KQkq -,e1g1
2b3k1/2q2p2/p2ppQp1/1p4Pp/4PP1P/PN1P4/1P6/1K6 b - -,c7d7
1rb1r1k1/1pnn2qp/p1p1pbp1/2Pp4/NP1P4/1Q3N2/PB3PPP/3RRBK1 b - -,c7b5
r2r1bk1/pp3q1p/n2p1np1/1NpP1b2/2N5/PQ2B3/1P2BPPP/R4RK1 w - -,e3f4
8/2B2k1K/6p1/8/6PP/5n2/8/8 w - -,c7g3
6k1/p2nbppp/Pp2p3/1Pp1P3/2P1bP2/3r2P1/3N2BP/4R1K1 w - -,d2e4
6n1/8/5p2/5P1k/4PK1p/8/5N1P/8 w - -,f2d3
3q1r2/3b1pkp/2npp1p1/prp5/8/P1NP2PP/1P2PPB1/1R1Q1RK1 b - -,b5b8
rn1q1rk1/4bp1p/p2pbnp1/1p6/4PBP1/1N1B3P/PPPNQ3/2KR3R b - -,b8c6
8/8/1B4k1/6p1/4ppP1/7P/r2n1P2/2R3K1 b - -,a2b2
r2qnrk1/ppp3b1/3p2np/P1PPp1p1/1PN1PpB1/B1N3Pb/5P1P/R2QR1K1 b - -,h3g4
r2qkb1r/p2n1ppp/1p2p3/1Q1p4/3PnB2/5NP1/PP2PP1P/R3KB1R w KQkq -,f1g2
r2q1rk1/1p2b1pp/1pn5/p3pp2/P1bP4/2N1PNP1/1P3PBP/R2QR1K1 b - -,e5e4
5br1/5q1k/1R2bp1p/p1p1p2N/1p2P3/2P2QNP/1P3P1K/8 b - -,f8e7
8/2r2p2/k3b1p1/1p1pPpPp/pP1R1P1P/1PP5/3K4/3N4 b - -,a4b3
4r1k1/5pbp/3p2p1/3P4/1qN1nP2/4B3/1nQ1B1PP/1R4K1 w - -,e2f1
5r1k/7p/1p3q2/pP1p3p/3PpR2/4r1P1/1PR2PK1/8 w - -,f4f6
q4rk1/5pb1/b1n1p1pp/p1PB4/1p5B/7P/PP3PP1/3RQRK1 w - -,d5c6
r2q1rk1/pb1pbppp/1p2pn2/8/1nP1P3/5NP1/PPQN1PBP/R1B2RK1 w - -,c2b1
8/8/3pkpp1/p1n1p3/2p1P3/2P2P2/P1R1K1PP/1r2B3 b - -,a5a4
8/5B2/5k2/p1p5/2P2p2/P2K1b2/1r6/4R3 w - -,f7d5
2R5/1pr3k1/pN6/P3n3/1P2P3/8/8/6K1 b - -,c7c8
8/8/1p3p2/6p1/P7/R5Pk/2r5/5K2 b - -,g5g4
r1bqkb1r/pppnp1pp/3p1n2/8/2P1N3/3B4/PP1P1PPP/R1BQK1NR w KQkq -,g1f3
r1bqk2r/ppppb1pp/2n1pn2/8/3P4/P1N1BP2/1PP3PP/R2QKBNR w KQkq -,d4d5
rn3rk1/pp2qppp/2ppbn2/4p3/2PPP3/2N3P1/PP1QNPBP/R3K2R w KQ -,b2b3
rn1q1rk1/6bp/3ppnp1/2p5/4PP2/2N2NP1/PP4KP/R1BQ3R b - -,d6d5
8/1p5k/p1p2P1P/P1P3K1/1P6/6B1/7P/5r2 b - -,f1f3
6r1/p7/Pp1bk1p1/1P1p2Rp/3Pp3/4B3/5PK1/8 w - -,g2h3
4k3/p7/6p1/4P1P1/nnpB2B1/8/2K5/8 w - -,c2d2
r2q4/3b2nk/1b1p1pp1/1p1Pp2p/1P2P1PP/2QB1P2/4N1R1/2N4K w - -,e2g3
1rq1r1k1/4bppp/p1b1p3/Pp2P3/5P2/1NN1R3/1PP2QPP/5R1K b - -,c8b7
8/1p1b4/4pk2/6P1/5K2/1P2R3/1P2B3/1r6 b - -,f6g7
2kr3r/pp3pb1/1qp1p1p1/2PpPn1p/3P1P2/1P3B2/P2Q1BPP/1R3RK1 b - -,b6c7
rn1qkb1r/1p3ppp/4pn2/pP1p1b2/3P4/P3P3/1B3PPP/RN1QKBNR b KQkq -,b8d7
5bk1/5pp1/4p2p/3qP3/4NP1P/1P4P1/5Q1K/8 w - -,f2e3
4r1k1/pp1r1bbp/2p2p2/6p1/P2PP3/2B2PPP/8/1R2RBK1 b - -,g7f8
1r6/p3rbk1/2B5/2R1p1pp/3bP3/3P1P2/P4P1B/2R3K1 b - -,f7a2
6k1/p4pp1/2p1b2p/1r6/1P6/6P1/PQ2PP1P/3rN1K1 w - -,b2c3
8/8/2p5/4kp1p/1b6/4P1P1/4BP2/6K1 w - -,e2h5
r4rk1/pp2ppbp/1qp2np1/2p5/P2PP1b1/2P2N2/1P3PPP/RNBQR1K1 w - -,d4c5
r1bqn1k1/pp1n2rp/3p1ppQ/2pP2N1/2P1N1P1/3B3P/PP3R2/5RK1 b - -,f6g5
r2qk2r/pb1pnp2/1p2pp1p/2p5/2PP4/PQb1P3/1P1N1PPP/R3KB1R w KQkq -,b3c3
r1bq1rk1/pp1nppbp/2p2np1/3p4/2PP4/2NBPN1P/PP3PP1/R1BQK2R w KQ -,e1g1
8/1b2r3/p2k1p1p/R2p2p1/PPp2P1P/2P2B2/3K2P1/8 w - -,h4g5
rnbqkbnr/pp3ppp/2p1p3/3p4/2PP1B2/2N5/PP2PPPP/R2QKBNR b KQkq -,g8f6
r3k2r/4bppp/p1p1p3/3nR3/8/6P1/PPPB1P1P/R2N2K1 b kq -,e8c8
8/1Qp4k/1p1q1rp1/p1p4p/2P2P1P/1P3NP1/P5K1/8 w - -,f3e5
2rq1rk1/1p1np1bp/p1npb1p1/3N1p2/1PP1P3/5P2/P1NBB1PP/1R1Q1R1K w - -,d5f4
2rq1rk1/p3nppp/bp2pn2/3p4/2PP4/1P3NP1/P2N1PBP/2RQ1RK1 b - -,d8d6
8/8/3r2k1/6p1/R5Kp/8/8/8 w - -,a4b4
7k/3q2rn/b2P4/P1pBQ3/1p5R/8/1P3PPP/6K1 w - -,h4h7
8/6p1/5n1p/1N1p1P2/2pK2P1/7P/2k5/8 b - -,c2d2
5r1k/7q/2RQ4/p2P4/4PPp1/1P1N2pr/6K1/7R b - -,h3h2
r7/pp2k2p/8/2P1pb2/1P4p1/P3P3/6PP/R1B2K2 b - -,e7e6
3qr3/1p4kp/p2p1ppn/2rp2P1/P1PQPP2/1P6/7P/4RR1K w - -,g5h6
r5k1/1pqbn1pp/3p1r2/p1pP1p2/2P1pPP1/2N1P3/PP1Q2BP/R4RK1 b - -,g7g6
6k1/1p3pp1/p3q2p/P7/3R4/1PP2bP1/4rB1P/2Q3K1 w - -,c3c4
3r4/ppb1r3/2p3k1/4ppp1/PP1P4/2P1RKPP/8/2NR4 b - -,e5e4
3r4/4q3/7k/p2Pp3/1p3bQ1/1P6/PBR5/6K1 w - -,g4h3
6k1/8/p2r2p1/2N2p2/8/P3B2P/6P1/7K b - -,g8f7
r2q3r/1bp1npbk/pp1p2pp/3Pp3/PPP1P1n1/4B1P1/N2Q1PBP/3RNRK1 w - -,f2f4
r4rk1/1b1qp1bp/ppB2pp1/2pp4/P2P1B2/2P1PN1P/1P3PP1/R2QK2R b KQ -,d7c6
r1bq1rk1/1pp3pn/p2p3p/4pP2/1PPb4/P1NP3P/3BBPP1/2RQ1RK1 b - -,c8f5
2r1k2r/p2qbppp/2n5/2ppP1B1/8/5N2/PPQ2PPP/R3R1K1 w k -,g5f6
r1b1r1k1/pp2bppp/1q1p1nn1/3P4/8/2NB1N1P/PP3PPB/R2Q1RK1 w - -,a2a4
r2q1rk1/p3b1pp/1p2b3/2PpBp1Q/8/3BP3/PP3PPP/R4RK1 b - -,b6c5
r2qk2r/ppp1n1pp/2nb4/3p1p2/3P4/2N1PPB1/PP3P1P/R2QKB1R w KQkq f6,d1b3
2r2rk1/pp1qppb1/3p2pp/1Pn4n/P2NP2B/R1N4P/1P2QPP1/3R2K1 b - -,g7d4
2r5/4qk2/p3bpp1/3Qp2p/PP5P/4P1P1/5PB1/2R3K1 w - -,d5d2
r1b2rk1/pp3pp1/2n4p/2pB3q/8/2b3B1/PPQ2PPP/4RRK1 w - -,d5f3
2r3k1/5p1p/6p1/pBbP4/2P1r3/P1R1p1P1/7P/4R2K b - -,c8d8
2rq1rk1/p3bp2/bp2p2p/2B3p1/Q1P1P1n1/2N3P1/P2N1PBP/R2R2K1 b - -,e7c5
6k1/1n3p2/pr1p1bp1/5R2/1Br5/PN6/1PP3R1/1K6 b - -,f6e5
2rq1rk1/p2nbppp/b3p3/4P3/PpNn4/5N2/1P3PPP/1BRQ1RK1 w - -,d1d4
3r2k1/2N2p2/1p1p1qp1/8/2P1QP2/1P4P1/1b2R1K1/8 w - -,c7d5
3q4/6pk/p4pbp/1p1p4/3B1Q2/P4P1P/1P4P1/6K1 w - -,h3h4
2r1r1k1/1R3p2/p2p4/P4pn1/3N4/8/2P3K1/7R w - -,h1h5
r3k1nr/pp1b2pp/1qn1p3/3pP3/1b6/3BBN2/PP2NPPP/R2Q1K1R b kq -,b4c5
8/kr2rpp1/ppRR3p/3KP3/1P2P3/8/P5PP/8 b - -,h6h5
r2qr1k1/1pbb1pp1/p6p/3p1N2/8/2P1B2P/PPQ2PP1/3RR1K1 b - -,d8f6
5b2/1pB4k/2p1b3/2n2p2/1p6/1N1B4/P4PPP/6K1 w - -,b3c5
8/b4k2/2p1pp2/N3p3/1P2P1PP/2P5/4K3/8 b - -,c6c5
2kr1b1r/ppp2ppp/2n5/3P4/1qP1n1b1/2N1BN2/PPQ2PPP/R3KB1R b KQ -,f8c5
r5k1/pp5p/1q2p1p1/1b2P3/6N1/P2p2K1/1PBQ2PP/R7 b - -,d3c2
