8/Q7/1p6/2p5/1k6/3q4/KP6/8 b - -,d3b3
r3r1k1/p4ppb/Pp1q4/3p2Bn/2nP4/2PNpP2/4P1BP/R2Q2RK b - -,f7f6
8/2k5/p1ppp1p1/1p2p1Pp/1P1PP2P/2P1P3/P1K5/8 b - -,c6c5
r5k1/1R6/PP5p/8/1r1np3/6P1/5P1P/R4NK1 b - -,d4f3
r1br2k1/1p2qpbp/p1nppnp1/8/1PPNP3/P1N1B3/4BPPP/2RQ1RK1 w - -,d4c6
rnbqk2r/1pp1bppp/p3pB2/3p4/3PP3/2N2N2/PPP2PPP/R2QKB1R b KQkq -,e7f6
r1bqkbnr/1p1ppppp/p7/2p5/P1BnP3/2N5/1PPP1PPP/R1BQK1NR b KQkq a3,g7g6
4R2k/1r3r1p/5Np1/3B4/1p1p1nP1/1P5P/5P2/5K2 b - -,h8g7
6k1/4Np2/p3b2p/P1n3pB/r7/2n3B1/5PPP/5RK1 b - -,g8h7
4r1k1/1ppnrppp/p7/2bP4/2P2PP1/3B1K2/PP3B1P/R3R3 b - -,c5f2
5k2/1R2bppp/4p3/3rP2P/1P1p1P2/3P2P1/3B4/6K1 w - -,b7b8
2r1r1k1/ppq2pp1/n3p2p/P2pP3/1b1P4/1Q2BN1P/1P3PP1/R2R2K1 w - -,d1c1
rn3rk1/1bp1qppp/1p2p3/pP2P3/7P/2P3QN/1P3PP1/R3KB1R b KQ -,b8d7
rn2kb1r/pp2pppp/2p2n2/q6b/3P2P1/2N2N1P/PPPB1P2/R2QKB1R b KQkq g3,h5g6
r2q1rk1/3b2bp/pn2p1p1/2npP1N1/p2N1P1Q/2P5/1PB3PP/R1B1R2K b - -,h7h6
4r1k1/1pq1rpp1/2pn2b1/3p2P1/p2P1NB1/P3PP2/1P1Q4/4R1KR b - -,d6c4
3r2k1/N2q1pp1/pQ2p3/7p/8/P5PP/5P1K/8 b - -,d7d4
r1bqk2r/pp3pbp/2np1np1/2p1p3/2B1P3/1PNP4/PBP1NPPP/R2Q1RK1 b kq -,e8g8
r2R3k/p1q1ppb1/1pp1bNp1/P3P2p/1PP2B2/3P3P/3Q1PP1/R5K1 b - -,c7d8
r1b3k1/ppq1b1p1/2p1pr1p/4Np2/3PP3/2P3P1/P3QPP1/1BR2RK1 b - -,c8d7
2r2rk1/1p1b3p/p3pnp1/2qp4/P4P2/2N1Q3/1PP1B1PP/R4R1K w - -,e3c5
2q3k1/3nbpp1/3np1bp/p2p4/Pp1N2P1/1P1P3P/1B1NPPB1/Q5K1 w - -,a1c1
2r3k1/1p1q1bp1/2nP1pNp/p2p1p1P/P2PrB2/3Q2P1/1P3PK1/2R1R3 w - -,f2f3
8/6p1/4k3/pBbp4/2nPpP2/1p2P3/4K2n/2BN4 w - -,d4c5
6rk/p6p/Pp1pq2b/1PpN1p2/2P2p2/2QP4/6PP/5RK1 b - -,h6g7
r4rk1/2Q2ppp/1pN1p3/p7/Pq1P4/6P1/1P2bP1P/2RR2K1 b - -,b4b2
8/p2r1p2/3k3p/1P1pr3/PR6/7P/3R1KP1/8 w - -,b5b6
2r2rk1/pp1n1pbp/3q2p1/2pPp1B1/4P3/5BPP/PP2QP2/R4RK1 b - -,f7f6
r1bq1rk1/pppn1pbp/3ppnp1/6B1/3PP3/2N2NP1/PPP2PBP/R2Q1RK1 b - -,h7h6
5k2/6p1/5b2/7P/2Q2P2/6PK/8/3q4 w - -,c4c8
5k2/3n1ppp/R2p4/8/8/1r3P2/2N2KPP/8 w - -,a6d6
r2q1rk1/pb1nNppp/1p6/2p1P3/3n4/P3BN2/1PQ2PPP/R3KB1R b KQ -,d8e7
r2rk3/6pp/p3pp2/1p1n4/1P1B4/P2R2P1/4PPKP/3R4 w - -,g2f3
r2q1rn1/1ppb1pbk/3p2pp/2nPp3/p1P1P1P1/2N1BN1P/PPBQ1P2/2KR3R w - -,c1b1
2r1r2k/1n3pnp/p2p2p1/1p1P4/1P2PP2/2NB3P/P4qP1/2R2RK1 w - -,g1f2
5rn1/5pbk/rp1q2bp/4p1p1/2Pp2P1/PR1P1N2/1Q2NPBP/4R1K1 b - -,g8f6
2br1r2/1q4kp/ppnppn2/5p2/2P2P2/1PN2N1P/P2Q2P1/1BRR2K1 w - -,a2a4
rn1q2k1/p3b1pb/2p1p2p/R2pN3/1PPP4/4P3/3QB1PP/1N3rK1 w - -,e2f1
2kr4/ppq2p1p/2p1n1p1/2R5/3P2Q1/5N1P/PP3PP1/6K1 w - -,f3g5
1rb2rk1/p4ppp/1p6/3p4/8/2PN2P1/PP3P1P/3R1RK1 b - -,c8e6
8/1R6/p4k2/5p2/5P2/1P3K2/P7/5r2 w - -,f3g3
2R5/p3qpk1/3r1n2/1P2bB2/8/4pPp1/P1QpP1KP/5R2 w - -,h2g3
rnbqk2r/pp1p1ppp/4pn2/2b5/2P5/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,e8g8
1rbb2k1/1p4pp/p3pr2/P1p4q/2N5/2PBP3/1PQ3PP/R4RK1 w - -,f1f6
r1bqr1k1/p4pbp/1pp2n2/2p1p1B1/4P2Q/2NP1Np1/PPP4P/R4RK1 w - -,h2g3
rbb4r/1p1n1kp1/p3p2p/2ppPp1P/PP3B2/2PBPN2/5PP1/R3K2R w KQ -,h1g1
r1bq1rk1/2p3b1/3p2pp/p2Ppn2/2P1N3/2N5/P3RPPP/R1BQ2K1 w - -,e2b2
r2qr1k1/pb1n1pp1/5n1p/1Bpp4/7B/P1Q1PP1N/1P4PP/R4RK1 b - -,d8b6
5r2/6p1/2B4p/p1bpk2P/4p3/1P2P1P1/P2R1PK1/8 b - -,f8d8
3r3k/pp4p1/2p4p/2nq4/3prP2/3Q2R1/PP1N2PP/5RK1 w - -,d3a3
1r4k1/p5B1/7p/3P4/q1P2P2/Pr6/K7/Q3R3 b - -,b3a3
rn1r2k1/p3qpbp/1p2p1p1/8/3PP3/5N2/PB2QPPP/2RR2K1 w - -,e2e3
4rk2/bpq2p2/p2rp3/P3R3/7Q/2P4P/1PB2PP1/4R1K1 b - -,d6d2
1q6/r5k1/7p/3pR1p1/2pQ1P2/2Pp3P/1P4PK/8 b - -,g7h7
r1q3k1/pp1b2np/3p1b1n/2pPpp2/2P5/P1NB1PP1/1PQ1R1NP/5RK1 w - -,c2d2
rnbq1rk1/p4ppp/1p1bp3/3p4/1PPP4/P5B1/3N1PPP/1R1QKB1R b K -,b8c6
8/4bp1p/6p1/3kp1P1/8/PrK4P/3B4/8 w - -,c3b3
8/3Q2kp/4pq2/1p6/2b4p/P4B2/5PP1/6K1 b - -,g7h6:g7g8
rn1q1rk1/pb2b1pp/1p2pn2/3p1p2/3P1B2/2N3PN/PPQ1PPBP/2R2RK1 w - -,c3b5
2krn3/3r2pp/1p1p1p2/nNp1p3/2P2P2/1P2B1P1/P2RP1KP/3R4 b - -,a5c6
3r1rk1/1p4p1/1np1b2p/n1N1p3/p1P5/P1R1P1PP/2RN1P2/5BK1 b - -,e6c8
3b4/p2k4/1p1n3p/3B1p2/PP3BP1/5K1P/8/8 b - -,d8g5
rn1qk2r/1bp1pp1p/p2p1npQ/8/1p1PP3/2NB1N2/PPP2PPP/R3K2R w KQkq -,c3e2
2b2nk1/p1q2p1p/3p1bp1/2pPn3/1r2P3/1P3NNP/P5B1/R2Q1RK1 w - -,a1c1
8/p2r3p/4Nk2/Pp1P3R/1Pp5/7P/2r5/7K b - -,d7f7
2bq1r2/1p2ppkp/3r1np1/p3Q3/8/1PN3P1/P3PPBP/R2R2K1 w - -,d1d6
3r2k1/q4pb1/2R3p1/pP6/PN1p3p/3Q2PP/4RP2/6K1 b - -,a5b4
r4rk1/ppqbppbp/n2p1np1/3P4/P6N/R1N3P1/1P1BPPBP/3Q1RK1 b - -,f8c8
4rrk1/1p2Rp2/p4Qp1/3P4/P1P5/7P/P7/6K1 b - -,e8e7
8/p2k1ppp/B1p1p3/1PP5/P4P2/6P1/2n2K1P/8 b - -,c2b4
3r1rk1/p3bpnp/1q4pB/1p2P3/3p4/3B4/PPQ2PPP/2R1R1K1 b - -,e7b4
8/5k2/4pqpK/1p5p/4QP2/6P1/7P/8 b - -,g6g5
r1bqk2r/pp1nbppp/3p1n2/1Bp1p3/2P1P3/2N2N2/PP1P1PPP/R1BQ1RK1 w kq -,d2d3
3r4/5p2/p1n1pkp1/Pp1r3p/5P2/1NP1RKPP/1P2R3/8 b - -,d8c8
rn3rk1/pp4bp/2pp1q2/5b2/2P5/2N1B3/PP1QBPP1/R4RK1 b - -,f6g6
r1r3k1/1b1n1pp1/1p1qp2p/8/1R1PP3/7P/1Q1N1PP1/1B2R1K1 b - -,e6e5
r1r3k1/1p2qppp/b2p1n2/P1nPp3/1B2P3/P5P1/3N1PBP/R2QR1K1 b - -,e7d7
r1q3k1/pp5p/2pp1rpB/3p1pN1/2PQ4/2P3P1/P3P1KP/R7 b - -,c8d8
1r6/8/kp1n2p1/p2p1p1p/P1rPp2P/2P1P1P1/R1KB1P2/1R6 b - -,b6b5
8/8/8/3R4/2n4P/2kp1KP1/4rP2/3R4 b - -,c4e5
rn3r1k/pp1q4/2pn2Pp/3p1b2/3P4/P1PBPP2/6R1/2BQK2R b K -,h8g8
8/pp3p2/2k1p3/7p/P1Pr1b1P/5P2/2PPKP2/5NR1 w - -,d2d3
r1bq1rk1/pp2n1bp/3p2p1/2pP1p1n/4P3/2N1BN2/PP2BPPP/R2Q1RK1 w - f6,f3g5
rnbq1rk1/ppp2ppp/4pn2/3p4/2PP4/4PP2/PP1N2PP/R2QKBNR w KQ -,f1d3
rn2kbnr/1bq2ppp/p2pp3/1p6/4P3/1NNB4/PPPB1PPP/R3QRK1 b kq -,g8f6
6b1/7B/kb3B2/7p/4p3/P3P3/5K2/8 w - -,h7g8
4rr1k/pbp2q2/1p5p/3PpP1p/1PP1P3/P2B4/1BQ4P/3R3K b - -,h8h7
2rr2k1/pb2qpp1/1p2pn1p/2p5/3PP3/2P2N2/P3QPPP/1B1RR1K1 b - -,c5d4
5rk1/p4p2/1p4p1/3B2n1/2P5/1P2q3/PQ6/6RK b - -,g5e6
br2r3/3n2bk/p2pp1pp/q1p2p2/2PnPP2/2NPB1PP/P2Q2BK/1RRN4 b - -,b8b4
8/1p1k2pp/8/2p5/4b1PP/P3N3/4KP2/8 b - -,b7b5
r1b2rk1/ppqnbppp/2pp1n2/4p3/P1BPP3/1PN2N2/2P2PPP/R1BQR1K1 b - -,d7b6
3rr1k1/pbq1bpp1/1p2pn1p/4N3/1PP5/2B5/P1Q2PPP/1BR1R1K1 b - -,e7d6
r1b2rk1/pp4pp/n1p5/3p1p2/5Pn1/2NP1N2/PP2PPBP/R4RK1 b - -,a6c5
r4rk1/3nppbp/1q1p1np1/2pP4/P3P3/2N2NP1/1P2QPKP/R1B4R b - a3,f8b8
1k2r2r/1p1q2p1/p1n1p1pn/B1b2p2/2Np2P1/PP2P2P/4QPB1/2RR2K1 b - -,c5a7
2b5/4pp1k/3q2p1/2pP3p/r1P1N2P/2Q2PP1/PR6/6K1 b - -,d6c7
r2r2k1/pq1pppBp/np4p1/8/2P5/1P2nNP1/P3PP1P/R2Q1RK1 w - -,d1d2
2r2rk1/p1qnb1pp/2p1b3/1p6/P2PNB2/2P2BP1/7P/R2Q1RK1 b - -,c7b6
bqrr2k1/3nbp1p/p2ppnpB/1P6/4P3/2N2P1P/PPNR1QP1/3R1B1K b - -,a6b5
2b1r1k1/1p3ppp/8/1p1B4/1B6/1n4P1/2r2P1P/3R1R1K b - -,c8e6
3r2k1/p4pbp/3B1np1/1rpP4/8/4PN1P/1P3PP1/R4RK1 w - -,d6e5
1rbk3r/1p1n1ppp/p7/2P1p3/1R6/1N4P1/1P2PPBP/2R3K1 b - -,d8c7
1r5k/3Nbp2/4q1pP/1P2p3/P1p1b3/3R1PQ1/2K1N2P/R7 b - -,e4d3
8/3pk1p1/R1r1p3/6P1/4KP2/2P5/8/8 w - -,a6c6
2r2q1k/pp4bp/4b3/4ppQ1/2Pp4/P6P/1P3PP1/3RRBK1 b - -,f8f7
r2q1rk1/pp1n1ppp/2pb4/3p3b/2PP4/2PB1N1P/P4PP1/R1BQR1K1 w - -,g2g4
rnbqr1k1/ppp2ppp/3ppn2/8/2PP4/P1Q2N2/1P2PPPP/R1B1KB1R w KQ -,g2g3:b2b4:c1g5
r4rk1/pp2n1pp/2n1p3/4Pq2/Q7/P5R1/3B1PPP/R5K1 w - -,f2f4
8/2r1pk2/3p2p1/p2P1pPp/Pp3K1P/1Pr2P2/2PRR3/8 w - -,f4g3
r1bqk2r/pp1n1ppp/2pbp3/8/2PPp3/5N2/PPQ2PPP/R1B1KB1R w KQkq -,c2e4
r1qr1bk1/pb3pp1/1p3n1p/2pPp3/2P5/1PN3P1/P1Q2PBP/1RBR2K1 b - -,c8g4
R7/2r2pk1/3Rp3/5NPp/2P4P/8/7r/5K2 b - -,e6f5
r6r/pppb1kp1/nn2p2p/4Pp2/3P3P/1BN5/PP3PP1/R3K1NR b KQ -,c7c5
6k1/pp3p2/2p3p1/3b4/3P3p/P4N2/1P2r1PP/3R2K1 b - -,d5f3
r1bqr1k1/pp1n1ppp/2pb1n2/3p4/3P1N2/P3P3/1PB1NPPP/R1BQ1RK1 b - -,d8c7
8/6N1/2R3B1/4p3/3b1n1k/5P2/2K5/6r1 b - -,f4g6
rnbqkb1r/ppp1pppp/2n5/8/2PP4/P7/1P3PPP/RNBQKBNR w KQkq -,g1f3
r1b2rk1/1pp3pp/3p4/1Pq5/2P2pP1/3P1B1P/2Q1P3/1K1R3R w - -,c2c3
r5k1/2nnppbp/q2p2p1/1NpP4/P1N1P3/1r4P1/1P1BQPKP/RR6 b - -,c7b5
1rb1k2r/3n1p2/4p1pp/p1bpPP2/qp3QPP/P4N2/1PP5/2KRBB1R w k a6,d1d4
3rr1k1/1b3pb1/pB4p1/1p1pp2n/1P2P3/P2B2P1/2P2N1P/4RRK1 b - -,d8c8
5rk1/p2n3p/3p2p1/2pP4/3bq3/4B2P/PP2Q1P1/R5KR w - -,a1e1
1k5r/8/p4p2/P3P3/2P1q3/KPBn4/3Q3p/7R b - -,e4h1
r2q1rk1/1b1nppb1/p1p2n1p/6p1/3PN3/1B3NB1/PPQ2PPP/3R1RK1 b - -,f6e4
3q1k2/5p1p/1p2pN1P/pP3pP1/1r6/8/5Q2/4R1K1 w - -,f6h7
2r5/1p2k3/2p2pp1/p1n1p3/P3P1Pp/1PN1KP2/2P4P/3R4 w - -,d1d2
r2q1rk1/p1p2pbp/2Q1p1p1/3n4/8/2NP2P1/PP2PP1P/R1B2RK1 b - -,a8b8
8/6k1/3n4/p3rpp1/2p5/4K2P/PPRN4/8 w - -,e3f3
r2q1rk1/pp3p2/2n3pR/4N3/3P2b1/2n5/PP2BPP1/R2QK3 w Q -,b2c3
1r1q1rk1/p4pb1/1n1pbnpp/2p3B1/4P3/2N2N1P/PPQ2PP1/R3RBK1 w - -,g5f4
8/8/5kR1/4p2P/2p5/Pr6/5PK1/8 b - -,f6f7
1r1n3k/3Q1R1p/6p1/1p2q3/3N4/6PP/2P4K/8 w - -,f7f8
4rr1k/1q4pp/p2b1n2/4ppN1/1P6/PQN1P3/1B3PPP/3R1RK1 b - -,d6b8
r3k2r/pp1bppbp/1n4p1/8/3P1B2/1BN5/PP3PPP/R3K2R w KQkq -,a1d1
4r1k1/3r1pb1/1R4P1/1p1p1N2/3PnK2/1P6/1B4R1/8 w - -,b2a3
r1q1r1k1/3R1pb1/1Bp2npp/p7/P1P1p1P1/1QN1NB1P/1P3P2/2R3K1 b - -,c8d7
r1b1kb1r/1pqn1ppp/p2ppn2/8/3NPPP1/2N1BQ2/PPP4P/R3KB1R b KQkq g3,d7b6
2r5/pbr1qk1p/1p1Rp1p1/1P2Qp2/2P1p1P1/N3P3/P4P1P/3R2K1 b - -,c7c5
8/2Qbk1p1/1R2p2p/8/8/q7/5PPP/3r1BK1 w - -,b6b8
r4rk1/pp2bpp1/1q2pn1p/3pBb2/2pP4/2P1P3/PP1NBPPP/R1Q2RK1 b - -,b6c6
2rq1rk1/p2nbppp/b3pn2/1p1p4/3P4/PPN3P1/1BRNPPBP/3Q1RK1 b - -,b5b4
b4r1k/2pR2p1/p6p/P2q4/1Q6/3r1P2/1P3BPP/R5K1 b - -,d5d7
r3r1k1/1p3p2/2p2bp1/p2p3p/7P/BP2P1P1/P1R2PK1/3R4 w - -,a3c5
r1br2k1/p1q2ppp/1pn2n2/3p4/2pP4/P1P1PN1P/1BB1QPP1/R4RK1 b - -,c6e7
5rk1/1p4pp/p7/3p4/4pP2/2P4P/PP3RP1/6K1 b - -,g8f7
r1r3k1/1p2q1p1/1n2b3/pP1p1p2/3P3p/3BP1P1/Q3NPP1/1RR3K1 w - -,g3h4
r2q1rk1/3nbppp/1pp1p3/p2n1b2/P2P4/1NP2NP1/1P3PBP/R1BQ1RK1 w - -,d1e2
4k3/1p1n3n/p2p2p1/2pB1p2/2Pb1P2/1PN3KP/1P1B4/8 w - -,d5b7
r4rk1/p1nnq1bp/4p1p1/1pp1P3/5P2/1B1NB2P/PP2Q1P1/R4RK1 w - -,d3f2
8/8/1p3R2/1r3p1k/7P/5K2/8/8 b - -,h5h4
1b4k1/1p1rqp1p/5np1/1pRp4/3N1N2/P3P2P/1Q3PP1/6K1 w - -,c5b5
6k1/5pp1/4pn2/p1qr3p/1P1N1P2/2P4P/1P2Q1P1/4R2K b - -,a5b4
rr4k1/3npp1p/q2p2pb/2pP4/4P3/nP3N1P/PBQ2PP1/R2N1RK1 w - -,c2c3
2r3k1/pp5p/6p1/3pp1n1/1N4P1/2P3R1/4B3/3K4 b - -,g5e4
r2q1rk1/1pp1n1pp/1p1p4/4n2P/4Pp2/PPN5/1P2QPP1/2KR1B1R w - -,e2d2
r4rk1/p1q2ppp/4pnN1/1p6/b1pPP3/P1P5/3BQPPP/RB3RK1 b - -,h7g6
r1bq1rk1/1ppnb1pp/p1p2p2/4p3/2N1P2N/3P4/PPP2PPP/R1BQ1RK1 b - -,g7g6:d8e8:f8e8:d7c5
2r5/5pk1/4p1p1/1P1q3p/pP1p1P2/P1r3P1/1Q3P2/K1R2R2 w - -,b5b6
4rk2/3b4/p2p3q/1p3P2/2pN3R/8/PPP2K1P/8 w - -,h4h6
2kr4/5p2/p3p2p/4P3/1PPb1P2/8/2PR1Bqr/1K1RQ3 b - -,d4b6
rnbq1k1r/ppppp3/5b1p/7Q/3P1p2/8/PPP2PPP/RN2KBNR w KQ -,g1f3
2r2rk1/N3ppbp/ppP2np1/8/8/1P1RBP1P/P4P2/5RK1 b - -,b6b5
8/8/1k2N3/4K3/8/8/2R5/7r w - -,e5d5
6k1/1p2b3/6p1/7p/1P3R2/5P2/3nK1PP/8 w - -,e2d2
8/p5pk/5n1p/2q5/8/5B1P/5PP1/1Q4K1 b - -,h7g8
4r1k1/p1p2rb1/1p1p3p/6p1/2P5/1P4B1/P1Nn2KP/2RR4 b - -,e8e2
8/1p6/p7/Pkp1p3/R2pP1pP/1P1P3r/2P2K1P/8 b - -,h3h2
r5k1/pppn3p/2np4/4pr2/2P3P1/2PPB3/P4PB1/R4RK1 b - -,f5f6
r1bq1r2/3pnpkp/p5p1/np1P4/1p1QP3/5N2/P1B2PPP/RN2K2R b KQ -,f7f6
rq4k1/p4p1p/4p1p1/2P1P1b1/Q3b3/8/1P3PPP/4R1K1 w - -,a4e4
5b1k/1b2p2p/4p1p1/pp2P3/5P2/P2Q3P/1P1R2PB/q1r2NK1 w - -,g1f2
8/B4p2/4p3/1P2P3/5Pk1/7p/8/5K2 w - -,a7g1
4b3/7k/pp1qpnpP/8/2P2p1P/4QN2/PP3P2/2KB4 w - -,e3e6
2k1r2r/pp1n1pp1/1qp1pb1p/7P/3P4/Q4N2/PPPB1PP1/2KRR3 w - -,d2b4
4R3/2p3pk/7p/1p2NP2/pP1r2Pn/P6P/8/6K1 w - -,g1f2
r1bq1rk1/ppp1n1pp/3p3b/3Npp2/2P2Pn1/PP1PP2N/1B1QB1PP/R4RK1 b - -,e7g6
